ѝ	i
казвало	ˈkazvəɫo̝
казвалото	ˈkazvəɫo̝t̪o̝
казвалото	kɐzˈvaɫo̝t̪o̝
казвам	ˈkazvəm
казваме	ˈkazvəmɛ
казван	ˈkazvən
казвана	ˈkazvənə
казваната	ˈkazvənət̪ə
казване	ˈkazvənɛ
казванета	ˈkazvənɛt̪ə
казванетата	ˈkazvənɛt̪ət̪ə
казването	ˈkazvənɛt̪o̝
казвани	ˈkazvəni
казваните	ˈkazvənit̪ɛ
казвания	ˈkazvənijə
казваният	ˈkazvənijət̪
казванията	ˈkazvənijət̪ə
казвано	ˈkazvəno̝
казваното	ˈkazvəno̝t̪o̝
казват	ˈkazvət̪
казвате	ˈkazvət̪ɛ
казвах	ˈkazvəx
казвах	ˈkazvəx
казвах	kɐzˈvax
казваха	ˈkazvəxə
казваха	ˈkazvəxə
казваха	kɐzˈvaxə
казвахме	ˈkazvəxmɛ
казвахме	ˈkazvəxmɛ
казвахме	kɐzˈvaxmɛ
казвахте	ˈkazvəxt̪ɛ
казвахте	ˈkazvəxt̪ɛ
казвахте	kɐzˈvaxt̪ɛ
казваш	ˈkazvəʃ
казваше	ˈkazvəʃɛ
казващ	ˈkazvəʃt̪
казваща	ˈkazvəʃt̪ə
казващата	ˈkazvəʃt̪ət̪ə
казващи	ˈkazvəʃt̪i
казващите	ˈkazvəʃt̪it̪ɛ
казващия	ˈkazvəʃt̪ijə
казващият	ˈkazvəʃt̪ijət̪
казващо	ˈkazvəʃt̪o̝
казващото	ˈkazvəʃt̪o̝t̪o̝
каква	kɐkˈva
какви	kɐkˈvi
какво	kɐkˈvɔ
какъв	kɐˈkɤf
калай	kəˈlaj
календар	kəlɛnˈdar
калий	ˈkalij
калинка	kəˈliŋkə
Калисто	kaˈlistɔ
калифорний	kɤliˈfɔrnij
калкан	kəlˈkan
калфа	ˈkalfə
калций	ˈkalt͡sij
камила	kəˈmilə
камък	ˈkamək
канела	kəˈnɛlə
капа	ˈkapə
капа	kɐˈpa
капак	kəˈpak
капал	ˈkapəɫ
капал	kɐˈpaɫ
капала	ˈkapəɫə
капала	kɐˈpaɫə
капалата	ˈkapəɫət̪ə
капалата	kɐˈpaɫət̪ə
капали	ˈkapəli
капали	kɐˈpali
капалите	ˈkapəlit̪ɛ
капалите	kɐˈpalit̪ɛ
капалия	ˈkapəlijə
капалия	kɐˈpalijə
капалият	ˈkapəlijət̪
капалият	kɐˈpalijət̪
капало	ˈkapəɫo̝
капало	kɐˈpaɫo̝
капалото	ˈkapəɫo̝t̪o̝
капалото	kɐˈpaɫo̝t̪o̝
капане	ˈkapənɛ
капанета	ˈkapənɛt̪ə
капанетата	ˈkapənɛt̪ət̪ə
капането	ˈkapənɛt̪o̝
капания	ˈkapənijə
капанията	ˈkapənijət̪ə
капах	ˈkapəx
капах	kɐˈpax
капаха	ˈkapəxə
капаха	kɐˈpaxə
капахме	ˈkapəxmɛ
капахме	kɐˈpaxmɛ
капахте	ˈkapəxt̪ɛ
капахте	kɐˈpaxt̪ɛ
капе	ˈkapɛ
капейки	ˈkapɛjkʲi
капел	ˈkapɛɫ
капела	ˈkapɛɫə
капели	ˈkapɛli
капело	ˈkapɛɫo̝
капем	ˈkapɛm
капене	ˈkapɛnɛ
капенета	ˈkapɛnɛt̪ə
капенетата	ˈkapɛnɛt̪ət̪ə
капенето	ˈkapɛnɛt̪o̝
капения	ˈkapɛnijə
капенията	ˈkapɛnijət̪ə
капете	ˈkapɛt̪ɛ
капете	kɐˈpɛt̪ɛ
капех	ˈkapɛx
капеха	ˈkapɛxə
капехме	ˈkapɛxmɛ
капехте	ˈkapɛxt̪ɛ
капеш	ˈkapɛʃ
капеше	ˈkapɛʃɛ
капещ	ˈkapɛʃt̪
капеща	ˈkapɛʃt̪ə
капещата	ˈkapɛʃt̪ət̪ə
капещи	ˈkapɛʃt̪i
капещите	ˈkapɛʃt̪it̪ɛ
капещия	ˈkapɛʃt̪ijə
капещият	ˈkapɛʃt̪ijət̪
капещо	ˈkapɛʃt̪o̝
капещото	ˈkapɛʃt̪o̝t̪o̝
капи	kɐˈpi
капя	ˈkapʲə
капят	ˈkapʲət̪
карам	ˈkarəm
карате	kəˈratɛ
карта	ˈkartə
карти	ˈkarti
картоф	kərˈtɔf
каса	ˈkasə
каста	ˈkastə
кат	kat
катерица	ˈkatɛritsə
като	kɐˈt̪ɔ
като	kət̪o̝
кафе	kəˈfɛ
каца	ˈkatsə
каци	ˈkat͡ʃi
квадрат	kvɐdˈrat
кварк	kvark
Квебек	kvɛˈbɛk
кей	kɛi
келнер	ˈkʲɛlnɛr
келнерка	ˈkʲɛlnɛrkə
керамика	kɛˈramikə
килолитър	kiloˈlitər
километър	kiloˈmɛtər
ким	kʲim
киноцентър	ˈkinoˈtsɛntər
кирилица	kʲirilit͡sə
кирпич	kirˈpitʃ
кислород	kisloˈrɔt
кит	kit
клада	kɫɐˈd̪ɤ
кладат	kɫɐˈd̪ɤt̪
кладе	kɫɐˈd̪ɛ
кладе	ˈkɫad̪ɛ
кладейки	kɫɐˈd̪ɛjkʲi
кладели	kɫɐˈd̪ɛli
кладем	kɫɐˈd̪ɛm
кладен	ˈkɫad̪ɛn
кладена	ˈkɫad̪ɛnə
кладената	ˈkɫad̪ɛnət̪ə
кладене	ˈkɫad̪ɛnɛ
кладенета	ˈkɫad̪ɛnɛt̪ə
кладенетата	ˈkɫad̪ɛnɛt̪ət̪ə
кладенето	ˈkɫad̪ɛnɛt̪o̝
кладенец	ˈkladɛnɛt͡s
кладени	ˈkɫad̪ɛni
кладените	ˈkɫad̪ɛnit̪ɛ
кладения	ˈkɫad̪ɛnijə
кладеният	ˈkɫad̪ɛnijət̪
кладенията	ˈkɫad̪ɛnijət̪ə
кладено	ˈkɫad̪ɛno̝
кладеното	ˈkɫad̪ɛno̝t̪o̝
кладете	kɫɐˈd̪ɛt̪ɛ
кладеш	kɫɐˈd̪ɛʃ
кладеше	kɫɐˈd̪ɛʃɛ
клади	kɫɐˈd̪i
кладох	ˈkɫad̪o̝x
кладоха	ˈkɫad̪o̝xə
кладохме	ˈkɫad̪o̝xmɛ
кладохте	ˈkɫad̪o̝xt̪ɛ
кладял	kɫɐˈdʲaɫ
кладяла	kɫɐˈdʲaɫə
кладяло	kɫɐˈdʲaɫo̝
кладях	kɫɐˈdʲax
кладяха	kɫɐˈdʲaxə
кладяхме	kɫɐˈdʲaxmɛ
кладяхте	kɫɐˈdʲaxt̪ɛ
кладящ	kɫɐˈdʲaʃt̪
кладяща	kɫɐˈdʲaʃt̪ə
кладящата	kɫɐˈdʲaʃt̪ət̪ə
кладящи	kɫɐˈdʲaʃt̪i
кладящите	kɫɐˈdʲaʃt̪it̪ɛ
кладящия	kɫɐˈdʲaʃt̪ijə
кладящият	kɫɐˈdʲaʃt̪ijət̪
кладящо	kɫɐˈdʲaʃt̪o̝
кладящото	kɫɐˈdʲaʃt̪o̝t̪o̝
клал	kɫaɫ
клала	ˈkɫaɫə
клалата	ˈkɫaɫət̪ə
клали	ˈkɫali
клалите	ˈkɫalit̪ɛ
клалия	ˈkɫalijə
клалият	ˈkɫalijət̪
клало	ˈkɫaɫo̝
клалото	ˈkɫaɫo̝t̪o̝
клетва	ˈklɛtvə
клещи	ˈklɛʃti
клин	klin
клинец	ˈklinɛt͡s
клюн	klʲun
ключ	klʲutʃ
кмет	kmɛt
книга	ˈkniɡə
княгиня	knʲəˈɡʲinʲə
княз	knʲas
кобалт	koˈbalt
кова	koˈvɤ
кова	koˈva
ковал	koˈvaɫ
ковала	koˈvaɫə
ковалата	koˈvaɫət̪ə
ковали	koˈvali
ковалите	koˈvalit̪ɛ
ковалия	koˈvalijə
ковалият	koˈvalijət̪
ковало	koˈvaɫo̝
ковалото	koˈvaɫo̝t̪o̝
кован	koˈvan
кована	koˈvanə
кованата	koˈvanət̪ə
коване	koˈvanɛ
кованета	koˈvanɛt̪ə
кованетата	koˈvanɛt̪ət̪ə
коването	koˈvanɛt̪o̝
ковани	koˈvani
кованите	koˈvanit̪ɛ
кования	koˈvanijə
кованият	koˈvanijət̪
кованията	koˈvanijət̪ə
ковано	koˈvano̝
кованото	koˈvano̝t̪o̝
коват	koˈvɤt̪
ковах	koˈvax
коваха	koˈvaxə
ковахме	koˈvaxmɛ
ковахте	koˈvaxt̪ɛ
кове	koˈvɛ
ковейки	koˈvɛjkʲi
ковели	koˈvɛli
ковем	koˈvɛm
ковете	koˈvɛt̪ɛ
ковеш	koˈvɛʃ
ковеше	koˈvɛʃɛ
кови	koˈvi
ковял	koˈvʲaɫ
ковяла	koˈvʲaɫə
ковяло	koˈvʲaɫo̝
ковях	koˈvʲax
ковяха	koˈvʲaxə
ковяхме	koˈvʲaxmɛ
ковяхте	koˈvʲaxt̪ɛ
ковящ	koˈvʲaʃt̪
ковяща	koˈvʲaʃt̪ə
ковящата	koˈvʲaʃt̪ət̪ə
ковящи	koˈvʲaʃt̪i
ковящите	koˈvʲaʃt̪it̪ɛ
ковящия	koˈvʲaʃt̪ijə
ковящият	koˈvʲaʃt̪ijət̪
ковящо	koˈvʲaʃt̪o̝
ковящото	koˈvʲaʃt̪o̝t̪o̝
кого	koˈɡɔ
кое	koˈɛ
кожа	ˈkɔʒə
кожух	koˈʒux
коза	koˈza
козел	koˈzɛl
кози	ˈkɔzi
кои	koˈi
кой	kɔj
кокал	ˈkɔkəl
кокоши	koˈkɔʃi
кокошка	kuˈkɔʃkə
кол	kɔl
кола	koˈla
кола	ˈkɔlə
колач	koˈlatʃ
колачка	koˈlatʃkə
колега	koˈlɛɡə
колежка	koˈlɛʃkə
коляно	koˈlʲano
комар	koˈmar
комбинира	ko̝mbiˈniɾə
комбинирай	ko̝mbiˈniɾəj
комбинирайки	ko̝mbiˈniɾəjkʲi
комбинирайте	ko̝mbiˈniɾəjt̪ɛ
комбинирал	ko̝mbiˈniɾəɫ
комбинирала	ko̝mbiˈniɾəɫə
комбиниралата	ko̝mbiˈniɾəɫət̪ə
комбинирали	ko̝mbiˈniɾəli
комбиниралите	ko̝mbiˈniɾəlit̪ɛ
комбиниралия	ko̝mbiˈniɾəlijə
комбиниралият	ko̝mbiˈniɾəlijət̪
комбинирало	ko̝mbiˈniɾəɫo̝
комбиниралото	ko̝mbiˈniɾəɫo̝t̪o̝
комбинирам	ko̝mbiˈniɾəm
комбинираме	ko̝mbiˈniɾəmɛ
комбиниран	ko̝mbiˈniɾən
комбинирана	ko̝mbiˈniɾənə
комбинираната	ko̝mbiˈniɾənət̪ə
комбиниране	ko̝mbiˈniɾənɛ
комбиниранета	ko̝mbiˈniɾənɛt̪ə
комбиниранетата	ko̝mbiˈniɾənɛt̪ət̪ə
комбинирането	ko̝mbiˈniɾənɛt̪o̝
комбинирани	ko̝mbiˈniɾəni
комбинираните	ko̝mbiˈniɾənit̪ɛ
комбинирания	ko̝mbiˈniɾənijə
комбинираният	ko̝mbiˈniɾənijət̪
комбиниранията	ko̝mbiˈniɾənijət̪ə
комбинирано	ko̝mbiˈniɾəno̝
комбинираното	ko̝mbiˈniɾəno̝t̪o̝
комбинират	ko̝mbiˈniɾət̪
комбинирате	ko̝mbiˈniɾət̪ɛ
комбинирах	ko̝mbiˈniɾəx
комбинираха	ko̝mbiˈniɾəxə
комбинирахме	ko̝mbiˈniɾəxmɛ
комбинирахте	ko̝mbiˈniɾəxt̪ɛ
комбинираш	ko̝mbiˈniɾəʃ
комбинираше	ko̝mbiˈniɾəʃɛ
комбиниращ	ko̝mbiˈniɾəʃt̪
комбинираща	ko̝mbiˈniɾəʃt̪ə
комбиниращата	ko̝mbiˈniɾəʃt̪ət̪ə
комбиниращи	ko̝mbiˈniɾəʃt̪i
комбиниращите	ko̝mbiˈniɾəʃt̪it̪ɛ
комбиниращия	ko̝mbiˈniɾəʃt̪ijə
комбиниращият	ko̝mbiˈniɾəʃt̪ijət̪
комбиниращо	ko̝mbiˈniɾəʃt̪o̝
комбиниращото	ko̝mbiˈniɾəʃt̪o̝t̪o̝
комерсиален	komɛrsiˈalɛn
комета	koˈmɛtə
компетентен	kompɛˈtɛntɛn
компетентност	kompɛˈtɛntnost
компетенция	kompɛˈtɛnt͡sijə
компютър	komˈpʲutər
кому	koˈmu
комунизъм	komuˈnizəm
комунист	komuˈnist
комунистка	komuˈniskə
кон	kɔn
конец	koˈnɛts
коноп	koˈnɔp
контрамярка	ˈkɔntrəˈmʲarkə
коперниций	kɔpɛrˈnit͡sij
копраля	kɔpˈralʲə
кора	koˈra
кораб	ˈkɔrəp
корейки	koˈrɛjkʲi
корели	koˈrɛli
корем	koˈrɛm
коремен	koˈrɛmɛn
коремест	koˈrɛmɛst
корен	ˈkɔrɛn
корен	koˈrɛn
корена	koˈrɛnə
корената	koˈrɛnət̪ə
корене	ˈkɔrɛnɛ
корене	koˈrɛnɛ
коренета	koˈrɛnɛt̪ə
коренетата	koˈrɛnɛt̪ət̪ə
коренето	koˈrɛnɛt̪o̝
корени	ˈkɔrɛni
корени	koˈrɛni
корените	ˈkɔrɛnit̪ɛ
корените	koˈrɛnit̪ɛ
корения	koˈrɛnijə
кореният	koˈrɛnijət̪
коренията	koˈrɛnijət̪ə
корено	koˈrɛno̝
кореното	koˈrɛno̝t̪o̝
корете	koˈrɛt̪ɛ
кореше	koˈrɛʃɛ
кори	koˈri
корил	koˈriɫ
корила	koˈriɫə
корилата	koˈriɫət̪ə
корили	koˈrili
корилите	koˈrilit̪ɛ
корилия	koˈrilijə
корилият	koˈrilijət̪
корило	koˈriɫo̝
корилото	koˈriɫo̝t̪o̝
корим	koˈrim
корите	koˈrit̪ɛ
корито	koˈrito
корих	koˈrix
кориха	koˈrixə
корихме	koˈrixmɛ
корихте	koˈrixt̪ɛ
кориш	koˈriʃ
короняса	ko̝ɾoˈnʲasə
коронясай	ko̝ɾoˈnʲasəj
коронясайте	ko̝ɾoˈnʲasəjt̪ɛ
коронясал	ko̝ɾoˈnʲasəɫ
коронясала	ko̝ɾoˈnʲasəɫə
коронясалата	ko̝ɾoˈnʲasəɫət̪ə
коронясали	ko̝ɾoˈnʲasəli
коронясалите	ko̝ɾoˈnʲasəlit̪ɛ
коронясалия	ko̝ɾoˈnʲasəlijə
коронясалият	ko̝ɾoˈnʲasəlijət̪
коронясало	ko̝ɾoˈnʲasəɫo̝
коронясалото	ko̝ɾoˈnʲasəɫo̝t̪o̝
коронясам	koɾoˈnʲasəm
коронясаме	ko̝ɾoˈnʲasəmɛ
коронясан	ko̝ɾoˈnʲasən
коронясана	ko̝ɾoˈnʲasənə
коронясаната	ko̝ɾoˈnʲasənət̪ə
коронясани	ko̝ɾoˈnʲasəni
коронясаните	ko̝ɾoˈnʲasənit̪ɛ
коронясания	ko̝ɾoˈnʲasənijə
коронясаният	ko̝ɾoˈnʲasənijət̪
коронясано	ko̝ɾoˈnʲasəno̝
коронясаното	ko̝ɾoˈnʲasəno̝t̪o̝
коронясат	ko̝ɾoˈnʲasət̪
коронясате	ko̝ɾoˈnʲasət̪ɛ
коронясах	ko̝ɾoˈnʲasəx
коронясаха	ko̝ɾoˈnʲasəxə
коронясахме	ko̝ɾoˈnʲasəxmɛ
коронясахте	ko̝ɾoˈnʲasəxt̪ɛ
коронясаш	ko̝ɾoˈnʲasəʃ
коронясаше	ko̝ɾoˈnʲasəʃɛ
коронясва	ko̝ɾoˈnʲasvə
коронясвай	ko̝ɾoˈnʲasvəj
коронясвайки	ko̝ɾoˈnʲasvəjkʲi
коронясвайте	ko̝ɾoˈnʲasvəjt̪ɛ
коронясвал	ko̝ɾoˈnʲasvəɫ
коронясвала	ko̝ɾoˈnʲasvəɫə
коронясвалата	ko̝ɾoˈnʲasvəɫət̪ə
коронясвали	ko̝ɾoˈnʲasvəli
коронясвалите	ko̝ɾoˈnʲasvəlit̪ɛ
коронясвалия	ko̝ɾoˈnʲasvəlijə
коронясвалият	ko̝ɾoˈnʲasvəlijət̪
коронясвало	ko̝ɾoˈnʲasvəɫo̝
коронясвалото	ko̝ɾoˈnʲasvəɫo̝t̪o̝
коронясвам	koɾoˈnʲasvəm
коронясваме	ko̝ɾoˈnʲasvəmɛ
коронясван	ko̝ɾoˈnʲasvən
коронясвана	ko̝ɾoˈnʲasvənə
коронясваната	ko̝ɾoˈnʲasvənət̪ə
коронясване	ko̝ɾoˈnʲasvənɛ
коронясванета	ko̝ɾoˈnʲasvənɛt̪ə
коронясванетата	ko̝ɾoˈnʲasvənɛt̪ət̪ə
коронясването	ko̝ɾoˈnʲasvənɛt̪o̝
коронясвани	ko̝ɾoˈnʲasvəni
коронясваните	ko̝ɾoˈnʲasvənit̪ɛ
коронясвания	ko̝ɾoˈnʲasvənijə
коронясваният	ko̝ɾoˈnʲasvənijət̪
коронясванията	ko̝ɾoˈnʲasvənijət̪ə
коронясвано	ko̝ɾoˈnʲasvəno̝
коронясваното	ko̝ɾoˈnʲasvəno̝t̪o̝
коронясват	ko̝ɾoˈnʲasvət̪
коронясвате	ko̝ɾoˈnʲasvət̪ɛ
коронясвах	ko̝ɾoˈnʲasvəx
коронясваха	ko̝ɾoˈnʲasvəxə
коронясвахме	ko̝ɾoˈnʲasvəxmɛ
коронясвахте	ko̝ɾoˈnʲasvəxt̪ɛ
коронясваш	ko̝ɾoˈnʲasvəʃ
коронясваше	ko̝ɾoˈnʲasvəʃɛ
коронясващ	ko̝ɾoˈnʲasvəʃt̪
коронясваща	ko̝ɾoˈnʲasvəʃt̪ə
коронясващата	ko̝ɾoˈnʲasvəʃt̪ət̪ə
коронясващи	ko̝ɾoˈnʲasvəʃt̪i
коронясващите	ko̝ɾoˈnʲasvəʃt̪it̪ɛ
коронясващия	ko̝ɾoˈnʲasvəʃt̪ijə
коронясващият	ko̝ɾoˈnʲasvəʃt̪ijət̪
коронясващо	ko̝ɾoˈnʲasvəʃt̪o̝
коронясващото	ko̝ɾoˈnʲasvəʃt̪o̝t̪o̝
коря	koˈrʲɤ
корял	koˈrʲaɫ
коряла	koˈrʲaɫə
коряло	koˈrʲaɫo̝
корят	koˈrʲɤt̪
корях	koˈrʲax
коряха	koˈrʲaxə
коряхме	koˈrʲaxmɛ
коряхте	koˈrʲaxt̪ɛ
корящ	koˈrʲaʃt̪
коряща	koˈrʲaʃt̪ə
корящата	koˈrʲaʃt̪ət̪ə
корящи	koˈrʲaʃt̪i
корящите	koˈrʲaʃt̪it̪ɛ
корящия	koˈrʲaʃt̪ijə
корящият	koˈrʲaʃt̪ijət̪
корящо	koˈrʲaʃt̪o̝
корящото	koˈrʲaʃt̪o̝t̪o̝
коса	koˈsa
косатка	kuˈsatkə
космат	kosˈmat
косматост	kosˈmatost
космест	ˈkɔsmɛst
кост	kɔst
костенурка	kostɛˈnurkə
косъм	ˈkɔsəm
котарак	kotəˈrak
коч	kɔtʃ
кочи	ˈkɔtʃi
кош	kɔʃ
кошмар	koʃˈmar
кошница	ˈkɔʃnit͡sə
кошуля	kɔˈʃulʲə
коя	koˈja
крава	ˈkravə
крави	ˈkravi
крада	kraˈdə
крадат	krəˈd̪ɤt̪
краде	krəˈd̪ɛ
краде	ˈkrad̪ɛ
крадейки	krəˈd̪ɛjkʲi
крадели	krəˈd̪ɛli
крадем	krəˈd̪ɛm
краден	ˈkrad̪ɛn
крадена	ˈkrad̪ɛnə
крадената	ˈkrad̪ɛnət̪ə
крадене	ˈkrad̪ɛnɛ
краденета	ˈkrad̪ɛnɛt̪ə
краденетата	ˈkrad̪ɛnɛt̪ət̪ə
краденето	ˈkrad̪ɛnɛt̪o
крадени	ˈkrad̪ɛni
крадените	ˈkrad̪ɛnit̪ɛ
крадения	ˈkrad̪ɛnijə
краденият	ˈkrad̪ɛnijət̪
краденията	ˈkrad̪ɛnijət̪ə
крадено	ˈkrad̪ɛno
краденото	ˈkrad̪ɛnot̪o
крадете	krəˈd̪ɛt̪ɛ
крадеш	krəˈd̪ɛʃ
крадеше	krəˈd̪ɛʃɛ
кради	krəˈd̪i
крадох	ˈkrad̪ox
крадоха	ˈkrad̪oxə
крадохме	ˈkrad̪oxmɛ
крадохте	ˈkrad̪oxt̪ɛ
крадял	krəˈdʲaɫ
крадяла	krəˈdʲaɫə
крадяло	krəˈdʲaɫo
крадях	krəˈdʲax
крадяха	krəˈdʲaxə
крадяхме	krəˈdʲaxmɛ
крадяхте	krəˈdʲaxt̪ɛ
крадящ	krəˈdʲaʃt̪
крадяща	krəˈdʲaʃt̪ə
крадящата	krəˈdʲaʃt̪ət̪ə
крадящи	krəˈdʲaʃt̪i
крадящите	krəˈdʲaʃt̪it̪ɛ
крадящия	krəˈdʲaʃt̪ijə
крадящият	krəˈdʲaʃt̪ijət̪
крадящо	krəˈdʲaʃt̪o
крадящото	krəˈdʲaʃt̪ot̪o
край	krai
крак	krak
крала	ˈkraɫə
кралата	ˈkraɫət̪ə
крали	ˈkrali
кралите	ˈkralit̪ɛ
кралица	krəˈlitsə
кралия	ˈkralijə
кралият	ˈkralijət̪
крало	ˈkraɫo
кралото	ˈkraɫot̪o
кралски	ˈkralski
красавец	krəˈsavɛts
красавица	krəˈsavit͡sə
красив	krəˈsif
кратък	ˈkratək
креативен	krɛəˈtivɛn
креативност	krɛəˈtivnost
крило	kriˈlɔ
криптон	ˈkriptɔn
крокодил	krokoˈdil
кръв	krɤf
кръстопът	krəstoˈpɤt
ксенон	ˈksɛnɔn
кукла	ˈkukɫɐ
кукувица	kukuˈvit͡sə
кукувица	ˈkukuvit͡sə
кукувичи	kukuˈvitʃi
кула	ˈkulə
купел	ˈkupɛɫ
купела	ˈkupɛɫə
купели	ˈkupɛli
купело	ˈkupɛɫo̝
купен	ˈkupɛn
купена	ˈkupɛnə
купената	ˈkupɛnət̪ə
купени	ˈkupɛni
купените	ˈkupɛnit̪ɛ
купения	ˈkupɛnijə
купеният	ˈkupɛnijət̪
купено	ˈkupɛno̝
купеното	ˈkupɛno̝t̪o̝
купете	koˈpɛt̪ɛ
купех	ˈkupɛx
купеха	ˈkupɛxə
купехме	ˈkupɛxmɛ
купехте	ˈkupɛxt̪ɛ
купеше	ˈkupɛʃɛ
купи	ˈkupi
купи	ˈkupi
купи	koˈpi
купи	koˈpi
купил	ˈkupiɫ
купил	koˈpiɫ
купила	ˈkupiɫə
купила	koˈpiɫə
купилата	ˈkupiɫət̪ə
купилата	koˈpiɫət̪ə
купили	ˈkupili
купили	koˈpili
купилите	ˈkupilit̪ɛ
купилите	koˈpilit̪ɛ
купилия	ˈkupilijə
купилия	koˈpilijə
купилият	ˈkupilijət̪
купилият	koˈpilijət̪
купило	ˈkupiɫo̝
купило	koˈpiɫo̝
купилото	ˈkupiɫo̝t̪o̝
купилото	koˈpiɫo̝t̪o̝
купим	ˈkupim
купите	ˈkupit̪ɛ
купих	ˈkupix
купих	koˈpix
купиха	ˈkupixə
купиха	koˈpixə
купихме	ˈkupixmɛ
купихме	koˈpixmɛ
купихте	ˈkupixt̪ɛ
купихте	koˈpixt̪ɛ
купиш	ˈkupiʃ
купува	koˈpuvə
купува	koˈpuvə
купува	ko̝poˈva
купувай	koˈpuvəj
купувайки	koˈpuvəjkʲi
купувайте	koˈpuvəjt̪ɛ
купувал	koˈpuvəɫ
купувал	ko̝poˈvaɫ
купувал	koˈpuvəɫ
купувала	koˈpuvəɫə
купувала	ko̝poˈvaɫə
купувала	koˈpuvəɫə
купувалата	koˈpuvəɫət̪ə
купувалата	ko̝poˈvaɫət̪ə
купували	koˈpuvəli
купували	ko̝poˈvali
купували	koˈpuvəli
купувалите	koˈpuvəlit̪ɛ
купувалите	ko̝poˈvalit̪ɛ
купувалия	koˈpuvəlijə
купувалия	ko̝poˈvalijə
купувалият	koˈpuvəlijət̪
купувалият	ko̝poˈvalijət̪
купувало	koˈpuvəɫo̝
купувало	ko̝poˈvaɫo̝
купувало	koˈpuvəɫo̝
купувалото	koˈpuvəɫo̝t̪o̝
купувалото	ko̝poˈvaɫo̝t̪o̝
купувам	koˈpuvəm
купуваме	koˈpuvəmɛ
купуван	koˈpuvən
купувана	koˈpuvənə
купуваната	koˈpuvənət̪ə
купуване	koˈpuvənɛ
купуванета	koˈpuvənɛt̪ə
купуванетата	koˈpuvənɛt̪ət̪ə
купуването	koˈpuvənɛt̪o̝
купувани	koˈpuvəni
купуваните	koˈpuvənit̪ɛ
купувания	koˈpuvənijə
купуваният	koˈpuvənijət̪
купуванията	koˈpuvənijət̪ə
купувано	koˈpuvəno̝
купуваното	koˈpuvəno̝t̪o̝
купуват	koˈpuvət̪
купувате	koˈpuvət̪ɛ
купувах	koˈpuvəx
купувах	koˈpuvəx
купувах	ko̝poˈvax
купуваха	koˈpuvəxə
купуваха	koˈpuvəxə
купуваха	ko̝poˈvaxə
купувахме	koˈpuvəxmɛ
купувахме	koˈpuvəxmɛ
купувахме	ko̝poˈvaxmɛ
купувахте	koˈpuvəxt̪ɛ
купувахте	koˈpuvəxt̪ɛ
купувахте	ko̝poˈvaxt̪ɛ
купуваш	koˈpuvəʃ
купуваше	koˈpuvəʃɛ
купуващ	koˈpuvəʃt̪
купуваща	koˈpuvəʃt̪ə
купуващата	koˈpuvəʃt̪ət̪ə
купуващи	koˈpuvəʃt̪i
купуващите	koˈpuvəʃt̪it̪ɛ
купуващия	koˈpuvəʃt̪ijə
купуващият	koˈpuvəʃt̪ijət̪
купуващо	koˈpuvəʃt̪o̝
купуващото	koˈpuvəʃt̪o̝t̪o̝
купюр	kuˈpʲur
купюра	kuˈpʲurə
купя	ˈkupʲə
купят	ˈkupʲət̪
кур	kur
курва	ˈkurvə
кусур	kuˈsur
кутия	kuˈtijə
кухня	ˈkuxnʲə
куче	ˈkutʃɛ
кучи	ˈkutʃi
кучка	ˈkutʃkə
къделя	kəˈdɛlʲə
кълбо	kəlˈbɔ
кълва	kɐɫˈvɤ
кълва	kɐɫˈva
кълвал	kɐɫˈvaɫ
кълвала	kɐɫˈvaɫə
кълвалата	kɐɫˈvaɫət̪ə
кълвали	kɐɫˈvali
кълвалите	kɐɫˈvalit̪ɛ
кълвалия	kɐɫˈvalijə
кълвалият	kɐɫˈvalijət̪
кълвало	kɐɫˈvaɫo̝
кълвалото	kɐɫˈvaɫo̝t̪o̝
кълван	kɐɫˈvan
кълвана	kɐɫˈvanə
кълваната	kɐɫˈvanət̪ə
кълване	kɐɫˈvanɛ
кълванета	kɐɫˈvanɛt̪ə
кълванетата	kɐɫˈvanɛt̪ət̪ə
кълването	kɐɫˈvanɛt̪o̝
кълвани	kɐɫˈvani
кълваните	kɐɫˈvanit̪ɛ
кълвания	kɐɫˈvanijə
кълваният	kɐɫˈvanijət̪
кълванията	kɐɫˈvanijət̪ə
кълвано	kɐɫˈvano̝
кълваното	kɐɫˈvano̝t̪o̝
кълват	kɐɫˈvɤt̪
кълвах	kɐɫˈvax
кълваха	kɐɫˈvaxə
кълвахме	kɐɫˈvaxmɛ
кълвахте	kɐɫˈvaxt̪ɛ
кълвач	kəlˈvatʃ
кълвачка	kəlˈvatʃkə
кълве	kɐɫˈvɛ
кълвейки	kɐɫˈvɛjkʲi
кълвели	kɐɫˈvɛli
кълвем	kɐɫˈvɛm
кълвете	kɐɫˈvɛt̪ɛ
кълвеш	kɐɫˈvɛʃ
кълвеше	kɐɫˈvɛʃɛ
кълви	kɐɫˈvi
кълвял	kɐɫˈvʲaɫ
кълвяла	kɐɫˈvʲaɫə
кълвяло	kɐɫˈvʲaɫo̝
кълвях	kɐɫˈvʲax
кълвяха	kɐɫˈvʲaxə
кълвяхме	kɐɫˈvʲaxmɛ
кълвяхте	kɐɫˈvʲaxt̪ɛ
кълвящ	kɐɫˈvʲaʃt̪
кълвяща	kɐɫˈvʲaʃt̪ə
кълвящата	kɐɫˈvʲaʃt̪ət̪ə
кълвящи	kɐɫˈvʲaʃt̪i
