абдулла	ɑbduɫːɑ
ҡоро	qʊ̞rʊ̞
ҡоролоҡ	qʊ̞rʊ̞ɫʊ̞q
ҡоролтай	qʊ̞rʊ̞ɫtɑj
ҡором	qʊ̞rʊ̞m
ҡорос	qʊ̞rʊ̞s
ҡорот	qʊ̞rʊ̞t
ҡоротҡос	qʊ̞rʊ̞tqʊ̞s
ҡороҡ	qʊ̞rʊ̞q
ҡорт	qʊ̞rt
ҡотоҡ	qʊ̞tʊ̞q
ҡош	qʊ̞ʂ
ҡояш	qʊ̞jɑʂ
ҡоҙоҡ	qʊ̞ðʊ̞q
ҡоҙғон	qʊ̞ðʁʊ̞n
ҡуйы	qujɯ̞
ҡул	quɫ
ҡулаҡса	quɫɑqsɑ
ҡулаҡса	quɫɑqsɑ
ҡулланыусы	quɫɫɑnɯ̞wsɯ̞
ҡултамға	quɫtɑmʁɑ
ҡултыҡ	quɫtɯ̞q
ҡулъяулыҡ	quɫjɑwɫɯ̞q
ҡулъяҙма	quɫjɑðmɑ
ҡумта	qumtɑ
ҡунаҡ	qunɑq
ҡунаҡсыл	qunɑqsɯ̞ɫ
ҡунаҡхана	qunɑqχɑnɑ
ҡурай	qurɑj
ҡурайсы	qurɑjsɯ̞
ҡурсаҡ	qursɑq
ҡуртым	qurtɯ̞m
ҡурғаш	qurʁɑʂ
ҡусты	qustɯ̞
ҡутаҡ	qutɑq
ҡутыр	qutɯ̞r
ҡуян	qujɑn
ҡуҙы	quðɯ̞
ҡуҙғалаҡ	quðʁɑɫɑq
ҡыйбат	qɯ̞jβɑt
ҡыйын	qɯ̞jɯ̞n
ҡыйыу	qɯ̞jɯ̞w
ҡыл	qɯ̞ɫ
ҡылым	qɯ̞ɫɯ̞m
ҡылыс	qɯ̞ɫɯ̞s
ҡымыҙ	qɯ̞mɯ̞ð
ҡымыҙлыҡ	qɯ̞mɯ̞ðɫɯ̞q
ҡын	qɯ̞n
ҡына	qɯ̞nɑ
ҡыпсыуыр	qɯ̞psɯ̞wɯ̞r
ҡыпһыуыр	qɯ̞phɯ̞wɯ̞r
ҡырау	qɯ̞rɑw
ҡырағай	qɯ̞rɑʁɑj
ҡырмыҫҡа	qɯ̞rmɯ̞θqɑ
ҡыртыш	qɯ̞rtɯ̞ʂ
ҡырым	qɯ̞rɯ̞m
ҡырыҫ	qɯ̞rɯ̞θ
ҡырғыс	qɯ̞rʁɯ̞s
ҡырғыҙстан	qɯ̞rɢ̞ɯ̞ðstɑn
ҡытай	qɯ̞tɑj
ҡыуаҡ	qɯ̞wɑq
ҡыш	qɯ̞ʂ
ҡыҙ	qɯ̞ð
ҡыҙ	qɯ̞ð
ҡыҙыл	qɯ̞ðɯ̞ɫ
ҡыҙылса	qɯ̞ðɯ̞ɫsɑ
ҡыҙылтүш	qɯ̞ðɯ̞ɫtʏʃ
ҡыҙыҡ	qɯ̞ðɯ̞q
ҡыңғырау	qɯ̞ŋʁɯ̞rɑw
ҡыҫала	qɯ̞θɑɫɑ
ҡыҫҡа	qɯ̞θqɑ
ҡыҫҡаһы	qɯ̞θqɑhɯ̞
ҡәбер	qæbɪ̞r
ҡәбилә	qæbilæ
ҡәйнә	qæjnæ
ҡәләм	qælæm
ҡәләмфер	qælæmfɪ̞r
ҡәнәфер	qænæfɪ̞r
ҡәнәғәт	qænæʁæt
ҡәрҙәш	qærðæʃ
ҡәғбә	qæʁbæ
ҡәҙер	qæðɪ̞r
ҡәҙәр	qæðær
ҡәһүә	qæhwæ
ҫупайҙы	θupɑjðɯ
үгеҙ	ʏɡɪ̞ð
үгәй	ʏɡæj
үзбәк	ʏzbæk
үзбәкстан	ʏzbækstɑn
үксә	ʏksæ
үлсәү	ʏlsæw
үлән	ʏlæn
үпкә	ʏpkæ
үркәс	ʏrkæs
үрмәксе	ʏrmæksɪ̞
үрнәк	ʏrnæk
үрт	ʏrt
үрҙәк	ʏrðæk
үс	ʏs
үт	ʏt
үтек	ʏtɪ̞k
үткер	ʏtkɪ̞r
үтмәҫ	ʏtkɪ̞r
үҙ	ʏð
үҙаң	ʏðʔäŋ
үҙаң	ʏðäŋ
үҙгәреш	ʏðɡærɪ̞ʃ
үҙәк	ʏðæk
үҫемлек	ʏθɪ̞mlɪ̞k
үҫенте	ʏθɪ̞ntɪ̞
үҫеш	ʏθɪ̞ʃ
үҫмер	ʏθmɪ̞r
һабаҡ	hɑβɑq
һабын	hɑβɯ̞n
һай	hɑj
һайыҫҡан	hɑjɯ̞θqɑn
һал	hɑɫ
һалам	hɑɫɑm
һалдат	hɑɫdɑt
һалҡын	haɫqɯ̞n
һаман	hɑmɑn
һаман	hɑmɑn
һамар	hɑmɑr
һан	hɑn
һандуғас	hɑnduʁɑs
һандыҡ	hɑndɯ̞q
һарай	hɑrɑj
һаран	hɑrɑn
һары	hɑrɯ̞
һарымһаҡ	hɑrɯ̞mhɑq
һарытау	hɑrɯ̞tɑw
һарыҡ	hɑrɯ̞q
һау	hɑw
һауа	hɑwɑ
һауа	hɑwɑ
һауап	hɑwɑp
һаулыҡ	hɑwɫɯ̞q
һауынсы	hɑwɯ̞nsɯ̞
һауыт	hɑwɯ̞t
һағыҙ	hɑʁɯ̞ð
һағыҙаҡ	hɑʁɯ̞ðɑq
һаҙ	hɑð
һаҙағай	hɑðɑʁɑj
һаҡ	hɑq
һаҡал	hɑqɑɫ
һаҡау	hɑqɑw
һаҡсы	hɑqsɯ̞
һаңғырау	hɑŋɢɯ̞rɑw
һаҫыҡ	hɑθɯ̞q
һейҙек	hɪ̞jðɪ̞k
һеләгәй	hɪ̞læɡæj
һеләүһен	hɪ̞læwhɪ̞n
һемәк	hɪ̞mæk
һепертке	hɪ̞pɪ̞rtkɪ̞
һеркә	hɪ̞rkæ
һеҙ	hɪ̞ð
һеҙ	ɦɪ̞ð
һеҙгә	hɪ̞ðɡæ
һеҙҙе	hɪ̞ðːɪ̞
һеҙҙең	hɪ̞ðːɪ̞ŋ
һеҙҙә	hɪ̞ðːæ
һеҙҙән	hɪ̞ðːæn
һигеҙ	hiɡɪ̞ð
һигеҙ	hiɣɪ̞ð
һигеҙгүҙ	hiɡɪ̞ðɡʏð
һимеҙ	himɪ̞ð
һин	hin
һин	ɦin
һинд	hïnt
һиндә	hindæ
һине	hinɪ̞
һинең	hinɪ̞ŋ
һинән	hinæn
һиптергес	hiptɪ̞rɡɪ̞s
һирәк	hiræk
һиңә	hiŋæ
һоло	hʊ̞ɫʊ̞
һорау	hʊ̞rɑw
һул	huɫ
һулаҡай	huɫɑqɑj
һум	hum
һунар	hunɑr
һунарсы	hunɑrsɯ̞
һупайҙы	hupɑjðɯ̞
һупылдаҡ	hupɯ̞ɫdɑq
һурпа	hurpɑ
һуған	huʁɑn
һуғыш	huɢ̞ɯ̞ʂ
һуҙынҡы	huðɯ̞ŋqɯ̞
һуҡмаҡ	huqmɑq
һуҡыр	huqɯ̞r
һуңғы	huŋɢɯ̞
һыйыр	hɯ̞jɯ̞r
һылтанма	hɯɫtɑnmɑ
һылыу	hɯ̞ɫɯ̞w
һыра	hɯ̞rɑ
һыртлан	hɯ̞rtɫɑn
һырға	hɯ̞rʁɑ
һыу	hɯ̞w
һыуыр	hɯ̞wɯ̞r
һыуытҡыс	hɯ̞wɯ̞tqɯ̞s
һыуыҡ	hɯ̞wɯ̞q
һыуғояр	hɯ̞wʁʊ̞jɑr
һыуһар	hɯ̞whɑr
һыҙат	hɯ̞ðɑt
һыҙыҡ	hɯ̞ðɯ̞q
һыҙыҡса	hɯ̞ðɯ̞qsɑ
һүрәт	hʏræt
һүҙ	hʏð
һүҙлек	hʏðlɪ̞k
һәйбәт	hæjβæt
һәйкәл	hæjkæl
һәләт	hælæt
һәм	hæm
һәнәк	hænæk
һәр	hær
һәүәҫкәр	hæwæθkær
һөжүм	hʏ̞ʒʏm
һөйкәлеш	hʏ̞jkælɪ̞ʃ
һөйләм	hʏ̞jlæm
һөйәк	hʏ̞jæk
һөйәл	hʏ̞jæl
һөйөнсө	hʏ̞jʏ̞nsʏ̞
һөлдә	hʏ̞ldæ̹
һөлөк	hʏ̞lʏ̞k
һөнәр	hʏ̞nær
һөргөн	hʏ̞rɡʏ̞n
һөт	hʏ̞t
һөҙһөт	hʏ̞ðhʏ̞t
һөҙәк	hʏ̞ðɶ̟k
һөҙөмтә	hʏ̞ðʏ̞mtœ̟
һөңгө	hʏ̞ŋɡʏ̞
әбей	æβɪj
әбей	æbiʲ
әгәр	æɡær
әжәл	æʒæl
әйбер	æjβɪ̞r
әйтәгүр	æjtæɡʏr
әйтәгүр	æjtæɣʏr
әкиәт	ækʲiʲæt
әлбиттә	ælbʲitːæ
әлморон	ælmʊ̞rʊ̞n
әлфиә	ælfʲiʲæ
әнүәр	ænwær
әрем	ærɪ̞m
әрмән	ærmæn
әрмәнстан	ærmænstän
әссәләмәғәләйкүм	æsːælæmæʁælæjkʏm
әстерхан	æstɪ̞rχän
әсәй	æsæj
әтәс	ætæs
әфәнде	æfændɪ̞
әхирәт	æχɨ͜iræt
әхмәт	æχmæt
әшнә	æʃ̟næ
әҙ	æð
әҙер	æðɪ̞r
әҙһәм	æðhæm
әҙәбиәт	æðæbʲiʲæt
әҙәм	æðæm
әҙәм	æðæm
әңгәмә	æŋɡæmæ
әҫәр	æθær
әүлиә	æwlʲiʲæ
әүҙем	æwðɪ̞m
әүҙемлек	æwðɪ̞mlɪ̞k
өгөт	ʏ̞ɡʏ̞t
өй	ʏ̞j
өйрәк	ʏ̞jræk
өйрәкморон	ʏ̞jrækmʊ̞rʊ̞n
өйрәнсек	ʏ̞jrænsɪ̞k
өйрәнсек	ʏ̞rænsɪ̞k
өйөр	ʏ̞jʏ̞r
өкө	ʏ̞kʏ̞
өлгө	ʏ̞lɡʏ̞
өлкә	ʏ̞lkæ
өлкәр	ʏ̞lkær
өлөш	ʏ̞lʏ̞ʃ
өмөт	ʏ̞mʏ̞t
өн	ʏ̞n
өс	ʏ̞s
өсмөйөш	ʏ̞sm̟ʏ̞jʏ̞ʃ
өтөр	ʏ̞tʏ̞r
өфө	ʏ̞fʏ̞
өҙәңге	ʏ̞ðæŋɡɪ̞
өҙәңге	ʏ̞ðæ̹ŋɡʏ̞
өҙөмтә	ʏ̞ðʏ̞mtæ
өҫкә	ʏ̞θkæ
өҫтәл	ʏ̞θtæ̹l
