aalenian	aːlenian
masturbași	masturbaʃʲ
masturbat	masturbat
masturbata	masturbata
masturbată	masturbatə
masturbate	masturbate
masturbatei	masturbatej
masturbatele	masturbatele
masturbatelor	masturbatelor
masturbator	masturbator
masturbatul	masturbatul
masturbatul	masturbatu
masturbatului	masturbatuluj
masturbați	masturbat͡sʲ
masturbații	masturbat͡siː
masturbaților	masturbat͡silor
masturbau	masturbaw
masturbă	masturbə
masturbăm	masturbəm
masturbând	masturbɨnd
masturbează	masturbe̯azə
masturbez	masturbez
masturbeze	masturbeze
masturbezi	masturbezʲ
matematică	matematikə
maturitate	maturitate
mănânc	mənɨnk
mănâncă	mənɨnkə
mănânce	mənɨnt͡ʃe
mănânci	mənɨnt͡ʃʲ
mănușă	mənuʃə
mănuși	mənuʃʲ
mărturisea	mərturisja
mărturiseai	mərturisjaj
mărturiseam	mərturisjam
mărturisească	mərturisjaskə
mărturiseați	mərturisjatsʲ
mărturiseau	mərturisjaw
mărturisesc	mərturisesk
mărturisește	mərturiseʃte
mărturisești	mərturiseʃtʲ
mărturisi	mərturisi
mărturisii	mərturisiː
mărturisim	mərturisim
mărturisind	mərturisind
mărturisiră	mərturisirə
mărturisirăm	mərturisirəm
mărturisirăți	mərturisirətsʲ
mărturisise	mərturisise
mărturisisem	mərturisisem
mărturisiseră	mərturisiserə
mărturisiserăm	mərturisiserəm
mărturisiserăți	mərturisiserətsʲ
mărturisiseși	mərturisiseʃʲ
mărturisiși	mərturisiʃʲ
mărturisit	mərturisit
mărturisita	mərturisita
mărturisită	mərturisitə
mărturisite	mərturisite
mărturisitei	mərturisitej
mărturisitele	mərturisitele
mărturisitelor	mərturisitelor
mărturisitul	mərturisitul
mărturisitul	mərturisitu
mărturisitului	mərturisituluj
mărturisiți	mərturisit͡sʲ
mărturisiții	mərturisit͡siː
mărturisiților	mərturisit͡silor
măști	mɘʃtʲ
mâine	mɨjne
mânca	mɨnka
mâncai	mɨnkaj
mâncam	mɨnkam
mâncară	mɨnkarə
mâncarăm	mɨnkarəm
mâncarăți	mɨnkarət͡sʲ
mâncase	mɨnkase
mâncasem	mɨnkasem
mâncaseră	mɨnkaserə
mâncaserăm	mɨnkaserəm
mâncaserăți	mɨnkaserət͡sʲ
mâncaseși	mɨnkaseʃʲ
mâncași	mɨnkaʃʲ
mâncat	mɨnkat
mâncați	mɨŋkat͡sʲ
mâncau	mɨnkaw
mâncă	mɨnkə
mâncăm	mɨnkəm
mâncând	mɨnkɨnd
mea	me̯a
mei	mej
melanj	melanʒ
mele	mele
memoria	memoria
memorie	memorie
mergem	merd͡ʒem
mersi	meɾsi
mic	mik
mica	mika
mică	mikə
mici	mit͡ʃʲ
mie	mie
mihai	mihaj
mii	miː
mila	mila
milă	milə
mile	mile
milos	milos
minge	mindʒe
mingi	mind͡ʒʲ
minoritate	minoritate
minusculă	minuskulə
minuscule	minuskule
minusculi	minuskulʲ
minut	minut
mioveni	miovɛnʲ
mirandeză	mirandezə
misterioasa	misterio̯asa
misterioasă	misterio̯asə
misterioase	misterio̯ase
misterioasei	misterio̯asej
misterioasele	misterio̯asele
misterioaselor	misterio̯aselor
misterios	misterios
misteriosul	misteriosul
misteriosul	misteriosu
misteriosului	misteriosuluj
misterioși	misterioʃʲ
misterioșii	misterioʃij
misterioșilor	misterioʃilor
mișca	miʃka
mișcare	miʃkare
mișto	miʃto
mizericordie	mizerikordie
moartă	mo̯artə
moarte	mo̯arte
moartea	mwartjæ
mobil	mobil
modalitate	modalitate
modifica	modifika
modificat	modifikat
modificata	modifikata
moldova	moldova
moldovean	moldove̯an
moldovenească	moldovene̯askə
moldovenesc	moldovenesk
moldovenești	moldoveneʃtʲ
molie	molie
moment	moment
momente	momente
monocrom	monokrom
monogamie	monoɡamie
mor	mor
morcov	morkov
morcovi	morkovʲ
mori	morʲ
mort	mort
morții	mort͡siː
moscova	moskova
motiv	motiv
motive	motive
muista	muista
muistă	muistə
mulți	mult͡sʲ
mulțumea	multsumja
mulțumeai	multsumjaj
mulțumeam	multsumjam
mulțumească	multsumjaskə
mulțumeați	multsumjatsʲ
mulțumeau	multsumjaw
mulțumesc	mult͡sumesk
mulțumește	multsumeʃte
mulțumești	multsumeʃtʲ
mulțumi	mult͡sumi
mulțumii	multsumiː
mulțumim	multsumim
mulțumind	multsumind
mulțumiră	multsumirə
mulțumirăm	multsumirəm
mulțumirăți	multsumirətsʲ
mulțumise	multsumise
mulțumisem	multsumisem
mulțumiseră	multsumiserə
mulțumiserăm	multsumiserəm
mulțumiserăți	multsumiserətsʲ
mulțumiseși	multsumiseʃʲ
mulțumiși	multsumiʃʲ
mulțumit	multsumit
mulțumita	mult͡sumita
mulțumită	mult͡sumitə
mulțumite	mult͡sumite
mulțumitei	mult͡sumitej
mulțumitele	mult͡sumitele
mulțumitelor	mult͡sumitelor
mulțumitul	mult͡sumitul
mulțumitul	mult͡sumitu
mulțumitului	mult͡sumituluj
mulțumiți	mult͡sumit͡sʲ
mulțumiții	mult͡sumit͡siː
mulțumiților	mult͡sumit͡silor
mumu	mumu
muntenia	muntenia
munți	muntsʲ
muri	muri
muribund	muribun̪d̪
murim	murim
murind	murind
murit	murit
muriți	murit͡sʲ
mușca	muʃka
narcotic	naɾkotik
narcotica	naɾkotika
narcotică	naɾkotikə
narcotice	naɾkotit͡ʃe
narcotici	naɾkotit͡ʃʲ
narcotiza	narkotiza
nativa	nativa
native	native
nălucea	nəlutʃja
năluceai	nəlutʃjaj
năluceam	nəlutʃjam
nălucească	nəlutʃjaskə
năluceați	nəlutʃjatsʲ
năluceau	nəlutʃjaw
nălucesc	nəlutʃesk
nălucește	nəlutʃeʃte
nălucești	nəlutʃeʃtʲ
năluci	nəlutʃi
năluci	nəlut͡ʃʲ
nălucii	nəlutʃiː
nălucim	nəlutʃim
nălucind	nəlutʃind
năluciră	nəlutʃirə
nălucirăm	nəlutʃirəm
nălucirăți	nəlutʃirətsʲ
nălucise	nəlutʃise
nălucisem	nəlutʃisem
năluciseră	nəlutʃiserə
năluciserăm	nəlutʃiserəm
năluciserăți	nəlutʃiserətsʲ
năluciseși	nəlutʃiseʃʲ
năluciși	nəlutʃiʃʲ
nălucit	nəlutʃit
nălucita	nəlut͡ʃita
nălucită	nəlut͡ʃitə
nălucite	nəlut͡ʃite
nălucitei	nəlut͡ʃitej
nălucitele	nəlut͡ʃitele
nălucitelor	nəlut͡ʃitelor
nălucitul	nəlut͡ʃitul
nălucitul	nəlut͡ʃitu
nălucitului	nəlut͡ʃituluj
năluciți	nəlut͡ʃit͡sʲ
năluciții	nəlut͡ʃit͡siː
năluciților	nəlut͡ʃit͡silor
năstăsescu	nəstəsesku
neamț	ne̯amts
nebun	nebun
necăjea	nekəʒja
necăjeai	nekəʒjaj
necăjeam	nekəʒjam
necăjească	nekəʒjaskə
necăjeați	nekəʒjatsʲ
necăjeau	nekəʒjaw
necăjesc	nekəʒesk
necăjește	nekəʒeʃte
necăjești	nekəʒeʃtʲ
necăji	nekəʒi
necăjii	nekəʒiː
necăjim	nekəʒim
necăjind	nekəʒind
necăjiră	nekəʒirə
necăjirăm	nekəʒirəm
necăjirăți	nekəʒirətsʲ
necăjise	nekəʒise
necăjisem	nekəʒisem
necăjiseră	nekəʒiserə
necăjiserăm	nekəʒiserəm
necăjiserăți	nekəʒiserətsʲ
necăjiseși	nekəʒiseʃʲ
necăjiși	nekəʒiʃʲ
necăjit	nekəʒit
necăjita	nekəʒita
necăjită	nekəʒitə
necăjite	nekəʒite
necăjitei	nekəʒitej
necăjitele	nekəʒitele
necăjitelor	nekəʒitelor
necăjitul	nekəʒitul
necăjitul	nekəʒitu
necăjitului	nekəʒituluj
necăjiți	nekəʒit͡sʲ
necăjiții	nekəʒit͡siː
necăjiților	nekəʒit͡silor
necesitate	net͡ʃesitate
necunoscut	nekunoskut
neerlandeză	neerlandezə
negre	neɡre
negri	neɡri
negru	neɡru
neîmbunătățit	neɨmbunətət͡sit
nemilă	nemilə
nenorocitule	nenoɾot͡ʃitule
neomenește	neomeneʃte
neprotejat	neproteʒat
nereal	nereal
neutra	neutra
neutra	neutra
neutre	neutre
neutre	neutre
neutri	neutri
neutri	neutri
nevăzut	nevəzut
nici	nitʃʲ
nicicând	nit͡ʃʲkɨnd
nicidecum	nitʃʲdekum
niciodată	nit͡ʃodatə
niculescu	nikulesku
nimănui	nimənuj
nimeni	nimɛnʲ
noapte	no̯apte
noastră	no̯astrə
nominale	nominale
nominali	nominalʲ
nopți	nopt͡sʲ
nor	nor
nori	norʲ
norii	nori
norilor	norilor
normalitate	normalitate
noroc	norok
norul	norul
norul	noru
norului	noruluʲ
note	note
nouă	nowə
nud	nud
nuda	nuda
nude	nude
nuia	nuja
numai	numaj
număr	numər
numărul	numərul
numărul	numəru
numărului	numəruluj
nume	nume
numea	numja
numeai	numjaj
numeam	numjam
numească	numjaskə
numeați	numjatsʲ
numeau	numjaw
numele	numele
numelor	numelor
numelui	numeluj
numere	numere
numerele	numerele
numerelor	numerelor
numesc	numesk
numește	numeʃte
numești	numeʃtʲ
numi	numi
numii	numiː
numim	numim
numind	numind
numiră	numirə
numirăm	numirəm
numirăți	numirətsʲ
numise	numise
numisem	numisem
numiseră	numiserə
numiserăm	numiserəm
numiserăți	numiserətsʲ
numiseși	numiseʃʲ
numiși	numiʃʲ
numit	numit
numita	numita
numită	numitə
numite	numite
numitei	numitej
numitele	numitele
numitelor	numitelor
numitul	numitul
numitul	numitu
numitului	numituluj
numiți	numit͡sʲ
numiții	numit͡siː
numiților	numit͡silor
nup	nup
nup	nup̚
o	o
oameni	o̯amenʲ
obez	obez
obiect	objekt
obosit	obosit
obrăznicie	obrəznitʃie
observa	opseɾva
observație	obseɾvat͡sie
observații	observat͡siː
oceania	otʃe̯ania
odată	odatə
ofer	ofer
oferi	oferi
oferi	oferʲ
oficial	ofitʃial
oglindă	oɡlində
olandez	olandez
oltenia	oltenia
om	om
omenesc	omenesk
omenește	omeneʃte
omniprezenta	omniprezenta
omniprezentă	omniprezentə
omniprezente	omniprezente
omniprezentei	omniprezentej
omniprezentele	omniprezentele
omniprezentelor	omniprezentelor
omniprezentul	omniprezentul
omniprezentul	omniprezentu
omniprezentului	omniprezentuluj
omniprezența	omniprezentsa
omniprezență	omniprezentsə
omniprezențe	omniprezentse
omniprezenței	omniprezentsej
omniprezențele	omniprezentsele
omniprezențelor	omniprezentselor
omniprezenți	omniprezent͡sʲ
omniprezenții	omniprezent͡siː
omniprezenților	omniprezent͡silor
omorî	omorɨ
omul	omul
omul	omu
onestitate	onestitate
opiu	opju
oprea	oprja
opreai	oprjaj
opream	oprjam
oprească	oprjaskə
opreați	oprjatsʲ
opreau	oprjaw
opresc	opresk
oprește	opreʃte
oprești	opreʃtʲ
opri	opri
oprii	opriː
oprim	oprim
oprind	oprind
opriră	oprirə
oprirăm	oprirəm
oprirăți	oprirətsʲ
oprise	oprise
oprisem	oprisem
opriseră	opriserə
opriserăm	opriserəm
opriserăți	opriserətsʲ
opriseși	opriseʃʲ
opriși	opriʃʲ
oprit	oprit
oprita	oprita
oprită	opritə
oprite	oprite
opritei	opritej
opritele	opritele
opritelor	opritelor
opritul	opritul
opritul	opritu
opritului	oprituluj
opriți	oprit͡sʲ
opriții	oprit͡siː
opriților	oprit͡silor
or	or
organizație	orɡanizatsie
orgasm	orɡasm
orgasme	orɡasme
orgasmic	orɡasmik
orgastic	orɡastik
orice	orʲt͡ʃe
orienta	orienta
orientai	orientaj
orientam	orientam
orientară	orientarə
orientarăm	orientarəm
orientarăți	orientarətsʲ
orientare	orientare
orientase	orientase
orientasem	orientasem
orientaseră	orientaserə
orientaserăm	orientaserəm
orientaserăți	orientaserətsʲ
orientaseși	orientaseʃʲ
orientași	orientaʃʲ
orientat	orientat
orientați	orientat͡sʲ
orientau	orientaw
orientă	orientə
orientăm	orientəm
orientări	orientərʲ
orientând	orientɨnd
orientează	orientjazə
orientez	orientez
orienteze	orienteze
orientezi	orientezʲ
os	os
oți	ot͡sʲ
ou	ow
pa	pa
palimpsest	palimpsest
palimpseste	palimpseste
palincă	paliŋkə
palincă	paliŋkə
palma	palma
palmă	palmə
palme	palme
pandora	pandora
pansexualitate	panseksualitate
papi	papʲ
paradox	paradoks
paradoxul	paradoksul
paradoxul	paradoksu
paradoxului	paradoksuluj
paradoxuri	paradoksurʲ
paradoxurile	paradoksurile
paradoxurilor	paradoksurilor
parazit	parazit
paraziți	parazitsʲ
parca	parka
pașaport	paʃaport
patru	patru
paupertate	paupertate
pavăză	pavəzə
păcat	pəkat
păcurar	pəkurar
pădure	pəduɾe
păianjen	pəjanʒen
păianjeni	pəjanʒenʲ
păianjenii	pəjanʒeniː
păianjenilor	pəjanʒenilor
păianjenul	pəjanʒenul
păianjenul	pəjanʒenu
păianjenului	pəjanʒenuluj
pălămidă	pələmidə
păltineni	pɘltinɛnʲ
păpa	pəpa
părăsi	pərəsi
părinte	pərinte
părintesc	pərintesk
părintește	pərinteʃte
părinți	pərint͡sʲ
păros	pəros
părți	pərt͡sʲ
pătură	pəturə
păun	pəun
pecunie	pekunie
pedeapsă	pedʲæpsə
pederast	pɛdɛrast
pederastie	pɛdɛrastijɛ
pederaști	pederaʃtʲ
penar	penar
penă	penə
penis	penis
penisul	penisul
penisul	penisu
penisului	penisuluj
penisuri	penisurʲ
penisurile	penisurile
penisurilor	penisurilor
pentru	pentru
perete	perete
perfect	perfekt
perfecta	perfekta
perfecta	perfekta
perfectai	perfektaj
perfectam	perfektam
perfectară	perfektarə
perfectarăm	perfektarəm
perfectarăți	perfektarətsʲ
perfectase	perfektase
perfectasem	perfektasem
perfectaseră	perfektaserə
perfectaserăm	perfektaserəm
perfectaserăți	perfektaserətsʲ
perfectaseși	perfektaseʃʲ
perfectași	perfektaʃʲ
perfectat	perfektat
perfectați	perfektat͡sʲ
perfectau	perfektaw
perfectă	perfektə
perfectă	perfektə
perfectăm	perfektəm
perfectând	perfektɨnd
perfecte	perfekte
perfectează	perfektjazə
perfectez	perfektez
perfecteze	perfekteze
perfectezi	perfektezʲ
perfecți	perfekt͡sʲ
perineal	perineal
perineale	perineale
perineali	perinealʲ
perinee	perineː
perineele	perineːle
perineelor	perineːlor
perineu	perinew
perineul	perineul
perineului	perineul
perioadă	perio̯adə
persefona	persefona
persoană	perso̯anə
personaje	personaʒe
personalitate	personalitate
perversitate	perversitate
pește	peʃte
peștelui	peʃteluj
pești	peʃtʲ
pești	peʃtʲ
peștilor	peʃtilor
petrece	petretʃe
pianist	pianist
picoliță	pikolitsə
picolo	pikolo
piedestal	pjedestal
piele	pjele
piepturi	pjepturʲ
pierde	pjɛrdɛ
pierdut	pjerdut
pilotai	pilotaaj
pilotam	pilotaam
pilotară	pilotaarə
pilotarăm	pilotaarəm
pilotarăți	pilotaarətsʲ
pilotase	pilotaase
pilotasem	pilotaasem
pilotaserăm	pilotaaserəm
pilotaserăți	pilotaaserətsʲ
pilotaseși	pilotaaseʃʲ
pilotași	pilotaaʃʲ
pilotat	pilotaat
pilotau	pilotaaw
pilotă	pilotaə
pilotăm	pilotaəm
pilotând	pilotaɨnd
pilotează	pilotajazə
pilotez	pilotaez
piloteze	pilotaeze
pilotezi	pilotaezʲ
pinten	pinten
pion	pion
pioni	pionʲ
pipi	pipi
pișa	piʃa
pitic	pitik
pitoresc	pitoresk
pițipoancă	pitsipwaŋkə
piure	pjure
pizda	pizda
pizdar	pizdaɾ
pizdă	pizdə
pizde	pizde
place	plat͡ʃe
plajă	plaʒə
plat	plat
plăcea	plət͡ʃe̯a
plictisea	pliktisja
plictiseai	pliktisjaj
plictiseală	pliktisealə
plictiseam	pliktisjam
plictisească	pliktisjaskə
plictiseați	pliktisjatsʲ
plictiseau	pliktisjaw
plictisesc	pliktisesk
plictisește	pliktiseʃte
plictisești	pliktiseʃtʲ
plictisi	pliktisi
plictisii	pliktisiː
plictisim	pliktisim
plictisind	pliktisind
plictisiră	pliktisirə
plictisirăm	pliktisirəm
plictisirăți	pliktisirətsʲ
plictisise	pliktisise
plictisisem	pliktisisem
plictisiseră	pliktisiserə
plictisiserăm	pliktisiserəm
plictisiserăți	pliktisiserətsʲ
plictisiseși	pliktisiseʃʲ
plictisiși	pliktisiʃʲ
plictisit	pliktisit
plictisita	pliktisita
plictisită	pliktisitə
plictisite	pliktisite
plictisitei	pliktisitej
plictisitele	pliktisitele
plictisitelor	pliktisitelor
plictisitul	pliktisitul
plictisitul	pliktisitu
plictisitului	pliktisituluj
plictisiți	pliktisit͡sʲ
plictisiții	pliktisit͡siː
plictisiților	pliktisit͡silor
ploaie	plʷaje
ploios	plojos
plug	pluɡ
poartă	po̯artə
poate	po̯ate
podea	pode̯a
polonez	polonez
poloneză	polonezə
popescu	popesku
poponar	poponar
popularitate	popularitate
pornea	pornja
porneai	pornjaj
porneam	pornjam
pornească	pornjaskə
porneați	pornjatsʲ
porneau	pornjaw
pornesc	pornesk
pornește	porneʃte
pornești	porneʃtʲ
porni	porni
pornii	porniː
pornim	pornim
pornind	pornind
porniră	pornirə
pornirăm	pornirəm
pornirăți	pornirətsʲ
pornise	pornise
pornisem	pornisem
porniseră	porniserə
porniserăm	porniserəm
porniserăți	porniserətsʲ
porniseși	porniseʃʲ
porniși	porniʃʲ
pornit	pornit
pornita	pornita
pornită	pornitə
pornite	pornite
pornitei	pornitej
pornitele	pornitele
pornitelor	pornitelor
pornitul	pornitul
pornitul	pornitu
pornitului	pornituluj
porniți	pornit͡sʲ
porniții	pornit͡siː
porniților	pornit͡silor
porno	porno
pornograf	pornoɡraf
pornografi	pornoɡrafʲ
pornografica	pornoɡrafika
pornografică	pornoɡrafikə
pornografice	pornoɡrafit͡ʃe
pornograficei	pornoɡrafit͡ʃej
pornograficele	pornoɡrafit͡ʃele
pornograficelor	pornoɡrafit͡ʃelor
pornografici	pornoɡrafit͡ʃʲ
pornograficii	pornoɡrafit͡ʃij
pornograficilor	pornoɡrafit͡ʃilor
pornograficul	pornoɡrafikul
pornograficul	pornoɡrafiku
pornograficului	pornoɡrafikuluj
pornografie	pornoɡrafie
pornografiei	pornoɡrafiej
pornografii	pornoɡrafiː
pornografii	pornoɡrafiː
pornografiile	pornoɡrafiːle
pornografiilor	pornoɡrafiːlor
pornografilor	pornoɡrafilor
pornograful	pornoɡraful
pornograful	pornoɡrafu
pornografului	pornoɡrafuluj
portabilitate	portabilitate
portocal	poɾtokal
portocală	portokalə
portret	portret
porți	portsʲ
poșetă	poʃetə
pot	pot
potabil	potabil
potabile	potabile
potabili	potabilʲ
potabilitate	potabilitate
potcoavă	potko̯avə
poți	potsʲ
poziție	pozitsie
prea	pre̯a
preejaculator	preeʒakulator
pregătea	preɡətja
pregăteai	preɡətjaj
pregăteam	preɡətjam
pregătească	preɡətjaskə
pregăteați	preɡətjatsʲ
pregăteau	preɡətjaw
pregătesc	preɡətesk
pregătește	preɡəteʃte
pregătești	preɡəteʃtʲ
pregăti	preɡəti
pregătii	preɡətiː
pregătim	preɡətim
pregătind	preɡətind
pregătiră	preɡətirə
pregătirăm	preɡətirəm
pregătirăți	preɡətirətsʲ
pregătise	preɡətise
pregătisem	preɡətisem
pregătiseră	preɡətiserə
pregătiserăm	preɡətiserəm
pregătiserăți	preɡətiserətsʲ
pregătiseși	preɡətiseʃʲ
pregătiși	preɡətiʃʲ
pregătit	preɡətit
pregătita	preɡətita
pregătită	preɡətitə
pregătite	preɡətite
pregătitei	preɡətitej
pregătitele	preɡətitele
pregătitelor	preɡətitelor
pregătitul	preɡətitul
pregătitul	preɡətitu
pregătitului	preɡətituluj
pregătiți	preɡətit͡sʲ
pregătiții	preɡətit͡siː
pregătiților	preɡətit͡silor
preludiu	preludju
prepoziție	prepozit͡sie
prepuț	prɛputs
prepuțuri	preput͡surʲ
pretutindenea	pretutindenʲæ
pretutindeni	pretutindenʲ
prețuiești	pret͡suieʃtʲ
prevesti	prevesti
prezentare	prezentare
prezervativ	prezervativ
prezervative	prezervative
prezervativele	prezervativele
prezervativelor	prezervativelor
prezervativul	prezervativul
prezervativul	prezervativu
prezervativului	prezervativuluj
prezice	prezit͡ʃe
pricolici	prikolit͡ʃʲ
prieten	prieten
prietena	prietena
prietenă	prietenə
prietene	prietene
prietenei	prietenej
prietenele	prietenele
prietenelor	prietenelor
prietenește	prieteneʃte
prieteni	prietenʲ
prietenie	prietenie
prietenii	prieteniː
prietenilor	prietenilor
prietenos	prietenos
prietenul	prietenul
prietenul	prietenu
prietenului	prietenuluj
prime	prime
primea	primja
primeai	primjaj
primeam	primjam
primească	prime̯askə
primeați	primjatsʲ
primeau	primjaw
primesc	primesk
primește	primeʃte
primești	primeʃtʲ
primi	primi
primi	primʲ
primii	primiː
primim	primim
primind	primind
primiră	primirə
primirăm	primirəm
primirăți	primirətsʲ
primise	primise
primisem	primisem
primiseră	primiserə
primiserăm	primiserəm
primiserăți	primiserətsʲ
primiseși	primiseʃʲ
primiși	primiʃʲ
primit	primit
primita	primita
primită	primitə
primite	primite
primitei	primitej
primitele	primitele
primitelor	primitelor
primitul	primitul
primitul	primitu
primitului	primituluj
primiți	primit͡sʲ
primiții	primit͡siː
primiților	primit͡silor
primul	primul
prioritate	prijoritate
proastă	pro̯astə
proci	pɾot͡ʃʲ
produce	produtʃe
produci	produt͡ʃʲ
profesoară	profeso̯arə
proiect	projɛkt
promis	promis
promise	promise
promisiune	promisiune
promisiuni	promisiunʲ
promit	promit
promite	promite
promitem	promitem
promițând	promitsɨnd
prosti	prosti
proști	proʃtʲ
proteja	proteʒa
protejai	proteʒaj
protejam	proteʒam
protejară	proteʒarə
protejarăm	proteʒarəm
protejarăți	proteʒarət͡sʲ
protejase	proteʒase
protejasem	proteʒasem
protejaseră	proteʒaserə
protejaserăm	proteʒaserəm
protejaserăți	proteʒaserət͡sʲ
protejaseși	proteʒaseʃʲ
protejași	proteʒaʃʲ
protejat	proteʒat
protejați	proteʒat͡sʲ
protejau	proteʒaw
protejă	proteʒə
protejăm	proteʒəm
protejând	proteʒɨnd
protejează	proteʒe̯azə
protejez	proteʒez
protejeze	proteʒeze
protejezi	proteʒezʲ
ptru	ʙ̥ːu
publicitate	publit͡ʃitate
pui	puj
pula	pula
pulă	pulə
pule	pule
pulei	pulej
pulele	pulele
pulelor	pulelor
puli	pulʲ
pulii	puliː
pulile	pulile
pulilor	pulilor
pulosul	pulosul
pulosul	pulosu
pulosului	pulosuluj
puloși	puloʃʲ
puloșii	puloʃiː
puloșilor	puloʃilor
pun	pun
pune	pune
punem	punem
puneți	punet͡sʲ
pungă	punɡə
pungi	pund͡ʒʲ
pupa	pupa
purta	purta
pus	pus
puteți	putet͡sʲ
puț	puts
puța	putsa
puță	putsə
puțin	put͡sin
puțoi	putsoj
rabat	rabat
racoviță	rakovit͡sə
radu	radu
ramură	ɾamuɾə
rar	rar
răbda	rəbda
răbdare	rəbdare
rădașcă	rədaʃkə
rădaște	rədaʃte
răi	rəj
răni	rəni
răpea	rəpja
răpeai	rəpjaj
răpeam	rəpjam
răpească	rəpjaskə
răpeați	rəpjatsʲ
răpeau	rəpjaw
răpesc	rəpesk
răpește	rəpeʃte
răpești	rəpeʃtʲ
răpi	rəpi
răpii	rəpiː
răpim	rəpim
răpind	rəpind
răpiră	rəpirə
răpirăm	rəpirəm
răpirăți	rəpirətsʲ
răpise	rəpise
răpisem	rəpisem
răpiseră	rəpiserə
răpiserăm	rəpiserəm
răpiserăți	rəpiserətsʲ
răpiseși	rəpiseʃʲ
răpiși	rəpiʃʲ
răpit	rəpit
răpita	rəpita
răpită	rəpitə
răpite	rəpite
răpitei	rəpitej
răpitele	rəpitele
răpitelor	rəpitelor
răpitul	rəpitul
răpitul	rəpitu
răpitului	rəpituluj
răpiți	rəpit͡sʲ
răpiții	rəpit͡siː
răpiților	rəpit͡silor
răsfoi	rəsfoi
răspuns	ɾəspuns
răstigni	rəstiɡni
rășină	ɾəʃinə
război	rəzboj
rânduri	rɨndurʲ
râu	rɨw
rea	re̯a
real	real
reale	reale
reali	realʲ
realitate	realitate
rece	ret͡ʃe
recunoscut	rekunoskut
reduce	re̞d̪utʃe̞
rege	red͡ʒe
regele	red͡ʒele
regelui	red͡ʒeluj
reghin	reɡin
regi	red͡ʒʲ
regii	red͡ʒiʲ
regilor	red͡ʒilor
regina	red͡ʒina
regină	red͡ʒinə
regine	red͡ʒine
reginei	red͡ʒinej
reginele	red͡ʒinele
reginelor	red͡ʒinelor
reintroduce	reintrodutʃe
relativitate	relativitate
rele	rele
releu	releu
religie	relidʒie
remușcare	remuʃkare
republica	republika
republică	republikə
resursă	resursə
resurse	resurse
revista	revista
revistă	revistə
reviste	reviste
revoluție	ɾevolut͡sie
rezista	rezista
rinichi	rinikʲ
risca	riska
rochie	rokie
rodie	rodie
rog	roɡ
rom	rom
romane	romane
română	romɨnə
române	romɨne
româneasca	romɨne̯aska
românească	romɨne̯askə
românescul	romɨneskul
românescul	romɨnesku
românescului	romɨneskuluj
românești	romɨneʃtʲ
româneștii	romɨneʃtij
româneștile	romɨneʃtile
români	romɨnʲ
rozmarin	rozmarin
ruga	ruɡa
rusia	rusia
ruta	ruta
sacoșă	sakoʃə
sacra	sakra
sacră	sakrə
sacre	sakre
sacri	sakri
sacru	sakru
salamură	salamurə
salturi	salturʲ
sandviș	sandviʃ
sangvin	sanɡvin
saramură	saramurə
sarcastic	sarkastik
sau	saw
săi	səj
sălbatic	səlbatik
sălbatică	səlbatikə
sălbatice	səlbatit͡ʃe
sălbatici	səlbatit͡ʃʲ
sămânță	səmɨntsə
sănătate	sənətate
sănătos	sənətos
săptămână	səptəmɨnə
săptămâni	səptəmɨnʲ
sărac	sərak
sărămură	sərəmurə
săruta	səruta
săvârși	səvɨrʃi
sânge	sɨnd͡ʒe
sângerai	sɨnd͡ʒeraj
sângeram	sɨnd͡ʒeram
sângerară	sɨnd͡ʒerarə
sângerarăm	sɨnd͡ʒerarəm
sângerarăți	sɨnd͡ʒerarətsʲ
sângerase	sɨnd͡ʒerase
sângerasem	sɨnd͡ʒerasem
sângeraseră	sɨnd͡ʒeraserə
sângeraserăm	sɨnd͡ʒeraserəm
sângeraserăți	sɨnd͡ʒeraserətsʲ
sângeraseși	sɨnd͡ʒeraseʃʲ
sângerași	sɨnd͡ʒeraʃʲ
sângerat	sɨnd͡ʒerat
sângerați	sɨnd͡ʒerat͡sʲ
sângerau	sɨnd͡ʒeraw
sângeră	sɨnd͡ʒerə
sângerăm	sɨnd͡ʒerəm
sângerând	sɨnd͡ʒerɨnd
sângerează	sɨnd͡ʒerjazə
sângerez	sɨnd͡ʒerez
sângereze	sɨnd͡ʒereze
sângerezi	sɨnd͡ʒerezʲ
sângeros	sɨnd͡ʒeros
scald	skald
scalzi	skalzʲ
scălda	skəlda
schizofrenie	skizofrenie
sclav	sklav
scrie	skrie
scriem	skriem
scrii	skriʲ
scris	skris
scrisoare	skriso̯are
scrot	skrot
scrotal	skrotal
scrotala	skrotala
scrotală	skrotalə
scrotale	skrotale
scrotalei	skrotalej
scrotalele	skrotalele
scrotalelor	skrotalelor
scrotali	skrotalʲ
scrotalii	skrotaliː
scrotalilor	skrotalilor
scrotalul	skrotalul
scrotalul	skrotalu
scrotalului	skrotaluluj
scroturi	skroturʲ
scrum	skrum
scrumiera	skrumiera
scrumieră	skrumierə
scrumiere	skrumiere
scrumierei	skrumierej
scrumierele	skrumierele
scrumierelor	skrumierelor
sculă	skulə
sculă	skulə
scule	skule
scurtești	skurtɛʃtʲ
scuzi	skuzʲ
secole	sekole
securitate	sekuritate
secvență	sekventsə
secvențe	sekventse
sedu	sedu
seduc	seduk
seduce	sedutʃe
seducem	sedut͡ʃem
seduceți	sedut͡ʃet͡sʲ
seduci	sedut͡ʃʲ
