abak	áːbak
muzikologija	muzikɔlɔɡíːja
na	na
načelo	nat͡ʃɛ̀ːlɔ
načeti	nat͡ʃèːti
načrt	nat͡ʃə́rt
nad	nat
nadlegovati	nadlɛɡɔʋàːti
nadporočnica	natpɔróːt͡ʃnit͡sa
nadporočnik	natpɔróːt͡ʃnik
nadzorovati	nadzɔrɔʋàːti
naenkrat	naɛ̀ːnkrat
nafta	náːfta
nag	náːk
nagel	nàːɡəʋ
nagelj	nàːɡəl
naglas	naɡlás
naglejši	nàːɡlɛjʃi
najabsurdnejši	nájapsúːrdnɛjʃi
najbednejši	nájbèːdnɛjʃi
najbelejši	nájbɛlɛ́ːjʃi
najbetežnejši	nájbɛtèːʒnɛjʃi
najbliže	nájblíːʒɛ
najbližje	nájblíːʒjɛ
najbogatejši	nájbɔɡatɛ́ːjʃi
najbolj	nájbɔl
najbolje	nájbóːljɛ
najboljše	nájbóːlʃɛ
najboljši	nájbóːlʃi
najbradatejši	nájbradàːtɛjʃi
najbrihtnejši	nájbrìːxtnɛjʃi
najbudnejši	nájbùːdnɛjʃi
najdalj	nájdál
najdaljši	nájdáːlʃi
najdebelejši	nájdɛbɛlɛ́ːjʃi
najdejavnejši	nájdɛjàːʋnɛjʃi
najdejavnejši	nájdɛjáːʋnɛjʃi
najdolgočasnejši	nájdɔlɡɔt͡ʃàːsnɛjʃi
najdražji	nájdráːʒji
najglasnejši	nájɡlasnɛ́ːjʃi
najglušji	nájɡlúːʃji
najgrji	nájɡə́rji
najgrozljivejši	nájɡrɔzljìːʋɛjʃi
najgrši	nájɡə́rʃi
najhitreje	nájxitrɛ̀ːjɛ
najhitrejše	nájxitrɛ̀ːjʃɛ
najhujši	nájxúːjʃi
najin	náːjin
najjasnejši	nájjàːsnɛjʃi
najjasnejši	nájjasnɛ́ːjʃi
najjeznejši	nájjèːznɛjʃi
najkrajši	nájkráːjʃi
najkrutejši	nájkrùːtɛjʃi
najkrutejši	nájkrúːtɛjʃi
najlažji	nájláːʒji
najlepši	nájléːpʃi
najljubosumnejši	nájljubɔsùːmnɛjʃi
najmanjši	nájmáːnʃi
najmečji	nájméːt͡ʃji
najmlajši	nájmláːjʃi
najmodrejši	nájmɔdrɛ́ːjʃi
najmodrejši	nájmòːdrɛjʃi
najnaglejši	nájnàːɡlɛjʃi
najnaravnejši	nájnaràːʋnɛjʃi
najnepotrpežljivejši	nájnɛ́pɔtərpɛʒljìːʋɛjʃi
najneumnejši	nájnɛùːmnɛjʃi
najnevarnejši	nájnɛʋàːrnɛjʃi
najobčutljivejši	nájɔpt͡ʃutljìːʋɛjʃi
najočitnejši	nájɔt͡ʃìːtnɛjʃi
najodličnejši	nájɔdlìːt͡ʃnɛjʃi
najokusnejši	nájɔkùːsnɛjʃi
najosnovnejši	nájɔsnɔ́ːʋnɛjʃi
najožji	nájóːʒji
najpestrejši	nájpèːstrɛjʃi
najplodnejši	nájplòːdnɛjʃi
najpočasneje	nájpɔt͡ʃàːsnɛjɛ
najpočasneje	nájpɔt͡ʃasnɛ́ːjɛ
najpodlejši	nájpɔ̀ːdlɛjʃi
najpodobnejši	nájpɔdòːbnɛjʃi
najpodrobnejši	nájpɔdróːbnɛjʃi
najpogosteje	nájpɔɡóːstɛjɛ
najpogostejše	nájpɔɡóːstɛjʃɛ
najpogumnejši	nájpɔɡùːmnɛjʃi
najpolnejši	nájpɔ̀ːlnɛjʃi
najpomembnejši	nájpɔmèːmbnɛjʃi
najpomembnejši	nájpɔméːmbnɛjʃi
najpotrebnejši	nájpɔtrèːbnɛjʃi
najpotrpežljivejši	nájpɔtərpɛʒljìːʋɛjʃi
najpravilneje	nájpraʋíːlnɛjɛ
najpravilnejše	nájpraʋíːlnɛjʃɛ
najpridnejši	nájprìːdnɛjʃi
najprijaznejši	nájprijàːznɛjʃi
najpustejši	nájpustɛ́ːjʃi
najpustejši	nájpùːstɛjʃi
najranejši	nájràːnɛjʃi
najravnejši	nájràːʋnɛjʃi
najrazličnejši	nájrazlìːt͡ʃnɛjʃi
najredkejši	nájrɛtkɛ́ːjʃi
najredkejši	nájrèːtkɛjʃi
najresničnejši	nájrɛsnìːt͡ʃnɛjʃi
najresničnejši	nájrɛsníːt͡ʃnɛjʃi
najrevnejši	nájrèːʋnɛjʃi
najskrivnejši	nájskríːʋnɛjʃi
najskrivnostnejši	nájskriʋnóːstnɛjʃi
najskromnejši	nájskrɔ̀ːmnɛjʃi
najslabše	nájsláːpʃɛ
najslabši	nájsláːpʃi
najsladejši	nájsladɛ́ːjʃi
najslajši	nájsláːjʃi
najsmelejši	nájsmèːlɛjʃi
najsodobnejši	nájsɔdɔ̀ːbnɛjʃi
najsončnejši	nájsóːnt͡ʃnɛjʃi
najsplošnejši	nájsplɔ̀ːʃnɛjʃi
najspodobnejši	nájspɔdòːbnɛjʃi
najsrečnejše	nájsrèːt͡ʃnɛjʃɛ
najsrečnejše	nájsrɛt͡ʃnɛ́ːjʃɛ
najsrečnejši	nájsrèːt͡ʃnɛjʃi
najsrečnejši	nájsrɛt͡ʃnɛ́ːjʃi
najstarejši	nájstarɛ́ːjʃi
najstrastnejši	nájstràːstnɛjʃi
najsvobodnejši	nájsʋɔbɔ̀ːdnɛjʃi
najtežji	nájtéːʒji
najti	nàːjti
najtrši	nájtə́rʃi
najusodnejši	nájusòːdnɛjʃi
najustreznejši	nájustrèːznɛjʃi
najvarnejši	nájʋàːrnɛjʃi
največ	nájʋɛt͡ʃ
največ	nájʋɛ́t͡ʃ
največji	nájʋéːt͡ʃji
najvišji	nájʋíːʃji
najzanimivejši	nájzanimìːʋɛjʃi
najznačilnejši	nájznat͡ʃíːlnɛjʃi
najzrelejši	nájzrèːlɛjʃi
najzrelejši	nájzrɛlɛ́ːjʃi
najživahnejši	nájʒiʋàːxnɛjʃi
naključje	nakljúːt͡ʃjɛ
namenilnik	namɛníːlnik
namera	naméːra
namibija	namìːbija
namigovati	namiɡɔʋàːti
nanašati	nanáːʃati
nanositi	nanɔsìːti
nanositi	nanɔsíːti
napačen	napáːt͡ʃən
napačen	náːpat͡ʃən
napad	napát
napaka	napáːka
napisati	napìːsati
napisati	napisàːti
naprava	napráːʋa
narava	naráːʋa
naraven	naràːʋən
naravnejši	naràːʋnɛjʃi
naravnost	naràːʋnɔst
naravnost	naràːʋnɔst
narečje	naréːt͡ʃjɛ
narediti	narɛdìːti
narediti	narɛdíːti
narod	nàːrɔt
naslednji	nasléːdnji
nasmeh	nasmɛ́x
nasmeh	nasméːx
nasmehniti	nasmèːxniti
nastati	nastàːti
nasvidenje	nasʋíːdɛnjɛ
naš	náʃ
nataša	natáːʃa
natrij	nàːtrij
navada	naʋáːda
navdih	naʋdíːx
nazaj	nazàːj
ne	nɛ́
ne	nɛ
neapelj	nɛàːpəl
nebesa	nɛbèːsa
nebo	nɛbóː
nebotičnik	nɛbɔtíːt͡ʃnik
nečak	nɛt͡ʃàːk
nečakinja	nɛt͡ʃàːkinja
nedelja	nɛdèːlja
nedoločnik	nɛ́dɔlòːt͡ʃnik
nedoločnik	nɛ́dɔlóːt͡ʃnik
nedovršen	nɛ́dɔʋə́rʃən
nehati	néːxati
nehemija	nɛxɛmíːja
nekaj	nèːkaj
nekaj	néːkaj
nekam	nèːkam
nekdo	nɛɡdòː
nekdo	nɛɡdóː
nekdo	néːɡdɔ
nekje	nɛkjèː
nekje	nɛkjéː
nekrofilija	nɛkrɔfilíːja
nekropola	nɛkróːpɔla
nem	néːm
nemčija	néːmt͡ʃija
nemec	nèːmət͡s
nemka	nèːmka
nemogoč	nɛ́mɔɡòːt͡ʃ
nemščina	nèːmʃt͡ʃina
nemški	nèːmʃki
nemško	nèːmʃkɔ
neodim	nɛɔdíːm
neodvisen	nɛ́ɔdʋìːsən
neon	néːɔn
neposreden	nɛ́pɔsréːdən
neposredno	nɛ́pɔsréːdnɔ
nepotrpežljiv	nɛ́pɔtərpɛʒljìːʋ
nepotrpežljiv	nɛ́pɔtərpɛʒljíːʋ
nepotrpežljivejši	nɛ́pɔtərpɛʒljìːʋɛjʃi
nepredvidljiv	nɛ́prɛdʋidljìːʋ
nepredvidljiv	nɛ́prɛdʋidljíːʋ
neptun	nɛptúːn
neptunij	nɛptùːnij
nesti	nɛ̀ːsti
netopir	nɛtɔpìːr
netopir	nɛtɔpíːr
neumen	nɛùːmən
neumnejši	nɛùːmnɛjʃi
nevaren	nɛʋàːrən
nevarnejši	nɛʋàːrnɛjʃi
nevihta	nɛʋíːxta
nič	nít͡ʃ
nihče	nixt͡ʃɛ́
nihče	níːxt͡ʃɛ
nikelj	nìːkəl
nikolaj	nikɔláːj
nikoli	nikóːli
niobij	nijòːbij
niša	nìːʃa
niša	níːʃa
nit	nít
nizek	nìːzək
nizozemec	nizɔzéːmət͡s
nizozemka	nizɔzéːmka
nizozemska	nizɔzéːmska
nizozemski	nizɔzéːmski
nizozemsko	nizɔzéːmskɔ
nizozemščina	nizɔzéːmʃt͡ʃina
njegov	njɛɡɔ̀ːʋ
njegov	njɛɡɔ́ʋ
njen	njèːn
njihov	njìːxɔʋ
njihov	njíːxɔʋ
njun	njùːn
nlp	nələpə́
nobelij	nɔbèːlij
nocoj	nɔt͡sòːj
noč	nóːt͡ʃ
noga	nɔ̀ːɡa
nogavica	nɔɡaʋìːt͡sa
nogomet	nɔɡɔmɛ́t
noht	nóːxt
noj	nóːj
noj	nɔ́j
nominativ	nóːminatiʋ
nor	nɔ́r
norveščina	nɔrʋéːʃt͡ʃina
norveška	nɔrʋéːʃka
norveški	nɔrʋéːʃki
norveško	nɔrʋéːʃkɔ
norvežan	nɔrʋɛʒán
norvežan	nɔrʋɛʒáːn
norvežanka	nɔrʋɛʒáːnka
nos	nóːs
nosilec	nɔsíːlət͡s
nositi	nɔsìːti
nositi	nɔsíːti
nosorog	nɔsɔróːk
nota	nóːta
noter	nòːtɛr
noter	nóːtɛr
notri	nòːtri
notri	nóːtri
nov	nɔ́ʋ
novak	nɔʋàːk
november	nɔʋɛ̀ːmbər
novina	nɔʋìːna
novinec	nɔʋíːnət͡s
nož	nɔ́ʃ
nuna	nùːna
o	ɔ
občinstvo	ɔpt͡ʃíːnstʋɔ
občutljiv	ɔpt͡ʃutljìːʋ
občutljiv	ɔpt͡ʃutljíːʋ
občutljivejši	ɔpt͡ʃutljìːʋɛjʃi
obed	ɔbɛ́t
obesiti	ɔbèːsiti
obiskati	ɔbiskàːti
obiskovati	ɔbiskɔʋàːti
objaviti	ɔbjàːʋiti
objem	ɔbjɛ́m
objeti	ɔbjèːti
oblak	ɔbláːk
oblast	ɔbláːst
obleka	ɔbléːka
oblika	ɔblíːka
oblikosloven	ɔblikɔslɔ́ːʋən
oblikoslovje	ɔblikɔslɔ́ːʋjɛ
obljuba	ɔbljúːba
obljubiti	ɔbljubìːti
obljubiti	ɔbljubíːti
obljubiti	ɔbljùːbiti
obljubiti	ɔbljúːbiti
obmodek	ɔbmóːdək
oboa	óːbɔa
obramba	ɔbráːmba
obraniti	ɔbranìːti
obraniti	ɔbraníːti
obraz	ɔbrás
obrazen	ɔbráːzən
obrazilo	ɔbrazìːlɔ
obrezovanje	ɔbrɛzɔʋàːnjɛ
obrv	ɔbə́rʋ
obsečnica	ɔpséːt͡ʃnit͡sa
obsedenost	ɔpséːdɛnɔst
obuti	ɔbùːti
oče	ɔ̀ːt͡ʃɛ
očim	òːt͡ʃim
očim	óːt͡ʃim
očiten	ɔt͡ʃìːtən
očitnejši	ɔt͡ʃìːtnɛjʃi
od	ɔt
oddajnik	ɔddáːjnik
odeja	ɔdɛ́ːja
oder	òːdər
odgovor	ɔdɡɔ́ːʋɔr
odgovoriti	ɔdɡɔʋɔrìːti
odgovoriti	ɔdɡɔʋɔríːti
oditi	ɔdìːti
odjaviti	ɔdjàːʋiti
odličen	ɔdlìːt͡ʃən
odličnejši	ɔdlìːt͡ʃnɛjʃi
odločba	ɔdlóːd͡ʒba
odnos	ɔdnɔ́s
odpreti	ɔtprèːti
odprt	ɔtpə́rt
odrešenik	ɔdrɛʃɛnìːk
odvisen	ɔdʋìːsən
odvreti	ɔdʋrèːti
ogel	óːɡəʋ
ogel	òːɡəʋ
ogenj	ɔ̀ːɡən
oglas	ɔɡlás
ogledalo	ɔɡlɛdàːlɔ
ogljik	ɔɡljíːk
ognjenik	ɔɡnjɛnìːk
ogor	ɔɡóːr
ogor	óːɡɔr
ograja	ɔɡràːja
ograja	ɔɡráːja
ogroziti	ɔɡrɔzìːti
ogroziti	ɔɡrɔzíːti
ogrožati	ɔɡròːʒati
ogrska	òːɡərska
ogrska	óːɡərska
oje	ɔjéː
okarina	ɔkaríːna
oklepaj	ɔklɛpáːj
okno	ɔ̀ːknɔ
oko	ɔkóː
okopati	ɔkòːpati
okopati	ɔkɔpàːti
okopati	ɔkɔpàːti
okopavati	ɔkɔpáːʋati
okostje	ɔkóːstjɛ
okrogel	ɔkròːɡəʋ
oktober	ɔktòːbər
okus	ɔkúːs
okusen	ɔkùːsən
okusen	ɔkúːsən
okusnejši	ɔkùːsnɛjʃi
ol	óːl
ol	óːʋ
olje	òːljɛ
oltar	ɔltàːr
oman	óːman
oman	óːman
on	ɔ́n
ona	ɔ̀ːna
one	ɔ̀ːnɛ
oni	ɔ̀ːni
ono	ɔ̀ːnɔ
opat	ɔpáːt
opatija	ɔpatíːja
opatinja	ɔpáːtinja
opazovati	ɔpazɔʋàːti
opeka	ɔpéːka
opeklina	ɔpɛklìːna
opereta	ɔpɛréːta
opica	óːpit͡sa
opomba	ɔpóːmba
oporoka	ɔpɔróːka
oprostite	ɔprɔstíːtɛ
optičen	òːptit͡ʃən
optika	òːptika
opuščaj	ɔpuʃt͡ʃáːj
orakelj	ɔràːkəl
oranža	ɔráːnʒa
oranžen	ɔráːnʒən
oreh	ɔ̀ːrɛx
orel	ɔ̀ːrəʋ
organizacija	ɔrɡanizàːt͡sija
orgazem	ɔrɡàːzəm
orgazmičen	ɔrɡàːzmit͡ʃən
orgiastičen	ɔrɡiàːstit͡ʃən
orgija	òːrɡija
orgle	óːrɡlɛ
orhideja	ɔrxidɛ́ːja
orjak	ɔrjàːk
orlič	ɔrlít͡ʃ
orodje	ɔróːdjɛ
orodnik	ɔróːdnik
os	óːs
osa	ɔ̀ːsa
oseba	ɔséːba
oseben	ɔséːbən
osebnost	ɔséːbnɔst
osel	ɔ̀ːsəʋ
osem	òːsəm
osemdeset	òːsəmdɛsɛt
osemnajst	ɔsəmnàːjst
osemnajst	òːsəmnajst
osmij	òːsmij
osnoven	ɔsnɔ́ːʋən
osnovnejši	ɔsnɔ́ːʋnɛjʃi
osončje	ɔsóːnt͡ʃjɛ
ost	óːst
oster	òːstər
ostriga	ɔstrìːɡa
ostriga	ɔstríːɡa
ostrivec	ɔstríːʋət͡s
ošiliti	ɔʃìːliti
oteti	ɔtèːti
otok	ɔ̀ːtɔk
otomanski	ɔtɔmáːnski
otroče	ɔtrɔt͡ʃɛ́
otročji	ɔtròːt͡ʃji
otrok	ɔtrɔ́k
otrpniti	ɔtə̀rpniti
otvoriti	ɔtʋòːriti
otvoriti	ɔtʋóːriti
ovca	ɔ̀ːʋt͡sa
ovčar	ɔʋt͡ʃàːr
oven	ɔ̀ːʋən
oves	ɔ̀ːʋəs
ovratnik	ɔʋráːtnik
ozek	òːzək
oziroma	ɔzíːrɔma
oznaka	ɔznáːka
ožemati	ɔʒéːmati
ožeti	ɔʒèːti
ožji	óːʒji
pa	pa
padalo	padàːlɔ
padati	pàːdati
padati	páːdati
padec	páːdət͡s
paglavec	pàːɡlaʋət͡s
pajek	páːjək
palača	palàːt͡ʃa
paladij	palàːdij
paladin	paladíːn
palčnik	páːʋt͡ʃnik
palec	páːlət͡s
paleolitik	palɛɔlìːtik
palestina	palɛstíːna
palimpsest	palimpséːst
palindrom	palindróːm
palma	páːlma
pamet	pàːmɛt
panj	páːn
papagaj	papaɡáːj
papež	páːpɛʃ
papiga	páːpiɡa
papir	papíːr
par	pàːr
paradižnik	paradíːʒnik
paradoks	paradóːks
paranoja	paranóːja
parfum	parfúːm
pariz	paríːs
past	páːst
pasti	pàːsti
pasti	pàːsti
pastir	pastìːr
patologija	patɔlɔɡíːja
patološki	patɔlóːʃki
pav	páːʋ
pavel	páːʋəl
pazduha	páːzduxa
peč	péːt͡ʃ
pečat	pɛt͡ʃáːt
peči	pɛ̀ːt͡ʃi
pedagogika	pɛdaɡòːɡika
pegatka	pɛɡáːtka
pehati	pəxàːti
pehati	péːxati
pek	pèːk
pek	péːk
pekel	pəkə́ʋ
pekel	pə̀kəʋ
peljati	pɛljàːti
pena	pèːna
penis	péːnis
pepel	pɛpéːʋ
pepelka	pɛpéːlka
pero	pɛróː
peron	pɛróːn
perut	pɛrúːt
perutnina	pɛrutnìːna
perverzija	pɛrʋɛ̀ːrzija
perverzija	pɛrʋɛrzíːja
pes	pə́s
pesek	pèːsək
pesem	péːsəm
pesnik	péːsnik
pest	péːst
pester	pèːstər
pestič	pɛstít͡ʃ
pestrejši	pèːstrɛjʃi
pet	péːt
peta	pɛ̀ːta
petdeset	péːddɛsɛt
petek	pèːtək
petelin	pɛtɛ̀ːlin
peter	pèːtər
peteršilj	pɛtɛrʃíl
peteršilj	pɛtɛrʃíːl
peti	pɛ̀ːti
peti	pèːti
petnajst	pɛtnàːjst
petnajst	péːtnajst
pevec	pèːʋət͡s
phati	pxàːti
pi	píː
pianist	pijaníːst
pica	pìːt͡sa
pica	píːt͡sa
pihati	pìːxati
pijača	pijàːt͡ʃa
pijavka	pijáːʋka
pikapolonica	pikapɔlóːnit͡sa
pila	pìːla
pingvin	pinɡʋíːn
pipa	pìːpa
pira	pìːra
piramida	piramíːda
pisarna	pisáːrna
pisatelj	pisáːtɛl
pisati	pìːsati
pisati	pisàːti
pismo	pìːsmɔ
pistacija	pistàːt͡sija
piščanec	piʃt͡ʃàːnət͡s
pita	pìːta
pitagora	pitàːɡɔra
piti	pìːti
piton	pitóːn
pivo	pìːʋɔ
pizda	pìːzda
pizda	píːzda
plačati	plàːt͡ʃati
plačati	plat͡ʃàːti
plamen	plàːmɛn
planet	planéːt
plašč	plàːʃt͡ʃ
platana	platáːna
platina	pláːtina
platno	plàːtnɔ
plavati	pláːʋati
plaz	pláːs
plaža	plàːʒa
ples	pléːs
plesati	plèːsati
plesati	plɛsàːti
plesen	pléːsən
plesti	plɛ̀ːsti
pleti	plèːti
pleva	plèːʋa
pljuča	pljùːt͡ʃa
pljučnica	pljúːt͡ʃnit͡sa
pločevinka	plɔt͡ʃɛʋíːnka
plod	plóːt
ploden	plòːdən
plodnejši	plòːdnɛjʃi
plug	plúːk
plug	plúk
pluta	plùːta
pluti	plùːti
pluton	plúːtɔn
plutonij	plutòːnij
po	pɔ
pobrati	pɔbràːti
poceni	pɔt͡sèːni
počasi	pɔt͡ʃáːsi
počasneje	pɔt͡ʃàːsnɛjɛ
počasneje	pɔt͡ʃasnɛ́ːjɛ
počasno	pɔt͡ʃàːsnɔ
počitek	pɔt͡ʃíːtək
počiti	pòːt͡ʃiti
počiti	pɔt͡ʃìːti
počivati	pɔt͡ʃìːʋati
pod	pɔ́t
podaljšati	pɔdáːlʃati
podaljšava	pɔdalʃáːʋa
podel	pɔ̀ːdəʋ
podgana	pɔdɡàːna
podkev	pɔ̀ːtkəʋ
podkovati	pɔtkɔʋàːti
podla	pɔ̀ːdla
podlasica	pɔdlàːsit͡sa
podleči	pɔdlèːt͡ʃi
podlejši	pɔ̀ːdlɛjʃi
podmornica	pɔdmóːrnit͡sa
podnebje	pɔdnéːbjɛ
podoba	pɔdóːba
podoben	pɔdòːbən
podobnejši	pɔdòːbnɛjʃi
podpičje	pɔ́tpíːt͡ʃjɛ
podroben	pɔdróːbən
podrobnejši	pɔdróːbnɛjʃi
podrobnost	pɔdróːbnɔst
pofukan	pɔfúːkan
pofukati	pɔfúːkati
pogača	pɔɡàːt͡ʃa
pogodba	pɔɡóːdba
pogoj	pɔɡɔ́j
pogojnik	pɔɡóːjnik
pogoltniti	pɔɡɔ̀ːʋtniti
pogosteje	pɔɡóːstɛjɛ
pogostejše	pɔɡóːstɛjʃɛ
pogosto	pɔɡóːstɔ
pogovarjati	pɔɡɔʋáːrjati
pogovor	pɔɡɔ́ːʋɔr
pogovoren	pɔɡɔ́ːʋɔrən
pogovoriti	pɔɡɔʋɔrìːti
pogovoriti	pɔɡɔʋɔríːti
pogrešati	pɔɡrèːʃati
pogum	pɔɡúːm
pogumen	pɔɡùːmən
pogumnejši	pɔɡùːmnɛjʃi
pohištvo	pɔxíːʃtʋɔ
pohorje	póːxɔrjɛ
pojasniti	pɔjàːsniti
pojasniti	pɔjáːsniti
pojasniti	pɔjasnìːti
pojasniti	pɔjasníːti
pojutrišnjem	pɔjúːtriʃnjɛm
pokazati	pɔkàːzati
pokazati	pɔkazàːti
poker	pòːkər
poklekniti	pɔklèːkniti
poklekniti	pɔklɛknìːti
poklekniti	pɔklɛkníːti
poklic	pɔklíːt͡s
poklicati	pɔklìːt͡sati
pokol	pɔkɔ́l
pokop	pɔkɔ́p
pokopališče	pɔkɔpalìːʃt͡ʃɛ
pokrov	pɔkrɔ́ʋ
polbrat	pɔ́ːʋbrát
poldan	pɔ́ːʋdan
polenovka	pɔlèːnɔʋka
poletje	pɔléːtjɛ
polh	pɔ̀ːʋx
polh	pɔ́ːʋx
polica	pɔlìːt͡sa
policist	pɔlit͡síːst
policistka	pɔlit͡síːstka
politeizem	pɔlitɛìːzəm
polizati	pɔlìːzati
polizati	pɔlizàːti
poljak	pɔljàːk
poljakinja	pɔljàːkinja
poljanšek	pɔljàːnʃək
polje	póːljɛ
polje	pɔljéː
poljedelstvo	pɔljɛdéːlstʋɔ
poljska	póːlska
poljski	póːlski
poljsko	póːlskɔ
poljščina	póːlʃt͡ʃina
poljub	pɔljúːp
poljubiti	pɔljubìːti
poljubiti	pɔljubíːti
poljubiti	pɔljùːbiti
poljubiti	pɔljúːbiti
polkovnica	pɔlkɔ́ːʋnit͡sa
polmer	pɔʋméːr
polmer	pɔlméːr
poln	pɔ́ːʋn
polnejši	pɔ̀ːʋnɛjʃi
polnoč	pɔ́ːʋnɔt͡ʃ
polonij	pɔlòːnij
polotok	póːlɔtɔk
polotok	pɔlɔtɔ́k
polovica	pɔlɔʋìːt͡sa
položaj	pɔlɔʒáːj
polzeti	pɔʋzèːti
polž	pɔ̀ːʋʃ
polž	pɔ́ːʋʃ
pomagati	pɔmàːɡati
pomagati	pɔmaɡàːti
pomaranča	pɔmaráːnt͡ʃa
pomemben	pɔmèːmbən
pomemben	pɔméːmbən
pomembnejši	pɔmèːmbnɛjʃi
pomembnejši	pɔméːmbnɛjʃi
pomembnost	pɔmèːmbnɔst
pomembnost	pɔméːmbnɔst
pomen	pɔmɛ́n
pomenoslovje	pɔmɛnɔslɔ́ːʋjɛ
pomenski	pɔméːnski
pomlad	pɔmláːt
pomniti	póːmniti
pomoč	pɔmóːt͡ʃ
pomočnik	pɔmɔt͡ʃnìːk
ponarediti	pɔnarɛdìːti
ponarediti	pɔnarɛdíːti
ponedeljek	pɔnɛdéːljək
ponos	pɔnɔ́s
popačenka	pɔpáːt͡ʃɛnka
popek	póːpək
poper	pɔ̀ːpər
poplava	pɔpláːʋa
popoldan	pɔpɔ́ːʋdan
popolnoma	pɔpɔ́ːʋnɔma
por	póːr
por	pɔ́r
porcelan	pɔrt͡sɛláːn
pornograf	pɔrnɔɡráːf
pornografija	pɔrnɔɡrafíːja
pornografski	pɔrnɔɡráːfski
poročen	pɔrɔt͡ʃɛ́n
poročen	pɔróːt͡ʃən
poročilo	pɔrɔt͡ʃìːlɔ
poročnica	pɔróːt͡ʃnit͡sa
poročnik	pɔróːt͡ʃnik
porod	pɔrɔ́t
porod	pɔ̀ːrɔt
portoriko	pɔrtɔríːkɔ
portret	pɔrtréːt
portugalec	pɔrtuɡáːlət͡s
portugalka	pɔrtuɡáːlka
portugalska	pɔrtuɡáːlska
portugalski	pɔrtuɡáːlski
portugalsko	pɔrtuɡáːlskɔ
portugalščina	pɔrtuɡáːlʃt͡ʃina
posameznik	pɔsáːmɛznik
posebej	pɔséːbɛj
posel	pɔ̀ːsəʋ
poskusiti	pɔskùːsiti
poskušati	pɔskùːʃati
poslati	pɔslàːti
poslušati	pɔslùːʃati
poslušati	pɔsluʃàːti
posoditi	pɔsɔdìːti
posoditi	pɔsɔdíːti
posoditi	pɔsòːditi
posodobiti	pɔsɔdɔ̀ːbiti
posodobiti	pɔsɔdɔ́ːbiti
pospešek	pɔspéːʃək
post	pɔ́st
postaja	pɔstáːja
postati	pɔstàːti
postati	pɔstàːti
postelja	pòːstɛlja
posteljica	pòːstɛljit͡sa
postrv	pɔstə́rʋ
pot	pòːt
pot	póːt
potegovati	pɔtɛɡɔʋàːti
potem	pɔtéːm
potem	pɔtɛ́m
potok	pɔ̀ːtɔk
potreben	pɔtrèːbən
potrebnejši	pɔtrèːbnɛjʃi
potrebovati	pɔtrɛbɔʋàːti
potres	pɔtrɛ́s
potrpežljiv	pɔtərpɛʒljìːʋ
potrpežljiv	pɔtərpɛʒljíːʋ
potrpežljivejši	pɔtərpɛʒljìːʋɛjʃi
potrpežljivost	pɔtərpɛʒljìːʋɔst
poudariti	pɔudàːriti
povednik	pɔʋéːdnik
povratnik	pɔʋráːtnik
površina	pɔʋərʃìːna
pozabiti	pɔzabìːti
pozabiti	pɔzabíːti
pozabiti	pɔzàːbiti
pozavna	pɔzáːʋna
pozdrav	pɔzdráʋ
pozen	pɔ̀ːzən
pozitron	pɔzitróːn
poznati	pɔznàːti
pozno	pɔ̀ːznɔ
pozornost	pɔzòːrnɔst
požar	pɔʒáːr
prababica	práːbàːbit͡sa
praded	práːdéːt
praded	práːdɛ́t
praga	pràːɡa
pragermanščina	práːɡɛrmáːnʃt͡ʃina
prah	práːx
prakrt	práːkərt
praporščak	prapɔrʃt͡ʃàːk
praporščakinja	prapɔrʃt͡ʃàːkinja
praprot	pràːprɔt
prase	prasɛ́
prase	pràːsɛ
praslovanski	práːslɔʋáːnski
praslovanščina	práːslɔʋáːnʃt͡ʃina
prašati	pràːʃati
prašati	praʃàːti
prašič	pràːʃit͡ʃ
prašnik	práːʃnik
praštevilo	práːʃtɛʋìːlɔ
prati	pràːti
pravica	praʋìːt͡sa
pravičen	praʋìːt͡ʃən
pravičen	praʋíːt͡ʃən
pravičnost	praʋìːt͡ʃnɔst
pravičnost	praʋíːt͡ʃnɔst
pravilen	praʋíːlən
pravilneje	praʋíːlnɛjɛ
pravilnejše	praʋíːlnɛjʃɛ
pravilno	praʋíːlnɔ
pravkar	práʋkar
pravo	práːʋɔ
pravopis	praʋɔpíːs
prazen	pràːzən
prazeodim	prazɛɔdíːm
prazniti	praznìːti
prazniti	prazníːti
prazniti	pràːzniti
pražiti	pràːʒiti
prebava	prɛbáːʋa
prebiti	prɛbìːti
prebiti	prɛbìːti
prebivalec	prɛbiʋáːlət͡s
pred	prɛt
predal	prɛdáːl
predhodnik	prɛdxóːdnik
predlagati	prɛdláːɡati
predlog	prɛ̀ːdlɔk
predmet	prɛ̀ːdmɛt
prednik	préːdnik
predpona	prɛtpóːna
predpreteklik	prɛ́tprɛtɛ̀ːklik
predsednik	prɛtséːdnik
predvideti	prɛdʋìːdɛti
predvidljiv	prɛdʋidljìːʋ
predvidljiv	prɛdʋidljíːʋ
predvidljivost	prɛdʋidljìːʋɔst
prehlad	prɛxlát
preja	prɛ̀ːja
preja	prɛ́ːja
prekletstvo	prɛkléːtstʋɔ
premena	prɛméːna
premeniti	prɛmɛnìːti
premeniti	prɛmɛníːti
preobrat	prɛɔbràt
prepelica	prɛpɛlìːt͡sa
preproga	prɛpròːɡa
preproga	prɛpróːɡa
