က	ka̰
ထံ	tʰàɴ
ထွက်	tʰwɛʔ
ထွက်ပေါက်	tʰwɛʔpaʊʔ
ထွက်ပြေး	tʰwɛʔpjé
ထွန်	tʰʊ̀ɴ
ထွန်စက်	tʰʊ̀ɴzɛʔ
ထွန်း	tʰʊ́ɴ
ထွေး	tʰwé
ဒကာ	dəɡà
ဒက္ခိဏ	dɛʔkʰḭna̰
ဒဂုံ	dəɡòʊɴ
ဒင်္ဂါး	dɪ̀ɴɡá
ဒစ္စကို	dɪʔsa̰kò
ဒဏ္ဍာရီ	dàndàjì
ဒဏ်	dàn
ဒဏ်ငွေ	dànŋwè
ဒဏ်ရာ	dàɴjà
ဒန့်သလွန်	da̰ɴðəlʊ̀ɴ
ဒန်ပူ	dəbù
ဒသမ	da̰θəma̰
ဒါ	dà
ဒါန	dàna̰
ဒါပါပဲ	dàbàbɛ́
ဒါပေမဲ့	dàbèmɛ̰
ဒါပော့	dàpɔ̰
ဒိန်ခဲ	dèɪɴɡɛ́
ဒိန်ချဉ်	dèɪɴd͡ʑɪ̀ɴ
ဒိန်းမတ်	déɪɴmaʔ
ဒိုင်ခွက်	dàɪɴɡwɛʔ
ဒိုင်နိုဆော	dàɪɴnòsʰɔ́
ဒိုင်ယာနာ	dàɪɴjànà
ဒိုင်ယာရီ	dàɪɴjəɹì
ဒီ	dì
ဒီဂရီ	dìɡəɹì
ဒီဃ	dìɡa̰
ဒီဇင်ဘာ	dìzɪ̀ɴbà
ဒီဇိုင်း	dìzáɪɴ
ဒီည	dìɲa̰
ဒီနေ့	dìnḛ
ဒီပါ	dìpà
ဒီပါဝလီ	dìpàwəlì
ဒီဗီဒီ	dìbìdì
ဒီမိုကရေစီ	dìmòkəɹèsì
ဒီမှာ	dìm̥à
ဒီလို	dìlò
ဒီဟာ	dìhà
ဒု	dṵ
ဒုက္ခ	doʊʔkʰa̰
ဒုက္ခသည်	doʊʔkʰa̰ðè
ဒုက္ခိတ	doʊʔkʰḭta̰
ဒုတိယ	dṵtḭja̰
ဒုတိယတပ်ကြပ်	dṵtḭja̰taʔt͡ɕaʔ
ဒုတိယဗိုလ်	dṵtḭja̰bò
ဒုတိယဗိုလ်ချုပ်ကြီး	dṵtḭja̰bòd͡ʑoʊʔd͡ʑí
ဒုတိယဗိုလ်ချုပ်မှူးကြီး	dṵtḭja̰bòd͡ʑoʊʔm̥úd͡ʑí
ဒုတိယဗိုလ်မှူးကြီး	dṵtḭja̰bòm̥úd͡ʑí
ဒုတိယအရာခံဗိုလ်	dṵtḭja̰ʔəjàɡàɴbò
ဒုယင်တော်	dəjɪ̀ɴdɔ̀
ဒုံမင်း	dòʊɴmɪ́ɴ
ဒုံး	dóʊɴ
ဒုံးပျံ	dóʊɴbjàɴ
ဒူး	dú
ဒူးခေါင်း	dúɡáʊɴ
ဒူးထောက်	dútʰaʊʔ
ဒူးရင်းယို	dújɪ́ɴjò
ဒူးရင်းသီး	dújɪ́ɴθí
ဒူးလေး	dúlé
ဒူးဝါး	dúwá
ဒေတာဘေ့စ်	dètàbḛs
ဒေဝ	dèwa̰
ဒေဝဒတ်	dèwədaʔ
ဒေဝနာဂရီ	dèwa̰nàɡəɹì
ဒေဝါလီခံ	dèwàlìkʰàɴ
ဒေဝီ	dèwì
ဒေသ	dèθa̰
ဒေသန္တရ	dèθàɴtəja̰
ဒေသိယစကား	dèθḭja̰zəɡá
ဒေါက်တာ	daʊʔtà
ဒေါင်း	dáʊɴ
ဒေါင်းလန်း	dáʊɴláɴ
ဒေါ်	dɔ̀
ဒေါ်ကြီး	dɔ̀d͡ʑí
ဒေါ်လာ	dɔ̀là
ဒေါ်လေး	dɔ̀lé
ဒံပေါက်	dàɴpaʊʔ
ဒြပ်	dəɹaʔ
ဒြပ်စင်	dəɹaʔsɪ̀ɴ
ဒြပ်ထု	dəɹaʔtʰù
ဒွယံဒွယံ	dwa̰jàɴdwa̰jàɴ
ဒွာရ	dwàja̰
ဒွိ	dwḭ
ဒွိလိင်	dwḭlèɪɴ
ဒဿဂီရိ	dəθa̰ɡìjḭ
ဒဿနဗေဒ	da̰θəna̰bèda̰
ဒဿနိကဗေဒ	da̰θənḭka̰bèda̰
ဓနရှင်	dəna̰ʃɪ̀ɴ
ဓနိတ	dənḭta̰
ဓနု	dənṵ
ဓမ္မ	dəma̰
ဓမ္မတာ	dəmədà
ဓမ္မတာကာလ	dəmədàkàla̰
ဓမ္မတာလာ	dəmədàlà
ဓမ္မတာဝန်	dəmədàwʊ̀ɴ
ဓမ္မပါလ	dàɴma̰pàla̰
ဓလေ့	dəlḛ
ဓာတုဗေဒ	dàtṵbèda̰
ဓာတ်	daʔ
ဓာတ်ကြီးလေးပါး	dàtt͡ɕílépá
ဓာတ်ခဲ	daʔkʰé
ဓာတ်ခွက်	dàtkʰwɛʔ
ဓာတ်ငွေ့	daʔŋwḛ
ဓာတ်ဆီ	daʔsʰì
ဓာတ်ဆီဆိုင်	daʔsʰìzàɪɴ
ဓာတ်ပုံ	daʔpòʊɴ
ဓာတ်ပြား	daʔpjà
ဓာတ်မီးခြစ်	daʔmíd͡ʑɪʔ
ဓာတ်မီးပူ	daʔmíbù
ဓာတ်လှေကား	daʔl̥èɡá
ဓာတ်အိုး	daʔʔó
ဓား	dá
ဓားစာခံ	dəzàɡàɴ
ဓားပြ	dəmja̰
ဓားပြား	dəbjá
ဓားအိမ်	dəʔèɪɴ
နက္ခတ္တဗေဒ	nɛʔkʰəta̰bèda̰
နက်	nɛʔ
နက်ဖြန်	nɛʔpʰjàɴ
နကျယ်ကောင်	nəd͡ʑɛ̀ɡàʊɴ
နဂါး	nəɡá
နဂါးမောက်	na̰ɡámaʊʔ
နဂါးမောက်သီး	na̰ɡámaʊʔθí
နင်	nɪ̀ɴ
နင်တို့	nɪ̀ɴdo̰
နည်း	nɛ́
နည်းနည်း	nɛ́nɛ́
နည်းပညာ	nípjɪ̀ɴɲà
နတ်	naʔ
နတ်ကွန်း	naʔkʊ́ɴ
နတ်ဆိုး	naʔsʰó
နတ်တော်	nədɔ̀
နတ်နန်း	naʔnáɴ
နတ်ပြည်ခြောက်ထပ်	naʔpjìt͡ɕʰaʊʔtʰaʔ
နတ်ရွာစံ	naʔjwàsàɴ
နဒီ	nədì
နန္ဒာ	nàɴdà
နန်း	náɴ
နန်းကြီး	náɴt͡ɕí
နန်းကြီးသုပ်	náɴt͡ɕíθoʊʔ
နန်းတော်	náɴdɔ̀
နန်းပြားသုပ်	náɴbjáθoʊʔ
နန်းမတော်	náɴmədɔ̀
နန်းမြင့်	náɴmjɪ̰ɴ
နနွင်း	sʰənwɪ́ɴ
နပန်း	nəbáɴ
နဖူး	na̰pʰú
နမီးဘီးယား	na̰míbíjá
နမူနာ	nəmùnà
နမ်း	náɴ
နယုန်	nəjòʊɴ
နယူးဇီလန်	nəjúzìlàɴ
နယူးဒေလီ	nəjúdèlì
နယူးယောက်	nəjújaʊʔ
နယ်	nɛ̀
နယ်စပ်	nɛ̀zaʔ
နယ်သာလန်	nɛ̀ðəlàɴ
နရက်	nəɹɛʔ
နရန်း	nəjáɴ
နရား	nəjá
နဝကမ္မ	nəwa̰kàɴma̰
နဝမ	nəwəma̰
နဝရတ်	nəwəɹaʔ
နဝရူပ	na̰wa̰jùpa̰
နာ	nà
နာဂရီ	nàɡəɹì
နာတာလူးပွဲ	nàtàlúbwɛ́
နာနတ်	nənaʔ
နာနာ	nànà
နာနာဘာဝ	nànàbàwa̰
နာမ	nàma̰
နာမကရဏ	nàma̰kəɹəna̰
နာမည်	nàmjì
နာမဝိသေသန	nàma̰wḭθèθəna̰
နာမ်	nàɴ
နာမ်စား	nàmzá
နာရီ	nàjì
နာရီဝက်	nàjìwɛʔ
နား	ná
နားကပ်	náɡaʔ
နားကြပ်	nəd͡ʑaʔ
နားကွင်း	náɡwɪ́ɴ
နားထင်	nátʰɪ̀ɴ
နားထောင်	nátʰàʊɴ
နားရွက်	nəjwɛʔ
နားလည်	nálɛ̀
နိကာယ	nḭkàja̰
နိခါတကဗေဒ	nḭkʰàtəka̰bèda̰
နိဂ္ဂဟိတ	neɪʔɡəhḭta̰
နိစ္စ	nèsa̰
နိဒါန်း	nḭdáɴ
နိဒ္ဒေသ	neɪʔdèθa̰
နိပော	nḭpɔ́
နိဗ္ဗာန်	neɪʔbàɴ
နိယာမ	nḭjàma̰
နိုက်ထရိုဂျင်	naɪʔtʰəɹòd͡ʑɪ̀ɴ
နိုင်	nàɪɴ
နိုင်ဂျာ	nàɪɴd͡ʑà
နိုင်ဂျီးရီးယား	nàɪɴd͡ʑíɹíjá
နိုင်ငံ	nàɪɴŋàɴ
နိုင်ငံကူးလက်မှတ်	nàɪɴŋàɴɡúlɛʔm̥aʔ
နိုင်ငံခြား	nàɪɴŋàɴd͡ʑá
နိုင်ငံခြားသား	nàɪɴɡàɴd͡ʑáðà
နိုင်ငံတော်	nàɪɴŋàɴdɔ̀
နိုင်ငံတော်သီချင်း	nàɪɴŋàɴdɔ̀θət͡ɕʰɪ́ɴ
နိုင်ငံရေး	nàɪɴŋàɴjé
နိုင်ငံသား	nàɪɴŋàɴðá
နိုင်ငံသားအဖြစ်	nàɪɴŋàɴðáʔəpʰjɪʔ
နိုင်နိုင်	nàɪɴnàɪɴ
နိုဝင်ဘာ	nòwɪ̀ɴbà
နို့	no̰
နို့ဆီ	no̰zì
နို့လိမ်	no̰lèɪɴ
နို့သီး	no̰ðí
နို့သီးခေါင်း	no̰ðíɡáʊɴ
နိုး	nó
နီ	nì
နီကာရာဂွါ	nìkàɹàɡwà
နီတိ	nìtḭ
နီလာ	nìlà
နီး	ní
နုပ်	noʊʔ
နေ	nè
နေကောင်း	nèkáʊɴ
နေကောင်းရဲ့လား	nèkáʊɴjɛ̰lá
နေစကြဝဠာ	nèsɛʔt͡ɕàwəlà
နေပြည်တော်	nèpjìdɔ̀
နေရာ	nèjà
နေရာငါးသွယ်	nèjàŋáθwɛ̀
နေရာထိုင်ခင်း	nèjàtʰàɪɴɡɪ́ɴ
နေအိမ်	nèʔèɪɴ
နောက်	naʊʔ
နောက်ကျ	naʊʔt͡ɕa̰
နောက်ပြီး	naʊʔpí
နောင်	nàʊɴ
နော်	nɔ̀
နော်ဝေ	nɔ̀wè
နေ့	nḛ
နေ့စွဲ	nḛzwɛ́
နေ့လည်	nḛlɛ̀
နေ့လယ်	nḛlɛ̀
နေ့လယ်စာ	nḛlɛ̀zà
နဲ့	nɛ̰
နံကထိုင်	nàɴkətʰàɪɴ
နံနက်	nàɴnɛʔ
နံနက်စာ	nàɴnɛʔsà
နံနံ	nàɴnàɴ
နံပါတ်	nàɴbaʔ
နံပြား	nàɴbjá
နံရိုး	nàɴjó
နွယ်တာ	nwɛ̀tà
နွား	nwá
နွားထီး	nətʰí
နွားနို့	nwáno̰
နွားနို့ခေါက်ဆွဲ	nwáno̰kʰaʊʔsʰwɛ́
နွားမ	nəma̰
နွေရာသီ	nwèjàðì
နွေဦးပေါက်	nwèʔúbaʊʔ
နွေး	nwé
နှင့်	n̥ɪ̰ɴ
နှင့်တကွ	n̥ɪ̰ɴdəɡwa̰
နှင်း	n̥ɪ́ɴ
နှင်းခဲ	n̥ɪ́ɴɡɛ́
နှင်းပွင့်	n̥ɪ́ɴbwɪ̰ɴ
နှင်းသီး	n̥ɪ́ɴðí
နှစ်	n̥ɪʔ
နှစ်ဆန်းတစ်ရက်	n̥ɪʔsʰáɴtəjɛʔ
နှစ်ဆန်းတစ်ရက်နေ့	n̥ɪʔsʰáɴtəjɛʔnḛ
နှစ်ဆယ့်တစ်	n̥ɪʔsʰɛ̰tɪʔ
နှစ်ဆယ်	n̥ɪʔsʰɛ̀
နှစ်ရာ	n̥əjà
နှပ်	n̥aʔ
နှမ	n̥əma̰
နှမ်း	n̥áɴ
နှမ်းစေ့	n̥áɴzḛ
နှလုံး	n̥əlóʊɴ
နှလုံးရောဂါ	n̥əlóʊɴjɔ́ɡà
နှာ	n̥à
နှာခေါင်း	n̥əkʰáʊɴ
နှာခေါင်းပေါက်	n̥əkʰáʊɴbaʊʔ
နှာဘူး	n̥àbú
နှာမောင်း	n̥əmáʊɴ
နှိပ်ကြယ်သီး	n̥eɪʔt͡ɕɛ̀ðí
နှုတ်	n̥oʊʔ
နှုတ်ခမ်း	n̥oʊʔkʰáɴ
နှုတ်ဆက်	n̥oʊʔsʰɛʔ
နှုတ်သီး	n̥oʊʔθí
နှော	n̥ɔ́
နှောက်	n̥aʊʔ
နှောင်း	n̥áʊɴ
နှေး	n̥é
နှံကောင်	n̥àɴɡàʊɴ
ပကတိ	bəɡədḭ
ပကောဋိ	pəkɔ́dḭ
ပက်ကျိ	pɛʔt͡ɕḭ
ပခုက္ကူ	pəkʰùkkù
ပခုံး	pəkʰóʊɴ
ပင့်	pɪ̰ɴ
ပင့်ကူ	pɪ̰ɴɡù
ပင့်ကူအိမ်	pɪ̰ɴɡùʔèɪɴ
ပင်ဂွင်	pɪ̀ɴɡwɪ̀ɴ
ပင်စင်	pɪ̀ɴsɪ̀ɴ
ပင်စင်စား	pɪ̀ɴsɪ̀ɴsá
ပင်စည်	pɪ̀ɴzì
ပင်စိမ်း	pɪ̀ɴzéɪɴm̥wé
ပင်စိမ်းမွှေး	pɪ̀ɴzéɪɴm̥wé
ပင်မှည့်	pɪ̀ɴm̥ɛ̰
ပင်လယ်	pɪ̀ɴlɛ̀
ပင်လယ်ဆား	pɪ̀ɴlɛ̀zá
ပင်လယ်ဓားပြ	pɪ̀ɴlɛ̀dəmja̰
ပစ္စက္ခ	pɪʔsɛʔkʰa̰
ပစ္စည်း	pɪʔsí
ပစ္စည်းလေးပါး	pjɪʔsílébá
ပစ္စယာ	pjɪʔsəjà
ပစ္စုပ္ပန်	pɪʔsoʊʔpàɴ
ပစ္ဆိမ	pjɪʔsʰeɪʔma̰
ပစ်	pjɪʔ
ပဇာ	bəzà
ပဉ္စင်တူရိယာ	pjɪʔsɪ̀ɴtùɹḭjà
ပဉ္စင်း	bəzɪ́ɴ
ပဉ္စမ	pjɪ̀ɴsəma̰
ပဉ္စရူပ	pɪ̀ɴsa̰jùpa̰
ပဉ္စလက်	pɪ̀ɴsəlɛʔ
ပညတ်	pjɪ̰ɴnaʔ
ပညာ	pjɪ̀ɴɲà
ပညာကျော်	pjɪ̀ɴɲàd͡ʑɔ̀
ပညာပေး	pjɪ̀ɴɲàpé
ပညာဗလ	pjɪ̀ɴɲàbəla̰
ပညာရေး	pjɪ̀ɴɲàjé
ပညာရှင်	pjɪ̀ɴɲàʃɪ̀ɴ
ပဋိပက္ခ	pətḭpɛʔkʰa̰
ပဋိသန္ဓေ	pədḭθàɴdè
ပဌမ	pa̰tʰa̰ma̰
ပဏ္ဍိတ	pàndḭta̰
ပဏ္ဏာ	pənà
ပတ္တမြား	bədəmjá
ပတ္တလား	paʔta̰lá
ပတ္ထနာ	pətʰənà
ပတ်	paʔ
ပတ်စပို့	paʔsəpo̰
ပတ်တီး	paʔtí
ပထမ	pa̰tʰa̰ma̰
ပထမဘွဲ့	pa̰tʰəma̰bwɛ̰
ပထဝီဝင်	pətʰəwìwɪ̀ɴ
ပထွေး	pətʰwé
ပဒေသရာဇ်	bədèθəɹɪʔ
ပဒေသာ	bədèðà
ပဒေသာပင်	bədèðàbɪ̀ɴ
ပနားမား	pa̰námá
ပန်	pàɴ
ပန်ကာ	pàɴkà
ပန်း	páɴ
ပန်းကန်	bəɡàɴ
ပန်းခုနစ်မည်	páɴkʰənəmjì
ပန်းချီ	bəd͡ʑì
ပန်းချီဆရာ	bəd͡ʑìsʰəjà
ပန်းခြံ	páɴd͡ʑàɴ
ပန်းဆယ်မျိုး	páɴsʰɛ̀mjó
ပန်းတဉ်း	bədɪ́ɴ
ပန်းတမော့	páɴdəmɔ̰
ပန်းတော့	páɴdɔ̰
ပန်းထိမ်	bədèɪɴ
ပန်းနာ	páɴnà
ပန်းနာရင်ကျပ်	páɴnàjɪ̀ɴt͡ɕaʔ
ပန်းပု	bəbṵ
ပန်းပဲ	bəbɛ́
ပန်းပွတ်	bəbʊʔ
ပန်းယွန်း	páɴjʊ́ɴ
ပန်းရန်	bəjàɴ
ပန်းရွဲ	páɴjwɛ́
ပန်းသီး	páɴðí
ပန်းသေရောဂါ	páɴθèjɔ́ɡà
ပန်းသေး	páɴðé
ပန်းသေးခေါက်ဆွဲ	páɴθékʰaʊʔsʰwɛ́
ပန်းအိ	páɴʔḭ
ပန်းအိုး	páɴʔó
ပမာဏ	pəmàna̰
ပယောဂ	pəjɔ́ɡa̰
ပယ်ရှား	pɛ̀ʃá
ပရဟိတ	pəɹa̰hḭta̰
ပရိက္ခရာ	pəɹeɪʔkʰəjà
ပရိဘောဂ	pəɹḭbɔ́ɡa̰
ပရိယာယ်	pəɹḭjè
ပရိသတ်	pəjeɪʔθaʔ
ပရိုဂရမ်	pəɹòɡəɹàɴ
ပရိုဂျက်	pəɹòd͡ʑɛʔ
ပရုတ်	pəjoʊʔ
ပလတ်	pəlaʔ
ပလတ်စတစ်	pəlaʔsətɪʔ
ပလပ်စတစ်	pəlaʔsətɪʔ
ပလာတာ	pəlàtà
ပလိပ်	pəleɪʔ
ပလူတိုနီယမ်	pəlùtònìjàɴ
ပလောင်	pəlàʊɴ
ပလ္လင်	pəlɪ̀ɴ
ပဝါ	pa̰wà
ပဝေဏီ	pəwènì
ပသီ	pəθì
ပသျှူး	pəʃú
ပသျှူးရာမ	pəʃújàma̰
ပအို့ဝ်	pəʔo̰
ပါ	pà
ပါကစ္စတန်	pàkɪʔsətàɴ
ပါဆယ်	pàsʰɛ̀
ပါတာနီ	pàtànì
ပါတိတ်	pàteɪʔ
ပါတီ	pàtì
ပါပူအာနယူးဂီနီ	pàpùʔànəjúɡìnì
ပါမောက္ခ	pàmaʊʔkʰa̰
ပါရဂူဘွဲ့	pàjəɡùbwɛ̰
ပါရမီ	pàɹəmì
ပါရရာ	pàɹəjà
ပါရီ	pàɹì
ပါရှား	pàʃá
ပါလက်စတိုင်း	pàlɛʔsətáɪɴ
ပါလီမန်	pàlìmàɴ
ပါဝါ	pàwà
ပါဠိ	pàlḭ
ပါး	pá
ပါးစပ်	pəzaʔ
ပါးဟက်	pəhɛʔ
ပာရာဂ္ဝေး	pàɹàɡwé
ပိဋကတ်	bḭtəɡaʔ
ပိတ်	peɪʔ
ပိန္နဲ	pèɪɴnɛ́
ပိန်းဥ	péɪɴʔṵ
ပိရမစ်	pḭɹəmɪʔ
ပို	pò
ပိုက်	paɪʔ
ပိုက်ဆံ	paɪʔsʰàɴ
ပိုက်ဆံအိတ်	paɪʔsʰàɴʔeɪʔ
ပိုက်သမား	paɪʔθəmá
ပိုင်ရှင်	pàɪɴʃɪ̀ɴ
ပိုင်း	páɪɴ
ပိုစတာ	pòsətà
ပိုတက်ဆီယမ်	pòtɛʔsʰìjàɴ
ပိုဒ်	paɪʔ
ပိုလန်	pòlàɴ
ပို့	po̰
ပို့စကတ်	po̰səkaʔ
ပိုး	pó
ပိုးတောင်မာ	pódàʊɴmà
ပိုးလောင်း	póláʊɴ
ပိုးဟပ်	póhaʔ
ပိုးဟပ်ဖြူ	póhaʔpʰjù
ပိဿာ	peɪʔθà
ပီကင်း	pìkɪ́ɴ
ပီကေ	pìkè
ပီစီ	pìsì
ပီဇာ	pìzà
ပီပီ	pìbì
ပီရူး	pìɹú
ပီလောပီနံ	pìlɔ́pìnàɴ
ပု	pṵ
ပုခက်	pəkʰɛʔ
ပုဂံ	bəɡàɴ
ပုဂ္ဂလိက	poʊʔɡəlḭɡa̰
ပုဂ္ဂိုလ်	poʊʔɡò
ပုစဉ်း	bəzɪ́ɴ
ပုစ္ဆာ	poʊʔsʰà
ပုစွန်	bəzʊ̀ɴ
ပုဆိန်	pəsʰèɪɴ
ပုဆိုး	pəsʰó
ပုဏ္ဏား	pòʊɴná
ပုဏ္ဏားကျွန်း	pòʊɴnád͡ʑʊ́ɴ
ပုတ်သင်ညို	poʊʔθɪ̀ɴɲò
ပုထိုး	pətʰó
ပုဒ်	poʊʔ
ပုဒ်ကလေး	poʊʔkəlé
ပုန်ကန်	pòʊɴkàɴ
ပုန်းရည်ကြီး	póʊɴjèd͡ʑí
ပုပ်	poʊʔ
ပုဗ္ဗ	poʊʔba̰
ပုရစ်	pəjɪʔ
ပုရပိုက်	pəɹəbaɪʔ
ပုရွက်	pəjwɛʔ
ပုရွက်ဆိတ်	pəjwɛʔsʰeɪʔ
ပုလင်း	pəlɪ́ɴ
ပုလိပ်	pəleɪʔ
ပုလဲ	pəlɛ́
ပုသိမ်	pəθèɪɴ
ပုံ	pòʊɴ
ပုံဆွဲ	pòʊɴsʰwɛ́
ပုံတူ	pòʊɴdù
ပုံတူကား	pòʊɴdùká
ပုံနှိပ်စက်	pòʊɴn̥eɪʔsɛʔ
ပုံသေနည်း	pòʊɴðèní
ပုံး	póʊɴ
ပူ	pù
ပူဇော်	pùzɔ̀
ပူတင်း	pùtɪ́ɴ
ပူဒီနာ	pùsìnà
ပူရ	pùɹa̰
ပူရီ	pùjì
ပေကျင်း	pèt͡ɕɪ́ɴ
ပေါက်စီ	paʊʔsì
ပေါက်တူး	paʊʔtú
ပေါင်	pàʊɴ
ပေါင်မုန့်	pàʊɴmo̰ʊɴ
ပေါင်းတင်း	páʊɴdɪ́ɴ
ပေါင်းဖို	páʊɴbò
ပေါ့	pɔ̰
ပေါ်	pɔ̀
ပေါ်	pɔ̀
ပေါ်	bɔ̀
ပေါ်ဆန်းမွှေး	pɔ̀sʰáɴm̥wé
ပေါ်တူဂီ	pɔ̀tùɡì
ပေါ်လစီ	pɔ̀ləsì
ပေး	pé
ပဲ	pɛ́
ပဲ	bɛ́
ပဲ	pɛ́
ပဲခူး	bəɡó
ပဲငံပြာရည်	pɛ́ŋàɴbjàjè
ပဲပိုးတီ	pɛ́pódì
ပျစ်	pjɪʔ
ပျဉ်းကတိုး	pjɪ́ɴɡədó
ပျပျ	pja̰bja̰
ပျား	pjá
ပျားတူ	ba̰dù
ပျားထီး	pjádí
ပျားရည်	pjájè
ပျိုး	pjó
ပျူ	pjù
ပျော့	pjɔ̰
ပျော်	pjɔ̀
ပျော်ပျော်	pjɔ̀bjɔ̀
ပျံ	pjàɴ
ပျံတော်မူ	pjàɴtɔ̀mù
ပြ	pja̰
ပြက္ခဒိန်	pjɛʔɡədèɪɴ
ပြင်	pjɪ̀ɴ
ပြင်ပြင်	pjɪ̀ɴbjɪ̀ɴ
ပြင်သစ်	pjɪ̀ɴθɪʔ
ပြင်သည်	pjɪ̀ɴθì
ပြင်း	pjɪ́ɴ
ပြင်းဟုပ်	pjɪ́ɴhoʊʔ
ပြစ်မှု	pjɪʔm̥ṵ
ပြည့်	pjḛ
ပြည့်တန်ဆာ	pjḭdəzà
ပြည်	pjì
ပြည်ကြီးငါး	pjìd͡ʑíŋá
ပြည်ထောင်စု	pjìdàʊɴzṵ
ပြည်ထောင်စုတော်လှန်ရေးကောင်စီအဖွဲ့	pjìdàʊɴzṵtɔ̀l̥àɴjékàʊɴsìʔəpʰwɛ̰
ပြည်ထောင်စုနေ့	pjìdàʊɴzṵnḛ
ပြည်ထောင်စုလွှတ်တော်	pjìdàʊɴzṵl̥ʊʔtɔ̀
ပြည်နယ်	pjìnɛ̀
ပြည်သူ	pjìðù
ပြည်သူပိုင်	pjìðùbàɪɴ
ပြည်သူပိုင်သိမ်း	pjìðùbàɪɴðéɪɴ
ပြည်သူပြည်သား	pjìðùpjìðá
ပြည်သူ့ဆိုင်	pjìðṵsʰàɪɴ
ပြည်သူ့လွှတ်တော်	pjìðṵl̥ʊʔtɔ̀
ပြဌာန်း	pja̰tʰáɴ
ပြတင်းပေါက်	bədɪ́ɴbaʊʔ
ပြတိုက်	pja̰daɪʔ
ပြဒါး	bədá
ပြဒါးချိန်	bədád͡ʑèɪɴ
ပြန်	pjàɴ
ပြန်ကြား	pjàɴt͡ɕá
ပြန်ကြားရေး	pjàɴt͡ɕájé
ပြန်လှန်	pjàɴl̥àɴ
ပြပွဲ	pja̰bwɛ́
ပြယုဂ်	pja̰joʊʔ
ပြသ	pja̰θa̰
ပြာ	pjà
ပြာခွက်	pjàɡwɛʔ
ပြာဋိဟာ	pjàdḭhà
ပြာတာ	pjàtà
ပြာသာဒ်	pjaʔθaʔ
ပြာသို	pjàðò
ပြား	pjá
ပြိတ္တာ	pjeɪʔtà
ပြိုင်ပွဲ	pjàɪɴbwé
ပြီ	pjì
ပြီး	pí
ပြီးပြီ	píbì
ပြု	pjṵ
ပြုတ်	pjoʊʔ
ပြုပြင်	pjṵbjɪ̀ɴ
ပြုံယမ်း	pjòʊɴjáɴ
ပြုံး	pjóʊɴ
ပြော	pjɔ́
ပြောင်း	pjáʊɴ
ပြောင်းဖူး	pjáʊɴbú
ပြေး	pjé
ပြွတ်	pjʊʔ
ပြွန်	pjʊ̀ɴ
ပြဿနာ	pjaʔθənà
ပွတ်	pʊʔ
ပွား	pwá
ပွိုင့်	pwa̰ɪɴ
ပွေး	pwé
ပွဲ	pwɛ́
ပွဲတော်	pwɛ́dɔ̀
ဖက်	pʰɛʔ
ဖက်ရှင်	pʰɛʔʃɪ̀ɴ
ဖက်ဝန်း	pʰɛʔwʊ́ɴ
ဖခင်	pʰa̰ɡɪ̀ɴ
ဖငယ်	pʰa̰ŋɛ̀
ဖင်	pʰɪ̀ɴ
ဖင်လန်	pʰɪ̀ɴlàɴ
ဖင်လျက်	pʰɪ̀ɴjɛʔ
ဖတ်	pʰaʔ
ဖန်တီး	pʰàɴdí
ဖမ်း	pʰáɴ
ဖယောင်း	pʰəjáʊɴ
ဖယောင်းတိုင်	pʰəjáʊɴdàɪɴ
ဖယ်ဒရေးရှင်း	pʰɛ̀dəɹéʃɪ́ɴ
ဖရုံ	pʰəjòʊɴ
ဖရုံဆွဲ	pʰəjòʊɴzwɛ́
ဖရဲ	pʰəjɛ́
ဖလား	pʰəlá
ဖဝါး	pʰəwá
ဖာလူဒါ	pʰàlùdà
ဖား	pʰá
ဖားပြုပ်	pʰəbjoʊʔ
ဖားလောင်း	pʰəláʊɴ
ဖိတ်	pʰeɪʔ
ဖိနပ်	pʰənaʔ
ဖိလစ်ပိုင်	pʰḭlɪʔpàɪɴ
ဖိအား	pʰḭʔá
ဖိုင်	pʰàɪɴ
ဖို့	pʰo̰
ဖီဂျီ	pʰìd͡ʑì
ဖုတ်	pʰoʊʔ
ဖုန်	pʰòʊɴ
ဖုန်စုပ်စက်	pʰòʊɴsoʊʔsɛʔ
ဖုန်းနံပါတ်	pʰóʊɴnàɴbaʔ
ဖုံး	pʰóʊɴ
ဖူး	bú
ဖေဖော်ဝါရီ	pʰèpʰɔ̀wàɹì
ဖေါ်ပြချက်	pʰɔ̀pja̰t͡ɕʰɛʔ
ဖောက်	pʰaʊʔ
ဖောက်သည်	pʰaʊʔθè
ဖောင်	pʰàʊɴ
ဖော့ဖျက်	pʰɔ̰bjɛʔ
ဖော့လုံး	pʰɔ̰lóʊɴ
ဖော်	pʰɔ̀
ဖော်ပြ	pʰɔ̀pja̰
ဖဲ	pʰɛ́
ဖဲကြိုး	pʰɛ́d͡ʑó
ဖျင်ဖျင်	pʰjɪ̀ɴbjɪ̀ɴ
ဖျာ	pʰjà
ဖျား	pʰjá
ဖျောက်ဆိပ်	pʰjaʊʔsʰeɪʔ
ဖျံ	pʰjàɴ
ဖြစ်	pʰjɪʔ
ဖြည်းဖြည်း	pʰjébjé
ဖြားယောင်း	pʰjájáʊɴ
ဖြီး	pʰí
ဖြူ	pʰjù
ဖြူး	pʰjú
ဖြေ	pʰjè
ဖြေဖျောက်	pʰjèbjaʊʔ
ဖြောင့်	pʰja̰ʊɴ
