aaron	aːaron
hallandensis	hallandẽːsɪs
hallebarda	hallɛbarda
hallus	hallʊs
halmydessus	haɫmʏdeːssʊs
halo	haːɫoː
halone	haɫoːneː
halonnesus	haɫɔnneːsʊs
halophilus	haɫɔpʰɪɫʊs
halucinor	haːɫuːkɪnɔr
halycus	halʏkʊs
halys	halʏs
hamadryas	hamaːdrʏas
hamatus	haːmaːtʊs
hamaxitus	hamaksɪtʊs
hamaxobii	hamaksɔbiiː
hamaxostichus	hamaksɔstɪkʰʊs
hamiformis	haːmɪfoːrmɪs
hammitis	hammiːtɪs
hamus	haːmʊs
hanappus	hanappʊs
hannibal	hannɪbaɫ
hapsus	hapsʊs
harenaceus	hareːnaːkeʊs
harenarium	hareːnaːriʊ̃
harenarius	hareːnaːriʊs
harengus	haːrɪŋɡʊs
hareni	harɛniː
harenifodina	hareːnɪfɔdiːna
harenivagus	hareːnɪwaɡʊs
harenosus	hareːnoːsʊs
hariolor	hariɔɫɔr
hariolus	hariɔɫʊs
harmedon	harmɛdoːn
harmonia	harmɔnia
harpalus	harpaɫʊs
harpastum	harpastʊ̃
harpasus	harpasʊs
harpleia	harpɫei̯a
harrius	harriʊs
harundinetum	harʊndɪneːtʊ̃
harundineus	harʊndɪneʊs
harundinosus	harʊndɪnoːsʊs
harundo	harʊndoː
haruspex	harʊspɛks
harzianus	harziaːnʊs
hassium	hassiʊ̃
hastatus	hastaːtʊs
haterius	hatɛriʊs
hatticus	hattɪkʊs
hauddum	hau̯ddʊ̃
haudquaquam	hau̯dkʷaːkʷã
haudquaquam	au̯dkwaːkwam
haustor	hau̯stɔr
haustrum	hau̯strʊ̃
haustus	hau̯stʊs
havanensis	hawanẽːsɪs
hawaiensis	hawaiẽːsɪs
hawaiiensis	hawajjiẽːsɪs
hebdomadalis	hɛbdɔmadaːlɪs
hebdomas	hɛbdɔmas
hebdomecontacometae	hɛbdɔmeːkɔntakoːmeːtae̯
hebeninus	hɛbɛnɪnʊs
hebenus	hɛbɛnʊs
hebeo	hɛbeoː
hebes	hɛbɛs
hebetatio	hɛbɛtaːtioː
hebetatis	hɛbɛtaːtɪs
hebetatis	hɛbɛtaːtiːs
hebetaverimus	hɛbɛtaːwɛrɪmʊs
hebetaverimus	hɛbɛtaːwɛriːmʊs
hebetaveris	hɛbɛtaːwɛrɪs
hebetaveris	hɛbɛtaːwɛriːs
hebetaveritis	hɛbɛtaːwɛrɪtɪs
hebetaveritis	hɛbɛtaːwɛriːtɪs
hebeto	hɛbɛtoː
hebetudo	hɛbɛtuːdoː
hebraeus	hɛbrae̯ʊs
hebraicus	hɛbraɪkʊs
hebron	hɛbroːn
hebron	eːbron
hebrus	hɛbrʊs
hebudes	hɛbʊdeːs
hecatombe	hɛkatɔmbeː
hecuba	hɛkʊba
hedera	hɛdɛra
hedera	eːdera
hederaceus	hɛdɛraːkeʊs
hederiger	hɛdɛrɪɡɛr
hederosus	hɛdɛroːsʊs
hedius	hɛdiʊs
hedyle	heːdʏɫeː
hedyphon	hɛdʏpʰoːn
heidelbergensis	hei̯dɛɫbɛrɡẽːsɪs
heiulor	hɛjjʊɫɔr
heius	heːiʊs
hejulor	hɛjjʊɫɔr
helbo	hɛɫboː
helcium	hɛɫkiʊ̃
helena	hɛɫɛna
helene	hɛɫɛneː
helenium	hɛɫɛniʊ̃
helernus	hɛɫɛrnʊs
helgas	hɛɫɡas
heli	eːli
helice	hɛlɪkeː
helicon	hɛlɪkoːn
helicopterum	hɛlɪkɔptɛrʊ̃
helisson	hɛlɪssoːn
helium	heːliʊ̃
helium	eːlium
helix	hɛlɪks
hellen	hɛlleːn
helluate	hɛllʊaːtɛ
helluatio	hɛllʊatiɔ
helluo	hɛllʊoː
helluor	hɛllʊɔr
helmus	hɛɫmʊs
helorum	hɛɫoːrʊ̃
helorus	hɛɫoːrʊs
helveconae	hɛɫwɛkɔnae̯
helveticus	hɛɫweːtɪkʊs
helveticus	elveːtikus
helvetius	hɛɫweːtiʊs
helvidius	hɛɫwɪdiʊs
helvii	hɛɫwiiː
helvius	hɛɫwiʊs
helvus	hɛɫwʊs
helxine	hɛɫksiːneː
hem	hɛ̃
hemasini	hɛmasiːniː
hemicrania	heːmɪkraːnia
hemicrania	emikraːnia
hemicrania	emekranʲa
hemipterus	hɛmɪptɛrʊs
hemo	hɛmoː
henanensis	hɛnanẽːsɪs
heniochi	hɛniɔkʰiː
henna	hɛnna
hepatarius	heːpataːriʊs
hepaticus	heːpatɪkʊs
hepatizon	heːpatɪzɔn
hephaestitis	heːpʰae̯stiːtɪs
heptaphyllum	hɛptapʰʏllʊ̃
heptaphyllus	hɛptapʰʏllʊs
heptaporus	hɛptapɔrʊs
hera	hɛra
heraclitus	heːraːkliːtʊs
herba	hɛrba
herbaceus	hɛrbaːkeʊs
herbanum	hɛrbaːnʊ̃
herbaria	hɛrbaːria
herbarium	hɛrbaːriʊ̃
herbarius	hɛrbaːriʊs
herbeus	hɛrbeʊs
herbidus	hɛrbɪdʊs
herbita	hɛrbɪta
herbitum	hɛrbɪtʊ̃
herbosus	hɛrboːsʊs
herbula	hɛrbʊɫa
hercates	hɛrkaːteːs
hercule	hɛrkʊɫɛ
hercules	hɛrkʊɫeːs
herculeus	hɛrkʊɫeʊs
herculeus	erkuːleus
herculeus	hɛrkʊɫeʊs
herculeus	erkuːleus
hercuniates	hɛrkʊniaːteːs
herdonius	hɛrdoːniʊs
heredipeta	heːreːdɪpɛta
hereditarius	heːreːdɪtaːriʊs
hereditas	heːreːdɪtaːs
heredito	heːreːdɪtoː
heredium	heːreːdiʊ̃
heremus	hɛreːmʊs
heremus	heːreːmʊs
herennius	heːrɛnniʊs
heres	eːres
hereticus	heːrɛtɪkʊs
heri	hɛriː
herilus	heːrɪɫʊs
herius	hɛriʊs
herius	heːriʊs
hermaphroditus	hɛrmapʰrɔdiːtʊs
hermarchus	hɛrmarkʰʊs
hermentidius	hɛrmɛntɪdiʊs
hermes	hɛrmeːs
hermesta	hɛrmɛsta
herminius	hɛrmiːniʊs
hermione	hɛrmiɔneː
hermippus	hɛrmɪppʊs
hermisium	hɛrmɪsiʊ̃
hermolaus	hɛrmɔɫau̯s
hermonassa	hɛrmoːnassa
hermunduri	hɛrmʊndʊriː
hermupoa	hɛrmuːpɔa
hermus	hɛrmʊs
hernia	hɛrnia
herodes	eroːdes
herodiani	erodiaːni
herodianus	heːroːdiaːnʊs
herodianus	erodiaːnus
herodis	heːroːdɪs
heroicus	heːroːɪkʊs
herois	heːroːɪs
herophilus	heːrɔpʰɪɫʊs
herostratus	heːrɔstratʊs
heroum	heːroːʊ̃
herous	heːroːʊs
herous	heːroːʊs
herpeditani	hɛrpɛdɪtaːniː
herpes	hɛrpeːs
hersilia	hɛrsɪlia
herticchei	hɛrtɪkkʰeiː
hertorius	hɛrtoːriʊs
herus	hɛrʊs
hesperus	hɛspɛrʊs
hessus	heːssʊs
hesternus	hɛstɛrnʊs
hesychius	heːsʏkʰiʊs
heteroclitus	hɛtɛrɔklɪtʊs
heterogeneus	hɛtɛrɔɡɛneʊs
heterophyllus	hɛtɛrɔpʰʏllʊs
hetriculum	hɛtrɪkʊɫʊ̃
hetthaeus	hɛttʰae̯ʊs
hettheicus	hɛttʰeɪkʊs
heu	hɛw
heva	hɛwa
heva	eːva
heva	eːva
hexagonus	hɛksaɡoːnʊs
hexameter	hɛksamɛtɛr
hexameter	eksaːmeter
hexas	hɛksas
hexastichus	hɛksastɪkʰʊs
hiatum	hiaːtʊ̃
hiaturus	hiaːtuːrʊs
hiatus	hiaːtʊs
hiber	hɪbeːr
hibera	hɪbeːra
hibera	hɪbeːraː
hibere	hɪbeːrɛ
hiberi	hɪbeːriː
hiberia	hɪbeːria
hiberice	hɪbeːrɪkeː
hiberice	hɪbeːrɪkɛ
hibericus	hɪbeːrɪkʊs
hibernaculum	hiːbɛrnaːkʊɫʊ̃
hibernalis	hiːbɛrnaːlɪs
hibernia	hɪbɛrnia
hibernicus	hɪbɛrnɪkʊs
hiberno	hiːbɛrnoː
hibernonormannicus	hɪbeːrnɔnɔrmannɪkʊs
hibernum	hiːbɛrnʊ̃
hibernus	hiːbɛrnʊs
hibero	hɪbeːroː
hiberos	hɪbeːroːs
hiberum	hɪbeːrʊ̃
hiberus	hɪbeːrʊs
hibiethes	hɪbiɛtʰeːs
hibiscum	hɪbiːskʊ̃
hibridus	hɪbrɪdʊs
hic	hɪk
hicesia	hɪkɛsia
hicetas	hɪkɛtaːs
hiemalis	hiɛmaːlɪs
hiematis	hiɛmaːtɪs
hiematis	hiɛmaːtiːs
hiemaverimus	hiɛmaːwɛrɪmʊs
hiemaverimus	hiɛmaːwɛriːmʊs
hiemaveris	hiɛmaːwɛrɪs
hiemaveris	hiɛmaːwɛriːs
hiemaveritis	hiɛmaːwɛrɪtɪs
hiemaveritis	hiɛmaːwɛriːtɪs
hiemo	hiɛmoː
hiempsal	hiɛmpsaɫ
hiems	hiẽːs
hiems	iːems
hiera	hiɛra
hieracitis	hiɛraːkiːtɪs
hierapolis	hiɛraːpɔlɪs
hierapytna	hiɛraːpʏtna
hierarcha	hiɛrarkʰa
hierasus	hiɛrasʊs
hieremias	hiɛrɛmias
hieremias	iereːmias
hiericuntinus	hiɛrɪkʊntiːnʊs
hiero	hiɛroː
hieroglyphicus	hiɛrɔɡlʏpʰɪkʊs
hierographicus	hiɛrɔɡrapʰɪkʊs
hieromix	hiɛrɔmɪks
hierosolyma	hiɛrɔsɔlʏma
hierosolyma	ierozoːlima
hierosolymitanus	hiɛrɔsɔlʏmiːtaːnʊs
hierusalem	hiɛruːsaɫeːm
hierusalem	ieruːzalem
hilaratis	hɪɫaraːtɪs
hilaratis	hɪɫaraːtiːs
hilaraverimus	hɪɫaraːwɛrɪmʊs
hilaraverimus	hɪɫaraːwɛriːmʊs
hilaraveris	hɪɫaraːwɛrɪs
hilaraveris	hɪɫaraːwɛriːs
hilaraveritis	hɪɫaraːwɛrɪtɪs
hilaraveritis	hɪɫaraːwɛriːtɪs
hilario	hɪɫarioː
hilaris	hɪɫarɪs
hilaritas	hɪɫarɪtaːs
hilariter	hɪɫarɪtɛr
hilaritudo	hɪɫarɪtuːdoː
hilaro	hɪɫaroː
hilarus	hɪɫarʊs
hildericus	hɪɫdɛriːkʊs
hilleviones	hɪllɛwioːnɛs
hilum	hiːɫʊ̃
hilus	hiːɫʊs
himalayanus	hɪmaɫajjaːnʊs
himalayensis	hɪmaɫajjẽːsɪs
himani	hɪmaːniː
himantopus	hɪmantɔpuːs
himerte	hiːmɛrteː
himilco	hɪmɪɫkoː
hinc	hɪŋk
hindicus	hɪndɪkʊs
hinnibundus	hɪnnɪbʊndʊs
hinnio	hɪnnioː
hiostus	hiɔstʊs
hippana	hɪppaːna
hipparchus	hɪpparkʰʊs
hipparis	ɪpparɪs
hippo	hɪppoː
hippocampus	hɪppɔkampʊs
hippocentaurus	hɪppɔkɛntau̯rʊs
hippocoronium	hɪppɔkɔroːniʊ̃
hippodamia	hɪppɔdamiːa
hippodamus	hɪppɔdamʊs
hippodromos	hɪppɔdrɔmɔs
hipponax	hɪppoːnaks
hipponesos	hɪppɔneːsɔs
hipponium	hɪppoːniʊ̃
hippopera	hɪppɔpeːra
hippopera	ippopeːra
hippophobas	hɪppɔpʰɔbas
hippopotamus	hɪppɔpɔtamʊs
hippotoxotae	hɪppɔtɔksɔtae̯
hippuris	hɪppuːrɪs
hippus	hɪppʊs
hir	hɪr
hircinus	hɪrkiːnʊs
hircipes	hɪrkɪpeːs
hircus	hɪrkʊs
hirniosus	hɪrnioːsʊs
hirpini	hɪrpiːniː
hirpinia	hɪrpiːnia
hirpus	hɪrpʊs
hirri	hɪrriː
hirrio	hɪrrioː
hirrius	hɪrriʊs
hirsutus	hiːrsuːtʊs
hirtipes	hiːrtɪpeːs
hirtius	hiːrtiʊs
hirtus	hiːrtʊs
hirudo	hɪruːdoː
hirundo	hɪrʊndoː
hispalis	hɪspalɪs
hispana	hɪspaːna
hispana	hɪspaːnaː
hispania	hɪspaːnia
hispanicus	hɪspaːnɪkʊs
hispano	hɪspaːnoː
hispanus	hɪspaːnʊs
hispellum	hiːspɛllʊ̃
hispidulus	hɪspɪdʊɫʊs
hispidus	hɪspɪdʊs
histi	hɪstiː
histiaeus	hɪstiae̯ʊs
histolyticus	hɪstɔlʏtɪkʊs
histon	hɪstoːn
historia	hɪstɔria
historica	hɪstɔrɪka
historica	hɪstɔrɪkaː
historicus	hɪstɔrɪkʊs
histriatus	hɪstriaːtʊs
histrio	hɪstrioː
histrionalis	hɪstrioːnaːlɪs
histrionicus	hɪstrioːnɪkʊs
hittio	hɪttioː
hiulcus	hiʊɫkʊs
hodie	hɔdieː
hodie	oːdie
hodiernus	hɔdiɛrnʊs
hoereticus	hoe̯rɛtɪkʊs
hoereticus	ɛreːtikus
holarcticus	hɔɫarktɪkʊs
holconius	hɔɫkoːniʊs
holcus	hɔɫkʊs
holeraceus	hɔɫɛraːkeʊs
holmia	hɔɫmia
holmium	hɔɫmiʊ̃
holocaustus	hɔɫɔkau̯stʊs
holophyllus	hɔɫɔpʰʏllʊs
holosericus	hɔɫɔseːrɪkʊs
holus	hɔɫʊs
homeriacus	hɔmeːriaːkʊs
homericus	hɔmeːrɪkʊs
homerius	hɔmeːriʊs
homerus	hɔmeːrʊs
homicida	hɔmɪkiːda
homicidalis	hɔmɪkiːdaːlɪs
homicidalis	omit͡ʃidaːlis
homicidialis	hɔmɪkiːdiaːlɪs
homicidialis	omit͡ʃidiaːlis
homicidium	hɔmɪkiːdiʊ̃
hominem	hɔmɪnɛ̃
hominem	oːminem
hominivorax	hɔmɪnɪwɔraːks
homo	hɔmoː
homo	oːmo
homodoti	hɔmɔdɔtiː
homogeneus	hɔmɔɡɛneʊs
homole	hɔmɔɫeː
homolium	hɔmɔliʊ̃
homophylophilia	hɔmɔpʰʏɫɔpʰɪlia
homosexualis	hɔmɔsɛksʊaːlɪs
homosexualitas	hɔmɔsɛksʊaːlɪtaːs
homullus	hɔmʊllʊs
homuncio	hɔmʊŋkioː
homunculus	hɔmʊŋkʊɫʊs
hondurensis	hɔndʊrẽːsɪs
honestas	hɔnɛstaːs
honestatis	hɔnɛstaːtɪs
honestatis	hɔnɛstaːtiːs
honestaverimus	hɔnɛstaːwɛrɪmʊs
honestaverimus	hɔnɛstaːwɛriːmʊs
honestaveris	hɔnɛstaːwɛrɪs
honestaveris	hɔnɛstaːwɛriːs
honestaveritis	hɔnɛstaːwɛrɪtɪs
honestaveritis	hɔnɛstaːwɛriːtɪs
honesto	hɔnɛstoː
honestus	hɔnɛstʊs
honor	hɔnɔr
honor	oːnor
honorabilis	hɔnoːraːbɪlɪs
honorarium	hɔnoːraːriʊ̃
honorarius	hɔnoːraːriʊs
honoratis	hɔnoːraːtɪs
honoratis	hɔnoːraːtiːs
honoraverimus	hɔnoːraːwɛrɪmʊs
honoraverimus	hɔnoːraːwɛriːmʊs
honoraveris	hɔnoːraːwɛrɪs
honoraveris	hɔnoːraːwɛriːs
honoraveritis	hɔnoːraːwɛrɪtɪs
honoraveritis	hɔnoːraːwɛriːtɪs
honorificabilitudinitas	hɔnoːrɪfɪkaːbɪlɪtuːdɪnɪtaːs
honorificabilitudinitas	onorifikabilitudiːnitas
honorifico	hɔnoːrɪfɪkoː
honorificus	hɔnoːrɪfɪkʊs
honoriger	hɔnoːrɪɡɛr
honoro	hɔnoːroː
hoplomachos	hɔpɫɔmakʰɔs
hoplomachus	hɔpɫɔmakʰʊs
hora	oːra
horarium	hoːraːriʊ̃
horarium	oraːrium
horarium	orarʲoõ
hordeaceus	hɔrdeaːkeʊs
hordeius	hɔrdeːiʊs
hordeonius	hɔrdeoːniʊs
hordeum	hɔrdeʊ̃
hordiacius	hɔrdiaːkiʊs
hordiarius	hɔrdiaːriʊs
horia	hɔria
horisius	hɔrɪsiʊs
horizon	hɔrɪzoːn
horizon	oːrid͡zon
horizontalis	hɔrɪzɔntaːlɪs
horizontalis	orid͡zontaːlis
hormenos	hɔrmɛnɔs
hormiscion	hɔrmɪskiɔn
hormisda	hɔrmɪsda
hornotinus	hɔrnoːtɪnʊs
hornus	hoːrnʊs
horologium	hoːrɔɫɔɡiʊ̃
horologium	oroloːd͡ʒium
horrendus	hɔrrɛndʊs
horreo	hɔrreoː
horresco	hɔrreːskoː
horreum	hɔrreʊ̃
horribilior	hɔrrɪbɪliɔr
horribilior	orribiːlior
horribiliora	hɔrrɪbɪlioːra
horribilis	hɔrrɪbɪlɪs
horribilissimus	hɔrrɪbɪlɪssɪmʊs
horribiliter	hɔrrɪbɪlɪtɛr
horribilius	hɔrrɪbɪliʊs
horridus	hɔrrɪdʊs
horrificus	hɔrrɪfɪkʊs
horrisonus	hɔrrɪsɔnʊs
horror	hɔrrɔr
horta	hɔrta
hortalus	hɔrtaɫʊs
hortensis	hɔrtẽːsɪs
hortensius	hɔrtẽːsiʊs
hortor	hɔrtɔr
hortulus	hɔrtʊɫʊs
hortus	hɔrtʊs
hoseas	ozeːas
hosidius	hɔsɪdiʊs
hospes	hɔspɛs
hospitalia	hɔspɪtaːlia
hospitalis	hɔspɪtaːlɪs
hospitalitas	hɔspɪtaːlɪtaːs
hospitaliter	hɔspɪtaːlɪtɛr
hospitator	hɔspɪtaːtɔr
hospiticida	hɔspɪtɪkiːda
hospitiolum	hɔspɪtiɔɫʊ̃
hospitium	hɔspɪtiʊ̃
hospitivus	hɔspɪtiːwʊs
hospito	hɔspɪtoː
hospitor	hɔspɪtɔr
hostia	hɔstia
hostificus	hɔstɪfɪkʊs
hostilia	hɔstiːlia
hostilis	hɔstiːlɪs
hostiliter	hɔstɪlɪtɛr
hostilius	hɔstiːliʊs
hostorium	hɔstoːriʊ̃
hostus	hɔstʊs
huangshanensis	hʊãːsanẽːsɪs
hui	hʊj
huic	hʊɪk
huius	hʊjjʊs
huiuscemodi	hʊjjʊskɛmɔdiː
huiusmodi	huːjʊsmɔdiː
hujus	hʊjjʊs
hujuscemodi	hʊjjʊskɛmɔdiː
humaniter	huːmaːnɪtɛr
humanus	huːmaːnʊs
humatis	hʊmaːtɪs
humatis	hʊmaːtiːs
humaverimus	hʊmaːwɛrɪmʊs
humaverimus	hʊmaːwɛriːmʊs
humaveris	hʊmaːwɛrɪs
humaveris	hʊmaːwɛriːs
humaveritis	hʊmaːwɛrɪtɪs
humaveritis	hʊmaːwɛriːtɪs
humectantes	hʊmɛktanteːs
humecto	hʊmɛktoː
humectus	huːmɛktʊs
humeralis	hʊmɛraːlɪs
humerus	hʊmɛrʊs
humerus	ʊmɛrʊs
humi	hʊmiː
humicolus	hʊmɪkɔɫʊs
humida	huːmɪda
humida	huːmɪdaː
humidas	huːmɪdaːs
humide	huːmɪdɛ
humido	huːmɪdoː
humidos	huːmɪdoːs
humidus	huːmɪdʊs
humidus	uːmɪdʊs
humiliat	hʊmɪliat
humiliate	hʊmɪliaːtɛ
humiliatio	hʊmɪliaːtioː
humiliatio	umiliaːt͡sio
humilier	hʊmɪliɛr
humilio	hʊmɪlioː
humilis	hʊmɪlɪs
humilis	uːmilis
humilitas	hʊmɪlɪtaːs
humilitas	umiːlitas
humiliter	hʊmɪlɪtɛr
humo	hʊmoː
humor	huːmɔr
humor	uːmɔr
humus	hʊmʊs
humus	uːmus
hunanensis	hʊnanẽːsɪs
hungaria	hʊŋɡaria
hungaricus	hʊŋɡarɪkʊs
hunni	hʊnnɪ
hurricus	hʊrrɪkʊs
hutesium	hʊtɛsiʊ̃
hyacinthinus	hʏakɪntʰɪnʊs
hyacinthus	hʏakɪntʰʊs
hyaena	hʏae̯na
hyalinipennis	hʏalɪnɪpɛnnɪs
hyalinus	hʏalɪnʊs
hyalus	hʏaɫʊs
hyampolis	hʏampɔlɪs
hybadae	hʏbadae̯
hybla	hʏbɫa
hybrida	hʏbrɪda
hybridus	hʏbrɪdʊs
hyccara	hʏkkara
hyctanis	hʏktanɪs
hydarnes	hʏdarneːs
hydaspes	hʏdaspeːs
hydra	hʏdra
hydra	hʏdra
hydraotes	hʏdraoːteːs
hydrargyre	hʏdrarɡʏrɛ
hydrargyri	hʏdrarɡʏriː
hydrargyris	hʏdrarɡʏriːs
hydrargyro	hʏdrarɡʏroː
hydrargyrorum	hʏdrarɡʏroːrʊ̃
hydrargyros	hʏdrarɡʏroːs
hydrargyrum	hʏdrarɡʏrʊ̃
hydrargyrus	hʏdrarɡʏrʊs
hydraulus	hʏdrau̯ɫʊs
hydrela	hʏdreːɫa
hydria	hʏdria
hydrogeniferus	hʏdrɔɡɛnɪfɛrʊs
hydrogenium	hʏdrɔɡɛniʊ̃
hydrogenium	idrod͡ʒeːnium
hydrogenum	hʏdrɔɡɛnʊ̃
hydrogenum	idroːd͡ʒenum
hydromel	hʏdrɔmɛɫ
hydrophobia	hʏdrɔpʰɔbia
hydrophobicus	hʏdrɔpʰɔbɪk
hydrophobus	hʏdrɔpʰɔbʊs
hydropicus	hʏdroːpɪkʊs
hydruntinus	hyːdruːntiːnʊs
hydrus	hʏdrʊs
hyemalis	hʏɛmaːlɪs
hyettus	hʏeːttʊs
hyetussa	hʏɛtʊssa
hyginus	hʏɡiːnʊs
hygra	hʏɡra
hygrometricus	hʏɡrɔmɛtrɪkʊs
hygroscopicus	hʏɡrɔskɔpɪkʊs
hygrostathmicus	hʏɡrɔstatʰmɪkʊs
hylaethus	hʏɫae̯tʰʊs
hylas	hʏɫaːs
hyle	hyːɫeː
hyle	hʏɫeː
hylias	hʏliaːs
hyllis	hʏllɪs
hyllus	hʏllʊs
hymenaeus	hʏmɛnae̯ʊs
hymettus	hʏmeːttʊs
hymnicus	hʏmnɪkʊs
hymnio	hʏmnioː
hymnus	hʏmnʊs
hymos	hʏmɔs
hyointestinalis	hʏɔɪntɛstiːnaːlɪs
hyomandibularis	hʏɔmandɪbʊɫaːrɪs
hyoscyamus	hʏɔskʏamʊs
hyoseris	hʏɔsɛrɪs
hypacaris	hʏpakarɪs
hypaea	hʏpae̯a
hypaepa	hʏpae̯pa
hypaethrus	hʏpae̯tʰrʊs
hypaethrus	ipɛːtrus
hypaethrus	ebetʰros
hypana	hʏpana
hypanis	hʏpanɪs
hypasis	hʏpasɪs
hypata	hʏpata
hyperanthes	hʏpɛrantʰeːs
hyperbolaeus	hʏpɛrbɔɫae̯ʊs
hyperbole	hʏpɛrbɔɫeː
hyperbolus	hʏpɛrbɔɫʊs
hyperboreus	hʏpɛrbɔreʊs
hypergeometricus	hʏpɛrɡeoːmɛtrɪkʊs
hypericon	hʏpɛrɪkɔn
hyperides	hʏpɛriːdeːs
hyperis	hʏpɛrɪs
hypius	hʏpiʊs
hypnoticus	hʏpnoːtɪkʊs
hypnoticus	ipnoːtikus
hypocauston	hʏpɔkau̯stɔn
hypocaustum	hʏpɔkau̯stʊ̃
hypocaustus	hʏpɔkau̯stʊs
hypogaeum	hʏpɔɡae̯ʊ̃
hypogaeum	ipod͡ʒɛːum
hypogaeus	hʏpɔɡae̯ʊs
hypogaeus	ipod͡ʒɛːus
hypoleucus	hʏpɔɫeu̯kʊs
hypotheca	hʏpɔtʰeːka
hypothesis	hʏpɔtʰɛsɪs
hypsaeus	hʏpsae̯ʊs
hypsaltae	hʏpsaɫtae̯
hypsas	hʏpsaːs
hypsipyle	hʏpsɪpʏɫeː
hyrcani	hʏrkaːniː
hyria	hʏria
hyrmine	hʏrmiːneː
hyrminum	hʏrmɪnʊ̃
hysginum	hʏsɡɪnʊ̃
hysiae	hʏsiae̯
hysopum	hyːsoːpʊ̃
hysopum	izoːpum
hyssus	hʏssʊs
hystaspes	hʏstaspeːs
hystrix	hʏstriːks
iacchus	iakkʰʊs
iacchus	jakkʰʊs
iacere	jakɛrɛ
iacere	jakeːrɛ
iacio	jaːt͡ʃio
iacob	jaːkob
iacobus	jaːkoːbʊs
iacobus	jakoːbus
iactabilis	jaktaːbɪlɪs
iactabundus	jaktaːbʊndʊs
iactans	jaktãːs
iactanticulus	jaktantɪkʊɫʊs
iactatis	jaktaːtɪs
iactaverimus	jaktaːwɛrɪmʊs
iactaverimus	jaktaːwɛriːmʊs
iactaveris	jaktaːwɛrɪs
iactaveris	jaktaːwɛriːs
iactaveritis	jaktaːwɛrɪtɪs
iactaveritis	jaktaːwɛriːtɪs
iactitabundus	jaktɪtaːbʊndʊs
iactito	jaktɪtoː
iactus	jaktʊs
iactus	jaktʊs
iaculabilis	jakʊɫaːbɪlɪs
iaculator	jakʊɫaːtɔr
iaculatorius	jakʊɫaːtoːriʊs
iaculor	jakʊɫɔr
iaculum	jakʊɫʊ̃
iaculus	jakʊɫʊs
iadera	iaːdɛra
ialmenus	jaɫmɛnʊs
iam	jã
iam	iã
iambelegus	iambɛɫɛɡʊs
iambeus	iambeːʊs
iambicinus	iambɪkɪnʊs
iambicus	iambɪkʊs
iamblichus	jamblɪkʰʊs
iambus	iambʊs
iamdudum	janduːdʊ̃
iamiam	jamjã
iamphorina	jampʰɔrɪna
ianiculum	jaːnɪkʊɫʊ̃
ianiculum	janiːkulum
ianiculus	jaːnɪkʊɫʊs
ianiculus	janiːkulus
ianitor	jaːnɪtɔr
ianthinus	iantʰɪnʊs
ianua	jaːnʊa
ianua	jaːnua
ianuarius	jaːnʊaːriʊs
ianuarius	januaːrius
ianus	jaːnʊs
ianus	jaːnʊs
ianus	jaːnus
iaponia	japɔnia
iaponicus	japɔnɪkʊs
iaponus	japɔnʊs
iapydis	iaːpʏdɪs
iapys	iaːpʏs
iardanus	jardanʊs
iaspideus	jaspɪdeːʊs
iaspis	jaspɪs
iaspius	jaspiʊs
iassus	jassʊs
iatrus	jatrʊs
iazyges	jaːzʏɡeːs
ibam	iːbã
ibamus	iːbaːmʊs
ibatis	iːbaːtɪs
iber	ɪbeːr
iberia	ɪbeːria
iberiae	ɪbeːriae̯
iberiam	ɪbeːriã
iberica	ɪbeːrɪka
iberica	ɪbeːrɪkaː
ibericae	ɪbeːrɪkae̯
ibericam	ɪbeːrɪkã
ibericarum	ɪbeːrɪkaːrʊ̃
ibericas	ɪbeːrɪkaːs
iberice	ɪbeːrɪkeː
iberice	ɪbeːrɪkɛ
iberici	ɪbeːrɪkiː
ibericis	ɪbeːrɪkiːs
iberico	ɪbeːrɪkoː
ibericorum	ɪbeːrɪkoːrʊ̃
ibericos	ɪbeːrɪkoːs
ibericum	ɪbeːrɪkʊ̃
ibericus	ɪbeːrɪkʊs
iberis	ɪbeːrɪs
iberis	iːbɛrɪs
iberis	ɪbeːrɪs
iberis	ɪbeːriːs
iberus	ɪbeːrʊs
ibex	iːbɛks
ibi	ɪbɪ
ibi	ɪbiː
ibidem	ɪbiːdɛ̃
ibidem	iːbɪdɛ̃
ibimus	iːbɪmʊs
ibis	iːbɪs
ibis	iːbis
ibit	iːbɪt
ibitis	iːbɪtɪs
ibrida	ɪbrɪda
ibunt	iːbʊnt
ibycus	ɪbʏkʊs
icarus	iːkarʊs
icarusa	ɪkaruːsa
icatalae	ɪkataɫae̯
iccius	ɪkkiʊs
iceni	ɪkeːniː
ichana	ɪkʰana
ichnae	ɪkʰnae̯
ichnusa	ɪkʰnuːsa
icidmagus	ɪkɪdmaɡʊs
icilius	ɪkɪliʊs
icosaedron	iːkɔsaɛdrɔn
icosium	ɪkɔsiʊ̃
icteri	ɪktɛriː
icterias	ɪktɛriaːs
icterus	ɪktɛrʊs
ictus	ɪktʊs
iculisma	ɪkʊlɪsma
icus	ɪkʊs
id	ɪd
idahoensis	iːdahoːẽːsɪs
idale	ɪdaɫeː
idalium	iːdaliʊ̃
idea	ɪdea
idem	iːdɛ̃
identicus	iːdɛntɪkʊs
identidem	iːdɛntɪdɛ̃
identitas	iːdɛntɪtaːs
idimus	ɪdɪmʊs
