a	ˈɒ
hetvennégy	ˈhɛtvɛnːeːɟ
hetvennyolc	ˈhɛtvɛɲːolt͡s
hetvenöt	ˈhɛtvɛnøt
hetyke	ˈhɛckɛ
hetykébben	ˈhɛckeːbːɛn
hetykén	ˈhɛckeːn
hév	ˈheːv
hever	ˈhɛvɛr
heverő	ˈhɛvɛrøː
heverők	ˈhɛvɛrøːk
heverőre	ˈhɛvɛrøːrɛ
heves	ˈhɛvɛʃ
heves	ˈhɛvɛʃ
hevesen	ˈhɛvɛʃɛn
hexadecimális	ˈhɛksɒdɛt͡simaːliʃ
hexán	ˈhɛksaːn
hexánok	ˈhɛksaːnok
hexánsav	ˈhɛksaːnʃɒv
hexánsavak	ˈhɛksaːnʃɒvɒk
hí	ˈhiː
hiába	ˈhiʲaːbɒ
hiábavaló	ˈhiʲaːbɒvɒloː
hiány	ˈhiʲaːɲ
hiánya	ˈhiʲaːɲɒ
hiányát	ˈhiʲaːɲaːt
hiánygazdaság	ˈhiʲaːɲɡɒzdɒʃaːɡ
hiányok	ˈhiʲaːɲok
hiányol	ˈhiʲaːɲol
hiányos	ˈhiʲaːɲoʃ
hiányosság	ˈhiʲaːɲoʃːaːɡ
hiányosságok	ˈhiʲaːɲoʃːaːɡok
hiányt	ˈhiʲaːɲt
hiánytalan	ˈhiʲaːɲtɒlɒn
hiányzik	ˈhiʲaːɲzik
hiányzó	ˈhiʲaːɲzoː
hiba	ˈhibɒ
hibái	ˈhibaːʲi
hibája	ˈhibaːjɒ
hibák	ˈhibaːk
hibakereső	ˈhibɒkɛrɛʃøː
hibám	ˈhibaːm
hibás	ˈhibaːʃ
hibátlan	ˈhibaːtlɒn
hibátlanabb	ˈhibaːtlɒnɒbː
hibátlanul	ˈhibaːtlɒnul
hibáztat	ˈhibaːstɒt
hibbant	ˈhibːɒnt
hibridizáció	ˈhibridizaːt͡siʲoː
hibridizációk	ˈhibridizaːt͡siʲoːk
híd	ˈhiːd
hidak	ˈhidɒk
hidat	ˈhidɒt
hideg	ˈhidɛɡ
hidegebb	ˈhidɛɡɛbː
hidegedik	ˈhidɛɡɛdik
hidegek	ˈhidɛɡɛk
hidegen	ˈhidɛɡɛn
hideget	ˈhidɛɡɛt
hidegháború	ˈhidɛkhaːboruː
hidegháborúk	ˈhidɛkhaːboruːk
hidegszik	ˈhidɛksik
hídnál	ˈhiːdnaːl
hídon	ˈhiːdon
hidraulikus	ˈhidrɒulikuʃ
hidrofóbia	ˈhidrofoːbiʲɒ
hidrogén	ˈhidroɡeːn
hidrogén-cianid	ˈhidroɡeːnt͡siʲɒnid
hidrogénbomba	ˈhidroɡeːmbombɒ
hidrogénbombák	ˈhidroɡeːmbombaːk
hidrogének	ˈhidroɡeːnɛk
hidrográfia	ˈhidroɡraːfiʲɒ
hidrográfiák	ˈhidroɡraːfiʲaːk
hídról	ˈhiːdroːl
hidrolízis	ˈhidroliːziʃ
hidrolízisek	ˈhidroliːziʃɛk
hidrológia	ˈhidroloːɡiʲɒ
hidroplán	ˈhidroplaːn
hidrosztatikus	ˈhidrostɒtikuʃ
hidzsáb	ˈhid͡ʒaːb
hiéna	ˈhiʲeːnɒ
hiénák	ˈhiʲeːnaːk
hierarchia	ˈhiʲɛrɒrɦiʲɒ
hierarchiák	ˈhiʲɛrɒrɦiʲaːk
hierarchikus	ˈhiʲɛrɒrɦikuʃ
hifi	ˈhifi
híg	ˈhiːɡ
higany	ˈhiɡɒɲ
higanylámpa	ˈhiɡɒɲlaːmpɒ
higanyok	ˈhiɡɒɲok
higiénia	ˈhiɡiʲeːniʲɒ
higiéniák	ˈhiɡiʲeːniʲaːk
higiénikusan	ˈhiɡiʲeːnikuʃɒn
hihetetlen	ˈhiɦɛtɛtlɛn
hihetetlenebb	ˈhiɦɛtɛtlɛnɛbː
hihetetlenebbül	ˈhiɦɛtɛtlɛnɛbːyl
hihetetlenül	ˈhiɦɛtɛtlɛnyl
híja	ˈhiːjɒ
hím	ˈhiːm
himalája	ˈhimɒlaːjɒ
hímek	ˈhiːmɛk
hímnem	ˈhiːmnɛm
hímnemű	ˈhiːmnɛmyː
himnusz	ˈhimnus
himnusz	ˈhimnus
himnuszok	ˈhimnusok
hímvessző	ˈhiːɱvɛsːøː
hímzés	ˈhiːmzeːʃ
hímzések	ˈhiːmzeːʃɛk
hindi	ˈhindi
hindu	ˈhindu
hindu	ˈhindu
hinduk	ˈhinduk
hindusztáni	ˈhindustaːni
hindut	ˈhindut
hinne	ˈhinːɛ
hinni	ˈhinːi
hint	ˈhint
hinta	ˈhintɒ
hinták	ˈhintaːk
hintaszék	ˈhintɒseːk
hintaszékek	ˈhintɒseːkɛk
hintó	ˈhintoː
hiperbola	ˈhipɛrbolɒ
hiperbolikus	ˈhipɛrbolikuʃ
hiperinfláció	ˈhipɛriɱflaːt͡siʲoː
hiperkorrekció	ˈhipɛrkorːɛkt͡siʲoː
hipnotikus	ˈhipnotikuʃ
hipnotizőr	ˈhipnotizøːr
hipnotizőrök	ˈhipnotizøːrøk
hipnózis	ˈhipnoːziʃ
hipnózisok	ˈhipnoːziʃok
hipó	ˈhipoː
hipokotil	ˈhipokotil
hipotalamusz	ˈhipotɒlɒmus
hipotalamuszok	ˈhipotɒlɒmusok
hipotézis	ˈhipoteːziʃ
hipotézisek	ˈhipoteːziʃɛk
hippokratész	ˈhipokrɒteːs
hippokratészi	ˈhipokrɒteːsi
hír	ˈhiːr
hirdet	ˈhirdɛt
hirdetés	ˈhirdɛteːʃ
hirdetések	ˈhirdɛteːʃɛk
hirdetéseket	ˈhirdɛteːʃɛkɛt
hirdetési	ˈhirdɛteːʃi
hirdetést	ˈhirdɛteːʃt
hirdetmény	ˈhirdɛtmeːɲ
hirdetmények	ˈhirdɛtmeːɲɛk
híre	ˈhiːrɛ
híred	ˈhiːrɛd
hírei	ˈhiːrɛʲi
hírek	ˈhiːrɛk
híreket	ˈhiːrɛkɛt
híres	ˈhiːrɛʃ
híresebb	ˈhiːrɛʃɛbː
híresség	ˈhiːrɛʃːeːɡ
hírességek	ˈhiːrɛʃːeːɡɛk
hírhedt	ˈhiːrɦɛtː
hírlap	ˈhiːrlɒp
hírlapok	ˈhiːrlɒpok
hírlevél	ˈhiːrlɛveːl
hírlevelek	ˈhiːrlɛvɛlɛk
hírlevelünk	ˈhiːrlɛvɛlyŋk
hírlevelünket	ˈhiːrlɛvɛlyŋkɛt
hírlevelünkre	ˈhiːrlɛvɛlyŋkrɛ
hírnév	ˈhiːrneːv
hírnevek	ˈhiːrnɛvɛk
hírnök	ˈhiːrnøk
hírnökök	ˈhiːrnøkøk
hirosima	ˈhiroʃimɒ
hírszerzés	ˈhiːrsɛrzeːʃ
hírt	ˈhiːrt
hirtelen	ˈhirtɛlɛn
hirtelenebb	ˈhirtɛlɛnɛbː
hírtelevízió	ˈhiːrtɛlɛviːziʲoː
hírtelevíziók	ˈhiːrtɛlɛviːziʲoːk
hírügynökség	ˈhiːryɟnøkʃeːɡ
história	ˈhiʃtoːriʲɒ
históriák	ˈhiʃtoːriʲaːk
hisz	ˈhis
hiszek	ˈhisɛk
hiszékeny	ˈhiseːkɛɲ
hiszel	ˈhisɛl
hiszem	ˈhisɛm
hiszen	ˈhisɛn
hisztérikus	ˈhisteːrikuʃ
hisztérikusan	ˈhisteːrikuʃɒn
hisztérikusság	ˈhisteːrikuʃːaːɡ
hisztogram	ˈhistoɡrɒm
hit	ˈhit
hitben	ˈhidbɛn
hitei	ˈhitɛʲi
hitek	ˈhitɛk
hitel	ˈhitɛl
hitele	ˈhitɛlɛ
hitelek	ˈhitɛlɛk
hiteles	ˈhitɛlɛʃ
hitelesen	ˈhitɛlɛʃɛn
hitelesít	ˈhitɛlɛʃiːt
hitelesített	ˈhitɛlɛʃiːtɛtː
hitelesség	ˈhitɛlɛʃːeːɡ
hitelessége	ˈhitɛlɛʃːeːɡɛ
hitelességéért	ˈhitɛlɛʃːeːɡeːʲeːrt
hitelező	ˈhitɛlɛzøː
hiteléül	ˈhitɛleːʲyl
hitelkártya	ˈhitɛlkaːrcɒ
hitelképes	ˈhitɛlkeːpɛʃ
hitelképesség	ˈhitɛlkeːpɛʃːeːɡ
hitellevél	ˈhitɛlːɛveːl
hitelszámla	ˈhitɛlsaːmlɒ
hitelszámlák	ˈhitɛlsaːmlaːk
hitelt	ˈhitɛlt
hitet	ˈhitɛt
hitre	ˈhitrɛ
hitt	ˈhitː
hitte	ˈhitːɛ
hittem	ˈhitːɛm
hittérítés	ˈhitːeːriːteːʃ
hittérítő	ˈhitːeːriːtøː
hittérítők	ˈhitːeːriːtøːk
hitterjesztés	ˈhitːɛrjɛsteːʃ
hitvallás	ˈhitvɒlːaːʃ
hitvány	ˈhitvaːɲ
hitves	ˈhitvɛʃ
hitvesek	ˈhitvɛʃɛk
hitvesi	ˈhitvɛʃi
hitű	ˈhityː
hiú	ˈhiʲuː
hiúság	ˈhiʲuːʃaːɡ
hiúságok	ˈhiʲuːʃaːɡok
hiúz	ˈhiʲuːz
hiúzok	ˈhiʲuːzok
hív	ˈhiːv
hívás	ˈhiːvaːʃ
hívások	ˈhiːvaːʃok
hivatal	ˈhivɒtɒl
hivatala	ˈhivɒtɒlɒ
hivatali	ˈhivɒtɒli
hivatalnok	ˈhivɒtɒlnok
hivatalnokok	ˈhivɒtɒlnokok
hivatalok	ˈhivɒtɒlok
hivatalos	ˈhivɒtɒloʃ
hivatalosabb	ˈhivɒtɒloʃɒbː
hivatalosan	ˈhivɒtɒloʃɒn
hivatás	ˈhivɒtaːʃ
hivatások	ˈhivɒtaːʃok
hivatásos	ˈhivɒtaːʃoʃ
hivatkozás	ˈhivɒtkozaːʃ
hivatkozással	ˈhivɒtkozaːʃːɒl
hivatkozik	ˈhivɒtkozik
híve	ˈhiːvɛ
hívei	ˈhiːvɛʲi
hívek	ˈhiːvɛk
híven	ˈhiːvɛn
hívják	ˈhiːvjaːk
hívjuk	ˈhiːvjuk
hívnak	ˈhiːvnɒk
hívni	ˈhiːvni
hívnia	ˈhiːvniʲɒ
hívó	ˈhiːvoː
hívod	ˈhiːvod
hívok	ˈhiːvok
hívók	ˈhiːvoːk
hívókártya	ˈhiːvoːkaːrcɒ
hívom	ˈhiːvom
hívsz	ˈhiːfs
hívtam	ˈhiːftɒm
hívő	ˈhiːvøː
hívők	ˈhiːvøːk
hízékony	ˈhiːzeːkoɲ
hízelgés	ˈhiːzɛlɡeːʃ
hízelgések	ˈhiːzɛlɡeːʃɛk
hízik	ˈhiːzik
hizlaló	ˈhizlɒloː
hó	ˈhoː
hóba	ˈhoːbɒ
hóbagoly	ˈhoːbɒɡoj
hobbi	ˈhobːi
hobbik	ˈhobːik
hóbelevanc	ˈhoːbɛlɛvɒnt͡s
hócipő	ˈhoːt͡sipøː
hócipője	ˈhoːt͡sipøːjɛ
hócipők	ˈhoːt͡sipøːk
hód	ˈhoːd
hodály	ˈhodaːj
hódít	ˈhoːdiːt
hódító	ˈhoːdiːtoː
hódol	ˈhoːdol
hódolat	ˈhoːdolɒt
hódolatok	ˈhoːdolɒtok
hodzsa	ˈhod͡ʒɒ
hóember	ˈhoːɛmbɛr
hóemberek	ˈhoːɛmbɛrɛk
hóembernek	ˈhoːɛmbɛrnɛk
hóembernél	ˈhoːɛmbɛrneːl
hóemberre	ˈhoːɛmbɛrːɛ
hóemberrel	ˈhoːɛmbɛrːɛl
hóembert	ˈhoːɛmbɛrt
hóesés	ˈhoːɛʃeːʃ
hófajd	ˈhoːfɒjd
hófajdok	ˈhoːfɒjdok
hófehér	ˈhoːfɛɦeːr
hófehérke	ˈhoːfɛɦeːrkɛ
hófúvás	ˈhoːfuːvaːʃ
hóförgeteg	ˈhoːførɡɛtɛɡ
hógolyó	ˈhoːɡojoː
hógolyók	ˈhoːɡojoːk
hogy	ˈhoɟ
hogyan	ˈhoɟɒn
hogyha	ˈhochɒ
hogyhogy	ˈhochoɟ
hogyne	ˈhoɟnɛ
hogyne	ˈhoːɟnɛ
hógömb	ˈhoːɡømb
hógömbök	ˈhoːɡømbøk
hóhér	ˈhoːɦeːr
hóhérok	ˈhoːɦeːrok
hokedli	ˈhokɛdli
hokedlik	ˈhokɛdlik
hoki	ˈhoki
hókócsag	ˈhoːkoːt͡ʃɒɡ
hol	ˈhol
hólapát	ˈhoːlɒpaːt
hólapátok	ˈhoːlɒpaːtok
hold	ˈhold
hold	ˈhold
holdak	ˈholdɒk
holdas	ˈholdɒʃ
holdascsont	ˈholdɒʃt͡ʃont
holdascsontok	ˈholdɒʃt͡ʃontok
holdfázis	ˈholtfaːziʃ
holdfény	ˈholtfeːɲ
holdjáró	ˈholdjaːroː
holdkóros	ˈholtkoːroʃ
holdnaptár	ˈholdnɒptaːr
holdsugár	ˈholtʃuɡaːr
holdtérkép	ˈholteːrkeːp
holdtölte	ˈholtøltɛ
holdvilág	ˈholdvilaːɡ
holland	ˈholːɒnd
hollandia	ˈholːɒndiʲɒ
hollandiai	ˈholːɒndiʲɒʲi
hollandok	ˈholːɒndok
holló	ˈholːoː
hollófekete	ˈholːoːfɛkɛtɛ
hollók	ˈholːoːk
holmi	ˈholmi
holmik	ˈholmik
holnap	ˈholnɒp
holnapi	ˈholnɒpi
holnapra	ˈholnɒprɒ
holnapután	ˈholnɒputaːn
holott	ˈholotː
holt	ˈholt
holt-tenger	ˈholtɛŋɡɛr
holtpont	ˈholtpont
holtrészeg	ˈholtreːsɛɡ
holttest	ˈholtɛʃt
holttestek	ˈholtɛʃtɛk
holtverseny	ˈholtvɛrʃɛɲ
homály	ˈhomaːj
homályos	ˈhomaːjoʃ
homályosabb	ˈhomaːjoʃɒbː
homár	ˈhomaːr
hombár	ˈhombaːr
hombárok	ˈhombaːrok
homeopátia	ˈhomɛopaːtiʲɒ
homeosztázis	ˈhomɛostaːziʃ
homeosztázisok	ˈhomɛostaːziʃok
homlok	ˈhomlok
homloka	ˈhomlokɒ
homlokaik	ˈhomlokɒʲik
homlokaink	ˈhomlokɒʲiŋk
homlokba	ˈhomloɡbɒ
homlokban	ˈhomloɡbɒn
homlokból	ˈhomloɡboːl
homlokcsont	ˈhomlokt͡ʃont
homlokcsontok	ˈhomlokt͡ʃontok
homlokért	ˈhomlokeːrt
homlokhoz	ˈhomlokhoz
homlokig	ˈhomlokiɡ
homlokká	ˈhomlokːaː
homlokkal	ˈhomlokːɒl
homlokként	ˈhomlokːeːnt
homloklebeny	ˈhomloklɛbɛɲ
homloklebenyek	ˈhomloklɛbɛɲɛk
homloknak	ˈhomloknɒk
homloknál	ˈhomloknaːl
homlokod	ˈhomlokod
homlokok	ˈhomlokok
homlokokat	ˈhomlokokɒt
homlokokba	ˈhomlokoɡbɒ
homlokokban	ˈhomlokoɡbɒn
homlokokból	ˈhomlokoɡboːl
homlokokért	ˈhomlokokeːrt
homlokokhoz	ˈhomlokokhoz
homlokokig	ˈhomlokokiɡ
homlokokká	ˈhomlokokːaː
homlokokkal	ˈhomlokokːɒl
homlokokként	ˈhomlokokːeːnt
homlokoknak	ˈhomlokoknɒk
homlokoknál	ˈhomlokoknaːl
homlokokon	ˈhomlokokon
homlokokra	ˈhomlokokrɒ
homlokokról	ˈhomlokokroːl
homlokoktól	ˈhomlokoktoːl
homlokom	ˈhomlokom
homlokon	ˈhomlokon
homlokot	ˈhomlokot
homlokotok	ˈhomlokotok
homlokra	ˈhomlokrɒ
homlokról	ˈhomlokroːl
homlokszíj	ˈhomloksiːj
homloktól	ˈhomloktoːl
homlokuk	ˈhomlokuk
homlokunk	ˈhomlokuŋk
homlokzat	ˈhomloɡzɒt
homlokzatok	ˈhomloɡzɒtok
homloküreg	ˈhomlokyrɛɡ
homloküregek	ˈhomlokyrɛɡɛk
homogén	ˈhomoɡeːn
homogenizál	ˈhomoɡɛnizaːl
homok	ˈhomok
homokdűne	ˈhomoɡdyːnɛ
homokdűnék	ˈhomoɡdyːneːk
homokja	ˈhomokjɒ
homokjaik	ˈhomokjɒʲik
homokjaink	ˈhomokjɒʲiŋk
homokjuk	ˈhomokjuk
homokkő	ˈhomokːøː
homokok	ˈhomokok
homokóra	ˈhomokoːrɒ
homokórák	ˈhomokoːraːk
homokos	ˈhomokoʃ
homokotok	ˈhomokotok
homokozó	ˈhomokozoː
homokvár	ˈhomokvaːr
homokvárak	ˈhomokvaːrɒk
homokvihar	ˈhomokviɦɒr
homokviharaik	ˈhomokviɦɒrɒʲik
homokviharaink	ˈhomokviɦɒrɒʲiŋk
homokviharotok	ˈhomokviɦɒrotok
homokzsák	ˈhomoɡʒaːk
homorú	ˈhomoruː
homorúan	ˈhomoruːɒn
homorúbban	ˈhomoruːbːɒn
homorúság	ˈhomoruːʃaːɡ
homorúságok	ˈhomoruːʃaːɡok
homorúszög	ˈhomoruːsøɡ
homoszexuális	ˈhomosɛksuaːliʃ
homsz	ˈhoms
homszi	ˈhomsi
hon	ˈhon
hón	ˈhoːn
hónalj	ˈhoːnɒjː
hónaljak	ˈhoːnɒjːɒk
hónap	ˈhoːnɒp
hónapja	ˈhoːnɒpjɒ
hónapjában	ˈhoːnɒpjaːbɒn
hónapok	ˈhoːnɒpok
hónapokon	ˈhoːnɒpokon
hónapokra	ˈhoːnɒpokrɒ
hónapon	ˈhoːnɒpon
hónapos	ˈhoːnɒpoʃ
hónapot	ˈhoːnɒpot
hónapra	ˈhoːnɒprɒ
honda	ˈhondɒ
honduras	ˈhondurɒs
hondurasi	ˈhondurɒsi
honfi	ˈhoɱfi
honfitárs	ˈhoɱfitaːrʃ
honfoglalás	ˈhoɱfoɡlɒlaːʃ
honi	ˈhoni
honlap	ˈhonlɒp
honlapja	ˈhonlɒpjɒ
honlapján	ˈhonlɒpjaːn
honlapjára	ˈhonlɒpjaːrɒ
honlapok	ˈhonlɒpok
honlapokat	ˈhonlɒpokɒt
honlapokon	ˈhonlɒpokon
honlapon	ˈhonlɒpon
honlapot	ˈhonlɒpot
honlapunk	ˈhonlɒpuŋk
honlapunkon	ˈhonlɒpuŋkon
honn	ˈhonː
honnan	ˈhonːɒn
honnét	ˈhonːeːt
hónok	ˈhoːnok
honorárium	ˈhonoraːriʲum
honoráriumok	ˈhonoraːriʲumok
honvágy	ˈhoɱvaːɟ
honvágyak	ˈhoɱvaːɟɒk
honvéd	ˈhoɱveːd
honvédelem	ˈhoɱveːdɛlɛm
honvédelmi	ˈhoɱveːdɛlmi
honvédség	ˈhoɱveːt͡ʃːeːɡ
hópárduc	ˈhoːpaːrdut͡s
hópehely	ˈhoːpɛhɛj
hópelyhek	ˈhoːpɛjhɛk
hópihe	ˈhoːpiɦɛ
hópihék	ˈhoːpiɦeːk
hoplita	ˈhoplitɒ
hóra	ˈhoːrɒ
hord	ˈhord
horda	ˈhordɒ
hordágy	ˈhordaːɟ
hordágyak	ˈhordaːɟɒk
hordágykocsi	ˈhordaːckot͡ʃi
hordágykocsik	ˈhordaːckot͡ʃik
hordák	ˈhordaːk
hordalék	ˈhordɒleːk
hordaléka	ˈhordɒleːkɒ
hordalékából	ˈhordɒleːkaːboːl
hordalékok	ˈhordɒleːkok
hordár	ˈhordaːr
hordárok	ˈhordaːrok
horderejű	ˈhordɛrɛjyː
horderő	ˈhordɛrøː
hordó	ˈhordoː
hordók	ˈhordoːk
hordoz	ˈhordoz
hordozható	ˈhordoshɒtoː
hordozó	ˈhordozoː
horgany	ˈhorɡɒɲ
horgas	ˈhorɡɒʃ
horgascsont	ˈhorɡɒʃt͡ʃont
horgascsontok	ˈhorɡɒʃt͡ʃontok
horgász	ˈhorɡaːs
horgászat	ˈhorɡaːsɒt
horgászatok	ˈhorɡaːsɒtok
horgászbot	ˈhorɡaːzbot
horgászok	ˈhorɡaːsok
horgászzsinór	ˈhorɡaːzʒinoːr
horgok	ˈhorɡok
horgony	ˈhorɡoɲ
horgonyok	ˈhorɡoɲok
horizont	ˈhorizont
horkol	ˈhorkol
horkolás	ˈhorkolaːʃ
hormon	ˈhormon
hormonkészítmény	ˈhormoŋkeːsiːtmeːɲ
hormonkészítmények	ˈhormoŋkeːsiːtmeːɲɛk
hormonok	ˈhormonok
horn	ˈhorn
horog	ˈhoroɡ
horogkereszt	ˈhorokːɛrɛst
horoszkóp	ˈhoroskoːp
horoszkópok	ˈhoroskoːpok
horror	ˈhorːor
horrorfilm	ˈhorːorfilm
horrorfilmje	ˈhorːorfilmjɛ
horvát	ˈhorvaːt
horváth	ˈhorvaːt
horvátok	ˈhorvaːtok
horvátország	ˈhorvaːtorsaːɡ
hossz	ˈhosː
hosszabb	ˈhosːɒbː
hosszabbító	ˈhosːɒbːiːtoː
hosszadalmas	ˈhosːɒdɒlmɒʃ
hosszak	ˈhosːɒk
hosszan	ˈhosːɒn
hosszas	ˈhosːɒʃ
hosszasan	ˈhosːɒʃɒn
hosszú	ˈhosːuː
hosszú	ˈhosːuː
hosszúkás	ˈhosːuːkaːʃ
hosszúlélegzetű	ˈhosːuːleːlɛɡzɛtyː
hosszúlépés	ˈhosːuːleːpeːʃ
hosszúság	ˈhosːuːʃaːɡ
hosszúságok	ˈhosːuːʃaːɡok
hosszútávú	ˈhosːuːtaːvuː
hotel	ˈhotɛl
hotelben	ˈhotɛlbɛn
hotelek	ˈhotɛlɛk
hotelekben	ˈhotɛlɛɡbɛn
hotelszoba	ˈhotɛlsobɒ
hotelszobák	ˈhotɛlsobaːk
house	ˈhɒuz
hova	ˈhovɒ
hová	ˈhovaː
hóvakság	ˈhoːvɒkʃaːɡ
hóvihar	ˈhoːviɦɒr
hóviharok	ˈhoːviɦɒrok
hóvirág	ˈhoːviraːɡ
hóvirágok	ˈhoːviraːɡok
hoz	ˈhoz
hozam	ˈhozɒm
hozama	ˈhozɒmɒ
hozamai	ˈhozɒmɒʲi
hozamaid	ˈhozɒmɒʲid
hozamaik	ˈhozɒmɒʲik
hozamaim	ˈhozɒmɒʲim
hozamaink	ˈhozɒmɒʲiŋk
hozamaitok	ˈhozɒmɒʲitok
hozamod	ˈhozɒmod
hozamok	ˈhozɒmok
hozamom	ˈhozɒmom
hozamotok	ˈhozɒmotok
hozamuk	ˈhozɒmuk
hozamunk	ˈhozɒmuŋk
hózentráger	ˈhoːzɛntraːɡɛr
hózentróger	ˈhoːzɛntroːɡɛr
hózentrógerek	ˈhoːzɛntroːɡɛrɛk
hozhat	ˈhoshɒt
hozni	ˈhozni
hozó	ˈhozoː
hozok	ˈhozok
hozom	ˈhozom
hozomány	ˈhozomaːɲ
hozományok	ˈhozomaːɲok
hozott	ˈhozotː
hozta	ˈhostɒ
hozták	ˈhostaːk
hoztuk	ˈhostuk
hozunk	ˈhozuŋk
hozza	ˈhozːɒ
hozzá	ˈhozːaː
hozzáad	ˈhozːaːɒd
hozzáadás	ˈhozːaːɒdaːʃ
hozzáadása	ˈhozːaːɒdaːʃɒ
hozzáadható	ˈhozːaːɒthɒtoː
hozzáállás	ˈhozːaːaːlːaːʃ
hozzád	ˈhozːaːd
hozzáértő	ˈhozːaːʲeːrtøː
hozzáférés	ˈhozːaːfeːreːʃ
hozzáférések	ˈhozːaːfeːreːʃɛk
hozzáférhető	ˈhozːaːfeːrɦɛtøː
hozzáfog	ˈhozːaːfoɡ
hozzáír	ˈhozːaːʲiːr
hozzája	ˈhozːaːjɒ
hozzájárul	ˈhozːaːjaːrul
hozzájárulás	ˈhozːaːjaːrulaːʃ
hozzájárulása	ˈhozːaːjaːrulaːʃɒ
hozzájárulásával	ˈhozːaːjaːrulaːʃaːvɒl
hozzájárulások	ˈhozːaːjaːrulaːʃok
hozzájuk	ˈhozːaːjuk
hozzam	ˈhozːɒm
hozzám	ˈhozːaːm
hozzánk	ˈhozːaːŋk
hozzászokik	ˈhozːaːsokik
hozzászól	ˈhozːaːsoːl
hozzászólás	ˈhozːaːsoːlaːʃ
hozzászólása	ˈhozːaːsoːlaːʃɒ
hozzászólásaid	ˈhozːaːsoːlaːʃɒʲid
hozzászólására	ˈhozːaːsoːlaːʃaːrɒ
hozzászólását	ˈhozːaːsoːlaːʃaːt
hozzászóláshoz	ˈhozːaːsoːlaːʃhoz
hozzászólások	ˈhozːaːsoːlaːʃok
hozzászólásokhoz	ˈhozːaːsoːlaːʃokhoz
hozzászólásokra	ˈhozːaːsoːlaːʃokrɒ
hozzászólásra	ˈhozːaːsoːlaːʃrɒ
hozzászólástól	ˈhozːaːsoːlaːʃtoːl
hozzászólhat	ˈhozːaːsoːlɦɒt
hozzászóló	ˈhozːaːsoːloː
hozzátartozik	ˈhozːaːtɒrtozik
hozzátartozó	ˈhozːaːtɒrtozoː
hozzátartozók	ˈhozːaːtɒrtozoːk
hozzátesz	ˈhozːaːtɛs
hozzátok	ˈhozːaːtok
hruscsov	ˈhruʃt͡ʃov
hsz.	ˈhɒtaːrozoːsoː
hu	ˈhu
hú	ˈhuː
húg	ˈhuːɡ
húgok	ˈhuːɡok
húgy	ˈhuːɟ
húgycső	ˈhuːct͡ʃøː
húgycső	ˈhuːt͡ʃːøː
húgyhólyag	ˈhuːchoːjɒɡ
húgyok	ˈhuːɟok
húgysav	ˈhuːcʃɒv
húgysavak	ˈhuːcʃɒvɒk
huhog	ˈhuɦoɡ
hull	ˈhulː
hulla	ˈhulːɒ
hullába	ˈhulːaːbɒ
hullád	ˈhulːaːd
hulladék	ˈhulːɒdeːk
hulladékok	ˈhulːɒdeːkok
hulladékot	ˈhulːɒdeːkot
hullaház	ˈhulːɒɦaːz
hullák	ˈhulːaːk
hullám	ˈhulːaːm
hullamerevség	ˈhulːɒmɛrɛfʃeːɡ
hullámfüggvény	ˈhulːaːɱfyɡveːɲ
hullámhossz	ˈhulːaːmɦosː
hullámlovaglás	ˈhulːaːmlovɒɡlaːʃ
hullámocska	ˈhulːaːmot͡ʃkɒ
hullámocskák	ˈhulːaːmot͡ʃkaːk
hullámok	ˈhulːaːmok
hullámos	ˈhulːaːmoʃ
hullámtörő	ˈhulːaːmtørøː
hullámvasút	ˈhulːaːɱvɒʃuːt
hullámzik	ˈhulːaːmzik
hullán	ˈhulːaːn
hullat	ˈhulːɒt
hullát	ˈhulːaːt
hulldogál	ˈhuldoɡaːl
hullócsillag	ˈhulːoːt͡ʃilːɒɡ
humán	ˈhumaːn
humanista	ˈhumɒniʃtɒ
humanizmus	ˈhumɒnizmuʃ
humbug	ˈhumbuɡ
humbugok	ˈhumbuɡok
humor	ˈhumor
humora	ˈhumorɒ
humorérzék	ˈhumoreːrzeːk
humorérzéke	ˈhumoreːrzeːkɛ
humoreszk	ˈhumorɛsk
humoreszkek	ˈhumorɛskɛk
humorista	ˈhumoriʃtɒ
humoron	ˈhumoron
humoros	ˈhumoroʃ
hun	ˈhun
hungarocell	ˈhuŋɡɒrot͡sɛlː
hunok	ˈhunok
huny	ˈhuɲ
hunyadi	ˈhuɲɒdi
húr	ˈhuːr
hurcol	ˈhurt͡sol
hurka	ˈhurkɒ
hurkák	ˈhurkaːk
hurok	ˈhurok
húrok	ˈhuːrok
húron	ˈhuːron
hurrikán	ˈhurːikaːn
hurrikánok	ˈhurːikaːnok
hurut	ˈhurut
hurutok	ˈhurutok
hús	ˈhuːʃ
húsa	ˈhuːʃɒ
husáng	ˈhuʃaːŋɡ
húsevő	ˈhuːʃɛvøː
húsgombóc	ˈhuːʒɡomboːt͡s
húsgombócok	ˈhuːʒɡomboːt͡sok
húskonzerv	ˈhuːʃkonzɛrv
húslé	ˈhuːʃleː
húsok	ˈhuːʃok
húsos	ˈhuːʃoʃ
húsosabb	ˈhuːʃoʃɒbː
húst	ˈhuːʃt
húsvét	ˈhuːʃveːt
húsvéti	ˈhuːʃveːti
húsvétot	ˈhuːʃveːtot
húsvilla	ˈhuːʃvilːɒ
húsz	ˈhuːs
huszadik	ˈhusɒdik
huszár	ˈhusaːr
