アーバーダーン	ābādān
マイナス	mainasu
マイル	mairu
マイルストーン	mairusutōn
マイタケ	maitake
マイトネリウム	maitoneriumu
マージャン	mājan
マジェンタ	majenta
マジ	maji
マージ	māji
マジック	majikku
マジパン	majipan
マジュロ	majuro
マーカー	mākā
マカオ	makao
マカロン	makaron
マカロニ	makaroni
マケドニア	makedonia
マーケティング	māketingu
マーケット	māketto
マキバドリ	makibadori
マキシ	makishi
マッカンガニ	makkangani
マック	makku
マックス	makkusu
マーク	māku
マクド	makudo
マクドナルド	makudonarudo
マクロファージ	makurofāji
マクロン	makuron
マーキュリー	mākyurī
ママ	mama
ママチャリ	mamachari
ママレード	mamarēdo
マーマレード	māmarēdo
マーメード	māmēdo
マーメイド	māmeido
マーモセット	māmosetto
マーモット	māmotto
マン	man
マナ	mana
マナー	manā
マナグア	managua
マナーマ	manāma
マナーモード	manāmōdo
マナティー	manatī
マンボ	manbo
マンボウ	manbō
マンチェスター	manchesutā
マンドリル	mandoriru
マネー	manē
マネージャー	manējā
マネジメント	manejimento
マネキン	manekin
マンガ	manga
マンガン	mangan
マンゴー	mangō
マンゴスチン	mangosuchin
マングース	mangūsu
マンハッタン	manhattan
マンホール	manhōru
マニア	mania
マニアック	maniakku
マニエリスム	manierisumu
マニフェスト	manifesuto
マニキュア	manikyua
マニラ	manira
マニトバ	manitoba
マンジュシャゲ	manjushage
マンコ	manko
マンクス	mankusu
マンモス	manmosu
マンセー	mansē
マンション	manshon
マンスリー	mansurī
マンティコア	mantikoa
マント	manto
マンツーマン	mantsūman
マヌカン	manukan
マヌケ	manuke
マヌルネコ	manuru-neko
マニュアル	manyuaru
マニューシャ	manyūsha
マッポ	mappo
マップ	mappu
マプト	maputo
マラボ	marabo
マラッカ	marakka
マラリア	mararia
マラソン	marason
マラトン	maraton
マラトーン	maratōn
マラウイ	maraui
マレ	mare
マレー	marē
マレーグマ	marē-guma
マレーシア	marēshia
マレット	maretto
マリ	mari
マリー	marī
マリア	maria
マリファナ	marifana
マリガン	marigan
マリッジブルー	marijjiburū
マリモ	marimo
マリンバ	marinba
マリネ	marine
マリオネット	marionetto
マルチパン	maruchipan
マルチーズ	maruchīzu
マルハナバチ	maruhanabachi
マルコ	maruko
マルク	maruku
マルクス	marukusu
マルメロ	marumero
マルセイユ	maruseiyu
マルス	marusu
マールス	mārusu
マルタ	maruta
マルウェア	maruwea
マサチューセッツ	masachūsettsu
マセル	maseru
マシ	mashi
マシマロ	mashimaro
マシン	mashin
マシュマロ	mashumaro
マソヒズム	masohizumu
マッサージ	massāji
マッシュルーム	masshurūmu
マス	masu
マスチフ	masuchifu
マスカラ	masukara
マスカレード	masukarēdo
マスカット	masukatto
マスコミ	masukomi
マスコット	masukotto
マスク	masuku
マスメディア	masumedia
マスター	masutā
マスターベーション	masutābēshon
マスタード	masutādo
マスタケ	masutake
マスタング	masutangu
マスタープラン	masutāpuran
マスティフ	masutifu
マスト	masuto
マーストリヒト	māsutorihito
マタイ	matai
マターリ	matāri
マッチ	matchi
マッチョ	matcho
マテガイ	mategai
マティア	matia
マーティン	mātin
マティーニ	matīni
マトリョーシカ	matoryōshika
マツダ	matsuda
マツエク	matsueku
マツリ	matsuri
マツタケ	matsutake
マット	matto
マットレス	mattoresu
マウント	maunto
マウス	mausu
マヨ	mayo
マヨネーズ	mayonēzu
マヨラー	mayorā
マザボ	mazabo
マザーボード	mazābōdo
マザコン	mazakon
マゼンタ	mazenta
マゾ	mazo
マゾヒスト	mazohisuto
マゾヒズム	mazohizumu
マーズ	māzu
メアド	meado
メバル	mebaru
メビバイト	mebibaito
メビビット	mebibitto
メダカ	medaka
メダリスト	medarisuto
メダル	medaru
メーデー	mēdē
メディア	media
メディカル	medikaru
メード	mēdo
メドレー	medorē
メドゥサ	medusa
メドゥーサ	medūsa
メガホン	megahon
メガジュール	megajūru
メガトン	megaton
メギンギョルズ	megingyoruzu
メヒコ	mehiko
メイド	meido
メイガ	meiga
メイク	meiku
メイクアップ	meikuappu
メイン	mein
メインボード	meinbōdo
メインページ	meinpēji
メイス	meisu
メイト	meito
メジャー	mejā
メジロ	mejiro
メカ	meka
メーカー	mēkā
メカブ	mekabu
メカジキ	mekajiki
メカニック	mekanikku
メカニズム	mekanizumu
メキシコ	mekishiko
メッカ	mekka
メッキ	mekki
メーメー	mēmē
メモ	memo
メモリ	memori
メモリー	memorī
メーン	mēn
メンバー	menbā
メンチ	menchi
メンデレビウム	menderebiumu
メンフクロウ	menfukurō
メンヘラ	menhera
メンマ	menma
メノウ	menō
メンス	mensu
メンテ	mente
メンテナンス	mentenansu
メントール	mentōru
メヌエット	menuetto
メニュー	menyū
メンズ	menzu
メラネシア	meraneshia
メラニン	meranin
メランコリー	merankorī
メリーゴーランド	merī-gō-rando
メリーゴーラウンド	merī-gō-raundo
メリハリ	merihari
メリージェーン	merījēn
メリケン	meriken
メリクリ	merikuri
メリークリ	merīkuri
メリメリ	merimeri
メリンス	merinsu
メリーランド	merīrando
メーリーランド	mērīrando
メリット	meritto
メリヤス	meriyasu
メロディ	merodi
メロディー	merodī
メロドラマ	merodorama
メロン	meron
メロンパン	meronpan
メーロス	mērosu
メール	mēru
メルアド	meruado
メールボックス	mērubokkusu
メルボルン	meruborun
メルヘン	meruhen
メルヘンチック	meruhenchikku
メルクリウス	merukuriusu
メルマガ	merumaga
メルポメネ	merupomene
メルポメネー	merupomenē
メルセデス	merusedesu
メルトダウン	merutodaun
メシア	meshia
メシウマ	meshiuma
メソポタミア	mesopotamia
メッセ	messe
メッセージ	messēji
メス	mesu
メーター	mētā
メタボ	metabo
メタン	metan
メタノール	metanōru
メタル	metaru
メトロ	metoro
メートル	mētoru
メッツォソプラノ	mettsosopurano
メゾソプラノ	mezosopurano
ミー	mī
ミーアキャット	mīakyatto
ミダス	midasu
ミダース	midāsu
ミッドフィールダー	middofīrudā
ミッドリフ	middorifu
ミーハー	mīhā
ミジンコ	mijinko
ミカエル	mikaeru
ミカン	mikan
ミケランジェロ	mikeranjero
ミキサー	mikisā
ミクロン	mikuron
ミクロネシア	mikuroneshia
ミミズ	mimizu
ミミズク	mimizuku
ミミズトカゲ	mimizutokage
ミーム	mīmu
ミーン	mīn
ミンチ	minchi
ミネアポリス	mineaporisu
ミネラル	mineraru
ミネルバ	mineruba
ミネルヴァ	mineruva
ミネルウァ	mineruwa
ミネソタ	minesota
ミネストローネ	minesutorōne
ミニ	mini
ミニブログ	miniburogu
ミニマリズム	minimarizumu
ミニスカート	minisukāto
ミンク	minku
ミノタウロス	minotaurosu
ミンサー	minsā
ミンスク	minsuku
ミント	minto
ミニュエット	minyuetto
ミラー	mirā
ミイラ	mīra
ミラクル	mirakuru
ミラノ	mirano
ミラーノ	mirāno
ミレニアム	mireniamu
ミリバール	miribāru
ミリグラム	miriguramu
ミリメートル	mirimētoru
ミリリットル	miririttoru
ミロス	mirosu
ミル	miru
ミルフィーユ	mirufīyu
ミルク	miruku
ミルウォーキー	miruwōkī
ミサ	misa
ミサゴ	misago
ミサイル	misairu
ミサキ	misaki
ミサンガ	misanga
ミシガン	mishigan
ミシン	mishin
ミシシッピ	mishishippi
ミソサザイ	misosazai
ミッション	misshon
ミス	misu
ミスコン	misukon
ミスマッチ	misumatchi
ミステリー	misuterī
ミストレス	misutoresu
ミーティング	mītingu
ミートボール	mītobōru
ミツバチ	mitsubachi
ミゾゴイ	mizogoi
ミズガルズ	mizugaruzu
ミズハタネズミ	mizuhatanezumi
ミズーリ	mizūri
モア	moa
モアレ	moare
モバゲー	mobagē
モバイル	mobairu
モバイルバッテリー	mobairubatterī
モボ	mobo
モチ	mochi
モチベーション	mochibēshon
モチーフ	mochīfu
モダマ	modama
モダン	modan
モダニズム	modanizumu
モデム	modemu
モデル	moderu
モデルルーム	moderurūmu
モード	mōdo
モガ	moga
モガディシュ	mogadishu
モグラ	mogura
モヒ	mohi
モジュール	mojūru
モッコリ	mokkori
モーキャプ	mōkyapu
モモ	momo
モモンガ	momonga
モモタマナ	momotamana
モナコ	monako
モネ	mone
モンゴメリー	mongomerī
モンゴロイド	mongoroido
モンゴル	mongoru
モンハン	monhan
モニカ	monika
モーニング	mōningu
モニター	monitā
モニタリング	monitaringu
モンキー	monkī
モンマス	monmasu
モノ	mono
モノホン	monohon
モノクロ	monokuro
モノクローム	monokurōmu
モノクル	monokuru
モノマネ	monomane
モノポリー	monoporī
モノレール	monorēru
モンペリエ	monperie
モンレアル	monrearu
モンロビア	monrobia
モンシロチョウ	monshirochō
モンスーン	monsūn
モンスター	monsutā
モンスターペアレント	monsutāpearento
モンタージュ	montāju
モンタナ	montana
モンテビデオ	montebideo
モンテネグロ	monteneguro
モンテヴィデオ	montevideo
モントピリア	montopiria
モントリオール	montoriōru
モントセラト	montoserato
モペッド	mopeddo
モップ	moppu
モラル	moraru
モリブデン	moribuden
モーリシャス	mōrishasu
モーリタニア	mōritania
モロッコ	morokko
モロコシ	morokoshi
モロニ	moroni
モル	moru
モール	mōru
モルダヴィア	morudavia
モルデント	morudento
モルディブ	morudibu
モルドバ	morudoba
モルドヴァ	morudova
モルフィン	morufin
モルグ	morugu
モルヒネ	moruhine
モルホリン	moruhorin
モルジブ	morujibu
モルモット	morumotto
モーセ	mōse
モス	mosu
モスコー	mosukō
モスコビウム	mosukobiumu
モスク	mosuku
モスクワ	mosukuwa
モスレム	mosuremu
モスリン	mosurin
モーター	mōtā
モーターボート	mōtābōto
モーターカー	mōtākā
モーターショー	mōtāshō
モテモテ	motemote
モテル	moteru
モーテル	mōteru
モティーフ	motīfu
モトクロス	motokurosu
モーツァルト	mōtsaruto
モットー	mottō
モッツァレラ	mottsarera
モワレ	moware
モザイク	mozaiku
モザンビーク	mozanbīku
モズ	mozu
ムーア	mūa
ムババネ	mubabane
ムービー	mūbī
ムチムチ	muchimuchi
ムーディー	mūdī
ムード	mūdo
ムグラ	mugura
ムハンマド	muhanmado
ムカデ	mukade
ムック	mukku
ムックリ	mukkuri
ムーン	mūn
ムンバイ	munbai
ムネモシュネ	munemoshune
ムネーモシュネー	munēmoshunē
ムーンルーフ	mūnrūfu
ムルタン	murutan
ムサ	musa
ムーサ	mūsa
ムササビ	musasabi
ムシ	mushi
ムース	mūsu
ムスリム	musurimu
ムスタング	musutangu
ミャンマー	myanmā
ミョウガ	myōga
ミョルニル	myoruniru
ミュー	myū
ミュージアム	myūjiamu
ミュージカル	myūjikaru
ミュージック	myūjikku
ミュージシャン	myūjishan
ミュンヘン	myunhen
ミューオン	myūon
ミュール	myūru
ミュート	myūto
ミューズ	myūzu
ミューズリー	myūzurī
ナビゲート	nabigēto
ナチ	nachi
ナチス	nachisu
ナチズム	nachizumu
ナデシコ	nadeshiko
ナフチリジン	nafuchirijin
ナフサ	nafusa
ナフタレン	nafutaren
ナフタリン	nafutarin
ナギ	nagi
ナホトカ	nahotoka
ナイーブ	naību
ナイチンゲール	naichingēru
ナイフ	naifu
ナイジャ	naija
ナイジェリア	naijeria
ナイキ	naiki
ナイン	nain
ナイロビ	nairobi
ナイロン	nairon
ナイル	nairu
ナイス	naisu
ナイスショット	naisushotto
ナイター	naitā
ナイト	naito
ナイトクラブ	naitokurabu
ナイトスタンド	naitosutando
ナキウサギ	nakiusagi
ナックルダスター	nakkurudasutā
ナマケモノ	namakemono
ナマコ	namako
ナマズ	namazu
ナメクジ	namekuji
ナメタケ	nametake
ナミビア	namibia
ナムル	namuru
ナナフシ	nanafushi
ナンバー	nanbā
ナンキン	nankin
ナンキンムシ	nankinmushi
ナノメートル	nanomētoru
ナノセカンド	nanosekando
ナノテク	nanoteku
ナノテクノロジー	nanotekunorojī
ナンパ	nanpa
ナンプラー	nanpurā
ナンセンス	nansensu
ナーンタリ	nāntari
ナンテン	nanten
ナポレオン	naporeon
ナポリ	napori
ナポリタン	naporitan
ナプキン	napukin
ナラガンセット	naragansetto
ナレッジ	narejji
ナレーション	narēshon
ナレーター	narētā
ナルキッソス	narukissosu
ナルシシスト	narushishisuto
ナルシシズム	narushishizumu
ナルシスト	narushisuto
ナルト	naruto
ナサ	nasa
ナシ	nashi
ナショナリズム	nashonarizumu
ナショナル	nashonaru
ナショナルフットボールリーグ	nashonarufuttobōrurīgu
ナッシュビル	nasshubiru
ナッソー	nassō
ナース	nāsu
ナタン	natan
ナタナエル	natanaeru
ナターシャ	natāsha
ナトリウム	natoriumu
ナツメ	natsume
ナツメヤシ	natsumeyashi
ナツツバキ	natsutsubaki
ナット	natto
ナウル	nauru
ナザレ	nazare
ナズナ	nazuna
ネバダ	nebada
ネバネバ	nebaneba
ネブラスカ	neburasuka
ネチズン	nechizun
ネーデルランド	nēderurando
ネーデルラント	nēderuranto
ネガ	nega
ネギ	negi
ネグリジェ	negurije
ネグロ	neguro
ネイビス	neibisu
ネイプルズ	neipuruzu
ネイリスト	neirisuto
ネイル	neiru
ネカフェ	nekafe
ネカマ	nekama
ネック	nekku
ネックレス	nekkuresu
ネコ	neko
ネクロマンシー	nekuromanshī
ネクロポリス	nekuroporisu
ネクター	nekutā
ネクタイ	nekutai
ネクタリン	nekutarin
ネクトン	nekuton
ネマキ	nemaki
ネメシス	nemeshisu
ネーム	nēmu
ネオダーウィニズム	neodāwinizumu
ネオジム	neojimu
ネオン	neon
ネオナチ	neonachi
ネオペイガニズム	neopeiganizumu
ネオテニー	neotenī
ネパール	nepāru
ネピドー	nepidō
ネプチューン	nepuchūn
ネプツニウム	neputsuniumu
ネプトゥーヌス	neputūnusu
ネル	neru
ネッシー	nesshī
ネスト	nesuto
ネタ	neta
ネタバレ	netabare
ネトゲ	netoge
ネトウヨ	netouyo
ネット	netto
ネットサーフィン	nettosāfin
ネットワーク	nettowāku
ネズミ	nezumi
ネズミイルカ	nezumiiruka
ネズミーランド	nezumīrando
ニ	ni
ニアメ	niame
ニアメー	niamē
ニアサランド	niasarando
ニブル	niburu
ニエロ	niero
ニガー	nigā
ニゴロブナ	nigorobuna
ニグロ	niguro
ニイハオ	nīhao
ニーハオ	nīhao
ニヒリズム	nihirizumu
ニホン	nihon
ニホニウム	nihoniumu
ニホンジカ	nihonjika
ニホンウナギ	nihon'unagi
ニホンザル	nihonzaru
ニジェール	nijēru
ニジマス	nijimasu
ニカラグア	nikaragua
ニケ	nike
ニーケー	nīkē
ニキビ	nikibi
ニッケル	nikkeru
ニック	nikku
ニックネーム	nikkunēmu
ニコチン	nikochin
ニコニコ	nikoniko
ニコライ	nikorai
ニコシア	nikoshia
ニンフ	ninfu
ニイニイゼミ	nīnīzemi
ニンジン	ninjin
ニンニク	ninniku
ニーノシュク	nīnoshuku
ニンテンドー	nintendō
ニオベ	niobe
ニオベー	niobē
ニオブ	niobu
ニッパー	nippā
ニッポン	nippon
ニラ	nira
ニレ	nire
ニル	niru
ニルバーナ	nirubāna
ニセ	nise
ニセコ	niseko
ニシキヘビ	nishikihebi
ニシコクマルガラス	nishikokumarugarasu
ニシン	nishin
ニーソ	nīso
ニス	nisu
ニート	nīto
ニトリル	nitoriru
ニトログリセリン	nitoroguriserin
ニット	nitto
ニットキャップ	nittokyappu
ニウエ	niue
ニワトコ	niwatoko
ニワトリ	niwatori
ニヤニヤ	niyaniya
ニーズ	nīzu
ンジャメナ	njamena
ノオ	nō
ノー	nō
ノア	noa
ノーベリウム	nōberiumu
ノベル	noberu
ノーベル	nōberu
ノーブラ	nōbura
ノード	nōdo
ノーフォーク	nōfōku
ノギス	nogisu
ノウハウ	nōhau
ノイローゼ	noirōze
ノイズ	noizu
ノーカット	nōkatto
ノーカウント	nōkaunto
ノキア	nokia
ノック	nokku
ノックノック	nokkunokku
ノコギリザメ	nokogirizame
ノーコメント	nōkomento
ノーコン	nōkon
ノマ	noma
ノーマル	nōmaru
ノミネート	nominēto
ノーム	nōmu
ノンフィクション	nonfikushon
ノンケ	nonke
ノンセクション	nonsekushon
ノーパン	nōpan
ノープラン	nō-puran
ノレッジ	norejji
ノリッジ	norijji
ノリッチ	noritchi
ノロ	noro
ノロジカ	norojika
ノルエピネフリン	noruepinefurin
ノルマ	noruma
ノルマンディ	norumandi
ノルマンディー	norumandī
ノルマンジー	norumanjī
ノルウェー	noruwē
ノルウェイ	noruwei
ノーサンプトン	nōsanputon
ノーショー	nōshō
ノース	nōsu
ノースリーブ	nōsurību
ノスタルジー	nosutarujī
ノスタルジア	nosutarujia
ノストラダムス	nosutoradamusu
ノート	nōto
ノートブック	nōtobukku
ノット	notto
ノウサギ	nousagi
ノヴォシビルスク	novoshibirusuku
ノーズ	nōzu
ヌー	nū
ヌアクショット	nuakushotto
ヌード	nūdo
ヌードル	nūdoru
ヌカカ	nukaka
ヌクアロファ	nukuarofa
ヌクレオチド	nukureochido
ヌンチャク	nunchaku
ヌル	nuru
ヌルゲー	nurugē
ヌルゲーマー	nurugēmā
ニャー	nyā
ニャン	nyan
ニャーニャー	nyānyā
ニュー	nyū
ニュアンス	nyuansu
ニューファン	nyūfan
ニューファンドランド	nyūfandorando
ニューフィー	nyūfī
ニューハーフ	nyūhāfu
ニューロン	nyūron
ニュース	nyūsu
ニュースデスク	nyūsudesuku
ニュースフラッシュ	nyūsufurasshu
ニュースキャスター	nyūsukyasutā
ニュースレター	nyūsuretā
ニュースルーム	nyūsurūmu
ニュータウン	nyūtaun
ニュートン	nyūton
ニュートラル	nyūtoraru
ニュートリノ	nyūtorino
オウ	ō
オー	ō
オアシス	oashisu
オーバー	ōbā
オーバーブラウス	ōbāburausu
オーバードライブ	ōbādoraibu
オーバードース	ōbādōsu
オーバーコート	ōbākōto
オバマ	obama
オバマケア	obamakea
オオバン	ōban
オーバーオール	ōbāōru
オーバーライド	ōbāraido
オーバータイム	ōbātaimu
オベリスク	oberisuku
オーボー	ōbō
オーボエ	ōboe
オブジェ	obuje
オブジェクト	obujekuto
オーブン	ōbun
オーブラスチ	ōburasuchi
オブリガート	oburigāto
オダマキ	odamaki
オーダーメイド	ōdāmeido
オッドアイ	oddoai
オーデンヴァルト	ōdenvaruto
オーディン	ōdin
オーディオ	ōdio
オーディション	ōdishon
オード	ōdo
オードブル	ōdoburu
オードトワレ	ōdotoware
オードトワレット	ōdotowaretto
オデュッセイア	odyusseia
オデュッセウス	odyusseusu
オーエル	ōeru
オファー	ofā
オフィス	ofisu
オフ	ofu
オフホワイト	ofuhowaito
オフレコ	ofureko
オーガ	ōga
オーガンディー	ōgandī
オガネソン	oganeson
オーガンジー	ōganjī
オーガスタ	ōgasuta
オガタマ	ogatama
オーガズム	ōgazumu
オグロ	oguro
オハイオ	ohaio
ヲハイヲ	ohaio
オオハクチョウ	ōhakuchō
オイディプス	oidipusu
オイディプース	oidipūsu
オイル	oiru
オイタナジー	oitanajī
オオジカ	ōjika
オカ	oka
オカマ	okama
オカメインコ	okameinko
オオカミ	ōkami
オカピ	okapi
オカリナ	okarina
オカルト	okaruto
オカズ	okazu
オケ	oke
オーケー	ōkē
オケアノス	okeanosu
オーケアノス	ōkeanosu
オーケストラ	ōkesutora
オキサゾール	okisazōru
オキシム	okishimu
オーキシン	ōkishin
オキシトシン	okishitoshin
オッケー	okkē
オックスフォード	okkusufōdo
オコジョ	okojo
オオコウモリ	ōkōmori
オコゼ	okoze
オーク	ōku
オクラ	okura
オクラホマ	okurahoma
オクローシカ	okurōshika
オークション	ōkushon
オクタデカン	okutadekan
オクタン	okutan
オマージュ	omāju
オマキザル	omakizaru
オマーン	omān
オメー	omē
オメガ	omega
オオメジロザメ	ōmejirozame
オミクロン	omikuron
オミナエシ	ominaeshi
オモラシ	omorashi
オウム	ōmu
オーム	ōmu
オウムガイ	ōmugai
オオムギ	ōmugi
オムニバス	omunibasu
オムライス	omuraisu
オムレツ	omuretsu
オン	on
オーナー	ōnā
オナベ	onabe
オオナゴ	ōnago
オナホ	onaho
オナホール	onahōru
オナニー	onanī
オナペット	onapetto
オネェ	onē
オングストローム	ongusutorōmu
オニダルマオコゼ	onidarumaokoze
オニオコゼ	oniokoze
オニウム	oniumu
オノマトペ	onomatope
オンライン	onrain
オンス	onsu
オンタリオ	ontario
オパール	opāru
オペアンプ	opeanpu
オペラ	opera
オペラグラス	operagurasu
オペレーション	operēshon
オペレーター	operētā
オペレッタ	operetta
オポッサム	opossamu
オッパイ	oppai
オープン	ōpun
オープニング	ōpuningu
オプション	opushon
オプス	opusu
オーラ	ōra
オーライ	ōrai
オランダ	oranda
オーランド	ōrando
オランウータン	oran'ūtan
オレ	ore
オーレ	ōre
オレフィン	orefin
オレガノ	oregano
オレイアス	oreiasu
オウレン	ōren
オレンジ	orenji
オレンジジュース	orenjijūsu
オリーブ	orību
オリエンテーション	orientēshon
オリジナル	orijinaru
オリコン	orikon
オリキャラ	orikyara
オリンピア	orinpia
オリンピック	orinpikku
オリンポス	orinposu
オーリンズ	ōrinzu
オリオン	orion
オーリーオーン	ōrīōn
オーロックス	ōrokkusu
オーロクス	ōrokusu
オーロラ	ōrora
オウル	ōru
オール	ōru
オルバニ	orubani
オルバニー	orubanī
オールバニ	ōrubani
オールバニー	ōrubanī
オルドス	orudosu
オルガン	orugan
オルガスムス	orugasumusu
オルゴール	orugōru
オルニトミムス	orunitomimusu
オルレアン	orurean
オールスパイス	ōrusupaisu
オールスター	ōrusutā
オリュンピア	oryunpia
オリュンピアス	oryunpiasu
オリュンポス	oryunposu
オオサンショウウオ	ōsanshōuo
オサゾン	osazon
オセアニア	oseania
オセロ	osero
オセロット	oserotto
オーシャン	ōshan
オシャレ	oshare
オシキャット	oshikyatto
オシリス	oshirisu
オーソリティー	ōsoritī
オッサン	ossan
オス	osu
オスカー	osukā
オスマン	osuman
オスミウム	osumiumu
オスロ	osuro
オースティン	ōsutin
オストメイト	osutomeito
オーストララシア	ōsutorarashia
オーストラリア	ōsutoraria
オーストラリアクロトキ	ōsutorariakurotoki
オーストリー	ōsutorī
オーストリア	ōsutoria
オタク	otaku
ヲタク	otaku
オタマジャクシ	otamajakushi
オータム	ōtamu
オタリア	otaria
オタワ	otawa
オート	ōto
オートバイ	ōtobai
オートバイシクル	ōtobaishikuru
オオトカゲ	ōtokage
オートマチック	ōtomachikku
オトメン	otomen
オートメーション	ōtomēshon
オートミール	ōtomīru
オートパイロット	ōtopairotto
オットー	ottō
オットマン	ottoman
オットセイ	ottosei
オヴァ	ova
オヴム	ovumu
オワコン	owakon
オーウェル	ōweru
オヤジ	oyaji
オオヤマネコ	ōyamaneko
オゾン	ozon
パッ	pa'
パ	pa
パー	pā
パブ	pabu
パブリック	paburikku
パブリックドメイン	paburikkudomein
パチンコ	pachinko
パチパチ	pachipachi
パチスロ	pachisuro
パッド	paddo
パーディシャー	pādishā
パドル	padoru
パエリア	paeria
パフェ	pafe
パフォーマンス	pafōmansu
パグ	pagu
パイ	pai
パイカ	paika
パインアップル	pain'appuru
パイナップル	painappuru
パインナップル	painnappuru
パイント	painto
パイオニア	paionia
パイパン	paipan
パイプ	paipu
パイプカット	paipukatto
パイプライン	paipurain
パイロン	pairon
パイロット	pairotto
パイセン	paisen
パイズリ	paizuri
パジャマ	pajama
パーカー	pākā
パケット	paketto
パーキング	pākingu
パキスタン	pakisutan
パッケージ	pakkēji
パック	pakku
パーク	pāku
パクチー	pakuchī
パクパク	pakupaku
パクリ	pakuri
パクツイ	pakutsui
パークウェイ	pākuwei
パーマ	pāma
パーマネント	pāmanento
パームトップ	pāmutoppu
パン	pan
パナジ	panaji
パナマ	panama
パナソニック	panasonikku
パンチ	panchi
パンチカード	panchikādo
パンチラ	panchira
パンダ	panda
パンデミック	pandemikku
パンドラ	pandora
パンドーラー	pandōrā
パネェ	panē
パネル	paneru
パンフ	panfu
パンフレット	panfuretto
パニック	panikku
パニーニ	panīni
パニーノ	panīno
パンジャブ	panjabu
パンジー	panjī
パンケーキ	pankēki
パンキッシュ	pankisshu
パンク	panku
パンクロック	pankurokku
パンノキ	pannoki
パンパイプ	panpaipu
パンプキン	panpukin
パンプス	panpusu
パンスケ	pansuke
パンスト	pansuto
パンタグラフ	pantagurafu
パンティー	pantī
パントマイム	pantomaimu
パンツ	pantsu
パンヤ	pan'ya
パオ	pao
パオズ	paozu
パパ	papa
パパイア	papaia
パパイヤ	papaiya
パパモビル	papamobiru
パパラッチ	paparatchi
パピルス	papirusu
パプア	papua
パプリカ	papurika
パラボラ	parabora
パラダイス	paradaisu
パラドックス	paradokkusu
パラグアイ	paraguai
パラグライダー	paraguraidā
パラジクロロベンゼン	parajikurorobenzen
パラジウム	parajiumu
パラマリボ	paramaribo
パラメータ	paramēta
パラミツ	paramitsu
パラオ	parao
パラパラ	parapara
パラレル	parareru
パラリンピック	pararinpikku
パラシュート	parashūto
パラソル	parasoru
パラス	parasu
パレード	parēdo
パーレン	pāren
パレオグラフィー	pareogurafī
パレス	paresu
パレスチナ	paresuchina
パレット	paretto
パリ	pari
パリス	parisu
パリティ	pariti
パリティー	paritī
パロディ	parodi
パロディー	parodī
パール	pāru
パルチザン	paruchizan
パルクール	parukūru
パルメザン	parumezan
パールミルクティー	pārumirukutī
パルプ・フィクション	parupufikushon
パルサー	parusā
パルス	parusu
パルテノン	parutenon
パーサー	pāsā
パサパサ	pasapasa
パサルガダエ	pasarugadae
パーセク	pāseku
パーセント	pāsento
パセリ	paseri
パソコン	pasokon
パーソナリティ	pāsonariti
パッシング	passhingu
パス	pasu
パース	pāsu
パスカル	pasukaru
パースペクティブ	pāsupekutibu
パスポート	pasupōto
パスタ	pasuta
パステル	pasuteru
パスワード	pasuwādo
パターン	patān
パタンナー	patannā
パッチム	patchimu
パテ	pate
パーティ	pāti
パーティー	pātī
パーティクル	pātikuru
パティーン	patīn
パティシェ	patishe
パティシエ	patishie
パーティション	pātishon
パート	pāto
パトカー	patokā
パートナー	pātonā
パートナーシップ	pātonāshippu
パトリック	patorikku
パトロール	patorōru
パートタイム	pāto-taimu
パーツ	pātsu
パツキン	patsukin
パッツン	pattsun
パウダー	paudā
パウロ	pauro
パワー	pawā
パワフル	pawafuru
パズル	pazuru
ペア	pea
ペビバイト	pebibaito
ペビビット	pebibitto
ペチャクチャ	pechakucha
ペチャパイ	pechapai
ペチカ	pechika
ペチコート	pechikōto
ペダル	pedaru
ペディキュア	pedikyua
ペドフィリア	pedofiria
ペドメーター	pedomētā
ペガサス	pegasasu
ペガソス	pegasosu
ペーガソス	pēgasosu
ペガスス	pegasusu
ペーガスス	pēgasusu
ペイガニズム	peiganizumu
ペイント	peinto
ペイントボール	peintobōru
ページ	pēji
ペケ	peke
ペキン	pekin
ペキニーズ	pekinīzu
ペッカリー	pekkarī
ペコペコ	pekopeko
ペクチン	pekuchin
ペクトサン	pekutosan
ペン	pen
ペンチ	penchi
ペンダント	pendanto
ペネロペ	penerope
ペーネロペー	pēneropē
ペネロペイア	peneropeia
ペーネロペイア	pēneropeia
ペンギン	pengin
ペニー	penī
ペニヒ	penihi
ペニス	penisu
ペンキ	penki
ペンネ	penne
ペンシルベニア	penshirubenia
ペンス	pensu
ペンタブ	pentabu
ペンタゴン	pentagon
ペンタン	pentan
ペンタスロン	pentasuron
ペントハウス	pentohausu
ペーパー	pēpā
ペーパーバック	pēpābakku
ペーパードライバー	pēpādoraibā
ペパクラ	pepakura
ペパーミント	pepāminto
ペパロニ	peparoni
ペーパータオル	pēpātaoru
ペプチド	pepuchido
ペプシ	pepushi
ペラペラ	perapera
ペレストロイカ	peresutoroika
ペリドット	peridotto
ペリカン	perikan
ペリメニ	perimeni
ペルー	perū
ペルセウス	peruseusu
ペルシャ	perusha
ペルシア	perushia
ペルソナ	perusona
ペソ	peso
ペース	pēsu
ペースメーカー	pēsumēkā
ペスト	pesuto
ペタバイト	petabaito
ペテロ	petero
ペトラルカ	petoraruka
ペトロ	petoro
ペトログラード	petorogurādo
ペトロパブロフスク	petoropaburofusuku
ペット	petto
