.f	ʔ ɛ f
wšb	w oː ʃ ə β
wꜣb	w ɑ b
wꜥb	w ə ʕ a p
wšb	w ɛ ʃ ɛ b
wꜥb	w ɑː b
wšd	w aː ʃ a t ʼ
wšd	w oː ʃ ə t ʼ
wšd	w ɛ ʃ ɛ d
wḫdw	w ɛ x ɛ d uː
wꜥf	w ɑː f
wꜣg	w ɑ ɡ
wꜣj	w ɑ i
wꜥj	w ɑː i
wꜣjwrjy	w ɑ i uː r i ʔ iː
wḥm	w ɛ ħ ɛ m
wḥmt	w ɛ ħ m ɛ t
wḥmyt	w ɛ ħ m iː t
wšr	w ɛ ʃ ɛ r
wꜥr	w ɑː r
wꜥrt	w ɑː r ɛ t
wꜣs	w ɑ s
wꜣsj	w ɑ s i
wꜣst	w ɑ s ɛ t
wꜣsꜣrkn	w ɑ s ɑ r k ɛ n
wḫt	w a χ iː ʀ a t
wḫt	w a χ iː ʀ a ʔ
wḏt	w ɛ d͡ʒ ɛ t
wꜣt	w ɑ t
wḫt	w ɛ x ɛ t
wḫt	w ə χ eː ʔ ə
wḫt	w ə χ iː ʔ a
wꜥtj	w u ʕ t i j
wꜥtj	w ə ʕ t e ʔ
wꜥtj	w ɑː t i
wꜥw	w eː ʕ ə
wꜥw	w iː ʕ i w
wꜥw	w iː ʕ ə ʔ
wꜣw	w ɑ uː
wꜥw	w ɑː uː
wḏyt	w ɛ d͡ʒ iː t
wḥyt	w ɛ ħ iː t
wṯz	w ɛ t͡ʃ ɛ z
wꜣḏ	w aː ʀ i c ʼ
wꜣḏ	w aː ʀ i t ʼ
wꜣḏ	w oː ʔ ə t ʼ
wꜣḏ	w ɑ d͡ʒ
wḏꜣ	w ɛ d͡ʒ ɑ
wḏꜥ	w ɛ d͡ʒ ɑː
wḫꜣ	w ɛ x ɑ
wꜣḥ	w ɑ ħ
wḥꜣ	w ɛ ħ ɑ
wḥꜥ	w ɛ ħ ɑː
wꜥḥ	w ɑː ħ
wꜣḫj	w ɑ x i
wḥꜣt	w a ħ ʀ a t
wḥꜣt	w a ħ ʀ a ʔ
wḥꜣt	w a ħ ʔ ə
wḏꜣt	w ɛ d͡ʒ ɑ t
wḥꜣt	w ɛ ħ ɑ t
wꜥꜥw	w ɑː ʔ ɑː uː
wꜣḥyt	w ɑ ħ iː t
ypw	iː p uː
yrdwnꜣ	iː r d uː n ɑ
ysrjꜣr	iː s r i ɑ r
ywnj	iː uː n i
yḥ	iː ħ
yꜣ	iː ɑ
z	s u ʀ
z	s u ʔ
z	s ø ʔ
z	z u ʀ
z	z ɑ
z	z ɛ
zbj	z ɛ b i
zbṯ	z ɛ b ɛ t͡ʃ
zft	s eː f ə
zft	s iː f a ʔ
zft	z iː f a t
zft	z ɛ f ɛ t
zfṯ	s aː f a ʔ
zfṯ	s oː f ə
zfṯ	z aː f a c
zfṯ	z ɛ f ɛ t͡ʃ
zj	z i
zjn	z i n
zjnw	s e j n
zjnw	s i j n V w
zjnw	z i j n V w
zjnw	z i n uː
zkr	z ɛ k ɛ r
zmyt	z ɛ m iː t
zmꜣ	s a m a ʀ
zmꜣ	s ə m oː
zmꜣ	z a m a ʀ
zmꜣ	z ɛ m ɑ
zmꜣyt	z ɛ m ɑ iː t
zn	z ɛ n
znf	s i n a f
znf	s ə n a f
znf	z i n a f
znf	z ɛ n ɛ f
znj	s iː n i ʔ
znj	s iː n ə
znj	z iː n i t
znj	z ɛ n i
znt	z ɛ n ɛ t
znḥm	s u n ħ uː m V w
znḥm	s ə n ħ eː m
znḥm	z u n ħ uː m V w
znḥm	z ɛ n ħ ɛ m
zp	z ɛ p
zpj	z ɛ p i
zpt	z ɛ p ɛ t
zpꜣ	z ɛ p ɑ
zr	z ɛ r
zt	s u ʔ
zt	s ø ʔ
zt	z u t
zt	z ɛ t
zwr	s aː w a j
zwr	s oː w
zwr	z aː w a ɾ
zwr	z uː r
zwt	z uː t
zy	z iː
zꜣ	s iː ʔ
zꜣ	s iː ʀ u w
zꜣ	s iː ʔ ə ʔ
zꜣ	z iː ʀ u w
zꜣ	z ɑ
zḥ	z ɛ ħ
zꜣb	s i ʔ i b
zꜣb	z i ʀ i b
zꜣb	z ɑ b
zḫj	z ɛ x i
zẖj	z ɛ ç i
zšj	z ɛ ʃ i
zšn	s aː ʃ a n
zšn	s oː ʃ ə n
zšn	z a ʃ aː ʃ a n
zšn	z ɛ ʃ ɛ n
zꜣt	s iː ʀ u ʔ
zꜣt	s iː ʔ ə
zꜣt	z iː ʀ u t
zꜣt	z ɑ t
zꜣw	z ɑ uː
zꜣwtj	s V ʀ j a w t V j
zꜣwtj	s ə j a w t
zꜣwtj	s ə ʔ j a w t ə ʔ
zꜣwtj	z V ʀ j a w t V j
zꜣwtj	z ɑ uː t i
zꜣy	z ɑ iː
zḫz	z ɛ x ɛ z
zẖꜣ	s i ç i ʀ
zẖꜣ	s ə ç e j
zẖꜣ	z i ç i ʀ
zꜣṯ	z ɑ t͡ʃ
zẖꜣ	z ɛ ç ɑ
zšꜣ	z ɛ ʃ ɑ
zẖꜣw	s a ç
zẖꜣw	s a ç ʀ a w
zẖꜣw	s a ç ʀ aː w a w
zẖꜣw	s a ç ʔ ə ʔ
zẖꜣw	s ə ç oː j
zẖꜣw	s ə ç ʔ aː j ə ʔ
zẖꜣw	z a ç ʀ a w
zẖꜣw	z a ç ʀ aː w a w
zꜣṯw	z ɑ t͡ʃ uː
zẖꜣw	z ɛ ç ɑ uː
ꜥ	d iː j
ḫ	x ɛ
ꜣ	ɑ
ꜥ	ʕ eː j
ꜥ	ʕ iː j
š	ʃ ɛ
ꜥ	ɑː
ṯb	t͡ʃ ɛ b
ꜣb	ɑ b
ꜥb	ɑː b
ꜣbb	ɑ b ɛ b
ꜣbd	ʀ a b a t ʼ
ꜣbd	ʀ a b u t ʼ w
ꜣbd	ʀ a b uː t ʼ a w
ꜣbd	ɑ b ɛ d
ꜣbd	ʔ ə β a t ʼ
ꜣbd	ʔ ə β eː t ʼ
ꜣbd	ʔ ə β ø t ʼ ʔ
ḫbj	x ɛ b i
ꜣbj	ɑ b i
ꜥbj	ɑː b i
ꜣbnjnj	ɑ b n i n i
ꜣbnn	ɑ b n ɛ n
ḥbnnwt	ħ ɛ b n ɛ n uː t
ḥbs	ħ a b a s
ḥbs	ħ ɛ b ɛ s
ḥbs	ħ ə β a s
ḥbsw	ħ ɛ b ɛ s uː
ḥbsyt	ħ ɛ b s iː t
ḏbt	c ʼ aː b V t
ḏbt	d͡ʒ ɛ b ɛ t
ḏbt	t ʼ aː b V ʔ
ḏbt	t ʼ oː β ə
ꜣbt	ɑ b ɛ t
ꜣbw	j eː β
ꜣbw	j uː b ə ʔ
ꜣbw	ɑ b uː
ꜣbw	ʀ uː b a w
šbw	ʃ ɛ b uː
ṯbwt	t͡ʃ ɛ b uː t
ꜣbwt	ɑ b uː t
ꜣby	ɑ b iː
ꜣbyt	ɑ b iː t
ḫbzt	x ɛ b z ɛ t
ḫbzwt	x ɛ b z uː t
ḏbꜥ	c ʼ a b a ʕ
ḏbꜥ	c ʼ aː b a ʕ
ḏbꜣ	d͡ʒ ɛ b ɑ
ḏbꜥ	d͡ʒ ɛ b ɑː
ḏbꜥ	t ʼ a b a ʕ
ḏbꜥ	t ʼ ə β a ʕ
ḫbꜣ	x ɛ b ɑ
ꜣbḫ	ɑ b ɛ x
ꜥbꜣ	ɑː b ɑ
ꜣbꜣb	ɑ b ɑ b
ꜥbꜥb	ɑː b ɑː b
ḥbꜣbꜣ	ħ ɛ b ɑ b ɑ
ḏbꜣt	d͡ʒ ɛ b ɑ t
ꜣbḫt	ɑ b x ɛ t
ḏbꜣw	d͡ʒ ɛ b ɑ uː
ḏbꜥw	d͡ʒ ɛ b ɑː uː
ꜣbḏw	ʀ a b aː c ʼ a w
ꜣbḏw	ʀ a b aː t ʼ a w
ꜣbḏw	ɑ b ɛ d͡ʒ uː
ꜣbḏw	ʔ ə β oː t ʼ
ḏd	c ʼ aː t ʼ
ḏd	c ʼ i t ʼ n u
ḏd	d͡ʒ ɛ d
ḏd	t
ḏd	t ʼ
ḏd	t͡ʃ ʼ aː ʔ
ḏd	t͡ʃ ʼ oː ʔ
ḏd	ʔ
ꜣd	ɑ d
ẖdb	ç aː t ʼ a b
ẖdb	ç oː t ʼ ə β
ẖdb	ç ɛ d ɛ b
ḏdj	d͡ʒ ɛ d i
ḫdj	x ɛ d i
ḫdj	χ iː t ʼ i t
ḫdj	χ iː t ʼ i ʔ
ḫdj	χ iː t ʼ ə
šdj	ʃ ɛ d i
ḏdw	d͡ʒ ɛ d uː
ꜥf	ɑː f
ḏfd	d͡ʒ ɛ f ɛ d
šfdw	ʃ ɛ f ɛ d uː
ꜥff	ʕ u f f V j
ꜥff	ʕ ø f f
ꜥff	ɑː f ɛ f
ꜣfj	ɑ f i
šfj	ʃ ɛ f i
ḥfn	ħ ɛ f ɛ n
ꜣfr	ɑ f ɛ r
ḫft	x ɛ f ɛ t
ḫftj	x ɛ f t i
ꜥftj	ɑː f t i
ḫftt	x ɛ f ɛ t ɛ t
ḫftw	x ɛ f ɛ t uː
šftw	ʃ ɛ f t uː
šfw	ʃ ɛ f uː
šfyt	ʃ ɛ f iː t
ḏfꜣ	d͡ʒ ɛ f ɑ
ḏfḏ	d͡ʒ ɛ f ɛ d͡ʒ
ḫfꜥ	x ɛ f ɑː
ꜣfꜥ	ɑ f ɑː
ḥfꜣt	ħ ɛ f ɑ t
ꜥfḏt	ɑː f d͡ʒ ɛ t
ḥfꜣw	ħ a f ʔ
ḥfꜣw	ħ a f ʀ a w
ḥfꜣw	ħ ɛ f ɑ uː
ꜥfꜣy	ɑː f ɑ iː
ꜣhd	ɑ h ɛ d
ꜣhmt	ɑ h m ɛ t
ꜣhw	ɑ h uː
ꜣj	ɑ i
ꜣjs	ɑ i s
ꜣjwj	ɑ i uː i
ḥkn	ħ ɛ k ɛ n
ḥknw	ħ ɛ k ɛ n uː
ẖkr	ç ɛ k ɛ r
ꜣkr	ɑ k ɛ r
ḥkꜣ	ħ ɛ k ɑ
ꜥkꜣ	ɑː k ɑ
ṯm	t͡ʃ ɛ m
ḫm	x ɛ m
ꜣm	ɑ m
ḥm	ħ ɛ m
ꜥm	ɑː m
šmj	ʃ i j j V ʔ
šmj	ʃ i m j V t
ꜣmj	ɑ m i
šmj	ʃ ə
šmj	ʃ ɛ m i
ꜣmm	ɑ m ɛ m
šmm	ʃ ɛ m ɛ m
ꜥmm	ɑː m ɛ m
ꜣmmt	ɑ m ɛ m ɛ t
šmmt	ʃ ɛ m ɛ m ɛ t
ꜣmmw	ɑ m ɛ m uː
ḫmnjw	x ɛ m n i uː
ḫmnnw	x ɛ m ɛ n n uː
ḫmnw	x ɛ m ɛ n uː
ḫmnw	χ a m aː n a w
ḫmnw	χ ə m aː n ə ʔ
ḫmnw	χ ə m oː n
ḫmnyw	x ɛ m ɛ n iː uː
ṯms	t͡ʃ ɛ m ɛ s
šms	ʃ e m s ə
šms	ʃ i m s i j
ꜣms	ɑ m ɛ s
šms	ʃ ɛ m ɛ s
ḥmsj	ħ e m s ə
ḥmsj	ħ i m s i t
ḥmsj	ħ i m s i ʔ
ḥmsj	ħ ɛ m ɛ s i
šmsw	ʃ ɛ m s uː
šmswt	ʃ ɛ m s uː t
ṯmt	t͡ʃ ɛ m ɛ t
ḫmt	x ɛ m ɛ t
ḥmt	ħ i j a m w a t
ḥmt	ħ i j a m w a ʔ
ḥmt	ħ iː m a t
ḥmt	ħ iː m a ʔ
ḥmt	ħ iː m ə
ḥmt	ħ ə j a m w ə
ḥmt	ħ ɛ m ɛ t
ḫmtnw	x ɛ m ɛ t n uː
ḫmtw	x ɛ m ɛ t uː
ḫmtw	χ a m t
ḫmtw	χ a m t a w
ḫmtw	χ a m t ə ʔ
ḫmw	x ɛ m uː
šmw	ʃ aː m a w
šmw	ʃ oː m
šmw	ʃ ɛ m uː
ḥmw	ħ ɛ m uː
ḥmwt	ħ ɛ m uː t
ḥmww	ħ ɛ m uː ʔ uː
ḏmꜥ	c ʼ aː m i ʕ
ḏmꜥ	d͡ʒ ɛ m ɑː
ḏmꜥ	t͡ʃ ʼ aː m i ʕ
ṯmꜣ	t͡ʃ ɛ m ɑ
ṯmḥ	t͡ʃ ɛ m ɛ ħ
ḏmꜥ	t͡ʃ ʼ oː m ə ʕ
ꜣmꜥ	ɑ m ɑː
šmꜥ	ʃ ɛ m ɑː
ꜥmꜥm	ɑː m ɑː m
ꜥmꜥt	ʕ a m ʕ a t
ꜥmꜥt	ʕ a m ʕ a ʔ
ꜥmꜥt	ʕ a m ʕ ə
ꜣmꜥt	ɑ m ɑː t
ḥmꜣt	ħ ɛ m ɑ t
ꜥmꜥt	ɑː m ɑː t
šmꜥw	ʃ ɛ m ɑː uː
šmꜥyt	ʃ ɛ m ɑː iː t
ꜥmꜥꜣ	ɑː m ɑː ʔ ɑ
ṯn	t͡ʃ ɛ n
ḫn	x ɛ n
ẖn	ç ɛ n
šn	ʃ eː n ə
šn	ʃ uː n V j
šn	ʃ ɛ n
ḥn	ħ ɛ n
ꜥn	ɑː n
ḏnb	d͡ʒ ɛ n ɛ b
ꜥnb	ɑː n ɛ b
šnbt	ʃ ɛ n b ɛ t
ḫnd	x ɛ n ɛ d
ḫndw	x ɛ n d uː
šnft	j
šnft	n
šnft	ʃ e n f ə
šnft	ʃ i n f V t
šnft	ʃ i n f V ʔ
šnft	ʃ ɛ n f ɛ t
ṯnj	c aː n a j
ṯnj	t aː n a j
ṯnj	t oː n
ṯnj	t͡ʃ ɛ n i
ḫnj	x ɛ n i
ẖnj	ç ɛ n i
šnj	ʃ iː n i t
šnj	ʃ iː n i ʔ
šnj	ʃ iː n ə
šnj	ʃ ɛ n i
ḥnj	ħ ɛ n i
ḥnk	ħ ɛ n ɛ k
ḥnkyt	ħ ɛ n k iː t
ṯnm	t͡ʃ ɛ n ɛ m
ẖnm	ç ɛ n ɛ m
ḥnmmt	ħ ɛ n m ɛ m ɛ t
ḫnms	x ɛ n m ɛ s
ẖnmt	ç ɛ n m ɛ t
ẖnmw	ç a n aː m a w
ẖnmw	ç ɛ n m uː
ẖnmw	ç ə n oː m
ẖnn	ç ɛ n ɛ n
ḥnn	ħ ɛ n ɛ n
ꜥnn	ɑː n ɛ n
ḏnnt	d͡ʒ ɛ n ɛ n ɛ t
ẖnnw	ç ɛ n ɛ n uː
ḫnp	x ɛ n ɛ p
ꜥnq	ɑː n ɛ k
ḥnqt	ħ ɛ n k ɛ t
ꜥnqt	ɑː n k ɛ t
ḫnrt	x ɛ n r ɛ t
ḫnrtt	x ɛ n r ɛ t ɛ t
šns	ʃ ɛ n ɛ s
ḥns	ħ ɛ n ɛ s
ḫnsw	x ɛ n s uː
ḫnsw	χ a n s
ḫnsw	χ a n s V w
ḫnsw	χ a n s ə ʔ
ḫnt	x ɛ n ɛ t
ḥnt	ħ ɛ n ɛ t
ꜥnt	ɑː n ɛ t
ḫntj	x ɛ n t i
ḫntj	x ɛ n ɛ t i
ẖntj	ç ɛ n t i
ꜥntj	ɑː n t i
ꜥntjt	ɑː n t i t
ꜥntjw	ɑː n t i uː
ḫntw	x ɛ n ɛ t uː
ḫntyt	x ɛ n t iː t
ṯnw	t͡ʃ ɛ n uː
ẖnw	ç aː n a w
ẖnw	ç oː n
ẖnw	ç ɛ n uː
šnw	ʃ V n u w
ḥnw	ħ ə n e w
šnw	ʃ ɛ n uː
ḥnw	ħ ɛ n uː
šnw	ʃ ə n ø ʔ
ḫnws	x ɛ n uː s
šnwt	ʃ ɛ n uː t
ḥnwt	ħ ɛ n uː t
ẖnyt	ç ɛ n iː t
ḏnḥ	d͡ʒ ɛ n ɛ ħ
ꜥnḫ	ʕ a n a χ
ꜥnḫ	ʕ aː n a χ
ꜥnḫ	ʕ oː n ə χ
šnṯ	ʃ ɛ n ɛ t͡ʃ
ḥnꜥ	ħ ɛ n ɑː
ꜥnḫ	ɑː n x
ꜥnḏ	ɑː n ɛ d͡ʒ
ꜥnḫ.tj	ɑː n x ʔ t i
ḥnꜥj	ħ ɛ n ɑː i
ꜥnꜥn	ɑː n ɑː n
ṯnḥr	t͡ʃ ɛ n ħ ɛ r
šnꜥtj	ʃ ɛ n ɑː t i
ꜥnḏw	ʕ a n c ʼ a w w u w
ꜥnḏw	ʕ a n t ʼ a w w u w
ꜥnḏw	ʕ ə n t ʼ a w w ə
ḥnꜥw	ħ ɛ n ɑː uː
ꜥnḏw	ɑː n d͡ʒ uː
ꜥnḫwj	ɑː n x uː i
šnḏwt	ʃ ɛ n d͡ʒ uː t
ṯnṯꜣt	t͡ʃ ɛ n t͡ʃ ɑ t
ḥp	ħ u j p V w
ḥp	ħ ø ʔ p
ḥp	ħ ɛ p
ꜣpd	ɑ p ɛ d
ḫpj	x ɛ p i
ꜥpj	ɑː p i
ḫpr	x ɛ p ɛ r
ḫpr	χ aː p a ɾ
ḫpr	χ aː p a ʔ
ḫpr	χ oː p ə
ꜥpr	ɑː p ɛ r
ḫprj	x ɛ p r i
ḫprr	x ɛ p r ɛ r
ḫprw	x ɛ p ɛ r uː
ḫprw	χ u p i ɾ w a w
ḫprw	χ u p ɾ a w
ḫprw	χ ø p ɾ
ḫprw	χ ə p e ʔ ɾ
ḫprš	x ɛ p r ɛ ʃ
šps	ʃ ɛ p ɛ s
špsj	ʃ ɛ p ɛ s i
špss	ʃ ɛ p s ɛ s
špssw	ʃ ɛ p s ɛ s uː
špst	ʃ ɛ p s ɛ t
ḥpt	ħ ɛ p ɛ t
ḥpy	ħ ɛ p iː
ḫpš	x ɛ p ɛ ʃ
ẖpꜣ	ç ɛ p ɑ
ꜣpꜣrwywsꜣ	ɑ p ɑ r uː iː uː s ɑ
ꜥpšꜣy	ɑː p ʃ ɑ iː
ꜥq	ʕ aː q ʼ
ꜣq	ɑ k
ꜥq	ʕ oː q ʼ
ꜥq	ɑː k
ḥqr	ħ a q ʼ a ɾ
ḥqr	ħ a q ʼ a ʔ
ḥqr	ħ ɛ k ɛ r
ḥqr	ħ ə q ʼ a ʔ
ḥqt	ħ ɛ k ɛ t
ꜥqw	ʕ a q ʼ w
ꜥqw	ʕ a q ʼ w u w
ꜥqw	ɑː k uː
ꜥqyt	ɑː k iː t
ḥqꜣ	ħ ɛ k ɑ
ꜥqꜣ	ɑː k ɑ
ḥqꜣt	ħ ɛ k ɑ t
ḏr	d͡ʒ ɛ r
ḫr	x ɛ r
ẖr	ç u ɾ
ẖr	ç u ʔ
ẖr	ç ø ʔ
ẖr	ç ɛ r
ḥr	ħ a ɾ
ḥr	ħ a ʔ
ḥr	ħ aː ɾ u w
ḥr	ħ aː ɾ ə ʔ
ḥr	ħ oː ɾ ə
ꜣr	ɑ r
ḥr	ħ ɛ r
ẖrd	ç a ɾ a t ʼ
ẖrd	ç ɛ r ɛ d
ẖrd	ç ə ɾ a t ʼ
ẖrdw	ç ɛ r ɛ d uː
ḏrj	c ʼ a ɾ j a -
ḏrj	d͡ʒ ɛ r i
ḫrj	x ɛ r i
ẖrj	ç u ɾ i j
ẖrj	ç ɛ r i
ẖrj	ç ə ɾ e j
ḥrj	ħ a ɾ i j
ḥrj	ħ ɛ r i
ḥrj	ħ ə ɾ e j
ḫrp	x ɛ r ɛ p
ḫrpw	x ɛ r p uː
ꜥrq	ʕ a l a q ʼ
ꜥrq	ʕ aː l a q ʼ
ꜥrq	ʕ oː l ə q ʼ
ꜥrq	ɑː r ɛ k
ꜥrqy	ɑː r k iː
šrr	ʃ ɛ r ɛ r
ḥrrt	ħ a ɾ uː ɾ a t
ḥrrt	ħ a ɾ uː ɾ a ʔ
ḥrrt	ħ ɛ r ɛ r ɛ t
ḥrrt	ħ ə ɾ eː ɾ ə
ꜥrrwt	ɑː r ɛ r uː t
ṯrt	c aː ɾ a t
ḏrt	c ʼ aː ɾ a t
ḏrt	d͡ʒ ɛ r ɛ t
ṯrt	t aː ɾ a ʔ
ṯrt	t oː ɾ ə
ḏrt	t ʼ aː ɾ a ʔ
ḏrt	t ʼ oː ɾ ə
ṯrt	t͡ʃ ɛ r ɛ t
ẖrt	ç u ɾ i t
ẖrt	ç u ɾ i ʔ
ẖrt	ç ɛ r ɛ t
ẖrt	ç ə ɾ e ʔ
ḥrt	ħ ɛ r ɛ t
ꜥrt	ɑː r ɛ t
ḏrtj	d͡ʒ ɛ r t i
ḏrtjw	d͡ʒ ɛ r t i uː
ḏrw	d͡ʒ ɛ r uː
ḫrw	x ɛ r uː
ẖrw	ç ɛ r uː
ḫrw	χ a ɾ a w
ḫrw	χ ə ɾ a w
ḫrw.fj	x ɛ r uː ʔ f i
ꜣrwksjndrs	ɑ r uː k s i n ɛ d r ɛ s
ꜣrwtꜣḫšꜣšꜣs	ɑ r uː t ɑ x ʃ ɑ ʃ ɑ s
ḫrwy	x ɛ r uː iː
ḫrwyw	x ɛ r uː iː uː
ḏryt	d͡ʒ ɛ r iː t
ḫryt	x ɛ r iː t
ꜣryt	ɑ r iː t
ḏs	d͡ʒ ɛ s
ꜣs	ɑ s
šs	ʃ ɛ s
ḥs	ħ ɛ s
ḏs.f	d͡ʒ ɛ s ʔ ɛ f
ḏs.j	d͡ʒ ɛ s ʔ i
ḏs.k	d͡ʒ ɛ s ʔ ɛ k
ḏs.s	d͡ʒ ɛ s ʔ ɛ s
ḥsb	ħ ɛ s ɛ b
ḥsbwt	ħ ɛ s b uː t
ḫsbḏ	x ɛ s b ɛ d͡ʒ
ḫsf	x ɛ s ɛ f
ḥsj	ħ ɛ s i
šsm	ʃ ɛ s ɛ m
šsp	ʃ ɛ s ɛ p
ḥsq	ħ ɛ s ɛ k
ḏsr	d͡ʒ ɛ s ɛ r
ḫsr	x ɛ s ɛ r
šsr	ʃ ɛ s ɛ r
ḏsrt	d͡ʒ ɛ s r ɛ t
ꜣst	ʔ eː s ə
ꜣst	ɑ s ɛ t
ꜣst	ʀ uː s a t
ꜣst	ʀ uː s a ʔ
ꜣst	ʔ uː s a ʔ
ꜣsḫ	ɑ s ɛ x
šsꜣ	ʃ ɛ s ɑ
ꜥsṯjrṯt	ɑː s t͡ʃ i r t͡ʃ ɛ t
šsꜣw	ʃ ɛ s ɑ uː
ḏt	d͡ʒ ɛ t
ḫt	x ɛ t
ẖt	ç eː w ə
ẖt	ç uː w a t
ẖt	ç uː w a ʔ
ẖt	ç ɛ t
št	ʃ e ʔ
ḫt	χ e ʔ
št	ʃ i t
ḫt	χ i t
št	ʃ i ʔ
ḫt	χ i ʔ
ꜣt	ɑ t
št	ʃ ɛ t
ꜥt	ɑː t
ꜣtf	ɑ t ɛ f
ḫtj	x ɛ t i
štj	ʃ ɛ t i
ḥtj	ħ ɛ t i
ḫtm	x ɛ t ɛ m
ḥtm	ħ ɛ t ɛ m
ḥtp	ħ aː t i p
ḥtp	ħ o t ɛ p
ḥtp	ħ oː t ə p
ꜣtp	ɑ t ɛ p
ḥtp	ħ ɛ t ɛ p
ḥtpt	ħ ɛ t ɛ p ɛ t
ḥtpw	ħ a t p a w
ḥtpw	ħ a ʔ p
ḥtpw	ħ a ʔ p a w
ḥtpw	ħ ɛ t ɛ p uː
ḥtpwt	ħ ɛ t ɛ p uː t
ḥtrj	ħ ɛ t r i
ḥtrw	ħ ɛ t ɛ r uː
ḥtt	ħ ɛ t ɛ t
ḥtyt	ħ ɛ t iː t
ḫtꜣ	x ɛ t ɑ
štꜣ	ʃ ɛ t ɑ
ḫtḫt	x ɛ t x ɛ t
štꜣw	ʃ ɛ t ɑ uː
ḏw	c ʼ a w
ḏw	d͡ʒ uː
ḏw	t ʼ a w
ṯw	t͡ʃ uː
ḫw	x uː
šw	ʃ uː
ḥw	ħ uː
ꜣw	ɑ uː
ḫwd	x uː d
ṯwfj	t͡ʃ a w f
ṯwfj	t͡ʃ uː f i
ḏwj	d͡ʒ uː i
ḫwj	x uː i
ꜣwj	ʀ aː w a j
ꜣwj	ʔ oː w
šwj	ʃ uː i
ḥwj	ħ uː i
ꜣwj	ɑ uː i
ḏwjw	d͡ʒ uː i uː
ṯwn	t͡ʃ uː n
ḥwn	ħ uː n
ḥwnt	ħ uː n ɛ t
ꜣwr	ɑ uː r
ḥwrw	ħ uː r uː
ꜣwsw	ɑ uː s uː
ḏwt	d͡ʒ uː t
ṯwt	t͡ʃ uː t
ḥwt	ħ a w ə
ḥwt	ħ aː w i t
ḥwt	ħ aː w i ʔ
ḥwt	ħ oː w ə
šwt	ʃ uː t
ḥwt	ħ uː t
ꜣwt	ɑ uː t
ḥwt	ħ ə w ə
ꜥwt	ɑː uː t
ꜣwtqrtr	ɑ uː t ɛ k r ɛ t ɛ r
ḫwzj	x uː z i
ꜣwḫ	ɑ uː x
ḥwꜣ	ħ uː ɑ
ꜣwḥ	ɑ uː ħ
ḥwꜥ	ħ uː ɑː
ꜥwꜣ	ɑː uː ɑ
ꜥwꜣj	ɑː uː ɑ i
šwꜣw	ʃ uː ɑ uː
ꜥwꜣy	ɑː uː ɑ iː
ꜣwšꜣ	ɑ uː ʃ ɑ
ꜣwšꜣmm	ʔ u ʀ u ʃ a l i m u m
ꜣwšꜣmm	ɑ uː ʃ ɑ m ɛ m
ꜣyt	ɑ iː t
ṯz	c iː z u w
ṯz	t͡ʃ iː s u w
ṯz	t͡ʃ iː s ə
ṯz	t͡ʃ ɛ z
ḥz.tj	ħ ɛ z ʔ t i
ṯzj	t͡ʃ ɛ z i
ẖzj	ç ɛ z i
ḥzj	ħ ɛ z i
ṯzm	t͡ʃ ɛ z ɛ m
ḥzmn	ħ ɛ z m ɛ n
šzp	ʃ aː p
šzp	ʃ aː z a p
šzp	ʃ oː p
šzp	ʃ ɛ z ɛ p
šzpt	ʃ ɛ z p ɛ t
ṯzt	t͡ʃ ɛ z ɛ t
ḥzt	ħ ɛ z ɛ t
ṯztj	t͡ʃ ɛ z t i
ꜣzḫ	ɑ z ɛ x
ḥzꜣ	ħ ɛ z ɑ
ḥzꜣt	ħ ɛ z ɑ t
ḏꜣ	d͡ʒ ɑ
ḏꜥ	d͡ʒ ɑː
ꜥꜣ	i ʕ a ʀ
ṯꜣ	t͡ʃ ɑ
ṯš	t͡ʃ ɛ ʃ
ḫꜣ	x ɑ
ḫḫ	x ɛ x
ḥḥ	ħ a ħ
ḫꜣ	χ a ʀ
ḫꜣ	χ a ʔ
ꜥꜣ	ʕ a ʀ
ꜥꜣ	ʕ a ʔ
ḥḏ	ħ aː c ʼ
ḥḏ	ħ aː t ʼ
ḥḏ	ħ e t ʼ
ḥḏ	ħ i c ʼ
ḥḏ	ħ i t ʼ
ꜥꜣ	ʕ o ʔ
ḥḏ	ħ oː t ʼ
ꜣḫ	ɑ x
šꜣ	ʃ ɑ
ḥꜣ	ħ ɑ
ꜣš	ɑ ʃ
ꜣḥ	ɑ ħ
ḥḏ	ħ ɛ d͡ʒ
ḥḥ	ħ ɛ ħ
ꜣꜣ	ɑ ʔ ɑ
šꜥ	ʃ ɑː
ꜥḏ	ɑː d͡ʒ
ꜥš	ɑː ʃ
ꜥḥ	ɑː ħ
ꜥꜣ	ɑː ʔ ɑ
ḫꜣb	x ɑ b
ḥꜣb	ħ a p
ḥꜣb	ħ a ʀ a b
ḥꜣb	ħ ɑ b
ḥꜥb	ħ ɑː b
ꜥꜥb	ɑː ʔ ɑː b
ḥꜣbj	ħ ɑ b i
ꜣꜥbt	ɑ ʔ ɑː b ɛ t
šꜣbw	ʃ ɑ b uː
ḫꜣbꜣbꜣšꜣ	x ɑ b ɑ b ɑ ʃ ɑ
šꜣbꜣkꜣ	ʃ ɑ b ɑ k ɑ
šꜣbꜣtꜣkꜣ	ʃ ɑ b ɑ t ɑ k ɑ
šꜣd	ʃ ɑ d
šꜥd	ʃ ɑː d
