а	a
замавтува	z a m a f t u v a
замастува	z a m a s t u v a
заматкува	z a m a t k u v a
замазнува	z a m a z n u v a
замразува	z a m r a z u v a
заменичка	z a m ɛ n i t͡ʃ k a
заморност	z a m ɔ r n ɔ s t
запливува	z a p l i v u v a
заплакува	z a p ɫ a k u v a
запомнува	z a p ɔ m n u v a
запловува	z a p ɫ ɔ v u v a
засмрдува	z a s m r̩ d u v a
застанува	z a s t a n u v a
застарува	z a s t a ɾ u v a
застудува	z a s t u d u v a
засвирува	z a s v i ɾ u v a
засладува	z a s ɫ a d u v a
засебност	z a s ɛ b n ɔ s t
засекогаш	z a s ɛ k ɔ ɡ a ʃ
заташкува	z a t a ʃ k u v a
затекнува	z a t ɛ k n u v a
заточение	z a t ɔ t͡ʃ ɛ n i j ɛ
зацвилува	z a t͡s v i ɫ u v a
зацврчува	z a t͡s v r̩ t͡ʃ u v a
заварувач	z a v a ɾ u v a t͡ʃ
завесичка	z a v ɛ s i t͡ʃ k a
заразност	z a ɾ a z n ɔ s t
загнојува	z a ɡ n ɔ j u v a
загризува	z a ɡ r i z u v a
заострува	z a ɔ s t r u v a
заштитува	z a ʃ t i t u v a
заштедува	z a ʃ t ɛ d u v a
залудност	z a ɫ u d n ɔ s t
заглушува	z a ɡ ɫ u ʃ u v a
заложница	z a ɫ ɔ ʒ n i t͡s a
здрвеност	z d r̩ v ɛ n ɔ s t
здебелува	z d ɛ b ɛ ɫ u v a
здоболува	z d ɔ b ɔ ɫ u v a
згаденост	z ɡ a d ɛ n ɔ s t
златарски	z ɫ a t a r s k i
зградичка	z ɡ r a d i t͡ʃ k a
зграпчува	z ɡ r a p t͡ʃ u v a
згрченост	z ɡ r̩ t͡ʃ ɛ n ɔ s t
згуснувач	z ɡ u s n u v a t͡ʃ
лабилност	ɫ a b i ɫ n ɔ s t
гадливост	ɡ a d l i v ɔ s t
гајдаџија	ɡ a j d a d͡ʒ i j a
лактација	ɫ a k t a t͡s i j a
лакомство	ɫ a k ɔ m s t v ɔ
ѓаконство	ɟ a k ɔ n s t v ɔ
галежност	ɡ a l ɛ ʒ n ɔ s t
шапкарски	ʃ a p k a r s k i
ласкавост	ɫ a s k a v ɔ s t
лажливост	ɫ a ʒ l i v ɔ s t
обдукција	ɔ b d u k t͡s i j a
објавувач	ɔ b j a v u v a t͡ʃ
обзнанува	ɔ b z n a n u v a
облачност	ɔ b ɫ a t͡ʃ n ɔ s t
оќелавува	ɔ c ɛ ɫ a v u v a
одбивност	ɔ d b i v n ɔ s t
одбранува	ɔ d b r a n u v a
одбегнува	ɔ d b ɛ ɡ n u v a
одличност	ɔ d l i t͡ʃ n ɔ s t
ждригнува	ʒ d r i ɡ n u v a
одредиште	ɔ d r ɛ d i ʃ t ɛ
едукација	ɛ d u k a t͡s i j a
одважност	ɔ d v a ʒ n ɔ s t
одвиткува	ɔ d v i t k u v a
одвлекува	ɔ d v l ɛ k u v a
одгатнува	ɔ d ɡ a t n u v a
одгризува	ɔ d ɡ r i z u v a
оџачарски	ɔ d͡ʒ a t͡ʃ a r s k i
овчарство	ɔ f t͡ʃ a r s t v ɔ
житарство	ʒ i t a r s t v ɔ
животинче	ʒ i v ɔ t i n t͡ʃ ɛ
животност	ʒ i v ɔ t n ɔ s t
гиздавост	ɡ i z d a v ɔ s t
окрвавува	ɔ k r̩ v a v u v a
окупација	ɔ k u p a t͡s i j a
ококорува	ɔ k ɔ k ɔ ɾ u v a
електрика	ɛ l ɛ k t r i k a
омекнувач	ɔ m ɛ k n u v a t͡ʃ
шнајдерка	ʃ n a j d ɛ r k a
гнасотија	ɡ n a s ɔ t i j a
енклитика	ɛ n k l i t i k a
ентропија	ɛ n t r ɔ p i j a
гнезденце	ɡ n ɛ z d ɛ n t͡s ɛ
опијанува	ɔ p i j a n u v a
шпионство	ʃ p i j ɔ n s t v ɔ
опитомува	ɔ p i t ɔ m u v a
опстанува	ɔ p s t a n u v a
опстојува	ɔ p s t ɔ j u v a
опседнува	ɔ p s ɛ d n u v a
оптегнува	ɔ p t ɛ ɡ n u v a
опширност	ɔ p ʃ i r n ɔ s t
градација	ɡ r a d a t͡s i j a
градински	ɡ r a d i n s k i
граничник	ɡ r a n i t͡ʃ n i k
ораторски	ɔ r a t ɔ r s k i
групација	ɡ r u p a t͡s i j a
гробарски	ɡ r ɔ b a r s k i
грофовија	ɡ r ɔ f ɔ v i j a
грозјенце	ɡ r ɔ z j ɛ n t͡s ɛ
ергенство	ɛ r ɡ ɛ n s t v ɔ
греотичка	ɡ r ɛ ɔ t i t͡ʃ k a
грбоносци	ɡ r̩ b ɔ n ɔ s t͡s i
осакатува	ɔ s a k a t u v a
оскудност	ɔ s k u d n ɔ s t
освежувач	ɔ s v ɛ ʒ u v a t͡ʃ
особеност	ɔ s ɔ b ɛ n ɔ s t
отапеност	ɔ t a p ɛ n ɔ s t
откупувач	ɔ t k u p u v a t͡ʃ
отпловува	ɔ t p ɫ ɔ v u v a
отровност	ɔ t r ɔ v n ɔ s t
отрезнува	ɔ t r ɛ z n u v a
отсвирува	ɔ t s v i ɾ u v a
отсечност	ɔ t s ɛ t͡ʃ n ɔ s t
оттурнува	ɔ t t u r n u v a
отуѓеност	ɔ t u ɟ ɛ n ɔ s t
отшрафува	ɔ t ʃ r a f u v a
очовечува	ɔ t͡ʃ ɔ v ɛ t͡ʃ u v a
губернија	ɡ u b ɛ r n i j a
шупливост	ʃ u p l i v ɔ s t
гусарство	ɡ u s a r s t v ɔ
шушкавост	ʃ u ʃ k a v ɔ s t
гуштерски	ɡ u ʃ t ɛ r s k i
еврејство	ɛ v r ɛ j s t v ɔ
овенатост	ɔ v ɛ n a t ɔ s t
шверцерка	ʃ v ɛ r t͡s ɛ r k a
олабавува	ɔ ɫ a b a v u v a
гласничка	ɡ ɫ a s n i t͡ʃ k a
глаголица	ɡ ɫ a ɡ ɔ l i t͡s a
шефовство	ʃ ɛ f ɔ f s t v ɔ
огледалце	ɔ ɡ l ɛ d a ɫ t͡s ɛ
големство	ɡ ɔ l ɛ m s t v ɔ
огромност	ɔ ɡ r ɔ m n ɔ s t
готварски	ɡ ɔ t v a r s k i
оштетеник	ɔ ʃ t ɛ t ɛ n i k
готовност	ɡ ɔ t ɔ v n ɔ s t
глупавост	ɡ ɫ u p a v ɔ s t
шегаџиски	ʃ ɛ ɡ a d͡ʒ i s k i
жонглерка	ʒ ɔ ŋ ɡ l ɛ r k a
абдикација	a b d i k a t͡s i j a
адаптација	a d a p t a t͡s i j a
автоматски	a f t ɔ m a t s k i
активација	a k t i v a t͡s i j a
ампутација	a m p u t a t͡s i j a
аниматорка	a n i m a t ɔ r k a
антипатија	a n t i p a t i j a
антонимија	a n t ɔ n i m i j a
анорексија	a n ɔ r ɛ k s i j a
апликација	a p l i k a t͡s i j a
апозициски	a p ɔ z i t͡s i s k i
апелациски	a p ɛ ɫ a t͡s i s k i
асиметрија	a s i m ɛ t r i j a
аспирација	a s p i r a t͡s i j a
авиолинија	a v i j ɔ l i n i j a
аритметика	a ɾ i t m ɛ t i k a
агрономија	a ɡ r ɔ n ɔ m i j a
билјарство	b i l j a r s t v ɔ
бигоросува	b i ɡ ɔ r ɔ s u v a
блескавост	b l ɛ s k a v ɔ s t
братучедов	b r a t u t͡ʃ ɛ d ɔ f
бруталност	b r u t a ɫ n ɔ s t
бродарство	b r ɔ d a r s t v ɔ
буржоазија	b u r ʒ ɔ a z i j a
берберница	b ɛ r b ɛ r n i t͡s a
берберство	b ɛ r b ɛ r s t v ɔ
бесрамница	b ɛ s r a m n i t͡s a
бессилност	b ɛ s s i ɫ n ɔ s t
бесцелност	b ɛ s t͡s ɛ ɫ n ɔ s t
бочварство	b ɔ t͡ʃ v a r s t v ɔ
блуткавост	b ɫ u t k a v ɔ s t
блудствува	b ɫ u t s t v u v a
безбојност	b ɛ z b ɔ j n ɔ s t
безбожност	b ɛ z b ɔ ʒ n ɔ s t
безболност	b ɛ z b ɔ ɫ n ɔ s t
бездејност	b ɛ z d ɛ j n ɔ s t
бездејство	b ɛ z d ɛ j s t v ɔ
безименост	b ɛ z i m ɛ n ɔ s t
безизразен	b ɛ z i z r a z ɛ n
безличност	b ɛ z l i t͡ʃ n ɔ s t
безмерност	b ɛ z m ɛ r n ɔ s t
безрбетник	b ɛ z r̩ b ɛ t n i k
безвучност	b ɛ z v u t͡ʃ n ɔ s t
безглавост	b ɛ z ɡ ɫ a v ɔ s t
бесчесност	b ɛ ʃ t͡ʃ ɛ s n ɔ s t
династички	d i n a s t i t͡ʃ k i
дислексија	d i s l ɛ k s i j a
дихотомија	d i x ɔ t ɔ m i j a
директност	d i ɾ ɛ k t n ɔ s t
дречливост	d r ɛ t͡ʃ l i v ɔ s t
духовитост	d u x ɔ v i t ɔ s t
двосмислен	d v ɔ s m i s l ɛ n
двоженство	d v ɔ ʒ ɛ n s t v ɔ
доиспитува	d ɔ i s p i t u v a
декорација	d ɛ k ɔ r a t͡s i j a
делегација	d ɛ l ɛ ɡ a t͡s i j a
дописничка	d ɔ p i s n i t͡ʃ k a
доследност	d ɔ s l ɛ d n ɔ s t
десничарка	d ɛ s n i t͡ʃ a r k a
деспотство	d ɛ s p ɔ t s t v ɔ
доставувач	d ɔ s t a v u v a t͡ʃ
дострижува	d ɔ s t r i ʒ u v a
достојност	d ɔ s t ɔ j n ɔ s t
детонација	d ɛ t ɔ n a t͡s i j a
доукрасува	d ɔ u k r a s u v a
доуништува	d ɔ u n i ʃ t u v a
девијација	d ɛ v i j a t͡s i j a
доработува	d ɔ ɾ a b ɔ t u v a
дообликува	d ɔ ɔ b l i k u v a
дооблекува	d ɔ ɔ b l ɛ k u v a
доодговара	d ɔ ɔ d ɡ ɔ v a ɾ a
доопремува	d ɔ ɔ p r ɛ m u v a
ѕвездалија	d͡z v ɛ z d a l i j a
филтрација	f i ɫ t r a t͡s i j a
филологија	f i ɫ ɔ ɫ ɔ ɡ i j a
вклопеност	f k ɫ ɔ p ɛ n ɔ s t
вчеравечер	f t͡ʃ ɛ r a v ɛ t͡ʃ ɛ r
федерација	f ɛ d ɛ r a t͡s i j a
формациски	f ɔ r m a t͡s i s k i
фотоќелија	f ɔ t ɔ c ɛ l i j a
идиличност	i d i l i t͡ʃ n ɔ s t
иконописец	i k ɔ n ɔ p i s ɛ t͡s
имитаторка	i m i t a t ɔ r k a
имиграција	i m i ɡ r a t͡s i j a
индикација	i n d i k a t͡s i j a
инфлациски	i n f ɫ a t͡s i s k i
интонација	i n t ɔ n a t͡s i j a
иновациски	i n ɔ v a t͡s i s k i
ироничност	i r ɔ n i t͡ʃ n ɔ s t
испразнува	i s p r a z n u v a
исподвлече	i s p ɔ d v l ɛ t͡ʃ ɛ
испонарача	i s p ɔ n a ɾ a t͡ʃ a
испосакати	i s p ɔ s a k a t i
испоснички	i s p ɔ s n i t͡ʃ k i
испостиска	i s p ɔ s t i s k a
испочитува	i s p ɔ t͡ʃ i t u v a
испоуништи	i s p ɔ u n i ʃ t i
исповедник	i s p ɔ v ɛ d n i k
испозакачи	i s p ɔ z a k a t͡ʃ i
испозапали	i s p ɔ z a p a l i
испозагине	i s p ɔ z a ɡ i n ɛ
испоздрави	i s p ɔ z d r a v i
испоотвори	i s p ɔ ɔ t v ɔ ɾ i
истребувач	i s t r ɛ b u v a t͡ʃ
истоименик	i s t ɔ i m ɛ n i k
исцрпеност	i s t͡s r̩ p ɛ n ɔ s t
исцрцорува	i s t͡s r̩ t͡s ɔ ɾ u v a
иселеничка	i s ɛ l ɛ n i t͡ʃ k a
иселенички	i s ɛ l ɛ n i t͡ʃ k i
исончаност	i s ɔ n t͡ʃ a n ɔ s t
излечивост	i z l ɛ t͡ʃ i v ɔ s t
измамнички	i z m a m n i t͡ʃ k i
измаченост	i z m a t͡ʃ ɛ n ɔ s t
изнастиска	i z n a s t i s k a
изнаоблече	i z n a ɔ b l ɛ t͡ʃ ɛ
износеност	i z n ɔ s ɛ n ɔ s t
изразитост	i z r a z i t ɔ s t
извидничка	i z v i d n i t͡ʃ k a
извиднички	i z v i d n i t͡ʃ k i
известувач	i z v ɛ s t u v a t͡ʃ
излапеност	i z ɫ a p ɛ n ɔ s t
изопаченик	i z ɔ p a t͡ʃ ɛ n i k
изолациски	i z ɔ ɫ a t͡s i s k i
јаболкница	j a b ɔ ɫ k n i t͡s a
јаболчница	j a b ɔ ɫ t͡ʃ n i t͡s a
јоргованов	j ɔ r ɡ ɔ v a n ɔ f
какофонија	k a k ɔ f ɔ n i j a
каранфилче	k a r a ɱ f i ɫ t͡ʃ ɛ
касметлија	k a s m ɛ t l i j a
кастрација	k a s t r a t͡s i j a
каросерија	k a ɾ ɔ s ɛ ɾ i j a
килимарски	k i l i m a r s k i
крајморски	k r a j m ɔ r s k i
краварство	k r a v a r s t v ɔ
критичност	k r i t i t͡ʃ n ɔ s t
крстоносен	k r̩ s t ɔ n ɔ s ɛ n
крзнарство	k r̩ z n a r s t v ɔ
кукларство	k u k ɫ a r s t v ɔ
кумулација	k u m u ɫ a t͡s i j a
курварство	k u r v a r s t v ɔ
курвинство	k u r v i n s t v ɔ
комичарски	k ɔ m i t͡ʃ a r s k i
концизност	k ɔ n t͡s i z n ɔ s t
конотација	k ɔ n ɔ t a t͡s i j a
козметичар	k ɔ z m ɛ t i t͡ʃ a r
коњушарски	k ɔ ɲ u ʃ a r s k i
конверзија	k ɔ ɱ v ɛ r z i j a
корелација	k ɔ ɾ ɛ ɫ a t͡s i j a
лихварство	l i x v a r s t v ɔ
лековитост	l ɛ k ɔ v i t ɔ s t
лешинарски	l ɛ ʃ i n a r s k i
мајсторија	m a j s t ɔ ɾ i j a
математика	m a t ɛ m a t i k a
мачеништво	m a t͡ʃ ɛ n i ʃ t v ɔ
машинерија	m a ʃ i n ɛ ɾ i j a
мислителка	m i s l i t ɛ ɫ k a
млекарство	m l ɛ k a r s t v ɔ
мрсулавост	m r̩ s u ɫ a v ɔ s t
музичарски	m u z i t͡ʃ a r s k i
модулација	m ɔ d u ɫ a t͡s i j a
молерисува	m ɔ l ɛ r i s u v a
менторство	m ɛ n t ɔ r s t v ɔ
моногамија	m ɔ n ɔ ɡ a m i j a
морнарство	m ɔ r n a r s t v ɔ
метонимија	m ɛ t ɔ n i m i j a
мелничарка	m ɛ ɫ n i t͡ʃ a r k a
набрашнува	n a b r a ʃ n u v a
надареност	n a d a ɾ ɛ n ɔ s t
надлежност	n a d l ɛ ʒ n ɔ s t
надмоќност	n a d m ɔ c n ɔ s t
надничарка	n a d n i t͡ʃ a r k a
надзборува	n a d z b ɔ ɾ u v a
надградува	n a d ɡ r a d u v a
накалемува	n a k a l ɛ m u v a
накодошува	n a k ɔ d ɔ ʃ u v a
накосеност	n a k ɔ s ɛ n ɔ s t
намаленост	n a m a l ɛ n ɔ s t
намирисува	n a m i r i s u v a
напатеност	n a p a t ɛ n ɔ s t
напредност	n a p r ɛ d n ɔ s t
напоменува	n a p ɔ m ɛ n u v a
напоредник	n a p ɔ ɾ ɛ d n i k
нараторски	n a r a t ɔ r s k i
насамарува	n a s a m a ɾ u v a
насапунува	n a s a p u n u v a
насилничка	n a s i ɫ n i t͡ʃ k a
наследност	n a s l ɛ d n ɔ s t
настрадува	n a s t r a d u v a
населеност	n a s ɛ l ɛ n ɔ s t
натопорува	n a t ɔ p ɔ ɾ u v a
навлажнува	n a v ɫ a ʒ n u v a
наводенува	n a v ɔ d ɛ n u v a
наочарчиња	n a ɔ t͡ʃ a r t͡ʃ i ɲ a
ништожност	n i ʃ t ɔ ʒ n ɔ s t
недугавост	n ɛ d u ɡ a v ɔ s t
недобричен	n ɛ d ɔ b r i t͡ʃ ɛ n
неделивост	n ɛ d ɛ l i v ɔ s t
недоплетен	n ɛ d ɔ p l ɛ t ɛ n
недоправен	n ɛ d ɔ p r a v ɛ n
недоплатен	n ɛ d ɔ p ɫ a t ɛ n
недосликан	n ɛ d ɔ s l i k a n
недоставен	n ɛ d ɔ s t a v ɛ n
недотресен	n ɛ d ɔ t r ɛ s ɛ n
недотрошен	n ɛ d ɔ t r ɔ ʃ ɛ n
недочистен	n ɛ d ɔ t͡ʃ i s t ɛ n
недозволен	n ɛ d ɔ z v ɔ l ɛ n
недораснат	n ɛ d ɔ ɾ a s n a t
недограден	n ɛ d ɔ ɡ r a d ɛ n
недооценет	n ɛ d ɔ ɔ t͡s ɛ n ɛ t
недоготвен	n ɛ d ɔ ɡ ɔ t v ɛ n
неисправен	n ɛ i s p r a v ɛ n
неисполнет	n ɛ i s p ɔ ɫ n ɛ t
неизбричен	n ɛ i z b r i t͡ʃ ɛ n
неизбришан	n ɛ i z b r i ʃ a n
неизјаснет	n ɛ i z j a s n ɛ t
неизмазнет	n ɛ i z m a z n ɛ t
неизрамнет	n ɛ i z r a m n ɛ t
неисчистен	n ɛ i ʃ t͡ʃ i s t ɛ n
ненадминат	n ɛ n a d m i n a t
ненамачкан	n ɛ n a m a t͡ʃ k a n
ненаместен	n ɛ n a m ɛ s t ɛ n
ненаправен	n ɛ n a p r a v ɛ n
ненавикнат	n ɛ n a v i k n a t
ненаграден	n ɛ n a ɡ r a d ɛ n
ненаоружан	n ɛ n a ɔ ɾ u ʒ a n
неприфатен	n ɛ p r i f a t ɛ n
непријавен	n ɛ p r i j a v ɛ n
неприкриен	n ɛ p r i k r i j ɛ n
непризнаен	n ɛ p r i z n a ɛ n
непрочитан	n ɛ p r ɔ t͡ʃ i t a n
непроверен	n ɛ p r ɔ v ɛ ɾ ɛ n
непроширен	n ɛ p r ɔ ʃ i ɾ ɛ n
непланиран	n ɛ p ɫ a n i ɾ a n
неповреден	n ɛ p ɔ v r ɛ d ɛ n
непоштеден	n ɛ p ɔ ʃ t ɛ d ɛ n
неразреден	n ɛ r a z r ɛ d ɛ n
несовладан	n ɛ s ɔ v ɫ a d a n
неудобност	n ɛ u d ɔ b n ɔ s t
неудопство	n ɛ u d ɔ p s t v ɔ
неумешност	n ɛ u m ɛ ʃ n ɔ s t
неуредност	n ɛ u ɾ ɛ d n ɔ s t
неверничка	n ɛ v ɛ r n i t͡ʃ k a
невооружан	n ɛ v ɔ ɔ ɾ u ʒ a n
нехуманост	n ɛ x u m a n ɔ s t
незакотвен	n ɛ z a k ɔ t v ɛ n
незаштитен	n ɛ z a ʃ t i t ɛ n
незгодност	n ɛ z ɡ ɔ d n ɔ s t
необјаснив	n ɛ ɔ b j a s n i f
необјаснет	n ɛ ɔ b j a s n ɛ t
необновлив	n ɛ ɔ b n ɔ v l i f
неоправдан	n ɛ ɔ p r a v d a n
неовластен	n ɛ ɔ v ɫ a s t ɛ n
неоздравен	n ɛ ɔ z d r a v ɛ n
папучарски	p a p u t͡ʃ a r s k i
патлиџанче	p a t l i d͡ʒ a n t͡ʃ ɛ
пироманија	p i ɾ ɔ m a n i j a
пневмонија	p n ɛ v m ɔ n i j a
праведност	p r a v ɛ d n ɔ s t
прибраност	p r i b r a n ɔ s t
придушувач	p r i d u ʃ u v a t͡ʃ
пријателче	p r i j a t ɛ ɫ t͡ʃ ɛ
прилегнува	p r i l ɛ ɡ n u v a
приправник	p r i p r a v n i k
присебност	p r i s ɛ b n ɔ s t
притиснува	p r i t i s n u v a
притисочен	p r i t i s ɔ t͡ʃ ɛ n
признаница	p r i z n a n i t͡s a
приземност	p r i z ɛ m n ɔ s t
пребричува	p r ɛ b r i t͡ʃ u v a
пребришува	p r ɛ b r i ʃ u v a
пребродува	p r ɛ b r ɔ d u v a
пребројува	p r ɛ b r ɔ j u v a
пробојност	p r ɔ b ɔ j n ɔ s t
продавница	p r ɔ d a v n i t͡s a
предимство	p r ɛ d i m s t v ɔ
предизвика	p r ɛ d i z v i k a
предупреди	p r ɛ d u p r ɛ d i
предвидува	p r ɛ d v i d u v a
предводник	p r ɛ d v ɔ d n i k
предомисли	p r ɛ d ɔ m i s l i
предградие	p r ɛ d ɡ r a d i j ɛ
предложува	p r ɛ d ɫ ɔ ʒ u v a
преименува	p r ɛ i m ɛ n u v a
преиначува	p r ɛ i n a t͡ʃ u v a
проклитика	p r ɔ k l i t i k a
прекршител	p r ɛ k r̩ ʃ i t ɛ ɫ
прокобница	p r ɔ k ɔ b n i t͡s a
премачкува	p r ɛ m a t͡ʃ k u v a
пренатрупа	p r ɛ n a t r u p a
пренагласи	p r ɛ n a ɡ ɫ a s i
проникнува	p r ɔ n i k n u v a
пренесувач	p r ɛ n ɛ s u v a t͡ʃ
прописност	p r ɔ p i s n ɔ s t
препливува	p r ɛ p l i v u v a
преплетува	p r ɛ p l ɛ t u v a
препродаде	p r ɛ p r ɔ d a d ɛ
пропорција	p r ɔ p ɔ r t͡s i j a
пресликува	p r ɛ s l i k u v a
престанува	p r ɛ s t a n u v a
престапник	p r ɛ s t a p n i k
престојува	p r ɛ s t ɔ j u v a
пресостави	p r ɛ s ɔ s t a v i
просечност	p r ɔ s ɛ t͡ʃ n ɔ s t
претресува	p r ɛ t r ɛ s u v a
претседава	p r ɛ t s ɛ d a v a
процветува	p r ɔ t͡s v ɛ t u v a
пречкртува	p r ɛ t͡ʃ k r̩ t u v a
превиткува	p r ɛ v i t k u v a
превоспита	p r ɛ v ɔ s p i t a
презаспива	p r ɛ z a s p i v a
прозвучува	p r ɔ z v u t͡ʃ u v a
презентира	p r ɛ z ɛ n t i ɾ a
проекциски	p r ɔ ɛ k t͡s i s k i
прегледува	p r ɛ ɡ l ɛ d u v a
преградува	p r ɛ ɡ r a d u v a
прегризува	p r ɛ ɡ r i z u v a
прегрупира	p r ɛ ɡ r u p i ɾ a
прогресија	p r ɔ ɡ r ɛ s i j a
преосмисли	p r ɛ ɔ s m i s l i
плачливост	p ɫ a t͡ʃ l i v ɔ s t
побудалува	p ɔ b u d a ɫ u v a
поддржател	p ɔ d d r̩ ʒ a t ɛ ɫ
подискриви	p ɔ d i s k r i v i
подисправи	p ɔ d i s p r a v i
подиспраша	p ɔ d i s p r a ʃ a
подиспегла	p ɔ d i s p ɛ ɡ ɫ a
подивеност	p ɔ d i v ɛ n ɔ s t
подизрамни	p ɔ d i z r a m n i
подисчисти	p ɔ d i ʃ t͡ʃ i s t i
подмолност	p ɔ d m ɔ ɫ n ɔ s t
поднамести	p ɔ d n a m ɛ s t i
поднастине	p ɔ d n a s t i n ɛ
поднаведне	p ɔ d n a v ɛ d n ɛ
поднаостри	p ɔ d n a ɔ s t r i
подраспара	p ɔ d r a s p a ɾ a
подразголи	p ɔ d r a z ɡ ɔ l i
подрипнува	p ɔ d r i p n u v a
подробност	p ɔ d r ɔ b n ɔ s t
подвиткува	p ɔ d v i t k u v a
подзадоцни	p ɔ d z a d ɔ t͡s n i
подзамрзне	p ɔ d z a m r̩ z n ɛ
подзасипне	p ɔ d z a s i p n ɛ
подзастане	p ɔ d z a s t a n ɛ
подзатемни	p ɔ d z a t ɛ m n i
подзатегне	p ɔ d z a t ɛ ɡ n ɛ
подзачисти	p ɔ d z a t͡ʃ i s t i
подзачешла	p ɔ d z a t͡ʃ ɛ ʃ ɫ a
подзарасне	p ɔ d z a ɾ a s n ɛ
подзарипне	p ɔ d z a ɾ i p n ɛ
подзагрижи	p ɔ d z a ɡ r i ʒ i
подзголеми	p ɔ d z ɡ ɔ l ɛ m i
педофилија	p ɛ d ɔ f i l i j a
подопијани	p ɔ d ɔ p i j a n i
подосвести	p ɔ d ɔ s v ɛ s t i
подосветли	p ɔ d ɔ s v ɛ t l i
подотрезни	p ɔ d ɔ t r ɛ z n i
подгорчува	p ɔ d ɡ ɔ r t͡ʃ u v a
полифонија	p ɔ l i f ɔ n i j a
полисемија	p ɔ l i s ɛ m i j a
полигамија	p ɔ l i ɡ a m i j a
помпезност	p ɔ m p ɛ z n ɔ s t
попречувач	p ɔ p r ɛ t͡ʃ u v a t͡ʃ
популација	p ɔ p u ɫ a t͡s i j a
пеперуткин	p ɛ p ɛ ɾ u t k i n
перфидност	p ɛ r f i d n ɔ s t
портретски	p ɔ r t r ɛ t s k i
перцепција	p ɛ r t͡s ɛ p t͡s i j a
перверзија	p ɛ r v ɛ r z i j a
посмртница	p ɔ s m r̩ t n i t͡s a
посредство	p ɔ s r ɛ t s t v ɔ
поткупувач	p ɔ t k u p u v a t͡ʃ
потпивнува	p ɔ t p i v n u v a
потпорасне	p ɔ t p ɔ ɾ a s n ɛ
потребност	p ɔ t r ɛ b n ɔ s t
потсоблече	p ɔ t s ɔ b l ɛ t͡ʃ ɛ
поцрнетост	p ɔ t͡s r̩ n ɛ t ɔ s t
повратност	p ɔ v r a t n ɔ s t
позајмувач	p ɔ z a j m u v a t͡ʃ
поевтинува	p ɔ ɛ f t i n u v a
периферија	p ɛ ɾ i f ɛ ɾ i j a
перипетија	p ɛ ɾ i p ɛ t i j a
погледнува	p ɔ ɡ l ɛ d n u v a
поруменува	p ɔ ɾ u m ɛ n u v a
работничка	r a b ɔ t n i t͡ʃ k a
радијација	r a d i j a t͡s i j a
рафинерија	r a f i n ɛ ɾ i j a
расипаност	r a s i p a n ɔ s t
раскошност	r a s k ɔ ʃ n ɔ s t
расклопува	r a s k ɫ ɔ p u v a
распростре	r a s p r ɔ s t r ɛ
распердаши	r a s p ɛ r d a ʃ i
распостеле	r a s p ɔ s t ɛ l ɛ
распоредба	r a s p ɔ ɾ ɛ d b a
разбраност	r a z b r a n ɔ s t
разблажува	r a z b ɫ a ʒ u v a
различност	r a z l i t͡ʃ n ɔ s t
разредувач	r a z r ɛ d u v a t͡ʃ
развиеност	r a z v i j ɛ n ɔ s t
развратник	r a z v r a t n i k
разведрува	r a z v ɛ d r u v a
разгаштува	r a z ɡ a ʃ t u v a
ритмичност	r i t m i t͡ʃ n ɔ s t
редакторка	r ɛ d a k t ɔ r k a
редакциски	r ɛ d a k t͡s i s k i
рекреација	r ɛ k r ɛ a t͡s i j a
рендгенски	r ɛ n d ɡ ɛ n s k i
рецитација	r ɛ t͡s i t a t͡s i j a
резбарство	r ɛ z b a r s t v ɔ
резолуција	r ɛ z ɔ ɫ u t͡s i j a
регулација	r ɛ ɡ u ɫ a t͡s i j a
сферичност	s f ɛ ɾ i t͡ʃ n ɔ s t
силеџиство	s i l ɛ d͡ʒ i s t v ɔ
симпатичен	s i m p a t i t͡ʃ ɛ n
синоптички	s i n ɔ p t i t͡ʃ k i
ситничарка	s i t n i t͡ʃ a r k a
ситуациски	s i t u a t͡s i s k i
сигурносен	s i ɡ u r n ɔ s ɛ n
скиснатост	s k i s n a t ɔ s t
скитништво	s k i t n i ʃ t v ɔ
скулптурен	s k u ɫ p t u ɾ ɛ n
смрдливост	s m r̩ d l i v ɔ s t
смрзнатост	s m r̩ z n a t ɔ s t
спринтерка	s p r i n t ɛ r k a
спроводник	s p r ɔ v ɔ d n i k
спонтаност	s p ɔ n t a n ɔ s t
спонзорски	s p ɔ n z ɔ r s k i
споредност	s p ɔ ɾ ɛ d n ɔ s t
стабилност	s t a b i ɫ n ɔ s t
стакларски	s t a k ɫ a r s k i
станарство	s t a n a r s t v ɔ
статичност	s t a t i t͡ʃ n ɔ s t
стагнација	s t a ɡ n a t͡s i j a
стиснатост	s t i s n a t ɔ s t
страдалник	s t r a d a ɫ n i k
столарство	s t ɔ ɫ a r s t v ɔ
субвенција	s u b v ɛ n t͡s i j a
суптилност	s u p t i ɫ n ɔ s t
свиларство	s v i ɫ a r s t v ɔ
свињарство	s v i ɲ a r s t v ɔ
свршеничка	s v r̩ ʃ ɛ n i t͡ʃ k a
свршенички	s v r̩ ʃ ɛ n i t͡ʃ k i
свеќарство	s v ɛ c a r s t v ɔ
сводништво	s v ɔ d n i ʃ t v ɔ
световност	s v ɛ t ɔ v n ɔ s t
слаткарски	s ɫ a t k a r s k i
седларство	s ɛ d ɫ a r s t v ɔ
