ababa	aβaβa
infectados	ĩɱfeɣt̪aðos
infectante	ĩɱfeɣt̪ãn̪t̪e
infelice	ĩɱfeliθe
infelice	ĩɱfelise
infelices	ĩɱfeliθes
infelices	ĩɱfelises
infelicidad	ĩɱfeliθiðað
infelicidad	ĩɱfelisiðað
infelicidades	ĩɱfeliθiðaðes
infelicidades	ĩɱfelisiðaðes
infeliz	ĩɱfeliθ
infeliz	ĩɱfelis
inferencial	ĩɱfeɾẽn̟θjal
inferencial	ĩɱfeɾẽnsjal
inferida	ĩɱfeɾiða
inferidas	ĩɱfeɾiðas
inferido	ĩɱfeɾiðo
inferidos	ĩɱfeɾiðos
inferior	ĩɱfeɾjoɾ
inferiores	ĩɱfeɾjoɾes
inferioridad	ĩɱfeɾjoɾiðað
infernal	ĩɱfernal
inferomedial	ĩɱfeɾomeðjal
infestada	ĩɱfest̪aða
infestadas	ĩɱfest̪aðas
infestado	ĩɱfest̪aðo
infestados	ĩɱfest̪aðos
infestar	ĩɱfest̪aɾ
inficionada	ĩɱfiθjonaða
inficionada	ĩɱfisjonaða
inficionadas	ĩɱfiθjonaðas
inficionadas	ĩɱfisjonaðas
inficionado	ĩɱfiθjonaðo
inficionado	ĩɱfisjonaðo
inficionados	ĩɱfiθjonaðos
inficionados	ĩɱfisjonaðos
inficionar	ĩɱfiθjonaɾ
inficionar	ĩɱfisjonaɾ
infidencia	ĩɱfiðẽn̟θja
infidencia	ĩɱfiðẽnsja
infiernillo	ĩɱfjerniʎo
infiernillo	ĩɱfjerniʝo
infierno	iɱfjeɾno
infiltración	ĩɱfil̪t̪ɾaθjõn
infiltración	ĩɱfil̪t̪ɾasjõn
infiltrada	ĩɱfil̪t̪ɾaða
infiltradas	ĩɱfil̪t̪ɾaðas
infiltrado	ĩɱfil̪t̪ɾaðo
infiltrados	ĩɱfil̪t̪ɾaðos
infiltrante	ĩɱfil̪t̪ɾãn̪t̪e
ínfimo	ĩɱfimo
infinidad	ĩɱfiniðað
infinidades	ĩɱfiniðaðes
infinita	ĩɱfinit̪a
infinitas	ĩɱfinit̪as
infinitesimal	ĩɱfinit̪esimal
infinitesimales	ĩɱfinit̪esimales
infinitivo	ĩɱfinit̪iβo
infinito	ĩɱfinit̪o
infinitos	ĩɱfinit̪os
inflación	ĩɱflaθjõn
inflación	ĩɱflasjõn
inflacionaria	ĩɱflaθjonaɾja
inflacionaria	ĩɱflasjonaɾja
inflacionarias	ĩɱflaθjonaɾjas
inflacionarias	ĩɱflasjonaɾjas
inflacionario	ĩɱflaθjonaɾjo
inflacionario	ĩɱflasjonaɾjo
inflacionarios	ĩɱflaθjonaɾjos
inflacionarios	ĩɱflasjonaɾjos
inflacionista	ĩɱflaθjonist̪a
inflacionista	ĩɱflasjonist̪a
inflada	ĩɱflaða
infladas	ĩɱflaðas
inflado	ĩɱflaðo
inflados	ĩɱflaðos
inflamable	ĩɱflamaβle
inflamación	ĩɱflamaθjõn
inflamación	ĩɱflamasjõn
inflamada	ĩɱflamaða
inflamadas	ĩɱflamaðas
inflamado	ĩɱflamaðo
inflamados	ĩɱflamaðos
inflamar	ĩɱflamaɾ
inflamatorio	ĩɱflamat̪oɾjo
inflamo	ĩɱflamo
infligida	ĩɱflixiða
infligidas	ĩɱflixiðas
infligido	ĩɱflixiðo
infligidos	ĩɱflixiðos
infligir	ĩɱflixiɾ
influencia	ĩɱflwẽn̟θja
influencia	ĩɱflwẽnsja
influenciada	ĩɱflwẽn̟θjaða
influenciada	ĩɱflwẽnsjaða
influenciadas	ĩɱflwẽn̟θjaðas
influenciadas	ĩɱflwẽnsjaðas
influenciado	ĩɱflwẽn̟θjaðo
influenciado	ĩɱflwẽnsjaðo
influenciados	ĩɱflwẽn̟θjaðos
influenciados	ĩɱflwẽnsjaðos
influente	ĩɱflwẽn̪t̪e
influentes	ĩɱflwẽn̪t̪es
influida	ĩɱflwiða
influidas	ĩɱflwiðas
influidos	ĩɱflwiðos
información	ĩɱformaθjõn
información	ĩɱformasjõn
informada	ĩɱformaða
informadas	ĩɱformaðas
informado	ĩɱformaðo
informados	ĩɱformaðos
informal	ĩɱformal
informalidad	ĩɱformaliðað
informalismo	ĩɱformalizmo
informalizar	ĩɱformaliθaɾ
informalizar	ĩɱformalisaɾ
informalmente	ĩɱformalmẽn̪t̪e
informática	infoɾmatika
informativa	ĩɱformat̪iβa
informativas	ĩɱformat̪iβas
informativo	ĩɱformat̪iβo
informativos	ĩɱformat̪iβos
informatizada	ĩɱformat̪iθaða
informatizada	ĩɱformat̪isaða
informatizadas	ĩɱformat̪iθaðas
informatizadas	ĩɱformat̪isaðas
informatizado	ĩɱformat̪iθaðo
informatizado	ĩɱformat̪isaðo
informatizados	ĩɱformat̪iθaðos
informatizados	ĩɱformat̪isaðos
informatizar	ĩɱformat̪iθaɾ
informatizar	ĩɱformat̪isaɾ
infracaudal	ĩɱfɾakau̯ðal
infraccionar	ĩɱfɾaɣθjonaɾ
infraccionar	ĩɱfɾaɣsjonaɾ
infraclase	ĩɱfɾaklase
infractor	ĩɱfɾaɣt̪oɾ
infractora	ĩɱfɾaɣt̪oɾa
infractoras	ĩɱfɾaɣt̪oɾas
infractores	ĩɱfɾaɣt̪oɾes
infraexplotar	ĩɱfɾaeksplot̪aɾ
infrangible	ĩɱfɾãŋxiβle
infraorbital	ĩɱfɾaorβit̪al
infraorden	ĩɱfɾaorðẽn
infrarrepresentada	ĩɱfɾarepɾesẽn̪t̪aða
infrarrepresentadas	ĩɱfɾarepɾesẽn̪t̪aðas
infrarrepresentado	ĩɱfɾarepɾesẽn̪t̪aðo
infrarrepresentados	ĩɱfɾarepɾesẽn̪t̪aðos
infrautilizada	ĩɱfɾau̯t̪iliθaða
infrautilizada	ĩɱfɾau̯t̪ilisaða
infrautilizadas	ĩɱfɾau̯t̪iliθaðas
infrautilizadas	ĩɱfɾau̯t̪ilisaðas
infrautilizado	ĩɱfɾau̯t̪iliθaðo
infrautilizado	ĩɱfɾau̯t̪ilisaðo
infrautilizados	ĩɱfɾau̯t̪iliθaðos
infrautilizados	ĩɱfɾau̯t̪ilisaðos
infrautilizar	ĩɱfɾau̯t̪iliθaɾ
infrautilizar	ĩɱfɾau̯t̪ilisaɾ
infravalorada	ĩɱfɾaβaloɾaða
infravaloradas	ĩɱfɾaβaloɾaðas
infravalorado	ĩɱfɾaβaloɾaðo
infravalorados	ĩɱfɾaβaloɾaðos
infravalorar	ĩɱfɾaβaloɾaɾ
infrecuente	ĩɱfɾekwẽn̪t̪e
infringida	ĩɱfɾĩŋxiða
infringidas	ĩɱfɾĩŋxiðas
infringido	ĩɱfɾĩŋxiðo
infringidos	ĩɱfɾĩŋxiðos
infringir	ĩɱfɾĩŋxiɾ
infructuosa	ĩɱfɾuɣt̪wosa
infructuosas	ĩɱfɾuɣt̪wosas
infructuoso	ĩɱfɾuɣt̪woso
infructuosos	ĩɱfɾuɣt̪wosos
infundada	ĩɱfũn̪d̪aða
infundadas	ĩɱfũn̪d̪aðas
infundado	ĩɱfũn̪d̪aðo
infundados	ĩɱfũn̪d̪aðos
infundíbulo	ĩɱfũn̪d̪iβulo
infundir	ĩɱfũn̪d̪iɾ
infusión	ĩɱfusjõn
infusionada	ĩɱfusjonaða
infusionadas	ĩɱfusjonaðas
infusionado	ĩɱfusjonaðo
infusionados	ĩɱfusjonaðos
infusionar	ĩɱfusjonaɾ
ingeniero	iŋxenjeɾo
ingeniosísimo	ĩŋxenjosisimo
ingenuidad	ĩŋxenwiðað
ingenuo	ĩŋxenwo
ingerida	ĩŋxeɾiða
ingeridas	ĩŋxeɾiðas
ingerido	ĩŋxeɾiðo
ingeridos	ĩŋxeɾiðos
ingerir	iŋxeɾiɾ
inglaterra	ĩŋɡlat̪era
ingles	ĩŋɡles
inglés	ĩŋɡles
ingrata	ĩŋɡɾat̪a
ingratamente	ĩŋɡɾat̪amẽn̪t̪e
ingratas	ĩŋɡɾat̪as
ingratitud	ĩŋɡɾat̪it̪uð
ingrato	ĩŋɡɾat̪o
ingratos	ĩŋɡɾat̪os
ingrávida	ĩŋɡɾaβiða
ingrávidas	ĩŋɡɾaβiðas
ingravidez	ĩŋɡɾaβiðeθ
ingravidez	ĩŋɡɾaβiðes
ingrávido	ĩŋɡɾaβiðo
ingrávidos	ĩŋɡɾaβiðos
ingrediente	ĩŋɡɾeðjẽn̪t̪e
ingresante	ĩŋɡɾesãn̪t̪e
ingreso	ĩŋɡɾeso
inguinal	ĩŋɡinal
inhalada	ĩnalaða
inhaladas	ĩnalaðas
inhalado	ĩnalaðo
inhalados	ĩnalaðos
inhalar	ĩnalaɾ
inhibición	ĩniβiθjõn
inhibición	ĩniβisjõn
inhibida	ĩniβiða
inhibidas	ĩniβiðas
inhibido	ĩniβiðo
inhibidos	ĩniβiðos
inhibir	ĩniβiɾ
inhomogeneidad	ĩnomoxenei̯ðað
inhóspito	ĩnospit̪o
inhumada	ĩnumaða
inhumadas	ĩnumaðas
inhumado	ĩnumaðo
inhumados	ĩnumaðos
inhumana	ĩnumana
inhumanas	ĩnumanas
inhumano	ĩnumano
inhumanos	ĩnumanos
inhumar	ĩnumaɾ
iniciada	iniθjaða
iniciada	inisjaða
iniciadas	iniθjaðas
iniciadas	inisjaðas
iniciado	iniθjaðo
iniciado	inisjaðo
iniciados	iniθjaðos
iniciados	inisjaðos
inicializada	iniθjaliθaða
inicializada	inisjalisaða
inicializadas	iniθjaliθaðas
inicializadas	inisjalisaðas
inicializado	iniθjaliθaðo
inicializado	inisjalisaðo
inicializados	iniθjaliθaðos
inicializados	inisjalisaðos
inicialmente	iniθjalmẽn̪t̪e
inicialmente	inisjalmẽn̪t̪e
iniciativa	iniθjat̪iβa
iniciativa	inisjat̪iβa
iniciativas	iniθjat̪iβas
iniciativas	inisjat̪iβas
iniciativo	iniθjat̪iβo
iniciativo	inisjat̪iβo
iniciativos	iniθjat̪iβos
iniciativos	inisjat̪iβos
inigualable	iniɣwalaβle
inigualablemente	iniɣwalaβlemẽn̪t̪e
inigualables	iniɣwalaβles
injerida	ĩŋxeɾiða
injeridas	ĩŋxeɾiðas
injerido	ĩŋxeɾiðo
injeridos	ĩŋxeɾiðos
injerir	ĩŋxeɾiɾ
injertar	ĩŋxert̪aɾ
injustificable	ĩŋxust̪ifikaβle
inmaduro	ĩmmaðuɾo
inmatriculada	ĩmmat̪ɾikulaða
inmatriculadas	ĩmmat̪ɾikulaðas
inmatriculado	ĩmmat̪ɾikulaðo
inmatriculados	ĩmmat̪ɾikulaðos
inmatricular	ĩmmat̪ɾikulaɾ
inmediatamente	ĩmmeðjat̪amẽn̪t̪e
inmemorable	ĩmmemoɾaβle
inmensa	ĩmmẽnsa
inmensas	ĩmmẽnsas
inmensidad	ĩmmẽnsiðað
inmensidades	ĩmmẽnsiðaðes
inmenso	ĩmmẽnso
inmensos	ĩmmẽnsos
inmerecida	ĩmmeɾeθiða
inmerecida	ĩmmeɾesiða
inmerecidas	ĩmmeɾeθiðas
inmerecidas	ĩmmeɾesiðas
inmerecido	ĩmmeɾeθiðo
inmerecido	ĩmmeɾesiðo
inmerecidos	ĩmmeɾeθiðos
inmerecidos	ĩmmeɾesiðos
inmigración	ĩmmiɣɾaθjõn
inmigración	ĩmmiɣɾasjõn
inminente	ĩmminẽn̪t̪e
inmiscuida	ĩmmiskwiða
inmiscuidas	ĩmmiskwiðas
inmiscuido	ĩmmiskwiðo
inmiscuidos	ĩmmiskwiðos
inmiscuirse	ĩmmiskwirse
inmoral	ĩmmoɾal
inmorales	ĩmmoɾales
inmoralidad	ĩmmoɾaliðað
inmortalizada	ĩmmort̪aliθaða
inmortalizada	ĩmmort̪alisaða
inmortalizadas	ĩmmort̪aliθaðas
inmortalizadas	ĩmmort̪alisaðas
inmortalizado	ĩmmort̪aliθaðo
inmortalizado	ĩmmort̪alisaðo
inmortalizados	ĩmmort̪aliθaðos
inmortalizados	ĩmmort̪alisaðos
inmovilizada	ĩmmoβiliθaða
inmovilizada	ĩmmoβilisaða
inmovilizadas	ĩmmoβiliθaðas
inmovilizadas	ĩmmoβilisaðas
inmovilizado	ĩmmoβiliθaðo
inmovilizado	ĩmmoβilisaðo
inmovilizados	ĩmmoβiliθaðos
inmovilizados	ĩmmoβilisaðos
inmovilizar	ĩmmoβiliθaɾ
inmovilizar	ĩmmoβilisaɾ
inmunes	ĩmmunes
inmunidad	ĩmmuniðað
inmunocomplejo	ĩmmunokõmplexo
inmunodeprimido	ĩmmunoðepɾimiðo
inmunogenicidad	ĩmmunoxeniθiðað
inmunogenicidad	ĩmmunoxenisiðað
inmunohistoquímica	ĩmmunoist̪okimika
innatamente	ĩnnat̪amẽn̪t̪e
innecesario	ĩnneθesaɾjo
innecesario	ĩnnesesaɾjo
innegable	ĩnneɣaβle
innegables	ĩnneɣaβles
innombrable	ĩnnõmbɾaβle
innovación	ĩnnoβaθjõn
innovación	ĩnnoβasjõn
innovada	ĩnnoβaða
innovadas	ĩnnoβaðas
innovado	ĩnnoβaðo
innovados	ĩnnoβaðos
innovar	ĩnnoβaɾ
innumerable	ĩnnumeɾaβle
inobservable	inoβserβaβle
inobservables	inoβserβaβles
inocencio	inoθẽn̟θjo
inocencio	inosẽnsjo
inocentes	inoθẽn̪t̪es
inocentes	inosẽn̪t̪es
inocuidad	inokwiðað
inocuidades	inokwiðaðes
inoculada	inokulaða
inoculadas	inokulaðas
inoculado	inokulaðo
inoculados	inokulaðos
inofensiva	inofẽnsiβa
inofensivas	inofẽnsiβas
inofensivo	inofẽnsiβo
inofensivos	inofẽnsiβos
inolvidable	inolβiðaβle
inolvidables	inolβiðaβles
inoperante	inopeɾãn̪t̪e
inoperantes	inopeɾãn̪t̪es
inorgánica	inorɣanika
inorgánicas	inorɣanikas
inorgánico	inorɣaniko
inorgánicos	inorɣanikos
inquietada	ĩŋkjet̪aða
inquietadas	ĩŋkjet̪aðas
inquietado	ĩŋkjet̪aðo
inquietados	ĩŋkjet̪aðos
inquietantes	ĩŋkjet̪ãn̪t̪es
inquilina	ĩŋkilina
inquilino	ĩŋkilino
inquirida	ĩŋkiɾiða
inquiridas	ĩŋkiɾiðas
inquirido	ĩŋkiɾiðo
inquiridos	ĩŋkiɾiðos
inquisición	ĩŋkisiθjõn
inquisición	ĩŋkisisjõn
insaciable	ĩnsaθjaβle
insaciable	ĩnsasjaβle
insaciables	ĩnsaθjaβles
insaciables	ĩnsasjaβles
insaculación	ĩnsakulaθjõn
insaculación	ĩnsakulasjõn
insalubre	ĩnsaluβɾe
insatisfecho	ĩnsat̪isfet͡ʃo
inscripta	inskɾiβt̪a
inscriptas	inskɾiβt̪as
inscripto	inskɾiβt̪o
inscriptos	inskɾiβt̪os
inscrita	inskɾit̪a
inscritas	inskɾit̪as
inscrito	inskɾit̪o
inscritos	inskɾit̪os
insegura	ĩnseɣuɾa
inseguras	ĩnseɣuɾas
inseguridad	ĩnseɣuɾiðað
inseguro	ĩnseɣuɾo
inseguros	ĩnseɣuɾos
insensata	ĩnsẽnsat̪a
insensatas	ĩnsẽnsat̪as
insensato	ĩnsẽnsat̪o
insensatos	ĩnsẽnsat̪os
inseparable	ĩnsepaɾaβle
inseparables	ĩnsepaɾaβles
insesgado	ĩnsezɣaðo
insidiada	ĩnsiðjaða
insidiadas	ĩnsiðjaðas
insidiado	ĩnsiðjaðo
insidiados	ĩnsiðjaðos
insignes	ĩnsiɣnes
insignia	ĩnsiɣnja
insinuada	ĩnsinwaða
insinuadas	ĩnsinwaðas
insinuado	ĩnsinwaðo
insinuados	ĩnsinwaðos
insipientes	ĩnsipjẽn̪t̪es
insistida	ĩnsist̪iða
insistidas	ĩnsist̪iðas
insistido	ĩnsist̪iðo
insistidos	ĩnsist̪iðos
insolencia	ĩnsolẽn̟θja
insolencia	ĩnsolẽnsja
insolente	ĩnsolẽn̪t̪e
insolentes	ĩnsolẽn̪t̪es
insolubilidad	ĩnsoluβiliðað
insolvente	ĩnsolβẽn̪t̪e
insondables	ĩnsõn̪d̪aβles
insonorizar	ĩnsonoɾiθaɾ
insonorizar	ĩnsonoɾisaɾ
insonoro	ĩnsonoɾo
insostenible	ĩnsost̪eniβle
insostenibles	ĩnsost̪eniβles
inspeccionada	ĩnspeɣθjonaða
inspeccionada	ĩnspeɣsjonaða
inspeccionadas	ĩnspeɣθjonaðas
inspeccionadas	ĩnspeɣsjonaðas
inspeccionado	ĩnspeɣθjonaðo
inspeccionado	ĩnspeɣsjonaðo
inspeccionados	ĩnspeɣθjonaðos
inspeccionados	ĩnspeɣsjonaðos
inspector	ĩnspeɣt̪oɾ
inspiración	ĩnspiɾaθjõn
inspiración	ĩnspiɾasjõn
inspirada	ĩnspiɾaða
inspiradas	ĩnspiɾaðas
inspirado	ĩnspiɾaðo
inspirados	ĩnspiɾaðos
instalada	ĩnst̪alaða
instaladas	ĩnst̪alaðas
instalado	ĩnst̪alaðo
instalados	ĩnst̪alaðos
instalar	ĩnst̪alaɾ
instar	ĩnst̪aɾ
instauración	ĩnst̪au̯ɾaθjõn
instauración	ĩnst̪au̯ɾasjõn
instaurada	ĩnst̪au̯ɾaða
instauradas	ĩnst̪au̯ɾaðas
instaurado	ĩnst̪au̯ɾaðo
instaurados	ĩnst̪au̯ɾaðos
instaurar	ĩnst̪au̯ɾaɾ
instiga	ĩnst̪iɣa
instigación	ĩnst̪iɣaθjõn
instigación	ĩnst̪iɣasjõn
instigada	ĩnst̪iɣaða
instigadas	ĩnst̪iɣaðas
instigado	ĩnst̪iɣaðo
instigador	ĩnst̪iɣaðoɾ
instigados	ĩnst̪iɣaðos
instigamos	ĩnst̪iɣamos
instigando	ĩnst̪iɣãn̪d̪o
instigar	ĩnst̪iɣaɾ
instigara	ĩnst̪iɣaɾa
instigará	ĩnst̪iɣaɾa
instigáramos	ĩnst̪iɣaɾamos
instigaras	ĩnst̪iɣaɾas
instigarás	ĩnst̪iɣaɾas
instigareis	ĩnst̪iɣaɾei̯s
instigaremos	ĩnst̪iɣaɾemos
instigares	ĩnst̪iɣaɾes
instigaríamos	ĩnst̪iɣaɾiamos
instigas	ĩnst̪iɣas
instigaste	ĩnst̪iɣast̪e
instigue	ĩnst̪iɣe
instiguemos	ĩnst̪iɣemos
instigues	ĩnst̪iɣes
instilación	ĩnst̪ilaθjõn
instilación	ĩnst̪ilasjõn
instintiva	ĩnst̪ĩn̪t̪iβa
instinto	ĩnst̪ĩn̪t̪o
institucionalizada	ĩnst̪it̪uθjonaliθaða
institucionalizada	ĩnst̪it̪usjonalisaða
institucionalizadas	ĩnst̪it̪uθjonaliθaðas
institucionalizadas	ĩnst̪it̪usjonalisaðas
institucionalizado	ĩnst̪it̪uθjonaliθaðo
institucionalizado	ĩnst̪it̪usjonalisaðo
institucionalizados	ĩnst̪it̪uθjonaliθaðos
institucionalizados	ĩnst̪it̪usjonalisaðos
instituida	ĩnst̪it̪wiða
instituidas	ĩnst̪it̪wiðas
instituido	ĩnst̪it̪wiðo
instituidos	ĩnst̪it̪wiðos
instituir	ĩnst̪it̪wiɾ
instrui	inst̪ɾwi
instruí	inst̪ɾwi
instruía	inst̪ɾwia
instruíamos	inst̪ɾwiamos
instruías	inst̪ɾwias
instruida	inst̪ɾwiða
instruidas	inst̪ɾwiðas
instruido	inst̪ɾwiðo
instruidos	inst̪ɾwiðos
instruir	inst̪ɾwiɾ
instruirá	inst̪ɾwiɾa
instruirás	inst̪ɾwiɾas
instruiremos	inst̪ɾwiɾemos
instruiría	inst̪ɾwiɾia
instruiríamos	inst̪ɾwiɾiamos
instruirías	inst̪ɾwiɾias
instruis	inst̪ɾwis
instruís	inst̪ɾwis
instrumentada	inst̪ɾumẽn̪t̪aða
instrumentadas	inst̪ɾumẽn̪t̪aðas
instrumentado	inst̪ɾumẽn̪t̪aðo
instrumentados	inst̪ɾumẽn̪t̪aðos
instrumentalizada	inst̪ɾumẽn̪t̪aliθaða
instrumentalizada	inst̪ɾumẽn̪t̪alisaða
instrumentalizadas	inst̪ɾumẽn̪t̪aliθaðas
instrumentalizadas	inst̪ɾumẽn̪t̪alisaðas
instrumentalizados	inst̪ɾumẽn̪t̪aliθaðos
instrumentalizados	inst̪ɾumẽn̪t̪alisaðos
instrumentar	inst̪ɾumẽn̪t̪aɾ
instrumento	inst̪ɾumẽn̪t̪o
insuficiencia	ĩnsufiθjẽn̟θja
insuficiencia	ĩnsufisjẽnsja
insuficiente	ĩnsufiθjẽn̪t̪e
insuficiente	ĩnsufisjẽn̪t̪e
insuficientes	ĩnsufiθjẽn̪t̪es
insuficientes	ĩnsufisjẽn̪t̪es
insuflada	ĩnsuflaða
insufladas	ĩnsuflaðas
insuflado	ĩnsuflaðo
insuflados	ĩnsuflaðos
insuflar	ĩnsuflaɾ
ínsula	ĩnsula
insulsez	ĩnsulseθ
insulsez	ĩnsulses
insulta	ĩnsul̪t̪a
insultada	ĩnsul̪t̪aða
insultadas	ĩnsul̪t̪aðas
insultado	ĩnsul̪t̪aðo
insultados	ĩnsul̪t̪aðos
insultamos	ĩnsul̪t̪amos
insultando	ĩnsul̪t̪ãn̪d̪o
insultante	ĩnsul̪t̪ãn̪t̪e
insultantes	ĩnsul̪t̪ãn̪t̪es
insultar	ĩnsul̪t̪aɾ
insultara	ĩnsul̪t̪aɾa
insultará	ĩnsul̪t̪aɾa
insultáramos	ĩnsul̪t̪aɾamos
insultaras	ĩnsul̪t̪aɾas
insultarás	ĩnsul̪t̪aɾas
insultareis	ĩnsul̪t̪aɾei̯s
insultaremos	ĩnsul̪t̪aɾemos
insultares	ĩnsul̪t̪aɾes
insultaríamos	ĩnsul̪t̪aɾiamos
insultas	ĩnsul̪t̪as
insultaste	ĩnsul̪t̪ast̪e
insulte	ĩnsul̪t̪e
insulté	ĩnsul̪t̪e
insultemos	ĩnsul̪t̪emos
insultes	ĩnsul̪t̪es
insultés	ĩnsul̪t̪es
insulto	ĩnsul̪t̪o
insultos	ĩnsul̪t̪os
insumir	ĩnsumiɾ
insumo	ĩnsumo
insurrección	ĩnsureɣθjõn
insurrección	ĩnsureɣsjõn
insurreccionada	ĩnsureɣθjonaða
insurreccionada	ĩnsureɣsjonaða
insurreccionadas	ĩnsureɣθjonaðas
insurreccionadas	ĩnsureɣsjonaðas
insurreccionado	ĩnsureɣθjonaðo
insurreccionado	ĩnsureɣsjonaðo
insurreccionados	ĩnsureɣθjonaðos
insurreccionados	ĩnsureɣsjonaðos
insurreccionalismo	ĩnsureɣθjonalizmo
insurreccionalismo	ĩnsureɣsjonalizmo
insurreccionar	ĩnsureɣθjonaɾ
insurreccionar	ĩnsureɣsjonaɾ
insurrecciones	ĩnsureɣθjones
insurrecciones	ĩnsureɣsjones
insurrecta	ĩnsureɣt̪a
insurrectas	ĩnsureɣt̪as
insurrecto	ĩnsureɣt̪o
insurrectos	ĩnsureɣt̪os
intacta	ĩn̪t̪aɣt̪a
intactas	ĩn̪t̪aɣt̪as
intacto	ĩn̪t̪aɣt̪o
intactos	ĩn̪t̪aɣt̪os
intangibles	ĩn̪t̪ãŋxiβles
integérrimo	ĩn̪t̪exerimo
integración	ĩn̪t̪eɣɾaθjõn
integración	ĩn̪t̪eɣɾasjõn
integrada	ĩn̪t̪eɣɾaða
integradas	ĩn̪t̪eɣɾaðas
integrado	ĩn̪t̪eɣɾaðo
integrados	ĩn̪t̪eɣɾaðos
integral	ĩn̪t̪eɣɾal
integrales	ĩn̪t̪eɣɾales
intelectual	ĩn̪t̪eleɣt̪wal
intelectualización	ĩn̪t̪eleɣt̪waliθaθjõn
intelectualización	ĩn̪t̪eleɣt̪walisasjõn
inteligentes	ĩn̪t̪elixẽn̪t̪es
inteligentísimo	ĩn̪t̪elixẽn̪t̪isimo
intemperie	ĩn̪t̪ẽmpeɾje
intempestiva	ĩn̪t̪ẽmpest̪iβa
intempestivas	ĩn̪t̪ẽmpest̪iβas
intempestivo	ĩn̪t̪ẽmpest̪iβo
intempestivos	ĩn̪t̪ẽmpest̪iβos
intención	ĩn̪t̪ẽn̟θjõn
intención	ĩn̪t̪ẽnsjõn
intencionalmente	ĩn̪t̪ẽn̟θjonalmẽn̪t̪e
intencionalmente	ĩn̪t̪ẽnsjonalmẽn̪t̪e
intenciones	ĩn̪t̪ẽn̟θjones
intenciones	ĩn̪t̪ẽnsjones
intendencia	ĩn̪t̪ẽn̪d̪ẽn̟θja
intendencia	ĩn̪t̪ẽn̪d̪ẽnsja
intensa	ĩn̪t̪ẽnsa
intensamente	ĩn̪t̪ẽnsamẽn̪t̪e
intensas	ĩn̪t̪ẽnsas
intensidad	ĩn̪t̪ẽnsiðað
intensidades	ĩn̪t̪ẽnsiðaðes
intensificada	ĩn̪t̪ẽnsifikaða
intensificadas	ĩn̪t̪ẽnsifikaðas
intensificado	ĩn̪t̪ẽnsifikaðo
intensificados	ĩn̪t̪ẽnsifikaðos
intensificar	ĩn̪t̪ẽnsifikaɾ
intensiva	ĩn̪t̪ẽnsiβa
intensivas	ĩn̪t̪ẽnsiβas
intensivista	ĩn̪t̪ẽnsiβist̪a
intensivo	ĩn̪t̪ẽnsiβo
intensivos	ĩn̪t̪ẽnsiβos
intenso	ĩn̪t̪ẽnso
intensos	ĩn̪t̪ẽnsos
intentada	ĩn̪t̪ẽn̪t̪aða
intentadas	ĩn̪t̪ẽn̪t̪aðas
intentado	ĩn̪t̪ẽn̪t̪aðo
intentados	ĩn̪t̪ẽn̪t̪aðos
intento	ĩn̪t̪ẽn̪t̪o
interaccionada	ĩn̪t̪eɾaɣθjonaða
interaccionada	ĩn̪t̪eɾaɣsjonaða
interaccionadas	ĩn̪t̪eɾaɣθjonaðas
interaccionadas	ĩn̪t̪eɾaɣsjonaðas
interaccionado	ĩn̪t̪eɾaɣθjonaðo
interaccionado	ĩn̪t̪eɾaɣsjonaðo
interaccionados	ĩn̪t̪eɾaɣθjonaðos
interaccionados	ĩn̪t̪eɾaɣsjonaðos
interaccionar	ĩn̪t̪eɾaɣθjonaɾ
interaccionar	ĩn̪t̪eɾaɣsjonaɾ
interaccionismo	ĩn̪t̪eɾaɣθjonizmo
interaccionismo	ĩn̪t̪eɾaɣsjonizmo
interactuación	ĩn̪t̪eɾaɣt̪waθjõn
interactuación	ĩn̪t̪eɾaɣt̪wasjõn
interactuada	ĩn̪t̪eɾaɣt̪waða
interactuadas	ĩn̪t̪eɾaɣt̪waðas
interactuado	ĩn̪t̪eɾaɣt̪waðo
interactuados	ĩn̪t̪eɾaɣt̪waðos
interalemán	ĩn̪t̪eɾalemãn
interaliado	ĩn̪t̪eɾaljaðo
interbalneario	ĩn̪t̪erβalneaɾjo
intercalada	ĩn̪t̪erkalaða
intercaladamente	ĩn̪t̪erkalaðamẽn̪t̪e
intercaladas	ĩn̪t̪erkalaðas
intercalado	ĩn̪t̪erkalaðo
intercalados	ĩn̪t̪erkalaðos
interceptada	ĩn̪t̪eɾθeβt̪aða
interceptada	ĩn̪t̪erseβt̪aða
interceptadas	ĩn̪t̪eɾθeβt̪aðas
interceptadas	ĩn̪t̪erseβt̪aðas
interceptado	ĩn̪t̪eɾθeβt̪aðo
interceptado	ĩn̪t̪erseβt̪aðo
interceptador	ĩn̪t̪eɾθeβt̪aðoɾ
interceptador	ĩn̪t̪erseβt̪aðoɾ
interceptados	ĩn̪t̪eɾθeβt̪aðos
interceptados	ĩn̪t̪erseβt̪aðos
interceptar	ĩn̪t̪eɾθeβt̪aɾ
interceptar	ĩn̪t̪erseβt̪aɾ
interclasista	ĩn̪t̪erklasist̪a
interclub	ĩn̪t̪erkluβ
intercolumnio	ĩn̪t̪erkolũmnjo
intercomunicar	ĩn̪t̪erkomunikaɾ
intercomunicarse	ĩn̪t̪erkomunikarse
interconexión	ĩn̪t̪erkoneɣsjõn
