aberystwyth	abɛɹəstʊɨθ
rocks	ɹʷɒks
rocks	ɹʷɔks
rocky	ɹʷɔkiː
rocky	ɹʷɒkiː
rocky	ɹʷɒki
romantic	ɹoʊmæntɪk
romantic	ɹə-
romantic	-mæɾ̃ɪk
romantic	-meə̯ntɪk
romantic	-meə̯ɾ̃ɪk
rot	ɹɑt
roti	ɹɔʊɾɪi̯
rotten	ɹɑʔn̩
rout	ɹʌʊt
routes	ɹʌʊts
routs	ɹʌʊts
rub	ɹɐb
rubbed	ɹʌˑb̚d̥
rubber	ɹɐbəɹ
rubbers	ɹɐbəz
ruby	ɹuːbi
rule	ɹuːɫ
sail	seɪ̯ɫ
salami	səlɑːmɪ
sat	ɛseɪ̯tʰi
sat	sæʔt̚
saturnine	-ɾɚ-
scale	skeɪ̯ɫ
scallion	skælɪən
scallion	skæljn̩
school	sk̥ʊɫ
scold	skɒʊɫd
scout	skʌʊt
screech	skɹiːtʃ
screech	skɹitʃ
screech	skɹiːtʃ
screech	skɹitʃ
scuttle	skʌtɫ̩
scuttle	skʌtəɫ
scuttle	skʌɾɫ̩
scuttle	skʌɾəɫ
secretary	sɛkɹətʰɛɹi
security	səkjɔɹɪɾi
security	səkjʊɹɪɾi
semanticity	sɪmæntʰɪsɪ̈ti
senpai	sɛmpaɪ̯
senpai	sɛnpaɪ̯
sentence	sɛntn̩t͡s
sentence	sɛnʔn̩t͡s
sentence	sɛntn̩t͡s
sentence	sɛnʔn̩t͡s
servant	sɝvn̩ʔ
servo	sɜːvəʊ
servo	sɝvoʊ
shitty	ʃɪɾi
short	ʃɑɹt
shutter	ʃʌɾɚ
shuttle	ʃʌɾel
siberia	saɪbɪəɹɪə
sigmatism	sɪɡmʌtɪzm
sitter	sɪɾɚ
sixth	sɪksθ
sixth	sɪkst̪
skillful	skɪɫfəɫ
skittish	skɪɾɪʃ
skweee	skwiː
slaten	sleɪtn̩
slight	sl̥l͡ɐɪʔ̚
smash	smaʃ
smatter	smæɾɚ
snares	snɛːz
snash	snaʃ
snippet	snɪpɪ̈ʔt̚
snow	snəʊ̯
snow	snoʊ̯
software	sɒftwɛə
software	sɔftwɛɹ
soil	sɔɪ̯ɫ
soluble	sɔɫjʊbəɫ
solvent	sɒlvənt
some	sɐm
some	sɐm
some	säm
something	sɐmθɪŋ
something	sʌʔm̩
something	sʌɾ̃ɪŋ
something	sʌ̃ː
something	sʌɪŋ
something	sämθɪŋ
somnambulist	sɒmnæmbjʊlɪst
somnambulistic	sɒmnæmbjʊlɪstɪk
sophisticate	səfɪstɪkət
sophisticate	səfɪstɪkeɪt
sorta	sɔɹɾə
sorta	sɔːtə
sotto	sotːo
spaghetti	spəɡɛɾi
spam	speəm
spar	spɑɹ
spar	spɑ˞
spider	spʌɪ̯dəɹ
splash	splaʃ
splinter	splɪɾ̃ɚ
spotted	spɑɾɪ̈d
spruiker	spɹʉːkə
squamation	skweɪmeɪʃn̩
squander	skwɒndə
squander	skʷɑndɚ
squee	skwiː
stand	steənd
standard	steəndɚd
standardise	stændəɹdaɪz
started	stɑɹɾɪd
starter	stɑɹɾɚ
starting	stɑɹtɪŋ
starting	stɑɹɾɪŋ
startup	stɑɹɾʌp
stiletto	stəlɛɾoʊ
stirk	stɜːk
stirk	stɝk
strand	stɹɛənd
street	skɹitˤ
strident	stɹaɪdˀnt
stripboard	stɹɪʰbɔəd
stripboard	stɹɪʰbɔːd
structure	stɹɐktʃəɹ
strut	stɹɐt
subhuman	sʌbhjuːmən
substance	sʌbstənts
substituent	sʌbstɪtʃuənt
subtle	sʌɾɫ̩
subway	sʌbweɪ̯
support	səpʰɔːt
support	səpʰɔɹt
suppose	səpʰəʊz
suppose	səpʰoʊz
suppose	spəʊz
suppose	spoʊz
swami	swɑːmi
sweaty	swɛɾi
sweaty	swɛɾi
sweetheart	swiɾʱɑɹt̠̚
syllable	sɪləbɫ
symbology	sɪmbɑlədʒi
symbology	sɪmbɒlədʒi
symphony	sɪɱfəni
syncline	sɪŋklaɪn
syndical	sɪndɪkl̩
syntagm	sɪntæm
syntagms	sɪntæmz
t	tʰ
t	t
t	t̬
t	ɾ
t	ʔ
t	tʰ
t	t
t	t̬
t	ɾ
t	ʔ
t'	t
t'	ʔ
tab	tʰæb̥
tablespoon	-bɫ̩-
tablespoon	-bɫ̩-
tackle	tʰækɫ̩
taco	tʰɑkoʊ
take	tʰeɪ̯k
talib	tʰælɪb
taliesin	taljɛsɪn
tallit	tʰälit
tallit	tʰɑɫɪs
tampon	tʰæmpʰɔn
tap	tʰæp
tape	tʰeɪ̯p
tapestry	tæpəst͡ʃɹi
tar	tʰɑɻ
tar	tʰɑɹ
target	tʰɑɹɡɪt̚
taring	tɛəɹɪŋ
tarn	tɝn
tarter	tɑːtəɹ
tarter	tɑɹɾɚ
tarter	tɑːtəɹ
tarter	tɑɹɾɚ
tatsoi	tʰɑʔtsɔɪ
tatterara	tæt̪əɹɑːɹɑː
tattoo	tʰætʰu̟ː
tea	tʰi
tea	tʰiː
tearing	tɛəɹɪŋ
tearing	tɪəɹɪŋ
tech	tʰɛk
teeter	tʰiɾɚ
tej	tɛd͡ʒ
telangana	t̪ɛləŋɡɑːnə
temp	tʰɛmp
ten	tʰɛn
tenth	tʰɛn̪θ
teotwawki	tiɑtwɑki
tesselate	tʰɛsɫleɪtʰ
thagomizer	θæɡəmaɪzɚ
thagomizer	θæɡəmaɪzə
thank	θæŋk
thank	θeɪ̯ŋk
thank	t̪eɪ̯ŋk
theater	θiə̯tɜ
theater	θiə̯ɾɜ
theater	θyɾɚ
them	d̪ɛm
them	d̪ɛm
them	d̪ʌm
them	d̪ʌm
theosophy	θɪɒsəfɪ
theosophy	θiɒsəfi
think	θæŋk
thirty	θɝɾi
thousand	θaʊ̯zɪ̈nd
thread	θɾ̪̊ɛd
thread	θɾ̪̊ɛd
three	θɾ̪̊iː~θɾ̪̊ɪi
three	θɾ̪̊iː~t̪ɾ̪̊iː
thrice	θɾ̪̊ɑɪs
thrice	θɾ̪̊äɪs
thrice	θɾ̪̊ɑɪs
thrice	θɾ̪̊äɪs
thrill	θɾ̪̊ɪɫ
thrill	θɾ̪̊ɪl~t̪ɾ̪̊ɪl
thrill	θɾ̪̊ɪɫ
thrill	θɾ̪̊ɪl~t̪ɾ̪̊ɪl
throne	θɹəʊn
throne	θɹoʊn
throne	tɹoʊn
through	θɾ̪̊ɵʉ
through	θɾ̪̊ʊu
throughout	θɹuːʷaʊt
throw	θɾ̪̊əʊ
throw	θɾ̪̊oʊ
timber	tɪˑmbəː
timber	tɪˑmbɚː
time	tʰaɪm
tin	tʰɪn
tiptoe	tʰɪptʰəʊ̯
tiptoe	tʰɪptʰoʊ̯
tire	tʰaɪ̯ɚ
titty	tʰɪɾi
titty	tʰɪɾi
to	tʰu̟ː
to	tʰu̟
to	tʰʉː
to	ɾə
to	ɾʊ
to	ɾə
to	ɾʊ
today	tʰədeɪ
today	tʰʊdeɪ
today	tʰʉɾeɪː
tomato	tʰəmeɪɾoʊ
tomato	tʰəmeɪɾə
tomato	tʰəmeɪɾoʊ
tomato	tʰəmeɪɾə
too	tʰu̟ː
too	tʰu̟
toon	tuːn
toots	tʰuts
toots	tʰʊts
top	tʰɒp
top	tʰɑp
toronto	tʰəɹɒntʰoʊ
toronto	tʰəɹɒɾ̃oʊ
toronto	tʰəɹɒɾ̃ə
tortilla	tɔɹtʰijə
total	tʰoʊ̯ɾɫ
touch	tʰɐt͡ʃ
touch	tʰʌt͡ʃ
town	tʰaʊ̯n
toyota	tɔɪ̯oʊ̯ɾə
toyota	taɪ̯oʊ̯ɾə
trace	tʃɹeɪs
tracer	tʃɹeɪsəɹ
tracer	tʃɹeɪsɚ
traditionally	tɹədɪʃn̩li
traditionally	tɹɪdɪʃn̩li
train	tɹeɪn
train	tʃɹeɪn
trainee	tʃɹeɪni
trainees	tʃɹeɪniz
traitor	tʰɹeɪɾɚ
transcaucasia	tɹænskɔːkeɪzjə
transcaucasia	tɹænskɔːkeɪʒə
translate	tʃɹɛ̃nzɫæe̯ʔ
translator	tʰɹænzleɪtʰɚ
translator	tʰɹænzleɪɾɚ
trap	tɹ̥æp
trap	t̠ɹ̝̊äp
treat	tɹiʔt̚
treat	t͡ʃɹiʔt̚
tree	t̠ɹ̠̊˔ʷɪi̯
tree	t̠ɹ̠̊˔ʷi
trinal	tɹʌɪn̩l
trope	tɹ̥əʊp
true	t͡ʃɹu
trump	t͡ʃɹʌmp
trunk	t͡ʃɹʌŋk
trust	t͡ʃɹʌst
try	tʰɹaɪ
try	t͡ʃʰɹaɪ
tsk	ǀ
tucker	tʰʌkəɹ
tucker	tʰʌkɚ
turmeric	tʰɝmɚɪk
turmeric	tʰumɚɪk
turning	tɜːnɪŋ
turning	tɝnɪŋ
turning	tɜːnɪŋ
turning	tɝnɪŋ
turtle	tʰɝɾɫ̩
tut	ǀ
twenty	tʰʍɛɾ̃i
twenty	tʰʍʌɾ̃i
twenty	tʰʍʊɾ̃i
twice	tw̥aɪs
twitter	twɪɾɚ
twitter	twɪɾɚ
two	tʰu̟ː
two	tʰu̟
twos	tʰu̟ːz
twos	tʰu̟z
tyneside	tainsaid
tyneside	tɛinsɛid
typewriter	taɪpɹaɪtəɹ
uergelbauer	uə̯ʑəlbɑʊ̯ɐ
ugh	ɯx
ugh	ɯχ
ugh	ʌx
ugh	ʌχ
ugh	ʌɡ
ugh	ʌk
ugh	ʊx
ugh	ʊχ
ugh	ʊk
ugh	ʊ
ukraine	ju̟kɹeɪ̯n
ukraine	jukɹeɪ̯n
unacceptable	ɐnæksɛptʰəbɫ̩
unacceptable	ɐnəksɛptʰəbɫ̩
unacceptable	ɐnæksɛptʰəbɫ̩
unacceptable	ɐnɪ̞ksɛptʰəbɫ̩
uncle	ʌnkʰɫ̩
uncle	ʌnkɫ̩
under	ɐndəɹ
under	ʌnɾɚ
under	ʌɾ̃ɚ
understand	ʌɾ̃ɚstænd
understand	ʌɾ̃ɚsteə̯nd
undivided	ʌɾ̃ɪ̈vaɪ̯ɾɪ̈d
unfair	ɐnfɛəɹ
unfair	ɐnfɛːɹ
unfetter	ʌnfɛɾɚ
unilateral	jʉːnɪlætəɹɫ̩
unilateral	jʉːnɪlæt͡ʃɹɫ̩
unilateral	jʉːnəɫæɾɚɻɫ̩
unilateral	jʉːnɪlætəɹɫ̩
unilateral	jʉːnɪlæt͡ʃɹɫ̩
unilateral	jʉːnəɫæɾɚɻɫ̩
unisex	juːnɪsɛks
unite	ju̟naɪ̯ʔ
unite	ju̟naɪ̯ʔt̚
unite	jʊnaɪ̯ʔ
unite	jʊnaɪ̯ʔt̚
unite	jənaɪ̯ʔ
unite	jənaɪ̯ʔt̚
united	junaɪ̯ɾɪ̈d
united	ju̟naɪ̯ɾɪ̈d
united	jʊnaɪ̯ɾɪ̈d
united	jənaɪ̯ɾɪ̈d
unnerstand	ɜɽ̃ɻstænd̚
unutterable	ʌnʌɾɚɪ̈bl̩
up	ɐʔp
up	ʌp̚
up	äp
upmost	ʌʔmoʊst
usher	aʃəɹ
usher	ʌʃəɹ
usher	ʌʃɚ
utmost	ʌt-
utmost	ʌʔ-
utter	ɐtə
utter	ʌɾɚ
vajazzle	vədʒæzl̩
value	væɫju
vendetta	vɛndɛɾə
vendetta	vəndɛɾə
veneer	vɨniə̆ɹ
venus	vinɪ̈s
verbal	vɜːbɫ̩
verbal	vɜ˞bɫ̩
vermont	vɚmɑnʔt̚
versatile	vɜːsətaɪɫ
veteran	vɛt̬əɹən
veteran	vɛɾəɹən
veteran	vɛt̬əɹən
veteran	vɛɾəɹən
veto	viːɾoʊ
veto	viːtʰoʊ
veto	viːɾoʊ
veto	viːtʰoʊ
vibrator	vaɪ̯bɹeɪ̯ɾɚ
vicissitude	vɨsɪsɨtjuːd
vicissitude	vaɪsɪsɨtjuːd
vicissity	vɪsɪsɨti
vicissity	vaɪsɪsɨti
vindical	vɪndɪkl̩
violin	vaɪ̯ɪ̈lɪn
virtual	vɵːtʃɯl
vitamin	vʌɪɾəmɪn
vlach	vlɑːk
vlach	vlæk
vocab	vəʉkæb
vocab	vəʊkæb
vocab	voʊkæb
vocab	vəʉkæb
vocab	vəʊkæb
vocab	voʊkæb
volatile	vɑləɾɫ̩
vouchsafe	vʌʊtʃseɪf
waddle	wɑɾɫ̩
waistband	weɪstbænd
waiting	weɪ̯ɾɪŋ
waiting	weɪ̯ɾɪŋ
wanted	wɑntʰɪd
wanted	wɒntʰɪd
washington	wɑʃɨŋʔn̩
wasn't	wɒzn̩ʔ
wasn't	wɒnʔ
wasn't	wʌzn̩t
wasn't	wʌdn̩t
water	woːʔɐ
water	wɔɾɚ
water	wɑɾɚ
water	wʊɾɚ
water	woːɾə
water	ʋɔːtə
water	ʋɔːtəɹ
wattle	wɑɾl̩
wealth	wɛl̪θ
wear	wɛɹ
wear	wɛɚ
weeaboos	wiːabyːz
welp	wɛlp̚
went	wɛnʔt̚
westside	wɛstsaɪd
westside	wɛssaɪd
westside	wɛssaːd
wetting	wɛɾɪŋ
whakapapa	ɸakapapa
what	wʌɾ
what	wʌˀ
what	wʌɾ
what	wʌˀ
what're	wʌɾɚ
whet	wɛʔt̚
whet	ʍɛʔt̚
whet	ʍɛʔt̚
whetter	wɛɾɚ
whetter	ʍɛɾɚ
whetter	ʍɛɾɚ
whole	həʊɫ
whole	hɒʊɫ
whole	hoʊɫ
wholly	həʊlɪ
wholly	hɒʊ̯ɫlɪ
wholly	hoʊli
wholly	hoʊ̯ɫli
who're	hʊɚ
who're	huːɹ
whuddup	wʌɾʌp
width	wɪd̪θ
wieldy	wɪəldɪ
will	wɪɫ
window	wɪɾ̃oʊ
winter	wɪɾ̃ɚ
winter	wɪntʰɚ
winter	wɪntʰɚ
winter	wɪɾ̃ɚ
winter	wɪntʰɚ
winter	wɪntʰɚ
winters	wɪɾ̃ɚz
wintertide	wɪɾ̃ɚtaɪd
wintry	wɪɾ̃əɹi
wisconsin	wəskɑnsn̩
wisconsin	wəskʰɑnsn̩
witty	wɪɾi
wolf	wʊ̠ɫf
wolf	wɫ̩f
wolf	wʊwf
wool	wʊ̠ɫ
wool	wɫ̩
work	wɔːk
work	wɝk
world	wɵːɯ̯d̥
worrisome	wɚsəm
wouldn't	wʊdⁿn̩t
wouldn't	wʊɾənt
wrake	ɹeɪ̯kʰ
writer	ɹɐɪɾɚ
written	ɹɪʔt̚n̩
written	ɹɪʔɪn
written	ɹɪɾɪn
wuddup	wʌɾʌp
www	dʌɥʊ̆dʌɥʊ̆dʌbˡju
xxx	ʔɛksʔɛksʔɛks
y'all's	jɔlz
yangon	jæŋɡɑn
yeah	jɛ
yeah	je
yech	jɛx
yech	jɛχ
yep	jɛp̚
yeppity	jɛpɨɾi
yeti	jɛɾi
yeung	jœŋ
yive	jɪv
yolngu	joːlŋʊ
yprois	ipʁwaː
yprois	ipʁwaːz
yum	jʌm
yuppity	jʌpɨɾi
zarina	zʌɹʲinə
zemfira	zɪɱfiɹə
zemfira	zɛɱfiɹə
ziti	ziɾi
ziti	ziɾi
zooplasty	zəʊəplæsti
zooplasty	zoʊəplæsti
