aa	ɑː
nokkoskasvi	n o̞ kː o̞ s̠ k ɑ s̠ ʋ i
nokkoskeitto	n o̞ kː o̞ s̠ k e̞ i̯ t̪ː o̞
nokkosperhonen	n o̞ kː o̞ s̠ p e̞ r h o̞ n e̞ n
nokkosrokko	n o̞ kː o̞ s̠ r o̞ kː o̞
nokturno	n o̞ k t̪ u r n o̞
nolla	n o̞ lː ɑ
nollaenergiatalo	n o̞ lː ɑ e̞ n e̞ r ɡ i ɑ t̪ ɑ l o̞
nollajakaja	n o̞ lː ɑ j ɑ k ɑ j ɑ
nollakeli	n o̞ lː ɑ k e̞ l i
nollakohta	n o̞ lː ɑ k o̞ x t̪ ɑ
nollakoko	n o̞ lː ɑ k o̞ k o̞
nollanjakaja	n o̞ lː ɑ n j ɑ k ɑ j ɑ
nollapeli	n o̞ lː ɑ p e̞ l i
nollapersoona	n o̞ lː ɑ p e̞ r s̠ o̞ː n ɑ
nollas	n o̞ lː ɑ s̠
nollasti	n o̞ lː ɑ s̠ t̪ i ʔ
nollata	n o̞ lː ɑ t̪ ɑ ʔ
nollaulotteinen	n o̞ lː ɑ u l o̞ t̪ t̪ e̞ i n e̞ n
nolo	n o̞ l o̞
noloissaan	n o̞ l o̞ i̯ s̠ː ɑː n
nolosti	n o̞ l o̞ s̠ t̪ i ʔ
nomadismi	n o̞ m ɑ d i s̠ m i
nominaaliasteikko	n o̞ m i n ɑː l i ɑ s̠ t̪ e̞ i̯ kː o̞
nominatiiviakkusatiivi	n o̞ m i n ɑ t̪ iː ʋ i ɑ kː u s̠ ɑ t̪ iː ʋ i
noni	n o̞ n i
noninvasiivinen	n o̞ n i n ʋ ɑ s̠ iː ʋ i n e̞ n
nooa	n o̞ː ɑ
noomi	n o̞ː m i
nooni	n o̞ː n i
noonisointu	n o̞ː n i s̠ o̞ i̯ n̪ t̪ u
noora	n o̞ː r ɑ
nopea	n o̞ p e̞ ɑ
nopeus	n o̞ p e̞ u s̠
nopeuslaki	n o̞ p e̞ u s̠ l ɑ k i
nopeusvakio	n o̞ p e̞ u s̠ ʋ ɑ k i o̞
noppa	n o̞ pː ɑ
noppakivi	n o̞ pː ɑ k i ʋ i
nordisti	n o̞ r d i s̠ t̪ i
noriitti	n o̞ r iː t̪ː i
norja	n o̞ r j ɑ
norjalainen	n o̞ r j ɑ l ɑ i n e̞ n
norjalaismies	n o̞ r j ɑ l ɑ i̯ s̠ m i e̞̯ s̠
norjalaisnainen	n o̞ r j ɑ l ɑ i̯ s̠ n ɑ i̯ n e̞ n
norkko	n o̞ r kː o̞
norlanti	n o̞ r l ɑ n̪ t̪ i
normaali	n o̞ r m ɑː l i
normaaliaika	n o̞ r m ɑː l i ɑ i̯ k ɑ
normaalihomo	n o̞ r m ɑː l i h o̞ m o̞
normaalijakautunut	n o̞ r m ɑː l i j ɑ k ɑ u t̪ u n u t̪
normaalikiihtyvyys	n o̞ r m ɑː l i k iː ç t̪ y ʋ yː s̠
normaalikynttilä	n o̞ r m ɑː l i k y n̪ t̪ː i l æ
normaalimuotoinen	n o̞ r m ɑː l i m u o̞̯ t̪ o̞ i̯ n e̞ n
normaaliolot	n o̞ r m ɑː l i o̞ l o̞ t̪
normaalivektori	n o̞ r m ɑː l i ʋ e̞ k t̪ o̞ r i
normaalivuosi	n o̞ r m ɑː l i ʋ u o̞̯ s̠ i
normaaliyhtälö	n o̞ r m ɑː l i y ç t̪ æ l ø̞
normalisoiminen	n o̞ r m ɑ l i s̠ o̞ i m i n e̞ n
normalisoimisprosessi	n o̞ r m ɑ l i s̠ o̞ i m i s̠ p r o̞ s̠ e̞ s̠ː i
normeerautuva	n o̞ r m e̞ː r ɑ u t̪ u ʋ ɑ
normipaine	n o̞ r m i p ɑ i̯ n e̞ ʔ
normipalkka	n o̞ r m i p ɑ l kː ɑ
normitusvakio	n o̞ r m i t̪ u s̠ ʋ ɑ k i o̞
normo	n o̞ r m o̞
norovirus	n o̞ r o̞ ʋ i r u s̠
norri	n o̞ rː i
norsu	n o̞ r s̠ u
norsunheinä	n o̞ r s̠ u n h e̞ i̯ n æ
norsunluurannikko	n o̞ r s̠ u n l uː r ɑ nː i kː o̞
norsupallo	n o̞ r s̠ u p ɑ lː o̞
norsupäästäinen	n o̞ r s̠ u p æː s̠ t̪ æ i̯ n e̞ n
noskapiini	n o̞ s̠ k ɑ p iː n i
nostaa	n o̞ s̠ t̪ ɑː ʔ
nostatusaine	n o̞ s̠ t̪ ɑ t̪ u s̠ ɑ i̯ n e̞ ʔ
noste	n o̞ s̠ t̪ e̞ ʔ
nostokoukku	n o̞ s̠ t̪ o̞ k o̞ u̯ kː u
nostokyky	n o̞ s̠ t̪ o̞ k y k y
nostoköysi	n o̞ s̠ t̪ o̞ k ø̞ y̯ s̠ i
nostolaite	n o̞ s̠ t̪ o̞ l ɑ i̯ t̪ e̞ ʔ
nostolava	n o̞ s̠ t̪ o̞ l ɑ ʋ ɑ
nostolupa	n o̞ s̠ t̪ o̞ l u p ɑ
nostopumppu	n o̞ s̠ t̪ o̞ p u m pː u
nostoruuvi	n o̞ s̠ t̪ o̞ r uː ʋ i
nostotalja	n o̞ s̠ t̪ o̞ t̪ ɑ l j ɑ
nostotyyny	n o̞ s̠ t̪ o̞ t̪ yː n y
nostoverkko	n o̞ s̠ t̪ o̞ ʋ e̞ r kː o̞
nostoväki	n o̞ s̠ t̪ o̞ ʋ æ k i
nosturialus	n o̞ s̠ t̪ u r i ɑ l u s̠
nosturiauto	n o̞ s̠ t̪ u r i ɑ u t̪ o̞
notkea	n o̞ t̪ k e̞ ɑ
notkeagibboni	n o̞ t̪ k e̞ ɑ ɡ i bː o̞ n i
notkeasti	n o̞ t̪ k e̞ ɑ s̠ t̪ i ʔ
notko	n o̞ t̪ k o̞
notkoselkä	n o̞ t̪ k o̞ s̠ e̞ l k æ
notski	n o̞ t s̠ k i
nougat	n u ɡ ɑː
noukkia	n o̞ u̯ kː i ɑ ʔ
nouseminen	n o̞ u̯ s̠ e̞ m i n e̞ n
nousiainen	n o̞ u̯ s̠ i ɑ i n e̞ n
nousiaislainen	n o̞ u̯ s̠ i ɑ i s̠ l ɑ i n e̞ n
nousta	n o̞ u̯ s̠ t̪ ɑ ʔ
noustelainen	n o̞ u̯ s̠ t̪ e̞ l ɑ i n e̞ n
nousuaika	n o̞ u̯ s̠ u ɑ i̯ k ɑ
nousukala	n o̞ u̯ s̠ u k ɑ l ɑ
nousukasmaisesti	n o̞ u̯ s̠ u k ɑ s̠ m ɑ i̯ s̠ e̞ s̠ t̪ i ʔ
nousukiito	n o̞ u̯ s̠ u k iː t̪ o̞
nousukulma	n o̞ u̯ s̠ u k u l m ɑ
nousupaine	n o̞ u̯ s̠ u p ɑ i̯ n e̞ ʔ
noutaa	n o̞ u̯ t̪ ɑː ʔ
noutaja	n o̞ u̯ t̪ ɑ j ɑ
noutopiste	n o̞ u̯ t̪ o̞ p i s̠ t̪ e̞ ʔ
noutopöytä	n o̞ u̯ t̪ o̞ p ø̞ y̯ t̪ æ
novascotiannoutaja	n o̞ ʋ ɑ s̠ k o̞ t̪ i ɑ n n o̞ u̯ t̪ ɑ j ɑ
novascotiannoutaja	n o̞ ʋ ɑ s̠ k o̞ u̯ ʃ ɑ n n o̞ u̯ t̪ ɑ j ɑ
novelli	n o̞ ʋ e̞ lː i
novemoli	n o̞ ʋ e̞ m o̞ l i
nubianvilliaasi	n uː b i ɑ n ʋ i lː i ɑː s̠ i
nudismi	n u d i s̠ m i
nudisti	n u d i s̠ t̪ i
nugaa	n u ɡ ɑː
nuha	n u ɦ ɑ
nuhalääke	n u ɦ ɑ l æː k e̞ ʔ
nuhatipat	n u ɦ ɑ t̪ i p ɑ t̪
nuhde	n u x d e̞ ʔ
nuhdesaarna	n u x d e̞ s̠ s̠ ɑː r n ɑ
nuhrata	n u x r ɑ t̪ ɑ ʔ
nuhteeton	n u x t̪ e̞ː t̪ o̞ n
nuija	n u i̯ jː ɑ
nuijakalastus	n u i̯ jː ɑ k ɑ l ɑ s̠ t̪ u s̠
nuijasara	n u i̯ jː ɑ s̠ ɑ r ɑ
nuivasti	n u i̯ ʋ ɑ s̠ t̪ i ʔ
nujakka	n u j ɑ kː ɑ
nukahtaa	n u k ɑ x t̪ ɑː ʔ
nukahtamislääke	n u k ɑ x t̪ ɑ m i s̠ l æː k e̞ ʔ
nukenrattaat	n u k e̞ n r ɑ t̪ː ɑː t̪
nukenvaate	n u k e̞ n ʋ ɑː t̪ e̞ ʔ
nukenvaunut	n u k e̞ n ʋ ɑ u̯ n u t̪
nukka	n u kː ɑ
nukkasihti	n u kː ɑ s̠ i ç t̪ i
nukke	n u kː e̞
nukkehallitus	n u kː e̞ h ɑ lː i t̪ u s̠
nukkua	n u kː u ɑ ʔ
nukkuja	n u kː u j ɑ
nukkumaanmenoaika	n u kː u m ɑː m m e̞ n o̞ ɑ i̯ k ɑ
nukleoidi	n u k l e̞ o̞ i d i
nukleosidi	n u k l e̞ o̞ s̠ i d i
nuku	n u k u ʔ
nukutuskaasu	n u k u t̪ u s̠ k ɑː s̠ u
nulju	n u l j u
numeroiminen	n u m e̞ r o̞ i m i n e̞ n
numerollisesti	n u m e̞ r o̞ lː i s̠ e̞ s̠ t̪ i ʔ
numerologi	n u m e̞ r o̞ l o̞ ɡ i
numeronäyttö	n u m e̞ r o̞ n æ y̯ t̪ː ø̞
numeropallo	n u m e̞ r o̞ p ɑ lː o̞
numerotaulu	n u m e̞ r o̞ t̪ ɑ u̯ l u
numerotieto	n u m e̞ r o̞ t̪ i e̞̯ t̪ o̞
numerovalitsin	n u m e̞ r o̞ ʋ ɑ l i t s̠ i n
nummi	n u mː i
nuo	n u o̞̯
nuode	n u o̞̯ d e̞ ʔ
nuohousharja	n u o̞̯ ɦ o̞ u s̠ h ɑ r j ɑ
nuohouspiiri	n u o̞̯ ɦ o̞ u s̠ p iː r i
nuokkua	n u o̞̯ kː u ɑ ʔ
nuokuksiin	n u o̞̯ k u k s̠ iː n
nuokuksissa	n u o̞̯ k u k s̠ i s̠ː ɑ
nuoleminen	n u o̞̯ l e̞ m i n e̞ n
nuolenpääkirjoitus	n u o̞̯ l e̞ m p æː k i r j o̞ i̯ t̪ u s̠
nuoli	n u o̞̯ l i
nuolihaukka	n u o̞̯ l i h ɑ u̯ kː ɑ
nuolijuna	n u o̞̯ l i j u n ɑ
nuolimyrkkysammakko	n u o̞̯ l i m y r kː y s̠ ɑ mː ɑ kː o̞
nuolla	n u o̞̯ lː ɑ ʔ
nuollen	n u o̞̯ lː e̞ n
nuora	n u o̞̯ r ɑ
nuorakeraaminen	n u o̞̯ r ɑ k e̞ r ɑː m i n e̞ n
nuorakeramiikka	n u o̞̯ r ɑ k e̞ r ɑ m iː kː ɑ
nuoremmakseen	n u o̞̯ r e̞ m m ɑ k s̠ e̞ː n
nuoremmuuttaan	n u o̞̯ r e̞ m m uː t̪ː ɑː n
nuori	n u o̞̯ r i
nuorikarja	n u o̞̯ r i k ɑ r j ɑ
nuorimies	n u o̞̯ r i m i e̞̯ s̠
nuoripari	n u o̞̯ r i p ɑ r i
nuorisoasema	n u o̞̯ r i s̠ o̞ ɑ s̠ e̞ m ɑ
nuorisoasiainneuvos	n u o̞̯ r i s̠ o̞ ɑ s̠ i ɑ i̯ n n e̞ u̯ ʋː o̞ s̠
nuorisokerho	n u o̞̯ r i s̠ o̞ k e̞ r h o̞
nuorisokulttuuri	n u o̞̯ r i s̠ o̞ k u l t̪ː uː r i
nuorisopoliisi	n u o̞̯ r i s̠ o̞ p o̞ l iː s̠ i
nuorisotilat	n u o̞̯ r i s̠ o̞ t̪ i l ɑ t̪
nuorittajoki	n u o̞̯ r i t̪ː ɑ j o̞ k i
nuorkarja	n u o̞̯ r k ɑ r j ɑ
nuorkauppakamari	n u o̞̯ r k ɑ u̯ pː ɑ k ɑ m ɑ r i
nuoruuskausi	n u o̞̯ r uː s̠ k ɑ u̯ s̠ i
nuoruusvuosi	n u o̞̯ r uː s̠ ʋ u o̞̯ s̠ i
nuoskakeli	n u o̞̯ s̠ k ɑ k e̞ l i
nuoskasää	n u o̞̯ s̠ k ɑ s̠ æː
nuotanveto	n u o̞̯ t̪ ɑ n ʋ e̞ t̪ o̞
nuotinlukutaito	n u o̞̯ t̪ i n l u k u t̪ ɑ i̯ t̪ o̞
nuotinnos	n u o̞̯ t̪ i nː o̞ s̠
nuotinpää	n u o̞̯ t̪ i m p æː
nuotintaa	n u o̞̯ t̪ i n̪ t̪ ɑː
nuotinvarsi	n u o̞̯ t̪ i n ʋ ɑ r s̠ i
nuotiopiiri	n u o̞̯ t̪ i o̞ p iː r i
nuotiotuli	n u o̞̯ t̪ i o̞ t̪ u l i
nuotisto	n u o̞̯ t̪ i s̠ t̪ o̞
nuotta	n u o̞̯ t̪ː ɑ
nuottakota	n u o̞̯ t̪ː ɑ k o̞ t̪ ɑ
nuotti	n u o̞̯ t̪ː i
nuottiarvo	n u o̞̯ t̪ː i ɑ r ʋ o̞
nupouttaa	n u p o̞ u t̪ː ɑː ʔ
nuppisara	n u pː i s̠ ɑ r ɑ
nureissaan	n u r e̞ i̯ s̠ː ɑː n
nurin	n u r i n
nurinkurisesti	n u r i ŋ k u r i s̠ e̞ s̠ t̪ i ʔ
nurjasti	n u r j ɑ s̠ t̪ i ʔ
nurkakkain	n u r k ɑ kː ɑ i̯ n
nurkikkain	n u r k i kː ɑ i̯ n
nurkilla	n u r k i lː ɑ
nurkille	n u r k i lː e̞ ʔ
nurkittain	n u r k i t̪ː ɑ i̯ n
nurkka	n u r kː ɑ
nurkkahylly	n u r kː ɑ h y lː y
nurkkakaappi	n u r kː ɑ k ɑː pː i
nurkkakivi	n u r kː ɑ k i ʋ i
nurkkalista	n u r kː ɑ l i s̠ t̪ ɑ
nurkkasalvostekniikka	n u r kː ɑ s̠ ɑ l ʋ o̞ s̠ t̪ e̞ k n iː kː ɑ
nurkua	n u r k u ɑ ʔ
nurmekselainen	n u r m e̞ k s̠ e̞ l ɑ i n e̞ n
nurmes	n u r m e̞ s̠
nurmeslainen	n u r m e̞ s̠ l ɑ i n e̞ n
nurmi	n u r m i
nurmijärveläinen	n u r m i j æ r ʋ e̞ l æ i n e̞ n
nurmijärvi	n u r m i j æ r ʋ i
nurmijärvinen	n u r m i j æ r ʋ i n e̞ n
nurmilaukka	n u r m i l ɑ u̯ kː ɑ
nurminata	n u r m i n ɑ t̪ ɑ
nurminen	n u r m i n e̞ n
nurmipallo	n u r m i p ɑ lː o̞
nurmipora	n u r m i p o̞ r ɑ
nussia	n u s̠ː i ɑ ʔ
nussiminen	n u s̠ː i m i n e̞ n
nuta	n u t̪ ɑ
nutiluu	n u t̪ i l uː
nutriaturkki	n u t̪ r i ɑ t̪ u r kː i
nutrigenomiikka	n u t̪ r i ɡ e̞ n o̞ m iː kː ɑ
nuudeli	n uː d e̞ l i
nuuduksissa	n uː d u k s̠ i s̠ː ɑ
nuukasti	n uː k ɑ s̠ t̪ i ʔ
nuupi	n uː p i
nuuska	n uː s̠ k ɑ
nuuskasarvi	n uː s̠ k ɑ s̠ ɑ r ʋ i
nuutti	n uː t̪ː i
nuuttipukki	n uː t̪ː i p u kː i
nyhjöttää	n y ç j ø̞ t̪ː æː ʔ
nyhtäminen	n y ç t̪ æ m i n e̞ n
nyhtää	n y ç t̪ æː ʔ
nyhtökaura	n y ç t̪ ø̞ k ɑ u̯ r ɑ
nyhälaitainen	n y ɦ æ l ɑ i̯ t̪ ɑ i̯ n e̞ n
nyit	n y i̯ t̪
nykerö	n y k e̞ r ø̞
nykiä	n y k i æ ʔ
nykki	n y kː i
nykyaika	n y k y ɑ i̯ k ɑ
nykyarvo	n y k y ɑ r ʋ o̞
nykyiselleen	n y k y i̯ s̠ e̞ lː e̞ː n
nykyjään	n y k y j æː n
nykykehitys	n y k y k e̞ ɦ i t̪ y s̠
nykykulttuuri	n y k y k u l t̪ː uː r i
nykymarkka	n y k y m ɑ r kː ɑ
nykyolot	n y k y o̞ l o̞ t̪
nykyperinne	n y k y p e̞ r i nː e̞ ʔ
nykyraha	n y k y r ɑ ɦ ɑ
nykytysharja	n y k y t̪ y s̠ h ɑ r j ɑ
nykyä	n y k y æ
nykä	n y k æ
nykäyksittäin	n y k æ y k s̠ i t̪ː æ i n
nylkeä	n y l k e̞ æ ʔ
nymfi	n y m f i
nypläystyyny	n y p l æ y s̠ t̪ yː n y
nyppiä	n y pː i æ ʔ
nyppyyntyä	n y pː yː n t̪ y æ ʔ
nypätä	n y p æ t̪ æ ʔ
nyreissään	n y r e̞ i̯ s̠ː æː n
nyreästi	n y r e̞ æ s̠ t̪ i ʔ
nyrhi	n y r h i
nyrhiä	n y r h i æ
nyrhiä	n y r h i æ ʔ
nyrkkeillä	n y r kː e̞ i̯ lː æ ʔ
nyrkki	n y r kː i
nyrkkirieska	n y r kː i r i e̞̯ s̠ k ɑ
nyrpeissään	n y r p e̞ i̯ s̠ː æː n
nyrpeästi	n y r p e̞ æ s̠ t̪ i ʔ
nyrpistellä	n y r p i s̠ t̪ e̞ lː æ ʔ
nyrpistyä	n y r p i s̠ t̪ y æ ʔ
nysse	n y s̠ː e̞
nystagmus	n y s̠ t̪ ɑ ɡ m u s̠
nysä	n y s̠ æ
nyt	n y t̪
nytkyttää	n y t̪ k y t̪ː æː ʔ
nyy	n yː
nyykähtää	n yː k æ h t̪ æː ʔ
nyyrikki	n yː r i kː i
nyytinki	n yː t̪ i ŋ k i
nyyttärit	n yː t̪ː æ r i t̪
nyökähtää	n y ø̞̯ k æ h t̪ æː ʔ
nyörittää	n y ø̞̯ r i t̪ː æː ʔ
näen	n æ e̞ n
näennäinen	n æ e̞ n n æ i n e̞ n
näennäissatunnaislukugeneraattori	n æ e̞ nː æ i̯ s̠ s̠ ɑ t̪ u nː ɑ i̯ s̠ l u k u ɡ e̞ n e̞ r ɑː t̪ː o̞ r i
näennäisteho	n æ e̞ nː æ i̯ s̠ t̪ e̞ ɦ o̞
näennäisvoima	n æ e̞ nː æ i̯ s̠ ʋ o̞ i̯ m ɑ
näet	n æ e̞ t̪
nähdä	n æ h d æ ʔ
nähdään	n æ h d æː n
nähtäneen	n æ h t̪ æ n e̞ː n
nähtäviin	n æ h t̪ æ ʋ iː n
nähtäville	n æ h t̪ æ ʋ i lː e̞ ʔ
nähtävillä	n æ h t̪ æ ʋ i lː æ
nähtävissä	n æ h t̪ æ ʋ i s̠ː æ
nähtävyys	n æ h t̪ æ ʋ yː s̠
näiden	n æ i̯ d e̞ n
näitten	n æ i̯ t̪ː e̞ n
näkemiin	n æ k e̞ m iː n
näkemistapa	n æ k e̞ m i s̠ t̪ ɑ p ɑ
näkki	n æ kː i
näky	n æ k y
näkymättömiin	n æ k y m æ t̪ː ø̞ m iː n
näkymättömissä	n æ k y m æ t̪ː ø̞ m i s̠ː æ
näkymättömyys	n æ k y m æ t̪ː ø̞ m yː s̠
näkyville	n æ k y ʋ i lː e̞ ʔ
näkyvillä	n æ k y ʋ i lː æ
näkyviltä	n æ k y ʋ i l t̪ æ
näkyvyysalue	n æ k y ʋ yː s̠ ɑ l u e̞ ʔ
näkyä	n æ k y æ
näkyä	n æ k y æ ʔ
näkäräiset	n æ k æ r æ i s̠ e̞ t̪
näkö	n æ k ø̞
näköalahissi	n æ k ø̞ ɑ l ɑ h i s̠ː i
näköinen	n æ k ø̞ i̯ n e̞ n
näköispainos	n æ k ø̞ i̯ s̠ p ɑ i̯ n o̞ s̠
näkökartio	n æ k ø̞ k ɑ r t̪ i o̞
näköpurppura	n æ k ø̞ p u r pː u r ɑ
näkösälle	n æ k ø̞ s̠ æ lː e̞ ʔ
näkösällä	n æ k ø̞ s̠ æ lː æ
näkösältä	n æ k ø̞ s̠ æ l t̪ æ
näkötorni	n æ k ø̞ t̪ o̞ r n i
nälissään	n æ l i s̠ː æː n
nälkä	n æ l k æ
nälkäpalkka	n æ l k æ p ɑ l kː ɑ
nälviä	n æ l ʋ i æ ʔ
nälänhätä	n æ l æ n h æ t̪ æ
näläntunne	n æ l æ n t̪ u nː e̞ ʔ
nämä	n æ m æ
nänni	n æ nː i
nännipiha	n æ nː i p i ɦ ɑ
näperrellä	n æ p e̞ r r e̞ lː æ ʔ
näpistellä	n æ p i s̠ t̪ e̞ lː æ ʔ
näplätä	n æ p l æ t̪ æ ʔ
näppi	n æ pː i
näppäinnauhuri	n æ pː æ i̯ n n ɑ u̯ ɦ u r i
näppäinyhdistelmä	n æ pː æ i̯ n y ç d i s̠ t̪ e̞ l m æ
näppärästi	n æ pː æ r æ s̠ t̪ i ʔ
näpräillä	n æ p r æ i̯ lː æ ʔ
näprätä	n æ p r æ t̪ æ ʔ
näpsyttää	n æ p s̠ y t̪ː æː ʔ
näpsä	n æ p s̠ æ
näpsäkkä	n æ p s̠ æ kː æ
näpsäkästi	n æ p s̠ æ k æ s̠ t̪ i ʔ
näpsästi	n æ p s̠ æ s̠ t̪ i ʔ
näpsäyttää	n æ p s̠ æ y t̪ː æː ʔ
näpy	n æ p y
näpäkkä	n æ p æ kː æ
näpäkästi	n æ p æ k æ s̠ t̪ i ʔ
näpätä	n æ p æ t̪ æ ʔ
näpäytellä	n æ p æ y t̪ e̞ lː æ ʔ
näpäyttää	n æ p æ y t̪ː æː ʔ
näre	n æ r e̞ ʔ
näreä	n æ r e̞ æ
närpiö	n æ r p i ø̞
närpiöläinen	n æ r p i ø̞ l æ i n e̞ n
näsiä	n æ s̠ i æ
näskäin	n æ s̠ k æ i̯ n
nätisti	n æ t̪ i s̠ t̪ i ʔ
näy	n æ y̯ ʔ
näykkiä	n æ y̯ kː i æ ʔ
näykätä	n æ y̯ k æ t̪ æ ʔ
näyte	n æ y̯ t̪ e̞ ʔ
näyteastia	n æ y̯ t̪ e̞ ʔ ɑ s̠ t̪ i ɑ
näytellä	n æ y̯ t̪ e̞ lː æ ʔ
näytelmällinen	n æ y̯ t̪ e̞ l m æ lː i n e̞ n
näytenopeus	n æ y̯ t̪ e̞ n n o̞ p e̞ u s̠
näytepullo	n æ y̯ t̪ e̞ p̚ p u lː o̞
näytetään	n æ y̯ t̪ e̞ t̪ æː n
näyteväli	n æ y̯ t̪ e̞ ʋ ʋ æ l i
näytille	n æ y̯ t̪ i lː e̞ ʔ
näytillä	n æ y̯ t̪ i lː æ
näytin	n æ y̯ t̪ i n
näytteenottotaajuus	n æ y̯ t̪ː e̞ː n o̞ t̪ː o̞ t̪ ɑː j uː s̠
näytteille	n æ y̯ t̪ː e̞ i̯ lː e̞ ʔ
näytteillä	n æ y̯ t̪ː e̞ i̯ lː æ
näytteistys	n æ y̯ t̪ː e̞ i̯ s̠ t̪ y s̠
näytteistystaajuus	n æ y̯ t̪ː e̞ i̯ s̠ t̪ y s̠ t̪ ɑː j uː s̠
näytteleminen	n æ y̯ t̪ː e̞ l e̞ m i n e̞ n
näyttelijä	n æ y̯ t̪ː e̞ l i j æ
näyttelijätär	n æ y̯ t̪ː e̞ l i j æ t̪ æ r
näyttely	n æ y̯ t̪ː e̞ l y
näyttelyalue	n æ y̯ t̪ː e̞ l y ɑ l u e̞ ʔ
näyttelyarkkitehtuuri	n æ y̯ t̪ː e̞ l y ɑ r kː i t̪ e̞ h t̪ uː r i
näyttelyarvostelu	n æ y̯ t̪ː e̞ l y ɑ r ʋ o̞ s̠ t̪ e̞ l u
näyttelyjulkaisu	n æ y̯ t̪ː e̞ l y j u l k ɑ i̯ s̠ u
näyttelykissa	n æ y̯ t̪ː e̞ l y k i s̠ː ɑ
näyttelykoira	n æ y̯ t̪ː e̞ l y k o̞ i̯ r ɑ
näyttelyluettelo	n æ y̯ t̪ː e̞ l y l u e̞ t̪ t̪ e̞ l o̞
näyttelysali	n æ y̯ t̪ː e̞ l y s̠ ɑ l i
näyttelysuunnittelu	n æ y̯ t̪ː e̞ l y s̠ uː nː i t̪ t̪ e̞ l u
näyttelytekniikka	n æ y̯ t̪ː e̞ l y t̪ e̞ k n iː kː ɑ
näyttelytoiminta	n æ y̯ t̪ː e̞ l y t̪ o̞ i̯ m i n̪ t̪ ɑ
näyttelyvaihto	n æ y̯ t̪ː e̞ l y ʋ ɑ i̯ ç t̪ o̞
näyttäköön	n æ y̯ t̪ː æ k ø̞ː n
näyttäminen	n æ y̯ t̪ː æ m i n e̞ n
näyttämötaiteilija	n æ y̯ t̪ː æ m ø̞ t̪ ɑ i̯ t̪ e̞ i̯ l i j ɑ
näyttämötekniikka	n æ y̯ t̪ː æ m ø̞ t̪ e̞ k n iː kː ɑ
näyttäytyä	n æ y̯ t̪ː æ y t̪ y æ ʔ
näyttää	n æ y̯ t̪ː æː ʔ
näyttö	n æ y̯ t̪ː ø̞
näyttöalue	n æ y̯ t̪ː ø̞ ɑ l u e̞ ʔ
näyttökoe	n æ y̯ t̪ː ø̞ k o̞ e̞ ʔ
näyttökuva	n æ y̯ t̪ː ø̞ k u ʋ ɑ
näyttölevy	n æ y̯ t̪ː ø̞ l e̞ ʋ y
näyttölippu	n æ y̯ t̪ː ø̞ l i pː u
näyttöluettelo	n æ y̯ t̪ː ø̞ l u e̞ t̪ t̪ e̞ l o̞
näyttöpääte	n æ y̯ t̪ː ø̞ p æː t̪ e̞ ʔ
näyttöresoluutio	n æ y̯ t̪ː ø̞ r e̞ s̠ o̞ l uː t̪ i o̞
näyttösuoja	n æ y̯ t̪ː ø̞ s̠ u o̞̯ j ɑ
näyttötaulu	n æ y̯ t̪ː ø̞ t̪ ɑ u̯ l u
näyttötila	n æ y̯ t̪ː ø̞ t̪ i l ɑ
näyttötutkinto	n æ y̯ t̪ː ø̞ t̪ u t̪ k i n̪ t̪ o̞
näyttövekseli	n æ y̯ t̪ː ø̞ ʋ e̞ k s̠ e̞ l i
näyttövelvollisuus	n æ y̯ t̪ː ø̞ ʋ e̞ l ʋ o̞ l l i s̠ uː s̠
näytäntövuosi	n æ y̯ t̪ æ n̪ t̪ ø̞ ʋ u o̞̯ s̠ i
näytönsuoja	n æ y̯ t̪ ø̞ n s̠ u o̞̯ j ɑ
näytönsuojakalvo	n æ y̯ t̪ ø̞ n s̠ u o̞̯ j ɑ k ɑ l ʋ o̞
näytönsuojus	n æ y̯ t̪ ø̞ n s̠ u o̞̯ j u s̠
näytönsäästäjä	n æ y̯ t̪ ø̞ n s̠ æː s̠ t̪ æ j æ
näytös	n æ y̯ t̪ ø̞ s̠
näytöslaji	n æ y̯ t̪ ø̞ s̠ l ɑ j i
näälä	n æː l æ
näännyksiin	n æː nː y k s̠ iː n
näännyksissä	n æː nː y k s̠ i s̠ː æ
nääntyä	n æː n̪ t̪ y æ ʔ
näätä	n æː t̪ æ
näätäkahvi	n æː t̪ æ k ɑ x ʋ i
nörtti	n ø̞ r t̪ː i
nötkötti	n ø̞ t̪ k ø̞ t̪ː i
nöyhtäytyä	n ø̞ y̯ ç t̪ æ y t̪ y æ ʔ
nöyhtääntyä	n ø̞ y̯ ç t̪ æː n t̪ y æ ʔ
nöyrä	n ø̞ y̯ r æ
oas	o̞ ɑ s̠
obduktio	o̞ b d u k t̪ i o̞
obeliski	o̞ b e̞ l i s̠ k i
objekti	o̞ b j e̞ k t̪ i
objektiivi	o̞ b j e̞ k t̪ iː ʋ i
objektiivisuus	o̞ b j e̞ k t̪ iː ʋ i s̠ uː s̠
oblaatti	o̞ b l ɑː t̪ː i
oblasti	o̞ b l ɑ s̠ t̪ i
obligaatio	o̞ b l i ɡ ɑː t̪ i o̞
obliikvi	o̞ b l iː k ʋ i
observaabeli	o̞ b s̠ e̞ r ʋ ɑː b e̞ l i
odottaa	o̞ d o̞ t̪ː ɑː ʔ
odotus	o̞ d o̞ t̪ u s̠
ofikleidi	o̞ f i k l e̞ i d i
