サス	s ä s ɯ̥ᵝ
ちちゅう	t͡ɕ i t͡ɕ ɨᵝ
ちちゅ	t͡ɕ i ɕ ɨᵝ
ちじょ	t͡ɕ i ʑ o̞
ちじょうえ	t͡ɕ i ʑ o̞ː e̞
ちじょうは	t͡ɕ i ʑ o̞ː h a̠
ちず	t͡ɕ i z ɨᵝ
ちせい	t͡ɕ i̥ s e̞ː
ちせいがく	t͡ɕ i̥ s e̞ː ɡ a̠ k ɯ̟ᵝ
ちせつ	t͡ɕ i s e̞ t͡s ɨᵝ
ちそう	t͡ɕ i̥ s o̞ː
ちたい	t͡ɕ i t a̠ i
ちたいくう	t͡ɕ i t a̠ i k ɯ̟ᵝː
チタン	t͡ɕ i̥ t ã̠ ɴ
ちちおさえ	t͡ɕ i̥ t͡ɕ i o̞ s a̠ e̞
ちちおや	t͡ɕ i̥ t͡ɕ i o̞ j a̠
ちちくりあう	t͡ɕ i t͡ɕ i k ɯ̟ᵝ ɾʲ i a̠ ɯ̟ᵝ
ちばなれ	t͡ɕ i b a̠ n a̠ ɾ e̞
ちちばなれ	t͡ɕ i t͡ɕ i b a̠ n a̠ ɾ e̞
ちちゅうかい	t͡ɕ i̥ t͡ɕ ɨᵝː k a̠ i
ちぢかまる	t͡ɕ i ʑ i k a̠ m a̠ ɾ ɯ̟ᵝ
ちぢかむ	t͡ɕ i ʑ i k a̠ m ɯ̟ᵝ
ちぢこまる	t͡ɕ i ʑ i k o̞ m a̠ ɾ ɯ̟ᵝ
チヂミ	t͡ɕ i ʑ i mʲ i
ちっこい	t͡ɕ i̥ k̚ k o̞ i
ちっそ	t͡ɕ i sː o̞
ちっちゃい	t͡ɕ i̥ t̚ t͡ɕ a̠ i
チップ	t͡ɕ i p̚ p ɯ̟ᵝ
ちつじょ	t͡ɕ i t͡s ɨᵝ ʑ o̞
ちつじょ	t͡ɕ i t͡s ɨᵝ ʑ o̞
ちていじん	t͡ɕ i t e̞ː ʑ ĩ ɴ
ちてき	t͡ɕ i t e̞ kʲ i
ちと	t͡ɕ i t o̞
ちとせ	t͡ɕ i̥ t o̞ s e̞
ちどうせつ	t͡ɕ i d o̞ː s e̞ t͡s ɨᵝ
ちどり	t͡ɕ i d o̞ ɾʲ i
ちどりあし	t͡ɕ i d o̞ ɾʲ i a̠ ɕ i
ちどん	t͡ɕ i d õ̞ ɴ
ちな	t͡ɕ i n a̠
ちにく	t͡ɕ i ɲ̟ i k ɯ̟ᵝ
じねずみ	d͡ʑ i n e̞ z ɨᵝ mʲ i
ジネズミ	t͡ɕ i n e̞ z ɨᵝ mʲ i
ちのう	t͡ɕ i n o̞ː
ちのり	t͡ɕ i n o̞ ɾʲ i
ちはや	t͡ɕ i h a̠ j a̠
ちば	t͡ɕ i b a̠
ちばけん	t͡ɕ i b a̠ k ẽ̞ ɴ
ちばしる	t͡ɕ i b a̠ ɕ i ɾ ɯ̟ᵝ
ちび	t͡ɕ i bʲ i
ちびっこ	t͡ɕ i bʲ i k̚ k o̞
ちびる	t͡ɕ i bʲ i ɾ ɯ̟ᵝ
チフス	t͡ɕ i ɸ ɯ̟ᵝ s ɨᵝ
ちへいせん	t͡ɕ i h e̞ː s ẽ̞ ɴ
ちほう	t͡ɕ i h o̞ː
ちほうし	t͡ɕ i h o̞ː ɕ i
ちまき	t͡ɕ i m a̠ kʲ i
ちまなこ	t͡ɕ i m a̠ n a̠ k o̞
すたま	s ɨᵝ t a̠ m a̠
すだま	s ɨᵝ d a̠ m a̠
ちみ	t͡ɕ i mʲ i
ちみどろ	t͡ɕ i mʲ i d o̞ ɾ o̞
ちみもうりょう	t͡ɕ i mʲ i m o̞ː ɾʲ o̞ː
ちめ	t͡ɕ i m e̞
ちめい	t͡ɕ i m e̞ː
ちめいがく	t͡ɕ i m e̞ː ɡ a̠ k ɯ̟ᵝ
ちめいてき	t͡ɕ i m e̞ː t e̞ kʲ i
ちめいど	t͡ɕ i m e̞ː d o̞
チャ	t͡ɕ a̠
ちゃ	t͡ɕ a̠
ヂャ	d͡ʑ a̠
チャーシュー	t͡ɕ a̠ː ɕ ɨᵝː
チャーシューメン	t͡ɕ a̠ː ɕ ɨᵝː m ẽ̞ ɴ
チャーハン	t͡ɕ a̠ː h ã̠ ɴ
チャーメン	t͡ɕ a̠ː m ẽ̞ ɴ
ちゃいろ	t͡ɕ a̠ i ɾ o̞
チャウダー	t͡ɕ a̠ ɯ̟ᵝ d a̠ː
ちょうしゅう	t͡ɕ o̞ː ɕ ɨᵝː
チャオチョウ	t͡ɕ a̠ o̞ t͡ɕ o̞ː
ちゃかす	t͡ɕ a̠ k a̠ s ɨᵝ
さかん	s a̠ k ã̠ ɴ
ちゃかん	t͡ɕ a̠ k ã̠ ɴ
ちゃき	t͡ɕ a̠ kʲ i
ちゃくうた	t͡ɕ a̠ k ɯ̟ᵝ ɯ̟ᵝ t a̠
こなみ	k o̞ n a̠ mʲ i
てきさい	t e̞ kʲ i s a̠ i
むかいめ	m ɯ̟ᵝ k a̠ i m e̞
ちゃくさい	t͡ɕ a̠ k ɯ̟ᵝ s a̠ i
ちゃくすい	t͡ɕ a̠ k ɯ̟ᵝ s ɨᵝ i
ちゃくせい	t͡ɕ a̠ k ɯ̟̊ᵝ s e̞ː
ちゃくせき	t͡ɕ a̠ k ɯ̟ᵝ s e̞ kʲ i
ちゃくメロ	t͡ɕ a̠ k ɯ̟ᵝ m e̞ ɾ o̞
ちゃくもく	t͡ɕ a̠ k ɯ̟ᵝ m o̞ k ɯ̟ᵝ
チャクラ	t͡ɕ a̠ k ɯ̟ᵝ ɾ a̠
チャクラム	t͡ɕ a̠ k ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ
チャタヌーガ	t͡ɕ a̠ t a̠ n ɯ̟ᵝː ɡ a̠
チャツパ	t͡ɕ a̠ t͡s ɨᵝ p a̠
ちゃづけ	t͡ɕ a̠ z ɨᵝ k e̞
チャド	t͡ɕ a̠ d o̞
ちゃのゆ	t͡ɕ a̠ n o̞ j ɯ̟ᵝ
ちゃばしら	t͡ɕ a̠ b a̠ ɕ i ɾ a̠
ちゃばたけ	t͡ɕ a̠ b a̠ t a̠ k e̞
ちゃば	t͡ɕ a̠ b a̠
ちゃよう	t͡ɕ a̠ j o̞ː
ちゃら	t͡ɕ a̠ ɾ a̠
チャラい	t͡ɕ a̠ ɾ a̠ i
ちゃらちゃら	t͡ɕ a̠ ɾ a̠ t͡ɕ a̠ ɾ a̠
チャリ	t͡ɕ a̠ ɾʲ i
チャリオット	t͡ɕ a̠ ɾʲ i o̞ t̚ t o̞
さとつ	s a̠ t o̞ t͡s ɨᵝ
さない	s a̠ n a̠ i
チャルメラ	t͡ɕ a̠ ɾ ɯ̟ᵝ m e̞ ɾ a̠
チャレンジ	t͡ɕ a̠ ɾ ẽ̞ ɲ̟ d͡ʑ i
ちゃわん	t͡ɕ a̠ ɰᵝ ã̠ ɴ
チャンス	t͡ɕ ã̠ ɰ̃ s ɨᵝ
チャンネル	t͡ɕ ã̠ nː e̞ ɾ ɯ̟ᵝ
チャンピオン	t͡ɕ ã̠ m pʲ i õ̞ ɴ
チャンピオンシップ	t͡ɕ ã̠ m pʲ i õ̞ ɰ̃ ɕ i̥ p̚ p ɯ̟ᵝ
チャンプ	t͡ɕ ã̠ m p ɯ̟ᵝ
チャンプルー	t͡ɕ ã̠ m p ɯ̟ᵝ ɾ ɯ̟ᵝː
ちゃんぽん	t͡ɕ ã̠ m p õ̞ ɴ
ちやほや	t͡ɕ i j a̠ h o̞ j a̠
チュ	t͡ɕ ɨᵝ
ヂュ	d͡ʑ ɨᵝ
くりや	k ɯ̟ᵝ ɾʲ i j a̠
ちゅう	t͡ɕ ɨᵝː
ちゅうい	t͡ɕ ɨᵝː i
ちゅういがく	t͡ɕ ɨᵝː i ɡ a̠ k ɯ̟̊ᵝ
ちゅうう	t͡ɕ ɨᵝː ɯ̟ᵝ
ちゅうおう	t͡ɕ ɨᵝː o̞ː
ちゅうおう	t͡ɕ ɨᵝː o̞ː
ちゅうかい	t͡ɕ ɨᵝː k a̠ i
ちゅうかい	t͡ɕ ɨᵝː k a̠ i
ちゅうかタイペイ	t͡ɕ ɨᵝː k a̠ t a̠ i p e̞ː
ちゅうかなべ	t͡ɕ ɨᵝː k a̠ n a̠ b e̞
ちゅうから	t͡ɕ ɨᵝː k a̠ ɾ a̠
ちゅうかんけん	t͡ɕ ɨᵝː k ã̠ ŋ k ẽ̞ ɴ
ちゅうかんし	t͡ɕ ɨᵝː k ã̠ ɰ̃ ɕ i
ちゅうかんそう	t͡ɕ ɨᵝː k ã̠ ɰ̃ s o̞ː
ちゅうがく	t͡ɕ ɨᵝː ɡ a̠ k ɯ̟ᵝ
ちゅうがっこう	t͡ɕ ɨᵝː ɡ a̠ k̚ k o̞ː
ちゅうきんとう	t͡ɕ ɨᵝː kʲ ĩ n t o̞ː
ちゅうけんしゅ	t͡ɕ ɨᵝː k ẽ̞ ɰ̃ ɕ ɨᵝ
ちゅうこう	t͡ɕ ɨᵝː k o̞ː
ちゅうこく	t͡ɕ ɨᵝː k o̞ k ɯ̟ᵝ
ちゅうごく	t͡ɕ ɨᵝː ɡ o̞ k ɯ̟ᵝ
ちゅうごくか	t͡ɕ ɨᵝː ɡ o̞ k ɯ̟ᵝ k a̠
ちゅうごくご	t͡ɕ ɨᵝː ɡ o̞ k ɯ̟ᵝ ɡ o̞
ちゅうごくじん	t͡ɕ ɨᵝː ɡ o̞ k ɯ̟ᵝ ʑ ĩ ɴ
ちゅうさ	t͡ɕ ɨᵝː s a̠
ちゅうさいにん	t͡ɕ ɨᵝː s a̠ i ɲ̟ ĩ ɴ
なかゆび	t͡ɕ ɨᵝː ɕ i
なかゆび	t͡ɕ ɨᵝː ɕ i
ちゅうしゃ	t͡ɕ ɨᵝː ɕ a̠
ちゅうしゃ	t͡ɕ ɨᵝː ɕ a̠
ちゅうしゃき	t͡ɕ ɨᵝː ɕ a̠ kʲ i
ちゅうしゃくしぎ	t͡ɕ ɨᵝː ɕ a̠ k ɯ̟̊ᵝ ɕ i ɡʲ i
ちゅうしゃじょう	t͡ɕ ɨᵝː ɕ a̠ ʑ o̞ː
ちゅうしょうが	t͡ɕ ɨᵝː ɕ o̞ː ɡ a̠
ちゅうしょく	t͡ɕ ɨᵝː ɕ o̞ k ɯ̟ᵝ
ちゅうしん	t͡ɕ ɨᵝː ɕ ĩ ɴ
なかみ	n a̠ k a̠ mʲ i
ちゅうしん	t͡ɕ ɨᵝː ɕ ĩ ɴ
ちゅうしん	t͡ɕ ɨᵝː ɕ ĩ ɴ
ちゅうじょう	t͡ɕ ɨᵝː ʑ o̞ː
ちゅうすい	t͡ɕ ɨᵝː s ɨᵝ i
ちゅうすい	t͡ɕ ɨᵝː s ɨᵝ i
ちゅうすいえん	t͡ɕ ɨᵝː s ɨᵝ i ẽ̞ ɴ
ちゅうすう	t͡ɕ ɨᵝː s ɨᵝː
ちゅうせい	t͡ɕ ɨᵝː s e̞ː
ちゅうせい	t͡ɕ ɨᵝː s e̞ː
ちゅうせいし	t͡ɕ ɨᵝː s e̞ː ɕ i
ちゅうせいしせい	t͡ɕ ɨᵝː s e̞ː ɕ i̥ s e̞ː
ちゅうせいしん	t͡ɕ ɨᵝː s e̞ː ɕ ĩ ɴ
ちゅうせいだい	t͡ɕ ɨᵝː s e̞ː d a̠ i
なかじたぼいん	n a̠ k a̠ ʑ i t a̠ b o̞ ĩ ɴ
ちゅうぜつぼいん	t͡ɕ ɨᵝː z e̞ t͡s ɨᵝ b o̞ ĩ ɴ
ちゅうたい	t͡ɕ ɨᵝː t a̠ i
ちゅうちょ	t͡ɕ ɨᵝː t͡ɕ o̞
ちゅうてつ	t͡ɕ ɨᵝː t e̞ t͡s ɨᵝ
ちゅうでんきん	t͡ɕ ɨᵝː d ẽ̞ ŋʲ kʲ ĩ ɴ
ちゅうとう	t͡ɕ ɨᵝː t o̞ː
ちゅうとう	t͡ɕ ɨᵝː t o̞ː
ちゅうとう	t͡ɕ ɨᵝː t o̞ː
チュートリアル	t͡ɕ ɨᵝː t o̞ ɾʲ i a̠ ɾ ɯ̟ᵝ
ちゅうとん	t͡ɕ ɨᵝː t õ̞ ɴ
ちゅうどくせい	t͡ɕ ɨᵝː d o̞ k ɯ̟ᵝ s e̞ː
ちゅうなごん	t͡ɕ ɨᵝː n a̠ ɡ õ̞ ɴ
ちゅうにびょう	t͡ɕ ɨᵝː ɲ̟ i bʲ o̞ː
ちゅうにん	t͡ɕ ɨᵝː ɲ̟ ĩ ɴ
チューバ	t͡ɕ ɨᵝː b a̠
ちゅうばち	t͡ɕ ɨᵝː b a̠ t͡ɕ i
ちゅうばん	t͡ɕ ɨᵝː b ã̠ ɴ
ちゅうひ	t͡ɕ ɨᵝː ç i
ちゅうふく	t͡ɕ ɨᵝː ɸ ɯ̟ᵝ k ɯ̟ᵝ
ちゅうや	t͡ɕ ɨᵝː j a̠
チューリップ	t͡ɕ ɨᵝː ɾʲ i p̚ p ɯ̟ᵝ
ちゅうりゃく	t͡ɕ ɨᵝː ɾʲ a̠ k ɯ̟ᵝ
チュール	t͡ɕ ɨᵝː ɾ ɯ̟ᵝ
ちゅうる	t͡ɕ ɨᵝː ɾ ɯ̟ᵝ
チュチュ	t͡ɕ ɨ̥ᵝ t͡ɕ ɨᵝ
チュニジア	t͡ɕ ɨᵝ ɲ̟ i ʑ i a̠
チュニス	t͡ɕ ɨᵝ ɲ̟ i s ɨᵝ
チュニック	t͡ɕ ɨᵝ ɲ̟ i k̚ k ɯ̟ᵝ
チュルク	t͡ɕ ɨᵝ ɾ ɯ̟ᵝ k ɯ̟ᵝ
なか	n a̠ k a̠
チュン	t͡ɕ ɨᵝː
ちゅんもう	t͡ɕ ɨ̃ᵝ mː o̞ː
ちゆ	t͡ɕ i j ɯ̟ᵝ
チョ	t͡ɕ o̞
ヂョ	d͡ʑ o̞
わた	ɰᵝ a̠ t a̠
はらわた	h a̠ ɾ a̠ ɰᵝ a̠ t a̠
ちょう	t͡ɕ o̞ː
ちょう	t͡ɕ o̞ː
ちょうい	t͡ɕ o̞ː i
ちょうおん	t͡ɕ o̞ː õ̞ ɴ
ちょうおんぷ	t͡ɕ o̞ː õ̞ m p ɯ̟ᵝ
ちょうか	t͡ɕ o̞ː k a̠
まちや	m a̠ t͡ɕ i j a̠
ちょうか	t͡ɕ o̞ː k a̠
ちょうか	t͡ɕ o̞ː k a̠
ちょうかい	t͡ɕ o̞ː k a̠ i
ちょうかんまく	t͡ɕ o̞ː k ã̠ mː a̠ k ɯ̟ᵝ
ちょうがたべん	t͡ɕ o̞ː ɡ a̠ t a̠ b ẽ̞ ɴ
ちょうきょり	t͡ɕ o̞ː kʲ o̞ ɾʲ i
ちょうげんじつ	t͡ɕ o̞ː ɡ ẽ̞ ɲ̟ d͡ʑ i t͡s ɨᵝ
ちょうこう	t͡ɕ o̞ː k o̞ː
じゅうこう	d͡ʑ ɨᵝː k o̞ː
ちょうこう	t͡ɕ o̞ː k o̞ː
ちょうこうせい	t͡ɕ o̞ː k o̞ː s e̞ː
ちょうこくぐざ	t͡ɕ o̞ː k o̞ k ɯ̟ᵝ ɡ ɯ̟ᵝ z a̠
ちょうこくしつざ	t͡ɕ o̞ː k o̞ k ɯ̟̊ᵝ ɕ i̥ t͡s ɨᵝ z a̠
ちょうさ	t͡ɕ o̞ː s a̠
ちょうさ	t͡ɕ o̞ː s a̠
ちょうざめ	t͡ɕ o̞ː z a̠ m e̞
ちょうざめ	t͡ɕ o̞ː z a̠ m e̞
ちょうしぜん	t͡ɕ o̞ː ɕ i z ẽ̞ ɴ
ちょうしつ	t͡ɕ o̞ː ɕ i t͡s ɨᵝ
ちょうしょ	t͡ɕ o̞ː ɕ o̞
ちょうしょう	t͡ɕ o̞ː ɕ o̞ː
ちょうしょく	t͡ɕ o̞ː ɕ o̞ k ɯ̟ᵝ
あそん	a̠ s õ̞ ɴ
あそう	a̠ s o̞ mʲ i
あっそん	t͡ɕ o̞ː ɕ ĩ ɴ
ちょうしん	t͡ɕ o̞ː ɕ ĩ ɴ
ちょうしんき	t͡ɕ o̞ː ɕ ĩ ŋʲ kʲ i
ちょうしんせい	t͡ɕ o̞ː ɕ ĩ ɰ̃ s e̞ː
ちょうしんりがく	t͡ɕ o̞ː ɕ ĩ n ɾʲ i ɡ a̠ k ɯ̟ᵝ
ちょうしんるこつ	t͡ɕ o̞ː ɕ ĩ n ɾ ɯ̟ᵝ k o̞ t͡s ɨᵝ
ちょうじ	t͡ɕ o̞ː ʑ i
ちょうじかん	t͡ɕ o̞ː ʑ i k ã̠ ɴ
ちょうじかん	t͡ɕ o̞ː ʑ i k ã̠ ɴ
ちょうじげん	t͡ɕ o̞ː ʑ i ɡ ẽ̞ ɴ
ちょうじゃ	t͡ɕ o̞ː ʑ a̠
ちょうじゅう	t͡ɕ o̞ː ʑ ɨᵝː
ちょうじょ	t͡ɕ o̞ː ʑ o̞
ちょうじょう	t͡ɕ o̞ː ʑ o̞ː
ちょうせき	t͡ɕ o̞ː s e̞ kʲ i
ちょうせきがく	t͡ɕ o̞ː s e̞ kʲ i ɡ a̠ k ɯ̟ᵝ
ちょうせん	t͡ɕ o̞ː s ẽ̞ ɴ
ちょうせん	t͡ɕ o̞ː s ẽ̞ ɴ
ちょうせんご	t͡ɕ o̞ː s ẽ̞ ŋ ɡ o̞
ちょうせんじん	t͡ɕ o̞ː s ẽ̞ ɲ̟ d͡ʑ ĩ ɴ
ちょうせんはんとう	t͡ɕ o̞ː s ẽ̞ ɰ̃ h ã̠ n t o̞ː
ちょうぜつ	t͡ɕ o̞ː z e̞ t͡s ɨᵝ
ちょうだい	t͡ɕ o̞ː d a̠ i
ちょうちょう	t͡ɕ o̞ː t͡ɕ o̞ː
チョウチョウ	t͡ɕ o̞ː t͡ɕ o̞
ちょうちょう	t͡ɕ o̞ː t͡ɕ o̞ː
ちょうちん	t͡ɕ o̞ː t͡ɕ ĩ ɴ
ちょうていしゅうはおん	t͡ɕ o̞ː t e̞ː ɕ ɨᵝː h a̠ õ̞ ɴ
なががたな	n a̠ ɡ a̠ k a̠ t a̠ n a̠
なががたな	n a̠ ɡ a̠ k a̠ t a̠ n a̠
ながかたな	t͡ɕ o̞ː t o̞ː
ながかたな	n a̠ ɡ a̠ k a̠ t a̠ n a̠
ちょうど	t͡ɕ o̞ː d o̞
ちょうど	t͡ɕ o̞ː d o̞
ちょうど	t͡ɕ o̞ː d o̞
ちょうなん	t͡ɕ o̞ː n ã̠ ɴ
ちょうにゅう	t͡ɕ o̞ː ɲ̟ ɯ̟ᵝː
ちょうにん	t͡ɕ o̞ː ɲ̟ ĩ ɴ
ちょうのうりょく	t͡ɕ o̞ː n o̞ː ɾʲ o̞ k ɯ̟ᵝ
ちょうのすけそう	t͡ɕ o̞ː n o̞ s ɨ̥ᵝ k e̞ s o̞ː
ちょうは	t͡ɕ o̞ː h a̠
ちょうはつ	t͡ɕ o̞ː h a̠ t͡s ɨᵝ
ちょうはつぞく	t͡ɕ o̞ː h a̠ t͡s ɨᵝ z o̞ k ɯ̟ᵝ
ちょうばつ	t͡ɕ o̞ː b a̠ t͡s ɨᵝ
ちょうつがい	t͡ɕ o̞ː t͡s ɨᵝ ɡ a̠ i
ちょうばん	t͡ɕ o̞ː b ã̠ ɴ
ちょうへん	t͡ɕ o̞ː h ẽ̞ ɴ
ちょうほう	t͡ɕ o̞ː h o̞ː
ちょうぼ	t͡ɕ o̞ː b o̞
ちょうめい	t͡ɕ o̞ː m e̞ː
ながめい	n a̠ ɡ a̠ m e̞ː
ちょうめい	t͡ɕ o̞ː m e̞ː
ちょうやく	t͡ɕ o̞ː j a̠ k ɯ̟ᵝ
ちょうよう	t͡ɕ o̞ː j o̞ː
ちょうり	t͡ɕ o̞ː ɾʲ i
ちょうりょう	t͡ɕ o̞ː ɾʲ o̞ː
ちょうりょく	t͡ɕ o̞ː ɾʲ o̞ k ɯ̟ᵝ
ちょうれい	t͡ɕ o̞ː ɾ e̞ː
ちょき	t͡ɕ o̞ kʲ i
ちょきんばこ	t͡ɕ o̞ kʲ ĩ m b a̠ k o̞
ちょくご	t͡ɕ o̞ k ɯ̟ᵝ ɡ o̞
ちょくし	t͡ɕ o̞ k ɯ̟̊ᵝ ɕ i
ちょくせつ	t͡ɕ o̞ k ɯ̟ᵝ s e̞ t͡s ɨᵝ
ちょくせつわほう	t͡ɕ o̞ k ɯ̟ᵝ s e̞ t͡s ɨᵝ ɰᵝ a̠ h o̞ː
ちょくぜん	t͡ɕ o̞ k ɯ̟ᵝ z ẽ̞ ɴ
ちょくちょう	t͡ɕ o̞ k ɯ̟ᵝ t͡ɕ o̞ː
ちょくちょう	t͡ɕ o̞ k ɯ̟ᵝ t͡ɕ o̞ː
ちょくとう	t͡ɕ o̞ k ɯ̟ᵝ t o̞ː
じきひつ	d͡ʑ i kʲ i ç i t͡s ɨᵝ
ちょくひつ	t͡ɕ o̞ k ɯ̟ᵝ ç i t͡s ɨᵝ
ちょくめん	t͡ɕ o̞ k ɯ̟ᵝ m ẽ̞ ɴ
ちょくりつ	t͡ɕ o̞ k ɯ̟ᵝ ɾʲ i t͡s ɨᵝ
ちょくりゅう	t͡ɕ o̞ k ɯ̟ᵝ ɾʲ ɨᵝː
チョコ	t͡ɕ o̞ k o̞
いぐち	i ɡ ɯ̟ᵝ t͡ɕ i
ちょく	t͡ɕ o̞ k ɯ̟ᵝ
ちょこ	t͡ɕ o̞ k o̞
チョコレート	t͡ɕ o̞ k o̞ ɾ e̞ː t o̞
ちょさくけんしんがい	t͡ɕ o̞ s a̠ k ɯ̟ᵝ k ẽ̞ ɰ̃ ɕ ĩ ŋ ɡ a̠ i
ちょすいち	t͡ɕ o̞ s ɨᵝ i t͡ɕ i
ちょっかく	t͡ɕ o̞ k̚ k a̠ k ɯ̟ᵝ
ちょっかく	t͡ɕ o̞ k̚ k a̠ k ɯ̟ᵝ
ちょっかっこう	t͡ɕ o̞ k̚ k a̠ k̚ k o̞ː
ちょっかん	t͡ɕ o̞ k̚ k ã̠ ɴ
ちょっかんてき	t͡ɕ o̞ k̚ k ã̠ n t e̞ kʲ i
チョッキ	t͡ɕ o̞ k̚ʲ kʲ i
ちょっけつ	t͡ɕ o̞ k̚ k e̞ t͡s ɨᵝ
チョット	t͡ɕ o̞ t̚ t o̞
チョベリグ	t͡ɕ o̞ b e̞ ɾʲ i ɡ ɯ̟ᵝ
チョベリバ	t͡ɕ o̞ b e̞ ɾʲ i b a̠
チョンリマ	t͡ɕ o̞ ɾ ɯ̟ᵝ ɾʲ i m a̠
チョンリマ	t͡ɕ o̞ ɾ ɯ̟ᵝ ɾʲ i m a̠
チョンガー	t͡ɕ õ̞ ŋ ɡ a̠ː
ちよまる	t͡ɕ i j o̞ m a̠ ɾ ɯ̟ᵝ
ちらっと	t͡ɕ i ɾ a̠ t̚ t o̞
ちらつく	t͡ɕ i ɾ a̠ t͡s ɨᵝ k ɯ̟ᵝ
チラリズム	t͡ɕ i ɾ a̠ ɾʲ i z ɨᵝ m ɯ̟ᵝ
チリ	t͡ɕ i ɾʲ i
ちり	t͡ɕ i ɾʲ i
チリ	t͡ɕ i ɾʲ i
ちりがく	t͡ɕ i ɾʲ i ɡ a̠ k ɯ̟ᵝ
ちりぢり	t͡ɕ i ɾʲ i ʑ i ɾʲ i
ちりめん	t͡ɕ i ɾʲ i m ẽ̞ ɴ
ちりゃく	t͡ɕ i ɾʲ a̠ k ɯ̟ᵝ
ちりょう	t͡ɕ i ɾʲ o̞ː
ちりれんげ	t͡ɕ i ɾʲ i ɾ ẽ̞ ŋ ɡ e̞
チワンご	t͡ɕ i ɰᵝ ã̠ ŋ ɡ o̞
ちん	t͡ɕ ĩ ɴ
ちん	t͡ɕ ĩ ɴ
ちんあつ	t͡ɕ ĩ ɰ̃ a̠ t͡s ɨᵝ
ちんか	t͡ɕ ĩ ŋ k a̠
ちんぎん	t͡ɕ ĩ ŋʲ ɡʲ ĩ ɴ
チンゲンさい	t͡ɕ ĩ ŋ ɡ ẽ̞ ɰ̃ s a̠ i
チンコ	t͡ɕ ĩ ŋ k o̞
ちんこう	t͡ɕ ĩ ŋ k o̞ː
ちんこんか	t͡ɕ ĩ ŋ k õ̞ ŋ k a̠
ちんご	t͡ɕ ĩ ŋ ɡ o̞
ちんしゃ	t͡ɕ ĩ ɰ̃ ɕ a̠
ちんじゅ	t͡ɕ ĩ ɲ̟ d͡ʑ ɨᵝ
ちんじゅつ	t͡ɕ ĩ ɲ̟ d͡ʑ ɨᵝ t͡s ɨᵝ
ちんすこう	t͡ɕ ĩ ɰ̃ s ɨᵝ k o̞ː
ちんせい	t͡ɕ ĩ ɰ̃ s e̞ː
ちんせい	t͡ɕ ĩ ɰ̃ s e̞ː
ちんせい	t͡ɕ ĩ ɰ̃ s e̞ː
ちんせいか	t͡ɕ ĩ ɰ̃ s e̞ː k a̠
ちんせいざい	t͡ɕ ĩ ɰ̃ s e̞ː z a̠ i
チンタオ	t͡ɕ ĩ n t a̠ o̞
ちんちゃく	t͡ɕ ĩ ɲ̟ t͡ɕ a̠ k ɯ̟ᵝ
ちんちょう	t͡ɕ ĩ ɲ̟ t͡ɕ o̞ː
じんちょうげ	d͡ʑ ĩ ɲ̟ t͡ɕ o̞ː ɡ e̞
ジンチョウゲ	t͡ɕ ĩ ɲ̟ t͡ɕ o̞ː ɡ e̞
チンチラ	t͡ɕ ĩ ɲ̟ t͡ɕ i ɾ a̠
チンチロリン	t͡ɕ ĩ ɲ̟ t͡ɕ i ɾ o̞ ɾʲ ĩ ɴ
ちんつう	t͡ɕ ĩ n t͡s ɨᵝː
ちん	t͡ɕ ĩ n t͡s ɨᵝː
ちんつうざい	t͡ɕ ĩ n t͡s ɨᵝː z a̠ i
ちんでん	t͡ɕ ĩ n d ẽ̞ ɴ
チンパンジー	t͡ɕ ĩ m p ã̠ ɲ̟ d͡ʑ iː
ちんぷ	t͡ɕ ĩ m p ɯ̟ᵝ
ちんぷんかんぷん	t͡ɕ ĩ m p ɯ̟̃ᵝ ŋ k ã̠ m p ɯ̟̃ᵝ ɴ
ちんぼつ	t͡ɕ ĩ m b o̞ t͡s ɨᵝ
チンポコ	t͡ɕ ĩ m p o̞ k o̞
ちんもく	t͡ɕ ĩ mː o̞ k ɯ̟ᵝ
ちんれつ	t͡ɕ ĩ n ɾ e̞ t͡s ɨᵝ
って	t̚ t e̞
ってば	t̚ t e̞ b a̠
ツ	t͡s ɨᵝ
つばき	t͡s ɨᵝ b a̠ kʲ i
つば	t͡s ɨᵝ b a̠
つ	t͡s ɨᵝ
つぁ	t͡s a̠
ツァ	t͡s a̠
ツァー	t͡s a̠ː
ツァーリ	t͡s a̠ː ɾʲ i
ツァーリズム	t͡s a̠ː ɾʲ i z ɨᵝ m ɯ̟ᵝ
さいけん	s a̠ i k ẽ̞ ɴ
ツアー	t͡s ɨᵝ a̠ː
ツアー	t͡s ɨᵝ a̠ː
ツィ	t͡sʲ i
対	t a̠ i
対	t͡s ɨᵝ i
ついえ	t͡s ɨᵝ i e̞
ついえる	t͡s ɨᵝ i e̞ ɾ ɯ̟ᵝ
ついおく	t͡s ɨᵝ i o̞ k ɯ̟ᵝ
ついか	t͡s ɨᵝ i k a̠
ついき	t͡s ɨᵝ i kʲ i
ついきゅう	t͡s ɨᵝ i kʲ ɨᵝː
ついきゅう	t͡s ɨᵝ i kʲ ɨᵝː
ついげき	t͡s ɨᵝ i ɡ e̞ kʲ i
ついし	t͡s ɨᵝ i ɕ i
ついしけん	t͡s ɨᵝ i ɕ i k ẽ̞ ɴ
ついじゅう	t͡s ɨᵝ i ʑ ɨᵝː
