a	ɑː
frocga	f r o ɡ ɡ ɑ
frod	f r oː d
frofor	f r oː f o r
froforgast	f r oː f o r ɡ ɑː s t
from	f r o m
fromcynn	f r o m k y n n
fromcyrran	f r o m t͡ʃ y r r ɑ n
fromhweorfan	f r o m h w e o̯ r f ɑ n
fromhƿeorfan	f r o m h w e o̯ r f ɑ n
frosc	f r o ʃ
frowe	f r oː w e
frox	f r o k s
froƿe	f r oː w e
fruma	f r u m ɑ
frumcynn	f r u m k y n n
frumcyrr	f r u m t͡ʃ y r r
frumlida	f r u m l i d ɑ
frumsceaft	f r u m ʃ æ ɑ̯ f t
fryhtu	f r y x t u
frymþ	f r y m θ
frymþu	f r y m θ u
fræfel	f r æ f e l
frægn	f r æ j n
frætwe	f r æ t w e
frætƿe	f r æ t w e
fugelere	f u ɡ e l e r e
fuglere	f u ɡ l e r e
fugol	f u ɡ o l
fuht	f uː h t
ful	f u l
ful	f uː l
fulfremed	f u l f r e m e d
fulfremednes	f u l f r e m e d n e s
full	f u l l
fultuman	f u l t u m ɑ n
fulwian	f u l w i ɑ n
fulƿian	f u l w i ɑ n
fundian	f u n d i ɑ n
furþum	f u r θ u m
fus	f uː s
fylan	f yː l ɑ n
fylgan	f y l j ɑ n
fylgan	f y l ɣ ɑ n
fyllan	f y l l ɑ n
fyllu	f y l l u
fyr	f y r
fyr	f yː r
fyrd	f y r d
fyrdrinc	f y r d r i n k
fyrdsearu	f y r d s æ ɑ̯ r u
fyrenþearf	f y r e n θ æ ɑ̯ r f
fyrgengat	f y r j e n ɡ ɑː t
fyrhus	f yː r h uː s
fyrhþ	f y r x θ
fyrhþe	f y r h θ e
fyrst	f y r s t
fyrtorr	f yː r t o r r
fyrwet	f y r w e t
fyrwit	f y r w i t
fyrƿet	f y r w e t
fyrƿit	f y r w i t
fysan	f yː s ɑ n
fyst	f yː s t
fyxen	f y k s e n
fæc	f æ k
fæcele	f æ k e l e
fæcne	f æː k n e
fæder	f æ d e r
fædera	f æ d e r ɑ
fæderen	f æ d e r e n
fæderland	f æ d e r l ɑ n d
fægan	f æː j ɑ n
fæge	f æː j e
fægen	f æ j e n
fæger	f æ j e r
fægernes	f æ j e r n e s
fæhþ	f æː h θ
fæhþe	f æː h θ e
fæhþu	f æː ç θ u
fæla	f æː l a
fæle	f æː l e
fælsian	f æː l s i ɑ n
fæmne	f æː m n e
fær	f æ r
fær	f æː r
færbu	f æ r b u
færgripe	f æː r ɡ r i p e
færgryre	f æː r ɡ r y r e
færinga	f æː r i n ɡ ɑ
fæst	f æ s t
fæsten	f æ s t e n
fæstnian	f æ s t n i ɑ n
fæstnung	f æ s t n u n ɡ
fætt	f æː tː
fæþm	f æ θ m
gaderian	ɡ ɑ d e r i ɑ n
gafol	ɡ ɑ f o l
gafolrand	ɡ ɑ f o l r ɑ n d
gal	ɡ ɑː l
galan	ɡ ɑ l ɑ n
galdor	ɡ ɑ l d o r
galfull	ɡ aː l f u l l
gamen	ɡ ɑ m e n
gamenian	ɡ ɑ m e n i ɑ n
gamol	ɡ ɑ m o l
gan	ɡ ɑː n
gang	ɡ ɑ ŋ ɡ
gangan	ɡ ɑ n ɡ ɑ n
gangere	ɡ ɑ ŋ e r e
gangere	ɡ ɑ ŋ ɡ e r e
gangweg	ɡ ɑ n ɡ w e j
gangƿeg	ɡ ɑ ŋ ɡ w e j
ganot	ɡ ɑ n o t
ganra	ɡ ɑ n r ɑ
gar	ɡ ɑː r
garas	ɡ ɑː r ɑ s
gardena	ɡ ɑː r d e n ɑ
gardene	ɡ ɑː r d e n e
garleac	ɡ ɑː r l æː ɑ k
gast	ɡ ɑː s t
gastbana	ɡ ɑː s t b ɑ n ɑ
gastberend	ɡ ɑː s t b e r e n d
gastcund	ɡ ɑː s t k u n d
gastgedal	ɡ ɑː s t j e d ɑː l
gastgifu	ɡ ɑː s t j i f u
gastlice	ɡ ɑ s t l iː t͡ʃ e
gastsunu	ɡ ɑː s t s u n u
gat	ɡ ɑː t
ge	j eː
gea	j æː ɑ̯
geac	j æː ɑ k
geaces	j æː a k e s
geador	j æ ɑ d o r
geador	ɡ æ ɑ d o r
geafon	j æː a f o n
geagniendlic	j e ɑː ɡ n i e n d l iː t ʃ
geagnigendlic	j e ɑː ɡ n i j e n d l iː t ʃ
geahl	j æ ɑ x l
gealga	j æ ɑ̯ l ɡ ɑ
gealla	j æ ɑ l l ɑ
gean	j æː ɑ n
geanhweorfan	j æː ɑ n ʍ e o r f ɑ n
geanhƿeorfan	j æː ɑ n ʍ e o r f ɑ n
geap	j æ ɑ p
geap	j æː ɑ p
gear	j æː ɑ r
geara	j ɑː r ɑ
geard	j æ ɑ̯ r d
geardagas	j æː ɑ r d ɑ ɡ ɑ s
geardagum	j æː ɑ̯ r d ɑ ɡ u m
geardum	j æ ɑ r d u m
gearn	j æ ɑ r n
gearu	j æ ɑ̯ r u
gearwe	j æ ɑ r w e
gearwian	j æ ɑ̯ r w i ɑ n
gearƿe	j æ ɑ r w e
gearƿian	j æ ɑ r w i ɑ n
geascian	j e ɑː s k i ɑ n
geat	j æ ɑ̯ t
geatan	j æː ɑ t ɑ n
geatolic	j æ ɑ t o l iː t͡ʃ
gebad	j e b ɑː d
gebannan	j e b ɑ n n ɑ n
gebeagian	j e b æː ɑ ɣ i ɑ n
gebed	j e b e d
gebedda	j e b e d d ɑ
gebeodan	j e b eː o d ɑ n
gebeor	j e b eː o r
gebeorc	j e b e o̯ r k
gebeotian	j e b eː o t i ɑ n
geberan	j e b e r ɑ n
gebetan	j e b eː t ɑ n
gebetung	j e b eː t u ŋ ɡ
gebidan	j e b iː d ɑ n
gebiddan	j e b i d d ɑ n
geblandan	j e b l ɑ n d ɑ n
geblowan	j e b l oː w ɑ n
gebrecan	j e b r e k ɑ n
gebringan	j e b r i ŋ ɡ ɑ n
gebrucan	j e b r uː k ɑ n
gebugan	j e b uː ɣ ɑ n
gebur	j e b uː r
gebygan	j e b yː ɣ ɑ n
gebygednys	j e b yː ɣ e d n y s
gebyrd	j e b y r d
gebyrddæg	j e b y r d d æ j
gebyrde	j e b y r d e
gebyrian	j e b y r j ɑ n
gecanc	j e k ɑ ŋ k
gecid	j e t͡ʃ iː d
gecigendlic	j e t ʃ iː j e n d l iː t ʃ
gecnos	j e k n o s
gecnyssan	j e k n y s s ɑ n
gecocnian	j e k oː k n i ɑ n
gecocsian	j e k oː k s i ɑ n
gecor	j e k o r
gecuman	j e k u m ɑ n
gecweþan	j e k w e θ ɑ n
gecwide	j e k w i d e
gecyndelic	j e k y n d e l iː t͡ʃ
gecyndespræc	j e k y n d e s p r æː t ʃ
gecyrran	j e t͡ʃ y r r ɑ n
gecyrrednes	j e t͡ʃ y r r e d n e s
gecyrring	j e t͡ʃ y r r i ŋ ɡ
gecyþan	j e k yː θ ɑ n
gecƿeþan	j e k w e θ ɑ n
gecƿide	j e k w i d e
gedal	j e d ɑː l
gedefe	j e d eː f e
gedigan	j e d iː ɣ ɑ n
gediht	j e d i ç t
gedrefednes	j e d r eː f e d n e s
gedreohlice	j e d r eː o x l iː t͡ʃ e
gedritan	j e d r iː t ɑ n
gedruncnian	j e d r u n k n i ɑ n
gedryht	j e d r y ç t
gedwild	j e d w i l d
gedwimor	j e d w i m o r
gedwol	j e d w o l
gedwola	j e d w o l a
gedwolcræft	j e d w o l k r æ f t
gedwolgod	j e d w o l ɡ o d
gedwolmann	j e d w o l m ɑ n n
gedwolspræc	j e d w o l s p r æː t ʃ
gedwolsum	j e d w o l s u m
gedwomer	j e d w o m e r
gedæfte	j e d æ f t e
gedælan	j e d æː l ɑ n
gedƿild	j e d w i l d
gedƿimor	j e d w i m o r
gedƿol	j e d w o l
gedƿola	j e d w o l a
gedƿolcræft	j e d w o l k r æ f t
gedƿolgod	j e d w o l ɡ o d
gedƿolmann	j e d w o l m ɑ n n
gedƿolspræc	j e d w o l s p r æː t ʃ
gedƿolsum	j e d w o l s u m
gedƿomer	j e d w o m e r
geefenlæcan	j e e f e n l æː t͡ʃ ɑ n
geendian	j e e n d i ɑ n
geetan	j e e t a n
gefea	j e f æː ɑ
gefeah	j e f æ ɑ x
gefed	j e f eː d
gefegnes	j e f eː j n e s
gefelan	j e f eː l ɑ n
gefeoht	j e f e o̯ h t
gefeohtdæg	j e f e o x t d æ j
gefeon	j e f eː o n
gefer	j e f eː r
gefera	j e f eː r ɑ
gefere	j e f eː r e
gefic	j e f i k
gefindan	j e f i n d ɑ n
gefog	j e f oː ɣ
gefredan	j e f r eː d ɑ n
gefrignan	j e f r i j n ɑ n
gefroren	j e f r o r e n
gefrugnon	j e f r uː j n o n
gefrunon	j e f r uː n o n
gefræge	j e f r æː j e
gefrætwian	j e f r æ t w i ɑ n
gefrætƿian	j e f r æ t w i ɑ n
gefyllan	j e f y l l ɑ n
gefæd	j e f æ d
gefædera	j e f æ θ e r ɑ
gefær	j e f æː r
gefæstnian	j e f æ s t n i ɑ n
gegaderung	j e ɡ ɑ d e r u ŋ ɡ
gegang	j e ɡ ɑ ŋ ɡ
gegn	j e j n
gegncwide	j e j n k w i d e
gegncƿide	j e j n k w i d e
gegnum	j e j n u m
gegripennis	j e ɡ r i p e n n i s
gegrundweallian	j e ɡ r u n d w æ ɑ l l i ɑ n
gegrundƿeallian	j e ɡ r u n d w æ ɑ l l i ɑ n
gegræppian	j e ɡ r æ p p i ɑ n
gegyrwan	j e j y r w ɑ n
gegyrƿan	j e j y r w ɑ n
gehabban	j e h ɑ b b ɑ n
gehat	j e h ɑː t
gehatan	j e h ɑː t ɑ n
gehatland	j e h ɑː t l ɑ n d
gehealdan	j e h æ ɑ l d ɑ n
gehegan	j e h eː ɣ ɑ n
gehende	j e h e n d e
gehieran	j e h iː y̯ r ɑ n
gehierendlic	j e h iː y̯ r e n d l iː t ʃ
gehiersum	j e h iː y̯ r s u m
gehiersumian	j e h iː y̯ r s u m i ɑ n
gehiersumnes	j e h iː y̯ r s u m n e s
gehlow	j e h l oː w
gehloƿ	j e h l oː w
gehnycned	j e h n y k n e d
geholian	j e h o l i ɑ n
gehreran	j e h r eː r ɑ n
gehwa	j e h w ɑː
gehwone	j e h w o n e
gehwylc	j e h w y l t͡ʃ
gehwæde	j e ʍ æː d e
gehwædnes	j e ʍ æː d n e s
gehwædnis	j e ʍ æː d n i s
gehwædnys	j e ʍ æː d n y s
gehwær	j e h w æː r
gehwære	j e h w æː r e
gehycgan	j e h y d d͡ʒ ɑ n
gehygd	j e h y j d
gehyran	j e h yː r ɑ n
gehyrde	j e h yː r d e
gehƿa	j e h w ɑː
gehƿone	j e h w o n e
gehƿylc	j e h w y l t͡ʃ
gehƿæde	j e ʍ æː d e
gehƿædnes	j e ʍ æː d n e s
gehƿædnis	j e ʍ æː d n i s
gehƿædnys	j e ʍ æː d n y s
gehƿær	j e h w æː r
gehƿære	j e h w æː r e
geinnian	j e i n n i ɑ n
gelafian	j e l ɑ f i ɑ n
geleafa	j e l æː ɑ̯ f ɑ
geleod	j e l eː o d
gelic	j e l iː t͡ʃ
gelica	j e l iː k ɑ
gelicnes	j e l iː k n e s
geliefan	j e l iː y̯ f ɑ n
geliesan	j e l iː y s ɑ n
geligre	j e l i j r e
geliman	j e l iː m ɑ n
gelimpan	j e l i m p ɑ n
gelogian	j e l oː ɣ i ɑ n
gelome	j e l oː m e
gelotendæg	j e l o t e n d æ j
gelpan	j e l p ɑ n
gelysan	j e l yː s ɑ n
gelædan	j e l æː d ɑ n
gelær	j e l æː r e
gelæran	j e l æː r ɑ n
gelæstan	j e l æː s t ɑ n
gelæte	j e l æː t e
geman	j e m ɑ n
gemana	j e m ɑː n ɑ
gemang	j e m ɑ ŋ ɡ
gemanian	j e m ɑ n i ɑ n
gemearcian	j e m æ ɑ r k i ɑ n
gemearcod	j e m æ ɑ r k o d
gemede	j e m eː d e
gemengan	j e m e n d͡ʒ ɑ n
gemet	j e m e t
gemetan	j e m eː t ɑ n
gemimor	j e m i m o r
geminsian	j e m i n s i ɑ n
gemot	j e m oː t
gemunan	j e m u n ɑ n
gemynd	j e m y n d
gemyndig	j e m y n d i j
gemyntan	j e m y n t ɑ n
gemyþ	j e m yː θ
gemyþe	j e m yː θ e
gemæne	j e m æː n e
gemætan	j e m æː t ɑ n
gemæte	j e m æː t e
gemœtan	j e m øː t ɑ n
gen	j eː n
geneat	j e n æː ɑ t
genefa	j e n e f ɑ
genemnan	j e n e m n ɑ n
genemnendlic	j e n e m n e n d l iː t͡ʃ
gener	j e n e r
generian	j e n e r i ɑ n
generstede	j e n e r s t e d e
genesan	j e n e s a n
genga	ɡ e n d͡ʒ ɑ
genga	ɣ e n d͡ʒ ɑ
geniedan	j e n iː y̯ d ɑ n
genift	j e n i f t
geniman	j e n i m ɑ n
genog	j e n oː ɡ
genugan	j e n u ɣ ɑ n
geoc	j eː o k
geoc	j o k
geofon	j e o f o n
geogolere	j eː o ɣ o l e r e
geogoþ	j u ɡ o θ
geoguþ	j u ɡ u θ
geol	j eː o l
geol	j oː l
geola	j eː o l a
geola	j oː l a
geolo	j e o l o
geoloca	j e o̯ l o k ɑ
geolu	j e o̯ l u
geoluread	j e o̯ l u r æː ɑ̯ d
geomor	j eː o̯ m o r
geomor	j oː m o r
geon	j e o n
geond	j e o n d
geondblawan	j e o n d b l ɑː w ɑ n
geondblaƿan	j e o n d b l ɑː w ɑ n
geondbrædan	j e o n d b r æː d ɑ n
geonddrencan	j e o n d d r e n t͡ʃ ɑ n
geondfaran	j e o n d f ɑ r ɑ n
geondfelan	j e o n d f e l ɑ n
geondferan	j e o n d f eː r ɑ n
geondflowan	j e o n d f l oː w ɑ n
geondfloƿan	j e o n d f l oː w ɑ n
geondgangan	j e o n d ɡ ɑ ŋ ɡ ɑ n
geondgeotan	j e o n d j eː o t ɑ n
geondhweorfan	j e o n d ʍ e o r f ɑ n
geondhyrdan	j e o n d h y r d ɑ n
geondhƿeorfan	j e o n d ʍ e o r f ɑ n
geondlacan	j e o n d l ɑː k ɑ n
geondleccan	j e o n d l e t t͡ʃ ɑ n
geondleohtend	j e o n d l eː o x t e n d
geondlihtan	j e o n d l iː ç t ɑ n
geondmengan	j e o n d m e n d͡ʒ ɑ n
geondrecan	j e o n d r eː t͡ʃ ɑ n
geondsawan	j e o n d s ɑː w ɑ n
geondsaƿan	j e o n d s ɑː w ɑ n
geondsceawian	j e o n d ʃ æː ɑ w ɪ ɑ n
geondsceaƿian	j e o n d ʃ æː ɑ w ɪ ɑ n
geondscinan	j e o n d ʃ iː n ɑ n
geondscriþan	j e o n d ʃ r iː θ ɑ n
geondsecan	j e o n d s eː t͡ʃ ɑ n
geondsendan	j e o n d s e n d ɑ n
geondseon	j e o n d s eː o n
geondsmeagan	j e o n d s m æː ɑ ɣ ɑ n
geondsprengan	j e o n d s p r e ŋ ɡ ɑ n
geondspringan	j e o n d s p r i ŋ ɡ ɑ n
geondspætan	j e o n d s p æː t ɑ n
geondstredan	j e o n d s t r eː d ɑ n
geondswogan	j e o n d s w oː ɣ ɑ n
geondsƿogan	j e o n d s w oː ɣ ɑ n
geondwadan	j e o n d w ɑ d ɑ n
geondwlitan	j e o n d w l iː t ɑ n
geondþencan	j e o n d θ e n t͡ʃ ɑ n
geondƿadan	j e o n d w ɑ d ɑ n
geondƿlitan	j e o n d w l iː t ɑ n
geong	j u n ɡ
geonga	j u ŋ ɡ ɑ
geonre	j o n r e
georn	j e o r n
georne	j e o r n e
geornlice	j e o r n l iː t ʃ e
georran	j e o̯ r r ɑ n
geotan	j eː o̯ t ɑ n
geposu	j e p o s u
ger	j eː r
gerad	j e r ɑː d
gereccan	j e r e t t͡ʃ ɑ n
gerefa	j e r eː f a
gerihte	j e r i ç t e
gerim	j e r iː m
gerisena	j e r i s e n ɑ
gerisene	j e r i s e n e
geryne	j e r yː n e
geræd	j e r æː d
gerædan	j e r æː d ɑ n
gesawan	j e s ɑː w ɑ n
gesaweled	j e s ɑː w e l e d
gesaƿan	j e s ɑː w ɑ n
gesaƿeled	j e s ɑː w e l e d
gescad	j e ʃ ɑː d
gescead	j e ʃ ɑː d
gesceadan	j e ʃ æː ɑ d ɑ n
gesceaft	j e ʃ æ ɑ f t
gesceap	j e ʃ æ ɑ p
gesceaphwil	j e ʃ æ a p h w iː l
gesceaphƿil	j e ʃ æ a p h w iː l
gesceawian	j e ʃ æː ɑ w i ɑ n
gesceaƿian	j e ʃ æː ɑ w i ɑ n
gesceon	j e ʃ eː o n
gescierpt	j e ʃ i y r p t
gescufan	j e ʃ uː f ɑ n
gescæphwil	j e ʃ æ p h w iː l
gescæphƿil	j e ʃ æ p h w iː l
gese	j eː s e
gesealdnis	j e s æ ɑ l d n i s
gesecan	j e s eː t ʃ ɑ n
gesehtlian	j e s e x t l i ɑ n
gesellan	j e s e l l ɑ n
geseon	j e s eː o̯ n
gesetnes	j e s e t n e s
gesettan	j e s e t t ɑ n
gesewenlic	j e s e w e n l iː t͡ʃ
geseþan	j e s eː θ ɑ n
geseþend	j e s eː θ e n d
geseþnes	j e s eː θ n e s
geseþung	j e s eː θ u ŋ ɡ
geseƿenlic	j e s e w e n l iː t͡ʃ
gesieltan	j e s i y l t ɑ n
gesihþ	j e s i ç θ
gesiþ	j e s iː θ
gesiþscipe	j e s iː θ ʃ i p e
gesmeagan	j e s m æː ɑ ɣ ɑ n
gesmeah	j e s m æː ɑ h
gesoþian	j e s oː θ i ɑ n
gespedan	j e s p eː d ɑ n
gespedsumian	j e s p eː d s u m i ɑ n
gespelia	j e s p e l i ɑ
gespowan	j e s p oː w ɑ n
gespoƿan	j e s p oː w ɑ n
gesprecan	j e s p r e k ɑ n
gestandan	j e s t ɑ n d ɑ n
gestigan	j e s t iː ɣ ɑ n
gestillan	j e s t i l l ɑ n
gestincan	j e s t i n k ɑ n
gestreon	j e s t r eː o n
gestrienendlic	j e s t r iː y n e n d l iː t ʃ
gesund	j e s u n d
gesweor	j e s w eː o r
gesweostor	j e s w e o s t o r
geswerian	j e s w e r i ɑ n
geswican	j e s w iː k ɑ n
geswigra	j e s w i ɣ r ɑ
geswin	j e s w i n
geswincdæg	j e s w i ŋ k d æ j
gesyd	j e s y d
gesyndrian	j e s y n d r i ɑ n
gesælan	j e s æː l ɑ n
gesƿeor	j e s w eː o r
gesƿeostor	j e s w e o s t o r
gesƿerian	j e s w e r i ɑ n
gesƿican	j e s w iː k ɑ n
gesƿigra	j e s w i ɣ r ɑ
gesƿincdæg	j e s w i ŋ k d æ j
getacnian	j e t ɑː k n i ɑ n
getacnigendlic	j e t ɑː k n i j e n d l iː t͡ʃ
getacnigendlice	j e t ɑː k n i j e n d l iː t͡ʃ e
getacnung	j e t ɑː k n u ŋ ɡ
geteld	j e t e l d
geteon	j e t eː o n
getregian	j e t r e ɣ i ɑ n
getwinn	j e t w i n n
getwisa	j e t w i s ɑ
getwisan	j e t w i s ɑ
getwæfan	j e t w æː f ɑ n
getæl	j e t æ l
getæsu	j e t æː s u
getƿinn	j e t w i n n
getƿisa	j e t w i s ɑ
getƿisan	j e t w i s ɑ
getƿæfan	j e t w æː f ɑ n
geunderþeodan	j e u n d e r θ eː o d ɑ n
geunnan	j e u nː ɑ n
geunsoþian	j e u n s oː θ i ɑ n
gewadan	j e w ɑ d ɑ n
gewanian	j e w ɑ n i ɑ n
gewat	j e w ɑː t
gewealc	j e w æ ɑ l k
gewealcan	j e w æ ɑ l k ɑ n
geweald	j e w æ ɑ l d
gewegan	j e w e ɣ ɑ n
gewemman	j e w e m m ɑ n
gewemmednys	j e w e m m e d n y s
gewemmend	j e w e m m e n d
gewemming	j e w e m m i ŋ ɡ
gewendan	j e w e n d ɑ n
geweorc	j e w e o r k
geweorþan	j e w e o r θ ɑ n
gewiht	j e w i h t
gewindan	j e w i n d ɑ n
gewinn	j e w i n n
gewinnan	j e w i n n ɑ n
gewintred	j e w i n t r e d
gewis	j e w i s
gewiss	j e w i sː
gewitan	j e w i t ɑ n
gewitan	j e w iː t ɑ n
gewlencan	j e w l e ŋ k ɑ n
geworht	j e w o r x t
gewrecan	j e w r e k ɑ n
gewrit	j e w r i t
gewritere	j e w r i t e r e
gewuldorbeagian	j e w u l d o r b æː ɑ ɣ i ɑ n
gewuldorfullian	j e w u l d o r f u l l i ɑ n
gewuldrian	j e w u l d r i ɑ n
gewunelic	j e w u n e l iː t͡ʃ
gewunelice	j e w u n e l iː t͡ʃ e
gewunian	j e w u n i ɑ n
gewyrcan	j e w y r t͡ʃ ɑ n
gewyrtian	j e w y r t i ɑ n
gewyscan	j e w yː ʃ ɑ n
gewyscednes	j e w yː ʃ e d n e s
gewyscendlic	j e w yː ʃ e n d l iː t͡ʃ
gewyscing	j e w yː ʃ i n ɡ
gewæde	j e w æː d e
gewæpnian	j e w æː p n i ɑ n
gewæpnod	j e w æː p n o d
gewær	j e w æ r
geæhtle	j e æ x t l e
geþencan	j e θ e n t͡ʃ ɑ n
geþeodan	j e θ eː o d ɑ n
geþeode	j e θ eː o d e
geþeon	j e θ eː o n
geþeot	j e θ eː o t
geþicgan	j e θ i d d͡ʒ ɑ n
geþing	j e θ i ŋ ɡ
geþinge	j e θ i ŋ ɡ e
geþoht	j e θ oː x t
geþryccan	j e θ r y t t͡ʃ ɑ n
geþuxian	j e θ u k s i ɑ n
geþweran	j e θ w e r ɑ n
geþyld	j e θ y l d
geþyldig	j e θ y l d i j
geþƿeran	j e θ w e r ɑ n
geƿadan	j e w ɑ d ɑ n
geƿanian	j e w ɑ n i ɑ n
geƿat	j e w ɑː t
geƿealc	j e w æ ɑ l k
geƿealcan	j e w æ ɑ l k ɑ n
geƿeald	j e w æ ɑ l d
geƿegan	j e w e ɣ ɑ n
geƿemman	j e w e m m ɑ n
geƿemmednys	j e w e m m e d n y s
geƿemmend	j e w e m m e n d
geƿemming	j e w e m m i ŋ ɡ
geƿendan	j e w e n d ɑ n
geƿeorc	j e w e o r k
geƿeorþan	j e w e o r θ ɑ n
geƿiht	j e w i h t
geƿinn	j e w i n n
geƿinnan	j e w i n n ɑ n
geƿintred	j e w i n t r e d
geƿis	j e w i s
geƿiss	j e w i sː
geƿitan	j e w iː t ɑ n
geƿlencan	j e w l e ŋ k ɑ n
geƿorht	j e w o r x t
geƿrecan	j e w r e k ɑ n
geƿrit	j e w r i t
geƿuldorbeagian	j e w u l d o r b æː ɑ ɣ i ɑ n
geƿuldorfullian	j e w u l d o r f u l l i ɑ n
geƿuldrian	j e w u l d r i ɑ n
geƿunelic	j e w u n e l iː t͡ʃ
geƿunelice	j e w u n e l iː t͡ʃ e
geƿunian	j e w u n i ɑ n
geƿyrcan	j e w y r t͡ʃ ɑ n
geƿyrtian	j e w y r t i ɑ n
geƿyscan	j e w yː ʃ ɑ n
geƿyscednes	j e w yː ʃ e d n e s
geƿyscendlic	j e w yː ʃ e n d l iː t͡ʃ
geƿyscing	j e w yː ʃ i n ɡ
geƿæde	j e w æː d e
geƿæpnian	j e w æː p n i ɑ n
geƿæpnod	j e w æː p n o d
geƿær	j e w æ r
giccan	j i t t͡ʃ ɑ n
gicce	j i t t͡ʃ e
gicel	j i t͡ʃ e l
giedd	j i y d d
gieddian	j i y d d i ɑ n
giefan	j i y f a n
giefu	j i y f u
gieldan	j i y l d ɑ n
gielp	j i y l p
gielpan	j i y l p ɑ n
gielpe	j i y l p e
gierd	j i y̯ r d
giest	j i y s t
giestliþe	j i y̯ s t l iː θ e
giestrandæg	j i y̯ s t r ɑ n d æ j
giestranniht	j i y̯ s t r ɑ n n i h t
giestranniht	j i y̯ s t r ɑ n n i ç t
giestranæfen	j i y̯ s t r ɑ n æː f e n
giet	j iː y̯ t
gietan	j e t ɑ n
gietan	j i y t ɑ n
gif	j i f
gifeþe	j i f e θ e
gifol	j i f o l
gifre	j iː f r e
gifstol	j i f s t oː l
gift	j i f t
gifu	j i f u
gimm	j i m m
gimstan	j i m s t ɑː n
gimwyrhta	j i m w y r x t ɑ
gimƿyrhta	j i m w y r x t ɑ
gingest	j i n d͡ʒ e s t
gingra	j i n ɡ r ɑ
gingra	j i ŋ ɡ r ɑ
ginian	j i n i ɑ n
gisl	j iː s l̩
git	j i t
gitsian	j iː t s i ɑ n
giwian	j i w i ɑ n
giƿian	j i w i ɑ n
gleaw	ɡ l æː ɑ w
gleawe	ɡ l æː ɑ w e
gleawlic	ɡ l æː ɑ w l iː t͡ʃ
gleawlice	ɡ l æː ɑ w l iː t͡ʃ e
gleawnes	ɡ l æː ɑ w n e s
gleawscipe	ɡ l æː ɑ w ʃ i p e
gleaƿ	ɡ l æː ɑ w
gleaƿe	ɡ l æː ɑ w e
gleaƿlic	ɡ l æː ɑ w l iː t͡ʃ
gleaƿlice	ɡ l æː ɑ w l iː t͡ʃ e
gleaƿnes	ɡ l æː ɑ w n e s
gleaƿscipe	ɡ l æː ɑ w ʃ i p e
gled	ɡ l eː d
gleng	ɡ l e n d͡ʒ
gleng	ɡ l e ŋ ɡ
glengan	ɡ l e n d͡ʒ a n
gleobeam	ɡ l eː o b æː ɑ m
gleomann	ɡ l eː o m ɑ n n
glida	ɡ l i d ɑ
glidan	ɡ l iː d ɑ n
glof	ɡ l oː f
glowan	ɡ l oː w ɑ n
gloƿan	ɡ l oː w ɑ n
glæd	ɡ l æ d
glæde	ɡ l æ d e
glædman	ɡ l æ d m ɑ n
glædmann	ɡ l æ d m ɑ n n
glær	ɡ l æ r
glær	ɡ l æː r
glæs	ɡ l æ s
glæsen	ɡ l æ s e n
gnagan	ɡ n ɑ ɣ ɑ n
gnidan	ɡ n iː d ɑ n
gnornian	ɡ n o r n i ɑ n
gnætt	ɡ n æ t t
god	ɡ o d
god	ɡ oː d
godcund	ɡ o d k u n d
godscyldig	ɡ o d ʃ y l d i j
godsibb	ɡ o d s i b b
godspel	ɡ oː d s p e l
godspellboc	ɡ oː d s p e l l b oː k
godspellbodung	ɡ oː d s p e l l b o d u ŋ ɡ
godspellere	ɡ oː d s p e l l e r e
godspellian	ɡ oː d s p e l l i ɑ n
godspellic	ɡ oː d s p e l l iː t͡ʃ
godspellisc	ɡ oː d s p e l l i ʃ
godspelltraht	ɡ oː d s p e l l t r ɑ x t
godwebb	ɡ o d w e b b
godwebben	ɡ o d w e b b e n
godwrecnes	ɡ o d w r e k n e s
godƿebb	ɡ o d w e b b
godƿebben	ɡ o d w e b b e n
godƿrecnes	ɡ o d w r e k n e s
gold	ɡ o l d
goldfah	ɡ o l d f ɑː x
goldmæstling	ɡ o l d m æ s t l i ŋ ɡ
goldsmiþ	ɡ o l d s m i θ
goldwrecan	ɡ o l d w r e k ɑ n
goldƿrecan	ɡ o l d w r e k ɑ n
goma	ɡ oː m ɑ
gombe	ɡ o m b e
gor	ɡ o r
gos	ɡ oː s
gota	ɡ o t ɑ
grafan	ɡ r ɑ f ɑ n
gram	ɡ r ɑ m
grambære	ɡ r ɑ m b æː r e
grammatic	ɡ r ɑ m m ɑ t i t ʃ
granu	ɡ r ɑ n u
grap	ɡ r ɑː p
grasian	ɡ r ɑ s i ɑ n
great	ɡ r æː ɑ t
grecland	ɡ r eː k l ɑ n d
grene	ɡ r eː n e
grene	ɣ r eː n e
greosan	ɡ r eː o s ɑ n
gretan	ɡ r eː t ɑ n
grighund	ɡ r iː j h u n d
grim	ɡ r i m
grima	ɡ r iː m ɑ
grima	ɣ r iː m ɑ
grimhelm	ɡ r iː m h e l m
grimman	ɡ r i m m ɑ n
grindan	ɡ r i n d ɑ n
grindel	ɡ r i n d e l
grindere	ɡ r i n d e r e
gripan	ɡ r iː p ɑ n
gripe	ɡ r i p e
gripe	ɡ r iː p e
gripennis	ɡ r i p e n n i s
grippan	ɡ r i p p ɑ n
gripul	ɡ r i p u l
grisan	ɡ r iː s ɑ n
gristel	ɡ r i s t e l
griþ	ɡ r i θ
