Ⴁ	b
მთა	m tʰ ɑ
მთაგრეხილი	m tʰ ɑ ɡ r ɛ x i l i
მთად	m tʰ ɑ d
მთავარანგელოზი	m tʰ ɑ v ɑ r ɑ n ɡ ɛ l ɔ z i
მთავარი	m tʰ ɑ v ɑ r i
მთავრობა	m tʰ ɑ v r ɔ b ɑ
მთავრობად	m tʰ ɑ v r ɔ b ɑ d
მთავრობამ	m tʰ ɑ v r ɔ b ɑ m
მთავრობას	m tʰ ɑ v r ɔ b ɑ s
მთავრობით	m tʰ ɑ v r ɔ b ɪ tʰ
მთავრობის	m tʰ ɑ v r ɔ b ɪ s
მთამ	m tʰ ɑ m
მთამსვლელი	m tʰ ɑ m s v l ɛ l ɪ
მთარგმნელი	m tʰ ɑ r ɡ m n ɛ l i
მთას	m tʰ ɑ s
მთაში	m tʰ ɑ ʃ ɪ
მთაწმინდა	m tʰ ɑ t sʼ m i n d ɑ
მთები	m tʰ ɛ b i
მთებმა	m tʰ ɛ b m ɑ
მთელად	m tʰ ɛ l ɑ d
მთელი	m tʰ ɛ l i
მთვარე	m tʰ v ɑ r ɛ
მთვარედ	m tʰ v ɑ r ɛ d
მთვარემ	m tʰ v ɑ r ɛ m
მთვარეს	m tʰ v ɑ r ɛ s
მთვარით	m tʰ v ɑ r ɪ tʰ
მთვარის	m tʰ v ɑ r ɪ s
მთიანი	m tʰ ɪ ɑ n ɪ
მთით	m tʰ i tʰ
მთის	m tʰ i s
მთისწინეთი	m tʰ ɪ s t sʼ ɪ n ɛ tʰ ɪ
მთიულეთი	m tʰ i u l ɛ tʰ i
მთიულური	m tʰ ɪ u l u r ɪ
მთლიანად	m tʰ l i ɑ n ɑ d
მთლიანი	m tʰ l i ɑ n i
მთლიანობა	m tʰ l i ɑ n ɔ b ɑ
მთხრობელი	m tʰ χ r ɔ b ɛ l ɪ
მიაგნებს	m i ɑ ɡ n ɛ b s
მიამიტად	m ɪ ɑ m ɪ tʼ ɑ d
მიამიტი	m i ɑ m i tʼ i
მიამიტობა	m i ɑ m i tʼ ɔ b ɑ
მიანმარი	m i ɑ n m ɑ r i
მიახლოებით	m ɪ ɑ χ l ɔ ɛ b ɪ tʰ
მიახლოებითი	m ɪ ɑ χ l ɔ ɛ b ɪ tʰ ɪ
მიბაძვითი	m ɪ b ɑ d z v ɪ tʰ ɪ
მიგნება	m ɪ ɡ n ɛ b ɑ
მიდია	m ɪ d ɪ ɑ
მიდიოდა	m ɪ d ɪ ɔ d ɑ
მიდის	m i d i s
მიდრეკილება	m ɪ d r ɛ kʼ ɪ l ɛ b ɑ
მიერ	m ɪ ɛ r
მივდივარ	m ɪ v d ɪ v ɑ r
მივდიოდი	m ɪ v d ɪ ɔ d ɪ
მიველ	m i v ɛ l
მიზანდასახულად	m ɪ z ɑ n d ɑ s ɑ χ u l ɑ d
მიზანთროპია	m ɪ z ɑ n tʰ r ɔ pʼ ɪ ɑ
მიზანი	m i z ɑ n i
მიზანსცენა	m i z ɑ n s t s ɛ n ɑ
მიზანშეწონილად	m ɪ z ɑ n ʃ ɛ t sʼ ɔ n ɪ l ɑ d
მიზეზი	m i z ɛ z i
მიზიდულობა	m i z i d u l ɔ b ɑ
მითამ	m i tʰ ɑ m
მითი	m ɪ tʰ ɪ
მითითება	m ɪ tʰ ɪ tʰ ɛ b ɑ
მითითებამ	m ɪ tʰ ɪ tʰ ɛ b ɑ m
მითითებას	m ɪ tʰ ɪ tʰ ɛ b ɑ s
მითითებით	m ɪ tʰ ɪ tʰ ɛ b ɪ tʰ
მითითების	m ɪ tʰ ɪ tʰ ɛ b ɪ s
მითითებული	m ɪ tʰ ɪ tʰ ɛ b u l ɪ
მითოლოგი	m ɪ tʰ ɔ l ɔ ɡ ɪ
მითოლოგია	m ɪ tʰ ɔ l ɔ ɡ ɪ ɑ
მითოლოგიური	m ɪ tʰ ɔ l ɔ ɡ ɪ u r ɪ
მითუმეტეს	m ɪ tʰ u m ɛ tʼ ɛ s
მიიღებს	m ɪ ɪ ʁ ɛ b s
მიკიტანი	m ɪ kʼ ɪ tʼ ɑ n ɪ
მიკოლოგია	m ɪ kʼ ɔ l ɔ ɡ ɪ ɑ
მიკრობი	m ɪ kʼ r ɔ b ɪ
მიკრომეტრი	m ɪ kʼ r ɔ m ɛ tʼ r ɪ
მიკრონი	m ɪ kʼ r ɔ n ɪ
მიკროსკოპი	m i kʼ r ɔ s kʼ ɔ pʼ i
მიკროსკოპია	m ɪ kʼ r ɔ s kʼ ɔ pʼ ɪ ɑ
მიკროსკოპულად	m ɪ kʼ r ɔ s kʼ ɔ pʼ u l ɑ d
მიკროსკოპული	m ɪ kʼ r ɔ s kʼ ɔ pʼ u l ɪ
მიკროტალღა	m ɪ kʼ r ɔ tʼ ɑ l ʁ ɑ
მიკროფონი	m ɪ kʼ r ɔ pʰ ɔ n ɪ
მილაკი	m ɪ l ɑ kʼ ɪ
მილანი	m ɪ l ɑ n ɪ
მილედი	m ɪ l ɛ d ɪ
მილიგრამი	m ɪ l ɪ ɡ r ɑ m ɪ
მილიონერი	m ɪ l ɪ ɔ n ɛ r ɪ
მილიონი	m ɪ l ɪ ɔ n ɪ
მილიტარიზმი	m ɪ l ɪ tʼ ɑ r ɪ z m ɪ
მილიტარისტი	m ɪ l ɪ tʼ ɑ r ɪ s tʼ ɪ
მილიცია	m ɪ l ɪ t s ɪ ɑ
მილორდი	m ɪ l ɔ r d ɪ
მილსადენი	m ɪ l s ɑ d ɛ n ɪ
მიმართ	m ɪ m ɑ r tʰ
მიმართულება	m ɪ m ɑ r tʰ u l ɛ b ɑ
მიმატება	m i m ɑ tʼ ɛ b ɑ
მიმბაძველად	m ɪ m b ɑ d z v ɛ l ɑ d
მიმდინარე	m ɪ m d ɪ n ɑ r ɛ
მიმზიდველად	m ɪ m z ɪ d v ɛ l ɑ d
მიმზიდველობა	m i m z i d v ɛ l ɔ b ɑ
მიმი	m ɪ m ɪ
მიმოზა	m i m ɔ z ɑ
მიმოხილვით	m i m ɔ x i l v i tʰ
მიმოხილვითი	m ɪ m ɔ χ ɪ l v ɪ tʰ ɪ
მიმღეობა	m ɪ m ʁ ɛ ɔ b ɑ
მიმხრობა	m ɪ m χ r ɔ b ɑ
მინა	m ɪ n ɑ
მინანქარი	m ɪ n ɑ n kʰ ɑ r ɪ
მინდა	m ɪ n d ɑ
მინდვრად	m ɪ n d v r ɑ d
მინდია	m ɪ n d ɪ ɑ
მინდორი	m i n d ɔ r i
მინერალი	m ɪ n ɛ r ɑ l ɪ
მინერალოგი	m ɪ n ɛ r ɑ l ɔ ɡ ɪ
მინერალოგია	m ɪ n ɛ r ɑ l ɔ ɡ ɪ ɑ
მინერალური	m ɪ n ɛ r ɑ l u r ɪ
მინეტი	m ɪ n ɛ tʼ ɪ
მინიატურა	m ɪ n ɪ ɑ tʼ u r ɑ
მინიატურისტი	m ɪ n ɪ ɑ tʼ u r ɪ s tʼ ɪ
მინიმალურად	m ɪ n ɪ m ɑ l u r ɑ d
მინიმალური	m ɪ n ɪ m ɑ l u r ɪ
მინიმუმი	m i n i m u m i
მინისებრი	m ɪ n ɪ s ɛ b r ɪ
მინისტრი	m i n i s tʼ r i
მინისტრულად	m ɪ n ɪ s tʼ r u l ɑ d
მინისტრული	m ɪ n ɪ s tʼ r u l ɪ
მინიშნება	m ɪ n ɪ ʃ n ɛ b ɑ
მინორი	m ɪ n ɔ r ɪ
მინორული	m ɪ n ɔ r u l ɪ
მინოტავრი	m ɪ n ɔ tʼ ɑ v r ɪ
მინსკი	m ɪ n s kʼ ɪ
მინუსი	m ɪ n u s ɪ
მირანდა	m ɪ r ɑ n d ɑ
მირაჟი	m ɪ r ɑ ʒ ɪ
მირეკა	m ɪ r ɛ kʼ ɑ
მირიადი	m i r i ɑ d i
მირიამი	m ɪ r ɪ ɑ m ɪ
მირონცხება	m i r ɔ n t s x ɛ b ɑ
მის	m ɪ s
მისალმება	m i s ɑ l m ɛ b ɑ
მისანი	m i s ɑ n i
მისატევებლად	m ɪ s ɑ tʼ ɛ v ɛ b l ɑ d
მისაღებად	m ɪ s ɑ ʁ ɛ b ɑ d
მისაწვდომობა	m i s ɑ t sʼ v d ɔ m ɔ b ɑ
მისი	m i s i
მისია	m ɪ s ɪ ɑ
მისიონერი	m ɪ s ɪ ɔ n ɛ r ɪ
მისნობა	m i s n ɔ b ɑ
მისტერია	m ɪ s tʼ ɛ r ɪ ɑ
მისტიკა	m ɪ s tʼ ɪ kʼ ɑ
მისტიფიკაცია	m ɪ s tʼ ɪ pʰ ɪ kʼ ɑ t s ɪ ɑ
მისტიციზმი	m ɪ s tʼ ɪ t s ɪ z m ɪ
მისცემს	m i s t s ɛ m s
მიტევება	m ɪ tʼ ɛ v ɛ b ɑ
მიტკალი	m i tʼ kʼ ɑ l i
მიტრა	m ɪ tʼ r ɑ
მიტროპოლიტი	m ɪ tʼ r ɔ pʼ ɔ l ɪ tʼ ɪ
მიუდგომლად	m ɪ u d ɡ ɔ m l ɑ d
მიუდგომლობა	m ɪ u d ɡ ɔ m l ɔ b ɑ
მიუნხენი	m ɪ u n χ ɛ n ɪ
მიუტევებლად	m ɪ u tʼ ɛ v ɛ b l ɑ d
მიუღწევლად	m ɪ u ʁ t sʼ ɛ v l ɑ d
მიუხედავად	m ɪ u χ ɛ d ɑ v ɑ d
მიქსერი	m ɪ kʰ s ɛ r ɪ
მიქსტურა	m ɪ kʰ s tʼ u r ɑ
მიქცევა	m i kʰ t s ɛ v ɑ
მიღება	m ɪ ʁ ɛ b ɑ
მიღებული	m ɪ ʁ ɛ b u l ɪ
მიღმა	m ɪ ʁ m ɑ
მიღწევა	m ɪ ʁ t sʼ ɛ v ɑ
მიღწევადი	m ɪ ʁ t sʼ ɛ v ɑ d ɪ
მიყვარხარ	m i qʼ v ɑ r x ɑ r
მიშა	m i ʃ ɑ
მიშად	m ɪ ʃ ɑ d
მიშამ	m ɪ ʃ ɑ m
მიშას	m ɪ ʃ ɑ s
მიშელი	m ɪ ʃ ɛ l ɪ
მიშის	m ɪ ʃ ɪ s
მიჩიგანი	m i t ʃ i ɡ ɑ n i
მიცემითი	m i t s ɛ m i tʰ i
მიძღვნა	m ɪ d z ʁ v n ɑ
მიწა	m i t sʼ ɑ
მიწათმოქმედი	m ɪ t sʼ ɑ tʰ m ɔ kʰ m ɛ d ɪ
მიწაყრილი	m ɪ t sʼ ɑ qʼ r ɪ l ɪ
მიწერა	m ɪ t sʼ ɛ r ɑ
მიწერილობა	m i t sʼ ɛ r i l ɔ b ɑ
მიწიერი	m ɪ t sʼ ɪ ɛ r ɪ
მიწისმთხრელი	m ɪ t sʼ ɪ s m tʰ χ r ɛ l ɪ
მიწისქვეშა	m ɪ t sʼ ɪ s kʰ v ɛ ʃ ɑ
მიწისძვრა	m i t sʼ i s d z v r ɑ
მიწურული	m ɪ t sʼ u r u l ɪ
მიწყივ	m i t sʼ qʼ i v
მიხაკი	m i x ɑ kʼ i
მიხარია	m ɪ χ ɑ r ɪ ɑ
მიხედვით	m ɪ χ ɛ d v ɪ tʰ
მიხეილ	m i x ɛ i l
მიხეილი	m i x ɛ i l i
მიხვედრილობა	m i x v ɛ d r i l ɔ b ɑ
მიჯნური	m i d ʒ n u r i
მიჰყავს	m i h qʼ ɑ v s
მკაფიო	m kʼ ɑ pʰ ɪ ɔ
მკაფიოდ	m kʼ ɑ pʰ ɪ ɔ d
მკაცრად	m kʼ ɑ t s r ɑ d
მკაცრი	m kʼ ɑ t s r i
მკერდამდე	m kʼ ɛ r d ɑ m d ɛ
მკერდი	m kʼ ɛ r d i
მკვდარი	m kʼ v d ɑ r i
მკვეთრად	m kʼ v ɛ tʰ r ɑ d
მკვეთრი	m kʼ v ɛ tʰ r i
მკვეხარა	m kʼ v ɛ χ ɑ r ɑ
მკვირცხლად	m kʼ v ɪ r t s χ l ɑ d
მკვირცხლი	m kʼ v i r t s x l i
მკვლევარი	m kʼ v l ɛ v ɑ r ɪ
მკვლელობა	m kʼ v l ɛ l ɔ b ɑ
მკვრივად	m kʼ v r ɪ v ɑ d
მკვრივი	m kʼ v r ɪ v ɪ
მკიდია	m kʼ ɪ d ɪ ɑ
მკითხველი	m kʼ ɪ tʰ χ v ɛ l ɪ
მკრეხელობა	m kʼ r ɛ x ɛ l ɔ b ɑ
მკრეხელურად	m kʼ r ɛ χ ɛ l u r ɑ d
მკრთალად	m kʼ r tʰ ɑ l ɑ d
მკრთალი	m kʼ r tʰ ɑ l ɪ
მკურნალობა	m kʼ u r n ɑ l ɔ b ɑ
მლაშე	m l ɑ ʃ ɛ
მლაშობი	m l ɑ ʃ ɔ b ɪ
მლიქვნელობა	m l i kʰ v n ɛ l ɔ b ɑ
მლიქვნელური	m l ɪ kʰ v n ɛ l u r ɪ
მმართველი	m m ɑ r tʰ v ɛ l i
მმართველობა	m m ɑ r tʰ v ɛ l ɔ b ɑ
მმართველობამ	m m ɑ r tʰ v ɛ l ɔ b ɑ m
მმართველობას	m m ɑ r tʰ v ɛ l ɔ b ɑ s
მმართველობის	m m ɑ r tʰ v ɛ l ɔ b i s
მნათე	m n ɑ tʰ ɛ
მნათობი	m n ɑ tʰ ɔ b i
მნემონიკა	m n ɛ m ɔ n ɪ kʼ ɑ
მნემონიკური	m n ɛ m ɔ n ɪ kʼ u r ɪ
მნიშვნელობა	m n ɪ ʃ v n ɛ l ɔ b ɑ
მნიშვნელოვანი	m n ɪ ʃ v n ɛ l ɔ v ɑ n ɪ
მნიშვნელოვნად	m n ɪ ʃ v n ɛ l ɔ v n ɑ d
მოაზროვნე	m ɔ ɑ z r ɔ v n ɛ
მოახლე	m ɔ ɑ χ l ɛ
მოაჯირებიანი	m ɔ ɑ d ʒ ɪ r ɛ b ɪ ɑ n ɪ
მობილიზაცია	m ɔ b ɪ l ɪ z ɑ t s ɪ ɑ
მობილური	m ɔ b i l u r i
მობილურობა	m ɔ b i l u r ɔ b ɑ
მობოდიშებით	m ɔ b ɔ d ɪ ʃ ɛ b ɪ tʰ
მოგება	m ɔ ɡ ɛ b ɑ
მოგვი	m ɔ ɡ v ɪ
მოგვიანებით	m ɔ ɡ v ɪ ɑ n ɛ b ɪ tʰ
მოგზაურობა	m ɔ ɡ z ɑ u r ɔ b ɑ
მოგზაურობს	m ɔ ɡ z ɑ u r ɔ b s
მოგრძო	m ɔ ɡ r d z ɔ
მოდა	m ɔ d ɑ
მოდალობა	m ɔ d ɑ l ɔ b ɑ
მოდგმა	m ɔ d ɡ m ɑ
მოდელი	m ɔ d ɛ l ɪ
მოდერატორი	m ɔ d ɛ r ɑ tʼ ɔ r i
მოდერი	m ɔ d ɛ r ɪ
მოდერნიზაცია	m ɔ d ɛ r n ɪ z ɑ t s ɪ ɑ
მოდერნიზმი	m ɔ d ɛ r n i z m i
მოდერნისტი	m ɔ d ɛ r n ɪ s tʼ ɪ
მოდერნისტული	m ɔ d ɛ r n ɪ s tʼ u l ɪ
მოდი	m ɔ d ɪ
მოდიდო	m ɔ d ɪ d ɔ
მოდიოდა	m ɔ d i ɔ d ɑ
მოდის	m ɔ d i s
მოდულაცია	m ɔ d u l ɑ t s ɪ ɑ
მოდული	m ɔ d u l ɪ
მოდუნებულად	m ɔ d u n ɛ b u l ɑ d
მოდუნებულობა	m ɔ d u n ɛ b u l ɔ b ɑ
მოდურად	m ɔ d u r ɑ d
მოდური	m ɔ d u r i
მოდურობა	m ɔ d u r ɔ b ɑ
მოედანი	m ɔ ɛ d ɑ n i
მოვა	m ɔ v ɑ
მოვალეობა	m ɔ v ɑ l ɛ ɔ b ɑ
მოვარდისფრო	m ɔ v ɑ r d ɪ s pʰ r ɔ
მოვიდა	m ɔ v i d ɑ
მოვლენა	m ɔ v l ɛ n ɑ
მოზაიკა	m ɔ z ɑ ɪ kʼ ɑ
მოზაიკური	m ɔ z ɑ ɪ kʼ u r ɪ
მოზამბიკი	m ɔ z ɑ m b ɪ kʼ ɪ
მოთეთრო	m ɔ tʰ ɛ tʰ r ɔ
მოთმინება	m ɔ tʰ m i n ɛ b ɑ
მოთმინებით	m ɔ tʰ m ɪ n ɛ b ɪ tʰ
მოთხოვნა	m ɔ tʰ χ ɔ v n ɑ
მოთხრობა	m ɔ tʰ x r ɔ b ɑ
მოთხრობითი	m ɔ tʰ χ r ɔ b ɪ tʰ ɪ
მოიჯარე	m ɔ ɪ d ʒ ɑ r ɛ
მოკავშირე	m ɔ kʼ ɑ v ʃ i r ɛ
მოკაზმულობა	m ɔ kʼ ɑ z m u l ɔ b ɑ
მოკასინი	m ɔ kʼ ɑ s ɪ n ɪ
მოკაშკაშე	m ɔ kʼ ɑ ʃ kʼ ɑ ʃ ɛ
მოკეტე	m ɔ kʼ ɛ tʼ ɛ
მოკვალთული	m ɔ kʼ v ɑ l tʰ u l i
მოკვლა	m ɔ kʼ v l ɑ
მოკლავს	m ɔ kʼ l ɑ v s
მოკლე	m ɔ kʼ l ɛ
მოკლედ	m ɔ kʼ l ɛ d
მოკლევადიანი	m ɔ kʼ l ɛ v ɑ d i ɑ n i
მოკრივე	m ɔ kʼ r ɪ v ɛ
მოკრძალება	m ɔ kʼ r d z ɑ l ɛ b ɑ
მოკრძალებულად	m ɔ kʼ r d z ɑ l ɛ b u l ɑ d
მოლაპარაკება	m ɔ l ɑ pʼ ɑ r ɑ kʼ ɛ b ɑ
მოლარე	m ɔ l ɑ r ɛ
მოლაღური	m ɔ l ɑ ʁ u r ɪ
მოლაყბე	m ɔ l ɑ qʼ b ɛ
მოლბერტი	m ɔ l b ɛ r tʼ ɪ
მოლდოვა	m ɔ l d ɔ v ɑ
მოლეკულა	m ɔ l ɛ kʼ u l ɑ
მოლეკულური	m ɔ l ɛ kʼ u l u r ɪ
მოლიბდენი	m ɔ l ɪ b d ɛ n ɪ
მოლოდინი	m ɔ l ɔ d i n i
მოლუსკი	m ɔ l u s kʼ ɪ
მოლხენილად	m ɔ l χ ɛ n ɪ l ɑ d
მომაბეზრებელი	m ɔ m ɑ b ɛ z r ɛ b ɛ l ɪ
მომაბეზრებლად	m ɔ m ɑ b ɛ z r ɛ b l ɑ d
მომავალი	m ɔ m ɑ v ɑ l ɪ
მომავალში	m ɔ m ɑ v ɑ l ʃ ɪ
მომაკვდინებლად	m ɔ m ɑ kʼ v d ɪ n ɛ b l ɑ d
მომართავს	m ɔ m ɑ r tʰ ɑ v s
მომაღლო	m ɔ m ɑ ʁ l ɔ
მომგებიანად	m ɔ m ɡ ɛ b ɪ ɑ n ɑ d
მომგებიანი	m ɔ m ɡ ɛ b ɪ ɑ n ɪ
მომდევნო	m ɔ m d ɛ v n ɔ
მომენატრე	m ɔ m ɛ n ɑ tʼ r ɛ
მომენატრებით	m ɔ m ɛ n ɑ tʼ r ɛ b ɪ tʰ
მომენტალური	m ɔ m ɛ n tʼ ɑ l u r ɪ
მომენტი	m ɔ m ɛ n tʼ ɪ
მომთაბარე	m ɔ m tʰ ɑ b ɑ r ɛ
მომთაბარეობა	m ɔ m tʰ ɑ b ɑ r ɛ ɔ b ɑ
მომიჯნავედ	m ɔ m ɪ d ʒ n ɑ v ɛ d
მომლაშო	m ɔ m l ɑ ʃ ɔ
მომლოდინედ	m ɔ m l ɔ d i n ɛ d
მომჟავო	m ɔ m ʒ ɑ v ɔ
მომრგვალო	m ɔ m r ɡ v ɑ l ɔ
მომღერალი	m ɔ m ʁ ɛ r ɑ l ɪ
მომჩივანი	m ɔ m t ʃ ɪ v ɑ n ɪ
მომწამლავად	m ɔ m t sʼ ɑ m l ɑ v ɑ d
მომწვანო	m ɔ m t sʼ v ɑ n ɔ
მომჭირნე	m ɔ m t ʃʼ ɪ r n ɛ
მომჭირნედ	m ɔ m t ʃʼ ɪ r n ɛ d
მომჭირნეობა	m ɔ m t ʃʼ ɪ r n ɛ ɔ b ɑ
მომხიბვლელი	m ɔ m χ ɪ b v l ɛ l ɪ
მომხიბლავად	m ɔ m χ ɪ b l ɑ v ɑ d
მომხიბლავი	m ɔ m x i b l ɑ v i
მომხიბლაობა	m ɔ m χ ɪ b l ɑ ɔ b ɑ
მომხიბლველად	m ɔ m χ ɪ b l v ɛ l ɑ d
მომხმარებელი	m ɔ m χ m ɑ r ɛ b ɛ l ɪ
მონა	m ɔ n ɑ
მონაზონი	m ɔ n ɑ z ɔ n ɪ
მონათესავე	m ɔ n ɑ tʰ ɛ s ɑ v ɛ
მონათმფლობელობა	m ɔ n ɑ tʰ m pʰ l ɔ b ɛ l ɔ b ɑ
მონანიებით	m ɔ n ɑ n ɪ ɛ b ɪ tʰ
მონარქი	m ɔ n ɑ r kʰ ɪ
მონარქია	m ɔ n ɑ r kʰ ɪ ɑ
მონარქიზმი	m ɔ n ɑ r kʰ ɪ z m ɪ
მონარქისტი	m ɔ n ɑ r kʰ ɪ s tʼ ɪ
მონარქიული	m ɔ n ɑ r kʰ ɪ u l ɪ
მონასტერი	m ɔ n ɑ s tʼ ɛ r i
მონასტრული	m ɔ n ɑ s tʼ r u l ɪ
მონაცემები	m ɔ n ɑ t s ɛ m ɛ b i
მონაცვლეობა	m ɔ n ɑ t s v l ɛ ɔ b ɑ
მონაცრისფრო	m ɔ n ɑ t s r ɪ s pʰ r ɔ
მონეტა	m ɔ n ɛ tʼ ɑ
მონიკა	m ɔ n ɪ kʼ ɑ
მონიტორი	m ɔ n ɪ tʼ ɔ r ɪ
მონობა	m ɔ n ɔ b ɑ
მონოგამია	m ɔ n ɔ ɡ ɑ m ɪ ɑ
მონოგრამა	m ɔ n ɔ ɡ r ɑ m ɑ
მონოგრაფია	m ɔ n ɔ ɡ r ɑ pʰ ɪ ɑ
მონოთეიზმი	m ɔ n ɔ tʰ ɛ ɪ z m ɪ
მონოთეისტი	m ɔ n ɔ tʰ ɛ ɪ s tʼ ɪ
მონოთეისტური	m ɔ n ɔ tʰ ɛ ɪ s tʼ u r ɪ
მონოკლი	m ɔ n ɔ kʼ l ɪ
მონოლითი	m ɔ n ɔ l ɪ tʰ ɪ
მონოლითური	m ɔ n ɔ l ɪ tʰ u r ɪ
მონოლოგი	m ɔ n ɔ l ɔ ɡ ɪ
მონომანია	m ɔ n ɔ m ɑ n ɪ ɑ
მონოპლანი	m ɔ n ɔ pʼ l ɑ n ɪ
მონოპოლია	m ɔ n ɔ pʼ ɔ l i ɑ
მონოპოლისტი	m ɔ n ɔ pʼ ɔ l ɪ s tʼ ɪ
მონოტონურად	m ɔ n ɔ tʼ ɔ n u r ɑ d
მონოტონური	m ɔ n ɔ tʼ ɔ n u r i
მონოტონურობა	m ɔ n ɔ tʼ ɔ n u r ɔ b ɑ
მონრეალი	m ɔ n r ɛ ɑ l ɪ
მონტაჟი	m ɔ n tʼ ɑ ʒ i
მონტენეგრო	m ɔ n tʼ ɛ n ɛ ɡ r ɔ
მონტიორი	m ɔ n tʼ ɪ ɔ r ɪ
მონუმენტი	m ɔ n u m ɛ n tʼ ɪ
მონუმენტური	m ɔ n u m ɛ n tʼ u r ɪ
მონურად	m ɔ n u r ɑ d
მონური	m ɔ n u r ɪ
მონღოლეთი	m ɔ n ɣ ɔ l ɛ tʰ i
მონღოლური	m ɔ n ʁ ɔ l u r ɪ
მორალი	m ɔ r ɑ l ɪ
მორალისტი	m ɔ r ɑ l ɪ s tʼ ɪ
მორალისტური	m ɔ r ɑ l ɪ s tʼ u r ɪ
მორალურად	m ɔ r ɑ l u r ɑ d
მორატორიუმი	m ɔ r ɑ tʼ ɔ r ɪ u m ɪ
მორგანატული	m ɔ r ɡ ɑ n ɑ tʼ u l ɪ
მორგვი	m ɔ r ɡ v ɪ
მორგი	m ɔ r ɡ ɪ
მორევი	m ɔ r ɛ v i
მორთულობა	m ɔ r tʰ u l ɔ b ɑ
მორი	m ɔ r ɪ
მორიდებულად	m ɔ r ɪ d ɛ b u l ɑ d
მორიდებულობა	m ɔ r i d ɛ b u l ɔ b ɑ
მორიელი	m ɔ r i ɛ l i
მორისი	m ɔ r ɪ s ɪ
მორმონები	m ɔ r m ɔ n ɛ b ɪ
მორფემა	m ɔ r pʰ ɛ m ɑ
მორფემული	m ɔ r pʰ ɛ m u l ɪ
მორფი	m ɔ r pʰ ɪ
მორფოლოგია	m ɔ r pʰ ɔ l ɔ ɡ ɪ ɑ
მორფოლოგიურად	m ɔ r pʰ ɔ l ɔ ɡ ɪ u r ɑ d
მორფოლოგიური	m ɔ r pʰ ɔ l ɔ ɡ ɪ u r ɪ
მორჩი	m ɔ r t ʃ ɪ
მორჩილად	m ɔ r t ʃ ɪ l ɑ d
მორჩილობა	m ɔ r t ʃ i l ɔ b ɑ
მორცხვად	m ɔ r t s χ v ɑ d
მორცხვი	m ɔ r t s x v i
მორცხვობა	m ɔ r t s x v ɔ b ɑ
მორწმუნე	m ɔ r t sʼ m u n ɛ
მოსავალი	m ɔ s ɑ v ɑ l ɪ
მოსამსახურე	m ɔ s ɑ m s ɑ x u r ɛ
მოსაჩვენებლად	m ɔ s ɑ t ʃ v ɛ n ɛ b l ɑ d
მოსაწყენად	m ɔ s ɑ t sʼ qʼ ɛ n ɑ d
მოსახლეობა	m ɔ s ɑ x l ɛ ɔ b ɑ
მოსახლეობად	m ɔ s ɑ χ l ɛ ɔ b ɑ d
მოსახლეობამ	m ɔ s ɑ χ l ɛ ɔ b ɑ m
მოსახლეობას	m ɔ s ɑ χ l ɛ ɔ b ɑ s
მოსახლეობით	m ɔ s ɑ χ l ɛ ɔ b ɪ tʰ
მოსახლეობის	m ɔ s ɑ χ l ɛ ɔ b ɪ s
მოსკოვად	m ɔ s kʼ ɔ v ɑ d
მოსკოვი	m ɔ s kʼ ɔ v ɪ
მოსკოვით	m ɔ s kʼ ɔ v ɪ tʰ
მოსკოვის	m ɔ s kʼ ɔ v ɪ s
მოსკოვმა	m ɔ s kʼ ɔ v m ɑ
მოსკოვს	m ɔ s kʼ ɔ v s
მოსულელო	m ɔ s u l ɛ l ɔ
მოსულელოდ	m ɔ s u l ɛ l ɔ d
მოსწავლე	m ɔ s t sʼ ɑ v l ɛ
მოტეხილობა	m ɔ tʼ ɛ x i l ɔ b ɑ
მოტივაცია	m ɔ tʼ ɪ v ɑ t s ɪ ɑ
მოტივი	m ɔ tʼ ɪ v ɪ
მოტკბო	m ɔ tʼ kʼ b ɔ
მოტოციკლეტი	m ɔ tʼ ɔ t s ɪ kʼ l ɛ tʼ ɪ
მოტოციკლი	m ɔ tʼ ɔ t s ɪ kʼ l ɪ
მოტყნული	m ɔ tʼ qʼ n u l ɪ
მოტყუებით	m ɔ tʼ qʼ u ɛ b ɪ tʰ
მოუბარი	m ɔ u b ɑ r ɪ
მოუთმენლად	m ɔ u tʰ m ɛ n l ɑ d
მოუთმენლობა	m ɔ u tʰ m ɛ n l ɔ b ɑ
მოულოდნელად	m ɔ u l ɔ d n ɛ l ɑ d
მოულოდნელობა	m ɔ u l ɔ d n ɛ l ɔ b ɑ
მოუნანიებლად	m ɔ u n ɑ n ɪ ɛ b l ɑ d
მოურიდებლად	m ɔ u r ɪ d ɛ b l ɑ d
მოურიდებლობა	m ɔ u r i d ɛ b l ɔ b ɑ
მოუსვენრად	m ɔ u s v ɛ n r ɑ d
მოუსვენრობა	m ɔ u s v ɛ n r ɔ b ɑ
მოუფიქრებლად	m ɔ u pʰ ɪ kʰ r ɛ b l ɑ d
მოუქნელად	m ɔ u kʰ n ɛ l ɑ d
მოუქნელობა	m ɔ u kʰ n ɛ l ɔ b ɑ
მოუხერხებლად	m ɔ u χ ɛ r χ ɛ b l ɑ d
მოუხეშო	m ɔ u χ ɛ ʃ ɔ
მოფარიკავე	m ɔ pʰ ɑ r ɪ kʼ ɑ v ɛ
მოფერება	m ɔ pʰ ɛ r ɛ b ɑ
