NG	e̞ n d͡ʑ i
압도하다	a̠ p̚ t͈ o̞ ɦ a̠ d a̠
압력	a̠ m ɲ j ʌ̹ k̚
압록강	a̠ m n o̞ k̚ k͈ a̠ ŋ
압록자그사니	a̠ m n o̞ k̚ t͡ɕ͈ a̠ ɡ ɯ sʰ a̠ n i
압박	a̠ p̚ p͈ a̠ k̚
압생트	a̠ p s͈ e̞ ŋ tʰ ɯ
앗	a̠ t̚
았	a̠ t̚
앙골라	a̠ ŋ ɡ o̞ ɭ ɭ a̠
앙상블	a̠ ŋ sʰ a̠ ŋ b ɯ ɭ
앙카라	a̠ ŋ kʰ a̠ ɾ a̠
앙케트	a̠ ŋ kʰ e̞ tʰ ɯ
앞	a̠ p̚
앞다리	a̠ p̚ t͈ a̠ ɾ i
앞두다	a̠ p̚ t͈ u d a̠
앞뒤	a̠ p̚ t͈ ɥ i
앞서	a̠ p s͈ ʌ̹
앞서다	a̠ p s͈ ʌ̹ d a̠
앞장서다	a̠ p̚ t͡ɕ͈ a̠ ŋ sʰ ʌ̹ d a̠
앞치마	a̠ p̚ t͡ɕʰ i m a̠
애	e̞ː
애교	e̞ː ɡ j o
애교살	e̞ ɡ j o sʰ a̠ ɭ
애교쟁이	e̞ ɡ j o d͡ʑ e̞ ŋ i
애국심	e̞ː ɡ u k ɕ͈ i m
애국자	e̞ː ɡ u k̚ t͡ɕ͈ a̠
애국주의	e̞ː ɡ u k̚ t͡ɕ͈ u ɰ i
애굽	e̞ ɡ u p̚
애기	e̞ ɡ i
애기망둑	e̞ː ɡ i m a̠ ŋ d u k̚
애기박쥐	e̞ ɡ i b a̠ k̚ t͡ɕ͈ ɥ i
애너그램	e̞ n ʌ̹ ɡ ɯ ɾ e̞ m
애니메이션	e̞ n i m e̞ i ɕʰ j ʌ̹ n
애도	e̞ d o̞
애드웨어	e̞ d ɯ w e̞ ʌ̹
애로뽈트	e̞ ɾ o̞ p͈ o̞ ɭ tʰ ɯ
애매모호	e̞ː m e̞ m o̞ β o̞
애매모호하다	e̞ː m e̞ m o̞ β o̞ ɦ a̠ d a̠
애무	e̞ː m u
애무하다	e̞ː m u ɦ a̠ d a̠
애벌레	e̞ː b ʌ̹ ɭ ɭ e̞
애비	e̞ b i
애신각라	e̞ ɕʰ i n ɡ a̠ ŋ n a̠
애쓰다	e̞ː s͈ ɯ d a̠
애아	e̞ a̠
애완동물	e̞ː w a̠ n d o̞ ŋ m u ɭ
애인	e̞ː i n
애정	e̞ː d͡ʑ ʌ̹ ŋ
애초	e̞ t͡ɕʰ o̞
애칭	e̞ː t͡ɕʰ i ŋ
애틋하다	e̞ tʰ ɯ tʰ a̠ d a̠
애플	e̞ pʰ ɯ ɭ
애플리케이션	e̞ pʰ ɯ ɭ ʎ i kʰ e̞ i ɕʰ j ʌ̹ n
애환	e̞ β w a̠ n
액	e̞ k̚
액세서리	e̞ k s͈ e̞ sʰ ʌ̹ ɾ i
액수	e̞ k s͈ u
액적	e̞ k̚ t͡ɕ͈ ʌ̹ k̚
액체	e̞ k̚ t͡ɕʰ e̞
앨리게이터	e̞ ɭ ʎ i ɡ e̞ i tʰ ʌ̹
앨리트	e̞ ɭ ʎ i tʰ ɯ
앨범	e̞ ɭ b ʌ̹ m
앰뷸런스	e̞ m b j u ɭ ɭ ʌ̹ n sʰ ɯ
앰풀	e̞ m pʰ u ɭ
앱	e̞ p̚
앵	e̞ ŋ
앵무새	e̞ ŋ m u sʰ e̞
야	j a̠
야	j a̠ː
야간	j a̠ː ɡ a̠ n
야경	j a̠ː ɡ j ʌ̹ ŋ
야곱	j a̠ ɡ o̞ p̚
야구	j a̠ː ɡ u
야구장	j a̠ː ɡ u d͡ʑ a̠ ŋ
야금야금	j a̠ ɡ ɯ m j a̠ ɡ ɯ m
야기하다	j a̠ː ɡ i ɦ a̠ d a̠
야드	j a̠ d ɯ
야레	j a̠ ɾ e̞
야마토	j a̠ m a̠ tʰ o̞
야만인	j a̠ː m a̠ n i n
야망	j a̠ː m a̠ ŋ
야무수크로	j a̠ m u sʰ u k x ɯ ɾ o̞
야민정음	j a̠ m i n d͡ʑ ʌ̹ ŋ ɯ m
야비하다	j a̠ː b i ɦ a̠ d a̠
야식	j a̠ː ɕʰ i k̚
야심	j a̠ː ɕʰ i m
야운데	j a̠ u n d e̞
야자유	j a̠ː d͡ʑ a̠ j u
야채	j a̠ː t͡ɕʰ e̞
야쿠자	j a̠ kʰ u d͡ʑ a̠
야쿠츠크	j a̠ kʰ u t͡ɕʰ ɯ k x ɯ
야하다	j a̠ː ɦ a̠ d a̠
야한	j a̠ː ɦ a̠ n
야회	j a̠ː β w e̞
야훼	j a̠ β w e̞
약	j a̠ k̚
약간	j a̠ k̚ k͈ a̠ n
약국	j a̠ k̚ k͈ u k̚
약력	j a̠ ŋ ɲ j ʌ̹ k̚
약리학	j a̠ ŋ n i ɦ a̠ k̚
약물	j a̠ ŋ m u ɭ
약사	j a̠ k s͈ a̠
약속	j a̠ k s͈ o̞ k̚
약속하다	j a̠ k s͈ o̞ kʰ a̠ d a̠
약식	j a̠ k ɕ͈ i k̚
약실	j a̠ k ɕ͈ i ɭ
약어	j a̠ ɡ ʌ̹
약자	j a̠ k̚ t͡ɕ͈ a̠
약점	j a̠ k̚ t͡ɕ͈ ʌ̹ m
약주	j a̠ k̚ t͡ɕ͈ u
약탈	j a̠ k̚ tʰ a̠ ɭ
약하다	j a̠ kʰ a̠ d a̠
약학	j a̠ kʰ a̠ k̚
약혼	j a̠ kʰ o̞ n
약혼녀	j a̠ kʰ o̞ n ɲ j ʌ̹
약혼자	j a̠ kʰ o̞ n d͡ʑ a̠
얇다	j a̠ː ɭ t͈ a̠
얌차	j a̠ m t͡ɕʰ a̠
양	j a̠ ŋ
양곤	j a̠ ŋ ɡ o̞ n
양국	j a̠ ŋ ɡ u k̚
양귀비	j a̠ ŋ ɡ ɥ i b i
양금	j a̠ ŋ ɡ ɯ m
양념	j a̠ ŋ ɲ j ʌ̹ m
양다리	j a̠ ŋ d a̠ ɾ i
양동이	j a̠ ŋ d o̞ ŋ i
양력	j a̠ ŋ ɲ j ʌ̹ k̚
양로쵈	j a̠ ŋ n o̞ t͡ɕʰ w e̞ ɭ
양말	j a̠ ŋ m a̠ ɭ
양면	j a̠ ŋ m j ʌ̹ n
양모	j a̠ ŋ m o̞
양반	j a̠ ŋ b a̠ n
양배추	j a̠ ŋ b e̞ t͡ɕʰ u
양복	j a̠ ŋ b o̞ k̚
양봉	j a̠ː ŋ b o̞ ŋ
양봉가	j a̠ː ŋ b o̞ ŋ ɡ a̠
양상	j a̠ ŋ sʰ a̠ ŋ
양서류	j a̠ː ŋ sʰ ʌ̹ ɾ j u
양성애	j a̠ː ŋ sʰ ʌ̹ ŋ e̞
양성애자	j a̠ː ŋ sʰ ʌ̹ ŋ e̞ d͡ʑ a̠
양수사	j a̠ ŋ sʰ u sʰ a̠
양식	j a̠ ŋ ɕʰ i k̚
양심	j a̠ ŋ ɕʰ i m
양우	j a̠ ŋ u
양유	j a̠ ŋ j u
양자	j a̠ ŋ d͡ʑ a̠
양자역학	j a̠ ŋ d͡ʑ a̠ j ʌ̹ kʰ a̠ k̚
양자전기역학	j a̠ ŋ d͡ʑ a̠ d͡ʑ ʌ̹ n ɡ i j ʌ̹ kʰ a̠ k̚
양조장	j a̠ː ŋ d͡ʑ o̞ d͡ʑ a̠ ŋ
양주	j a̠ ŋ d͡ʑ u
양즈	j a̠ ŋ d͡ʑ ɯ
양쪽	j a̠ː ŋ t͡ɕ͈ o̞ k̚
양초	j a̠ ŋ t͡ɕʰ o̞
양탄자	j a̠ ŋ tʰ a̠ n d͡ʑ a̠
양태	j a̠ ŋ tʰ e̞
양파	j a̠ ŋ pʰ a̠
양피지	j a̠ ŋ pʰ i d͡ʑ i
양하	j a̠ ŋ ɦ a̠
얕다	j a̠ t̚ t͈ a̠
얕보다	j a̠ t̚ p͈ o̞ d a̠
얕잡다	j a̠ t̚ t͡ɕ͈ a̠ p̚ t͈ a̠
얘기	j e̞ː ɡ i
얘기하다	j e̞ː ɡ i ɦ a̠ d a̠
어	ʌ̹
어간	ɘː ɡ a̠ n
어감	ɘː ɡ a̠ m
어구	ɘː ɡ u
어근	ɘː ɡ ɯ n
어금니	ʌ̹ ɡ ɯ m n i
어긋나다	ʌ̹ ɡ ɯ n n a̠ d a̠
어깨	ʌ̹ k͈ e̞
어깨뼈	ʌ̹ k͈ e̞ p͈ j ʌ̹
어느	ʌ̹ n ɯ
어느새	ʌ̹ n ɯ sʰ e̞
어댑터	ʌ̹ d e̞ p̚ tʰ ʌ̹
어덩이	ʌ̹ d ʌ̹ ŋ i
어도	ʌ̹ d o̞
어둠	ʌ̹ d u m
어둡다	ʌ̹ d u p̚ t͈ a̠
어드벤처	ʌ̹ d ɯ b e̞ n t͡ɕʰ ʌ̹
어디	ʌ̹ d i
어디여	ʌ̹ d i j ʌ̹
어떠하다	ʌ̹ t͈ ʌ̹ ɦ a̠ d a̠
어떡하다	ʌ̹ t͈ ʌ̹ kʰ a̠ d a̠
어떤	ʌ̹ t͈ ʌ̹ n
어떻게	ʌ̹ t͈ ʌ̹ kʰ e̞
어떻다	ʌ̹ t͈ ʌ̹ tʰ a̠
어라	ʌ̹ ɾ a̠
어란	ʌ̹ ɾ a̠ n
어려움	ʌ̹ ɾ j ʌ̹ u m
어렴풋이	ʌ̹ ɾ j ʌ̹ m pʰ u ɕʰ i
어렵다	ʌ̹ ɾ j ʌ̹ p̚ t͈ a̠
어렵사리	ʌ̹ ɾ j ʌ̹ p s͈ a̠ ɾ i
어뢰	ʌ̹ ɾ w e̞
어룡	ʌ̹ ɾ j o ŋ
어루다	ʌ̹ ɾ u d a̠
어르다	ɘː ɾ ɯ d a̠
어른	ɘː ɾ ɯ n
어름치	ʌ̹ ɾ ɯ m t͡ɕʰ i
어리다	ʌ̹ ɾ i d a̠
어리석다	ʌ̹ ɾ i sʰ ʌ̹ k̚ t͈ a̠
어린아이	ʌ̹ ɾ i n a̠ i
어린이	ʌ̹ ɾ i n i
어린이집	ʌ̹ ɾ i n i d͡ʑ i p̚
어릿광대	ʌ̹ ɾ i t̚ k͈ w a̠ ŋ d e̞
어머	ʌ̹ m ʌ̹
어머나	ɘː m ʌ̹ n a̠
어머니	ʌ̹ m ʌ̹ n i
어머님	ʌ̹ m ʌ̹ n i m
어묵	ʌ̹ m u k̚
어미	ɘː m i
어미	ʌ̹ m i
어버이	ʌ̹ b ʌ̹ i
어부	ʌ̹ b u
어븀	ʌ̹ b j u m
어색	ɘː sʰ e̞ k̚
어색하다	ɘː sʰ e̞ kʰ a̠ d a̠
어서	ʌ̹ sʰ ʌ̹
어여머리	ʌ̹ j ʌ̹ m ʌ̹ ɾ i
어여쁘다	ʌ̹ j ʌ̹ p͈ ɯ d a̠
어엿하다	ʌ̹ j ʌ̹ tʰ a̠ d a̠
어요	ʌ̹ j o
어우러지다	ʌ̹ u ɾ ʌ̹ d͡ʑ i d a̠
어울리다	ʌ̹ u ɭ ʎ i d a̠
어원	ɘː w ʌ̹ n
어원학	ɘː w ʌ̹ n ɦ a̠ k̚
어이	ʌ̹ i
어저께	ʌ̹ d͡ʑ ʌ̹ k͈ e̞
어제	ʌ̹ d͡ʑ e̞
어젯밤	ʌ̹ d͡ʑ e̞ t̚ p͈ a̠ m
어족	ɘː d͡ʑ o̞ k̚
어지럽다	ʌ̹ d͡ʑ i ɾ ʌ̹ p̚ t͈ a̠
어쨌든	ʌ̹ t͡ɕ͈ e̞ t̚ t͈ ɯ n
어쩌다	ʌ̹ t͡ɕ͈ ʌ̹ d a̠
어쩌면	ʌ̹ t͡ɕ͈ ʌ̹ m j ʌ̹ n
어찌	ʌ̹ t͡ɕ͈ i
어찌하다	ʌ̹ t͡ɕ͈ i ɦ a̠ d a̠
어차피	ʌ̹ t͡ɕʰ a̠ pʰ i
어치	ʌ̹ t͡ɕʰ i
어파	ɘː pʰ a̠
어학	ɘː ɦ a̠ k̚
어휘	ɘː ɦ ɥ i
어휘소	ʌ̹ ɦ ɥ i sʰ o̞
억류	ʌ̹ ŋ ɲ j u
억류자	ʌ̹ ŋ ɲ j u d͡ʑ a̠
억울하다	ʌ̹ ɡ u ɾ ɦ a̠ d a̠
언	ʌ̹ n
언급하다	ʌ̹ n ɡ ɯ pʰ a̠ d a̠
언니	ʌ̹ n n i
언덕	ʌ̹ n d ʌ̹ k̚
언뜻	ʌ̹ n t͈ ɯ t̚
언론	ʌ̹ ɭ ɭ o̞ n
언론가	ʌ̹ ɭ ɭ o̞ n ɡ a̠
언론학	ʌ̹ ɭ ɭ o̞ n ɦ a̠ k̚
언론학자	ʌ̹ ɭ ɭ o̞ n ɦ a̠ k̚ t͡ɕ͈ a̠
언문	ɘː n m u n
언어	ʌ̹ n ʌ̹
언어학	ʌ̹ n ʌ̹ ɦ a̠ k̚
언제	ɘː n d͡ʑ e̞
언제나	ɘː n d͡ʑ e̞ n a̠
언젠가	ɘː n d͡ʑ e̞ n ɡ a̠
언짢다	ʌ̹ n t͡ɕ͈ a̠ n tʰ a̠
얹다	ʌ̹ n t͈ a̠
얻다	ɘː t̚ t͈ a̠
얻다	ʌ̹ t̚ t͈ a̠
얼	ɘː ɭ
얼	ʌ̹ ɭ
얼굴	ʌ̹ ɭ ɡ u ɭ
얼굴빛	ʌ̹ ɭ ɡ u ɭ p͈ i t̚
얼다	ɘː ɭ d a̠
얼룩	ʌ̹ ɭ ɭ u k̚
얼룩동사리	ʌ̹ ɭ ɭ u k̚ t͈ o̞ ŋ sʰ a̠ ɾ i
얼룩말	ʌ̹ ɭ ɭ u ŋ m a̠ ɭ
얼룩새코미꾸리	ʌ̹ ɭ ɭ u k s͈ e̞ kʰ o̞ m i k͈ u ɾ i
얼른	ʌ̹ ɭ ɭ ɯ n
얼리다	ʌ̹ ɭ ʎ i d a̠
얼마	ʌ̹ ɭ m a̠
얼마나	ʌ̹ ɭ m a̠ n a̠
얼버무리다	ʌ̹ ɭ b ʌ̹ m u ɾ i d a̠
얼쑤	ʌ̹ ɭ s͈ u
얼어붙다	ʌ̹ ɾ ʌ̹ b u t̚ t͈ a̠
얼음	ʌ̹ ɾ ɯ m
얼음과자	ʌ̹ ɾ ɯ m ɡ w a̠ d͡ʑ a̠
얼음보숭이	ʌ̹ ɾ ɯ m b o̞ sʰ u ŋ i
얼짱	ʌ̹ ɭ t͡ɕ͈ a̠ ŋ
얼핏	ʌ̹ ɭ pʰ i t̚
얽다	ʌ̹ k̚ t͈ a̠
얽매다	ʌ̹ ŋ m e̞ d a̠
얽매이다	ʌ̹ ŋ m e̞ i d a̠
엄	ʌ̹ m
엄격	ʌ̹ m k͈ j ʌ̹ k̚
엄격하다	ʌ̹ m k͈ j ʌ̹ kʰ a̠ d a̠
엄니	ɘː m n i
엄마	ʌ̹ m m a̠
엄지	ʌ̹ m d͡ʑ i
엄지손가락	ʌ̹ m d͡ʑ i sʰ o̞ n ɡ a̠ ɾ a̠ k̚
엄청나다	ʌ̹ m t͡ɕʰ ʌ̹ ŋ n a̠ d a̠
엄친아	ʌ̹ m t͡ɕʰ i n a̠
업	ʌ̹ p̚
업그레이드	ʌ̹ p̚ k͈ ɯ ɾ e̞ i d ɯ
업다	ʌ̹ p̚ t͈ a̠
업동이	ʌ̹ p̚ t͈ o̞ ŋ i
업둥이	ʌ̹ p̚ t͈ u ŋ i
업무	ʌ̹ m m u
업신여기다	ɘː p ɕ͈ i n ɲ j ʌ̹ ɡ i d a̠
업종	ʌ̹ p̚ t͡ɕ͈ o̞ ŋ
업체	ʌ̹ p̚ t͡ɕʰ e̞
없다	ɘː p̚ t͈ a̠
없애다	ʌ̹ p s͈ e̞ d a̠
없어지다	ɘː p s͈ ʌ̹ d͡ʑ i d a̠
없었다	ʌ̹ p s͈ ʌ̹ t̚ t͈ a̠
없이	ɘː p ɕ͈ i
엇비슷하다	ʌ̹ t̚ p͈ i sʰ ɯ tʰ a̠ d a̠
었	ʌ̹ t̚
엉	ʌ̹ ŋ
엉겁결에	ʌ̹ ŋ ɡ ʌ̹ p̚ k͈ j ʌ̹ ɾ e̞
엉덩방아	ɘː ŋ d ʌ̹ ŋ b a̠ ŋ a̠
엉덩이	ɘː ŋ d ʌ̹ ŋ i
엉뚱하다	ʌ̹ ŋ t͈ u ŋ ɦ a̠ d a̠
엉망	ʌ̹ ŋ m a̠ ŋ
엉망진창	ʌ̹ ŋ m a̠ ŋ d͡ʑ i n t͡ɕʰ a̠ ŋ
엉엉	ʌ̹ ŋ ʌ̹ ŋ
엉큼하다	ʌ̹ ŋ k x ɯ m ɦ a̠ d a̠
엎드리다	ʌ̹ p̚ t͈ ɯ ɾ i d a̠
엎지르다	ʌ̹ p̚ t͡ɕ͈ i ɾ ɯ d a̠
에	e̞
에게	e̞ ɡ e̞
에너지	e̞ n ʌ̹ d͡ʑ i
에네르기	e̞ n e̞ ɾ ɯ ɡ i
에러	e̞ ɾ ʌ̹
에르븀	e̞ ɾ ɯ b j u m
에리트레아	e̞ ɾ i tʰ ɯ ɾ e̞ a̠
에멜무지로	e̞ m e̞ ɭ m u d͡ʑ i ɾ o̞
에모지	e̞ m o̞ d͡ʑ i
에뮤	e̞ m j u
에미	e̞ m i
에미리트	e̞ m i ɾ i tʰ ɯ
에서	e̞ sʰ ʌ̹
에스빠냐	e̞ sʰ ɯ p͈ a̠ ɲ j a̠
에스체트	e̞ sʰ ɯ t͡ɕʰ e̞ tʰ ɯ
에스컬레이터	e̞ sʰ ɯ kʰ ʌ̹ ɭ ɭ e̞ i tʰ ʌ̹
에스터	e̞ sʰ ɯ tʰ ʌ̹
에스테르	e̞ sʰ ɯ tʰ e̞ ɾ ɯ
에스토니아	e̞ sʰ ɯ tʰ o̞ n i a̠
에스토니아어	e̞ sʰ ɯ tʰ o̞ n i a̠ ʌ̹
에스파냐	e̞ sʰ ɯ pʰ a̠ ɲ j a̠
에어컨	e̞ ʌ̹ kʰ ʌ̹ n
에이즈	e̞ i d͡ʑ ɯ
에잇	e̞ i t̚
에취	e̞ t͡ɕʰ ɥ i
에콰도르	e̞ kʰ w a̠ d o̞ ɾ ɯ
에터	e̞ tʰ ʌ̹
에테르	e̞ tʰ e̞ ɾ ɯ
에티오피아	e̞ tʰ i o̞ pʰ i a̠
에티켓	e̞ tʰ i kʰ e̞ t̚
에피소드	e̞ pʰ i sʰ o̞ d ɯ
엔	e̞ n
엔진	e̞ n d͡ʑ i n
엘니노	e̞ ɭ ʎ i n o̞
엘니뇨	e̞ ɭ ʎ i ɲ j o
엘리베이터	e̞ ɭ ʎ i b e̞ i tʰ ʌ̹
엘리트	e̞ ɭ ʎ i tʰ ɯ
엘살바도르	e̞ ɭ sʰ a̠ ɭ b a̠ d o̞ ɾ ɯ
여가	j ʌ̹ ɡ a̠
여객	j ʌ̹ ɡ e̞ k̚
여객기	j ʌ̹ ɡ e̞ k̚ k͈ i
여건	j ɘː ɡ ʌ̹ n
여겨지다	j ʌ̹ ɡ j ʌ̹ d͡ʑ i d a̠
여고생	j ʌ̹ ɡ o̞ sʰ e̞ ŋ
여과	j ɘː ɡ w a̠
여과기	j ɘː ɡ w a̠ ɡ i
여관	j ʌ̹ ɡ w a̠ n
여권	j ʌ̹ k͈ w ʌ̹ n
여기	j ʌ̹ ɡ i
여기다	j ʌ̹ ɡ i d a̠
여기저기	j ʌ̹ ɡ i d͡ʑ ʌ̹ ɡ i
여남은	j ʌ̹ n a̠ m ɯ n
여단	j ɘː d a̠ n
여닫다	j ɘː d a̠ t̚ t͈ a̠
여대생	j ʌ̹ d e̞ sʰ e̞ ŋ
여덟	j ʌ̹ d ʌ̹ ɭ
여동생	j ʌ̹ d o̞ ŋ sʰ e̞ ŋ
여드레	j ʌ̹ d ɯ ɾ e̞
여드름	j ʌ̹ d ɯ ɾ ɯ m
여든	j ʌ̹ d ɯ n
여든째	j ʌ̹ d ɯ n t͡ɕ͈ e̞
여러	j ʌ̹ ɾ ʌ̹
여러분	j ʌ̹ ɾ ʌ̹ b u n
여러해살이	j ʌ̹ ɾ ʌ̹ ɦ e̞ sʰ a̠ ɾ i
여럿	j ʌ̹ ɾ ʌ̹ t̚
여론	j ɘː ɾ o̞ n
여름	j ʌ̹ ɾ ɯ m
여배우	j ʌ̹ b e̞ u
여보	j ʌ̹ b o̞
여보세요	j ʌ̹ b o̞ sʰ e̞ j o
여사친	j ʌ̹ sʰ a̠ t͡ɕʰ i n
여색	j ʌ̹ sʰ e̞ k̚
여섯	j ʌ̹ sʰ ʌ̹ t̚
여섯째	j ʌ̹ sʰ ʌ̹ t̚ t͡ɕ͈ e̞
여성	j ʌ̹ sʰ ʌ̹ ŋ
여성스럽다	j ʌ̹ sʰ ʌ̹ ŋ sʰ ɯ ɾ ʌ̹ p̚ t͈ a̠
여신	j ʌ̹ ɕʰ i n
여왕	j ʌ̹ w a̠ ŋ
여우	j ʌ̹ u
여우비	j ʌ̹ u b i
여울	j ʌ̹ u ɭ
여울마자	j ʌ̹ u ɭ m a̠ d͡ʑ a̠
여유	j ʌ̹ j u
여의자	j ʌ̹ ɰ i d͡ʑ a̠
여인	j ʌ̹ i n
여인숙	j ʌ̹ i n sʰ u k̚
여자	j ʌ̹ d͡ʑ a̠
여자친구	j ʌ̹ d͡ʑ a̠ t͡ɕʰ i n ɡ u
여장	j ʌ̹ d͡ʑ a̠ ŋ
여전하다	j ʌ̹ d͡ʑ ʌ̹ n ɦ a̠ d a̠
여전히	j ʌ̹ d͡ʑ ʌ̹ n ʝ i
여정	j ʌ̹ d͡ʑ ʌ̹ ŋ
여제	j ʌ̹ d͡ʑ e̞
여중생	j ʌ̹ d͡ʑ u ŋ sʰ e̞ ŋ
여진	j ʌ̹ d͡ʑ i n
여쭈다	j ɘː t͡ɕ͈ u d a̠
여체	j ʌ̹ t͡ɕʰ e̞
여친	j ʌ̹ t͡ɕʰ i n
여학생	j ʌ̹ ɦ a̠ k s͈ e̞ ŋ
여행	j ʌ̹ ɦ e̞ ŋ
여행사	j ʌ̹ ɦ e̞ ŋ sʰ a̠
여행자	j ʌ̹ ɦ e̞ ŋ d͡ʑ a̠
여행하다	j ʌ̹ ɦ e̞ ŋ ɦ a̠ d a̠
여호와	j ʌ̹ β o̞ w a̠
역	j ʌ̹ k̚
역겹다	j ʌ̹ k̚ k͈ j ʌ̹ p̚ t͈ a̠
역경	j ʌ̹ k̚ k͈ j ʌ̹ ŋ
역대급	j ʌ̹ k̚ t͈ e̞ ɡ ɯ p̚
역량	j ʌ̹ ŋ ɲ j a̠ ŋ
역사	j ʌ̹ k s͈ a̠
역사가	j ʌ̹ k s͈ a̠ ɡ a̠
역사적	j ʌ̹ k s͈ a̠ d͡ʑ ʌ̹ k̚
역시	j ʌ̹ k ɕ͈ i
역원	j ʌ̹ ɡ w ʌ̹ n
역학	j ʌ̹ kʰ a̠ k̚
역할	j ʌ̹ kʰ a̠ ɭ
엮다	j ʌ̹ k̚ t͈ a̠
연	j ʌ̹ n
연가	j ɘː n ɡ a̠
연감	j ʌ̹ n ɡ a̠ m
연결	j ʌ̹ n ɡ j ʌ̹ ɭ
연결되다	j ʌ̹ n ɡ j ʌ̹ ɭ d w e̞ d a̠
연결하다	j ʌ̹ n ɡ j ʌ̹ ɾ ɦ a̠ d a̠
연고	j ɘː n ɡ o̞
연골	j ɘː n ɡ o̞ ɭ
연구	j ɘː n ɡ u
연구되다	j ʌ̹ n ɡ u d w e̞ d a̠
연구생	j ʌ̹ n ɡ u sʰ e̞ ŋ
연구소	j ʌ̹ n ɡ u sʰ o̞
연구원	j ɘː n ɡ u w ʌ̹ n
연구원생	j ʌ̹ n ɡ u w ʌ̹ n sʰ e̞ ŋ
연구자	j ɘː n ɡ u d͡ʑ a̠
연구하다	j ɘː n ɡ u ɦ a̠ d a̠
연극	j ɘː n ɡ ɯ k̚
연금	j ʌ̹ n ɡ ɯ m
연기	j ɘː n ɡ i
연기	j ʌ̹ n ɡ i
연기자	j ɘː n ɡ i d͡ʑ a̠
연대	j ʌ̹ n d e̞
연대학	j ʌ̹ n d e̞ ɦ a̠ k̚
연락	j ʌ̹ ɭ ɭ a̠ k̚
연락처	j ʌ̹ ɭ ɭ a̠ k̚ t͡ɕʰ ʌ̹
연락하다	j ʌ̹ ɭ ɭ a̠ kʰ a̠ d a̠
연령	j ʌ̹ ɭ ʎ j ʌ̹ ŋ
연료	j ʌ̹ ɭ ʎ j o
연루	j ʌ̹ ɭ ɭ u
연말	j ʌ̹ n m a̠ ɭ
연맹	j ʌ̹ n m e̞ ŋ
연못	j ʌ̹ n m o̞ t̚
연방	j ʌ̹ n b a̠ ŋ
연뿌리	j ʌ̹ n p͈ u ɾ i
연상	j ʌ̹ n sʰ a̠ ŋ
연설	j ɘː n sʰ ʌ̹ ɭ
연세	j ʌ̹ n sʰ e̞
연속	j ʌ̹ n sʰ o̞ k̚
연속극	j ʌ̹ n sʰ o̞ k̚ k͈ ɯ k̚
연습	j ɘː n sʰ ɯ p̚
연습곡	j ɘː n sʰ ɯ p̚ k͈ o̞ k̚
연습하다	j ɘː n sʰ ɯ pʰ a̠ d a̠
연안	j ʌ̹ n a̠ n
연애	j ɘː n e̞
연애편지	j ɘː n e̞ pʰ j ʌ̹ n d͡ʑ i
연어	j ʌ̹ n ʌ̹
연예인	j ɘː ɲ j e̞ i n
연옥	j ɘː n o̞ k̚
연월일	j ʌ̹ n w ʌ̹ ɾ i ɭ
연적	j ɘː n d͡ʑ ʌ̹ k̚
연주	j ɘː n d͡ʑ u
연주하다	j ɘː n d͡ʑ u ɦ a̠ d a̠
연준모치	j ʌ̹ n d͡ʑ u n m o̞ t͡ɕʰ i
연체동물	j ɘː n t͡ɕʰ e̞ d o̞ ŋ m u ɭ
연초	j ʌ̹ n t͡ɕʰ o̞
연출	j ɘː n t͡ɕʰ u ɭ
연패	j ʌ̹ n pʰ e̞
연필	j ʌ̹ n pʰ i ɭ
연하다	j ɘː n ɦ a̠ d a̠
연합	j ʌ̹ n ɦ a̠ p̚
연혁	j ɘː n ʝ j ʌ̹ k̚
연회	j ɘː n β w e̞
연휴	j ʌ̹ n ʝ j u
연흔	j ʌ̹ n ɣ ɯ n
엳아홉	j ʌ̹ d a̠ β o̞ p̚
열	j ʌ̹ ɭ
열넷	j ʌ̹ ɭ ɭ e̞ t̚
열다	j ɘː ɭ d a̠
열다섯	j ʌ̹ ɭ t͈ a̠ sʰ ʌ̹ t̚
열다섯째	j ʌ̹ ɭ t͈ a̠ sʰ ʌ̹ t̚ t͡ɕ͈ e̞
열대	j ɘː ɭ d e̞
열대붉은해오라기	j ʌ̹ ɭ d e̞ b u ɭ ɡ ɯ n ɦ e̞ o̞ ɾ a̠ ɡ i
열도	j ʌ̹ ɭ t͈ o̞
열동갈문절	j ʌ̹ ɭ t͈ o̞ ŋ ɡ a̠ ɭ m u n d͡ʑ ʌ̹ ɭ
열둘	j ʌ̹ ɭ t͈ u ɭ
열등감	j ʌ̹ ɭ t͈ ɯ ŋ ɡ a̠ m
열람실	j ʌ̹ ɭ ɭ a̠ m ɕʰ i ɭ
열리다	j ʌ̹ ɭ ʎ i d a̠
열매	j ʌ̹ ɭ m e̞
열목어	j ʌ̹ ɭ m o̞ ɡ ʌ̹
열반	j ʌ̹ ɭ b a̠ n
열병	j ʌ̹ ɭ b j ʌ̹ ŋ
열셋	j ʌ̹ ɭ s͈ e̞ t̚
열셋째	j ʌ̹ ɭ s͈ e̞ t̚ t͡ɕ͈ e̞
열쇠	j ɘː ɭ s͈ w e̞
열심히	j ʌ̹ ɭ ɕ͈ i m ʝ i
열아홉	j ʌ̹ ɾ a̠ β o̞ p̚
