abo	a b ɔ
wódajtej	w ɨ d a j t ɛ j
wódajtej	w ɛ d a j t ɛ j
wódajtej	w ʊ d a j t ɛ j
wódce	w ɨ t t͡s ɛ
wódce	w ɛ t t͡s ɛ
wódce	w ʊ t t͡s ɛ
wódka	w ɨ t k a
wódka	w ɛ t k a
wódka	w ʊ t k a
wódkach	w ɨ t k a x
wódkach	w ɛ t k a x
wódkach	w ʊ t k a x
wódkami	w ɨ t k a mʲ i
wódkami	w ɛ t k a mʲ i
wódkami	w ʊ t k a mʲ i
wódki	w ɨ t kʲ i
wódki	w ɛ t kʲ i
wódki	w ʊ t kʲ i
wódkow	w ɨ t k ɔ w
wódkow	w ɛ t k ɔ w
wódkow	w ʊ t k ɔ w
wódy	w ɨ d ɨ
wódy	w ɛ d ɨ
wódy	w ʊ d ɨ
wogeń	ɔ ɡʲ ɛ nʲ
woglěd	ɔ ɡ l ɪ t
woglědaś	ɔ ɡ l ɪ d a ɕ
wogon	ɔ ɡ ɛ n
wójak	w ɛ j a k
wójca	w ɛ j t͡s a
wójowaŕ	w ɛ j o w a rʲ
wójowaś	w ɛ j ɔ w a ɕ
woko	ɔ k ɔ
wokoło	ɔ k ɔ w ɔ
wokuń	ɔ k u nʲ
wólša	w ɨ l ʃ a
wólša	w ɛ l ʃ a
wólša	w ʊ l ʃ a
wón	w ɨ n
wón	w ɛ n
wón	w ʊ n
wóna	w ɨ n a
wóna	w ɛ n a
wóna	w ʊ n a
wónej	w ɨ n ɛ j
wónej	w ɛ n ɛ j
wónej	w ʊ n ɛ j
wóni	w ɨ nʲ i
wóni	w ɛ nʲ i
wóni	w ʊ nʲ i
wóno	w ɨ n ɔ
wóno	w ɛ n ɔ
wóno	w ʊ n ɔ
wórjech	w ɨ rʲ ɛ x
wórjech	w ɛ rʲ ɛ x
wórjech	w ʊ rʲ ɛ x
wós	w ɨ s
wós	w ɛ s
wós	w ʊ s
wósa	w ɨ s a
wósa	w ɛ s a
wósa	w ʊ s a
wósach	w ɨ s a x
wósach	w ɛ s a x
wósach	w ʊ s a x
wósam	w ɨ s a m
wósam	w ɛ s a m
wósam	w ʊ s a m
wósami	w ɨ s a m i
wósami	w ɛ s a m i
wósami	w ʊ s a m i
wóse	w ɨ s ɛ
wóse	w ɛ s ɛ
wóse	w ʊ s ɛ
wósebny	w ɨ s ɛ b n ɨ
wósebny	w ɛ s ɛ b n ɨ
wósebny	w ʊ s ɛ b n ɨ
wósk	w ɨ s k
wósk	w ɛ s k
wósk	w ʊ s k
wósoba	w ɨ s ɔ b a
wósoba	w ɛ s ɔ b a
wósoba	w ʊ s ɔ b a
wósoł	w ɨ s ɔ w
wósoł	w ɛ s ɔ w
wósoł	w ʊ s ɔ w
wósoma	w ɨ s ɔ m a
wósoma	w ɛ s ɔ m a
wósoma	w ʊ s ɔ m a
wósow	w ɨ s ɔ w
wósow	w ɛ s ɔ w
wósow	w ʊ s ɔ w
wósowu	w ɨ s ɔ w u
wósowu	w ɛ s ɔ w u
wósowu	w ʊ s ɔ w u
wósu	w ɨ s u
wósu	w ɛ s u
wósu	w ʊ s u
wósy	w ɨ s ɨ
wósy	w ɛ s ɨ
wósy	w ʊ s ɨ
wóśc	w ɨ ɕ t͡s
wóśc	w ɛ ɕ t͡s
wóśc	w ʊ ɕ t͡s
wót	w ɨ t
wót	w ɛ t
wót	w ʊ t
wóte	w ɨ t ɛ
wóte	w ɛ t ɛ
wóte	w ʊ t ɛ
wótergi	w ɨ t ɛ r ɡʲ i
wótergi	w ɛ t ɛ r ɡʲ i
wótergi	w ʊ t ɛ r ɡʲ i
wótmólowany	w ɨ t m ɨ l ɔ w a n ɨ
wótmólowany	w ɛ t m ɛ l ɔ w a n ɨ
wótmólowany	w ʊ t ʊ ɛ l ɔ w a n ɨ
wótmólowaś	w ɨ t m ɨ l ɔ w a ɕ
wótmólowaś	w ɛ t m ɛ l ɔ w a ɕ
wótmólowaś	w ʊ t m ʊ l ɔ w a ɕ
wótšy	w ɨ t͡ʃ ɨ
wótšy	w ɛ t͡ʃ i
wótšy	w ʊ t͡ʃ ɨ
wóz	w ɨ s
wóz	w ɛ s
wóz	w ʊ s
wózu	w ɨ z u
wózu	w ɛ z u
wózu	w ʊ z u
wózyk	w ɨ z ɨ k
wózyk	w ɛ z ɨ k
wózyk	w ʊ z ɨ k
wózyś	w ɨ z ɨ ɕ
wózyś	w ɛ z ɨ ɕ
wózyś	w ʊ z ɨ ɕ
wrjeśeno	rʲ ɛ ɕ ɛ n ɔ
wšake	ʃ a kʲ ɛ
wšyken	ʃ ɨ kʲ ɛ n
wšykne	ʃ ɨ k n ɛ
wšykno	ʃ ɨ k n ɔ
wu	u
wuchac	u x a t͡s
wucho	u x ɔ
wudra	u d r a
wugoŕ	u ɡ ɔ rʲ
wul	u l
wula	u l a
wule	u l ɛ
wulicowaś	u l i t͡s ɔ w a ɕ
wulk	u l k
wulu	u l u
wuměra	u mʲ ɪ r a
wuměraju	u mʲ ɪ r a j u
wuměrał	u mʲ ɪ r a w
wuměram	u mʲ ɪ r a m
wuměraś	u mʲ ɪ r a ɕ
wumje	u mʲ ɛ
wumrějo	u m rʲ e j ɔ
wumrěł	u m rʲ ɪ w
wumrěś	u m rʲ ɪ ɕ
wutšoba	u t͡ʃ ɔ b a
wutšobnje	u t͡ʃ ɔ b nʲ ɛ
wuž	u ʃ
wy	w ɨ
z	z
z	s
za	z a
zajmowaś	z a j m ɔ w a ɕ
zarz	z a r s
zarza	z a r z a
zasej	z a s ɛ j
zasejwiźenje	z a s ɛ j vʲ i ʑ ɛ nʲ ɛ
ze	z ɛ
zeleny	z ɛ l ɛ n ɨ
zeleznica	z ɛ l ɛ z nʲ i t͡s a
zelezo	z ɛ l ɛ z ɔ
zemi	z ɛ mʲ i
zemiska	z ɛ mʲ i s k a
zemiskam	z ɛ mʲ i s k a m
zemiski	z ɛ mʲ i s kʲ i
zemisku	z ɛ mʲ i s k u
zemja	z ɛ mʲ a
zemju	z ɛ mʲ u
zgnity	z ɡ nʲ i t ɨ
zgórjelc	z ɡ ɛ rʲ ɛ l t͡s
zgórjelc	z ɡ ɨ rʲ ɛ l t͡s
zgórjelc	z ɡ ʊ rʲ ɛ l t͡s
złego	z w ɛ ɡ o
złej	z w ɛ j
złota	z w ɔ t a
złote	z w ɔ t ɛ
złotego	z w ɔ t ɛ ɡ o
złotej	z w ɔ t ɛ j
złotemu	z w ɔ t ɛ m u
złoto	z w ɔ t ɔ
złoty	z w ɔ t ɨ
złotych	z w ɔ t ɨ x
złotym	z w ɔ t ɨ m
złotymi	z w ɔ t ɨ mʲ i
zły	z w ɨ
złym	z w ɨ m
zmakaś	z m a k a ɕ
znamje	z n a mʲ ɛ
zub	z u p
zwěrje	z vʲ ɪ rʲ ɛ
zyma	z ɨ m a
zymnica	z ɨ m nʲ i t͡s a
žaba	ʒ a b a
žeńska	ʒ ɛ nʲ s k a
žołma	ʒ ɔ w m a
žołw	ʒ o w
žołź	ʒ ɔ w ɕ
žona	ʒ ɔ n a
žorawa	ʒ ɔ r a w a
žrěbc	ʒ rʲ ɪ p t͡s
žrěbje	ʒ rʲ ɪ bʲ ɛ
žurnal	ʒ u r n a l
žurnalist	ʒ u r n a l i s t
žurnalistka	ʒ u r n a l i s t k a
žyś	ʒ ɨ ɕ
žyto	ʒ ɨ t ɔ
žywjenje	ʒ ɨ vʲ ɛ nʲ ɛ
žywjenje	ʒ ɨ j ɛ nʲ ɛ
žywy	ʒ ɨ w ɨ
źaržaś	ʑ a r ʒ a ɕ
źeń	ʑ ɛ nʲ
źěd	ʑ ɪ t
źěl	ʑ ɪ l
źěłaś	ʑ ɪ w a ɕ
źěło	ʑ ɪ w ɔ
źěle	ʑ ɪ l ɛ
źěliś	ʑ ɪ lʲ i ɕ
źěsna	ʑ ɪ s n a
źinsa	ʑ i n s a
źiśe	ʑ i ɕ ɛ
źiśelc	ʑ i ɕ e l t͡s
źiśi	ʑ i ɕ i
źom	ʑ ɔ m
źomej	ʑ ɔ m ɛ j
źomy	ʑ ɔ m ɨ
źoš	ʑ ɔ ʃ
źośo	ʑ ɔ ɕ ɔ
źotej	ʑ ɔ t ɛ j
źowce	ʑ ɔ w t͡s ɛ
źowćo	ʑ o w t ɕ ɔ
