a	ɒ
mechanizmus	m ɛ ɦ ɒ n i z m u ʃ
mechanizmusok	m ɛ ɦ ɒ n i z m u ʃ o k
mechanizál	m ɛ ɦ ɒ n i z aː l
mecset	m ɛ t͡ʃ ɛ t
mecsetek	m ɛ t͡ʃ ɛ t ɛ k
mecénás	m ɛ t͡s eː n aː ʃ
mecénások	m ɛ t͡s eː n aː ʃ o k
meddig	m ɛ dː i ɡ
meddő	m ɛ dː øː
medence	m ɛ d ɛ n t͡s ɛ
medencecsont	m ɛ d ɛ n t͡s ɛ t͡ʃ o n t
medencecsontok	m ɛ d ɛ n t͡s ɛ t͡ʃ o n t o k
medencék	m ɛ d ɛ n t͡s eː k
meder	m ɛ d ɛ r
medgyessy	m ɛ ɟː ɛ ʃ i
medikus	m ɛ d i k u ʃ
medikusi	m ɛ d i k u ʃ i
medikusok	m ɛ d i k u ʃ o k
mediterrán	m ɛ d i t ɛ rː aː n
meditáció	m ɛ d i t aː t͡s iʲ oː
meditációk	m ɛ d i t aː t͡s iʲ oː k
meditál	m ɛ d i t aː l
medrek	m ɛ d r ɛ k
medusza	m ɛ d u s ɒ
medve	m ɛ d v ɛ
medvebocs	m ɛ d v ɛ b o t͡ʃ
medvecukor	m ɛ d v ɛ t͡s u k o r
medvecukrok	m ɛ d v ɛ t͡s u k r o k
medvéid	m ɛ d v eːʲ i d
medvéik	m ɛ d v eːʲ i k
medvéink	m ɛ d v eːʲ i ŋ k
medvéje	m ɛ d v eː j ɛ
medvéjük	m ɛ d v eː j y k
medvék	m ɛ d v eː k
medvékkel	m ɛ d v eː kː ɛ l
medvém	m ɛ d v eː m
medvénk	m ɛ d v eː ŋ k
medvét	m ɛ d v eː t
medvétek	m ɛ d v eː t ɛ k
medvével	m ɛ d v eː v ɛ l
medúza	m ɛ d uː z ɒ
meg	m ɛ ɡ
megad	m ɛ ɡ ɒ d
megadhat	m ɛ ɡ ɒ t h ɒ t
megadja	m ɛ ɡ ɒ ɟː ɒ
megadni	m ɛ ɡ ɒ d n i
megadott	m ɛ ɡ ɒ d o tː
megadva	m ɛ ɡ ɒ d v ɒ
megadás	m ɛ ɡ ɒ d aː ʃ
megadása	m ɛ ɡ ɒ d aː ʃ ɒ
megadások	m ɛ ɡ ɒ d aː ʃ o k
megadásával	m ɛ ɡ ɒ d aː ʃ aː v ɒ l
megakadályoz	m ɛ ɡ ɒ k ɒ d aː j o z
megakadályozni	m ɛ ɡ ɒ k ɒ d aː j o z n i
megakadályozta	m ɛ ɡ ɒ k ɒ d aː j o s t ɒ
megalakul	m ɛ ɡ ɒ l ɒ k u l
megalakult	m ɛ ɡ ɒ l ɒ k u l t
megalakulás	m ɛ ɡ ɒ l ɒ k u l aː ʃ
megalapozatlan	m ɛ ɡ ɒ l ɒ p o z ɒ t l ɒ n
megalapozott	m ɛ ɡ ɒ l ɒ p o z o tː
megaláz	m ɛ ɡ ɒ l aː z
megalázó	m ɛ ɡ ɒ l aː z oː
megalázóan	m ɛ ɡ ɒ l aː z oː ɒ n
megannyi	m ɛ ɡ ɒ ɲː i
megapixel	m ɛ ɡ ɒ p i k s ɛ l
megaszondja	m ɛ ɡ ɒ s o ɲ ɟ ɒ
megaszonta	m ɛ ɡ ɒ s o n t ɒ
megbecstelenít	m ɛ ɡ b ɛ t͡ʃ t ɛ l ɛ n iː t
megbeszél	m ɛ ɡ b ɛ s eː l
megbeszélés	m ɛ ɡ b ɛ s eː l eː ʃ
megbeszélések	m ɛ ɡ b ɛ s eː l eː ʃ ɛ k
megbeszéléseket	m ɛ ɡ b ɛ s eː l eː ʃ ɛ k ɛ t
megbeszélést	m ɛ ɡ b ɛ s eː l eː ʃ t
megbetegedés	m ɛ ɡ b ɛ t ɛ ɡ ɛ d eː ʃ
megbetegedések	m ɛ ɡ b ɛ t ɛ ɡ ɛ d eː ʃ ɛ k
megbocsát	m ɛ ɡ b o t͡ʃ aː t
megbocsáthatatlan	m ɛ ɡ b o t͡ʃ aː t h ɒ t ɒ t l ɒ n
megbocsáthatatlanság	m ɛ ɡ b o t͡ʃ aː t h ɒ t ɒ t l ɒ n ʃ aː ɡ
megbocsátható	m ɛ ɡ b o t͡ʃ aː t h ɒ t oː
megbocsátás	m ɛ ɡ b o t͡ʃ aː t aː ʃ
megbocsátó	m ɛ ɡ b o t͡ʃ aː t oː
megbán	m ɛ ɡ b aː n
megbánom	m ɛ ɡ b aː n o m
megbánt	m ɛ ɡ b aː n t
megbíz	m ɛ ɡ b iː z
megbízd	m ɛ ɡ b iː z d
megbízhatatlan	m ɛ ɡ b iː s h ɒ t ɒ t l ɒ n
megbízhatatlanabb	m ɛ ɡ b iː s h ɒ t ɒ t l ɒ n ɒ bː
megbízható	m ɛ ɡ b iː s h ɒ t oː
megbízhatóan	m ɛ ɡ b iː s h ɒ t oː ɒ n
megbízhatóság	m ɛ ɡ b iː s h ɒ t oː ʃ aː ɡ
megbízik	m ɛ ɡ b iː z i k
megbízás	m ɛ ɡ b iː z aː ʃ
megbízása	m ɛ ɡ b iː z aː ʃ ɒ
megbízást	m ɛ ɡ b iː z aː ʃ t
megbízásából	m ɛ ɡ b iː z aː ʃ aː b oː l
megbízó	m ɛ ɡ b iː z oː
megbízók	m ɛ ɡ b iː z oː k
megbüntet	m ɛ ɡ b y n t ɛ t
megcsal	m ɛ k t͡ʃ ɒ l
megcsinál	m ɛ k t͡ʃ i n aː l
megcsinálni	m ɛ k t͡ʃ i n aː l n i
megcsodál	m ɛ k t͡ʃ o d aː l
megdorgál	m ɛ ɡ d o r ɡ aː l
megduplázódik	m ɛ ɡ d u p l aː z oː d i k
megdöglik	m ɛ ɡ d ø ɡ l i k
megdönt	m ɛ ɡ d ø n t
megegyezik	m ɛ ɡ ɛ ɟː ɛ z i k
megegyezés	m ɛ ɡ ɛ ɟː ɛ z eː ʃ
megegyező	m ɛ ɡ ɛ ɟː ɛ z øː
megelégedett	m ɛ ɡ ɛ l eː ɡ ɛ d ɛ tː
megelégedik	m ɛ ɡ ɛ l eː ɡ ɛ d i k
megelőz	m ɛ ɡ ɛ l øː z
megelőzés	m ɛ ɡ ɛ l øː z eː ʃ
megelőzése	m ɛ ɡ ɛ l øː z eː ʃ ɛ
megelőző	m ɛ ɡ ɛ l øː z øː
megemlít	m ɛ ɡ ɛ m l iː t
megemlíteni	m ɛ ɡ ɛ m l iː t ɛ n i
megenged	m ɛ ɡ ɛ ŋ ɡ ɛ d
megengedett	m ɛ ɡ ɛ ŋ ɡ ɛ d ɛ tː
megengedettebb	m ɛ ɡ ɛ ŋ ɡ ɛ d ɛ tː ɛ bː
megengedhet	m ɛ ɡ ɛ ŋ ɡ ɛ t h ɛ t
megengedtetik	m ɛ ɡ ɛ ŋ ɡ ɛ tː ɛ t i k
megerőszakol	m ɛ ɡ ɛ r øː s ɒ k o l
megerőszakolás	m ɛ ɡ ɛ r øː s ɒ k o l aː ʃ
megerőszakolások	m ɛ ɡ ɛ r øː s ɒ k o l aː ʃ o k
megerősít	m ɛ ɡ ɛ r øː ʃ iː t
megerősíti	m ɛ ɡ ɛ r øː ʃ iː t i
megerősítés	m ɛ ɡ ɛ r øː ʃ iː t eː ʃ
megerősítése	m ɛ ɡ ɛ r øː ʃ iː t eː ʃ ɛ
megerősítések	m ɛ ɡ ɛ r øː ʃ iː t eː ʃ ɛ k
megerősödik	m ɛ ɡ ɛ r øː ʃ ø d i k
megeszik	m ɛ ɡ ɛ s i k
megfagy	m ɛ k f ɒ ɟ
megfejt	m ɛ k f ɛ j t
megfelel	m ɛ k f ɛ l ɛ l
megfelelni	m ɛ k f ɛ l ɛ l n i
megfelelő	m ɛ k f ɛ l ɛ l øː
megfelelőbb	m ɛ k f ɛ l ɛ l øː bː
megfelelően	m ɛ k f ɛ l ɛ l øː ɛ n
megfellebbez	m ɛ k f ɛ lː ɛ bː ɛ z
megfertőz	m ɛ k f ɛ r t øː z
megfigyel	m ɛ k f i ɟ ɛ l
megfigyelhető	m ɛ k f i ɟ ɛ l ɦ ɛ t øː
megfigyelés	m ɛ k f i ɟ ɛ l eː ʃ
megfigyelő	m ɛ k f i ɟ ɛ l øː
megfizet	m ɛ k f i z ɛ t
megfizethetetlen	m ɛ k f i z ɛ t h ɛ t ɛ t l ɛ n
megfizetni	m ɛ k f i z ɛ t n i
megfog	m ɛ k f o ɡ
megfogalmaz	m ɛ k f o ɡ ɒ l m ɒ z
megfogalmazni	m ɛ k f o ɡ ɒ l m ɒ z n i
megfogalmazás	m ɛ k f o ɡ ɒ l m ɒ z aː ʃ
megfogalmazása	m ɛ k f o ɡ ɒ l m ɒ z aː ʃ ɒ
megfogalmazások	m ɛ k f o ɡ ɒ l m ɒ z aː ʃ o k
megfoghatatlan	m ɛ k f o k h ɒ t ɒ t l ɒ n
megfoghatatlanabb	m ɛ k f o k h ɒ t ɒ t l ɒ n ɒ bː
megfogja	m ɛ k f o ɡ j ɒ
megfojt	m ɛ k f o j t
megfordul	m ɛ k f o r d u l
megfoszt	m ɛ k f o s t
megfullad	m ɛ k f u lː ɒ d
megfutamodik	m ɛ k f u t ɒ m o d i k
megfázás	m ɛ k f aː z aː ʃ
megfázások	m ɛ k f aː z aː ʃ o k
megfélemlít	m ɛ k f eː l ɛ m l iː t
megfélemlítés	m ɛ k f eː l ɛ m l iː t eː ʃ
megfélemlítések	m ɛ k f eː l ɛ m l iː t eː ʃ ɛ k
meggy	m ɛ ɟː
meggyaláz	m ɛ ɡ ɟ ɒ l aː z
meggyek	m ɛ ɟː ɛ k
meggyfa	m ɛ c f ɒ
meggyilkol	m ɛ ɡ ɟ i l k o l
meggyilkolni	m ɛ ɡ ɟ i l k o l n i
meggyógyít	m ɛ ɡ ɟ oː ɟ iː t
meggyökerezik	m ɛ ɡ ɟ ø k ɛ r ɛ z i k
meggyújt	m ɛ ɡ ɟ uː j t
meggyőz	m ɛ ɡ ɟ øː z
meggyőzni	m ɛ ɡ ɟ øː z n i
meggyőző	m ɛ ɡ ɟ øː z øː
meggyőződés	m ɛ ɡ ɟ øː z øː d eː ʃ
meggátol	m ɛ ɡː aː t o l
meghajol	m ɛ k h ɒ j o l
meghajtó	m ɛ k h ɒ j t oː
meghal	m ɛ k h ɒ l
meghalad	m ɛ k h ɒ l ɒ d
meghalhat	m ɛ k h ɒ l ɦ ɒ t
meghalni	m ɛ k h ɒ l n i
meghalt	m ɛ k h ɒ l t
meghat	m ɛ k h ɒ t
meghatalmazás	m ɛ k h ɒ t ɒ l m ɒ z aː ʃ
meghatalmazások	m ɛ k h ɒ t ɒ l m ɒ z aː ʃ o k
meghatároz	m ɛ k h ɒ t aː r o z
meghatározható	m ɛ k h ɒ t aː r o s h ɒ t oː
meghatározni	m ɛ k h ɒ t aː r o z n i
meghatározott	m ɛ k h ɒ t aː r o z o tː
meghatározás	m ɛ k h ɒ t aː r o z aː ʃ
meghatározása	m ɛ k h ɒ t aː r o z aː ʃ ɒ
meghatározások	m ɛ k h ɒ t aː r o z aː ʃ o k
meghatározására	m ɛ k h ɒ t aː r o z aː ʃ aː r ɒ
meghatározását	m ɛ k h ɒ t aː r o z aː ʃ aː t
meghatározó	m ɛ k h ɒ t aː r o z oː
megható	m ɛ k h ɒ t oː
meghitt	m ɛ k h i tː
meghosszabbított	m ɛ k h o sː ɒ bː iː t o tː
meghív	m ɛ k h iː v
meghívás	m ɛ k h iː v aː ʃ
meghívása	m ɛ k h iː v aː ʃ ɒ
meghívások	m ɛ k h iː v aː ʃ o k
meghívást	m ɛ k h iː v aː ʃ t
meghívó	m ɛ k h iː v oː
meghívók	m ɛ k h iː v oː k
meghökkentően	m ɛ k h ø kː ɛ n t øː ɛ n
meghűlés	m ɛ k h yː l eː ʃ
meghűlések	m ɛ k h yː l eː ʃ ɛ k
megidéz	m ɛ ɡ i d eː z
megijed	m ɛ ɡ i j ɛ d
megijedni	m ɛ ɡ i j ɛ d n i
megindít	m ɛ ɡ i n d iː t
megindította	m ɛ ɡ i n d iː t o tː ɒ
megindító	m ɛ ɡ i n d iː t oː
megint	m ɛ ɡ i n t
megismer	m ɛ ɡ i ʃ m ɛ r
megismerhetetlen	m ɛ ɡ i ʃ m ɛ r ɦ ɛ t ɛ t l ɛ n
megismerszik	m ɛ ɡ i ʃ m ɛ r s i k
megismertet	m ɛ ɡ i ʃ m ɛ r t ɛ t
megismertetés	m ɛ ɡ i ʃ m ɛ r t ɛ t eː ʃ
megismerés	m ɛ ɡ i ʃ m ɛ r eː ʃ
megismerése	m ɛ ɡ i ʃ m ɛ r eː ʃ ɛ
megismerések	m ɛ ɡ i ʃ m ɛ r eː ʃ ɛ k
megismétel	m ɛ ɡ i ʃ m eː t ɛ l
megjavít	m ɛ ɡ j ɒ v iː t
megjegyez	m ɛ ɡ j ɛ ɟ ɛ z
megjegyezni	m ɛ ɡ j ɛ ɟ ɛ z n i
megjegyzés	m ɛ ɡ j ɛ ɟ z eː ʃ
megjegyzések	m ɛ ɡ j ɛ ɟ z eː ʃ ɛ k
megjegyzéseket	m ɛ ɡ j ɛ ɟ z eː ʃ ɛ k ɛ t
megjegyzést	m ɛ ɡ j ɛ ɟ z eː ʃ t
megjelenik	m ɛ ɡ j ɛ l ɛ n i k
megjelenni	m ɛ ɡ j ɛ l ɛ nː i
megjelent	m ɛ ɡ j ɛ l ɛ n t
megjelentet	m ɛ ɡ j ɛ l ɛ n t ɛ t
megjelentetés	m ɛ ɡ j ɛ l ɛ n t ɛ t eː ʃ
megjelentetések	m ɛ ɡ j ɛ l ɛ n t ɛ t eː ʃ ɛ k
megjelenés	m ɛ ɡ j ɛ l ɛ n eː ʃ
megjelenése	m ɛ ɡ j ɛ l ɛ n eː ʃ ɛ
megjelenési	m ɛ ɡ j ɛ l ɛ n eː ʃ i
megjelenést	m ɛ ɡ j ɛ l ɛ n eː ʃ t
megjelenésével	m ɛ ɡ j ɛ l ɛ n eː ʃ eː v ɛ l
megjelenésű	m ɛ ɡ j ɛ l ɛ n eː ʃ yː
megjelenít	m ɛ ɡ j ɛ l ɛ n iː t
megjeleníteni	m ɛ ɡ j ɛ l ɛ n iː t ɛ n i
megjelenítés	m ɛ ɡ j ɛ l ɛ n iː t eː ʃ
megjelenítése	m ɛ ɡ j ɛ l ɛ n iː t eː ʃ ɛ
megjelenítéséhez	m ɛ ɡ j ɛ l ɛ n iː t eː ʃ eː ɦ ɛ z
megjelenítésére	m ɛ ɡ j ɛ l ɛ n iː t eː ʃ eː r ɛ
megjelenő	m ɛ ɡ j ɛ l ɛ n øː
megjelöl	m ɛ ɡ j ɛ l ø l
megjelölés	m ɛ ɡ j ɛ l ø l eː ʃ
megjelölése	m ɛ ɡ j ɛ l ø l eː ʃ ɛ
megjutalmaz	m ɛ ɡ j u t ɒ l m ɒ z
megjátszik	m ɛ ɡ j aː t͡sː i k
megkap	m ɛ kː ɒ p
megkaparint	m ɛ kː ɒ p ɒ r i n t
megkaptam	m ɛ kː ɒ p t ɒ m
megkezd	m ɛ kː ɛ z d
megkezdte	m ɛ kː ɛ s t ɛ
megkezdés	m ɛ kː ɛ z d eː ʃ
megkezdése	m ɛ kː ɛ z d eː ʃ ɛ
megkezdődik	m ɛ kː ɛ z d øː d i k
megkopaszt	m ɛ kː o p ɒ s t
megkoronáz	m ɛ kː o r o n aː z
megkárosít	m ɛ kː aː r o ʃ iː t
megkér	m ɛ kː eː r
megkérdez	m ɛ kː eː r d ɛ z
megkérdezett	m ɛ kː eː r d ɛ z ɛ tː
megkérdezhet	m ɛ kː eː r d ɛ s h ɛ t
megkérdezni	m ɛ kː eː r d ɛ z n i
megkérdezte	m ɛ kː eː r d ɛ s t ɛ
megkönnyebbül	m ɛ kː ø ɲː ɛ bː y l
megkönnyebbülni	m ɛ kː ø ɲː ɛ bː y l n i
megkönnyebbülés	m ɛ kː ø ɲː ɛ bː y l eː ʃ
megkönnyít	m ɛ kː ø ɲː iː t
megköszön	m ɛ kː ø s ø n
megköszönni	m ɛ kː ø s ø nː i
megköszönné	m ɛ kː ø s ø nː eː
megkövet	m ɛ kː ø v ɛ t
megkövetel	m ɛ kː ø v ɛ t ɛ l
megkövez	m ɛ kː ø v ɛ z
megközelít	m ɛ kː ø z ɛ l iː t
megközelíthető	m ɛ kː ø z ɛ l iː t h ɛ t øː
megközelítés	m ɛ kː ø z ɛ l iː t eː ʃ
megközelítő	m ɛ kː ø z ɛ l iː t øː
megközelítőleg	m ɛ kː ø z ɛ l iː t øː l ɛ ɡ
megküld	m ɛ kː y l d
megkülönböztet	m ɛ kː y l ø m b ø s t ɛ t
megkülönböztethet	m ɛ kː y l ø m b ø s t ɛ t h ɛ t
megkülönböztethetetlen	m ɛ kː y l ø m b ø s t ɛ t h ɛ t ɛ t l ɛ n
megkülönböztethetetlenség	m ɛ kː y l ø m b ø s t ɛ t h ɛ t ɛ t l ɛ n ʃ eː ɡ
megkülönböztethető	m ɛ kː y l ø m b ø s t ɛ t h ɛ t øː
megkülönböztetni	m ɛ kː y l ø m b ø s t ɛ t n i
megkülönböztetés	m ɛ kː y l ø m b ø s t ɛ t eː ʃ
meglehetősen	m ɛ ɡ l ɛ h ɛ t øː ʃ ɛ n
meglep	m ɛ ɡ l ɛ p
meglepett	m ɛ ɡ l ɛ p ɛ tː
meglepetés	m ɛ ɡ l ɛ p ɛ t eː ʃ
meglepetések	m ɛ ɡ l ɛ p ɛ t eː ʃ ɛ k
meglepetést	m ɛ ɡ l ɛ p ɛ t eː ʃ t
meglepő	m ɛ ɡ l ɛ p øː
meglepőbben	m ɛ ɡ l ɛ p øː bː ɛ n
meglepődik	m ɛ ɡ l ɛ p øː d i k
meglepően	m ɛ ɡ l ɛ p øː ɛ n
meglevő	m ɛ ɡ l ɛ v øː
meglát	m ɛ ɡ l aː t
meglátogat	m ɛ ɡ l aː t o ɡ ɒ t
meglátogatod	m ɛ ɡ l aː t o ɡ ɒ t o d
meglévő	m ɛ ɡ l eː v øː
megmacskásodik	m ɛ ɡ m ɒ t͡ʃ k aː ʃ o d i k
megmagyaráz	m ɛ ɡ m ɒ ɟ ɒ r aː z
megmagyarázhatatlan	m ɛ ɡ m ɒ ɟ ɒ r aː s h ɒ t ɒ t l ɒ n
megmarad	m ɛ ɡ m ɒ r ɒ d
megmaradó	m ɛ ɡ m ɒ r ɒ d oː
megment	m ɛ ɡ m ɛ n t
megmond	m ɛ ɡ m o n d
megmondana	m ɛ ɡ m o n d ɒ n ɒ
megmondaná	m ɛ ɡ m o n d ɒ n aː
megmondtam	m ɛ ɡ m o n t ɒ m
megmozgat	m ɛ ɡ m o z ɡ ɒ t
megmutat	m ɛ ɡ m u t ɒ t
megmutatja	m ɛ ɡ m u t ɒ cː ɒ
megmutatni	m ɛ ɡ m u t ɒ t n i
megmérgez	m ɛ ɡ m eː r ɡ ɛ z
megnehezít	m ɛ ɡ n ɛ h ɛ z iː t
megnevez	m ɛ ɡ n ɛ v ɛ z
megnevezés	m ɛ ɡ n ɛ v ɛ z eː ʃ
megnyer	m ɛ ɡ ɲ ɛ r
megnyerte	m ɛ ɡ ɲ ɛ r t ɛ
megnyilvánul	m ɛ ɡ ɲ i l v aː n u l
megnyit	m ɛ ɡ ɲ i t
megnyitás	m ɛ ɡ ɲ i t aː ʃ
megnyitó	m ɛ ɡ ɲ i t oː
megnyom	m ɛ ɡ ɲ o m
megnyomni	m ɛ ɡ ɲ o m n i
megnyugszik	m ɛ ɡ ɲ u k s i k
megnyugtat	m ɛ ɡ ɲ u k t ɒ t
megnyugtató	m ɛ ɡ ɲ u k t ɒ t oː
megnyílik	m ɛ ɡ ɲ iː l i k
megnyújtott	m ɛ ɡ ɲ uː j t o tː
megnyúz	m ɛ ɡ ɲ uː z
megnéz	m ɛ ɡ n eː z
megnézhet	m ɛ ɡ n eː s h ɛ t
megnézni	m ɛ ɡ n eː z n i
megnövekedett	m ɛ ɡ n ø v ɛ k ɛ d ɛ tː
megnövekedik	m ɛ ɡ n ø v ɛ k ɛ d i k
megnő	m ɛ ɡ n øː
megnősül	m ɛ ɡ n øː ʃ y l
megold	m ɛ ɡ o l d
megoldani	m ɛ ɡ o l d ɒ n i
megoldhatatlan	m ɛ ɡ o l t h ɒ t ɒ t l ɒ n
megoldható	m ɛ ɡ o l t h ɒ t oː
megoldás	m ɛ ɡ o l d aː ʃ
megoldása	m ɛ ɡ o l d aː ʃ ɒ
megoldási	m ɛ ɡ o l d aː ʃ i
megoldásnak	m ɛ ɡ o l d aː ʃ n ɒ k
megoldások	m ɛ ɡ o l d aː ʃ o k
megoldásokat	m ɛ ɡ o l d aː ʃ o k ɒ t
megoldásra	m ɛ ɡ o l d aː ʃ r ɒ
megoldással	m ɛ ɡ o l d aː ʃː ɒ l
megoldást	m ɛ ɡ o l d aː ʃ t
megoldásához	m ɛ ɡ o l d aː ʃ aː ɦ o z
megoldására	m ɛ ɡ o l d aː ʃ aː r ɒ
megoldását	m ɛ ɡ o l d aː ʃ aː t
megoltalmaz	m ɛ ɡ o l t ɒ l m ɒ z
megoperál	m ɛ ɡ o p ɛ r aː l
megoszt	m ɛ ɡ o s t
megosztani	m ɛ ɡ o s t ɒ n i
megpillant	m ɛ k p i lː ɒ n t
megpróbál	m ɛ k p r oː b aː l
megpróbálja	m ɛ k p r oː b aː jː ɒ
megpróbáltatás	m ɛ k p r oː b aː l t ɒ t aː ʃ
megpróbáltatások	m ɛ k p r oː b aː l t ɒ t aː ʃ o k
megragad	m ɛ ɡ r ɒ ɡ ɒ d
megrak	m ɛ ɡ r ɒ k
megreformál	m ɛ ɡ r ɛ f o r m aː l
megrendel	m ɛ ɡ r ɛ n d ɛ l
megrendelhető	m ɛ ɡ r ɛ n d ɛ l ɦ ɛ t øː
megrendelés	m ɛ ɡ r ɛ n d ɛ l eː ʃ
megrendelést	m ɛ ɡ r ɛ n d ɛ l eː ʃ t
megrendelő	m ɛ ɡ r ɛ n d ɛ l øː
megrendezés	m ɛ ɡ r ɛ n d ɛ z eː ʃ
megrendezések	m ɛ ɡ r ɛ n d ɛ z eː ʃ ɛ k
megrendezésre	m ɛ ɡ r ɛ n d ɛ z eː ʃ r ɛ
megrongál	m ɛ ɡ r o ŋ ɡ aː l
megrongálták	m ɛ ɡ r o ŋ ɡ aː l t aː k
megráz	m ɛ ɡ r aː z
megrázó	m ɛ ɡ r aː z oː
megrémül	m ɛ ɡ r eː m y l
megsegít	m ɛ k ʃ ɛ ɡ iː t
megsemmisít	m ɛ k ʃ ɛ mː i ʃ iː t
megszakít	m ɛ k s ɒ k iː t
megszeppen	m ɛ k s ɛ pː ɛ n
megszerez	m ɛ k s ɛ r ɛ z
megszerezhető	m ɛ k s ɛ r ɛ s h ɛ t øː
megszerezni	m ɛ k s ɛ r ɛ z n i
megszervez	m ɛ k s ɛ r v ɛ z
megszervezés	m ɛ k s ɛ r v ɛ z eː ʃ
megszerzés	m ɛ k s ɛ r z eː ʃ
megszerzése	m ɛ k s ɛ r z eː ʃ ɛ
megszerzésére	m ɛ k s ɛ r z eː ʃ eː r ɛ
megszokott	m ɛ k s o k o tː
megszállott	m ɛ k s aː lː o tː
megszállás	m ɛ k s aː lː aː ʃ
megszámlál	m ɛ k s aː m l aː l
megszámlálhat	m ɛ k s aː m l aː l ɦ ɒ t
megszámlálhatatlan	m ɛ k s aː m l aː l ɦ ɒ t ɒ t l ɒ n
megszámlálható	m ɛ k s aː m l aː l ɦ ɒ t oː
megszámoz	m ɛ k s aː m o z
megszólal	m ɛ k s oː l ɒ l
megszólamlik	m ɛ k s oː l ɒ m l i k
megszületés	m ɛ k s y l ɛ t eː ʃ
megszületések	m ɛ k s y l ɛ t eː ʃ ɛ k
megszüntet	m ɛ k s y n t ɛ t
megszüntetés	m ɛ k s y n t ɛ t eː ʃ
megszüntetése	m ɛ k s y n t ɛ t eː ʃ ɛ
megszűnik	m ɛ k s yː n i k
megszűnés	m ɛ k s y n eː ʃ
megszűnés	m ɛ k s yː n eː ʃ
megszűnése	m ɛ k s y n eː ʃ ɛ
megszűnése	m ɛ k s yː n eː ʃ ɛ
megsértés	m ɛ k ʃ eː r t eː ʃ
megsérül	m ɛ k ʃ eː r y l
megtalál	m ɛ k t ɒ l aː l
megtalálható	m ɛ k t ɒ l aː l ɦ ɒ t oː
megtalálni	m ɛ k t ɒ l aː l n i
megtalálta	m ɛ k t ɒ l aː l t ɒ
megtaláltad	m ɛ k t ɒ l aː l t ɒ d
megtanul	m ɛ k t ɒ n u l
megtanulni	m ɛ k t ɒ n u l n i
megtapsol	m ɛ k t ɒ p ʃ o l
megtart	m ɛ k t ɒ r t
megtartani	m ɛ k t ɒ r t ɒ n i
megtartás	m ɛ k t ɒ r t aː ʃ
megtartása	m ɛ k t ɒ r t aː ʃ ɒ
megtekint	m ɛ k t ɛ k i n t
megtekinthet	m ɛ k t ɛ k i n t h ɛ t
megtekinthető	m ɛ k t ɛ k i n t h ɛ t øː
megtekintés	m ɛ k t ɛ k i n t eː ʃ
megtekintése	m ɛ k t ɛ k i n t eː ʃ ɛ
megtekintéséhez	m ɛ k t ɛ k i n t eː ʃ eː ɦ ɛ z
megtelik	m ɛ k t ɛ l i k
megtenné	m ɛ k t ɛ nː eː
megteremt	m ɛ k t ɛ r ɛ m t
megteremtés	m ɛ k t ɛ r ɛ m t eː ʃ
megteremtése	m ɛ k t ɛ r ɛ m t eː ʃ ɛ
megtermékenyítés	m ɛ k t ɛ r m eː k ɛ ɲ iː t eː ʃ
megtervez	m ɛ k t ɛ r v ɛ z
megtestesít	m ɛ k t ɛ ʃ t ɛ ʃ iː t
megtestesülés	m ɛ k t ɛ ʃ t ɛ ʃ y l eː ʃ
megtestesülések	m ɛ k t ɛ ʃ t ɛ ʃ y l eː ʃ ɛ k
megtesz	m ɛ k t ɛ s
megtetszik	m ɛ k t ɛ t͡sː i k
megtette	m ɛ k t ɛ tː ɛ
megtilt	m ɛ k t i l t
megtiszteltetés	m ɛ k t i s t ɛ l t ɛ t eː ʃ
megtizedel	m ɛ k t i z ɛ d ɛ l
megtorlás	m ɛ k t o r l aː ʃ
megtorol	m ɛ k t o r o l
megtrágyáz	m ɛ k t r aː ɟ aː z
megtud	m ɛ k t u d
megtudhat	m ɛ k t u t h ɒ t
megtudni	m ɛ k t u d n i
megtudta	m ɛ k t u tː ɒ
megtudtam	m ɛ k t u tː ɒ m
megtárgyal	m ɛ k t aː r ɟ ɒ l
megtérülés	m ɛ k t eː r y l eː ʃ
megtéveszt	m ɛ k t eː v ɛ s t
megtévesztés	m ɛ k t eː v ɛ s t eː ʃ
megtévesztő	m ɛ k t eː v ɛ s t øː
megtölt	m ɛ k t ø l t
megtörténik	m ɛ k t ø r t eː n i k
megun	m ɛ ɡ u n
megvagyok	m ɛ ɡ v ɒ ɟ o k
megvakar	m ɛ ɡ v ɒ k ɒ r
megvalósul	m ɛ ɡ v ɒ l oː ʃ u l
megvalósulás	m ɛ ɡ v ɒ l oː ʃ u l aː ʃ
megvalósulása	m ɛ ɡ v ɒ l oː ʃ u l aː ʃ ɒ
megvalósuló	m ɛ ɡ v ɒ l oː ʃ u l oː
megvalósít	m ɛ ɡ v ɒ l oː ʃ iː t
megvalósítani	m ɛ ɡ v ɒ l oː ʃ iː t ɒ n i
megvalósítanunk	m ɛ ɡ v ɒ l oː ʃ iː t ɒ n u ŋ k
megvalósítható	m ɛ ɡ v ɒ l oː ʃ iː t h ɒ t oː
megvalósítás	m ɛ ɡ v ɒ l oː ʃ iː t aː ʃ
megvalósítása	m ɛ ɡ v ɒ l oː ʃ iː t aː ʃ ɒ
megvalósítások	m ɛ ɡ v ɒ l oː ʃ iː t aː ʃ o k
megvalósításához	m ɛ ɡ v ɒ l oː ʃ iː t aː ʃ aː ɦ o z
