aba	a b a
mitologic	m i t o l o d͡ʒ i k
mizer	m i z e r
mizerabil	m i z e r a b i l
mizerie	m i z e r i e
mlădios	m l ə d i o s
mlădiță	m l ə d i t͡s ə
moale	m o̯ a l e
moartea	m o̯ a r t e̯ a
modest	m o d e s t
modificate	m o d i f i k a t e
molicel	m o l i t͡ʃ e l
moluscă	m o l u s k ə
moluște	m o l u ʃ t e
monegasc	m o n e ɡ a s k
monegaști	m o n e ɡ a ʃ tʲ
mongol	m o ŋ ɡ o l
monoaxial	m o n o a k s i a l
montan	m o n t a n
moralitate	m o r a l i t a t e
morcovi	m o r k o vʲ
morsă	m o r s ə
morți	m o r t͡sʲ
motan	m o t a n
motociclist	m o t o t͡ʃ i k l i s t
motociclistă	m o t o t͡ʃ i k l i s t ə
motocicliste	m o t o t͡ʃ i k l i s t e
motocicliști	m o t o t͡ʃ i k l i ʃ tʲ
motor	m o t o r
motorist	m o t o r i s t
motoristă	m o t o r i s t ə
mov	m o v
ms	m ɨ s ɨ
muced	m u t͡ʃ e d
mucos	m u k o s
muezin	m u e z i n
muflon	m u f l o n
muie	m u j e
muie	m u j e
muiere	m u j e r e
muist	m u i s t
mult	m u l t
multipolar	m u l t i p o l a r
muncă	m u ŋ k ə
munci	m u n t͡ʃ i
munte	m u n t ɛ
muntean	m u n t e̯ a n
muntos	m u n t o s
murdar	m u r d a r
murg	m u r ɡ
muribund	m u r i b u n d
muritor	m u r i t o r
musculos	m u s k u l o s
mustăcios	m u s t ə t͡ʃʲ o s
mușchios	m u ʃ k j o s
muștar	m u ʃ t a r
mut	m u t
mutație	m u t a t͡s i e
muzeu	m u z e w
muzical	m u z i k a l
muzică	m u z i k ə
n	n e
n	e n
n	n e
n	e n
naiv	n a i v
nașpa	n a ʃ p a
naște	n a ʃ t e
nativ	n a t i v
natriu	n a t r j u
natural	n a t u r a l
național	n a t͡s i o n a l
nauruan	n a u r u a n
naviga	n a v i ɡ a
nădejde	n ə d e ʒ d e
năframă	n ə f r a m ə
nărtos	n ə r t o s
născut	n ə s k u t
năsos	n ə s o s
năsut	n ə s u t
năzdrăvan	n ə z d r ə v a n
ne	n e
neadaptat	n e a d a p t a t
neadecvat	n e a d e k v a t
neanticipat	n e a n t i t͡ʃ i p a t
neapărat	n e a p ə r a t
nearticulat	n e a r t i k u l a t
neașteptat	n e a ʃ t e p t a t
nebotezat	n e b o t e z a t
necesar	n e t͡ʃ e s a r
nechibzuit	n e k i b z u i t
necinstit	n e t͡ʃ i n s t i t
necomplicat	n e k o m p l i k a t
necomunicat	n e k o m u n i k a t
necomutabil	n e k o m u t a b i l
necongelat	n e k o n d͡ʒ e l a t
necontestat	n e k o n t e s t a t
necopt	n e k o p t
necrofor	n e k r o f o r
necuviincios	n e k u v i i n t͡ʃʲ o s
necuviincios	n e k u v iː n t͡ʃʲ o s
nedrept	n e d r e p t
neerlandez	n e e r l a n d e z
nefericit	n e f e r i t͡ʃ i t
nefertilizat	n e f e r t i l i z a t
neghiob	n e ɟ o b
neglijent	n e ɡ l i ʒ e n t
negricios	n e ɡ r i t͡ʃʲ o s
negriu	n e ɡ r i w
negură	n e ɡ u r ə
neguros	n e ɡ u r o s
negustoresc	n e ɡ u s t o r e s k
neios	n e j o s
neîmpiedicat	n e ɨ m p j e d i k a t
nejudecat	n e ʒ u d e k a t
neliniar	n e l i n i a r
nelucrat	n e l u k r a t
nemascat	n e m a s k a t
nemeritat	n e m e r i t a t
nemernic	n e m e r n i k
nemilos	n e m i l o s
nemțesc	n e m t͡s e s k
nemțești	n e m t͡s e ʃ tʲ
nemuritor	n e m u r i t o r
nenorocit	n e n o r o t͡ʃ i t
nenumărabil	n e n u m ə r a b i l
neobișnuit	n e o b i ʃ n u i t
neomenesc	n e o m e n e s k
neon	n e o n
nepăsător	n e p ə s ə t o r
nepoată	n e p o̯ a t ə
nepopular	n e p o p u l a r
nepot	n e p o t
neprețuit	n e p r e t͡s u i t
neprevizibil	n e p r e v i z i b i l
neprietenos	n e p r i e t e n o s
neras	n e r a s
nerecunoscut	n e r e k u n o s k u t
neregal	n e r e ɡ a l
neregulat	n e r e ɡ u l a t
nerezervat	n e r e z e r v a t
nerușinat	n e r u ʃ i n a t
nesătul	n e s ə t u l
nesocotit	n e s o k o t i t
nespălat	n e s p ə l a t
nestimat	n e s t i m a t
neted	n e t e d
neuitabil	n e u j t a b i l
neurochirurg	n e u r o k i r u r ɡ
neurolog	n e u r o l o ɡ
neurologă	n e u r o l o ɡ ə
neutru	n e u t r u
neutru	n e u t r u
nevastă	n e v a s t ə
nicaraguan	n i k a r a ɡ u a n
nichel	n i k e l
niciun	n i t͡ʃʲ u n
nigerian	n i d͡ʒ e r i a n
ningău	n i ŋ ɡ ə w
nins	n i n s
niscai	n i s k a j
niscai	n i s k a j
nisip	n i s i p
nisipos	n i s i p o s
niște	n i ʃ t e
nitrogen	n i t r o d͡ʒ e n
niuean	n j u e a n
nivel	n i v e l
no	n ɔː
no	n o
noaptea	n o̯ a p t e̯ a
noastre	n o̯ a s t r e
nobil	n o b i l
nocturn	n o k t u r n
nod	n o d
nodos	n o d o s
noi	n o j
noiembrie	n o j e m b r i j e
nominal	n o m i n a l
nominativ	n o m i n a t i v
nominative	n o m i n a t i v e
noră	n o r ə
nordic	n o r d i k
normal	n o r m a l
norocos	n o r o k o s
norvegian	n o r v e d͡ʒ i a n
nostalgic	n o s t a l d͡ʒ i k
nostru	n o s t r u
noștri	n o ʃ t r i
nou	n o w
noua	n o w a
nouălea	n o w ə l e̯ a
nouăsprezece	n o w ə s p r e z e t͡ʃ e
nouăsprezecea	n o w ə s p r e z e t͡ʃ e̯ a
nouăsprezecelea	n o w ə s p r e z e t͡ʃ e l e̯ a
nouășpe	n o w ə ʃ p e
nouășpea	n o w ə ʃ p e̯ a
nouășpelea	n o w ə ʃ p e l e̯ a
nouăzecea	n o w ə z e t͡ʃ e̯ a
nouăzeci	n o w ə z e t͡ʃʲ
nouăzecilea	n o w ə z e t͡ʃ i l e̯ a
nu	n u
nuc	n u k
nucă	n u k ə
nuci	n u t͡ʃʲ
nudism	n u d i s m
nudist	n u d i s t
numerabilitate	n u m e r a b i l i t a t e
nutriționist	n u t r i t͡s i o n i s t
nutriționistă	n u t r i t͡s i o n i s t ə
o	o
oacheș	o̯ a c e ʃ
oaie	o̯ a j e
oară	o̯ a r ə
oare	o̯ a r e
oare	w a r e
oarecare	o̯ a r e k a r e
oarfăn	o̯ a r f ə n
obiectiv	o b j e k t i v
oblic	o b l i k
obligatoriu	o b l i ɡ a t o r j u
obositor	o b o s i t o r
obraznic	o b r a z n i k
obscen	o b s t͡ʃ e n
obscur	o b s k u r
observant	o b s e r v a n t
obstrucție	o b s t r u k t͡s i e
obținere	o b t͡s i n e r e
oceanograf	o t͡ʃ e̯ a n o ɡ r a f
oceanografă	o t͡ʃ e̯ a n o ɡ r a f ə
ochi	o kʲ
ochi	o k i
octet	o k t e t
octombrie	o k t o m b r i j e
ocupa	o k u p a
ofensator	o f e n s a t o r
oficială	o f i t͡ʃ i a l ə
ofilit	o f i l i t
ofta	o f t a
oi	o j
oiță	o i t͡s ə
olandeză	o l a n d e z ə
olimpic	o l i m p i k
oliv	o l i v
olog	o l o ɡ
oltul	o l t u l
omeni	o m e n i
omenos	o m e n o s
omletă	o m l e t ə
omnipotent	o m n i p o t e n t
omnipotență	o m n i p o t e n t͡s ə
omniprezent	o m n i p r e z e n t
omniprezența	o m n i p r e z e n t͡s a
omniprezențe	o m n i p r e z e n t͡s e
omniprezenței	o m n i p r e z e n t͡s e j
omniscient	o m n i s t͡ʃ i e n t
omogen	o m o d͡ʒ e n
omor	o m o r
oncolog	o n k o l o ɡ
oncologă	o n k o l o ɡ ə
ondulat	o n d u l a t
onest	o n e s t
oniric	o n i r i k
onomatopeic	o n o m a t o p e i k
opărit	o p ə r i t
operațional	o p e r a t͡s i o n a l
opt	o p t
opta	o p t a
optimist	o p t i m i s t
optsprezece	o p t s p r e z e t͡ʃ e
optsprezecea	o p t s p r e z e t͡ʃ e̯ a
optsprezecelea	o p t s p r e z e t͡ʃ e l e̯ a
optșpe	o p t ʃ p e
optșpea	o p t ʃ p e̯ a
optșpelea	o p t ʃ p e l e̯ a
optulea	o p t u l e̯ a
optzecea	o p t z e t͡ʃ e̯ a
optzecea	o b z e t͡ʃ e̯ a
optzeci	o p t z e t͡ʃʲ
optzeci	o b z e t͡ʃʲ
optzecilea	o p t z e t͡ʃ i l e̯ a
optzecilea	o b z e t͡ʃ i l e̯ a
opus	o p u s
opus	o p u s
ora	o r a
oranj	o r a n ʒ
oraș	o r a ʃ
orb	o r b
orbeț	o r b e t͡s
orchestral	o r c e s t r a l
ordin	o r d i n
orfan	o r f a n
orgolios	o r ɡ o l i o s
ori	o rʲ
oricând	o rʲ k ɨ n d
oricine	o rʲ t͡ʃ i n e
oricum	o rʲ k u m
oriunde	o rʲ u n d e
ornat	o r n a t
ornitolog	o r n i t o l o ɡ
ornitologă	o r n i t o l o ɡ ə
ortodox	o r t o d o k s
ortoped	o r t o p e d
ortopedă	o r t o p e d ə
ortopedist	o r t o p e d i s t
ortopedistă	o r t o p e d i s t ə
osos	o s o s
ostenit	o s t e n i t
osu	o s u
otrăvitor	o t r ə v i t o r
oxigen	o k s i d͡ʒ e n
p	p e
p	p e
pacient	p a t͡ʃ i e n t
pacientă	p a t͡ʃ i e n t ə
pahar	p a h a r
pahare	p a h a r e
paisprezece	p a j s p r e z e t͡ʃ e
paisprezecea	p a j s p r e z e t͡ʃ e̯ a
paisprezecelea	p a j s p r e z e t͡ʃ e l e̯ a
paișpe	p a j ʃ p e
paișpea	p a j ʃ p e̯ a
paișpelea	p a j ʃ p e l e̯ a
paleontolog	p a l e o n t o l o ɡ
paleontologă	p a l e o n t o l o ɡ ə
palid	p a l i d
pansexual	p a n s e k s u a l
panteră	p a n t e r ə
pantof	p a n t o f
papagal	p a p a ɡ a l
paralitic	p a r a l i t i k
paraliza	p a r a l i z a
parazitar	p a r a z i t a r
parazitologie	p a r a z i t o l o d͡ʒ i e
parcurs	p a r k u r s
pardon	p a r d o n
participiu	p a r t i t͡ʃ i p j u
pastor	p a s t o r
pașnic	p a ʃ n i k
pat	p a t
patinare	p a t i n a r e
patolog	p a t o l o ɡ
patologă	p a t o l o ɡ ə
patologist	p a t o l o d͡ʒ i s t
patologistă	p a t o l o d͡ʒ i s t ə
patra	p a t r a
patrulea	p a t r u l e̯ a
patruzecea	p a t r u z e t͡ʃ e̯ a
patruzeci	p a t r u z e t͡ʃʲ
patruzecilea	p a t r u z e t͡ʃ i l e̯ a
păcătos	p ə k ə t o s
păduchios	p ə d u c o s
pădureț	p ə d u r e t͡s
păduros	p ə d u r o s
păgân	p ə ɡ ɨ n
păi	p ə j
păios	p ə j o s
păpădie	p ə p ə d i e
părăsit	p ə r ə s i t
păsărească	p ə s ə r e̯ a s k ə
păsăresc	p ə s ə r e s k
păsăroi	p ə s ə r o j
pătat	p ə t a t
pătlăgea	p ə t l ə d͡ʒ a
pătlăgică	p ə t l ə d͡ʒ i k ə
pătrat	p ə t r a t
pâine	p ɨ j n e
până	p ɨ n ə
pântecos	p ɨ n t e k o s
pârî	p ɨ r ɨ
pe	p e
pederastic	p e d e r a s t i k
pedestru	p e d e s t r u
pediatră	p e d i a t r ə
pediatru	p e d i a t r u
peiorativ	p e j o r a t i v
pelican	p e l i k a n
penibil	p e n i b i l
pentatlonist	p e n t a t l o n i s t
pentatlonistă	p e n t a t l o n i s t ə
periculos	p e r i k u l o s
peristaltic	p e r i s t a l t i k
permanente	p e r m a n e n t e
persan	p e r s a n
personaj	p e r s o n a ʒ
perturbator	p e r t u r b a t o r
peruchier	p e r u k i e r
peruș	p e r u ʃ
peruvian	p e r u v i a n
pervers	p e r v e r s
pescăresc	p e s k ə r e s k
pescos	p e s k o s
peste	p e s t e
peștele	p e ʃ t e l e
peștii	p e ʃ t iː
picioare	p i t͡ʃ o̯ a r e
picior	p i t͡ʃ j o r
pictat	p i k t a t
pictură	p i k t u r ə
piept	p j e p t
pieptos	p j e p t o s
piersică	p j e r s i k ə
piese	p j e s e
pietros	p j e t r o s
pijama	p i ʒ a m a
pilot	p i l o t
pilota	p i l o t a
pilotaseră	p i l o t a s e r ə
pilotați	p i l o t a t͡sʲ
piramidă	p i r a m i d ə
pisic	p i s i k
pisică	p i s i k ə
pisicuță	p i s i k u t͡s ə
pisoi	p i s o j
pitulice	p i t u l i t͡ʃ e
pix	p i k s
pizdos	p i z d o s
pizmaș	p i z m a ʃ
planetar	p l a n e t a r
plăcintă	p l ə t͡ʃ i n t ə
plăcut	p l ə k u t
plănui	p l ə n u i
plăpând	p l ə p ɨ n d
plânge	p l ɨ n d ʒ e
plâns	p l ɨ n s
plecare	p l e k a r e
pleoapă	p l e̯ o̯ a p ə
pleoapă	p l e o̯ a p ə
pleșuv	p l e ʃ u v
pletoric	p l e t o r i k
plicticos	p l i k t i k o s
plictisitor	p l i k t i s i t o r
plin	p l i n
plointe	p l o i n t e
plumbos	p l u m b o s
plumburiu	p l u m b u r i w
plus	p l u s
plută	p l u t ə
pluti	p l u t i
plutitor	p l u t i t o r
poarcă	p o̯ a r k ə
podolog	p o d o l o ɡ
podologă	p o d o l o ɡ ə
pofticios	p o f t i t͡ʃʲ o s
poftim	p o f t i m
poftim	p o f ↗ t i m
polar	p o l a r
polisier	p o l i s i e r
politicos	p o l i t i k o s
poloneze	p o l o n e z e
pomeni	p o m e n i
pompier	p o m p i e r
popesc	p o p e s k
popilnic	p o p i l n i k
poporan	p o p o r a n
popou	p o p o w
popular	p o p u l a r
porcesc	p o r t͡ʃ e s k
porcin	p o r t͡ʃ i n
pornografia	p o r n o ɡ r a f i a
pornografic	p o r n o ɡ r a f i k
portal	p o r t a l
portocaliu	p o r t o k a l i w
portofel	p o r t o f e l
portughez	p o r t u ɟ e z
portugheză	p o r t u ɟ e z ə
porumbac	p o r u m b a k
posedare	p o s e d a r e
posibil	p o s i b i l
poștal	p o ʃ t a l
potaie	p o t a j e
potasiu	p o t a s j u
potecă	p o t e k ə
potent	p o t e n t
prăjit	p r ə ʒ i t
prânz	p r ɨ n z
precaut	p r e k a u t
precis	p r e t͡ʃ i s
preconiza	p r e k o n i z a
precum	p r e k u m
prefix	p ɾ e f i k s
prefixal	p r e f i k s a l
prefixală	p r e f i k s a l ə
pregnant	p r e ɡ n a n t
preistoric	p r e i s t o r i k
prelung	p r e l u ŋ ɡ
prelungi	p r e l u n d͡ʒ i
prelungit	p r e l u n d͡ʒ i t
preoțesc	p r e o t͡s e s k
prepuțial	p r e p u t͡s i a l
prescrie	p r e s k r i e
prescurtare	p r e s k u r t a r e
presocialist	p r e s o t͡ʃ i a l i s t
pretențios	p r e t e n t͡s i o s
prețios	p r e t͡s i o s
prezent	p r e z e n t
prezenta	p r e z e n t a
pricepe	p r i t͡ʃ e p e
prier	p r j e r
prim	p r i m
prima	p r i m a
prima	p r i m a
primar	p r i m a r
primăvară	p r i m ə v a r ə
primejdios	p r i m e ʒ d i o s
prin	p r i n
principal	p r i n t͡ʃ i p a l
prins	p r i n s
printre	p r i n t r e
prispă	p r i s p ə
proaspăt	p r o̯ a s p ə t
problematic	p r o b l e m a t i k
proctolog	p r o k t o l o ɡ
proctologă	p r o k t o l o ɡ ə
profan	p r o f a n
profesor	p r o f e s o r
profesor	p r o f e s o r
profitabil	p r o f i t a b i l
profund	p r o f u n d
programabil	p r o ɡ r a m a b i l
promorar	p r o m o r a r
proporțional	p r o p o r t͡s i o n a l
prost	p r o s t
prozaic	p r o z a i k
prudent	p r u d e n t
prune	p r u n e
psihiatră	p s i h i a t r ə
psihiatru	p s i h i a t r u
psihofizician	p s i h o f i z i t͡ʃ i a n
psihofiziciană	p s i h o f i z i t͡ʃ i a n ə
psiholog	p s i h o l o ɡ
psihologă	p s i h o l o ɡ ə
pubertate	p u b e r t a t e
public	p u b l i k
pucios	p u t͡ʃʲ o s
pugilist	p u d͡ʒ i l i s t
pugilistă	p u d͡ʒ i l i s t ə
pulos	p u l o s
pulpană	p u l p a n ə
pulpos	p u l p o s
puls	p u l s
pumă	p u m ə
pur	p u r
purgatoriu	p u r ɡ a t o r i u̯
purificator	p u r i f i k a t o r
purpuriu	p u r p u r i w
pustie	p u s t i e
pustiu	p u s t i w
pușcă	p u ʃ k ə
putea	p u t e̯ a
puternic	p u t e r n i k
putred	p u t r e d
puturos	p u t u r o s
puținătate	p u t͡s i n ə t a t e
r	r e
r	e r
r	r e
r	e r
rac	r a k
rachetă	ʀ a k e t ə
rachiu	r a k i w
radioactiv	r a d i o a k t i v
rai	r a j
raluca	r a l u k a
ramolit	r a m o l i t
rapid	r a p i d
ras	r a s
rață	r a t͡s ə
rațional	r a t͡s i o n a l
raționalizabil	r a t͡s i o n a l i z a b i l
răgușit	r ə ɡ u ʃ i t
rămas	r ə m a s
rămași	r ə m a ʃʲ
rămuros	r ə m u r o s
răpănos	r ə p ə n o s
răpciune	r ə p t͡ʃ u n e
răpitor	r ə p i t o r
răposat	r ə p o s a t
răsunător	r ə s u n ə t o r
răszice	r ə s z i t͡ʃ e
rășinos	r ə ʃ i n o s
rătăcit	r ə t ə t͡ʃ i t
rățoi	r ə t͡s o j
rău	r ə w
răutăcios	r ə u t ə t͡ʃʲ o s
răzbate	r ə z b a t e
răzleț	r ə z l e t͡s
râios	r ɨ j o s
râmlenesc	r ɨ m l e n e s k
rână	r ɨ n ə
râncaci	r ɨ ŋ k a t͡ʃʲ
rânced	r ɨ n t͡ʃ e d
rând	r ɨ n d
râpos	r ɨ p o s
reabilita	r e a b i l i t a
reavăn	r e̯ a v ə n
rebeliune	r e b e l i u n e
reciclat	r e t͡ʃ i k l a t
recunoaște	r e k u n o̯ a s t e
reduce	r e d u t ʃ e
redundant	r e d u n d a n t
referendum	r e f e r e n d u m
reflectat	r e f l e k t a t
refuza	r e f u z a
regal	r e ɡ a l
regalist	r e ɡ a l i s t
regesc	r e d͡ʒ e s k
regicid	r e d͡ʒ i t͡ʃ i d
regim	r e d͡ʒ i m
regula	r e ɡ u l a
regulat	r e ɡ u l a t
relaxat	r e l a k s a t
religios	r e l i d͡ʒ i o s
ren	r e n
renumit	r e n u m i t
renunța	r e n u n t͡s a
reparabil	r e p a r a b i l
repede	r e p e d e
repede	r e p e d e
repeziți	r e p e z i t͡sʲ
rescrie	r e s k r i j e
rest	r e s t
retras	r e t r a s
reține	r e t͡s i n e
reveni	r e v e n i
reveni	r e v e n i
reveni	r e v e nʲ
rezemați	r e z e m a t͡sʲ
rezident	r e z i d e n t
reziduat	r e z i d u a t
rezistibil	r e z i s t i b i l
rezulta	r e z u l t a
rezultat	r e z u l t a t
rezultate	r e z u l t a t e
ridicat	r i d i k a t
risc	r i s k
riscuri	r i s k u rʲ
riveran	r i v e r a n
roib	r o j b
roman	r o m a n
romancier	r o m a n t͡ʃ i e r
român	r o m ɨ n
românesc	r o m ɨ n e s k
românește	r o m ɨ n e ʃ t e
româneștilor	r o m ɨ n e ʃ t i l o r
românia	r o m ɨ n i a
româniei	r o m ɨ n i j e j
ros	r o s
roșcat	r o ʃ k a t
roșie	r o ʃ i e
roșie	r o ʃ j e
roșu	r o ʃ u
rotocol	r o t o k o l
rotund	r o t u n d
rotunjit	r o t u n ʒ i t
roz	r o z
roză	r o z ə
ruginiu	r u d͡ʒ i n i w
ruina	r u i n a
ruinare	r u i n a r e
rumegător	r u m e ɡ ə t o r
rupt	r u p t
rus	r u s
rusă	r u s ə
ruse	r u s e
rușinos	r u ʃ i n o s
rută	r u t ə
s	s e
s	e s
s	s e
s	e s
s	s
sa	s a
sacristan	s a k r i s t a n
sal	s a l
sal	s aː l
salariat	s a l a r i a t
salt	s a l t
salut	s a l u t
saluta	s a l u t a
salve	s a l v e
samoan	s a m o a n
sapient	s a p i e n t
sare	s a r e
sașiu	s a ʃ i w
satanic	s a t a n i k
satisfăcător	s a t i s f ə k ə t o r
satisfăcut	s a t i s f ə k u t
saudit	s a u d i t
să	s ə
săcret	s ə k r e t
sălciu	s ə l t͡ʃ i w
săltăreț	s ə l t ə r e t͡s
sămânțos	s ə m ɨ n t͡s o s
săptămânal	s ə p t ə m ɨ n a l
sărat	s ə r a t
sărman	s ə r m a n
sătul	s ə t u l
săturat	s ə t u r a t
său	s ə w
sâmbătă	s ɨ m b ə t ə
sângera	s ɨ n d͡ʒ e r a
sângeriu	s ɨ n d͡ʒ e r i w
sânt	s ɨ n t
sârb	s ɨ r b
sârguincios	s ɨ r ɡ u i n t͡ʃʲ o s
scandiu	s k a n d j u
scaucă	s k a u k ə
scălan	s k ə l a n
scăldat	s k ə l d a t
scămos	s k ə m o s
scârbos	s k ɨ r b o s
schepsis	s k e p s i s
schilod	s c i l o d
schimb	s k i m b
schimba	s k i m b a
schior	s k i o r
scit	s t͡ʃ i t
sclavă	s k l a v ə
sclave	s k l a v e
sclavi	s k l a vʲ
scoică	s k o j k ə
scoici	s k o j t͡ʃʲ
scorni	s k o r n i
scorpion	s k o r p j o n
scorțișoară	s k o r t s i ʃ o̯ a r ə
scrimer	s k r i m e r
scroafă	s k r o̯ a f ə
scufundat	s k u f u n d a t
sculptat	s k u l p t a t
scump	s k u m p
scund	s k u n d
scurt	s k u r t
scutec	s k u t e k
se	s e
seara	s e̯ a r a
seară	s e̯ a r ə
searbăd	s e̯ a r b ə d
sec	s e k
secol	s e k o l
secret	s e k r e t
secretariat	s e k r e t a r i a t
secundar	s e k u n d a r
secvențial	s e k v e n t͡s i a l
sefard	s e f a r d
seismolog	s e i s m o l o ɡ
seismologă	s e i s m o l o ɡ ə
seleniu	s e l e n j u
semicerc	s e m i t͡ʃ e r k
semiotician	s e m i o t i t͡ʃ i a n
semioticiană	s e m i o t i t͡ʃ i a n ə
senin	s e n i n
sentiment	s e n t i m e n t
septembrie	s e p t e m b r i j e
ser	s e r
serios	s e r i o s
servus	s e r v u s
setos	s e t o s
sexologia	s e k s o l o d͡ʒ i a
sexos	s e k s o s
sfat	s f a t
sferic	s f e r i k
siberian	s i b e r i a n
sictir	s i k t i r
sictir	s ɨ k t i r
sie	s i e
sieși	s i e ʃʲ
silabic	s i l a b i k
silicios	s i l i t͡ʃ j o s
siliciu	s i l i t͡ʃ j u
simbol	s i m b o l
simetric	s i m e t r i k
simula	s i m u l a
sincer	s i n t͡ʃ e r
sine	s i n e
sinergie	s i n e r d͡ʒ i e
singur	s i ŋ ɡ u r
singuratec	s i ŋ ɡ u r a t e k
singuratic	s i ŋ ɡ u r a t i k
sinistru	s i n i s t r u
sinonim	s i n o n i m
sinteză	s i n t e z ə
sinteze	s i n t e z e
sirian	s i r i a n
sistem	s i s t e m
slang	s l e n ɡ
slav	s l a v
slavă	s l a v ə
slăbănog	s l ə b ə n o ɡ
slobod	s l o b o d
slobod	s l o b o d
slugarnic	s l u ɡ a r n i k
slut	s l u t
soacră	s o̯ a k r ə
soc	s o k
social	s o t͡ʃ i a l
sociolog	s o t͡ʃ i o l o ɡ
sociologă	s o t͡ʃ i o l o ɡ ə
socotit	s o k o t i t
socru	s o c r u
sodiu	s o d j u
sofisticat	s o f i s t i k a t
solar	s o l a r
solemn	s o l e m n
solid	s o l i d
solstițiu	s o l s t i t s i u̯
solz	s o l z
solzos	s o l z o s
somat	s o m a t
somnambulism	s o m n a m b u l i s m
somnoros	s o m n o r o s
soporific	s o p o r i f i k
sora	s o r a
sos	s o s
soție	s o t͡s i j e
spaniol	s p a n i o l
spaniolă	s p a n i o l ə
spanioli	s p a n i o lʲ
sparge	s p a r d͡ʒ e
spargere	s p a r d͡ʒ e r e
spart	s p a r t
sparți	s p a r t͡sʲ
spate	s p a t e
spălare	s p ə l a r e
spălător	s p ə l ə t o r
spătos	s p ə t o s
spân	s p ɨ n
specific	s p e t͡ʃ i f i k
spera	s p e r a
speranță	s p e r a n t s ə
sperare	s p e r a r e
speriat	s p e r i a t
spinos	s p i n o s
spirit	s p i r i t
spiritual	s p i r i t u a l
spornic	s p o r n i k
sprijin	s p r i ʒ i n
sprijini	s p r i ʒ i n i
sprinten	s p r i n t e n
spumos	s p u m o s
spune	s p u n e
spurcat	s p u r k a t
spus	s p u s
stabil	s t a b i l
stagiune	s t a d͡ʒ u n e
stanifer	s t a n i f e r
stat	s t a t
statistic	s t a t i s t i k
statistician	s t a t i s t i t͡ʃ i a n
statisticiană	s t a t i s t i t͡ʃ i a n ə
stăpânitor	s t ə p ɨ n i t o r
stâng	s t ɨ ŋ ɡ
stea	s t e̯ a
steaua	s t e̯ a w a
stei	s t e j
sterp	s t e r p
stetoscop	s t e t o s k o p
stil	s t i l
stingher	s t i ŋ ɟ e r
straniu	s t r a n j u
străbunic	s t r ə b u n i k
străin	s t r ə i n
strălucitor	s t r ə l u t͡ʃ i t o r
strănepot	s t r ə n e p o t
străvechi	s t r ə v e c
străveziu	s t r ə v e z i w
strâmb	s t r ɨ m b
strâmt	s t r ɨ m t
strângător	s t r ɨ ŋ ɡ ə t o r
stricat	s t r i k a t
strigat	s t r i ɡ a t
structural	s t r u k t u r a l
structurat	s t r u k t u r a t
strugure	s t̪ ɾ u ɡ u ɾ e
struț	s t r u t͡s
studentă	s t u d e n t ə
stufos	s t u f o s
stupi	s t u p i
stupi	s t u pʲ
stupină	s t u p i n ə
sub	s u b
submarin	s u b m a r i n
subsonic	s u b s o n i k
substantiv	s u b s t a n t i v
subteran	s u b t e r a n
subtil	s u b t i l
subțire	s u b t͡s i r e
suburban	s u b u r b a n
suburban	s u b u r b a n
sudic	s u d i k
suedeze	s u e d e z e
suficient	s u f i t͡ʃ i e n t
sugaci	s u ɡ a t͡ʃʲ
suge	s u d͡ʒ e
sulc	s u l k
suleget	s u l e d͡ʒ e t
sulf	s u l f
sulfuros	s u l f u r o s
sunător	s u n ə t o r
superior	s u p e r i o r
suplu	s u p l u
supranațional	s u p r a n a t͡s i o n a l
suprem	s u p r e m
sur	s u r
surâs	s u r ɨ s
surd	s u r d
sure	s u r e
surprinzător	s u r p r i n z ə t o r
susceptibil	s u s t͡ʃ e p t i b i l
suspensor	s u s p e n s o r
susura	s u s u r a
suta	s u t a
sutălea	s u t ə l e̯ a
sute	s u t e
sutime	s u t i m e
șa	ʃ a
șablon	ʃ a b l o n
șah	ʃ a h
șaisprezece	ʃ a j s p r e z e t͡ʃ e
șaisprezecea	ʃ a j s p r e z e t ʃ e̯ a
șaisprezecelea	ʃ a j s p r e z e t͡ʃ e l e̯ a
șaișpe	ʃ a j ʃ p e
șaișpea	ʃ a j ʃ p e̯ a
șaișpelea	ʃ a j ʃ p e l e̯ a
șaizecea	ʃ a j z e t͡ʃ e̯ a
șaizeci	ʃ a j z e t͡ʃʲ
șaizecilea	ʃ a j z e t͡ʃ i l e̯ a
șamoa	ʃ a m o̯ a
șaptea	ʃ a p t e̯ a
șaptelea	ʃ a p t e l e̯ a
șaptesprezece	ʃ a p t e s p r e z e t͡ʃ e
șaptesprezecea	ʃ a p t e s p r e z e t͡ʃ e̯ a
șaptesprezecelea	ʃ a p t e s p r e z e t͡ʃ e l e̯ a
șapteșpe	ʃ a p t e ʃ p e
șapteșpea	ʃ a p t e ʃ p e̯ a
șapteșpelea	ʃ a p t e ʃ p e l e̯ a
șaptezecea	ʃ a p t e z e t͡ʃ e̯ a
șaptezeci	ʃ a p t e z e t͡ʃʲ
șaptezecilea	ʃ a p t e z e t͡ʃ i l e̯ a
șasea	ʃ a s e̯ a
șaselea	ʃ a s e l e̯ a
șchiop	ʃ c o p
școlar	ʃ k o l a r
șes	ʃ e s
șevalet	ʃ e v a l e t
șiret	ʃ i r e t
șmecher	ʃ m e k e r
șobolan	ʃ o b o l a n
șoim	ʃ o j m
