а	ʔ aː
епыгьын	j a p ə ɡʲ ə n
епыджын	j a p ə d͡ʒ ə n
епэшӏэн	j a p a ʃ ʼ a n
епӏэстхъын	j a p ʼ a s t χ ə n
ерагъ	j a r aː ʁ
ерагъкӏэ	j a r aː ʁ t͡ʃ ʼ a
ерагъэу	j a r aː ʁ a w
еры	j a r ə
ерыуадж	j a r ə w aː d͡ʒ
естылӏэн	j a s t ə ɬ ʼ a n
есын	j a s ə n
есыпӏэ	j a s ə p ʼ a
есэн	j a s a n
есэпэон	j a s a p a w a n
етын	j a t ə n
етӏагъо	j a t ʼ aː ʁʷ a
етӏагъу	j a t ʼ aː ʁʷ
етӏанэ	j a t ʼ aː n a
етӏапсӏэ	j a t ʼ aː p t͡s ʼ a
етӏапцӏэ	j a t ʼ aː p t͡s ʼ a
етӏуанэ	j a tʷ ʼ aː n a
етӏэрэхын	j a t ʼ a r a x ə n
етӏэхъун	j a t ʼ a χʷ ə n
еубзэн	j a w ə b z a n
еубын	j a w b ə n
еубэн	j a w b a n
еугъоин	j a w ə ʁʷ a j ə n
еуджэгъун	j a w d͡ʒ aː ʁʷ ə n
еузэнкӏын	j a w z a n t͡ʃ ə n
еузэпкъын	j a w z a p q ə n
еукӏорэикӏын	j a w kʷ ʼ a r a j ə t͡ʃ ʼ ə n
еун	j a w ə n
еупчын	j a w p t͡ʃ ə n
еутэкӏын	j a w t a t͡ʃ ʼ ə n
еутэкӏьын	j a w t a kʲ ʼ ə n
ехъопсэн	j a χʷ a p s a n
ехъу	j a χʷ
ехъункӏын	j a χʷ ə n t͡ʃ ə n
ехъурэ	j a χʷ r a
ехъушъутэон	χʷ ə ʂʷ t a w a n
ехъырхъышэн	j a χ ə r χ ə ʃ a n
ехын	j a x ə
ехьагъушъугъун	j a ħ aː ʁʷ ə ʃʷ ə ʁʷ ə n
ецыгъон	j a t͡s ə ʁʷ a n
ецэгъон	j a t͡s ə ʁʷ a n
ецӏэтхъун	j a t͡s ʼ a t χʷ ə n
ецӏэшъутэхын	j a t͡s ʼ a ʃʷ t a x ə n
ечъэжьэн	j a t͡ʂ a ʑ a n
ечъэхын	j a t͡ʂ a x ə n
ечэнджэшын	j a t͡ʃ a n d͡ʒ a ʃ ə n
ешъокӏу	j a ʂʷ a kʷ ʼ
ешъон	j a ʂʷ a n
ешъуакӏо	j a ʃʷ ʼ aː kʷ ʼ a
ешъугъон	j a ʃʷ ʁʷ ə n
ешъугъун	j a ʃʷ ʁʷ ə n
ешъукӏын	j a ʃʷ ə t͡ʃ ʼ ə n
ешъутырын	m a ʃʷ t ə r ə h
ешъухъогъон	j a ʃʷ ə χʷ a ʁʷ a n
ешъухъугъон	j a ʃʷ χʷ ə ʁʷ a n
ешӏужьын	j a ʃʷ ʼ ə ʑ ə n
ешӏухъогъон	j a ʃʷ ʼ ə χʷ ə ʁʷ a n
ешӏэн	j a ʃ ʼ a n
еӏолӏэн	j a ʔʷ a ɬ ʼ a n
еӏорышӏэн	j a ʔʷ a r ʃ ʼ a n
еӏун	j a ʔʷ ə n
еӏункӏын	j a ʔʷ ə n t͡ʃ ʼ ə n
еӏэзэн	j a ʔ a z a n
жабз	ʒ a b z
жае	ʒ aː j a
жакъэ	ʒ aː q a
жакӏьэ	ʒ aː kʲ a
жакӏэ	ʒ aː t ʃ ʼ a
жалэ	ʒ aː l a
жантӏ	ʒ aː n t ʼ
жашъу	ʒ aː ʂʷ
жашӏу	ʒ aː ʃʷ ʼ
жъабгъо	ʐ aː b ʁʷ a
жъагъ	ʐ aː ʁ
жъагъэ	ʐ aː ʁ a
жъажъэ	ʐ aː ʐ a
жъалым	ʐ aː l ə m
жъамэ	ʐ aː m a
жъанч	ʐ aː n t͡ʃ
жъапхъэ	ʐ aː p χ a
жъгъау	ʒ ʁ aːʷ
жъгъырыу	ʐ ʁ ə r ə w
жъгъэй	ʐ ʁ a j
жъогъобын	ʐʷ a ʁʷ a b ə n
жъогъозекӏу	ʐʷ a ʁʷ a z e kʷ
жъогъокӏэкӏахь	ʐʷ a ʁʷ a t͡ʃ a t͡ʃ aː ħ
жъогъоплӏэн	ʐʷ a ʁ a p ɬ a n
жъогъорыплъ	ʐʷ a ʁʷ a r ə p ɬ
жъогъофах	ʐʷ a ʁʷ a f aː x
жъогъошӏу	ʐʷ a ʁʷ a ʃʷ
жъогъу	ʐʷ a ʁʷ
жъогъуае	ʐʷ a ʁʷ aː j a
жъогъуаплъэ	ʐʷ a ʁ aː p ɬ a
жъоку	ʐʷ a kʷ
жъон	ʐʷ a n
жъонакӏу	ʐʷ a n aː kʷ
жъоныгъу	ʐʷ a n ə ʁʷ
жъоныгъуакӏ	ʐʷ a n ə ʁʷ aː t͡ʃ
жъоныгъуакӏмаз	ʒʷ a n ə ʁʷ aː t͡ʃ ʼ m aː z
жъоплъ	ʐʷ a p ɬ
жъопхъу	ʐʷ a p χʷ
жъоркъ	ʐʷ a r q
жъоркъы	ʒʷ a r q ə
жъот	ʐʷ a t
жъотхъу	ʐʷ a t χʷ
жъотын	ʐʷ a t ə n
жъуагъо	ʒʷ aː ʁʷ a
жъуагъэ	ʐʷ aː ʁ a
жъуаф	ʐʷ aː f
жъугъ	ʐʷ ə ʁ
жъугъэпащ	ʐʷ ə ʁ a p aː ɕ
жъугъэхэку	ʐʷ ə ʁ a x a kʷ
жъун	ʐʷ ə n
жъутхэн	m a ʒʷ ə t x a n
жъы	ʐ ə
жъыгъо	ʐ ə ʁʷ a
жъыгъуай	ʐ ə ʁʷ aː j
жъыгъэ	ʐ ə ʁ a
жъый	ʐ ə j
жъыкъат	ʐ ə q aː t
жъын	ʐ ə n
жъыпӏэ	ʐ ə p ʼ a
жъырку	ʐ ə r kʷ
жъыу	ʐ ə w
жъыуакӏо	ʐ ə w aː kʷ ʼ a
жъыун	ʐ ə w ə n
жъышъо	ʐ ə ʂʷ a
жъышъхьэ	ʐ ə ʂ ħ a
жъышъхьэмаф	ʐ ə ʂ ħ a m aː f
жъышъхьэмыгъу	ʐ ə ʂ ħ a m a ə ʁʷ
жъыӏо	ʐ ə ʔʷ a
жъэбэкъ	ʐ a b a q
жъэгъуай	ʐ a ʁʷ a j
жъэжъый	ʐ a ʐ ə j
жъэжъэн	ʐ a ʐ a m
жъэн	ʐ a n
жъэрым	ʐ a r ə m
жыкъузалъ	ʒ ə qʷ ə z aː ɬ
жын	ʒ ə n
жыфлъат	ʑ ə f ɬ aː t
жьао	ʑ aː w a
жьаугъуадж	ʑ aː w ʁʷ aː d͡ʒ
жьаушӏ	ʑ aː w ʃ ʼ
жьы	ʑ ə
жьыбгъэ	ʑ ə b ʁ a
жьыбгъэос	ʑ ə b ʁ a w a s
жьыгъо	ʑ ə ʁʷ a
жьыгъогу	ʑ ə ʁʷ a ɡʷ
жьыгъэбыб	ʑ ə ʁ a b ə b
жьыгъэбыу	ʑ ə ʁ a b ə w
жьыгъэкъабзэ	ʑ ə ʁ a q aː b z a
жьыгъэшъуй	ʑ ə ʁ a ʂʷ ə j
жьыдзакӏо	ʑ ə d͡z aː kʷ ʼ a
жьыдзапӏэ	ɕ ə d͡z ə p ʼ a
жьыдзэ	ʑ ə d͡z ə p ʼ a
жьызалъ	ʑ ə z aː ɬ
жьызэпеу	ʑ ə z a p a j w
жьыкорен	ʑ ə kʷ a r a j n
жьыкъуз	ʑ ə qʷ ə z
жьыкъухь	ʑ ə qʷ ə ħ
жьыкъыдэгъэкӏын	ʑ ə q ə d a ʁ a t͡ʃ ə n
жьыкъэщэн	ʑ ə q a ɕ a n
жьыкъэщэуз	ʑ ə q a ɕ a w z
жьын	ʑ ə n
жьынэӏу	ʑ ə n a ʔʷ
жьыпэ	ʑ ə p a
жьырытэдж	ʑ ə r ə t a d͡ʒ
жьыуай	ʑ ə w aː j
жьыуапӏэ	ʑ ə w aː p ʼ a
жьыуз	ʑ ə w z
жьыф	ʑ ə f
жьыхъырз	ʑ ə χ ə r z
жьыхьарз	ʑ ə ħ aː r z
жьышъаб	ʑ ə ʂ aː b
жьышъхьал	ʑ ə ʂ ħ aː l
жьыщэ	ʑ ə ɕ a
жьыӏо	ʑ ə ʔʷ a
жьыӏэшӏу	ʑ ə ʔ a ʃʷ ʼ
жьэжьын	j a ʑ a ʑ ə n
жьэн	ʑ a n
жьэу	ʑ a w
жэ	ʒ a
жэгъу	ʒ a ʁʷ
жэгъуб	ʒ a ʁʷ ə b
жэгъуулал	ʒ a ʁʷ ə w l aː l
жэдэзын	ʒ a d a z ə n
жэдэкон	ʒ a d a kʷ a n
жэдэкӏэн	ʒ a d a t͡ʃ a n
жэдэлъхьажьын	ʒ a d a ɬ ħ aː ʑ ə n
жэдэлъын	ʒ a d a x ə n
жэдэон	ʒ a d a w a n
жэдэплъыхьан	ʒ a d a p ɬ ə ħ aː n
жэдэтэкъон	ʒ a d a z ə n
жэдэфэн	ʒ a d a f a n
жэкъун	ʒ a qʷ ə n
жэкӏагъу	ʒ a t͡ʃ aː ʁʷ
жэкӏапэ	ʒ a t ʃ ʼ aː p a
жэкӏьапэ	ʒ a kʲ ʼ aː p a
жэкӏэпэпкъ	ʒ a t ʃ ʼ a p a p q
жэкӏэпэсыс	ʒ a t͡ʃ a p a s ə s
жэкӏэупс	ʒ a t͡ʃ a w p s
жэкӏэупсыпӏ	ʒ a t͡ʃ a w p s ə p ʼ
жэкӏэф	ʒ a t͡ʃ a f
жэкӏэшху	ʒ a t͡ʃ a ʃ xʷ
жэлъакӏу	ʒ a ɬ aː kʷ ʼ
жэлый	ʒ a l ə j
жэмай	ʒ a m aː j
жэмачыу	ʒ a m aː t͡ʃ ə w
жэмыӏан	ʒ a m ə ʔ aː n
жэпкъ	ʒ a p q
жэпхъэмыбгъу	ʒ a p χ a m ə b ʁʷ
жэрыплъ	ʒ a r ə p ɬ
жэрыплъагъ	ʒ a r ə p ɬ aː ʁ
жэрыӏу	ʒ a r ə ʔʷ
жэрыӏуабз	ʒ a r ə ʔʷ aː b z
жэукъ	ʒ a w q
жэукъыгъ	ʒ a w q ə ʁ
жэхъу	ʒ a χʷ
жэхъуагъ	ʒ a χʷ aː ʁ
жэхэбэнэн	ʒ a x a b a n ə n
жэхэзыхьан	ʒ a x a z ə ħ aː n
жэхэкӏотэн	ʒ a x a kʷ ʼ a t a n
жэхэкӏоцэн	ʒ a x a kʷ ʼ a t͡s a n
жэхэлъэдэн	ʒ a x a ɬ a d a n
жэхэон	ʒ a x a w a n
жэхэпкӏэн	ʒ a x a p kʲ a n
жэхэплъэн	ʒ a x a p ɬ a n
жэхэпхъэнкӏэн	ʒ a x a p χ a n t͡ʃ a n
жэхэтхъон	ʒ a x a t χʷ a n
жэхэупцӏэн	ʒ a x a w p t͡s ʼ a n
жэхэхьан	ʒ a x a ħ a n
жэӏонтӏагъ	ʒ a ʔʷ a n t ʼ aː ʁ
жэӏулэл	ʒ a ʔʷ ə l a l
жэӏулэлыгъ	ʒ a ʔʷ ə l a l ə ʁ
загъорэ	z aː ʁʷ a r a
закъу	z aː qʷ
закӏэ	z aː t͡ʃ ʼ a
зандэ	z aː n d a
занкӏэ	z aː n t͡ʃ a
занкӏэу	z aː n t͡ʃ a w
зао	z aː w a
заулэ	z aː w l a
зафэ	z aː f a
згъэшъхъын	z ʁ a ʂ χ ə n
зегъэкӏын	z e ʁ a t͡ʃ ʼ ə n
зегъэуджэгъун	z a j ə ʁ a w d͡ʒ a ʁʷ ə n
зегъэунэжъыен	z e ʁ a w n a ʐ ə j a n
зегъэхьын	z a j ʁ a ħ ə n
зегъэшъукӏын	z a j ʁ a ʃʷ ə t͡ʃ ʼ ə n
зегъэшӏужьын	z a j ʁ a ʃʷ ʼ ə ʑ ə n
зекӏо	z a j kʷ ʼ a
зетын	z a j t ə n
зешъокӏыжьын	z a j ʃʷ a t͡ʃ ʼ ə ʑ ə n
зи	z ə j
зифэпэжьыгъ	z ə j f a p a ʑ ə ʁ
зиӏ	z ə j ʔ
зтэгъэкӏэн	z t a ʁ a t͡ʃ a n
зуагъуэ	zʷ aː ʁʷ a
зупсын	z ə w ə p s ə n
зфэӏон	z f a ʔʷ a n
зы	z ə
зыб	z ə b
зыгокӏэ	z ə ɡʷ a r a t͡ʃ ʼ a
зыгъэгусэн	z ə ʁ ə ɡʷ ə s a n
зыгъэпскӏын	z ʁ a p s t͡ʃ ʼ ə n
зыгъэпсыкӏын	z ʁ a p s t͡ʃ ʼ ə n
зыгъэпсыкӏьын	z ʁ a p s kʲ ə n
зыгъэпсэфын	z ə ʁ a p s a f ə n
зыгъэсамбырын	z ə ʁ a s aː m b ə r ə n
зыгъэухьазырын	ħ aː z ə r ə n
зыгъэшхэкӏын	z ə ʁ a ʃ x a t͡ʃ ʼ ə n
зылӏэжьын	z aː ɬ ʼ a ʑ ə n
зыохьын	z ə w a ħ ə n
зыпари	z ə p aː r ə j
зыплъыхьан	z ə p ɬ ə ħ aː n
зыплъыхьапӏэ	z ə p ɬ ə ħ aː p ʼ a
зыплъыхьын	z ə p ɬ ə ħ ə n
зыпэгъотхьажьын	z ə p a ʁʷ a t ħ a ʑ ə n
зыпэгъэплъэн	z ə p a ʁ a p ɬ a n
зытегъэкӏэн	z ə t a j ʁ a t͡ʃ ʼ a n
зыушъэфын	z a w ə ʂ a f ə n
зыуӏэшын	z ə w ʔ a ʃ ə n
зыфэгъэсакъын	z ə f a ʁ a s aː q ə n
зыци	z ə t͡s ə j
зыцый	z ə t͡s ə j
зышӏоу	z ə ʃʷ ʼ ə w
зышӏошӏужьын	z ə ʃʷ ʼ ə ʃʷ ʼ a ʑ ə n
зыщыгъэгъупшын	z ə ɕ ə ʁ a ʁʷ ə p ʃ ə n
зыщыгъэзыен	z ə ʃ ə ʁ a z ə j a n
зыщыгъэзын	z ə ɕ ə ʁ a ʁʷ ə p ʃ ə n
зыщыдзыен	z ə ɕ ə d͡z ə j a n
зыщэӏэн	z ə ɕ a ʔ a n
зыӏыгъэхьан	z a ʔ a ʁ a ħ aː n
зыӏэгъэхьан	z a ʔ a ʁ a ħ a n
зэ	z a
зэблэдзын	z a b ɮ a d͡z ə n
зэблэкьын	b l a p kʲ ə n
зэблэхъун	z a p l a χʷ ə n
зэгогъэкӏын	z a ɡʷ a ʁ a kʲ ə n
зэгогъэкӏын	z a ɡʷ a ʁ a t͡ʃ ə n
зэгожъын	z a ɡʷ a ʐ ə n
зэгокӏын	z a ɡʷ a t͡ʃ ʼ ə n
зэгокӏьын	z a ɡʷ a t kʲ ʼ ə n
зэгокӏьын	z a ɡʷ a t͡ʃ ə n
зэгоожьын	z a ɡʷ a w a ʑ ə n
зэготӏэпӏыкӏын	z a ɡʷ a t ʼ a p ʼ ə t͡ʃ ʼ ə n
зэгоутын	z a ɡʷ a w t ə n
зэгочын	z a ɡʷ a t͡ʃ ə n
зэгощын	z a ɡʷ a ɕ ə n
зэгу	z a ɡʷ ə
зэгъэлъагъэ	z a ʁ a ɬ aː ʁ a
зэгъэн	z a ʁ a n
зэгъэпэшын	z a ʔ a p a ʃ ə n
зэгъэфагъ	z a ʁ a f aː ʁ
зэгъэфэгъэн	z a ʁ a f a ʁ a n
зэгъэфэн	z a ʁ a f a n
зэгъэшӏэн	z a ʁ a ʃ ʼ a n
зэгьэм	z a ɡʲ a m
зэдзэкӏакӏо	z a d͡z a t͡ʃ ʼ aː kʷ ʼ a
зэдзэкӏакӏу	z a d͡z a t͡ʃ aː kʷ ʼ
зэдзэкӏын	z a d͡z a t͡ʃ ə n
зэжъу	z a ʐʷ ə
зэзэон	z a z a w a n
зэйтынчъыг	z a j t ə n t ʂ ə ɣ
зэкъошныгъ	z a qʷ a ʃ n ə ʁ
зэкӏон	z a kʷ ʼ a n
зэкӏэ	z a t͡ʃ ʼ a
зэкӏэкӏон	z a t͡ʃ ʼ a kʷ ʼ a n
зэкӏэплъэн	z a t͡ʃ ʼ a kʷ ʼ a n
зэкӏэхьажьын	z a t͡ʃ ʼ a ħ aː ʑ ə n
зэкӏэхьан	z a t͡ʂ a ħ a n
зэкӏэхьэн	z a t͡ʃ ʼ a ħ a n
зэкӏэчъэн	z a t͡ʃ ʼ a t͡ʂ a n
зэндалэ	z a n d aː l a
зэокӏокъуашъу	z a w kʷ ʼ a qʷ a ʂʷ ə
зэолӏ	z a w a ɬ ʼ
зэон	z a w a n
зэпачъэ	z a p aː t͡ʂ a
зэпедзын	z a p a j d͡z ə n
зэпитхъын	z a p i t χ ə n
зэпичын	z a p i t͡ʃ ə n
зэплъэкӏыгъу	z a p ɬ a t͡ʃ ʼ ə ʁʷ
зэплъэкӏын	z a p ɬ a t͡ʃ ʼ ə n
зэплъэхьын	z a p ɬ a ħ ə n
зэпыгъэун	z a p ə ʁ a w ə n
зэпыгъэчъын	z a p ə ʁ a t͡ʂ ə n
зэпыдагъэу	z a p ə d aː ʁ a w
зэпыдзын	z a p ə d͡z ə n
зэпыдэн	z a p ə d a n
зэпыкьын	z a p ə kʰ ə n
зэпыкӏын	z a p ə t͡ʃ ʼ ə n
зэпыкӏьын	z a p ə kʲ ʼ ə n
зэпымыурэ	z a p ə m ə w r a
зэпырыкӏын	z a p ə r ə t͡ʃ ʼ ə n
зэпытхъын	z a p ə t χ ə n
зэпыун	z a p ə w ə n
зэпыутын	z a p ə w t ə n
зэпычын	z a p ə kʲ ə n
зэпычын	z a p ə t͡ʃ ə n
зэпэзэдакъ	z a p a z a d aː q
зэпэчъэн	z a p a t͡ʂ a n
зэребылэу	z a r a j b ə ɮ a w
зэрихьан	z a r i ħ a n
зэрихьэн	z a r i ħ a n
зэрэкъэлъагъорэмкӏэ	z a r a q a ɬ aː ʁʷ a r a m t͡ʃ ʼ a
зэтелъхьэн	z a t a j ɬ ħ a n
зэтеуцон	z a t a j w t͡ʃʷ a n
зэтэлъхьэн	z a t a ɬ ħ a n
зэтэлъын	z a t a ɬ ə n
зэтэухьэлэн	z a t a w ħ a l a n
зэтэуӏокӏэн	z a t a w ʔʷ a t͡ʃ ʼ a n
зэуакӏо	z a w aː kʷ ʼ a
зэуалӏ	z a w aː ɬ ʼ
зэуапӏэ	z a w aː p ʼ a
зэужэу	z a w ʒ a w
зэутэкӏын	z a w t a t͡ʃ ə n
зэуэн	z a w a n
зэфачъэ	z a f aː t͡ʂ a
зэфэчъэн	z a f a t͡ʂ a n
зэхъокӏын	z a χʷ a t͡ʃ ʼ ə n
зэхъокӏьын	z a χʷ a kʲ ʼ ə n
зэхэгъэтэкъун	z a x a ʁ a t a qʷ ə n
зэхэгъэшъухъон	z a x a ʁ a ʃʷ ə χʷ a n
зэхэдзын	z a x a d͡z ə n
зэхэдзышъун	z a x a d͡z ə ʃʷ ə n
зэхэкӏын	z a x a t͡ʃ ʼ ə n
зэхэон	q a w a n
зэхэтэкъун	z a x a t a qʷ ə n
зэхэутын	z a x a w t ə n
зэхэфэн	z a x a f a n
зэхэхуэн	z a x a xʷ a n
зэхэхын	z a x a x ə n
зэхэшӏыкӏын	z a x a ʃ ʼ ə t͡ʃ ʼ ə n
зэхэщын	z a x a ɕ ə n
зэчэрые	z a kʲ a r ə j a
зэчэрые	z a t͡ʃ a r ə j a
зэшӏожьын	z a ʃʷ ʼ ə ʑ ə n
зэщыгъо	z a ɕ ə ʁʷ a
зэщыкъон	z a ɕ ə qʷ a n
зэщын	z a ɕ ə n
зэӏукӏапӏэ	z a ʔʷ ə t͡ʃ ʼ aː p ʼ a
зэӏукӏэн	z a ʔʷ ə t͡ʃ ʼ a n
зэӏунын	z a ʔʷ ə n ə n
зэӏыхьан	z a ʔ a ħ a n
зэӏэгъэхьэн	z a ʔ a ʁ a ħ a n
зэӏэхын	z a ʔ a x ə n
зэӏэхьан	z a ʔ a ħ a n
зэӏэхьэн	z a ʔ a ħ a n
и	j ə
ибзэгу	j ə v z a ɡʷ
ибрахьим	j ə b r aː ħ i m
ибэ	j ə b a
ибэдалэу	j ə b a d aː l a w
игъоин	j ə ʁʷ a j ə n
игъолъхьан	t a ʁʷ a ɬ ħ aː n
игъу	j ə ʁʷ a
игъуадж	j ə ʁʷ aː d͡ʒ
игъэкъугъэ	j ə ʁ a qʷ ə ʁ a
иджы	j ə d͡ʒ ə
иджыри	j ə d͡ʒ ə r i
иджэгъун	d͡ʒ a ʁʷ ə n
идзэн	j ə d͡z a n
иен	j a j ə n
изакъу	j ə z aː qʷ
изы	j ə z ə
изын	j ə z ə n
изэу	j ə z a w
икъугъэ	j ə qʷ ə ʁ a
икъун	j ə qʷ ə n
икӏодыкӏын	j ə kʷ ʼ a d ə t͡ʃ ʼ ə m
илъын	j ə ɬ ə n
илъэдэн	j ə ɬ a d a n
илъэс	j ə ɬ a s
илъэсипшӏы	j ə ɬ a s i p ʂ ʼ ə
илыягъ	j ə ɮ ə j aː ʁ
инапэкӏэ	j ə n aː p a t͡ʃ ʼ a
инахэкӏэ	j ə n aː x a t͡ʃ ʼ a
ины	j ə n ə
иныжъ	j ə n ə ʐ
ипашъхьэ	j ə p aː ʂ ħ a
ипхъыхьан	j ə p χ ə ħ aː n
ипшын	j ə p ʃ ə n
ипэтхьэмафэ	j ə p a t ħ a m aː f a
исхьэкъ	j ə s ħ a q
исэн	j ə s a n
итхагъэп	j ə t x aː ʁ a p
итын	j ə t ə n
итэкъохьын	j ə t a qʷ a ħ ə n
итэкъун	j ə t a qʷ ə n
иуж	j ə w ə ʒ
иужым	j ə w ʒ ə m
иупкӏын	j ə w p t͡ʃ ʼ ə n
иусыф	j ə w s ə f
иушӏоин	j ə w ʃʷ a j ə n
ифын	j ə f ə n
ифэн	j ə f a n
ихьан	j ə ħ aː n
ихьисапын	j ə ħ i s aː p ə n
ичӏыпӏэкӏэ	j ə t͡ʂ ʼ ə p ʼ a t͡ʃ ʼ a
ишъукӏын	j ə ʃʷ ə t͡ʃ ʼ n
ишъун	j ə ʃʷ ə n
ишӏыхьан	j ə ʃ ʼ ə ħ aː n
ишӏэхьан	j ə ʃ ʼ a ħ aː n
иӏэн	j ə ʔ a n
ко	kʷ a
коил	kʷ a j ə l
кой	kʷ a j
койыл	kʷ a j ə l
кокӏ	kʷ a t͡ʃ ʼ
коны	kʷ a n ə
копкъ	kʷ a p q
копкъышъхьэ	kʷ a p q ə ʂ ħ a
корт	kʷ a r t
корэн	kʷ a r a n
корэныгу	kʷ a r a n ə ɡʷ
коц	kʷ a t͡s
коцы	kʷ a t͡s ə
кощын	kʷ a ɕ ə n
ку	kʷ ə
куамэ	kʷ aː m a
куандэ	kʷ aː n f a
куахъо	kʷ aː χʷ a
куашъо	kʷ ʼ aː ʃʷ a
куашъу	kʷ ʼ aː ʃʷ a
кугъачъ	kʷ ə ʁ aː t͡ʃ
кудэ	kʷ ə d a
кукумау	kʷ ə kʷ m aː w
кукунэгъэбылъ	kʷ ə kʷ n a ʁ a b ə ɬ
кукунэгъэбылъ	kʷ ə kʷ n a ʁ a p ɬ
кукунэгъэплъ	kʷ ə kʷ n a ʁ a b ə ɬ
кукунэгъэплъ	kʷ ə kʷ n a ʁ a p ɬ
кукуу	kʷ ə kʷ ə w
кулъэшъу	kʷ ə ɬ a ʃʷ
куогъу	kʷ ə w a ʁʷ
куон	kʷ ə w a n
куп	kʷ ə p
купкӏ	kʷ ə p t͡ʃ ʼ
купсэ	kʷ a p s a
купэ	kʷ ə p a
курэжъые	kʷ ə r a ʐ ə j a
кутлэ	kʷ ə t l a
куу	kʷ ə w ə
кухьэ	kʷ ə ħ a
куцэ	kʷ ə t͡s a
куцӏы	kʷ ə t͡s ʼ ə
кушъхьэ	kʷ ə ʂ ħ a
кушъхьэфачъэ	kʷ ə ʂ ħ a f aː t͡ʂ a
кушъэ	kʷ ə ʂ a
кущэрэхъ	kʷ ə ɕ a r a χ
кхъанзэгу	q͡χ aː n z a ɡʷ
кхъу	qʷ ə
кхъу	q͡χʷ ə
кхъу	χʷ ə
кхъуайэ	q͡χʷ aː j a
кхъужъы	q͡χʷ ə ʐ ə
кхъулъфыгъэ	q͡χʷ ə ɬ f ə ʁ a
къабзэ	q aː b z a
къаблэ	q aː b l a
къаз	q aː z
къазгъыр	q aː z ʁ ə r
къазмакъбзыу	q aː z m aː q b z ə w
къазмэ	q aː z m a
къаигъэ	q aː j ə ʁ a
къакъыр	q aː q ə r
къалэ	q aː l a
къалэ	q aː ɮ a
къамзэгу	q aː m z a ɡʷ
къамцӏыч	q aː m t͡s ʼ ə t͡ʃ
къамыл	q aː m ə ɮ
къамыщ	q aː m ə ɕ
къамэ	q aː m a
къаплъэн	q aː p ɬ a n
къапщыкъ	q aː p ɕ ə q
къарыу	q aː r ə w
къарыунчъ	q aː r ə w ə n t͡ʂ
къарыунчъэ	q aː r ə w ə n t͡ʂ
къарэ	q aː r a
къарэу	q aː r a w
къатыр	q aː t ə r
къаум	q aː w ə m
къаунэ	q aː w ə n a
къахьэуашъо	q aː ħ a w aː ʃʷ a
къашхъо	q aː ʃ χʷ a
къашъо	q aː ʂʷ a
къашыкъ	q aː ʃ ə q
къашыкъхъурай	q aː ʃ ə q χʷ ə r aː j
къегъоин	q a j ʁʷ a j ə n
къегъэблэгъэн	q a j ʁ a b l a ʁ a n
къегъэкӏын	q a j ʁ a t͡ʃ ʼ ə n
къегъэсын	q e ʁ a s ə n
къеджэн	q a j d͡ʒ a n
къезын	q e z ə n
къекӏэхын	q a j t͡ʃ ʼ a x ə m
къелэлэхын	q a j ɬ a ɬ a x ə n
къепщэн	q a j p ɕ a n
къесын	q e s ə n
къеткӏухын	q e t kʷ ʼ ə x ə n
къетӏэрэхын	q a j t ʼ a r a x ə n
къеулэлэхын	q a j ɬ a ɬ a x ə n
къефэхын	q a j f a x ə n
къешхын	q a j ʃ x ə n
къешӏэн	q a j ʃ ʼ a n
къещхын	q e ɕ x ə n
къизын	q i z ə n
къикӏын	q ə j t͡ʃ ʼ ə n
къикӏьэсӏын	q ə j kʲ ʼ a s ʼ ə n
къилъын	q ə j ɬ ə n
къины	q ə j n ə
къипсэн	q i n p s a n
къиухын	q ə j w x ə n
къихын	q ə j x ə n
къиякъ	q i j aː q
къо	qʰʷ a
къо	qʷ a
къогъо	qʷ a ʁʷ a
къоджэгъу	t͡ʃ ə ɮ a ʁʷ
къожъ	qʷ a ʐ
къозын	p ə ɬ ə n
къокъон	qʷ a qʷ a n
къокӏын	qʷ a t͡ʃ ʼ ə n
къокӏыпӏэ	qʷ a t͡ʃ ʼ ə p ʼ a
къокӏьын	qʷ a kʲ ʼ ə n
къолагьэ	qʷ a l aː ɡʲ a
къоладжэ	qʷ a l aː d͡ʒ a
къолай	qʷ l aː j
къолы	qʷ a l ə
къолэбзыу	qʷ a l a b z ə w
къолэжъ	qʷ a l a ʐ
къолэн	qʷ a l a n
къолэнсэлэн	qʷ a l a n s a l a n
къонцӏэу	qʷ a n t͡s ʼ a w
къоны	qʷ a n ə
къопс	qʷ a p s
къорылъф	qʷ a r ə ɬ f
къохь	qʷ a ħ
къохьан	qʷ a ħ aː n
къохьапӏэ	qʷ a ħ aː p ʼ
къохьэн	qʷ a ħ a n
къошъобэщ	qʷ a ʂʷ a b a ɕ
къошъолӏы	qʷ a ʂʷ a ɬ ʼ ə
къошъомэзэжъый	qʷ a ʂʷ a m a z a ʐ ə j
къошъофы	qʷ a ʂʷ a f ə
къошъочӏэгъаз	qʷ a ʂʷ a t͡ʃ a ʁ a z
къошъошӏы	qʷ a ʂʷ a ʃ ə
къощыр	qʷ a ɕ ə r
къоӏус	qʷ a ʔʷ ə s
къу	qʷ ə
къуаджэ	qʷ aː d͡ʒ a
къуае	qʷ aː j a
къуалъхьэ	qʷ aː ɬ ħ a
къуамэ	qʷ aː m a
къуанчӏэ	qʷ aː n t͡ʃ a
къуанчӏэ	qʷ aː t͡ʃ a
къуао	qʷ aː w a
