ab	ɑ b
pivə	p iː v æ
pivəxana	p iː v æ χ ɑ n ɑ
pəncərə	p æ n d͡ʒ æ r æ
pəncərə	p æ n d͡z æ r æ
pəncərə	p e n d͡ʒ æ r æ
pəncərə	p e n d͡z æ r æ
qab	ɡ ɑ b
qab	ɡ ɑ b̥
qabaq	ɡ ɑ b ɑ χ
qabaq	ɡ ɑ v ɑ χ
qabaqcadan	ɡ ɑ b ɑ ɣ d͡ʒ ɑ d ɑ n
qabaqcadan	ɡ ɑ b ɑ ɣ d͡ʒ ɑ d ɑ n
qabaqcıl	ɡ ɑ b ɑ ɣ d͡z ɯ ɫ
qabaqcıl	ɡ ɑ b ɑ ɣ d͡z ɯ ɫ
qabaqlamaq	ɡ ɑ b ɑ ɣ ɫ ɑ m ɑ χ
qabağa	ɡ ɑ b ɑ ɣ ɑ
qabağa	ɡ ɑ v ɑ ɣ ɑ
qabağında	ɡ ɑ b ɑ ɣ ɯ n d ɑ
qabırğa	ɡ ɑ b ɯ r ɣ ɑ
qabırğa	ɢ ɑ b ɯ r ɣ ɑ
qada	ɡ ɑ d ɑ
qadağa	ɡ ɑ d ɑ ɣ ɑ
qadağan	ɡ ɑ d ɑ ɣ ɑ n
qadın	ɡ ɑ d ɯ n
qadın	k ɑ d ɯ n
qafqaz	ɡ ɑ f k ɑ z
qafqaz	ɡ ɑ f ɡ ɑ z
qalamaq	ɡ ɑ ɫ ɑ m ɑ χ
qalaq	ɡ ɑ ɫ ɑ χ
qalay	ɡ ɑ ɫ ɑ j
qalayçı	ɡ ɑ ɫ ɑ j t͡ʃ ɯ
qalayçı	ɡ ɑ ɫ ɑ j t͡s ɯ
qaldırmaq	ɡ ɑ l d ɯ r m ɑ χ
qalmaq	ɡ ɑ ɫ m ɑ χ
qalmaqal	ɡ ɑ ɫ m ɑ ɡ ɑ ɫ
qalmaqal	ɡ ɑ ɫ m ɑ ɣ ɑ ɫ
qaluboy	ɡ ɑ ɫ u b o j
qaluboy	ɢ ɑ ɫ u b o j
qalxmaq	ɡ ɑ ɫ χ m ɑ χ
qalib	ɡ ɑː l i b
qalibiyyət	ɡ ɑː l i b i j j æ t
qan	ɡ ɑ n
qanad	ɡ ɑ n ɑ d
qanamaq	ɡ ɑ n ɑ m ɑ χ
qancıq	ɡ ɑ n d͡ʒ ɯ χ
qancıq	ɡ ɑ n d͡z ɯ χ
qanmaq	ɡ ɑ n m ɑ χ
qanmaq	ɡ ɑ mː ɑ χ
qanmaz	ɡ ɑ n m ɑ z
qanmaz	ɡ ɑ mː ɑ z
qanun	ɡ ɑː n u n
qapan	ɡ ɑ p ɑ n
qapaq	ɡ ɑ p ɑ χ
qapı	ɡ ɑ p ɯ
qapmaq	ɡ ɑ p m ɑ χ
qar	ɡ ɑ r
qara	ɡ ɑ r ɑ
qara	ɡ æ r æ
qaralama	ɡ ɑ r ɑ ɫ ɑ m ɑ
qaralamaq	ɡ ɑ r ɑ ɫ ɑ m ɑ χ
qaranlıq	ɡ ɑ r ɑ n ɫ ɯ χ
qaranlıq	ɡ ɑ r ɑ nː ɯ χ
qarayara	ɡ ɑ r ɑ j ɑ r ɑ
qarın	ɡ ɑ r ɯ n
qarınca	ɡ ɑ r ɯ n d͡ʒ ɑ
qarınca	ɡ ɑ r ɯ n d͡z ɑ
qarışdırmaq	ɡ ɑ r ɯ ʃ t ɯ r m ɑ χ
qarışmaq	ɡ ɑ r ɯ ʃ m ɑ χ
qarışqa	ɡ ɑ r ɯ ʃ ɡ ɑ
qarışqa	ɡ ɑ r ɯ ʃ k ɑ
qarşı	ɡ ɑ r ʃ ɯ
qarşısında	ɡ ɑ r ʃ ɯ s ɯ n d ɑ
qarət	ɡ ɑː r æ t
qasırğa	ɡ ɑ s ɯ r ɣ a
qatı	ɡ ɑ t ɯ
qatıq	ɡ ɑ t ɯ χ
qaya	ɡ ɑ j ɑ
qayda	ɡ ɑ j d ɑ
qayıdış	ɡ ɑ j ɯ d ɯ ʃ
qayınana	ɡ ɑ j ɯ n ɑ n ɑ
qayınata	ɡ ɑ j ɯ n ɑ t ɑ
qayırmaq	ɡ ɑ j ɯ r m ɑ χ
qayırmaq	ɣ ɑː r m ɑ χ
qayırmaq	ɡ e j i ɾ m ɑ χ
qayırmaq	ɡ eː ɾ m ɑ χ
qayıtmaq	ɡ ɑ j ɯ t m ɑ χ
qayıtmaq	ɡ e j i t m ɑ χ
qayıtmaq	ɡ eː t m ɑ χ
qaynamaq	ɡ ɑ j n ɑ m ɑ χ
qaytarmaq	ɡ ɑ j t ɑ r m ɑ χ
qaytarmaq	ɡ e j t æ r m ɑ χ
qaytarmaq	ɢ e j t æ r m ɑ χ
qayçı	ɡ ɑ j t͡ʃ ɯ
qayçı	ɡ e j t͡s i
qayğı	ɡ ɑ j ɣ ɯ
qayğıkeş	ɡ ɑ j ɣ ɯ k e ʃ
qaz	ɡ ɑ z
qazanc	ɡ ɑ z ɑ n d͡ʒ
qazanc	ɡ ɑ z ɑ n d͡z
qazanmaq	ɡ ɑ z ɑ n m ɑ χ
qazanmaq	ɡ ɑ z ɑ mː ɑ χ
qazıntı	ɡ ɑ z ɯ n t ɯ
qazmaq	ɡ ɑ z m ɑ χ
qaçaq	ɡ ɑ t͡ʃ ɑ χ
qaçaq	ɡ ɑ t͡s ɑ χ
qaçaqaç	ɡ ɑ t͡ʃ ɑ ɡ ɑ t͡ʃ
qaçaqaç	ɡ ɑ t͡s ɑ ɡ ɑ t͡s
qaçırmaq	ɡ ɑ t͡ʃ ɯ r m ɑ χ
qaçırmaq	ɡ ɑ t͡s ɯ r m ɑ χ
qaçış	ɡ ɑ t͡ʃ ɯ ʃ
qaçış	ɡ ɑ t͡s ɯ ʃ
qaçmaq	ɡ ɑ t͡ʃ m ɑ χ
qaçmaq	ɡ ɑ t͡s m ɑ χ
qaçqın	ɡ ɑ t͡ʃ ɡ ɯ n
qaçqın	ɡ ɑ t͡s ɡ ɯ n
qaş	ɡ ɑ ʃ
qaşımaq	ɡ ɑ ʃ ɯ m ɑ χ
qaşınmaq	ɡ ɑ ʃ ɯ n m ɑ χ
qaşıq	ɡ ɑ ʃ ɯ χ
qeyri	ɡ e j r i
qıcıqlandırmaq	ɡ ɯ d͡ʒ ɯ ɣ ɫ ɑ n d ɯ r m ɑ χ
qıcıqlandırmaq	ɡ ɯ d͡z ɯ ɣ ɫ ɑ n d ɯ r m ɑ χ
qıdıqlamaq	ɡ ɯ d ɯ ɣ ɫ ɑ m ɑ χ
qıfıl	ɡ ɯ f ɯ ɫ
qıfıllı	ɡ ɯ f ɯ ɫː ɯ
qılınmaq	ɡ ɯ ɫ ɯ n m ɑ χ
qılınmaq	ɡ ɯ ɫ ɯ mː ɑ χ
qılmaq	ɡ ɯ ɫ m ɑ χ
qınamaq	ɡ ɯ n ɑ m ɑ χ
qınaq	ɡ ɯ n ɑ χ
qıraq	ɡ ɯ r ɑ χ
qıraqlar	ɡ ɯ r ɑ ɣ ɫ ɑ r
qırağı	ɡ ɯ r ɑ ɣ ɯ
qırmaq	ɡ ɯ r m ɑ χ
qırmızı	ɡ ɯ r m ɯ z ɯ
qırxmaq	ɡ ɯ r χ m ɑ χ
qırğın	ɡ ɯ r ɣ ɯ n
qısa	ɡ ɯ s ɑ
qısa	k ɯ̥ s ɑ
qızdırmaq	ɡ ɯ z d ɯ r m a χ
qızılquş	ɡ ɯ z ɯ ɫ ɡ u ʃ
qızışmaq	ɡ ɯ z ɯ ʃ m ɑ χ
qızlıq	ɡ ɯ z ɫ ɯ χ
qızmaq	ɡ ɯ z m ɑ χ
qığılcım	ɡ ɯ ɣ ɯ ɫ d͡ʒ ɯ m
qığılcım	ɡ ɯ ɣ ɯ ɫ d͡z ɯ m
qığlamaq	ɡ ɯ ɣ ɫ ɑ m ɑ χ
qış	ɡ ɯ ʃ
qışlaq	ɡ ɯ ʃ l ɑ χ
qışlaq	ɡ ɯ ʃ t ɑ χ
qışqırmaq	ɡ ɯ ʃ ɡ ɯ r m ɑ χ
qışqırmaq	k ɯ ʃ k ɯ r m ɑ χ
qoboy	ɡ o b o j
qoca	ɡ o d͡ʒ ɑ
qoca	ɡ o d͡z ɑ
qocalıq	ɡ o d͡ʒ ɑ ɫ ɯ χ
qocalıq	ɡ o d͡z ɑ ɫ ɯ χ
qohum	ɡ o h u m
qohumluq	ɡ o h u m ɫ u χ
qol	ɡ o ɫ
qoltuq	ɡ o ɫ t u χ
qonaq	ɡ o n ɑ χ
qonaqpərvər	ɡ o n ɑ χ p æ r v æ r
qonaqpərəst	ɡ o n ɑ χ p æ r æ s t
qoparmaq	ɡ o p ɑ r m ɑ χ
qopmaq	ɡ o p m ɑ χ
qorumaq	ɡ o r u m ɑ χ
qoruqçu	ɡ o r u χ t͡ʃ u
qoruqçu	ɡ o r u χ t͡s u
qorxaq	ɡ o r χ ɑ χ
qorxaqlıq	ɡ o r χ ɑ χ ɫ ɯ χ
qorxmaq	ɡ o r χ m ɑ χ
qorxmaz	ɡ o r χ m ɑ z
qorxu	ɡ o r χ u
qorxutmaq	ɡ o r χ u t m ɑ χ
qovmaq	ɡ o v m ɑ χ
qovulma	ɡ o v u ɫ m a
qovulmaq	ɡ o v u ɫ m a χ
qovun	ɡ o v u n
qovun	ɡ o h u n
qovun	ɡ o v u n
qoymaq	ɡ o j m ɑ χ
qoşmaq	ɡ o ʃ m a χ
qoşulmaq	ɡ o ʃ u ɫ m a χ
qoşun	ɡ o ʃ u n
qoşun	ɡ o ʃ u n
qrip	ɡ r i p
qucaqlamaq	ɡ u d͡ʒ a ɣ ɫ ɑ m ɑ χ
qucaqlamaq	ɡ u d͡z a ɣ ɫ ɑ m ɑ χ
qucaqlaşmaq	ɡ u d͡ʒ a ɣ ɫ ɑ ʃ m ɑ χ
qucaqlaşmaq	ɡ u d͡z a ɣ ɫ ɑ ʃ m ɑ χ
quduzluq	ɡ u d u z ɫ u χ
qul	ɡ u ɫ
qulaq	ɡ u ɫ ɑ χ
qumbara	ɡ u m b ɑ r ɑ
qumuq	ɡ u m u χ
qunduz	ɡ u n d u z
qurbağa	ɡ u r b ɑ ɣ ɑ
qurmaq	ɡ u r m ɑ χ
qurnaz	ɡ u r n ɑ z
qurtarmaq	ɡ u r t ɑ r m ɑ χ
qurtarmaq	k u t a r m ɑ χ
qurtulmaq	ɡ u r t u ɫ m ɑ χ
quru	ɡ u r u
qurum	ɡ u r u m
qurutmaq	ɡ u r u t m ɑ χ
qusmaq	ɡ u s m ɑ χ
quyruq	ɡ u j r u ɣ
quyu	ɡ u j u
quzey	ɡ u z e j
quş	ɡ u ʃ
qiymət	ɡ i j m æ t
qiymət	ɢ i j m æ t
qəbiristan	ɡ æ b r i s t ɑ n
qədim	ɡ æ d i m
qədər	ɡ æ d æ ɾ̥
qədər	ɡ æ d æ ɾ
qədər	ɢ æ d æ ɾ̥
qədər	χ æ d æ r
qəhbə	ɡ æ h b æ
qəhbə	ɡ æ h p æ
qəhbəlik	ɡ æ h b æ l i k
qəhbəlik	ɡ æ h p æ l i k
qəhbəlik	ɡ æ h b æ l i j
qəhbəlik	ɡ æ h p æ l i j
qəhrəman	ɡ æ h r æ m ɑ n
qəhrəmanlıq	ɡ æ h r æ m ɑ n ɫ ɯ χ
qəhvə	ɡ æ h v æ
qəlb	ɡ æ l b
qəlb	ɢ æ l b
qəlyan	ɡ æ l j ɑ n
qələbə	ɡ æ l æ b æ
qəribə	ɡ æ r iː b æ
qərənfil	ɟ æ ɾ æ n f ɪ l
qəssab	ɡ æ sː ɑ b
qəssab	ɢ æ sː ɑ b
qətl	ɡ æ t l
qəzet	ɡ æ z e t
qəzəl	ɡ æ z æ l
rahat	r ɑ h ɑ t
rahatlıq	r ɑ h ɑ t l ɯ χ
rejissor	r e ʒ i sː o r
respublika	r e s p u b l i k ɑ
rüşvət	r y ʃ v æ t
rəfiqə	r æ f iː ɡ æ
rəhbər	r æ h b æ r
rəngləmək	r æ ŋ l æ m æ k
rəğbət	r æ ɣ b æ t
rəğmən	r æ ɣ m æ n
saat	s ɑ ɑ t
sabah	s ɑ b ɑ h
sabah	z ɑ v ɑ χ
sabit	s ɑː b i t
sac	s ɑ d͡ʒ
sac	s ɑ d͡z
sadalamaq	s ɑ d ɑ ɫ ɑ m ɑ χ
sadaq	s ɑ d ɑ χ
sadə	s ɑː d æ
sahib	s ɑ h i b
salmaq	s ɑ ɫ m ɑ χ
saman	s ɑ m ɑ n
saman	s ɑ m ɑ n
saman	s ɑː m ɑ n
sanki	s ɑ n k i
saniyə	s ɑː n i j æ
saqqal	s ɑ kː ɑ ɫ
saqqal	s ɑ k ɡ ɑ ɫ
sarı	s ɑ r ɯ
sarplıq	s ɑ r p ɫ ɯ χ
sarsıtmaq	s ɑ r s ɯ t m a χ
sataşmaq	s ɑ t ɑ ʃ m ɑ χ
satıcı	s ɑ t ɯ d͡ʒ ɯ
satıcı	s ɑ t ɯ d͡z ɯ
satış	s ɑ t ɯ ʃ
satmaq	s ɑ t m ɑ χ
satqın	s ɑ t ɡ ɯ n
savaş	s ɑ v ɑ ʃ
saxlamaq	s ɑ χ l ɑ m ɑ χ
sayaq	s ɑ j ɑ χ
sayıq	s ɑ j ɯ χ
saymaq	s ɑ j m ɑ χ
sayt	s ɑ j t
saz	s ɑ z
saziş	ʃ ɑː z i ʃ
saç	s ɑ t͡ʃ
saç	s ɑ t͡s
saçmaq	s ɑ t͡ʃ m ɑ χ
saçmaq	s ɑ t͡s m ɑ χ
sağ	s ɑ ɣ
sağalmaq	s ɑ ɣ ɑ ɫ m ɑ χ
sağaltmaq	s ɑ ɣ ɑ ɫ t m ɑ χ
sağmaq	s ɑ ɣ m ɑ χ
sağol	s ɑ ɣ ɔ ɫ
sağol	s ɑ ɔ ɫ
sağsağan	s ɑ ɣ s a ɣ a n
sevgi	s e v ɡ i
sevmək	s e v m æ k
sevmək	s e v m æ j
sevmək	s œ j m ɑ χ
sevindirmək	s e v i n d i r m æ k
sevindirmək	s e v i n d i r m æ j
sevindirici	s e v i n d i r i d͡ʒ i
sevindirici	s e v i n d i r i d͡z i
sevinmək	s e v i n m æ k
sevinmək	s e v i n m æ j
sevinmək	s œ j y n m ɑ χ
sezmək	s e z m æ k
sezmək	s e z m æ j
seçki	s e t͡ʃ k i
seçki	s e t͡s k i
seçmək	s e t͡ʃ m æ k
seçmək	s e t͡ʃ m æ j
seçmək	s e t͡s m æ k
seçmək	s e t͡s m æ j
seçmək	s e ʃ m ɑ χ
seçici	s e t͡ʃ i d͡ʒ i
seçici	s e t͡s i d͡z i
seçim	s e t͡ʃ i m
seçim	s e t͡s i m
sıfır	s ɯ f ɯ ɾ
sındırmaq	s ɯ n d ɯ r m ɑ χ
sınmaq	s ɯ mː ɑ χ
sırğa	s ɯ r ɣ ɑ
sıxmaq	s ɯ χ m a χ
sıçmaq	s ɯ t͡ʃ m ɑ χ
sıçmaq	s ɯ t͡s m ɑ χ
sıçramaq	s ɯ t͡ʃ r ɑ j ɯ ʃ
sıçramaq	s ɯ t͡s r ɑ j ɯ ʃ
sıçrayış	s ɯ t͡ʃ r ɑ j ɯ ʃ
sıçrayış	s ɯ t͡s r ɑ j ɯ ʃ
sığmaq	s ɯ ɣ m ɑ χ
soba	s o b ɑ
sol	s o ɫ
solaxay	s o ɫ ɑ χ ɑ j
son	s o n
sonra	s o n r ɑ
sonra	s o ŋ r a
sonra	s o n r a m
sonuncu	s o n u n d͡ʒ u
sonuncu	s o n u n d͡z u
sormaq	s o r m ɑ χ
soxasox	s o χ ɑ s o x
soxmaq	s o χ m ɑ χ
soyad	s o j ɑ d
soymaq	s o j m ɑ χ
soyuducu	s o j u d u d͡ʒ u
soyuducu	s o j u d u d͡z u
soyunmaq	s o j u mː ɑ χ
soyuq	s o j u χ
ssri̇	e s e s e r i
stul	s t u ɫ
stəkan	s t æ kʲʰ ɑ n
stəkan	i s t æ kʲʰ ɑ n
stəkan	i s kʲʰ ɑ n
stəkan	i s k æ n
su	s u
subay	s u b ɑ j
sumka	s u m k ɑ
susamaq	s u s ɑ m ɑ χ
susdurmaq	s u s d u r m a χ
susdurmaq	s u s t u r m a χ
susmaq	s u s m a χ
söhbət	s œ h b æ t
söhbət	s œ h b̥ æ t
söhbət	s œ j b æ t
söhbət	s œː b æ t
sökmək	s œ k m æ k
sökmək	s œ k m æ j
sökmək	s œ t͡ʃ m ɑ χ
sökmək	s œ ç m ɑ χ
sökmək	s œ h m ɑ χ
söküntü	s œ k y n t y
söküntü	s œ t͡ʃ y n t y
söndürmək	s œ n d y r m æ k
söndürmək	s œ n d y r m æ j
söndürmək	s œ n d y r m ɑ χ
sönmək	s œ n m æ k
sönmək	s œ j m æ j
söykəmək	s œ j k æ m æ k
söykəmək	s œ j k æ m æ j
söykənmək	s œ j k æ n m æ k
söykənmək	s œ j k æ n m æ j
söyləmək	s œ j l æ m æ k
söyləmək	s œ j l æ m æ j
söymək	s œ j m æ k
söymək	s œ j m æ j
söymək	s œ j m ɑ χ
söyüş	s œ j y ʃ
sübut	s y b u t
süfrə	s y f r æ
sülh	s y l h
sümük	s y m y k
sümük	s y m y j
sünni	s y nː i
sürgün	s y r ɡ y n
sürmək	s y r m æ k
sürmək	s y r m æ j
sürmək	s y r m ɑ χ
sürü	s y r y
sürücü	s y r y d͡ʒ y
sürücü	s y r y d͡z y
sürüşkən	s y r y ʃ k æ n
sürüşkən	s y r y ʃ ɡ æ n
süzmək	s y z m æ k
süzmək	s y z m æ j
sikmək	s i k m æ k
sikmək	s i k m æ j
sikmək	s i k m æ ç
silahlanmaq	s i l ɑ h l ɑ mː a χ
silahlı	s i ɫ ɑ h ɫ ɯ
silmək	s i l m æ k
simic	s i m i d͡ʒ
simic	s i m i d͡z
simiclik	s i m i d͡ʒ l i k
simiclik	s i m i d͡ʒ l i j
simiclik	s i m i d͡z l i t͡ʃ
sincab	s i n d͡ʒ ɑ b
sincab	s i n d͡z ɑ b
siqaret	s i ɡ ɑ r e t
sirkə	s i r k æ
siyahı	s i j ɑː h ɯ
siyasət	s i j ɑ s æ t
səbəb	s æ b æ b
səfər	s æ f æ r
səhnə	s æ h n æ
səhv	s æ f
səhər	s æ h æ r̥
səhər	s æ h æ r
səkkiz	s æ cː ɪ z
səkkizinci	s æ c c i z i n d͡ʒ i
səksəninci	s æ ç s æ n i n d͡ʒ i
səndemə	s æ n d e m æ
səngin	s æ ŋ ɡ i n
səngin	s æ n d͡ʒ i n
səngək	s æ ŋ æ ɡ
səngək	s æ ŋ æ h
səngək	s æ ŋ æ h
səpmək	s æ p m æ j
sərnişin	s æ r n i ʃ i n
sərt	s æ r t
sərxoş	s æ r χ o ʃ
sərçə	s æ r t͡ʃ æ
sərçə	s æ r t͡s æ
sərin	s æ r i n
sərinləmək	s æ r i nː æ m æ k
sərinləmək	s æ r i nː æ m æ j
səriştə	s æ r i ʃ t æ
səs	s æ s
səsvermə	s æ s v e r m æ
səviyyə	s æ v i jː æ
tac	t ɑ d͡ʒ
tac	t ɑ d͡z
tacir	t ɑː d͡ʒ i r
tacir	t ɑː d͡z i r
taktika	t ɑ k t i k ɑ
taktiki	t ɑ k t i k i
tala	t ɑ ɫ ɑ
tamaşa	t ɑ m ɑ ʃ ɑ
tamaşaçı	t ɑ m ɑ ʃ ɑ t͡ʃ ɯ
tamaşaçı	t ɑ m ɑ ʃ ɑ t͡s ɯ
tanışmaq	t ɑ n ɯ ʃ m ɑ χ
tanrı	t ɑ n r ɯ
tapdalamaq	t ɑ p t ɑ ɫ ɑ m ɑ χ
tapıntı	t ɑ p ɯ n t ɯ
tapmaq	t ɑ p m ɑ χ
tapşırmaq	t ɑ p ʃ ɯ r m ɑ χ
taqət	t ɑː ɡ æ t
tar	t ɑ r
tarakan	t ɑ r ɑ k ɑ n
tarix	t ɑˑ r i χ
tarixçi	t ɑˑ r i χ t͡ʃ i
tarixçi	t ɑˑ r i χ t͡s i
tarixi	t ɑː r i χ i
tarixən	t ɑˑ r i χ æ n
taun	t ɑ u n
taxmaq	t ɑ χ m ɑ χ
tayfa	t ɑ j f ɑ
tel	t e l
telefon	t e l e f o n
tezlik	t e z l i k
tezlik	t e z l i j
tezlik	t e z l i ç
tezlik	t e z d i j
tezlik	t e z d i k
tezlik	t e z d i ç
tezliklə	t e z l i k l æ
tıncıxmaq	t ɯ n d͡ʒ ɯ χ m ɑ χ
tıncıxmaq	t ɯ n d͡z ɯ χ m ɑ χ
tısbağa	t ɯ s b ɑ ɣ ɑ
torpaq	t o r p ɑ χ
torpaq	t o r p ɑ χ
toxum	t o χ u m
toxunmaq	t o χ u mː ɑ χ
toyuq	t o j u χ
toz	t o z
tozağacı	t o z a ɣ a d͡ʒ ɯ
tozağacı	t o z a ɣ a d͡z ɯ
tozağacı	t o z a ɣ a ʒ ɯ
tozsoran	t o sː o r ɑ n
tuman	t u m ɑ n
tumurcuq	t u m u r d͡ʒ u χ
tumurcuq	t u m u r d͡z u χ
tutmaq	t u t m ɑ χ
tökmək	t œ k m æ k
tökmək	t œ k m æ j
tökmək	t œ k m ɑ χ
tülkü	t y l k y
tüstü	t y s t y
tüstü	t y sː i
tibb	t i b
ticarət	t i d͡ʒ ɑ ɾ æ t
ticarət	t i d͡z ɑ ɾ æ t
tikmək	t i kʲ m æ kʲ
tikmək	t i t͡ʃ m æ ç
tikmək	t i k m æ j
tikmək	t i k m e j
tikmək	t i t͡ʃ m ɑ χ
tikili	t i k i l i
tikili	t i t͡ʃ i l i
tikinti	t i k i n t i
tikinti	t i t͡ʃ i n t i
tikə	t i k æ
tikə	t i t͡ʃ æ
tilişkə	t ɪ l ɪ ʃ k æ
tire	t i r e
təbrik	t æ b r i k
təbrik	t æ b r i t͡ʃ
təbii	t æ b ɪː
təcrübə	t æ d͡ʒ r y b æ
təcrübə	t æ d͡z r y b æ
tədbir	t æ d b i r
təhqir	t æ h ɡ i r
təhsil	t æ h s i l
tək	t æ k
tək	t æ ç
tək	t æ h
təknikahlılıq	t æ k n i kʲ a h ɫ ɯ l ɯ χ
təknikahlılıq	t æ t͡ʃ n i t͡ʃ a h ɫ ɯ l ɯ χ
təknikahlılıq	t æ k n i ɡʲ a h ɫ ɯ l ɯ χ
təknikahlılıq	t æ t͡ʃ n i d͡ʒ a h ɫ ɯ l ɯ χ
təkrar	t æ kʲ r ɑ r
təkrar	t i kʲ r ɑ r
təkrar	t i t͡ʃ r ɑ r
təki	t æ kʲ i
təkə	t æ k æ
təkər	t æ k æ r
təkər	t æ t͡ʃ ʂ æ r
təkər	t æ j æ ɾ
tələbat	t æ l æ b ɑ t
tələbat	t æ ɫ ɑ b ɑ t
tələbə	t æ l æ b æ
tələffüz	t æ l æ fː y z
təmizkar	t æ m i z kʲʰ ɑ r
təmizkarlıq	t æ m i z kʲʰ ɑ r ɫ ɯ χ
tər	t æ r
tərcüməçi	t æ ɾ d͡ʒ y m æ t͡ʃ i
tərcüməçi	t æ ɾ d͡z y m æ t͡s i
tərgitmək	t æ r ɡ i t m æ k
tərgitmək	t æ r ɡ i t m æ j
tərləmək	t æ rː æ m æ k
tərləmək	t æ rː æ m æ j
tərləmək	t æ rː æ m ɑ χ
tərpənmək	t æ r p æ mː m æ j
tərəfindən	t æ ɾ æ f i nː æ n
tərəfindən	t æ ɾ æ f i n d æ n
tərəzi	t æ r æ z i
təsirli	t æ s i r l i
təsirli	t æ s i rː i
təsirsiz	t æ s i r s i z
təsis	t æˑ s i s
təsəvvüf	t æ s æ vː y f
təxir	t æ χ i r
təzminat	t æ z m i n ɑ t
təzyiq	tʰ æː z ɪ ɡ
təzyiq	tʰ æː z i ɡ
təzə	t æ z æ
təəccüblənmək	t æ æ d͡ʒ y b l æ n m æ k
təəccüblənmək	t æ æ d͡z y b l æ n m æ t͡ʃ
uca	u d͡ʒ ɑ
uca	u d͡z ɑ
ucadan	u d͡ʒ ɑ d ɑ n
ucadan	u d͡z ɑ d ɑ n
ucqar	u d͡ʒ ɡ ɑ r
ucqar	u d͡z ɡ ɑ r
ucuz	u d͡ʒ u z
ucuz	u d͡z u z
udlaq	u d ɫ ɑ χ
udmaq	u d m ɑ χ
uduzmaq	u d u z m ɑ χ
uduş	u d ɯ ʃ
ulduz	u ɫ d ú z
ulu	u ɫ u
unudulmaz	u n u d u ɫ m ɑ z
unutmaq	u n u t m ɑ χ
unutqan	u n u t k ɑ n
utanc	u t ɑ n d͡ʒ
utanc	u t ɑ n d͡z
utanmaq	u t ɑ mː ɑ χ
uymaq	u j m ɑ χ
uyğun	u j ɣ u n
uzanmaq	u z ɑ n m ɑ χ
uzanmaq	u z ɑ mː ɑ χ
uzaq	u z ɑ χ
uzaqbaşı	u z ɑ ɣ b ɑ ʃ ɯ
uzun	u z u n
uzundraz	u z u n d r ɑ z
uçmaq	u t͡ʃ m ɑ χ
uçmaq	u t͡s m ɑ χ
uçuş	u t͡ʃ ɯ ʃ
uçuş	u t͡s ɯ ʃ
uğur	u ɣ u r
uğurlu	u ɣ u r ɫ u
uğurlu	u ɣ u rː u
uşaq	u ʃ ɑ χ
uşaqbaz	u ʃ ɑ ɣ b ɑ z
uşaqbazlıq	u ʃ ɑ χ b ɑ z ɫ ɯ χ
vacib	v ɑː d͡ʒ i b
vacib	v ɑː d͡z i b
vacib	v ɑ d͡ʒ ɯ b
vacib	v ɑ d͡z ɯ b
vaksin	v ɑ k s i n
valideyn	v ɑ l i d e j n
vanil	v ɑ n i l
varlıq	v ɑ r ɫ ɯ χ
varmaq	v ɑ r m ɑ χ
vasitə	v ɑː s i t æ
vağzal	v ɑ ɣ z ɑ ɫ
vergül	v e r ɡ y l
vergi	v e r ɡ i
vergi	v æ r ɡ i
vergiçi	v e r ɡ i t͡ʃ i
vergiçi	v e r ɡ i t͡s i
vermək	v e r m æ k
vermək	v e r m æ j
vermək	v æ r m æ j
vermək	v e r m ɑ χ
verilmək	v e r i l m æ k
verilmək	v e r i l m æ j
verilmək	v æ r y l m e j
verilmək	v æ r i l m ɑ χ
verilənlər	v e r i l æ n l æ r
vurğulamaq	v u r ɣ u ɫ ɑ m ɑ χ
vicdan	v i d͡ʒ d ɑ n
vicdan	v i ʒ d ɑ n
vicdan	v i d͡z d ɑ n
vicdansız	v i d͡ʒ d ɑ n s ɯ z
vicdansız	v i ʒ d ɑ n s ɯ z
vicdansız	v i d͡z d ɑ n s ɯ z
vilayət	v i l ɑː j æ t
vəba	v æ b ɑ
vədə	v æ d æ
vəkil	v æ k i l
vərəq	v æ r æ ɡ
vərəq	v æ r æ k
vətənpərvər	v æ t æ n p æ r v æ r
vətənpərəst	v æ t æ n p æ r æ s t
vəzn	v æ z n
vəzi	v æ z i
vəzifə	v æ z iː f æ
vəziyyət	v æ z i j j æ t
xala	χ ɑ ɫ ɑ
xalq	χ ɑ ɫ ɡ
xalq	χ ɑ ɫ k
xalq	χ ɑ l χ
xalça	χ ɑ ɫ t͡ʃ ɑ
xalça	χ ɑ ɫ t͡s ɑ
xam	χ ɑ m
xatırlamaq	χ ɑ t ɯ r ɫ ɑ m ɑ χ
xatırlatmaq	χ ɑ t ɯ r ɫ ɑ t m ɑ χ
xatirə	χ ɑː t i r ə
xatirə	χ ɑː t ɯ r æ
xeyir	χ e j i r
xodlamaq	χ o dː ɑ m ɑ χ
xodlamaq	χ o tː ɑ m ɑ χ
xodlanmaq	χ o dː ɑ m ɑ χ
xodlanmaq	χ o tː ɑ m ɑ χ
xoş	x o ʃ
xudbin	χ u d b i n
xötək	χ œ t æ k
xötək	χ œ t æ j
xötək	χ œ t æ ç
xötək	χ œ t æ t͡ʃ
xiyaban	χ i j ɑ b ɑ n
xiyaban	χ ɯ j ɑ b ɑ n
xiyaban	χ i j ɑ v ɑ n
xəbər	χ æ b æ r
