'y	ɪ
manggulo	m ɐ ŋ ɡ ʊ l o
manghawa	m ɐ ŋ h ɐ w ɐ
manghimasok	m ɐ ŋ h ɪ m a s o k
manghuhula	m ɐ ŋ h ʊ h u l ɐ ʔ
manghula	m ɐ ŋ h u l ɐ ʔ
manghusga	m ɐ ŋ h ʊ s ɡ a
mangikil	m ɐ ŋ i x ɪ l
mangilit	m ɐ ŋ ɪ l ɪ t
mangingisda	m ɐ ŋ ɪ ŋ ɪ s d a ʔ
mangisay	m ɐ ŋ ɪ s a ɪ̯
mangisda	m ɐ ŋ ɪ s d a ʔ
mangitlog	m ɐ ŋ ɪ t l o ɡ
mangkok	m ɐ ŋ k o k
manglicmot	m ɐ ŋ l ɪ k m o t
mangoba	m ɐ ŋ o b ɐ
mangopya	m ɐ ŋ o p j ɐ
mangubra	m ɐ ŋ ʊ b ɾ a
manguiat	m ɐ ŋ ɪ ɐ t
mangulabnan	m ɐ ŋ ʊ l ɐ b n ɐ n
mangulangot	m ɐ ŋ ʊ l a ŋ o t
mangupit	m ɐ ŋ u p ɪ t
manhid	m ɐ ŋ h i d
maniago	m ɐ n ɪ ɐ ɰ o
maniego	m ɐ ɲ ɛ ɰ o
manilaw	m ɐ n ɪ l a ʊ̯
manilip	m ɐ n i l ɪ p
manindigan	m ɐ n ɪ n d ɪ ɰ ɐ n
maniquiz	m ɐ n ɪ x ɪ s
manlaban	m ɐ n l ɐ b a n
manlait	m ɐ n l ɐ ʔ ɪ t
manlangit	m ɐ n l ɐ ŋ ɪ t
manlapaz	m ɐ n l ɐ p ɐ s
manlapig	m ɐ n l ɐ p ɪ ɡ
manloko	m ɐ n l o x o
manlutac	m ɐ n l ʊ t ɐ k
manrique	m ɐ n ɾ ɪ x ɛ
mansiyon	m ɐ n ʃ o n
mantika	m ɐ n t i x ɐ ʔ
manuhol	m ɐ n u h o l
manuntok	m ɐ n ʊ n t o k
mapagmatyag	m ɐ p ɐ ɡ m ɐ t͡ʃ a ɡ
mapagsamantala	m ɐ p ɐ ɡ s ɐ m ɐ n t ɐ l a
mapahiya	m ɐ p ɐ h ɪ a ʔ
mapalad	m ɐ p ɐ l ɐ d
mapanghusga	m ɐ p a ŋ h ʊ s ɡ a
mapangutya	m ɐ p a ŋ ʊ t͡ʃ a ʔ
mapaniil	m ɐ p ɐ n ɪ i l
mapusyaw	m ɐ p ʊ ʃ ɐ u
maralit	m ɐ ɾ ɐ l ɪ t
marapao	m ɐ ɾ ɐ p ɐ o
maravilla	m ɐ ɾ ɐ b ɪ l l ɐ
marbella	m ɐ ɾ b ɛ l l ɐ
marcial	m ɐ ɾ ʃ ɐ l
maristela	m ɐ ɾ ɪ s t ɛ l ɐ
mariñas	m ɐ ɾ ɪ ɲ ɐ s
marquez	m ɐ ɾ k ɛ s
marquinez	m ɐ ɾ k ɪ n ɛ s
marupok	m ɐ ɾ ʊ p o k
masabon	m a s ɐ b o n
masabon	m ɐ s ɐ b o n
masaker	m ɐ s ɐ x ɛ ɾ
masamid	m a s ɐ m i d
masangcay	m ɐ s ɐ ŋ k a ɪ̯
masangkay	m ɐ s ɐ ŋ k a ɪ̯
maselan	m ɐ s ɛ l ɐ n
maski	m ɐ s k i
masukal	m ɐ s u x ɐ l
masurot	m ɐ s ʊ ɾ o t
mataasnakahoy	m ɐ t ɐ ʔ a s n ɐ x ɐ h o ɪ̯
matae	m ɐ t ɐ ʔ ɛ
matalo	m ɐ t a l o
matatakutin	m ɐ t ɐ t ɐ x ʊ t i n
matauhan	m ɐ t ɐ ʔ u h ɐ n
matibag	m ɐ t ɪ b ɐ ɡ
matigas	m ɐ t ɪ ɰ a s
matisod	m ɐ t i s o d
matrapik	m ɐ t ɾ a p ɪ k
mauleon	m a ʊ̯ l ɛ o n
maunahan	m a ʊ̯ n ɐ h ɐ n
maya	m a j ɐ
mayuga	m ɐ j ʊ ɰ ɐ
mañago	m ɐ ɲ ɐ ɰ o
mañalac	m ɐ ɲ ɐ l ɐ k
medalya	m ɛ d a l j ɐ
medrano	m ɛ d ɾ ɐ n o
melegrito	m ɛ l ɛ ɡ ɾ ɪ t o
menchavez	m ɛ n t͡ʃ ɐ b ɛ s
menorca	m ɛ n o ɾ k ɐ
meryenda	m ɛ ɾ j ɛ n d ɐ
mesa	m ɛ s ɐ
michelena	m ɪ t͡ʃ ɛ l ɛ n ɐ
mijares	m ɪ d͡ʒ ɐ ɾ ɛ s
militante	m ɪ l ɪ t ɐ n t ɛ
minviluz	m ɪ n b ɪ l ʊ s
miranda	m ɪ ɾ ɐ n d ɐ
misteryo	m ɪ s t ɛ ɾ j o
mitsa	m ɪ t͡ʃ a
mondragon	m o n d ɾ ɐ ɰ o n
montealegre	m o n t ɛ ɐ l ɛ ɡ ɾ ɛ
montecalvo	m o n t ɛ x ɐ l b o
montejo	ʔ ɐ l k a ɪ̯ d ɛ
montillano	m o n t ɪ l l ɐ n o
montinola	m o n t ɪ n o l ɐ
montoya	m o n t o j ɐ
morato	m o ɾ ɐ t o
munggo	m ʊ ŋ ɡ o
mura	m u ɾ ɐ
musika	m u s ɪ x ɐ
musoleyo	m ʊ s o l ɛ j o
mutuc	m ʊ t ʊ k
nacpil	n ɐ k p ɪ l
nagbabaon	n ɐ ɡ b ɐ b ɐ ʔ o n
nagbaon	n ɐ ɡ b ɐ ʔ o n
nakakaalarma	n ɐ x ɐ k ɐ ɐ l ɐ ɾ m ɐ
nakakabingi	n ɐ x ɐ k ɐ b ɪ ŋ i
nakakabuwisit	n ɐ x ɐ k ɐ b w i s ɪ t
nakakabwisit	n ɐ x ɐ k ɐ b w i s ɪ t
nakakahawa	n ɐ x ɐ k ɐ h a w ɐ
nakakaintriga	n ɐ x ɐ k ɐ ʔ ɪ n t ɾ ɪ ɰ ɐ
nakakaloko	n ɐ x ɐ k ɐ l o x o
nakakatakot	n ɐ x ɐ k ɐ t a x o t
nakamulaga	n ɐ x ɐ m ʊ l ɐ ɰ a ʔ
nakawin	n ɐ x ɐ w ɪ n
nakpil	n ɐ k p ɪ l
nanlilimahid	n ɐ n l ɪ l ɪ m a h ɪ d
narvaez	n ɐ ɾ b ɐ ɛ s
natae	n a t ɐ ʔ ɛ
natae	n ɐ t ɐ ʔ ɛ
navoa	n ɐ b o ɐ
ngalan	ŋ a l ɐ n
ngimay	ŋ ɪ m a ɪ̯
nguso	ŋ ʊ s o ʔ
nguya	ŋ ʊ j ɐ ʔ
nicdao	n ɪ k d ɐ o
nietes	ɲ ɛ t ɛ s
niknik	n ɪ k n i k
nilabhan	n ɪ l ɐ b h a n
ninang	n ɪ n ɐ ŋ
niyo	ɲ o
nobela	n o b ɛ l ɐ
nobleza	n o b l ɛ s ɐ
nolasco	n o l ɐ s k o
noriega	n o ɾ j ɛ ɰ ɐ
notarte	n o t ɐ ɾ t ɛ
nuevo	n ʊ ɛ b o
obligacion	ʔ o b l ɪ ɰ ɐ ʃ o n
ocampo	ʔ o x ɐ m p o
olaguer	ʔ o l ɐ ɰ ɛ ɾ
olaivar	ʔ o l a ɪ̯ b ɐ ɾ
olalia	ʔ o l ɐ l ɪ ɐ
olayvar	ʔ o l a ɪ̯ b ɐ ɾ
oliva	ʔ o l ɪ b ɐ
olivares	ʔ o l ɪ b ɐ ɾ ɛ s
oliveros	ʔ o l ɪ b ɛ ɾ o s
ongkiko	ʔ o ŋ k ɪ x o
opeña	ʔ o p ɛ ɲ ɐ
opisyales	ʔ o p ɪ ʃ ɐ l ɛ s
opyum	ʔ o p j ʊ m
oracion	ʔ o ɾ ɐ ʃ o n
orendain	ʔ o ɾ ɛ n d a ɪ̯ n
oribello	ʔ o ɾ ɪ b ɛ l l o
pabor	p ɐ b o ɾ
paborito	p ɐ b o ɾ a b l ɛ
pacana	p ɐ x ɐ n ɐ
pacaña	p ɐ x ɐ ɲ ɐ
pader	p ɐ d ɛ ɾ
pagala	p ɐ ɰ a l ɐ ʔ
pagbasehan	p ɐ ɡ b ɐ s ɛ h ɐ n
pagbati	p ɐ ɡ b a t ɪ ʔ
pagbubuntis	p ɐ ɡ b ʊ b ʊ n t i s
pagcaliwagan	p ɐ ɡ k ɐ l ɪ w ɐ ɰ ɐ n
pagdilao	p ɐ ɡ d ɪ l a ʊ̯
paggiba	p ɐ ɡ ɡ ɪ b a ʔ
pagi	p a ɰ ɪ
pagitan	p ɐ ɰ i t ɐ n
pagkakataon	p ɐ ɡ k ɐ x ɐ t ɐ ʔ o n
pagmamadali	p ɐ ɡ m ɐ m ɐ d ɐ l i ʔ
pagnanakaw	p ɐ ɡ n ɐ n a x a ʊ̯
pagsamantalahan	p ɐ ɡ s ɐ m ɐ n t ɐ l ɐ h a n
pagsanjan	p ɐ ɡ s ɐ ŋ h a n
pagsuway	p ɐ ɡ s w a ɪ̯
pagtakhan	p ɐ ɡ t ɐ k h ɐ n
pagtripan	p ɐ ɡ t ɾ ɪ p a n
pagtutulungan	p ɐ ɡ t ʊ t ʊ l ʊ ŋ a n
paguia	p ɐ ɡ j ɐ
paguio	p ɐ ɡ j o
pahina	p a h ɪ n ɐ
pahintulot	p ɐ h ɪ n t ʊ l o t
pahiyain	p ɐ h ɪ ɐ ʔ i n
pajares	p ɐ d͡ʒ ɐ ɾ ɛ s
pakla	p ɐ k l a
pakulo	p ɐ x ʊ l o ʔ
palacol	p ɐ l ɐ x o l
palafox	p ɐ l ɐ p o k s
palahaw	p ɐ l a h a ʊ̯
palakol	p ɐ l ɐ x o l
palamuti	p ɐ l ɐ m ʊ t i ʔ
palaspas	p ɐ l ɐ s p a s
palayan	p ɐ l ɐ j a n
palayasin	p ɐ l ɐ j a s ɪ n
palima	p ɐ l ɪ m ɐ
palisoc	p ɐ l ɪ s o k
palit	p ɐ l i t
palitada	p ɐ l ɪ t ɐ d ɐ
palitadahan	p ɐ l ɪ t ɐ d ɐ h ɐ n
palitan	p ɐ l i t ɐ n
palitan	p ɐ l ɪ t a n
palomares	p ɐ l o m ɐ ɾ ɛ s
pamalo	p ɐ m ɐ l o ʔ
pamamanhikan	p ɐ m ɐ m ɐ ŋ h ɪ x ɐ n
pamamaril	p ɐ m ɐ m ɐ ɾ i l
pamaypay	p ɐ m a ɪ̯ p a ɪ̯
pamimilosopo	p ɐ m ɪ m ɪ l o s o p o
paminta	p ɐ m ɪ n t a
pamintuan	p ɐ m ɪ n t ʊ ɐ n
panalangin	p ɐ n ɐ l ɐ ŋ ɪ n
panalo	p ɐ n a l o
pananabotahe	p ɐ n ɐ n ɐ b o t ɐ h ɛ
pananagutan	p ɐ n ɐ n ɐ ɰ ʊ t ɐ n
pandemya	p ɐ n d ɛ m j ɐ
panelo	p ɐ n ɛ l o
pangalan	p ɐ ŋ a l ɐ n
panghimasukan	p ɐ ŋ h ɪ m ɐ s ʊ x ɐ n
pangngalan	p ɐ ŋ ŋ a l ɐ n
panibughuin	p ɐ n ɪ b ʊ ɡ h u ʔ ɪ n
paninigarilyo	p ɐ n ɪ n ɪ ɰ ɐ ɾ ɪ l j o
panlaqui	p ɐ n l ɐ x ɪ
pansamantala	p ɐ n s ɐ m ɐ n t ɐ l a
pantig	p ɐ n t ɪ ɡ
panukala	p ɐ n ʊ x ɐ l ɐ ʔ
paraan	p ɐ ɾ ɐ ʔ a n
parada	p ɐ ɾ a d ɐ
paragas	p ɐ ɾ ɐ ɰ ɐ s
parayno	p ɐ ɾ a ɪ̯ n o
pareño	p ɐ ɾ ɛ ɲ o
pari	p a ɾ ɪ ʔ
parilla	p ɐ ɾ ɪ l l ɐ
parreño	p ɐ ɾ ɛ ɲ o
parusa	p ɐ ɾ u s ɐ
pasaway	p ɐ s ɐ w a ɪ̯
pasiya	p ɐ ʃ a
pasko	p ɐ s k o
paskuwa	p ɐ s k ʊ ɐ
pasugalan	p a s ʊ ɰ a l ɐ n
pasukan	p ɐ s ʊ x a n
pasukan	p ɐ s ʊ x ɐ n
pasulo	p ɐ s ʊ l o
patahian	p ɐ t ɐ h i ʔ ɐ n
patiag	p ɐ t͡ʃ ɐ ɡ
patiño	p ɐ t ɪ ɲ o
patnubay	p ɐ t n ʊ b a ɪ̯
patron	p ɐ t ɾ o n
paupahan	p a ʊ̯ p ɐ h a n
paupahan	p a ʊ̯ p ɐ h ɐ n
pawis	p a w ɪ s
pawis	p ɐ w i s
payumo	p ɐ j ʊ m o
paz	p ɐ s
peke	p ɛ x ɛ ʔ
peklat	p ɛ k l ɐ t
pestisidyo	p ɛ s t ɪ s ɪ d͡ʒ o
peñaflor	p ɛ ɲ ɐ p l o ɾ
peñaflorida	p ɛ ɲ ɐ p l o ɾ ɪ d ɐ
peñaranda	p ɛ ɲ ɐ ɾ ɐ n d ɐ
piga	p ɪ ɰ a ʔ
pigain	p ɪ ɰ ɐ ʔ i n
pigsa	p ɪ ɡ s a
pigsa	p ɪ ɡ s a ʔ
pihikan	p ɪ h i x ɐ n
pilantik	p ɪ l ɐ n t i k
pilantropo	p ɪ l a n t ɾ o p o
pilapil	p ɪ l a p ɪ l
pilat	p i l ɐ t
pilipinas	p ɪ l ɪ p ɪ n ɐ s
pilosopiya	p ɪ l o s o p i ɐ
pilosopo	p ɪ l o s o p o
pilyo	p ɪ l j o
pinaghihinalaan	p ɪ n ɐ ɡ h ɪ h ɪ n ɐ l a ɐ n
pinagsamantalahan	p ɪ n ɐ ɡ s ɐ m ɐ n t ɐ l ɐ h a n
pindot	p ɪ n d o t
pinggan	p ɪ ŋ ɡ a n
pinlac	p ɪ n l ɐ k
pintakasi	p ɪ n t ɐ x a s ɪ
piraso	p ɪ ɾ a s o
pirmahan	p ɪ ɾ m ɐ h a n
piskal	p ɪ s k a l
piskalya	p ɪ s k ɐ l j a
pista	p ɪ s t a
piyo	p j o ʔ
pizarro	p ɪ s ɐ ɾ ɾ o
piñon	p ɪ ɲ o n
planas	p l ɐ n ɐ s
plastik	p l ɐ s t ɪ k
policarpio	p o l ɪ x ɐ ɾ p j o
polintan	p o l ɪ n t ɐ n
portuges	p o ɾ t ʊ ɰ ɛ s
posas	p o s ɐ s
post	p o ʊ s t
prado	p ɾ ɐ d o
praning	p ɾ ɐ n ɪ ŋ
prayoridad	p ɾ ɐ j o ɾ ɪ d ɐ d
proklamasyon	p ɾ o k l ɐ m ɐ ʃ o n
prudente	p ɾ ʊ d ɛ n t ɛ
pudpod	p ʊ d p o d
pugad	p u ɰ ɐ d
pugo	p ʊ ɰ o ʔ
pugot	p ʊ ɰ o t
pugutan	p ʊ ɰ ʊ t ɐ n
puhunan	p ʊ h ʊ n ɐ n
pukyutan	p ʊ k j ʊ t ɐ n
pulahan	p ʊ l ɐ h a n
pulgada	p ʊ l ɡ ɐ d ɐ
pulgas	p ʊ l ɡ a s
pulikat	p ʊ l i x ɐ t
pulmonya	p ʊ l m o ɲ a
pulo	p ʊ l o ʔ
pulot	p ʊ l o t
pulubi	p ʊ l ʊ b ɪ
pulutan	p ʊ l ʊ t ɐ n
pumula	p ʊ m ʊ l a
pumutok	p ʊ m ʊ t o k
pundido	p ʊ n d i d o
punongbayan	p ʊ n o ŋ b ɐ j ɐ n
punsalang	p ʊ n s ɐ l ɐ ŋ
puntahan	p ʊ n t ɐ h a n
puntirya	p ʊ n t ɪ ɾ j a
punzalan	p ʊ n s ɐ l ɐ n
puson	p ʊ s o n
pusta	p ʊ s t a
pustiso	p ʊ s t i s o
pusyaw	p ʊ ʃ a u
putakti	p ʊ t ɐ k t i
puyod	p ʊ j o d
quezon	k x ɛ s o n
quiambao	k j ɐ m b a ʊ̯
quimpo	k x ɪ m p o
quintos	k x ɪ n t o s
quirante	k x ɪ ɾ ɐ n t ɛ
quisumbing	k x ɪ s u m b ɪ ŋ
quitain	k x ɪ t a ɪ̯ n
quiñones	k x ɪ ɲ o n ɛ s
racelis	ɾ ɐ s ɛ l ɪ s
ragas	ɾ ɐ ɰ ɐ s
ragudo	ɾ ɐ ɰ ʊ d o
rali	ɾ a l ɪ
raliyista	ɾ ɐ l ɪ j i s t ɐ
rambol	ɾ ɐ m b o l
rambulan	ɾ ɐ m b ʊ l ɐ n
rantso	ɾ ɐ n t͡ʃ o
rason	ɾ ɐ s o n
rayos	ɾ ɐ j o s
razon	ɾ ɐ s o n
reaño	ɾ ɛ ɐ ɲ o
regala	ɾ ɛ ɰ ɐ l ɐ
regidor	ɾ ɛ h ɪ d o ɾ
rehas	ɾ ɛ h ɐ s
rekisito	ɾ ɛ x ɪ s ɪ t o
rekisitos	ɾ ɛ x ɪ s ɪ t o s
remigio	ɾ ɛ m ɪ h j o
remulla	ɾ ɛ m ʊ l l ɐ
reodica	ɾ ɛ o d ɪ x ɐ
resistensya	ɾ ɛ s ɪ s t ɛ n ʃ ɐ
resurreccion	ɾ ɛ s ʊ ɾ ɛ k ʃ o n
ricafort	ɾ ɪ x ɐ p o ɾ t
ricarte	ɾ ɪ x ɐ ɾ t ɛ
riles	ɾ ɪ l ɛ s
rivero	ɾ ɪ b ɛ ɾ o
riñon	ɾ ɪ ɲ o n
rombaoa	ɾ u m b ɐ w ɐ
romualdez	ɾ o m w ɐ l d ɛ s
romualdo	ɾ o m w ɐ l d o
roxas	ɾ o d͡ʒ ɐ s
rulloda	ɾ ʊ l l o d ɐ
rumupok	ɾ ʊ m ʊ p o k
sabana	s ɐ b ɐ n ɐ
sabangan	s ɐ b ɐ ŋ ɐ n
sabon	s ɐ b o n
saboy	s a b o ɪ̯
sabunin	s ɐ b ʊ n i n
sabunot	s ɐ b u n o t
sabunutan	s ɐ b ʊ n ʊ t ɐ n
sacdalan	s ɐ k d ɐ l ɐ n
sadya	s ɐ d͡ʒ a ʔ
sagimuymoy	s a ɰ i m u j m o j
saguinsin	s ɐ ɰ ɪ n s ɪ n
sagun	s ɐ ɰ ʊ n
saha	s ɐ h ɐ ʔ
sahagun	s ɐ h ɐ ɰ ʊ n
sahog	s ɐ h o ɡ
sais	s ɐ ʔ i s
sakal	s ɐ x a l
sakit	s ɐ x i t
sakitin	s ɐ x ɪ t ɪ n
saksi	s ɐ k s i
saksihan	s ɐ k s ɪ h a n
sakuna	s ɐ x ʊ n a
sala	s a l ɐ
salagubang	s ɐ l ɐ ɰ ʊ b ɐ ŋ
salarin	s ɐ l ɐ ɾ i n
salaula	s ɐ l ɐ ʔ ʊ l ɐ ʔ
salawal	s ɐ l ɐ w a l
saldaña	s ɐ l d ɐ ɲ ɐ
sales	s ɐ l ɛ s
salitre	s ɐ l i t ɾ ɛ
salonga	s ɐ l o ŋ ɡ ɐ
salud	s ɐ l ʊ d
salumbides	s ɐ l u m b ɪ d ɛ s
salvacion	s ɐ l b ɐ s ɪ o n
salvatierra	s ɐ l b ɐ t ɪ ɛ ɾ ɾ ɐ
samaniego	s ɐ m ɐ ɲ ɛ ɰ o
samantala	s ɐ m ɐ n t a l ɐ ʔ
samid	s ɐ m i d
samonte	s ɐ m o n t ɛ
sampaloc	s ɐ m p ɐ l o k
sampalok	s ɐ m p a l o k
sangalang	s ɐ ŋ ɡ ɐ l ɐ ŋ
sangco	s ɐ ŋ k o
sanggol	s ɐ ŋ ɡ o l
sangkot	s ɐ ŋ k o t
sapa	s ɐ p ɐ ʔ
sapak	s a p ɐ k
sapak	s ɐ p a k
sapok	s ɐ p o k
sapot	s ɐ p o t
saquing	s ɐ x ɪ ŋ
sawa	s a w ɐ ʔ
sawa	s ɐ w a
sawa	s ɐ w a ʔ
saway	s ɐ w a ɪ̯
sawayin	s ɐ w ɐ j i n
sayson	s a ɪ̯ s o n
segismundo	s ɛ ɰ ɪ s m ʊ n d o
segui	s ɛ ɰ ɪ
semantika	s ɛ m a n t ɪ x ɐ
semaña	s ɛ m ɐ ɲ ɐ
sentenaryo	s ɛ n t ɛ n ɐ ɾ j o
sentensiya	s ɛ n t ɛ n ʃ ɐ
sentensiyahan	s ɛ n t ɛ n ʃ ɐ h a n
sentido	s ɛ n t ɪ d o
seremonya	s ɛ ɾ ɛ m o ɲ ɐ
serna	s ɛ ɾ n ɐ
shabu	ʃ ɐ b u
siason	ʃ ɐ s o n
sibayan	s ɪ b ɐ j ɐ n
sibug	s ɪ b ʊ ɡ
sibuyas	s ɪ b ʊ j ɐ s
siga	s i ɰ ɐ ʔ
siga	s ɪ ɰ a ʔ
sigarilyas	s ɪ ɰ ɐ ɾ ɪ l j ɐ s
sige	s ɪ ɰ ɛ
siguraduhin	s ɪ ɰ ʊ ɾ ɐ d ʊ h ɪ n
siko	s i x o
silayan	s ɪ l ɐ j ɐ n
silindro	s ɪ l ɪ n d ɾ o
simbulan	s ɪ m b ʊ l ɐ n
sinapupunan	s ɪ n ɐ p ʊ p ʊ n ɐ n
sinat	s i n ɐ t
sinauna	s ɪ n a ʊ̯ n ɐ
sinco	s ɪ ŋ k o
singil	s ɪ ŋ i l
sioson	ʃ o s o n
siping	s i p ɪ ŋ
sipon	s ɪ p o n
sipon	s ɪ p ʔ o n
sipsip	s ɪ p s ɪ p
sira	s i ɾ ɐ ʔ
sira	s ɪ ɾ a ʔ
sirain	s ɪ ɾ a ʔ ɪ n
sisi	s i s ɪ
sisid	s i s ɪ d
sisihan	s ɪ s ɪ h a n
sitwasyon	s ɪ t w ɐ ʃ o n
siya	ʃ a
sobrepeña	s o b ɾ ɛ p ɛ ɲ ɐ
soledad	s o l ɛ d ɐ d
solis	s o l ɪ s
sosa	s o s ɐ
suazo	s w ɐ s o
sucgang	s ʊ k ɡ ɐ ŋ
sugal	s ʊ ɰ a l
suico	s ʊ ɪ x o
suka	s u x ɐ
suka	s u x ɐ ʔ
sukal	s u x ɐ l
sulsol	s ʊ l s o l
sumadsad	s ʊ m ɐ d s ɐ d
sumemplang	s ʊ m ɛ m p l ɐ ŋ
suntok	s ʊ n t o k
suntukan	s ʊ n t ʊ x ɐ n
suntukin	s ʊ n t ʊ x i n
supling	s ʊ p l i ŋ
surot	s ʊ ɾ o t
sustento	s ʊ s t ɛ n t o
taduran	t ɐ d ʊ ɾ ɐ n
tagapagmana	t ɐ ɰ ɐ p ɐ ɡ m ɐ n ɐ
tagas	t ɐ ɰ ɐ s
tagiktik	t ɐ ɰ ɪ k t i k
tagtuyot	t ɐ ɡ t ʊ j o t
taguba	t ɐ ɰ ʊ b ɐ
tagubilin	t ɐ ɰ ʊ b ɪ l ɪ n
taguinod	t ɐ ɰ ɪ n o d
tagupa	t ɐ ɰ ʊ p ɐ
takahashi	t ɐ x ɐ h ɐ ʃ ɪ
talag	t ɐ l ɐ ɡ
talampas	t ɐ l ɐ m p ɐ s
talavera	t ɐ l ɐ b ɛ ɾ ɐ
talento	t ɐ l ɛ n t o
talo	t ɐ l o
talong	t ɐ l o ŋ
talukbong	t ɐ l ʊ k b o ŋ
talunan	t ɐ l ʊ n a n
tamban	t ɐ m b a n
tamis	t ɐ m i s
tampal	t ɐ m p a l
tanauan	t ɐ n ɐ w ɐ n
tanauan	t ɐ n ʔ ɐ w ɐ n
tancinco	t ɐ n s ɪ ŋ k o
tangco	t ɐ ŋ k o
tanghalian	t ɐ ŋ h ɐ l ɪ ʔ ɐ n
tanikala	t ɐ n ɪ x ɐ l a ʔ
tanso	t ɐ n s o ʔ
tantiya	t ɐ n t͡ʃ ɐ
taon	t ɐ ʔ o n
tapales	t ɐ p ɐ l ɛ s
tapilok	t ɐ p ɪ l o k
tarik	t ɐ ɾ i k
taruc	t ɐ ɾ ʊ k
tasa	t ɐ s a
tatlonghari	t ɐ t l o ŋ h ɐ ɾ ɪ
tato	t ɐ t o ʔ
tañada	t ɐ ɲ ɐ d ɐ
tenyente	t ɛ ɲ ɛ n t ɛ
teoriya	t ɛ o ɾ i ɐ
teritoryo	t ɛ ɾ ɪ t o ɾ j o
tiamson	t͡ʃ ɐ m s o n
tiangco	t͡ʃ ɐ ŋ k o
tibay	t i b a ɪ̯
tiburcio	t ɪ b ʊ ɾ ʃ o
ticzon	t ɪ k s o n
tigang	t i ɰ ɐ ŋ
tigang	t ɪ ɰ a ŋ
tigas	t ɪ ɰ a s
tiis	t ɪ ʔ i s
tikbalang	t ɪ k b a l ɐ ŋ
tiklop	t ɪ k l o p
tiktik	t ɪ k t i k
timbang	t ɪ m b a ŋ
tindero	t ɪ n d ɛ ɾ o
tindig	t ɪ n d i ɡ
tinga	t ɪ ŋ a
tingala	t ɪ ŋ ɐ l a ʔ
tingalaan	t ɪ ŋ ɐ l ɐ a n
tingin	t ɪ ŋ i n
tinidor	t ɪ n ɪ d o ɾ
tinik	t ɪ n i k
tinta	t ɪ n t a
tio	t͡ʃ o
tiongco	t ɪ o ŋ k o
tiozon	t͡ʃ o s o n
tipaklong	t ɪ p a k l o ŋ
tira	t i ɾ ɐ
tira	t ɪ ɾ a
tiraniya	t ɪ ɾ ɐ n i ɐ
tirik	t i ɾ ɪ k
tirik	t ɪ ɾ i k
tiris	t ɪ ɾ i s
tirona	t ɪ ɾ o n ɐ
tiwali	t ɪ w ɐ l i ʔ
tiya	t ɪ ɐ
tiyaga	t ɪ ɐ ɰ a ʔ
tiyahin	t͡ʃ ɐ h ɪ n
tiyan	t͡ʃ a n
tiyanak	t͡ʃ a n ɐ k
tiyangge	t͡ʃ a ŋ ɡ ɛ ʔ
tiyo	t ɪ o
tiyuhin	t͡ʃ ʊ h ɪ n
tonelada	t o n ɛ l ɐ d ɐ
topacio	t o p ɐ ʃ o
torrecampo	t o ɾ ɾ ɛ x ɐ m p o
totanes	t o t ɐ n ɛ s
trangkaso	t ɾ ɐ ŋ k a s o
trapik	t ɾ a p ɪ k
traqueña	t ɾ ɐ x ɛ ɲ ɐ
tratado	t ɾ ɐ t a d o
traydor	t ɾ a ɪ̯ d o ɾ
tren	t r ɛ n
tren	t ɾ ɛ n
tria	t ɾ ɪ ɐ
trillanes	t ɾ ɪ l l ɐ n ɛ s
trip	t ɾ ɪ p
tsikinini	t͡ʃ ɪ x ɪ n i n ɪ ʔ
tsikot	t͡ʃ ɪ x o t
tuason	t w ɐ s o n
tuba	t ʊ b a
tubero	t ʊ b ɛ ɾ o
tubo	t ʊ b o
tubuhan	t ʊ b ʊ h a n
tugade	t ʊ ɰ ɐ d ɛ
tugtog	t ʊ ɡ t o ɡ
tukod	t u x o d
tukso	t ʊ k s o
tulad	t u l ɐ d
tulak	t u l ɐ k
tulay	t ʊ l a ɪ̯
tulingan	t ʊ l ɪ ŋ ɐ n
tullao	t ʊ l j a ʊ̯
tuloy	t ʊ l o ɪ̯
tumacder	t ʊ m ɐ k d ɛ ɾ
tumae	t ʊ m ɐ ʔ ɛ
tumbaga	t u m b ɐ ɰ ɐ
tumbalik	t u m b ɐ l ɪ k
tumingala	t ʊ m ɪ ŋ ɐ l a ʔ
tumira	t ʊ m ɪ ɾ a
tumira	t ʊ m ɪ ɾ ɐ
tumukso	t ʊ m ʊ k s o
tunay	t u n a ɪ̯
tungaw	t ʊ ŋ a ʊ̯
tungkab	t ʊ ŋ k a b
tungkod	t ʊ ŋ k o d
tungkol	t ʊ ŋ k o l
tungkos	t ʊ ŋ k o s
tunton	t ʊ n t o n
tupad	t ʊ p a d
tupi	t ʊ p i ʔ
turnilyo	t ʊ ɾ n i l j o
turok	t ʊ ɾ o k
tutol	t ʊ t o l
tuwa	t w a ʔ
tuwad	t u ɐ d
tuwad	t w a d
tuwalya	t w ɐ l j ɐ
tuwang	t w a ŋ
ubas	ʔ ʊ b ɐ s
ubasan	ʔ ʊ b ɐ s a n
udyukan	ʔ ʊ d͡ʒ ʊ x a n
ugat	ʔ ʊ ɰ a t
ulep	ʔ ʊ l ɛ p
ulila	ʔ ʊ l i l ɐ
uling	ʔ u l ɪ ŋ
umasinta	ʔ ʊ m ɐ s ɪ n t a
umawat	ʔ ʊ m a w ɐ t
umpisa	ʔ u m p ɪ s a
umutot	ʔ ʊ m ʊ t o t
