'kay	ʔ kʰ e ɪ̯
toronto	tʰ ə ɹ ɒ ɾ̃ ə
tortilla	t ɔ ɹ tʰ i j ə
total	tʰ o ʊ̯ ɾ ɫ
total	tʰ ɔ ɾ ɫ
towards	tʰ w̥ ɔ ɹ̠ d̠ z
towards	tʰ ə̥ w ɔ ɹ̠ d̠ z
town	tʰ a ʊ̯ n
toyota	t a ɪ̯ o ʊ̯ ɾ ə
toyota	t ɔ ɪ̯ o ʊ̯ ɾ ə
trace	t ʃ ɹ e ɪ s
tracer	t ʃ ɹ e ɪ s ɚ
traditionally	t ɹ ə d ɪ ʃ n̩ l i
traditionally	t ɹ ɪ d ɪ ʃ n̩ l i
train	t ɹ e ɪ n
train	t̠ ɹ̠ ̝ʷ e ɪ n
trainee	t ʃ ɹ e ɪ n i
trainees	t ʃ ɹ e ɪ n i z
traitor	tʰ ɹ e ɪ ɾ ɚ
transcaucasia	t ɹ æ n s k ɔː k e ɪ z j ə
transcaucasia	t ɹ æ n s k ɔː k e ɪ ʒ ə
translator	tʰ ɹ æ n z l e ɪ tʰ ɚ
translator	tʰ ɹ æ n z l e ɪ ɾ ɚ
trap	t ɹ̥ æ p
trap	t ʃ ɹ̥ æ p
trap	t̠ ɹ̝̊ ä p
tree	t̠ ɹ̠̊ ˔ʷ i
trick	t̠ʰ ɹ̠̊ ɪ k
trig	t̠ʰ ɹ̠̊ ɪ ɡ
trill	t̠ʰ ɹ̠̊ ɪ l
trim	t̠ʰ ɹ̠̊ ɪ m
trip	t̠ʰ ɹ̠̊ ɪ p
true	t͡ʃ ɹ ü
trunk	t ɹ ʌ ŋ k
trunk	t͡ʃ ɹ ʌ ŋ k
trust	t ɹ ɐ s t
trust	t ɹ ʌ s t
try	tʰ ɹ a ɪ
try	t̠ ɹ̠̊ ˔ʷ a ɪ
tsk	ǀ
tucker	tʰ ʌ k ɚ
turkish	t ɐ ˞ k ɪ ʃ
turkish	t ɚ k ɪ ʃ
turmeric	tʰ u m ɚ ɪ k
turmeric	tʰ ɝ m ɚ ɪ k
turning	t ɜː n ɪ ŋ
turning	t ɝ n ɪ ŋ
turtle	tʰ ɝ ɾ ɫ̩
tut	ǀ
twain	tʰ w̥ e ɪ n
twat	tʰ w̥ ɑ t
twelfth	tʰ w̥ ɛ l f θ
twelfth	tʰ w̥ ɛ lʷ f
twelfth	tʰ w̥ ɛ l̪ θ
twelve	t w̥ ɛ ɫ v
twenny	t w ɛ n i
twenny	t w ɛ ɾ̃ i
twenny	t w ʌ n i
twenny	t w ʌ ɾ̃ i
twentieth	t w̥ ɛ ɾ̃ i ə θ
twenty	t w̥ ɛ ɾ̃ i
twerk	t w̥ ɝ k
twice	t w̥ a ɪ s
twig	tʰ w̥ ɪ ɡ
twin	t w̥ ɪ n
twink	tʰ w̥ ɪ ŋ k
twist	t w̥ ɪ s t
twit	tʰ w̥ ɪ t
twitch	tʰ w̥ ɪ t͡ʃ
twitter	tʰ w ɪ ɾ ɚ
two	tʰ u̟
twos	tʰ u̟ z
ugh	ɯ x
ugh	ɯ χ
ugh	ʊ
ugh	ʊ k
ugh	ʊ x
ugh	ʊ χ
ugh	ʌ k
ugh	ʌ x
ugh	ʌ ɡ
ugh	ʌ χ
ugh	ʌ᷈
ukraine	j u k ɹ e ɪ̯ n
ukraine	j u̟ k ɹ e ɪ̯ n
unacceptable	ɐ n æ k s ɛ p tʰ ə b ɫ̩
unacceptable	ɐ n ɪ̞ k s ɛ p tʰ ə b ɫ̩
uncle	ʌ ŋ k ə ɫ
uncle	ʌ ŋ k ɫ̩
under	ʌ n ɾ ɚ
under	ʌ ɾ̃ ɚ
understand	ʌ ɾ̃ ɚ s t e ə̯ n d
understand	ʌ ɾ̃ ɚ s t æ n d
undivided	ʌ ɾ̃ ɪ̈ v a ɪ̯ ɾ ɪ̈ d
unfetter	ʌ n f ɛ ɾ ɚ
unilateral	j ʉː n ə ɫ æ ɾ ɚ ɻ ɫ̩
unilateral	j ʉː n ɪ l æ t ə ɹ ɫ̩
unilateral	j ʉː n ɪ l æ t͡ʃ ɹ ɫ̩
unisex	j uː n ɪ s ɛ k s
unite	j u̟ n a ɪ̯ ʔ
unite	j u̟ n a ɪ̯ ʔ t̚
unite	j ə n a ɪ̯ ʔ
unite	j ə n a ɪ̯ ʔ t̚
unite	j ʊ n a ɪ̯ ʔ
unite	j ʊ n a ɪ̯ ʔ t̚
united	j u n a ɪ̯ ɾ ɪ̈ d
united	j u̟ n a ɪ̯ ɾ ɪ̈ d
united	j ə n a ɪ̯ ɾ ɪ̈ d
united	j ʊ n a ɪ̯ ɾ ɪ̈ d
unnerstand	ɜ ɽ̃ ɻ s t æ n d̚
untac	j u ɛ n t ɪ ɛ j s iː
untaet	j u ɛ n t i ɛ j ɪ t iː
unutterable	ʌ n ʌ ɾ ɚ ɪ̈ b l̩
up	ʌ p̚
upmost	ʌ ʔ m o ʊ s t
usher	ʌ ʃ ɚ
utter	ʌ ɾ ɚ
vajazzle	v ə d ʒ æ z l̩
vale	v e ɪ ɫ
vendetta	v ə n d ɛ ɾ ə
vendetta	v ɛ n d ɛ ɾ ə
veneer	v ɨ n i ə̆ ɹ
venus	v i n ɪ̈ s
verbal	v ɜ ˞ b ɫ̩
vermont	v ɚ m ɑ n ʔ t̚
vermont	v ɚ m ɑ̃ ʔ
veteran	v ɛ t̬ ə ɹ ə n
veteran	v ɛ ɾ ə ɹ ə n
veto	v iː tʰ o ʊ
veto	v iː ɾ o ʊ
vibrator	v a ɪ̯ b ɹ e ɪ̯ ɾ ɚ
vicissitude	v a ɪ s ɪ s ɨ t j uː d
vicissitude	v ɨ s ɪ s ɨ t j uː d
vicissity	v a ɪ s ɪ s ɨ t i
vicissity	v ɪ s ɪ s ɨ t i
violin	v a ɪ̯ ɪ̈ l ɪ n
virtually	v ɝ t͡ʃ u ə ɫ i
vitamin	v ʌ ɪ ɾ ə m ɪ n
vlach	v l æ k
vlach	v l ɑː k
vocab	v o ʊ k æ b
vocab	v ə ʉ k æ b
vocab	v ə ʊ k æ b
volatile	v ɑ l ə ɾ ɫ̩
waddle	w ɑ ɾ ɫ̩
wail	w e ɪ ɫ
waistband	w e ɪ s t b æ n d
wait	w e ɪ̯ ʔ t
waiting	w e ɪ̯ ɾ ɪ ŋ
wale	w e ɪ ɫ
wales	w e ɪ ɫ z
wanted	w ɑ n tʰ ɪ d
wasn't	w ʌ d n̩ t
wasn't	w ʌ z n̩ t
water	w ɑ ɾ ɚ
water	w ɔ ɾ ɚ
wattle	w ɑ ɾ l̩
wealth	w ɛ l̪ θ
wean	w eː n
wear	w ɛ ɚ
wear	w ɛ ɹ
weeaboos	w iː a b yː z
weel	w iː l
welp	w ɛ l p̚
went	w ɛ n ʔ t̚
westside	w ɛ s s a ɪ d
westside	w ɛ s t s a ɪ d
wetting	w ɛ ɾ ɪ ŋ
what	w ʌ ɾ
what	w ʌˀ
what're	w ʌ ɾ ɚ
whet	w ɛ ʔ t̚
whet	ʍ ɛ ʔ t̚
whetter	w ɛ ɾ ɚ
whetter	ʍ ɛ ɾ ɚ
whew	ɸ ĭ̥ ŭ̥
whew	ʍ ĭ̥ ŭ̥
who're	h uː ɹ
who're	h ʊ ɚ
whole	h o ʊ ɫ
wholemeal	h ɔ ʊ ɫ m i ə ɫ
wholly	h o ʊ l i
wholly	h o ʊ̯ ɫ l i
whuddup	w ʌ ɾ ʌ p
width	w ɪ d̪ θ
wilde	w a ɪ ə̯ ɫ d
will	w ɪ ɫ
window	w ɪ ɾ̃ o ʊ
winter	w ɪ n tʰ ɚ
winter	w ɪ ɾ̃ ɚ
winters	w ɪ ɾ̃ ɚ z
wintertide	w ɪ ɾ̃ ɚ t a ɪ d
wintry	w ɪ ɾ̃ ə ɹ i
wisconsin	w ə s k ɑ n s n̩
wisconsin	w ə s kʰ ɑ n s n̩
witty	w ɪ ɾ i
wolf	w ɫ̩ f
wolf	w ʊ̠ ɫ f
wool	w ɫ̩
wool	w ʊ̠ ɫ
work	w ɝ k
wouldn't	w ʊ dⁿ n̩ t
wouldn't	w ʊ n ʔ
wouldn't	w ʊ ɾ ə n t
wrake	ɹ e ɪ̯ kʰ
wristlet	ɹ ɪ s l ɨ ʔ̚
writer	ɹ̠ ă ɪ ɾ ɚ
written	ɹ ɪ ɾ ɪ n
written	ɹ ɪ ʔ t̚ n̩
written	ɹ ɪ ʔ ɪ n
wuddup	w ʌ ɾ ʌ p
xxx	ʔ ɛ k s ʔ ɛ k s ʔ ɛ k s
y'all's	j ɔ l z
yatt	j a t
yatt	j æ t
yech	j ɛ x
yech	j ɛ χ
yep	j ɛ p̚
yeppity	j ɛ p ɨ ɾ i
yeti	j ɛ ɾ i
yive	j ɪ v
yolngu	j oː l ŋ ʊ
yum	j ʌ m
yuppity	j ʌ p ɨ ɾ i
zarina	z ʌ ɹʲ i n ə
zemfira	z ɛ ɱ f i ɹ ə
zemfira	z ɪ ɱ f i ɹ ə
ziti	z i ɾ i
zooplasty	z o ʊ ə p l æ s t i
zun	z ʌ n
übermensch	ʔ yː b ɐ m ɛ n ʃ
