'tain	t ɛ̃
paratuberculeuse	p a ʁ a t y b ɛ ʁ k y l ø z
paravent	p a ʁ a v ɑ̃
parazoise	p a ʁ a z w a z
paraît	p a ʁ ɛ
paraître	p a ʁ ɛ t ʁ
parbleu	p a ʁ b l ø
parc	p a ʁ k
parce	p a ʁ s
parcelle	p a ʁ s ɛ l
parcelliser	p a ʁ s ɛ l i z e
parceque	p a ʁ s k ə
parchemin	p a ʁ ʃ ə m ɛ̃
parcimonie	p a ʁ s i m ɔ n i
parcouraient	p a ʁ k u ʁ ɛ
parcourais	p a ʁ k u ʁ ɛ
parcourait	p a ʁ k u ʁ ɛ
parcourant	p a ʁ k u ʁ ɑ̃
parcoure	p a ʁ k u ʁ
parcourent	p a ʁ k u ʁ
parcoures	p a ʁ k u ʁ
parcourez	p a ʁ k u ʁ e
parcouriez	p a ʁ k u ʁ j e
parcourions	p a ʁ k u ʁ j ɔ̃
parcourir	p a ʁ k u ʁ i ʁ
parcourons	p a ʁ k u ʁ ɔ̃
parcourra	p a ʁ k u ʁ ʁ a
parcourrai	p a ʁ k u ʁ ʁ e
parcourraient	p a ʁ k u ʁ ʁ ɛ
parcourrais	p a ʁ k u ʁ ʁ ɛ
parcourrait	p a ʁ k u ʁ ʁ ɛ
parcourras	p a ʁ k u ʁ ʁ ɑ
parcourrez	p a ʁ k u ʁ ʁ e
parcourriez	p a ʁ k u ʁ ʁ j e
parcourrions	p a ʁ k u ʁ ʁ j ɔ̃
parcourrons	p a ʁ k u ʁ ʁ ɔ̃
parcourront	p a ʁ k u ʁ ʁ ɔ̃
parcours	p a ʁ k u ʁ
parcourt	p a ʁ k u ʁ
parcouru	p a ʁ k u ʁ y
parcoururent	p a ʁ k u ʁ y ʁ
parcourus	p a ʁ k u ʁ y
parcourusse	p a ʁ k u ʁ y s
parcourussent	p a ʁ k u ʁ y s
parcourusses	p a ʁ k u ʁ y s
parcourussiez	p a ʁ k u ʁ y s j e
parcourussions	p a ʁ k u ʁ y s j ɔ̃
parcourut	p a ʁ k u ʁ y
parcourûmes	p a ʁ k u ʁ y m
parcourût	p a ʁ k u ʁ y
parcourûtes	p a ʁ k u ʁ y t
pardelle	p a ʁ d ɛ l
pardessus	p a ʁ d ə s y
pardi	p a ʁ d i
pardon	p a ʁ d ɔ̃
pardonnable	p a ʁ d ɔ n a b l
pardonnables	p a ʁ d ɔ n a b l
pardonner	p a ʁ d ɔ n e
pare	p a ʁ
pareil	p a ʁ ɛ j
pareillement	p a ʁ ɛ j m ɑ̃
parement	p a ʁ m ɑ̃
parenchymateuse	p a ʁ ɑ̃ ʃ i m a t ø z
parent	p a ʁ
parent	p a ʁ ɑ̃
parental	p a ʁ ɑ̃ t a l
parenthèse	p a ʁ ɑ̃ t ɛ z
parents	p a ʁ ɑ̃
parentèle	p a ʁ ɑ̃ t ɛ l
parenté	p a ʁ ɑ̃ t e
parentéral	p a ʁ ɑ̃ t e ʁ a l
parentérale	p a ʁ ɑ̃ t e ʁ a l
parentérales	p a ʁ ɑ̃ t e ʁ a l
parentéraux	p a ʁ ɑ̃ t e ʁ o
parer	p a ʁ e
pares	p a ʁ
paresse	p a ʁ ɛ s
paresseuse	p a ʁ ɛ s ø z
paresseux	p a ʁ ɛ s ø
parfaire	p a ʁ f ɛ ʁ
parfait	p a ʁ f ɛ
parfaitement	p a ʁ f ɛ t m ɑ̃
parfois	p a ʁ f w a
parfum	p a ʁ f œ̃
parfum	p a ʁ f ɛ̃
parfumer	p a ʁ f y m e
parfumerie	p a ʁ f y m ʁ i
parfumeur	p a ʁ f y m œ ʁ
parhélie	p a ʁ e l i
pari	p a ʁ i
parier	p a ʁ j e
parigot	p a ʁ i ɡ o
parigote	p a ʁ i ɡ ɔ t
paris	p a ʁ i
parisien	p a ʁ i z j ɛ̃
parisienne	p a ʁ i z j ɛ n
parité	p a ʁ i t e
pariétal	p a ʁ j e t a l
pariétales	p a ʁ j e t a l
pariétaux	p a ʁ j e t o
parjure	p a ʁ ʒ y ʁ
parjurer	p a ʁ ʒ y ʁ e
parker	p a ʁ k e
parking	p a ʁ k i ŋ
parkinsonienne	p a ʁ k ɛ̃ s ɔ n j ɛ n
parkour	p a ʁ k u ʁ
parla	p a ʁ l a
parlabilité	p a ʁ l a b i l i t e
parlable	p a ʁ l a b l
parlables	p a ʁ l a b l
parlai	p a ʁ l e
parlaient	p a ʁ l ɛ
parlait	p a ʁ l ɛ
parlas	p a ʁ l ɑ
parlasse	p a ʁ l a s
parlassent	p a ʁ l a s
parlasses	p a ʁ l a s
parle	p a ʁ l
parlement	p a ʁ l ə m ɑ̃
parlementaire	p a ʁ l ə m ɑ̃ t ɛ ʁ
parlementairement	p a ʁ l ə m ɑ̃ t ɛ ʁ m ɑ̃
parlementer	p a ʁ l ə m ɑ̃ t e
parlent	p a ʁ l
parler	p a ʁ l e
parlera	p a ʁ l ə ʁ a
parlerai	p a ʁ l ə ʁ e
parleraient	p a ʁ l ə ʁ ɛ
parlerais	p a ʁ l ə ʁ ɛ
parlerait	p a ʁ l ə ʁ ɛ
parleras	p a ʁ l ə ʁ ɑ
parlerez	p a ʁ l ə ʁ e
parleriez	p a ʁ l ə ʁ j e
parlerions	p a ʁ l ə ʁ j ɔ̃
parlerons	p a ʁ l ə ʁ ɔ̃
parleront	p a ʁ l ə ʁ ɔ̃
parles	p a ʁ l
parlez	p a ʁ l e
parliez	p a ʁ l j e
parlions	p a ʁ l j ɔ̃
parlons	p a ʁ l ɔ̃
parlâmes	p a ʁ l ɑ m
parlât	p a ʁ l ɑ
parlèrent	p a ʁ l ɛ ʁ
parlé	p a ʁ l e
parlée	p a ʁ l e
parlées	p a ʁ l e
parlés	p a ʁ l e
parme	p a ʁ m
parmesan	p a ʁ m ə z ɑ̃
parmi	p a ʁ m i
parménide	p a ʁ m e n i d
parnuire	p a ʁ n ɥ i ʁ
paro	p a ʁ o
paroi	p a ʁ w a
paroi	p a ʁ w ɑ
paroisse	p a ʁ w a s
paroissial	p a ʁ w a s j a l
paroissiale	p a ʁ w a s j a l
paroissiales	p a ʁ w a s j a l
paroissiaux	p a ʁ w a s j o
paroissien	p a ʁ w a s j ɛ̃
parole	p a ʁ ɔ l
paroli	p a ʁ ɔ l i
paronyme	p a ʁ ɔ n i m
parotide	p a ʁ ɔ t i d
parotidienne	p a ʁ ɔ t i d j ɛ n
paroxysme	p a ʁ ɔ k s i s m
parpaing	p a ʁ p ɛ̃
parquer	p a ʁ k e
parquet	p a ʁ k ɛ
parqueter	p a ʁ k ə t e
parrain	p a ʁ ɛ̃
parrainage	p a ʁ ɛ n a ʒ
pars	p a ʁ
parsemer	p a ʁ s ə m e
part	p a ʁ
partager	p a ʁ t a ʒ e
partageur	p a ʁ t a ʒ œ ʁ
partagé	p a ʁ t a ʒ e
partais	p a ʁ t ɛ
partant	p a ʁ t ɑ̃
partante	p a ʁ t ɑ̃ t
partantes	p a ʁ t ɑ̃ t
partants	p a ʁ t ɑ̃
parte	p a ʁ t
partenaire	p a ʁ t ə n ɛ ʁ
partenariale	p a ʁ t ə n a ʁ j a l
parterre	p a ʁ t ɛ ʁ
partes	p a ʁ t
parti	p a ʁ t i
partible	p a ʁ t i b l
participante	p a ʁ t i s i p ɑ̃ t
participantes	p a ʁ t i s i p ɑ̃ t
participation	p a ʁ t i s i p a s j ɔ̃
participative	p a ʁ t i s i p a t i v
participativement	p a ʁ t i s i p a t i v m ɑ̃
participe	p a ʁ t i s i p
participer	p a ʁ t i s i p e
participiale	p a ʁ t i s i p j a l
participialement	p a ʁ t i s i p j a l m ɑ̃
particule	p a ʁ t i k y l
particulier	p a ʁ t i k y l j e
particulièrement	p a ʁ t i k y l j ɛ ʁ m ɑ̃
partie	p a ʁ t i
partiel	p a ʁ s j ɛ l
parties	p a ʁ t i
partir	p a ʁ t i ʁ
partira	p a ʁ t i ʁ a
partiras	p a ʁ t i ʁ ɑ
partis	p a ʁ t i
partisan	p a ʁ t i z ɑ̃
partisane	p a ʁ t i z a n
partisse	p a ʁ t i s
partisses	p a ʁ t i s
partitif	p a ʁ t i t i f
partition	p a ʁ t i s j ɔ̃
partitionniste	p a ʁ t i s j ɔ n i s t
partoche	p a ʁ t ɔ ʃ
partouse	p a ʁ t u z
partout	p a ʁ t u
party	p a ʁ t i
paru	p a ʁ y
paruline	p a ʁ y l i n
parure	p a ʁ y ʁ
parvenir	p a ʁ v ə n i ʁ
parvenu	p a ʁ v ə n y
parvis	p a ʁ v i
parâtre	p a ʁ ɑ t ʁ
paré	p a ʁ e
paréidolienne	p a ʁ e i d ɔ l j ɛ n
parélie	p a ʁ e l i
parénèse	p a ʁ e n ɛ z
parénétique	p a ʁ e n e t i k
parésie	p a ʁ e z i
pas	p a
pas	p ɑ
pascal	p a s k a l
pascale	p a s k a l
pascalienne	p a s k a l j ɛ n
pascaline	p a s k a l i n
pasquier	p a s k j e
passable	p ɑ s a b l
passablement	p ɑ s a b l ə m ɑ̃
passacaille	p a s a k a j
passage	p a s a ʒ
passage	p ɑ s a ʒ
passager	p a s a ʒ e
passager	p ɑ s a ʒ e
passages	p a s a ʒ
passaient	p a s ɛ
passais	p ɑ s ɛ
passant	p a s ɑ̃
passant	p ɑ s ɑ̃
passe	p a s
passe	p ɑ s
passepied	p a s ə p j e
passeport	p a s p ɔ ʁ
passer	p a s e
passer	p ɑ s e
passerage	p a s ʁ a ʒ
passereau	p a s ʁ o
passerelle	p a s ʁ ɛ l
passeriller	p a s ʁ i j e
passes	p a s
passeur	p a s œ ʁ
passeur	p ɑ s œ ʁ
passible	p a s i b l
passif	p a s i f
passing	p ɑ s i ŋ
passion	p a s j ɔ̃
passionnant	p a s j ɔ n ɑ̃
passionnellement	p a s j ɔ n ɛ l m ɑ̃
passionner	p a s j ɔ n e
passionnément	p a s j ɔ n e m ɑ̃
passive	p a s i v
passivement	p a s i v m ɑ̃
passiver	p a s i v e
passé	p a s e
passé	p ɑ s e
passée	p ɑ s e
passéiste	p a s e i s t
pastaga	p a s t a ɡ a
pastel	p a s t ɛ l
pastelliste	p a s t ɛ l i s t
pastenague	p a s t ə n a ɡ
pasteur	p a s t œ ʁ
pastiche	p a s t i ʃ
pastiches	p a s t i ʃ
pastille	p a s t i j
pastis	p a s t i s
pastophore	p a s t ɔ f ɔ ʁ
pastoralement	p a s t ɔ ʁ a l m ɑ̃
pastorat	p a s t ɔ ʁ a
pastoresse	p a s t ɔ ʁ ɛ s
pastoureau	p a s t u ʁ o
pastèque	p a s t ɛ k
pat	p a t
patache	p a t a ʃ
patachon	p a t a ʃ ɔ̃
patafioler	p a t a f j ɔ l e
pataphysique	p a t a f i z i k
patapouf	p a t a p u f
pataquès	p a t a k ɛ s
pataras	p a t a ʁ ɑ
patate	p a t a t
pataterie	p a t a t ʁ i
patatoïdale	p a t a t ɔ i d a l
patatras	p a t a t ʁ a
pataugeoire	p a t o ʒ w a ʁ
patauger	p a t o ʒ e
patchouli	p a t ʃ u l i
patchwork	p a t ʃ w ɔ ʁ k
patelin	p a t l ɛ̃
pateline	p a t l i n
patelle	p a t ɛ l
patemment	p a t a m ɑ̃
patente	p a t ɑ̃ t
patenôtre	p a t n o t ʁ
paternel	p a t ɛ ʁ n ɛ l
paternité	p a t ɛ ʁ n i t e
paternités	p a t ɛ ʁ n i t e
pathogénique	p a t ɔ ʒ e n i k
pathogéniques	p a t ɔ ʒ e n i k
pathologie	p a t ɔ l ɔ ʒ i
pathologique	p a t ɔ l ɔ ʒ i k
pathologiste	p a t ɔ l ɔ ʒ i s t
pathétique	p a t e t i k
pathétiquement	p a t e t i k m ɑ̃
patiemment	p a s j a m ɑ̃
patience	p a s j ɑ̃ s
patiences	p a s j ɑ̃ s
patient	p a s j ɑ̃
patiente	p a s j ɑ̃ t
patienter	p a s j ɑ̃ t e
patientèle	p a s j ɑ̃ t ɛ l
patin	p a t ɛ̃
patinage	p a t i n a ʒ
patine	p a t i n
patiner	p a t i n e
patinoire	p a t i n w a ʁ
patio	p a s j o
patisserie	p a t i s ʁ i
patois	p a t w a
patoisa	p a t w a z a
patoisai	p a t w a z e
patoisaient	p a t w a z ɛ
patoisais	p a t w a z ɛ
patoisait	p a t w a z ɛ
patoisant	p a t w a z ɑ̃
patoisante	p a t w a z ɑ̃ t
patoisas	p a t w a z ɑ
patoisasse	p a t w a z a s
patoisassent	p a t w a z a s
patoisasses	p a t w a z a s
patoisassiez	p a t w a z a s j e
patoisassions	p a t w a z a s j ɔ̃
patoise	p a t w a z
patoisent	p a t w a z
patoiser	p a t w a z e
patoisera	p a t w a z ʁ a
patoiserai	p a t w a z ʁ e
patoiseraient	p a t w a z ʁ ɛ
patoiserais	p a t w a z ʁ ɛ
patoiserait	p a t w a z ʁ ɛ
patoiseras	p a t w a z ʁ ɑ
patoiserez	p a t w a z ʁ e
patoiseriez	p a t w a z ə ʁ j e
patoiserions	p a t w a z ə ʁ j ɔ̃
patoiserons	p a t w a z ʁ ɔ̃
patoiseront	p a t w a z ʁ ɔ̃
patoises	p a t w a z
patoisez	p a t w a z e
patoisiez	p a t w a z j e
patoisions	p a t w a z j ɔ̃
patoisons	p a t w a z ɔ̃
patoisâmes	p a t w a z ɑ m
patoisât	p a t w a z ɑ
patoisâtes	p a t w a z ɑ t
patoisèrent	p a t w a z ɛ ʁ
patoisé	p a t w a z e
patriarcale	p a t ʁ i j a ʁ k a l
patriarcales	p a t ʁ i j a ʁ k a l
patrice	p a t ʁ i s
patricia	p a t ʁ i s j a
patricien	p a t ʁ i s j ɛ̃
patrick	p a t ʁ i k
patrie	p a t ʁ i
patrimoine	p a t ʁ i m w a n
patriote	p a t ʁ i j ɔ t
patriotisme	p a t ʁ i j ɔ t i s m
patron	p a t ʁ ɔ̃
patronage	p a t ʁ ɔ n a ʒ
patronat	p a t ʁ ɔ n a
patronne	p a t ʁ ɔ n
patronner	p a t ʁ ɔ n e
patronnesse	p a t ʁ ɔ n ɛ s
patrouiller	p a t ʁ u j e
patte	p a t
pattée	p a t e
patère	p a t ɛ ʁ
pau	p o
pauchouse	p o ʃ u z
paucité	p o s i t e
paul	p ɔ l
paule	p o l
paulette	p o l ɛ t
paulien	p o l j ɛ̃
paulienne	p o l j ɛ n
pauliennes	p o l j ɛ n
pauliens	p o l j ɛ̃
paulin	p o l ɛ̃
pauline	p o l i n
pauliste	p o l i s t
paulistes	p o l i s t
paume	p o m
paumer	p o m e
paupiette	p o p j ɛ t
paupière	p o p j ɛ ʁ
paupières	p o p j ɛ ʁ
paupériser	p o p e ʁ i z e
pause	p o z
pauvre	p o v ʁ
pauvresse	p o v ʁ ɛ s
pauvret	p o v ʁ ɛ
pauvrette	p o v ʁ ɛ t
pauvreté	p o v ʁ ə t e
pava	p a v a
pavai	p a v e
pavaient	p a v ɛ
pavais	p a v ɛ
pavait	p a v ɛ
pavana	p a v a n a
pavanai	p a v a n e
pavanaient	p a v a n ɛ
pavanais	p a v a n ɛ
pavanait	p a v a n ɛ
pavanant	p a v a n ɑ̃
pavanas	p a v a n ɑ
pavanasse	p a v a n a s
pavanassent	p a v a n a s
pavanasses	p a v a n a s
pavanassiez	p a v a n a s j e
pavanassions	p a v a n a s j ɔ̃
pavane	p a v a n
pavanent	p a v a n
pavaner	p a v a n e
pavanera	p a v a n ʁ a
pavanerai	p a v a n ʁ e
pavaneraient	p a v a n ʁ ɛ
pavanerais	p a v a n ʁ ɛ
pavanerait	p a v a n ʁ ɛ
pavaneras	p a v a n ʁ ɑ
pavanerez	p a v a n ʁ e
pavaneriez	p a v a n ə ʁ j e
pavanerions	p a v a n ə ʁ j ɔ̃
pavanerons	p a v a n ʁ ɔ̃
pavaneront	p a v a n ʁ ɔ̃
pavanes	p a v a n
pavanez	p a v a n e
pavaniez	p a v a n j e
pavanions	p a v a n j ɔ̃
pavanons	p a v a n ɔ̃
pavant	p a v ɑ̃
pavanâmes	p a v a n ɑ m
pavanât	p a v a n ɑ
pavanâtes	p a v a n ɑ t
pavanèrent	p a v a n ɛ ʁ
pavané	p a v a n e
pavas	p a v ɑ
pavasse	p a v a s
pavassent	p a v a s
pavasses	p a v a s
pavassiez	p a v a s j e
pavassions	p a v a s j ɔ̃
pave	p a v
pavement	p a v m ɑ̃
pavent	p a v
paver	p a v e
pavera	p a v ʁ a
paverai	p a v ʁ e
paveraient	p a v ʁ ɛ
paverais	p a v ʁ ɛ
paverait	p a v ʁ ɛ
paveras	p a v ʁ ɑ
paverez	p a v ʁ e
paveriez	p a v ə ʁ j e
paverions	p a v ə ʁ j ɔ̃
paverons	p a v ʁ ɔ̃
paveront	p a v ʁ ɔ̃
paves	p a v
pavez	p a v e
pavie	p a v i
paviez	p a v j e
pavillon	p a v i j ɔ̃
pavions	p a v j ɔ̃
pavlovien	p a v l ɔ v j ɛ̃
pavois	p a v w a
pavoiser	p a v w a z e
pavons	p a v ɔ̃
pavot	p a v o
pavâmes	p a v ɑ m
pavât	p a v ɑ
pavâtes	p a v ɑ t
pavèrent	p a v ɛ ʁ
pavé	p a v e
payant	p ɛ j ɑ̃
payants	p ɛ j ɑ̃
paye	p ɛ j
payement	p ɛ j m ɑ̃
payements	p ɛ j m ɑ̃
payer	p e j e
payer	p ɛ j e
pays	p e i
pays	p ɛ i
paysage	p ɛ i z a ʒ
paysagea	p ɛ i z a ʒ a
paysageai	p ɛ i z a ʒ e
paysageaient	p ɛ i z a ʒ ɛ
paysageais	p ɛ i z a ʒ ɛ
paysageait	p ɛ i z a ʒ ɛ
paysageant	p ɛ i z a ʒ ɑ̃
paysageas	p ɛ i z a ʒ ɑ
paysageasse	p ɛ i z a ʒ a s
paysageassent	p ɛ i z a ʒ a s
paysageasses	p ɛ i z a ʒ a s
paysageassiez	p ɛ i z a ʒ a s j e
paysageassions	p ɛ i z a ʒ a s j ɔ̃
paysagent	p ɛ i z a ʒ
paysageons	p ɛ i z a ʒ ɔ̃
paysagera	p ɛ i z a ʒ ʁ a
paysagerai	p ɛ i z a ʒ ʁ e
paysageraient	p ɛ i z a ʒ ʁ ɛ
paysagerais	p ɛ i z a ʒ ʁ ɛ
paysagerait	p ɛ i z a ʒ ʁ ɛ
paysageras	p ɛ i z a ʒ ʁ ɑ
paysagerez	p ɛ i z a ʒ ʁ e
paysageriez	p ɛ i z a ʒ ə ʁ j e
paysagerions	p ɛ i z a ʒ ə ʁ j ɔ̃
paysagerons	p ɛ i z a ʒ ʁ ɔ̃
paysageront	p ɛ i z a ʒ ʁ ɔ̃
paysagez	p ɛ i z a ʒ e
paysageâmes	p ɛ i z a ʒ ɑ m
paysageât	p ɛ i z a ʒ ɑ
paysageâtes	p ɛ i z a ʒ ɑ t
paysagiez	p ɛ i z a ʒ j e
paysagions	p ɛ i z a ʒ j ɔ̃
paysagiste	p e i z a ʒ i s t
paysagiste	p ɛ i z a ʒ i s t
paysagèrent	p ɛ i z a ʒ ɛ ʁ
paysagé	p ɛ i z a ʒ e
paysan	p ɛ i z ɑ̃
paélia	p a e l j a
paëlla	p a e j a
paëlla	p a e l a
paëlla	p a e l j a
paître	p ɛ t ʁ
païen	p a j ɛ̃
païenne	p a j ɛ n
pañchatantra	p a ɲ t ʃ a t ɑ̃ t ʁ a
pcc	p e s e s e
pcus	p e s e y ɛ s
pcv	p e s e v e
pd	p e d e
peacekeeper	p i s k i p œ ʁ
peau	p o
peaufine	p o f i n
peaufiner	p o f i n e
peaux	p o
peb	p ɛ b
pec	p ɛ k
peccadille	p ɛ k a d i j
pectoral	p ɛ k t ɔ ʁ a l
peggy	p ɛ ɡ i
peigne	p ɛ ɲ
peignent	p ɛ ɲ
peigner	p e ɲ e
peigner	p ɛ ɲ e
peignes	p ɛ ɲ
peignez	p ɛ ɲ e
peignoir	p ɛ ɲ w a ʁ
peignons	p ɛ ɲ ɔ̃
peilles	p ɛ j
peindre	p ɛ̃ d ʁ
peine	p ɛ n
peiner	p e n e
peiner	p ɛ n e
peins	p ɛ̃
peint	p ɛ̃
peintre	p ɛ̃ t ʁ
peintres	p ɛ̃ t ʁ
peintura	p ɛ̃ t y ʁ a
peinturai	p ɛ̃ t y ʁ e
peinturaient	p ɛ̃ t y ʁ ɛ
peinturais	p ɛ̃ t y ʁ ɛ
peinturait	p ɛ̃ t y ʁ ɛ
peinturant	p ɛ̃ t y ʁ ɑ̃
peinturas	p ɛ̃ t y ʁ ɑ
peinturasse	p ɛ̃ t y ʁ a s
peinturassent	p ɛ̃ t y ʁ a s
peinturasses	p ɛ̃ t y ʁ a s
peinturassiez	p ɛ̃ t y ʁ a s j e
peinturassions	p ɛ̃ t y ʁ a s j ɔ̃
peinture	p ɛ̃ t y ʁ
peinturent	p ɛ̃ t y ʁ
peinturer	p ɛ̃ t y ʁ e
peinturera	p ɛ̃ t y ʁ ə ʁ a
peinturerai	p ɛ̃ t y ʁ ə ʁ e
peintureraient	p ɛ̃ t y ʁ ə ʁ ɛ
peinturerais	p ɛ̃ t y ʁ ə ʁ ɛ
peinturerait	p ɛ̃ t y ʁ ə ʁ ɛ
peintureras	p ɛ̃ t y ʁ ə ʁ ɑ
peinturerez	p ɛ̃ t y ʁ ə ʁ e
peintureriez	p ɛ̃ t y ʁ ə ʁ j e
peinturerions	p ɛ̃ t y ʁ ə ʁ j ɔ̃
peinturerons	p ɛ̃ t y ʁ ə ʁ ɔ̃
peintureront	p ɛ̃ t y ʁ ə ʁ ɔ̃
peintures	p ɛ̃ t y ʁ
peinturez	p ɛ̃ t y ʁ e
peinturiez	p ɛ̃ t y ʁ j e
peinturions	p ɛ̃ t y ʁ j ɔ̃
peinturlura	p ɛ̃ t y ʁ l y ʁ a
peinturlurai	p ɛ̃ t y ʁ l y ʁ e
peinturluraient	p ɛ̃ t y ʁ l y ʁ ɛ
peinturlurais	p ɛ̃ t y ʁ l y ʁ ɛ
peinturlurait	p ɛ̃ t y ʁ l y ʁ ɛ
peinturlurant	p ɛ̃ t y ʁ l y ʁ ɑ̃
peinturluras	p ɛ̃ t y ʁ l y ʁ ɑ
peinturlurasse	p ɛ̃ t y ʁ l y ʁ a s
peinturlurassent	p ɛ̃ t y ʁ l y ʁ a s
peinturlurasses	p ɛ̃ t y ʁ l y ʁ a s
peinturlurassiez	p ɛ̃ t y ʁ l y ʁ a s j e
peinturlurassions	p ɛ̃ t y ʁ l y ʁ a s j ɔ̃
peinturlure	p ɛ̃ t y ʁ l y ʁ
peinturlurent	p ɛ̃ t y ʁ l y ʁ
peinturlurer	p ɛ̃ t y ʁ l y ʁ e
peinturlurera	p ɛ̃ t y ʁ l y ʁ ə ʁ a
peinturlurerai	p ɛ̃ t y ʁ l y ʁ ə ʁ e
peinturlureraient	p ɛ̃ t y ʁ l y ʁ ə ʁ ɛ
peinturlurerais	p ɛ̃ t y ʁ l y ʁ ə ʁ ɛ
peinturlurerait	p ɛ̃ t y ʁ l y ʁ ə ʁ ɛ
peinturlureras	p ɛ̃ t y ʁ l y ʁ ə ʁ ɑ
peinturlurerez	p ɛ̃ t y ʁ l y ʁ ə ʁ e
peinturlureriez	p ɛ̃ t y ʁ l y ʁ ə ʁ j e
peinturlurerions	p ɛ̃ t y ʁ l y ʁ ə ʁ j ɔ̃
peinturlurerons	p ɛ̃ t y ʁ l y ʁ ə ʁ ɔ̃
peinturlureront	p ɛ̃ t y ʁ l y ʁ ə ʁ ɔ̃
peinturlures	p ɛ̃ t y ʁ l y ʁ
peinturlurez	p ɛ̃ t y ʁ l y ʁ e
peinturluriez	p ɛ̃ t y ʁ l y ʁ j e
peinturlurions	p ɛ̃ t y ʁ l y ʁ j ɔ̃
peinturlurons	p ɛ̃ t y ʁ l y ʁ ɔ̃
peinturlurâmes	p ɛ̃ t y ʁ l y ʁ ɑ m
peinturlurât	p ɛ̃ t y ʁ l y ʁ ɑ
peinturlurâtes	p ɛ̃ t y ʁ l y ʁ ɑ t
peinturlurèrent	p ɛ̃ t y ʁ l y ʁ ɛ ʁ
peinturluré	p ɛ̃ t y ʁ l y ʁ e
peinturons	p ɛ̃ t y ʁ ɔ̃
peinturâmes	p ɛ̃ t y ʁ ɑ m
peinturât	p ɛ̃ t y ʁ ɑ
peinturâtes	p ɛ̃ t y ʁ ɑ t
peinturèrent	p ɛ̃ t y ʁ ɛ ʁ
peinturé	p ɛ̃ t y ʁ e
pelage	p ə l a ʒ
peler	p ə l e
pella	p ɛ l a
pellagre	p ɛ l a ɡ ʁ
pelle	p ɛ l
peller	p ɛ l e
pelleter	p ɛ l t e
pelleterie	p ɛ l t ə ʁ i
pelleteuse	p ɛ l t ø z
pelletée	p ɛ l t e
pellicule	p e l i k y l
pellicule	p ɛ l i k y l
pelote	p l ɔ t
pelote	p ə l ɔ t
peloter	p ə l ɔ t e
peloton	p ə l ɔ t ɔ̃
pelouse	p ə l u z
peluche	p ə l y ʃ
pelucher	p ə l y ʃ e
pelvienne	p ɛ l v j ɛ n
pelé	p ə l e
penalty	p e n a l t i
penaud	p ə n o
pencher	p ɑ̃ ʃ e
pend	p ɑ̃
pendage	p ɑ̃ d a ʒ
pendais	p ɑ̃ d ɛ
pendaison	p ɑ̃ d ɛ z ɔ̃
pendant	p ɑ̃ d ɑ̃
pendard	p ɑ̃ d a ʁ
pendarde	p ɑ̃ d a ʁ d
pendardes	p ɑ̃ d a ʁ d
pendards	p ɑ̃ d a ʁ
pende	p ɑ̃ d
pendeloque	p ɑ̃ d l ɔ k
pendent	p ɑ̃ d
pendentif	p ɑ̃ d ɑ̃ t i f
penderie	p ɑ̃ d ʁ i
pendes	p ɑ̃ d
pendez	p ɑ̃ d e
pendiller	p ɑ̃ d i j e
pendjabi	p ɛ n d ʒ a b i
pendons	p ɑ̃ d ɔ̃
pendre	p ɑ̃ d ʁ
pends	p ɑ̃
pendu	p ɑ̃ d y
pendue	p ɑ̃ d y
pendues	p ɑ̃ d y
pendule	p ɑ̃ d y l
pendus	p ɑ̃ d y
penne	p ɛ n
pennes	p ɛ n
pennsylvanie	p ɛ n s i l v a n i
penny	p ɛ n i
pennys	p ɛ n i
penné	p ɛ n e
pennée	p ɛ n e
pensable	p ɑ̃ s a b l
pensables	p ɑ̃ s a b l
pensas	p ɑ̃ s ɑ
penser	p ɑ̃ s e
pensez	p ɑ̃ s e
pensif	p ɑ̃ s i f
pensifs	p ɑ̃ s i f
pension	p ɑ̃ s j ɔ̃
pensionnaire	p ɑ̃ s j ɔ n ɛ ʁ
pensionnaires	p ɑ̃ s j ɔ n ɛ ʁ
pensionnat	p ɑ̃ s j ɔ n a
pensives	p ɑ̃ s i v
pensum	p ɛ̃ s ɔ m
pensé	p ɑ̃ s e
pensée	p ɑ̃ s e
pentagramme	p ɑ̃ t a ɡ ʁ a m
pentamériser	p ɑ̃ t a m e ʁ i z e
pentapole	p ɑ̃ t a p ɔ l
pentavalent	p ɑ̃ t a v a l ɑ̃
pentavalente	p ɑ̃ t a v a l ɑ̃ t
pente	p ɑ̃ t
pentecôte	p ɑ̃ t k o t
people	p i p ɔ l
peps	p ɛ p s
peptide	p ɛ p t i d
peptides	p ɛ p t i d
peracétique	p ɛ ʁ a s e t i k
percale	p ɛ ʁ k a l
perception	p ɛ ʁ s ɛ p s j ɔ̃
percer	p ɛ ʁ s e
perceuse	p ɛ ʁ s ø z
percevoir	p ɛ ʁ s ə v w a ʁ
perche	p ɛ ʁ ʃ
percher	p ɛ ʁ ʃ e
perchiste	p ɛ ʁ ʃ i s t
perchoir	p ɛ ʁ ʃ w a ʁ
perclus	p ɛ ʁ k l y
percolation	p ɛ ʁ k ɔ l a s j ɔ̃
percoler	p ɛ ʁ k ɔ l e
percutante	p ɛ ʁ k y t ɑ̃ t
percute	p ɛ ʁ k y t
percuter	p ɛ ʁ k y t e
percée	p ɛ ʁ s e
perdant	p ɛ ʁ d ɑ̃
