а	a
невистинитост	n ɛ v i s t i n i t ɔ s t
невооружан	n ɛ v ɔ ɔ ɾ u ʒ a n
невоспитаност	n ɛ v ɔ s p i t a n ɔ s t
неврологија	n ɛ v r ɔ ɫ ɔ ɡ i j a
негација	n ɛ ɡ a t͡s i j a
него	n ɛ ɡ ɔ
негов	n ɛ ɡ ɔ f
негодува	n ɛ ɡ ɔ d u v a
негостопримливост	n ɛ ɡ ɔ s t ɔ p r i m l i v ɔ s t
негостољубивост	n ɛ ɡ ɔ s t ɔ l u b i v ɔ s t
недвижнина	n ɛ d v i ʒ n i n a
недвижнини	n ɛ d v i ʒ n i n i
недвижност	n ɛ d v i ʒ n ɔ s t
недвижности	n ɛ d v i ʒ n ɔ s t i
недела	n ɛ d ɛ ɫ a
неделивост	n ɛ d ɛ l i v ɔ s t
неделник	n ɛ d ɛ ɫ n i k
недобоен	n ɛ d ɔ b ɔ ɛ n
недобричен	n ɛ d ɔ b r i t͡ʃ ɛ n
недобро	n ɛ d ɔ b r ɔ
недобушен	n ɛ d ɔ b u ʃ ɛ n
недоварен	n ɛ d ɔ v a ɾ ɛ n
недоверба	n ɛ d ɔ v ɛ r b a
недоволност	n ɛ d ɔ v ɔ ɫ n ɔ s t
недовршеност	n ɛ d ɔ v r̩ ʃ ɛ n ɔ s t
недогорен	n ɛ d ɔ ɡ ɔ ɾ ɛ n
недоготвен	n ɛ d ɔ ɡ ɔ t v ɛ n
недограден	n ɛ d ɔ ɡ r a d ɛ n
недозволен	n ɛ d ɔ z v ɔ l ɛ n
недозволивост	n ɛ d ɔ z v ɔ l i v ɔ s t
недозреан	n ɛ d ɔ z r ɛ a n
недоискажан	n ɛ d ɔ i s k a ʒ a n
недокажан	n ɛ d ɔ k a ʒ a n
недокваканост	n ɛ d ɔ k v a k a n ɔ s t
недокршен	n ɛ d ɔ k r̩ ʃ ɛ n
недолепен	n ɛ d ɔ l ɛ p ɛ n
недолечен	n ɛ d ɔ l ɛ t͡ʃ ɛ n
недоличност	n ɛ d ɔ l i t͡ʃ n ɔ s t
недолупен	n ɛ d ɔ ɫ u p ɛ n
недомесен	n ɛ d ɔ m ɛ s ɛ n
недонесен	n ɛ d ɔ n ɛ s ɛ n
недооформен	n ɛ d ɔ ɔ f ɔ r m ɛ n
недооценет	n ɛ d ɔ ɔ t͡s ɛ n ɛ t
недопечен	n ɛ d ɔ p ɛ t͡ʃ ɛ n
недопиен	n ɛ d ɔ p i j ɛ n
недопишан	n ɛ d ɔ p i ʃ a n
недоплатен	n ɛ d ɔ p ɫ a t ɛ n
недоплетен	n ɛ d ɔ p l ɛ t ɛ n
недоправен	n ɛ d ɔ p r a v ɛ n
недопрен	n ɛ d ɔ p r ɛ n
недопржен	n ɛ d ɔ p r̩ ʒ ɛ n
недопушен	n ɛ d ɔ p u ʃ ɛ n
недоработен	n ɛ d ɔ r a b ɔ t ɛ n
недоразбран	n ɛ d ɔ ɾ a z b r a n
недоразвиен	n ɛ d ɔ r a z v i j ɛ n
недоразвиеност	n ɛ d ɔ ɾ a z v i j ɛ n ɔ s t
недораснат	n ɛ d ɔ ɾ a s n a t
недораснатост	n ɛ d ɔ r a s n a t ɔ s t
недорасонет	n ɛ d ɔ r a s ɔ n ɛ t
недоречен	n ɛ d ɔ ɾ ɛ t͡ʃ ɛ n
недорешен	n ɛ d ɔ ɾ ɛ ʃ ɛ n
недосежност	n ɛ d ɔ s ɛ ʒ n ɔ s t
недосечен	n ɛ d ɔ s ɛ t͡ʃ ɛ n
недоследност	n ɛ d ɔ s l ɛ d n ɔ s t
недосликан	n ɛ d ɔ s l i k a n
недоставен	n ɛ d ɔ s t a v ɛ n
недостижност	n ɛ d ɔ s t i ʒ n ɔ s t
недостоинственост	n ɛ d ɔ s t ɔ i n s t v ɛ n ɔ s t
недостојност	n ɛ d ɔ s t ɔ j n ɔ s t
недосушен	n ɛ d ɔ s u ʃ ɛ n
недотеран	n ɛ d ɔ t ɛ ɾ a n
недоткаен	n ɛ d ɔ t k a ɛ n
недотресен	n ɛ d ɔ t r ɛ s ɛ n
недотриен	n ɛ d ɔ t r i j ɛ n
недотрошен	n ɛ d ɔ t r ɔ ʃ ɛ n
недоучен	n ɛ d ɔ u t͡ʃ ɛ n
недочистен	n ɛ d ɔ t͡ʃ i s t ɛ n
недочитан	n ɛ d ɔ t͡ʃ i t a n
недошиен	n ɛ d ɔ ʃ i j ɛ n
недоѕидан	n ɛ d ɔ d͡z i d a n
недојаден	n ɛ d ɔ j a d ɛ n
недругарски	n ɛ d r u ɡ a r s k i
недруштвеност	n ɛ d r u ʃ t v ɛ n ɔ s t
недугавост	n ɛ d u ɡ a v ɔ s t
нежив	n ɛ ʒ i f
незабележан	n ɛ z a b ɛ l ɛ ʒ a n
незабележливост	n ɛ z a b ɛ l ɛ ʒ l i v ɔ s t
незадоволителност	n ɛ z a d ɔ v ɔ l i t ɛ ɫ n ɔ s t
незаинтересираност	n ɛ z a i n t ɛ ɾ ɛ s i ɾ a n ɔ s t
незаконитост	n ɛ z a k ɔ n i t ɔ s t
незакотвен	n ɛ z a k ɔ t v ɛ n
незакрепнатост	n ɛ z a k r ɛ p n a t ɔ s t
незаменливост	n ɛ z a m ɛ n l i v ɔ s t
незамисливост	n ɛ z a m i s l i v ɔ s t
незаоблен	n ɛ z a ɔ b l ɛ n
незапирливост	n ɛ z a p i r l i v ɔ s t
незачуван	n ɛ z a t͡ʃ u v a n
незаштитен	n ɛ z a ʃ t i t ɛ n
незаштитеност	n ɛ z a ʃ t i t ɛ n ɔ s t
незгодност	n ɛ z ɡ ɔ d n ɔ s t
неидентификуван	n ɛ i d ɛ n t i f i k u v a n
неизбричен	n ɛ i z b r i t͡ʃ ɛ n
неизбришан	n ɛ i z b r i ʃ a n
неизводливост	n ɛ i z v ɔ d l i v ɔ s t
неизлечивост	n ɛ i z l ɛ t͡ʃ i v ɔ s t
неизлупен	n ɛ i z ɫ u p ɛ n
неизмазнет	n ɛ i z m a z n ɛ t
неизмерност	n ɛ i z m ɛ r n ɔ s t
неизметен	n ɛ i z m ɛ t ɛ n
неизмиен	n ɛ i z m i j ɛ n
неизразен	n ɛ i z r a z ɛ n
неизрамнет	n ɛ i z r a m n ɛ t
неизречен	n ɛ i z r ɛ t͡ʃ ɛ n
неизјаснет	n ɛ i z j a s n ɛ t
неискажливост	n ɛ i s k a ʒ l i v ɔ s t
неискоренливост	n ɛ i s k ɔ r ɛ n l i v ɔ s t
неискористен	n ɛ i s k ɔ ɾ i s t ɛ n
неискреност	n ɛ i s k r ɛ n ɔ s t
неискусност	n ɛ i s k u s n ɔ s t
неисплакнат	n ɛ i s p ɫ a k n a t
неисполнет	n ɛ i s p ɔ ɫ n ɛ t
неисправен	n ɛ i s p r a v ɛ n
неистребливост	n ɛ i s t r ɛ b l i v ɔ s t
неисхранетост	n ɛ i s x r a n ɛ t ɔ s t
неисчистен	n ɛ i ʃ t͡ʃ i s t ɛ n
нека	n ɛ k a
некадарен	n ɛ k a d a ɾ ɛ n
неказнет	n ɛ k a z n ɛ t
неколку	n ɛ k ɔ l k u
некрофилија	n ɛ k r ɔ f i l i j a
нелегален	n ɛ l ɛ ɡ a l ɛ n
нелупен	n ɛ ɫ u p ɛ n
немарност	n ɛ m a r n ɔ s t
немаштија	n ɛ m a ʃ t i j a
неменливост	n ɛ m ɛ n l i v ɔ s t
немец	n ɛ m ɛ t͡s
немечко	n ɛ m ɛ t͡ʃ k ɔ
немиен	n ɛ m i j ɛ n
немил	n ɛ m i ɫ
немилосрдие	n ɛ m i ɫ ɔ s r̩ d i j ɛ
немилосрдност	n ɛ m i ɫ ɔ s r̩ d n ɔ s t
немилост	n ɛ m i ɫ ɔ s t
неморалност	n ɛ m ɔ ɾ a ɫ n ɔ s t
немост	n ɛ m ɔ s t
нему	n ɛ m u
ненавикнат	n ɛ n a v i k n a t
ненавикнатост	n ɛ n a v i k n a t ɔ s t
ненагласеност	n ɛ n a ɡ ɫ a s ɛ n ɔ s t
ненаграден	n ɛ n a ɡ r a d ɛ n
ненадарен	n ɛ n a d a ɾ ɛ n
ненадејност	n ɛ n a d ɛ j n ɔ s t
ненадминат	n ɛ n a d m i n a t
ненадминатост	n ɛ n a d m i n a t ɔ s t
ненадоместливост	n ɛ n a d ɔ m ɛ s t l i v ɔ s t
ненамачкан	n ɛ n a m a t͡ʃ k a n
ненаместен	n ɛ n a m ɛ s t ɛ n
ненаметливост	n ɛ n a m ɛ t l i v ɔ s t
ненаоружан	n ɛ n a ɔ ɾ u ʒ a n
ненапишан	n ɛ n a p i ʃ a n
ненаправен	n ɛ n a p r a v ɛ n
ненареден	n ɛ n a ɾ ɛ d ɛ n
ненасаден	n ɛ n a s a d ɛ n
ненаселеност	n ɛ n a s ɛ l ɛ n ɔ s t
ненаспан	n ɛ n a s p a n
ненашетан	n ɛ n a ʃ ɛ t a n
ненајавен	n ɛ n a j a v ɛ n
ненајаден	n ɛ n a j a d ɛ n
ненормалност	n ɛ n ɔ r m a ɫ n ɔ s t
необновен	n ɛ ɔ b n ɔ v ɛ n
необновлив	n ɛ ɔ b n ɔ v l i f
необновливост	n ɛ ɔ b n ɔ v l i v ɔ s t
необоен	n ɛ ɔ b ɔ ɛ n
необоснованост	n ɛ ɔ b ɔ s n ɔ v a n ɔ s t
необработливост	n ɛ ɔ b r a b ɔ t l i v ɔ s t
необузданост	n ɛ ɔ b u z d a n ɔ s t
необучен	n ɛ ɔ b u t͡ʃ ɛ n
необјавен	n ɛ ɔ b j a v ɛ n
необјаснет	n ɛ ɔ b j a s n ɛ t
необјаснив	n ɛ ɔ b j a s n i f
необјаснивост	n ɛ ɔ b j a s n i v ɔ s t
неовластен	n ɛ ɔ v ɫ a s t ɛ n
неодговорност	n ɛ ɔ d ɡ ɔ v ɔ r n ɔ s t
неодмереност	n ɛ ɔ d m ɛ ɾ ɛ n ɔ s t
неодобрен	n ɛ ɔ d ɔ b r ɛ n
неоздравен	n ɛ ɔ z d r a v ɛ n
неоладен	n ɛ ɔ ɫ a d ɛ n
неопипливост	n ɛ ɔ p i p l i v ɔ s t
неопишан	n ɛ ɔ p i ʃ a n
неоправдан	n ɛ ɔ p r a v d a n
неопределеност	n ɛ ɔ p r ɛ d ɛ l ɛ n ɔ s t
неопходност	n ɛ ɔ p x ɔ d n ɔ s t
неоран	n ɛ ɔ ɾ a n
неорганизираност	n ɛ ɔ r ɡ a n i z i ɾ a n ɔ s t
неоснован	n ɛ ɔ s n ɔ v a n
неостварливост	n ɛ ɔ s t v a r l i v ɔ s t
неоткриен	n ɛ ɔ t k r i j ɛ n
неотстранливост	n ɛ ɔ t s t r a n l i v ɔ s t
неотуѓивост	n ɛ ɔ t u ɟ i v ɔ s t
неоштетен	n ɛ ɔ ʃ t ɛ t ɛ n
непал	n ɛ p a ɫ
непланиран	n ɛ p ɫ a n i ɾ a n
неплатен	n ɛ p ɫ a t ɛ n
непобитност	n ɛ p ɔ b i t n ɔ s t
неповреден	n ɛ p ɔ v r ɛ d ɛ n
неповредливост	n ɛ p ɔ v r ɛ d l i v ɔ s t
неповрзан	n ɛ p ɔ v r̩ z a n
неповрзаност	n ɛ p ɔ v r̩ z a n ɔ s t
неповторливост	n ɛ p ɔ f t ɔ r l i v ɔ s t
непогода	n ɛ p ɔ ɡ ɔ d a
непогодност	n ɛ p ɔ ɡ ɔ d n ɔ s t
непогрешливост	n ɛ p ɔ ɡ r ɛ ʃ l i v ɔ s t
неподготвен	n ɛ p ɔ d ɡ ɔ t v ɛ n
неподготвеност	n ɛ p ɔ d ɡ ɔ t v ɛ n ɔ s t
неподмитливост	n ɛ p ɔ d m i t l i v ɔ s t
неподносливост	n ɛ p ɔ d n ɔ s l i v ɔ s t
неподобен	n ɛ p ɔ d ɔ b ɛ n
неподобност	n ɛ p ɔ d ɔ b n ɔ s t
непокажан	n ɛ p ɔ k a ʒ a n
непокриен	n ɛ p ɔ k r i j ɛ n
неполнолетност	n ɛ p ɔ ɫ n ɔ l ɛ t n ɔ s t
неположен	n ɛ p ɔ ɫ ɔ ʒ ɛ n
непосакуван	n ɛ p ɔ s a k u v a n
непосредност	n ɛ p ɔ s r ɛ d n ɔ s t
непостојаност	n ɛ p ɔ s t ɔ j a n ɔ s t
непоткупливост	n ɛ p ɔ t k u p l i v ɔ s t
непотполност	n ɛ p ɔ t p ɔ ɫ n ɔ s t
непотребност	n ɛ p ɔ t r ɛ b n ɔ s t
непоштеден	n ɛ p ɔ ʃ t ɛ d ɛ n
неправедност	n ɛ p r a v ɛ d n ɔ s t
непреводливост	n ɛ p r ɛ v ɔ d l i v ɔ s t
непрекинатост	n ɛ p r ɛ k i n a t ɔ s t
непрекинливост	n ɛ p r ɛ k i n l i v ɔ s t
непреодност	n ɛ p r ɛ ɔ d n ɔ s t
непресушност	n ɛ p r ɛ s u ʃ n ɔ s t
непретпазливост	n ɛ p r ɛ t p a z l i v ɔ s t
непривлечност	n ɛ p r i v l ɛ t͡ʃ n ɔ s t
непризнаен	n ɛ p r i z n a ɛ n
неприкладност	n ɛ p r i k ɫ a d n ɔ s t
неприкосновеност	n ɛ p r i k ɔ s n ɔ v ɛ n ɔ s t
неприкриен	n ɛ p r i k r i j ɛ n
неприлагоден	n ɛ p r i ɫ a ɡ ɔ d ɛ n
неприлика	n ɛ p r i l i k a
неприменливост	n ɛ p r i m ɛ n l i v ɔ s t
неприфатен	n ɛ p r i f a t ɛ n
непријавен	n ɛ p r i j a v ɛ n
непријателка	n ɛ p r i j a t ɛ ɫ k a
непробојност	n ɛ p r ɔ b ɔ j n ɔ s t
непроверен	n ɛ p r ɔ v ɛ ɾ ɛ n
непроветрен	n ɛ p r ɔ v ɛ t r ɛ n
непровидност	n ɛ p r ɔ v i d n ɔ s t
непрозрачност	n ɛ p r ɔ z r a t͡ʃ n ɔ s t
непрокопсаност	n ɛ p r ɔ k ɔ p s a n ɔ s t
непроменливост	n ɛ p r ɔ m ɛ n l i v ɔ s t
непроодност	n ɛ p r ɔ ɔ d n ɔ s t
непропустливост	n ɛ p r ɔ p u s t l i v ɔ s t
непростен	n ɛ p r ɔ s t ɛ n
непрочистен	n ɛ p r ɔ t͡ʃ i s t ɛ n
непрочитан	n ɛ p r ɔ t͡ʃ i t a n
непроширен	n ɛ p r ɔ ʃ i ɾ ɛ n
непушач	n ɛ p u ʃ a t͡ʃ
неразбирливост	n ɛ ɾ a z b i r l i v ɔ s t
неразбран	n ɛ ɾ a z b r a n
неразбраност	n ɛ r a z b r a n ɔ s t
неразделност	n ɛ r a z d ɛ ɫ n ɔ s t
неразреден	n ɛ r a z r ɛ d ɛ n
неразумност	n ɛ r a z u m n ɔ s t
неразјаснет	n ɛ r a z j a s n ɛ t
неразјаснетост	n ɛ ɾ a z j a s n ɛ t ɔ s t
нераскинливост	n ɛ ɾ a s k i n l i v ɔ s t
нерасположеност	n ɛ ɾ a s p ɔ ɫ ɔ ʒ ɛ n ɔ s t
нерастворливост	n ɛ ɾ a s t v ɔ r l i v ɔ s t
нередовност	n ɛ r ɛ d ɔ v n ɔ s t
нерешен	n ɛ ɾ ɛ ʃ ɛ n
нерешителност	n ɛ ɾ ɛ ʃ i t ɛ ɫ n ɔ s t
нерешливост	n ɛ r ɛ ʃ l i v ɔ s t
несакан	n ɛ s a k a n
несамостојност	n ɛ s a m ɔ s t ɔ j n ɔ s t
несварливост	n ɛ s v a r l i v ɔ s t
несебичност	n ɛ s ɛ b i t͡ʃ n ɔ s t
несигурност	n ɛ s i ɡ u r n ɔ s t
несилка	n ɛ s i ɫ k a
нескротливост	n ɛ s k r ɔ t l i v ɔ s t
неснаодливост	n ɛ s n a ɔ d l i v ɔ s t
несовесност	n ɛ s ɔ v ɛ s n ɔ s t
несовладан	n ɛ s ɔ v ɫ a d a n
несовпадливост	n ɛ s ɔ f p a d l i v ɔ s t
несогласност	n ɛ s ɔ ɡ ɫ a s n ɔ s t
несодржајност	n ɛ s ɔ d r̩ ʒ a j n ɔ s t
несоодветност	n ɛ s ɔ ɔ d v ɛ t n ɔ s t
несочуван	n ɛ s ɔ t͡ʃ u v a n
неспокојност	n ɛ s p ɔ k ɔ j n ɔ s t
неспомнат	n ɛ s p ɔ m n a t
неспоредлив	n ɛ s p ɔ ɾ ɛ d l i f
неспоредливост	n ɛ s p ɔ r ɛ d l i v ɔ s t
несправедливост	n ɛ s p r a v ɛ d l i v ɔ s t
неспремност	n ɛ s p r ɛ m n ɔ s t
несразмерност	n ɛ s r a z m ɛ r n ɔ s t
несреденост	n ɛ s r ɛ d ɛ n ɔ s t
нестабилност	n ɛ s t a b i ɫ n ɔ s t
несфатливост	n ɛ s f a t l i v ɔ s t
нетактичност	n ɛ t a k t i t͡ʃ n ɔ s t
нетолеранција	n ɛ t ɔ l ɛ r a n t͡s i j a
неточност	n ɛ t ɔ t͡ʃ n ɔ s t
неугледност	n ɛ u ɡ l ɛ d n ɔ s t
неудобност	n ɛ u d ɔ b n ɔ s t
неудопство	n ɛ u d ɔ p s t v ɔ
неукрасен	n ɛ u k r a s ɛ n
неумешност	n ɛ u m ɛ ʃ n ɔ s t
неумност	n ɛ u m n ɔ s t
неумоливост	n ɛ u m ɔ l i v ɔ s t
неуништливост	n ɛ u n i ʃ t l i v ɔ s t
неупотребен	n ɛ u p ɔ t r ɛ b ɛ n
неуредност	n ɛ u ɾ ɛ d n ɔ s t
неуслужливост	n ɛ u s ɫ u ʒ l i v ɔ s t
неусогласеност	n ɛ u s ɔ ɡ ɫ a s ɛ n ɔ s t
неуспех	n ɛ u s p ɛ x
неуставност	n ɛ u s t a v n ɔ s t
неутрализација	n ɛ u t r a l i z a t͡s i j a
нехуманост	n ɛ x u m a n ɔ s t
нецелосност	n ɛ t͡s ɛ ɫ ɔ s n ɔ s t
нечесност	n ɛ t͡ʃ ɛ s n ɔ s t
нечистотија	n ɛ t͡ʃ i s t ɔ t i j a
нечитливост	n ɛ t͡ʃ i t l i v ɔ s t
нечујност	n ɛ t͡ʃ u j n ɔ s t
нешта	n ɛ ʃ t a
нешто	n ɛ ʃ t ɔ
нејзе	n ɛ j z ɛ
нива	n i v a
ниво	n i v ɔ
нивје	n i v j ɛ
ние	n i j ɛ
никаквец	n i k a k v ɛ t͡s
нимфа	n i ɱ f a
нимфоманија	n i ɱ f ɔ m a n i j a
нискост	n i s k ɔ s t
ничкум	n i t͡ʃ k u m
ништо	n i ʃ t ɔ
ништожност	n i ʃ t ɔ ʒ n ɔ s t
нов	n ɔ f
новина	n ɔ v i n a
новинар	n ɔ v i n a r
новинарка	n ɔ v i n a r k a
новинарство	n ɔ v i n a r s t v ɔ
новини	n ɔ v i n i
новост	n ɔ v ɔ s t
нога	n ɔ ɡ a
ногопис	n ɔ ɡ ɔ p i s
ноември	n ɔ ɛ ɱ v r i
нож	n ɔ ʃ
ножици	n ɔ ʒ i t͡s i
ножички	n ɔ ʒ i t͡ʃ k i
ноздра	n ɔ z d r a
нокт	n ɔ k t
нокти	n ɔ k t i
нокшир	n ɔ k ʃ i r
нокширче	n ɔ k ʃ i r t͡ʃ ɛ
нормализација	n ɔ r m a l i z a t͡s i j a
носивост	n ɔ s i v ɔ s t
носорог	n ɔ s ɔ ɾ ɔ k
носталгичност	n ɔ s t a ɫ ɡ i t͡ʃ n ɔ s t
нострификација	n ɔ s t r i f i k a t͡s i j a
нотарка	n ɔ t a r k a
нотарски	n ɔ t a r s k i
ној	n ɔ j
ноќ	n ɔ c
ноќе	n ɔ c ɛ
ноќева	n ɔ c ɛ v a
ноќница	n ɔ c n i t͡s a
ноџе	n ɔ d͡ʒ ɛ
нужник	n u ʒ n i k
нужност	n u ʒ n ɔ s t
нукуалофа	n u k u a ɫ ɔ f a
нукуалофански	n u k u a ɫ ɔ f a n s k i
нула	n u ɫ a
нѐ	n ɛ
обвинителка	ɔ b v i n i t ɛ ɫ k a
обвинителски	ɔ b v i n i t ɛ ɫ s k i
обврзник	ɔ b v r̩ z n i k
обдарува	ɔ b d a ɾ u v a
обдукција	ɔ b d u k t͡s i j a
обединетост	ɔ b ɛ d i n ɛ t ɔ s t
обезбојува	ɔ b ɛ z b ɔ j u v a
обезвластува	ɔ b ɛ z v ɫ a s t u v a
обезвучи	ɔ b ɛ z v u t͡ʃ i
обезвучува	ɔ b ɛ z v u t͡ʃ u v a
обезименува	ɔ b ɛ z i m ɛ n u v a
обезмастува	ɔ b ɛ z m a s t u v a
обезнадежува	ɔ b ɛ z n a d ɛ ʒ u v a
обезоружува	ɔ b ɛ z ɔ r u ʒ u v a
обелува	ɔ b ɛ ɫ u v a
обемност	ɔ b ɛ m n ɔ s t
обесправеност	ɔ b ɛ s p r a v ɛ n ɔ s t
обесхрабреност	ɔ b ɛ s x r a b r ɛ n ɔ s t
обесштетува	ɔ b ɛ ʃ ʃ t ɛ t u v a
обзнани	ɔ b z n a n i
обзнанува	ɔ b z n a n u v a
обилен	ɔ b i l ɛ n
обилност	ɔ b i ɫ n ɔ s t
обичен	ɔ b i t͡ʃ ɛ n
облак	ɔ b ɫ a k
облаче	ɔ b ɫ a t͡ʃ ɛ
облачност	ɔ b ɫ a t͡ʃ n ɔ s t
облог	ɔ b ɫ ɔ k
обнадежува	ɔ b n a d ɛ ʒ u v a
обновлив	ɔ b n ɔ v l i f
обожавателка	ɔ b ɔ ʒ a v a t ɛ ɫ k a
обор	ɔ b ɔ r
обостраност	ɔ b ɔ s t r a n ɔ s t
образование	ɔ b r a z ɔ v a n i j ɛ
обратно	ɔ b r a t n ɔ
обувка	ɔ b u f k a
објавувач	ɔ b j a v u v a t͡ʃ
ова	ɔ v a
оваа	ɔ v a a
оваму	ɔ v a m u
овација	ɔ v a t͡s i j a
овде	ɔ v d ɛ
овдека	ɔ v d ɛ k a
овдешен	ɔ v d ɛ ʃ ɛ n
овенатост	ɔ v ɛ n a t ɔ s t
овенува	ɔ v ɛ n u v a
овес	ɔ v ɛ s
овие	ɔ v i j ɛ
овнешки	ɔ v n ɛ ʃ k i
овогодишен	ɔ v ɔ ɡ ɔ d i ʃ ɛ n
овоштарство	ɔ v ɔ ʃ t a r s t v ɔ
овошје	ɔ v ɔ ʃ j ɛ
овој	ɔ v ɔ j
овца	ɔ f t͡s a
овци	ɔ f t͡s i
овчар	ɔ f t͡ʃ a r
овчаров	ɔ f t͡ʃ a ɾ ɔ f
овчарство	ɔ f t͡ʃ a r s t v ɔ
овчарче	ɔ f t͡ʃ a r t͡ʃ ɛ
овчи	ɔ f t͡ʃ i
оган	ɔ ɡ a n
оганче	ɔ ɡ a n t͡ʃ ɛ
огламник	ɔ ɡ ɫ a m n i k
огласен	ɔ ɡ ɫ a s ɛ n
огласник	ɔ ɡ ɫ a s n i k
огледало	ɔ ɡ l ɛ d a ɫ ɔ
огледалце	ɔ ɡ l ɛ d a ɫ t͡s ɛ
оглупавеност	ɔ ɡ ɫ u p a v ɛ n ɔ s t
огноотпорност	ɔ ɡ n ɔ ɔ t p ɔ r n ɔ s t
ограда	ɔ ɡ r a d a
ограниченост	ɔ ɡ r a n i t͡ʃ ɛ n ɔ s t
огранок	ɔ ɡ r a n ɔ k
ограѓе	ɔ ɡ r a ɟ ɛ
огромност	ɔ ɡ r ɔ m n ɔ s t
одбегнува	ɔ d b ɛ ɡ n u v a
одбива	ɔ d b i v a
одбивност	ɔ d b i v n ɔ s t
одборник	ɔ d b ɔ r n i k
одбој	ɔ d b ɔ j
одбојка	ɔ d b ɔ j k a
одбранува	ɔ d b r a n u v a
одважност	ɔ d v a ʒ n ɔ s t
одведува	ɔ d v ɛ d u v a
одвиткува	ɔ d v i t k u v a
одвлекува	ɔ d v l ɛ k u v a
одвојува	ɔ d v ɔ j u v a
одвратност	ɔ d v r a t n ɔ s t
одвртува	ɔ d v r̩ t u v a
одгатнува	ɔ d ɡ a t n u v a
одгледувач	ɔ d ɡ l ɛ d u v a t͡ʃ
одгледувачки	ɔ d ɡ l ɛ d u v a t͡ʃ k i
одговор	ɔ d ɡ ɔ v ɔ r
одговори	ɔ d ɡ ɔ v ɔ ɾ i
одгризува	ɔ d ɡ r i z u v a
оддалеченост	ɔ d d a l ɛ t͡ʃ ɛ n ɔ s t
одерува	ɔ d ɛ ɾ u v a
оди	ɔ d i
одигрува	ɔ d i ɡ r u v a
одлази	ɔ d ɫ a z i
одлазува	ɔ d ɫ a z u v a
одлежи	ɔ d l ɛ ʒ i
одличност	ɔ d l i t͡ʃ n ɔ s t
одмазднички	ɔ d m a z d n i t͡ʃ k i
одмаздољубивост	ɔ d m a z d ɔ l u b i v ɔ s t
одмереност	ɔ d m ɛ ɾ ɛ n ɔ s t
одмерува	ɔ d m ɛ ɾ u v a
одметник	ɔ d m ɛ t n i k
одмореност	ɔ d m ɔ ɾ ɛ n ɔ s t
одморски	ɔ d m ɔ r s k i
однародува	ɔ d n a r ɔ d u v a
однесува	ɔ d n ɛ s u v a
одработува	ɔ d r a b ɔ t u v a
одреденост	ɔ d r ɛ d ɛ n ɔ s t
одредиште	ɔ d r ɛ d i ʃ t ɛ
одродник	ɔ d r ɔ d n i k
одушевеност	ɔ d u ʃ ɛ v ɛ n ɔ s t
одјури	ɔ d j u ɾ i
озарува	ɔ z a ɾ u v a
озвучи	ɔ z v u t͡ʃ i
озвучува	ɔ z v u t͡ʃ u v a
озон	ɔ z ɔ n
озрачува	ɔ z r a t͡ʃ u v a
океан	ɔ k ɛ a n
окленд	ɔ k l ɛ n t
оклоп	ɔ k ɫ ɔ p
оклопен	ɔ k ɫ ɔ p ɛ n
око	ɔ k ɔ
оков	ɔ k ɔ f
ококорува	ɔ k ɔ k ɔ ɾ u v a
околен	ɔ k ɔ l ɛ n
околност	ɔ k ɔ ɫ n ɔ s t
окрвавува	ɔ k r̩ v a v u v a
окрка	ɔ k r̩ k a
оксидација	ɔ k s i d a t͡s i j a
октомври	ɔ k t ɔ ɱ v r i
окупаторски	ɔ k u p a t ɔ r s k i
окупациски	ɔ k u p a t͡s i s k i
окупација	ɔ k u p a t͡s i j a
олабави	ɔ ɫ a b a v i
олабавува	ɔ ɫ a b a v u v a
оладува	ɔ ɫ a d u v a
олеснителен	ɔ l ɛ s n i t ɛ l ɛ n
олимпиец	ɔ l i m p i j ɛ t͡s
олтарски	ɔ ɫ t a r s k i
омаеност	ɔ m a ɛ n ɔ s t
оман	ɔ m a n
омекнатост	ɔ m ɛ k n a t ɔ s t
омекнувач	ɔ m ɛ k n u v a t͡ʃ
омеѓува	ɔ m ɛ ɟ u v a
омлет	ɔ m l ɛ t
омлитавува	ɔ m l i t a v u v a
онади	ɔ n a d i
онаму	ɔ n a m u
онде	ɔ n d ɛ
ондека	ɔ n d ɛ k a
онеспособеност	ɔ n ɛ s p ɔ s ɔ b ɛ n ɔ s t
ономастика	ɔ n ɔ m a s t i k a
оној	ɔ n ɔ j
онтологија	ɔ n t ɔ ɫ ɔ ɡ i j a
опавче	ɔ p a f t͡ʃ ɛ
опасен	ɔ p a s ɛ n
опасност	ɔ p a s n ɔ s t
опашка	ɔ p a ʃ k a
опашува	ɔ p a ʃ u v a
опера	ɔ p ɛ ɾ a
операциски	ɔ p ɛ r a t͡s i s k i
опипува	ɔ p i p u v a
опис	ɔ p i s
опитомува	ɔ p i t ɔ m u v a
опијанетост	ɔ p i j a n ɛ t ɔ s t
опијанува	ɔ p i j a n u v a
опнува	ɔ p n u v a
опозициски	ɔ p ɔ z i t͡s i s k i
ополномоштеник	ɔ p ɔ ɫ n ɔ m ɔ ʃ t ɛ n i k
опомена	ɔ p ɔ m ɛ n a
опортунистички	ɔ p ɔ r t u n i s t i t͡ʃ k i
опојност	ɔ p ɔ j n ɔ s t
определеност	ɔ p r ɛ d ɛ l ɛ n ɔ s t
