ᆜ	j ɯ
쓰레기	s͈ ɯ ɾ e̞ ɡ i
쓰레기통	s͈ ɯ ɾ e̞ ɡ i tʰ o̞ ŋ
쓰레받기	s͈ ɯ ɾ e̞ b a̠ t̚ k͈ i
쓰르라미	s͈ ɯ ɾ ɯ ɾ a̠ m i
쓰리	s͈ ɯ ɾ i
쓰리다	s͈ ɯ ɾ i d a̠
쓰봉	s͈ ɯ b o̞ ŋ
쓰이다	s͈ ɯ i d a̠
쓰촨	s͈ ɯ t͡ɕʰ w a̠ n
쓰푸	s͈ ɯ pʰ u
쓸다	s͈ ɯ ɭ d a̠
쓸데	s͈ ɯ ɭ t͈ e̞
쓸데없다	s͈ ɯ ɭ t͈ e̞ ʌ̹ p̚ t͈ a̠
쓸모	s͈ ɯ ɭ m o̞
쓸어일어나다	s͈ ɯ ɾ ʌ̹ i ɾ ʌ̹ n a̠ d a̠
씁쓸하다	s͈ ɯ p s͈ ɯ ɾ ɦ a̠ d a̠
씌	ɕ͈ i
씌우다	ɕ͈ i u d a̠
씨	ɕ͈ i
씨뚜아찌야	ɕ͈ i t͈ u a̠ t͡ɕ͈ i j a̠
씨름	ɕ͈ i ɾ ɯ m
씨발	ɕ͈ i b a̠ ɭ
씨수	ɕ͈ i sʰ u
씨앗	ɕ͈ i a̠ t̚
씨팔	ɕ͈ i pʰ a̠ ɭ
씩	ɕ͈ i k̚
씹	ɕ͈ i p̚
씹거웃	ɕ͈ i p̚ k͈ ʌ̹ u t̚
씹다	ɕ͈ i p̚ t͈ a̠
씹덕	ɕ͈ i p̚ t͈ ʌ̹ k̚
씹두덩	ɕ͈ i p̚ t͈ u d ʌ̹ ŋ
씹하다	ɕ͈ i pʰ a̠ d a̠
씻다	ɕ͈ i t̚ t͈ a̠
씻은듯이	ɕ͈ i sʰ ɯ n d ɯ ɕʰ i
씼	ɕ͈ i t̚
씽글	ɕ͈ i ŋ ɡ ɯ ɭ
씽글씽글	ɕ͈ i ŋ ɡ ɯ ɭ ɕ͈ i ŋ ɡ ɯ ɭ
아	a̠ː
아가	a̠ ɡ a̠
아가	a̠ː ɡ a̠
아가미	a̠ ɡ a̠ m i
아가씨	a̠ ɡ a̠ ɕ͈ i
아국	a̠ː ɡ u k̚
아군	a̠ː ɡ u n
아궁이	a̠ ɡ u ŋ i
아귀	a̠ ɡ ɥ i
아귀	a̠ː ɡ ɥ i
아그라	a̠ ɡ ɯ ɾ a̠
아기	a̠ ɡ i
아기집	a̠ ɡ i d͡ʑ i p̚
아까	a̠ k͈ a̠
아깝다	a̠ k͈ a̠ p̚ t͈ a̠
아끼다	a̠ k͈ i d a̠
아나운서	a̠ n a̠ u n sʰ ʌ̹
아나콘다	a̠ n a̠ kʰ o̞ n d a̠
아나테마	a̠ n a̠ tʰ e̞ m a̠
아낙	a̠ n a̠ k̚
아냐	a̠ ɲ j a̠
아뇰로티	a̠ ɲ j o ɭ ɭ o̞ tʰ i
아니	a̠ n i
아니꼽다	a̠ n i k͈ o̞ p̚ t͈ a̠
아니다	a̠ n i d a̠
아니메	a̠ n i m e̞
아니면	a̠ n i m j ʌ̹ n
아니야	a̠ n i j a̠
아니요	a̠ n i j o
아니하다	a̠ n i ɦ a̠ d a̠
아담	a̠ d a̠ m
아도	a̠ d o̞
아동	a̠ d o̞ ŋ
아드님	a̠ d ɯ n i m
아들	a̠ d ɯ ɭ
아들딸	a̠ d ɯ ɭ t͈ a̠ ɭ
아디스아바바	a̠ d i sʰ ɯ a̠ b a̠ b a̠
아라	a̠ ɾ a̠
아라비아	a̠ ɾ a̠ b i a̠
아라비아인	a̠ ɾ a̠ b i a̠ i n
아라사	a̠ ɾ a̠ sʰ a̠
아라한	a̠ ɾ a̠ ɦ a̠ n
아락	a̠ ɾ a̠ k̚
아람어	a̠ ɾ a̠ m ʌ̹
아랍	a̠ ɾ a̠ p̚
아랍어	a̠ ɾ a̠ b ʌ̹
아랍에미리트	a̠ ɾ a̠ b e̞ m i ɾ i tʰ ɯ
아레스	a̠ ɾ e̞ sʰ ɯ
아련	a̠ ɾ j ʌ̹ n
아련하다	a̠ ɾ j ʌ̹ n ɦ a̠ d a̠
아련히	a̠ ɾ j ʌ̹ n ʝ i
아론	a̠ ɾ o̞ n
아롱아롱	a̠ ɾ o̞ ŋ a̠ ɾ o̞ ŋ
아뢰다	a̠ ɾ w e̞ d a̠
아뢰야식	a̠ ɾ w e̞ j a̠ ɕʰ i k̚
아르곤	a̠ ɾ ɯ ɡ o̞ n
아르마딜로	a̠ ɾ ɯ m a̠ d i ɭ ɭ o̞
아르메니아	a̠ ɾ ɯ m e̞ n i a̠
아르메니아어	a̠ ɾ ɯ m e̞ n i a̠ ʌ̹
아르바이트	a̠ ɾ ɯ b a̠ i tʰ ɯ
아르테미스	a̠ ɾ ɯ tʰ e̞ m i sʰ ɯ
아르헨티나	a̠ ɾ ɯ ɦ e̞ n tʰ i n a̠
아름답다	a̠ ɾ ɯ m d a̠ p̚ t͈ a̠
아리	a̠ ɾ i
아리땁다	a̠ ɾ i t͈ a̠ p̚ t͈ a̠
아리랑	a̠ ɾ i ɾ a̠ ŋ
아리수	a̠ ɾ i sʰ u
아마	a̠ m a̠
아마도	a̠ m a̠ d o̞
아마존	a̠ m a̠ d͡ʑ o̞ n
아마추어	a̠ m a̠ t͡ɕʰ u ʌ̹
아말감	a̠ m a̠ ɭ ɡ a̠ m
아메리슘	a̠ m e̞ ɾ i ɕʰ u m
아메리카	a̠ m e̞ ɾ i kʰ a̠
아메리카홍머리오리	a̠ m e̞ ɾ i kʰ a̠ β o̞ ŋ m ʌ̹ ɾ i o̞ ɾ i
아메바	a̠ m e̞ b a̠
아멘	a̠ m e̞ n
아몬드	a̠ m o̞ n d ɯ
아무	a̠ː m u
아무것	a̠ː m u ɡ ʌ̹ t̚
아무런	a̠ː m u ɾ ʌ̹ n
아무렇다	a̠ː m u ɾ ʌ̹ tʰ a̠
아무르강	a̠ m u ɾ ɯ ɡ a̠ ŋ
아무리	a̠ː m u ɾ i
아무튼	a̠ː m u tʰ ɯ n
아미노	a̠ m i n o̞
아미노산	a̠ m i n o̞ sʰ a̠ n
아미딘	a̠ m i d i n
아미타불	a̠ m i tʰ a̠ b u ɭ
아민	a̠ m i n
아바나	a̠ b a̠ n a̠
아바지	a̠ b a̠ d͡ʑ i
아버님	a̠ b ʌ̹ n i m
아버지	a̠ b ʌ̹ d͡ʑ i
아베크	a̠ b e̞ k x ɯ
아벨	a̠ b e̞ ɭ
아보카도	a̠ b o̞ kʰ a̠ d o̞
아부다비	a̠ b u d a̠ b i
아부자	a̠ b u d͡ʑ a̠
아브라함	a̠ b ɯ ɾ a̠ ɦ a̠ m
아비	a̠ b i
아비달마	a̠ b i d a̠ ɭ m a̠
아비장	a̠ b i d͡ʑ a̠ ŋ
아빠	a̠ p͈ a̠
아빠트	a̠ p͈ a̠ tʰ ɯ
아뿔싸	a̠ p͈ u ɭ s͈ a̠
아사	a̠ː sʰ a̠
아서	a̠ sʰ ʌ̹
아세나프텐	a̠ sʰ e̞ n a̠ pʰ ɯ tʰ e̞ n
아수라	a̠ː sʰ u ɾ a̠
아순시온	a̠ sʰ u n ɕʰ i o̞ n
아쉬움	a̠ ʃʰ ɥ i u m
아쉽다	a̠ ʃʰ ɥ i p̚ t͈ a̠
아스마라	a̠ sʰ ɯ m a̠ ɾ a̠
아스콜빅산	a̠ sʰ ɯ kʰ o̞ ɭ b i k s͈ a̠ n
아스타나	a̠ sʰ ɯ tʰ a̠ n a̠
아스타틴	a̠ sʰ ɯ tʰ a̠ tʰ i n
아스테카	a̠ sʰ ɯ tʰ e̞ kʰ a̠
아스텍	a̠ sʰ ɯ tʰ e̞ k̚
아스파라거스	a̠ sʰ ɯ pʰ a̠ ɾ a̠ ɡ ʌ̹ sʰ ɯ
아스하바트	a̠ sʰ ɯ ɦ a̠ b a̠ tʰ ɯ
아시아	a̠ ɕʰ i a̠
아시타비	a̠ː ɕʰ i tʰ a̠ b i
아실기	a̠ ɕʰ i ɭ ɡ i
아싸	a̠ s͈ a̠
아씨	a̠ː ɕ͈ i
아악	a̠ː a̠ k̚
아야	a̠ j a̠
아야겠	a̠ j a̠ ɡ e̞ t̚
아야톨라	a̠ j a̠ tʰ o̞ ɭ ɭ a̠
아연	a̠ j ʌ̹ n
아예	a̠ j e̞
아오자이	a̠ o̞ d͡ʑ a̠ i
아요	a̠ j o
아우	a̠ u
아우구스투스	a̠ u ɡ u sʰ ɯ tʰ u sʰ ɯ
아울러	a̠ u ɭ ɭ ʌ̹
아웃	a̠ u t̚
아유	a̠ j u
아이	a̠ i
아이가	a̠ i ɡ a̠
아이고	a̠ i ɡ o̞
아이누어	a̠ i n u ʌ̹
아이다	a̠ i d a̠
아이돌	a̠ i d o̞ ɭ
아이들	a̠ i d ɯ ɭ
아이디	a̠ i d i
아이디어	a̠ i d i ʌ̹
아이띠	a̠ i t͈ i
아이쇼핑	a̠ i ɕ͈ o pʰ i ŋ
아이스	a̠ i sʰ ɯ
아이스케이크	a̠ i sʰ ɯ kʰ e̞ i k x ɯ
아이스크림	a̠ i sʰ ɯ k x ɯ ɾ iː m
아이슬란드	a̠ i sʰ ɯ ɭ ɭ a̠ n d ɯ
아이슬란드어	a̠ i sʰ ɯ ɭ ɭ a̠ n d ɯ ʌ̹
아이오딘	a̠ i o̞ d i n
아이콘	a̠ i kʰ o̞ n
아이템	a̠ i tʰ e̞ m
아이티	a̠ i tʰ i
아이폰	a̠ i pʰ o̞ n
아인슈타이늄	a̠ i n ɕʰ u tʰ a̠ i ɲ j u m
아자	a̠ d͡ʑ a̠
아저씨	a̠ d͡ʑ ʌ̹ ɕ͈ i
아점	a̠ d͡ʑ ʌ̹ m
아제르바이잔	a̠ d͡ʑ e̞ ɾ ɯ b a̠ i d͡ʑ a̠ n
아제르바이잔어	a̠ d͡ʑ e̞ ɾ ɯ b a̠ i d͡ʑ a̠ n ʌ̹
아제티딘	a̠ d͡ʑ e̞ tʰ i d i n
아주	a̠ d͡ʑ u
아주머니	a̠ d͡ʑ u m ʌ̹ n i
아줄렌	a̠ d͡ʑ u ɭ ɭ e̞ n
아줌마	a̠ d͡ʑ u m m a̠
아즈바이	a̠ d͡ʑ ɯ b a̠ i
아즈텍	a̠ d͡ʑ ɯ tʰ e̞ k̚
아지	a̠ d͡ʑ i
아지트	a̠ d͡ʑ i tʰ ɯ
아직	a̠ d͡ʑ i k̚
아첨	a̠ t͡ɕʰ ʌ̹ m
아첨꾼	a̠ t͡ɕʰ ʌ̹ m k͈ u n
아첨하다	a̠ t͡ɕʰ ʌ̹ m ɦ a̠ d a̠
아체쥐	a̠ t͡ɕʰ e̞ d͡ʑ ɥ i
아침	a̠ t͡ɕʰ i m
아침놀	a̠ t͡ɕʰ i m n o̞ ɭ
아카데미	a̠ kʰ a̠ d e̞ m i
아코디언	a̠ kʰ o̞ d i ʌ̹ n
아콰리움	a̠ kʰ w a̠ ɾ i u m
아크라	a̠ k x ɯ ɾ a̠
아크리딘	a̠ k x ɯ ɾ i d i n
아테나	a̠ tʰ e̞ n a̠
아테네	a̠ tʰ e̞ n e̞
아틀리에	a̠ tʰ ɯ ʎ ʎ i e̞
아티스트	a̠ tʰ i sʰ ɯ tʰ ɯ
아티초크	a̠ tʰ i t͡ɕʰ o̞ k x ɯ
아파르트헤이트	a̠ pʰ a̠ ɾ ɯ tʰ ɯ ɦ e̞ i tʰ ɯ
아파트	a̠ pʰ a̠ tʰ ɯ
아편	a̠ pʰ j ʌ̹ n
아포스트로피	a̠ pʰ o̞ sʰ ɯ tʰ ɯ ɾ o̞ pʰ i
아폴론	a̠ pʰ o̞ ɭ ɭ o̞ n
아프가니스탄	a̠ pʰ ɯ ɡ a̠ n i sʰ ɯ tʰ a̠ n
아프다	a̠ pʰ ɯ d a̠
아프로디테	a̠ pʰ ɯ ɾ o̞ d i tʰ e̞
아프리카	a̠ pʰ ɯ ɾ i kʰ a̠
아프리칸스어	a̠ pʰ ɯ ɾ i kʰ a̠ n sʰ ɯ ʌ̹
아픔	a̠ pʰ ɯ m
아피아	a̠ pʰ i a̠
아하	a̠ ɦ a̠
아홉	a̠ β o̞ p̚
아휴	a̠ ʝ j u
아흐레	a̠ ɣ ɯ ɾ e̞
아흔	a̠ ɣ ɯ n
악	a̠ k̚
악곡	a̠ k̚ k͈ o̞ k̚
악귀	a̠ k̚ k͈ ɥ i
악단	a̠ k̚ t͈ a̠ n
악담	a̠ k̚ t͈ a̠ m
악당	a̠ k̚ t͈ a̠ ŋ
악덕	a̠ k̚ t͈ ʌ̹ k̚
악동	a̠ k̚ t͈ o̞ ŋ
악랄	a̠ ŋ n a̠ ɭ
악력	a̠ ŋ ɲ j ʌ̹ k̚
악력계	a̠ ŋ ɲ j ʌ̹ k̚ k͈ j e̞
악마	a̠ ŋ m a̠
악몽	a̠ ŋ m o̞ ŋ
악성	a̠ k s͈ ʌ̹ ŋ
악성비루스	a̠ k s͈ ʌ̹ ŋ b i ɾ u sʰ ɯ
악수	a̠ k s͈ u
악수하다	a̠ k s͈ u ɦ a̠ d a̠
악습	a̠ k s͈ ɯ p̚
악어	a̠ ɡ ʌ̹
악영향	a̠ ɡ j ʌ̹ ŋ ʝ j a̠ ŋ
악인	a̠ ɡ i n
악천후	a̠ k̚ t͡ɕʰ ʌ̹ n β u
악취	a̠ k̚ t͡ɕʰ ɥ i
악티늄	a̠ k̚ tʰ i ɲ j u m
악평	a̠ k̚ pʰ j ʌ̹ ŋ
악한	a̠ kʰ a̠ n
안	a̠ n
안경	a̠ː n ɡ j ʌ̹ ŋ
안과	a̠ː n k͈ w a̠
안구	a̠ː n ɡ u
안기다	a̠ː n ɡ i d a̠
안남	a̠ n n a̠ m
안녕	a̠ n ɲ j ʌ̹ ŋ
안녕하다	a̠ n ɲ j ʌ̹ ŋ ɦ a̠ d a̠
안녕하세요	a̠ n ɲ j ʌ̹ ŋ ɦ a̠ sʰ e̞ j o
안녕하십니까	a̠ n ɲ j ʌ̹ ŋ ɦ a̠ ɕʰ i m n i k͈ a̠
안녕히	a̠ n ɲ j ʌ̹ ŋ ʝ i
안다	a̠ː n t͈ a̠
안도라	a̠ n d o̞ ɾ a̠
안되다	a̠ n d w e̞ d a̠
안드레아	a̠ n d ɯ ɾ e̞ a̠
안드레이	a̠ n d ɯ ɾ e̞ i
안드로이드	a̠ n d ɯ ɾ o̞ i d ɯ
안뜰	a̠ n t͈ ɯ ɭ
안락사	a̠ ɭ ɭ a̠ k s͈ a̠
안락의자	a̠ ɭ ɭ a̠ ɡ ɰ i d͡ʑ a̠
안마	a̠ː n m a̠
안마당	a̠ n m a̠ d a̠ ŋ
안면승마	a̠ n m j ʌ̹ n sʰ ɯ ŋ m a̠
안목	a̠ n m o̞ k̚
안목	a̠ː n m o̞ k̚
안방	a̠ n b a̠ ŋ
안부	a̠ n b u
안성맞춤	a̠ n sʰ ʌ̹ ŋ m a̠ t̚ t͡ɕʰ u m
안습	a̠ n sʰ ɯ p̚
안심	a̠ n ɕʰ i m
안심하다	a̠ n ɕʰ i m ɦ a̠ d a̠
안와	a̠ː n w a̠
안전	a̠ ɲ d͡ʑ ʌ̹ n
안전제일	a̠ ɲ d͡ʑ ʌ̹ ɲ d͡ʑ e̞ i ɭ
안전하다	a̠ ɲ d͡ʑ ʌ̹ n ɦ a̠ d a̠
안절부절	a̠ ɲ d͡ʑ ʌ̹ ɭ b u d͡ʑ ʌ̹ ɭ
안절부절못하다	a̠ ɲ d͡ʑ ʌ̹ ɭ b u d͡ʑ ʌ̹ ɭ m o̞ tʰ a̠ d a̠
안절부절하다	a̠ ɲ d͡ʑ ʌ̹ ɭ b u d͡ʑ ʌ̹ ɾ ɦ a̠ d a̠
안정	a̠ ɲ d͡ʑ ʌ̹ ŋ
안주	a̠ ɲ d͡ʑ u
안쪽	a̠ ɲ t͡ɕ͈ o̞ k̚
안타	a̠ n tʰ a̠
안타깝다	a̠ n tʰ a̠ k͈ a̠ p̚ t͈ a̠
안타나나리보	a̠ n tʰ a̠ n a̠ n a̠ ɾ i b o̞
안테나	a̠ n tʰ e̞ n a̠
안트라센	a̠ n tʰ ɯ ɾ a̠ sʰ e̞ n
안티	a̠ n tʰ i
안티모니	a̠ n tʰ i m o̞ n i
안후이	a̠ n β u i
안휘	a̠ n ɦ ɥ i
앉다	a̠ n t͈ a̠
앉은자리	a̠ ɲ d͡ʑ ɯ ɲ d͡ʑ a̠ ɾ i
않다	a̠ n tʰ a̠
알거지	a̠ ɭ ɡ ʌ̹ d͡ʑ i
알고리즘	a̠ ɭ ɡ o̞ ɾ i d͡ʑ ɯ m
알곡	a̠ ɭ ɡ o̞ k̚
알까기	a̠ ɭ k͈ a̠ ɡ i
알다	a̠ː ɭ d a̠
알데하이드	a̠ ɭ d e̞ ɦ a̠ i d ɯ
알데히드	a̠ ɭ d e̞ ʝ i d ɯ
알라	a̠ ɭ ɭ a̠
알라딘	a̠ ɭ ɭ a̠ d i n
알락오리	a̠ ɭ ɭ a̠ ɡ o̞ ɾ i
알레고리	a̠ ɭ ɭ e̞ ɡ o̞ ɾ i
알레르기	a̠ ɭ ɭ e̞ ɾ ɯ ɡ i
알렉산드리아	a̠ ɭ ɭ e̞ k s͈ a̠ n d ɯ ɾ i a̠
알려지다	a̠ ʎ ʎ j ʌ̹ d͡ʑ i d a̠
알력	a̠ ʎ ʎ j ʌ̹ k̚
알루미늄	a̠ ɭ ɭ u m i ɲ j u m
알리고	a̠ ʎ ʎ i ɡ o̞
알리다	a̠ ʎ ʎ i d a̠
알리바바	a̠ ʎ ʎ i b a̠ b a̠
알릴기	a̠ ʎ ʎ i ɭ ɡ i
알맞다	a̠ ɭ m a̠ t̚ t͈ a̠
알바	a̠ ɭ b a̠
알바니아	a̠ ɭ b a̠ n i a̠
알바니아어	a̠ ɭ b a̠ n i a̠ ʌ̹
알밥	a̠ ɭ b a̠ p̚
알부민	a̠ ɭ b u m i n
알아듣다	a̠ ɾ a̠ d ɯ t̚ t͈ a̠
알아보다	a̠ ɾ a̠ b o̞ d a̠
알아차리다	a̠ ɾ a̠ t͡ɕʰ a̠ ɾ i d a̠
알약	a̠ ʎ ʎ j a̠ k̚
알음알음	a̠ ɾ ɯ m a̠ ɾ ɯ m
알제	a̠ ʎ d͡ʑ e̞
알제리	a̠ ʎ d͡ʑ e̞ ɾ i
알카인	a̠ ɭ kʰ a̠ i n
알칸	a̠ ɭ kʰ a̠ n
알칼로이드	a̠ ɭ kʰ a̠ ɭ ɭ o̞ i d ɯ
알칼리	a̠ ɭ kʰ a̠ ʎ ʎ i
알케인	a̠ ɭ kʰ e̞ i n
알켄	a̠ ɭ kʰ e̞ n
알코올	a̠ ɭ kʰ o̞ o̞ ɭ
알콜	a̠ ɭ kʰ o̞ ɭ
알타이	a̠ ɭ tʰ a̠ i
알파	a̠ ɭ pʰ a̠
알파벳	a̠ ɭ pʰ a̠ b e̞ t̚
알판	a̠ ɭ pʰ a̠ n
알현	a̠ ɾ ʝ j ʌ̹ n
앎	a̠ː m
앓다	a̠ ɭ tʰ a̠
앓아눕다	a̠ ɾ a̠ n u p̚ t͈ a̠
앓이	a̠ ɾ i
암	a̠ m
암	a̠ː m
암기	a̠ː m ɡ i
암기하다	a̠ː m ɡ i ɦ a̠ d a̠
암만	a̠ m m a̠ n
암말	a̠ m m a̠ ɭ
암벽	a̠ m b j ʌ̹ k̚
암살	a̠ m sʰ a̠ ɭ
암살자	a̠ː m sʰ a̠ ʎ t͡ɕ͈ a̠
암석	a̠ m sʰ ʌ̹ k̚
암소	a̠ m sʰ o̞
암순응	a̠ː m sʰ u n ɯ ŋ
암스테르담	a̠ m sʰ ɯ tʰ e̞ ɾ ɯ d a̠ m
암시	a̠ː m ɕʰ i
암실	a̠ː m ɕʰ i ɭ
암유	a̠ː m j u
암자	a̠ m d͡ʑ a̠
암초	a̠ː m t͡ɕʰ o̞
암컷	a̠ m kʰ ʌ̹ t̚
암탉	a̠ m tʰ a̠ k̚
암페어	a̠ m pʰ e̞ ʌ̹
암향	a̠ː m ʝ j a̠ ŋ
암호	a̠ː m β o̞
암흑	a̠ː m ɣ ɯ k̚
압	a̠ p̚
압도	a̠ p̚ t͈ o̞
압도하다	a̠ p̚ t͈ o̞ ɦ a̠ d a̠
압또부스	a̠ p̚ t͈ o̞ b u sʰ ɯ
압력	a̠ m ɲ j ʌ̹ k̚
압록강	a̠ m n o̞ k̚ k͈ a̠ ŋ
압록자그사니	a̠ m n o̞ k̚ t͡ɕ͈ a̠ ɡ ɯ sʰ a̠ n i
압박	a̠ p̚ p͈ a̠ k̚
압제	a̠ p̚ t͡ɕ͈ e̞
앗	a̠ t̚
았	a̠ t̚
앙골라	a̠ ŋ ɡ o̞ ɭ ɭ a̠
앙까	a̠ ŋ k͈ a̠
앙상블	a̠ ŋ sʰ a̠ ŋ b ɯ ɭ
앙숙	a̠ ŋ sʰ u k̚
앙심	a̠ ŋ ɕʰ i m
앙앙	a̠ ŋ a̠ ŋ
앙이다	a̠ ŋ i d a̠
앙카라	a̠ ŋ kʰ a̠ ɾ a̠
앙케트	a̠ ŋ kʰ e̞ tʰ ɯ
앞	a̠ p̚
앞다리	a̠ p̚ t͈ a̠ ɾ i
앞당기다	a̠ p̚ t͈ a̠ ŋ ɡ i d a̠
앞두다	a̠ p̚ t͈ u d a̠
앞뒤	a̠ p̚ t͈ ɥ i
앞면	a̠ m m j ʌ̹ n
앞서	a̠ p s͈ ʌ̹
앞서다	a̠ p s͈ ʌ̹ d a̠
앞에서	a̠ pʰ e̞ sʰ ʌ̹
앞으로	a̠ pʰ ɯ ɾ o̞
앞장서다	a̠ p̚ t͡ɕ͈ a̠ ŋ sʰ ʌ̹ d a̠
앞치마	a̠ p̚ t͡ɕʰ i m a̠
애	ɛː
애교	ɛː ɡ j o
애국심	ɛː ɡ u k ɕ͈ i m
애국자	ɛː ɡ u k̚ t͡ɕ͈ a̠
애국주의	ɛː ɡ u k̚ t͡ɕ͈ u ɰ i
애기망둑	ɛː ɡ i m a̠ ŋ d u k̚
애무	ɛː m u
애무하다	ɛː m u ɦ a̠ d a̠
애벌레	ɛː b ʌ̹ ɭ ɭ e̞
애삐리다	e̞ p͈ i ɾ i d a̠
애쓰다	ɛː s͈ ɯ d a̠
애완동물	ɛː w a̠ n d o̞ ŋ m u ɭ
애인	ɛː i n
애정	ɛː d͡ʑ ʌ̹ ŋ
애칭	ɛː t͡ɕʰ i ŋ
앵기다	ɛː ŋ ɡ i d a̠
야	j a̠
야	j a̠ː
야간	j a̠ː ɡ a̠ n
야경	j a̠ː ɡ j ʌ̹ ŋ
야곱	j a̠ ɡ o̞ p̚
야구	j a̠ː ɡ u
야구장	j a̠ː ɡ u d͡ʑ a̠ ŋ
야금야금	j a̠ ɡ ɯ m j a̠ ɡ ɯ m
야기하다	j a̠ː ɡ i ɦ a̠ d a̠
야당	j a̠ː d a̠ ŋ
야드	j a̠ d ɯ
야레	j a̠ ɾ e̞
야마토	j a̠ m a̠ tʰ o̞
야만인	j a̠ː m a̠ n i n
야망	j a̠ː m a̠ ŋ
야무수크로	j a̠ m u sʰ u k x ɯ ɾ o̞
야민정음	j a̠ m i ɲ d͡ʑ ʌ̹ ŋ ɯ m
야비하다	j a̠ː b i ɦ a̠ d a̠
야식	j a̠ː ɕʰ i k̚
야심	j a̠ː ɕʰ i m
야운데	j a̠ u n d e̞
야자	j a̠ː d͡ʑ a̠
야자나무	j a̠ː d͡ʑ a̠ n a̠ m u
야자수	j a̠ː d͡ʑ a̠ sʰ u
야자유	j a̠ː d͡ʑ a̠ j u
야차	j a̠ t͡ɕʰ a̠
야쿠자	j a̠ kʰ u d͡ʑ a̠
야쿠츠크	j a̠ kʰ u t͡ɕʰ ɯ k x ɯ
야하다	j a̠ː ɦ a̠ d a̠
야한	j a̠ː ɦ a̠ n
야회	j a̠ː β w e̞
야훼	j a̠ β w e̞
약	j a̠ k̚
약간	j a̠ k̚ k͈ a̠ n
약국	j a̠ k̚ k͈ u k̚
약도	j a̠ k̚ t͈ o̞
약력	j a̠ ŋ ɲ j ʌ̹ k̚
약리학	j a̠ ŋ n i ɦ a̠ k̚
약물	j a̠ ŋ m u ɭ
약사	j a̠ k s͈ a̠
약속	j a̠ k s͈ o̞ k̚
약속하다	j a̠ k s͈ o̞ kʰ a̠ d a̠
약식	j a̠ k ɕ͈ i k̚
약실	j a̠ k ɕ͈ i ɭ
약어	j a̠ ɡ ʌ̹
약자	j a̠ k̚ t͡ɕ͈ a̠
약점	j a̠ k̚ t͡ɕ͈ ʌ̹ m
약주	j a̠ k̚ t͡ɕ͈ u
약칭	j a̠ k̚ t͡ɕʰ i ŋ
약탈	j a̠ k̚ tʰ a̠ ɭ
약품	j a̠ k̚ pʰ u m
약하다	j a̠ kʰ a̠ d a̠
약학	j a̠ kʰ a̠ k̚
약혼	j a̠ kʰ o̞ n
약혼녀	j a̠ kʰ o̞ n ɲ j ʌ̹
약혼자	j a̠ kʰ o̞ ɲ d͡ʑ a̠
얇다	j a̠ː ɭ t͈ a̠
얌차	j a̠ m t͡ɕʰ a̠
양	j a̠ ŋ
양곤	j a̠ ŋ ɡ o̞ n
양국	j a̠ ŋ ɡ u k̚
양귀비	j a̠ ŋ ɡ ɥ i b i
양귀자	j a̠ ŋ ɡ ɥ i d͡ʑ a̠
양금	j a̠ ŋ ɡ ɯ m
양념	j a̠ ŋ ɲ j ʌ̹ m
양놈	j a̠ ŋ n o̞ m
양다리	j a̠ ŋ d a̠ ɾ i
양동이	j a̠ ŋ d o̞ ŋ i
양력	j a̠ ŋ ɲ j ʌ̹ k̚
양로원	j a̠ː ŋ n o̞ w ʌ̹ n
양말	j a̠ ŋ m a̠ ɭ
양면	j a̠ ŋ m j ʌ̹ n
양모	j a̠ ŋ m o̞
양반	j a̠ ŋ b a̠ n
양복	j a̠ ŋ b o̞ k̚
양봉	j a̠ː ŋ b o̞ ŋ
양봉가	j a̠ː ŋ b o̞ ŋ ɡ a̠
양상	j a̠ ŋ sʰ a̠ ŋ
양서류	j a̠ː ŋ sʰ ʌ̹ ɾ j u
양성	j a̠ ŋ sʰ ʌ̹ ŋ
양성자	j a̠ ŋ sʰ ʌ̹ ŋ d͡ʑ a̠
양수사	j a̠ ŋ sʰ u sʰ a̠
양식	j a̠ ŋ ɕʰ i k̚
양심	j a̠ ŋ ɕʰ i m
양우	j a̠ ŋ u
양유	j a̠ ŋ j u
양자	j a̠ ŋ d͡ʑ a̠
양자역학	j a̠ ŋ d͡ʑ a̠ j ʌ̹ kʰ a̠ k̚
양자전기역학	j a̠ ŋ d͡ʑ a̠ d͡ʑ ʌ̹ n ɡ i j ʌ̹ kʰ a̠ k̚
양조장	j a̠ː ŋ d͡ʑ o̞ d͡ʑ a̠ ŋ
양주	j a̠ ŋ d͡ʑ u
양즈	j a̠ ŋ d͡ʑ ɯ
양쪽	j a̠ː ŋ t͡ɕ͈ o̞ k̚
양초	j a̠ ŋ t͡ɕʰ o̞
양치	j a̠ ŋ t͡ɕʰ i
양탄자	j a̠ ŋ tʰ a̠ ɲ d͡ʑ a̠
양파	j a̠ ŋ pʰ a̠
양피지	j a̠ ŋ pʰ i d͡ʑ i
양하	j a̠ ŋ ɦ a̠
얕다	j a̠ t̚ t͈ a̠
얕보다	j a̠ t̚ p͈ o̞ d a̠
얕잡다	j a̠ t̚ t͡ɕ͈ a̠ p̚ t͈ a̠
얘기	j ɛː ɡ i
얘기하다	j ɛː ɡ i ɦ a̠ d a̠
어	ʌ̹
어간	ɘː ɡ a̠ n
어감	ɘː ɡ a̠ m
어구	ɘː ɡ u
어그러지다	ʌ̹ ɡ ɯ ɾ ʌ̹ d͡ʑ i d a̠
