aa	ɑː
metelöinti	m e t e l ø i̯ n t i
meteori	m e t e o r i
meteoriitti	m e t e o r iː tː i
meteoroidi	m e t e o r o i̯ d i
metioniinisyntaasi	m e t i o n iː n i s y n t ɑː s i
metionyyli	m e t i o n yː l i
metkasti	m e t k ɑ s t iˣ
metkuilla	m e t k u i̯ lː ɑˣ
metodisesti	m e t o d i s e s t iˣ
metodismi	m e t o d i s m i
metri	m e t r i
metrijärjestelmä	m e t r i j æ r j e s t e l m æ
metris	m e t r i s
metristys	m e t r i s t y s
metristyvä	m e t r i s t y ʋ æ
metro	m e t r o
metroasema	m e t r o ɑ s e m ɑ
metroliikenne	m e t r o l iː k e nː eˣ
metrolinja	m e t r o l i n j ɑ
metrologi	m e t r o l o ɡ i
metrolta	m e t r o l t ɑ
metrorata	m e t r o r ɑ t ɑ
metrotunneli	m e t r o t u nː e l i
metrovaunu	m e t r o ʋ ɑ u̯ n u
metsikkökuvio	m e t s i kː ø k u ʋ i o
metsittäminen	m e t s i tː æ m i n e n
metso	m e t s o
metsokukko	m e t s o k u kː o
metsä	m e t s æ
metsäala	m e t s æ ɑ l ɑ
metsäalue	m e t s æ ɑ l u eˣ
metsäaukio	m e t s æ ɑ u k i o
metsäautotie	m e t s æ ɑ u t o t i e̯
metsäenergia	m e t s æ e n e r ɡ i ɑ
metsähiiri	m e t s æ h iː r i
metsäkaarti	m e t s æ k ɑː r t i
metsäkaartilainen	m e t s æ k ɑː r t i l ɑ i̯ n e n
metsäkato	m e t s æ k ɑ t o
metsäkirvinen	m e t s æ k i r ʋ i n e n
metsäkorte	m e t s æ k o r t eˣ
metsäkurjenpolvi	m e t s æ k u r j e n p o l ʋ i
metsäkämppä	m e t s æ k æ m pː æ
metsälainsäädäntö	m e t s æ l ɑ i̯ n s æː d æ n t ø
metsälaki	m e t s æ l ɑ k i
metsälappalainen	m e t s æ l ɑ pː ɑ l ɑ i̯ n e n
metsämaa	m e t s æ m ɑː
metsämänty	m e t s æ m æ n t y
metsäneuvos	m e t s æ n e u̯ ʋ o s
metsänhoidollisesti	m e t s æ n h o i̯ d o lː i s e s t iˣ
metsänhoitotiede	m e t s æ n h o i̯ t o t i e̯ d eˣ
metsänhoitotyö	m e t s æ n h o i̯ t o t y ø̯
metsänkaato	m e t s æ n k ɑː t o
metsäntutkimus	m e t s æ n t u t k i m u s
metsänviljely	m e t s æ n ʋ i l j e l y
metsäpalo	m e t s æ p ɑ l o
metsäpalsta	m e t s æ p ɑ l s t ɑ
metsäpolku	m e t s æ p o l k u
metsärikas	m e t s æ r i k ɑ s
metsäsertifiointi	m e t s æ s e r t i f i o i̯ n t i
metsäsopuli	m e t s æ s o p u l i
metsästellä	m e t s æ s t e lː æˣ
metsästyshaukka	m e t s æ s t y s h ɑ u̯ kː ɑ
metsästyskortti	m e t s æ s t y s k o r tː i
metsästyslupa	m e t s æ s t y s l u p ɑ
metsästysseura	m e t s æ s t y s s e u̯ r ɑ
metsästäjänpihvi	m e t s æ s t æ j æ n p i h ʋ i
metsäsuunnittelu	m e t s æ s uː nː i tː e l u
metsätalousinsinööri	m e t s æ t ɑ l o u s i n s i n øː r i
metsätalousneuvos	m e t s æ t ɑ l o u s n e u̯ ʋ o s
metsätaloustiede	m e t s æ t ɑ l o u s t i e̯ d eˣ
metsätie	m e t s æ t i e̯
metsätila	m e t s æ t i l ɑ
metsätilanomistaja	m e t s æ t i l ɑ n o m i s t ɑ j ɑ
metsätulot	m e t s æ t u l o t
metsätuomi	m e t s æ t u o̯ m i
metsätyö	m e t s æ t y ø̯
metsätyöväline	m e t s æ t y ø̯ ʋ æ l i n eˣ
metsätähti	m e t s æ t æ h t i
metsävarat	m e t s æ ʋ ɑ r ɑ t
metsäyhtiö	m e t s æ y h t i ø
metsäympäristö	m e t s æ y m p æ r i s t ø
mette	m e tː e
metvursti	m eː t ʋ u r s t i
metyyliesteri	m e t yː l i e s t e r i
mezzoforte	m e t s o f o r tː e
mezzopiano	m e t s o p i ɑ n o
meänkieli	m e æ ŋ k i e l i
meänkielinen	m e æ ŋ k i e l i n e n
mi	m i
miami	m ɑ i̯ ɑ m i
miau	m i ɑ u
michigan	m i ʃ i ɡ ɑ n
mie	m i e̯
miedontaa	m i e̯ d o n t ɑː
miedontaa	m i e̯ d o n t ɑːˣ
miedontua	m i e̯ d o n t u ɑˣ
miedosti	m i e̯ d o s t iˣ
miehelä	m i e̯ h e l æ
miehennimi	m i e̯ h e n n i m i
miehevästi	m i e̯ h e ʋ æ s t iˣ
mieheys	m i e̯ h e y s
miehikkälä	m i e̯ h i kː æ l æ
miehikkäläinen	m i e̯ h i kː æ l æ i̯ n e n
miehikkäläläinen	m i e̯ h i kː æ l æ l æ i̯ n e n
miehistö	m i e̯ h i s t ø
miehistönkuljetusalus	m i e̯ h i s t ø n k u l j e t u s ɑ l u s
miehittyä	m i e̯ h i tː y æˣ
miehittäjä	m i e̯ h i tː æ j æ
miehittämätön	m i e̯ h i tː æ m æ t ø n
miehittää	m i e̯ h i tː æː
miehittää	m i e̯ h i tː æːˣ
miehitys	m i e̯ h i t y s
miehitysarmeija	m i e̯ h i t y s ɑ r m e i̯ j ɑ
miehuullinen	m i e̯ h uː lː i n e n
miehuullisesti	m i e̯ h uː lː i s e s t iˣ
miehyys	m i e̯ h yː s
miekanhiontakivi	m i e̯ k ɑ n h i o n t ɑ k i ʋ i
miekka	m i e̯ kː ɑ
miekkailla	m i e̯ kː ɑ i̯ lː ɑˣ
miekkalilja	m i e̯ kː ɑ l i l j ɑ
miekkavalas	m i e̯ kː ɑ ʋ ɑ l ɑ s
miekkonen	m i e̯ kː o n e n
mieleen	m i e̯ l eː n
mielekäs	m i e̯ l e k æ s
mielellään	m i e̯ l e lː æː n
mieleltään	m i e̯ l e l t æː n
mielenfilosofia	m i e̯ l e n f i l o s o f i ɑ
mielenhäiriö	m i e̯ l e n h æ i̯ r i ø
mielenilmaisu	m i e̯ l e n i l m ɑ i̯ s u
mielenilmaus	m i e̯ l e n i l m ɑ u s
mielenkiinnoton	m i e̯ l e n k iː nː o t o n
mielenkiinnottomasti	m i e̯ l e n k iː nː o tː o m ɑ s t iˣ
mielenkiinto	m i e̯ l e n k iː n t o
mielenlaatu	m i e̯ l e n l ɑː t u
mielenliikutus	m i e̯ l e n l iː k u t u s
mielenosoituksellisesti	m i e̯ l e n o s o i̯ t u k s e lː i s e s t iˣ
mielenosoitus	m i e̯ l e n o s o i̯ t u s
mielensäpahoittaja	m i e̯ l e n s æ p ɑ h o i̯ tː ɑ j ɑ
mielensäpahoittaja	m i e̯ l e n s æˣ p ɑ h o i̯ tː ɑ j ɑ
mielenterveydellinen	m i e̯ l e n t e r ʋ e y d e lː i n e n
mielenterveydellisesti	m i e̯ l e n t e r ʋ e y d e lː i s e s t iˣ
mielenterveys	m i e̯ l e n t e r ʋ e y s
mielenterveystoimisto	m i e̯ l e n t e r ʋ e y s t o i̯ m i s t o
mielenterveystyö	m i e̯ l e n t e r ʋ e y s t y ø̯
mielentilatutkimus	m i e̯ l e n t i l ɑ t u t k i m u s
mielestä	m i e̯ l e s t æ
mielettä	m i e̯ l e tː æ
mieletön	m i e̯ l e t ø n
mielevä	m i e̯ l e ʋ æ
mielevästi	m i e̯ l e ʋ æ s t iˣ
mieli	m i e̯ l i
mieli	m i e̯ l iˣ
mielihyvin	m i e̯ l i h y ʋ i n
mieliin	m i e̯ l iː n
mielijohde	m i e̯ l i j o h d eˣ
mielikki	m i e̯ l i kː i
mielikseen	m i e̯ l i k s eː n
mielikuvakartta	m i e̯ l i k u ʋ ɑ k ɑ r tː ɑ
mielikuvamaailma	m i e̯ l i k u ʋ ɑ m ɑː i l m ɑ
mielikuvituksekkaasti	m i e̯ l i k u ʋ i t u k s e kː ɑː s t iˣ
mielikuvitukseton	m i e̯ l i k u ʋ i t u k s e t o n
mielikuvitus	m i e̯ l i k u ʋ i t u s
mielikuvitusleikki	m i e̯ l i k u ʋ i t u s l e i̯ kː i
mielikuvitusystävä	m i e̯ l i k u ʋ i t u s y s t æ ʋ æ
mielinkielin	m i e̯ l i ŋ k i e l i n
mielipideilmasto	m i e̯ l i p i d eˣ i l m ɑ s t o
mielipidekirjoitus	m i e̯ l i p i d eˣ k i r j o i̯ t u s
mielipidesivu	m i e̯ l i p i d eˣ s i ʋ u
mielipidetutkimus	m i e̯ l i p i d eˣ t u t k i m u s
mieliruoka	m i e̯ l i r u o̯ k ɑ
mielisairaalahoito	m i e̯ l i s ɑ i̯ r ɑː l ɑ h o i̯ t o
mielisairas	m i e̯ l i s ɑ i̯ r ɑ s
mielissään	m i e̯ l i sː æː n
mielistely	m i e̯ l i s t e l y
mielistyä	m i e̯ l i s t y æˣ
mielitellä	m i e̯ l i t e lː æˣ
mielitty	m i e̯ l i tː y
mielityö	m i e̯ l i t y ø̯
mielle	m i e̯ lː eˣ
miellekartta	m i e̯ lː eˣ k ɑ r tː ɑ
miellyttäminen	m i e̯ lː y tː æ m i n e n
miellyttävästi	m i e̯ lː y tː æ ʋ æ s t iˣ
mieltyminen	m i e̯ l t y m i n e n
mieltyä	m i e̯ l t y æˣ
mieltää	m i e̯ l t æː
mieltää	m i e̯ l t æːˣ
mieluinen	m i e̯ l u i̯ n e n
mieluisasti	m i e̯ l u i̯ s ɑ s t iˣ
mieluisesti	m i e̯ l u i̯ s e s t iˣ
mies	m i e̯ s
miesasia	m i e̯ s ɑ s i ɑ
mieshenkilö	m i e̯ s h e ŋ k i l ø
mieskohtaisesti	m i e̯ s k o h t ɑ i̯ s e s t iˣ
mieskunto	m i e̯ s k u n t o
mieskuoro	m i e̯ s k u o̯ r o
miesleski	m i e̯ s l e s k i
mieslukuisesti	m i e̯ s l u k u i̯ s e s t iˣ
miesmurha	m i e̯ s m u r h ɑ
miesmäisesti	m i e̯ s m æ i̯ s e s t iˣ
miesopettaja	m i e̯ s o p e tː ɑ j ɑ
miespiha	m i e̯ s p i h ɑ
miespuolinen	m i e̯ s p u o̯ l i n e n
miessukupuoli	m i e̯ s s u k u p u o̯ l i
miestappo	m i e̯ s t ɑ pː o
miestenlehti	m i e̯ s t e n l e h t i
miestyöpäivä	m i e̯ s t y ø̯ p æ i̯ ʋ æ
miestyövoima	m i e̯ s t y ø̯ ʋ o i̯ m ɑ
miesvihaaja	m i e̯ s ʋ i h ɑː j ɑ
miesvoima	m i e̯ s ʋ o i̯ m ɑ
miesväki	m i e̯ s ʋ æ k i
miesystävä	m i e̯ s y s t æ ʋ æ
miesääni	m i e̯ s æː n i
miete	m i e̯ t eˣ
mietityttää	m i e̯ t i t y tː æːˣ
mieto	m i e̯ t o
mietous	m i e̯ t o u s
mietteliäästi	m i e̯ tː e l i æː s t iˣ
miettiminen	m i e̯ tː i m i n e n
miettinen	m i e̯ tː i n e n
miettiväisesti	m i e̯ tː i ʋ æ i̯ s e s t iˣ
miettiä	m i e̯ tː i æˣ
migreeni	m i ɡ r eː n i
migreenikohtaus	m i ɡ r eː n i k o h t ɑ u s
mihinkin	m i h i ŋ k i n
mihinkään	m i h i ŋ k æː n
miia	m iː ɑ
miika	m iː k ɑ
miikka	m iː kː ɑ
miilu	m iː l u
miilunpoltto	m iː l u n p o l tː o
miimisesti	m iː m i s e s t iˣ
miina	m iː n ɑ
miinaharava	m iː n ɑ h ɑ r ɑ ʋ ɑ
miinanraivaus	m iː n ɑ n r ɑ i̯ ʋ ɑ u s
miinata	m iː n ɑ t ɑˣ
miinavene	m iː n ɑ ʋ e n eˣ
miinuslasit	m iː n u s l ɑ s i t
miinusmerkki	m iː n u s m e r kː i
miisa	m iː s ɑ
miitinki	m iː t i ŋ k i
miitti	m iː tː i
mika	m i k ɑ
mikael	m i k ɑ e l
mikaela	m i k ɑ e l ɑ
mikin	m i k i n
mikkeli	m i kː e l i
mikkeliläinen	m i kː e l i l æ i̯ n e n
mikkelinpäivä	m i kː e l i n p æ i̯ ʋ æ
mikki	m i kː i
mikko	m i kː o
mikkola	m i kː o l ɑ
mikkonen	m i kː o n e n
miko	m i k o
mikro	m i k r o
mikroaalto	m i k r o ɑː l t o
mikroaaltouuni	m i k r o ɑː l t o uː n i
mikroateria	m i k r o ɑ t e r i ɑ
mikrobiekologi	m i k r o b i e k o l o ɡ i
mikrobiekologia	m i k r o b i e k o l o ɡ i ɑ
mikrobilääke	m i k r o b i l æː k eˣ
mikrobiomi	m i k r o b i o m i
mikrofilamentti	m i k r o f i l ɑ m e n tː i
mikrofluidistiikka	m i k r o f l u i̯ d i s t iː kː ɑ
mikrofoni	m i k r o f o n i
mikrokoodi	m i k r o k oː d i
mikrokortti	m i k r o k o r tː i
mikrokuituliina	m i k r o k u i̯ t u l iː n ɑ
mikrokäsky	m i k r o k æ s k y
mikrosekunti	m i k r o s e k u n tː i
mikroskooppi	m i k r o s k oː pː i
mikrosortsit	m i k r o s o r t s i t
mikroteknologia	m i k r o t e k n o l o ɡ i ɑ
mikrotietokone	m i k r o t i e̯ t o k o n eˣ
mikrotubulus	m i k r o t u b u l u s
mikrotukihenkilö	m i k r o t u k i h e ŋ k i l ø
mikrouuni	m i k r o uː n i
mikrovalmistus	m i k r o ʋ ɑ l m i s t u s
miksata	m i k s ɑ t ɑˣ
miksaus	m i k s ɑ u s
miksi	m i k s i
miksolyydinen	m i k s o l yː d i n e n
miksotrofia	m i k s o t r o f i ɑ
mikä	m i k æ
mikäkin	m i k æ k i n
mikään	m i k æː n
mila	m i l ɑ
miliaarinen	m i l i ɑː r i n e n
militaarinen	m i l i t ɑː r i n e n
militarisoida	m i l i t ɑ r i s o i̯ d ɑˣ
militarisoitua	m i l i t ɑ r i s o i̯ t u ɑˣ
militääri	m i l i t æː r i
milja	m i l j ɑ
miljardis	m i l j ɑ r d i s
miljoonainen	m i l j oː n ɑ i̯ n e n
miljoonakala	m i l j oː n ɑ k ɑ l ɑ
miljoonakaupunki	m i l j oː n ɑ k ɑ u̯ p u ŋ k i
miljoonakutoja	m i l j oː n ɑ k u t o j ɑ
miljoonalaatikko	m i l j oː n ɑ l ɑː t i kː o
miljoonapalo	m i l j oː n ɑ p ɑ l o
miljoonasosa	m i l j oː n ɑ s o s ɑ
miljoonikko	m i l j oː n i kː o
miljöö	m i l j øː
miljöökuvaus	m i l j øː k u ʋ ɑ u s
milka	m i l k ɑ
milla	m i lː ɑ
millainen	m i lː ɑ i̯ n e n
milletinpäästäinen	m i lː e t i n p æː s t æ i̯ n e n
milliampeeri	m i lː i ɑ m p eː r i
milliampeeri	m i lː i ɑ m pː eː r i
millikaarisekunti	m i lː i k ɑː r i s e k u n tː i
millisekunti	m i lː i s e k u n tː i
milloinka	m i lː o i̯ ŋ k ɑ
milloinkin	m i lː o i̯ ŋ k i n
millänsäkään	m i lː æ n s æ k æː n
milläänkään	m i lː æː ŋ k æː n
mimmi	m i mː i
mimmoinen	m i mː o i̯ n e n
mimoosamainen	m i m oː s ɑ m ɑ i̯ n e n
mimosa	m i m o s ɑ
mina	m i n ɑ
minariini	m i n ɑ r iː n i
mindanaonrotta	m i n d ɑ n ɑ o n r o tː ɑ
mindanaonrottasiili	m i n d ɑ n ɑ o n r o tː ɑ s iː l i
minea	m i n e ɑ
mineraali	m i n e r ɑː l i
mineraaliesiintymä	m i n e r ɑː l i e s iː n t y m æ
mineraalikuitu	m i n e r ɑː l i k u i̯ t u
mineraalinen	m i n e r ɑː l i n e n
mineraalipitoinen	m i n e r ɑː l i p i t o i̯ n e n
mineraalisuola	m i n e r ɑː l i s u o̯ l ɑ
mineraalivilla	m i n e r ɑː l i ʋ i lː ɑ
mineralisaatio	m i n e r ɑ l i s ɑː t i o
mineralisoitua	m i n e r ɑ l i s o i̯ t u ɑˣ
mineralogi	m i n e r ɑ l o ɡ i
minestronekeitto	m i n e s t r o n e k e i̯ tː o
mingreli	m i ŋ r e l i
miniatyyrikoko	m i n i ɑ t yː r i k o k o
miniatyyrikokoinen	m i n i ɑ t yː r i k o k o i̯ n e n
minimaalisesti	m i n i m ɑː l i s e s t iˣ
minimiarvo	m i n i m i ɑ r ʋ o
minimikoko	m i n i m i k o k o
minimimäärä	m i n i m i m æː r æ
minimipari	m i n i m i p ɑ r i
minimipolynomi	m i n i m i p o l y n o m i
minimisoiminen	m i n i m i s o i̯ m i n e n
minimivarianssi	m i n i m i ʋ ɑ r i ɑ n sː i
minipilleri	m i n i p i lː e r i
ministeri	m i n i s t e r i
ministerikausi	m i n i s t e r i k ɑ u̯ s i
ministeriö	m i n i s t e r i ø
minitietokone	m i n i t i e̯ t o k o n eˣ
minitopologia	m i n i t o p o l o ɡ i ɑ
miniä	m i n i æ
minja	m i n j ɑ
minkki	m i ŋ kː i
minkäkokoinen	m i ŋ k æ k o k o i̯ n e n
minkälainen	m i ŋ k æ l ɑ i̯ n e n
minkäluonteinen	m i ŋ k æ l u o̯ n t e i̯ n e n
minkämaalainen	m i ŋ k æ m ɑː l ɑ i̯ n e n
minkämakuinen	m i ŋ k æ m ɑ k u i̯ n e n
minkäniminen	m i ŋ k æ n i m i n e n
minkänäköinen	m i ŋ k æ n æ k ø i̯ n e n
minkävärinen	m i ŋ k æ ʋ æ r i n e n
minna	m i nː ɑ
minnekin	m i nː eˣ k i n
minnekä	m i nː eˣ k æ
minnekään	m i nː eˣ k æː n
minnesota	m i nː e s o t ɑ
minolainen	m i n o l ɑ i̯ n e n
minori	m i n o r i
minttu	m i n tː u
minttujäätelö	m i n tː u j æː t e l ø
minttukastike	m i n tː u k ɑ s t i k eˣ
minttusuklaa	m i n tː u s u k l ɑː
minttutee	m i n tː u t eː
mintunvihreä	m i n t u n ʋ i h r e æ
minua	m i n u ɑ
minuksi	m i n u k s i
minulla	m i n u lː ɑ
minulle	m i n u lː eˣ
minulta	m i n u l t ɑ
minuna	m i n u n ɑ
minunlaiseni	m i n u n l ɑ i̯ s e n i
minussa	m i n u sː ɑ
minusta	m i n u s t ɑ
minut	m i n u t
minutta	m i n u tː ɑ
minuun	m i n uː n
minuuteittain	m i n uː t e i̯ tː ɑ i̯ n
minuutilleen	m i n uː t i lː eː n
minuutti	m i n uː tː i
minä	m i n æ
minäkin	m i n æ k i n
minäkäsitys	m i n æ k æ s i t y s
minämuoto	m i n æ m u o̯ t o
mira	m i r ɑ
miraakkeli	m i r ɑː kː e l i
mirakuliini	m i r ɑ k u l iː n i
miratiivi	m i r ɑ t iː ʋ i
mirhami	m i r h ɑ m i
mirhanvuodattaja	m i r h ɑ n ʋ u o̯ d ɑ tː ɑ j ɑ
mirja	m i r j ɑ
mirjam	m i r j ɑ m
mirjami	m i r j ɑ m i
mirka	m i r k ɑ
mirri	m i rː i
mirva	m i r ʋ ɑ
misandria	m i s ɑ n d r i ɑ
miselli	m i s e lː i
miska	m i s k ɑ
misogyyninen	m i s o ɡ yː n i n e n
mispeli	m i s p e l i
missi	m i sː i
missiologi	m i sː i o l o ɡ i
mississippi	m i s i s i p i
mississippi	m i s i s i pː i
mississippi	m i sː i s i p i
mississippi	m i sː i s i pː i
mississippi	m i sː i sː i pː i
missivuosi	m i sː i ʋ u o̯ s i
missouri	m i sː uː r i
missä	m i sː æ
mistäkin	m i s t æ k i n
misu	m i s u
mitalijuhla	m i t ɑ l i j u h l ɑ
mitalitaide	m i t ɑ l i t ɑ i̯ d eˣ
mitallisuus	m i t ɑ lː i s uː s
mitata	m i t ɑ t ɑˣ
mitenkin	m i t e ŋ k i n
mitoittaminen	m i t o i̯ tː ɑ m i n e n
mitoitus	m i t o i̯ t u s
mitoottinen	m i t oː tː i n e n
mitoottisesti	m i t oː tː i s e s t iˣ
mitta	m i tː ɑ
mittaaja	m i tː ɑː j ɑ
mittaamaton	m i tː ɑː m ɑ t o n
mittaaminen	m i tː ɑː m i n e n
mittainen	m i tː ɑ i̯ n e n
mittakello	m i tː ɑ k e lː o
mittakenttä	m i tː ɑ k e n tː æ
mittakeppi	m i tː ɑ k e pː i
mittalaite	m i tː ɑ l ɑ i̯ t eˣ
mittalasi	m i tː ɑ l ɑ s i
mittaliuos	m i tː ɑ l i u̯ o s
mittaluku	m i tː ɑ l u k u
mittalusikka	m i tː ɑ l u s i kː ɑ
mittapiirustus	m i tː ɑ p iː r u s t u s
mittari	m i tː ɑ r i
mittariauto	m i tː ɑ r i ɑ u t o
mittarilento	m i tː ɑ r i l e n t o
mittarimato	m i tː ɑ r i m ɑ t o
mittaristo	m i tː ɑ r i s t o
mittasakset	m i tː ɑ s ɑ k s e t
mittatilaustyö	m i tː ɑ t i l ɑ u s t y ø̯
mittatoleranssi	m i tː ɑ t o l e r ɑ n sː i
mittatyö	m i tː ɑ t y ø̯
mittauslaite	m i tː ɑ u s l ɑ i̯ t eˣ
mittausoppi	m i tː ɑ u s o pː i
mittaustekniikka	m i tː ɑ u s t e k n iː kː ɑ
mittausväline	m i tː ɑ u s ʋ æ l i n eˣ
mittauttaa	m i tː ɑ u tː ɑːˣ
mittaväline	m i tː ɑ ʋ æ l i n eˣ
mittelö	m i tː e l ø
mitättömyys	m i t æ tː ø m yː s
mitätöidä	m i t æ t ø i̯ d æˣ
mitätöinti	m i t æ t ø i̯ n t i
mitätöntyä	m i t æ t ø n t y æˣ
mitäänsanomaton	m i t æː n s ɑ n o m ɑ t o n
moa	m oː ɑ
moaree	m o ɑ r eː
moat	m o ɑ t
moat	m oː ɑ t
mobiili	m o b iː l i
mobiiliverkko	m o b iː l i ʋ e r kː o
mobile	m o b i l e
mobile	m o b i l eˣ
mobilisoida	m o b i l i s o i̯ d ɑˣ
modaalilogiikka	m o d ɑː l i l o ɡ iː kː ɑ
modaalirakenne	m o d ɑː l i r ɑ k e nː eˣ
modalismi	m o d ɑ l i s m i
modata	m o d ɑ t ɑˣ
modeemi	m o d eː m i
modernisoida	m o d e r n i s o i̯ d ɑˣ
modernisoitua	m o d e r n i s o i̯ t u ɑˣ
modernisti	m o d e r n i s t i
modi	m o d i
modulaariaritmetiikka	m o d u l ɑː r i ɑ r i t m e t iː kː ɑ
modulimuoto	m o d u l i m u o̯ t o
moduloida	m o d u l o i̯ d ɑˣ
moduuli	m o d uː l i
mohikaani	m o h i k ɑː n i
moi	m o i̯
moikata	m o i̯ k ɑ t ɑˣ
moikkaaminen	m o i̯ kː ɑː m i n e n
moikua	m o i̯ k u ɑˣ
moilanen	m o i̯ l ɑ n e n
moinen	m o i̯ n e n
moiré	m o ɑ r eː
moiskahtaa	m o i̯ s k ɑ h t ɑːˣ
moiskauttaa	m o i̯ s k ɑ u tː ɑːˣ
moitiskella	m o i̯ t i s k e lː ɑˣ
moitittava	m o i̯ t i tː ɑ ʋ ɑ
moitittavasti	m o i̯ t i tː ɑ ʋ ɑ s t iˣ
moitteeton	m o i̯ tː eː t o n
moitteettomasti	m o i̯ tː eː tː o m ɑ s t iˣ
moittia	m o i̯ tː i ɑˣ
moittiminen	m o i̯ tː i m i n e n
moittiva	m o i̯ tː i ʋ ɑ
moittivasti	m o i̯ tː i ʋ ɑ s t iˣ
mojahtaa	m o j ɑ h t ɑːˣ
mojito	m o h i t o
mokaaminen	m o k ɑː m i n e n
moketti	m o k e tː i
mokka	m o kː ɑ
mokkaharja	m o kː ɑ h ɑ r j ɑ
mokkatakki	m o kː ɑ t ɑ kː i
mokoma	m o k o m ɑ
moksahtaa	m o k s ɑ h t ɑːˣ
moksauttaa	m o k s ɑ u tː ɑːˣ
moksibustio	m o k s i b u s t i o
moksiskaan	m o k s i s k ɑː n
moku	m o k u
mokšamordvalainen	m o k ʃ ɑ m o r d ʋ ɑ l ɑ i̯ n e n
molaalisuus	m o l ɑː l i s uː s
molaari	m o l ɑː r i
molaarinen	m o l ɑː r i n e n
molassi	m o l ɑ sː i
molekulaarisuus	m o l e k u l ɑː r i s uː s
molekyyli	m o l e k yː l i
molekyylibiologi	m o l e k yː l i b i o l o ɡ i
molekyylidynamiikka	m o l e k yː l i d y n ɑ m iː kː ɑ
molekyyligeometria	m o l e k yː l i ɡ e o m e t r i ɑ
molekyylikaava	m o l e k yː l i k ɑː ʋ ɑ
molekyyliorbitaali	m o l e k yː l i o r b i t ɑː l i
molekyylisuihku	m o l e k yː l i s u i̯ h k u
molekyylivoima	m o l e k yː l i ʋ o i̯ m ɑ
molemminpuolinen	m o l e mː i n p u o̯ l i n e n
molempi	m o l e m p i
molli	m o lː i
mollisointu	m o lː i s o i̯ n t u
mollottaa	m o lː o tː ɑːˣ
molluska	m o lː u s k ɑ
molotov	m o l o t o ʋ
molskahdella	m o l s k ɑ h d e lː ɑˣ
molskauttaa	m o l s k ɑ u tː ɑːˣ
molski	m o l s k i
molski	m o l s k iˣ
molskia	m o l s k i ɑˣ
molva	m o l ʋ ɑ
molybdeeni	m o l y b d eː n i
momentti	m o m e n tː i
momenttiemäfunktio	m o m e n tː i e m æ f u ŋ k t i o
mones	m o n e s
monesko	m o n e s k o
monetaristi	m o n e t ɑ r i s t i
mongertaa	m o ŋː e r t ɑː
mongertaa	m o ŋː e r t ɑːˣ
mongolia	m o ŋː o l i ɑ
mongolianlokki	m o ŋː o l i ɑ n l o kː i
mongolilainen	m o ŋː o l i l ɑ i̯ n e n
moni	m o n i
moniaalla	m o n i ɑː lː ɑ
moniaalle	m o n i ɑː lː eˣ
moniaalta	m o n i ɑː l t ɑ
moniajaa	m o n i ɑ j ɑːˣ
monialaistua	m o n i ɑ l ɑ i̯ s t u ɑˣ
moniarvoinen	m o n i ɑ r ʋ o i̯ n e n
monielinvaurio	m o n i e l i n ʋ ɑ u̯ r i o
monihuippuinen	m o n i h u i̯ pː u i̯ n e n
monijärvinen	m o n i j æ r ʋ i n e n
monikerroslevy	m o n i k e rː o s l e ʋ y
monikko	m o n i kː o
monikäyttöauto	m o n i k æ y̯ tː ø ɑ u t o
monilukuinen	m o n i l u k u i̯ n e n
monilukuisesti	m o n i l u k u i̯ s e s t iˣ
monimielinen	m o n i m i e̯ l i n e n
monimielisesti	m o n i m i e̯ l i s e s t iˣ
monimuotoisuus	m o n i m u o̯ t o i̯ s uː s
monimuuttujaregressioanalyysi	m o n i m uː tː u j ɑ r e ɡ r e sː i o ɑ n ɑ l yː s i
moninainen	m o n i n ɑ i̯ n e n
moninaiskäyttö	m o n i n ɑ i̯ s k æ y̯ tː ø
moninkertaisesti	m o n i n k e r t ɑ i̯ s e s t iˣ
moninkertaistaa	m o n i n k e r t ɑ i̯ s t ɑːˣ
moninkertaistua	m o n i n k e r t ɑ i̯ s t u ɑˣ
monipuolinen	m o n i p u o̯ l i n e n
monisanainen	m o n i s ɑ n ɑ i̯ n e n
monisanaisesti	m o n i s ɑ n ɑ i̯ s e s t iˣ
monisatakertainen	m o n i s ɑ t ɑ k e r t ɑ i̯ n e n
monisatakertaisesti	m o n i s ɑ t ɑ k e r t ɑ i̯ s e s t iˣ
monistaa	m o n i s t ɑːˣ
moniste	m o n i s t eˣ
monisti	m o n i s t i
monistua	m o n i s t u ɑˣ
monistuttaa	m o n i s t u tː ɑːˣ
monitasomarkkinointi	m o n i t ɑ s o m ɑ r kː i n o i̯ n t i
monitavuinen	m o n i t ɑ ʋ u i̯ n e n
monitoimikone	m o n i t o i̯ m i k o n eˣ
monitoimilaite	m o n i t o i̯ m i l ɑ i̯ t eˣ
monitoimitalo	m o n i t o i̯ m i t ɑ l o
monitori	m o n i t o r i
monituhatkertainen	m o n i t u h ɑ t k e r t ɑ i̯ n e n
monituhatkertaisesti	m o n i t u h ɑ t k e r t ɑ i̯ s e s t iˣ
monituinen	m o n i t u i̯ n e n
monivaimoisuus	m o n i ʋ ɑ i̯ m o i̯ s uː s
monkua	m o ŋ k u ɑˣ
mono	m o n o
monodia	m o n o d i ɑ
monodraama	m o n o d r ɑː m ɑ
monoftongiutuminen	m o n o f t o ŋː i u t u m i n e n
