'bout	b a ʊ t
innovation	ɪ n ə v e ɪ ʃ ə n
innovative	ɪ n o ʊ v e ɪ ɾ ɪ v
innovative	ɪ n ə v e ɪ ɾ ɪ v
inns	ɪ n z
innuendo	ɪ n j u ɛ n d ə ʊ
innumerable	ɪ n uː m ə ɹ ə b ə l
innumerous	ɪ n n u m ɝ ə s
inoculate	ɪ n ɑː k j u l e ɪ t
inoculation	ɪ n ɑ k j ə l e ɪ ʃ ə n
inordinate	ɪ n ɔ ɹ d n̩ ɪ t
inorganity	ɪ n ɔː ɹ ɡ æ n ɪ t i
inosculate	ɪ n ɒ s k j ʊ l e ɪ t
inosite	ɪ n ə s a ɪ t
inositol	a ɪ n o ʊ s ə t o ʊ l
inositol	a ɪ n o ʊ s ə t ɒ l
inositol	ɪ n o ʊ s ə t o ʊ l
inositol	ɪ n o ʊ s ə t ɒ l
inotropic	a ɪ n ə t ɹ o ʊ p ɪ k
inotropic	iː n ə t ɹ o ʊ p ɪ k
inotropic	iː n ə t ɹ ɑ p ɪ k
inpat	ɪ n p æ t
input	ɪ n p ʊ t
inquest	ɪ ŋ k w ɛ s t
inquiline	ɪ ŋ k w ɪ l a ɪ n
inquinate	ɪ n k w ɪ n e ɪ t
inquiration	ɪ ŋ k w ɪ ɹ e ɪ ʃ ə n
inquire	ɪ n k w a ɪ ɹ
inquired	ɪ n k w a ɪ ɹ d
inquiries	ɪ n k w ɪ ɹ i z
inquiring	ɪ n k w a ɪ ɹ ɪ ŋ
inquiry	ɪ n k w a ɪ ə ɹ i
inquiry	ɪ n k w ɪ ɹ i
inquisition	ɪ ŋ k w ɪ z ɪ ʃ ə n
inquisitive	ɪ ŋ k w ɪ z ə t ɪ v
inroads	ɪ n ɹ o ʊ d z
ins	ɪ n z
insalubrious	ɪ n s ə l uː b ɹ ɪ ə s
insane	ɪ n s e ɪ n
insanely	ɪ n s e ɪ n l i
insanity	ɪ n s æ n ɪ t i
insatiate	ɪ n s e ɪ ʃ i ɪ t
insatiate	ɪ n s e ɪ ʃ ɪ t
inscribe	ɪ n s k ɹ a ɪ b
inscribed	ɪ n s k ɹ a ɪ b d
inscription	ɪ n s k ɹ ɪ p ʃ ə n
inscrutable	ɪ n s k ɹ uː t ə b l̩
insect	ɪ n s ɛ k t
insectivore	ɪ n s ɛ k t ə v ɔ ɹ
insectivorous	ɪ n s ɛ k t ɪ v ə ɹ ə s
insects	ɪ n s ɛ k t s
inselberg	ɪ n s ə l b ɝ ɡ
insensate	ɪ n s ɛ n s ə t
insensible	ɪ n s ɛ n s ɪ b l̩
insensitive	ɪ n s ɛ n s ɪ t ɪ v
inseparable	i n s ɛ p ə ɹ ə b l
insert	ɪ n s ɝ t
inserted	ɪ n s ɝ t ɪ d
insertion	ɪ n s ɝ ʃ ə n
insessorial	ɪ n s ɛ s ɔː ɹ ɪ ə l
inset	ɪ n s ɛ t
inshallah	ɪ n ʃ ɑ l ə
inship	i n ʃ i p
inside	ɪ n s a ɪ d
insider	ɪ n s a ɪ d ɚ
insidious	ɪ n s ɪ d i ə s
insidiously	ɪ n s ɪ d i ə s l i
insight	ɪ n s a ɪ t
insightful	ɪ n s a ɪ t f ə l
insignia	ɪ n s ɪ ɡ n i ə
insignificant	ɪ n s ɪ ɡ n ɪ f ɪ k ə n t
insinuate	ɪ n s ɪ n j u e ɪ t
insinuation	ɪ n s ɪ n j u e ɪ ʃ ə n
insipid	ɪ n s ɪ p ɪ d
insist	ɪ n s ɪ s t
insisted	ɪ n s ɪ s t ɪ d
insistent	ɪ n s ɪ s t ə n t
insisting	ɪ n s ɪ s t ɪ ŋ
insists	ɪ n s ɪ s t s
insole	ɪ n s o ʊ l
insolence	ɪ n s ə l ə n s
insolent	ɪ n s ə l ə n t
insolvable	ɪ n s ɒ l v ə b ə l
insomnia	ɪ n s ɒ m n i ə
insomuch	ɪ n s ə ʊ m ʌ t͡ʃ
insouciance	ɪ n s uː s i ə n s
insouciant	i n s u s i ə n t
inspect	ɪ n s p ɛ k t
inspection	ɪ n s p ɛ k ʃ ə n
inspector	ɪ n s p ɛ k t ɚ
inspiration	ɪ n s p ɨ ɹ e ɪ ʃ ə n
inspire	ɪ n s p a ɪ ɹ
inspired	ɪ n s p a ɪ ɹ d
inspiring	ɪ n s p a ɪ ə ɹ ɪ ŋ
inspissate	ɪ n s p ɪ s e ɪ t
inspo	ɪ n s p o ʊ
instagram	ɪ n s t ə ɡ ɹ æ m
instagrammable	ɪ n s t ə ɡ r æ m ə b ə l
install	ɪ n s t ɔː l
installed	ɪ n s t ɔː l d
installment	ɪ n s t ɔː l m ə n t
instance	ɪ n s t ə n s
instances	ɪ n s t ə n s ɪ z
instant	ɪ n s t ə n t
instantaneous	ɪ n s t ə n t e ɪ n i ə s
instantiate	ɪ n s t æ n ʃ i e ɪ t
instantiation	ɪ n s t æ n ʃ ɪ e ɪ ʃ ə n
instar	ɪ n s t ɑ ɹ
instead	ɪ n s t ɛ d
insteep	ɪ n s t iː p
instigate	ɪ n s t ə ɡ e ɪ t
instigator	ɪ n s t ə ɡ e ɪ t ɚ
instil	ɪ n s t ɪ l
instill	ɪ n s t ɪ l
instinct	ɪ n s t ɪ ŋ k t
instinctive	ɪ n s t ɪ ŋ k t ɪ v
instinctively	ɪ n s t ɪ ŋ k t ɪ v l i
instincts	ɪ n s t ɪ ŋ k t s
institute	ɪ n s t ɪ t j uː t
institute	ɪ n s t ɪ t ʃ uː t
instituted	ɪ n s t ɪ t j uː t ɪ d
institution	ɪ n s t ɪ t uː ʃ ə n
institutional	ɪ n s t ɪ t j u ʃ ə n ə l
institutional	ɪ n s t ɪ t u ʃ ə n ə l
institutionalist	ɪ n s t ɪ t j uː ʃ ə n ə l ɪ s t
institutionalization	ɪ n s t ɪ t j uː ʃ n ə l a ɪ z e ɪ ʃ ə n
institutionalize	ɪ n s t ɪ t j uː ʃ ə n ə l a ɪ z
institutionally	ɪ n s t ɪ t j u ʃ ə n ə l i
institutionally	ɪ n s t ɪ t u ʃ ə n ə l i
institutions	ɪ n s t ɪ t u ʃ ə n z
institutive	ɪ n s t ɪ t j ʊ t ɪ v
institutive	ɪ n s t ɪ t ʃ ə t ɪ v
instow	ɪ n s t ə ʊ
instruct	ɪ n s t ɹ ʌ k t
instructed	ɪ n s t ɹ ʌ k t ɪ d
instruction	ɪ n s t ɹ ʌ k ʃ ə n
instructions	ɪ n s t ɹ ʌ k ʃ ə n z
instructive	ɪ n s t ɹ ʌ k t ɪ v
instrument	ɪ n s t ɹ ə m ə n t
instrument	ɪ n s t ɹ ʊ m ə n t
instrumental	ɪ n s t ɹ ə m ɛ n t ə l
instrumental	ɪ n s t ɹ ʊ m ɛ n t ə l
instruments	ɪ n s t ɹ ə m ə n t s
instruments	ɪ n s t ɹ ʊ m ə n t s
insufferable	ɪ n s ʌ f ɚ ə b ə l
insufficient	ɪ n s ə f ɪ ʃ ə n t
insufflate	ɪ n s ʌ f l e ɪ t
insular	ɪ n s j ə l ɚ
insular	ɪ n s ə l ɚ
insulate	ɪ n s ə l e ɪ t
insulation	ɪ n s ə l e ɪ ʃ ə n
insulator	ɪ n s j ə l e ɪ t ə ɹ
insulin	ɪ n s ə l ɪ n
insulinotropic	ɪ n s j ʊ l ɪ n ə t ɹ ɒ p ɪ k
insult	ɪ n s ʌ l t
insulted	ɪ n s ʌ l t ɪ d
insulting	ɪ n s ʌ l t ɪ ŋ
insuperable	ɪ n s u p ə ɹ ə b ə l
insurance	ɪ n ʃ ɝ ə n s
insurance	ɪ n ʃ ʊ ɹ ə n s
insure	ɪ n ʃ ʊ ɚ
insurer	ɪ n ʃ ʊ ɹ ɚ
insurgency	ɪ n s ɝ d ʒ ə n s i
insurgent	ɪ n s ə ɹ d ʒ ə n t
insurrection	ɪ n s ə ɹ ɛ k ʃ ə n
insusurration	ɪ n s uː s ə ɹ e ɪ ʃ ə n
int'resting	ɪ n t ɹ ɛ s t ɪ ŋ
intact	ɪ n t æ k t
intaglio	ɪ n t æ l ɪ ə ʊ
intake	ɪ n t e ɪ k
intangible	ɪ n t æ n d ʒ ə b ə l
integer	ɪ n t ɪ d͡ʒ ə ɹ
integral	ɪ n t ə ɡ ɹ ə l
integral	ɪ n t ɛ ɡ ɹ ə l
integrant	ɪ n t ɪ ɡ ɹ ə n t
integrate	ɪ n t ə ɡ ɹ e ɪ t
integration	ɪ n t ə ɡ ɹ e ɪ ʃ ə n
integument	ɪ n t ɛ ɡ j ʊ m ə n t
intel	ɪ n t ɛ l
intel	ɪ ɾ̃ ɛ l
intellect	ɪ n t ə l ɛ k t
intellectual	ɪ n t ə l ɛ k t ʃ ʊ ə l
intellectualize	ɪ n t ə l ɛ k t ʃ u ə l a ɪ z
intelligence	ɪ n t ɛ l ɪ d͡ʒ ə n s
intelligent	ɪ n t ɛ l ɪ d͡ʒ ə n t
intelligible	ɪ n t ɛ l ə d ʒ ə b l̩
intemperance	ɪ n t ɛ m p ɛ ɹ ə n s
intend	ɪ n t ɛ n d
intended	ɪ n t ɛ n d ɪ d
intenerate	ɪ n t ɛ n ə ɹ e ɪ t
intenible	ɪ n t ɛ n ə b ə l
intensate	ɪ n t ɛ n s e ɪ t
intense	ɪ n t ɛ n s
intensely	ɪ n t ɛ n s l i
intension	ɪ n t ɛ n ʃ ə n
intensity	ɪ n t ɛ n s ɪ t i
intention	ɪ n t ɛ n ʃ ə n
intentions	ɪ n t ɛ n ʃ ə n z
intentive	ɪ n t ɛ n t ɪ v
intentively	ɨ n t ɛ n t ɪ v l i
intently	ɪ n t ɛ n t l i
inter	ɪ n t ɝ
interact	ɪ n t ə ɹ æ k t
interaction	ɪ n t ə ɹ æ k ʃ ə n
interactive	ɪ n t ɚ æ k t ɪ v
interactivity	ɪ n t ə ɹ æ k t ɪ v ɪ t i
interactor	ɪ n t ɚ æ k t ɚ
interacts	ɪ n t ə ɹ æ k s
interacts	ɪ n t ə ɹ æ k t s
interagency	ɪ n t ə ɹ e ɪ d͡ʒ ə n s i
interbedded	ɪ n t ɚ b ɛ d ə d
interbred	ɪ n t ɚ b ɹ ɛ d
interbreed	ɪ n t e ɹ b ɹ i d
intercalary	ɪ n t ɚ k æ l ɚ i
intercalary	ɪ n t ɝː k ə l ɛ ɹ i
intercalate	ɪ n t ɝ k ə l e ɪ t
intercede	ɪ n t ə ɹ s iː d
intercept	ɪ n t ɚ s ɛ p t
interception	ɪ n t ɚ s ɛ p ʃ ə n
intercessor	ɪ n t ə ɹ s ɛ s ə ɹ
interchange	ɪ n t ɚ t ʃ e ɪ n d ʒ
interchangeable	ɪ n t ɚ t ʃ e ɪ n d ʒ ə b l̩
interchangement	ɪ n t ə t ʃ e ɪ n d ʒ m ə n t
intercident	ɪ n t ɜː ɹ s ɪ d ə n t
interclude	ɪ n t ə ɹ k l uː d
intercontinental	ɪ n t ɚ k ɑ n t ɪ n ɛ n t ə l
intercostal	ɪ n t ɚ k ɔ s t ə l
intercourse	ɪ n t ɚ k o ɹ s
intercourse	ɪ n t ɚ k ɔ ɹ s
intercrural	ɪ n t ɚ k ɹ u ɹ ə l
interdepositional	ɪ n t ɚ d ɛ p ə z ɪ ʃ ə n ə l
interdict	ɪ n t ɚ d ɪ k t
interdiscipline	ɪ n t ə ɹ d ɪ s ɪ p l ɪ n
interest	ɪ n t ə ɹ s t
interest	ɪ n t ə ɹ ə s t
interest	ɪ n t ə ɹ ɛ s t
interest	ɪ n t ɹ ə s t
interest	ɪ n t ɹ ɛ s t
interested	ɪ n t ə ɹ ɛ s t ɪ d
interested	ɪ n t ɹ ə s t ɪ d
interesting	ɪ n t ə ɹ ə s t ɪ ŋ
interesting	ɪ n t ʃ ɹ ɛ s t ɪ ŋ
interesting	ɪ n t ʃ ɹ ɪ s t ɪ ŋ
interests	ɪ n t ə ɹ ɪ s t s
interests	ɪ n t ɹ ɛ s t s
interface	ɪ n t ɚ f e ɪ s
interfaces	ɪ n t ə f e ɪ s
interfere	ɪ n t ɚ f ɪ ɹ
interfered	ɪ n t ɚ f ɪ ɹ d
interference	ɪ n t ə f i ɹ ə n s
interference	ɪ n t ə ɹ f i ɹ ɨ n s
interim	ɪ n t ə ɹ ɪ m
interior	ɪ n t ɪ ɹ i ɚ
interjacence	ɪ n t ə ɹ d ʒ e ɪ s ə n s
interjacency	ɪ n t ə ɹ d ʒ e ɪ s ə n s i
interjacent	ɪ n t ə ɹ d ʒ e ɪ s ə n t
interject	ɪ n t ɚ d ʒ ɛ k t
interjection	ɪ n t ɚ d ʒ ɛ k ʃ ə n
interlace	i n t ɚ l e ɪ s
interlacustrine	ɪ n t ɚ l æ k ʌ s t ɹ a ɪ n
interlanguage	ɪ n t ɜ ɹ l æ ŋ ɡ w ɪ d͡ʒ
interlingua	ɪ n t ə ɹ l ɪ ŋ ɡ w ə
interlocutor	ɪ n t ə ɹ l ɑ k j ə t ə ɹ
intermarry	ɪ n t ə ɹ m æ ɹ i
intermeddle	ɪ n t ɚ m ɛ d ə l
intermediacy	ɪ n t ɚ m i d i ə s i
intermedial	ɪ n t ə ɹ m iː d i ə l
intermediates	ɪ n t ɚ m i d i ə t s
intermezzo	ɪ n t ɚ m ɛ t s o ʊ
interminate	ɪ n t ɜː ɹ m ɪ n e ɪ t
interminate	ɪ n t ɜː ɹ m ɪ n ə t
intermission	ɪ n t ɚ m ɪ ʃ ə n
intermit	ɪ n t ɚ m ɪ t
intermittent	ɪ n t ɚ m ɪ t n̩ t
intermittently	ɪ n t ə m ɪ t ə n t l ɪ
intermured	ɪ n t ə ɹ m j ʊ ə ɹ d
intern	ɪ n t ɝ n
internal	ɪ n t ɝ n ə l
internalize	ɪ n t ɝ n ə l a ɪ z
internally	ɪ n t ɝ n ə l i
international	ɪ n t ɚ n æ ʃ ə n ə l
internationale	ɪ n t ɚ n æ ʃ ə n æ l
internationale	ɪ n t ɚ n æ ʃ ə n ə l
internationalization	ɪ n t ɚ n æ ʃ ə n ə l ə z e ɪ ʃ ə n
internecine	ɪ n t ɚ n i s i n
internecine	ɪ n t ɚ n ɛ s i n
internecine	ɪ n t ɚ n ɛ s ə n
internecion	ɪ n t ɚ n i ʃ ə n
internee	ɪ n t ɝ n iː
internet	ɪ n t ɚ n ɛ t
internet	ɪ ɾ̃ ɚ n ɛ t
internship	ɪ n t ɝ n ʃ ɪ p
interoceanic	ɪ n t ə ɹ o ʊ ʃ i æ n ɪ k
interocular	ɪ n t ə ɹ ɒ k j ə l ə ɹ
interosseus	ɪ n t ə ɹ ɒ s i ə s
interpellate	ɪ n t ə ɹ p ɛ l e ɪ t
interpellate	ɪ n t ɜ ɹ p ə l e ɪ t
interpoint	ɪ n t ə ɹ p ɔ ɪ n t
interpolate	ɪ n t ɜ ɹ p ə l e ɪ t
interpolation	ɪ n t ɜː ɹ p ə l e ɪ ʃ ə n
interpose	ɪ n t ɚ p o ʊ z
interposed	ɪ n t ɚ p o ʊ z d
interpret	ɪ n t ɝ p ɹ ɪ t
interpretation	ɪ n t ɚ p ɹ ə t e ɪ ʃ ə n
interpreted	ɪ n t ɝ p ɹ ɪ t ɪ d
interpreter	ɪ n t ɝ p ɹ ɪ t ɚ
interpreters	ɪ n t əː p ɹ ɪ t ə s
interracial	ɪ n t ə ɹ e ɪ ʃ ə l
interregna	ɪ n t ə ɹ ɹ ɛ ɡ n ə
interregnum	ɪ n t ə ɹ ɹ ɛ ɡ n ə m
interregnums	ɪ n t ə ɹ ɹ ɛ ɡ n ə m z
interrobang	ɪ n t ɛ ɹ ə b æ ŋ
interrogability	ɪ n t ɛ ɹ ə ɡ ə b ɪ l ɪ t i
interrogation	ɪ n t e ɹ ə ɡ e ɪ ʃ ə n
interrogatory	ɪ n t ə ɹ ɑ ɡ ə t ɔ ɹ i
interrupted	ɪ n t ə ɹ ʌ p t ɪ d
interruption	ɪ n t ə ɹ ʌ p ʃ ə n
intersect	ɪ n t ɚ s ɛ k t
intersection	ɪ n t ə ɹ s ɛ k ʃ ə n
intersectional	ɪ n t ə ɹ s ɛ k ʃ ə n l̩
intersectionality	ɪ n t ɚ s ɛ k ʃ ə n æ l ə t i
intersex	ɪ n t ɚ s ɛ k s
intershell	ɪ n t ɚ ʃ ɛ l
interslavic	ɪ n t ɚ s l ɑː v ɪ k
intersow	ɪ n t ə ɹ s ə ʊ
interspecific	ɪ n t ɚ s p ə s ɪ f ɪ k
intersperse	ɪ n t ə ɹ s p ɜː ɹ s
interstate	ɪ n t ɚ s t e ɪ t
interstice	ɪ n t ɚ s t ɪ s
interstitial	ɪ n t ə ɹ s t ɪ ʃ ə l
interstitium	ɪ n t ɚ s t ɪ ʃ i ə m
intersyllabic	ɪ n t ɚ s ə l æ b ə k
intersyllabic	ɪ n t ɚ s ə l æ b ɪ k
intersyllabic	ɪ n ɚ s ə l æ b ə k
intertex	ɪ n t ə ɹ t ɛ k s
interval	ɪ n t ɚ v ə l
intervallic	ɪ n t ɚ v æ l ɪ k
intervallum	ɪ n t ə ɹ v æ l ə m
intervals	ɪ n t ɚ v ə l z
intervention	ɪ n t ɚ v ɛ n ʃ ə n
interventive	ɪ n t ɚ v ɛ n t ə v
interview	ɪ n t ɚ v j uː
interviewee	ɪ n t ɚ v j uː iː
interviewer	ɪ n t ɚ v j u ɚ
intervocalic	ɪ n t ə ɹ v o ʊ k æ l ɪ k
interweave	ɪ n t ə ɹ w iː v
interwove	ɪ n t ə ɹ w oː v
interwoven	ɪ n t ə ɹ w ə ʊ v ə n
intestate	ɪ n t ɛ s t e ɪ t
intestine	ɪ n t ɛ s t iː n
intestine	ɪ n t ɛ s t ɪ n
inthronization	i n θ ɹ o ʊ n a ɪ z e ɪ ʃ ə n
inthronize	ɪ n θ ɹ o ʊ n a ɪ z
intimacy	ɪ n t ɪ m ə s i
intimate	ɪ n t ɪ m e ɪ t
intimate	ɪ n t ɪ m ə t
intimately	ɪ n t ɪ m ə t l i
intimation	ɪ n t ə m e ɪ ʃ ə n
intimidate	ɪ n t ɪ m ɪ d e ɪ t
into	ɪ n t u
into't	ɪ n t uː t
intolerable	ɪ n t ɑ l ə ɹ ə b l̩
intolerator	ɪ n t ɒ l ə ɹ ə ɪ t ə ɹ
intonation	ɪ n t ɵ n e ɪ ʃ ə n
intone	ɪ n t o ʊ n
intoxicate	ɪ n t ɑ k s ɪ k e ɪ t
intoxicate	ɪ n t ɑ k s ɪ k ə t
intoxicated	ɪ n t ɑ k s ɪ k e ɪ t ɪ d
intracisternal	ɪ n t ɹ ə s ɪ s t ɝ n ə l
intrahepatic	ɪ n t ɹ ə h ə p æ t ɪ k
intransigent	ɪ n t ɹ æ n s ə d͡ʒ ə n t
intransigent	ɪ n t ɹ æ n z ə d͡ʒ ə n t
intransitive	ɪ n t ɹ æ n s ə t ɪ v
intransitive	ɪ n t ɹ æ n z ə t ɪ v
intrant	ɪ n t ɹ ə n t
intraordinary	ɪ n t ɹ ə ɔ ɹ d ɪ n ɛ ɹ i
intraresidue	ɪ n t ɹ ə ɹ ɛ z ɪ d u
intratribal	ɪ n t ɹ ə t ɹ a ɪ b ə l
intravital	ɪ n t ɹ ə v a ɪ t l
intrepid	ɪ n t ɹ ɛ p ɪ d
intricate	ɪ n t ɹ ɪ k e ɪ t
intricate	ɪ n t ɹ ɪ k ə t
intriguing	ɪ n t ɹ iː ɡ ɪ ŋ
intrinsic	ɪ n t ɹ ɪ n z ɪ k
intro	ɪ n t ɹ o ʊ
introduce	ɪ n t ɹ ə d u s
introduced	ɪ n t ɹ ə d uː s t
introducing	ɪ n t ɹ ə d u s ɪ ŋ
introduction	ɪ n t ɹ ə d ʌ k ʃ ə n
introductory	ɪ n t r ə d ʌ k t ə r i
introit	ɪ n t ɹ ɔ ɪ t
introject	ɪ n t ɹ ə ʊ d ʒ ɛ k t
intromit	ɪ n t ɹ ə m ɪ t
introspection	ɪ n t ɹ ə s p ɛ k ʃ ə n
introspective	ɪ n t ɹ o ʊ s p ɛ k t ɪ v
introversion	ɪ n t ɹ o ʊ v ə ɹ ʃ ə n
introversion	ɪ n t ɹ ə v ə ɹ ʃ ə n
introversion	ɪ n t ɹ ə v ə ɹ ʒ ə n
introvert	ɪ n t ɹ o ʊ v ə ɹ t
introvert	ɪ n t ɹ ə v ɜː ɹ t
intrude	ɪ n t ɹ uː d
intrusion	ɪ n t ɹ uː ʒ ə n
intrusive	ɪ n t ɹ uː s ɪ v
intuit	ɪ n t u ɪ t
intuition	ɪ n t u w ɪ ʃ ɨ n
intuitive	ɪ n t j uː ɪ t ɪ v
intussusception	ɪ n t ə s ə s ɛ p ʃ ə n
inuit	ɪ n j uː ɪ t
inuit	ɪ n ʊ ɪ t
inukshuk	ɪ n ʊ k ʃ ʊ k
inuktitut	ɪ n ʊ k t ɪ t ʊ t
inula	ɪ n j ə l ə
inula	ɪ n j ʊ l ə
inunction	ɪ n ʌ ŋ k ʃ ə n
inundate	ɪ n ə n d e ɪ t
inure	ɪ n j ʊ ɹ
inured	ɪ n j ʊ ɹ d
inutile	ɪ n j uː t a ɪ l
inutterable	ɪ n ʌ t ə ɹ ə b l̩
invade	ɪ n v e ɪ d
invaded	ɪ n v e ɪ d ɪ d
invader	ɪ n v e ɪ d ə ɹ
invaders	ɪ n v e ɪ d ə ɹ z
invalid	ɪ n v æ l ɪ d
invalid	ɪ n v ə l ɪ d
invariable	ɪ n v ɛ ɹ i ə b l̩
invariably	ɪ n v ɛ ɹ i ə b l i
invariance	i n v ɛ ə ɹ i ə n s
invasion	ɪ n v e ɪ ʒ ə n
invasive	ɪ n v e ɪ s ɪ v
invective	ɪ n v ɛ k t ɪ v
inveigh	ɪ n v e ɪ
inveighed	ɪ n v e ɪ d
inveigle	ɪ n v e ɪ ɡ ə l
inveigle	ɪ n v iː ɡ ə l
invent	ɪ n v ɛ n t
invented	ɪ n v ɛ n t ɪ d
inventive	ɪ n v ɛ n t ɪ v
inventor	ɪ n v ɛ n t ɚ
inventory	ɪ n v ə n t ɔ ɹ i
inverecund	ɪ n v ɛ ɹ ɪ k ʌ n d
inverse	ɪ n v ɝ s
inversion	ɪ n v ɝ ʒ ə n
invert	ɪ n v ɝ t
invest	ɪ n v ɛ s t
invested	ɪ n v ɛ s t ɪ d
investigation	ɪ n v ɛ s t ə ɡ e ɪ ʃ ə n
investigative	ɪ n v ɛ s t ɪ ɡ e ɪ t ɪ v
investigative	ɪ n v ɛ s t ɪ ɡ ə t ɪ v
investment	ɪ n v ɛ s m ə n t
investment	ɪ n v ɛ s t m ə n t
investomer	ɪ n v ɛ s t ə m əʳ
investor	ɪ n v ɛ s t ɚ
investure	ɪ n v ɛ s t j ʊ ə ɹ
investure	ɪ n v ɛ s t ʃ ə ɹ
inveterate	ɪ n v ɛ t ə ɹ ɪ t
invidious	ɪ n v ɪ d i ə s
invigilator	ɪ n v ɪ d ʒ ɪ l e ɪ t ə ɹ
invigilatrix	ɪ n v ɪ d͡ʒ ɪ l e ɪ t ɹ ɪ k s
invigorate	ɪ n v ɪ ɡ ə ɹ e ɪ t
inviolable	ɪ n v a ɪ ə l ə b l̩
invisible	ɪ n v ɪ z ə b ə l
invitation	ɪ n v ɪ t e ɪ ʃ n̩
invitation	ɪ n v ɪ t e ɪ ʃ ə n
invite	ɪ n v a ɪ t
invited	ɪ n v a ɪ t ɪ d
invitee	i n v a ɪ t iː
invitee	ɪ n v a ɪ t iː
invitee	ɪ n v ə t iː
invitement	ɪ n v a ɪ t m ə n t
inviting	ɪ n v a ɪ t ɪ ŋ
invoice	ɪ n v ɔ ɪ s
invoiceability	ɪ n v ɔ ɪ s ə b ɪ l ɪ ɾ i
invoiceable	ɪ n v ɔ ɪ s ə b l̩
invoke	ɪ n v o ʊ k
involuntarily	ɪ n v ɑ l ə n t ɛ ɹ ɪ l i
involuntary	ɪ n v ɑ l ə n t ɛ ɹ i
involution	ɪ n v ə l uː ʃ ə n
involve	ɪ n v ɑ l v
involved	ɪ n v ɑ l v d
involving	ɪ n v ɑ l v ɪ ŋ
inwardly	ɪ n w ɚ d l i
inwards	ɪ n w ɚ d z
inwit	ɪ n w ɪ t
io	a ɪ o ʊ
io	a ɪ ə ʊ
ioannina	j ɔ ɑ n i n ɑ
iodide	ɑ ɪ ə d ɑ ɪ d
iodoquinol	a ɪ ə d o ʊ k w ɪ n ɔ l
iohexol	a ɪ o ʊ h ɛ k s ɔ l
iolo	j ɒ l ə ʊ
ion	a ɪ o ʊ n
ion	a ɪ ɑ n
ione	a ɪ o ʊ n
ionia	a ɪ ə ʊ n i ə
ionia	a ɪ ə ʊ n j ə
ionic	a ɪ ɒ n ɪ k
ionization	a ɪ ə n ɪ z e ɪ ʃ ə n
ionize	a ɪ ə n a ɪ z
iopidine	a ɪ ɒ p ɪ d iː n
iopidine	a ɪ ɒ p ɪ d ɪ n
iopodate	a ɪ ə p ə d e ɪ t
iota	a ɪ o ʊ t ə
iotation	a ɪ o ʊ t e ɪ ʃ ə n
iotize	a ɪ ə t a ɪ z
iowa	a ɪ ə w e ɪ
iowa	a ɪ ə w ə
ipa	a ɪ p iː e ɪ
ipe	i p e ɪ
ipecac	ɪ p ɪ k æ k
iphigenia	ɪ f ɪ d ʒ ɪ n a ɪ ə
iphone	a ɪ f o ʊ̯ n
ipodate	a ɪ p ə d e ɪ t
ipratropium	ɪ p ɹ ə t ɹ o ʊ p i ə m
iproclozide	a ɪ p ɹ ə ʊ k l ə z a ɪ d
ipsative	ɪ p s ə t ɪ v
ipsedixitism	ɪ p s i d ɪ k s ɪ t ɪ z ə m
ipsilateral	ɪ p s ɪ l æ t ə ɹ ə l
ipswich	ɪ p s w ɪ t͡ʃ
ipu	iː p uː
iqaluit	ɪ k æ l ʊ ɪ t
iqalungmiut	ɪ k a l ʊ ŋ m iː ʊ t
ira	a ɪ ɹ ə
iraan	a ɪ ɹ ə ʔ æ n
iran	a ɪ ɹ æ n
iran	ɪ ɹ æ n
iran	ɪ ɹ ɑː n
iranian	a ɪ ɹ e ɪ n i ə n
iranian	i ɹ ɑː n i ə n
iranian	ɪ ɹ e ɪ n i ə n
iranian	ɪ ɹ ɑː n i ə n
iraq	a ɪ ɹ æ k
iraq	ɪ ɹ æ k
iraq	ɪ ɹ ɑ k
irascible	ɪ ɹ æ s ə b ə l
irascible	ɪ ɹ æ s ɪ b ə l
irate	a ɪ ɹ e ɪ t
ire	a ɪ ɹ
ireland	a ɪ ə ɹ l ə n d
irene	a ɪ ɹ iː n
irenic	a ɪ ɹ iː n ɪ k
irenic	a ɪ ɹ ɛ n ɪ k
iri	a ɪ ɑː ɹ a ɪ
irides	a ɪ ɹ ɪ d i z
irides	ɪ ɹ ɪ d i z
iridescent	ɪ ɹ ɪ d ɛ s ə n t
iridium	ɪ ɹ ɪ d i ə m
iridocyclitis	i ɹ ɨ d o ʊ s ɨ k l a ɪ t ə s
iris	a ɪ ɹ ɪ s
irish	a ɪ ə ɹ ɪ ʃ
irish	a ɪ ɹ ɪ ʃ
irk	ɝ k
irksome	ɚ k s ə m
irkutsk	i ɹ k ʊ t s k
iron	a ɪ ɚ n
ironmonger	a ɪ ə ɹ n m ʌ ŋ ɡ ə ɹ
irony	a ɪ ɚ n i
irony	a ɪ ɹ ə n i
iroquois	ɪ ɹ ə k w ɔ ɪ
iroquois	ɪ ɹ ə k ɔ ɪ
irp	ɜː ɹ p
irrational	ɪ ɹ æ ʃ ə n ə l
irrawaddy	ɪ ɹ ə w ɑ d i
irredeemable	ɪ ɹ ə d iː m ə b ə l
irredentist	ɪ ɹ ɪ d ɛ n t ɪ s t
irreducible	ɪ ɹ ɪ d j uː s ɪ b ə l
irrefragable	i ɹ ə f r æ ɡ ə b ə l
irrefragable	ɪ ɹ ɛ f ɹ ə ɡ ə b ə l
