а	ɑ
мешкати	m ɛ ʃ k ɐ t e
ми	m ɪ
микола	m e k ɔ ɫ ɐ
миколаїв	m e k ɔ ɫ ɑ j i u̯
милий	m ɪ ɫ e i̯
мило	m ɪ ɫ ɔ
минуле	m e n u ɫ e
минулий	m e n u ɫ e i̯
мир	m ɪ r
мирний	m ɪ r n e i̯
миролюбний	m e r o lʲ u b n e i̯
мироточення	m e r ɔ t ɔ t͡ʃ e nʲː ɐ
мироточець	m e r ɔ t ɔ t͡ʃ e t͡sʲ
мис	m ɪ s
мистецтво	m e s t ɛ t͡s t w ɔ
мити	m ɪ t e
мить	m ɪ tʲ
михайло	m e x ɑ i̯ ɫ ɔ
михаїл	m e x ɐ j i ɫ
миша	m ɪ ʃ ɐ
млин	m ɫ ɪ n
множення	m n ɔ ʒ e nʲː ɐ
множина	m n ɔ ʒ e n ɑ
мною	m n ɔ j ʊ
мобілізація	m ɔ bʲ i lʲ i z ɑ t͡sʲ i j ɐ
мова	m ɔ ʋ ɐ
мовити	m ɔ ʋ e t e
мовлення	m ɔ u̯ ɫ e nʲː ɐ
мовний	m ɔ u̯ n e i̯
мовознавство	m ɔ w ɔ z n ɑ u̯ s t w ɔ
мовчати	m ɔ u̯ t͡ʃ ɑ t e
могила	m ɔ ɦ ɪ ɫ ɐ
могильов	m ɔ ɦ e lʲ ɔ u̯
мого	m ɔ ɦ ɔ
могти	m ɔ ɦ t ɪ
модель	m ɔ d ɛ lʲ
модрина	m ɔ d r ɪ n ɐ
можливий	m ɔ ʒ ɫ ɪ ʋ e i̯
можливість	m ɔ ʒ ɫ ɪ ʋʲ i sʲ tʲ
можна	m ɔ ʒ n ɐ
мозамбік	m ɔ z ɐ m bʲ i k
мозок	m ɔ z ɔ k
мойого	m ɔ j ɔ ɦ ɔ
мокрий	m ɔ k r e i̯
молдавія	m ɔ ɫ d ɑ ʋʲ i j ɐ
молдова	m ɔ ɫ d ɔ ʋ ɐ
молекула	m ɔ ɫ ɛ k ʊ ɫ ɐ
молекулярна	m ɔ ɫ e k ʊ lʲ ɑ r n ɐ
молекулярний	m ɔ ɫ e k ʊ lʲ ɑ r n e i̯
молитва	m ɔ ɫ ɪ t ʋ ɐ
молитися	m ɔ ɫ ɪ t e sʲ ɐ
молитовник	m ɔ ɫ e t ɔ u̯ n e k
молодий	m ɔ ɫ ɔ d ɪ i̯
молодице	m ɔ ɫ ɔ d ɪ t͡s e
молодицею	m ɔ ɫ ɔ d ɪ t͡s e j ʊ
молодиць	m ɔ ɫ ɔ d ɪ t͡sʲ
молодицю	m ɔ ɫ ɔ d ɪ t͡sʲ ʊ
молодиця	m ɔ ɫ ɔ d ɪ t͡sʲ ɐ
молодицям	m ɔ ɫ ɔ d ɪ t͡sʲ ɐ m
молодицями	m ɔ ɫ ɔ d ɪ t͡sʲ ɐ m e
молодицях	m ɔ ɫ ɔ d ɪ t͡sʲ ɐ x
молодиці	m ɔ ɫ ɔ d ɪ t͡sʲ i
молодята	m ɔ ɫ ɔ dʲ ɑ t ɐ
молодість	m ɔ ɫ ɔ dʲ i sʲ tʲ
молоко	m ɔ ɫ ɔ k ɔ
молот	m ɔ ɫ ɔ t
молоти	m ɔ ɫ ɔ t e
молоття	m ɔ ɫ ɔ tʲː ɑ
молотьба	m ɔ ɫ ɔ dʲ b ɑ
молочний	m ɔ ɫ ɔ t͡ʃ n ɪ i̯
молюск	m o lʲ u s k
момент	m ɔ m ɛ n t
монако	m ɔ n ɑ k ɔ
монархій	m ɔ n ɑ r xʲ i i̯
монархію	m ɔ n ɑ r xʲ i j ʊ
монархія	m ɔ n ɑ r xʲ i j ɐ
монархіям	m ɔ n ɑ r xʲ i j ɐ m
монархіями	m ɔ n ɑ r xʲ i j ɐ m e
монархіях	m ɔ n ɑ r xʲ i j ɐ x
монархіє	m ɔ n ɑ r xʲ i j e
монархією	m ɔ n ɑ r xʲ i j e j ʊ
монархії	m ɔ n ɑ r xʲ i j i
монах	m ɔ n ɑ x
монгольський	m ɔ n ɦ ɔ lʲ sʲ k e i̯
монголія	m ɔ n ɦ ɔ lʲ i j ɐ
монолог	m ɔ n ɔ ɫ ɔ ɦ
море	m ɔ r e
морква	m ɔ r k ʋ ɐ
мороз	m ɔ r ɔ z
морозиво	m ɔ r ɔ z e w ɔ
морок	m ɔ r ɔ k
морський	m ɔ r sʲ k ɪ i̯
морфологічний	m ɔ r f ɔ ɫ o ɦʲ i t͡ʃ n e i̯
морфологія	m ɔ r f ɔ ɫ ɔ ɦʲ i j ɐ
моря	m ɔ rʲ ɑ
москаль	m ɔ s k ɑ lʲ
москва	m ɔ s k ʋ ɑ
мотоцикл	m ɔ t ɔ t͡s ɪ k ɫ
мотоцикла	m ɔ t ɔ t͡s ɪ k ɫ ɐ
мотоциклам	m ɔ t ɔ t͡s ɪ k ɫ ɐ m
мотоциклами	m ɔ t ɔ t͡s ɪ k ɫ ɐ m e
мотоциклах	m ɔ t ɔ t͡s ɪ k ɫ ɐ x
мотоцикли	m ɔ t ɔ t͡s ɪ k ɫ e
мотоциклом	m ɔ t ɔ t͡s ɪ k ɫ ɔ m
мотоциклів	m ɔ t ɔ t͡s ɪ k lʲ i u̯
мох	m ɔ x
мошонка	m ɔ ʃ ɔ n k ɐ
мощі	m ɔ ʃ t͡ʃʲ i
моя	m ɔ j ɑ
моє	m ɔ j ɛ
моєго	m ɔ j e ɦ ɔ
моєму	m ɔ j ɛ m ʊ
моєю	m ɔ j ɛ j ʊ
моєї	m ɔ j ɛ j i
мої	m ɔ j i
моїй	m ɔ j i i̯
моїм	m ɔ j i m
моїми	m ɔ j i m e
моїх	m ɔ j i x
мрій	m rʲ i i̯
мрію	m rʲ i j ʊ
мрія	m rʲ i j ɐ
мріям	m rʲ i j ɐ m
мріями	m rʲ i j ɐ m e
мріяти	m rʲ i j ɐ t e
мріях	m rʲ i j ɐ x
мріє	m rʲ i j e
мрією	m rʲ i j e j ʊ
мрії	m rʲ i j i
мудрий	m u d r e i̯
муж	m u ʒ
мужність	m u ʒ nʲ i sʲ tʲ
мужчина	m ʊ ʒ t͡ʃ ɪ n ɐ
музей	m ʊ z ɛ i̯
музика	m u z e k ɐ
музика	m ʊ z ɪ k ɐ
музичний	m ʊ z ɪ t͡ʃ n e i̯
муніципальний	m ʊ nʲ i t͡s e p ɑ lʲ n e i̯
мур	m u r
мураха	m ʊ r ɑ x ɐ
мурахоїд	m ʊ r ɐ x ɔ j i d
мурашка	m ʊ r ɑ ʃ k ɐ
мурашник	m ʊ r ɑ ʃ n e k
мусити	m u s e t e
муха	m u x ɐ
мідь	mʲ i dʲ
між	mʲ i ʒ
міжнародний	mʲ i ʒ n ɐ r ɔ d n e i̯
міжряддя	mʲ i ʒ rʲ ɑ dʲː ɐ
мій	mʲ i i̯
мікроскоп	mʲ i k r ɔ s k ɔ p
мікроскопічний	mʲ i k r ɔ s k o pʲ i t͡ʃ n e i̯
мікрофон	mʲ i k r ɔ f ɔ n
мілина	mʲ i ɫ e n ɑ
мілкий	mʲ i ɫ k ɪ i̯
міль	mʲ i lʲ
мільйон	mʲ i lʲ j ɔ n
мільярд	mʲ i lʲ j ɑ r d
міліампер	mʲ i lʲ i ɐ m p ɛ r
міліметр	mʲ i lʲ i m ɛ t r
міліція	mʲ i lʲ i t͡sʲ i j ɐ
мінералогія	mʲ i n e r ɐ ɫ ɔ ɦʲ i j ɐ
мінськ	mʲ i nʲ sʲ k
мінімальна	mʲ i nʲ i m ɑ lʲ n ɐ
мінімальний	mʲ i nʲ i m ɑ lʲ n e i̯
міністерство	mʲ i nʲ i s t ɛ r s t w ɔ
міністр	mʲ i nʲ i s t r
міра	mʲ i r ɐ
міст	mʲ i s t
містечко	mʲ i s t ɛ t͡ʃ k ɔ
місто	mʲ i s t ɔ
містобудування	mʲ i s t ɔ b ʊ d ʊ ʋ ɑ nʲː ɐ
місце	mʲ i s t͡s e
місцевий	mʲ i s t͡s ɛ ʋ e i̯
міський	mʲ i sʲ k ɪ i̯
місяць	mʲ i sʲ ɐ t͡sʲ
місячний	mʲ i sʲ ɐ t͡ʃ n e i̯
мітинг	mʲ i t e n ɦ
мітла	mʲ i t ɫ ɑ
мітоз	mʲ i t ɔ z
мітотичний	mʲ i t ɔ t ɪ t͡ʃ n e i̯
мітохондрія	mʲ i t ɔ x ɔ n dʲ rʲ i j ɐ
міф	mʲ i f
міфологія	mʲ i f ɔ ɫ ɔ ɦʲ i j ɐ
міх	mʲ i x
міць	mʲ i t͡sʲ
мічурін	mʲ i t͡ʃ u rʲ i n
мішаний	mʲ i ʃ ɐ n e i̯
мішок	mʲ i ʃ ɔ k
на	n ɑ
набій	n ɐ bʲ i i̯
набійка	n ɐ bʲ i i̯ k ɐ
навесні	n ɐ ʋ e sʲ nʲ i
навидіти	n ɐ ʋ ɪ dʲ i t e
навидіти	n ɑ ʋ e dʲ i t e
навколо	n ɐ u̯ k ɔ ɫ ɔ
навмання	n ɐ u̯ m ɐ nʲː ɑ
навмисно	n ɐ u̯ m ɪ s n ɔ
наволочка	n ɑ w ɔ ɫ ɔ t͡ʃ k ɐ
наврез	n ɐ u̯ r ɛ z
навруз	n ɐ u̯ r u z
навчальний	n ɐ u̯ t͡ʃ ɑ lʲ n e i̯
навчання	n ɐ u̯ t͡ʃ ɑ nʲː ɐ
навіть	n ɑ ʋʲ i tʲ
нагий	n ɐ ɦ ɪ i̯
наголос	n ɑ ɦ ɔ ɫ ɔ s
наголосити	n ɐ ɦ ɔ ɫ ɔ s ɪ t e
наголошений	n ɐ ɦ ɔ ɫ ɔ ʃ e n e i̯
наголошувати	n ɐ ɦ ɔ ɫ ɔ ʃ ʊ ʋ ɐ t e
над	n ɑ d
надання	n ɐ d ɐ nʲː ɑ
надання	n ɐ d ɑ nʲː ɐ
надворі	n ɐ d w ɔ rʲ i
надзвичайний	n ɐ d͡z ʋ e t͡ʃ ɑ i̯ n e i̯
надзвичайно	n ɐ d͡z ʋ e t͡ʃ ɑ i̯ n ɔ
надто	n ɑ d t ɔ
надій	n ɐ dʲ i i̯
надійність	n ɐ dʲ i i̯ nʲ i sʲ tʲ
надіти	n ɐ dʲ i t e
надію	n ɐ dʲ i j ʊ
надія	n ɐ dʲ i j ɐ
надіям	n ɐ dʲ i j ɐ m
надіями	n ɐ dʲ i j ɐ m e
надіятися	n ɐ dʲ i j ɐ t e sʲ ɐ
надіях	n ɐ dʲ i j ɐ x
надіє	n ɐ dʲ i j e
надією	n ɐ dʲ i j e j ʊ
надії	n ɐ dʲ i j i
назавжди	n ɐ z ɐ u̯ ʒ d ɪ
назавжди	n ɐ z ɑ u̯ ʒ d e
назавше	n ɐ z ɑ u̯ ʃ e
назва	n ɑ z ʋ ɐ
назви	n ɑ z ʋ e
називний	n ɐ z e u̯ n ɪ i̯
наймит	n ɑ i̯ m e t
наймичка	n ɑ i̯ m e t͡ʃ k ɐ
наказовий	n ɐ k ɐ z ɔ ʋ e i̯
нам	n ɑ m
намагатися	n ɐ m ɐ ɦ ɑ t e sʲ ɐ
нами	n ɑ m e
намисто	n ɐ m ɪ s t ɔ
намібія	n ɐ mʲ i bʲ i j ɐ
намір	n ɑ mʲ i r
наперсток	n ɐ p ɛ r s t ɔ k
написати	n ɐ p e s ɑ t e
наприклад	n ɐ p r ɪ k ɫ ɐ d
наприкінці	n ɐ p r ɪ kʲ i nʲ t͡sʲ i
напрям	n ɑ p rʲ ɐ m
напрямок	n ɑ p rʲ ɐ m ɔ k
напій	n ɐ pʲ i i̯
наразі	n ɐ r ɑ zʲ i
нарвал	n ɐ r ʋ ɑ ɫ
наречена	n ɐ r e t͡ʃ ɛ n ɐ
наречена	n ɐ r ɛ t͡ʃ e n ɐ
народ	n ɐ r ɔ d
народження	n ɐ r ɔ d͡ʒ e nʲː ɐ
народжуватися	n ɐ r ɔ d͡ʒ ʊ ʋ ɐ t e sʲ ɐ
народитися	n ɐ r ɔ d ɪ t e sʲ ɐ
народний	n ɐ r ɔ d n e i̯
нарід	n ɑ rʲ i d
нас	n ɑ s
населення	n ɐ s ɛ ɫ e nʲː ɐ
наслідок	n ɑ sʲ lʲ i d ɔ k
насправді	n ɐ s p r ɑ u̯ dʲ i
настроювати	n ɐ s t r ɔ j ʊ ʋ ɐ t e
настроїти	n ɐ s t r ɔ j i t e
наступний	n ɐ s t u p n e i̯
наступник	n ɐ s t u p n e k
наступниця	n ɐ s t u p n e t͡sʲ ɐ
настільний	n ɐ sʲ tʲ i lʲ n e i̯
насінина	n ɐ sʲ i n ɪ n ɐ
насіння	n ɐ sʲ i nʲː ɐ
наталія	n ɐ t ɑ lʲ i j ɐ
натовп	n ɑ t ɔ u̯ p
натуральний	n ɐ t ʊ r ɑ lʲ n e i̯
наука	n ɐ u k ɐ
науковий	n ɐ ʊ k ɔ ʋ e i̯
науково	n ɐ ʊ k ɔ w ɔ
національний	n ɐ t͡sʲ i ɔ n ɑ lʲ n e i̯
національність	n ɐ t͡sʲ i ɔ n ɑ lʲ nʲ i sʲ tʲ
нація	n ɑ t͡sʲ i j ɐ
начальник	n ɐ t͡ʃ ɑ lʲ n e k
наче	n ɑ t͡ʃ e
наш	n ɑ ʃ
наша	n ɑ ʃ ɐ
наше	n ɑ ʃ e
наші	n ɑ ʃʲ i
наявний	n ɐ j ɑ u̯ n e i̯
наявність	n ɐ j ɑ u̯ nʲ i sʲ tʲ
не	n ɛ
неба	n ɛ b ɐ
небезпека	n e b e z p ɛ k ɐ
небезпечний	n e b e z p ɛ t͡ʃ n e i̯
небеса	n e b e s ɑ
небо	n ɛ b ɔ
небіж	n e bʲ i ʒ
небіж	n ɛ bʲ i ʒ
нева	n e ʋ ɑ
невже	n e u̯ ʒ ɛ
невидимий	n e ʋ ɪ d e m e i̯
невидимість	n e ʋ ɪ d e mʲ i sʲ tʲ
невмирущий	n e u̯ m e r u ʃ t͡ʃ e i̯
невралгічний	n e u̯ r ɐ lʲ ɦʲ i t͡ʃ n e i̯
неврологічний	n ɛ u̯ r ɔ ɫ o ɦʲ i t͡ʃ n e i̯
невіста	n e ʋʲ i s t ɐ
негайно	n e ɦ ɑ i̯ n ɔ
негативний	n e ɦ ɐ t ɪ u̯ n e i̯
недоконаний	n e d ɔ k ɔ n ɐ n e i̯
недосвідчений	n e d ɔ sʲ ʋʲ i d͡ʒ t͡ʃ e n e i̯
недосвідченість	n e d ɔ sʲ ʋʲ i d͡ʒ t͡ʃ e nʲ i sʲ tʲ
недільний	n e dʲ i lʲ n e i̯
неділя	n e dʲ i lʲ ɐ
нежуйні	n e ʒ u i̯ nʲ i
незабаром	n e z ɐ b ɑ r ɔ m
незалежний	n e z ɐ ɫ ɛ ʒ n e i̯
незалежність	n e z ɐ ɫ ɛ ʒ nʲ i sʲ tʲ
незамінний	n e z ɐ mʲ i nː e i̯
незамінність	n e z ɐ mʲ i nʲː i sʲ tʲ
незвичний	n e z ʋ ɪ t͡ʃ n e i̯
незручність	n e z r u t͡ʃ nʲ i sʲ tʲ
нейробіологія	n ɛ i̯ r ɔ bʲ i ɔ ɫ ɔ ɦʲ i j ɐ
нема	n e m ɑ
немовля	n e m ɔ u̯ lʲ ɑ
ненавидіти	n e n ɐ ʋ ɪ dʲ i t e
ненавидіти	n e n ɑ ʋ e dʲ i t e
ненависть	n e n ɑ ʋ e sʲ tʲ
ненаголошений	n e n ɐ ɦ ɔ ɫ ɔ ʃ e n e i̯
ненька	n ɛ nʲ k ɐ
неньо	n ɛ nʲ ɔ
неня	n ɛ nʲ ɐ
необхідний	n e o b xʲ i d n e i̯
необхідність	n e o b xʲ i dʲ nʲ i sʲ tʲ
неоніла	n e o nʲ i ɫ ɐ
непал	n e p ɑ ɫ
неписьменний	n e p e sʲ m ɛ nː e i̯
неписьменність	n e p e sʲ m ɛ nʲː i sʲ tʲ
неприйнятний	n e p r e i̯ nʲ ɐ t n ɪ i̯
неприйнятність	n e p r e i̯ nʲ ɑ tʲ nʲ i sʲ tʲ
неприємний	n e p r e j ɛ m n e i̯
нерівність	n e rʲ i u̯ nʲ i sʲ tʲ
нерідко	n e rʲ i d k ɔ
нескладовий	n e s k ɫ ɐ d ɔ ʋ ɪ i̯
нести	n e s t ɪ
нетерплячий	n e t e r p lʲ ɑ t͡ʃ e i̯
нетерпіння	t e r pʲ i nʲː ɐ
нетиповий	n e t e p ɔ ʋ e i̯
нетопир	n e t ɔ p ɪ r
нещасний	n e ʃ t͡ʃ ɑ s n e i̯
нещирий	n e ʃ t͡ʃ ɪ r e i̯
нещирість	n e ʃ t͡ʃ ɪ rʲ i sʲ tʲ
неістота	n e i s t ɔ t ɐ
неї	n ɛ j i
нива	n ɪ ʋ ɐ
низ	n ɪ z
низка	n ɪ z k ɐ
низький	n e zʲ k ɪ i̯
ними	n ɪ m e
нині	n ɪ nʲ i
нирка	n ɪ r k ɐ
нити	n ɪ t e
нитка	n ɪ t k ɐ
них	n ɪ x
нищити	n ɪ ʃ t͡ʃ e t e
новаторство	n ɔ ʋ ɑ t ɔ r s t w ɔ
новаторський	n ɔ ʋ ɑ t ɔ r sʲ k e i̯
новизна	n ɔ ʋ e z n ɑ
новий	n ɔ ʋ ɪ i̯
новина	n ɔ ʋ e n ɑ
новини	n ɔ ʋ e n ɪ
новини	n ɔ ʋ ɪ n e
новорічний	n ɔ w o rʲ i t͡ʃ n e i̯
нога	n ɔ ɦ ɑ
ножиці	n ɔ ʒ e t͡sʲ i
номер	n ɔ m e r
норвегія	n ɔ r ʋ ɛ ɦʲ i j ɐ
норвезький	n ɔ r ʋ ɛ zʲ k e i̯
норма	n ɔ r m ɐ
нормальний	n ɔ r m ɑ lʲ n e i̯
нормальність	n ɔ r m ɑ lʲ nʲ i sʲ tʲ
нормалізувати	n ɔ r m ɐ lʲ i z ʊ ʋ ɑ t e
носилки	n ɔ s ɪ ɫ k e
носити	n ɔ s ɪ t e
носоріг	n ɔ s o rʲ i ɦ
ночвах	n ɔ t͡ʃ ʋ ɐ x
ночви	n ɔ t͡ʃ ʋ e
ночі	n ɔ t͡ʃʲ i
ноша	n ɔ ʃ ɐ
ноші	n ɔ ʃʲ i
нудний	n ʊ d n ɪ i̯
нуль	n u lʲ
нутрощі	n u t r ɔ ʃ t͡ʃʲ i
нього	nʲ ɔ ɦ ɔ
нюх	nʲ u x
нюхати	nʲ u x ɐ t e
нянів	nʲ ɑ nʲ i u̯
ні	nʲ i
нігер	nʲ i ɦ e r
ніготь	nʲ i ɦ ɔ tʲ
нідерланди	nʲ i d e r ɫ ɑ n d e
нідерландський	nʲ i d e r ɫ ɑ n d͡zʲ sʲ k e i̯
ніж	nʲ i ʒ
ніжний	nʲ i ʒ n e i̯
ніздре	nʲ i z d r e
ніздрею	nʲ i z d r e j ʊ
ніздрю	nʲ i z dʲ rʲ ʊ
ніздря	nʲ i z dʲ rʲ ɐ
ніздрям	nʲ i z dʲ rʲ ɐ m
ніздрями	nʲ i z dʲ rʲ ɐ m e
ніздрях	nʲ i z dʲ rʲ ɐ x
ніздрі	nʲ i z dʲ rʲ i
ніздрів	nʲ i z dʲ rʲ i u̯
ній	nʲ i i̯
нікарагуа	nʲ i k ɐ r ɑ ɦ ʊ ɐ
ніколи	nʲ i k ɔ ɫ e
німа	nʲ i m ɑ
німець	nʲ i m e t͡sʲ
німецька	nʲ i m ɛ t͡sʲ k ɐ
німецький	nʲ i m ɛ t͡sʲ k e i̯
німеччина	nʲ i m ɛ t͡ʃː e n ɐ
німий	nʲ i m ɪ i̯
німка	nʲ i m k ɐ
ніс	nʲ i s
ніхто	nʲ i x t ɔ
ніч	nʲ i t͡ʃ
нічий	nʲ i t͡ʃ ɪ i̯
нічия	nʲ i t͡ʃ e j ɑ
нічиє	nʲ i t͡ʃ e j ɛ
нічиї	nʲ i t͡ʃ e j i
нічліг	nʲ i t͡ʃ lʲ i ɦ
ніщо	nʲ i ʃ t͡ʃ ɔ
о	ɔ
об'єднання	ɔ b j ɛ d n ɐ nʲː ɐ
об'єкт	ɔ b j ɛ k t
об'єм	ɔ b j ɛ m
обговорення	ɔ b ɦ ɔ w ɔ r e nʲː ɐ
обдурити	ɔ b d ʊ r ɪ t e
обдурювати	o b d u rʲ ʊ ʋ ɐ t e
обережний	ɔ b e r ɛ ʒ n e i̯
обережно	ɔ b e r ɛ ʒ n ɔ
область	ɔ b ɫ ɐ sʲ tʲ
обличчя	ɔ b ɫ ɪ t͡ʃʲː ɐ
обманути	ɔ b m ɐ n u t e
обманювати	ɔ b m ɑ nʲ ʊ ʋ ɐ t e
обов'язковий	ɔ b ɔ ʋ j ɐ z k ɔ ʋ e i̯
обов'язок	ɔ b ɔ ʋ j ɐ z ɔ k
обожнювати	ɔ b ɔ ʒ nʲ ʊ ʋ ɐ t e
оборона	ɔ b ɔ r ɔ n ɐ
оборонити	ɔ b ɔ r ɔ n ɪ t e
обороняти	ɔ b ɔ r ɔ nʲ ɑ t e
образ	ɔ b r ɐ z
обрус	o b r u s
обрус	ɔ b r ʊ s
обсерваторія	ɔ b s e r ʋ ɐ t ɔ rʲ i j ɐ
обставина	ɔ b s t ɑ ʋ e n ɐ
обсяг	ɔ b sʲ ɐ ɦ
обід	o bʲ i d
обід	ɔ bʲ i d
обіцянка	ɔ bʲ i t͡sʲ ɑ n k ɐ
обіцяти	ɔ bʲ i t͡sʲ ɑ t e
овес	ɔ ʋ ɛ s
овоч	ɔ w ɔ t͡ʃ
овід	ɔ ʋʲ i d
огайо	ɔ ɦ ɑ j ɔ
огляд	ɔ ɦ lʲ ɐ d
оглядати	ɔ ɦ lʲ ɐ d ɑ t e
оглядини	ɔ ɦ lʲ ɑ d e n e
оглянути	ɔ ɦ lʲ ɑ n ʊ t e
огірок	ɔ ɦʲ i r ɔ k
одежа	ɔ d ɛ ʒ ɐ
оден	ɔ d ɛ n
одержати	ɔ d ɛ r ʒ ɐ t e
одержувати	ɔ d ɛ r ʒ ʊ ʋ ɐ t e
одержувач	ɔ d ɛ r ʒ ʊ ʋ ɐ t͡ʃ
одержувача	ɔ d ɛ r ʒ ʊ ʋ ɐ t͡ʃ ɐ
одержувачка	ɔ d ɛ r ʒ ʊ ʋ ɐ t͡ʃ k ɐ
одержувачів	ɔ d ɛ r ʒ ʊ ʋ ɐ t͡ʃʲ i u̯
одеса	ɔ d ɛ s ɐ
один	ɔ d ɪ n
одинадцятий	ɔ d e n ɑ d͡zʲ t͡sʲ ɐ t e i̯
одинадцять	ɔ d e n ɑ d͡zʲ t͡sʲ ɐ tʲ
одна	ɔ d n ɑ
однина	ɔ d n e n ɑ
одно	ɔ d n ɔ
одноголосний	ɔ d n ɔ ɦ ɔ ɫ ɔ s n e i̯
однокласниця	ɔ d n ɔ k ɫ ɑ s n e t͡sʲ ɐ
одночасний	ɔ d n ɔ t͡ʃ ɑ s n e i̯
одночасно	ɔ d n ɔ t͡ʃ ɑ s n ɔ
одночасність	ɔ d n ɔ t͡ʃ ɑ sʲ nʲ i sʲ tʲ
одружуватися	o d r u ʒ ʊ ʋ ɐ t e sʲ ɐ
одуд	ɔ d ʊ d
одяг	ɔ dʲ ɐ ɦ
одягти	ɔ dʲ ɐ ɦ t ɪ
ожина	ɔ ʒ ɪ n ɐ
озеро	ɔ z e r ɔ
озерце	ɔ z e r t͡s ɛ
озерце	ɔ z ɛ r t͡s e
озимий	ɔ z ɪ m e i̯
озимі	ɔ z ɪ mʲ i
ознака	ɔ z n ɑ k ɐ
океан	ɔ k e ɑ n
око	ɔ k ɔ
окріп	o k rʲ i p
оксана	ɔ k s ɑ n ɐ
окуляри	ɔ k ʊ lʲ ɑ r e
оладка	ɔ ɫ ɑ d k ɐ
оладок	ɔ ɫ ɑ d ɔ k
олександр	ɔ ɫ e k s ɑ n d r
олена	ɔ ɫ ɛ n ɐ
олень	ɔ ɫ e nʲ
олива	ɔ ɫ ɪ ʋ ɐ
олин	ɔ ɫ e n
олово	ɔ ɫ ɔ w ɔ
ольга	ɔ lʲ ɦ ɐ
олівець	ɔ lʲ i ʋ ɛ t͡sʲ
олія	o lʲ i j ɐ
оман	ɔ m ɑ n
онук	o n u k
онука	o n u k ɐ
опариш	ɔ p ɑ r e ʃ
опера	ɔ p e r ɐ
операція	ɔ p e r ɑ t͡sʲ i j ɐ
опис	ɔ p e s
описати	ɔ p e s ɑ t e
описувати	ɔ p ɪ s ʊ ʋ ɐ t e
опозиція	ɔ p ɔ z ɪ t͡sʲ i j ɐ
опонент	ɔ p ɔ n ɛ n t
опубліковувати	ɔ p ʊ b lʲ i k ɔ w ʊ ʋ ɐ t e
опублікувати	ɔ p ʊ b lʲ i k ʊ ʋ ɑ t e
опір	ɔ pʲ i r
оранжевий	ɔ r ɑ n ʒ e ʋ e i̯
оргазм	ɔ r ɦ ɑ z m
орган	ɔ r ɦ ɐ n
орган	ɔ r ɦ ɑ n
органи	ɔ r ɦ ɐ n e
органи	ɔ r ɦ ɑ n e
органів	ɔ r ɦ ɐ nʲ i u̯
органів	ɔ r ɦ ɑ nʲ i u̯
організацій	ɔ r ɦ ɐ nʲ i z ɑ t͡sʲ i i̯
організаційний	ɔ r ɦ ɐ nʲ i z ɐ t͡sʲ i i̯ n e i̯
організацію	ɔ r ɦ ɐ nʲ i z ɑ t͡sʲ i j ʊ
організація	ɔ r ɦ ɐ nʲ i z ɑ t͡sʲ i j ɐ
організаціям	ɔ r ɦ ɐ nʲ i z ɑ t͡sʲ i j ɐ m
організаціями	ɔ r ɦ ɐ nʲ i z ɑ t͡sʲ i j ɐ m e
організаціях	ɔ r ɦ ɐ nʲ i z ɑ t͡sʲ i j ɐ x
організаціє	ɔ r ɦ ɐ nʲ i z ɑ t͡sʲ i j e
організацією	ɔ r ɦ ɐ nʲ i z ɑ t͡sʲ i j e j ʊ
організації	ɔ r ɦ ɐ nʲ i z ɑ t͡sʲ i j i
організм	ɔ r ɦ ɐ nʲ i z m
організми	ɔ r ɦ ɐ nʲ i z m e
організмів	ɔ r ɦ ɐ nʲ i zʲ mʲ i u̯
організувати	ɔ r ɦ ɐ nʲ i z ʊ ʋ ɑ t e
орден	ɔ r d e n
орел	ɔ r ɛ ɫ
оригінальний	ɔ r e ɦʲ i n ɑ lʲ n e i̯
оригінальність	ɔ r e ɦʲ i n ɑ lʲ nʲ i sʲ tʲ
орудний	o r u d n e i̯
оса	ɔ s ɑ
освіта	ɔ sʲ ʋʲ i t ɐ
освітній	ɔ sʲ ʋʲ i tʲ nʲ i i̯
освітологія	ɔ sʲ ʋʲ i t ɔ ɫ ɔ ɦʲ i j ɐ
осел	ɔ s ɛ ɫ
оселедець	ɔ s e ɫ ɛ d e t͡sʲ
осердя	ɔ s ɛ r dʲ ɐ
осло	ɔ s ɫ ɔ
основа	ɔ s n ɔ ʋ ɐ
особа	ɔ s ɔ b ɐ
особистий	ɔ s ɔ b ɪ s t e i̯
особливий	ɔ s ɔ b ɫ ɪ ʋ e i̯
особливо	ɔ s ɔ b ɫ ɪ w ɔ
особливість	ɔ s ɔ b ɫ ɪ ʋʲ i sʲ tʲ
особовий	ɔ s ɔ b ɔ ʋ e i̯
останній	ɔ s t ɑ nʲː i i̯
острів	ɔ s tʲ rʲ i u̯
осінній	o sʲ i nʲː i i̯
осінь	ɔ sʲ i nʲ
отава	ɔ t ɑ ʋ ɐ
отець	ɔ t ɛ t͡sʲ
отже	ɔ d ʒ e
отримати	ɔ t r ɪ m ɐ t e
отримувати	ɔ t r ɪ m ʊ ʋ ɐ t e
отруйний	o t r u i̯ n e i̯
отрута	o t r u t ɐ
отруїти	ɔ t r ʊ j i t e
офіс	ɔ fʲ i s
офіціант	ɔ fʲ i t͡sʲ i ɑ n t
офіціантка	ɔ fʲ i t͡sʲ i ɑ n t k ɐ
охорона	ɔ x ɔ r ɔ n ɐ
