অ	ɔ
বনোৱা	b ɒ n ʊ a
বন্ধ	b ɒ n
বন্ধ	b ɒ n dʱ
বন্ধ	b ɒ n dʱ ɒ
বন্ধনী	b ɒ n dʱ ɒ n i
বন্ধা	b ɒ n dʱ a
বন্ধাকবি	b ɒ n dʱ a k ɒ b i
বমি	b ɒ m i
বল	b ɒ l
বলা	b ɒ l a
বলাৎকাৰ	b ɒ l a t k a ɹ
বস্তু	b ɔ s t u
বহ	b ɒ ɦ
বহল	b ɒ ɦ ɒ l
বহলোৱা	b ɒ ɦ ɒ l ʊ a
বহা	b ɒ ɦ a
বহাগ	b ɒ ɦ a ɡ
বহিখোৱা	b ɒ ɦ i kʰ ʊ a
বহী	b ɔ ɦ i
বহোৱা	b ɒ ɦ ʊ a
বা	b a
বা	b aː
বাঁহ	b ãʱ
বাঁহগাজ	b ãʱ ɡ a z
বাঁহপাতী	b ãʱ p a t i
বাঁহফুল	b ãʱ pʰ u l
বাঁহী	b ã ɦ i
বাঃ	b aʱ
বাঃ	b aː
বাই	b a ɪ
বাইচন	b a ɪ s ɒ n
বাইছ	b a ɪ s
বাইদেউ	b a ɪ d ó
বাইদেউ	b a ɪ d ɛ ʊ
বাউল	b a u l
বাওঁ	b a ʊ̃
বাওঁফাল	b a ʊ̃ pʰ a l
বাওঁফাললৈ	b a ʊ̃ pʰ a l ɒ l ɔ ɪ
বাওঁফালে	b a ʊ̃ pʰ a l ɛ
বাকচ	b a k ɒ s
বাকলি	b a k ɒ l i
বাকী	b a k i
বাগান	b a ɡ a n
বাগিচা	b a ɡ i s a
বাঙ্গনা	b a ŋ ɒ n a
বাচ	b a s
বাচন	b a s ɒ n
বাছ	b a s
বাজ	b a z
বাজে	b a z ɛ
বাট	b a t
বাটি	b a t i
বাঢ়	b a ɹ
বাঢ়	b a ɹʱ
বাঢ়	b aʱ
বাঢ়নী	b a ɦ ɒ n i
বাঢ়নী	b a ɹʱ ɒ n i
বাঢ়া	b a ɦ a
বাঢ়া	b a ɹ a
বাঢ়া	b a ɹʱ a
বাঢ়ৈ	b a ɦ ɔ ɪ
বাঢ়ৈ	b a ɹ ɔ ɪ
বাঢ়ৈ	b a ɹʱ ɔ ɪ
বাঢ়ৈটোকা	b a ɹʱ ɔ ɪ t ʊ k a
বাদুলি	b a d u l i
বাধা	b a dʱ a
বান	b a n
বানপানী	b a n p a n i
বানান	b a n a n
বান্দৰ	b a n d ɒ ɹ
বান্ধ	b a n dʱ
বান্ধ	b a nʱ
বান্ধা	b a n dʱ a
বাপ	b a p
বাবুৰ্চি	b a b u ɹ s i
বাম	b a m
বামী	b a m i
বাল	b a l
বালি	b a l i
বালিছ	b a l i s
বালু	b a l u
বাল্টি	b a l t i
বাল্টিং	b a l t i ŋ
বাল্য	b a ɪ l l ɒ
বাল্যকাল	b a ɪ l l ɒ k a l
বালৰ	b a l ɒ ɹ
বাষষ্ঠি	b a x ɒ s tʰ i
বাসত্তৰ	b a x ɒ t t ɒ ɹ
বাহ	b aʱ
বাহা	b a ɦ a
বাহিৰ	b a ɦ i ɹ
বাহিৰত	b a ɦ i ɹ ɒ t
বাহিৰা	b a ɦ i ɹ a
বাহিৰে	b a ɦ i ɹ ɛ
বাহু	b a ɦ u
বাৰি	b a ɹ i
বাৰিষা	b a ɹ i x a
বাৱন	b a ɒ n
বিক	b i k
বিকা	b i k a
বিচ	b i s
বিচনী	b i s ɔ n i
বিচাৰ	b i s a ɹ
বিচাৰা	b i s a ɹ a
বিচৰা	b i s ɒ ɹ a
বিছ	b i s
বিছনা	b i s ɔ n a
বিছা	b i s a
বিজুলী	b i z u l i
বিনা	b i n a
বিনামূলীয়া	b i n a m u l i a
বিন্ধা	b i n dʱ a
বিমানবন্দৰ	b i m a n b ɒ n d ɒ ɹ
বিয়লি	b i ɒ l i
বিয়া	b i a
বিয়ান্নব্বৈ	b i a n n ɒ b b ɔ ɪ
বিয়াল্লিছ	b i a l l i s
বিয়াশী	b i a x i
বিল	b i l
বিলগ	b i l ɒ ɡ
বিলা	b i l a
বিলাতী	b i l a t i
বিলাহী	b i l a ɦ i
বিষ	b i x
বিষয়	b i x ɒ j
বিষোৱা	b i x ʊ a
বিহ	b iʱ
বিহান	b i ɦ a n
বিহু	b i ɦ u
বিৰালী	b i ɹ a l i
বিৰিং	b i ɹ i ŋ
বুকু	b u k u
বুজা	b u z a
বুট	b u t
বুটাম	b u t a m
বুধবাৰ	b u d b a ɹ
বুলা	b u l a
বুলি	b u l i
বুলীয়া	b u l i a
বৃশ্চিক	b i s s i k
বৃশ্চিক	b ɹ i s s i k
বৃহস্পতিবাৰ	b i ɦ ɒ s p ɒ t i b a ɹ
বৃহস্পতিবাৰ	b ɹ iʱ ɒ s p ɒ t i b a ɹ
বেঁকা	b ẽ k a
বেং	b ɛ ŋ
বেংক	b ɛ ŋ k
বেংছটা	b ɛ ŋ s ɒ t a
বেংছাটি	b ɛ ŋ s a t i
বেক্টেৰিয়া	b ɛ k t ɛ ɹ i a
বেগ	b ɛ ɡ
বেঙুনীয়া	b ɛ ŋ u n i a
বেঙুনীয়া	b ɛ ɡ u n i a
বেঙেনা	b ɛ ŋ ɛ n a
বেচ	b ɛ s
বেছি	b ɛ s i
বেজ	b ɛ z
বেজী	b e z i
বেত	b ɛ t
বেপাৰ	b ɛ p a ɹ
বেপাৰী	b ɛ p a ɹ i
বেপৰোৱা	b ɛ p ɒ ɹ ʊ a
বেমাৰ	b ɛ m a ɹ
বেয়া	b ɛ a
বেল	b ɛ l
বেলা	b ɛ l a
বেলি	b e l i
বেলেগ	b ɛ l ɛ ɡ
বেলেগকৈ	b ɛ l ɛ ɡ k ɔ ɪ
বেল্ট	b ɛ l
বেল্ট	b ɛ l t
বেহাৰ	b ɛ ɦ a ɹ
বেহেলা	b ɛ ɦ ɛ l a
বেৰ	b ɛ ɹ
বেৰা	b ɛ ɹ a
বেৰেটি	b ɛ ɹ ɛ t i
বৈহাগ	b ɔ ɪ ɦ a ɡ
বৈৰ্হান	b ɔ ɪ ɾ ɦ a n
বোকা	b ʊ k a
বোজা	b ʊ z a
বোপা	b ʊ p a
বোপাই	b ʊ p a ɪ
বোল	b ʊ l
বোলা	b ʊ l a
বোৱনী	b ʊ n i
বোৱা	b ʊ a
বোৱাৰী	b ʊ a ɹ i
ব্যাখ্যা	b a ɪ k kʰ a
ব্যৱহাৰ	b e ɔ ɦ a ɹ
ব্যৱহাৰ	b ɛ b ɔ ɦ a ɹ
বৎচোৱানা	b ɒ s s ʊ a n a
বৎচোৱানা	b ɒ t s ʊ a n a
বৰণ	b ɒ ɹ ɒ n
বৰণীয়া	b ɒ ɹ ɒ n i a
বৰদেউতা	b ɒ ɹ ɒ d ɛ u t a
বৰদৈচিলা	b ɒ ɹ d ɔ ɪ s i l a
বৰফ	b ɔ ɹ ɔ f
বৰফ	b ɔ ɹ ɔ pʰ
বৰফ	b ɔ ɹ ɔ ɸ
বৰমা	b ɒ ɹ m a
বৰল	b ɒ ɹ ɒ l
বৰশী	b ɒ ɹ ɒ x i
বৰষ	b ɒ ɹ ɒ x
বৰষ	b ɒ ɹ ɒ ɦ
বৰষুণ	b ɒ ɹ ɒ x u n
বৰা	b ɒ ɹ a
বৰালি	b ɒ ɹ a l i
বৰি	b ɔ ɹ i
বৰ্ত্তা	b ɒ ɹ t t a
ব’ল	b ɔ l
ব’লক	b ɔ l ɒ k
ব’লা	b ɔ l a
ব’হাগ	b ɔ ɦ a ɡ
ভ	bʱ ɔ
ভকত	bʱ ɒ k ɒ t
ভকুৱা	bʱ ɒ k u a
ভগা	bʱ ɒ ɡ a
ভগোৱা	bʱ ɒ ɡ ʊ a
ভঙা	bʱ ɒ ŋ a
ভজা	bʱ ɒ z a
ভণ্টি	bʱ ɒ n t i
ভণ্টী	bʱ ɒ n t i
ভনী	bʱ ɔ n i
ভনীটি	bʱ ɒ n i t i
ভবা	bʱ ɒ b a
ভয়	bʱ ɔ e
ভয়	bʱ ɔ j
ভহা	bʱ ɒ ɦ a
ভাঁৰ	bʱ ã ɹ
ভাই	bʱ a ɪ
ভাইটি	bʱ a ɪ t i
ভাওনা	bʱ a ʊ n a
ভাগ	bʱ a ɡ
ভাগা	bʱ a ɡ a
ভাগৰ	bʱ a ɡ ɒ ɹ
ভাঙনি	bʱ a ŋ ɒ n i
ভাঙা	bʱ a ŋ a
ভাজা	bʱ a z a
ভাত	bʱ a t
ভাদ	bʱ a d ɔ
ভাপ	bʱ a p
ভাবা	bʱ a b a
ভাল	bʱ a l
ভালকে	bʱ a l k ɛ
ভালকৈ	bʱ a l k ɔ ɪ
ভালনে	bʱ a l n ɛ
ভালপোৱা	bʱ a l p ʊ a
ভালুক	bʱ a l u k
ভাষা	bʱ a x a
ভাহা	bʱ a ɦ a
ভাৰত	bʱ a ɹ ɔ t
ভাৰতীয়	bʱ a ɹ ɒ t i ɒ
ভাৰতীয়া	bʱ a ɹ ɔ t i a
ভাৰী	bʱ a ɹ i
ভিজা	bʱ i z a
ভিজোৱা	bʱ i z ʊ a
ভিতৰ	bʱ i t ɒ ɹ
ভিতৰত	bʱ i t ɒ ɹ ɒ t
ভিতৰুৱা	bʱ i t ɒ ɹ u a
ভিতৰুৱাল	bʱ i t ɒ ɹ u a l
ভুকা	bʱ u k a
ভুৱা	bʱ u a
ভূঁই	bʱ ũ i
ভূঁইকঁপ	bʱ ũ i k ɒ̃ p
ভূটীয়া	bʱ u t i a
ভূত	bʱ u t
ভূৰ	bʱ u ɹ
ভেক	bʱ ɛ k
ভেকোলা	bʱ ɛ k ʊ l a
ভেটা	bʱ ɛ t a
ভেড়া	bʱ ɛ ɹ a
ভেল	bʱ ɛ l
ভেলা	bʱ ɛ l a
ভেলেকী	bʱ ɛ l ɛ k i
ভেৰা	bʱ ɛ ɹ a
ভৈয়াম	bʱ ɔ ɪ a m
ভোক	bʱ ʊ k
ভোক্তা	bʱ ʊ k t a
ভোজ	bʱ ʊ z
ভোট	bʱ ʊ t
ভোৰ	bʱ ʊ ɹ
ভৰা	bʱ ɒ ɹ a
ভৰি	bʱ ɔ ɹ i
ভৰোৱা	bʱ ɒ ɹ ʊ a
ম	m ɔ
মই	m ɒ i
মইনা	m ɒ i n a
মকৰা	m ɒ k ɒ ɹ a
মগ	m ɒ ɡ
মগজ	m ɒ ɡ ɒ z
মগজু	m ɒ ɡ ɒ z u
মগা	m ɒ ɡ a
মঙহ	m ɒ ŋ ɒ ɦ
মঙ্গলবাৰ	m ɒ ŋ ɒ l b a ɹ
মঙ্গলবাৰ	m ɒ ŋ ɡ ɒ l b a ɹ
মচলা	m ɒ s ɒ l a
মচা	m ɒ s a
মজা	m ɒ z a
মটীয়া	m ɒ t i a
মঠা	m ɒ tʰ a
মণি	m ɒ n i
মতা	m ɒ t a
মথাউৰি	m ɒ tʰ a u ɹ i
মধুমেহ	m ɒ dʱ u m ɛ ɦ
মধুৰি	m ɒ dʱ u ɹ i
মনা	m ɒ n a
মনিয়ৰী	m ɒ n i ɒ ɹ i
মন্ত্ৰী	m ɒ n t i
মন্ত্ৰী	m ɒ n t ɹ i
ময়ূৰ	m ɔ j u ɹ
ময়ূৰী	m ɔ j u ɹ i
মলি	m ɒ l i
মস্ত	m ɒ s t ɒ
মহ	m ɒ ɦ
মহঙা	m ɒ ɦ ɒ ŋ a
মহাসাগৰ	m ɔ ɦ a x a ɡ ɔ ɹ
মহিলা	m ɒ ɦ i l a
মহী	m ɒ ɦ i
মা	m a
মা	m aː
মাংস	m a ŋ kʰ ɔ
মাংস	m a ŋ kˣ ɔ
মাংস	m a ŋ x ɔ
মাংস	m a ŋ ʃ o
মাই	m a ɪ
মাইকী	m a ɪ k i
মাও	m a ʊ
মাকৈ	m a k ɔ ɪ
মাকো	m a k ʊ
মাক্ৰা	m a q ɾ a
মাগা	m a ɡ a
মাগুৰ	m a ɡ u ɹ
মাছ	m a s
মাছৰোকা	m a s ɹ ʊ k a
মাজ	m a z
মাজু	m a z u
মাজেদি	m a z ɛ d i
মাজেৰে	m a z ɛ ɹ ɛ
মাটি	m a t i
মাঠা	m a tʰ a
মাণিক	m a n i k
মাত	m a t
মাতা	m a t a
মাথা	m a tʰ a
মাথোঁ	m a tʰ ʊ̃
মাথোন	m a tʰ ʊ n
মান	m a n
মানচিত্ৰ	m a n s i t t ɔ
মানচিত্ৰ	m a n s i t ɹ ɔ
মানা	m a n a
মানুহ	m a n uʱ
মানুহ	m a n ɦ u
মানে	m a n ɛ
মামী	m a m i
মামৰ	m a m ɒ ɹ
মাল	m a l
মালযুঁজ	m a l z ũ z
মালিক	m a l i k
মালিকনী	m a l i k ɒ n i
মালিকানা	m a l i k a n a
মাহ	m aʱ
মাহী	m a ɦ i
মাৰা	m a ɹ a
মাৰি	m a ɹ i
মাৰ্বল	m a ɹ b ɒ l
মিছা	m i s a
মিঠা	m i tʰ a
মিঠাতেল	m i tʰ a t ɛ l
মিতিৰ	m i t i ɹ
মিস্ত্ৰী	m i s t i
মিস্ত্ৰী	m i s t ɹ i
মিহলা	m i ɦ ɒ l a
মিহলি	m i ɦ ɒ l i
মিহলোৱা	m i ɦ ɒ l ʊ a
মুকলি	m u k ɔ l i
মুখ	m u kʰ
মুখ	m u x
মুচি	m u s i
মুচী	m u s i
মুজা	m u z a
মুজুৰা	m u z u ɹ a
মুঢ়া	m u ɦ a
মুঢ়া	m u ɹ a
মুঢ়া	m u ɹʱ a
মুদা	m u d a
মুনিহ	m u n iʱ
মুহ	m uʱ
মুৱা	m u a
মূঢ়া	m u ɹʱ a
মূত	m u t
মূতা	m u t a
মূলা	m u l a
মূৰ	m u ɹ
মৃত্যু	m i t t u
মৃত্যু	m ɹ i t t u
মেকুৰী	m ɛ k u ɹ i
মেঘ	m ɛ ɡ
মেঘ	m ɛ ɡʱ
মেচেকা	m ɛ s ɛ k a
মেটেকা	m ɛ t ɛ k a
মেঠন	m ɛ tʰ ɒ n
মেঠোন	m ɛ tʰ ʊ n
মেলা	m ɛ l a
মেহ	m ɛ ɦ
মেৰামতি	m ɛ ɹ a m ɒ t i
মেৰিওৱা	m ɛ ɹ i ʊ a
মে’ওনিজ	m ɛ ʊ n ɪ z
মৈ	m ɔ ɪ
মৈটা	m ɔ ɪ t a
মৈদাম	m ɔ ɪ d a m
মৈধফল	m ɔ ɪ tʰ pʰ ɒ l
মৈলাম	m ɔ ɪ l a m
মৈৰা	m ɔ i ɹ a
মোকল	m ʊ k ɒ l
মোকলা	m ʊ k ɒ l a
মোছা	m ʊ s a
মোজা	m ʊ z a
মোত	m ʊ t
মোন	m ʊ n
মোনা	m ʊ n a
মোবাইল	m ʊ b a ɪ l
মোমাই	m ʊ m a ɪ
মোল	m ʊ l
মোলা	m ʊ l a
মোৰ	m ʊ ɹ
মৌচাক	m ɔ ʊ s a k
মৌচুমী	m ɔ ʊ s u m i
মৌপিয়া	m ɔ ʊ p i a
মৰ	m ɒ ɹ
মৰম	m ɒ ɹ ɒ m
মৰমলগা	m ɒ ɹ ɒ m l ɒ ɡ a
মৰমিয়াল	m ɒ ɹ ɒ m i a l
মৰমৰ	m ɒ ɹ ɒ m ɒ ɹ
মৰা	m ɒ ɹ a
মৰাঠাৰি	m ɒ ɹ a tʰ a ɹ i
মৰাপাট	m ɒ ɹ a p a t
মৰ্মৰ	m ɒ ɹ m ɒ ɹ
ম’হ	m ɔ ɦ
ম’ৰা	m ɔ ɹ a
য	z ɔ
যঁতৰ	z ɒ̃ t ɒ ɹ
য়	j ɔ
যাদু	z a d u
যাদুঘৰ	z a d u ɡʱ ɒ ɹ
যিমান	z i m a n
যুঁজ	z ũ z
যুঁজা	z ũ z a
যুঁজাৰু	z ũ z a ɹ u
যেতিয়া	z ɛ t i a
যেনে	z ɛ n ɛ
যোগান	z ʊ ɡ a n
যোগোৱা	z ʊ ɡ ʊ a
যোৱা	z ʊ a
য’ত	z ɔ t
ল	l ɔ
ল'ৰা	l ɔ ɹ a
লগত	l ɒ ɡ ɒ t
লগা	l ɒ ɡ a
লতা	l ɒ t a
লতাফুটুকি	l ɒ t a pʰ u t u k i
লতামাকৰি	l ɒ t a m a k ɒ ɹ i
লতামেকুৰী	l ɒ t a m ɛ k u ɹ i
লথিওৱা	l ɒ tʰ i ʊ a
লহিয়া	l ɒ ɦ i a
লহুন	l ɒ ɦ u n
লাউ	l a u
লাউখোলা	l a u kʰ ʊ l a
লাউখোলা	l a u x ʊ l a
লাও	l a ʊ
লাওখোলা	l a ʊ kʰ ʊ l a
লাওখোলা	l a ʊ x ʊ l a
লাখ	l a kʰ
লাখ	l a x
লাগ	l a ɡ
লাগা	l a ɡ a
লাজ	l a z
লাজুকা	l a z u k a
লাজুকী	l a z u k i
লাথ	l a t
লাথ	l a tʰ
লাথি	l a tʰ i
লাভ	l a b
লাভ	l a bʱ
লাৰা	l a ɹ a
লিচু	l i s u
লিপি	l i p i
লিপিষ্টিক	l i p i s t i k
লুকুউৱা	l u k u u a
লুকুৱা	l u k u a
লুটিওৱা	l u t i ʊ a
লুথুৰী	l u tʰ u ɹ i
লেচু	l ɛ s u
লেটেকু	l ɛ t ɛ k u
লেতেৰা	l ɛ t ɛ ɹ a
লেধা	l ɛ dʱ a
লেহেম	l ɛ ɦ ɛ m
লেহেমীয়া	l ɛ ɦ ɛ m i a
লো	l ʊ
লোকপ্ৰিয়	l ʊ k ɒ p i ɒ
লোকপ্ৰিয়	l ʊ k ɒ p ɹ i ɒ
লোণ	l ʊ n
লৰা	l ɒ ɹ a
লৰোৱা	l ɒ ɹ ʊ a
ল’ৰা	l ɔ ɹ a
ল’ৰালি	l ɔ ɹ a l i
ল’ৰালিকাল	l ɔ ɹ a l i k a l
শ	s
শ	x ɒ
শইচ	x ɒ i s
শকত	x ɒ k ɒ t
শক্তিশালী	x ɒ k t i x a l i
শগুন	x ɒ ɡ u n
শনিবাৰ	x ɒ n i b a ɹ
শব্দ	x ɒ b d ɒ
শল	x ɒ l
শলা	x ɒ l a
শস্য	x ɔ ɪ s s ɒ
শহা	x ɒ ɦ a
শহুৰ	x ɒ ɦ u ɹ
শাও	x a ʊ
শামুক	x a m u k
শাল	x a l
শালি	x a l i
শালিকা	x a l i k a
শাহ	x aʱ
শাহু	x a ɦ u
শাৰী	x a ɹ i
শিং	x i ŋ
শিকোওৱা	x i k ʊ ʊ a
শিকোৱা	x i k ʊ a
শিক্ষা	x i k kʰ a
শিঙৰি	x i ŋ ɒ ɹ i
শিপা	x i p a
শিপিনী	x i p i n i
শিমলু	x i m ɒ l u
শিমেলি	x i m e l i
শিয়া	x i a
শিল	x i l
শিহা	x i ɦ a
শিহু	x i ɦ u
শিহুজাহাজ	x i ɦ u z a ɦ a z
শিহৰি	x i ɦ ɒ ɹ i
শুকান	x u k a n
শুকুউৱা	x u k u a
শুকুউৱা	x u k uː a
শুকুৰবাৰ	x u k u ɹ b a ɹ
শুকুৱা	x u k u a
শুক্ৰবাৰ	x u k ɹ b a ɹ
শুঙা	x u ŋ a
শুধ	x u dʱ ɒ
শুধৰা	x u dʱ ɒ ɹ a
শুধৰোৱা	x u dʱ ɒ ɹ ʊ a
শুনা	x u n a
শূন্য	x u i n n ɒ
শেঙুন	x ɛ ŋ u n
শেলাই	x ɛ l a ɪ
শেৱালি	x ɛ w a l i
শৈশৱ	x ɔ ɪ x ɒ w
শৈশৱকাল	x ɔ ɪ x ɒ b k a l
শোৱা	x ʊ a
শ্ৰদ্ধা	s ɹ ɒ d dʱ a
শ্ৰীলংকা	s i l ɒ ŋ k a
শ্ৰীলংকা	s i ɹ i l ɒ ŋ k a
শ্ৰীলংকা	s ɹ i l ɒ ŋ k a
শৰণাৰ্থী	x ɒ ɹ ɒ n a ɹ tʰ i
শৰালি	x ɒ ɹ a l i
শ’ল	x ɔ l
ষ	s
ষ	x ɒ
ষাঠি	x a tʰ i
স	s
স	x ɒ
সঁচা	x ɒ̃ s a
সঁজুলি	x ɒ̃ z u l i
সকলো	x ɒ k ɒ l ʊ
সকলোতকে	x ɒ k ɒ l ʊ t k ɛ
সকলোতকৈ	x ɒ k ɒ l ʊ t k ɔ ɪ
সজা	x ɒ z a
সজোৱা	x ɒ z ʊ a
সতেজ	x ɒ t ɛ z
সত্তৰ	x ɒ t t ɒ ɹ
সদৰ	x ɒ d ɒ ɹ
সনা	x ɒ n a
সন্দেহ	x ɔ n d ɛʱ
সন্ধিয়া	x ɒ n dʱ i a
সন্মান	x ɒ n m a n
সপান	x ɒ p a n
সপোন	x ɒ p ʊ n
সবাতোকে	x ɒ b a t ʊ k ɛ
সবাতোকৈ	x ɒ b a t ʊ k ɔ ɪ
সমনীয়া	x ɒ m ɒ n i a
সময়	x ɔ m ɔ ɛ
সমান	x m a n
সলনি	x ɒ l ɒ n i
সলোৱা	x ɒ l ʊ a
সহা	x ɒ ɦ a
সাঁকো	x ã k ʊ
সাঁচ	x ã s
সাঁচা	x ã s a
সাঁজ	x ã z
সাঁফৰ	x ã pʰ ɒ ɹ
সাগৰ	x a ɡ ɔ ɹ
সাজ	x a z
সাজু	x a z u
সাজো	x a z ʊ
সাত	x a t
সাতচল্লিছ	x a t s ɒ l l i s
সাতত্ৰিছ	x a t ɒ t ɹ i s
সাতষষ্ঠি	x a t x ɒ s tʰ i
সাতসত্তৰ	x a t x ɒ t t ɒ ɹ
সাতাইছ	x a t a ɪ s
সাতান্নব্বৈ	x a t a n n ɒ b b ɔ ɪ
সাতাশী	x a t a x i
সাতাৱন	x a t a ɒ n
সানা	x a n a
সাপ	x a p
সাবট	x a b ɔ t
সাবট	x a β ɔ t
সামৰ	x a m ɒ ɹ
সাহ	x aʱ
সাৰেং	x a ɹ ɛ ŋ
সি	x i
সিঁচা	x i s a
সিজা	x i z a
সিজোৱা	x i z ʊ a
সিমান	x i m a n
সিহঁত	x iʱ ɒ̃ t
সিহঁতৰ	x iʱ ɒ̃ t ɒ ɹ
সিৰ	x i ɹ
সীওৱা	x i ʊ a
সীয়া	x i a
সুঁতি	x ũ t i
সুণীয়া	x u n i a
সুবিধা	x u b i dʱ a
সুমথিৰা	x u m tʰ i ɹ a
সূচোৱা	x u s ʊ a
সূত	x u t
সূতা	x u t a
সূতাৰ	x u t a ɹ
সেইটো	x ɛ i t ʊ
সেউজীয়া	x ɛ u z i a
সেকা	x ɛ k a
সেমেকা	x ɛ m ɛ k a
সৈতে	x ɔ ɪ t ɛ
সোঁ	x ʊ̃
সোঁত	x ʊ̃ t
সোঁতা	x ʊ̃ t a
সোঁফাল	x ʊ̃ pʰ a l
সোঁফালে	x ʊ̃ pʰ a l ɛ
সোণ	x ʊ n
সোণালী	x ʊ n a l i
সোণৰ	x ʊ n ɒ ɹ
সোতৰ	x ʊ t ɒ ɹ ɒ
সোধা	x ʊ dʱ a
সোনাৰি	x ʊ n a ɹ i
সোপা	x ʊ p a
সোমবাৰ	x ʊ m b a ɹ
সোমোৱা	x ʊ m ʊ a
সোৱাদ	x ʊ a d
স্কুল	i s k u l
স্কুল	s k u l
সৰ	x ɒ ɹ
সৰা	x ɒ ɹ a
সৰু	x ɒ ɹ u
হ	ɦ ɒ
হঁতে	ɦ ɒ̃ t ɛ
হঁহা	ɦ ɔ ɦ a
হগা	ɦ ɒ ɡ a
হজম	ɦ ɒ z ɒ m
হতেন	ɦ ɒ t ɛ n
হনা	ɦ ɒ n a
হয়	ɦ ɒ j
হয়	ɦ ɒ é
হলা	ɦ ɒ l a
হলোৱা	ɦ ɒ l ʊ a
হলৌ	ɦ ɒ l ɔ ʊ
হাঁওফাঁও	ɦ ã ʊ pʰ ã ʊ
হাঁচি	ɦ ã s i
হাঁচিওৱা	ɦ ã s i ʊ a
হাঁহ	ɦ ã ɦ
হাঁহঠুঁটীয়া	ɦ ã ɦ tʰ ũ t i a
হাওৰ	ɦ a ʊ ɹ
হাকিম	ɦ a k i m
হাগা	ɦ a ɡ a
হাজাৰ	ɦ a z a ɹ
হাট	ɦ a t
হাটী	ɦ a t i
হাড়	ɦ a ɹ
হাড়গিলা	ɦ a ɹ ɡ i l a
হাতমোজা	ɦ a t m ʊ z a
হাথী	ɦ a tʰ i
হাদং	ɦ a d ɒ ŋ
হানা	ɦ a n a
হাবি	ɦ a b i
হামি	ɦ a m i
হামিওৱা	ɦ a m i ʊ a
হাল	ɦ a l
হালধি	h a l ɔ dʱ i
হালধীয়া	ɦ a l ɒ dʱ i a
হালুৱা	ɦ a l u a
হালোৱা	ɦ a l ʊ a
হাহাকাৰ	ɦ a ɦ a k a ɹ
হাৰা	ɦ a ɹ a
হাৱৰ	ɦ a ɒ ɹ
হিংসা	ɦ i ŋ kʰ a
হিংসা	ɦ i ŋ x a
হিচাপ	ɦ i s a p
হিয়া	ɦ i a
হীৰা	ɦ i ɹ a
হুৱাদুৱা	ɦ u a d u a
হেঁচা	ɦ ẽ s a
হেঁতেন	ɦ ẽ t ɛ n
হেঁপাহ	ɦ ẽ p aʱ
হেংদাং	ɦ ɛ ŋ d a ŋ
হেঙাৰ	ɦ ɛ ŋ a ɹ
হেজাৰ	ɦ ɛ z a ɹ
হেৰুউৱা	ɦ ɛ ɹ u a
হেৰুউৱা	ɦ ɛ ɹ uː a
হেৰোৱা	ɦ ɛ ɹ ʊ a
হৈ	ɦ ɔ ɪ
হোপা	ɦ ʊ p a
হোৱা	ɦ ʊ a
হৰা	ɦ ɒ ɹ a
ৰ	ɹ ɔ
ৰং	ɹ ɒ ŋ
ৰখা	ɹ ɒ kʰ a
ৰঙা	ɹ ɒ ŋ a
ৰঙালাও	ɹ ɒ ŋ a l a ʊ
ৰঙোৱা	ɹ ɒ ŋ ʊ a
ৰচনা	ɹ ɒ s ɒ n a
ৰছী	ɹ ɒ s i
ৰজা	ɹ ɒ z a
ৰন্ধা	ɹ ɔ n dʱ a
ৰবিবাৰ	ɹ ɒ b i b a ɹ
ৰভা	ɹ ɒ bʱ a
ৰস	ɹ ɒ x
ৰহ	ɹ ɒ ɦ
ৰহঘৰা	ɹ ɒ ɦ ɡʱ ɒ ɹ a
ৰহণ	ɹ ɒ ɦ ɒ n
ৰাং	ɹ a ŋ
ৰাংঢালী	ɹ a ŋ dʱ a l i
ৰাংপতা	ɹ a ŋ p ɒ t a
ৰাইজ	ɹ a ɪ z
ৰাতি	ɹ a t i
ৰাতিপুৱা	ɹ a t i p u a
ৰান্ধনি	ɹ a n dʱ ɒ n i
ৰান্ধা	ɹ a n dʱ a
ৰামধেনু	ɹ a m dʱ ɛ n u
ৰিক্সা	ɹ i k s a
ৰিজোৱা	ɹ i z ʊ a
ৰুটি	ɹ u t i
ৰুমাল	ɹ u m a l
ৰোকা	ɹ ʊ k a
ৰোৱা	ɹ ʊ a
ৰৌ	ɹ ɔ ʊ
ৰ’দ	ɹ ɔ d
ৰ’দোৱা	ɹ ɔ d ʊ a
ৱ	w ɔ
ৱ	β ɔ
