reconstruction:gothic/𐌲𐌿𐍄𐌰	ɡ u t a
𐍆𐌰𐌹𐍂𐍅𐌰𐌿𐍂𐌺𐌾𐌰𐌽	f ɛ r w ɔ r k j a n
𐍆𐌰𐌹𐍂𐍅𐌰𐌿𐍂𐌺𐌾𐌰𐌽𐌳	f ɛ r w ɔ r k j a n d
𐍆𐌰𐌹𐍂𐍈𐌿𐍃	f ɛ r ʍ u s
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌷𐌿𐌲𐌹𐌳𐌰	f ɔ r a ɡ a h u ɡ i d a
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌷𐌿𐌲𐌾𐌰𐌽	f ɔ r a ɡ a h u ɡ j a n
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌻𐌴𐌹𐌺𐌰𐌹𐌳𐌰	f ɔ r a ɡ a l iː k ɛː d a
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌻𐌴𐌹𐌺𐌰𐌽	f ɔ r a ɡ a l iː k aː n
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌼𐌰𐌽𐍅𐌹𐌳𐌰	f ɔ r a ɡ a m a n w i d a
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌼𐌰𐌽𐍅𐌾𐌰𐌹𐌽𐌰	f ɔ r a ɡ a m a n w j ɛː n a
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌼𐌰𐌽𐍅𐌾𐌰𐌽	f ɔ r a ɡ a m a n w j a n
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌼𐌴𐌻𐌹𐌳𐌰	f ɔ r a ɡ a m eː l i d a
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌼𐌴𐌻𐌹𐌸	f ɔ r a ɡ a m eː l i θ
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌼𐌴𐌻𐌹𐌸𐍃	f ɔ r a ɡ a m eː l i θ s
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌼𐌴𐌻𐌾𐌰𐌽	f ɔ r a ɡ a m eː l j a n
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐍂𐌰𐌹𐍂𐍉𐌸	f ɔ r a ɡ a r ɛː r oː θ
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐍂𐌴𐌳𐌰𐌽	f ɔ r a ɡ a r eː d a n
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐍂𐌴𐌳𐌰𐌽𐌰𐌹	f ɔ r a ɡ a r eː d a n ɛː
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐍂𐌴𐌳𐌰𐌽𐍃	f ɔ r a ɡ a r eː d a n s
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐍃𐌰𐍄𐌾𐌰𐌽	f ɔ r a ɡ a s a t j a n
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐍃𐌰𐍄𐌾𐌹𐌸	f ɔ r a ɡ a s a t j i θ
𐍆𐌰𐌿𐍂𐌰𐌳𐌰𐌿𐍂𐌹	f ɔ r a d ɔ r i
𐍆𐌰𐌿𐍂𐌰𐌳𐌰𐌿𐍂𐌾𐌰	f ɔ r a d ɔ r j a
𐍆𐌰𐌿𐍂𐌰𐌵𐌹𐌼𐌰𐌽	f ɔ r a kʷ i m a n
𐍆𐌰𐌿𐍂𐌰𐌵𐌹𐌼𐌹𐌸	f ɔ r a kʷ i m i θ
𐍆𐌰𐌿𐍂𐌰𐌷𐌰𐌷	f ɔ r a h aː h
𐍆𐌰𐌿𐍂𐌰𐌹𐍃𐍄	f ɔ r a i s t
𐍆𐌰𐌿𐍂𐌰𐌼𐌰𐌸𐌻𐌾𐌰	f ɔː r a m a θ l j a
𐍆𐌰𐌿𐍂𐌰𐌼𐌰𐌸𐌻𐌾𐌴	f ɔː r a m a θ l j eː
𐍆𐌰𐌿𐍂𐌰𐌼𐌰𐌸𐌻𐌾𐍉𐍃	f ɔː r a m a θ l j oː s
𐍆𐌰𐌿𐍂𐌰𐌼𐌰𐌽𐍅𐌾𐌰𐌽	f ɔ r a m a n w j a n
𐍆𐌰𐌿𐍂𐌰𐌼𐌰𐌽𐍅𐌾𐌰𐌽𐌳𐌴𐌹	f ɔ r a m a n w j a n d iː
𐍆𐌰𐌿𐍂𐌰𐌼𐌰𐌽𐍅𐌾𐌰𐌽𐌳𐍃	f ɔ r a m a n w j a n d s
𐍆𐌰𐌿𐍂𐌰𐌼𐌴𐌻𐌹𐌸𐍃	f ɔ r a m eː l i θ s
𐍆𐌰𐌿𐍂𐌰𐌼𐌴𐌻𐌾𐌰𐌽	f ɔ r a m eː l j a n
𐍆𐌰𐌿𐍂𐌰𐍂𐌰𐌷𐌽𐌾𐌰𐌽	f ɔ r a r a h n j a n
𐍆𐌰𐌿𐍂𐌰𐍂𐌰𐌷𐌽𐌾𐌰𐌽𐌳𐌰𐌽𐍃	f ɔ r a r a h n j a n d a n s
𐍆𐌰𐌿𐍂𐌰𐍂𐌰𐌷𐌽𐌾𐌰𐌽𐌳𐍃	f ɔ r a r a h n j a n d s
𐍆𐌰𐌿𐍂𐌰𐍅𐌴𐌽𐌾𐌰𐌽	f ɔ r a w eː n j a n
𐍆𐌰𐌿𐍂𐌰𐍅𐌴𐌽𐌾𐌰𐌽𐌳𐌰𐌽𐍃	f ɔ r a w eː n j a n d a n s
𐍆𐌰𐌿𐍂𐌰𐍅𐌴𐌽𐌾𐌰𐌽𐌳𐍃	f ɔ r a w eː n j a n d s
𐍆𐌰𐌿𐍂𐌰𐍅𐌹𐍃𐌰𐌽	f ɔ r a w i s a n
𐍆𐌰𐌿𐍂𐌰𐍆𐌹𐌻𐌻𐌹	f ɔ r a f i l l i
𐍆𐌰𐌿𐍂𐌰𐍆𐌹𐌻𐌻𐌾𐌰	f ɔ r a f i l l j a
𐍆𐌰𐌿𐍂𐌰𐍆𐌹𐌻𐌻𐌾𐌹𐍃	f ɔ r a f i l l j i s
𐍆𐌰𐌿𐍂𐌱𐌹𐌲𐌰𐌲𐌲𐌰𐌽	f ɔ r b i ɡ a ŋ ɡ a n
𐍆𐌰𐌿𐍂𐌱𐌹𐌲𐌰𐌲𐌲𐌰𐌽𐌳𐍃	f ɔ r b i ɡ a ŋ ɡ a n d s
𐍆𐌰𐌿𐍂𐌱𐌹𐌲𐌰𐌲𐌲𐌹𐌸	f ɔ r b i ɡ a ŋ ɡ i θ
𐍆𐌰𐌿𐍂𐌱𐌹𐍃𐌽𐌹𐍅𐌰𐌽	f ɔ r b i s n i w a n
𐍆𐌰𐌿𐍂𐌱𐌹𐍃𐌽𐌹𐍅𐌰𐌽𐌳𐌴𐌹𐌽𐍃	f ɔ r b i s n i w a n d iː n s
𐍆𐌰𐌿𐍂𐌱𐌹𐍃𐌽𐌹𐍅𐌰𐌽𐌳𐍃	f ɔ r b i s n i w a n d s
𐍆𐌰𐌿𐍂𐌲𐌰𐌲𐌲𐌰𐌽	f ɔ r ɡ a ŋ ɡ a n
𐍆𐌰𐌿𐍂𐌲𐌰𐌲𐌲𐌰𐌽𐌳𐌰𐌽𐍃	f ɔ r ɡ a ŋ ɡ a n d a n s
𐍆𐌰𐌿𐍂𐌲𐌰𐌲𐌲𐌰𐌽𐌳𐌴𐌹𐌽	f ɔ r ɡ a ŋ ɡ a n d iː n
𐍆𐌰𐌿𐍂𐌲𐌰𐌲𐌲𐌰𐌽𐌳𐍃	f ɔ r ɡ a ŋ ɡ a n d s
𐍆𐌰𐌿𐍂𐌵𐌹𐌸𐌰	f ɔ r kʷ i θ a
𐍆𐌰𐌿𐍂𐌵𐌹𐌸𐌰𐌽	f ɔ r kʷ i θ a n
𐍆𐌰𐌿𐍂𐌵𐌹𐌸𐌰𐌽𐌰𐌽𐌰	f ɔ r kʷ i θ a n a n a
𐍆𐌰𐌿𐍂𐌵𐌹𐌸𐌰𐌽𐍃	f ɔ r kʷ i θ a n s
𐍆𐌰𐌿𐍂𐌷𐌰𐌷	f ɔ r h aː h
𐍆𐌰𐌿𐍂𐌸𐌹𐌶𐌴𐌹	f ɔ r θ i z iː
𐍆𐌰𐌿𐍂𐌸𐌹𐍃	f ɔ r θ i s
𐍆𐌰𐌿𐍂𐌻𐌰𐌲𐌹𐌳𐍉	f ɔ r l a ɡ i d oː
𐍆𐌰𐌿𐍂𐌻𐌰𐌲𐌹𐌸𐍃	f ɔ r l a ɡ i θ s
𐍆𐌰𐌿𐍂𐌻𐌰𐌲𐌾𐌰𐌹𐌳𐌰𐌿	f ɔ r l a ɡ j ɛː d ɔː
𐍆𐌰𐌿𐍂𐌻𐌰𐌲𐌾𐌰𐌽	f ɔ r l a ɡ j a n
𐍆𐌰𐌿𐍂𐌼𐌿𐌻𐌾𐌰𐌹𐍃	f ɔ r m uː l j ɛː s
𐍆𐌰𐌿𐍂𐌼𐌿𐌻𐌾𐌰𐌽	f ɔ r m uː l j a n
𐍆𐌰𐌿𐍂𐍂𐌹𐌽𐌽𐌰𐌽	f ɔ r r i n n a n
𐍆𐌰𐌿𐍂𐍂𐌹𐌽𐌽𐌰𐌽𐌳𐌹𐌽	f ɔ r r i n n a n d i n
𐍆𐌰𐌿𐍂𐍂𐌹𐌽𐌽𐌰𐌽𐌳𐍃	f ɔ r r i n n a n d s
𐍆𐌰𐌿𐍂𐍃𐌹𐌲𐌻𐌾𐌰𐌽	f ɔ r s i ɡ l j a n
𐍆𐌰𐌿𐍂𐍃𐌹𐌲𐌻𐌾𐌰𐌽𐌳𐌰𐌽𐍃	f ɔ r s i ɡ l j a n d a n s
𐍆𐌰𐌿𐍂𐍃𐌹𐌲𐌻𐌾𐌰𐌽𐌳𐍃	f ɔ r s i ɡ l j a n d s
𐍆𐌰𐌿𐍂𐍃𐌽𐌰𐌿	f ɔ r s n ɔː
𐍆𐌰𐌿𐍂𐍃𐌽𐌹𐍅𐌰𐌽	f ɔ r s n i w a n
𐍆𐌰𐌿𐍂𐍃𐌽𐌹𐍅𐌰𐌽𐌳𐌰𐌼	f ɔ r s n i w a n d a m
𐍆𐌰𐌿𐍂𐍃𐌽𐌹𐍅𐌰𐌽𐌳𐍃	f ɔ r s n i w a n d s
𐍆𐌰𐌿𐍂𐍃𐌽𐌹𐍅𐌹𐌸	f ɔ r s n i w i θ
𐍆𐌰𐌿𐍂𐍃𐍄𐌰𐍃𐍃𐌴𐌹𐍃	f ɔ r s t a s s iː s
𐍆𐌰𐌿𐍂𐍃𐍄𐌰𐍃𐍃𐌾𐌰𐌽𐍃	f ɔ r s t a s s j a n s
𐍆𐌰𐌿𐍂𐍅𐌰𐌹𐍀𐌾𐌰𐌹𐍃	f ɔ r w ɛː p j ɛː s
𐍆𐌰𐌿𐍂𐍅𐌰𐌹𐍀𐌾𐌰𐌽	f ɔ r w ɛː p j a n
𐍆𐌰𐌿𐍂𐍅𐌰𐌻𐍅𐌾𐌰𐌽	f ɔ r w a l w j a n
𐍆𐌰𐌿𐍂𐍅𐌰𐌻𐍅𐌾𐌰𐌽𐌳𐍃	f ɔ r w a l w j a n d s
𐍆𐌰𐍂𐌰𐌹𐌸	f a r ɛː θ
𐍆𐌰𐍂𐌰𐌽	f a r a n
𐍆𐌰𐍂𐌹𐌳𐌴𐌳𐌿𐌽	f a r i d eː d u n
𐍆𐌰𐍂𐌾𐌰𐌽	f a r j a n
𐍆𐌰𐍂𐌾𐌰𐌽𐌳𐌰𐌽𐍃	f a r j a n d a n s
𐍆𐌰𐍂𐌾𐌰𐌽𐌳𐍃	f a r j a n d s
𐍆𐌰𐍃𐍄𐌰𐌽	ɸ a s t aː n
𐍆𐌰𐍃𐍄𐌿𐌱𐌽𐌹	f a s t u b n i
𐍆𐌰𐍃𐍄𐌿𐌱𐌽𐌾𐌰	f a s t u b n j a
𐍆𐌰𐍃𐍄𐌿𐌱𐌽𐌾𐌰𐌼	f a s t u b n j a m
𐍆𐌴𐍄𐌾𐌰𐌽	f eː t j a n
𐍆𐌴𐍄𐌾𐌰𐌽𐌳𐌴𐌹𐌽𐍃	f eː t j a n d iː n s
𐍆𐌴𐍄𐌾𐌰𐌽𐌳𐍃	f eː t j a n d s
𐍆𐌹𐌲𐌲𐍂𐌰𐌲𐌿𐌻𐌸	f i ŋ ɡ r a ɡ u l θ
𐍆𐌹𐌳𐍅𐍉𐍂	ɸ i ð w oː r
𐍆𐌹𐌻𐌴𐌲𐍂𐌹	f i l eː ɡ r i
𐍆𐌹𐌻𐌴𐌲𐍂𐌾𐌰	f i l eː ɡ r j a
𐍆𐌹𐌻𐌹𐌲𐍂𐌹	f i l i ɡ r i
𐍆𐌹𐌻𐌹𐌲𐍂𐌾𐌰	f i l i ɡ r j a
𐍆𐌹𐌻𐌿	f i l u
𐍆𐌹𐌻𐌿𐌲𐌰𐌻𐌰𐌿𐌱𐌹𐍃	f i l u ɡ a l ɔː b i s
𐍆𐌹𐌻𐌿𐌲𐌰𐌻𐌰𐌿𐍆𐍃	f i l u ɡ a l ɔː f s
𐍆𐌹𐌻𐌿𐌳𐌴𐌹𐍃𐌴𐌹	f i l u d iː s iː
𐍆𐌹𐌻𐌿𐌳𐌴𐌹𐍃𐌴𐌹𐌽	f i l u d iː s iː n
𐍆𐌹𐌻𐌿𐍆𐌰𐌹𐌷𐍃	f i l u f ɛː h s
𐍆𐌹𐌻𐌿𐍆𐌰𐌹𐌷𐍉	f i l u f ɛː h oː
𐍆𐌹𐌼𐍆	ɸ i m ɸ
𐍆𐌹𐌾𐌰𐌸𐍅𐌰	f i j a θ w a
𐍆𐌹𐌾𐌰𐌽	f i j a n
𐍆𐌹𐍄𐌰	f i t a
𐍆𐌹𐍄𐌰𐌽	f i t a n
𐍆𐌹𐍄𐌰𐌽𐌳𐌴𐌹	f i t a n d iː
𐍆𐌹𐍄𐌰𐌽𐌳𐍃	f i t a n d s
𐍆𐌻𐌰𐌿𐍄𐌰𐌹	f l ɔː t ɛː
𐍆𐌻𐌰𐌿𐍄𐌴𐌹𐌸	f l ɔː t iː θ
𐍆𐌻𐌰𐌿𐍄𐌾𐌰𐌽	f l ɔː t j a n
𐍆𐌻𐌰𐌿𐍄𐍃	f l ɔː t s
𐍆𐌻𐍉𐌺𐌰𐌽	ɸ l oː k a n
𐍆𐌿𐌲𐌻𐍃	f u ɣ l s
𐍆𐌿𐌻𐌻𐌰𐍄𐍉𐌾𐌰𐌹	f u l l a t oː j ɛː
𐍆𐌿𐌻𐌻𐌰𐍄𐍉𐌾𐌹𐍃	f u l l a t oː j i s
𐍆𐌿𐌻𐌻𐌰𐍅𐌴𐌹𐍃	f u l l a w iː s
𐍆𐌿𐌻𐌻𐌰𐍅𐌴𐌹𐍃𐌰𐌹	f u l l a w iː s ɛː
𐍆𐌿𐌻𐌻𐌰𐍅𐌹𐍄𐌰𐌽	f u l l a w i t a n
𐍆𐌿𐌻𐌻𐌰𐍅𐌹𐍄𐌰𐌽𐍃	f u l l a w i t a n s
𐍆𐌿𐌻𐌻𐌰𐍅𐌹𐍄𐍃	f u l l a w i t s
𐍆𐌿𐌻𐌻𐌰𐍆𐌰𐌷𐌹𐌳𐌰	f u l l a f a h i d a
𐍆𐌿𐌻𐌻𐌰𐍆𐌰𐌷𐌾𐌰𐌹𐍃	f u l l a f a h j ɛː s
𐍆𐌿𐌻𐌻𐌰𐍆𐌰𐌷𐌾𐌰𐌽	f u l l a f a h j a n
𐍆𐌿𐌻𐌻𐌰𐍆𐍂𐌰𐌸𐌾𐌰𐌼	f u l l a f r a θ j a m
𐍆𐌿𐌻𐌻𐌰𐍆𐍂𐌰𐌸𐌾𐌰𐌽	f u l l a f r a θ j a n
𐍆𐌿𐌻𐌻𐌹𐌸	f u l l i θ
𐍆𐌿𐌻𐌻𐌹𐌸𐌴	f u l l i θ eː
𐍆𐌿𐌻𐌻𐌹𐌸𐍃	f u l l i θ s
𐍆𐌿𐌻𐌻𐌽𐌰𐌽	ɸ u l l n a n
𐍆𐍂𐌰𐌰𐍄𐌾𐌰𐌽	f r a a t j a n
𐍆𐍂𐌰𐌰𐍄𐌾𐌰𐌿	f r a a t j ɔː
𐍆𐍂𐌰𐌱𐌰𐌹𐍂𐌰𐌽	ɸ r a b ɛ r a n
𐍆𐍂𐌰𐌲𐌹𐌻𐌳𐌰𐌽	ɸ r a ɣ i l d a n
𐍆𐍂𐌰𐌲𐌹𐍆𐍄𐍃	ɸ r a ɣ i ɸ t s
𐍆𐍂𐌰𐌵𐌹𐌼𐌰𐌽	f r a kʷ i m a n
𐍆𐍂𐌰𐌵𐌹𐍃𐍄𐌹𐌳𐌰	f r a kʷ i s t i d a
𐍆𐍂𐌰𐌵𐌹𐍃𐍄𐌹𐌳𐌰𐌹	f r a kʷ i s t i d ɛː
𐍆𐍂𐌰𐌵𐌹𐍃𐍄𐌹𐌸𐍃	f r a kʷ i s t i θ s
𐍆𐍂𐌰𐌵𐌹𐍃𐍄𐌽𐌰𐌼	f r a kʷ i s t n a m
𐍆𐍂𐌰𐌷𐌹𐌽𐌸𐌰𐌽	f r a h i n θ a n
𐍆𐍂𐌰𐌷𐌹𐌽𐌸𐌰𐌽𐌳𐌰𐌽𐍃	f r a h i n θ a n d a n s
𐍆𐍂𐌰𐌷𐌹𐌽𐌸𐌰𐌽𐌳𐍃	f r a h i n θ a n d s
𐍆𐍂𐌰𐌷𐌹𐌽𐌸𐌰𐌽𐌳𐍉	f r a h i n θ a n d oː
𐍆𐍂𐌰𐌷𐌿𐌽𐌸𐌰𐌽𐌰	f r a h u n θ a n a
𐍆𐍂𐌰𐌷𐌿𐌽𐌸𐌰𐌽𐌰𐌹𐌼	f r a h u n θ a n ɛː m
𐍆𐍂𐌰𐌷𐌿𐌽𐌸𐌰𐌽𐍃	f r a h u n θ a n s
𐍆𐍂𐌰𐌸𐌾𐌰𐌹𐌳𐌰𐌿	f r a θ j ɛː d ɔː
𐍆𐍂𐌰𐌸𐌾𐌰𐌽	f r a θ j a n
𐍆𐍂𐌰𐌹𐌷𐌽𐌰𐌽	ɸ r ɛ x n a n
𐍆𐍂𐌰𐌹𐍄𐌰𐌽	f r a i t a n
𐍆𐍂𐌰𐌹𐍄𐌹𐌸	f r a i t i θ
𐍆𐍂𐌰𐌺𐌰𐌽𐍄	f r a k a n t
𐍆𐍂𐌰𐌺𐌿𐌽𐌽𐌰𐌽𐌳𐌰𐌽𐍃	f r a k u n n a n d a n s
𐍆𐍂𐌰𐌺𐌿𐌽𐌽𐌰𐌽𐌳𐍃	f r a k u n n a n d s
𐍆𐍂𐌰𐌻𐌿𐍃𐍄	f r a l u s t
𐍆𐍂𐌰𐌻𐌿𐍃𐍄𐌰𐌹	f r a l u s t ɛː
𐍆𐍂𐌰𐌻𐌿𐍃𐍄𐌰𐌹𐍃	f r a l u s t ɛː s
𐍆𐍂𐌰𐌻𐌿𐍃𐍄𐍃	f r a l u s t s
𐍆𐍂𐌰𐌼	ɸ r a m
𐍆𐍂𐌰𐌼𐌰𐌸𐌹𐌳𐌰𐌽𐍃	f r a m a θ i d a n s
𐍆𐍂𐌰𐌼𐌰𐌸𐌹𐌸𐍃	f r a m a θ i θ s
𐍆𐍂𐌰𐌼𐌰𐌸𐌾𐌰𐌽	f r a m a θ j a n
𐍆𐍂𐌰𐌼𐌰𐌻𐌳𐍂𐌰	f r a m a l d r a
𐍆𐍂𐌰𐌼𐌰𐌻𐌳𐍂𐍃	f r a m a l d r s
𐍆𐍂𐌰𐌼𐌰𐌻𐌳𐍂𐍉𐌶𐌰	f r a m a l d r oː z a
𐍆𐍂𐌰𐌼𐌰𐌻𐌳𐍂𐍉𐌶𐌴𐌹	f r a m a l d r oː z iː
𐍆𐍂𐌰𐌼𐌹𐍃	f r a m i s
𐍆𐍂𐌰𐌼𐍅𐌰𐌹𐍂𐌸𐌹𐍃	f r a m w ɛ r θ i s
𐍆𐍂𐌰𐌼𐍅𐌹𐌲𐌹𐍃	f r a m w i ɡ i s
𐍆𐍂𐌰𐌽𐌹𐌼𐌰	f r a n i m a
𐍆𐍂𐌰𐌽𐌹𐌼𐌰𐌽	f r a n i m a n
𐍆𐍂𐌰𐌿𐌾𐌰	f r ɔː j a
𐍆𐍂𐌰𐍂𐌹𐌽𐌽𐌰𐌽	f r a r i n n a n
𐍆𐍂𐌰𐍅𐌰𐍂𐌳𐌹𐌳𐌰𐌹𐌶𐌴	f r a w a r d i d ɛː z eː
𐍆𐍂𐌰𐍅𐌰𐍂𐌳𐌹𐌸𐍃	f r a w a r d i θ s
𐍆𐍂𐌰𐍅𐌹𐌻𐍅𐌰𐌽	f r a w i l w a n
𐍆𐍂𐌰𐍅𐌹𐍃𐌰𐌽	f r a w i s a n
𐍆𐍂𐌰𐍅𐌿𐌻𐍅𐌰𐌽𐌰𐌽𐌰	f r a w u l w a n a n a
𐍆𐍂𐌰𐍅𐌿𐌻𐍅𐌰𐌽𐍃	f r a w u l w a n s
𐍆𐍂𐌰𐍅𐍂𐌴𐌺𐌿𐌽	f r a w r eː k u n
𐍆𐍂𐌰𐍅𐍂𐌹𐌺𐌰𐌽	f r a w r i k a n
𐍆𐍂𐌰𐍅𐍂𐍉𐌷𐌹𐌸𐍃	f r a w r oː h i θ s
𐍆𐍂𐌰𐍅𐍂𐍉𐌷𐌾𐌰𐌽	f r a w r oː h j a n
𐍆𐍂𐌴𐌹𐌳𐌹𐌳𐌰	f r iː d i d a
𐍆𐍂𐌴𐌹𐌳𐌾𐌰	f r iː d j a
𐍆𐍂𐌴𐌹𐌳𐌾𐌰𐌹	f r iː d j ɛː
𐍆𐍂𐌴𐌹𐌳𐌾𐌰𐌽	f r iː d j a n
𐍆𐍂𐌴𐌹𐌳𐌾𐌰𐌽𐌳𐍃	f r iː d j a n d s
𐍆𐍂𐌴𐍄	f r eː t
𐍆𐍂𐌴𐍄𐌿𐌽	f r eː t u n
𐍆𐍂𐌹𐌰𐌸𐍅𐌰𐌼𐌹𐌻𐌳𐌴𐌹𐍃	f r i j a θ w a m i l d iː s
𐍆𐍂𐌹𐌰𐌸𐍅𐌰𐌼𐌹𐌻𐌳𐌾𐌰𐌹	f r i a θ w a m i l d j ɛː
𐍆𐍂𐌹𐌾𐌰𐌸𐍅𐌰	f r i j a θ w a
𐍆𐍂𐌹𐌾𐍉𐌽	f r i j oː n
𐍆𐍂𐌿𐌼𐌰𐌳𐌴𐌹	f r u m a d iː
𐍆𐍂𐌿𐌼𐌰𐌳𐌴𐌹𐌽	f r u m a d iː n
𐍆𐍂𐌿𐌼𐌹𐍃𐍄𐌹	f r u m i s t i
𐍆𐍂𐌿𐌼𐌹𐍃𐍄𐌾𐌰	f r u m i s t j a
𐍆𐍂𐌿𐌼𐌹𐍃𐍄𐌾𐌰𐌼	f r u m i s t j a m
𐍆𐍂𐌿𐌼𐌹𐍃𐍄𐍃	f r u m i s t s
𐍆𐍂𐍉𐌸𐍃	ɸ r oː θ s
𐍈𐌰𐌳𐍂𐌴	ʍ a d r eː
𐍈𐌰𐌸	ʍ a θ
𐍈𐌰𐌸𐌰𐍂	ʍ a θ a r
𐍈𐌰𐌹𐍂𐌱𐌰𐌽	ʍ ɛ r b a n
𐍈𐌰𐌹𐍂𐌱𐌰𐌽𐌳𐌰𐌽𐌴	ʍ ɛ r b a n d a n eː
𐍈𐌰𐌹𐍂𐌱𐌰𐌽𐌳𐌰𐌽𐍃	ʍ ɛ r b a n d a n s
𐍈𐌰𐌹𐍂𐌱𐌰𐌽𐌳𐍃	ʍ ɛ r b a n d s
𐍈𐌰𐌽	ʍ a n
𐍈𐌰𐍂	ʍ a r
𐍈𐌰𐍂𐌾𐌹𐍃	ʍ a r j i s
𐍈𐌰𐍃	ʍ a s
𐍈𐌴	ʍ eː
𐍉𐌲𐌰𐌽	oː ɣ a n
