a	aː
iergendengem	i ə̯ ʑ ə n d æ ŋ ə m
iergendenger	i ə̯ ʑ ə n d æ ŋ ɐ
ierger	i ə̯ ʑ ɐ
iergeren	i ə̯ ʑ ə ʀ ə n
ierwen	i ə̯ v ə n
iesel	i ə̯ z ə l
iess	i ə̯ s
iessen	i ə̯ s ə n
iessläffel	i ə̯ s l æ f ə l
iesst	i ə̯ s t
iesszëmmer	i ə̯ s t͡s ə m ɐ
iewescht	i ə̯ v ə ʃ t
igel	i ʑ ə l
imaginatioun	i m ɑ ʒ i n ɑ t s j ə ʊ̯ n
improvisatioun	æ̃ː p ʀ o v i z ɑ t s j ə ʊ̯ n
indien	i n d j ə n
ingenieur	æ̃ː ʒ ə n j øː ɐ
ir	i ə̯
ir	iː ɐ
iren	i ə̯ ʀ ə n
iren	iː ʀ ə n
iwwel	i v ə l
iwwer	i v ɐ
iwwerdreiwen	i v ɐ d ʀ ɑ ɪ̯ v ə n
iwwerdriwwen	i v ɐ d ʀ i v ə n
iwwerfall	i v ɐ f ɑ l
iwwerfloss	i v ɐ f l o s
iwwergräifen	i v ɐ ɡ ʀ æˑ ɪ̯ f ə n
iwwerliewen	i v ɐ l i ə̯ v ə n
iwwersetzen	i v ɐ z æ t͡s ə n
iwwerweisen	i v ɐ v ɑ ɪ̯ z ə n
jach	j ɑ χ
jackett	ʒ ɑ k æ t
jalousie	ʒ ɑ l u z iː
januar	j ɑ n u aː χ
japanesch	j ɑ p aː n ə ʃ
jatt	ʒ ɑ t
jauwen	ʒ ɑ ʊ̯ v ə n
jeans	d͡ʒ iː n t s
jeeër	j eː ɐ
jeeër	ʒ eː ɐ
jidder	j i d ɐ
jiddereen	j i d ə ʀ eː n
jo	j oː
joen	j oː ə n
joer	j oː ɐ
joerdausend	j oː ɐ d ɑ ʊ̯ z ə n t
joerhonnert	j oː ɐ h o n ɐ t
joerzéngt	j oː ɐ t͡s e ŋ k t
joffer	j o f ɐ
jomer	j oː m ɐ
jongléieren	ʒ o ŋ ɡ l ɜ ɪ̯ ə ʀ ə n
joreszäit	j oː ə ʀ ə s t͡s æˑ ɪ̯ t
jubiléieren	j u b i l ɜ ɪ̯ ə ʀ ə n
juegd	j u ə̯ ɕ t
jugendchômage	j uː ʁ ə n t͡ʃ oː m aː ʃ
jus	ʒ yː
jäizen	j æˑ ɪ̯ t͡s ə n
jéimeren	j ɜ ɪ̯ m ə ʀ ə n
jéngelchen	j e ŋ ə l ɕ ə n
kaarp	k aː χ p
kaart	k aː χ t
kabes	k aː b ə s
kach	k ɑ χ
kachen	k ɑ χ ə n
kachkéis	k ɑ χ k ɜ ɪ̯ s
kachmaschinn	k ɑ χ m ɑ ʃ i n
kadaster	k ɑ d ɑ s t ɐ
kafen	k aː f ə n
kaffi	k ɑ f i
kalbass	k ɑ l b ɑ s
kalenner	k ɑ l æ n ɐ
kallef	k ɑ l ə f
kalleffleesch	k ɑ l ə f f l eː ʃ
kallek	k ɑ l ə k
kammoud	k ɑ m ə ʊ̯ t
kamp	k ɑ m p
kaméidi	k ɑ m ɜ ɪ̯ d i
kaméil	k ɑ m ɜ ɪ̯ l
kand	k ɑ n t
kann	k ɑ n
kanns	k ɑ n t s
kant	k ɑ n t
kaul	k ɑ ʊ̯ l
kauzeg	k ɑ ʊ̯ t͡s ə ɕ
kichelchen	k i ɕ ə l ɕ ə n
kichen	k i ɕ ə n
kierfmécher	k i ə̯ v m ə ɕ ɐ
kloer	k l oː ɐ
konstitutioun	k o n s t i t u t s j ə ʊ̯ n
konzentréieren	k o n t͡s æ n t ʀ ɜ ɪ̯ ə ʀ ə n
krouch	k ʀ ə ʊ̯ χ
kränken	k ʀ æ ŋ k ə n
kréich	k ʀ ɜ ɪ̯ ɕ
kréien	k ʀ ɜ ɪ̯ ə n
kuerz	k u ə̯ t s
kätzercher	k æ t͡s ɐ ɕ ɐ
kënnen	k ə n ə n
leeën	l eː ə n
leien	l ɑ ɪ̯ ə n
liichttuerm	l iː ɕ t u ə̯ m
lycée	l i s e
lycéesschüler	l i s e s ʃ yː l ɐ
léift	l ɜ ɪ̯ f t
léiwen	l ɜ ɪ̯ v ə n
lëtzebuerg	l ə t s ə b u ə̯ ɕ
lëtzebuergesch	l ə t͡s ə b uː ə̯ j ə ʃ
mass	m ɑ s
mauer	m ɑ ʊ̯ ɐ
mech	m ə ɕ
mir	m iː ə̯
moer	m oː ɐ
mä	m ɛː
méiglecherweis	m ɜ ɪ̯ ʑ l ə ɕ ɐ v ɑ ɪ̯ s
méindeg	m ɜ ɪ̯ n d ə ɕ
méiw	m ɜ ɪ̯ f
mëttelfeldspiller	m ə t ə l f æ l t ʃ p i l ɐ
mëttwoch	m ə t v o χ
naachen	n aː χ ə n
natierlech	n ɑ t iː ɐ l ə ɕ
net	n ə t
netzwierk	n æ d͡z v iː ə̯ k
nidderlanden	n i d ɐ l ɑ n d ə n
nuechtegailchen	n u ə̯ ɕ t ə ɡ ɑ ɪ̯ l ɕ ə n
nämlech	n ɛː m l ə ɕ
nëmmen	n ə m ə n
ofspriechen	oː f ʃ p ʀ i ə̯ ɕ ə n
olivenueleg	o l iː v ə n u ə̯ l ə ɕ
onbaarmhäerzeg	o n b aː m h ɛː ɐ̯ t͡s ə ɕ
onnatierlech	o n ɑ t iː ɐ l ə ɕ
opreegen	o p ʀ eː ʑ ə n
paangech	p aː ŋ ə ɕ
panech	p aː n ə ɕ
pankech	p ɑ ŋ k ə ɕ
plaum	p l ɑ ʊ̯ m
praum	p ʀ ɑ ʊ̯ m
priedegen	p ʀ i ə̯ d ə ʑ ə n
priedeger	p ʀ i ə̯ d ə ʑ ɐ
priedegt	p ʀ i ə̯ d ə ɕ t
pruecht	p ʀ u ə̯ ɕ t
puppelchen	p u p ə l ɕ ə n
päerd	p ɛː ə̯ t
quecksëlwer	k w æ ɡ z ə l v ɐ
queesch	k w eː ʃ
quell	k w æ l
quetsch	k w æ t͡ʃ
quitt	k w i t
quëllen	k w ə l ə n
rechtlech	ʀ æ ɕ t l ə ɕ
regel	ʀ eː ʑ ə l
rengegen	ʀ æ ŋ ə ʑ ə n
riicht	ʀ iː ɕ t
riichtbéien	ʀ iː ʑ d b ɜ ɪ̯ ə n
riichten	ʀ iː ɕ t ə n
riichter	ʀ iː ɕ t ɐ
roden	ʀ oː d ə n
räich	ʀ æː ɪ̯ ɕ
rëmeleng	ʀ ə m ə l e ŋ
sachlech	z ɑ χ l ə ɕ
salzeg	z ɑ l t͡s ə ɕ
samschdeg	z ɑ m ʒ d ə ɕ
sauerstoff	z ɑ ʊ̯ ɐ ʃ t o f
schaarf	ʃ aː f
schantjen	ʃ ɑ n t ɕ ə n
schiertech	ʃ iː ə̯ t ə ɕ
schliisslech	ʃ l iː s l ə ɕ
schluechten	ʃ l u ə̯ ɕ t ə n
schmadd	ʃ m ɑ t
schnapp	ʃ n ɑ p
schrëftsteller	ʃ ʀ ə f t ʃ t æ l ɐ
schwaarz	ʃ w aː t s
schwaarz	ʃ w aː χ t s
schweessen	ʃ w eː s ə n
schwäin	ʃ w æˑ ɪ̯ n
schwäiz	ʃ w æː ɪ̯ t͡s
schwämm	ʃ w æ m
schwätzen	ʃ w æ t s ə n
schéngen	ʃ e ŋ ə n
schëlleg	ʃ ə l ə ɕ
sech	z ə ɕ
siedegen	z i ə̯ d ə ʑ ə n
sigel	z i ʑ ə l
sonndeg	z o n d ə ɕ
sonnenënnergang	z o n ə n ə n ɐ ɡ ɑ ŋ
spoun	ʃ p ə ʊ̯ n
spriechen	ʃ p ʀ i ə̯ ɕ ə n
spriecher	ʃ p ʀ i ə̯ ɕ ɐ
sproochlech	ʃ p ʀ oː χ l ə ɕ
spären	ʃ p ɛː ʀ ə n
stater	ʃ t aː t ɐ
storch	ʃ t o χ ɕ
strofen	ʃ t ʀ oː f ə n
stroossbuerg	ʃ t ʀ oː s b uː ə̯ ɕ
strëmp	ʃ t ʀ ə m p
stäerchen	ʃ t ɛ ə̯ ɕ ə n
stänneg	ʃ t æ n ə ɕ
stär	ʃ t ɛ ə̯
stären	ʃ t ɛː ʀ ə n
stärercher	ʃ t ɛː ʀ ɐ ɕ ɐ
stécken	ʃ t e k ə n
suerg	z u ə̯ ɕ
suergen	z u ə̯ ʑ ə n
sächlech	z æ ɕ l ə ɕ
sécher	z ə ɕ ɐ
séissen	z ɜ ɪ̯ s ə n
sëndegen	z ə n d ə ʑ ə n
toufen	t ə ʊ̯ f ə n
trauen	t ʀ ɑ ʊ̯ ə n
trei	t ʀ ɑ ɪ̯
téinen	t ɜ ɪ̯ n ə n
tëscht	t ə ʃ t
uebstjus	u ə̯ b z d ʒ yː
uechten	u ə̯ ɕ t ə n
uergelbauer	u ə̯ ʑ ə l b ɑ ʊ̯ ɐ
uerteel	u ə̯ t eː l
ursaach	uː ə̯ z aː χ
uspriechen	u ʃ p ʀ i ə̯ ɕ ə n
verbannen	f ɐ b ɑ n ə n
verdeedegen	f ɐ d eː d ə ʑ ə n
verdeedeger	f ɐ d eː d ə ʑ ɐ
verfollegung	f ɐ f o l ə ʑ u ŋ
vergläichen	f ɐ ɡ l æː ɪ̯ ɕ ə n
verspriechen	f ɐ ʃ p ʀ i ə̯ ɕ ə n
verspriechung	f ɐ ʃ p ʀ i ə̯ ɕ u ŋ
versteesdemech	f ɐ ʃ t eː s d ə m ə ɕ
verstoen	f ɐ ʃ t oː ə n
versécherung	f ɐ z e ɕ ə ʀ u ŋ
verteideger	f ɐ t ɑ ɪ̯ d ə ʑ ɐ
veruechten	f ɐ u ə̯ ɕ t ə n
vir	f i ə̯
vir	f iː ɐ
waarm	v aː m
wand	v ɑ n t
wanter	v ɑ n t ɐ
wee	v eː
weeër	v eː ɐ
werfen	v æ χ f ə n
wichtegkeet	v i ɕ t ə ɕ k eː t
wieder	v i ə̯ d ɐ
wierbeldéier	v iː ə̯ b ə l d ɜ ɪ̯ ɐ
wierdegen	v iː ə̯ d ə ʑ ə n
wierder	v i ə̯ d ɐ
wierderbuch	v i ə̯ d ɐ b u χ
wirschtchen	v i χ ʃ t ɕ ə n
wirschtchen	v i χ ʃ ə n
wirschtercher	v i χ ʃ t ɐ ɕ ɐ
wopen	v oː p ə n
wourecht	v ə ʊ̯ ʀ ə ɕ t
wuert	v u ə̯ t
wurscht	v u χ ʃ t
wurschten	v u χ ʃ t ə n
wéini	v ɜ ɪ̯ n i
zeck	t͡s æ k
zecken	t͡s æ k ə n
zeechnen	t͡s eː ɕ n ə n
zeechnung	t͡s eː ɕ n u ŋ
zeitung	t͡s ɑ ɪ̯ tʰ u ŋ
zeitungen	t͡s ɑ ɪ̯ tʰ u ŋ ə n
ziffer	t͡s i f ɐ
zouspriechen	t͡s ə ʊ̯ ʃ p ʀ i ə̯ ɕ ə n
zweeeeëg	t͡s w eː ʔ eː ə ɕ
zweiwel	t͡s w ɑ ɪ̯ v ə l
zweiwelen	t͡s w ɑ ɪ̯ v ə l ə n
zwäig	t͡s w æˑ ɪ̯ ɕ
äerd	ɛ ə̯ t
äerdbier	ɛ ə̯ d b iː ɐ
äerz	ɛ ə̯ t s
äerzbëschof	ɛ ə̯ d z b ə ʃ oː f
ähnlech	ɛː n l ə ɕ
äifer	æˑ ɪ̯ f ɐ
äifereg	æˑ ɪ̯ f ə ʀ ə ɕ
äis	æˑ ɪ̯ s
äisbier	æˑ ɪ̯ z b iː ɐ
äisbierg	æˑ ɪ̯ z b i ə̯ ɕ
äisch	æˑ ɪ̯ ʃ
äishockey	æˑ ɪ̯ s h o k i
äiskal	æˑ ɪ̯ s k aː l
äisvull	æˑ ɪ̯ s f u l
äiszäit	æˑ ɪ̯ s t͡s æˑ ɪ̯ t
änneren	æ n ə ʀ ə n
ännerung	æ n ə ʀ u ŋ
äntweren	æ n d v ə ʀ ə n
äntwert	æ n d v ɐ t
äppeljus	æ p ə l ʒ yː
äppeltaart	æ p ə l t aː χ t
äppeltäsch	æ p ə l t æ ʃ
äppelviz	æ p ə l f iː t͡s
äquator	æ k w aː t o χ
är	ɛ ə̯
äschepuddel	æ ʃ ə p u d ə l
äschermëttwoch	æ ʃ ɐ m ə d v o χ
äusseren	o ɪ̯ s ə ʀ ə n
éier	ɜ ɪ̯ ɐ
éierchen	ɜ ɪ̯ ɐ ɕ ə n
éieregaascht	ɜ ɪ̯ ə ʀ ə ɡ aː ʃ t
éieren	ɜ ɪ̯ ə ʁ ə n
éig	ɜ ɪ̯ ɕ
éil	ɜ ɪ̯ l
éischt	ɜ ɪ̯ ʃ t
éislek	ɜ ɪ̯ s l e k
éisträich	ɜ ɪ̯ s t ʀ æˑ ɪ̯ ɕ
éiweg	ɜ ɪ̯ v ə ɕ
éiwegkeet	ɜ ɪ̯ v ə ɕ k eː t
ëffnung	ə f n u ŋ
ëm	ə m
ëmdoen	ə m d oː ə n
ëmdréien	ə m d ʀ ɜ ɪ̯ ə n
ëmdréiung	ə m d ʀ ɜ ɪ̯ u ŋ
ëmgang	ə m ɡ ɑ ŋ
ëmgangssprooch	ə m ɡ ɑ ŋ k s ʃ p ʀ oː χ
ëmgangssproochlech	ə m ɡ ɑ ŋ k s ʃ p ʀ oː χ l ə ɕ
ëmleeën	ə m l eː ə n
ëmsetzen	ə m z æ t͡s ə n
ëmwelt	ə m v æ l t
ëmänneren	ə m æ n ə ʀ ə n
ënn	ə n
ënnen	ə n ə n
ënner	ə n ɐ
ënnerdaach	ə n ɐ d aː χ
ënnergang	ə n ɐ ɡ ɑ ŋ
ënnerleeën	ə n ɐ l eː ə n
ënnerleien	ə n ɐ l ɑ ɪ̯ ə n
ënnerläif	ə n ɐ l æˑ ɪ̯ f
ënnerscheed	ə n ɐ ʃ eː t
ënnerwäsch	ə n ɐ v æ ʃ
ëss	ə s
ësst	ə s t
ëstlech	ə s t l ə ɕ
