.f	ʔ ɛ f
snfr	s ɛ n ɛ f ɛ r
snj	s ɛ n i
snm	s ɛ n ɛ m
snmyt	s ɛ n m iː t
snnw	s ɛ n ɛ n uː
snq	s aː n a qʼ
snq	s oː n ə qʼ
snq	s ɛ n ɛ k
snsn	s a n s a n
snsn	s a n s ə n
snsn	s ɛ n s ɛ n
snt	s aː n a t
snt	s aː n a ʔ
snt	s oː n ə
snt	s ɛ n ɛ t
snwj	s i n u w w a j
snwj	s ə n u w w ə ʔ
snwj	s ə n ø w w
snwj	s ɛ n uː i
snwtt	s ɛ n uː t ɛ t
snwḫ	s ɛ n uː x
snšmšm	s ɛ n ɛ ʃ ɛ m ʃ ɛ m
snḏ	s i n i cʼ
snḏ	s i n i tʼ
snḏ	s ə n e tʼ
snḏ	s ɛ n ɛ d͡ʒ
snḏm	s ɛ n ɛ d͡ʒ ɛ m
snḏw	s ɛ n ɛ d͡ʒ uː
snḥ	s ɛ n ɛ ħ
snḫbḫb	s ɛ n ɛ x ɛ b x ɛ b
snḫn	s ɛ n ɛ x ɛ n
snṯ	s ɛ n ɛ t͡ʃ
snṯr	s ɛ n ɛ t͡ʃ ɛ r
spd	s ɛ p ɛ d
spdt	s a p tʼ a t
spdt	s a p tʼ a ʔ
spdt	s a p tʼ ə
spdt	s o p d ɛ t
spdt	s ɛ p d ɛ t
spdt	s ɛ p ɛ d ɛ t
spdw	s ɛ p d uː
spdḏ	s a p tʼ a cʼ
spdḏ	s a p tʼ a tʼ
spdḏ	s a p tʼ a ʔ
spdḏ	s a p tʼ ə
spdḏ	s ɛ p d ɛ d͡ʒ
spj	s ɛ p i
spr	s ɛ p ɛ r
sprw	s ɛ p ɛ r uː
spt	s aː p a t
spt	s aː p a ʔ
spt	s oː p ə
spt	s ɛ p ɛ t
spḥ	s ɛ p ɛ ħ
spꜣt	s ɛ p ɑ t
sqbb	s ɛ k ɛ b ɛ b
sqbbwj	s ɛ k ɛ b ɛ b uː i
sqbḥ	s ɛ k ɛ b ɛ ħ
sqd	s ɛ k ɛ d
sqdj	s ɛ k ɛ d i
sqr	s ɛ k ɛ r
sqꜣj	s ɛ k ɑ i
sr	s ɛ r
srd	s ɛ r ɛ d
srf	s ɛ r ɛ f
srmj	s ɛ r ɛ m i
srt	s ɛ r ɛ t
srw	s ɛ r uː
srwj	s ɛ r uː i
srwḏ	s ɛ r uː d͡ʒ
srwḫ	s ɛ r uː x
srḫ	s ɛ r ɛ x
ssf	s ɛ s ɛ f
ssm	s ɛ s ɛ m
ssmt	s ɛ s ɛ m ɛ t
ssn	s ɛ s ɛ n
sspd	s ɛ s ɛ p ɛ d
ssḫ	s ɛ s ɛ x
ssꜣj	s ɛ s ɑ i
st	s ɛ t
stj	s ɛ t i
stp	s a t p a w
stp	s aː t a p
stp	s oː t ə p
stp	s ɛ t ɛ p
stpt	s ɛ t ɛ p ɛ t
stt	s ɛ t ɛ t
stwt	s ɛ t uː t
stẖ	s eː t ə x
stẖ	s uː t V ç
stẖ	s ɛ t ɛ ç
stẖj	s ɛ t ç i
stꜣ	s ɛ t ɑ
sw	s u
sw	s u w
sw	s uː
swdfj	s ɛ w ɛ d ɛ f i
swn	s uː n
swn	s ɛ w ɛ n
swnt	s uː n ɛ t
swnw	s uː n uː
swrd	s ɛ w ɛ r ɛ d
swsḫ	s ɛ w ɛ s ɛ x
swt	s uː t
swḏ	s ɛ w ɛ d͡ʒ
swḏꜣ	s ɛ w ɛ d͡ʒ ɑ
swḥt	s a w ħ V t
swḥt	s a w ħ V ʔ
swḥt	s oː ħ ə
swḥt	s uː ħ ɛ t
swꜣj	s e ʔ j a ʔ
swꜣj	s e ʔ j ə
swꜣj	s i w ʀ i t
swꜣj	s i w ʀ i ʔ
swꜣj	s uː ɑ i
swꜣḏ	s ɛ w ɑ d͡ʒ
swꜥb	s ɛ w ɑː b
sš	s ɛ ʃ
sšd	s ɛ ʃ ɛ d
sšm	s ɛ ʃ ɛ m
sšmj	s ɛ ʃ ɛ m i
sšmm	s ɛ ʃ ɛ m ɛ m
sšmw	s ɛ ʃ m uː
sšp	s ɛ ʃ ɛ p
sšpt	s a ʃ aː p a t
sšpt	s ɛ ʃ p ɛ t
sšpt	ʃ aː p a ʔ
sšpt	ʃ oː p ə
sšr	s ɛ ʃ ɛ r
sšrw	s ɛ ʃ r uː
sštꜣ	s ɛ ʃ t ɑ
sḏ	s ɛ d͡ʒ
sḏb	s ɛ d͡ʒ ɛ b
sḏd	s e t͡ʃʼ ʔ ə
sḏd	s i cʼ tʼ i t
sḏd	s i t͡ʃʼ ʔ i ʔ
sḏd	s ɛ d͡ʒ ɛ d
sḏd	tʼ
sḏd	ʔ
sḏfꜣ	s e tʼ f ə
sḏfꜣ	s e tʼ f ə ʔ
sḏfꜣ	s i cʼ f i ʀ
sḏfꜣ	s i tʼ f i ʀ
sḏfꜣ	s ɛ d͡ʒ ɛ f ɑ
sḏm	s a cʼ i m n a
sḏm	s a cʼ m a
sḏm	s a cʼ m i w
sḏm	s aː cʼ a m
sḏm	s aː cʼ i m
sḏm	s aː tʼ a m
sḏm	s oː tʼ ə m
sḏm	s ɛ d͡ʒ ɛ m
sḏmw	s ɛ d͡ʒ ɛ m uː
sḏr	s ɛ d͡ʒ ɛ r
sḏrt	s ɛ d͡ʒ r ɛ t
sḏt	s ɛ d͡ʒ ɛ t
sḏwj	s ɛ d͡ʒ uː i
sḏꜣ	s ɛ d͡ʒ ɑ
sḥd	s ɛ ħ ɛ d
sḥqr	s ɛ ħ ɛ k ɛ r
sḥqꜣ	s ɛ ħ ɛ k ɑ
sḥrj	s ɛ ħ ɛ r i
sḥtm	s ɛ ħ ɛ t ɛ m
sḥtp	s ɛ ħ ɛ t ɛ p
sḥḏ	s ɛ ħ ɛ d͡ʒ
sḥḏw	s e ħ tʼ
sḥḏw	s i ħ cʼ V w
sḥḏw	s i ħ tʼ V w
sḥḏw	s ɛ ħ d͡ʒ uː
sḥꜣbj	s ɛ ħ ɑ b i
sḥꜣj	s ɛ ħ ɑ i
sḫd	s ɛ x ɛ d
sḫdḫd	s ɛ x ɛ d x ɛ d
sḫm	s ɛ x ɛ m
sḫmt	s e χ m ə
sḫmt	s i χ m i t
sḫmt	s i χ m i ʔ
sḫmt	s ɛ x m ɛ t
sḫn	s ɛ x ɛ n
sḫntj	s ɛ x ɛ n ɛ t i
sḫpj	s ɛ x ɛ p i
sḫpr	s ɛ x ɛ p ɛ r
sḫr	s ɛ x ɛ r
sḫry	s ɛ x r iː
sḫt	s aː χ a t
sḫt	s aː χ a ʔ
sḫt	s oː χ ə
sḫt	s ɛ x ɛ t
sḫtj	s e χ t
sḫtj	s i χ t V j
sḫtj	s ɛ x t i
sḫw	s ɛ x uː
sḫꜣj	s e χ ʔ a ʔ
sḫꜣj	s e χ ʔ ə
sḫꜣj	s i χ ʀ i t
sḫꜣj	s i χ ʀ i ʔ
sḫꜣj	s ɛ x ɑ i
sḫꜣw	s ɛ x ɑ uː
sḫꜥj	s ɛ x ɑː i
sṯ	s ɛ t͡ʃ
sṯjt	s ɛ t͡ʃ i t
sṯnj	s ɛ t͡ʃ ɛ n i
sṯt	s ɛ t͡ʃ ɛ t
sṯzj	s ɛ t͡ʃ ɛ z i
sṯzw	s ɛ t͡ʃ ɛ z uː
sṯꜣ	s ɛ t͡ʃ ɑ
sṯꜣt	s ɛ t͡ʃ ɑ t
sẖkr	s ɛ ç k ɛ r
sẖr	s ɛ ç ɛ r
sẖt	s ɛ ç ɛ t
sꜣ	s ɑ
sꜣbt	s ɑ b ɛ t
sꜣdjꜥmj	s ɑ d i ɑː m i
sꜣgꜣ	s a kʼ
sꜣgꜣ	s ɛ ɡ
sꜣj	s iː ʀ i t
sꜣj	s iː ʀ i ʔ
sꜣj	s iː ʔ a
sꜣj	s iː ʔ ə
sꜣj	s ɑ i
sꜣngꜣr	s ɑ n ɡ ɑ r
sꜣq	s aː ʀ a qʼ
sꜣq	s aː ʔ ə qʼ
sꜣq	s oː ʔ ə qʼ
sꜣq	s ɑ k
sꜣrꜣqw	s ɑ r ɑ k uː
sꜣsꜣ	s ɑ s ɑ
sꜣḥ	s ɑ ħ
sꜣḫ	s ɛ ɑ x
sꜣḫꜣḫ	s ɛ ɑ x ɑ x
sꜣꜣ	s ɑ ʔ ɑ
sꜥb	s ɑː b
sꜥnj	s ɛ ɑː n i
sꜥnḫ	s ɛ ɑː n x
sꜥq	s ɛ ɑː k
sꜥr	s ɛ ɑː r
sꜥsꜥ	s ɑː s ɑː
sꜥšꜣ	s ɛ ɑː ʃ ɑ
sꜥḥ	s ɑː ħ
sꜥḥꜥ	s ɛ ɑː ħ ɑː
sꜥꜣj	s ɛ ɑː ʔ ɑ i
t	t ɛ
tf	t e f
tf	t i f
tf	t ɛ f
tfn	t ɛ f ɛ n
tfnt	t ɛ f n ɛ t
tfnwt	t ɛ f n uː t
tfꜣ	t ɛ f ɑ
thj	t ɛ h i
thm	t ɛ h ɛ m
thw	t ɛ h uː
tj	t i
tjkrṯ	t i k r ɛ t͡ʃ
tjmsqw	t i m ɛ s k uː
tjsw	t i s uː
tjt	t i t
tjtj	t i t i
tjw	t i uː
tjꜥꜣ	t i ɑː ʔ ɑ
tkk	t ɛ k ɛ k
tkn	t ɛ k ɛ n
tkꜣ	t aː k a ʀ
tkꜣ	t aː k ə ʔ
tkꜣ	t oː k ə
tkꜣ	t ɛ k ɑ
tkꜣw	t ɛ k ɑ uː
tm	j a t aː m u w
tm	t ɛ m
tm	ʔ a t aː m ə ʔ
tm	ʔ a t oː m
tmm	t ɛ m ɛ m
tmt	t ɛ m ɛ t
tmꜣ	t ɛ m ɑ
tn	t ɛ n
tnj	t ɛ n i
tnm	t ɛ n ɛ m
tnmw	t ɛ n ɛ m uː
tnw	t ɛ n uː
tnṯ	t ɛ n ɛ t͡ʃ
tp	cʼ a p
tp	t ɛ p
tp	tʼ a p
tpj	t a p i j
tpj	t ə p e j
tpj	t ɛ p i
tpr	t ɛ p ɛ r
tpt	t ɛ p ɛ t
tr	t ɛ r
ttj	t a t i j
ttj	t ɛ t i
tw	t uː
tw.j	t uː ʔ i
tw.k	t uː ʔ ɛ k
tw.n	t uː ʔ ɛ n
tw.t	t uː ʔ ɛ t
tw.tn	t uː ʔ t ɛ n
tw.tw	t uː ʔ t uː
twn	t uː n
twr	t uː r
twt	t a w aː t i j
twt	t uː t
twt	t ə w aː t ə ʔ
twt	t ə w oː t
twy	t uː iː
twꜣ	t uː ɑ
twꜣwt	t uː ɑ uː t
tybꜣrys	t iː b ɑ r iː s
tyts	t iː t ɛ s
tšꜣ	t aː š a ʀ
tšꜣ	t oː š ə
tšꜣ	t ɛ ʃ ɑ
tḫj	t iː χ i t
tḫj	t iː χ i ʔ
tḫj	t iː χ ə
tḫj	t ɛ x i
tḫn	t ɛ x ɛ n
tꜣ	t a ʀ
tꜣ	t a ʔ
tꜣ	t i ʀ
tꜣ	t ɑ
tꜣ	t ə
tꜣ	t ə ʔ
tꜣhꜣrqꜣ	t ɑ h ɑ r k ɑ
tꜣj	t ɑ i
tꜣw	t a ʀ w a w
tꜣw	t oː w
tꜣw	t ɑ uː
tꜣwj	t a ʀ w V j
tꜣwj	t aː w ə ʔ
tꜣwj	t oː w
tꜣwj	t ɑ uː i
tꜣy	t ɑ iː
tꜣš	t a ʀ a ʃ
tꜣš	t ɑ ʃ
tꜣš	t ə ʔ a ʃ
w	uː
wbd	w ɛ b ɛ d
wbn	w ɛ b ɛ n
wbnt	w ɛ b n ɛ t
wbnw	w ɛ b ɛ n uː
wbḫ	w a b a χ
wbḫ	w ə β a χ
wbḫ	w ɛ b ɛ x
wbꜣ	w ɛ b ɑ
wbꜣyt	w ɛ b ɑ iː t
wdfj	w e tʼ f ə
wdfj	w i tʼ f i t
wdfj	w i tʼ f i ʔ
wdfj	w ɛ d ɛ f i
wdj	w ɛ d i
wdn	w ɛ d ɛ n
wdpw	w ɛ d p uː
wdḥw	w ɛ d ɛ ħ uː
wfj	w ɛ f i
wfꜣ	w aː f V ʀ
wfꜣ	w aː f ə ʔ
wfꜣ	w oː f ə
wfꜣ	w ɛ f ɑ
wgg	w ɛ ɡ ɛ ɡ
wj	w i
wjn	w i n
wjꜣ	w i ɑ
wmt	w ɛ m ɛ t
wmwt	w ɛ m uː t
wn	w a n
wn	w ɛ n
wnb	w ɛ n ɛ b
wngbw	w ɛ n ɛ ɡ b uː
wnj	w ɛ n i
wnjs	w a n j a s
wnjs	w ɛ n i s
wnm	w aː n a m
wnm	w oː n ə m
wnm	w ɛ n ɛ m
wnmj	w ɛ n m i
wnmt	w ɛ n m ɛ t
wnmw	w ɛ n ɛ m uː
wnn	w a n a n
wnn	w ə n a n
wnn	w ɛ n ɛ n
wnnt	w ɛ n ɛ n ɛ t
wnt	w ɛ n ɛ t
wnwn	w ɛ n uː n
wnwt	w V n aː w a t
wnwt	w V n aː w a ʔ
wnwt	w ə n oː w ə
wnwt	w ɛ n uː t
wnḏw	w ɛ n d͡ʒ uː
wnḏwt	w ɛ n ɛ d͡ʒ uː t
wnḫwj	w ɛ n ɛ x uː i
wpj	w ɛ p i
wprt	w ɛ p r ɛ t
wps	w ɛ p ɛ s
wpt	w ɛ p ɛ t
wpw	w ɛ p uː
wpwt	w a p w u t
wpwt	w a p w u ʔ
wpwt	w a p w ə
wpwt	w ɛ p uː t
wpwtj	w a p w u t j V w
wpwtj	w a p w uː t i j
wpwtj	w ə p w eː t
wpwtj	w ə p w ø t j
wpwtj	w ɛ p uː t i
wr	w eː ɾ
wr	w uː ɾ a w
wr	w ɛ r
wrr	w a ɾ a ɾ
wrr	w a ɾ a ʔ
wrr	w ə ɾ a ʔ
wrr	w ɛ r ɛ r
wrrt	w V ɾ i ɾ j V t
wrrt	w V ɾ i ʔ j V ʔ
wrrt	w ə ɾ e ʔ j ə
wrrt	w ɛ r ɛ r ɛ t
wrryt	w ɛ r ɛ r iː t
wrs	w ɛ r ɛ s
wrt	w eː ɾ ə
wrt	w uː ɾ a t
wrt	w uː ɾ a ʔ
wrt	w ɛ r ɛ t
wrš	w ɛ r ɛ ʃ
wršy	w ɛ r ʃ iː
wrḏ	w ɛ r ɛ d͡ʒ
wrḥ	w ɛ r ɛ ħ
ws	w ɛ s
wsjr	w a s j iː ɾ i t
wsjr	w a s j iː ɾ i ʔ
wsjr	w ə s iː ɾ ə
wsjr	w ə s ʔ iː ɾ a ʔ
wsjr	w ɛ s i r
wsn	w ɛ s ɛ n
wspjsyns	w ɛ s p i s iː n ɛ s
wsr	w ɛ s ɛ r
wsrt	w ɛ s r ɛ t
wsrw	w ɛ s ɛ r uː
wsḫ	w ɛ s ɛ x
wsḫt	w e s χ ə
wsḫt	w i s χ a t
wsḫt	w i s χ a ʔ
wsḫt	w ɛ s x ɛ t
wsṯn	w ɛ s t͡ʃ ɛ n
wt	w ɛ t
wtḫ	w ɛ t ɛ x
wtṯ	w ɛ t ɛ t͡ʃ
wzf	w aː s a f
wzf	w aː z a f
wzf	w oː s ə f
wzf	w ɛ z ɛ f
wzfw	w ɛ z ɛ f uː
wzš	w ɛ z ɛ ʃ
wš	w ɛ ʃ
wšb	w aː ʃ a b
wšb	w oː ʃ ə β
wšb	w ɛ ʃ ɛ b
wšd	w aː ʃ a tʼ
wšd	w oː ʃ ə tʼ
wšd	w ɛ ʃ ɛ d
wšr	w ɛ ʃ ɛ r
wšš	w ɛ ʃ ɛ ʃ
wḏ	w ɛ d͡ʒ
wḏb	w aː cʼ a b
wḏb	w aː tʼ a b
wḏb	w oː tʼ ə b
wḏb	w ɛ d͡ʒ ɛ b
wḏj	w ɛ d͡ʒ i
wḏt	w ɛ d͡ʒ ɛ t
wḏyt	w ɛ d͡ʒ iː t
wḏꜣ	w ɛ d͡ʒ ɑ
wḏꜣt	w ɛ d͡ʒ ɑ t
wḏꜥ	w aː cʼ a ʕ
wḏꜥ	w aː t͡ʃʼ a ʕ
wḏꜥ	w aː t͡ʃʼ ə ʕ
wḏꜥ	w oː t͡ʃʼ ə ʕ
wḏꜥ	w ɛ d͡ʒ ɑː
wḥm	w ɛ ħ ɛ m
wḥmt	w ɛ ħ m ɛ t
wḥmyt	w ɛ ħ m iː t
wḥyt	w ɛ ħ iː t
wḥꜣ	w ɛ ħ ɑ
wḥꜣt	w a ħ ʀ a t
wḥꜣt	w a ħ ʀ a ʔ
wḥꜣt	w a ħ ʔ ə
wḥꜣt	w ɛ ħ ɑ t
wḥꜥ	w ɛ ħ ɑː
wḫd	w ɛ x ɛ d
wḫdt	w ɛ x d ɛ t
wḫdw	w ɛ x ɛ d uː
wḫt	w a χ iː ʀ a t
wḫt	w a χ iː ʀ a ʔ
wḫt	w ə χ eː ʔ ə
wḫt	w ə χ iː ʔ a
wḫt	w ɛ x ɛ t
wḫꜣ	w iː χ
wḫꜣ	w iː χ i ʀ
wḫꜣ	w iː χ ə ʔ
wḫꜣ	w ɛ x ɑ
wṯz	w ɛ t͡ʃ ɛ z
wꜣ	w ɑ
wꜣb	w ɑ b
wꜣg	w ɑ ɡ
wꜣj	w ɑ i
wꜣjwrjy	w ɑ i uː r i ʔ iː
wꜣs	w ɑ s
wꜣsj	w ɑ s i
wꜣst	w ɑ s ɛ t
wꜣsꜣrkn	w ɑ s ɑ r k ɛ n
wꜣt	w ɑ t
wꜣw	w ɑ uː
wꜣwꜣt	w ɑ uː ɑ t
wꜣyšꜣtjsꜣpy	w ɑ iː ʃ ɑ t i s ɑ p iː
wꜣḏ	w aː ʀ i cʼ
wꜣḏ	w aː ʀ i tʼ
wꜣḏ	w oː ʔ ə tʼ
wꜣḏ	w ɑ d͡ʒ
wꜣḏt	w ɑ d͡ʒ ɛ t
wꜣḏw	w ɑ d͡ʒ uː
wꜣḥ	w aː ʀ a ħ
wꜣḥ	w oː ʔ ə ħ
wꜣḥ	w ɑ ħ
wꜣḥyt	w ɑ ħ iː t
wꜣḫj	w ɑ x i
wꜥ	w u ʕ ʕ u w
wꜥ	w u ʕ ʕ ə ʔ
wꜥ	w ø ʕ ʕ
wꜥ	w ɑː
wꜥ	w ə ʕ
wꜥb	w a ʕ a b
wꜥb	w eː ʕ ə p
wꜥb	w iː ʕ a b
wꜥb	w ɑː b
wꜥb	w ə ʕ a p
wꜥbt	w ɑː b ɛ t
wꜥf	w ɑː f
wꜥj	w i ʕ j i t
wꜥj	w ɑː i
wꜥr	w ɑː r
wꜥrt	w ɑː r ɛ t
wꜥtj	w u ʕ t i j
wꜥtj	w ɑː t i
wꜥtj	w ə ʕ t e ʔ
wꜥw	w eː ʕ ə
wꜥw	w iː ʕ i w
wꜥw	w iː ʕ ə ʔ
wꜥw	w ɑː uː
wꜥḥ	w ɑː ħ
wꜥꜣ	w i ʕ i ʀ
wꜥꜣ	w ɑː ʔ ɑ
wꜥꜣ	w ə ʕ e j
wꜥꜥw	w ɑː ʔ ɑː uː
ym	iː m
ypw	iː p uː
yrdwnꜣ	iː r d uː n ɑ
ysrjꜣr	iː s r i ɑ r
ywnj	iː uː n i
yḥ	iː ħ
yꜣ	iː ɑ
z	s eː w
z	s u ʀ
z	s u ʀ w a w
z	s u ʔ
z	s uː w ə ʔ
z	s ø ʔ
z	z u ʀ
z	z u ʀ w a w
z	z ɑ
z	z ɛ
zbj	z ɛ b i
zbn	z ɛ b ɛ n
zbṯ	z ɛ b ɛ t͡ʃ
zfn	z ɛ f ɛ n
zft	s eː f ə
zft	s iː f a ʔ
zft	z iː f a t
zft	z ɛ f ɛ t
zfṯ	s aː f a ʔ
zfṯ	s oː f ə
zfṯ	z aː f a c
zfṯ	z ɛ f ɛ t͡ʃ
zfṯyw	z ɛ f t͡ʃ iː uː
zj	z i
zjn	z i n
zjnw	s e j n
zjnw	s i j n V w
zjnw	z i j n V w
zjnw	z i n uː
zkr	s aː k a ʔ
zkr	s oː k ə
zkr	z aː k a ɾ
zkr	z ɛ k ɛ r
zmyt	z ɛ m iː t
zmꜣ	s a m a ʀ
zmꜣ	s ə m oː
zmꜣ	z a m a ʀ
zmꜣ	z ɛ m ɑ
zmꜣyt	z ɛ m ɑ iː t
zn	z ɛ n
znb	z ɛ n ɛ b
znbt	z ɛ n b ɛ t
znf	s i n a f
znf	s ə n a f
znf	z i n a f
znf	z ɛ n ɛ f
znj	s iː n i ʔ
znj	s iː n ə
znj	z iː n i t
znj	z ɛ n i
znt	z ɛ n ɛ t
znḥm	s u n ħ uː m V w
znḥm	s ə n ħ eː m
znḥm	z u n ħ uː m V w
znḥm	z ɛ n ħ ɛ m
zp	s a p
zp	z a p
zp	z ɛ p
zpj	z ɛ p i
zpt	z ɛ p ɛ t
zpꜣ	z ɛ p ɑ
zr	z ɛ r
zt	s u ʔ
zt	s ø ʔ
zt	z u t
zt	z ɛ t
zwn	z uː n
zwr	s aː w a j
zwr	s aː w ə ʔ
zwr	s oː w
zwr	z aː w a ɾ
zwr	z uː r
zwt	z uː t
zy	z iː
zšj	z ɛ ʃ i
zšn	s aː ʃ a n
zšn	s oː ʃ ə n
zšn	z a ʃ aː ʃ a n
zšn	z ɛ ʃ ɛ n
zšy	z ɛ ʃ iː
zšꜣ	z ɛ ʃ ɑ
zḥ	z ɛ ħ
zḫj	z ɛ x i
zḫn	z ɛ x ɛ n
zḫz	z ɛ x ɛ z
zẖj	z ɛ ç i
zẖꜣ	s i ç i ʀ
zẖꜣ	s ə ç e j
zẖꜣ	z i ç i ʀ
zẖꜣ	z ɛ ç ɑ
zẖꜣw	s a ç
zẖꜣw	s a ç ʀ a w
zẖꜣw	s a ç ʀ aː w a w
zẖꜣw	s a ç ʔ ə ʔ
zẖꜣw	s ə ç oː j
zẖꜣw	s ə ç ʔ aː j ə ʔ
zẖꜣw	z a ç ʀ a w
zẖꜣw	z a ç ʀ aː w a w
zẖꜣw	z ɛ ç ɑ uː
zꜣ	s iː ʀ
zꜣ	s iː ʔ
zꜣ	z iː ʀ
zꜣ	z ɑ
zꜣb	s iː ʀ i b
zꜣb	s iː ʔ ə β
zꜣb	z iː ʀ i b
zꜣb	z ɑ b
zꜣt	s iː ʀ u ʔ
zꜣt	s iː ʔ a ʔ
zꜣt	s iː ʔ ə
zꜣt	z iː ʀ u t
zꜣt	z ɑ t
zꜣw	z ɑ uː
zꜣwtj	s V ʀ j a w t V j
zꜣwtj	s ə j a w t
zꜣwtj	s ə ʔ j a w t ə ʔ
zꜣwtj	z V ʀ j a w t V j
zꜣwtj	z ɑ uː t i
zꜣy	z ɑ iː
zꜣṯ	z ɑ t͡ʃ
zꜣṯw	z ɑ t͡ʃ uː
š	ʃ ɛ
šbn	ʃ ɛ b ɛ n
šbw	ʃ ɛ b uː
šdj	ʃ ɛ d i
šdw	ʃ ɛ d uː
šfd	ʃ ɛ f ɛ d
šfdw	ʃ ɛ f ɛ d uː
šfj	ʃ ɛ f i
šftw	ʃ ɛ f t uː
šfw	ʃ ɛ f uː
šfyt	ʃ ɛ f iː t
šmj	ʃ i j j V ʔ
šmj	ʃ i m j V t
šmj	ʃ ə
šmj	ʃ ɛ m i
šmm	ʃ ɛ m ɛ m
šmmt	ʃ ɛ m ɛ m ɛ t
šms	ʃ e m s ə
šms	ʃ i m s i j
šms	ʃ ɛ m ɛ s
šmsw	ʃ ɛ m s uː
šmswt	ʃ ɛ m s uː t
šmt	ʃ ɛ m ɛ t
šmw	ʃ aː m a w
šmw	ʃ oː m
šmw	ʃ ɛ m uː
šmꜥ	ʃ ɛ m ɑː
šmꜥw	ʃ ɛ m ɑː uː
šmꜥyt	ʃ ɛ m ɑː iː t
šn	ʃ eː n ə
šn	ʃ uː n V j
šn	ʃ uː n ə ʔ
šn	ʃ ɛ n
šnbt	ʃ ɛ n b ɛ t
šnft	j
šnft	n
šnft	ʃ e n f ə
šnft	ʃ i n f V t
šnft	ʃ i n f V ʔ
šnft	ʃ ɛ n f ɛ t
šnj	ʃ iː n i t
šnj	ʃ iː n i ʔ
šnj	ʃ iː n ə
šnj	ʃ ɛ n i
šns	ʃ ɛ n ɛ s
šntt	ʃ ɛ n t ɛ t
šnw	ʃ V n u w
šnw	ʃ ə n ø ʔ
šnw	ʃ ɛ n uː
šnwt	ʃ ɛ n uː t
šnḏwt	ʃ ɛ n d͡ʒ uː t
šnṯ	ʃ ɛ n ɛ t͡ʃ
šnꜥtj	ʃ ɛ n ɑː t i
šnꜥw	ʃ ɛ n ɑː uː
šps	ʃ ɛ p ɛ s
špsj	ʃ e p s a ʔ
špsj	ʃ e p s ə
špsj	ʃ i p s i t
špsj	ʃ i p s i ʔ
špsj	ʃ ɛ p ɛ s i
špss	ʃ ɛ p s ɛ s
špssw	ʃ ɛ p s ɛ s uː
špst	ʃ ɛ p s ɛ t
špꜣ	ʃ ɛ p ɑ
šr	ʃ eː ɾ ə
šr	ʃ uː ɾ i j
šr	ʃ uː ɾ ə ʔ
šr	ʃ ɛ r
šrr	ʃ a ɾ a ɾ
šrr	ʃ a ɾ a ʔ
šrr	ʃ ə ɾ a ʔ
šrr	ʃ ɛ r ɛ r
šrt	ʃ ɛ r ɛ t
šs	ʃ ɛ s
šsm	ʃ ɛ s ɛ m
šsp	ʃ ɛ s ɛ p
šspw	ʃ ɛ s p uː
šsr	ʃ ɛ s ɛ r
šsꜣ	ʃ ɛ s ɑ
šsꜣw	ʃ ɛ s ɑ uː
št	ʃ e ʔ
št	ʃ i t
št	ʃ i ʔ
št	ʃ ɛ t
štj	ʃ ɛ t i
štw	ʃ ɛ t uː
štyw	ʃ ɛ t iː uː
štꜣ	ʃ ɛ t ɑ
štꜣw	ʃ ɛ t ɑ uː
šw	ʃ uː
šwj	ʃ uː i
šwt	ʃ uː t
šwꜣw	ʃ uː ɑ uː
šzp	ʃ aː p
šzp	ʃ aː z a p
šzp	ʃ oː p
šzp	ʃ ɛ z ɛ p
šzpt	ʃ ɛ z p ɛ t
ššy	ʃ ɛ ʃ iː
šꜣ	ʃ ɑ
šꜣbw	ʃ ɑ b uː
šꜣbꜣkꜣ	ʃ ɑ b ɑ k ɑ
šꜣbꜣtꜣkꜣ	ʃ ɑ b ɑ t ɑ k ɑ
šꜣd	ʃ ɑ d
šꜣq	ʃ ɑ k
šꜣqb	ʃ ɑ k ɛ b
šꜣqw	ʃ ɑ k uː
šꜣs	ʃ ɑ s
šꜣsw	ʃ ɑ s uː
šꜣwꜣbtj	ʃ ɑ uː ɑ b t i
šꜣšꜣnq	ʃ ɑ ʃ ɑ n ɛ k
šꜣꜥ	ʃ a ʀ a ʕ
šꜣꜥ	ʃ a ʕ
šꜣꜥ	ʃ ɑ ʔ ɑː
šꜣꜥ	ʃ ə ʔ a ʕ
šꜥ	ʃ ɑː
šꜥd	ʃ ɑː d
šꜥt	ʃ ɑː t
šꜥwt	ʃ ɑː uː t
šꜥy	ʃ aː ʕ V j
šꜥy	ʃ oː ʕ ə ʔ
šꜥy	ʃ ɑː iː
ḏbt	cʼ aː b V t
ḏbt	d͡ʒ ɛ b ɛ t
ḏbt	tʼ aː b V ʔ
ḏbt	tʼ oː β ə
ḏbꜣ	d͡ʒ ɛ b ɑ
ḏbꜣt	d͡ʒ ɛ b ɑ t
ḏbꜣw	d͡ʒ ɛ b ɑ uː
ḏbꜥ	cʼ a b a ʕ
ḏbꜥ	cʼ aː b a ʕ
ḏbꜥ	cʼ uː b a ʕ
ḏbꜥ	d͡ʒ ɛ b ɑː
ḏbꜥ	tʼ a b a ʕ
ḏbꜥ	tʼ eː β ə ʕ
ḏbꜥ	tʼ uː b a ʕ
ḏbꜥ	tʼ ə β a ʕ
ḏbꜥw	d͡ʒ ɛ b ɑː uː
ḏbꜥwt	d͡ʒ ɛ b ɑː uː t
ḏd	cʼ aː tʼ
ḏd	cʼ i tʼ n u
