あ	a̠
じっすう	d͡ʑ i sː ɯ̟ᵝː
じっすうたい	d͡ʑ i sː ɯ̟ᵝː t a̠ i
じっそう	d͡ʑ i sː o̞ː
じっそく	d͡ʑ i sː o̞ k ɯ̟ᵝ
じったい	d͡ʑ i t̚ t a̠ i
じったいか	d͡ʑ i t̚ t a̠ i k a̠
じったいきょう	d͡ʑ i t̚ t a̠ i kʲ o̞ː
じったいけん	d͡ʑ i t̚ t a̠ i k ẽ̞ ɴ
じったいろん	d͡ʑ i t̚ t a̠ i ɾ õ̞ ɴ
じっち	d͡ʑ i t̚ t͡ɕ i
じっちゅうはっく	d͡ʑ i t̚ t͡ɕ ɨᵝː h a̠ k̚ k ɯ̟ᵝ
じって	d͡ʑ i t̚ t e̞
じっと	d͡ʑ i t̚ t o̞
じつげつ	d͡ʑ i t͡s ɨᵝ ɡ e̞ t͡s ɨᵝ
じつげん	d͡ʑ i t͡s ɨᵝ ɡ ẽ̞ ɴ
じつざい	d͡ʑ i t͡s ɨᵝ z a̠ i
じつざいろん	d͡ʑ i t͡s ɨᵝ z a̠ i ɾ õ̞ ɴ
じつだん	d͡ʑ i t͡s ɨᵝ d ã̠ ɴ
じつは	d͡ʑ i t͡s ɨᵝ ɰᵝ a̠
じつひきすう	d͡ʑ i t͡s ɨᵝ ç i kʲ i s ɨᵝː
じつろく	d͡ʑ i t͡s ɨᵝ ɾ o̞ k ɯ̟ᵝ
じつわ	d͡ʑ i t͡s ɨᵝ ɰᵝ a̠
じてん	d͡ʑ i t ẽ̞ ɴ
じてんしゃ	d͡ʑ i t ẽ̞ ɰ̃ ɕ a̠
じてんしゃどう	d͡ʑ i t ẽ̞ ɰ̃ ɕ a̠ d o̞ː
じでん	d͡ʑ i d ẽ̞ ɴ
じどう	d͡ʑ i d o̞ː
じどうか	d͡ʑ i d o̞ː k a̠
じどうぎゃくたい	d͡ʑ i d o̞ː ɡʲ a̠ k ɯ̟ᵝ t a̠ i
じどうげんきんよはらいき	d͡ʑ i d o̞ː ɡ ẽ̞ ŋʲ kʲ ĩ ɰ̃ j o̞ h a̠ ɾ a̠ i kʲ i
じどうし	d͡ʑ i d o̞ː ɕ i
じどうしゃ	d͡ʑ i d o̞ː ɕ a̠
じどうしょうじゅう	d͡ʑ i d o̞ː ɕ o̞ː ʑ ɨᵝː
じどうはんばいき	d͡ʑ i d o̞ː h ã̠ m b a̠ i kʲ i
じどり	d͡ʑ i d o̞ ɾʲ i
じなん	d͡ʑ i n ã̠ ɴ
じにん	d͡ʑ i ɲ̟ ĩ ɴ
じぬし	d͡ʑ i n ɯ̟ᵝ ɕ i
じねずみ	d͡ʑ i n e̞ z ɨᵝ mʲ i
じのぶん	d͡ʑ i n o̞ b ɯ̟̃ᵝ ɴ
じはい	d͡ʑ i h a̠ i
じはんき	d͡ʑ i h ã̠ ŋʲ kʲ i
じばくれい	d͡ʑ i b a̠ k ɯ̟ᵝ ɾ e̞ː
じひ	d͡ʑ i ç i
じひぶかい	d͡ʑ i ç i b ɯ̟ᵝ k a̠ i
じびいんこうか	d͡ʑ i bʲ ĩː ŋ k o̞ː k a̠
じびか	d͡ʑ i bʲ i k a̠
じびかい	d͡ʑ i bʲ i k a̠ i
じびき	d͡ʑ i bʲ i kʲ i
じびょう	d͡ʑ i bʲ o̞ː
じふ	d͡ʑ i ɸ ɯ̟ᵝ
じぶん	d͡ʑ i b ɯ̟̃ᵝ ɴ
じぶんさがし	d͡ʑ i b ɯ̟̃ᵝ ɰ̃ s a̠ ɡ a̠ ɕ i
じぶんじしん	d͡ʑ i b ɯ̟̃ᵝ ɲ̟ d͡ʑ i ɕ ĩ ɴ
じへい	d͡ʑ i h e̞ː
じへいしょう	d͡ʑ i h e̞ː ɕ o̞ː
じべた	d͡ʑ i b e̞ t a̠
じぼ	d͡ʑ i b o̞
じまい	d͡ʑ i m a̠ i
じまく	d͡ʑ i m a̠ k ɯ̟ᵝ
じまつげ	d͡ʑ i m a̠ t͡s ɨᵝ ɡ e̞
じまん	d͡ʑ i m ã̠ ɴ
じみ	d͡ʑ i mʲ i
じみこ	d͡ʑ i mʲ i k o̞
じみん	d͡ʑ i mʲ ĩ ɴ
じみんとう	d͡ʑ i mʲ ĩ n t o̞ː
じむちょう	d͡ʑ i m ɯ̟ᵝ t͡ɕ o̞ː
じめいきん	d͡ʑ i m e̞ː kʲ ĩ ɴ
じめつ	d͡ʑ i m e̞ t͡s ɨᵝ
じめん	d͡ʑ i m ẽ̞ ɴ
じもく	d͡ʑ i m o̞ k ɯ̟ᵝ
じもと	d͡ʑ i m o̞ t o̞
じもとみん	d͡ʑ i m o̞ t o̞ mʲ ĩ ɴ
じもん	d͡ʑ i m õ̞ ɴ
じもんじとう	d͡ʑ i m õ̞ ɲ̟ d͡ʑ i t o̞ː
じゃ	d͡ʑ a̠
じゃあく	d͡ʑ a̠ a̠ k ɯ̟ᵝ
じゃおどり	d͡ʑ a̠ o̞ d o̞ ɾʲ i
じゃかじゃか	d͡ʑ a̠ k a̠ ʑ a̠ k a̠
じゃき	d͡ʑ a̠ kʲ i
じゃきがん	d͡ʑ a̠ kʲ i ɡ ã̠ ɴ
じゃきょう	d͡ʑ a̠ kʲ o̞ː
じゃく	d͡ʑ a̠ k ɯ̟ᵝ
じゃくおんき	d͡ʑ a̠ k ɯ̟ᵝ õ̞ ŋʲ kʲ i
じゃくしゃ	d͡ʑ a̠ k ɯ̟̊ᵝ ɕ a̠
じゃくしょう	d͡ʑ a̠ k ɯ̟ᵝ ɕ o̞ː
じゃくじょう	d͡ʑ a̠ k ɯ̟ᵝ ʑ o̞ː
じゃくら	d͡ʑ a̠ k ɯ̟ᵝ ɾ a̠
じゃけ	d͡ʑ a̠ k e̞
じゃけん	d͡ʑ a̠ k ẽ̞ ɴ
じゃこう	d͡ʑ a̠ k o̞ː
じゃこうじか	d͡ʑ a̠ k o̞ː ʑ i k a̠
じゃこうじゅう	d͡ʑ a̠ k o̞ː ʑ ɨᵝː
じゃこうねこ	d͡ʑ a̠ k o̞ː n e̞ k o̞
じゃしん	d͡ʑ a̠ ɕ ĩ ɴ
じゃっかん	d͡ʑ a̠ k̚ k ã̠ ɴ
じゃっきゅう	d͡ʑ a̠ k̚ʲ kʲ ɨᵝː
じゃび	d͡ʑ a̠ bʲ i
じゃびせん	d͡ʑ a̠ bʲ i s ẽ̞ ɴ
じゃま	d͡ʑ a̠ m a̠
じゃり	d͡ʑ a̠ ɾʲ i
じゃんけん	d͡ʑ ã̠ ŋ k ẽ̞ ɴ
じや	d ʑ i j a
じやき	d ʑ i j a k i
じやく	d ʑ i j a k u
じやく	d͡ʑ i j a̠ k ɯ̟ᵝ
じやくにん	d ʑ i j a k u n i n
じゅ	d͡ʑ ɨᵝ
じゅいん	d͡ʑ ɨᵝ ĩ ɴ
じゅう	d͡ʑ ɨᵝː
じゅうあく	d͡ʑ ɨᵝː a̠ k ɯ̟ᵝ
じゅうい	d͡ʑ ɨᵝː i
じゅういし	d͡ʑ ɨᵝː i ɕ i
じゅういち	d͡ʑ ɨᵝː i t͡ɕ i
じゅういちがつ	d͡ʑ ɨᵝː i t͡ɕ i ɡ a̠ t͡s ɨᵝ
じゅうえん	d͡ʑ ɨᵝː ẽ̞ ɴ
じゅうおう	d͡ʑ ɨᵝː o̞ː
じゅうおく	d͡ʑ ɨᵝː o̞ k ɯ̟ᵝ
じゅうか	d͡ʑ ɨᵝː k a̠
じゅうかん	d͡ʑ ɨᵝː k ã̠ ɴ
じゅうがい	d͡ʑ ɨᵝː ɡ a̠ i
じゅうがつ	d͡ʑ ɨᵝː ɡ a̠ t͡s ɨᵝ
じゅうき	d͡ʑ ɨᵝː kʲ i
じゅうきかんじゅう	d͡ʑ ɨᵝː kʲ i k ã̠ ɲ̟ d͡ʑ ɨᵝː
じゅうきゅう	d͡ʑ ɨᵝː kʲ ɨᵝː
じゅうけい	d͡ʑ ɨᵝː k e̞ː
じゅうげきせん	d͡ʑ ɨᵝː ɡ e̞ kʲ i s ẽ̞ ɴ
じゅうこう	d͡ʑ ɨᵝː k o̞ː
じゅうこうぎょう	d͡ʑ ɨᵝː k o̞ː ɡʲ o̞ː
じゅうこん	d͡ʑ ɨᵝː k õ̞ ɴ
じゅうご	d͡ʑ ɨᵝː ɡ o̞
じゅうさつ	d͡ʑ ɨᵝː s a̠ t͡s ɨᵝ
じゅうさん	d͡ʑ ɨᵝː s ã̠ ɴ
じゅうさんり	d͡ʑ ɨᵝː s ã̠ n ɾʲ i
じゅうざい	d͡ʑ ɨᵝː z a̠ i
じゅうし	d͡ʑ ɨᵝː ɕ i
じゅうしち	d͡ʑ ɨᵝː ɕ i t͡ɕ i
じゅうしまつ	d͡ʑ ɨᵝː ɕ i m a̠ t͡s ɨᵝ
じゅうしょう	d͡ʑ ɨᵝː ɕ o̞ː
じゅうしん	d͡ʑ ɨᵝː ɕ ĩ ɴ
じゅうじ	d͡ʑ ɨᵝː ʑ i
じゅうじか	d͡ʑ ɨᵝː ʑ i k a̠
じゅうじしゃ	d͡ʑ ɨᵝː ʑ i ɕ a̠
じゅうじせん	d͡ʑ ɨᵝː ʑ i s ẽ̞ ɴ
じゅうじゅう	d͡ʑ ɨᵝː ʑ ɨᵝː
じゅうじゅつ	d͡ʑ ɨᵝː ʑ ɨᵝ t͡s ɨᵝ
じゅうじゅん	d͡ʑ ɨᵝː ʑ ɨ̃ᵝ ɴ
じゅうじろ	d͡ʑ ɨᵝː ʑ i ɾ o̞
じゅうすい	d͡ʑ ɨᵝː s ɨᵝ i
じゅうすいそ	d͡ʑ ɨᵝː s ɨᵝ i s o̞
じゅうぜん	d͡ʑ ɨᵝː z ẽ̞ ɴ
じゅうぞく	d͡ʑ ɨᵝː z o̞ k ɯ̟ᵝ
じゅうたく	d͡ʑ ɨᵝː t a̠ k ɯ̟ᵝ
じゅうたん	d͡ʑ ɨᵝː t ã̠ ɴ
じゅうたんばくげき	d͡ʑ ɨᵝː t ã̠ m b a̠ k ɯ̟ᵝ ɡ e̞ kʲ i
じゅうだん	d͡ʑ ɨᵝː d ã̠ ɴ
じゅうていおん	d͡ʑ ɨᵝː t e̞ː õ̞ ɴ
じゅうてんてき	d͡ʑ ɨᵝː t ẽ̞ n t e̞ kʲ i
じゅうでん	d͡ʑ ɨᵝː d ẽ̞ ɴ
じゅうでんき	d͡ʑ ɨᵝː d ẽ̞ ŋʲ kʲ i
じゅうでんち	d͡ʑ ɨᵝː d ẽ̞ ɲ̟ t͡ɕ i
じゅうとく	d͡ʑ ɨᵝː t o̞ k ɯ̟ᵝ
じゅうど	d͡ʑ ɨᵝː d o̞
じゅうどう	d͡ʑ ɨᵝː d o̞ː
じゅうなんざい	d͡ʑ ɨᵝː n ã̠ n d͡z a̠ i
じゅうに	d͡ʑ ɨᵝː ɲ̟ i
じゅうにがつ	d͡ʑ ɨᵝː ɲ̟ i ɡ a̠ t͡s ɨᵝ
じゅうにしちょう	d͡ʑ ɨᵝː ɲ̟ i ɕ i t͡ɕ o̞ː
じゅうにしちょうかいよう	d͡ʑ ɨᵝː ɲ̟ i ɕ i t͡ɕ o̞ː k a̠ i j o̞ː
じゅうにひとえ	d͡ʑ ɨᵝː ɲ̟ i ç i t o̞ e̞
じゅうはち	d͡ʑ ɨᵝː h a̠ t͡ɕ i
じゅうはん	d͡ʑ ɨᵝː h ã̠ ɴ
じゅうばこよみ	d͡ʑ ɨᵝː b a̠ k o̞ j o̞ mʲ i
じゅうまん	d͡ʑ ɨᵝː m ã̠ ɴ
じゅうみん	d͡ʑ ɨᵝː mʲ ĩ ɴ
じゅうめんたい	d͡ʑ ɨᵝː m ẽ̞ n t a̠ i
じゅうよう	d͡ʑ ɨᵝː j o̞ː
じゅうようぎょうせきひょうかしひょう	d͡ʑ ɨᵝː j o̞ː ɡʲ o̞ː s e̞ kʲ i ç o̞ː k a̠ ɕ i ç o̞ː
じゅうらい	d͡ʑ ɨᵝː ɾ a̠ i
じゅうりょう	d͡ʑ ɨᵝː ɾʲ o̞ː
じゅうりょく	d͡ʑ ɨᵝː ɾʲ o̞ k ɯ̟ᵝ
じゅうりょくは	d͡ʑ ɨᵝː ɾʲ o̞ k ɯ̟ᵝ h a̠
じゅうりん	d͡ʑ ɨᵝː ɾʲ ĩ ɴ
じゅうろく	d͡ʑ ɨᵝː ɾ o̞ k ɯ̟ᵝ
じゅうろくしま	d͡ʑ ɨᵝː ɾ o̞ k ɯ̟ᵝ ɕ i m a̠
じゅか	d͡ʑ ɨᵝ k a̠
じゅかい	d͡ʑ ɨᵝ k a̠ i
じゅかん	d͡ʑ ɨᵝ k ã̠ ɴ
じゅがく	d͡ʑ ɨᵝ ɡ a̠ k ɯ̟ᵝ
じゅきょう	d͡ʑ ɨᵝ kʲ o̞ː
じゅぎょうさんかん	d͡ʑ ɨᵝ ɡʲ o̞ː s ã̠ ŋ k ã̠ ɴ
じゅく	d͡ʑ ɨᵝ k ɯ̟ᵝ
じゅくじ	d͡ʑ ɨᵝ k ɯ̟ᵝ ʑ i
じゅくじくん	d͡ʑ ɨᵝ k ɯ̟ᵝ ʑ i k ɯ̟̃ᵝ ɴ
じゅくすい	d͡ʑ ɨᵝ k ɯ̟ᵝ s ɨᵝ i
じゅくせい	d͡ʑ ɨᵝ k ɯ̟ᵝ s e̞ː
じゅくみん	d͡ʑ ɨᵝ k ɯ̟ᵝ mʲ ĩ ɴ
じゅけいしゃ	d͡ʑ ɨᵝ k e̞ː ɕ a̠
じゅけんせい	d͡ʑ ɨᵝ k ẽ̞ ɰ̃ s e̞ː
じゅごん	d͡ʑ ɨᵝ ɡ õ̞ ɴ
じゅしゃく	d͡ʑ ɨᵝ ɕ a̠ k ɯ̟ᵝ
じゅしょう	d͡ʑ ɨᵝ ɕ o̞ː
じゅしょうしき	d͡ʑ ɨᵝ ɕ o̞ː ɕ i kʲ i
じゅじょうとっき	d͡ʑ ɨᵝ ʑ o̞ː t o̞ k̚ʲ kʲ i
じゅず	d͡ʑ ɨᵝ z ɨᵝ
じゅずかけばと	d͡ʑ ɨᵝ z ɨᵝ k a̠ k e̞ b a̠ t o̞
じゅせい	d͡ʑ ɨᵝ s e̞ː
じゅそ	d͡ʑ ɨᵝ s o̞
じゅっかい	d͡ʑ ɯᵝ kː a̠ i
じゅってき	d͡ʑ ɨᵝ t̚ t e̞ kʲ i
じゅつ	d͡ʑ ɨᵝ t͡s ɨᵝ
じゅつご	d͡ʑ ɨᵝ t͡s ɨᵝ ɡ o̞
じゅでん	d͡ʑ ɨᵝ d ẽ̞ ɴ
じゅどうきつえん	d͡ʑ ɨᵝ d o̞ː kʲ i̥ t͡s ɨᵝ ẽ̞ ɴ
じゅなん	d͡ʑ ɨᵝ n ã̠ ɴ
じゅなんきょく	d͡ʑ ɨᵝ n ã̠ ŋʲ kʲ o̞ k ɯ̟ᵝ
じゅにゅう	d͡ʑ ɨᵝ ɲ̟ ɯ̟ᵝː
じゅばん	d͡ʑ ɨᵝ b ã̠ ɴ
じゅひ	d͡ʑ ɨᵝ ç i
じゅふ	d͡ʑ ɨᵝ ɸ ɯ̟ᵝ
じゅみょう	d͡ʑ ɨᵝ mʲ o̞ː
じゅもく	d͡ʑ ɨᵝ m o̞ k ɯ̟ᵝ
じゅもん	d͡ʑ ɨᵝ m õ̞ ɴ
じゅよ	d͡ʑ ɨᵝ j o̞
じゅようか	d͡ʑ ɨᵝ j o̞ː k a̠
じゅらく	d͡ʑ ɨᵝ ɾ a̠ k ɯ̟ᵝ
じゅりあ	d͡ʑ ɨᵝ ɾʲ i a̠
じゅりん	d͡ʑ ɨᵝ ɾʲ ĩ ɴ
じゅんあい	d͡ʑ ɨ̃ᵝ ɰ̃ a̠ i
じゅんい	d͡ʑ ɨ̃ᵝ ɰ̃ i
じゅんか	d͡ʑ ɨ̃ᵝ ŋ k a̠
じゅんかつざい	d͡ʑ ɨ̃ᵝ ŋ k a̠ t͡s ɨᵝ z a̠ i
じゅんかつゆ	d͡ʑ ɨ̃ᵝ ŋ k a̠ t͡s ɨᵝ j ɯ̟ᵝ
じゅんき	d͡ʑ ɨ̃ᵝ ŋʲ kʲ i
じゅんきょう	d͡ʑ ɨ̃ᵝ ŋʲ kʲ o̞ː
じゅんきょうしゃ	d͡ʑ ɨ̃ᵝ ŋʲ kʲ o̞ː ɕ a̠
じゅんきん	d͡ʑ ɨ̃ᵝ ŋʲ kʲ ĩ ɴ
じゅんけっしょう	d͡ʑ ɨ̃ᵝ ŋ k e̞ ɕː o̞ː
じゅんけつ	d͡ʑ ɨ̃ᵝ ŋ k e̞ t͡s ɨᵝ
じゅんこ	d͡ʑ ɨ̃ᵝ ŋ k o̞
じゅんこう	d͡ʑ ɨ̃ᵝ ŋ k o̞ː
じゅんしかん	d͡ʑ ɨ̃ᵝ ɰ̃ ɕ i̥ k ã̠ ɴ
じゅんしゅ	d͡ʑ ɨ̃ᵝ ɰ̃ ɕ ɨᵝ
じゅんしゅう	d͡ʑ ɨ̃ᵝ ɰ̃ ɕ ɨᵝː
じゅんしょう	d͡ʑ ɨ̃ᵝ ɰ̃ ɕ o̞ː
じゅんしょく	d͡ʑ ɨ̃ᵝ ɰ̃ ɕ o̞ k ɯ̟ᵝ
じゅんじ	d͡ʑ ɨ̃ᵝ ɲ̟ d͡ʑ i
じゅんじゅん	d͡ʑ ɨ̃ᵝ ɲ̟ d͡ʑ ɨ̃ᵝ ɴ
じゅんじょ	d͡ʑ ɨ̃ᵝ ɲ̟ d͡ʑ o̞
じゅんじょう	d͡ʑ ɨ̃ᵝ ɲ̟ d͡ʑ o̞ː
じゅんせい	d͡ʑ ɨ̃ᵝ ɰ̃ s e̞ː
じゅんたく	d͡ʑ ɨ̃ᵝ n t a̠ k ɯ̟ᵝ
じゅんなん	d͡ʑ ɨ̃ᵝ nː ã̠ ɴ
じゅんねん	d͡ʑ ɨ̃ᵝ nː ẽ̞ ɴ
じゅんぱく	d͡ʑ ɨ̃ᵝ m p a̠ k ɯ̟ᵝ
じゅんび	d͡ʑ ɨ̃ᵝ m bʲ i
じゅんぷうまんぱん	d͡ʑ ɨ̃ᵝ m p ɯ̟ᵝː m ã̠ m p ã̠ ɴ
じゅんぺい	d͡ʑ ɨ̃ᵝ m p e̞ː
じゅんや	d͡ʑ ɨ̃ᵝ ɰ̃ j a̠
じゅんようかん	d͡ʑ ɨ̃ᵝ ɰ̃ j o̞ː k ã̠ ɴ
じゅんようせんかん	d͡ʑ ɨ̃ᵝ ɰ̃ j o̞ː s ẽ̞ ŋ k ã̠ ɴ
じゅんりん	d͡ʑ ɨ̃ᵝ n ɾʲ ĩ ɴ
じゆう	d͡ʑ i j ɯ̟ᵝː
じゆうか	d͡ʑ i j ɯ̟ᵝː k a̠
じゆうがた	d͡ʑ i j ɯ̟ᵝː ɡ a̠ t a̠
じゆうしゅぎ	d͡ʑ i j ɯ̟ᵝː ɕ ɨᵝ ɡʲ i
じゆうせき	d͡ʑ i j ɯ̟ᵝː s e̞ kʲ i
じゆうとう	d͡ʑ i j ɯ̟ᵝː t o̞ː
じゆうど	d͡ʑ i j ɯ̟ᵝː d o̞
じゆうほんぽう	d͡ʑ i j ɯ̟ᵝː h õ̞ m p o̞ː
じょ	d͡ʑ o̞
じょい	d͡ʑ o̞ i
じょう	d͡ʑ o̞ː
じょうあい	d͡ʑ o̞ː a̠ i
じょういん	d͡ʑ o̞ː ĩ ɴ
じょうえい	d͡ʑ o̞ː e̞ː
じょうおう	d͡ʑ o̞ː o̞ː
じょうおん	d͡ʑ o̞ː õ̞ ɴ
じょうおんかくゆうごう	d͡ʑ o̞ː õ̞ ɴ k ä ɯᵝ j ɯᵝː ɡ o̞ː
じょうか	d͡ʑ o̞ː k a̠
じょうかい	d͡ʑ o̞ː k a̠ i
じょうかく	d͡ʑ o̞ː k a̠ k ɯ̟ᵝ
じょうかん	d͡ʑ o̞ː k ã̠ ɴ
じょうが	d͡ʑ o̞ː ɡ a̠
じょうき	d͡ʑ o̞ː kʲ i
じょうきあつ	d͡ʑ o̞ː kʲ i a̠ t͡s ɨᵝ
じょうききかんしゃ	d͡ʑ o̞ː kʲ i kʲ i̥ k ã̠ ɰ̃ ɕ a̠
じょうきげん	d͡ʑ o̞ː kʲ i ɡ ẽ̞ ɴ
じょうきゃく	d͡ʑ o̞ː kʲ a̠ k ɯ̟ᵝ
じょうきゅう	d͡ʑ o̞ː kʲ ɨᵝː
じょうきゅうせい	d͡ʑ o̞ː kʲ ɨᵝː s e̞ː
じょうきょう	d͡ʑ o̞ː kʲ o̞ː
じょうきをいっする	d͡ʑ o̞ː kʲ i o̞ i sː ɯ̟ᵝ ɾ ɯ̟ᵝ
じょうぎざ	d͡ʑ o̞ː ɡʲ i z a̠
じょうく	d͡ʑ o̞ː k ɯ̟ᵝ
じょうけん	d͡ʑ o̞ː k ẽ̞ ɴ
じょうげさゆう	d͡ʑ o̞ː ɡ e̞ s a̠ j ɯ̟ᵝː
じょうげてん	d ʑ oː ɡ e t e ɴ
じょうげん	d͡ʑ o̞ː ɡ ẽ̞ ɴ
じょうこ	d͡ʑ o̞ː k o̞
じょうこう	d͡ʑ o̞ː k o̞ː
じょうざい	d͡ʑ o̞ː z a̠ i
じょうざぶ	d͡ʑ o̞ː z a̠ b ɯ̟ᵝ
じょうざぶぶっきょう	d͡ʑ o̞ː z a̠ b ɯ̟ᵝ b ɯ̟ᵝ k̚ʲ kʲ o̞ː
じょうざん	d͡ʑ o̞ː z ã̠ ɴ
じょうし	d ʑ oː ɕ i
じょうし	d͡ʑ o̞ː ɕ i
じょうしきてきにかんがえて	d͡ʑ o̞ː ɕ i kʲ i t e̞ kʲ i ɲ̟ i k ã̠ ŋ ɡ a̠ e̞ t e̞
じょうしゃ	d͡ʑ o̞ː ɕ a̠
じょうしゃけん	d͡ʑ o̞ː ɕ a̠ k ẽ̞ ɴ
じょうしゃひっすい	d͡ʑ o̞ː ɕ a̠ ç i sː ɯ̟ᵝ i
じょうしゅうはん	d͡ʑ o̞ː ɕ ɨᵝː h ã̠ ɴ
じょうしょ	d͡ʑ o̞ː t͡ɕ o̞
じょうしょ	d͡ʑ o̞ː ɕ o̞
じょうしょうきりゅう	d͡ʑ o̞ː ɕ o̞ː kʲ i ɾʲ ɨᵝː
じょうしょく	d͡ʑ o̞ː ɕ o̞ k ɯ̟ᵝ
じょうじ	d͡ʑ o̞ː ʑ i
じょうじょう	d͡ʑ o̞ː ʑ o̞ː
じょうじん	d͡ʑ o̞ː ʑ ĩ ɴ
じょうすいどう	d͡ʑ o̞ː s ɨᵝ i d o̞ː
じょうすう	d͡ʑ o̞ː s ɨᵝː
じょうず	d͡ʑ o̞ː z ɨᵝ
じょうせい	d͡ʑ o̞ː s e̞ː
じょうたい	d͡ʑ o̞ː t a̠ i
じょうたいか	d͡ʑ o̞ː t a̠ i k a̠
じょうだん	d͡ʑ o̞ː d ã̠ ɴ
じょうちゅう	d͡ʑ o̞ː t͡ɕ ɨᵝː
じょうちょう	d͡ʑ o̞ː t͡ɕ o̞ː
じょうでき	d͡ʑ o̞ː d e̞ kʲ i
じょうと	d͡ʑ o̞ː t o̞
じょうとう	d͡ʑ o̞ː t o̞ː
じょうとうく	d͡ʑ o̞ː t o̞ː k ɯ̟ᵝ
じょうとうしゅだん	d͡ʑ o̞ː t o̞ː ɕ ɨᵝ d ã̠ ɴ
じょうねつ	d͡ʑ o̞ː n e̞ t͡s ɨᵝ
じょうねん	d͡ʑ o̞ː n ẽ̞ ɴ
じょうはつ	d͡ʑ o̞ː h a̠ t͡s ɨᵝ
じょうはんしんはだか	d͡ʑ o̞ː h ã̠ ɰ̃ ɕ ĩ ɰ̃ h a̠ d a̠ k a̠
じょうふ	d͡ʑ o̞ː ɸ ɯ̟ᵝ
じょうふう	d͡ʑ o̞ː ɸ ɯ̟ᵝː
じょうへき	d͡ʑ o̞ː h e̞ kʲ i
じょうほ	d͡ʑ o̞ː h o̞
じょうほう	d͡ʑ o̞ː h o̞ː
じょうほうかがく	d͡ʑ o̞ː h o̞ː k a̠ ɡ a̠ k ɯ̟ᵝ
じょうほうけんさく	d͡ʑ o̞ː h o̞ː k ẽ̞ ɰ̃ s a̠ k ɯ̟ᵝ
じょうほうりろん	d͡ʑ o̞ː h o̞ː ɾʲ i ɾ õ̞ ɴ
じょうまえ	d͡ʑ o̞ː m a̠ e̞
じょうまえや	d͡ʑ o̞ː m a̠ e̞ j a̠
じょうみゃく	d͡ʑ o̞ː mʲ a̠ k ɯ̟ᵝ
じょうみゃくちゅうしゃ	d͡ʑ o̞ː mʲ a̠ k ɯ̟ᵝ t͡ɕ ɨᵝː ɕ a̠
じょうむいん	d͡ʑ o̞ː m ɯ̟ᵝ ĩ ɴ
じょうもん	d͡ʑ o̞ː m õ̞ ɴ
じょうやく	d͡ʑ o̞ː j a̠ k ɯ̟ᵝ
じょうよ	d͡ʑ o̞ː j o̞
じょうようかんじ	d͡ʑ o̞ː j o̞ː k ã̠ ɲ̟ d͡ʑ i
じょうようがいかんじ	d͡ʑ o̞ː j o̞ː ɡ a̠ i k ã̠ ɲ̟ d͡ʑ i
じょうようしゅだん	d͡ʑ o̞ː j o̞ː ɕ ɨᵝ d ã̠ ɴ
じょうようたいすう	d͡ʑ o̞ː j o̞ː t a̠ i s ɨᵝː
じょうよく	d͡ʑ o̞ː j o̞ k ɯ̟ᵝ
じょうら	d͡ʑ o̞ː ɾ a̠
じょうり	d͡ʑ o̞ː ɾʲ i
じょうりゅう	d͡ʑ o̞ː ɾʲ ɨᵝː
じょうりょくこうぼく	d͡ʑ o̞ː ɾʲ o̞ k ɯ̟ᵝ k o̞ː b o̞ k ɯ̟ᵝ
じょうるり	d͡ʑ o̞ː ɾ ɯ̟ᵝ ɾʲ i
じょうれい	d͡ʑ o̞ː ɾ e̞ː
じょうれん	d͡ʑ o̞ː ɾ ẽ̞ ɴ
じょうろ	d͡ʑ o̞ː ɾ o̞
じょうわ	d͡ʑ o̞ː ɰᵝ a̠
じょうわんこつ	d͡ʑ o̞ː ɰᵝ ã̠ ŋ k o̞ t͡s ɨᵝ
じょうわんにとうきん	d͡ʑ o̞ː ɰᵝ ã̠ ɲ̟ ɲ̟ i t o̞ː kʲ ĩ ɴ
じょおう	d͡ʑ o̞ o̞ː
じょがい	d͡ʑ o̞ ɡ a̠ i
じょがくせい	d͡ʑ o̞ ɡ a̠ k ɯ̟̊ᵝ s e̞ː
じょきょうじゅ	d͡ʑ o̞ kʲ o̞ː ʑ ɨᵝ
じょきょく	d͡ʑ o̞ kʲ o̞ k ɯ̟ᵝ
じょきん	d͡ʑ o̞ kʲ ĩ ɴ
じょげん	d͡ʑ o̞ ɡ ẽ̞ ɴ
じょこう	d͡ʑ o̞ k o̞ː
じょことば	d͡ʑ o̞ k o̞ t o̞ b a̠
じょさん	d͡ʑ o̞ s ã̠ ɴ
じょさんし	d͡ʑ o̞ s ã̠ ɰ̃ ɕ i
じょさんぷ	d͡ʑ o̞ s ã̠ m p ɯ̟ᵝ
じょし	d͡ʑ o̞ ɕ i
じょしこうこうせい	d͡ʑ o̞ ɕ i k o̞ː k o̞ː s e̞ː
じょしこうせい	d͡ʑ o̞ ɕ i ̥ k o̞ː s e̞ː
じょしゅ	d͡ʑ o̞ ɕ ɨᵝ
じょしゅせき	d͡ʑ o̞ ɕ ɨᵝ s e̞ kʲ i
じょしょう	d͡ʑ o̞ ɕ o̞ː
じょしりょう	d͡ʑ o̞ ɕ i ɾʲ o̞ː
じょしりょく	d͡ʑ o̞ ɕ i ɾʲ o̞ k ɯ̟ᵝ
じょじ	d͡ʑ o̞ ʑ i
じょじし	d͡ʑ o̞ ʑ i ɕ i
