آب	a w
نوزاد	n o z ɒː d̪
نوزاد	n o ʊ z ɒː d̪
نوزده	n uː z d æʰ
نوستالژی	n o s tʰ ɒ l ʒ iː
نوشین	n oː ʃ eː n
نوشین	n uː ʃ iː n
نوم	n o u̯ m
نون	n u n
نون	n uː n
نوچ	n o t͡ʃ
نوچ	n uː t͡ʃ
نوکر	n o k æ ɾ
نوکر	n o ʊ k æ ɾ
نوید	n æ v iː d
نوید	n ʊ w eː d
نوید	n ʊ w eː ð
نژاد	n e ʒ ɒː d̪
نژادپرستانه	n e ʒ ɒː d̪ pʰ æ ɾ æ s t̪ʰ uː n e
نژادپرستانه	n e ʒ ɒː d̪ pʰ æ ɾ æ s t̪ʰ ɒː n e
نژادی	n e ʒ ɒː d̪ iː
نکونام	n e kʰ uː n ɒː m
نگاره	n e ɡ ɒː ɾ e
نگاشتن	n e ɡ ɒː ʃ t æ n
نگاه	n e ɡ ɒː h
نگاه	n iː ɡ ɒː
نگریستن	n e ɡʲ æ ɾ iː s t̪ʰ æ n
نگندن	n e ɡ æ n d æ n
نیا	n i j ɒː
نیجر	n iː d͡ʒ e ɾ
نیجریه	n iː d͡ʒ e ɾ j e
نیرو	n iː ɾ uː
نیرومند	n iː ɾ uː m æː n d̪
نیزه	n eː z æ
نیست	n eː s
نیستم	n iː s t̪ʰ æ m
نیستی	n eː s tʰ iː
نیستی	n iː s tʰ iː
نیلوفر	n eː l oː f æ ɾ
نیلوفر	n iː l oː f æ ɾ
نیلوفر	n iː l uː f æ ɾ
نیوشا	n i j u ʃ ɒ
نیوشیدن	n ɪ j uː ʃ iː d æ n
ها	h ɒː
ها	h ɔː
ها	ɒː
هاشمی	h ɒː ʃ e m iː
هامون	h ɒː m uː n
هتل	h o t̪ʰ e l
هجده	h i ʒ d æ
هجران	h e d͡ʒ ɾ ɒ n
هخامنش	h æ x ɒ m æ n e ʃ
هخامنشی	h æ x ɒ m æ n e ʃ iː
هخامنشیان	h æ x ɒ m æ n e ʃ iː ɒ n
هخامنشیان	h æ x ɒ m æ n e ʃ iː ɒː
هذیان	h æ z j uː n
هذیان	h æ z j ɒː n
هذیان	h æ z æ j ɒː n
هرزه	h æ ɾ z e
هرزه	h æ ɾ z æ
هرزگی	h æ ɾ z e ɡʲ iː
هرزگی	h æ ɾ z æ ɡʲ iː
هرگز	h æ ɾ ɡʲ e z
هزینه	h a z eː n a
هزینه	h æ z iː n e
هست	h æ s t̪ʰ
هستی	h æ s tʰ iː
هشتن	h e ʃ t æ n
هفت	h æ f t̪
هفت	h æː f t̪
هفت‌سین	h æ f t̪ s i n
هفده	h e v d æʰ
هفده	h iː v d æʰ
هلن	h e l e n
هلندی	h o l æ n d̪ iː
هلو	h ʊ l uː
همان	h a m uː
همان	h æ m u n
همان	h æ m ɒː n
هماهنگی	h æ m ɒː h æ ŋ ɡʲ iː
همبرگر	h æ m b e ɾ ɡʲ e ɾ
همجنسگراهراس	h æ m d ʒ e n s ɡ e ɾ ɒ h æ ɾ ɒ s
همجنسگراهراس	h æ m d ʒ e n s ɡ æ ɾ ɒ h æ ɾ ɒ s
همجنس‌گراهراس	h æ m d ʒ e n s ɡ e ɾ ɒ h æ ɾ ɒ s
همجنس‌گراهراس	h æ m d ʒ e n s ɡ æ ɾ ɒ h æ ɾ ɒ s
همچنان	h æ m t ʃʰ e n ɒː n
هم‌اکنون	h æ m æ k n u n
هندسه	h e n d̪ e s e
هنرپیشه	h o n æ ɾ pʰ iː ʃ e
هنوز	h æ n u
هنوز	h æ n u z
هنوز	h æ n uː
هوا	h æ v ɒː
هوشمند	h o ʃ m æ n
هوشمند	h uː ʃ m æ n d̪
هوشنگ	h oː ʃ æ ŋ ɡ
هوشنگ	h uː ʃ æ ŋ ɡ
هوشنگ	h uː ʃ æː ŋ ɡ
هومن	h uː m æ n
هیجان	h iː d ʒ ɒː n
هیره	h iː ɾ e
هیور	h eː w æ ɾ
هیچ‌کس	h iː t͡ʃ k æ s
هیچ‌کس	h iː ʃ k æ s
هیکل	h e i̯ kʲ æ l
واروژان	v ɒː ɾ uː ʒ ɒ n
واس	v ɒ s e
واس	v ɒ sː e
واشنگتن	v ɒː ʃ e ŋ ɡ t o n
واقعا	v ɒː ɣ a n
واقعیت	v ɒː ɣ e ʔ iː j æ t̪ʰ
والده	v ɒː l e d̪ e
والسلام	v æ sː æ l ɒː m
وانستن	v ɒː n e s t̪ʰ æ n
واژن	v ɒː ʒ æ n
واکنش	v ɒː kʰ o n e ʃ
وجدان	v e d ʒ d ɒː n
وجدان	v o d ʒ d ɒː n
وجودی	v o d ʒ uː d iː
وحشی	v æ h ʃ iː
وخشیدن	v æ x ʃ iː d̪ æ n
ودیعه	v æ d iː j e
ودیعه	v æ d iː ʔ e
ورزش	v æ ɾ z e ʃ
ورزیدن	v æ ɾ z iː d̪ æ n
ورقه	v æ ɾ æ ɣ e
وش	v æ ʃ
وضعیت	v æː z i i̯ æ t
وغا	v æ ɣ ɒː
وفا	v æ f ɒː
وقت	v æ x
ولسوالی	v o l o s v ɒː l iː
ولسوالی	w o l o s w ɒː l iː
ونزوئلا	v e n e z u e l ɒː
وگرنه	v æ ɡʲ æ ɾ n æ
ویدیدن	v iː d iː d æ n
ویراستن	v iː ɾ ɒː s t̪ʰ æ n
ویرایش	v iː ɾ ɒː j e ʃ
ویسی	v e i̯ s iː
وین	v i j æ n
ویژه	v iː ʒ e
ویژگی	v iː ʒ e ɡʲ iː
ویکی	v i k iː
ویکی	v iː k iː
ویکی‌پدیا	v iː k iː p e d i j ɒː
ویگن	v iː ɡʲ e n
پا	pʰ ɒː
پارتی	pʰ ɒː ɾ t̪ʰ iː
پارسا	p ɒː ɾ s ɒː
پارسه	pʰ ɒː ɾ s e
پارسی	pʰ ɒː ɾ s iː
پارلمان	pʰ ɒ ɾ l e m ɒ n
پارلمان	pʰ ɒ ɾ l o m ɒ n
پارو	pʰ ɒː ɾ uː
پارچ	pʰ ɒ ɾ t͡ʃʰ
پاریس	pʰ ɑ ɾ i s
پاسخ	p ɒː s o x
پالایشگاه	pʰ ɒː l ɒː j e ʃ ɡ ɒː h
پالودن	pʰ ɒ l uː d̪ æ n
پالوده	pʰ ɒː l uː d̪ e
پانزده	pʰ uː n z d̪ æʰ
پانزده	pʰ ɒː n z d̪ æʰ
پانید	p ɒː n iː d
پانید	p ɒː n iː ð
پاپوش	pʰ ɒ pʰ u ʃ
پاپوش	pʰ ɒː pʰ uː ʃ
پاکستانی	pʰ ɒː kʲ e s t̪ʰ ɒː n iː
پای	pʰ ɒː j
پتروسیان	pʰ e tʰ ɾ o s i j ɒ n
پتروسیان	pʰ e tʰ ɾ o s i j ɒː n
پدرانه	pʰ e d̪ æ ɾ uː n e
پدرانه	pʰ e d̪ æ ɾ ɒː n e
پدیده	pʰ æ d̪ iː d̪ e
پر	pʰ æ ɾ
پراکندن	p æ ɾ ɒː k æ n d æ n
پراکندگی	pʰ æ ɾ ɒː kʲ æ n d̪ e ɡʲ iː
پرتغال	pʰ o ɾ tʰ o ɣ ɒː l
پرتقال	pʰ o ɾ tʰ e ɣ ɒː l
پرتقال	pʰ o ɾ tʰ o ɣ ɒː l
پرتکاپو	pʰ o ɾ t̪ʰ æ kʰ ɒː pʰ uː
پرتگاه	pʰ æ ɾ t ɡ͡ɣ ɒː h
پرستار	pʰ æ ɾ æ s t̪ʰ ɒː ɾ
پرستیدن	pʰ æ ɾ æ s t̪ʰ iː d̪ æ n
پرطرفدار	pʰ o ɾ tʰ æ ɾ æ f d ɒː ɾ
پرهام	pʰ æ ɾ h ɒː m
پروانه	pʰ æ ɾ v ɒː n e
پرویز	pʰ æ ɾ v iː z
پرکار	pʰ o ɾ kʰ ɒː ɾ
پریروز	pʰ æ ɾ iː ɾ uː z
پریشب	pʰ æ ɾ iː ʃ æ b
پرینه	pʰ e ɾ iː n e
پریوش	pʰ æ ɾ iː v æ ʃ
پس	pʰ æ s
پستاندار	pʰ e s t̪ʰ uː n d̪ ɒː ɾ
پستاندار	pʰ e s t̪ʰ ɒː n d̪ ɒː ɾ
پسته	pʰ e s t̪ʰ e
پسته	pʰ e s t̪ʰ æ
پسته	pʰ ɪ s t̪ʰ æ
پسر	pʰ e s æ ɾ
پسر	pʰ o s æ ɾ
پسرانه	pʰ e s æ ɾ ɒː n e
پسرونه	pʰ e s æ ɾ uː n e
پسرک	pʰ e s æ ɾ æ k
پشتو	pʰ æ ʃ t̪ʰ o
پشمک	p æ ʃ m æ k
پشمین	pʰ æ ʃ m i n
پشمین	pʰ æ ʃ m iː n
پشک	p e ʃ æ
پشک	p e ʃ æ k
پشک	p ʊ ʃ æ k
پلو	pʰ o l o
پلو	pʰ o l o ʊ̯
پلو	pʰ æ l æ ʊ̯
پلو	pʰ ʊ l æ ʊ̯
پلید	pʰ æ l iː d̪
پنبه	pʰ æ m b e
پنج	pʰ æ̃ d͡ʒ
پنجاب	pʰ æ n d͡ʒ ɒː b
پنجابی	pʰ æ n d ʒ ɒː b iː
پنجره	pʰ æ n d͡ʒ e ɾ e
پندار	pʰ e n d̪ ɒː ɾ
پهپاد	pʰ æ h pʰ ɒː d̪
پوتین	pʰ u tʰ i n
پوده	pʰ uː d e
پوزخند	pʰ uː s x æ n d̪
پوسته	pʰ uː s t̪ʰ e
پوسیدن	p uː s iː d æ n
پوشش	pʰ uː ʃ e ʃ
پولاد	pʰ oː l ɒː d
پولاد	pʰ oː l ɒː ð
پولاد	pʰ uː l ɒː d
پولدار	pʰ uː l d̪ ɒː ɾ
پوچ	pʰ uː t͡ʃ
پویان	pʰ uː j ɒ n
پچین	pʰ æ t͡ʃː iː n
پژاک	p e ʒ ɒː k
پژمان	pʰ e ʒ m ɒ n
پژمردن	p æ ʒ m o ɾ d̪ æ n
پژواک	p e ʒ v ɒː k
پژواک	p æ ʒ v ɒː k
پژوهیدن	p e ʒ uː h iː d̪ æ n
پکن	pʰ e kʲ æ n
پگاه	pʰ e ɡ ɒː h
پگاه	pʰ æ ɡ ɒː h
پیختن	pʰ iː x tʰ æ n
پیدا	pʰ e j d̪ ɒː
پیر	pʰ iː ɾ
پیراستن	pʰ iː ɾ ɒː s t̪ʰ æ n
پیرتر	pʰ iː ɾ tʰ æ ɾ
پیرترین	pʰ iː ɾ tʰ æ ɾ iː n
پیشاب	pʰ iː ʃ ɒː b
پیشین	pʰ iː ʃ iː n
پیمان	pʰ e i̯ m ɒː n
پینگ‌پونگ	p i n ɡ p o n ɡ
پیکربندی	pʰ e i̯ kʲ æ ɾ b æ n d iː
چابک	t ʃʰ ɒː b o k
چاد	t͡ʃ ɒː d
چاقو	t ʃʰ ɒː ɣ uː
چاق‌تر	t ʃʰ ɒː x tʰ æ ɾ
چاق‌ترین	t ʃʰ ɒː x tʰ æ ɾ iː n
چالش	t͡ʃʰ ɒː l e ʃ
چاله	t ʃʰ ɒː l e
چانه	t ʃʰ ɒː n e
چر	t ʃ e ɾ
چرت	t͡ʃʰ e ɾ t
چرت	t͡ʃʰ o ɾ t
چرت	t͡ʃʰ æ ɾ t
چردن	t ʃ æ r d æ n
چروک	t͡ʃʰ ʊ ɾ uː k
چرک	t͡ʃ o ɾ æ k
چریدن	t͡ʃʰ æ ɾ iː d æ n
چسباندن	t ʃʰ æ s b uː n d æ n
چسباندن	t ʃʰ æ s b ɒː n d æ n
چسبوندن	t ʃʰ æ s b uː n d æ n
چسبیدن	t͡ʃʰ æ s b iː d æ n
چش	t͡ʃ e ʃ
چش	t͡ʃ æ ʃ
چشا	t͡ʃʰ e ʃ ɒː
چشمه	t͡ʃʰ e ʃ m e
چشیدن	t͡ʃʰ e ʃ iː d æ n
چطور	t ʃ ɪ t oː ɾ
چغاله	t͡ʃ æ ɢ ɒː l e
چقدر	t ʃ ɪ q a
چلو	t ʃʰ e l o
چلو	t ʃʰ e l o ʊ̯
چلو	t ʃʰ æ l æ ʊ̯
چلچله	t͡ʃʰ e l t͡ʃʰ e l e
چنار	t͡ʃʰ e n ɒː ɾ
چنان	t͡ʃʰ e n ɒː n
چنگال	t͡ʃʰ æ ŋ ɡ ɒː l
چنگیز	t͡ʃʰ æ ŋ ɡʲ iː z
چنین	t͡ʃʰ e n iː n
چهارده	t ʃʰ æ h ɒː ɾ d̪ æʰ
چهارده	t ʃʰ ɒː ɾ d̪ æʰ
چهارصد	t ʃʰ æ h ɒː ɾ s æ d̪
چهارصد	t ʃʰ ɒː ɾ s æ d̪
چوغ	t ʃ uː ɣ
چوچوله	t ʃʰ uː t ʃʰ uː l e
چوگان	t͡ʃʰ o ʊ̯ ɡ ɒ n
چوگان	t͡ʃʰ oː ɡ ɒ n
چپت	t͡ʃʰ æ pʰ æ tʰ
چپر	t͡ʃʰ æ pʰ æ ɾ
چکاد	t ʃ e k ɒː d
چکاد	t ʃ æ k ɒː d
چکش	t͡ʃʰ æ k kʰ o ʃ
چیدن	t ʃʰ iː d̪ æ n
چیز	t ʃʰ iː z
چیزبرگر	t ʃʰ iː z b e ɾ ɡʲ e ɾ
چیزها	t͡ʃʰ iː z h ɒː
چیزها	t͡ʃʰ iː z ɒː
چیست	t ʃ iː s
چیست	t͡ʃʰ iː e
چیست	t͡ʃʰ iː s
چین	t͡ʃ i n
چین	t͡ʃ iː n
چیندن	t ʃ iː n d æ n
ژاژومک	ʒ ɒː ʒ uː m æ k
ژاکت	ʒ ɒː kʲ æ t
ژرفا	ʒ æ ɾ f ɒː
ژست	ʒ e s t̪
ژله	ʒ e l e
ژن	ʒ e n
ژنرال	ʒ e n e ɾ ɒː l
ژی	ʒ eː
ژی	ʒ iː
ژیرش	ʒ iː ɾ e ʃ
کابوس	kʰ ɒː b uː s
کابوس‌ها	kʰ ɒː b uː s h ɒː
کابینه	kʰ ɒ b i n e
کاتولیک	kʰ ɒː tʰ o l iː k
کاج	kʰ ɒː d͡ʒ
کاذب	kʰ ɒː z e b
کاربر	kʰ ɒː ɾ b æ ɾ
کاربرد	kʰ ɒː ɾ b o ɾ d̪
کاربردی	kʰ ɒː ɾ b o ɾ d̪ iː
کارتون	kʰ ɒː ɾ t̪ʰ uː n
کارشناس	kʰ ɒː ɾ ʃ e n ɒː s
کاروان	kʰ ɒː ɾ e v ɒ n
کاروان	kʰ ɒː ɾ v ɒ n
کاروان‌سرا	kʰ ɒː ɾ v ɒ n s æ ɾ ɒː
کارگر	kʰ ɒː ɾ ɡʲ æ ɾ
کاسه	kʰ ɒː s e
کاشتن	kʰ ɒː ʃ t̪ʰ æ n
کاظم	kʰ ɒː z e m
کالا	kʰ ɒː l ɒː
کالباس	kʰ ɒ l b ɒ s
کام	kʰ ɒː m
کامران	kʰ ɒ m ɾ ɒ n
کامران	kʰ ɒː m ɾ ɒː n
کامرون	k ɒː m e ɾ uː n
کامستن	k ɒː m e s t̪ʰ æ n
کامل	kʰ ɒː m e l
کاملا	kʰ ɒː m e l æ n
کامپیوتر	kʰ ɒː m pʰ j uː t̪ʰ e ɾ
کامی	kʰ ɒ m iː
کامیون	kʰ ɒ m i j o n
کانال	kʰ ɒː n ɒː l
کاندوم	kʰ ɒː n d o m
کاهربا	kʰ ɒː h ɾ o b ɒː
کاهو	kʰ ɒː h uː
کاوه	kʰ ɒː v e
کاپوت	kʰ ɒ pʰ u t
کاک	kʰ ɒː kʰ
کبوتر	kʲ æ b uː tʰ æ ɾ
کبود	kʲ æ b uː d
کثیف	kʲ æ s iː f
کدام	kʰ o d̪ ɒː m
کدام	kʰ ʊ d̪ u m
کدم	kʰ o d̪ o m
کر	kʲ æ ɾ
کرایه	kʲ e ɾ ɒː j e
کرباسچی	kʲ æ ɾ b ɒː s t͡ʃʰ iː
کربلا	kʲ æ ɾ b æ l ɒː
کردستان	kʰ o ɾ d̪ e s t̪ʰ ɒː n
کردن	kʰ a d̪ a n
کردن	kʲ e ɾ d æ n
کردی	kʰ o ɾ d̪ iː
کرفس	kʲ æ ɾ æ f s
کرمان	kʲ e ɾ m ɒ n
کرند	kʰ e ɾ e n d
کرند	kʰ o ɾ æ n d
کرک	kʰ o ɾ k
کرک	kʲ æ ɾ k
کرک	kʲ æ ɾ æ k
کرکس	kʲ æ ɾ kʲ æ s
کرگدن	kʲ æ ɾ ɡʲ æ d æ n
کریستوفر	kʰ ɾ iː s tʰ o f e ɾ
کریمه	kʲ e ɾ iː m e
کس	kʰ o s
کسشعر	kʰ o s e ʃ e ɾ
کسشعر	kʰ o s ʃ e ɾ
کشاورز	kʲ e ʃ ɒː v æ ɾ z
کشاورز	kʲ e ʃ ɒː w æ ɾ z
کشاورز	kʲ i ʃ ɔː w æ ɾ z
کشاورزی	kʲ e ʃ ɒː v æ ɾ z iː
کشتار	kʰ o ʃ tʰ ɒː ɾ
کشتی	k ə ʃ t̪ iː
کشتی	kʰ o ʃ t̪ʰ iː
کشتی	kʲ e ʃ t̪ʰ iː
کشتی	kʲ æ ʃ t̪ʰ iː
کشتی‌گیر	kʰ o ʃ t̪ʰ iː ɡʲ iː ɾ
کشتی‌گیران	kʰ o ʃ tʰ iː ɡʲ iː ɾ ɒː n
کشتی‌گیرها	kʰ o ʃ tʰ iː ɡʲ iː ɾ h ɒː
کشتی‌گیرها	kʰ o ʃ tʰ iː ɡʲ iː ɾ ɒː
کشمش	kʲ e ʃ m e ʃ
کشمش	kʲ iː ʃ m iː ʃ
کشمیر	kʲ æ ʃ m iː ɾ
کشور	kʲ e ʃ v æ ɾ
کشورها	k e ʃ v æ ɾ h ɒː
کفاش	kʲ æ f f ɒː ʃ
کفتر	kʲ æ f tʰ æ ɾ
کفش	kʲ æ f ʃ
کفش‌ها	kʲ æ f ʃ ɒː
کلاشینکف	kʲ e l ɒ ʃ i ŋ kʰ o f
کلانتر	kʲ æ l ɒ n t̪ʰ æ ɾ
کلوچه	kʰ ʊ l uː t͡ʃʰ e
کلپوک	k æ l p uː k
کلیسا	kʲ e l iː s ɒː
کمال	kʲ æ m ɒː l
کماکان	kʲ æ m ɒː kʰ ɒ n
کمترین	kʲ æ m t̪ʰ æ ɾ iː n
کمر	kʲ æ m æ ɾ
کمربند	kʲ æ m æ ɾ b æ n d̪
کمربند	kʲ æ m æ ɾ b æː n d̪
کمند	kʲ æ m æ n d
کمک‌های	k o m ɒː k h ɒ iː
کمی	k æ m i
کمیل	kʰ o m e i̯ l
کم‌ترین	kʲ æ m t̪ʰ æ ɾ iː n
کنایه	kʲ e n ɒː j e
کنجکاو	kʰ o n t ʃ kʰ ɒː v
کندن	kʲ æ n d æ n
کنش	kʰ o n e ʃ
کنه	kʲ æ n e
کنگر	k æ ŋ ɡʲ æ ɾ
کنگره	k o ŋ ɡ ɾ e
کنیا	k e n j ɒː
که	kʰ o h
که	kʲ e
که	kʲ æ h
کهربا	kʲ æ h ɾ o b ɒː
کوبیدن	kʰ uː b iː d̪ æ n
کودتا	kʰ uː d e tʰ ɒː
کودک	kʰ uː d̪ æ kʲ
کور	kʰ uː ɾ
کورم	kʰ uː ɾ æ m
کوروش	kʰ uː ɾ o ʃ
کوسه	kʰ uː s e
کول	kʰ oː l
کول	kʰ uː l
کولی	kʰ o u̯ l iː
کومور	k oː m oː ɾ
کون	kʰ o n
کون	kʰ uː n
کونی	kʰ uː n iː
کونی‌ها	kʰ uː n iː h ɒː
کون‌گشاد	kʰ u ŋ ɡ o ʃ ɒː d
کوچک	kʰ uː t ʃʰ e kʲ
کوچک	kʰ uː t ʃʰ æ kʲ
کویر	kʲ æ v iː ɾ
کژال	kʲ æ ʒ ɒ l
ککه	kʲ æ kʲ æ
کیسه	kʲ iː s e
کیف	kʲ e j f
کیف	kʲ i j e f
کیف	kʲ iː f
کیف	kʲ iː j e f
کیمیا	kʲ iː m i j ɒː
کین	kʲ iː n
کینه	kʲ iː n e
کیوان	kʲ e i̯ v ɒː n
کیک	k e ɪ̯ k
کیک	k eː k
گابن	ɡ ɒː b o n
گالری	ɡ ɒː l e ɾ iː
گت	ɡ o t , ɡ æ t
گجراتی	ɡ o d͡ʒ æ ɾ ɒː tʰ iː
گجیک	ɡ o d ʒ iː k
گداختن	ɡ o d̪ ɒː x t̪ʰ æ n
گذرنامه	ɡ o z æ ɾ n ɒː m e
گرا	ɡʲ e ɾ ɒː
گرایش	ɡʲ e ɾ ɒː j e ʃ
گرایش	ɡʲ æ ɾ ɒː j e ʃ
گربه‌سان	ɡ o ɾ b e s ɒː n
گربه‌ماهی	ɡ o ɾ b e m ɒː h iː
گرج	ɡ o ɾ d͡ʒ
گرجستان	ɡ o ɾ d͡ʒ e s t̪ʰ ɒ n
گرجستان	ɡ o ɾ d͡ʒ e s t̪ʰ ɒː n
گردو	ɡʲ e ɾ d̪ uː
گرسنه	ɡ o ɾ o s n e
گرسنه‌تر	ɡ o ɾ o s n e t̪ʰ æ ɾ
گرسنه‌ترین	ɡ o ɾ o s n e t̪ʰ æ ɾ iː n
گرسنگی	ɡ o ɾ o s n e ɡʲ iː
گرفت	ɡʲ e ɾ e f tʰ
گرم	ɡʲ e ɾ æ m
گرم	ɡʲ æː ɾ m
گرما	ɡʲ æ ɾ m ɒː
گرون	ɡʲ e ɾ u n
گرویدن	ɡ e ɾ æ v iː d̪ æ n
گرگان	ɡ o ɾ ɡ ɒ n
گرگ‌ها	ɡ o ɾ ɡ h ɒː
گفتار	ɡ o f t̪ʰ ɒː ɾ
گفتمان	ɡ o f t̪ʰ e m ɒː n
گفته	ɡ o f t̪ʰ e
گفته‌ها	ɡ o f t̪ʰ e h ɒː
گفتگوها	ɡ o f t̪ʰ e ɡ uː h ɒː
گفتگوها	ɡ o f t̪ʰ o ɡ uː h ɒː
گفتگوها	ɡ o f t̪ʰ u ɡ uː h ɒː
گل	ɡ o l
گل	ɡʲ e l
گلناز	ɡ o l n ɒː z
گل‌نزن	ɡ o l n æ z æ n
گنجشک	ɡ o n d͡ʒ iː ʃ k
گنجور	ɡʲ æ n d͡ʒ uː ɾ
گنده	ɡ o n d̪ e
گندیدن	ɡʲ æ n d iː d æ n
گوازه	ɡʲ æ v ɒː z e
گور	ɡʲ æ v ɾ
گور	ɡʲ æ w ɾ
گوریل	ɡ o ɾ iː l
گوز	ɡ oː z
گوزن	ɡ a w a z n
گوزن	ɡʲ æ v æ z n
گوسان	ɡ oː s ɒ n
گوسان	ɡ oː s ɒː n
گوسان	ɡ uː s ɒ n
گوسان	ɡ uː s ɒː n
گوسان	ɡ ɵː s ɔ n
گوشتی	ɡ uː ʃ t̪ʰ iː
گولو	ɡ u l uː
گونه	ɡ uː n e
گوگرد	ɡ uː ɡʲ e ɾ d
گچ	ɡʲ æ t͡ʃ
گیاه	ɡ ɪ j ɒː h
گیتا	ɡʲ i tʰ ɒː
گیتا	ɡʲ iː tʰ ɒː
گیتار	ɡʲ iː tʰ ɒː ɾ
گیتی	ɡʲ iː tʰ iː
گیلاس	ɡʲ iː l ɒː s
گیلانی	ɡʲ iː l ɒː n iː
گیلگمش	ɡʲ i l ɡʲ æ m e ʃ
گینه	ɡ iː n e
گیومه	ɡʲ i j uː m e
گیومه	ɡʲ ɪ j ʊ m e
ی	eː
ی	iː
ی	j
ی	j e
یازده	j ɒː z d æ h
یتا	j æ t ɒː
یتیمان	j æ tʰ iː m ɒː n
یلدا	j a l d ɒː
یلدا	j æ l d ɒː
یهو	j e h o
یوغ	j uː ɣ
یونان	j uː n ɒ n
یونان	j uː n ɒː n
یکتاپرستانه	j e k t̪ʰ ɒː pʰ æ ɾ æ s t̪ʰ ɒː n e
یکدفعه	j e kʲ d æ f e
