a	ɑː
hiwisc	x iː w i ʃ
hiwræden	x iː w r æː d e n
hladan	x l ɑ d ɑ n
hlaf	x l ɑː f
hlafhus	x l ɑː f x uː s
hlaford	x l ɑː f o r d
hlaforddom	x l ɑː f o r d d oː m
hlafordleas	x l ɑː f o r d l æ͜ɑː s
hlafordlic	x l ɑː f o r d l iː t͡ʃ
hlafweard	x l ɑː f w æ͜ɑ r d
hlafæta	x l ɑː f æː t ɑ
hlagol	x l ɑ ɡ o l
hland	x l ɑ n d
hlaw	x l ɑː w
hleahtor	x l æ͜ɑ x t o r
hleapan	x l æ͜ɑː p ɑ n
hleapere	x l æ͜ɑː p e r e
hleapestre	x l æ͜ɑː p e s t r e
hlehhan	x l e x x ɑ n
hlemman	x l e m m ɑ n
hlenca	x l e n t͡ʃ ɑ
hleo	x l e͜oː
hleonian	x l e͜o n i ɑ n
hleor	x l e͜oː r
hleorberg	x l e͜oː r b e r ɡ
hleotan	x l e͜oː t ɑ n
hleoþor	x l e͜oː θ o r
hleoþorcyme	x l e͜oː θ o r k y m e
hleoþrere	x l e͜oː θ r e r e
hleoþrian	x l e͜oː θ r i ɑ n
hleoþrung	x l e͜oː θ r u n ɡ
hlid	x l i d
hliehhan	x l i͜y x x ɑ n
hliep	x l i͜yː p
hlifian	x l i f i ɑ n
hlihhan	x l i x x ɑ n
hlimman	x l i m m ɑ n
hlimme	x l i m m e
hlinc	x l i n k
hlinian	x l i n i ɑ n
hlisa	x l iː s ɑ
hlisful	x l iː s f u l
hlið	x l i θ
hliþ	x l i θ
hlose	x l oː s e
hlosnian	x l o s n i ɑ n
hlot	x l o t
hlowan	x l oː w ɑ n
hloþ	x l oː θ
hloþbot	x l oː θ b oː t
hloþere	x l oː θ e r e
hloþian	x l oː θ i ɑ n
hlud	x l uː d
hlutor	x l uː t o r
hlyd	x l yː d
hlydan	x l yː d ɑ n
hlynsian	x l y n s i ɑ n
hlysnan	x l y s n ɑ n
hlyst	x l y s t
hlystan	x l y s t ɑ n
hlæder	x l æː d e r
hlæfdige	x l æː f d iː j e
hlæne	x l æː n e
hlænsian	x l æː n s i ɑ n
hlæst	x l æ s t
hlæw	x l æː w
hnah	x n ɑː x
hneaw	x n æ͜ɑː w
hnecca	x n e k k ɑ
hnesce	x n e ʃ ʃ e
hnigan	x n iː ɡ ɑ n
hnigian	x n i ɡ i ɑ n
hnitan	x n iː t ɑ n
hnitu	x n i t u
hnocc	x n o k k
hnol	x n o l
hnoll	x n o l l
hnossian	x n o s s i ɑ n
hnot	x n o t
hnuta	x n u t ɑ
hnutu	x n u t u
hnutum	x n u t u m
hnyte	x n y t e
hnægan	x n æː j ɑ n
hnægung	x n æː j u n ɡ
hnæp	x n æ p
hnæpf	x n æ p f
hnæpp	x n æ p p
hobanca	x oː b ɑ n k ɑ
hobbe	x o b b e
hoc	x o k
hoc	x oː k
hocg	x o ɡ ɡ
hof	x o f
hof	x oː f
hofor	x o f o r
hoga	x o ɡ ɑ
hogg	x o ɡ ɡ
hogode	h o ɣ o d e
hol	x o l
hol	x oː l
hold	x o l d
holdræden	x o l d r æː d e n
holdscipe	x o l d s k i p e
holegn	x o l e j n
holen	x o l e n
holian	x o l i ɑ n
holian	x oː l i ɑ n
holm	x o l m
holt	x o l t
hon	x oː n
hond	x o n d
hopa	x o p ɑ
hopian	x o p i ɑ n
hoppestre	x o p p e s t r e
hoppian	x o p p i ɑ n
horcwene	x oː r k w e n e
hord	x o r d
hordern	x o r d e r n
hore	x oː r e
horena	x oː r e n ɑ
horh	x o r x
horhig	x o r x i j
horig	x o r i j
horn	x o r n
hornblawere	x o r n b l ɑː w e r e
hornbære	x o r n b æː r e
hornreced	x o r n r e t͡ʃ e d
hors	x o r s
horsc	x o r s k
horsc	x o r ʃ
horscamb	x o r s k ɑ m b
horsclice	x o r ʃ l iː t͡ʃ e
horselene	x o r s e l e n e
horsern	x o r s e r n
horshwæl	x o r s x w æ l
horsminte	x o r s m i n t e
horu	x o r u
hos	x oː s
hosan	x o s ɑ n
hose	x o s e
hosp	x o s p
hoþ	x oː θ
hra	x r ɑː
hrafyl	x r ɑː f y l
hragra	x r ɑː ɡ r ɑ
hramma	x r ɑ m m ɑ
hramsa	x r ɑ m s ɑ
hran	x r ɑ n
hran	x r ɑː n
hranrad	x r ɑ n r ɑː d
hraþe	x r ɑ θ e
hraþor	x r ɑ θ o r
hreac	x r æ͜ɑː k
hream	x r æ͜ɑː m
hreaw	x r æ͜ɑː w
hreaðemus	x r æ͜ɑː θ e m uː s
hreaþemus	x r æ͜ɑː θ e m uː s
hreddan	x r e d d ɑ n
hreman	x r eː m ɑ n
hremig	x r eː m i j
hreod	x r e͜oː d
hreodan	x r e͜oː d ɑ n
hreosan	x r e͜oː s ɑ n
hreow	x r e͜oː w
hreowan	x r e͜oː w ɑ n
hreowcearig	x r e͜oː w t͡ʃ æ͜ɑ r i j
hreowlic	x r e͜oː w l iː t͡ʃ
hreowlice	x r e͜oː w l iː t͡ʃ e
hreppan	x r e p p ɑ n
hrepung	x r e p u n ɡ
hreran	x r eː r ɑ n
hreþ	x r eː θ
hreþer	x r e θ e r
hreþig	x r eː θ i j
hreþmonaþ	x r eː θ m oː n ɑ θ
hrieman	x r i͜yː m ɑ n
hrif	x r i f
hrim	x r iː m
hriman	x r iː m ɑ n
hrimig	x r iː m i j
hrinan	x r iː n ɑ n
hrincg	x r i n ɡ ɡ
hrindan	x r i n d ɑ n
hring	x r i n ɡ
hringan	x r i n j ɑ n
hringedstefna	x r i n ɡ e d s t e f n ɑ
hringfinger	x r i n ɡ f i n ɡ e r
hringsetl	x r i n ɡ s e t l
hris	x r iː s
hrisian	x r i s i ɑ n
hrissan	x r i s s ɑ n
hriþ	x r i θ
hriþ	x r iː θ
hriþer	x r iː θ e r
hriþerhyrde	x r iː θ e r x y r d e
hroc	x r oː k
hrof	x r oː f
hron	x r o n
hronfisc	x r o n f i ʃ
hronrad	x r o n r ɑː d
hrop	x r oː p
hropan	x r oː p ɑ n
hror	x r oː r
hrost	x r oː s t
hrung	x r u n ɡ
hrurol	x r u r o l
hruse	x r uː s e
hrutan	x r uː t ɑ n
hrycg	x r y j j
hrycgban	x r y j j b ɑː n
hryman	x r yː m ɑ n
hryre	x r y r e
hryscan	x r yː ʃ ʃ ɑ n
hryþerhyrde	x r yː θ e r x y r d e
hræd	x r æ d
hrædlice	x r æ d l iː t͡ʃ e
hræfn	x r æ f n
hræfnsweart	x r æ f n s w æ͜ɑ r t
hrægl	x r æ j l
hræn	x r æ n
hræw	x r æː w
hræþ	x r æ θ
hræþe	x r æ θ e
hu	x uː
hulc	x u l k
hulian	x uː l i ɑ n
hunbeorht	x u n b e͜o r x t
hund	x u n d
hundeahtatig	x u n d æ͜ɑ x t ɑ t i j
hunden	x u n d e n
hundendleftig	x u n d e n d l e f t i j
hundfeald	x u n d f æ͜ɑ l d
hundlic	x u n d l iː t͡ʃ
hundnigontig	x u n d n i ɡ o n t i j
hundred	x u n d r e d
hundseofontig	x u n d s e͜o f o n t i j
hundteontig	x u n d t e͜oː n t i j
hundteontigoþa	x u n d t e͜oː n t i ɡ o θ ɑ
hundtwelftig	x u n d t w e l f t i j
hungor	x u n ɡ o r
hunig	x u n i j
hunigbære	x u n i j b æː r e
hunigcamb	x u n i j k ɑ m b
hunigsmæc	x u n i j s m æ k
hunigsmæc	x u n i j s m æ t͡ʃ
hunta	x u n t ɑ
huntian	x u n t i ɑ n
huntoþ	x u n t o θ
huru	x uː r u
hus	x uː s
husbonda	x uː s b o n d ɑ
husbryce	x uː s b r y t͡ʃ e
husbryne	x uː s b r y n e
husc	x u ʃ
husel	x uː s e l
husian	x uː s i ɑ n
husl	x uː s l
husræden	x uː s r æː d e n
husul	x uː s u l
huuæt	x w æ t
huþ	x uː θ
hwa	x w ɑː
hwam	x w ɑː m
hwamm	x w ɑ m m
hwamstan	x w ɑ m s t ɑː n
hwanon	x w ɑ n o n
hwar	x w ɑː r
hwara	x w ɑː r ɑ
hwealf	x w æ͜ɑ l f
hwearfian	x w æ͜ɑ r f i ɑ n
hweg	x w eː j
hwelc	x w e l t͡ʃ
hwelca	x w e l k ɑ
hwelcnes	x w e l k n e s
hwelian	x w e l i ɑ n
hwelp	x w e l p
hwelpian	x w e l p i ɑ n
hweol	x w e͜oː l
hweorfan	x w e͜o r f ɑ n
hwerfan	x w e r f ɑ n
hwergen	x w e r j e n
hwerhwette	x w e r x w e t t e
hwetstan	x w e t s t ɑː n
hwettan	x w e t t ɑ n
hwicce	x w i t t͡ʃ e
hwider	x w i d e r
hwierfan	x w i͜y r f ɑ n
hwil	x w iː l
hwilc	x w i l t͡ʃ
hwilum	x w iː l u m
hwilwende	x w iː l w e n d e
hwinan	x w iː n ɑ n
hwisprian	x w i s p r i ɑ n
hwistlere	x w i s t l e r e
hwistlian	x w i s t l i ɑ n
hwit	x w iː t
hwitel	x w iː t e l
hwitnes	x w iː t n e s
hwon	x w o n
hwone	x w o n e
hwopan	x w oː p ɑ n
hwosan	x w oː s ɑ n
hwosta	x w oː s t ɑ
hwy	x w yː
hwylc	x w y l t͡ʃ
hwylca	x w y l k ɑ
hwyrft	x w y r f t
hwæder	x w æ d e r
hwæg	x w æː j
hwæl	x w æ l
hwælhunta	x w æ l x u n t ɑ
hwælhuntoþ	x w æ l x u n t o θ
hwælweg	x w æ l w e j
hwæm	x w æː m
hwæne	x w æ n e
hwænne	x w æ n n e
hwær	x w æː r
hwærhwugu	x w æː r x w u ɡ u
hwæs	x w æ s
hwæt	x w æ t
hwæte	x w æː t e
hwæþer	x w æ θ e r
hwæþre	x w æ θ r e
hycgan	x y j j ɑ n
hyd	x yː d
hydan	x yː d ɑ n
hyf	x yː f
hyge	x y j e
hygerof	x y j e r oː f
hygeþrym	x y j e θ r y m
hyht	x y x t
hyldo	x y l d o
hyldræden	x y l d r æː d e n
hyldu	x y l d u
hyll	x y l l
hyllan	x y l l ɑ n
hymele	x y m e l e
hyngran	x y n ɡ r ɑ n
hyngrian	x y n ɡ r i ɑ n
hynþu	x yː n θ u
hype	x y p e
hyr	x yː r
hyran	x yː r ɑ n
hyrdan	x y r d ɑ n
hyrde	x y r d e
hyrde	x yː r d e
hyrdel	x y r d e l
hyrdon	h yː r d o n
hyreborg	x yː r e b o r ɡ
hyrian	x y r j ɑ n
hyrling	x yː r l i n ɡ
hyrmann	x yː r m ɑ n n
hyrne	x y r n e
hyrst	x y r s t
hyrstan	x y r s t ɑ n
hyscan	x y ʃ ʃ ɑ n
hyse	x y s e
hyþ	x yː θ
hæbbende	h æ b b e n d e
hæc	x æ t͡ʃ
hæcce	x æ k k e
hæf	x æ f
hæfde	h æ f d e
hæfdon	h æ f d o n
hæfen	x æ f e n
hæfer	x æ f e r
hæferblæte	x æ f e r b l æː t e
hæfern	x æ f e r n
hæft	x æ f t
hæftan	x æ f t ɑ n
hæftling	x æ f t l i n ɡ
hæftnung	x æ f t n u n ɡ
hægl	x æ j l
hægtesse	x æ ɡ t e s s e
hæl	x æː l
hælan	x æː l ɑ n
hæle	x æ l e
hælend	x æː l e n d
hælendlic	x æː l e n d l iː t͡ʃ
hælettung	x æː l e t t u n ɡ
hæleð	x æ l e θ
hæleþ	x æ l e θ
hælig	x æː l i j
hæling	x æː l i n ɡ
hælo	x æː l o
hælsung	x æː l s u n ɡ
hælu	x æː l u
hælþ	x æː l θ
hæman	x æː m ɑ n
hæmed	x æː m e d
hæmedceorl	x æː m e d t͡ʃ e͜o r l
hæmedlac	x æː m e d l ɑː k
hæmedscipe	x æː m e d ʃ i p e
hæmedwif	x æː m e d w iː f
hænan	x æː n ɑ n
hænep	x æ n e p
hær	x æː r
hæren	x æː r e n
hærenfagol	x æː r e n f ɑ ɡ o l
hærfest	x æ r f e s t
hærfestlic	x æ r f e s t l iː t͡ʃ
hærfestmonaþ	x æ r f e s t m oː n ɑ θ
hæring	x æː r i n ɡ
hærn	x æ r n
hærnflota	x æ r n f l o t ɑ
hæs	x æː s
hæsel	x æ s e l
hæsl	x æ s l
hæst	x æː s t
hæt	x æ t
hætan	x æː t ɑ n
hæte	x æː t e
hætt	x æ t t
hæþ	x æː θ
hæþen	x æ θ e n
hæþen	x æː θ e n
hæþendom	x æː θ e n d oː m
ia	j ɑː
ic	i t͡ʃ
idel	iː d e l
ides	i d e s
idæges	iː d æ j e s
iecan	i͜yː t͡ʃ ɑ n
iecend	i͜yː t͡ʃ e n d
ieg	i͜yː j
iegland	i͜yː j l ɑ n d
iegstream	i͜yː j s t r æ͜ɑː m
ieldan	i͜y l d ɑ n
ielde	i͜y l d e
ielden	i͜y l d e n
ieldra	i y̯ l d r ɑ
ieldu	i͜y l d u
ielf	i͜y l f
ielfadl	i͜y l f ɑː d l
ielfcynn	i͜y l f k y n n
ielfen	i͜y l f e n
ielfete	i͜y l f e t e
ielfetu	i͜y l f e t u
ielfsciene	i͜y l f ʃ i͜yː n e
ielfsogoþa	i͜y l f s o ɡ o θ ɑ
ierfa	i͜y r f ɑ
ierfe	i͜y r f e
ierfenuma	i͜y r f e n u m ɑ
iergþ	i͜y r j θ
iergþu	i͜y r j θ u
iermþ	i͜y r m θ
iermþu	i͜y r m θ u
iernan	i͜y r n ɑ n
ierre	i͜y r r e
iersian	i͜y r s i ɑ n
ierþling	i͜y r θ l i n ɡ
iewan	i͜yː w ɑ n
ieþan	i͜yː θ ɑ n
ieþe	i͜yː θ e
ifig	iː f i j
ifiht	iː f i x t
ig	iː j
igeoþ	i j o θ
iggaþ	i j j ɑ θ
iggoþ	i j j o θ
igil	i j i l
igland	iː j l ɑ n d
igoþ	i j o θ
ih	i x
ilca	i l k ɑ
ile	i l e
ilfete	i l f e t e
ilfetu	i l f e t u
imbe	i m b e
impian	i m p i ɑ n
in	i n
inblawan	i n b l ɑː w ɑ n
inbrecan	i n b r e k ɑ n
inbringan	i n b r i n ɡ ɑ n
inburh	i n b u r x
inc	i n k
inca	i n k ɑ
incer	i n k e r
inciegan	i n t͡ʃ i͜yː j ɑ n
inciegung	i n t͡ʃ i͜yː j u n ɡ
incit	i ŋ k i t
incniht	i n k n i x t
incuman	i n k u m ɑ n
incund	i n k u n d
ineardian	i n æ͜ɑ r d i ɑ n
ineardiend	i n æ͜ɑ r d i e n d
infaran	i n f ɑ r ɑ n
infaru	i n f ɑ r u
inferan	i n f eː r ɑ n
infiht	i n f i x t
infæreld	i n f æ r e l d
ing	i n ɡ
ingan	i n ɡ ɑː n
ingang	i n ɡ ɑ n ɡ
ingangan	i n ɡ ɑ n ɡ ɑ n
ingefeallan	i n j e f æ͜ɑ l l ɑ n
ingefeoht	i n j e f e͜o x t
ingehygd	i n j e x y j d
ingeld	i n ɡ e l d
ingeþanc	i n j e θ ɑ n k
inhold	i n x o l d
inlenda	i n l e n d ɑ
inlendisc	i n l e n d i ʃ
inlic	i n l iː t͡ʃ
inlice	i n l iː t͡ʃ e
inlihtan	i n l iː x t ɑ n
inlædan	i n l æː d ɑ n
inn	i n n
innan	i n n ɑ n
innancund	i n n ɑ n k u n d
innanweard	i n n ɑ n w æ͜ɑ r d
inne	i n n e
innecund	i n n e k u n d
innefare	i n n e f ɑ r e
innera	i n n e r ɑ
inneweard	i n n e w æ͜ɑ r d
innian	i n n i ɑ n
innoþ	i n n o θ
innung	i n n u n ɡ
insendan	i n s e n d ɑ n
insiht	i n s i x t
intinga	i n t i n ɡ ɑ
into	i n t oː
inweard	i n w æ͜ɑ r d
inylfe	i n y l f e
iohannes	j o x ɑ n n e s
iow	i͜uː w
iraland	iː r ɑ l ɑ n d
irland	iː r l ɑ n d
irnan	i r n ɑ n
is	iː s
isceald	iː s t͡ʃ æ͜ɑ l d
isearn	iː s æ͜ɑ r n
isenordal	iː s e n o r d ɑː l
isern	iː s e r n
isernsmiþ	iː s e r n s m i θ
isig	iː s i j
isiht	iː s i x t
isiþes	iː s iː θ e s
ispania	i s p ɑː n i ɑ
ispanisc	i s p ɑː n i ʃ
israhel	i s r ɑ x e l
italia	i t ɑ l i ɑ
iude	i u d e
iudea	i u d æ͜ɑ
iudeisc	j uː d eː i ʃ
iw	iː w
kyning	k y n i n ɡ
la	l ɑː
lac	l ɑː k
lacan	l ɑː k ɑ n
lacnestre	l ɑː k n e s t r e
lacnian	l ɑː k n i ɑ n
lacu	l ɑ k u
lad	l ɑː d
ladian	l ɑː d i ɑ n
ladmann	l ɑː d m ɑ n n
ladteow	l ɑː d t e͜oː w
ladung	l ɑː d u n ɡ
laf	l ɑː f
lafian	l ɑ f i ɑ n
lafor	l ɑ f o r
lage	l ɑ ɡ e
lago	l ɑ ɡ o
lagu	l ɑ ɡ u
lagucræftig	l ɑ ɡ u k r æ f t i j
lagustræt	l ɑ ɡ u s t r æː t
lam	l ɑː m
lama	l ɑ m ɑ
lamb	l ɑ m b
lambru	l ɑ m b r u
lamp	l ɑ m p
land	l ɑ n d
landbuend	l ɑ n d b uː e n d
landfeoh	l ɑ n d f e͜o x
landfolc	l ɑ n d f o l k
landfruma	l ɑ n d f r u m ɑ
landhlaford	l ɑ n d x l ɑː f o r d
landleas	l ɑ n d l æ͜ɑː s
landleod	l ɑ n d l e͜oː d
landmearc	l ɑ n d m æ͜ɑ r k
landrest	l ɑ n d r e s t
landriht	l ɑ n d r i x t
landscipe	l ɑ n d ʃ i p e
lang	l ɑ n ɡ
langaland	l ɑ n ɡ ɑ l ɑ n d
lange	l ɑ n ɡ e
langian	l ɑ n ɡ i ɑ n
langoþ	l ɑ n ɡ o θ
langsum	l ɑ n ɡ s u m
langsumlice	l ɑ n ɡ s u m l iː t͡ʃ e
langsumnes	l ɑ n ɡ s u m n e s
langtwidig	l ɑ n ɡ t w iː d i j
lanu	l ɑ n u
lar	l ɑː r
larboc	l ɑː r b oː k
larbysen	l ɑː r b yː s e n
larcræft	l ɑː r k r æ f t
lareow	l ɑː r e͜oː w
lareowdom	l ɑː r e͜oː w d oː m
lareowlic	l ɑː r e͜oː w l iː t͡ʃ
larleast	l ɑː r l æ͜ɑː s t
larlic	l ɑː r l iː t͡ʃ
larlyst	l ɑː r l yː s t
larsmiþ	l ɑː r s m i θ
larspell	l ɑː r s p e l l
larsum	l ɑː r s u m
larwita	l ɑː r w i t ɑ
last	l ɑː s t
late	l ɑ t e
laur	l ɑ u r
laurbeam	l ɑ u r b æ͜ɑː m
laurberige	l ɑ u r b e r i j e
laurtreow	l ɑ u r t r e͜oː w
lawerce	l ɑː w e r k e
laþ	l ɑː θ
laþgeteona	l ɑː θ j e t e͜oː n ɑ
laþian	l ɑ θ i ɑ n
laþian	l ɑː θ i ɑ n
laþlic	l ɑː θ l iː t͡ʃ
laþu	l ɑ θ u
leac	l æ͜ɑː k
lead	l æ͜ɑː d
leaf	l æ͜ɑː f
leafa	l æ͜ɑː f ɑ
leafnes	l æ͜ɑː f n e s
leafnesword	l æ͜ɑː f n e s w o r d
leah	l æ͜ɑː x
lean	l æ͜ɑː n
leas	l æ͜ɑː s
leasere	l æ͜ɑː s e r e
leaslic	l æ͜ɑː s l iː t͡ʃ
leassagol	l æ͜ɑː s s ɑ ɡ o l
leassceawere	l æ͜ɑː s ʃ æ͜ɑː w e r e
leax	l æ͜ɑ k s
lec	l eː k
leccan	l e t t͡ʃ ɑ n
lecgan	l e j j ɑ n
lefan	l eː f ɑ n
legen	l e j e n
leger	l e j e r
legere	l eː ɡ e r e
legerstow	l e j e r s t oː w
legerteam	l e j e r t æ͜ɑː m
leget	l eː j e t
leht	l eː x t
lemian	l e m i ɑ n
lencten	l e n k t e n
lenctenadl	l e n k t e n ɑː d l
lenctenlic	l e n k t e n l iː t͡ʃ
lendan	l e n d ɑ n
lenden	l e n d e n
lendenu	l e n d e n u
leng	l e n j
lengest	l e n d͡ʒ e s t
lengþu	l e n ɡ θ u
leo	l e͜oː
leod	l e͜oː d
leoda	l e͜oː d
leodan	l e͜oː d ɑ n
leodcyning	l e͜oː d k y n i n ɡ
leode	l e͜oː d e
leoden	l e͜oː d e n
leodgebyrga	l e͜oː d j e b y r j ɑ
leodgeþincþu	l e͜oː d j e θ i n k θ u
leodhryre	l e͜oː d x r y r e
leodmearc	l e͜oː d m æ͜ɑ r k
leodmægen	l e͜oː d m æ j e n
leodriht	l e͜oː d r i x t
leodræden	l e͜oː d r æː d e n
leodscipe	l e͜oː d ʃ i p e
leodstefn	l e͜oː d s t e f n
leodweard	l e͜oː d w æ͜ɑ r d
leodwerod	l e͜oː d w e r o d
leodwita	l e͜oː d w i t ɑ
leodwynn	l e͜oː d w y n n
leof	l e͜oː f
leoflic	l e͜oː f l iː t͡ʃ
leofwende	l e͜oː f w e n d e
leogan	l e͜oː ɡ ɑ n
leogere	l e͜oː ɡ e r e
leoht	l e͜oː x t
leohtberend	l e͜oː x t b e r e n d
leohtbrædnes	l e͜oː x t b r æː d n e s
leohtbære	l e͜oː x t b æː r e
leohtfæt	l e͜oː x t f æ t
leohtlic	l e͜oː x t l iː t͡ʃ
leohtlice	l e͜oː x t l iː t͡ʃ e
leohtsawend	l e͜oː x t s ɑː w e n d
leoma	l e͜oː m ɑ
leon	l e͜oː n
leoran	l e͜oː r ɑ n
leornian	l e͜o r n i ɑ n
leorningcild	l e͜o r n i n ɡ t͡ʃ i l d
leornungcniht	l e͜o r n u n ɡ k n i x t
leow	l e͜oː w
leoþ	l e͜oː θ
leoþcræft	l e͜oː θ k r æ f t
leoþcræftig	l e͜oː θ k r æ f t i j
leoþere	l e͜oː θ e r e
leoþgiddung	l e͜oː θ j i d d u n ɡ
leoþian	l e͜oː θ i ɑ n
leoþlic	l e͜oː θ l iː t͡ʃ
leoþorun	l e͜oː θ o r uː n
leoþwise	l e͜oː θ w iː s e
leoþwyrhta	l e͜oː θ w y r x t ɑ
lesan	l e s ɑ n
lettan	l e t t ɑ n
leðer	l e θ e r
leþer	l e θ e r
libban	l i b b ɑ n
lic	l iː t͡ʃ
liccian	l i k k i ɑ n
licettan	l iː t͡ʃ e t t ɑ n
licettere	l iː t͡ʃ e t t e r e
licettung	l iː t͡ʃ e t t u n ɡ
licgan	l i j j ɑ n
lichama	l iː k x ɑ m ɑ
lichamlic	l iː k x ɑ m l iː t͡ʃ
lichamlice	l iː k x ɑ m l iː t͡ʃ e
lician	l iː k i ɑ n
licnes	l iː k n e s
lictun	l iː k t uː n
licþeote	l iː k θ e͜oː t e
liefan	l i͜yː f ɑ n
lieg	l i͜yː j
liegberende	l i͜yː j b e r e n d e
liegbryne	l i͜yː j b r y n e
liegbære	l i͜yː j b æː r e
liegcwalu	l i͜yː j k w ɑ l u
liegdraca	l i͜yː j d r ɑ k ɑ
liegegesa	l i͜yː j e j e s ɑ
liegetu	l i͜yː j e t u
liegfamblawende	l i͜yː j f ɑː m b l ɑː w e n d e
liegfyr	l i͜yː j f yː r
liegfæmende	l i͜yː j f æː m e n d e
lieglocc	l i͜yː j l o k k
liegloccod	l i͜yː j l o k k o d
liegnan	l i͜yː j n ɑ n
liegræsc	l i͜yː j r æ ʃ
liegræscettung	l i͜yː j r æ ʃ e t t u n ɡ
liegspiwol	l i͜yː j s p iː w o l
liegyþ	l i͜yː j yː θ
liegþracu	l i͜yː j θ r ɑ k u
liehtan	l i͜yː x t ɑ n
liesan	l i͜yː s ɑ n
lif	l iː f
lifer	l i f e r
liffrea	l iː f f r æ͜ɑː
lifgedal	l iː f j e d ɑː l
lifian	l i f i ɑ n
lifleas	l iː f l æ͜ɑː s
liflic	l iː f l iː t͡ʃ
liflice	l iː f l iː t͡ʃ e
lig	l iː j
ligen	l i j e n
ligen	l iː j e n
liget	l iː j e t
ligetræsc	l iː j e t r æ ʃ
ligetsliht	l iː j e t s l i x t
ligetu	l iː j e t u
lignan	l iː j n ɑ n
ligyþ	l iː j yː θ
lihtan	l iː x t ɑ n
lim	l i m
lim	l iː m
limmælum	l i m m æː l u m
limpan	l i m p ɑ n
lind	l i n d
linden	l i n d e n
lindhæbbend	l i n d x æ b b e n d
line	l iː n e
linen	l iː n e n
linnan	l i n n ɑ n
lippa	l i p p ɑ
lira	l iː r ɑ
lireht	l iː r e x t
list	l i s t
lixan	l iː k s ɑ n
liþ	l i θ
liþa	l iː θ ɑ
liþan	l iː θ ɑ n
liþe	l iː θ e
lobbe	l o b b e
loc	l o k
loc	l oː k
loca	l o k ɑ
loca	l oː k
locc	l o k k
loccian	l o k k i ɑ n
locian	l oː k i ɑ n
loddere	l o d d e r e
lodrung	l o d r u n ɡ
lof	l o f
lof	l oː f
lofdæd	l o f d æː d
lofian	l o f i ɑ n
log	l oː ɡ
loga	l o ɡ ɑ
logian	l oː ɡ i ɑ n
loh	l oː x
lome	l oː m e
long	l o n ɡ
longe	l o n ɡ e
longsum	l o n ɡ s u m
loppe	l o p p e
loppestre	l o p p e s t r e
los	l o s
losian	l o s i ɑ n
lox	l o k s
loþa	l o θ ɑ
lucan	l uː k ɑ n
lucas	l u k ɑ s
lufe	l u f e
lufestice	l u f e s t i t͡ʃ e
lufestre	l u f e s t r e
lufian	l u f i ɑ n
lufiend	l u f i e n d
luflic	l u f l iː t͡ʃ
lufsum	l u f s u m
luftacen	l u f t ɑː k e n
lufu	l u f u
lumpen	l u m p e n
lunden	l u n d e n
lundlaga	l u n d l ɑ ɡ ɑ
lungen	l u n ɡ e n
lus	l uː s
lust	l u s t
lustbære	l u s t b æː r e
lustfullice	l u s t f u l l iː t͡ʃ e
lutan	l uː t ɑ n
lyb	l y b
lybb	l y b b
lybesn	l y b e s n
lyden	l yː d e n
lyft	l y f t
lyften	l y f t e n
lyge	l y j e
lygen	l y j e n
lysan	l yː s ɑ n
lysu	l y s u
lyswen	l y s w e n
lyt	l yː t
lytel	l yː t e l
lythwon	l yː t x w oː n
læcan	l æː t͡ʃ ɑ n
læccan	l æ t t͡ʃ ɑ n
læce	l æː t͡ʃ e
læceboc	l æː t͡ʃ e b oː k
læcecræft	l æː t͡ʃ e k r æ f t
læcedom	l æː t͡ʃ e d oː m
læcehus	l æː t͡ʃ e x uː s
læceseax	l æː t͡ʃ e s æ͜ɑ k s
lædan	l æː d ɑ n
læden	l æː d e n
lædere	l æː d e r e
læfan	l æː f ɑ n
læn	l æː n
lænan	l æː n ɑ n
læppa	l æ p p ɑ
læran	l æː r ɑ n
lærestre	l æː r e s t r e
læring	l æː r i n ɡ
læringmæden	l æː r i n ɡ m æː d e n
læs	l æː s
læsest	l æː s e s t
læssa	l æː s s ɑ
læst	l æː s t
læstan	l æː s t ɑ n
læste	l æ s t e
læt	l æ t
læt	l æː t
lætan	l æː t ɑ n
lætsum	l æ t s u m
læwa	l æː w ɑ
læwan	l æː w ɑ n
læwed	l æː w e d
læwede	l æː w e d e
ma	m ɑː
macian	m ɑ k i ɑ n
maga	m ɑ ɡ ɑ
maga	m ɑː ɡ ɑ
magan	m ɑ ɡ ɑ n
magian	m ɑ ɡ i ɑ n
mago	m ɑ ɡ o
magon	m ɑ ɣ o n
magu	m ɑ ɡ u
maguþegn	m ɑ ɡ u θ e j n
mal	m ɑː l
malscrung	m ɑ l ʃ r u n ɡ
mamera	m ɑ m e r ɑ
mamor	m ɑ m o r
mamorian	m ɑː m o r i ɑ n
mamrian	m ɑː m r i ɑ n
man	m ɑ n
man	m ɑ n n
man	m ɑː n
manaþ	m ɑː n ɑː θ
mancynn	m ɑ n k y n n
mand	m ɑ n d
mandæde	m ɑː n d æː d e
manfordædla	m ɑː n f o r d æː d l ɑ
mangere	m ɑ n ɡ e r e
mangian	m ɑ n ɡ i ɑ n
mangung	m ɑ n ɡ u n ɡ
mangunghus	m ɑ n ɡ u n ɡ x uː s
manian	m ɑ n i ɑ n
manig	m ɑ n i j
manigfeald	m ɑ n i j f æ͜ɑ l d
