ア	a̠
タンヤオチュー	t ã̠ ɰ̃ j a̠ o̞ t͡ɕ ɨᵝː
ターキッシュアンゴラ	t a̠ː kʲ i ɕː ɯ̟ᵝ ã̠ ŋ ɡ o̞ ɾ a̠
ターキッシュバン	t a̠ː kʲ i̥ ɕː ɯ̟ᵝ b ã̠ ɴ
ターキー	t a̠ː kʲ iː
ターツァイ	t a̠ː t͡s a̠ i
ターディオン	t a̠ː dʲ i õ̞ ɴ
ターハイ	t a̠ː h a̠ i
ターミナル	t a̠ː mʲ i n a̠ ɾ ɯ̟ᵝ
ターミナルビル	t a̠ː mʲ i n a̠ ɾ ɯ̟ᵝ bʲ i ɾ ɯ̟ᵝ
ターン	t ã̠ː ɴ
ターンテーブル	t ã̠ː n t e̞ː b ɯ̟ᵝ ɾ ɯ̟ᵝ
ダ	d a̠
ダイア	d a̠ i a̠
ダイアグラム	d a̠ i a̠ ɡ ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ
ダイアモンド	d a̠ i a̠ m õ̞ n d o̞
ダイオード	d a̠ i o̞ː d o̞
ダイジェスト	d a̠ i ʑ e̞ s ɨᵝ t o̞
ダイスーシー	d a̠ i s ɨᵝː ɕ iː
ダイナマイト	d a̠ i n a̠ m a̠ i t o̞
ダイパー	d a̠ i p a̠ː
ダイヤ	d a̠ i j a̠
ダイヤグラム	d a̠ i j a̠ ɡ ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ
ダイヤモンド	d a̠ i j a̠ m õ̞ n d o̞
ダウ	d a̠ ɯ̟ᵝ
ダウジング	d a̠ ɯ̟ᵝ ʑ ĩ ŋ ɡ ɯ̟ᵝ
ダウンロード	d a̠ ɯ̟̃ᵝ n ɾ o̞ː d o̞
ダオ	d a̠ o̞
ダカール	d a̠ k a̠ː ɾ ɯ̟ᵝ
ダクト	d a̠ k ɯ̟ᵝ t o̞
ダッカ	d a̠ k̚ k a̠
ダックスフント	d a̠ k̚ k ɯ̟̊ᵝ s ɨ̥ᵝ ɸ ɯ̟̃ᵝ n t o̞
ダックバーグ	d a̠ k̚ k ɯ̟ᵝ b a̠ː ɡ ɯ̟ᵝ
ダックワーズ	d a̠ k̚ k ɯ̟ᵝ ɰᵝ a̠ː z ɨᵝ
ダッグアウト	d a̠ ɡ̚ ɡ̊ ɯ̟ᵝ a̠ ɯ̟ᵝ t o̞
ダッシュボード	d a̠ ɕː ɯ̟ᵝ b o̞ː d o̞
ダッチワイフ	d a̠ t̚ t͡ɕ i ɰᵝ a̠ i ɸ ɯ̟ᵝ
ダニエル	d a̠ ɲ̟ i e̞ ɾ ɯ̟ᵝ
ダブステップ	d a̠ b ɯ̟ᵝ s ɨᵝ t e̞ p̚ p ɯ̟ᵝ
ダブリュー	d a̠ b ɯ̟ᵝ ɾʲ ɨᵝː
ダブリン	d a̠ b ɯ̟ᵝ ɾʲ ĩ ɴ
ダブル	d a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ
ダブルスタンダード	d a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ s ɨ̥ᵝ t ã̠ n d a̠ː d o̞
ダブルネガ	d a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ n e̞ ɡ a̠
ダブルネガティブ	d a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ n e̞ ɡ a̠ tʲ i b ɯ̟ᵝ
ダブルピース	d a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ pʲ iː s ɨᵝ
ダブル・ミーニング	d a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ mʲ iː ɲ̟ ĩ ŋ ɡ ɯ̟ᵝ
ダミー	d a̠ mʲ iː
ダム	d a̠ m ɯ̟ᵝ
ダメージ	d a̠ m e̞ː ʑ i
ダラス	d a̠ ɾ a̠ s ɨᵝ
ダリア	d a̠ ɾʲ i a̠
ダルエスサラーム	d a̠ ɾ ɯ̟ᵝ e̞ s ɨ̥ᵝ s a̠ ɾ a̠ː m ɯ̟ᵝ
ダルメシアン	d a̠ ɾ ɯ̟ᵝ m e̞ ɕ i ã̠ ɴ
ダンジョン	d ã̠ ɲ̟ d͡ʑ õ̞ ɴ
ダンベル	d ã̠ m b e̞ ɾ ɯ̟ᵝ
ダークマター	d a̠ː k ɯ̟ᵝ m a̠ t a̠ː
ダーツ	d a̠ː t͡s ɨᵝ
ダート	d a̠ː t o̞
ダームスタチウム	d a̠ː m ɯ̟ᵝ s ɨ̥ᵝ t a̠ t͡ɕ i ɯ̟ᵝ m ɯ̟ᵝ
ダーリン	d a̠ː ɾʲ ĩ ɴ
ダーンドル	d ã̠ː n d o̞ ɾ ɯ̟ᵝ
チ	t͡ɕ i
チアガール	t͡ɕ i a̠ ɡ a̠ː ɾ ɯ̟ᵝ
チアジン	t͡ɕ i a̠ ʑ ĩ ɴ
チアゾール	t͡ɕ i a̠ z o̞ː ɾ ɯ̟ᵝ
チアノーゼ	t͡ɕ i a̠ n o̞ː z e̞
チアミン	t͡ɕ i a̠ mʲ ĩ ɴ
チアリーダー	t͡ɕ i a̠ ɾʲ iː d a̠ː
チアリーディング	t͡ɕ i a̠ ɾʲ iː dʲ ĩ ŋ ɡ ɯ̟ᵝ
チェ	t͡ɕ e̞
チェシャー	t͡ɕ e̞ ɕ a̠ː
チェス	t͡ɕ e̞ s ɨᵝ
チェスターフィールド	t͡ɕ e̞ s ɨ̥ᵝ t a̠ː ɸʲ iː ɾ ɯ̟ᵝ d o̞
チェックアウト	t͡ɕ e̞ k̚ k ɯ̟ᵝ a̠ ɯ̟ᵝ t o̞
チェックイン	t͡ɕ e̞ k̚ k ɯ̟ᵝ ĩ ɴ
チェリモヤ	t͡ɕ e̞ ɾʲ i m o̞ j a̠
チェリートマト	t͡ɕ e̞ ɾʲ iː t o̞ m a̠ t o̞
チェロ	t͡ɕ e̞ ɾ o̞
チェンジ	t͡ɕ ẽ̞ ɲ̟ d͡ʑ i
チェンジャー	t͡ɕ ẽ̞ ɲ̟ d͡ʑ a̠ː
チェンバロ	t͡ɕ ẽ̞ m b a̠ ɾ o̞
チェーンソー	t͡ɕ ẽ̞ː ɰ̃ s o̞ː
チェーンメール	t͡ɕ ẽ̞ː m m e̞ː ɾ ɯ̟ᵝ
チオフェン	t͡ɕ i o̞ ɸ ẽ̞ ɴ
チキン	t͡ɕ i kʲ ĩ ɴ
チキン・ナゲット	t͡ɕ i̥ kʲ ĩ n n a̠ ɡ e̞ t̚ t o̞
チクタク	t͡ɕ i k ɯ̟̊ᵝ t a̠ k ɯ̟̊ᵝ
チケ	t͡ɕ i k e̞
チケット	t͡ɕ i̥ k e̞ t̚ t o̞
チゲ	t͡ɕ i ɡ e̞
チタン	t͡ɕ i̥ t ã̠ ɴ
チヂミ	t͡ɕ i ʑ i mʲ i
チッス	t͡ɕ i sː ɯ̟ᵝ
チップ	t͡ɕ i p̚ p ɯ̟ᵝ
チフス	t͡ɕ i ɸ ɯ̟ᵝ s ɨᵝ
チャ	t͡ɕ a̠
チャイナ	t͡ɕ a̠ i n a̠
チャウダー	t͡ɕ a̠ ɯ̟ᵝ d a̠ː
チャウ・チャウ	t͡ɕ a̠ ɯ̟ᵝ t͡ɕ a̠ ɯ̟ᵝ
チャクラ	t͡ɕ a̠ k ɯ̟ᵝ ɾ a̠
チャクラム	t͡ɕ a̠ k ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ
チャタヌーガ	t͡ɕ a̠ t a̠ n ɯ̟ᵝː ɡ a̠
チャツパ	t͡ɕ a̠ t͡s ɨᵝ p a̠
チャド	t͡ɕ a̠ d o̞
チャネリング	t͡ɕ a̠ n e̞ ɾʲ ĩ ŋ ɡ ɯ̟ᵝ
チャリ	t͡ɕ a̠ ɾʲ i
チャリオット	t͡ɕ a̠ ɾʲ i o̞ t̚ t o̞
チャリンコ	t͡ɕ a̠ ɾʲ ĩ ŋ k o̞
チャレンジ	t͡ɕ a̠ ɾ ẽ̞ ɲ̟ d͡ʑ i
チャンカン	t͡ɕ ã̠ ŋ k ã̠ ɴ
チャンス	t͡ɕ ã̠ ɰ̃ s ɨᵝ
チャンネル	t͡ɕ ã̠ nː e̞ ɾ ɯ̟ᵝ
チャンピオン	t͡ɕ ã̠ m pʲ i õ̞ ɴ
チャンピオンシップ	t͡ɕ ã̠ m pʲ i õ̞ ɰ̃ ɕ i p̚ p ɯ̟ᵝ
チャンプ	t͡ɕ ã̠ m p ɯ̟ᵝ
チャンプル	t͡ɕ ã̠ m p ɯ̟ᵝ ɾ ɯ̟ᵝ
チャンプルー	t͡ɕ ã̠ m p ɯ̟ᵝ ɾ ɯ̟ᵝː
チャーシュー	t͡ɕ a̠ː ɕ ɨᵝː
チャーシューメン	t͡ɕ a̠ː ɕ ɨᵝː m ẽ̞ ɴ
チャージャー	t͡ɕ a̠ː ʑ a̠ː
チャーター	t͡ɕ a̠ː t a̠ː
チャーハン	t͡ɕ a̠ː h ã̠ ɴ
チャーメン	t͡ɕ a̠ː m ẽ̞ ɴ
チュ	t͡ɕ ɨᵝ
チュチュ	t͡ɕ ɨᵝ t͡ɕ ɨ̥ᵝ
チュニジア	t͡ɕ ɨᵝ ɲ̟ i ʑ i a̠
チュニス	t͡ɕ ɨᵝ ɲ̟ i s ɨᵝ
チュニック	t͡ɕ ɨᵝ ɲ̟ i k̚ k ɯ̟ᵝ
チュルク	t͡ɕ ɨᵝ ɾ ɯ̟ᵝ k ɯ̟ᵝ
チューインガム	t͡ɕ ɨᵝː ĩ ŋ ɡ a̠ m ɯ̟ᵝ
チュートリアル	t͡ɕ ɨᵝː t o̞ ɾʲ i a̠ ɾ ɯ̟ᵝ
チューバ	t͡ɕ ɨᵝː b a̠
チューブトップ	t͡ɕ ɨᵝː b ɯ̟ᵝ t o̞ p̚ p ɯ̟ᵝ
チューリップ	t͡ɕ ɨᵝː ɾʲ i p̚ p ɯ̟ᵝ
チュール	t͡ɕ ɨᵝː ɾ ɯ̟ᵝ
チューレンポートン	t͡ɕ ɨᵝː ɾ ẽ̞ m p o̞ː t õ̞ ɴ
チョ	t͡ɕ o̞
チョキ	t͡ɕ o̞ kʲ i
チョコ	t͡ɕ o̞ k o̞
チョコレート	t͡ɕ o̞ k o̞ ɾ e̞ː t o̞
チョッキ	t͡ɕ o̞ k̚ʲ kʲ i
チョベリグ	t͡ɕ o̞ b e̞ ɾʲ i ɡ ɯ̟ᵝ
チョベリバ	t͡ɕ o̞ b e̞ ɾʲ i b a̠
チョロギ	t͡ɕ o̞ ɾ o̞ ɡʲ i
チョン	t͡ɕ õ̞ ɴ
チョンガー	t͡ɕ õ̞ ŋ ɡ a̠ː
チョンボ	t͡ɕ õ̞ m b o̞
チョンリマ	t͡ɕ õ̞ n ɾʲ i m a̠
チョーク	t͡ɕ o̞ː k ɯ̟ᵝ
チラリズム	t͡ɕ i ɾ a̠ ɾʲ i z ɨᵝ m ɯ̟ᵝ
チリ	t͡ɕ i ɾʲ i
チリアンシーバス	t͡ɕ i ɾʲ i ã̠ ɰ̃ ɕ iː b a̠ s ɨᵝ
チロエオポッサム	t͡ɕ i ɾ o̞ e̞ o̞ p o̞ sː a̠ m ɯ̟ᵝ
チロシン	t͡ɕ i ɾ o̞ ɕ ĩ ɴ
チワワ	t͡ɕ i ɰᵝ a̠ ɰᵝ a̠
チンイーソー	t͡ɕ ĩ ɰ̃ iː s o̞ː
チンキ	t͡ɕ ĩ ŋʲ kʲ i
チンジャオロウスー	t͡ɕ ĩ ɲ̟ d͡ʑ a̠ o̞ ɾ o̞ː s ɨᵝː
チンタオ	t͡ɕ ĩ n t a̠ o̞
チンチラ	t͡ɕ ĩ ɲ̟ t͡ɕ i ɾ a̠
チンパンジー	t͡ɕ ĩ m p ã̠ ɲ̟ d͡ʑ iː
チンピラ	t͡ɕ ĩ m pʲ i ɾ a̠
チーズ	t͡ɕ iː z ɨᵝ
チーズケーキ	t͡ɕ iː z ɨᵝ k e̞ː kʲ i
チーズバーガー	t͡ɕ iː z ɨᵝ b a̠ː ɡ a̠ː
チーズフォンデュ	t͡ɕ iː z ɨᵝ ɸ õ̞ n dʲ ɨᵝ
チーター	t͡ɕ iː t a̠ː
チープ	t͡ɕ iː p ɯ̟ᵝ
チーホー	t͡ɕ iː h o̞ː
チーム	t͡ɕ iː m ɯ̟ᵝ
チームプレー	t͡ɕ iː m ɯ̟ᵝ p ɯ̟ᵝ ɾ e̞ː
チームメート	t͡ɕ iː m ɯ̟ᵝ m e̞ː t o̞
ヂ	d͡ʑ i
ヂェ	d͡ʑ e̞
ヂャ	d͡ʑ a̠
ヂュ	d͡ʑ ɨᵝ
ヂョ	d͡ʑ o̞
ップ	p̚ p ɯ̟ᵝ
ツ	t͡s ɨᵝ
ツァ	t͡s a̠
ツァー	t͡s a̠ː
ツァーリ	t͡s a̠ː ɾʲ i
ツァーリズム	t͡s a̠ː ɾʲ i z ɨᵝ m ɯ̟ᵝ
ツアー	t͡s ɨᵝ a̠ː
ツィ	t͡sʲ i
ツイ	t͡s ɨᵝ i
ツイフェミ	t͡s ɨᵝ i ɸ e̞ mʲ i
ツインテール	t͡s ɨᵝ ĩ n t e̞ː ɾ ɯ̟ᵝ
ツェ	t͡s e̞
ツェナーダイオード	t͡s e̞ n a̠ː d a̠ i o̞ː d o̞
ツォ	t͡s o̞
ツクツクボウシ	t͡s ɨᵝ k ɯ̟ᵝ t͡s ɨᵝ k ɯ̟ᵝ b o̞ː ɕ i
ツチノコ	t͡s ɨᵝ t͡ɕ i n o̞ k o̞
ツナマヨ	t͡s ɨᵝ n a̠ m a̠ j o̞
ツバル	t͡s ɨᵝ b a̠ ɾ ɯ̟ᵝ
ツモ	t͡s ɨᵝ m o̞
ツリウム	t͡s ɨᵝ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
ツリー	t͡s ɨᵝ ɾʲ iː
ツンドラ	t͡s ɨ̃ᵝ n d o̞ ɾ a̠
ツーイーソー	t͡s ɨᵝː iː s o̞ː
ツールチップ	t͡s ɨᵝː ɾ ɯ̟ᵝ t͡ɕ i̥ p̚ p ɯ̟ᵝ
ツール・ド・フランス	t͡s ɨᵝː ɾ ɯ̟ᵝ d o̞ ɸ ɯ̟ᵝ ɾ ã̠ ɰ̃ s ɨᵝ
ヅ	d͡ʑ ɨᵝ
ヅアル	d͡z ɨᵝ a̠ ɾ ɯ̟ᵝ
ヅース	d͡z ɨᵝː s ɨᵝ
テ	t e̞
ティ	tʲ i
ティアラ	tʲ i a̠ ɾ a̠
ティケット	tʲ i k e̞̊ t̚ t o̞
ティッシュ	tʲ i ɕː ɯ̟ᵝ
ティファナ	tʲ i ɸ a̠ n a̠
ティモール	tʲ i m o̞ː ɾ ɯ̟ᵝ
ティラノサウルス	tʲ i ɾ a̠ n o̞ s a̠ ɯ̟ᵝ ɾ ɯ̟ᵝ s ɨᵝ
ティラミス	tʲ i ɾ a̠ mʲ i s ɨᵝ
ティンプー	tʲ ĩ m p ɯ̟ᵝː
ティーエスエフ	tʲ iː e̞ s ɨᵝ e̞ ɸ ɯ̟ᵝ
ティーエヌティー	tʲ iː e̞ n ɯ̟ᵝ tʲ iː
ティーカップ	tʲ iː k a̠ p̚ p ɯ̟ᵝ
ティーシャツ	tʲ iː ɕ a̠ t͡s ɨᵝ
ティースプーン	tʲ iː s ɨ̥ᵝ p ɯ̟̃ᵝː ɴ
ティーネージャー	tʲ iː n e̞ː ʑ a̠ː
ティーバッグ	tʲ iː b a̠ ɡ̚ ɡ̊ ɯ̟ᵝ
ティーパック	tʲ iː p a̠ k̚ k ɯ̟ᵝ
ティーンエージャー	tʲ ĩː ɰ̃ e̞ː ʑ a̠ː
テキスト	t e̞ kʲ i s ɨ̥ᵝ t o̞
テキストブック	t e̞ kʲ i s ɨ̥ᵝ t o̞ b ɯ̟ᵝ k̚ k ɯ̟ᵝ
テキーラ	t e̞ kʲ iː ɾ a̠
テクスト	t e̞ k ɯ̟ᵝ s ɨ̥ᵝ t o̞
テクニシャン	t e̞ k ɯ̟ᵝ ɲ̟ i ɕ ã̠ ɴ
テクネチウム	t e̞ k ɯ̟ᵝ n e̞ t͡ɕ i ɯ̟ᵝ m ɯ̟ᵝ
テグ	t e̞ ɡ ɯ̟ᵝ
テコンドー	t e̞ k õ̞ n d o̞ː
テステス	t e̞ s ɨᵝ t e̞ s ɨᵝ
テスト	t e̞ s ɨᵝ t o̞
テストカード	t e̞ s ɨᵝ t o̞ k a̠ː d o̞
テストステロン	t e̞ s ɨ̥ᵝ t o̞ s ɨ̥ᵝ t e̞ ɾ õ̞ ɴ
テストパターン	t e̞ s ɨᵝ t o̞ p a̠ t ã̠ː ɴ
テスラ	t e̞ s ɨᵝ ɾ a̠
テスラコイル	t e̞ s ɨᵝ ɾ a̠ k o̞ i ɾ ɯ̟ᵝ
テックス	t e̞ k̚ k ɯ̟ᵝ s ɨᵝ
テナー	t e̞ n a̠ː
テニス	t e̞ ɲ̟ i s ɨᵝ
テニスコート	t e̞ ɲ̟ i s ɨᵝ ̥ k o̞ː t o̞
テネシン	t e̞ n e̞ ɕ ĩ ɴ
テノール	t e̞ n o̞ː ɾ ɯ̟ᵝ
テビバイト	t e̞ bʲ i b a̠ i t o̞
テビビット	t e̞ bʲ i bʲ i t̚ t o̞
テヘラン	t e̞ h e̞ ɾ ã̠ ɴ
テモテ	t e̞ m o̞ t e̞
テャ	tʲ a̠
テュ	tʲ ɨᵝ
テューバ	tʲ ɨᵝː b a̠
テョ	tʲ o̞
テラ	t e̞ ɾ a̠
テリア	t e̞ ɾʲ i a̠
テリヤ	t e̞ ɾʲ i j a̠
テル	t e̞ ɾ ɯ̟ᵝ
テルビウム	t e̞ ɾ ɯ̟ᵝ bʲ i ɯ̟ᵝ m ɯ̟ᵝ
テルペン	t e̞ ɾ ɯ̟ᵝ p ẽ̞ ɴ
テルル	t e̞ ɾ ɯ̟ᵝ ɾ ɯ̟ᵝ
テレクラ	t e̞ ɾ e̞ k ɯ̟ᵝ ɾ a̠
テレストレーター	t e̞ ɾ e̞ s ɨᵝ t o̞ ɾ e̞ː t a̠ː
テレタイプ	t e̞ ɾ e̞ t a̠ i p ɯ̟ᵝ
テレパシー	t e̞ ɾ e̞ p a̠ ɕ iː
テレビ	t e̞ ɾ e̞ bʲ i
テレビゲーム	t e̞ ɾ e̞ bʲ i ɡ e̞ː m ɯ̟ᵝ
テレビジョン	t e̞ ɾ e̞ bʲ i ʑ õ̞ ɴ
テレフォン	t e̞ ɾ e̞ ɸ õ̞ ɴ
テレホンカード	t e̞ ɾ e̞ h õ̞ ŋ k a̠ː d o̞
テレポーテーション	t e̞ ɾ e̞ p o̞ː t e̞ː ɕ õ̞ ɴ
テレポート	t e̞ ɾ e̞ p o̞ː t o̞
テレワーク	t e̞ ɾ e̞ ɰᵝ a̠ː k ɯ̟ᵝ
テロ	t e̞ ɾ o̞
テロリスト	t e̞ ɾ o̞ ɾʲ i s ɨ̥ᵝ t o̞
テロリズム	t e̞ ɾ o̞ ɾʲ i z ɨᵝ m ɯ̟ᵝ
テン	t ẽ̞ ɴ
テンション	t ẽ̞ ɰ̃ ɕ õ̞ ɴ
テンパイ	t ẽ̞ m p a̠ i
テンプレ	t ẽ̞ m p ɯ̟ᵝ ɾ e̞
テンペ	t ẽ̞ m p e̞
テンホー	t ẽ̞ ɰ̃ h o̞ː
テンポ	t ẽ̞ m p o̞
テンメンジャン	t ẽ̞ mː ẽ̞ ɲ̟ d͡ʑ ã̠ ɴ
テーゼ	t e̞ː z e̞
テータ	t e̞ː t a̠
テーブルスプーン	t e̞ː b ɯ̟ᵝ ɾ ɯ̟ᵝ s ɨ̥ᵝ p ɯ̟̃ᵝː ɴ
テーマパーク	t e̞ː m a̠ p a̠ː k ɯ̟ᵝ
デ	d e̞
ディ	dʲ i
ディクテーション	dʲ i k ɯ̟ᵝ t e̞ː ɕ õ̞ ɴ
ディケイ	dʲ i k e̞ː
ディスク	dʲ i s ɨᵝ k ɯ̟ᵝ
ディスクゴルフ	dʲ i s ɨᵝ k ɯ̟ᵝ ɡ o̞ ɾ ɯ̟ᵝ ɸ ɯ̟ᵝ
ディスクジョッキー	dʲ i s ɨ̥ᵝ k ɯ̟ᵝ d͡ʑ o̞ k̚ʲ kʲ iː
ディスクドライブ	dʲ i s ɨᵝ k ɯ̟ᵝ d o̞ ɾ a̠ i b ɯ̟ᵝ
ディスケット	dʲ i s ɨᵝ k e̞̊ t̚ t o̞
ディスコ	dʲ i s ɨᵝ k o̞̊
ディスコティック	dʲ i s ɨᵝ k o̞ tʲ i k̚ k ɯ̟ᵝ
ディスレクシア	dʲ i s ɨᵝ ɾ e̞ k ɯ̟ᵝ ɕ i a̠
ディナー	dʲ i n a̠ː
ディナール	dʲ i n a̠ː ɾ ɯ̟ᵝ
ディベート	dʲ i b e̞ː t o̞
ディリ	dʲ i ɾʲ i
ディル	dʲ i ɾ ɯ̟ᵝ
ディレクトリー	dʲ i ɾ e̞ k ɯ̟ᵝ t o̞̊ ɾʲ iː
ディンゴ	dʲ ĩ ŋ ɡ o̞
ディー	dʲ iː
ディーエヌエー	dʲ iː e̞ n ɯ̟ᵝ e̞ː
ディージェー	dʲ iː ʑ e̞ː
ディーティーエマー	dʲ iː tʲ iː e̞ m a̠ː
ディーティーエム	dʲ iː tʲ iː e̞ m ɯ̟ᵝ
ディーティーピー	dʲ iː tʲ iː pʲ iː
ディーディー	dʲ iː dʲ iː
ディーブイ	dʲ iː b ɯ̟ᵝ i
ディーブイディー	dʲ iː b ɯ̟ᵝ i dʲ iː
ディープフライヤー	dʲ iː p ɯ̟ᵝ ɸ ɯ̟ᵝ ɾ a̠ i j a̠ː
ディープラーニング	dʲ iː p ɯ̟ᵝ ɾ a̠ː ɲ̟ ĩ ŋ ɡ ɯ̟ᵝ
ディーラー	dʲ iː ɾ a̠ː
デイベッド	d e̞ː b e̞ d̚ d̥ o̞
デウス	d e̞ ɯ̟ᵝ s ɨᵝ
デェ	d e̞ː
デカン	d e̞ k ã̠ ɴ
デキストリン	d e̞ kʲ i s ɨᵝ t o̞ ɾʲ ĩ ɴ
デキュー	d e̞ kʲ ɨᵝː
デコイ	d e̞ k o̞ i
デザイナー	d e̞ z a̠ i n a̠ː
デザイン	d e̞ z a̠ ĩ ɴ
デザート	d e̞ z a̠ː t o̞
デシン	d e̞ ɕ ĩ ɴ
デジカメ	d e̞ ʑ i k a̠ m e̞
デジタル	d e̞ ʑ i t a̠ ɾ ɯ̟ᵝ
デジャビュ	d e̞ ʑ a̠ bʲ ɨᵝ
デスクトップ	d e̞ s ɨ̥ᵝ k ɯ̟ᵝ t o̞ p̚ p ɯ̟ᵝ
デスクトップパブリッシング	d e̞ s ɨ̥ᵝ k ɯ̟ᵝ t o̞ p̚ p ɯ̟ᵝ ̥ p a̠ b ɯ̟ᵝ ɾʲ i ɕː ĩ ŋ ɡ ɯ̟ᵝ
デスクトップマスコット	d e̞ s ɨᵝ k ɯ̟ᵝ t o̞ p̚ p ɯ̟ᵝ m a̠ s ɨᵝ k o̞ t̚ t o̞
デスボ	d e̞ s ɨᵝ b o̞
デスボイス	d e̞ s ɨᵝ b o̞ i s ɨᵝ
デスマスク	d e̞ s ɨᵝ m a̠ s ɨᵝ k ɯ̟ᵝ
デッキ	d e̞ k̚ʲ kʲ i
デッサン	d e̞ sː ã̠ ɴ
デッドボール	d e̞ d̚ d̥ o̞ b o̞ː ɾ ɯ̟ᵝ
デディケーション	d e̞ dʲ i k e̞ː ɕ õ̞ ɴ
デトロイト	d e̞ t o̞ ɾ o̞ i t o̞
デニム	d e̞ ɲ̟ i m ɯ̟ᵝ
デニール	d e̞ ɲ̟ iː ɾ ɯ̟ᵝ
デパート	d e̞ p a̠ː t o̞
デビュタント	d e̞ bʲ ɨᵝ t ã̠ n t o̞
デビュー	d e̞ bʲ ɨᵝː
デビル	d e̞ bʲ i ɾ ɯ̟ᵝ
デフォルト	d e̞ ɸ o̞ ɾ ɯ̟ᵝ t o̞
デフォルマシオン	d e̞ ɸ o̞ ɾ ɯ̟ᵝ m a̠ ɕ i õ̞ ɴ
デフォルメ	d e̞ ɸ o̞ ɾ ɯ̟ᵝ m e̞
デフレ	d e̞ ɸ ɯ̟ᵝ ɾ e̞
デフレーション	d e̞ ɸ ɯ̟ᵝ ɾ e̞ː ɕ õ̞ ɴ
デブ	d e̞ b ɯ̟ᵝ
デボンレックス	d e̞ b õ̞ n ɾ e̞ k̚ k ɯ̟̊ᵝ s ɨᵝ
デマ	d e̞ m a̠
デャ	dʲ a̠
デュ	dʲ ɨᵝ
デュッセルドルフ	dʲ ɨᵝ sː e̞ ɾ ɯ̟ᵝ d o̞ ɾ ɯ̟ᵝ ɸ ɯ̟ᵝ
デューテリウム	dʲ ɨᵝː t e̞ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
デョ	dʲ o̞
デリバティブ	d e̞ ɾʲ i b a̠ tʲ i b ɯ̟ᵝ
デリバリー	d e̞ ɾʲ i b a̠ ɾʲ iː
デリー	d e̞ ɾʲ iː
デルタ	d e̞ ɾ ɯ̟ᵝ t a̠
デンタルフロス	d ẽ̞ n t a̠ ɾ ɯ̟ᵝ ɸ ɯ̟ᵝ ɾ o̞ s ɨᵝ
デンマーク	d ẽ̞ mː a̠ː k ɯ̟ᵝ
データ	d e̞ː t a̠
データベース	d e̞ː t a̠ b e̞ː s ɨᵝ
デーツ	d e̞ː t͡s ɨ̥ᵝ
デート	d e̞ː t o̞
デーモン	d e̞ː m õ̞ ɴ
デーヴァナーガリー	d e̞ː b a̠ n a̠ː ɡ a̠ ɾʲ iː
ト	t o̞
トイトイホー	t o̞ i t o̞ i h o̞ː
トイペ	t o̞ i p e̞
トイレ	t o̞ i ɾ e̞
トイレット	t o̞ i ɾ e̞ t̚ t o̞
トイレットペーパー	t o̞ i ɾ e̞ t̚ t o̞ p e̞ː p a̠ː
トゥ	t ɯ̟ᵝ
トゥッティ	t ɯ̟ᵝ t̚ʲ tʲ i
トッケイ	t o̞ k̚ k e̞ː
トッテナム	t o̞ t̚ t e̞ n a̠ m ɯ̟ᵝ
トッピング	t o̞ p̚ʲ pʲ ĩ ŋ ɡ ɯ̟ᵝ
トップ	t o̞ p̚ p ɯ̟ᵝ
トップス	t o̞ p̚ p ɯ̟ᵝ s ɨᵝ
トップテン	t o̞ p̚ p ɯ̟ᵝ t ẽ̞ ɴ
トップハット	t o̞ p̚ p ɯ̟ᵝ ̥ h a̠ t̚ t o̞
トップレス	t o̞ p̚ p ɯ̟ᵝ ɾ e̞ s ɨᵝ
トッポッキ	t o̞ p̚ p o̞ k̚ʲ kʲ i
トナカイ	t o̞ n a̠ k a̠ i
トビリシ	t o̞ bʲ i ɾʲ i ɕ i
トピック	t o̞ pʲ i k̚ k ɯ̟ᵝ
トマト	t o̞ m a̠ t o̞
トマホーク	t o̞ m a̠ h o̞ː k ɯ̟ᵝ
トムヤムクン	t o̞ m ɯ̟ᵝ j a̠ m ɯ̟ᵝ k ɯ̟̃ᵝ ɴ
トモグラフィー	t o̞ m o̞ ɡ ɯ̟ᵝ ɾ a̠ ɸʲ iː
トライ	t o̞ ɾ a̠ i
トライアスロン	t o̞ ɾ a̠ i a̠ s ɨᵝ ɾ õ̞ ɴ
トラウマ	t o̞ ɾ a̠ ɯ̟ᵝ m a̠
トラクター	t o̞ ɾ a̠ k ɯ̟̊ᵝ t a̠ː
トラスト	t o̞ ɾ a̠ s ɨ̥ᵝ t o̞
トラック	t o̞ ɾ a̠ k̚ k ɯ̟ᵝ
トラックバック	t o̞ ɾ a̠ k̚ k ɯ̟ᵝ b a̠ k̚ k ɯ̟ᵝ
トラネコ	t o̞ ɾ a̠ n e̞ k o̞
