a	ɛ aː
tjatsi	cʰ aʰ t s ɪ
tjatsi	t͡ʃʰ aʰ t s ɪ
tjeg	tʲ eː
tjóðbúni	t ʃʰ ɔ uː w p ʉ uː n ɪ
tjóðhátíð	t ʃʰ ɔ uː w h ɔ ɑː tʰ ʊ iː j
tjóðveldi	t͡ʃʰ ɔ uː v ɛ l t ɪ
tjóðverji	t ʃʰ ɔ uː w v ɛ ɹ j ɪ
tjøra	tʲʰ øː ɹ a
tjøra	t͡ʃʰ øː ɹ a
tjørn	cʰ œ t n
tjørn	t͡ʃʰ œ t n
tjørnuvíkingur	t ʃʰ œ t n u v ɪ ʃ ɪ n k ʊ ɹ
tjúkkur	t͡ʃʰ ʏʰ kː ʊ ɹ
toft	tʰ ɔ f t
tog	tʰ oː
toka	tʰ oːʰ k a
tol	tʰ oː l
tollaksmessa	tʰ ɔ t l a k s m ɛ sː a
tollur	tʰ ɔ t l ʊ ɹ
tomat	tʰ o m aːʰ t
tonga	tʰ ɔ ŋ k a
tonn	tʰ ɔ nː
tora	tʰ oː ɹ a
torbergur	tʰ ɔ ɹ p ɛ ɹ k ʊ ɹ
torg	tʰ ɔ ɹ k
torkil	tʰ ɔ ɹ̥ t ʃ ɪ l
torleiki	tʰ ɔ ɹ l a iː t͡ʃ ɪ
torleivur	tʰ ɔ ɹ l a iː v ʊ ɹ
torn	tʰ ɔ ɻ ɳ
torpur	tʰ ɔ ɹ̥ p ʊ ɹ
torv	tʰ ɔ ɹ v
toskur	tʰ ɔ s k ʊ ɹ
tosta	tʰ ɔ s t a
tosti	tʰ ɔ s t ɪ
toy	tʰ œ iː
toy	tʰ ɔ iː
traðk	tʰ ɹ aʰ kː
trompet	tʰ ɹ ɔ m pʰ eː t
trupul	t ɹ uː p ʊ l
trygging	tʰ ɹ ɪ t͡ʃː ɪ ŋ k
tryggingarfelag	tʰ ɹ ɪ t͡ʃː ɪ ŋ k a ɹ f eː l a
tráður	t ɹ ɔ ɑː v ʊ ɹ
trælur	tʰ ɹ ɛ aː l ʊ ɹ
trøll	tʰ ɹ œ t l
trøstur	t ɹ œ s t ʊ ɹ
trúbót	tʰ ɹ ʉ uː w p ɔ uː t
trúgv	tʰ ɹ ɪ k v
trúgva	t ɹ ɪ k v a
trý	t ɾ ʊ iː
trýggj	t ɾ ʊ i t͡ʃː
trýsta	t ɾ ʊ iː ʃ t a
tummasmessa	tʰ ʊ mː a s m ɛ sː a
tummi	tʰ ʊ mː ɪ
tunga	tʰ ʊ ŋ k a
tunna	tʰ ʊ nː a
tunnil	tʰ ʊ nː ɪ l
turkmenistan	tʰ ʊ ɹ̥ k m eː n ɪ s t a n
turriklæði	tʰ ʊ ɹː ɪ k l ɛ aː j ɪ
tvist	t v ɪ s t
tváa	tʰ v ɔː a
tvætl	tʰ v aʰ t l
tvørsøgn	t v œ ʂː œ k n
tyngdarkraft	tʰ ɪ ŋ k t a ɹ k ɹ a f t
tyrla	tʰ ɪ ɻ ɭ a
tá	tʰ ɔ ɑː
táttur	tʰ ɔʰ tː ʊ ɹ
tænari	tʰ ɛ a n a ɹ ɪ
tænasta	tʰ ɛ a n a s t a
tær	tʰ ɛ aː ɹ
tættur	tʰ aʰ tː ʊ ɹ
tík	tʰ ʊ iː j k
tíðindablað	tʰ ʊ iː j ɪ n t a p l ɛ aː
tíðindamaður	tʰ ʊ iː j ɪ n t a m ɛ aː v ʊ ɹ
tíðindi	tʰ ʊ iː j ɪ n t ɪ
tó	tʰ o uː
tól	tʰ ɔ uː l
tóm	tʰ ɔ uː m
tóm	tʰ ɔ uː n
tómur	tʰ ɔ uː m ʊ ɹ
tóna	tʰ ɔ u n a
tónleikari	tʰ ɔ uː n l a i k a ɹ ɪ
tónleikur	tʰ ɔ uː n l a iː j k ʊ ɹ
tóra	tʰ ɔ uː ɹ a
tórur	tʰ ɔ uː ɹ ʊ ɹ
tórður	tʰ ɔ uː ɹ ʊ ɹ
tøka	tʰ øːʰ k a
tøkk	tʰ œʰ kː
tøknifrøði	tʰ œʰ k n ɪ f r øː j ɪ
tørva	tʰ œ ɹ v a
tøva	tʰ øː v a
túgva	t ɪ k v a
tún	tʰ ʉ uː n
týdningarmikil	tʰ ʊ i t n ɪ ŋ k a ɹ m iː t͡ʃ ɪ l
týrur	tʰ ʊ iː j ɹ ʊ ɹ
týð	tʰ ʊ iː
týðari	tʰ ʊ iː j a ɹ ɪ
týðing	tʰ ʊ iː j ɪ ŋ k
u	uː
ugla	ʊ k l a
ulka	ʊ l̥ k a
ull	ʊ t l
um	ʊ mː
umseting	ʊ m s eː t ɪ ŋ k
umskera	ʊ m ʃ eː ɹ a
umstøður	ʊ m s t øː v ʊ ɹ
umsókn	ʊ m s œʰ k n
undirfylki	ʊ n t ɪ ɹ f ɪ l̥ t͡ʃ ɪ
undirhópur	ʊ n t ɪ ɹ h ɔ uː p ʊ ɹ
undirslag	ʊ n t ɪ ɹ s l ɛ aː
undirslektbólkur	ʊ n t ɪ ɹ s l ɛʰ k t p œ l̥ k ʊ ɹ
undirtøka	ʊ n t ɪ ɹ tʰ øːʰ k a
undirætt	ʊ n t ɪ ɹ aʰ tː
undur	ʊ n t ʊ ɹ
ungari	ʊ ŋ k a ɹ ɪ
ungarn	ʊ ŋ k a ɻ ɳ
ungarskur	ʊ ŋ k a ʂ k ʊ ɹ
ungi	ʊ ɲ t͡ʃ ɪ
unnur	ʊ nː ʊ ɹ
upphædd	ʊʰ pː h a tː
upplýsing	ʊʰ p l ʊ iː j s i ŋ k
ur	uː ɹ
urt	ʊ ɻ̊ ʈ
urð	uː ɹ
urða	uː ɹ a
v	v
vakt	v aʰ k t
valborgarmessa	v a l p ɔ ɹ k a ɹ m ɛ sː a
valdmikil	v a ɬ m iː t͡ʃ ɪ l
valnøt	v a l n øːʰ t
valur	v ɛ aː l ʊ ɹ
vandi	v a n t ɪ
vanuatu	v a n u ɑː t u
var	v ɛ aː ɹ
varð	v ɛ aː ɹ
varði	v ɛ aː ɹ ɪ
varúlvur	v ɛ aː ɹ ʏ l v ʊ ɹ
vaskarí	v a s k a ɹ ʊ iː j
vatn	v aʰ t n
vatnaoknagras	v aʰ t n a ɔʰ k n a k r ɛ aː s
vavv	v a vː
vaðmal	v a mː a l
ve	v eː
veggur	v ɛ kː ʊ ɹ
vegur	v eː v ʊ ɹ
veikur	v a i k ʊ r
veit	v a iː t
veitsla	v a iː ʃ l a
vellingur	v ɛ t l ɪ ŋ k ʊ ɹ
venjing	v ɛ n j ɪ ŋ k
venjingardystur	v ɛ n j ɪ ŋ k a ɹ t ɪ s t ʊ ɹ
ver	v eː ɹ
verji	v ɛ ɹ j ɪ
verk	v ɛ ɹ̥ k
verkstaður	v ɛ ɹ̥ k s t ɛ aː v ʊ ɹ
verkur	v ɛ ɹ̥ k ʊ ɹ
verkætlan	v ɛ ɹ̥ k aʰ t l a n
verpa	v ɛ ɹ̥ p a
vertur	v ɛ ɹ̥ ʈ ʊ ɹ
veruleiki	v eː ɹ ʊ l a iː t ʃ ɪ
verð	v eː ɹ
verða	v eː ɹ a
verður	v eː ɹ ʊ ɹ
vesi	v eː s ɪ
vestfall	v ɛ s t f a t l
vetrarblóma	v eː t ɹ a ɹ p l ɔ uː m a
vetrarbreyt	v eːʰ t ɹ a ɹ p ɾ ɛ iː t
vetrarnátt	v eː t ɹ a ɹ n ɔʰ tː
vetrartíð	v eː t ɹ a ɹ tʰ ʊ iː j
vetur	v eːʰ t ʊ r
vevur	v eː v ʊ ɹ
veðrakjøt	v ɛ k ɹ a t ʃʰ øːʰ t
veðrur	v ɛ k ɹ ʊ ɹ
veður	v eː v ʊ ɹ
veðurfrøði	v eː v ʊ r f r øː j ɪ
veðurvánir	v eː v ʊ ɹ v ɔ ɑː n ɪ ɹ
vik	v iː k
vika	v iː k a
vikuskifti	v iː k ʊ ʃ ɪ f t ɪ
villur	v ɪ t l ʊ ɹ
vinalag	v iː n a l ɛ a
vindeyga	v ɪ n t ɛ iː j a
vindil	v ɪ n t ɪ l
vindstyrki	v ɪ n s t ʏ ɻ̥ ʈ͡ʂ ɪ
vindur	v ɪ n t ʊ ɹ
vingul	v ɪ ŋ k ʊ l
vinstur	v ɪ n̥ s t ʊ ɹ
vinur	v iː n ʊ ɹ
virki	v ɪ ɹ̥ t͡ʃ ɪ
visundur	v i s ʊ n t ʊ ɹ
vitja	v iː t͡ʃ a
vitur	v iː t ʊ ɹ
viðfang	v ɪ fː ɛ ŋ k
viðføri	v i fː øː ɹ ɪ
viðgerð	v i t͡ʃː eː ɹ
viðoyingur	v iː j ɪ ŋ k ʊ ɹ
viðtøka	v ɪ tː øː k a
viður	v iː j ʊ ɹ
vjetnam	v j ɛʰ t n a m
vokk	v ɔʰ kː
volapúkk	v oː l a pʰ ʏʰ kː
volga	v ɔ l k a
volt	v ɔ l̥ t
vomb	v ɔ m p
vongur	v ɔ ŋ k ʊ ɹ
vuvusela	v u v u s eː l a
vágur	v ɔ ɑː v ʊ ɹ
vákn	v ɔʰ k n
vápn	v ɔʰ p n
vár	v ɔ aː ɹ
vára	v ɔ aː ɹ a
váttur	v ɔʰ tː ʊ ɹ
váð	v ɔ ɑː
væl	v ɛ aː l
vær	v ɛ aː ɹ
væringi	v ɛ aː ɹ ɪ ɲ t͡ʃ ɪ
víggj	v ʊ j t͡ʃː
víkingaøld	v ʊ iː t ʃ ɪ ŋ k a œ l t
vín	v ʊ iː n
vínber	v ʊ i n p e ɛː ɹ
vív	v ʊ iː v
vón	v ɔ uː n
vøddi	v œ tː ɪ
vøka	v øːʰ k a
vøkstur	v œ k s t ʊ ɹ
vøllur	v œ t l ʊ ɹ
vørður	v øː ɹ ʊ ɹ
y	iː
ymisleiki	iː m ɪ s l a iː t͡ʃ ɪ
yngd	ɪ ŋ k t
yngri	ɪ ŋ k ɾ ɪ
yrking	ɪ ɹ̥ t ʃ ɪ ŋ k
yrkjari	ɪ ɹ̥ t ʃ a ɹ ɪ
ysta	ɪ s t a
ytstur	ɪ k s t ʊ ɹ
ytstur	ɪ s t ʊ ɹ
yvirhópur	iː v ɪ ɹ h ɔ uː p ʊ ɹ
yvirlit	iː v ɪ ɹ l iː t
yvirætt	iː v ɪ ɹ aʰ tː
á	ɔ ɑː
áarfossur	ɔː a ɹ f ɔ sː ʊ ɹ
áki	ɔ ɑːʰ t͡ʃ ɪ
álvaratos	ɔ l v a r a tʰ oː s
álvheiður	ɔ l v h a iː j ʊ ɹ
álvur	ɔ l v ʊ ɹ
árarnar	ɔ aː ɹ a ɹ n a ɹ
ári	ɔ ɑː ɹ ɪ
árið	ɔ ɑː ɹ ɪ
árnafjørður	ɔ t n a f j øː ɹ ʊ ɹ
árnfirðingur	ɔ n̥ f ɪ ɹ ɪ ŋ ɡ ʊ ɹ
árni	ɔ d n ɪ
árstíð	ɔ ʂː tʰ ʊ iː j
ása	ɔ ɑː s a
ásbjørn	ɔ s p j œ t n
ásmundur	ɔ s m ʊ n t ʊ ɹ
ást	ɔ s t
ásur	ɔ ɑː s ʊ ɹ
átjan	ɔ aːʰ t͡ʃ a n
áttu	ɔʰ tː ʊ
æ	ɛ a
ægir	ɛ aː j ɪ r
æla	ɛ aː l a
ær	ɛ aː ɹ
ærgi	a ɹ t͡ʃ ɪ
ærgið	a ɹ t͡ʃ ɪ
æsa	ɛ aː s a
ætt	aʰ tː
ætta	aʰ tː a
ættir	aʰ tː ɪ ɹ
ættum	aʰ tː ʊ n
ævi	ɛ aː v ɪ
æður	eː ʊ ɹ
í	ʊ iː
íbúgvi	ʊ i p ɪ k v ɪ
íggj	ʊ i t͡ʃː
íkorni	ʊ iː k ɔ t n ɪ
ílatog	ʊ iː l a t oː
íri	ʊ iː ɹ ɪ
ísa	ʊ iː s a
íslendingur	ʊ i ʃ l ɛ n t ɪ ŋ k ʊ ɹ
ísur	ʊ iː s ʊ ɹ
ítrótt	ʊ i t ɹ œ tː
ítróttur	ʊ i t ɹ œʰ tː ʊ ɹ
ó	ɔ uː
ólavur	ɔ uː l a v ʊ ɹ
ólukka	ɔ uː l ʊʰ kː a
óluva	ɔ uː l ʊ v a
ósigur	ɔ uː s iː j ʊ ɹ
ótálmaður	œ uː t ɔ l m a v ʊ ɹ̥
óðin	ɔ uː w ɪ n
ø	øː
øki	øːʰ t ʃ ɪ
økismenning	øːʰ t ʃ ɪ s m ɛ nː ɪ ŋ k
økja	øːʰ t ʃ a
ørmum	œ ɹ m ʊ n
ørn	œ ɻ ɳ
ørur	øː ɹ ʊ ɹ
ørðugur	øː ɹ u v ʊ ɹ
øska	œ s k a
øssur	œ sː ʊ ɹ
øvundsjúkur	øː v ʊ n ʃ ʉ uː k ʊ ɹ
øða	øː a
øða	øː v a
øðrum	øː ɹ ʊ n
øðuskel	øː v ʊ ʃ eː l
ú	ʉ uː
úlvur	ʏ l v ʊ ɹ
ý	ʊ iː
ýa	ʊ iː j a
ýla	ʊ iː l a
ýr	ʊ iː j ɹ
