அ	ʌ
செயலிழ	t͡ʃ e j a l̪ i ɻ a
செய்	t͡ʃ e j
செய்தல்	t͡ʃ e j t̪ a l̪
செய்தி	t͡ʃ e j t̪ i
செய்தித்தாள்	t͡ʃ e j t̪ i t̪ː aː ɭ
செய்யுள்	t͡ʃ e jː u ɭ
செருப்பு	t͡ʃ e ɾ̪ u pː u
செருமு	t͡ʃ e ɾ̪ u m u
செல்வநூல்	t͡ʃ e l̪ ʋ a n̪ uː l̪
செல்வம்	t͡ʃ e l̪ ʋ a m
செல்வாக்கு	t͡ʃ e l̪ ʋ aː kː u
செள்ளு	t͡ʃ e ɭː u
செழித்தகல்	t͡ʃ e ɻ i t̪ː a ɡ a l̪
செழிப்பு	t͡ʃ e ɻ i pː u
செழியன்	t͡ʃ e ɻ i j a n
செவி	t͡ʃ e ʋ i
செவியன்	t͡ʃ e ʋ i j a n
செவ்வனம்	t͡ʃ e ʋː a n a m
செவ்வள்ளி	t͡ʃ e ʋː a ɭː i
செவ்வாய்	t͡ʃ e ʋː aː j
செவ்வி	t͡ʃ e ʋː i
செவ்விரும்பு	t͡ʃ e ʋː i ɾ̪ u m b u
சேதி	t͡ʃ eː d̪ i
சேப்பங்கிழங்கு	t͡ʃ eː pː a ŋ ɡ i ɻ a ŋ ɡ u
சேய்	t͡ʃ eː j
சேய்மை	t͡ʃ eː j m a ɪ̯
சேர்	t͡ʃ eː ɾ̪
சேர்க்கை	t͡ʃ eː ɾ̪ kː a ɪ̯
சேர்த்தி	t͡ʃ eː ɾ̪ t̪ː i
சேர்ந்தலை	t͡ʃ eː ɾ̪ n̪ d̪ a l̪ a ɪ̯
சேர்ந்தார்	t͡ʃ eː ɾ̪ n̪ d̪ aː ɾ̪
சேர்ப்பு	t͡ʃ eː ɾ̪ pː u
சேறு	t͡ʃ eː r u
சேவல்	t͡ʃ eː ʋ a l̪
சைகதம்	t͡ʃ a ɪ̯ k a d̪ a m
சொத்து	t͡ʃ o t̪ː u
சொந்த	t͡ʃ o n̪ d̪ a
சொற்பிறப்பியல்	t͡ʃ o r p i r a pː i j a l̪
சொற்பு	t͡ʃ o r p u
சொற்புத்தி	t͡ʃ o r p u t̪ː i
சொற்பொழிவு	t͡ʃ o r p o ɻ i ʋ u
சொற்றொடர்	t͡ʃ o ʈː ɾ o ɖ a ɾ̪
சொல்	t͡ʃ o l̪
சொல்லாட்சி	t͡ʃ o l̪ː aː ʈ t͡ʃ i
சொல்லியல்	t͡ʃ o l̪ː i j a l̪
சொல்லெச்சம்	t͡ʃ o l̪ː e t͡ʃː a m
சொல்வளம்	t͡ʃ o l̪ ʋ a ɭ a m
சோதிடம்	t͡ʃ oː d̪ i ɖ a m
சோபானம்	t͡ʃ oː b aː n a m
சோம்பு	t͡ʃ oː m b u
சோறு	t͡ʃ oː r u
சோலை	t͡ʃ oː l̪ a ɪ̯
சோளம்	t͡ʃ oː ɭ a m
சௌக்கியமா	t͡ʃ a ʊ̯ kː i j a m aː
ஜ	d͡ʑ a
ஜகத்	d͡ʑ a ɡ a t̪
ஜங்கிள்	d͡ʑ a ŋ ɡ i ɭ
ஜண்டா	d͡ʑ a ɳ ɖ aː
ஜந்து	d͡ʑ a n̪ d̪ u
ஜனகம்	d͡ʑ a n a ɡ a m
ஜனவரி	d͡ʑ a n a ʋ a ɾ̪ i
ஜனாபா	d͡ʑ a n aː b aː
ஜன்னல்	d͡ʑ a nː a l̪
ஜப்பான்	d͡ʑ a pː aː n
ஜலதி	d͡ʑ a l̪ a d̪ i
ஜலம்	d͡ʑ a l̪ a m
ஜாஜ்வல்யம்	d͡ʑ aː d͡ʑ ʋ a l̪ j a m
ஜாநு	d͡ʑ aː n̪ u
ஜிந்தகி	d͡ʑ i n̪ d̪ a ɡ i
ஜிராயதி	d͡ʑ i ɾ̪ aː j a d̪ i
ஜீதம்	d͡ʑ iː d̪ a m
ஜீரகம்	d͡ʑ iː ɾ̪ a ɡ a m
ஜீவசரிதை	d͡ʑ iː ʋ a s a ɾ̪ i d̪ a ɪ̯
ஜீவவிருட்சம்	d͡ʑ iː ʋ a ʋ i ɾ̪ u ʈ t͡ʃ a m
ஜெருசலேம்	d͡ʑ e ɾ̪ u s a l̪ eː m
ஜோடி	d͡ʑ oː ɖ i
ஜ்வாலை	d͡ʑ ʋ aː l̪ a ɪ̯
ஞ	ɲ a
ஞானம்	ɲ aː n a m
ஞாயிறு	ɲ aː j i r u
ட	ʈ a
டிராகன்	ʈ i ɾ̪ aː ɡ a n
டெல்லி	ʈ e l̪ː i
ண	ɳ a
த	t̪ a
தகடி	t̪ a ɡ a ɖ i
தக்காளி	t̪ a kː aː ɭ i
தங்கம்	t̪ a ŋ ɡ a m
தங்கை	t̪ a ŋ ɡ a ɪ̯
தசை	t̪ a s a ɪ̯
தடி	t̪ a ɖ i
தட்டு	t̪ a ʈː u
தண்டனை	t̪ a ɳ ɖ a n a ɪ̯
தண்ணீர்	t̪ a ɳː iː ɾ̪
தந்திரவாயன்	t̪ a n̪ d̪ i ɾ̪ a ʋ aː j a n
தந்தை	t̪ a n̪ d̪ a ɪ̯
தனியா	t̪ a n i j aː
தன்னுணர்வு	t̪ a nː u ɳ a ɾ̪ ʋ u
தன்மை	t̪ a n m a ɪ̯
தப்பு	t̪ a pː u
தமக்கை	t̪ a m a kː a ɪ̯
தமிழிலக்கணம்	t̪ a m i ɻ i l̪ a kː a ɳ a m
தமிழ்	t̪ a m i ɻ
தமிழ்நாடு	t̪ a m i ɻ n̪ aː ɖ u
தம்பம்	t̪ a m b a m
தம்பி	t̪ a m b i
தம்புரா	t̪ a m b u ɾ̪ aː
தயிர்	t̪ a j i ɾ̪
தரியலர்	t̪ a ɾ̪ i j a l̪ a ɾ̪
தரியாபத்து	t̪ a ɾ̪ i j aː b a t̪ː u
தருக்கு	t̪ a ɾ̪ u kː u
தருமன்	t̪ a ɾ̪ u m a n
தருமம்	t̪ a ɾ̪ u m a m
தரூடம்	t̪ a ɾ̪ uː ɖ a m
தர்ச்சனி	t̪ a ɾ̪ t͡ʃː a n i
தர்ஜமா	t̪ a ɾ̪ d͡ʑ a m aː
தறி	t̪ a r i
தற்சனி	t̪ a r t͡ʃ a n i
தற்பால்சேர்க்கை	t̪ a r p aː l̪ t͡ʃ eː ɾ̪ kː a ɪ̯
தலை	t̪ a l̪ a ɪ̯
தலைமாறு	t̪ a l̪ a ɪ̯ m aː r u
தலைமுறை	t̪ a l̪ a ɪ̯ m u r a ɪ̯
தலைமை	t̪ a l̪ a ɪ̯ m a ɪ̯
தலையல்	t̪ a l̪ a ɪ̯ j a l̪
தலைவன்	t̪ a l̪ a ɪ̯ ʋ a n
தலைவர்	t̪ a l̪ a ɪ̯ ʋ a ɾ̪
தளப்பு	t̪ a ɭ a pː u
தளம்	t̪ a ɭ a m
தளர்	t̪ a ɭ a ɾ̪
தளர்ச்சி	t̪ a ɭ a ɾ̪ t͡ʃː i
தளர்வு	t̪ a ɭ a ɾ̪ ʋ u
தளை	t̪ a ɭ a ɪ̯
தள்ளை	t̪ a ɭː a ɪ̯
தவம்	t̪ a ʋ a m
தவளை	t̪ a ʋ a ɭ a ɪ̯
தவிள்	t̪ a ʋ i ɭ
தாகெஸ்தான்	t̪ aː ɡ e s t̪ aː n
தாடி	t̪ aː ɖ i
தாட்கோல்	t̪ aː ʈ k oː l̪
தாதை	t̪ aː d̪ a ɪ̯
தானியம்	t̪ aː n i j a m
தான்	t̪ aː n
தாமரை	t̪ aː m a ɾ̪ a ɪ̯
தாமிரபருணி	t̪ aː m i ɾ̪ a b a ɾ̪ u ɳ i
தாயகம்	t̪ aː j a ɡ a m
தாய்	t̪ aː j
தாய்மொழி	t̪ aː j m o ɻ i
தாய்லாந்து	t̪ aː j l̪ aː n̪ d̪ u
தார்	t̪ aː ɾ̪
தாலாட்டு	t̪ aː l̪ aː ʈː u
தாலி	t̪ aː l̪ i
தாளம்	t̪ aː ɭ a m
தாளித்தல்	t̪ aː ɭ i t̪ː a l̪
தாவரம்	t̪ aː ʋ a ɾ̪ a m
தாவரவியல்	t̪ aː ʋ a ɾ̪ a ʋ i j a l̪
தாஸ்மானியா	t̪ aː s m aː n i j aː
திக்கு	t̪ i kː u
திங்கள்	t̪ i ŋ ɡ a ɭ
திதி	t̪ i d̪ i
திநாரம்	t̪ i n̪ aː ɾ̪ a m
தினந்தோறும்	t̪ i n a n̪ d̪ oː r u m
தினம்	t̪ i n a m
தியானம்	t̪ i j aː n a m
திரவம்	t̪ i ɾ̪ a ʋ a m
திரவிடம்	t̪ i ɾ̪ a ʋ i ɖ a m
திராட்சை	t̪ i ɾ̪ aː ʈ t͡ʃ a ɪ̯
திராவகம்	t̪ i ɾ̪ aː ʋ a ɡ a m
திராவிட	t̪ i ɾ̪ aː ʋ i ɖ a
திரிதடையம்	t̪ i ɾ̪ i d̪ a ɖ a ɪ̯ j a m
திரிய	t̪ i ɾ̪ i j a
திரியும்	t̪ i ɾ̪ i j u m
திருகாணி	t̪ i ɾ̪ u ɡ aː ɳ i
திருக்கார்த்திகை	t̪ i ɾ̪ u kː aː ɾ̪ t̪ː i ɡ a ɪ̯
திருட்டு	t̪ i ɾ̪ u ʈː u
திருப்பு	t̪ i ɾ̪ u pː u
திருப்புகை	t̪ i ɾ̪ u pː u ɡ a ɪ̯
திருமணம்	t̪ i ɾ̪ u m a ɳ a m
திருமண்	t̪ i ɾ̪ u m a ɳ
திருவனந்தபுரம்	t̪ i ɾ̪ u ʋ a n a n̪ d̪ a b u ɾ̪ a m
திரைப்படம்	t̪ i ɾ̪ a ɪ̯ pː a ɖ a m
திறமை	t̪ i r a m a ɪ̯
திறவுகோல்	t̪ i r a ʋ u ɡ oː l̪
தில்லம்	t̪ i l̪ː a m
தீ	t̪ iː
தீனம்	t̪ iː n a m
தீனி	t̪ iː n i
தீனிப்பை	t̪ iː n i pː a ɪ̯
தீமுறி	t̪ iː m u r i
தீமை	t̪ iː m a ɪ̯
தீவு	t̪ iː ʋ u
துணி	t̪ u ɳ i
துணைக்கருவி	t̪ u ɳ a ɪ̯ kː a ɾ̪ u ʋ i
துண்டு	t̪ u ɳ ɖ u
துத்தம்	t̪ u t̪ː a m
துப்பல்	t̪ u pː a l̪
தும்மல்	t̪ u mː a l̪
துயில்	t̪ u j i l̪
துரியான்	t̪ u ɾ̪ i j aː n
துருக்மெனிஸ்தான்	t̪ u ɾ̪ u k m e n i s t̪ aː n
துறை	t̪ u r a ɪ̯
துளசி	t̪ u ɭ a s i
துளுவம்	t̪ u ɭ u ʋ a m
துவக்கு	t̪ u ʋ a kː u
துவக்கூசி	t̪ u ʋ a kː uː s i
துவாரம்	t̪ u ʋ aː ɾ̪ a m
தூக்கு	t̪ uː kː u
தூண்	t̪ uː ɳ
தூண்டில்	t̪ uː ɳ ɖ i l̪
தூபி	t̪ uː b i
தூய்	t̪ uː j
தூரம்	t̪ uː ɾ̪ a m
தூவல்	t̪ uː ʋ a l̪
தெகுரான்	t̪ e ɡ u ɾ̪ aː n
தெரிவி	t̪ e ɾ̪ i ʋ i
தெரு	t̪ e ɾ̪ u
தெற்கு	t̪ e r k u
தெலுங்கு	t̪ e l̪ u ŋ ɡ u
தெள்ளு	t̪ e ɭː u
தெஹரான்	t̪ e h a ɾ̪ aː n
தேக்கர்	t̪ eː kː a ɾ̪
தேக்கு	t̪ eː kː u
தேங்காய்	t̪ eː ŋ ɡ aː j
தேசகன்	t̪ eː s a ɡ a n
தேசபாஷை	t̪ eː s a b aː ʂ a ɪ̯
தேசம்	t̪ eː s a m
தேசாசாரம்	t̪ eː s aː s aː ɾ̪ a m
தேசாதிபதி	t̪ eː s aː d̪ i b a d̪ i
தேசீயவியக்கம்	t̪ eː s iː j a ʋ i j a kː a m
தேனீ	t̪ eː n iː
தேன்	t̪ eː n
தேர்	t̪ eː ɾ̪
தேர்ச்சி	t̪ eː ɾ̪ t͡ʃː i
தேர்தல்	t̪ eː ɾ̪ t̪ a l̪
தேற்கு	t̪ eː r k u
தேள்	t̪ eː ɭ
தேவதூதன்	t̪ eː ʋ a d̪ uː d̪ a n
தேவதை	t̪ eː ʋ a d̪ a ɪ̯
தேவன்	t̪ eː ʋ a n
தேவவசீகரம்	t̪ eː ʋ a ʋ a s iː ɡ a ɾ̪ a m
தேவாலயம்	t̪ eː ʋ aː l̪ a j a m
தேவை	t̪ eː ʋ a ɪ̯
தேவையான	t̪ eː ʋ a ɪ̯ j aː n a
தொகுதி	t̪ o ɡ u d̪ i
தொடருந்து	t̪ o ɖ a ɾ̪ u n̪ d̪ u
தொடர்பு	t̪ o ɖ a ɾ̪ p u
தொடர்வண்டி	t̪ o ɖ a ɾ̪ ʋ a ɳ ɖ i
தொடு	t̪ o ɖ u
தொடுப்பு	t̪ o ɖ u pː u
தொண்டு	t̪ o ɳ ɖ u
தொன்னை	t̪ o nː a ɪ̯
தொன்மை	t̪ o n m a ɪ̯
தொன்று	t̪ o n r u
தொறுவு	t̪ o r u ʋ u
தொற்று	t̪ o ʈː ɾ u
தொலைக்காட்சி	t̪ o l̪ a ɪ̯ kː aː ʈ t͡ʃ i
தொலைபேசி	t̪ o l̪ a ɪ̯ p eː s i
தொல்லியல்	t̪ o l̪ː i j a l̪
தொழினுட்பம்	t̪ o ɻ i n u ʈ p a m
தொழிற்சாலை	t̪ o ɻ i r t͡ʃ aː l̪ a ɪ̯
தொழிலாளி	t̪ o ɻ i l̪ aː ɭ i
தொழில்	t̪ o ɻ i l̪
தொழும்பு	t̪ o ɻ u m b u
தொழுவன்	t̪ o ɻ u ʋ a n
தொழுவம்	t̪ o ɻ u ʋ a m
தொழுவர்	t̪ o ɻ u ʋ a ɾ̪
தொழுவு	t̪ o ɻ u ʋ u
தோகம்	t̪ oː ɡ a m
தோசம்	t̪ oː s a m
தோட்டம்	t̪ oː ʈː a m
தோட்டிமை	t̪ oː ʈː i m a ɪ̯
தோணி	t̪ oː ɳ i
தோண்டான்	t̪ oː ɳ ɖ aː n
தோப்பி	t̪ oː pː i
தோலியல்	t̪ oː l̪ i j a l̪
தோல்	t̪ oː l̪
ந	n̪ a
நகம்	n̪ a ɡ a m
நகரப்பதி	n̪ a ɡ a ɾ̪ a pː a d̪ i
நகரமாந்தர்	n̪ a ɡ a ɾ̪ a m aː n̪ d̪ a ɾ̪
நகரம்	n̪ a ɡ a ɾ̪ a m
நகர்	n̪ a ɡ a ɾ̪
நகை	n̪ a ɡ a ɪ̯
நகைச்சுவை	n̪ a ɡ a ɪ̯ t͡ʃː u ʋ a ɪ̯
நக்கு	n̪ a kː u
நட	n̪ a ɖ a
நடனம்	n̪ a ɖ a n a m
நடிகர்	n̪ a ɖ i ɡ a ɾ̪
நடு	n̪ a ɖ u
நடுவடிக்கை	n̪ a ɖ u ʋ a ɖ i kː a ɪ̯
நடை	n̪ a ɖ a ɪ̯
நட்சத்திரமண்டலம்	n̪ a ʈ t͡ʃ a t̪ː i ɾ̪ a m a ɳ ɖ a l̪ a m
நட்சத்திரம்	n̪ a ʈ t͡ʃ a t̪ː i ɾ̪ a m
நட்டம்	n̪ a ʈː a m
நதி	n̪ a d̪ i
நதிகேள்வன்	n̪ a d̪ i ɡ eː ɭ ʋ a n
நத்தம்	n̪ a t̪ː a m
நந்தி	n̪ a n̪ d̪ i
நன்மை	n̪ a n m a ɪ̯
நன்றாக	n̪ a n r aː ɡ a
நன்றி	n̪ a n r i
நபம்	n̪ a b a m
நரகம்	n̪ a ɾ̪ a ɡ a m
நரம்பியல்	n̪ a ɾ̪ a m b i j a l̪
நரம்பு	n̪ a ɾ̪ a m b u
நரி	n̪ a ɾ̪ i
நறுமணம்	n̪ a r u m a ɳ a m
நல்	n̪ a l̪
நல்லவர்	n̪ a l̪ː a ʋ a ɾ̪
நல்லொழுக்கம்	n̪ a l̪ː o ɻ u kː a m
நல்வாக்கு	n̪ a l̪ ʋ aː kː u
நவில்	n̪ a ʋ i l̪
நா	n̪ aː
நாகம்	n̪ aː ɡ a m
நாகரிகம்	n̪ aː ɡ a ɾ̪ i ɡ a m
நாக்கு	n̪ aː kː u
நாங்கள்	n̪ aː ŋ ɡ a ɭ
நாடகம்	n̪ aː ɖ a ɡ a m
நாடா	n̪ aː ɖ aː
நாடு	n̪ aː ɖ u
நாடோடி	n̪ aː ɖ oː ɖ i
நாட்டம்	n̪ aː ʈː a m
நாட்டாண்மை	n̪ aː ʈː aː ɳ m a ɪ̯
நாணயம்	n̪ aː ɳ a j a m
நாணல்	n̪ aː ɳ a l̪
நாத்திகம்	n̪ aː t̪ː i ɡ a m
நான்	n̪ aː n
நான்கு	n̪ aː n k u
நாமம்	n̪ aː m a m
நாம்	n̪ aː m
நாய்	n̪ aː j
நாய்க்குட்டி	n̪ aː j kː u ʈː i
நாரை	n̪ aː ɾ̪ a ɪ̯
நாற்காலி	n̪ aː r k aː l̪ i
நாளுக்கு	n̪ aː ɭ u kː u
நாளும்	n̪ aː ɭ u m
நாளை	n̪ aː ɭ a ɪ̯
நாள்	n̪ aː ɭ
நாழிகை	n̪ aː ɻ i ɡ a ɪ̯
நிகர்ப்பு	n̪ i ɡ a ɾ̪ pː u
நிகழ்ச்சி	n̪ i ɡ a ɻ t͡ʃː i
நிகழ்வு	n̪ i ɡ a ɻ ʋ u
நித்திலம்	n̪ i t̪ː i l̪ a m
நினை	n̪ i n a ɪ̯
நினைவகம்	n̪ i n a ɪ̯ ʋ a ɡ a m
நினைவு	n̪ i n a ɪ̯ ʋ u
நின்று	n̪ i n r u
நிமிஷம்	n̪ i m i ʂ a m
நியாயம்	n̪ i j aː j a m
நிரந்தர	n̪ i ɾ̪ a n̪ d̪ a ɾ̪ a
நிர்ணயம்	n̪ i ɾ̪ ɳ a j a m
நிர்வாகம்	n̪ i ɾ̪ ʋ aː ɡ a m
நிறமாலையியல்	n̪ i r a m aː l̪ a ɪ̯ j i j a l̪
நிறம்	n̪ i r a m
நிலக்கடலை	n̪ i l̪ a kː a ɖ a l̪ a ɪ̯
நிலம்	n̪ i l̪ a m
நிலவு	n̪ i l̪ a ʋ u
நிலவொளி	n̪ i l̪ a ʋ o ɭ i
நிலா	n̪ i l̪ aː
நிலாவெளிச்சம்	n̪ i l̪ aː ʋ e ɭ i t͡ʃː a m
நிலை	n̪ i l̪ a ɪ̯
நிலைப்பு	n̪ i l̪ a ɪ̯ pː u
நிலையம்	n̪ i l̪ a ɪ̯ j a m
நில்	n̪ i l̪
நிழல்	n̪ i ɻ a l̪
நிவப்பு	n̪ i ʋ a pː u
நிஷானி	n̪ i ʂ aː n i
நிஷ்டை	n̪ i ʂ ʈ a ɪ̯
நீ	n̪ iː
நீக்கம்	n̪ iː kː a m
நீக்கல்	n̪ iː kː a l̪
நீங்க	n̪ iː ŋ ɡ a
நீண்டாயம்	n̪ iː ɳ ɖ aː j a m
நீண்மை	n̪ iː ɳ m a ɪ̯
நீதி	n̪ iː d̪ i
நீத்தம்	n̪ iː t̪ː a m
நீத்து	n̪ iː t̪ː u
நீந்து	n̪ iː n̪ d̪ u
நீரகம்	n̪ iː ɾ̪ a ɡ a m
நீராவி	n̪ iː ɾ̪ aː ʋ i
நீர்	n̪ iː ɾ̪
நீர்வளம்	n̪ iː ɾ̪ ʋ a ɭ a m
நீலக்கல்	n̪ iː l̪ a kː a l̪
நீலம்	n̪ iː l̪ a m
நீலிரும்பு	n̪ iː l̪ i ɾ̪ u m b u
நீளம்	n̪ iː ɭ a m
நீளிப்பு	n̪ iː ɭ i pː u
நீள்	n̪ iː ɭ
நுகர்ச்சி	n̪ u ɡ a ɾ̪ t͡ʃː i
நுதல்	n̪ u d̪ a l̪
நுரையீரல்	n̪ u ɾ̪ a ɪ̯ j iː ɾ̪ a l̪
நுழைவாசல்	n̪ u ɻ a ɪ̯ ʋ aː s a l̪
நூறு	n̪ uː r u
நூலகம்	n̪ uː l̪ a ɡ a m
நூலறிவு	n̪ uː l̪ a r i ʋ u
நூல்	n̪ uː l̪
நெகிழ்ச்சி	n̪ e ɡ i ɻ t͡ʃː i
நெசவாளர்	n̪ e s a ʋ aː ɭ a ɾ̪
நெசவு	n̪ e s a ʋ u
நெஞ்சு	n̪ e ɲ d͡ʑ u
நெம்புகோல்	n̪ e m b u ɡ oː l̪
நெய்	n̪ e j
நெய்ப்பு	n̪ e j pː u
நெருப்பு	n̪ e ɾ̪ u pː u
நெறி	n̪ e r i
நேரப்பட	n̪ eː ɾ̪ a pː a ɖ a
நேரம்	n̪ eː ɾ̪ a m
நேர்ச்சி	n̪ eː ɾ̪ t͡ʃː i
நேர்த்தி	n̪ eː ɾ̪ t̪ː i
நேர்பாடு	n̪ eː ɾ̪ p aː ɖ u
நேர்மை	n̪ eː ɾ̪ m a ɪ̯
நேர்விடை	n̪ eː ɾ̪ ʋ i ɖ a ɪ̯
நேர்வு	n̪ eː ɾ̪ ʋ u
நேற்று	n̪ eː ʈː ɾ u
நைட்ரஜன்	n̪ a ɪ̯ ʈ ɾ̪ a d͡ʑ a n
நொடிப்பு	n̪ o ɖ i pː u
நோக்காடு	n̪ oː kː aː ɖ u
நோக்கு	n̪ oː kː u
நோய்	n̪ oː j
ன	n a
ப	p a
பகரம்	p a ɡ a ɾ̪ a m
பகர்	p a ɡ a ɾ̪
பகர்ச்சி	p a ɡ a ɾ̪ t͡ʃː i
பகர்த்து	p a ɡ a ɾ̪ t̪ː u
பகல்	p a ɡ a l̪
பக்கம்	p a kː a m
பக்குவம்	p a kː u ʋ a m
பக்குவாசயம்	p a kː u ʋ aː s a j a m
பக்தி	p a k t̪ i
பங்கம்	p a ŋ ɡ a m
பங்களா	p a ŋ ɡ a ɭ aː
பங்களிப்பு	p a ŋ ɡ a ɭ i pː u
பங்குரம்	p a ŋ ɡ u ɾ̪ a m
பசலிப்பழம்	p a s a l̪ i pː a ɻ a m
பசளி	p a s a ɭ i
பசியம்	p a s i j a m
பசு	p a s u
பசுமை	p a s u m a ɪ̯
பச்சை	p a t͡ʃː a ɪ̯
பச்சைக்கல்	p a t͡ʃː a ɪ̯ kː a l̪
பஞ்சரம்	p a ɲ d͡ʑ a ɾ̪ a m
பஞ்சாப்	p a ɲ d͡ʑ aː p
பஞ்சை	p a ɲ d͡ʑ a ɪ̯
பட	p a ɖ a
படகு	p a ɖ a ɡ u
படம்	p a ɖ a m
படி	p a ɖ i
படிக்காரம்	p a ɖ i kː aː ɾ̪ a m
படிப்பறிவு	p a ɖ i pː a r i ʋ u
படிப்பு	p a ɖ i pː u
படிவம்	p a ɖ i ʋ a m
படைப்பு	p a ɖ a ɪ̯ pː u
பட்சி	p a ʈ t͡ʃ i
பட்டாணி	p a ʈː aː ɳ i
பட்டு	p a ʈː u
பட்டை	p a ʈː a ɪ̯
பணப்பை	p a ɳ a pː a ɪ̯
பணம்	p a ɳ a m
பணவன்	p a ɳ a ʋ a n
பணவீக்கம்	p a ɳ a ʋ iː kː a m
பணாகரம்	p a ɳ aː ɡ a ɾ̪ a m
பணி	p a ɳ i
பணிகோள்	p a ɳ i ɡ oː ɭ
பணிக்கன்	p a ɳ i kː a n
பணிதி	p a ɳ i d̪ i
பணிமுட்டு	p a ɳ i m u ʈː u
பணிவு	p a ɳ i ʋ u
பண்டம்	p a ɳ ɖ a m
பண்டாரம்	p a ɳ ɖ aː ɾ̪ a m
பண்டாரவாய்க்கால்	p a ɳ ɖ aː ɾ̪ a ʋ aː j kː aː l̪
பண்டிகை	p a ɳ ɖ i ɡ a ɪ̯
பண்டிதன்	p a ɳ ɖ i d̪ a n
பண்பாடு	p a ɳ p aː ɖ u
பண்பு	p a ɳ p u
பதலை	p a d̪ a l̪ a ɪ̯
பதவி	p a d̪ a ʋ i
பதிப்பகம்	p a d̪ i pː a ɡ a m
பதிமுகம்	p a d̪ i m u ɡ a m
பதிவகம்	p a d̪ i ʋ a ɡ a m
பதுமம்	p a d̪ u m a m
பத்து	p a t̪ː u
பனாயிப்பு	p a n aː j i pː u
பனி	p a n i
பனிமூட்டம்	p a n i m uː ʈː a m
பன்றி	p a n r i
பன்றிக்குட்டி	p a n r i kː u ʈː i
பம்பரம்	p a m b a ɾ̪ a m
பயணம்	p a j a ɳ a m
பயணி	p a j a ɳ i
பயனர்	p a j a n a ɾ̪
பயன்	p a j a n
பயப்படு	p a j a pː a ɖ u
பயம்	p a j a m
பயிர்	p a j i ɾ̪
பயிற்சி	p a j i r t͡ʃ i
பயிற்சியாளர்	p a j i r t͡ʃ i j aː ɭ a ɾ̪
பய்யன்	p a jː a n
பரங்கி	p a ɾ̪ a ŋ ɡ i
பரணி	p a ɾ̪ a ɳ i
பராமரிப்பு	p a ɾ̪ aː m a ɾ̪ i pː u
பரிதி	p a ɾ̪ i d̪ i
பரிதியம்	p a ɾ̪ i d̪ i j a m
பரிமாற்றம்	p a ɾ̪ i m aː ʈː ɾ a m
பரிவு	p a ɾ̪ i ʋ u
பருப்பதம்	p a ɾ̪ u pː a d̪ a m
பருப்பு	p a ɾ̪ u pː u
பருவதம்	p a ɾ̪ u ʋ a d̪ a m
பரோட்டா	p a ɾ̪ oː ʈː aː
பர்ணம்	p a ɾ̪ ɳ a m
பர்வதம்	p a ɾ̪ ʋ a d̪ a m
பறந்தலை	p a r a n̪ d̪ a l̪ a ɪ̯
பறப்பன்	p a r a pː a n
பறவை	p a r a ʋ a ɪ̯
பறவையியல்	p a r a ʋ a ɪ̯ j i j a l̪
பலம்	p a l̪ a m
பலவு	p a l̪ a ʋ u
பலாப்பழம்	p a l̪ aː pː a ɻ a m
பலுக்கல்	p a l̪ u kː a l̪
பல்	p a l̪
பல்வலம்	p a l̪ ʋ a l̪ a m
பளு	p a ɭ u
பள்ளி	p a ɭː i
பள்ளிக்கல்வி	p a ɭː i kː a l̪ ʋ i
பள்ளிக்கூடம்	p a ɭː i kː uː ɖ a m
பழக்கம்	p a ɻ a kː a m
பழச்சாறு	p a ɻ a t͡ʃː aː r u
பழமை	p a ɻ a m a ɪ̯
பழமொழி	p a ɻ a m o ɻ i
பழம்	p a ɻ a m
பழம்பாடம்	p a ɻ a m b aː ɖ a m
பழிச்சு	p a ɻ i t͡ʃː u
பழீயம்	p a ɻ iː j a m
பழுது	p a ɻ u d̪ u
பழுவம்	p a ɻ u ʋ a m
பழைய	p a ɻ a ɪ̯ j a
பவழம்	p a ʋ a ɻ a m
பவிகம்	p a ʋ i ɡ a m
பவிஷு	p a ʋ i ʂ u
பவ்வம்	p a ʋː a m
பாகம்	p aː ɡ a m
பாகற்காய்	p aː ɡ a r k aː j
பாகு	p aː ɡ u
பாசம்	p aː s a m
பாசுரம்	p aː s u ɾ̪ a m
பாசை	p aː s a ɪ̯
பாடகர்	p aː ɖ a ɡ a ɾ̪
பாடசாலை	p aː ɖ a s aː l̪ a ɪ̯
பாடம்	p aː ɖ a m
பாடல்	p aː ɖ a l̪
பாட்டி	p aː ʈː i
பாட்டு	p aː ʈː u
பாதம்	p aː d̪ a m
பாதலத்தாம்பி	p aː d̪ a l̪ a t̪ː aː m b i
பாதுகாப்பு	p aː d̪ u ɡ aː pː u
பானை	p aː n a ɪ̯
பாப்பா	p aː pː aː
பாம்பாட்டி	p aː m b aː ʈː i
பாம்பு	p aː m b u
பாயசம்	p aː j a s a m
பாரதம்	p aː ɾ̪ a d̪ a m
பாராட்டு	p aː ɾ̪ aː ʈː u
பாரிசவாதம்	p aː ɾ̪ i s a ʋ aː d̪ a m
பாரிஸ்	p aː ɾ̪ i s
பார்	p aː ɾ̪
பார்லி	p aː ɾ̪ l̪ i
பார்வை	p aː ɾ̪ ʋ a ɪ̯
பார்வையாளர்	p aː ɾ̪ ʋ a ɪ̯ j aː ɭ a ɾ̪
பாறை	p aː r a ɪ̯
பாறையியல்	p aː r a ɪ̯ j i j a l̪
