't	t
magdalaga	m a ɡ d a l a ɡ a
magdasal	m a ɡ d a s a l
magdayao	m a ɡ d a j a u
magdeliryo	m a ɡ d ɛ l i ɾ j o
magdemanda	m a ɡ d ɛ m a n d a
maggayat	m a ɡ ɡ a j a t
maghabilin	m a ɡ h a b i l i n
maghabla	m a ɡ h a b l a
maghanap	m a ɡ h a n a p
maghanapbuhay	m a ɡ h a n a p b u h a i
maghanda	m a ɡ h a n d a ʔ
maghangad	m a ɡ h a ŋ a d
maghari	m a ɡ h a ɾ i ʔ
maghasik	m a ɡ h a s i k
maghati	m a ɡ h a t i ʔ
maghiganti	m a ɡ h i ɡ a n t i
maghikab	m a ɡ h i k a b
maghikaw	m a ɡ h i k a u
maghilamos	m a ɡ h i l a m o s
maghilik	m a ɡ h i l i k
maghimagsik	m a ɡ h i m a ɡ s i k
maghimutok	m a ɡ h i m u t o k
maghinala	m a ɡ h i n a l a ʔ
maghingalo	m a ɡ h i ŋ a l o
maghintay	m a ɡ h i n t a j
maghinto	m a ɡ h i n t o ʔ
maghinuha	m a ɡ h i n u h a ʔ
maghirang	m a ɡ h i ɾ a ŋ
maghirap	m a ɡ h i ɾ a p
maghiyas	m a ɡ h i a s
maghugas	m a ɡ h u ɡ a s
maghumpay	m a ɡ h u m p a i
maghuramentado	m a ɡ h u ɾ a m ɛ n t a d o
magigi	m a ɡ i ɡ i ʔ
magiting	m a ɡ i t i ŋ
magjeep	m a ɡ d͡ʒ i p
magkanlong	m a ɡ k a n l o ŋ
magkaroon	m a ɡ k a r o ʔ o n
magkasakit	m a ɡ k a s a k i t
magkataon	m a ɡ k a t a ʔ o n
magkausap	m a ɡ k a u s a p
maglaba	m a ɡ l a b a
maglabas	m a ɡ l a b a s
maglakbay	m a ɡ l a k b a j
maglalang	m a ɡ l a l a ŋ
maglanggas	m a ɡ l a ŋ ɡ a s
maglangib	m a ɡ l a ŋ i b
maglango	m a ɡ l a ŋ o
maglantod	m a ɡ l a n t o d
maglapa	m a ɡ l a p a ʔ
maglarawan	m a ɡ l a ɾ a w a n
maglaro	m a ɡ l a ɾ o ʔ
maglaso	m a ɡ l a s o
maglaway	m a ɡ l a w a i
maglingid	m a ɡ l i ŋ i d
maglingkod	m a ɡ l i ŋ k o d
maglola	m a ɡ l o l a
maglolo	m a ɡ l o l o
magmadali	m a ɡ m a d a l i ʔ
magmahal	m a ɡ m a h a l
magmaliw	m a ɡ m a l i u
magmartsa	m a ɡ m a ɾ t͡ʃ a
magmasahe	m a ɡ m a s a h e
magmayabang	m a ɡ m a j a b a ŋ
magnakaw	m a ɡ n a k a u
magno	m a ɡ n o
magpalaganap	m a ɡ p a l a ɡ a n a p
magpanatili	m a ɡ p a n a t i l i
magparaya	m a ɡ p a ɾ a j a ʔ
magpasubasta	m a ɡ p a s u b a s t a
magpaubaya	m a ɡ p a u b a j a ʔ
magpaubaya	m a ɡ p a ʔ u b a j a ʔ
magpraktis	m a ɡ p ɾ a k t i s
magpunas	m a ɡ p u n a s
magrenta	m a ɡ ɾ ɛ n t a
magresign	m a ɡ ɾ e s a ɪ n
magsahig	m a ɡ s a h i ɡ
magsalang	m a ɡ s a l a ŋ
magsaliksik	m a ɡ s a l i k s i k
magsapatos	m a ɡ s a p a t o s
magsimba	m a ɡ s i m b a
magsinungaling	m a ɡ s i n u ŋ a l i ŋ
magsiwalat	m a ɡ s i w a l a t
magstay	m a ɡ s t ɛ ɪ
magsubscribe	m a ɡ s u b s k ɾ a ɪ b
magsugal	m a ɡ s u ɡ a l
magsuntukan	m a ɡ s u n t u k a n
magtaas	m a ɡ t a a s
magtaban	m a ɡ t a b a n
magtalas	m a ɡ t a l a s
magtalo	m a ɡ t a l o
magtapon	m a ɡ t a p o n
magtinda	m a ɡ t i n d a
magtipid	m a ɡ t i p i d
magtrabaho	m a ɡ t ɾ a b a h o
magtrycicle	m a ɡ t ɾ a ɪ s i k ɛ l
magturo	m a ɡ t u ɾ o ʔ
magugol	m a ɡ u ɡ o l
magulo	m a ɡ u l o
magusot	m a ɡ u s o t
magustuhan	m a ɡ u s t u h a n
magwagi	m a ɡ w a ɡ i
magwahil	m a ɡ w a h i l
magwisik	m a ɡ w i s i k
magyabang	m a ɡ j a b a ŋ
magyangyang	m a ɡ j a ŋ j a ŋ
magyasyas	m a ɡ j a s j a s
magyaya	m a ɡ j a j a
magyibok	m a ɡ j i b o k
mahal	m a h a l
mahalaga	m a h a l a ɡ a
mahiman	m a h i m a n
mahinay	m a h i n a i
mahirap	m a h i ɾ a p
mahuli	m a h u l i
mahuli	m a h u l i ʔ
mahuli	m aː h u l i
maikli	m a ʔ i k l i ʔ
maingay	m a ʔ i ŋ a i
mainis	m a ʔ i n i s
makaitlo	m a k a i t l o
makakita	m a k a k i t a
makakuha	m a k a k u h a
makalat	m a k a l a t
makalima	m a k a l i m a
makaluma	m a k a l u m a ʔ
makapuno	m a k a p u n o ʔ
makati	m ɐ k ɐ t i
makati	m ɐ k ɐ t i ʔ
makatotohanan	m a k a t o t o h a n a n
makatulog	m a k a t u l o ɡ
makiapid	m a k i ʔ a p i d
makibahagi	m a k i b a h a ɡ i ʔ
makina	m a k i n a
makinis	m a k i n i s
makipagbati	m a k i p a ɡ b a t i ʔ
makipagkaibigan	m a k i p a ɡ k a i b i ɡ a n
makipagsuntukan	m a k i p a ɡ s u n t u k a n
makipagtalik	m a k i p a ɡ t a l i k
makontento	m a k o n t ɛ n t o
makuha	m a k u h a
makulimlim	m a k u l i m l i m
makunan	m a k u n a n
malabuyoc	m a l a b u j o k
malagata	m a l a ɡ a t a ʔ
malagatas	m a l a ɡ a t a s
malagkit	m a l a ɡ k i t
malakanyang	m a l a k a n j a ŋ
malalim	m a l a l i m
malaluan	m a l a l u a n
malaman	m a l a m a n
malambot	m a l a m b o t
malanasi	m a l a n a s i ʔ
malanya	m a l a n j a ʔ
malaon	m a l a ʔ o n
malapad	m a l a p a d
malapit	m a l a p i t
malapot	m a l a p o t
malas	m a l a s
malaswa	m a l a s w a ʔ
malaya	m ɐ l aː ɪ a
malibag	m a l i b a ɡ
malibiran	m a l i b i ɾ a n
malicsi	m a l i k s i
maligaw	m a l i ɡ a u
malihan	m a l i h a n
malikhain	m a l i k h a ʔ i n
maliksi	m a l i k s i
malilom	m a l i l o m
malimit	m a l i m i t
mallare	m a l l a ɾ ɛ
mallorca	m a l l o ɾ k a
malubak	m a l u b a k
malusog	m a l u s o ɡ
maluwat	m a l u w a t
mama	m a m a
mama	m a m a ʔ
mamagitan	m a m a ɡ i t a n
mamahagi	m a m a h a ɡ i ʔ
mamakyaw	m a m a k j a u
mamanhikan	m a m a n h i k a n
mamaril	m a m a ɾ i l
mamasada	m a m a s a d a
mamasura	m a m a s u ɾ a
mamatay	m a m a t a j
mambabae	m a m b a b a ʔ ɛ
mambola	m a m b o l a
mamboso	m a m b o s o
mambugaw	m a m b u ɡ a u
mambuwisit	m a m b u i s i t
mamigay	m a m i ɡ a i
mamihasa	m a m i h a s a ʔ
mamilis	m a m i l i s
mamimili	m a m i m i l i
mamintog	m a m i n t o ɡ
mamuhunan	m a m u h u n a n
mamulaklak	m a m u l a k l a k
mamuti	m a m u t i ʔ
mamuyac	m a m u j a k
man	m a n
mana	m a n a
manabat	m a n a b a t
manabunot	m a n a b u n o t
managinip	m a n a ɡ i n i p
manakit	m a n a k i t
manalad	m a n a l a d
manalo	m a n a l o
manaloto	m a n a l o t o
manamantala	m a n a m a n t a l a
mananahi	m a n a n a h i ʔ
manananggal	m a n a n a ŋ ɡ a l
manangan	m a n a ŋ a n
mananghalian	m a n a ŋ h a l i ʔ a n
mananquil	m a n a n k i l
manantan	m a n a n t a n
manaog	m a n a o ɡ
manaois	m a n a o i s
manarang	m a n a ɾ a ŋ
manatad	m a n a t a d
mancao	m a ŋ k a u
mandaragat	m a n d a ɾ a ɡ a t
mandirigma	m a n d i ɾ i ɡ m a ʔ
mandocdoc	m a n d o k d o k
mandukot	m a n d u k o t
mandurukot	m a n d u ɾ u k o t
mangagat	m a ŋ a ɡ a t
mangailangan	m a ŋ a ʔ i l a ŋ a n
mangalunya	m a ŋ a l u n j a ʔ
mangamba	m a ŋ a m b a
mangamote	m a ŋ a m o t ɛ
manganak	m a ŋ a n a k
mangaoang	m a ŋ a w a ŋ
mangaway	m a ŋ a w a i
manggagantso	m a ŋ ɡ a ɡ a n t͡ʃ o
manggantso	m a ŋ ɡ a n t͡ʃ o
manggas	m a ŋ ɡ a s
manggulo	m a ŋ ɡ u l o
manghawa	m a ŋ h a w a
manghimasok	m a ŋ h i m a s o k
manghuhula	m a ŋ h u h u l a ʔ
manghula	m a ŋ h u l a ʔ
manghusga	m a ŋ h u s ɡ a
mangikil	m a ŋ i k i l
mangilit	m a ŋ i l i t
mangingisda	m a ŋ i ŋ i s d a ʔ
mangisay	m a ŋ i s a i
mangisda	m a ŋ i s d a ʔ
mangitlog	m a ŋ i t l o ɡ
mangkok	m a ŋ k o k
manglicmot	m a ŋ l i k m o t
mangoba	m a ŋ o b a
mangopya	m a ŋ o p j a
mangubra	m a ŋ u b ɾ a
manguha	m a ŋ u h a
manguiat	m a ŋ i a t
mangulabnan	m a ŋ u l a b n a n
mangulangot	m a ŋ u l a ŋ o t
mangupit	m a ŋ u p i t
mangwika	m a ŋ w i k a ʔ
mangyari	m a ŋ j a ɾ i
manhid	m a n h i d
maniago	m a n i a ɡ o
maniego	m a n j ɛ ɡ o
manilaw	m a n i l a u
manilip	m a n i l i p
manindigan	m a n i n d i ɡ a n
maniquiz	m a n i k i s
manlaban	m a n l a b a n
manlait	m a n l a ʔ i t
manlangit	m a n l a ŋ i t
manlapaz	m a n l a p a s
manlapig	m a n l a p i ɡ
manlililok	m a n l i l i l o k
manloko	m a n l o k o
manlutac	m a n l u t a k
manood	m a n o o d
manoy	m a n o j
manrique	m a n ɾ i k ɛ
mansiyon	m a n s j o n
mansusugnay	m a n s u s u ɡ n a j
mantika	m a n t i k a ʔ
manuhol	m a n u h o l
manuntok	m a n u n t o k
mapagkawanggawa	m a p a ɡ k a w a ŋ ɡ a w a ʔ
mapagmatyag	m a p a ɡ m a t j a ɡ
mapagsamantala	m a p a ɡ s a m a n t a l a
mapahiya	m a p a h i j a ʔ
mapalad	m a p a l a d
mapanghusga	m a p a ŋ h u s ɡ a
mapangutya	m a p a ŋ u t j a ʔ
mapaniil	m a p a n i i l
mapatay	m a p a t a j
mapua	m ɐ p ʊ w a
mapusyaw	m ɐ p ʊ s j ɐ u
maputik	m a p u t i k
maralit	m a ɾ a l i t
marapao	m a ɾ a p a o
maravilla	m a ɾ a b i l l a
marbella	m a ɾ b ɛ l l a
marcial	m a ɾ s j a l
marikit	m a ɾ i k i t
maristela	m a ɾ i s t ɛ l a
mariñas	m a ɾ i ɲ a s
marquez	m a ɾ k ɛ s
marquinez	m a ɾ k i n ɛ s
marso	m a ɾ s o
marupok	m a ɾ u p o k
masabon	m a s a b o n
masaker	m a s a k ɛ ɾ
masakit	m a s a k i t
masaktan	m a s a k t a n
masamain	m a s a m a i n
masamid	m a s a m i d
masangcay	m a s a ŋ k a i
masangkay	m a s a ŋ k a i
masaya	m a s a j a
maselan	m a s ɛ l a n
masikhay	m a s i k h a j
masikip	m a s i k i p
masipag	m a s i p a ɡ
maski	m a s k i
masukal	m a s u k a l
masurot	m a s u ɾ o t
mataasnakahoy	m a t a ʔ a s n a k a h o i
matae	m a t a ʔ ɛ
matalino	m a t a l i n o
matalo	m a t a l o
matapang	m a t a p a ŋ
matapon	m a t a p o n
matatakutin	m a t a t a k u t i n
matauhan	m a t a ʔ u h a n
matibag	m a t i b a ɡ
matigas	m a t i ɡ a s
matisod	m a t i s o d
matrapik	m a t ɾ a p i k
matris	m a t ɾ i s
matso	m ɑ t ʃ o
matulin	m a t u l i n
matulog	m a t u l o ɡ
matwiran	m a t w i ɾ a n
maulanan	m a u l a n a n
mauleon	m a u l ɛ o n
maunahan	m a u n a h a n
mawo	m a w o ʔ
maya	m a j a
maybahay	m a i b a h a i
maynila	m a j n i l a ʔ
mayuga	m a j u ɡ a
mañago	m a ɲ a ɡ o
mañalac	m a ɲ a l a k
medalya	m ɛ d a l j a
medrano	m ɛ d ɾ a n o
medyor	m ɛ d͡ʒ o ɾ
melegrito	m ɛ l ɛ ɡ ɾ i t o
menchavez	m ɛ n t͡ʃ a b ɛ s
menorca	m ɛ n o ɾ k a
mensahe	m ɛ n s a h ɛ
merienda	m ɛ ɾ j ɛ n d a
meryenda	m ɛ ɾ j ɛ n d a
mesa	m ɛ s a
mga	m ɐ ŋ a
michelena	m i t͡ʃ ɛ l ɛ n a
mijares	m i d͡ʒ a ɾ ɛ s
miksipat	m i k s i p a t
militante	m i l i t a n t ɛ
minviluz	m i n b i l u s
miranda	m i ɾ a n d a
misay	m i s a j
mismo	m ɪ s m ɔ
misteryo	m i s t ɛ ɾ j o
mitsa	m i t͡ʃ a
miyentras	m i j e n t r a s
mo	m o
mohon	m o h o n
mondragon	m o n d ɾ a ɡ o n
mongol	m o ŋ ɡ o l
monte	m o n t ɛ
montealegre	m o n t ɛ a l ɛ ɡ ɾ ɛ
montecalvo	m o n t ɛ k a l b o
montejo	ʔ a l k a i d ɛ
montillano	m o n t i l l a n o
montinola	m o n t i n o l a
montojo	m o n t o d͡ʒ o
montoya	m o n t o j a
morato	m o ɾ a t o
motorsiklo	m o t o ɾ s i k l o
mukha	m u k h a ʔ
mulasik	m u l a s i k
mulinsigla	m u l i n s i ɡ l a
mulinyari	m u l i n j a ɾ i ʔ
mulkaphay	m u l k a p h a j
mulpikan	m u l p i k a n
multa	m u l t a
mumshie	m a m ʃ i
munggo	m u ŋ ɡ o
mura	m u ɾ a
musika	m u s i k a
musoleyo	m u s o l ɛ j o
musta	m u s t a
muta	m u t a
muta	m u t a ʔ
mutha	m u t h a ʔ
mutuc	m u t u k
muwebles	m w ɛ b l ɛ s
na	n a
na'ng	n ɐ ŋ
nacpil	n a k p i l
nagbabaon	n a ɡ b a b a ʔ o n
nagbaon	n a ɡ b a ʔ o n
nagwas	n a ɡ w ɐ s
nakakaalarma	n a k a k a a l a ɾ m a
nakakabingi	n a k a k a b i ŋ i
nakakabobo	n ɐ k a k ɐ b ɔ b ɔ
nakakabuwisit	n a k a k a b w i s i t
nakakabwisit	n a k a k a b w i s i t
nakakahawa	n a k a k a h a w a
nakakaintriga	n a k a k a ʔ i n t ɾ i ɡ a
nakakaloko	n a k a k a l o k o
nakakapagpabagabag	n a k a k a p a ɡ p a b a ɡ a b a ɡ
nakakatakot	n a k a k a t a k o t
nakamulaga	n a k a m u l a ɡ a ʔ
nakawin	n a k a w i n
nakayukyok	n a k a j u k j o k
nakpil	n a k p i l
naman	n a m a n
namin	n aː m ɛ n
namin	n aː m ɪ n
nang	n ɐ ŋ
nanlilimahid	n a n l i l i m a h i d
napnap	n a p n a p
narvaez	n a ɾ b a ɛ s
natae	n a t a ʔ ɛ
natin	n a t i n
natin	n a t ɛ n
navoa	n a b o a
nene	n ɛ n ɛ ʔ
ng	n ɐ ŋ
nga	ŋ a ʔ
ngalan	ŋ a l a n
nganga	ŋ a ŋ a
nganga	ŋ a ŋ a ʔ
ngayon	ŋ a j o n
ngimay	ŋ i m a i
ngo	ŋ o
ngumiti	ŋ u m i t i ʔ
ngumuya	ŋ u m u j a ʔ
nguso	ŋ u s o ʔ
nguya	ŋ u j a ʔ
ni	n iː
nicdao	n i k d a o
nietes	n j ɛ t ɛ s
niknik	n i k n i k
nila	n i l a
nilabhan	n i l a b h a n
ninang	n i n a ŋ
nino	n i n o
ninyo	n i n j o
nito	n i t o
nitroheno	n i t r o h e n o
niya	n i j a
niya	ɲ a
niyo	n i o
niyon	n j ɔ n
niyon	n u n
nobela	n o b ɛ l a
nobleza	n o b l ɛ s a
nolasco	n o l a s k o
noriega	n o ɾ j ɛ ɡ a
notarte	n o t a ɾ t ɛ
novero	n o b ɛ ɾ o
nuevo	n u ɛ b o
numero	n u m ɛ ɾ ɔ
o	ɔː
obligacion	ʔ o b l i ɡ a s j o n
obrero	ʔ o b ɾ ɛ ɾ o
ocampo	ʔ o k a m p o
oksiheno	o k s i h e n o
olaguer	ʔ o l a ɡ ɛ ɾ
olaivar	ʔ o l a i b a ɾ
olalia	ʔ o l a l i a
olayvar	ʔ o l a i b a ɾ
oliva	ʔ o l i b a
olivares	ʔ o l i b a ɾ ɛ s
oliveros	ʔ o l i b ɛ ɾ o s
olmedo	ʔ o l m ɛ d o
ong	ɔ ŋ
ongkiko	ʔ o ŋ k i k o
oo	oː ʔ o
opeña	ʔ o p ɛ ɲ a
opisyales	ʔ o p i s j a l ɛ s
opyum	ʔ o p j u m
oracion	ʔ o ɾ a s j o n
orasan	o r a s a n
orendain	ʔ o ɾ ɛ n d a i n
orense	ʔ o ɾ ɛ n s ɛ
oribello	ʔ o ɾ i b ɛ l l o
paalam	p ɐ ʔ aː l a m
paalam	p ɐ ʔ ɐ l a m
paano	p a n o
paano	p a ʔ a n o
paaralan	p a a ɾ ɐ l a n
pabalikin	p a b a l i k i n
pabebe	p a b ɛ b ɛ
pabiyay	p a b i j a j
pabor	p a b o ɾ
paborito	p a b o ɾ a b l ɛ
pabuksan	p a b u k s a n
pabuya	p a b u j a ʔ
pacana	p a k a n a
pacaña	p a k a ɲ a
padaanin	p a d a a n i n
padaliin	p a d a l i i n
pader	p a d ɛ ɾ
pagala	p a ɡ a l a ʔ
pagalingin	p a ɡ a l i ŋ i n
pagbabalik	p a ɡ b a b a l i k
pagbasehan	p a ɡ b a s ɛ h a n
pagbati	p a ɡ b a t i ʔ
pagbubuntis	p a ɡ b u b u n t i s
pagcaliwagan	p a ɡ k a l i w a ɡ a n
pagdaan	p a ɡ d a a n
pagdila	p a ɡ d i l a ʔ
pagdilao	p a ɡ d i l a u
paggiba	p a ɡ ɡ i b a ʔ
paghigantihan	p a ɡ h i ɡ a n t i h a n
paghuyad	p a ɡ h u j a d
pagi	p a ɡ i
pagitan	p a ɡ i t a n
pagkaigkasin	p a ɡ k a ʔ i ɡ k a s i n
pagkakaibigan	p a ɡ k a k a i b i ɡ a n
pagkakasakit	p a ɡ k a k a s a k i t
pagkakataon	p a ɡ k a k a t a ʔ o n
pagkamakabagunsakupin	p a ɡ k a m a k a b a ɡ u n s a k u p i n
pagkamakagahum	p a ɡ k a m a k a ɡ a h u m
pagkawakaak	p a ɡ k a w a k a ʔ a k
pagmamadali	p a ɡ m a m a d a l i ʔ
pagnanakaw	p a ɡ n a n a k a u
pagsamantalahan	p a ɡ s a m a n t a l a h a n
pagsanjan	p a ɡ s a n h a n
pagsuway	p a ɡ s u a i
pagtaban	p a ɡ t a b a n
pagtakhan	p a ɡ t a k h a n
pagtripan	p a ɡ t ɾ i p a n
pagtutulungan	p a ɡ t u t u l u ŋ a n
paguia	p a ɡ j a
paguio	p a ɡ j o
pagwawaliwali	p a ɡ w a l i w a l i
pagwawasak	p a ɡ w a w a s a k
pagwitwit	p a ɡ w i t w i t
pagwiwisik	p a ɡ w i w i s i k
pagyukyok	p a ɡ j u k j o k
pahayagan	p aː h a i a ɡ a n
pahilaga	p a h i l a ɡ a ʔ
pahina	p a h i n a
pahinarya	p ɐ h i n a r j ɐ
pahintulot	p a h i n t u l o t
pahiyain	p a h i a ʔ i n
painitin	p a ʔ i n i t i n
pajares	p a d͡ʒ a ɾ ɛ s
pakialam	p a k i ɐ l a m
pakialam	p a k ɛ ɐ l a m
pakialamero	p a k i ʔ a l a m e ɾ o
pakid	p a k i d
pakikipagtalik	p a k i k i p a ɡ t a l i k
pakiwani	p a k i w a n i
pakla	p a k l a
pakulo	p a k u l o ʔ
pakwan	p a k w a n
palacol	p a l a k o l
paladutaan	p a l a d u t a ʔ a n
palafox	p a l a p o k s
palagyan	p a l a ɡ j a n
palahaw	p a l a h a u
palakol	p a l a k o l
palamakatauhan	p a l a m a k a t a ʔ u h a n
palamigin	p a l a m i ɡ i n
palamuhayan	p a l a m u h a j a n
palamuti	p a l a m u t i ʔ
palasihayan	p a l a s i h a j a n
palasihayanan	p a l a s i h a j a n a n
palaspas	p a l a s p a s
palatatagnan	p a l a t a t a ɡ n a n
palatumbasan	p a l a t u m b a s a n
palaulatan	p a l ɐ ʔ u l ɐ t a n
palay	p a l a j
palayan	p a l a j a n
palayasin	p a l a j a s i n
palima	p a l i m a
paliparan	p a l ɪ p a ɾ ɐ n
paliparan	p ɐ l ɪ p ɐ ɾ a n
palisoc	p a l i s o k
palit	p a l i t
palitada	p a l i t a d a
palitadahan	p a l i t a d a h a n
palitan	p a l i t a n
palo	p a l o ʔ
palomares	p a l o m a ɾ ɛ s
palos	p a l ɔ s
pamabat	p a m a b a t
pamahalaan	p a m a h a l a ʔ a n
pamalo	p a m a l o ʔ
pamamanhikan	p a m a m a n h i k a n
pamamaril	p a m a m a ɾ i l
pamaypay	p a m a i p a i
pamimilosopo	p a m i m i l o s o p o
paminta	p a m i n t a
pamintuan	p a m i n t u a n
pan	p a n
panahon	p a n a h o n
panalangin	p a n a l a ŋ i n
panalo	p a n a l o
pananabotahe	p a n a n a b o t a h ɛ
pananagutan	p a n a n a ɡ u t a n
pandemya	p a n d ɛ m j a
pandiwa	p a n d i w a ʔ
panelo	p a n ɛ l o
pang	p a ŋ
pangalan	p a ŋ a l a n
panghimasukan	p a ŋ h i m a s u k a n
pangit	p a ŋ i t
pangngalan	p a ŋ ŋ a l a n
pangungusap	p a ŋ u ŋ u s a p
pangwilig	p a ŋ w i l i ɡ
panibughuin	p a n i b u ɡ h u ʔ i n
panilan	p a n i l a n
paninigarilyo	p a n i n i ɡ a ɾ i l j o
panitikan	p a n i t i k a n
panlaqui	p a n l a k i
pansamantala	p a n s a m a n t a l a
pantas	p a n t á s
pantig	p a n t i ɡ
panukala	p a n u k a l a ʔ
paos	p a ʔ o s
papel	p a p e l
para	p aː ɾ a
paraan	p a ɾ a ʔ a n
parada	p a ɾ a d a
paragas	p a ɾ a ɡ a s
parayno	p a ɾ a i n o
pareño	p a ɾ ɛ ɲ o
pari	p a ɾ i ʔ
parihaba	p ɐ r i h a b a ʔ
parilla	p a ɾ i l l a
pariugat	p ɐ ɾ ɪ ʔ u ɡ a t
parreño	p a ɾ ɛ ɲ o
parusa	p a ɾ u s a
pasabugin	p a s a b u ɡ i n
pasaway	p a s a w a i
pasensya	p a s ɛ n sʲ a
pasensya	p a s ɛ n ɕ a
pasiya	p a s j a
paskil	p ɐ s k i l
pasko	p a s k o
paskuwa	p a s k u a
pasok	p a s ɔ k
pasok	p aː s ɔ k
pasugalan	p a s u ɡ a l a n
pasukan	p a s u k a n
pasukin	p a s u k i n
pasulo	p a s u l o
patahian	p a t a h i ʔ a n
patakbuhin	p a t a k b u h i n
patalastas	p a t a l a s t a s
patawanin	p a t a w a n i n
patay	p a t a ɪ
patda	p a t d a
patiag	p a t j a ɡ
patidyugto	p a t i d j u ɡ t o ʔ
patimog	p a t i m o ɡ
patiño	p a t i ɲ o
patnubay	p a t n u b a i
pato	p aː t ɔ
patron	p a t ɾ o n
patupat	p a t u p a t
patutsada	p a t u t͡s a d a
patuusan	p a t u ʔ ɔ s a n
paupahan	p a u p a h a n
pausukan	p a u s u k a n
pauwiin	p a u w i i n
pawis	p a w i s
payak	p a j a k
payamanin	p a j a m a n i n
payumo	p a j u m o
paz	p a s
pebrero	p ɛ b ɾ ɛ ɾ o
pecson	p ɛ k s o n
peke	p ɛ k ɛ ʔ
peklat	p ɛ k l a t
peste	p ɛ s t ɛ
pestisidyo	p ɛ s t i s i d j o
petmalu	p e t m a l u
petsay	p e t t ʃ a j
peñaflor	p ɛ ɲ a p l o ɾ
peñaflorida	p ɛ ɲ a p l o ɾ i d a
peñaranda	p ɛ ɲ a ɾ a n d a
piga	p i ɡ a ʔ
pigain	p i ɡ a ʔ i n
pigsa	p i ɡ s a
pigsa	p i ɡ s a ʔ
pihikan	p i h i k a n
piho	p i h o
pila	p i l a
pilantik	p i l a n t i k
pilantropo	p i l a n t ɾ o p o
pilapil	p i l a p i l
pilat	p i l a t
pilay	p i l a j
pilipinas	p i l i p i n a s
pilosopiya	p i l o s o p i a
pilosopo	p i l o s o p o
pilyo	p i l j o
pinaghihinalaan	p i n a ɡ h i h i n a l a a n
pinagsamantalahan	p i n a ɡ s a m a n t a l a h a n
pindot	p i n d o t
pinggan	p i ŋ ɡ a n
pinlac	p i n l a k
pino	p i n o
pintakasi	p i n t a k a s i
piraso	p i ɾ a s o
pirmahan	p i ɾ m a h a n
pisika	p i s ɪ k ɐ
piskal	p i s k a l
piskalya	p i s k a l j a
pista	p i s t a
pitis	p i t i s
pito	p i t ɔ
pitumpu	p i t u m p u ʔ
pitundaan	p i t u n d a a n
piyo	p i j o ʔ
pizarro	p i s a ɾ ɾ o
piñon	p i ɲ o n
planas	p l a n a s
plastik	p l a s t i k
plebisito	p l e b i s i t o
po	p o ʔ
po	p ɔ
pobre	p ɔː b r ɛ
pokpok	p ɔ k p ɔ k
policarpio	p o l i k a ɾ p j o
polintan	p o l i n t a n
polo	p o l o
pondo	p o n d o
pondohan	p o n d o h a n
ponkan	p o ŋ k a n
poon	p u n
portuges	p o ɾ t u ɡ ɛ s
posas	p o s a s
post	p o u s t
prado	p ɾ a d o
praning	p ɾ a n i ŋ
prayoridad	p ɾ a j o ɾ i d a d
premyo	p ɾ ɛ m j o
preso	p ɾ ɛ s o
proklamasyon	p ɾ o k l a m a s j o n
promdi	p r a m d i
promdi	p r o m d i
prudente	p ɾ u d ɛ n t ɛ
pua	p u w a
pudpod	p u d p o d
pugad	p u ɡ a d
pugo	p u ɡ o ʔ
pugot	p u ɡ o t
pugutan	p u ɡ u t a n
puhunan	p u h u n a n
pukyutan	p u k j u t a n
pula	p ʊ l a
pulahan	p u l a h a n
pulgada	p u l ɡ a d a
pulgas	p u l ɡ a s
pulikat	p u l i k a t
pulmonya	p u l m o n j a
pulo	p u l o ʔ
pulot	p u l o t
pultaon	p u l t a ʔ ɔ n
pulubi	p u l u b i
pulutan	p u l u t a n
pumalakpak	p u m a l a k p a k
pumasok	p u m a s o k
pumatay	p u m a t a j
pumayag	p u m a j a ɡ
pumila	p u m i l a
pumisik	p u m i s i k
pumula	p u m u l a
pumunta	p u m u n t a
pumuti	p u m u t i ʔ
pumutok	p u m u t o k
pundido	p u n d i d o
puno	p u n o ʔ
punongbayan	p u n o ŋ b a j a n
punsalang	p u n s a l a ŋ
punta	p u n t a
punta	p u n t a ʔ
puntahan	p u n t a h a n
puntirya	p u n t i ɾ j a
punzalan	p u n s a l a n
pusit	p u s i t
puson	p u s o n
pusta	p u s t a
pustiso	p u s t i s o
pusyaw	p ʊ s j a u
putakti	p u t a k t i
puti	p ú t ɪ
putik	p u t i k
putol	p u t o l
putulin	p u t u l i n
puyod	p u j o d
que	k ɛ
quezon	k ɛ s o n
quiambao	k j a m b a u
quimpo	k i m p o
quintos	k i n t o s
quirante	k i ɾ a n t ɛ
quisumbing	k i s u m b i ŋ
quitain	k i t a i n
quiñones	k i ɲ o n ɛ s
racelis	ɾ a s ɛ l i s
ragas	ɾ a ɡ a s
ragudo	ɾ a ɡ u d o
rajah	r a h a
rali	ɾ a l i
raliyista	ɾ a l i j i s t a
rambol	ɾ a m b o l
rambulan	ɾ a m b u l a n
rantso	ɾ a n t͡ʃ o
rason	ɾ a s o n
rayos	ɾ a j o s
razon	ɾ a s o n
reaño	ɾ ɛ a ɲ o
rebelde	ɾ e b e l d e
rebelyon	r ɛ b ɛ l j o n
redondo	ɾ ɛ d o n d o
regala	ɾ ɛ ɡ a l a
regidor	ɾ ɛ h i d o ɾ
rehas	ɾ ɛ h a s
rehistro	ɾ ɛ h i s t ɾ o
rekisito	ɾ ɛ k i s i t o
