ա	ɑ
հափշտակում	h ɑ pʰ ʃ t ɑ k u m
հաքեր	h ɑ kʰ ɛ ɾ
հեգ	h ɛ ɡ
հեգել	h ɛ ɡ ɛ l
հեգենա	h ɛ ɡ ɛ n ɑ
հեգնական	h ɛ ɡ n ɑ k ɑ n
հեգնանք	h ɛ ɡ n ɑ ŋ kʰ
հեգնել	h ɛ ɡ n ɛ l
հեզ	h ɛ z
հեզաբել	h ɛ z ɑ b ɛ l
հեթանոս	h ɛ tʰ ɑ n ɔ s
հեթանոսություն	h ɛ tʰ ɑ n ɔ s u tʰ j u n
հեթիթերեն	h ɛ tʰ i tʰ ɛ ɾ ɛ n
հեթում	h ɛ tʰ u m
հեթումյան	h ɛ tʰ u m j ɑ n
հելգոլանդ	h ɛ l ɡ ɔ l ɑ n d
հելիոս	h ɛ l i ɔ s
հելիում	h ɛ l i j u m
հելիում	h ɛ l j u m
հելլադա	h ɛ lː ɑ d ɑ
հելլեն	h ɛ lː ɛ n
հելլենացի	h ɛ lː ɛ n ɑ t͡sʰ i
հելլեսպոնտոս	h ɛ lː ɛ s p ɔ n t ɔ s
հելնել	h ɛ l n ɛ l
հելսինգֆորս	h ɛ l s i ŋ ɡ f ɔ ɾ s
հելսինկի	h ɛ l s i ŋ k i
հելվեցիա	h ɛ l v ɛ t͡sʰ j ɑ
հեծան	h ɛ t͡s ɑ n
հեծանիվ	h ɛ t͡s ɑ n i v
հեծանոց	h ɛ t͡s ɑ n ɔ t͡sʰ
հեծել	h ɛ t͡s ɛ l
հեծելազոր	h ɛ t͡s ɛ l ɑ z ɔ ɾ
հեծելազորային	h ɛ t͡s ɛ l ɑ z ɔ ɾ ɑ j i n
հեծեծել	h ɛ t͡s ɛ t͡s ɛ l
հեծյալ	h ɛ t͡s j ɑ l
հեծնել	h ɛ t͡s n ɛ l
հեկտար	h ɛ k t ɑ ɾ
հեղաշրջում	h ɛ ʁ ɑ ʃ ə ɾ d͡ʒ u m
հեղափոխություն	h ɛ ʁ ɑ pʰ ɔ χ u tʰ j u n
հեղել	h ɛ ʁ ɛ l
հեղեղ	h ɛ ʁ ɛ ʁ
հեղեղատ	h ɛ ʁ ɛ ʁ ɑ t
հեղեղել	h ɛ ʁ ɛ ʁ ɛ l
հեղեղում	h ɛ ʁ ɛ ʁ u m
հեղինակ	h ɛ ʁ i n ɑ k
հեղինակություն	h ɛ ʁ i n ɑ k u tʰ j u n
հեղինե	h ɛ ʁ i n ɛ
հեղձամղձուկ	h ɛ ʁ d͡z ɑ m ə ʁ d͡z u k
հեղուկ	h ɛ ʁ u k
հեղույս	h ɛ ʁ u j s
հեղուսել	h ɛ ʁ u s ɛ l
հեղված	h ɛ ʁ v ɑ t͡s
հեղվել	h ɛ ʁ v ɛ l
հեղց	h ɛ χ t͡sʰ
հեյզեր	h ɛ j z ɛ ɾ
հեն	h ɛ n
հենան	h ɛ n ɑ n
հենասյուն	h ɛ n ɑ s j u n
հենդալֆ	h ɛ n d ɑ l f
հենել	h ɛ n ɛ l
հենվել	h ɛ n v ɛ l
հենրիկ	h ɛ n ɾ i k
հեշթեգ	h ɛ ʃ tʰ ɛ ɡ
հեշտ	h ɛ ʃ t
հեշտոց	h ɛ ʃ t ɔ t͡sʰ
հեշտոցային	h ɛ ʃ t ɔ t͡sʰ ɑ j i n
հեշտություն	h ɛ ʃ t u tʰ j u n
հեջաս	h ɛ d͡ʒ ɑ s
հեռագիր	h ɛ r ɑ ɡ i ɾ
հեռադիտակ	h ɛ r ɑ d i t ɑ k
հեռախոս	h ɛ r ɑ χ ɔ s
հեռակառավարման	h ɛ r ɑ k ɑ r ɑ v ɑ ɾ m ɑ n
հեռակառավարում	h ɛ r ɑ k ɑ r ɑ v ɑ ɾ u m
հեռահաղորդակցություն	h ɛ r ɑ h ɑ ʁ ɔ ɾ tʰ ɑ k t͡sʰ u tʰ j u n
հեռաձայն	h ɛ r ɑ d͡z ɑ j n
հեռաձայնել	h ɛ r ɑ d͡z ɑ j n ɛ l
հեռանալ	h ɛ r ɑ n ɑ l
հեռանկար	h ɛ r ɑ n ə k ɑ ɾ
հեռաստան	h ɛ r ɑ s t ɑ n
հեռավոր	h ɛ r ɑ v ɔ ɾ
հեռավորություն	h ɛ r ɑ v ɔ ɾ u tʰ j u n
հեռատես	h ɛ r ɑ t ɛ s
հեռատեսիլ	h ɛ r ɑ t ɛ s i l
հեռացնել	h ɛ r ɑ t͡sʰ n ɛ l
հեռացում	h ɛ r ɑ t͡sʰ u m
հեռել	h ɛ r ɛ l
հեռի	h ɛ r i
հեռու	h ɛ r u
հեռուստ	h ɛ r u s t
հեռուստաընկերություն	h ɛ r u s t ɑ ə ŋ k ɛ ɾ u tʰ j u n
հեռուստատեսություն	h ɛ r u s t ɑ t ɛ s u tʰ j u n
հեռուստացմփորիկ	h ɛ r u s t ɑ t͡sʰ ə m pʰ ɔ ɾ i k
հեռուստացույց	h ɛ r u s t ɑ t͡sʰ u j t͡sʰ
հեսան	h ɛ s ɑ n
հեսիոդոս	h ɛ s i ɔ d ɔ s
հեսսեն	h ɛ sː ɛ n
հեստ	h ɛ s t
հեստապար	h ɛ s t ɑ p ɑ ɾ
հեստապարուհի	h ɛ s t ɑ p ɑ ɾ u h i
հետ	h ɛ t
հետադարձ	h ɛ t ɑ d ɑ ɾ t͡sʰ
հետազոտել	h ɛ t ɑ z ɔ t ɛ l
հետազոտող	h ɛ t ɑ z ɔ t ɔ ʁ
հետազոտություն	h ɛ t ɑ z ɔ t u tʰ j u n
հետախուզական	h ɛ t ɑ χ u z ɑ k ɑ n
հետաձգել	h ɛ t ɑ d͡z ə kʰ ɛ l
հետամուտ	h ɛ t ɑ m u t
հետանցք	h ɛ t ɑ n t͡sʰ kʰ
հետաքրքիր	h ɛ t ɑ kʰ ə ɾ kʰ i ɾ
հետաքրքրասեր	h ɛ t ɑ kʰ ə ɾ kʰ ɾ ɑ s ɛ ɾ
հետաքրքրություն	h ɛ t ɑ kʰ ə ɾ kʰ ɾ u tʰ j u n
հետեւ	h ɛ t ɛ v
հետեւաբար	h ɛ t ɛ v ɑ b ɑ ɾ
հետեւակային	h ɛ t ɛ v ɑ k ɑ j i n
հետեւանք	h ɛ t ɛ v ɑ ŋ kʰ
հետեւել	h ɛ t ɛ v ɛ l
հետին	h ɛ t i n
հետիոտն	h ɛ t i ɔ t ə n
հետխորհրդային	h ɛ t χ ɔ ɾ ə ɾ tʰ ɑ j i n
հետմահու	h ɛ t m ɑ h u
հետնորդ	h ɛ t n ɔ ɾ tʰ
հետո	h ɛ t ɔ
հետույք	h ɛ t u j kʰ
հետք	h ɛ t kʰ
հեր	h ɛ ɾ
հերաթ	h ɛ ɾ ɑ tʰ
հերակլիտ	h ɛ ɾ ɑ k l i t
հերերո	h ɛ ɾ ɛ ɾ ɔ
հերթ	h ɛ ɾ tʰ
հերիք	h ɛ ɾ i kʰ
հերիքել	h ɛ ɾ i kʰ ɛ l
հերկել	h ɛ ɾ k ɛ l
հերկուլանում	h ɛ ɾ k u l ɑ n u m
հերձում	h ɛ ɾ d͡z u m
հերմես	h ɛ ɾ m ɛ s
հերյուն	h ɛ ɾ j u n
հերոդոտոս	h ɛ ɾ ɔ d ɔ t ɔ s
հերոին	h ɛ ɾ ɔ i n
հերոս	h ɛ ɾ ɔ s
հերոսաբար	h ɛ ɾ ɔ s ɑ b ɑ ɾ
հերոսական	h ɛ ɾ ɔ s ɑ k ɑ n
հերոսություն	h ɛ ɾ ɔ s u tʰ j u n
հերոսուհի	h ɛ ɾ ɔ s u h i
հերոստրատ	h ɛ ɾ ɔ s t ɾ ɑ t
հերոստրատոս	h ɛ ɾ ɔ s t ɾ ɑ t ɔ s
հերովդես	h ɛ ɾ ɔ v d ɛ s
հերու	h ɛ ɾ u
հերցեգովինա	h ɛ ɾ t͡sʰ ɛ ɡ ɔ v i n ɑ
հերք	h ɛ ɾ kʰ
հերքել	h ɛ ɾ kʰ ɛ l
հերքելի	h ɛ ɾ kʰ ɛ l i
հերքիչ	h ɛ ɾ kʰ i t͡ʃʰ
հերքում	h ɛ ɾ kʰ u m
հերքվել	h ɛ ɾ kʰ v ɛ l
հեց	h ɛ t͡sʰ
հեւք	h ɛ f kʰ
հեփեստոս	h ɛ pʰ ɛ s t ɔ s
հեքիաթ	h ɛ kʰ j ɑ tʰ
հեքիմ	h ɛ kʰ i m
հզոր	h ə z ɔ ɾ
հի	h i
հիանալ	h i j ɑ n ɑ l
հիանալի	h i j ɑ n ɑ l i
հիասթափ	h i j ɑ s tʰ ɑ pʰ
հիասթափեցնել	h i j ɑ s tʰ ɑ pʰ ɛ t͡sʰ n ɛ l
հիասթափություն	h i j ɑ s tʰ ɑ pʰ u tʰ j u n
հիասթափում	h i j ɑ s tʰ ɑ pʰ u m
հիասթափված	h i j ɑ s tʰ ɑ pʰ v ɑ t͡s
հիասթափվել	h i j ɑ s tʰ ɑ pʰ v ɛ l
հիասքանչ	h i j ɑ s kʰ ɑ n t͡ʃʰ
հիգիենա	h i ɡ j ɛ n ɑ
հիդրատ	h i d ɾ ɑ t
հիդրոլիզ	h i d ɾ ɔ l i z
հիմ	h i m
հիմա	h i m ɑ
հիմալայներ	h i m ɑ l ɑ j n ɛ ɾ
հիման	h i m ɑ n
հիմար	h i m ɑ ɾ
հիմարացնել	h i m ɑ ɾ ɑ t͡sʰ n ɛ l
հիմն	h i m ə n
հիմնադիր	h i m n ɑ d i ɾ
հիմնադրական	h i m n ɑ d ɾ ɑ k ɑ n
հիմնադրամ	h i m n ɑ d ɾ ɑ m
հիմնադրել	h i m n ɑ d ɾ ɛ l
հիմնադրություն	h i m n ɑ d ɾ u tʰ j u n
հիմնադրուհի	h i m n ɑ d ɾ u h i
հիմնադրում	h i m n ɑ d ɾ u m
հիմնադրվել	h i m n ɑ d ə ɾ v ɛ l
հիմնախնդիր	h i m n ɑ χ ə n tʰ i ɾ
հիմնական	h i m n ɑ k ɑ n
հիմնականորեն	h i m n ɑ k ɑ n ɔ ɾ ɛ n
հիմնականում	h i m n ɑ k ɑ n u m
հիմնահարց	h i m n ɑ h ɑ ɾ t͡sʰ
հիմնավորել	h i m n ɑ v ɔ ɾ ɛ l
հիմունք	h i m u ŋ kʰ
հիմք	h i m kʰ
հին	h i n
հինավուրց	h i n ɑ v u ɾ t͡sʰ
հինգ	h i ŋ ɡ
հինգերորդ	h i ŋ ɡ ɛ ɾ ɔ ɾ tʰ
հինգշաբթի	h i ŋ ɡ ʃ ɑ p t i
հինգշաբթի	h i ŋ ɡ ʃ ɑ pʰ tʰ i
հինդի	h i n d i
հինդուիզմ	h i n d u i z m
հինդուկուշ	h i n d u k u ʃ
հինդուստան	h i n d u s t ɑ n
հինդուստանի	h i n d u s t ɑ n i
հիշատակ	h i ʃ ɑ t ɑ k
հիշել	h i ʃ ɛ l
հիշեցնել	h i ʃ ɛ t͡sʰ n ɛ l
հիշողություն	h i ʃ ɔ ʁ u tʰ j u n
հիպատ	h i p ɑ t
հիպերբոլ	h i p ɛ ɾ b ɔ l
հիպերմարկետ	h i p ɛ ɾ m ɑ ɾ k ɛ t
հիպնոս	h i p n ɔ s
հիպոկրատես	h i p ɔ k ɾ ɑ t ɛ s
հիջազ	h i d͡ʒ ɑ z
հիսուն	h i s u n
հիսուս	h i s u s
հիվանդ	h i v ɑ n d
հիվանդագին	h i v ɑ n d ɑ ɡ i n
հիվանդախնամ	h i v ɑ n d ɑ χ ə n ɑ m
հիվանդանալ	h i v ɑ n d ɑ n ɑ l
հիվանդանոց	h i v ɑ n d ɑ n ɔ t͡sʰ
հիվանդություն	h i v ɑ n d u tʰ j u n
հիտլեր	h i t l ɛ ɾ
հիրավի	h i ɾ ɑ v i
հիրել	h i ɾ ɛ l
հիրիկ	h i ɾ i k
հիցուն	h i t͡sʰ u n
հլու	h ə l u
հհ	h ə h ə
հհկ	h ə h ə k ə
հղանալ	h ə ʁ ɑ n ɑ l
հղացք	h ə ʁ ɑ t͡sʰ kʰ
հղել	h ə ʁ ɛ l
հղենալ	h ə ʁ ɛ n ɑ l
հղի	h ə ʁ i
հղիանալ	h ə ʁ i j ɑ n ɑ l
հղիացում	h ə ʁ i j ɑ t͡sʰ u m
հղիություն	h ə ʁ i j u tʰ j u n
հղություն	h ə ʁ u tʰ j u n
հղում	h ə ʁ u m
հղփանալ	h ə χ pʰ ɑ n ɑ l
հղփություն	h ə χ pʰ u tʰ j u n
հմայագիր	h ə m ɑ j ɑ ɡ i ɾ
հմայել	h ə m ɑ j ɛ l
հմայք	h ə m ɑ j kʰ
հմուտ	h ə m u t
հմտություն	h ə m t u tʰ j u n
հյութ	h j u tʰ
հյութեղ	h j u tʰ ɛ ʁ
հյուլե	h j u l ɛ
հյուծել	h j u t͡s ɛ l
հյուն	h j u n
հյունքյարպեյենտյան	h j u ŋ kʰ j ɑ ɾ p ɛ j ɛ n t j ɑ n
հյուպատոս	h j u p ɑ t ɔ s
հյուպատոսություն	h j u p ɑ t ɔ s u tʰ j u n
հյուս	h j u s
հյուսել	h j u s ɛ l
հյուսիս	h j u s i s
հյուսիսային	h j u s i s ɑ j i n
հյուսկեն	h j u s k ɛ n
հյուսն	h j u s ə n
հյուսվածք	h j u s v ɑ t͡s kʰ
հյուսվածքաբանություն	h j u s v ɑ t͡s kʰ ɑ b ɑ n u tʰ j u n
հյուր	h j u ɾ
հյուրախաղ	h j u ɾ ɑ χ ɑ ʁ
հյուրանոց	h j u ɾ ɑ n ɔ t͡sʰ
հյուրասրահ	h j u ɾ ɑ s ə ɾ ɑ h
հյուրեր	h j u ɾ ɛ ɾ
հյուրերդ	h j u ɾ ɛ ɾ ə d
հյուրերը	h j u ɾ ɛ ɾ ə
հյուրերի	h j u ɾ ɛ ɾ i
հյուրերիդ	h j u ɾ ɛ ɾ i d
հյուրերին	h j u ɾ ɛ ɾ i n
հյուրերիս	h j u ɾ ɛ ɾ i s
հյուրերից	h j u ɾ ɛ ɾ i t͡sʰ
հյուրերիցդ	h j u ɾ ɛ ɾ i t͡sʰ ə d
հյուրերիցս	h j u ɾ ɛ ɾ i t͡sʰ ə s
հյուրերն	h j u ɾ ɛ ɾ ə n
հյուրերով	h j u ɾ ɛ ɾ ɔ v
հյուրերովդ	h j u ɾ ɛ ɾ ɔ v ə d
հյուրերովս	h j u ɾ ɛ ɾ ɔ v ə s
հյուրերս	h j u ɾ ɛ ɾ ə s
հյուրը	h j u ɾ ə
հյուրի	h j u ɾ i
հյուրիդ	h j u ɾ i d
հյուրին	h j u ɾ i n
հյուրիս	h j u ɾ i s
հյուրից	h j u ɾ i t͡sʰ
հյուրիցդ	h j u ɾ i t͡sʰ ə d
հյուրիցս	h j u ɾ i t͡sʰ ə s
հյուրն	h j u ɾ n
հյուրով	h j u ɾ ɔ v
հյուրովդ	h j u ɾ ɔ v ə d
հյուրովս	h j u ɾ ɔ v ə s
հյուրս	h j u ɾ ə s
հնագետ	h ə n ɑ ɡ ɛ t
հնագիտություն	h ə n ɑ ɡ i t u tʰ j u n
հնագույն	h ə n ɑ ɡ u j n
հնազանդ	h ə n ɑ z ɑ n d
հնազանդություն	h ə n ɑ z ɑ n d u tʰ j u n
հնազանդվել	h ə n ɑ z ɑ n d v ɛ l
հնախոս	h ə n ɑ χ ɔ s
հնամյա	h ə n ɑ m j ɑ
հնանալ	h ə n ɑ n ɑ l
հնավուն	h ə n ɑ v u n
հնար	h ə n ɑ ɾ
հնարակերտ	h ə n ɑ ɾ ɑ k ɛ ɾ t
հնարամիտ	h ə n ɑ ɾ ɑ m i t
հնարամտություն	h ə n ɑ ɾ ɑ m ə t u tʰ j u n
հնարավոր	h ə n ɑ ɾ ɑ v ɔ ɾ
հնարավորություն	h ə n ɑ ɾ ɑ v ɔ ɾ u tʰ j u n
հնարել	h ə n ɑ ɾ ɛ l
հնարք	h ə n ɑ ɾ kʰ
հնացած	h ə n ɑ t͡sʰ ɑ t͡s
հնացնել	h ə n ɑ t͡sʰ n ɛ l
հնգամյա	h ə ŋ ɡ ɑ m j ɑ
հնդեվրոպաբան	h ə n d ɛ v ɾ ɔ p ɑ b ɑ n
հնդեվրոպաբանություն	h ə n d ɛ v ɾ ɔ p ɑ b ɑ n u tʰ j u n
հնդեվրոպական	h ə n d ɛ v ɾ ɔ p ɑ k ɑ n
հնդեվրոպացի	h ə n d ɛ v ɾ ɔ p ɑ t͡sʰ i
հնդիկ	h ə n d i k
հնդկական	h ə n d k ɑ k ɑ n
հնդկահավ	h ə n d k ɑ h ɑ v
հնդկաչին	h ə n d k ɑ t͡ʃʰ i n
հնդկաստան	h ə n d k ɑ s t ɑ n
հնդկացի	h ə n d k ɑ t͡sʰ i
հնդկացորեն	h ə n d k ɑ t͡sʰ ɔ ɾ ɛ n
հնդկերեն	h ə n d k ɛ ɾ ɛ n
հնդկընկույզ	h ə n d k ə ŋ k u j z
հնդստան	h ə n d ə s t ɑ n
հնէաբան	h ə n ɛ ɑ b ɑ n
հնձան	h ə n d͡z ɑ n
հնոտի	h ə n ɔ t i
հնոտիք	h ə n ɔ t i kʰ
հնոց	h ə n ɔ t͡sʰ
հնոցապան	h ə n ɔ t͡sʰ ɑ p ɑ n
հնչել	h ə n t͡ʃʰ ɛ l
հնչյուն	h ə n t͡ʃʰ j u n
հնչյունաբան	h ə n t͡ʃʰ j u n ɑ b ɑ n
հնչյունական	h ə n t͡ʃʰ j u n ɑ k ɑ n
հնչյունային	h ə n t͡ʃʰ j u n ɑ j i n
հնչույթ	h ə n t͡ʃʰ u j tʰ
հո	h ɔ
հոբելյան	h ɔ b ɛ l j ɑ n
հոբելյանական	h ɔ b ɛ l j ɑ n ɑ k ɑ n
հոբելյար	h ɔ b ɛ l j ɑ ɾ
հոբոյ	h ɔ b ɔ j
հոգ	h ɔ kʰ
հոգալ	h ɔ kʰ ɑ l
հոգատար	h ɔ kʰ ɑ t ɑ ɾ
հոգեբան	h ɔ kʰ ɛ b ɑ n
հոգեբանական	h ɔ kʰ ɛ b ɑ n ɑ k ɑ n
հոգեբանություն	h ɔ kʰ ɛ b ɑ n u tʰ j u n
հոգեղեն	h ɔ kʰ ɛ ʁ ɛ n
հոգի	h ɔ kʰ i
հոգնա	h ɔ kʰ n ɑ
հոգնած	h ɔ kʰ n ɑ t͡s
հոգնածություն	h ɔ kʰ n ɑ t͡s u tʰ j u n
հոգնակի	h ɔ kʰ n ɑ k i
հոգնել	h ɔ kʰ n ɛ l
հոգնեցնել	h ɔ kʰ n ɛ t͡sʰ n ɛ l
հոգոց	h ɔ kʰ ɔ t͡sʰ
հոգս	h ɔ kʰ s
հոգվոց	h ɔ kʰ v ɔ t͡sʰ
հոդ	h ɔ d
հոդաբորբ	h ɔ d ɑ b ɔ ɾ b
հոդված	h ɔ d v ɑ t͡s
հոդված	h ɔ t v ɑ t͡s
հոժարել	h ɔ ʒ ɑ ɾ ɛ l
հոժարեցնել	h ɔ ʒ ɑ ɾ ɛ t͡sʰ n ɛ l
հոժարություն	h ɔ ʒ ɑ ɾ u tʰ j u n
հոժարում	h ɔ ʒ ɑ ɾ u m
հոժարվել	h ɔ ʒ ɑ ɾ v ɛ l
հոլ	h ɔ l
հոլաթեւել	h ɔ l ɑ tʰ ɛ v ɛ l
հոլանդական	h ɔ l ɑ n d ɑ k ɑ n
հոլանդացի	h ɔ l ɑ n d ɑ t͡sʰ i
հոլանդերեն	h ɔ l ɑ n d ɛ ɾ ɛ n
հոլանդիա	h ɔ l ɑ n d j ɑ
հոլանել	h ɔ l ɑ n ɛ l
հոլանի	h ɔ l ɑ n i
հոլշտայն	h ɔ l ʃ t ɑ j n
հոլով	h ɔ l ɔ v
հոլովակ	h ɔ l ɔ v ɑ k
հոլովման	h ɔ l ɔ v m ɑ n
հոլովում	h ɔ l ɔ v u m
հոլոքոստ	h ɔ l ɔ kʰ ɔ s t
հոխորտալ	h ɔ χ ɔ ɾ t ɑ l
հոխորտան	h ɔ χ ɔ ɾ t ɑ n
հոխորտանք	h ɔ χ ɔ ɾ t ɑ ŋ kʰ
հոկայդո	h ɔ k ɑ j d ɔ
հոկեյ	h ɔ k ɛ j
հոկտեմբեր	h ɔ k t ɛ m b ɛ ɾ
հոկտեմբերյան	h ɔ k t ɛ m b ɛ ɾ j ɑ n
հոհան	h ɔ h ɑ n
հոհենցոլեր	h ɔ h ɛ n t͡sʰ ɔ l ɛ ɾ
հոհենցոլերն	h ɔ h ɛ n t͡sʰ ɔ l ɛ ɾ n
հող	h ɔ ʁ
հողագայլ	h ɔ ʁ ɑ ɡ ɑ j l
հողակոշտ	h ɔ ʁ ɑ k ɔ ʃ t
հողանցում	h ɔ ʁ ɑ n t͡sʰ u m
հողդողդ	h ɔ ʁ d ɔ ʁ d
հողդողդել	h ɔ ʁ d ɔ ʁ d ɛ l
հողեղեն	h ɔ ʁ ɛ ʁ ɛ n
հողմ	h ɔ ʁ m
հոմանիշ	h ɔ m ɑ n i ʃ
հոմերոս	h ɔ m ɛ ɾ ɔ s
հոմոֆոբիա	h ɔ m ɔ f ɔ b j ɑ
հոմս	h ɔ m s
հոյակապ	h ɔ j ɑ k ɑ p
հոյակառույց	h ɔ j ɑ k ɑ r u j t͡sʰ
հոյակերտ	h ɔ j ɑ k ɛ ɾ t
հոյաշեն	h ɔ j ɑ ʃ ɛ n
հոն	h ɔ n
հոնդուրաս	h ɔ n d u ɾ ɑ s
հոնկոնգ	h ɔ ŋ k ɔ ŋ ɡ
հոնոլուլու	h ɔ n ɔ l u l u
հոնորիոս	h ɔ n ɔ ɾ i ɔ s
հոնսյու	h ɔ n s j u
հոնք	h ɔ ŋ kʰ
հոշոտել	h ɔ ʃ ɔ t ɛ l
հոուգանգ	h ɔ u ɡ ɑ ŋ ɡ
հոպար	h ɔ p ɑ ɾ
հոպնակ	h ɔ p n ɑ k
հոպոպ	h ɔ p ɔ p
հոռետես	h ɔ r ɛ t ɛ s
հոռի	h ɔ r i
հոռովել	h ɔ r ɔ v ɛ l
հոս	h ɔ s
հոսանուտ	h ɔ s ɑ n u t
հոսանք	h ɔ s ɑ ŋ kʰ
հոսնական	h ɔ s n ɑ k ɑ n
հոսք	h ɔ s kʰ
հով	h ɔ v
հովազ	h ɔ v ɑ z
հովանի	h ɔ v ɑ n i
հովանուտ	h ɔ v ɑ n u t
հովիկ	h ɔ v i k
հովիտ	h ɔ v i t
հովհաննես	h ɔ v h ɑ nː ɛ s
հովհաննես	h ɔ v ɑ n ɛ s
հովհաննիսյան	h ɔ v h ɑ nː i s j ɑ n
հովհաննիսյան	h ɔ v ɑ n i s j ɑ n
հովհար	h ɔ v h ɑ ɾ
հովնան	h ɔ v n ɑ n
հովո	h ɔ v ɔ
հովսեփ	h ɔ f s ɛ pʰ
հոտ	h ɔ t
հոտաղ	h ɔ t ɑ ʁ
հոտել	h ɔ t ɛ l
հոտոտել	h ɔ t ɔ t ɛ l
հոր	h ɔ ɾ
հորա	h ɔ ɾ ɑ
հորան	h ɔ ɾ ɑ n
հորանջ	h ɔ ɾ ɑ n d͡ʒ
հորանջել	h ɔ ɾ ɑ n d͡ʒ ɛ l
հորացիոս	h ɔ ɾ ɑ t͡sʰ i ɔ s
հորաքույր	h ɔ ɾ ɑ kʰ u j ɾ
հորաքրոջ	h ɔ ɾ ɑ kʰ ə ɾ ɔ d͡ʒ
հորաքրոջ	h ɔ ɾ ɑ kʰ ə ɾ ɔ t͡ʃʰ
հորդ	h ɔ ɾ d
հորդանան	h ɔ ɾ d ɑ n ɑ n
հորդել	h ɔ ɾ d ɛ l
հորդորակ	h ɔ ɾ d ɔ ɾ ɑ k
հորդորանք	h ɔ ɾ d ɔ ɾ ɑ ŋ kʰ
հորդորել	h ɔ ɾ d ɔ ɾ ɛ l
հորդորեցուցիչ	h ɔ ɾ d ɔ ɾ ɛ t͡sʰ u t͡sʰ i t͡ʃʰ
հորդորիչ	h ɔ ɾ d ɔ ɾ i t͡ʃʰ
հորեղբայր	h ɔ ɾ ɛ χ p ɑ j ɾ
հորեղբոր	h ɔ ɾ ɛ χ p ɔ ɾ
հորթ	h ɔ ɾ tʰ
հորթուկ	h ɔ ɾ tʰ u k
հորիզոն	h ɔ ɾ i z ɔ n
հորիզոնական	h ɔ ɾ i z ɔ n ɑ k ɑ n
հորողբեր	h ɔ ɾ ɔ χ p ɛ ɾ
հորողբեր	h ɔ ɾ ɔ χ pʰ ɛ ɾ
հորովել	h ɔ ɾ ɔ v ɛ l
հորու	h ɔ ɾ u
հորջորջ	h ɔ ɾ d͡ʒ ɔ ɾ d͡ʒ
հորջորջանք	h ɔ ɾ d͡ʒ ɔ ɾ d͡ʒ ɑ ŋ kʰ
հորջորջել	h ɔ ɾ d͡ʒ ɔ ɾ d͡ʒ ɛ l
հորս	h ɔ ɾ s
հորսայս	h ɔ ɾ s ɑ j s
հորքուր	h ɔ ɾ kʰ u ɾ
հու	h u
հուանհե	h u ɑ n h ɛ
հուբեյ	h u b ɛ j
հուգենոտ	h u ɡ ɛ n ɔ t
հուդա	h u d ɑ
հուդայականություն	h u d ɑ j ɑ k ɑ n u tʰ j u n
հուդզոն	h u d z ɔ n
հուդիթ	h u d i tʰ
հուզել	h u z ɛ l
հուզիչ	h u z i t͡ʃʰ
հուզող	h u z ɔ ʁ
հուժկու	h u ʃ k u
հուժկու	h u ʒ k u
հուլիս	h u l i s
հուլիսյան	h u l i s j ɑ n
հուլունք	h u l u ŋ kʰ
հում	h u m
հումանիզմ	h u m ɑ n i z m
հումանիստ	h u m ɑ n i s t
հումանիտար	h u m ɑ n i t ɑ ɾ
հումոր	h u m ɔ ɾ
հումուս	h u m u s
հումք	h u m kʰ
հույզ	h u j z
հույլ	h u j l
հույլք	h u j l kʰ
հույն	h u j n
հույս	h u j s
հույր	h u j ɾ
հուն	h u n
հունական	h u n ɑ k ɑ n
հունան	h u n ɑ n
հունաստան	h u n ɑ s t ɑ n
հունավոր	h u n ɑ v ɔ ɾ
հունարեն	h u n ɑ ɾ ɛ n
հունգարացի	h u ŋ ɡ ɑ ɾ ɑ t͡sʰ i
հունգարերեն	h u ŋ ɡ ɑ ɾ ɛ ɾ ɛ n
հունգարիա	h u ŋ ɡ ɑ ɾ j ɑ
հունդ	h u n d
հուներեն	h u n ɛ ɾ ɛ n
հունիս	h u n i s
հունիսյան	h u n i s j ɑ n
հունձ	h u n d͡z
հունվար	h u n v ɑ ɾ
հունվարյան	h u n v ɑ ɾ j ɑ n
հունքուբունք	h u ŋ kʰ u b u ŋ kʰ
հուշ	h u ʃ
հուշանվեր	h u ʃ ɑ n ə v ɛ ɾ
հուշարձան	h u ʃ ɑ ɾ d͡z ɑ n
հուշեր	h u ʃ ɛ ɾ
հուռ	h u r
հուռթանալ	h u r tʰ ɑ n ɑ l
հուռթի	h u r tʰ i
հուռութ	h u r u tʰ
հուռութք	h u r u tʰ kʰ
հուսադրել	h u s ɑ d ɾ ɛ l
հուսալի	h u s ɑ l i
հուսալքել	h u s ɑ l ə kʰ ɛ l
հուսալքություն	h u s ɑ l ə kʰ u tʰ j u n
հուսալքված	h u s ɑ l ə kʰ v ɑ t͡s
հուսակորույս	h u s ɑ k ɔ ɾ u j s
հուսակտուր	h u s ɑ k ə t u ɾ
հուսահատ	h u s ɑ h ɑ t
հուսահատեցնել	h u s ɑ h ɑ t ɛ t͡sʰ n ɛ l
հուսահատեցնող	h u s ɑ h ɑ t ɛ t͡sʰ n ɔ ʁ
հուսահատություն	h u s ɑ h ɑ t u tʰ j u n
հուսահատվել	h u s ɑ h ɑ t v ɛ l
հուսիկ	h u s i k
հուր	h u ɾ
հուրոն	h u ɾ ɔ n
հպատակվել	h ə p ɑ t ɑ k v ɛ l
հպարտ	h ə p ɑ ɾ t
