ͷ	t͡sʼ
ἀγαπησοίσθην	a ɣ a p i s i s θ i n
ἀγαπησοίσθην	a ɣ a p i s y s θ i n
ἀγαπησοίτην	a ɡ a p e s y t e n
ἀγαπησοίτην	a ɡ a p ɛː s ǒ i̯ t ɛː n
ἀγαπησοίτην	a ɣ a p i s i t i n
ἀγαπησοίτην	a ɣ a p i s y t i n
ἀγαπησομένη	a ɡ a p e s o m ɛ n e
ἀγαπησομένη	a ɡ a p ɛː s o m é n ɛː
ἀγαπησομένη	a ɣ a p i s o m e n i
ἀγαπησόμεθα	a ɡ a p e s o m ɛ tʰ a
ἀγαπησόμεθα	a ɡ a p ɛː s ó m e tʰ a
ἀγαπησόμεθα	a ɣ a p i s o m e θ a
ἀγαπησόμενον	a ɡ a p e s o m ɛ n o n
ἀγαπησόμενον	a ɡ a p ɛː s ó m e n o n
ἀγαπησόμενον	a ɣ a p i s o m e n o n
ἀγαπησόμενοσ	a ɡ a p e s o m ɛ n o s
ἀγαπησόμενοσ	a ɡ a p ɛː s ó m e n o s
ἀγαπησόμενοσ	a ɣ a p i s o m e n o s
ἀγαπησώμεθα	a ɡ a p e s o m ɛ tʰ a
ἀγαπησώμεθα	a ɡ a p ɛː s ɔ̌ː m e tʰ a
ἀγαπησώμεθα	a ɣ a p i s o m e θ a
ἀγαπητόσ	a ɡ a p e t o s
ἀγαπητόσ	a ɡ a p ɛː t ó s
ἀγαπητόσ	a ɣ a p i t o s
ἀγαπῶ	a ɡ a p o
ἀγαπῶ	a ɡ a p ɔ̂ː
ἀγαπῶ	a ɣ a p o
ἀγαπῶι	a ɡ a p o
ἀγαπῶι	a ɡ a p ɔ̂ː i̯
ἀγαπῶι	a ɣ a p o
ἀγαπῶιεν	a ɡ a p o ɛ n
ἀγαπῶιεν	a ɡ a p ɔ̂ː i̯ e n
ἀγαπῶιεν	a ɣ a p o e n
ἀγαπῶιμεν	a ɡ a p o m ɛ n
ἀγαπῶιμεν	a ɡ a p ɔ̂ː i̯ m e n
ἀγαπῶιμεν	a ɣ a p o m e n
ἀγαπῶιμι	a ɡ a p o m i
ἀγαπῶιμι	a ɡ a p ɔ̂ː i̯ m i
ἀγαπῶιμι	a ɣ a p o m i
ἀγαπῶιντο	a ɡ a p o n t o
ἀγαπῶιντο	a ɡ a p ɔ̂ː i̯ n t o
ἀγαπῶιντο	a ɣ a p o n d o
ἀγαπῶιντο	a ɣ a p o n t o
ἀγαπῶιο	a ɡ a p o o
ἀγαπῶιο	a ɡ a p ɔ̂ː i̯ o
ἀγαπῶιο	a ɣ a p o o
ἀγαπῶισ	a ɡ a p o s
ἀγαπῶισ	a ɡ a p ɔ̂ː i̯ s
ἀγαπῶισ	a ɣ a p o s
ἀγαπῶισθε	a ɡ a p o s tʰ ɛ
ἀγαπῶισθε	a ɡ a p ɔ̂ː i̯ s tʰ e
ἀγαπῶισθε	a ɣ a p o s θ e
ἀγαπῶισθον	a ɡ a p o s tʰ o n
ἀγαπῶισθον	a ɡ a p ɔ̂ː i̯ s tʰ o n
ἀγαπῶισθον	a ɣ a p o s θ o n
ἀγαπῶιτε	a ɡ a p o t ɛ
ἀγαπῶιτε	a ɡ a p ɔ̂ː i̯ t e
ἀγαπῶιτε	a ɣ a p o t e
ἀγαπῶιτο	a ɡ a p o t o
ἀγαπῶιτο	a ɡ a p ɔ̂ː i̯ t o
ἀγαπῶιτο	a ɣ a p o t o
ἀγαπῶιτον	a ɡ a p o t o n
ἀγαπῶιτον	a ɡ a p ɔ̂ː i̯ t o n
ἀγαπῶιτον	a ɣ a p o t o n
ἀγαπῶμαι	a ɡ a p o m ɛ
ἀγαπῶμαι	a ɡ a p ɔ̂ː m a i̯
ἀγαπῶμαι	a ɣ a p o m e
ἀγαπῶμαι	a ɣ a p o m ɛ
ἀγαπῶμεν	a ɡ a p o m ɛ n
ἀγαπῶμεν	a ɡ a p ɔ̂ː m e n
ἀγαπῶμεν	a ɣ a p o m e n
ἀγαπῶν	a ɡ a p o n
ἀγαπῶν	a ɡ a p ɔ̂ː n
ἀγαπῶν	a ɣ a p o n
ἀγαπῶνται	a ɡ a p o n t ɛ
ἀγαπῶνται	a ɡ a p ɔ̂ː n t a i̯
ἀγαπῶνται	a ɣ a p o n d e
ἀγαπῶνται	a ɣ a p o n t e
ἀγαπῶνται	a ɣ a p o n t ɛ
ἀγαπῶσα	a ɡ a p o s a
ἀγαπῶσα	a ɡ a p ɔ̂ː s a
ἀγαπῶσα	a ɣ a p o s a
ἀγαπῶσι	a ɡ a p o s i
ἀγαπῶσι	a ɡ a p ɔ̂ː s i
ἀγαπῶσι	a ɣ a p o s i
ἀγαπωιήτην	a ɡ a p o e t e n
ἀγαπωιήτην	a ɡ a p ɔː i̯ ɛ̌ː t ɛː n
ἀγαπωιήτην	a ɣ a p o i t i n
ἀγαπωμένη	a ɡ a p o m ɛ n e
ἀγαπωμένη	a ɡ a p ɔː m é n ɛː
ἀγαπωμένη	a ɣ a p o m e n i
ἀγαπώιη	a ɡ a p o e
ἀγαπώιη	a ɡ a p ɔ̌ː i̯ ɛː
ἀγαπώιη	a ɣ a p o i
ἀγαπώιημεν	a ɡ a p o e m ɛ n
ἀγαπώιημεν	a ɡ a p ɔ̌ː i̯ ɛː m e n
ἀγαπώιημεν	a ɣ a p o i m e n
ἀγαπώιην	a ɡ a p o e n
ἀγαπώιην	a ɡ a p ɔ̌ː i̯ ɛː n
ἀγαπώιην	a ɣ a p o i n
ἀγαπώιησ	a ɡ a p o e s
ἀγαπώιησ	a ɡ a p ɔ̌ː i̯ ɛː s
ἀγαπώιησ	a ɣ a p o i s
ἀγαπώιησαν	a ɡ a p o e s a n
ἀγαπώιησαν	a ɡ a p ɔ̌ː i̯ ɛː s a n
ἀγαπώιησαν	a ɣ a p o i s a n
ἀγαπώιητε	a ɡ a p o e t ɛ
ἀγαπώιητε	a ɡ a p ɔ̌ː i̯ ɛː t e
ἀγαπώιητε	a ɣ a p o i t e
ἀγαπώιητον	a ɡ a p o e t o n
ἀγαπώιητον	a ɡ a p ɔ̌ː i̯ ɛː t o n
ἀγαπώιητον	a ɣ a p o i t o n
ἀγαπώιμεθα	a ɡ a p o m ɛ tʰ a
ἀγαπώιμεθα	a ɡ a p ɔ̌ː i̯ m e tʰ a
ἀγαπώιμεθα	a ɣ a p o m e θ a
ἀγαπώιμην	a ɡ a p o m e n
ἀγαπώιμην	a ɡ a p ɔ̌ː i̯ m ɛː n
ἀγαπώιμην	a ɣ a p o m i n
ἀγαπώισθην	a ɡ a p o s tʰ e n
ἀγαπώισθην	a ɡ a p ɔ̌ː i̯ s tʰ ɛː n
ἀγαπώισθην	a ɣ a p o s θ i n
ἀγαπώιτην	a ɡ a p o t e n
ἀγαπώιτην	a ɡ a p ɔ̌ː i̯ t ɛː n
ἀγαπώιτην	a ɣ a p o t i n
ἀγαπώμεθα	a ɡ a p o m ɛ tʰ a
ἀγαπώμεθα	a ɡ a p ɔ̌ː m e tʰ a
ἀγαπώμεθα	a ɣ a p o m e θ a
ἀγαπώμενον	a ɡ a p o m ɛ n o n
ἀγαπώμενον	a ɡ a p ɔ̌ː m e n o n
ἀγαπώμενον	a ɣ a p o m e n o n
ἀγαπώμενοσ	a ɡ a p o m ɛ n o s
ἀγαπώμενοσ	a ɡ a p ɔ̌ː m e n o s
ἀγαπώμενοσ	a ɣ a p o m e n o s
ἀγαπώντων	a ɡ a p o n t o n
ἀγαπώντων	a ɡ a p ɔ̌ː n t ɔː n
ἀγαπώντων	a ɣ a p o n d o n
ἀγαπώντων	a ɣ a p o n t o n
ἀγαρικόν	a ɡ a r i k o n
ἀγαρικόν	a ɡ a r i k ó n
ἀγαρικόν	a ɣ a r i k o n
ἀγασίασ	a ɡ a s i a s
ἀγασίασ	a ɡ a s í aː s
ἀγασίασ	a ɣ a s i a s
ἀγασσάμενοι	a ɡ a s s a m ɛ n y
ἀγασσάμενοι	a ɡ a s s á m e n o i̯
ἀγασσάμενοι	a ɣ a s a m e n i
ἀγασσάμενοι	a ɣ a s s a m e n y
ἀγασσάμενοσ	a ɡ a s s a m ɛ n o s
ἀγασσάμενοσ	a ɡ a s s á m e n o s
ἀγασσάμενοσ	a ɣ a s a m e n o s
ἀγασσάμενοσ	a ɣ a s s a m e n o s
ἀγαυοί	a ɡ a u̯ ǒ i̯
ἀγαυοί	a ɡ a w y
ἀγαυοί	a ɣ a v i
ἀγαυοί	a ɣ a v y
ἀγαυοί	a ɣ a β y
ἀγαυοῦ	a ɡ a u̯ ôː
ἀγαυοῦ	a ɡ a w u
ἀγαυοῦ	a ɣ a v u
ἀγαυοῦ	a ɣ a β u
ἀγαυόσ	a ɡ a u̯ ó s
ἀγαυόσ	a ɡ a w o s
ἀγαυόσ	a ɣ a v o s
ἀγαυόσ	a ɣ a β o s
ἀγαύη	a ɡ a w e
ἀγαύη	a ɡ ǎ u̯ ɛː
ἀγαύη	a ɣ a v i
ἀγαύη	a ɣ a β i
ἀγγάρευε	a ŋ ɡ a r e v e
ἀγγάρευε	a ŋ ɡ a r e w ɛ
ἀγγάρευε	a ŋ ɡ a r e β e
ἀγγάρευσαι	a ŋ ɡ a r e f s e
ἀγγάρευσαι	a ŋ ɡ a r e ɸ s ɛ
ἀγγάρευσαι	a ŋ ɡ a r e ʍ s ɛ
ἀγγάρευσον	a ŋ ɡ a r e f s o n
ἀγγάρευσον	a ŋ ɡ a r e ɸ s o n
ἀγγάρευσον	a ŋ ɡ a r e ʍ s o n
ἀγγέλεσθε	a ŋ ɡ e l e s θ e
ἀγγέλεσθε	a ŋ ɡ é l e s tʰ e
ἀγγέλεσθε	a ŋ ɡ ɛ l ɛ s tʰ ɛ
ἀγγέλεσθε	a ɲ ɟ e l e s θ e
ἀγγέλεσθον	a ŋ ɡ e l e s θ o n
ἀγγέλεσθον	a ŋ ɡ é l e s tʰ o n
ἀγγέλεσθον	a ŋ ɡ ɛ l ɛ s tʰ o n
ἀγγέλεσθον	a ɲ ɟ e l e s θ o n
ἀγγέλεσκε	a ŋ ɡ e l e s k e
ἀγγέλεσκε	a ŋ ɡ é l e s k e
ἀγγέλεσκε	a ŋ ɡ ɛ l ɛ s k ɛ
ἀγγέλεσκε	a ɲ ɟ e l e s c e
ἀγγέλεσκεσ	a ŋ ɡ e l e s k e s
ἀγγέλεσκεσ	a ŋ ɡ é l e s k e s
ἀγγέλεσκεσ	a ŋ ɡ ɛ l ɛ s k ɛ s
ἀγγέλεσκεσ	a ɲ ɟ e l e s c e s
ἀγγέλεσκον	a ŋ ɡ e l e s k o n
ἀγγέλεσκον	a ŋ ɡ é l e s k o n
ἀγγέλεσκον	a ŋ ɡ ɛ l ɛ s k o n
ἀγγέλεσκον	a ɲ ɟ e l e s k o n
ἀγγέλετε	a ŋ ɡ e l e t e
ἀγγέλετε	a ŋ ɡ é l e t e
ἀγγέλετε	a ŋ ɡ ɛ l ɛ t ɛ
ἀγγέλετε	a ɲ ɟ e l e t e
ἀγγέλετον	a ŋ ɡ e l e t o n
ἀγγέλετον	a ŋ ɡ é l e t o n
ἀγγέλετον	a ŋ ɡ ɛ l ɛ t o n
ἀγγέλετον	a ɲ ɟ e l e t o n
ἀγγέληθι	a ŋ ɡ e l i θ i
ἀγγέληθι	a ŋ ɡ é l ɛː tʰ i
ἀγγέληθι	a ŋ ɡ ɛ l e tʰ i
ἀγγέληθι	a ɲ ɟ e l i θ i
ἀγγέληι	a ŋ ɡ e l i
ἀγγέληι	a ŋ ɡ é l ɛː i̯
ἀγγέληι	a ŋ ɡ ɛ l e
ἀγγέληι	a ɲ ɟ e l i
ἀγγέληισ	a ŋ ɡ e l i s
ἀγγέληισ	a ŋ ɡ é l ɛː i̯ s
ἀγγέληισ	a ŋ ɡ ɛ l e s
ἀγγέληισ	a ɲ ɟ e l i s
ἀγγέλησθε	a ŋ ɡ e l i s θ e
ἀγγέλησθε	a ŋ ɡ é l ɛː s tʰ e
ἀγγέλησθε	a ŋ ɡ ɛ l e s tʰ ɛ
ἀγγέλησθε	a ɲ ɟ e l i s θ e
ἀγγέλησθον	a ŋ ɡ e l i s θ o n
ἀγγέλησθον	a ŋ ɡ é l ɛː s tʰ o n
ἀγγέλησθον	a ŋ ɡ ɛ l e s tʰ o n
ἀγγέλησθον	a ɲ ɟ e l i s θ o n
ἀγγέληται	a ŋ ɡ e l i t ɛ
ἀγγέληται	a ŋ ɡ é l ɛː t a i̯
ἀγγέληται	a ŋ ɡ ɛ l e t ɛ
ἀγγέληται	a ɲ ɟ e l i t e
ἀγγέλητε	a ŋ ɡ e l i t e
ἀγγέλητε	a ŋ ɡ é l ɛː t e
ἀγγέλητε	a ŋ ɡ ɛ l e t ɛ
ἀγγέλητε	a ɲ ɟ e l i t e
ἀγγέλητον	a ŋ ɡ e l i t o n
ἀγγέλητον	a ŋ ɡ é l ɛː t o n
ἀγγέλητον	a ŋ ɡ ɛ l e t o n
ἀγγέλητον	a ɲ ɟ e l i t o n
ἀγγέλθειεν	a ŋ ɡ e l θ i e n
ἀγγέλθειεν	a ŋ ɡ é l tʰ eː e n
ἀγγέλθειεν	a ŋ ɡ ɛ l tʰ i ɛ n
ἀγγέλθειεν	a ɲ ɟ e l θ i e n
ἀγγέλθητε	a ŋ ɡ e l θ i t e
ἀγγέλθητε	a ŋ ɡ é l tʰ ɛː t e
ἀγγέλθητε	a ŋ ɡ ɛ l tʰ e t ɛ
ἀγγέλθητε	a ɲ ɟ e l θ i t e
ἀγγέλθητι	a ŋ ɡ e l θ i t i
ἀγγέλθητι	a ŋ ɡ é l tʰ ɛː t i
ἀγγέλθητι	a ŋ ɡ ɛ l tʰ e t i
ἀγγέλθητι	a ɲ ɟ e l θ i t i
ἀγγέλθητον	a ŋ ɡ e l θ i t o n
ἀγγέλθητον	a ŋ ɡ é l tʰ ɛː t o n
ἀγγέλθητον	a ŋ ɡ ɛ l tʰ e t o n
ἀγγέλθητον	a ɲ ɟ e l θ i t o n
ἀγγέλλει	a ŋ ɡ e l l i
ἀγγέλλει	a ŋ ɡ é l l eː
ἀγγέλλει	a ŋ ɡ ɛ l l i
ἀγγέλλει	a ɲ ɟ e l i
ἀγγέλλει	a ɲ ɟ e l l i
ἀγγέλλειν	a ŋ ɡ e l l i n
ἀγγέλλειν	a ŋ ɡ é l l eː n
ἀγγέλλειν	a ŋ ɡ ɛ l l i n
ἀγγέλλειν	a ɲ ɟ e l i n
ἀγγέλλειν	a ɲ ɟ e l l i n
ἀγγέλλεισ	a ŋ ɡ e l l i s
ἀγγέλλεισ	a ŋ ɡ é l l eː s
ἀγγέλλεισ	a ŋ ɡ ɛ l l i s
ἀγγέλλεισ	a ɲ ɟ e l i s
ἀγγέλλεισ	a ɲ ɟ e l l i s
ἀγγέλλεσθαι	a ŋ ɡ e l l e s θ ɛ
ἀγγέλλεσθαι	a ŋ ɡ é l l e s tʰ a i̯
ἀγγέλλεσθαι	a ŋ ɡ ɛ l l ɛ s tʰ ɛ
ἀγγέλλεσθαι	a ɲ ɟ e l e s θ e
ἀγγέλλεσθαι	a ɲ ɟ e l l e s θ e
ἀγγέλλεσθε	a ŋ ɡ e l l e s θ e
ἀγγέλλεσθε	a ŋ ɡ é l l e s tʰ e
ἀγγέλλεσθε	a ŋ ɡ ɛ l l ɛ s tʰ ɛ
ἀγγέλλεσθε	a ɲ ɟ e l e s θ e
ἀγγέλλεσθε	a ɲ ɟ e l l e s θ e
ἀγγέλλεσθον	a ŋ ɡ e l l e s θ o n
ἀγγέλλεσθον	a ŋ ɡ é l l e s tʰ o n
ἀγγέλλεσθον	a ŋ ɡ ɛ l l ɛ s tʰ o n
ἀγγέλλεσθον	a ɲ ɟ e l e s θ o n
ἀγγέλλεσθον	a ɲ ɟ e l l e s θ o n
ἀγγέλλεται	a ŋ ɡ e l l e t ɛ
ἀγγέλλεται	a ŋ ɡ é l l e t a i̯
ἀγγέλλεται	a ŋ ɡ ɛ l l ɛ t ɛ
ἀγγέλλεται	a ɲ ɟ e l e t e
ἀγγέλλεται	a ɲ ɟ e l l e t e
ἀγγέλλετε	a ŋ ɡ e l l e t e
ἀγγέλλετε	a ŋ ɡ é l l e t e
ἀγγέλλετε	a ŋ ɡ ɛ l l ɛ t ɛ
ἀγγέλλετε	a ɲ ɟ e l e t e
ἀγγέλλετε	a ɲ ɟ e l l e t e
ἀγγέλλετον	a ŋ ɡ e l l e t o n
ἀγγέλλετον	a ŋ ɡ é l l e t o n
ἀγγέλλετον	a ŋ ɡ ɛ l l ɛ t o n
ἀγγέλλετον	a ɲ ɟ e l e t o n
ἀγγέλλετον	a ɲ ɟ e l l e t o n
ἀγγέλληι	a ŋ ɡ e l l i
ἀγγέλληι	a ŋ ɡ é l l ɛː i̯
ἀγγέλληι	a ŋ ɡ ɛ l l e
ἀγγέλληι	a ɲ ɟ e l i
ἀγγέλληι	a ɲ ɟ e l l i
ἀγγέλληισ	a ŋ ɡ e l l i s
ἀγγέλληισ	a ŋ ɡ é l l ɛː i̯ s
ἀγγέλληισ	a ŋ ɡ ɛ l l e s
ἀγγέλληισ	a ɲ ɟ e l i s
ἀγγέλληισ	a ɲ ɟ e l l i s
ἀγγέλλησθε	a ŋ ɡ e l l i s θ e
ἀγγέλλησθε	a ŋ ɡ é l l ɛː s tʰ e
ἀγγέλλησθε	a ŋ ɡ ɛ l l e s tʰ ɛ
ἀγγέλλησθε	a ɲ ɟ e l i s θ e
ἀγγέλλησθε	a ɲ ɟ e l l i s θ e
ἀγγέλλησθον	a ŋ ɡ e l l i s θ o n
ἀγγέλλησθον	a ŋ ɡ é l l ɛː s tʰ o n
ἀγγέλλησθον	a ŋ ɡ ɛ l l e s tʰ o n
ἀγγέλλησθον	a ɲ ɟ e l i s θ o n
ἀγγέλλησθον	a ɲ ɟ e l l i s θ o n
ἀγγέλληται	a ŋ ɡ e l l i t ɛ
ἀγγέλληται	a ŋ ɡ é l l ɛː t a i̯
ἀγγέλληται	a ŋ ɡ ɛ l l e t ɛ
ἀγγέλληται	a ɲ ɟ e l i t e
ἀγγέλληται	a ɲ ɟ e l l i t e
ἀγγέλλητε	a ŋ ɡ e l l i t e
ἀγγέλλητε	a ŋ ɡ é l l ɛː t e
ἀγγέλλητε	a ŋ ɡ ɛ l l e t ɛ
ἀγγέλλητε	a ɲ ɟ e l i t e
ἀγγέλλητε	a ɲ ɟ e l l i t e
ἀγγέλλητον	a ŋ ɡ e l l i t o n
ἀγγέλλητον	a ŋ ɡ é l l ɛː t o n
ἀγγέλλητον	a ŋ ɡ ɛ l l e t o n
ἀγγέλλητον	a ɲ ɟ e l i t o n
ἀγγέλλητον	a ɲ ɟ e l l i t o n
ἀγγέλλοι	a ŋ ɡ e l l y
ἀγγέλλοι	a ŋ ɡ é l l o i̯
ἀγγέλλοι	a ŋ ɡ ɛ l l y
ἀγγέλλοι	a ɲ ɟ e l i
ἀγγέλλοι	a ɲ ɟ e l l y
ἀγγέλλοιεν	a ŋ ɡ e l l y e n
ἀγγέλλοιεν	a ŋ ɡ é l l o i̯ e n
ἀγγέλλοιεν	a ŋ ɡ ɛ l l y ɛ n
ἀγγέλλοιεν	a ɲ ɟ e l i e n
ἀγγέλλοιεν	a ɲ ɟ e l l y e n
ἀγγέλλοιμεν	a ŋ ɡ e l l y m e n
ἀγγέλλοιμεν	a ŋ ɡ é l l o i̯ m e n
ἀγγέλλοιμεν	a ŋ ɡ ɛ l l y m ɛ n
ἀγγέλλοιμεν	a ɲ ɟ e l i m e n
ἀγγέλλοιμεν	a ɲ ɟ e l l y m e n
ἀγγέλλοιμι	a ŋ ɡ e l l y m i
ἀγγέλλοιμι	a ŋ ɡ é l l o i̯ m i
ἀγγέλλοιμι	a ŋ ɡ ɛ l l y m i
ἀγγέλλοιμι	a ɲ ɟ e l i m i
ἀγγέλλοιμι	a ɲ ɟ e l l y m i
ἀγγέλλοιντο	a ŋ ɡ e l l y n t o
ἀγγέλλοιντο	a ŋ ɡ é l l o i̯ n t o
ἀγγέλλοιντο	a ŋ ɡ ɛ l l y n t o
ἀγγέλλοιντο	a ɲ ɟ e l i n d o
ἀγγέλλοιντο	a ɲ ɟ e l l y n t o
ἀγγέλλοιο	a ŋ ɡ e l l y o
ἀγγέλλοιο	a ŋ ɡ é l l o i̯ o
ἀγγέλλοιο	a ŋ ɡ ɛ l l y o
ἀγγέλλοιο	a ɲ ɟ e l i o
ἀγγέλλοιο	a ɲ ɟ e l l y o
ἀγγέλλοισ	a ŋ ɡ e l l y s
ἀγγέλλοισ	a ŋ ɡ é l l o i̯ s
ἀγγέλλοισ	a ŋ ɡ ɛ l l y s
ἀγγέλλοισ	a ɲ ɟ e l i s
ἀγγέλλοισ	a ɲ ɟ e l l y s
ἀγγέλλοισθε	a ŋ ɡ e l l y s θ e
ἀγγέλλοισθε	a ŋ ɡ é l l o i̯ s tʰ e
ἀγγέλλοισθε	a ŋ ɡ ɛ l l y s tʰ ɛ
ἀγγέλλοισθε	a ɲ ɟ e l i s θ e
ἀγγέλλοισθε	a ɲ ɟ e l l y s θ e
ἀγγέλλοισθον	a ŋ ɡ e l l y s θ o n
ἀγγέλλοισθον	a ŋ ɡ é l l o i̯ s tʰ o n
ἀγγέλλοισθον	a ŋ ɡ ɛ l l y s tʰ o n
ἀγγέλλοισθον	a ɲ ɟ e l i s θ o n
ἀγγέλλοισθον	a ɲ ɟ e l l y s θ o n
ἀγγέλλοιτε	a ŋ ɡ e l l y t e
ἀγγέλλοιτε	a ŋ ɡ é l l o i̯ t e
ἀγγέλλοιτε	a ŋ ɡ ɛ l l y t ɛ
ἀγγέλλοιτε	a ɲ ɟ e l i t e
ἀγγέλλοιτε	a ɲ ɟ e l l y t e
ἀγγέλλοιτο	a ŋ ɡ e l l y t o
ἀγγέλλοιτο	a ŋ ɡ é l l o i̯ t o
ἀγγέλλοιτο	a ŋ ɡ ɛ l l y t o
ἀγγέλλοιτο	a ɲ ɟ e l i t o
ἀγγέλλοιτο	a ɲ ɟ e l l y t o
ἀγγέλλοιτον	a ŋ ɡ e l l y t o n
ἀγγέλλοιτον	a ŋ ɡ é l l o i̯ t o n
ἀγγέλλοιτον	a ŋ ɡ ɛ l l y t o n
ἀγγέλλοιτον	a ɲ ɟ e l i t o n
ἀγγέλλοιτον	a ɲ ɟ e l l y t o n
ἀγγέλλομαι	a ŋ ɡ e l l o m ɛ
ἀγγέλλομαι	a ŋ ɡ é l l o m a i̯
ἀγγέλλομαι	a ŋ ɡ ɛ l l o m ɛ
ἀγγέλλομαι	a ɲ ɟ e l l o m e
ἀγγέλλομαι	a ɲ ɟ e l o m e
ἀγγέλλομεν	a ŋ ɡ e l l o m e n
ἀγγέλλομεν	a ŋ ɡ é l l o m e n
ἀγγέλλομεν	a ŋ ɡ ɛ l l o m ɛ n
ἀγγέλλομεν	a ɲ ɟ e l l o m e n
ἀγγέλλομεν	a ɲ ɟ e l o m e n
ἀγγέλλον	a ŋ ɡ e l l o n
ἀγγέλλον	a ŋ ɡ é l l o n
ἀγγέλλον	a ŋ ɡ ɛ l l o n
ἀγγέλλον	a ɲ ɟ e l l o n
ἀγγέλλον	a ɲ ɟ e l o n
ἀγγέλλονται	a ŋ ɡ e l l o n t ɛ
ἀγγέλλονται	a ŋ ɡ é l l o n t a i̯
ἀγγέλλονται	a ŋ ɡ ɛ l l o n t ɛ
ἀγγέλλονται	a ɲ ɟ e l l o n t e
ἀγγέλλονται	a ɲ ɟ e l o n d e
ἀγγέλλου	a ŋ ɡ e l l u
ἀγγέλλου	a ŋ ɡ é l l oː
ἀγγέλλου	a ŋ ɡ ɛ l l u
ἀγγέλλου	a ɲ ɟ e l l u
ἀγγέλλου	a ɲ ɟ e l u
ἀγγέλλουσα	a ŋ ɡ e l l u s a
ἀγγέλλουσα	a ŋ ɡ é l l oː s a
ἀγγέλλουσα	a ŋ ɡ ɛ l l u s a
ἀγγέλλουσα	a ɲ ɟ e l l u s a
ἀγγέλλουσα	a ɲ ɟ e l u s a
ἀγγέλλουσι	a ŋ ɡ e l l u s i
ἀγγέλλουσι	a ŋ ɡ é l l oː s i
ἀγγέλλουσι	a ŋ ɡ ɛ l l u s i
ἀγγέλλουσι	a ɲ ɟ e l l u s i
ἀγγέλλουσι	a ɲ ɟ e l u s i
ἀγγέλλω	a ŋ ɡ e l l o
ἀγγέλλω	a ŋ ɡ é l l ɔː
ἀγγέλλω	a ŋ ɡ ɛ l l o
ἀγγέλλω	a ɲ ɟ e l l o
ἀγγέλλω	a ɲ ɟ e l o
ἀγγέλλωμαι	a ŋ ɡ e l l o m ɛ
ἀγγέλλωμαι	a ŋ ɡ é l l ɔː m a i̯
ἀγγέλλωμαι	a ŋ ɡ ɛ l l o m ɛ
ἀγγέλλωμαι	a ɲ ɟ e l l o m e
ἀγγέλλωμαι	a ɲ ɟ e l o m e
ἀγγέλλωμεν	a ŋ ɡ e l l o m e n
ἀγγέλλωμεν	a ŋ ɡ é l l ɔː m e n
ἀγγέλλωμεν	a ŋ ɡ ɛ l l o m ɛ n
ἀγγέλλωμεν	a ɲ ɟ e l l o m e n
ἀγγέλλωμεν	a ɲ ɟ e l o m e n
ἀγγέλλων	a ŋ ɡ e l l o n
ἀγγέλλων	a ŋ ɡ é l l ɔː n
ἀγγέλλων	a ŋ ɡ ɛ l l o n
ἀγγέλλων	a ɲ ɟ e l l o n
ἀγγέλλων	a ɲ ɟ e l o n
ἀγγέλλωνται	a ŋ ɡ e l l o n t ɛ
ἀγγέλλωνται	a ŋ ɡ é l l ɔː n t a i̯
ἀγγέλλωνται	a ŋ ɡ ɛ l l o n t ɛ
ἀγγέλλωνται	a ɲ ɟ e l l o n t e
ἀγγέλλωνται	a ɲ ɟ e l o n d e
ἀγγέλλωσι	a ŋ ɡ e l l o s i
ἀγγέλλωσι	a ŋ ɡ é l l ɔː s i
ἀγγέλλωσι	a ŋ ɡ ɛ l l o s i
ἀγγέλλωσι	a ɲ ɟ e l l o s i
ἀγγέλλωσι	a ɲ ɟ e l o s i
ἀγγέλοι	a ŋ ɡ e l y
ἀγγέλοι	a ŋ ɡ é l o i̯
ἀγγέλοι	a ŋ ɡ ɛ l y
ἀγγέλοι	a ɲ ɟ e l i
ἀγγέλοι	a ɲ ɟ e l y
ἀγγέλοιεν	a ŋ ɡ e l y e n
ἀγγέλοιεν	a ŋ ɡ é l o i̯ e n
ἀγγέλοιεν	a ŋ ɡ ɛ l y ɛ n
ἀγγέλοιεν	a ɲ ɟ e l i e n
ἀγγέλοιεν	a ɲ ɟ e l y e n
ἀγγέλοιμεν	a ŋ ɡ e l y m e n
ἀγγέλοιμεν	a ŋ ɡ é l o i̯ m e n
ἀγγέλοιμεν	a ŋ ɡ ɛ l y m ɛ n
ἀγγέλοιμεν	a ɲ ɟ e l i m e n
ἀγγέλοιμεν	a ɲ ɟ e l y m e n
ἀγγέλοιμι	a ŋ ɡ e l y m i
ἀγγέλοιμι	a ŋ ɡ é l o i̯ m i
ἀγγέλοιμι	a ŋ ɡ ɛ l y m i
ἀγγέλοιμι	a ɲ ɟ e l i m i
ἀγγέλοιμι	a ɲ ɟ e l y m i
ἀγγέλοιντο	a ŋ ɡ e l y n t o
ἀγγέλοιντο	a ŋ ɡ é l o i̯ n t o
ἀγγέλοιντο	a ŋ ɡ ɛ l y n t o
ἀγγέλοιντο	a ɲ ɟ e l i n d o
ἀγγέλοιντο	a ɲ ɟ e l y n t o
ἀγγέλοιο	a ŋ ɡ e l y o
ἀγγέλοιο	a ŋ ɡ é l o i̯ o
ἀγγέλοιο	a ŋ ɡ ɛ l y o
ἀγγέλοιο	a ɲ ɟ e l i o
ἀγγέλοιο	a ɲ ɟ e l y o
ἀγγέλοισ	a ŋ ɡ e l y s
