't	t
iesst	i e̯ s t
iesszëmmer	i e̯ s t s e m e ʀ
iewescht	i e̯ v e ʃ t
igel	i ʁ e l
imaginatioun	i m a ʒ i n a t s j e u̯ n
improvisatioun	æ̃ p ʀ o v i z a t s j e u̯ n
indien	i n d i e n
indien	i n d j e n
infektioun	i n f æ k s j o ʊ̯ n
ingenieur	æ̃ ʒ e n j øː e ʀ
insekt	i n z æ k t
inspekter	i n s p æ k t ɐ
installateur	i n s t ɑ l ɑ t øː ɐ̯
int	i n t
ir	iː ʀ
iren	iː ʀ e n
iwwel	i v e l
iwwer	i v e ʀ
iwwerdreiwen	i v e ʀ d ʀ a i̯ v e n
iwwerdriwwen	i v e ʀ d ʀ i v e n
iwwerfall	i v e ʀ f a l
iwwerfloss	i v e ʀ f l o s
iwwergräifen	i v e ʀ ɡ ʀ æ i̯ f e n
iwwerhaapt	i v ɐ h aː p t
iwwerliewen	i v e ʀ l i e̯ v e n
iwwersetzen	i v e ʀ z æ t s e n
iwwerweisen	i v e ʀ v a i̯ z e n
jach	j a χ
jackett	ʒ a k æ t
jalousie	ʒ a l u z i
januar	j a n u aː ʀ
japanesch	j a p aː n e ʃ
jatt	ʒ a t
jauwen	ʒ a u̯ v e n
jeans	d ʒ iː n s
jee	j eː
jees	j eː s
jees	ʒ eː s
jeet	j eː t
jeet	ʒ eː t
jeeër	j eː e ʀ
jidder	j i d e ʀ
jidder	ʒ i d e ʀ
jiddereen	j i d ə ʀ eː n
jo	j o
joen	j o e n
joen	ʒ o e n
joer	j oː e ʀ
joer	ʒ oː e ʀ
joerdausend	j oː e ʀ d a u̯ z e n t
joerhonnert	j oː e ʀ h o n e ʀ t
joerzéngt	j oː e ʀ t s e ŋ t
joffer	j o f e ʀ
joffer	ʒ o f e ʀ
jomer	j oː m e ʀ
jomer	ʒ oː m e ʀ
jong	j o ŋ
jongfra	j o ŋ f ʀ aː
jongléieren	ʒ o ŋ ɡ l e i̯ ʀ e n
jonk	j o ŋ k
jorelaang	j oː ə̯ ʀ ə l aː ŋ
joreszäit	j oː ʀ e s t s æ i̯ t
jot	j oː t
jot	ʒ oː t
jubiléieren	j u b i l e i̯ ʀ e n
juck	j u k
judd	j u d
juegd	j u e̯ χ t
juegd	ʒ u e̯ χ t
jugendchômage	j uː ʁ e n t ʃ oː m aː ʃ
juli	j uː l i
juli	ʒ uː l i
juni	j uː n i
juni	ʒ uː n i
jupe	ʒ y p
jus	ʒ y
jäizen	j æ i̯ t s e n
jéimeren	j e i̯ m e ʀ e n
jéngelchen	j e ŋ e l χ e n
kaaft	k aː f t
kaarp	k aː ʀ p
kaart	k aː ʀ t
kabes	k aː b e s
kach	k a χ
kachen	k a χ e n
kachkéis	k a χ k e i̯ s
kachmaschinn	k a χ m a ʃ i n
kadaster	k a d a s t e ʀ
kaf	k aː f
kafen	k aː f e n
kaffi	k a f i
kal	k aː l
kalbass	k a l b a s
kalenner	k a l æ n e ʀ
kallef	k a l e f
kalleffleesch	k a l e f f l eː ʃ
kallek	k a l e k
kammoud	k a m e u̯ t
kamp	k a m p
kaméidi	k a m e i̯ d i
kaméil	k a m e i̯ l
kan	k aː n
kanal	k ɑ n aː l
kand	k a n t
kann	k a n
kanner	k ɑ n ɐ
kanns	k a n s
kanoun	k ɑ n ə ʊ̯ n
kant	k a n t
kanäl	k ɑ n æ l
kanéil	k ɑ n ɜ ɪ̯ l
kanéngchen	k a n e ŋ ɕ ə n
kap	k aː p
kapell	k ɑ p æ l
kapellen	k ɑ p æ l ə n
kapitel	k ɑ p i t ə l
kapp	k ɑ p
kappball	k ɑ b b ɑ l
kapsel	k ɑ p s ə l
kar	k aː ʀ
karaff	k ɑ ʁ ɑ f
karamell	k a ʀ a m æ l
karausch	k ɑ ʀ ɑ ʊ̯ ʃ
karo	k aː ʀ oː
kascht	k ɑ ʃ t
kaschten	k ɑ ʃ t ə n
kathoulesch	k a t ə ʊ l ə ʃ
katz	k ɑ t s
katzen	k ɑ t s ə n
kaul	k a u̯ l
kaum	k æː ʊ̯ m
kauzekapp	k ɑ ʊ̯ t͡s ə k ɑ p
kauzekäpp	k ɑ ʊ̯ t͡s ə k æ p
kaweechelchen	k aː v eː ɕ ə l ɕ ə n
kaweechelcher	k aː v eː ɕ ə l ɕ ɐ
kaz	k aː t s
kazen	k aː t s ə n
kazena	k aː t s ə n ʔ aː
keefs	k eː f s
keeft	k eː f t
keel	k eː l
keelt	k eː l t
keen	k eː n
keeser	k eː z ɐ
keess	k eː s
keim	k ɑ ɪ̯ m
keller	k æ l ɐ
keng	k æ ŋ
kengem	k æ ŋ ə m
kengen	k æ ŋ ə n
kenger	k æ ŋ ɐ
kennen	k æ n ə n
kess	k æ s
kessel	k æ s ə l
ketten	k æ t ə n
kichelchen	k i χ e l χ e n
kichen	k i χ e n
kierbiischt	k iː ə̯ b iː ʃ t
kierch	k iː ə̯ ɕ
kierchelidd	k iː ə̯ ɕ ə l i t
kieren	k i ə̯ ʀ ə n
kierfmécher	k i e̯ ʀ f m e χ e ʀ
kiermes	k iː ə̯ m ə s
kierper	k iː ə̯ p ɐ
kierwel	k iː ə̯ v ə l
kiewerlek	k i ə v ɐ l ə k
kiischt	k iː ʃ t
kill	k i l
killen	k i l ə n
kilometer	k i l o m eː t ɐ
kinnek	k i n e k
kinnekräich	k i n e ɡ ʁ æː ɪ̯ ɕ
klack	k l ɑ k
klaken	k l aː k ə n
klam	k l aː m
klamer	k l aː m ɐ
klamm	k l ɑ m
klammen	k l ɑ m ə n
klammt	k l ɑ m t
klang	k l ɑ ŋ
klapp	k l ɑ p
klappen	k l ɑ p ə n
klarinett	k l ɑ ʀ i n æ t
klass	k l ɑ s
klassesch	k l ɑ s ə ʃ
klatz	k l ɑ t s
kleed	k l eː t
kleeden	k l eː d ə n
kleesper	k l eː s p ɐ
kleng	k l æ ŋ
klengem	k l æ ŋ ə m
klengen	k l æ ŋ ə n
klenger	k l æ ŋ ɐ
klengt	k l æ ŋ t
klett	k l æ t
klicken	k l i k ə n
klierf	k l iː ə̯ f
kliewen	k l i ə̯ v ə n
klo	k l oː
kloen	k l oː ə n
kloer	k l o e ʀ
kloer	k l oː ʀ
klouschter	k l ə ʊ̯ ʃ t ɐ
kläckelchen	k l æ k ə l ɕ ə n
klécken	k l e k ə n
kléi	k l ɜ ɪ̯
kléng	k l e ŋ
kléngen	k l e ŋ ə n
klëmms	k l ə m s
klëmmt	k l ə m t
klëppel	k l ə p ə l
knachen	k n ɑ χ ə n
knall	k n ɑ l
knapp	k n ɑ p
knapps	k n ɑ p s
knascht	k n ɑ ʃ t
kniddel	k n i d ə l
kniecht	k n i ə̯ ɕ t
knieden	k n i ə̯ d ə n
kniet	k n i ə t
kniwweler	k n i v ə l ɐ
knoll	k n o l
knuet	k n u ə̯ t
knuewelek	k n u ə̯ v ə l ə k
knuppert	k n u p ɐ t
knäckebrout	k n æ k ə b ʀ ə ʊ̯ t
knäip	k n æː ɪ̯ p
knäpp	k n æ p
knäppchen	k n æ p ɕ ə n
knéchel	k n ə ɕ ə l
knécken	k n e k ə n
knéi	k n ɜ ɪ̯
knéischeif	k n ɜ ɪ̯ ʃ ɑ ɪ̯ f
knëppen	k n ə p ə n
koffer	k o f ɐ
kokosnoss	k o k o s n o s
kokosnëss	k o k o s n ə s
koll	k o l
kolleg	k o l eː k
kollegen	k o l eː ɡ ə n
kollen	k o l ə n
komesch	k oː m ə ʃ
komm	k o m
komma	k o m ɑ
kommen	k o m ə n
kommt	k o m t
kompetent	k o m p ə t æ n t
kompetitioun	k o m p e t i s j ə ʊ̯ n
komplett	k o m p l æ t
koméit	k o m ɜ ɪ̯ t
konfus	k o n f uː s
konn	k o n
konnt	k o n t
konnten	k o n t ə n
konnts	k o n t s
konscht	k o n ʃ t
konstellatioun	k o n s t æ l ɑ s j ə ʊ̯ n
konstitutioun	k o n s t i t u t s j o u̯ n
kont	k o n t
kontroll	k o n t ʁ o l
konzentratioun	k o n t͡s æ n t ʀ ɑ s j ə ʊ̯ n
konzentréieren	k o n t͡s æ n t ʀ ɜ ɪ̯ e ʀ e n
kopp	k o p
koppeg	k o p ə ɕ
kork	k o χ k
kornischong	k o ʁ n i ʃ o ŋ
korrekt	k o ʀ æ k t
koschter	k o ʃ t ɐ
koseng	k oː z ə ŋ
kotteng	k o t e ŋ
kou	k ə ʊ
koum	k ə ʊ̯ m
koumen	k ə ʊ̯ m ə n
koums	k ə ʊ̯ m s
koumt	k ə ʊ̯ m t
koup	k ə ʊ̯ p
kraachen	k ʀ aː χ ə n
kraaft	k ʀ aː f t
krack	k ʀ ɑ k
krall	k ʀ ɑ l
kramp	k ʀ ɑ m p
kran	k ʀ aː n
krank	k ʀ ɑ ŋ k
kranz	k ʀ ɑ n t͡s
krapp	k ʀ ɑ p
krappeg	k ʀ ɑ p ə ɕ
kraut	k ʀ æː ʊ̯ t
krawatt	k ʀ ɑ v ɑ t
krazen	k ʀ aː t s ə n
krazert	k ʀ aː t͡s ɐ t
krees	k ʀ eː s
kreesch	k ʀ eː ʃ
krich	k ʀ i ɕ
kriddeleg	k ʀ i d ə l ə ɕ
kriibs	k ʀ iː p s
kriits	k ʀ iː t s
krimi	k ʀ i m i
kriss	k ʀ i s
kristall	k ʁ i s t ɑ l
krit	k ʀ iː t
kriten	k ʀ iː t ə n
kritesch	k ʀ i t ə ʃ
kritt	k ʀ i t
krokodil	k ʁ o k o d iː l
krom	k ʀ oː m
kromm	k ʀ o m
krop	k ʀ oː p
krou	k ʀ ə ʊ̯
krouch	k ʀ e ʊ̯ χ
kroun	k ʀ ə ʊ̯ n
krunn	k ʀ u n
krut	k ʀ uː t
kruten	k ʀ uː t ə n
kruuts	k ʀ uː t s
kräischen	k ʀ æː ɪ̯ ʃ ə n
kräiz	k ʀ æː ɪ̯ t͡s
kräizen	k ʀ æː ɪ̯ t͡s ə n
kräizer	k ʀ æː ɪ̯ t͡s ɐ
kräizwuerträtsel	k ʁ æː ɪ̯ d͡z v uː ə̯ d ʁ æ t͡s ə l
krämp	k ʀ æ m p
kränken	k ʀ æ ŋ k e n
kréchel	k ʁ ə ɕ ə l
kréi	k ʀ ɜ ɪ̯
kréich	k ʀ e ɪ̯ χ
kréien	k ʀ e ɪ̯ e n
kréiena	k ʀ ɜ ɪ̯ ə n aː
kréischel	k ʀ ɜ ɪ̯ ʃ ə l
krëmmen	k ʀ ə m ə n
krëpp	k ʀ ə p
krëppchen	k ʀ ə p ɕ ə n
krëppebësser	k ʀ ə p ə b ə s ɐ
krëppel	k ʀ ə p ə l
krësch	k ʀ ə ʃ
kuch	k u χ
kucken	k u k ə n
kuddelfleck	k u d ə l f l æ k
kueb	k u ə̯ b
kueberei	k u ə b ə ʀ ɑ ɪ̯
kueder	k u ə̯ d ɐ
kuef	k u ə̯ f
kuel	k u ə l
kuelestoff	k u ə l ə ʃ t o f
kuer	k u ɐ
kuerf	k uː ə̯ f
kuerz	k u e̯ t s
kummer	k u m ɐ
kupplung	k u p l u ŋ
kurv	k u ʁ f
kurv	k u χ f
kutsch	k u t͡ʃ
kuuscht	k uː ʃ t
käerz	k ɛː ə̯ t͡s
käfeg	k eː f ə ɕ
käichen	k æː ɪ̯ ɕ ə n
kämmen	k æ m ə n
känguru	k æ ŋ ɡ u ʁ u
käppen	k æ p ə n
kär	k ɛː ə̯
kärel	k ɛː ʀ ə l
käscht	k æ ʃ t
käschtebam	k æ ʃ t ə b aː m
kätzchen	k æ t͡s ɕ ə n
kätzercher	k æ t͡s e ʀ χ e ʀ
kéier	k ɜ ɪ̯ ɐ
kéim	k ɜ ɪ̯ m
kéimen	k ɜ ɪ̯ m ə n
kéims	k ɜ ɪ̯ m s
kéimt	k ɜ ɪ̯ m t
kéint	k ɜ ɪ̯ n t
kéinten	k ɜ ɪ̯ n t ə n
kéints	k ɜ ɪ̯ n t s
kéipweis	k ɜ ɪ̯ p v ɑ ɪ̯ s
kéis	k ɜ ɪ̯ s
kéisécker	k ɜ ɪ̯ z e k ɐ
kéng	k e ŋ
kéngen	k e ŋ ə n
këmmen	k ə m ə n
këmmeren	k ə m ə ʀ ə n
këndchen	k ə n t ɕ ə n
kënn	k ə n
kënnen	k e n e n
kënnercher	k ə n ɐ ɕ ɐ
kënns	k ə n s
kënnt	k ə n t
këscht	k ə ʃ t
këssen	k ə s ə n
küst	k y s t
laach	l aː χ
laachen	l aː χ ə n
laaft	l aː f t
laang	l aː ŋ
laangfësch	l aː ŋ f ə ʃ
laangfëschmudder	l aː ŋ f ə ʃ m u d ɐ
laanscht	l aː n ʃ t
laascht	l aː ʃ t
laaschten	l aː ʃ t ə n
lach	l ɑ χ
lack	l ɑ k
laf	l aː f
lafen	l aː f ə n
lag	l aː χ
lagen	l aː ʁ ə n
lais	l ɑ ɪ̯ s
laitue	l e t yː
lamm	l ɑ m
lamprouer	l ɑ m p ʀ ə ʊ̯ ɐ
land	l ɑ n t
landen	l ɑ n d ə n
landstrooss	l ɑ n t ʃ t ʀ oː s
lann	l ɑ n
lanter	l ɑ n t ɐ
lanz	l ɑ n t s
lass	l ɑ s
lat	l aː t
lauer	l ɑ ʊ̯ ɐ
laus	l æː ʊ̯ s
lauschteren	l æː ʊ̯ ʃ t ə ʀ ə n
laut	l æː ʊ̯ t
lavendel	l ɑ v æ n d ə l
lawin	l ɑ v i n
lazert	l aː t͡s ɐ t
lee	l eː
leed	l eː t
leeden	l eː d ə n
leeder	l eː d ɐ
leefer	l eː f ɐ
leefs	l eː f s
leeft	l eː f t
leem	l eː m
leescht	l eː ʃ t
leeschten	l eː ʃ t ə n
leeschtung	l eː ʃ t u ŋ
leeën	l eː e n
leeëndecker	l eː ə n d æ k ɐ
lei	l ɑ ɪ̯
leiden	l ɑ ɪ̯ d ə n
leien	l ɑ ɪ̯ e n
leier	l ɑ ɪ̯ ɐ
leieren	l ɑ ɪ̯ ə ʀ ə n
leif	l ɑ ɪ̯ f
leit	l ɑ ɪ̯ t
leits	l ɑ ɪ̯ t s
lektioun	l æ k s j ə ʊ n
lescht	l æ ʃ t
libell	l i b æ l
lidd	l i t
lieder	l i ə̯ d ɐ
liesen	l i ə z ə n
lieweg	l i ə̯ v ə ɕ
liewen	l i ə̯ v ə n
liewer	l i ə v ɐ
ligen	l i ʑ ə n
liibling	l iː b l i ŋ
liicht	l iː ɕ t
liichten	l iː ɕ t ə n
liichttuerm	l iː χ t t u ə̯ ʀ m
limburgesch	l i m b u ə̯ j ə ʃ
limburgesch	l i m b u ə̯ ʑ ə ʃ
limonad	l i m o n aː t
linn	l i n
lissabon	l i s ɑ b o n
literaresch	l i t ə ʀ aː ʀ ə ɕ
litt	l i t
litts	l i t s
liwweren	l i v ə ʁ ə n
liwwerung	l i v ə ʁ u ŋ
lo	l oː
locher	l o χ ɐ
loft	l o f t
lokal	l o k aː l
lomp	l o m p
long	l o ŋ
looss	l oː s
loossen	l oː s ə n
loosst	l oː s t
lorber	l o ʁ b ɐ
lorberblat	l o ʁ b ɐ b l aː t
loscht	l o ʃ t
louch	l ə ʊ̯ χ
louchen	l ə ʊ̯ χ ə n
louchs	l ə ʊ̯ χ s
loucht	l ə ʊ̯ χ t
loun	l ə ʊ̯ n
lounen	l ə ʊ̯ n ə n
lous	l ə ʊ̯ s
loyer	l w ɑ j eː
luchs	l u k s
lued	l u ə̯ t
lueden	l u ə d ə n
luef	l u ə̯ f
lues	l u ə̯ s
luewen	l u ə v ə n
lupp	l u p
luucht	l uː χ t
luuss	l uː s
luxus	l u k s u s
lycée	l i s e
lycéesschüler	l i s eː s ʃ yː l e ʀ
lycéeën	l i s eː ə n
lächer	l æ ɕ ɐ
läffel	l æ f ə l
läich	l æː ɪ̯ ɕ
läichen	l æː ɪ̯ ɕ ə n
läif	l æː ɪ̯ f
läim	l æː ɪ̯ m
läimen	l æː ɪ̯ m ə n
läimer	l æː ɪ̯ m ɐ
läis	l æː ɪ̯ s
läischt	l æː ɪ̯ ʃ t
läit	l æː ɪ̯ t
längt	l æ ŋ t
léi	l ɜ ɪ̯
léich	l ɜ ɪ̯ ɕ
léichen	l ɜ ɪ̯ ɕ ə n
léichs	l ɜ ɪ̯ ɕ s
léicht	l ɜ ɪ̯ ɕ t
léien	l ɜ ɪ̯ ə n
léier	l ɜ ɪ̯ ɐ
léierchen	l ɜ ɪ̯ ɐ ɕ ə n
léieren	l ɜ ɪ̯ ə ʀ ə n
léif	l ɜ ɪ f
léift	l e ɪ̯ f t
léinen	l ɜ ɪ̯ n ə n
léisen	l ɜ ɪ̯ z ə n
léiss	l ɜ ɪ̯ s
léisst	l ɜ ɪ̯ s t
léisung	l ɜ ɪ̯ z u ŋ
léiw	l ɜ ɪ̯ f
léiwen	l e ɪ̯ v ə n
léngt	l e ŋ t
lénks	l e ŋ k s
lëns	l ə n s
lëppestëft	l ə p ə ʃ t ə f t
lëps	l ə p s
lësch	l ə ʃ
lëscht	l ə ʃ t
lëschteg	l ə ʃ t ə ɕ
lëtsch	l ə t ʃ
lëtzebuerg	l e t s e b u ə̯ ʀ χ
lëtzebuergesch	l e t͡s e b uː ʀ ʁ e ʃ
maach	m aː χ
maachen	m aː χ ə n
maacht	m aː χ t
maandel	m aː n d ə l
maandelweis	m aː n d ə l v ɑ ɪ̯ s
maans	m aː n s
maart	m aː χ t
magie	m ɑ ʒ iː
makréil	m ɑ k ʀ ɜ ɪ̯ l
mall	m ɑ l
malz	m ɑ l t͡s
mamendéier	m aː m ə n d ɜ ɪ̯ ɐ
mamm	m ɑ m
man	m aː n
mango	m ɑ ŋ ɡ oː
mann	m ɑ n
mantel	m ɑ n t ə l
manéier	m ɑ n ɜ ɪ̯ ɐ
mapp	m ɑ p
marder	m aː d ɐ
margréitchen	m a ʁ ɡ ʁ ɜ ɪ̯ t ɕ ə n
marionett	m ɑ ʀ j o n æ t
markéieren	m ɑ ʀ k ɜ ɪ̯ ə ʀ ə n
markéierstëft	m ɑ ʀ k ɜ ɪ̯ ɐ ʃ t ə f t
maroun	m ɑ ʀ ə ʊ̯ n
marqueur	m ɑ ʀ k øː ʀ
masch	m ɑ ʃ
maschinell	m ɑ ʃ i n æ l
maschinn	m ɑ ʃ i n
mascht	m ɑ ʃ t
mass	m a s
massendénger	m ɑ s ə n d e ŋ ɐ
mat	m ɑ t
matt	m ɑ t
mattant	m ɑ t ɑ n t
matzen	m ɑ t͡s ə n
mauer	m ɑ ʊ̯ e ʀ
mauer	m ɑ ʊ̯ ʀ
maul	m æː ʊ̯ l
maulef	m ɑ ʊ̯ l ə f
maulefskoup	m ɑ ʊ̯ l ə f s k ə ʊ̯ p
maus	m æː ʊ̯ s
mecanicien	m e k ɑ n i s j ɛ̃ː
mech	m e χ
mee	m eː
meedchen	m eː d ɕ ə n
meefësch	m eː f ə ʃ
meenung	m eː n u ŋ
mees	m eː s
meeschter	m eː ʃ t ɐ
meeschtesch	m eː ʃ t ə ʃ
meiden	m ɑ ɪ̯ d ə n
meil	m ɑ ɪ̯ l
meit	m ɑ ɪ̯ t
meits	m ɑ ɪ̯ t s
meldung	m æ l d u ŋ
mellen	m æ l ə n
meloun	m ə l ə ʊ̯ n
member	m ɑ̃ː b ɐ
memoire	m e m w aː ʀ
meng	m e ŋ
mengem	m e ŋ ə m
mengen	m e ŋ ə n
mengen	m æ ŋ ə n
menger	m e ŋ ɐ
mer	m ɐ
meskot	m æ s k oː t
messer	m æ s ɐ
metall	m e t ɑ l
midd	m i t
middel	m i d ə l
miel	m i ə̯ l
mielda	m i ə̯ l d aː
mier	m iː ə̯
mierf	m iː ə̯ f
mierken	m iː ə̯ k ə n
miersch	m iː ə̯ ʃ
mierschwéngchen	m i ə̯ ʃ w e ŋ ɕ ə n
miessen	m i ə̯ s ə n
millen	m ɪ l ə n
millioun	m i l j ə ʊ̯ n
mineral	m i n ə ʀ aː l
mineralogie	m i n e ʀ ɑ l o ʒ iː
mineralwaasser	m iː n ə ʁ aː l v aː s ɐ
mineur	m i n øː ɐ̯
minn	m i n
minutt	m i n u t
mir	m iː ʀ
mirabell	m i ʁ a b æ l
misst	m i s t
missten	m i s t ə n
misär	m i z ɛː ə̯
mitock	m iː t o k
miwwel	m i v ə l
mo	m oː
mod	m oː t
modell	m o d æ l
moer	m oː e ʀ
mof	m oː f
moff	m o f
moien	m o ɪ̯ ə n
mol	m oː l
molbier	m oː l b iː ə̯
molen	m oː l ə n
momentan	m oː m ə n t aː n
mond	m o n t
monni	m o n i
monter	m o n t ɐ
moolzecht	m oː l t͡s ə ɕ t
moos	m oː s
mooss	m oː s
moossen	m oː s ə n
moschter	m o ʃ t ɐ
moschwier	m oː ʃ w iː ə̯
moss	m o s
moto	m oː t oː
motocyclist	m oː t o s i k l i s t
motorrad	m oː t o ʀ ʀ aː t
motorsee	m oː t o ʁ z eː
moud	m ə ʊ̯ t
mouer	m ə ʊ̯ ɐ
mouk	m ə ʊ̯ k
moul	m ə ʊ̯ l
mound	m ə ʊ̯ n t
mount	m ə ʊ̯ n t
mous	m ə ʊ̯ s
mudder	m u d ɐ
muecht	m u ə ɕ t
mued	m u ə̯ t
muench	m u ə n ɕ
muer	m u ɐ
muerch	m uː ə̯ ɕ
muerd	m uː ə̯ t
mueren	m u ə̯ ʀ ə n
muert	m uː ə̯ t
mull	m u l
multiplikatioun	m u l t i p l i k ɑ s j ə ʊ̯ n
munch	m u n ɕ
munchmol	m u n ɕ m oː l
munnech	m u n ə ɕ
mupp	m u p
musek	m uː z ə k
museker	m uː z ə k ɐ
musel	m uː z ə l
muskel	m u s k ə l
muss	m u s
mussen	m u s ə n
musst	m u s t
mussten	m u s t ə n
mutt	m u t
muttwëll	m u d v ə l
muuss	m uː s
mä	m æ
mächteg	m æ ɕ t ə ɕ
mäerder	m ɛː ə̯ d ɐ
mäert	m ɛː ɐ̯ t
mäerz	m ɛː ə̯ t͡s
mäin	m æː ɪ̯ n
männlech	m æ n l ə ɕ
märel	m ɛː ʀ ə l
méchs	m e ɕ s
mécht	m e ɕ t
méck	m e k
méckefänkert	m e k ə f æ ŋ k ɐ t
méi	m i
méi	m ɜ ɪ
méien	m ɜ ɪ̯ ə n
méiglech	m ɜ ɪ̯ ʑ l ə ɕ
méiglecherweis	m ɜ ɪ̯ ʁ l e χ ɐ v ɑ ɪ̯ s
méindeg	m ɜ ɪ̯ n d e χ
méint	m ɜ ɪ̯ n t
méiw	m e i̯ f
mëll	m ə l
mëllech	m ə l ə ɕ
mëllechmann	m ə l ə ɕ m ɑ n
mëlz	m ə l t͡s
mënch	m ə n ɕ
mënsch	m ə n ʃ
mënschlech	m ə n ʃ l ə ɕ
mënschlechkeet	m ə n ʃ l ə ɕ k eː t
mënz	m ə n t͡s
mësch	m ə ʃ
mëschen	m ə ʃ ə n
mëscht	m ə ʃ t
mëschtgreef	m ə ʃ t ɡ ʀ eː f
mëspel	m ə s p ə l
mëssel	m ə s ə l
mëssen	m ə s ə n
mëtsch	m ə t ʃ
mëtt	m ə t
mëtteg	m ə t ə ɕ
mëttegiessen	m ə t ə ʑ i ə̯ s ə n
mëttel	m ə t ə l
mëttelfeldspiller	m e t e l f æ l t ʃ p i l ɐ
mëtten	m ə t ə n
mëtternuecht	m ə t ɐ n u ə̯ ɕ t
mëttwoch	m e t v o χ
naachen	n aː χ e n
naass	n aː s
nach	n ɑ χ
naivitéit	n ɑ i v i t ɜ ɪ̯ t
nanzeg	n ɑ n t͡s ə ɕ
napp	n ɑ p
narziss	n ɑ χ t͡s i s
nascht	n ɑ ʃ t
natierlech	n a t iː ʀ l e χ
nationalitéit	n ɑ t͡s j o n ɑ l i t ɜ ɪ̯ t
nawell	n aː v æ l
nee	n eː
neelcheskapp	n eː l ɕ ə s k ɑ p
neelen	n eː l ə n
neen	n eː n
nees	n eː s
nei	n ɑ ɪ̯
neiegkeet	n ɑ ɪ̯ ə ɕ k eː t
neimound	n ɑ ɪ̯ m ə ʊ̯ n t
neiséiland	n ɑ ɪ̯ z ɜ ɪ̯ l ɑ n t
nennen	n æ n ə n
nervesee	n æ ʀ v ə z eː
net	n e t
netz	n æ t͡s
netzen	n æ t s ə n
netzwierk	n æ t͡s v i ə̯ ʀ k
neveu	n ə v øː
ni	n iː
nidder	n i d ɐ
nidderkuer	n i d ɐ k uː ə̯
nidderlanden	n i d e ʀ l a n d ə n
nidderlännesch	n i d ɐ l æ n ə ʃ
nidderträchtegkeet	n i d ɐ t ʀ æ ɕ t ə ɕ k eː t
nieft	n i ə f t
nier	n iː ə̯
nieren	n i ə ʀ ə n
niess	n i ə̯ s
niewefloss	n i ə v ə f l o s
niewent	n i ə v ə n t
nilpäerd	n iː l p ɛː ə t
nimm	n i m
nitt	n i t
niwwel	n i v ə l
niwweleg	n ɪ v ə l ə ɕ
no	n oː
nodeel	n oː d eː l
nodeem	n oː d eː m
noeneen	n oː ə n eː n
nohëllef	n oː h ə l ə f
nol	n oː l
nomëtteg	n oː m ə t ə ɕ
nonn	n o n
nonzeg	n o n t͡s ə ɕ
nonzéng	n o n t͡s e ŋ
nonzéngt	n o n t͡s e ŋ t
noper	n oː p ɐ
norden	n o ʁ d ə n
noriicht	n oː ʀ iː ɕ t
norwegen	n o ʀ v eː ʑ ə n
noss	n o s
nott	n o t
notten	n o t ə n
notzen	n o t͡s ə n
nout	n ə ʊ̯ t
nouvelle	n u v æ l
november	n oː v æ m b ɐ
nuddel	n u d ə l
nuecht	n u ə̯ ɕ t
nuechtegailchen	n u ə̯ χ t e ɡ ɑ ɪ̯ l χ e n
nuef	n u ə f
nues	n u ə s
nuesen	n u ə z ə n
nueslach	n u ə z l ɑ χ
nuesschnappech	n u ə̯ s ʃ n ɑ p ə ɕ
null	n u l
numm	n u m
nummer	n u m ɐ
nächsteléift	n æ k s t ə l ɜ ɪ̯ f t
näid	n æː ɪ̯ t
näischt	n æː ɪ̯ ʃ t
nämlech	n ɛː m l e χ
néckel	n e k ə l
nécken	n e k ə n
néideg	n ɜ ɪ̯ d ə ɕ
néien	n ɜ ɪ̯ ə n
néiesch	n ɜ ɪ̯ ə ʃ
néng	n e ŋ
nénga	n e ŋ aː
néngt	n e ŋ t
nëmmen	n e m e n
nëssert	n ə s ɐ t
ob	o p
och	o χ
ochs	o k s
oder	oː d ɐ
odermëllech	oː d ɐ m ə l ə ɕ
of	oː f
offall	o f f ɑ l
offer	o f ɐ
offloss	o f f l o s
offléissen	o f f l ɜ ɪ̯ s ə n
offlëss	o f f l ə s
offäll	o f f æ l
offälleg	o f f æ l ə ɕ
ofginn	oː f ɡ i n
oflaf	o f l aː f
oflafen	o f l aː f ə n
ofleef	o f l eː f
ofleeën	oː f l eː ə n
ofschafen	oː f ʃ aː f ə n
ofschléissen	o f ʃ l ɜ ɪ̯ s ə n
ofsetzen	oː v z æ t s ə n
ofspriechen	oː f ʃ p ʀ i ə̯ χ e n
ofstamung	o f ʃ t aː m u ŋ
oktober	o k t oː b ɐ
oliv	o l iː f
olivenueleg	o l iː v e n u e̯ l e χ
onbaarmhäerzeg	o n b aː ʀ m h eː ʀ t͡s e χ
onbaarmhäerzegkeet	o n b aː m h ɛː ə̯ t͡s ə ɕ k e t
onbedéngt	o n b ə d e ŋ t
onerwaart	o n ɐ v aː χ t
ongedold	o n ɡ ə d o l t
ongléck	o ŋ ɡ l e k
ongutt	o n ɡ u t
onkraut	o ŋ k ʀ æː ʊ̯ t
onnatierlech	o n n a t iː ʀ l e χ
onuerdnung	o n uː ə̯ d n u ŋ
onverfälscht	o n f ɐ f æ l ʃ t
oochen	oː χ ə n
ootmen	oː t m ə n
ootmung	oː t m u ŋ
op	o p
operstoen	o p ɐ ʃ t oː ə n
opfaassen	o p f aː s ə n
opfaassung	o p f aː s u ŋ
opféieren	o p f ɜ ɪ ə ʀ ə n
