ँ	ə̃
ताल्लुक़	t̪ äː l̪ l̪ ʊ k
ताल्लुक़	t̪ äː l̪ l̪ ʊ q
तावीज़	t̪ äː ʋ iː d͡ʒ
तावीज़	t̪ äː ʋ iː z
ताश	t̪ äː ʃ
ताशकंद	t̪ äː ʃ k ə̃ n̪ d̪
तासीर	t̪ äː s̪ iː ɾ
तिंदिश	t̪ ɪ̃ n̪ d̪ ɪ ʃ
तिकड़म	t̪ ɪ k ɽ ə̃ m
तिक्की	t̪ ɪ k̚ k iː
तितली	t̪ ɪ t̪ l̪ iː
तिनका	t̪ ɪ̃ n̪ k äː
तिनसुकिया	t̪ ɪ̃ n̪ s̪ ʊ k i j äː
तिपहिया	t̪ ɪ p ə iː j äː
तिपहिया	t̪ ɪ p ə ɦ i j äː
तिब्बत	t̪ ɪ b̚ b ə t̪
तिब्बती	t̪ ɪ b̚ b ə t̪ iː
तिमाही	t̪ ɪ m äː ɦ iː
तिरंगा	t̪ ɪ ɾ ə̃ ŋ ɡ äː
तिरछा	t̪ ɪ ɾ t͡ʃʰ äː
तिरपन	t̪ ɪ ɾ p ə̃ n̪
तिरपाल	t̪ ɪ ɾ p äː l̪
तिरसठ	t̪ ɪ ɾ s̪ ə ʈʰ
तिरस्कार	t̪ ɪ ɾ ə s̪ k äː ɾ
तिरानवे	t̪ ɪ ɾ ä̃ː n̪ w eː
तिरासी	t̪ ɪ ɾ äː s̪ iː
तिरुचिरापल्ली	t̪ ɪ ɾ ʊ t͡ʃ ɪ ɾ äː p ə l̪ l̪ iː
तिरुवनंतपुरम	t̪ ɪ ɾ ʊ ʋ ə n̪ ə̃ n̪ t̪ ə p ʊ ɾ ə̃ m
तिल	t̪ ɪ l̪
तिलंगा	t̪ ɪ l̪ ə̃ ŋ ɡ äː
तिलक	t̪ ɪ l̪ ə k
तिलचट्टा	t̪ ɪ l̪ t͡ʃ ə ʈ̚ ʈ äː
तिलहन	t̪ ɪ l̪ ɦ ə̃ n̪
तिल्ली	t̪ ɪ l̪ l̪ iː
तिहत्तर	t̪ ɪ ɦ ə t̪̚ t̪ ə ɾ
तीखा	t̪ iː kʰ äː
तीन	t̪ ĩː n̪
तीरंदाज़	t̪ iː ɾ ə̃ n̪ d̪ äː d͡ʒ
तीरंदाज़	t̪ iː ɾ ə̃ n̪ d̪ äː z
तीरंदाज़ी	t̪ iː ɾ ə̃ n̪ d̪ äː d͡ʒ iː
तीरंदाज़ी	t̪ iː ɾ ə̃ n̪ d̪ äː z iː
तीली	t̪ iː l̪ iː
तीव्रता	t̪ iː ʋ ɾ ə t̪ äː
तीस	t̪ iː s̪
तीसरा	t̪ iː s̪ ɾ äː
तुंग	t̪ ʊ̃ ŋ ɡ
तुकांत	t̪ ʊ k ä̃ː n̪ t̪
तुक्का	t̪ ʊ k̚ k äː
तुग़लक़	t̪ ʊ ɡ l̪ ə k
तुग़लक़	t̪ ʊ ɣ l̪ ə q
तुफ़ंग	t̪ ʊ f ə̃ ŋ ɡ
तुफ़ंग	t̪ ʊ pʰ ə̃ ŋ ɡ
तुम	t̪ ʊ̃ m
तुमने	t̪ ʊ̃ m n̪ eː
तुम्हारा	t̪ ʊ̃ m ɦ äː ɾ äː
तुम्हें	t̪ ʊ̃ m ɦ ẽː
तुरन्त	t̪ ʊ ɾ ə̃ n̪ t̪
तुर्कमेनिस्तान	t̪ ʊ ɾ k m eː n̪ ɪ s̪ t̪ ä̃ː n̪
तुर्किस्तान	t̪ ʊ ɾ k ɪ s̪ t̪ ä̃ː n̪
तुलनात्मक	t̪ ʊ l̪ ə n̪ äː t̪ m ə k
तुलसी	t̪ ʊ l̪ s̪ iː
तुलसीदास	t̪ ʊ l̪ s̪ iː d̪ äː s̪
तुलित	t̪ ʊ l̪ ɪ t̪
तुल्य	t̪ ʊ l̪ jᵊ
तुष्टीकरण	t̪ ʊ ʃ ʈ iː k ə ɾ ə̃ ɳ
तूने	t̪ uː n̪ eː
तूफ़ान	t̪ uː f ä̃ː n̪
तूफ़ान	t̪ uː pʰ ä̃ː n̪
तृण	t̪ ɾ ɪ̃ ɳ
तृष्णा	t̪ ɾ ɪ ʃ ɳ äː
तेंदुआ	t̪ eː n̪ d̪ ʊ aː
तेईस	t̪ eː iː s̪
तेजपत्ता	t̪ eː d͡ʒ p ə t̪̚ t̪ äː
तेज़ाब	t̪ eː d͡ʒ äː b
तेज़ाब	t̪ eː z äː b
तेरह	t̪ eː ɾ äː
तेरा	t̪ eː ɾ äː
तेल	t̪ eː l̪
तेलंगाना	t̪ eː l̪ ə̃ ŋ ɡ äː n̪ äː
तेलुगू	t̪ eː l̪ ʊ ɡ uː
तेहरान	t̪ eː ɦ ɾ ä̃ː n̪
तैंतालीस	t̪ ɛ̃ː n̪ t̪ äː l̪ iː s̪
तैंतीस	t̪ ɛ̃ː n̪ t̪ iː s̪
तैनात	t̪ ɛː n̪ äː t̪
तैनाती	t̪ ɛː n̪ äː t̪ iː
तोंदी	t̪ õː n̪ d̪ iː
तोता	t̪ oː t̪ äː
तोहफ़ा	t̪ oː ɦ f äː
तोहफ़ा	t̪ oː ɦ pʰ äː
तौबा	t̪ ɔː b äː
तौबा	t̪ ə ʊ b äː
तौल	t̪ ɔː l̪
तौलिया	t̪ ɔː l̪ i j äː
तौहीन	t̪ ɔː ɦ ĩː n̪
त्यागना	t̪ j äː ɡ n̪ äː
त्यागपत्र	t̪ j äː ɡ p ə t̪ ɾᵊ
त्यौहार	t̪ j ɔː ɦ äː ɾ
त्रासद	t̪ ɾ äː s̪ ə d̪
त्रासदी	t̪ ɾ äː s̪ d̪ iː
त्रिकोणमितीय	t̪ ɾ ɪ k õː ɳ m ɪ t̪ iː jᵊ
त्रिज्या	t̪ ɾ ɪ d͡ʒ j äː
त्रिपुरा	t̪ ɾ ɪ p ʊ ɾ äː
त्वचा	t̪ w ə t͡ʃ äː
त्वरण	t̪ w ə ɾ ə̃ ɳ
त्वरित	t̪ w ə ɾ ɪ t̪
थकना	t̪ʰ ə k n̪ äː
थकान	t̪ʰ ə k ä̃ː n̪
थकावट	t̪ʰ ə k äː ʋ ə ʈ
थन	t̪ʰ ə̃ n̪
थपथपाना	t̪ʰ ə p ə t̪ʰ p äː n̪ äː
थप्पड़	t̪ʰ ə p̚ p ə ɽ
थमना	t̪ʰ ə̃ m n̪ äː
थमाना	t̪ʰ ə m äː n̪ äː
थरथराना	t̪ʰ ə ɾ t̪ʰ ə ɾ äː n̪ äː
थर्राना	t̪ʰ ə ɾ ɾ äː n̪ äː
था	t̪ʰ äː
थाइलैंड	t̪ʰ äː ɪ l̪ ɛ̃ː ɳ ɖ
थाई	t̪ʰ äː iː
थाईलैंड	t̪ʰ äː iː l̪ ɛ̃ː ɳ ɖ
थाना	t̪ʰ äː n̪ äː
थानेदार	t̪ʰ äː n̪ eː d̪ äː ɾ
थापना	t̪ʰ äː p n̪ äː
थापा	t̪ʰ äː p äː
थामना	t̪ʰ ä̃ː m n̪ äː
थाली	t̪ʰ äː l̪ iː
थूकना	t̪ʰ uː k n̪ äː
थूथन	t̪ʰ uː t̪ʰ ə̃ n̪
थैंक्स	t̪ʰ ɛ̃ː ŋ k s̪
थैला	t̪ʰ ɛː l̪ äː
थोड़ा	t̪ʰ oː ɽ äː
थोपना	t̪ʰ oː p n̪ äː
दंग	d̪ ə̃ ŋ ɡ
दंगल	d̪ ə̃ ŋ ɡ ə l̪
दंगा	d̪ ə̃ ŋ ɡ äː
दंड	d̪ ə̃ ɳ ɖ
दंत	d̪ ə̃ n̪ t̪
दंतकथा	d̪ ə̃ n̪ t̪ k ə t̪ʰ äː
दंतमंजन	d̪ ə̃ n̪ t̪ m ə̃ n̪ d͡ʒ ə̃ n̪
दंत्य	d̪ ə̃ n̪ t̪ jᵊ
दंदान	d̪ ə̃ n̪ d̪ ä̃ː n̪
दंपति	d̪ ə̃ m p ə t̪ iː
दंपती	d̪ ə̃ m p ə t̪ iː
दंभ	d̪ ə̃ m bʱ
दंश	d̪ ə̃ n̪ ʃ
दक्खिन	d̪ ə k̚ kʰ ɪ̃ n̪
दक्खिनी	d̪ ə k̚ kʰ ɪ n̪ iː
दक्ष	d̪ ə k ʃ
दक्षिण	d̪ ə k ʃ ɪ̃ ɳ
दक्षिणपंथ	d̪ ə k ʃ ɪ̃ ɳ p ə̃ n̪ t̪ʰ
दक्षिणपंथी	d̪ ə k ʃ ɪ̃ ɳ p ə̃ n̪ t̪ʰ iː
दक्षिणा	d̪ ə k ʃ ɪ ɳ äː
दक्षिणापथ	d̪ ə k ʃ ɪ ɳ äː p ə t̪ʰ
दख़ल	d̪ ə kʰ ə l̪
दख़ल	d̪ ə x ə l̪
दगला	d̪ ə ɡ l̪ äː
दग़ा	d̪ ə ɡ äː
दग़ा	d̪ ə ɣ äː
दग़ाबाज़	d̪ ə ɡ äː b äː d͡ʒ
दग़ाबाज़	d̪ ə ɣ äː b äː z
दफ़न	d̪ ə f n̪
दफ़न	d̪ ə f ə̃ n̪
दफ़न	d̪ ə pʰ n̪
दफ़न	d̪ ə pʰ ə̃ n̪
दफ़नाना	d̪ ə f n̪ äː n̪ äː
दफ़नाना	d̪ ə pʰ n̪ äː n̪ äː
दफ़ा	d̪ ə f äː
दफ़ा	d̪ ə pʰ äː
दफ़्तरशाह	d̪ ə f t̪ ə ɾ ʃ äː ɦ
दफ़्तरशाह	d̪ ə pʰ t̪ ə ɾ ʃ äː ɦ
दबंग	d̪ ə b ə̃ ŋ ɡ
दबदबा	d̪ ə b d̪ ə b äː
दबाना	d̪ ə b äː n̪ äː
दबाव	d̪ ə b äː ʋ
दबोचना	d̪ ə b oː t͡ʃ n̪ äː
दम	d̪ ə̃ m
दमन	d̪ ə m ə̃ n̪
दम्पति	d̪ ə̃ m p ə t̪ iː
दम्पती	d̪ ə̃ m p ə t̪ iː
दया	d̪ ə j äː
दरअसल	d̪ ə ɾ ə s̪ ə l̪
दरख़ास्त	d̪ ə ɾ kʰ äː s̪ t̪
दरख़ास्त	d̪ ə ɾ x äː s̪ t̪
दरगाह	d̪ ə ɾ ɡ äː ɦ
दरबार	d̪ ə ɾ b äː ɾ
दरमियान	d̪ ə ɾ m i j ä̃ː n̪
दरमियानी	d̪ ə ɾ m i j äː n̪ iː
दरवाज़ा	d̪ ə ɾ ʋ äː d͡ʒ äː
दरवाज़ा	d̪ ə ɾ ʋ äː z äː
दरांती	d̪ ə ɾ ä̃ː n̪ t̪ iː
दराज़	d̪ ə ɾ äː d͡ʒ
दराज़	d̪ ə ɾ äː z
दरार	d̪ ə ɾ äː ɾ
दरिंदा	d̪ ə ɾ ɪ̃ n̪ d̪ äː
दरियाई	d̪ ə ɾ i j äː iː
दरोग़ा	d̪ ə ɾ oː ɡ äː
दरोग़ा	d̪ ə ɾ oː ɣ äː
दर्जा	d̪ ə ɾ d͡ʒ äː
दर्दनाक	d̪ ə ɾ d̪̚ n̪ äː k
दर्पण	d̪ ə ɾ p ə̃ ɳ
दर्शन	d̪ ə ɾ ʃ ə̃ n̪
दर्शनीय	d̪ ə ɾ ʃ ə n̪ iː jᵊ
दर्शाना	d̪ ə ɾ ʃ äː n̪ äː
दल	d̪ ə l̪
दलदल	d̪ ə l̪ d̪ ə l̪
दलबदलू	d̪ ə l̪ b ə d̪ l̪ uː
दलहन	d̪ ə l̪ ɦ ə̃ n̪
दलाल	d̪ ə l̪ äː l̪
दलित	d̪ ə l̪ ɪ t̪
दलील	d̪ ə l̪ iː l̪
दवा	d̪ ə ʋ äː
दवाई	d̪ ə ʋ äː iː
दवाख़ाना	d̪ ə ʋ äː kʰ äː n̪ äː
दवाख़ाना	d̪ ə ʋ äː x äː n̪ äː
दवाखाना	d̪ ə ʋ äː kʰ äː n̪ äː
दवाखाना	d̪ ə ʋ äː x äː n̪ äː
दवात	d̪ ə ʋ äː t̪
दशम	d̪ ə ʃ ə̃ m
दशमलव	d̪ ə ʃ ə̃ m l̪ ə ʋ
दशहरा	d̪ ə ʃ ɛ ɦ ɾ äː
दस	d̪ ə s̪
दस्यु	d̪ ə s̪ j uː
दहन	d̪ ɛ ɦ ɛ̃ n̪
दहना	d̪ ɛ ɦ n̪ äː
दहलना	d̪ ɛ ɦ ɛ l̪ n̪ äː
दहला	d̪ ɛ ɦ l̪ äː
दहलीज़	d̪ ɛ ɦ l̪ iː d͡ʒ
दहलीज़	d̪ ɛ ɦ l̪ iː z
दहशत	d̪ ɛ ɦ ʃ ə t̪
दाँत	d̪ ä̃ː t̪
दाँव	d̪ ä̃ː ʋ
दांत	d̪ ä̃ː n̪ t̪
दांत	d̪ ä̃ː t̪
दाई	d̪ äː iː
दाएँ	d̪ äː ẽː
दाक्षिण्य	d̪ äː k ʃ ɪ̃ ɳ jᵊ
दाख़िल	d̪ äː kʰ ɪ l̪
दाख़िल	d̪ äː x ɪ l̪
दाख़िला	d̪ äː kʰ ɪ l̪ äː
दाख़िला	d̪ äː x ɪ l̪ äː
दाग़	d̪ äː ɡ
दाग़	d̪ äː ɣ
दाग़ना	d̪ äː ɡ n̪ äː
दाग़ना	d̪ äː ɣ n̪ äː
दाड़िम	d̪ äː ɽ ɪ̃ m
दाढ़	d̪ äː ɽʱ
दाढ़ी	d̪ äː ɽʱ iː
दाता	d̪ äː t̪ äː
दाताओ	d̪ äː t̪ äː oː
दाताओं	d̪ äː t̪ äː õː
दादरा	d̪ äː d̪ ɾ äː
दादस	d̪ äː d̪ ə s̪
दादसरा	d̪ äː d̪ ə s̪ ɾ äː
दादा	d̪ äː d̪ äː
दादी	d̪ äː d̪ iː
दादुर	d̪ äː d̪ ʊ ɾ
दान	d̪ ä̃ː n̪
दाना	d̪ äː n̪ äː
दाब	d̪ äː b
दाम	d̪ ä̃ː m
दामन	d̪ äː m ə̃ n̪
दामाद	d̪ äː m äː d̪
दायर	d̪ äː j ə ɾ
दायाँ	d̪ äː j ä̃ː
दायित्व	d̪ äː j ɪ t̪ wᵊ
दायित्ववान	d̪ äː j ɪ t̪ w ə ʋ ä̃ː n̪
दायित्ववान्	d̪ äː j ɪ t̪ w ə ʋ ä̃ː n̪
दायित्वशील	d̪ äː j ɪ t̪ w ə ʃ iː l̪
दायित्वहीन	d̪ äː j ɪ t̪ w ə ɦ ĩː n̪
दायी	d̪ äː j iː
दार	d̪ äː ɾ
दारचीनी	d̪ äː ɾ t͡ʃ iː n̪ iː
दारु	d̪ äː ɾ uː
दारुलहुकूमत	d̪ äː ɾ ʊ l̪ ɦ ʊ k uː m ə t̪
दारू	d̪ äː ɾ uː
दाल	d̪ äː l̪
दालचीनी	d̪ äː l̪ t͡ʃ iː n̪ iː
दावत	d̪ äː ʋ ə t̪
दावा	d̪ äː ʋ äː
दावेदार	d̪ äː ʋ eː d̪ äː ɾ
दास	d̪ äː s̪
दासप्रथा	d̪ äː s̪ p ɾ ə t̪ʰ äː
दास्तान	d̪ äː s̪ t̪ ä̃ː n̪
दाहिना	d̪ äː ɦ ɪ n̪ äː
दाहिने	d̪ äː ɦ ɪ n̪ eː
दिक़्क़त	d̪ ɪ k̚ k ə t̪
दिक्पात	d̪ ɪ k p äː t̪
दिखाई	d̪ ɪ kʰ äː iː
दिखाऊ	d̪ ɪ kʰ äː uː
दिखाना	d̪ ɪ kʰ äː n̪ äː
दिखावा	d̪ ɪ kʰ äː ʋ äː
दिगंबर	d̪ ɪ ɡ ə̃ m b ə ɾ
दिन	d̪ ɪ̃ n̪
दिनभर	d̪ ɪ̃ n̪ bʱ ə ɾ
दिनांकित	d̪ ɪ n̪ ä̃ː k ɪ t̪
दिनेश	d̪ ɪ n̪ eː ʃ
दिमाग़	d̪ ɪ m äː ɡ
दिमाग़	d̪ ɪ m äː ɣ
दिया	d̪ i j äː
दिरम	d̪ ɪ ɾ ə̃ m
दिल	d̪ ɪ l̪
दिलचस्प	d̪ ɪ l̪ t͡ʃ ə s̪ p
दिलचस्पी	d̪ ɪ l̪ t͡ʃ ə s̪ p iː
दिलबर	d̪ ɪ l̪ b ə ɾ
दिलरुबा	d̪ ɪ l̪ ɾ ʊ b äː
दिलासा	d̪ ɪ l̪ äː s̪ äː
दिली	d̪ ɪ l̪ iː
दिलेरी	d̪ ɪ l̪ eː ɾ iː
दिल्ली	d̪ ɪ l̪ l̪ iː
दिल्लीवाला	d̪ ɪ l̪ l̪ iː ʋ äː l̪ äː
दिवस	d̪ ɪ ʋ ə s̪
दिवसीय	d̪ ɪ ʋ s̪ iː jᵊ
दिवाली	d̪ ɪ ʋ äː l̪ iː
दिव्यांग	d̪ ɪ ʋ j ä̃ː ŋ ɡ
दिशानिर्देश	d̪ ɪ ʃ äː n̪ ɪ ɾ d̪ eː ʃ
दिसंबर	d̪ ɪ s̪ ə̃ m b ə ɾ
दिहाड़ी	d̪ ɪ ɦ äː ɽ iː
दीदार	d̪ iː d̪ äː ɾ
दीन	d̪ ĩː n̪
दीनार	d̪ iː n̪ äː ɾ
दीपावली	d̪ iː p äː ʋ l̪ iː
दीपिका	d̪ iː p ɪ k äː
दीया	d̪ iː j äː
दीवान	d̪ iː ʋ ä̃ː n̪
दीवानगी	d̪ iː ʋ ä̃ː n̪ ɡ iː
दीवाना	d̪ iː ʋ äː n̪ äː
दीवार	d̪ iː ʋ äː ɾ
दुःस्वप्न	d̪ ʊ s̪ ʋ ə p n̪ ə
दुःस्वप्न	d̪ ʊ ɦ s̪ ʋ ə p n̪ ə
दुअन्नी	d̪ ʊ ə̃ n̪ n̪ iː
दुआ	d̪ ʊ äː
दुकान	d̪ ʊ k ä̃ː n̪
दुक्की	d̪ ʊ k̚ k iː
दुगना	d̪ ʊ ɡ n̪ äː
दुग्धाग्र	d̪ ʊ ɡ d̪ʱ äː ɡ ɾᵊ
दुनाली	d̪ ʊ n̪ äː l̪ iː
दुनिया	d̪ ʊ n̪ i j äː
दुनियाएँ	d̪ ʊ n̪ i j äː ẽː
दुपट्टा	d̪ ʊ p ə ʈ̚ ʈ äː
दुपहिया	d̪ ʊ p ə iː j äː
दुपहिया	d̪ ʊ p ə ɦ i j äː
दुभाषिया	d̪ ʊ bʱ äː ʃ i j äː
दुमन	d̪ ʊ m ə̃ n̪
दुराघ्री	d̪ ʊ ɾ äː ɡʱ ɾ iː
दुरुस्त	d̪ ʊ ɾ ʊ s̪ t̪
दुर्गंध	d̪ ʊ ɾ ɡ ə̃ n̪ d̪ʱ
दुर्गन्ध	d̪ ʊ ɾ ɡ ə̃ n̪ d̪ʱ
दुर्घटनाग्रस्त	d̪ ʊ ɾ ɡʱ ə ʈ n̪ äː ɡ ɾ ə s̪ t̪
दुर्भाग्य	d̪ ʊ ɾ bʱ äː ɡ jᵊ
दुर्भाग्यवश	d̪ ʊ ɾ bʱ äː ɡ j ə ʋ ə ʃ
दुर्भावना	d̪ ʊ ɾ bʱ äː ʋ n̪ äː
दुर्भावनापूर्ण	d̪ ʊ ɾ bʱ äː ʋ n̪ äː p uː ɾ ɳ
दुर्मना	d̪ ʊ ɾ m ə n̪ äː
दुर्व्यवहार	d̪ ʊ ɾ ʋ j ə ʋ ɦ äː ɾ
दुश्मन	d̪ ʊ ʃ m ə̃ n̪
दुश्वार	d̪ ʊ ʃ ʋ äː ɾ
दुष्चक्र	d̪ ʊ ʃ t͡ʃ ə k ɾᵊ
दुष्परिणाम	d̪ ʊ ʃ p ə ɾ ɪ ɳ ä̃ː m
दुस्साहस	d̪ ʊ s̪ s̪ äː ɦ ə s̪
दुहाई	d̪ ʊ ɦ äː iː
दूँगा	d̪ ũː ŋ ɡ äː
दूकान	d̪ uː k ä̃ː n̪
दूतावास	d̪ uː t̪ äː ʋ äː s̪
दूधमुँहा	d̪ uː d̪ʱ m ʊ̃ ɦ äː
दूधिया	d̪ uː d̪ʱ i j äː
दूना	d̪ uː n̪ äː
दूरदर्शन	d̪ uː ɾ d̪ ə ɾ ʃ ə̃ n̪
दूरदर्शिता	d̪ uː ɾ d̪ ə ɾ ʃ ɪ t̪ äː
दूरबीन	d̪ uː ɾ b ĩː n̪
दूरभाष	d̪ uː ɾ bʱ äː ʃ
दूरलेख	d̪ uː ɾ l̪ eː kʰ
दूरीकरण	d̪ uː ɾ iː k ə ɾ ə̃ ɳ
दूल्हा	d̪ uː l̪ ɦ äː
दूसरा	d̪ uː s̪ ɾ äː
दूसरे	d̪ uː s̪ ɾ eː
दृढ़तापूर्वक	d̪ ɾ ɪ ɽʱ t̪ äː p uː ɾ ʋ ə k
दृढ़संकल्प	d̪ ɾ ɪ ɽʱ s̪ ə̃ ŋ k ə l̪ p
दृष्टि	d̪ ɾ ɪ ʃ ʈ iː
दृष्टिपटल	d̪ ɾ ɪ ʃ ʈ ɪ p ʈ ə l̪
देखना	d̪ eː kʰ n̪ äː
देखने	d̪ eː kʰ n̪ eː
देखनेवाला	d̪ eː kʰ n̪ eː ʋ äː l̪ äː
देखभाल	d̪ eː kʰ bʱ äː l̪
देखादेखी	d̪ eː kʰ äː d̪ eː kʰ iː
देन	d̪ ẽː n̪
देना	d̪ eː n̪ äː
देने	d̪ eː n̪ eː
देवता	d̪ eː ʋ t̪ äː
देवदार	d̪ eː ʋ d̪ äː ɾ
देवनागरी	d̪ eː ʋ n̪ äː ɡ ɾ iː
देवभाषा	d̪ eː ʋ bʱ äː ʃ äː
देवल	d̪ eː ʋ ə l̪
देशव्यापी	d̪ eː ʃ ə ʋ j äː p iː
देसी	d̪ eː s̪ iː
देहकान	d̪ eː ɦ k ä̃ː n̪
देहरा	d̪ eː ɦ ɾ äː
देहरादून	d̪ eː ɦ ɾ äː d̪ ũː n̪
देहली	d̪ eː ɦ l̪ iː
देहांत	d̪ eː ɦ ä̃ː n̪ t̪
देहात	d̪ eː ɦ äː t̪
देहाती	d̪ eː ɦ äː t̪ iː
दैत्य	d̪ ɛː t̪ j aː
दैनिक	d̪ ɛː n̪ ɪ k
दोआब	d̪ oː äː b
दोगुना	d̪ oː ɡ ʊ n̪ äː
दोपहर	d̪ oː p ɛ ɦ ɛ ɾ
दोष	d̪ oː ʃ
दोषपूर्ण	d̪ oː ʃ p uː ɾ ɳ
दोषमुक्ति	d̪ oː ʃ m ʊ k t̪ iː
दोषी	d̪ oː ʃ iː
दोस्त	d̪ oː s̪ t̪
दोहरना	d̪ oː ɦ ə ɾ n̪ äː
दोहा	d̪ oː ɦ äː
दौड़ाई	d̪ ɔː ɽ äː iː
दौड़ाना	d̪ ɔː ɽ äː n̪ äː
दौरा	d̪ ɔː ɾ äː
दौरान	d̪ ɔː ɾ ä̃ː n̪
दौलतमंद	d̪ ɔː l̪ ə t̪ m ə̃ n̪ d̪
द्रव्यमान	d̪ ɾ ə ʋ j ə m ä̃ː n̪
द्रष्टव्य	d̪ ɾ ə ʃ ʈ ə ʋ jᵊ
द्राक्षिरा	d̪ ɾ äː k ʃ ɪ ɾ äː
द्रुतगामी	d̪ ɾ ʊ t̪ ɡ äː m iː
द्वंद्व	d̪ w ə̃ n̪ d̪ w ə
द्वार	d̪ w äː ɾ
द्वारा	d̪ w äː ɾ äː
द्विध्रुव	d̪ w ɪ d̪ʱ ɾ ʊ ʋ
द्विपक्षीय	d̪ w ɪ p ə k ʃ iː jᵊ
द्विर	d̪ w ɪ ɾ
द्विरेफ	d̪ w ɪ ɾ eː pʰ
धँसना	d̪ʱ ə̃ s̪ n̪ äː
धंधा	d̪ʱ ə̃ n̪ d̪ʱ äː
धकेलना	d̪ʱ ə k eː l̪ n̪ äː
धज्जी	d̪ʱ ə d̚ d͡ʒ iː
धड़कन	d̪ʱ ə ɽ k ə̃ n̪
धड़ल्ला	d̪ʱ ə ɽ ə l̪ l̪ äː
धन	d̪ʱ ə̃ n̪
धनगढी	d̪ʱ ə n̪ ə ɡ ɖʱ iː
धनतेरस	d̪ʱ ə̃ n̪ t̪ eː ɾ ə s̪
धनबाद	d̪ʱ ə̃ n̪ b äː d̪
धनराशि	d̪ʱ ə̃ n̪ ɾ äː ʃ iː
धनवान	d̪ʱ ə̃ n̪ w ä̃ː n̪
धनाग्र	d̪ʱ ə n̪ äː ɡ ɾᵊ
धनाढ्य	d̪ʱ ə n̪ äː ɖʱ jᵊ
धनादेश	d̪ʱ ə n̪ äː d̪ eː ʃ
धनायन	d̪ʱ ə n̪ äː j ə̃ n̪
धनिया	d̪ʱ ə n̪ i j äː
धनी	d̪ʱ ə n̪ iː
धनुर्विद्या	d̪ʱ ə n̪ ʊ ɾ ʋ ɪ d̪ j äː
धन्य	d̪ʱ ə̃ n̪ jᵊ
धन्यवाद	d̪ʱ ə̃ n̪ j ə ʋ äː d̪
धब्बा	d̪ʱ ə b̚ b äː
धमकाना	d̪ʱ ə̃ m k äː n̪ äː
धमकी	d̪ʱ ə̃ m k iː
धमनी	d̪ʱ ə̃ m n̪ iː
धमाका	d̪ʱ ə m äː k äː
धरना	d̪ʱ ə ɾ n̪ äː
धरातल	d̪ʱ ə ɾ äː t̪ ə l̪
धरान	d̪ʱ ə ɾ ä̃ː n̪
धर्मनिरपेक्ष	d̪ʱ ə ɾ m n̪ ɪ ɾ p eː k ʃ
धर्मनिरपेक्षता	d̪ʱ ə ɾ m n̪ ɪ ɾ p eː k ʃ t̪ äː
धर्मपरायण	d̪ʱ ə ɾ m p ə ɾ äː j ə̃ ɳ
धर्मशाला	d̪ʱ ə ɾ m ʃ äː l̪ äː
धर्मशास्त्र	d̪ʱ ə ɾ m ə ʃ äː s̪ t̪ ɾᵊ
धर्मस्थल	d̪ʱ ə ɾ m s̪ t̪ʰ ə l̪
धर्मस्थलो	d̪ʱ ə ɾ m ə s̪ t̪ʰ ə l̪ oː
धर्मस्थलों	d̪ʱ ə ɾ m ə s̪ t̪ʰ ə l̪ õː
धर्मार्थ	d̪ʱ ə ɾ m äː ɾ t̪ʰ
धाकड़	d̪ʱ äː k ə ɽ
धातुकर्म	d̪ʱ äː t̪ ʊ k ə ɾ m
धान	d̪ʱ ä̃ː n̪
धान्य	d̪ʱ ä̃ː n̪ j ə
धाम	d̪ʱ ä̃ː m
धारणा	d̪ʱ äː ɾ ɳ äː
धारा	d̪ʱ äː ɾ äː
धारित	d̪ʱ äː ɾ ɪ t̪
धार्मिक	d̪ʱ äː ɾ m ɪ k
धावा	d̪ʱ äː ʋ äː
धीरा	d̪ʱ iː ɾ äː
धुंध	d̪ʱ ʊ̃ n̪ d̪ʱ
धुंधला	d̪ʱ ʊ̃ n̪ d̪ʱ l̪ äː
धुन्नी	d̪ʱ ʊ̃ n̪ n̪ iː
धुलना	d̪ʱ ʊ l̪ n̪ äː
धूआँ	d̪ʱ uː ä̃ː
धूम	d̪ʱ ũː m
धूर्तता	d̪ʱ uː ɾ t̪ ə t̪ äː
धूल	d̪ʱ uː l̪
धूलि	d̪ʱ uː l̪ iː
धोखा	d̪ʱ oː kʰ äː
धोखाधड़ी	d̪ʱ oː kʰ äː d̪ʱ ə ɽ iː
धोखेबाज़	d̪ʱ oː kʰ eː b äː d͡ʒ
धोखेबाज़	d̪ʱ oː kʰ eː b äː z
धोना	d̪ʱ oː n̪ äː
धोबिन	d̪ʱ oː b ɪ̃ n̪
ध्यान	d̪ʱ j ä̃ː n̪
ध्यानपूर्वक	d̪ʱ j ä̃ː n̪ p uː ɾ ʋ ə k
ध्रुवीकरण	d̪ʱ ɾ ʊ ʋ iː k ə ɾ ə̃ ɳ
ध्वंसावशेष	d̪ʱ ʋ ə̃ n̪ s̪ äː ʋ ʃ eː ʃ
ध्वजा	d̪ʱ ʋ ə d͡ʒ äː
ध्वनि	d̪ʱ ʋ ə n̪ iː
ध्वनी	d̪ʱ ʋ ə n̪ iː
ध्वन्यात्मक	d̪ʱ ʋ ə̃ n̪ j äː t̪ m ə k
ध्वस्त	d̪ʱ ʋ ə s̪ t̪
न	n̪ äː
न	n̪ ə
