aaleniano	aleˈnjano
hemisferio	emisˈfeɾjo
hemispingo	emisˈpinɡo
hemistiquio	emisˈtikjo
hemocultivo	emokulˈtibo
hemofiltración	emofiltɾaˈθjon
hemofiltración	emofiltɾaˈsjon
hemorragia	e.mo.ˈra.xja
henchida	enˈt͡ʃida
henchidas	enˈt͡ʃidas
henchido	enˈt͡ʃido
henchidos	enˈt͡ʃidos
hendidura	endiˈduɾa
hendija	enˈdixa
heñida	eˈɲida
heñidas	eˈɲidas
heñido	eˈɲido
heñidos	eˈɲidos
heno	ˈeno
hepatocelular	epatoθeluˈlaɾ
hepatocelular	epatoseluˈlaɾ
hepatopatía	epatopaˈtia
heptalogía	ebtaloˈxia
heptasílabo	ebtaˈsilabo
herbar	erˈbaɾ
herbicida	erbiˈθida
herbicida	erbiˈsida
herbicidas	erbiˈθidas
herbicidas	erbiˈsidas
herbívoro	erˈbiboɾo
herborizar	erboɾiˈθaɾ
herborizar	erboɾiˈsaɾ
herculano	erkuˈlano
herculino	erkuˈlino
heredero	e.ɾeˈde.ɾo
herejía	eɾeˈxia
herético	eˈɾetiko
herida	eˈɾida
heridas	eˈɾidas
herido	eˈɾido
heridos	eˈɾidos
herir	eˈɾiɾ
herma	ˈerma
hermana	erˈmana
hermanas	erˈmanas
hermanastro	ermaˈnastɾo
hermandad	ermanˈdad
hermandar	ermanˈdaɾ
hermanita	ermaˈnita
hermanito	ermaˈnito
hermano	erˈmano
hermanos	erˈmanos
hermosa	erˈmosa
hermosas	erˈmosas
hermoseado	ermoseˈado
hermosísima	ermoˈsisima
hermosísimas	ermoˈsisimas
hermosísimo	ermoˈsisimo
hermosísimos	ermoˈsisimos
hermoso	erˈmoso
hermosos	erˈmosos
hermosura	ermoˈsuɾa
Hernández	erˈnandeθ
Hernández	erˈnandes
herniación	ernjaˈθjon
herniación	ernjaˈsjon
herniarse	erˈnjarse
héroe	ˈeɾoe
héroe	ˈeɾwe
heroica	eˈɾoika
heroicas	eˈɾoikas
heroico	eˈɾoiko
heroicos	eˈɾoikos
heroína	eɾoˈina
heroniano	eɾoˈnjano
herpético	erˈpetiko
herraj	eˈrax
herraje	eˈraxe
herramienta	eraˈmjenta
Herrera	eˈreɾa
herrerano	ereˈɾano
herrerista	ereˈɾista
herrero	eˈreɾo
herrumbrada	erumˈbɾada
herrumbradas	erumˈbɾadas
herrumbrado	erumˈbɾado
herrumbrados	erumˈbɾados
herrumbrar	erumˈbɾaɾ
herrumbre	eˈrumbɾe
hervida	erˈbida
hervidas	erˈbidas
hervido	erˈbido
hervidos	erˈbidos
hervir	erˈbiɾ
hervor	erˈboɾ
heterocigosidad	eteɾoθiɡosiˈdad
heterocigosidad	eteɾosiɡosiˈdad
heterocigoto	eteɾoθiˈɡoto
heterocigoto	eteɾosiˈɡoto
heterosexualidad	eteɾoseɡswaliˈdad
hevea	eˈbea
hexacampeón	eɡsakampeˈon
hey	ˈei
hez	ˈeθ
hez	ˈes
hialino	ɟ͡ʝaˈlino
hialino	jaˈlino
hiatal	ɟ͡ʝaˈtal
hiato	ˈɟ͡ʝato
hibernada	iberˈnada
hibernadas	iberˈnadas
hibernado	iberˈnado
hibernados	iberˈnados
hibernar	iberˈnaɾ
hibisco	iˈbisko
hibridada	ibɾiˈdada
hibridadas	ibɾiˈdadas
hibridado	ibɾiˈdado
hibridados	ibɾiˈdados
hibridar	ibɾiˈdaɾ
hice	ˈiθe
hice	ˈise
hiciera	iˈθjeɾa
hiciera	iˈsjeɾa
hicimos	iˈθimos
hicimos	iˈsimos
hidalgo	iˈdalɡo
Hidalgo	iˈdalɡo
hidalguía	idalˈɡia
hidatidosis	idatiˈdosis
hidratada	idɾaˈtada
hidratadas	idɾaˈtadas
hidratado	idɾaˈtado
hidratados	idɾaˈtados
hidrocálido	idɾoˈkalido
hidrocarbonado	idɾokarboˈnado
hidroformilación	idɾoformilaˈθjon
hidroformilación	idɾoformilaˈsjon
hidrogena	idɾoˈxena
hidrogenada	idɾoxeˈnada
hidrogenadas	idɾoxeˈnadas
hidrogenado	idɾoxeˈnado
hidrogenados	idɾoxeˈnados
hidrogenamos	idɾoxeˈnamos
hidrogenando	idɾoxeˈnando
hidrogenar	idɾoxeˈnaɾ
hidrogenara	idɾoxeˈnaɾa
hidrogenará	idɾoxenaˈɾa
hidrogenáramos	idɾoxeˈnaɾamos
hidrogenaras	idɾoxeˈnaɾas
hidrogenarás	idɾoxenaˈɾas
hidrogenareis	idɾoxeˈnaɾeis
hidrogenaremos	idɾoxenaˈɾemos
hidrogenares	idɾoxeˈnaɾes
hidrogenaríamos	idɾoxenaˈɾiamos
hidrogenas	idɾoˈxenas
hidrogenaste	idɾoxeˈnaste
hidrogene	idɾoˈxene
hidrogenemos	idɾoxeˈnemos
hidrogenes	idɾoˈxenes
hidrogeno	idɾoˈxeno
hidrógeno	iˈdɾoxeno
hidrografía	idɾoɡɾaˈfia
hidrolizar	idɾoliˈθaɾ
hidrolizar	idɾoliˈsaɾ
hidromiel	idɾoˈmjel
hidronímico	idɾoˈnimiko
hidropesía	iðɾo̞pe̞ˈsi.a
hidroponía	idɾopoˈnia
hiedra	ˈɟ͡ʝedɾa
hiel	ˈɟ͡ʝel
hielo	ˈɟ͡ʝelo
hiemal	ɟ͡ʝeˈmal
hiena	ˈɟ͡ʝena
hiénido	ˈɟ͡ʝenido
hierarquía	ɟ͡ʝeɾarˈkia
hierático	ɟ͡ʝeˈɾatiko
hieratismo	ɟ͡ʝeɾaˈtismo
hierba	ˈɟ͡ʝerba
hierbabuena	ɟ͡ʝerbaˈbwena
hierbaluisa	ɟ͡ʝerbaˈlwisa
hieroglífico	ɟ͡ʝeɾoˈɡlifiko
hieromonje	ɟ͡ʝeɾoˈmonxe
hierosolimitano	ɟ͡ʝeɾosolimiˈtano
hierro	ˈɟ͡ʝero
Hierro	ˈɟ͡ʝero
hígado	ˈiɡado
higiene	iˈxjene
higo	ˈiɡo
hijas	ˈixas
hijito	iˈxito
hijo	ˈixo
híjole	ˈixole
hijos	ˈixos
hijuelo	iˈxwelo
hijueputa	ixweˈputa
hijueputilla	ixwepuˈtiʎa
hijueputilla	ixwepuˈtiɟ͡ʝa
hiladora	ilaˈdoɾa
hilandera	ilanˈdeɾa
hilandería	ilandeˈɾia
hilandero	ilanˈdeɾo
hilar	iˈlaɾ
hilemorfismo	ilemorˈfismo
hilio	ˈiljo
hilo	ˈilo
hilván	ilˈban
hilvanar	ilbaˈnaɾ
himalaya	imaˈlaɟ͡ʝa
himalayas	imaˈlaɟ͡ʝas
himalayo	imaˈlaɟ͡ʝo
himalayos	imaˈlaɟ͡ʝos
himen	ˈimen
himno	ˈimno
hincar	inˈkaɾ
hincha	ˈint͡ʃa
hinchado	inˈt͡ʃado
hinchar	inˈt͡ʃaɾ
hinchazón	int͡ʃaˈθon
hinchazón	int͡ʃaˈson
hindú	inˈdu
hinduismo	inˈdwismo
hiniesta	iˈnjesta
hinojo	iˈnoxo
hioide	ˈɟ͡ʝoide
hioideo	ɟ͡ʝoiˈdeo
hioscina	ɟ͡ʝosˈθina
hioscina	ɟ͡ʝosˈsina
hipema	iˈpema
hiperandrogenismo	ipeɾandɾoxeˈnismo
hipérbato	iˈperbato
hiperbólicamente	iperˌbolikaˈmente
hiperbolizar	iperboliˈθaɾ
hiperbolizar	iperboliˈsaɾ
hiperciclo	ipeɾˈθiklo
hiperciclo	iperˈsiklo
hiperdenso	iperˈdenso
hiperespacial	ipeɾespaˈθjal
hiperespacial	ipeɾespaˈsjal
hiperexcitabilidad	ipeɾeksθitabiliˈdad
hiperexcitabilidad	ipeɾekssitabiliˈdad
hiperextensión	ipeɾekstenˈsjon
hipergeométrico	iperxeoˈmetɾiko
hiperhidrosis	ipeɾiˈdɾosis
hipermetilación	ipermetilaˈθjon
hipermetilación	ipermetilaˈsjon
hipermnesia	iperˈmnesja
hipermoderno	ipermoˈderno
hiperosmolar	ipeɾosmoˈlaɾ
hiperpolarización	iperpolaɾiθaˈθjon
hiperpolarización	iperpolaɾisaˈsjon
hiperpresidencialista	iperpɾesidenθjaˈlista
hiperpresidencialista	iperpɾesidensjaˈlista
hiperrealista	ipereaˈlista
hiperregulatorio	ipereɡulaˈtoɾjo
hipersexualidad	iperseɡswaliˈdad
hipertonía	ipertoˈnia
hipertrigliceridemia	ipertɾiɡliθeɾiˈdemja
hipertrigliceridemia	ipertɾiɡliseɾiˈdemja
hipertrofia	iperˈtɾofja
hipertrofiar	ipertɾoˈfjaɾ
hiperventilada	iperbentiˈlada
hiperventiladas	iperbentiˈladas
hiperventilado	iperbentiˈlado
hiperventilados	iperbentiˈlados
hiperventilar	iperbentiˈlaɾ
hipervisor	iperbiˈsoɾ
hipnótico	ibˈnotiko
hipnotizar	ibnotiˈθaɾ
hipnotizar	ibnotiˈsaɾ
hipoacusia	ipoaˈkusja
hipoblasto	ipoˈblasto
hipocampal	ipokamˈpal
hipocampo	ipoˈkampo
hipoclorador	ipokloɾaˈdoɾ
hipoclorhidria	ipokloɾˈidɾja
hipocondrio	ipoˈkondɾjo
hipocresía	ipokɾeˈsia
hipódromo	iˈpodɾomo
hipofaringe	ipofaˈɾinxe
hipogastrio	ipoˈɡastɾjo
hipoglosa	ipoˈɡlosa
hipoglosas	ipoˈɡlosas
hipogloso	ipoˈɡloso
hipoglosos	ipoˈɡlosos
hipomagnesemia	ipomaɡneˈsemja
hipopótamo	ipoˈpotamo
hipoteca	ipoˈteka
hipotecada	ipoteˈkada
hipotecadas	ipoteˈkadas
hipotecado	ipoteˈkado
hipotecados	ipoteˈkados
hipótesis	iˈpotesis
hipotético	ipoˈtetiko
hipotetizar	ipotetiˈθaɾ
hipotetizar	ipotetiˈsaɾ
hipoventilación	ipobentilaˈθjon
hipoventilación	ipobentilaˈsjon
hipsilofodóntido	ibsilofoˈdontido
hipster	ˈipsteɾ
hisopada	isoˈpada
hisopadas	isoˈpadas
hisopado	isoˈpado
hisopados	isoˈpados
hisopar	isoˈpaɾ
hisopillo	isoˈpiʎo
hisopillo	isoˈpiɟ͡ʝo
hisopo	iˈsopo
hispalense	ispaˈlense
hispana	isˈpana
hispanas	isˈpanas
hispánico	isˈpaniko
hispanizar	ispaniˈθaɾ
hispanizar	ispaniˈsaɾ
hispano	isˈpano
hispanoamericana	ispanoameɾiˈkana
hispanoamericanas	ispanoameɾiˈkanas
hispanoamericano	ispanoameɾiˈkano
hispanoamericanos	ispanoameɾiˈkanos
hispanoflamenco	isˌpanoflaˈmenko
hispanohablante	ispanoaˈblante
hispanomarroquí	ispanomaroˈki
hispanos	isˈpanos
histeria	isˈteɾja
histérico	isˈteɾiko
histología	istoloˈxia
historia	isˈtoɾja
historiador	istoɾjaˈdoɾ
histórica	isˈtoɾika
históricamente	isˌtoɾikaˈmente
históricas	isˈtoɾikas
historicidad	istoɾiθiˈdad
historicidad	istoɾisiˈdad
historicidades	istoɾiθiˈdades
historicidades	istoɾisiˈdades
histórico	isˈtoɾiko
históricos	isˈtoɾikos
historietístico	istoɾjeˈtistiko
hitleriana	itleˈɾjana
hitlerianas	itleˈɾjanas
hitlerianos	itleˈɾjanos
hito	ˈito
hiyab	xiˈɟ͡ʝab
hiyab	iˈɟ͡ʝab
hizo	ˈiθo
hizo	ˈiso
hmong	ˈmonɡ
hobby	ˈxobi
hockey	ˈxokei
hogaño	oˈɡaɲo
hogar	oˈɡaɾ
hogaril	oɡaˈɾil
hogaza	o.ˈɣa.θa
hogaza	o.ˈɣa.sa
hoja	ˈoxa
hojalatería	oxalateˈɾia
hojaldrada	oxalˈdɾada
hojaldradas	oxalˈdɾadas
hojaldrado	oxalˈdɾado
hojaldrados	oxalˈdɾados
hojaldrar	oxalˈdɾaɾ
hojaldre	oˈxaldɾe
hojuela	oˈxwela
hola	ˈola
Holanda	oˈlanda
holandés	olanˈdes
holgada	olˈɡada
holgadas	olˈɡadas
holgado	olˈɡado
holgados	olˈɡados
holgar	olˈɡaɾ
holgazán	olɡaˈθan
holgazán	olɡaˈsan
holgazana	olɡaˈθana
holgazana	olɡaˈsana
holgazanas	olɡaˈθanas
holgazanas	olɡaˈsanas
holgazaneada	olɡaθaneˈada
holgazaneada	olɡasaneˈada
holgazaneadas	olɡaθaneˈadas
holgazaneadas	olɡasaneˈadas
holgazaneado	olɡaθaneˈado
holgazaneado	olɡasaneˈado
holgazaneados	olɡaθaneˈados
holgazaneados	olɡasaneˈados
holgazanear	olɡaθaneˈaɾ
holgazanear	olɡasaneˈaɾ
holgazanería	olɡaθaneˈɾia
holgazanería	olɡasaneˈɾia
holgazanes	olɡaˈθanes
holgazanes	olɡaˈsanes
Holguín	olˈɡin
holismo	oˈlismo
holístico	oˈlistiko
hollar	oˈʎaɾ
hollar	oˈɟ͡ʝaɾ
hollejo	oˈʎexo
hollejo	oˈɟ͡ʝexo
holocausto	oloˈkausto
holonomía	olonoˈmia
hombre	ˈombɾe
homenaje	omeˈnaxe
homeópata	omeˈopata
homeopatía	omeopaˈtia
homérico	oˈmeɾiko
Homero	oˈmeɾo
homoafectivo	omoafeɡˈtibo
homofobia	omoˈfobja
homófona	oˈmofona
homófonas	oˈmofonas
homófono	oˈmofono
homófonos	oˈmofonos
homogeneizada	omoxeneiˈθada
homogeneizada	omoxeneiˈsada
homogeneizadas	omoxeneiˈθadas
homogeneizadas	omoxeneiˈsadas
homogeneizado	omoxeneiˈθado
homogeneizado	omoxeneiˈsado
homogeneizados	omoxeneiˈθados
homogeneizados	omoxeneiˈsados
homologada	omoloˈɡada
homologadas	omoloˈɡadas
homologado	omoloˈɡado
homologados	omoloˈɡados
homomórfico	omoˈmorfiko
homoparentalidad	omopaɾentaliˈdad
homosexualidad	omoseɡswaliˈdad
homotético	omoˈtetiko
homúnculo	oˈmunkulo
homúnculos	oˈmunkulos
honda	ˈon.da
hondas	ˈondas
hondo	ˈondo
Honduras	onˈduɾas
honesta	oˈnesta
honestas	oˈnestas
honestidad	onestiˈdad
honestidades	onestiˈdades
honestísimo	onesˈtisimo
honesto	oˈnesto
honestos	oˈnestos
hongkonés	hoŋ.koˈnes
hongo	ˈonɡo
honor	oˈnoɾ
honorable	onoˈɾable
honorada	onoˈɾada
honoradas	onoˈɾadas
honorado	onoˈɾado
honorados	onoˈɾados
honorar	onoˈɾaɾ
honoraria	onoˈɾaɾja
honorarias	onoˈɾaɾjas
honorario	onoˈɾaɾjo
honorarios	onoˈɾaɾjos
honores	oˈnoɾes
honorífica	onoˈɾifika
honoríficas	onoˈɾifikas
honorífico	onoˈɾifiko
honoríficos	onoˈɾifikos
honra	ˈonra
honrá	onˈra
honrada	onˈrada
honradas	onˈradas
honradeces	onraˈdeθes
honradeces	onraˈdeses
honradez	onraˈdeθ
honradez	onraˈdes
honrado	onˈrado
honrados	onˈrados
honrar	onˈraɾ
honrosa	onˈrosa
honrosamente	onrosaˈmente
honrosas	onˈrosas
honroso	onˈroso
honrosos	onˈrosos
hopalanda	opaˈlanda
horaciano	o.ɾa.ˈθja.no
horaciano	o.ɾa.ˈsja.no
Horacio	oˈɾaθjo
Horacio	oˈɾasjo
horadada	oɾaˈdada
horadadas	oɾaˈdadas
horadado	oɾaˈdado
horadados	oɾaˈdados
horadar	oɾaˈdaɾ
horado	oˈɾado
horados	oˈɾados
horario	oˈɾaɾjo
horca	ˈorka
horchata	orˈt͡ʃata
horcón	orˈkon
hordio	ˈordjo
horizontal	oɾiθonˈtal
horizontal	oɾisonˈtal
horizontalizar	oɾiθontaliˈθaɾ
horizontalizar	oɾisontaliˈsaɾ
horma	ˈorma
hormiga	orˈmiɡa
hormigón	ormiˈɡon
hormigonada	ormiɡoˈnada
hormigonadas	ormiɡoˈnadas
hormigonado	ormiɡoˈnado
hormigonados	ormiɡoˈnados
hormigonar	ormiɡoˈnaɾ
hormigones	ormiˈɡones
hormigueada	ormiɡeˈada
hormigueadas	ormiɡeˈadas
hormigueado	ormiɡeˈado
hormigueados	ormiɡeˈados
hormiguear	ormiɡeˈaɾ
hormiguero	ormiˈɡeɾo
hormona	orˈmona
hornablenda	oɾ.naˈβlen.da
hornazo	orˈnaθo
hornazo	orˈnaso
hornillo	orˈniʎo
hornillo	orˈniɟ͡ʝo
horno	ˈorno
horóscopo	oˈɾoskopo
horquilla	orˈkiʎa
horquilla	orˈkiɟ͡ʝa
hórreo	ˈoreo
horro	ˈoro
horror	oˈroɾ
horroroso	oroˈɾoso
horros	ˈoros
hortensia	orˈtensja
Hortensia	orˈtensja
hosco	ˈosko
hospedada	ospeˈdada
hospedadas	ospeˈdadas
hospedado	ospeˈdado
hospedados	ospeˈdados
hospicio	ˌos.ˈpi.θjo
hospicio	ˌos.ˈpi.sjo
hospital	ospiˈtal
hospitalidad	ospitaliˈdad
hospitalizada	ospitaliˈθada
hospitalizada	ospitaliˈsada
hospitalizadas	ospitaliˈθadas
hospitalizadas	ospitaliˈsadas
hospitalizado	ospitaliˈθado
hospitalizado	ospitaliˈsado
hospitalizados	ospitaliˈθados
hospitalizados	ospitaliˈsados
hostal	osˈtal
hostia	ˈostja
hostigada	ostiˈɡada
hostigadas	ostiˈɡadas
hostigado	ostiˈɡado
hostigados	ostiˈɡados
hostigar	ostiˈɡaɾ
hostil	osˈtil
hostilizar	ostiliˈθaɾ
hostilizar	ostiliˈsaɾ
hotdog	odˈdoɡ
hotel	oˈtel
hoy	ˈoi
hoya	ˈoɟ͡ʝa
hoz	ˈoθ
hoz	ˈos
hozada	oˈθada
hozada	oˈsada
hozadas	oˈθadas
hozadas	oˈsadas
hozado	oˈθado
hozado	oˈsado
hozados	oˈθados
hozados	oˈsados
hozar	oˈθaɾ
hozar	oˈsaɾ
huaca	ˈwaka
huachafo	waˈt͡ʃafo
huachimán	wat͡ʃiˈman
huachinango	wat͡ʃiˈnanɡo
huaico	ˈwaiko
Hualañe	waˈlaɲe
Hualañé	walaˈɲe
huanca	ˈwanka
huancavilca	wankaˈbilka
huanuqueña	wanuˈkeɲa
huanuqueño	wanuˈkeɲo
huaquero	waˈkeɾo
huarache	waˈɾat͡ʃe
huari	ˈwaɾi
huarizo	waˈɾiθo
huarizo	waˈɾiso
huascarista	waskaˈɾista
huaso	ˈwaso
huaso	ˈɡwaso
huaurina	wauˈɾina
huaurinas	wauˈɾinas
huaurino	wauˈɾino
huaurinos	wauˈɾinos
huauzontle	wauˈθontle
huauzontle	wauˈsontle
huazontle	waˈθontle
huazontle	waˈsontle
hubiera	uˈbjeɾa
hubieras	uˈbjeɾas
hueá	weˈa
huebra	ˈwebɾa
hueco	ˈweko
huego	ˈweɡo
huehue	ˈwewe
huehueteco	weweˈteko
Huehuetenango	weweteˈnanɡo
huela	ˈwela
huele	ˈwele
huelga	ˈwelɡa
huelgo	ˈwelɡo
huelgos	ˈwelɡos
huella	ˈweʎa
huella	ˈweɟ͡ʝa
Huelva	ˈwelba
huelveña	welˈbeɲa
huelveño	welˈbeɲo
huerco	ˈwerko
huérfana	ˈwerfana
huérfano	ˈwerfano
huerta	ˈwerta
huertano	werˈtano
huerto	ˈwerto
huesa	ˈwesa
Huesca	ˈweska
huesecillo	weseˈθiʎo
huesecillo	weseˈsiɟ͡ʝo
huesito	weˈsito
hueso	ˈweso
hueso	ˈɡweso
hueso	ˈbweso
huésped	ˈwesped
huéspeda	ˈwespeda
hueste	ˈweste
huesudo	weˈsudo
hueva	ˈweba
huevada	weˈbada
hueveada	webeˈada
hueveadas	webeˈadas
hueveado	webeˈado
hueveados	webeˈados
huevear	webeˈaɾ
huevecillo	webeˈθiʎo
huevecillo	webeˈsiɟ͡ʝo
hueveo	weˈbeo
hueveó	webeˈo
huevo	ˈwebo
huevo	ˈɡwebo
huevón	weˈbon
huevona	weˈbona
huevonas	weˈbonas
huevones	weˈbones
huichol	wiˈt͡ʃol
huido	ˈwido
huila	ˈwila
huilliche	wiˈʎit͡ʃe
huilliche	wiˈɟ͡ʝit͡ʃe
huilo	ˈwilo
huiña	ˈwiɲa
huinca	ˈwinka
huincha	ˈwint͡ʃa
huipil	wiˈpil
Huique	ˈwike
huir	ˈwiɾ
huisache	wiˈsat͡ʃe
huitlacoche	witlaˈkot͡ʃe
hule	ˈule
hules	ˈules
hulla	ˈuʎa
hulla	ˈuɟ͡ʝa
huma	ˈuma
humada	uˈmada
humadas	uˈmadas
humado	uˈmado
humados	uˈmados
humana	uˈmana
humanas	uˈmanas
humancé	umanˈθe
humancé	umanˈse
humanes	uˈmanes
humaniforme	umaniˈforme
humanizada	umaniˈθada
humanizada	umaniˈsada
humanizadas	umaniˈθadas
humanizadas	umaniˈsadas
humanizado	umaniˈθado
humanizado	umaniˈsado
humanizados	umaniˈθados
humanizados	umaniˈsados
humanizar	umaniˈθaɾ
humanizar	umaniˈsaɾ
humano	uˈmano
humanos	uˈmanos
humar	uˈmaɾ
humeante	umeˈante
humectada	umeɡˈtada
humectadas	umeɡˈtadas
humectado	umeɡˈtado
humectados	umeɡˈtados
humectar	umeɡˈtaɾ
humedad	umeˈdad
humedece	umeˈdeθe
humedece	umeˈdese
humedecemos	umedeˈθemos
humedecemos	umedeˈsemos
humedecer	umedeˈθeɾ
humedecer	umedeˈseɾ
humedecerá	umedeθeˈɾa
humedecerá	umedeseˈɾa
humedecerás	umedeθeˈɾas
humedecerás	umedeseˈɾas
humedeceremos	umedeθeˈɾemos
humedeceremos	umedeseˈɾemos
humedeceríamos	umedeθeˈɾiamos
humedeceríamos	umedeseˈɾiamos
humedeces	umeˈdeθes
humedeces	umeˈdeses
humedecíamos	umedeˈθiamos
humedecíamos	umedeˈsiamos
humedecida	umedeˈθida
humedecida	umedeˈsida
humedecidas	umedeˈθidas
humedecidas	umedeˈsidas
humedecido	umedeˈθido
humedecido	umedeˈsido
humedecidos	umedeˈθidos
humedecidos	umedeˈsidos
humera	uˈmeɾa
humeral	umeˈɾal
humerales	umeˈɾales
humeras	uˈmeɾas
humerocubital	umeɾokubiˈtal
humidificación	umidifikaˈθjon
humidificación	umidifikaˈsjon
humidificar	umidifiˈkaɾ
humillación	umiʎaˈθjon
humillación	umiɟ͡ʝaˈsjon
humillada	umiˈʎada
humillada	umiˈɟ͡ʝada
humilladas	umiˈʎadas
humilladas	umiˈɟ͡ʝadas
humillado	umiˈʎado
humillado	umiˈɟ͡ʝado
humillados	umiˈʎados
humillados	umiˈɟ͡ʝados
humillantemente	umiʎanteˈmente
humillantemente	umiɟ͡ʝanteˈmente
humillar	umiˈʎaɾ
humillar	umiˈɟ͡ʝaɾ
humita	uˈmita
humo	ˈumo
humoral	umoˈɾal
huna	ˈuna
hunas	ˈunas
hundida	unˈdida
hundidas	unˈdidas
hundido	unˈdido
hundidos	unˈdidos
hundir	unˈdiɾ
húngaro	ˈunɡaɾo
Hungría	unˈɡɾia
huno	ˈu.no
hunos	ˈuno̞s
huracán	uɾaˈkan
huraña	uˈɾaɲa
hurañas	uˈɾaɲas
huraño	uˈɾaɲo
huraños	uˈɾaɲos
hurón	uˈɾon
hurto	ˈurto
húsar	ˈusaɾ
huso	ˈuso
husos	ˈusos
huy	ˈui
huya	ˈuɟ͡ʝa
i	i
i	j
i	i
iatrofobia	ɟ͡ʝatɾoˈfobja
iatrogenia	ɟ͡ʝatɾoˈxenja
iba	ˈiba
Iberia	iˈbeɾja
ibérica	iˈbeɾika
ibéricas	iˈbeɾikas
ibérico	iˈbeɾiko
ibéricos	iˈbeɾikos
iberoamericana	ibeɾoameɾiˈkana
iberoaméricana	ibeɾoaˈmeɾikana
iberoamericanas	ibeɾoameɾiˈkanas
iberoaméricanas	ibeɾoaˈmeɾikanas
iberoamericano	ibeɾoameɾiˈkano
iberoaméricano	ibeɾoaˈmeɾikano
iberoamericanos	ibeɾoameɾiˈkanos
iberoaméricanos	ibeɾoaˈmeɾikanos
íbice	ˈi.βi.θe
íbice	ˈi.βi.se
ibis	ˈibis
Ibiza	iˈbiθa
Ibiza	iˈbisa
ibón	iˈbon
Ícaro	ˈikaɾo
ice	ˈiθe
ice	ˈise
icé	iˈθe
icé	iˈse
iceberg	ˈiθebeɾ
iceberg	ˈisebeɾ
iceberg	ˈaisberɡ
icnogénero	iɡnoˈxeneɾo
iconicidad	ikoniθiˈdad
iconicidad	ikonisiˈdad
icono	iˈkono
ícono	ˈikono
iconoclasta	ikonoˈklasta
iconografía	ikonoɡɾaˈfia
iconológico	ikonoˈloxiko
icor	iˈkoɾ
icores	iˈkoɾes
ictiosaurio	iɡtjoˈsauɾjo
id	ˈid
ida	ˈida
idas	ˈidas
idea	iˈdea
ideal	ideˈal
ideales	ideˈales
idealista	ideaˈlista
idealistas	ideaˈlistas
idealizada	idealiˈθada
idealizada	idealiˈsada
idealizadas	idealiˈθadas
idealizadas	idealiˈsadas
idealizado	idealiˈθado
idealizado	idealiˈsado
idealizados	idealiˈθados
idealizados	idealiˈsados
idealizar	idealiˈθaɾ
idealizar	idealiˈsaɾ
ídem	ˈiden
identidad	identiˈdad
identificación	identifikaˈθjon
identificación	identifikaˈsjon
identificada	identifiˈkada
identificadas	identifiˈkadas
identificado	identifiˈkado
identificador	identifikaˈdoɾ
identificadora	identifikaˈdoɾa
identificadoras	identifikaˈdoɾas
identificadores	identifikaˈdoɾes
identificados	identifiˈkados
ideográfico	ideoˈɡɾafiko
ideograma	ideoˈɡɾama
ideología	ideoloˈxia
ideologizar	ideoloxiˈθaɾ
ideologizar	ideoloxiˈsaɾ
idílico	iˈdiliko
idilio	iˈdiljo
idiota	iˈdjota
idiotas	iˈdjotas
idiotez	i.djo.ˈteθ
idiotizada	idjotiˈθada
idiotizada	idjotiˈsada
idiotizadas	idjotiˈθadas
idiotizadas	idjotiˈsadas
idiotizado	idjotiˈθado
idiotizado	idjotiˈsado
idiotizados	idjotiˈθados
idiotizados	idjotiˈsados
idiotizar	idjotiˈθaɾ
idiotizar	idjotiˈsaɾ
idish	iˈdis
ido	ˈido
idolatrada	idolaˈtɾada
idolatradas	idolaˈtɾadas
idolatrado	idolaˈtɾado
idolatrados	idolaˈtɾados
idolatrar	idolaˈtɾaɾ
idoneidad	idoneiˈdad
idóneo	iˈdoneo
idos	ˈidos
idus	ˈidus
íes	ˈies
IFE	ˈife
igbo	ˈiɡbo
iglesia	iˈɡlesja
iglú	iˈɡlu
Ignacio	iɡˈnaθjo
Ignacio	iɡˈnasjo
ignara	iɡˈnaɾa
ignaras	iɡˈnaɾas
ignaro	iɡˈnaɾo
ignaros	iɡˈnaɾos
ignorada	iɡnoˈɾada
ignoradas	iɡnoˈɾadas
ignorado	iɡnoˈɾado
ignorados	iɡnoˈɾados
ignorante	iɡnoˈɾante
igual	iˈɡwal
igualada	iɡwaˈlada
igualadas	iɡwaˈladas
igualado	iɡwaˈlado
igualados	iɡwaˈlados
igualdad	iɡwalˈdad
igualmente	ˌiɡwalˈmente
iguana	iˈɡwana
ijar	iˈxaɾ
ikurriña	ikuˈriɲa
ilegal	ileˈɡal
ilegales	ileˈɡales
ilegalidad	ileɡaliˈdad
ilegalidades	ileɡaliˈdades
ilegalismo	ileɡaˈlismo
ilegalizada	ileɡaliˈθada
ilegalizada	ileɡaliˈsada
ilegalizadas	ileɡaliˈθadas
ilegalizadas	ileɡaliˈsadas
ilegalizado	ileɡaliˈθado
ilegalizado	ileɡaliˈsado
ilegalizados	ileɡaliˈθados
ilegalizados	ileɡaliˈsados
ilegalizar	ileɡaliˈθaɾ
ilegalizar	ileɡaliˈsaɾ
ilegitimar	ilexitiˈmaɾ
ilegítimo	ileˈxitimo
íleo	ˈileo
ileocólico	ileoˈkoliko
íleon	ˈileon
íleones	ˈileones
ileso	iˈleso
iletrada	ileˈtɾada
iletradas	ileˈtɾadas
iletrado	ileˈtɾado
iletrados	ileˈtɾados
iliaca	iˈljaka
iliacas	iˈljakas
iliaco	iˈljako
