ء	ʔ
جدید	d͡ʒ a d i d
جدید	d͡ʒ a d iː d
جدید	d͡ʒ æ d iː d
جرم	d͡ʒ e ɾ m
جرم	d͡ʒ i ɾ m
جرم	d͡ʒ o ɾ m
جرم	d͡ʒ u ɾ m
جرم	d͡ʒ ɪ ɾ m
جرم	d͡ʒ ʊ ɾ m
جزدان	d͡ʒ o z d ɒː n
جزدان	d͡ʒ u z d ɑː n
جزدان	d͡ʒ u z d ɔː n
جزدان	d͡ʒ ʊ z d ɒː n
جزیره	d͡ʒ a z i ɾ a
جزیره	d͡ʒ a z iː ɾ a
جزیره	d͡ʒ æ z iː ɾ e
جزیه	d͡ʒ e z j e
جزیه	d͡ʒ i z j a
جزیه	d͡ʒ ɪ z j a
جستجو	d͡ʒ o s t o d͡ʒ uː j
جستجو	d͡ʒ u s t u d͡ʒ uː j
جستجو	d͡ʒ u s t u d͡ʒ ɵː j
جستجو	d͡ʒ ʊ s t ʊ d͡ʒ uː j
جعبه	d͡ʒ a ʔ b a
جعبه	d͡ʒ æ ʔ b e
جعفر	d͡ʒ æ ʔ f æ r
جعفری	d͡ʒ æ ʔ f æ ɾ iː
جفت	d͡ʒ o f t
جفت	d͡ʒ u f t
جفت	d͡ʒ ʊ f t
جلسه	d͡ʒ a l a s a
جلسه	d͡ʒ æ l æ s e
جلو	d͡ʒ e l o w
جلو	d͡ʒ i l a v
جلو	d͡ʒ i l a w
جلو	d͡ʒ ɪ l a w
جلوگیری	d͡ʒ e l o w ɡ iː ɾ iː
جلوگیری	d͡ʒ i l a v ɡ i ɾ iː
جلوگیری	d͡ʒ i l a w ɡ iː ɾ iː
جلوگیری	d͡ʒ ɪ l a w ɡ iː ɾ iː
جمال	d͡ʒ a m ɑː l
جمال	d͡ʒ a m ɒː l
جمال	d͡ʒ a m ɔː l
جمال	d͡ʒ æ m ɒː l
جمشید	d͡ʒ a m ʃ e d
جمشید	d͡ʒ a m ʃ eː d
جمشید	d͡ʒ æ m ʃ iː d
جمعه	d͡ʒ o m ʔ e
جمعه	d͡ʒ u m ʔ a
جمعه	d͡ʒ ʊ m ʔ a
جمله	d͡ʒ o m l e
جمله	d͡ʒ u m l a
جمله	d͡ʒ ʊ m l a
جمهوری	d͡ʒ o m h uː ɾ iː
جمهوری	d͡ʒ u m h u ɾ iː
جمهوری	d͡ʒ u m h uː ɾ iː
جمهوری	d͡ʒ ʊ m h uː ɾ iː
جنس	d͡ʒ e n s
جنس	d͡ʒ i n s
جنس	d͡ʒ ɪ n s
جنسی	d͡ʒ e n s iː
جنسی	d͡ʒ i n s iː
جنسی	d͡ʒ ɪ n s iː
جنوب	d͡ʒ a n u b
جنوب	d͡ʒ a n uː b
جنوب	d͡ʒ æ n uː b
جنون	d ʒ o n uː n
جنگل	d ʒ æ n ɡ æ l
جهان	d͡ʒ a h ɑː n
جهان	d͡ʒ a h ɒː n
جهان	d͡ʒ a h ɔː n
جهان	d͡ʒ æ h ɒː n
جواب	d͡ʒ a v ɑː b
جواب	d͡ʒ a v ɔː b
جواب	d͡ʒ a w ɒː b
جواب	d͡ʒ æ v ɒː b
جواب‌ها	d ʒ æ v ɒː b h ɒː
جواری	d͡ʒ o v ɒː ɾ iː
جواری	d͡ʒ u v ɑː ɾ iː
جواری	d͡ʒ u v ɔː ɾ iː
جواری	d͡ʒ ʊ w ɒː ɾ iː
جوان	d͡ʒ a v ɑː n
جوان	d͡ʒ a v ɔː n
جوان	d͡ʒ a w ɒː n
جوان	d͡ʒ æ v ɒː n
جوانی	d͡ʒ a v ɑː n iː
جوانی	d͡ʒ a v ɔː n iː
جوانی	d͡ʒ a w ɒː n iː
جوانی	d͡ʒ æ v ɒː n iː
جوراب	d ʒ oː ɾ ɒː b
جوره	d͡ʒ oː ɾ a
جوره	d͡ʒ uː ɾ e
جوره	d͡ʒ ɵː ɾ a
جوهر	d͡ʒ a v h a ɾ
جوهر	d͡ʒ a w h a ɾ
جوهر	d͡ʒ o w h æ ɾ
جوگی	d͡ʒ oː ɡ iː
جوگی	d͡ʒ uː ɡ iː
جوگی	d͡ʒ ɵː ɡ iː
جویدن	d͡ʒ a v i d a n
جویدن	d͡ʒ a v iː d a n
جویدن	d͡ʒ a w iː d a n
جویدن	d͡ʒ æ v iː d æ n
جگر	d ʒ e ɡ æ ɾ
جیب	d͡ʒ i b
جیب	d͡ʒ iː b
ح	h
ح	h e
حاجت	h ɑː d͡ʒ a t
حاجت	h ɒː d͡ʒ a t
حاجت	h ɒː d͡ʒ æ t
حاجت	h ɔ d͡ʒ a t
حاد	h ɒː d
حاشیه	h ɑː ʃ i j a
حاشیه	h ɒː ʃ i j a
حاشیه	h ɒː ʃ i j e
حاشیه	h ɔː ʃ i j a
حاصل	h ɑː s i l
حاصل	h ɒː s e l
حاصل	h ɒː s ɪ l
حاصل	h ɔː s i l
حافظ	h ɒː f e z
حالا	h ɑː l ɑː
حالا	h ɒː l ɒː
حالا	h ɔː l ɔː
حاکم	h ɑː k i m
حاکم	h ɒː k e m
حاکم	h ɒː k ɪ m
حاکم	h ɔː k i m
حج	h a d d͡ʒ
حج	h æ d d͡ʒ
حجاب	h e d͡ʒ ɒː b
حجاب	h i d͡ʒ ɑː b
حجاب	h i d͡ʒ ɔː b
حجاب	h ɪ d͡ʒ ɒː b
حجره	h o d͡ʒ r e
حدادی	h æ dː ɒː d iː
حرص	h e ɾ s
حرص	h i ɾ s
حرص	h ɪ ɾ s
حرف	h a ɾ f
حرف	h æ ɾ f
حرفه	h e ɾ f e
حرفه	h i ɾ f a
حرفه	h ɪ ɾ f a
حرکت	h a ɾ a k a t
حرکت	h æ ɾ æ k æ t
حساب	h e s ɒː b
حساب	h i s ɑː b
حساب	h i s ɔː b
حساب	h ɪ s ɒː b
حشیش	h a ʃ i ʃ
حشیش	h a ʃ iː ʃ
حشیش	h æ ʃ iː ʃ
حقوق	h o q u q
حقیقت	h æ ɣ iː ɣ æ tʰ
حلال	h æ l ɒː l
حلوا	h a l v ɑː
حلوا	h a l v ɔː
حلوا	h a l w ɒː
حلوا	h æ l v ɒː
حماس	h a m ɑː s
حماس	h a m ɒː s
حماس	h a m ɔː s
حماس	h æ m ɒː s
حمام	h a m m ɑː m
حمام	h a m m ɒː m
حمام	h a m m ɔː m
حمام	h æ m m ɒː m
حمایت	h e m ɒː j æ t
حمایت	h i m ɑː j a t
حمایت	h i m ɔː j a t
حمایت	h ɪ m ɒː j a t
حکومت	h o k uː m æ t
حکومت	h u k u m a t
حکومت	h u k uː m a t
حکومت	h ʊ k uː m a t
حیات	h a j ɑː t
حیات	h a j ɒː t
حیات	h a j ɔː t
حیات	h æ j ɒː t
حیوان	h a j v ɑː n
حیوان	h a j v ɔː n
حیوان	h a j w ɒː n
حیوان	h e j v ɒː n
خ	x
خ	x e
خات	x ɑː t
خات	x ɒː t
خات	x ɔː t
خاتم	x ɑː t a m
خاتم	x ɒː t a m
خاتم	x ɒː t æ m
خاتم	x ɔː t a m
خاتمه	x ɑː t i m a
خاتمه	x ɒː t e m e
خاتمه	x ɒː t ɪ m a
خاتمه	x ɔː t i m a
خاتون	x ɑː t uː n
خاتون	x ɒː t uː n
خاتون	x ɔː t u n
خاده	x ɑː d a
خاده	x ɒː d a
خاده	x ɒː d e
خاده	x ɔː d a
خار	x ɑː ɾ
خار	x ɒː ɾ
خار	x ɔː ɾ
خارج	x ɑː ɾ i d͡ʒ
خارج	x ɒː ɾ e d͡ʒ
خارج	x ɒː ɾ ɪ d͡ʒ
خارج	x ɔː ɾ i d͡ʒ
خارجه	x ɑː ɾ i d͡ʒ a
خارجه	x ɒː ɾ e d͡ʒ e
خارجه	x ɒː ɾ ɪ d͡ʒ a
خارجه	x ɔː ɾ i d͡ʒ a
خارجی	x ɑː ɾ i d͡ʒ iː
خارجی	x ɒː ɾ e d͡ʒ iː
خارجی	x ɒː ɾ ɪ d͡ʒ iː
خارجی	x ɔː ɾ i d͡ʒ iː
خارگیل	x ɑː ɾ ɡ iː l
خارگیل	x ɒː ɾ ɡ iː l
خارگیل	x ɔː ɾ ɡ i l
خاستن	x ɑː s t a n
خاستن	x ɒː s t a n
خاستن	x ɒː s t æ n
خاستن	x ɔː s t a n
خاص	x ɒː s
خاص‌تر	x ɒː s tʰ æ ɾ
خاص‌ترین	x ɒː s tʰ æ ɾ iː n
خاطب	x ɑː t i b
خاطب	x ɒː t e b
خاطب	x ɒː t ɪ b
خاطب	x ɔː t i b
خاطره	x ɑː t i ɾ a
خاطره	x ɒː t e ɾ e
خاطره	x ɒː t ɪ ɾ a
خاطره	x ɒː tʰ e ɾ e
خاطره	x ɔː t i ɾ a
خاقان	x ɑː q ɑː n
خاقان	x ɒː q ɒː n
خاقان	x ɒː ɣ ɒː n
خاقان	x ɔː q ɔː n
خال	x ɑː l
خال	x ɒː l
خال	x ɔː l
خالق	x ɑː l i q
خالق	x ɒː l e ɣ
خالق	x ɒː l ɪ q
خالق	x ɔː l i q
خاله	x ɑː l a
خاله	x ɒː l a
خاله	x ɒː l e
خاله	x ɔː l a
خالو	x ɑː l uː
خالو	x ɒː l uː
خالو	x ɔː l u
خام	x ɒː m
خاموش	x ɑː m oː ʃ
خاموش	x ɒː m oː ʃ
خاموش	x ɒː m uː ʃ
خاموش	x ɔː m ɵː ʃ
خاموشی	x ɑː m oː ʃ iː
خاموشی	x ɒː m oː ʃ iː
خاموشی	x ɒː m uː ʃ iː
خاموشی	x ɔː m ɵː ʃ iː
خان	x ɑː n
خان	x ɒː n
خان	x ɔː n
خاندان	x ɑː n d ɑː n
خاندان	x ɒː n d ɒː n
خاندان	x ɔː n d ɔː n
خانقاه	x ɑː n q ɑː h
خانقاه	x ɒː n q ɒː h
خانقاه	x ɒː n ɣ ɒː h
خانقاه	x ɔː n q ɔː h
خانه	x ɑː n a
خانه	x ɒː n a
خانه	x ɒː n e
خانه	x ɔː n a
خانواده	x ɑː n a v ɑː d a
خانواده	x ɒː n a w ɒː d a
خانواده	x ɒː n e v ɒː d e
خانواده	x ɔː n a v ɔː d a
خانوادگی	x ɑː n a v ɑː d a ɡ iː
خانوادگی	x ɒː n a w ɒː d a ɡ iː
خانوادگی	x ɒː n e v ɒː d e ɡ iː
خانوادگی	x ɔː n a v ɔː d a ɡ iː
خانگی	x ɑː n a ʔ ɡ iː
خانگی	x ɒː n a ʔ ɡ iː
خانگی	x ɒː n æ ʔ ɡ iː
خانگی	x ɔː n a ʔ ɡ iː
خاور	x ɑː v a ɾ
خاور	x ɒː v æ ɾ
خاور	x ɒː w a ɾ
خاور	x ɔː v a ɾ
خاویار	x ɒː v i j ɒː ɾ
خاژغان	x ɑː ʒ ɣ ɑː n
خاژغان	x ɒː ʒ ɣ ɒː n
خاژغان	x ɔː ʒ ɣ ɔː n
خاک	x ɑː k
خاک	x ɒː k
خاک	x ɔː k
خاکروبه	x ɑː k ɾ oː b a
خاکروبه	x ɒː k ɾ oː b a
خاکروبه	x ɒː k ɾ uː b e
خاکروبه	x ɔː k ɾ ɵː b a
خاکستر	x ɑː k i s t a ɾ
خاکستر	x ɒː k e s t æ ɾ
خاکستر	x ɒː k ɪ s t a ɾ
خاکستر	x ɔː k i s t a ɾ
خاکستری	x ɑː k i s t a ɾ iː
خاکستری	x ɒː k e s t æ ɾ iː
خاکستری	x ɒː k ɪ s t a ɾ iː
خاکستری	x ɔː k i s t a ɾ iː
خایه	x â j a
خایه	x â j e
خباره	x a b ɑː ɾ a
خباره	x a b ɒː ɾ a
خباره	x a b ɔː ɾ a
خباره	x æ b ɒː ɾ e
خباز	x a b b ɑː z
خباز	x a b b ɒː z
خباز	x a b b ɔː z
خباز	x æ b b ɒː z
خبر	x a b a ɾ
خبر	x æ b æ ɾ
خبره	x e b ɾ e
خبره	x i b ɾ a
خبره	x ɪ b ɾ a
ختم	x a t m
ختم	x æ t m
ختنه	x æ tʰ n e
خجالت	x e d͡ʒ ɒː l æ t
خجالت	x i d͡ʒ ɑː l a t
خجالت	x i d͡ʒ ɔː l a t
خجالت	x ɪ d͡ʒ ɒː l a t
خدا	x o d ɒː
خدا	x u d ɑː
خدا	x u d ɔː
خدا	x ʊ d ɒː
خداحافظ	x o d ɒː h ɒː f e z
خداحافظ	x u d ɑː h ɑː f i z
خداحافظ	x u d ɔː h ɔː f i z
خداحافظ	x ʊ d ɒː h ɒː f ɪ z
خدای	x o d ɒː j
خدشه	x a d ʃ a
خدشه	x æ d ʃ e
خدمت	x e d m æ t
خدمت	x i d m a t
خدمت	x ɪ d m a t
خدنگ	x a d a n ɡ
خدنگ	x æ d æ n ɡ
خدیو	x a d e v
خدیو	x a d eː v
خدیو	x a d eː w
خدیو	x æ d iː v
خر	x a ɾ
خر	x æ ɾ
خراب	x a ɾ ɑː b
خراب	x a ɾ ɒː b
خراب	x a ɾ ɔː b
خراب	x æ ɾ ɒː b
خراسان	x o ɾ ɒː s ɒː n
خراسان	x u ɾ ɔː s ɔː n
خراسان	x ʊ ɾ ɒː s ɒː n
خراسان	xʷ a ɾ ɑː s ɑː n
خراسانی	x o ɾ ɒː s ɒː n iː
خراسانی	x u ɾ ɔː s ɔː n iː
خراسانی	x ʊ ɾ ɒː s ɒː n iː
خراسانی	xʷ a ɾ ɑː s ɑː n iː
خرامیدن	x e ɾ ɒː m iː d æ n
خرامیدن	x i ɾ ɑː m iː d a n
خرامیدن	x i ɾ ɔː m i d a n
خرامیدن	x ɪ ɾ ɒː m iː d a n
خربز	x a ɾ b u z
خربز	x a ɾ b ʊ z
خربز	x æ ɾ b o z
خربزه	x a ɾ b u z a
خربزه	x a ɾ b ʊ z a
خربزه	x æ ɾ b o z e
خربوزه	x a ɾ b u z a
خربوزه	x a ɾ b uː z a
خربوزه	x æ ɾ b uː z e
خرد	x e ɾ æ d
خرد	x i ɾ a d
خرد	x o ɾ d
خرد	x u ɾ d
خرد	x ɪ ɾ a d
خرد	x ʊ ɾ d
خرداد	x o ɾ d̪ ɒː d̪
خردل	x a ɾ d a l
خردل	x æ ɾ d æ l
خرس	x e ɾ s
خرس	x i ɾ s
خرس	x ɪ ɾ s
خرم	x o ɾː æ m
خرما	x o ɾ m ɒː
خرما	x u ɾ m ɑː
خرما	x u ɾ m ɔː
خرما	x ʊ ɾ m ɒː
خروس	x o ɾ uː s
خروس	x ɾ o s
خروس	x ʊ ɾ oː s
خروشیدن	x o ɾ uː ʃ iː d æ n
خروشیدن	x u ɾ oː ʃ iː d a n
خروشیدن	x u ɾ ɵː ʃ i d a n
خروشیدن	x ʊ ɾ oː ʃ iː d a n
خرگوش	x a ɾ ɡ oː ʃ
خرگوش	x a ɾ ɡ ɵː ʃ
خرگوش	x æ ɾ ɡ uː ʃ
خریدن	x æ ɾ iː d æ n
خز	x a z
خز	x æ z
خزاعی	x æ z ɒː ʔ iː
خزان	x a z ɑː n
خزان	x a z ɒː n
خزان	x a z ɔː n
خزان	x æ z ɒː n
خزنده	x æ z æ n d e
خزندگان	x æ z æ n d e ɡ ɒː n
خزیدن	x a z i d a n
خزیدن	x a z iː d a n
خزیدن	x æ z iː d æ n
خزینه	x a z i n a
خزینه	x a z iː n a
خزینه	x æ z iː n e
خسته	x a s t a
خسته	x æ s t e
خسته‌خانه	x a s t a x ɑː n a
خسته‌خانه	x a s t a x ɒː n a
خسته‌خانه	x a s t a x ɔː n a
خسته‌خانه	x æ s t e x ɒː n e
خستگی	x a s t i ɡ iː
خستگی	x a s t ɪ ɡ iː
خستگی	x æ s t e ɡ iː
خسران	x o s ɾ ɒː n
خسران	x u s ɾ ɑː n
خسران	x u s ɾ ɔː n
خسران	x ʊ s ɾ ɒː n
خسروانی	x o s ɾ æ v ɒː n iː
خسروانی	x u s ɾ a v ɔː n iː
خسروانی	x ʊ s ɾ a w ɒː n iː
خسروانی	xʷ a s ɾ a v ɑː n iː
خسیس	x a s i s
خسیس	x a s iː s
خسیس	x æ s iː s
خشاب	x e ʃ ɒː b
خشاب	x i ʃ ɑː b
خشاب	x i ʃ ɔː b
خشاب	x ɪ ʃ ɒː b
خشم	x i ʃ m
خشم	x æ ʃ m
خشونت	x o ʃ uː n æ t
خشونت	x u ʃ u n a t
خشونت	x u ʃ uː n a t
خشونت	x ʊ ʃ uː n a t
خشک	x o ʃ k
خشک	x u ʃ k
خشک	x ʊ ʃ k
خشکاندن	x o ʃ k ɒː n d æ n
خشکوندن	x o ʃ k uː n d æ n
خصم	x a s m
خصم	x æ s m
خصومت	x o s uː m æ t
خصومت	x u s u m a t
خصومت	x u s uː m a t
خصومت	x ʊ s uː m a t
خط	x a t
خط	x æ t
خطا	x a t ɑː
خطا	x a t ɒː
خطا	x a t ɔː
خطا	x æ t ɒː
خطر	x a t a ɾ
خطر	x æ t æ ɾ
خطه	x a t t a
خطه	x æ t t e
خف	x o f
خف	x u f
خف	x ʊ f
خف	xʷ a f
خفگی	x a f i ɡ iː
خفگی	x a f ɪ ɡ iː
خفگی	x æ f e ɡ iː
خلیج	x a l i d͡ʒ
خلیج	x a l iː d͡ʒ
خلیج	x æ l iː d͡ʒ
خلیفه	x a l i f a
خلیفه	x a l iː f a
خلیفه	x æ l iː f e
خنجر	x a n d͡ʒ a ɾ
خنجر	x æ n d͡ʒ æ ɾ
خندان	x æ n d ɒ n
خندق	x a n d a q
خندق	x æ n d æ ɣ
خنده	x a n d a
خنده	x æ n d e
خندون	x æ n d uː n
خنیا	x o n i j ɒː
خنیا	x u n i j ɑː
خنیا	x u n i j ɔː
خنیا	x ʊ n i j ɒː
خو	x o
خواب	x ɒː b
خواب	x ɔː b
خواب	xʷ ɑː b
خواجه	x ɒː d͡ʒ a
خواجه	x ɒː d͡ʒ e
خواجه	x ɔː d͡ʒ a
خواجه	xʷ ɑː d͡ʒ a
خوار	x ɒː ɾ
خوار	x ɔː ɾ
خوار	xʷ ɑː ɾ
خوارزم	x ɒː ɾ a z m
خوارزم	x ɒː ɾ æ z m
خوارزم	x ɔː ɾ a z m
خوارزم	xʷ ɑː ɾ a z m
خواستار	x ɒː s t̪ ɒː ɾ
خواستن	x ɒː s t a n
خواستن	x ɒː s t æ n
خواستن	x ɔː s t a n
خواستن	xʷ ɑː s t a n
خوان	x ɒː n
خوان	x ɔː n
خوان	xʷ ɑː n
خواندن	x ɒː n d a n
خواندن	x ɒː n d æ n
خواندن	x ɔː n d a n
خواندن	xʷ ɑː n d a n
خوانش	x ɒː n e ʃ
خوانش	x ɒː n ɪ ʃ
خوانش	x ɔː n i ʃ
خوانش	xʷ ɑː n i ʃ
خواننده	x ɒː n a n d a
خواننده	x ɒː n æ n d e
خواننده	x ɔː n a n d a
خواننده	xʷ ɑː n a n d a
خوانندگان	x ɒː n æ n d e ɡ ɒː n
خواه	x ɒː h
خواه	x ɒː j
خواه	x ɔː h
خواه	xʷ ɑː h
خواهر	x ɒː h a ɾ
خواهر	x ɒː h æ ɾ
خواهر	x ɔː h a ɾ
خواهر	xʷ ɑː h a ɾ
خواهش	x ɒː h e ʃ
خواهش	x ɒː h ɪ ʃ
خواهش	x ɔː h i ʃ
خواهش	xʷ ɑː h i ʃ
خوب	x u b
خوب	x uː b
خود	x o d
خود	x oː d
خود	x u d
خود	x uː d
خود	x ɵː d
خود	x ʊ d
خود	xʷ a d
خودرو	x o d ɾ o w
خودرو	x u d ɾ a v
خودرو	x ʊ d ɾ a w
خودرو	xʷ a d ɾ a w
خودکشی	x o d k o ʃ iː
خودکشی	x u d k u ʃ iː
خودکشی	x ʊ d k ʊ ʃ iː
خودکشی	xʷ a d k u ʃ iː
خور	x o ɾ
خور	x o ʊ ɾ
خور	x u ɾ
خور	x uː ɾ
خور	x ʊ ɾ
خور	xʷ a ɾ
خوراندن	x o ɾ ɒː n d æ n
خوراندن	x u ɾ ɔː n d a n
خوراندن	x ʊ ɾ ɒː n d a n
خوراندن	xʷ a ɾ ɑː n d a n
خوراک	x o ɾ ɒː k
خوراک	x u ɾ ɔː k
خوراک	x ʊ ɾ ɒː k
خوراک	xʷ a ɾ ɑː k
خوردن	x oː ɾ d a n
خوردن	x ɵː r d a n
خوردن	xʷ a ɾ d a n
خورشید	x o ɾ ʃ iː d
خورشید	x u ɾ ʃ e d
خورشید	x ʊ ɾ ʃ eː d
خورشید	xʷ u ɾ ʃ eː d
خوره	x o rː æ h
خوره	x o ɾ e
خوش	x o ʃ
خوش	x u ʃ
خوش	x ʊ ʃ
خوش	xʷ a ʃ
خوشبو	x o ʃ b uː j
خوشبو	x u ʃ b ɵː j
خوشبو	x ʊ ʃ b uː j
خوشبو	xʷ a ʃ b uː j
خوشحال	x o ʃ h ɒː l
خوشحال	x u ʃ h ɔː l
خوشحال	x ʊ ʃ h ɒː l
خوشحال	xʷ a ʃ h ɑː l
خوشنویس	x o ʃ n e v iː s
خوشنویسی	x o ʃ n e v iː s iː
خوشگل	x o ʃ ɡ e l
خوشگل	x u ʃ ɡ i l
خوشگل	x ʊ ʃ ɡ ɪ l
خوشگل	xʷ a ʃ ɡ i l
خوشگل‌تر	x o ʃ ɡ e l t æ ɾ
خوشگل‌ترین	x o ʃ ɡ e l t æ ɾ iː n
خوف	x a v f
خوف	x a w f
خوف	x o w f
خون	x u n
خون	x uː n
خونریزی	x u n ɾ e z iː
خونریزی	x uː n ɾ eː z iː
خونریزی	x uː n ɾ iː z iː
خونه	x oː n æ
خونین	x uː n iː n
خون‌شناسی	x u n ʃ i n ɔː s iː
خون‌شناسی	x uː n ʃ e n ɒː s iː
خون‌شناسی	x uː n ʃ i n ɑː s iː
خون‌شناسی	x uː n ʃ ɪ n ɒː s iː
خوک	x uː k
خویش	x e ʃ
خویش	x eː ʃ
خویش	x iː ʃ
خویش	xʷ eː ʃ
خیابان	x i j ɑː b ɑː n
خیابان	x i j ɒː b ɒː n
خیابان	x i j ɔː b ɔː n
خیار	x i j ɑː ɾ
خیار	x i j ɒː ɾ
خیار	x i j ɔː ɾ
خیر	x a j ɾ
خیر	x e j ɾ
خیز	x e z
خیز	x eː z
خیز	x iː z
خیس	x iː s
خیلی	x a j l e
خیلی	x a j l eː
خیلی	x e j l iː
خیم	x iː m
خەر	x æː ɾ
داد	d ɒː d
دارفلفل	d ɑː ɾ f i l f i l
دارفلفل	d ɒː ɾ f e l f e l
دارفلفل	d ɒː ɾ f ɪ l f ɪ l
دارفلفل	d ɔː ɾ f i l f i l
دارو	d ɒː ɾ uː
داروشناس	d ɑː ɾ uː ʃ i n ɑː s
داروشناس	d ɒː ɾ uː ʃ e n ɒː s
داروشناس	d ɒː ɾ uː ʃ ɪ n ɒː s
داروشناس	d ɔː ɾ u ʃ i n ɔː s
داشتن	d ɑː ʃ t a n
داشتن	d ɒː ʃ t a n
داشتن	d ɒː ʃ t æ n
داشتن	d ɔː ʃ t a n
داغ	d ɒː ɣ
داماد	d ɑː m ɑː d
داماد	d ɒː m ɒː d
داماد	d ɔː m ɔː d
دانش	d ɑː n i ʃ
دانش	d ɒː n e ʃ
دانش	d ɔ n ɪ ʃ
دانشجو	d ɑː n i ʃ d͡ʒ uː j
دانشجو	d ɒː n e ʃ d͡ʒ uː j
دانشجو	d ɒː n ɪ ʃ d͡ʒ uː j
دانشجو	d ɔː n i ʃ d͡ʒ ɵː j
دانشمند	d ɒː n e ʃ m æ n d
دانشکده	d ɑː n i ʃ k a d a
دانشکده	d ɒː n e ʃ k æ d e
دانشکده	d ɒː n ɪ ʃ k a d a
دانشکده	d ɔː n i ʃ k a d a
دانشگاه	d ɑː n i ʃ ɡ ɑː h
دانشگاه	d ɒː n e ʃ ɡ ɒː h
دانشگاه	d ɔ n ɪ ʃ ɡ ɔ h
داوود	d ɒː v uː d
داوود	d ɒː w uː d
دبیرستان	d a b i ɾ i s tʰ ɔː n
دبیرستان	d a b iː ɾ i s tʰ ɑː n
دبیرستان	d a b iː ɾ ɪ s tʰ ɒː n
دبیرستان	d æ b iː ɾ e s tʰ ɒː n
دجله	d e d͡ʒ l e
دجله	d i d͡ʒ l a
دجله	d ɪ d͡ʒ l a
دختر	d o x d e ɾ
دختر	d o x tʰ e ɾ
دختر	d o x tʰ æ ɾ
در	d a ɾ
در	d e ɾ
در	d o r
در	d æ ɾ
دراییدن	d a ɾ ɑː j iː d a n
دراییدن	d a ɾ ɒː j iː d a n
دراییدن	d a ɾ ɔː j i d a n
دراییدن	d æ ɾ ɒː j iː d æ n
درباره	d a ɾ b ɑː ɾ a j i
درباره	d a ɾ b ɒː ɾ a j ɪ
درباره	d a ɾ b ɔː ɾ a j i
درباره	d æ ɾ b ɒː ɾ e j e
درجه	d a ɾ a d͡ʒ a
درجه	d æ ɾ æ d͡ʒ e
درخت	d æ ɾ æ x t
درد	d a ɾ d
درد	d o ɾ d
درد	d u ɾ d
درد	d æ ɾ d
درد	d ʊ ɾ d
دردمند	d æ ɾ d m æ n d
درزی	d æ ɾ z iː
درست	d o ɾ o s t
درست	d u ɾ u s t
درست	d ɾ o s t
درست	d ʊ ɾ ʊ s t
درشت	d o ɾ o ʃ t
درشت	d ɾ o ʃ t
درنگ	d e ɾ æ ŋ
درنگ	d i ɾ a ŋ
درنگ	d ɪ ɾ a ŋ
درها	d æ ɾ h ɒː
درود	d o ɾ uː d
درود	d æ ɾ oː d
درودن	d o ɾ uː d æ n
دروغ	d o ɾ uː ɣ
دروغ	d u ɾ oː ɣ
دروغ	d u ɾ ɵː ɣ
دروغ	d ʊ ɾ oː ɣ
دروغ‌ها	d o ɾ uː ɣ h ɒː
درویش	d a ɾ v e ʃ
درویش	d a ɾ v eː ʃ
درویش	d a ɾ w eː ʃ
درویش	d æ ɾ v iː ʃ
درگاه	d æ ɾ ɡ ɒː h
دری	d a ɾ iː
دری	d æ ɾ iː
دریا	d a ɾ j ɑː
دریا	d a ɾ j ɒː
دریا	d a ɾ j ɔː
دریا	d æ ɾ j ɒː
دریدن	d a ɾ i d a n
دریدن	d a ɾ iː d a n
دریدن	d æ ɾ iː d æ n
دس	d a s
دس	d æ s
دست	d a s t
دست	d æ s t
دستار	d a s t ɒː ɾ
دستاویز	d a s t ɑː v eː z
دستاویز	d a s t ɒː w eː z
دستاویز	d a s t ɔː v e z
دستاویز	d æ s t ɒː v iː z
دستمال	d a s t m ɑː l
دستمال	d a s t m ɒː l
دستمال	d a s t m ɔː l
دستمال	d æ s t m ɒː l
دستور	d a s t u ɾ
دستور	d a s t uː ɾ
دستور	d æ s t uː ɾ
دستگاه	d æ s t ɡ ɒː h
دست‌نماز	d a s t n a m ɑː z
دست‌نماز	d a s t n a m ɒː z
دست‌نماز	d a s t n a m ɔː z
دست‌نماز	d æ s t n æ m ɒː z
دشوار	d o ʃ v ɒː ɾ
دشوار	d u ʃ v ɑː ɾ
دشوار	d u ʃ v ɔː ɾ
دشوار	d ʊ ʃ w ɒː ɾ
دعا	d o ʔ ɒː
دعا	d u ʔ ɑː
دعا	d u ʔ ɔː
دعا	d ʊ ʔ ɒː
دعوت	d æ ʔ v æ t
دفاع	d e f ɒː ʔ
دفاع	d i f ɑː ʔ
دفاع	d ɪ f ɔ ʔ
دفتر	d æ f t æ r
دفعه	d a f ʔ a
دفعه	d æ f ʔ e
دقیقه	d a q i q a
دقیقه	d a q iː q a
دقیقه	d æ ɣ iː ɣ e
دل	d e l
دل	d i l
دل	d ɪ l
دلسوز	d̪ i l s oː z
دلفین	d o l f iː n
دلفین	d æ l f iː n
دلگیر	d e l ɡ iː ɾ
دلگیر	d i l ɡ i ɾ
دلگیر	d i l ɡ iː ɾ
دلگیر	d ɪ l ɡ iː ɾ
دلگیری	d e l ɡ iː ɾ iː
دلگیری	d i l ɡ i ɾ iː
دلگیری	d i l ɡ iː ɾ iː
دلگیری	d ɪ l ɡ iː ɾ iː
دم	d a m
دم	d o m
دم	d u m
دم	d æ m
دم	d ʊ m
دماغ	d a m ɑː ɣ
