є	j ɛ
народитися	n ɐ r ɔ d ɪ t e sʲ ɐ
народний	n ɐ r ɔ d n e i̯
народовладдя	n ɐ r ɔ d ɔ u̯ ɫ ɑ dʲː ɐ
наручний	n ɐ r u t͡ʃ n e i̯
нас	n ɑ s
насінина	n ɐ sʲ i n ɪ n ɐ
насіння	n ɐ sʲ i nʲː ɐ
насамперед	n ɐ s ɑ m p e r e d
населений	n ɐ s ɛ ɫ e n e i̯
населення	n ɐ s ɛ ɫ e nʲː ɐ
населити	n ɐ s e ɫ ɪ t e
населяти	n ɐ s e lʲ ɑ t e
насильство	n ɐ s ɪ lʲ s t w ɔ
наскрізь	n ɑ s k rʲ i zʲ
наслідок	n ɑ sʲ lʲ i d ɔ k
насолоджуватися	n ɐ s ɔ ɫ ɔ d͡ʒ ʊ ʋ ɐ t e sʲ ɐ
насолодитися	n ɐ s ɔ ɫ ɔ d ɪ t e sʲ ɐ
насправді	n ɐ s p r ɑ u̯ dʲ i
настільний	n ɐ sʲ tʲ i lʲ n e i̯
наставати	n ɐ s t ɐ ʋ ɑ t e
настати	n ɐ s t ɑ t e
настрій	n ɑ s tʲ rʲ i i̯
настроїти	n ɐ s t r ɔ j i t e
настроювати	n ɐ s t r ɔ j ʊ ʋ ɐ t e
наступний	n ɐ s t u p n e i̯
наступник	n ɐ s t u p n e k
наступниця	n ɐ s t u p n e t͡sʲ ɐ
наступного	n ɐ s t u p n ɔ ɦ ɔ
наталія	n ɐ t ɑ lʲ i j ɐ
натовп	n ɑ t ɔ u̯ p
натуральний	n ɐ t ʊ r ɑ lʲ n e i̯
натще	n ɑ t ʃ t͡ʃ e
наук	n ɐ u k
наука	n ɐ u k ɐ
науковий	n ɐ ʊ k ɔ ʋ e i̯
науково	n ɐ ʊ k ɔ w ɔ
нафта	n ɑ f t ɐ
нахил	n ɑ x e ɫ
націоналізм	n ɐ t͡sʲ i ɔ n ɐ lʲ i z m
націоналіст	n ɐ t͡sʲ i ɔ n ɐ lʲ i s t
націоналістичний	n ɐ t͡sʲ i ɔ n ɐ lʲ i s t ɪ t͡ʃ n e i̯
національність	n ɐ t͡sʲ i ɔ n ɑ lʲ nʲ i sʲ tʲ
національний	n ɐ t͡sʲ i ɔ n ɑ lʲ n e i̯
нація	n ɑ t͡sʲ i j ɐ
начальник	n ɐ t͡ʃ ɑ lʲ n e k
начальство	n ɐ t͡ʃ ɑ lʲ s t w ɔ
наче	n ɑ t͡ʃ e
начиння	n ɐ t͡ʃ ɪ nʲː ɐ
наш	n ɑ ʃ
наші	n ɑ ʃʲ i
наша	n ɑ ʃ ɐ
наше	n ɑ ʃ e
наявність	n ɐ j ɑ u̯ nʲ i sʲ tʲ
наявний	n ɐ j ɑ u̯ n e i̯
не	n ɛ
неістота	n e i s t ɔ t ɐ
неї	n ɛ j i
небіж	n ɛ bʲ i ʒ
небіж	n e bʲ i ʒ
неба	n ɛ b ɐ
небажаний	n e b ɑ ʒ ɐ n e i̯
небажання	n e b ɐ ʒ ɑ nʲː ɐ
небезпека	n e b e z p ɛ k ɐ
небезпеки	n e b e z p ɛ k e
небезпечний	n e b e z p ɛ t͡ʃ n e i̯
небеса	n e b e s ɑ
небесний	n e b ɛ s n e i̯
небо	n ɛ b ɔ
небог	n e b ɔ ɦ
небога	n e b ɔ ɦ ɐ
небувалий	n e b ʊ ʋ ɑ ɫ e i̯
невідворотний	n e ʋʲ i d w ɔ r ɔ t n e i̯
невідкладний	n e ʋʲ i d k ɫ ɑ d n e i̯
невідомий	n e ʋʲ i d ɔ m e i̯
невідповідний	n e ʋʲ i d p ɔ ʋʲ i d n e i̯
невіста	n e ʋʲ i s t ɐ
нева	n e ʋ ɑ
невблаганний	n e u̯ b ɫ ɐ ɦ ɑ nː e i̯
невдача	n e u̯ d ɑ t͡ʃ ɐ
невже	n e u̯ ʒ ɛ
невидимість	n e ʋ ɪ d e mʲ i sʲ tʲ
невидимий	n e ʋ ɪ d e m e i̯
невичерпний	n e ʋ e t͡ʃ ɛ r p n e i̯
невмирущий	n e u̯ m e r u ʃ t͡ʃ e i̯
невралгічний	n e u̯ r ɐ lʲ ɦʲ i t͡ʃ n e i̯
невроз	n e u̯ r ɔ z
неврологічний	n ɛ u̯ r ɔ ɫ o ɦʲ i t͡ʃ n e i̯
неврологія	n e u̯ r ɔ ɫ ɔ ɦʲ i j ɐ
невротичний	n e u̯ r ɔ t ɪ t͡ʃ n e i̯
невтомний	n e u̯ t ɔ m n e i̯
негайний	n e ɦ ɑ i̯ n e i̯
негайно	n e ɦ ɑ i̯ n ɔ
негативний	n e ɦ ɐ t ɪ u̯ n e i̯
негативно	n e ɦ ɐ t ɪ u̯ n ɔ
негура	n ɛ ɦ ʊ r ɐ
недільний	n e dʲ i lʲ n e i̯
неділя	n e dʲ i lʲ ɐ
недавній	n e d ɑ u̯ nʲ i i̯
недавно	n e d ɑ u̯ n ɔ
недвозначний	n e d w ɔ z n ɑ t͡ʃ n e i̯
недовіра	n e d ɔ ʋʲ i r ɐ
недовірливий	n e d ɔ ʋʲ i r ɫ e ʋ e i̯
недоконаний	n e d ɔ k ɔ n ɐ n e i̯
недолік	n e d ɔ lʲ i k
недооцінити	n e d ɔ ɔ t͡sʲ i n ɪ t e
недооцінювати	n e d ɔ o t͡sʲ i nʲ ʊ ʋ ɐ t e
недорозвинений	n e d ɔ r ɔ z ʋ ɪ n e n e i̯
недосвідченість	n e d ɔ sʲ ʋʲ i d͡ʒ t͡ʃ e nʲ i sʲ tʲ
недосвідчений	n e d ɔ sʲ ʋʲ i d͡ʒ t͡ʃ e n e i̯
недостатній	n e d ɔ s t ɑ tʲ nʲ i i̯
недостатність	n e d ɔ s t ɑ tʲ nʲ i sʲ tʲ
недостатньо	n e d ɔ s t ɑ tʲ nʲ ɔ
недоступний	n e d o s t u p n e i̯
недоторканий	n e d ɔ t ɔ r k ɐ n e i̯
недоторканний	n e d ɔ t ɔ r k ɑ nː e i̯
неживий	n e ʒ e ʋ ɪ i̯
нежуйні	n e ʒ u i̯ nʲ i
незабаром	n e z ɐ b ɑ r ɔ m
незадовільний	n e z ɐ d ɔ ʋʲ i lʲ n e i̯
незадоволений	n e z ɐ d ɔ w ɔ ɫ e n e i̯
незадоволення	n e z ɐ d ɔ w ɔ ɫ e nʲː ɐ
незаконний	n e z ɐ k ɔ nː e i̯
незалежність	n e z ɐ ɫ ɛ ʒ nʲ i sʲ tʲ
незалежністю	n e z ɐ ɫ ɛ ʒ nʲ i sʲ tʲ ʊ
незалежний	n e z ɐ ɫ ɛ ʒ n e i̯
незалежності	n e z ɐ ɫ ɛ ʒ n ɔ sʲ tʲ i
незалежносте	n e z ɐ ɫ ɛ ʒ n ɔ s t e
незалежности	n e z ɐ ɫ ɛ ʒ n ɔ s t e
незамінність	n e z ɐ mʲ i nʲː i sʲ tʲ
незамінний	n e z ɐ mʲ i nː e i̯
незахищений	n e z ɐ x ɪ ʃ t͡ʃ e n e i̯
незвичний	n e z ʋ ɪ t͡ʃ n e i̯
незмінний	n e zʲ mʲ i nː e i̯
незнайомець	n e z n ɐ j ɔ m e t͡sʲ
незнайомка	n e z n ɐ j ɔ m k ɐ
незнання	n e z n ɐ nʲː ɑ
незрівнянний	n e zʲ rʲ i u̯ nʲ ɑ nː e i̯
незручність	n e z r u t͡ʃ nʲ i sʲ tʲ
неймовірний	n e i̯ m ɔ ʋʲ i r n e i̯
неймовірно	n e i̯ m ɔ ʋʲ i r n ɔ
нейробіологія	n ɛ i̯ r ɔ bʲ i ɔ ɫ ɔ ɦʲ i j ɐ
нейтралізація	n e i̯ t r ɐ lʲ i z ɑ t͡sʲ i j ɐ
нейтралізувати	n e i̯ t r ɐ lʲ i z ʊ ʋ ɑ t e
нейтралітет	n e i̯ t r ɐ lʲ i t ɛ t
нейтральний	n e i̯ t r ɑ lʲ n e i̯
некультурний	n e k ʊ lʲ t u r n e i̯
нелінійний	n e lʲ i nʲ i i̯ n e i̯
нелюб'язний	n e lʲ ʊ b j ɑ z n e i̯
нема	n e m ɑ
немилосердний	n e m e ɫ ɔ s ɛ r d n e i̯
неминучий	n e m e n u t͡ʃ e i̯
немовля	n e m ɔ u̯ lʲ ɑ
неможливий	n e m ɔ ʒ ɫ ɪ ʋ e i̯
ненавидіти	n e n ɑ ʋ e dʲ i t e
ненавидіти	n e n ɐ ʋ ɪ dʲ i t e
ненависний	n e n ɑ ʋ e s n e i̯
ненависть	n e n ɑ ʋ e sʲ tʲ
ненавмисний	n e n ɐ u̯ m ɪ s n e i̯
ненаголошений	n e n ɐ ɦ ɔ ɫ ɔ ʃ e n e i̯
ненароджений	n e n ɐ r ɔ d͡ʒ e n e i̯
ненька	n ɛ nʲ k ɐ
неньо	n ɛ nʲ ɔ
неня	n ɛ nʲ ɐ
необмежений	n e ɔ b m ɛ ʒ e n e i̯
необхідність	n e o b xʲ i dʲ nʲ i sʲ tʲ
необхідний	n e o b xʲ i d n e i̯
необґрунтований	ɔ b ɡ r ʊ n t ɔ ʋ ɐ n e i̯
неодмінний	n e o dʲ mʲ i nː e i̯
неодмінно	n e o dʲ mʲ i nː ɔ
неоніла	n e o nʲ i ɫ ɐ
неорганічна	n e ɔ r ɦ ɐ nʲ i t͡ʃ n ɐ
неорганічний	n e ɔ r ɦ ɐ nʲ i t͡ʃ n e i̯
неофіційний	n e ɔ fʲ i t͡sʲ i i̯ n e i̯
непал	n e p ɑ ɫ
неперевершений	n e p e r e ʋ ɛ r ʃ e n e i̯
непередбачений	n e p e r e d b ɑ t͡ʃ e n e i̯
неперервний	n e p e r ɛ r w n e i̯
неписьменність	n e p e sʲ m ɛ nʲː i sʲ tʲ
неписьменний	n e p e sʲ m ɛ nː e i̯
непитущий	n e p e t u ʃ t͡ʃ e i̯
неповага	n e p ɔ ʋ ɑ ɦ ɐ
непоганий	n e p ɔ ɦ ɑ n e i̯
неподільний	n e p o dʲ i lʲ n e i̯
неподалік	n e p ɔ d ɐ lʲ i k
непокоїти	n e p ɔ k ɔ j i t e
непомірний	n e p o mʲ i r n e i̯
непотрібний	n e p o tʲ rʲ i b n e i̯
непохитний	n e p ɔ x ɪ t n e i̯
неправд	n e p r ɑ u̯ d
неправді	n e p r ɑ u̯ dʲ i
неправда	n e p r ɑ u̯ d ɐ
неправдам	n e p r ɑ u̯ d ɐ m
неправдами	n e p r ɑ u̯ d ɐ m e
неправдах	n e p r ɑ u̯ d ɐ x
неправди	n e p r ɑ u̯ d e
неправдивий	n e p r ɐ u̯ d ɪ ʋ e i̯
неправдоподібний	n e p r ɐ u̯ d ɔ p o dʲ i b n e i̯
неправдою	n e p r ɑ u̯ d ɔ j ʊ
неправду	n e p r ɑ u̯ d ʊ
неправомірний	n e p r ɐ w o mʲ i r n e i̯
неприємний	n e p r e j ɛ m n e i̯
непривітний	n e p r e ʋʲ i t n e i̯
неприйнятність	n e p r e i̯ nʲ ɑ tʲ nʲ i sʲ tʲ
неприйнятний	n e p r e i̯ nʲ ɐ t n ɪ i̯
нерівність	n e rʲ i u̯ nʲ i sʲ tʲ
нерідко	n e rʲ i d k ɔ
нерішучість	n e rʲ i ʃ u t͡ʃʲ i sʲ tʲ
нерішучий	n e rʲ i ʃ u t͡ʃ e i̯
нерв	n ɛ r ʋ
нервуватися	n e r w ʊ ʋ ɑ t e sʲ ɐ
нерегулярність	n e r e ɦ ʊ lʲ ɑ r nʲ i sʲ tʲ
нерегулярний	n e r e ɦ ʊ lʲ ɑ r n e i̯
нерухомість	n e r ʊ x ɔ mʲ i sʲ tʲ
нерухомий	n e r ʊ x ɔ m e i̯
несвідоме	n e sʲ ʋʲ i d ɔ m e
несвідомий	n e sʲ ʋʲ i d ɔ m e i̯
несвідомо	n e sʲ ʋʲ i d ɔ m ɔ
несерйозний	n e s e rʲ ɔ z n e i̯
нескінченний	n e sʲ kʲ i n t͡ʃ ɛ nː e i̯
нескладовий	n e s k ɫ ɐ d ɔ ʋ ɪ i̯
несмачний	n e s m ɐ t͡ʃ n ɪ i̯
несподіваний	n e s p o dʲ i ʋ ɐ n e i̯
несподіванка	n e s p o dʲ i ʋ ɐ n k ɐ
неспокій	n e s p ɔ kʲ i i̯
несправедливий	n e s p r ɐ ʋ e d ɫ ɪ ʋ e i̯
неспростовний	n e s p r ɔ s t ɔ u̯ n e i̯
нестабільність	n e s t ɐ bʲ i lʲ nʲ i sʲ tʲ
нестабільний	n e s t ɐ bʲ i lʲ n e i̯
нестача	n e s t ɑ t͡ʃ ɐ
нестерпний	n e s t ɛ r p n e i̯
нести	n e s t ɪ
несумісність	n e s ʊ mʲ i sʲ nʲ i sʲ tʲ
несумісний	n e s ʊ mʲ i s n e i̯
нетерпіння	t e r pʲ i nʲː ɐ
нетерплячий	n e t e r p lʲ ɑ t͡ʃ e i̯
нетиповий	n e t e p ɔ ʋ e i̯
нетопир	n e t ɔ p ɪ r
нетрадиційний	n e t r ɐ d e t͡sʲ i i̯ n e i̯
неуважний	n e ʊ ʋ ɑ ʒ n e i̯
неухильний	n e ʊ x ɪ lʲ n e i̯
неформальний	n e f ɔ r m ɑ lʲ n e i̯
нечесний	n e t͡ʃ ɛ s n e i̯
нечуваний	n e t͡ʃ u ʋ ɐ n e i̯
нечутний	n e t͡ʃ u t n e i̯
нещасливий	n e ʃ t͡ʃ ɐ s ɫ ɪ ʋ e i̯
нещасний	n e ʃ t͡ʃ ɑ s n e i̯
нещастя	n e ʃ t͡ʃ ɑ sʲ tʲ ɐ
нещирість	n e ʃ t͡ʃ ɪ rʲ i sʲ tʲ
нещирий	n e ʃ t͡ʃ ɪ r e i̯
нещодавній	n e ʃ t͡ʃ ɔ d ɑ u̯ nʲ i i̯
нещодавно	n e ʃ t͡ʃ ɔ d ɑ u̯ n ɔ
неґура	n ɛ ɡ ʊ r ɐ
нива	n ɪ ʋ ɐ
нижній	n ɪ ʒ nʲ i i̯
нижчий	n ɪ ʒ t͡ʃ e i̯
низ	n ɪ z
низка	n ɪ z k ɐ
низький	n e zʲ k ɪ i̯
ними	n ɪ m e
нині	n ɪ nʲ i
нинішній	n ɪ nʲ i ʃ nʲ i i̯
нирка	n ɪ r k ɐ
ниркова	n e r k ɔ ʋ ɑ
нирковий	n e r k ɔ ʋ ɪ i̯
нити	n ɪ t e
нитка	n ɪ t k ɐ
них	n ɪ x
нищити	n ɪ ʃ t͡ʃ e t e
новітній	n ɔ ʋʲ i tʲ nʲ i i̯
новаторство	n ɔ ʋ ɑ t ɔ r s t w ɔ
новаторський	n ɔ ʋ ɑ t ɔ r sʲ k e i̯
новела	n ɔ ʋ ɛ ɫ ɐ
новизна	n ɔ ʋ e z n ɑ
новий	n ɔ ʋ ɪ i̯
новина	n ɔ ʋ e n ɑ
новини	n ɔ ʋ ɪ n e
новини	n ɔ ʋ ɪ n e
новини	n ɔ ʋ e n ɪ
новорічний	n ɔ w o rʲ i t͡ʃ n e i̯
нога	n ɔ ɦ ɑ
ножиці	n ɔ ʒ e t͡sʲ i
ножовий	n ɔ ʒ ɔ ʋ ɪ i̯
номінальний	n ɔ mʲ i n ɑ lʲ n e i̯
номенклатура	n ɔ m e n k ɫ ɐ t u r ɐ
номенклатурні	n ɔ m e n k ɫ ɐ t u r nʲ i
номенклатурний	n ɔ m e n k ɫ ɐ t u r n e i̯
номер	n ɔ m e r
норвегія	n ɔ r ʋ ɛ ɦʲ i j ɐ
норвежець	n ɔ r ʋ ɛ ʒ e t͡sʲ
норвежка	n ɔ r ʋ ɛ ʒ k ɐ
норвезький	n ɔ r ʋ ɛ zʲ k e i̯
норма	n ɔ r m ɐ
нормалізація	n ɔ r m ɐ lʲ i z ɑ t͡sʲ i j ɐ
нормалізувати	n ɔ r m ɐ lʲ i z ʊ ʋ ɑ t e
нормальність	n ɔ r m ɑ lʲ nʲ i sʲ tʲ
нормальний	n ɔ r m ɑ lʲ n e i̯
носилки	n ɔ s ɪ ɫ k e
носити	n ɔ s ɪ t e
носоріг	n ɔ s o rʲ i ɦ
ностальгія	n ɔ s t ɐ lʲ ɦʲ i j ɐ
ностальгувати	n ɔ s t ɐ lʲ ɦ ʊ ʋ ɑ t e
нотувати	n ɔ t ʊ ʋ ɑ t e
ночі	n ɔ t͡ʃʲ i
ночвах	n ɔ t͡ʃ ʋ ɐ x
ночви	n ɔ t͡ʃ ʋ e
ноші	n ɔ ʃʲ i
ноша	n ɔ ʃ ɐ
нудний	n ʊ d n ɪ i̯
нудно	n u d n ɔ
нудота	n ʊ d ɔ t ɐ
нудьга	n ʊ dʲ ɦ ɑ
нудьгувати	n ʊ dʲ ɦ ʊ ʋ ɑ t e
нуль	n u lʲ
нумограй	n ʊ m ɔ ɦ r ɑ i̯
нутрощі	n u t r ɔ ʃ t͡ʃʲ i
нього	nʲ ɔ ɦ ɔ
нюанс	nʲ ʊ ɑ n s
нюх	nʲ u x
нюхати	nʲ u x ɐ t e
нянів	nʲ ɑ nʲ i u̯
о	ɔ
о	ɔ
о	ɔ
об'єднання	ɔ b j ɛ d n ɐ nʲː ɐ
об'єднання	ɔ b j e d n ɑ nʲː ɐ
об'єднати	ɔ b j e d n ɑ t e
об'єднувати	ɔ b j ɛ d n ʊ ʋ ɐ t e
об'єкт	ɔ b j ɛ k t
об'єктивний	ɔ b j e k t ɪ u̯ n e i̯
об'єм	ɔ b j ɛ m
об'ємний	ɔ b j ɛ m n e i̯
обід	o bʲ i d
обід	ɔ bʲ i d
обідати	o bʲ i d ɐ t e
обідній	o bʲ i dʲ nʲ i i̯
обідній	ɔ bʲ i dʲ nʲ i i̯
обіцянка	ɔ bʲ i t͡sʲ ɑ n k ɐ
обіцяти	ɔ bʲ i t͡sʲ ɑ t e
обговорення	ɔ b ɦ ɔ w ɔ r e nʲː ɐ
обговорити	ɔ b ɦ ɔ w ɔ r ɪ t e
обговорювати	ɔ b ɦ ɔ w ɔ rʲ ʊ ʋ ɐ t e
обдарований	ɔ b d ɐ r ɔ ʋ ɐ n e i̯
обдаровувати	ɔ b d ɐ r ɔ w ʊ ʋ ɐ t e
обдарувати	ɔ b d ɐ r ʊ ʋ ɑ t e
обдумати	o b d u m ɐ t e
обдумувати	o b d u m ʊ ʋ ɐ t e
обдурити	ɔ b d ʊ r ɪ t e
обдурювати	o b d u rʲ ʊ ʋ ɐ t e
обеззброїти	ɔ b e zː b r ɔ j i t e
обеззброювати	ɔ b e zː b r ɔ j ʊ ʋ ɐ t e
оберігати	ɔ b e rʲ i ɦ ɑ t e
оберегти	ɔ b e r e ɦ t ɪ
обережність	ɔ b e r ɛ ʒ nʲ i sʲ tʲ
обережний	ɔ b e r ɛ ʒ n e i̯
обережно	ɔ b e r ɛ ʒ n ɔ
обирати	ɔ b e r ɑ t e
обладнання	ɔ b ɫ ɑ d n ɐ nʲː ɐ
обладнання	ɔ b ɫ ɐ d n ɑ nʲː ɐ
обладнати	ɔ b ɫ ɐ d n ɑ t e
обладнувати	ɔ b ɫ ɑ d n ʊ ʋ ɐ t e
область	ɔ b ɫ ɐ sʲ tʲ
обличчя	ɔ b ɫ ɪ t͡ʃʲː ɐ
обмін	ɔ b mʲ i n
обмірковувати	ɔ b mʲ i r k ɔ w ʊ ʋ ɐ t e
обміркувати	ɔ b mʲ i r k ʊ ʋ ɑ t e
обманути	ɔ b m ɐ n u t e
обманювати	ɔ b m ɑ nʲ ʊ ʋ ɐ t e
обмежений	ɔ b m ɛ ʒ e n e i̯
обмеженні	ɔ b m ɛ ʒ e nʲː i
обмеженню	ɔ b m ɛ ʒ e nʲː ʊ
обмеження	ɔ b m ɛ ʒ e nʲː ɐ
обмеженням	ɔ b m ɛ ʒ e nʲː ɐ m
обмеженнями	ɔ b m ɛ ʒ e nʲː ɐ m e
обмеженнях	ɔ b m ɛ ʒ e nʲː ɐ x
обмежень	ɔ b m ɛ ʒ e nʲ
обмежити	ɔ b m ɛ ʒ e t e
обмежувати	ɔ b m ɛ ʒ ʊ ʋ ɐ t e
обов'язковий	ɔ b ɔ ʋ j ɐ z k ɔ ʋ e i̯
обов'язково	ɔ b ɔ ʋ j ɐ z k ɔ w ɔ
обов'язок	ɔ b ɔ ʋ j ɐ z ɔ k
обожнювати	ɔ b ɔ ʒ nʲ ʊ ʋ ɐ t e
обопільний	ɔ b o pʲ i lʲ n e i̯
оборона	ɔ b ɔ r ɔ n ɐ
оборонити	ɔ b ɔ r ɔ n ɪ t e
обороняти	ɔ b ɔ r ɔ nʲ ɑ t e
ображати	ɔ b r ɐ ʒ ɑ t e
образ	ɔ b r ɐ z
образити	ɔ b r ɑ z e t e
образливий	ɔ b r ɑ z ɫ e ʋ e i̯
образний	ɔ b r ɐ z n e i̯
обрати	ɔ b r ɑ t e
обрус	ɔ b r ʊ s
обрус	o b r u s
обсерваторія	ɔ b s e r ʋ ɐ t ɔ rʲ i j ɐ
обставина	ɔ b s t ɑ ʋ e n ɐ
обстежити	ɔ b s t ɛ ʒ e t e
обстежувати	ɔ b s t ɛ ʒ ʊ ʋ ɐ t e
обсяг	ɔ b sʲ ɐ ɦ
обурення	o b u r e nʲː ɐ
обчислити	ɔ b t͡ʃ ɪ s ɫ e t e
обчислювати	ɔ b t͡ʃ ɪ sʲ lʲ ʊ ʋ ɐ t e
обшук	ɔ b ʃ ʊ k
обшукати	ɔ b ʃ ʊ k ɑ t e
обшукувати	o b ʃ u k ʊ ʋ ɐ t e
обґрунтований	ɔ b ɡ r ʊ n t ɔ ʋ ɐ n e i̯
обґрунтовувати	ɔ b ɡ r ʊ n t ɔ w ʊ ʋ ɐ t e
обґрунтувати	ɔ b ɡ r ʊ n t ʊ ʋ ɑ t e
овід	ɔ ʋʲ i d
овес	ɔ ʋ ɛ s
оволодівати	ɔ w ɔ ɫ ɔ dʲ i ʋ ɑ t e
оволодіти	ɔ w ɔ ɫ o dʲ i t e
овоч	ɔ w ɔ t͡ʃ
овочевий	ɔ w ɔ t͡ʃ ɛ ʋ e i̯
овощ	ɔ w ɔ ʃ t͡ʃ
огірок	ɔ ɦʲ i r ɔ k
огайо	ɔ ɦ ɑ j ɔ
огидливий	ɔ ɦ ɪ d ɫ e ʋ e i̯
огидний	ɔ ɦ ɪ d n e i̯
огляд	ɔ ɦ lʲ ɐ d
оглядати	ɔ ɦ lʲ ɐ d ɑ t e
оглядини	ɔ ɦ lʲ ɑ d e n e
оглянути	ɔ ɦ lʲ ɑ n ʊ t e
оголосити	ɔ ɦ ɔ ɫ ɔ s ɪ t e
оголошення	ɔ ɦ ɔ ɫ ɔ ʃ e nʲː ɐ
оголошувати	ɔ ɦ ɔ ɫ ɔ ʃ ʊ ʋ ɐ t e
одежа	ɔ d ɛ ʒ ɐ
оден	ɔ d ɛ n
одержати	ɔ d ɛ r ʒ ɐ t e
одержувати	ɔ d ɛ r ʒ ʊ ʋ ɐ t e
одержувач	ɔ d ɛ r ʒ ʊ ʋ ɐ t͡ʃ
одержувачів	ɔ d ɛ r ʒ ʊ ʋ ɐ t͡ʃʲ i u̯
одержувача	ɔ d ɛ r ʒ ʊ ʋ ɐ t͡ʃ ɐ
одержувачка	ɔ d ɛ r ʒ ʊ ʋ ɐ t͡ʃ k ɐ
одеса	ɔ d ɛ s ɐ
один	ɔ d ɪ n
одинадцятий	ɔ d e n ɑ d͡zʲ t͡sʲ ɐ t e i̯
одинадцять	ɔ d e n ɑ d͡zʲ t͡sʲ ɐ tʲ
одна	ɔ d n ɑ
однина	ɔ d n e n ɑ
одно	ɔ d n ɔ
одноголосний	ɔ d n ɔ ɦ ɔ ɫ ɔ s n e i̯
однозначний	ɔ d n ɔ z n ɑ t͡ʃ n e i̯
однозначно	ɔ d n ɔ z n ɑ t͡ʃ n ɔ
однокласник	ɔ d n ɔ k ɫ ɑ s n e k
однокласниця	ɔ d n ɔ k ɫ ɑ s n e t͡sʲ ɐ
одноманітний	ɔ d n ɔ m ɐ nʲ i t n e i̯
одномовність	ɔ d n ɔ m ɔ u̯ nʲ i sʲ tʲ
одномовний	ɔ d n ɔ m ɔ u̯ n e i̯
одноокий	ɔ d n ɔ ɔ k e i̯
одноплемінник	ɔ d n ɔ p ɫ e mʲ i nː e k
одноповерховий	ɔ d n ɔ p ɔ ʋ e r x ɔ ʋ e i̯
одностатевий	ɔ d n ɔ s t ɐ t ɛ ʋ e i̯
одночасність	ɔ d n ɔ t͡ʃ ɑ sʲ nʲ i sʲ tʲ
одночасний	ɔ d n ɔ t͡ʃ ɑ s n e i̯
одночасно	ɔ d n ɔ t͡ʃ ɑ s n ɔ
одношлюбність	ɔ d n o ʃ lʲ u b nʲ i sʲ tʲ
одношлюбний	ɔ d n o ʃ lʲ u b n e i̯
одружуватися	o d r u ʒ ʊ ʋ ɐ t e sʲ ɐ
одуд	ɔ d ʊ d
одужати	o d u ʒ ɐ t e
одужувати	o d u ʒ ʊ ʋ ɐ t e
одяг	ɔ dʲ ɐ ɦ
одягати	ɔ dʲ ɐ ɦ ɑ t e
одягатися	ɔ dʲ ɐ ɦ ɑ t e sʲ ɐ
одягнути	ɔ dʲ ɐ ɦ n u t e
одягти	ɔ dʲ ɐ ɦ t ɪ
ожина	ɔ ʒ ɪ n ɐ
озброїти	ɔ z b r ɔ j i t e
озброювати	ɔ z b r ɔ j ʊ ʋ ɐ t e
озеро	ɔ z e r ɔ
озерце	ɔ z ɛ r t͡s e
озерце	ɔ z e r t͡s ɛ
озимі	ɔ z ɪ mʲ i
озимий	ɔ z ɪ m e i̯
ознайомлення	ɔ z n ɐ j ɔ m ɫ e nʲː ɐ
ознака	ɔ z n ɑ k ɐ
означати	ɔ z n ɐ t͡ʃ ɑ t e
океан	ɔ k e ɑ n
око	ɔ k ɔ
окрім	o k rʲ i m
окріп	o k rʲ i p
окремий	ɔ k r ɛ m e i̯
оксамит	ɔ k s ɐ m ɪ t
оксана	ɔ k s ɑ n ɐ
окуляри	ɔ k ʊ lʲ ɑ r e
окупант	ɔ k ʊ p ɑ n t
окупаційний	ɔ k ʊ p ɐ t͡sʲ i i̯ n e i̯
окупація	ɔ k ʊ p ɑ t͡sʲ i j ɐ
окупувати	ɔ k ʊ p ʊ ʋ ɑ t e
олівець	ɔ lʲ i ʋ ɛ t͡sʲ
олігарх	ɔ lʲ i ɦ ɑ r x
олігархічний	ɔ lʲ i ɦ ɐ r xʲ i t͡ʃ n e i̯
олігархія	ɔ lʲ i ɦ ɑ r xʲ i j ɐ
олімпіада	ɔ lʲ i m pʲ i ɑ d ɐ
олія	o lʲ i j ɐ
оладка	ɔ ɫ ɑ d k ɐ
оладок	ɔ ɫ ɑ d ɔ k
олег	ɔ ɫ ɛ ɦ
олександр	ɔ ɫ e k s ɑ n d r
олена	ɔ ɫ ɛ n ɐ
оленина	ɔ ɫ e n ɪ n ɐ
олень	ɔ ɫ e nʲ
олива	ɔ ɫ ɪ ʋ ɐ
олин	ɔ ɫ e n
олово	ɔ ɫ ɔ w ɔ
ольга	ɔ lʲ ɦ ɐ
оман	ɔ m ɑ n
омбудсмен	ɔ m b ʊ d͡z s m ɛ n
омела	ɔ m ɛ ɫ ɐ
омела	ɔ m e ɫ ɑ
омлет	ɔ m ɫ ɛ t
онколог	ɔ n k ɔ ɫ ɔ ɦ
онкологічний	ɔ n k ɔ ɫ o ɦʲ i t͡ʃ n e i̯
онкологія	ɔ n k ɔ ɫ ɔ ɦʲ i j ɐ
онтологічний	ɔ n t ɔ ɫ o ɦʲ i t͡ʃ n e i̯
онтологія	ɔ n t ɔ ɫ ɔ ɦʲ i j ɐ
онук	o n u k
онука	o n u k ɐ
опір	ɔ pʲ i r
опановувати	ɔ p ɐ n ɔ w ʊ ʋ ɐ t e
опанувати	ɔ p ɐ n ʊ ʋ ɑ t e
опариш	ɔ p ɑ r e ʃ
опера	ɔ p e r ɐ
