ԱԱ	ɑ ɑ
կղկղանք	k ə χ k ə ʁ ɑ n kʰ
կղմինդր	k ə ʁ m i n d ə ɾ
կճատ	k ə t͡ʃ ɑ t
կճել	k ə t͡ʃ e l
կճղակ	k ə t͡ʃ ʁ ɑ k
կճուճ	k ə t͡ʃ u t͡ʃ
կմախք	k ə m ɑ χ kʰ
կյանք	k j ɑ n kʰ
կյուրիում	k j u ɾ i j u m
կնատյաց	k ə n ɑ t j ɑ t͡sʰ
կնատյացություն	k ə n ɑ t j ɑ t͡sʰ u tʰ j u n
կնգմենի	k ə n ɡ ə m e n i
կնգում	k ə n ɡ u m
կնդրուկ	k ə n d ɾ u k
կնիկ	k ə n i k
կնիք	k ə n i kʰ
կնձնի	k ə n d͡z n i
կնճիթ	k ə n t͡ʃ i tʰ
կնճիռ	k ə n t͡ʃ i r
կնյուն	k ə n j u n
կնություն	k ə n u tʰ j u n
կնունք	k ə n u n kʰ
կնուք	k ə n u kʰ
կնքահայր	k ə n kʰ ɑ h ɑ j ɾ
կնքել	k ə n kʰ e l
կշեռք	k ə ʃ e r kʰ
կշիռ	k ə ʃ i r
կշռադատել	k ə ʃ r ɑ d ɑ t e l
կշռել	k ə ʃ r e l
կշտանալ	k ə ʃ t ɑ n ɑ l
կոալա	k o ɑ l ɑ
կոալիցիա	k o ɑ l i t͡sʰ i ɑ
կոբալտ	k o b ɑ l t
կոգի	k o ɡ i
կոթ	k o tʰ
կոթող	k o tʰ o ʁ
կոլա	k o l ɑ
կոլաժ	k o l ɑ ʒ
կոլգոտկա	k o l ɡ o t k ɑ
կոլեգա	k o l e ɡ ɑ
կոլեգիա	k o l e ɡ i ɑ
կոլիբրի	k o l i b ɾ i
կոլխոզ	k o l χ o z
կոլոլիկ	k o l o l i k
կոլոտ	k o l o t
կոխել	k o χ e l
կոծել	k o t͡s e l
կոծոծ	k o t͡s o t͡s
կոկաին	k o k ɑ j i n
կոկան	k o k ɑ n
կոկիկ	k o k i k
կոկո	k o k o
կոկոս	k o k o s
կոկոսյան	k o k o s j ɑ n
կոկով	k o k o v
կոկովանք	k o k o v ɑ n kʰ
կոկորդ	k o k o ɾ tʰ
կոկորդային	k o k o ɾ tʰ ɑ j i n
կոկորդիլոս	k o k o ɾ tʰ i l o s
կոկտեյլ	k o k t e j l
կող	k o ʁ
կողակ	k o ʁ ɑ k
կողակից	k o ʁ ɑ k i t͡sʰ
կողբացի	k o ʁ b ɑ t͡sʰ i
կողմ	k o ʁ m
կողմանոց	k o ʁ m ɑ n o t͡sʰ
կողմից	k o ʁ m i t͡sʰ
կողմնակի	k o ʁ m n ɑ k i
կողմնացույց	k o ʁ m n ɑ t͡sʰ u j t͡sʰ
կողոպտել	k o ʁ o p t e l
կողով	k o ʁ o v
կողպել	k o χ p e l
կողպեք	k o χ p e kʰ
կողր	k o ʁ ə ɾ
կողք	k o ʁ kʰ
կոճ	k o t͡ʃ
կոճակ	k o t͡ʃ ɑ k
կոճապղպեղ	k o t͡ʃ ɑ p ə χ p e ʁ
կոճկել	k o t͡ʃ k e l
կոճկեն	k o t͡ʃ k e n
կոճղ	k o t͡ʃ ə ʁ
կոմբալ	k o m b ɑ l
կոմբայն	k o m b ɑ j n
կոմբինատ	k o m b i n ɑ t
կոմիտե	k o m i t e
կոմունիզմ	k o m u n i z m
կոմունիկացիա	k o m u n i k ɑ t͡sʰ i ɑ
կոմունիստ	k o m u n i s t
կոմունիստական	k o m u n i s t ɑ k ɑ n
կոմպ	k o m p
կոմպետենտ	k o m p e t e n t
կոմպոզիտոր	k o m p o z i t o ɾ
կոմպոնենտ	k o m p o n e n t
կոմպրոմիս	k o m p ɾ o m i s
կոմս	k o m s
կոմսություն	k o m s u tʰ j u n
կոմսուհի	k o m s u h i
կոն	k o n
կոնական	k o n ɑ k ɑ n
կոնաձև	k o n ɑ d͡z e v
կոնգրես	k o n ɡ ɾ e s
կոնդ	k o n d
կոնկրետ	k o n k ɾ e t
կոնձի	k o n d͡z i
կոնյակ	k o n j ɑ k
կոնսոլիդացիա	k o n s o l i d ɑ t͡sʰ i ɑ
կոնստրուկտիվ	k o n s t ɾ u k t i v
կոնտեյներ	k o n t e j n e ɾ
կոնտենտ	k o n t e n t
կոնտեքստ	k o n t e kʰ s t
կոնտրոլ	k o n t ɾ o l
կոնցեպցիա	k o n t͡sʰ e p t͡sʰ i ɑ
կոնք	k o n kʰ
կոնֆետ	k o n f e t
կոնֆերանս	k o n f e ɾ ɑ n s
կոնֆերանսը	k o n f e ɾ ɑ n s ə
կոնֆերենցիա	k o n f e ɾ e n t͡sʰ i ɑ
կոնֆլիկտ	k o n f l i k t
կոշ	k o ʃ
կոշիկ	k o ʃ i k
կոշկաթել	k o ʃ k ɑ tʰ e l
կոշկակար	k o ʃ k ɑ k ɑ ɾ
կոշկատակ	k o ʃ k ɑ t ɑ k
կոշկաքուղ	k o ʃ k ɑ kʰ u ʁ
կոշկեղեն	k o ʃ k e ʁ e n
կոշկոճել	k o ʃ k o t͡ʃ e l
կոշտ	k o ʃ t
կոչ	k o t͡ʃʰ
կոչել	k o t͡ʃʰ e l
կոչեցյալ	k o t͡ʃʰ e t͡sʰ j ɑ l
կոչում	k o t͡ʃʰ u m
կոչունք	k o t͡ʃʰ u n kʰ
կոչվել	k o t͡ʃʰ v e l
կոպ	k o p
կոպալ	k o p ɑ l
կոպեկ	k o p e k
կոպեռնիցիում	k o p e r n i t͡sʰ i j u m
կոպիտ	k o p i t
կոռ	k o r
կոռեկտ	k o r e k t
կոռներեն	k o r n e ɾ e n
կոռուպցիա	k o r u p t͡sʰ i ɑ
կոռուպցիոն	k o r u p t͡sʰ i o n
կոռուպցիոներ	k o r u p t͡sʰ i o n e ɾ
կոռուպցիոներ	k o r u p t͡sʰ j o n e ɾ
կոսմոպոլիտ	k o s m o p o l i t
կոսմոպոլիտական	k o s m o p o l i t ɑ k ɑ n
կոսմոպոլիտային	k o s m o p o l i t ɑ j i n
կոսմոպոլիտիզմ	k o s m o p o l i t i z m
կոսմոպոլիտություն	k o s m o p o l i t u tʰ j u n
կոսմոս	k o s m o s
կոստ	k o s t
կոստղ	k o s t ə ʁ
կոստղաշատ	k o s t ʁ ɑ ʃ ɑ t
կոստղավոր	k o s t ʁ ɑ v o ɾ
կոստղոտ	k o s t ʁ o t
կոստյում	k o s t j u m
կով	k o v
կովադիաց	k o v ɑ d i j ɑ t͡sʰ
կովբոյ	k o v b o j
կովիկ	k o v i k
կովլակ	k o v l ɑ k
կովկասագետ	k o f k ɑ s ɑ ɡ e t
կովկասագիտություն	k o f k ɑ s ɑ ɡ i t u tʰ j u n
կովկասյան	k o f k ɑ s j ɑ n
կովկասցի	k o f k ɑ s t͡sʰ i
կոտ	k o t
կոտակ	k o t ɑ k
կոտեմ	k o t e m
կոտիկ	k o t i k
կոտլետ	k o t l e t
կոտոշ	k o t o ʃ
կոտոր	k o t o ɾ
կոտորած	k o t o ɾ ɑ t͡s
կոտորակ	k o t o ɾ ɑ k
կոտրել	k o t ɾ e l
կոր	k o ɾ
կորած	k o ɾ ɑ t͡s
կորդ	k o ɾ d
կորեացի	k o ɾ e ɑ t͡sʰ i
կորեերեն	k o ɾ e e ɾ e n
կորել	k o ɾ e l
կորեկ	k o ɾ e k
կորիզ	k o ɾ i z
կորիզային	k o ɾ i z ɑ j i n
կործան	k o ɾ t͡s ɑ n
կործանել	k o ɾ t͡s ɑ n e l
կործանիչ	k o ɾ t͡s ɑ n i t͡ʃʰ
կործանում	k o ɾ t͡s ɑ n u m
կործել	k o ɾ t͡s e l
կորկոտ	k o ɾ k o t
կորճ	k o ɾ t͡ʃ
կորյուն	k o ɾ j u n
կորնգան	k o ɾ ə n ɡ ɑ n
կորնչել	k o ɾ ə n t͡ʃʰ e l
կորոնավիրուս	k o ɾ o n ɑ v i ɾ u s
կորովաձիգ	k o ɾ o v ɑ d͡z i kʰ
կորուսանել	k o ɾ u s ɑ n e l
կորուսյալ	k o ɾ u s j ɑ l
կորուստ	k o ɾ u s t
կորչել	k o ɾ t͡ʃʰ e l
կորպուս	k o ɾ p u s
կորպուսը	k o ɾ p u s ə
կորսիկերեն	k o ɾ s i k e ɾ e n
կորտ	k o ɾ t
կորցնել	k o ɾ t͡sʰ n e l
կուզ	k u z
կուզեկուզ	k u z e k u z
կուզիկ	k u z i k
կութ	k u tʰ
կուժ	k u ʒ
կուլ	k u l
կուլակ	k u l ɑ k
կուլմինացիա	k u l m i n ɑ t͡sʰ i ɑ
կուլտուրա	k u l t u ɾ ɑ
կուլտուրական	k u l t u ɾ ɑ k ɑ n
կուխնի	k u χ n i
կուկուռուզ	k u k u r u z
կուղ	k u ʁ
կուղբ	k u ʁ b
կուղխ	k u χ χ
կումբ	k u m b
կումիս	k u m i s
կույս	k u j s
կույտ	k u j t
կույր	k u j ɾ
կունձի	k u n d͡z i
կուշտ	k u ʃ t
կուչ	k u t͡ʃʰ
կուպր	k u p ə ɾ
կուռ	k u r
կուռք	k u r kʰ
կուսաթաղանթ	k u s ɑ tʰ ɑ ʁ ɑ n tʰ
կուսակցություն	k u s ɑ k t͡sʰ u tʰ j u n
կուսություն	k u s u tʰ j u n
կուտ	k u t
կուտակել	k u t ɑ k e l
կուտակվել	k u t ɑ k v e l
կուտիկ	k u t i k
կուր	k u ɾ
կուրաղետապ	k u ɾ ɑ ʁ e t ɑ p
կուրաղի	k u ɾ ɑ ʁ i
կուրանալ	k u ɾ ɑ n ɑ l
կուրծ	k u ɾ t͡s
կուրծք	k u ɾ t͡s kʰ
կուրություն	k u ɾ u tʰ j u n
կուրչատովիում	k u ɾ t͡ʃʰ ɑ t o v i j u m
կուց	k u t͡sʰ
կոփածո	k o pʰ ɑ t͡s o
կոֆե	k o f e
կոֆեին	k o f e i n
կպնել	k ə p n e l
կպչել	k ə p t͡ʃʰ e l
կպչուն	k ə p t͡ʃʰ u n
կռածո	k ə r ɑ t͡s o
կռահել	k ə r ɑ h e l
կռան	k ə r ɑ n
կռանալ	k ə r ɑ n ɑ l
կռանթ	k ə r ɑ n tʰ
կռապաշտ	k ə r ɑ p ɑ ʃ t
կռապաշտություն	k ə r ɑ p ɑ ʃ t u tʰ j u n
կռատուկ	k ə r ɑ t u k
կռել	k ə r e l
կռթնել	k ə r tʰ ə n e l
կռթունք	k ə r tʰ u n kʰ
կռինչ	k ə r i n t͡ʃʰ
կռիշ	k r i ʃ
կռիշ	k ə r i ʃ
կռիչք	k ə r i t͡ʃʰ kʰ
կռիս	k r i s
կռիս	k ə r i s
կռիսություն	k ə r i s u tʰ j u n
կռիվ	k ə r i v
կռկել	k ə r k e l
կռկռալ	k ə r k ə r ɑ l
կռճիկ	k ə r t͡ʃ i k
կռնակ	k ə r n ɑ k
կռնատ	k ə r n ɑ t
կռնատակ	k ə r n ɑ t ɑ k
կռնչալ	k ə r ə n t͡ʃʰ ɑ l
կռնչել	k ə r ə n t͡ʃʰ e l
կռունկ	k ə r u n k
կռուփ	k ə r u pʰ
կռվախնձոր	k ə r v ɑ χ ə n d͡z o ɾ
կռվել	k ə r v e l
կռտած	k ə r t ɑ t͡s
կռփազենք	k ə r pʰ ɑ z e n kʰ
կսկիծ	k ə s k i t͡s
կվաս	k v ɑ s
կվաս	k ə v ɑ s
կվարց	k v ɑ ɾ t͡sʰ
կվարց	k ə v ɑ ɾ t͡sʰ
կվարցիտ	k v ɑ ɾ t͡sʰ i t
կվենի	k ə v e n i
կտակ	k ə t ɑ k
կտակարան	k ə t ɑ k ɑ ɾ ɑ n
կտակել	k ə t ɑ k e l
կտավիք	k ə t ɑ v i kʰ
կտղանք	k ə t ʁ ɑ n kʰ
կտղել	k ə t ʁ e l
կտղուցք	k ə t ʁ u t͡sʰ kʰ
կտնառք	k ə t n ɑ r kʰ
կտնարք	k ə t n ɑ ɾ kʰ
կտոր	k ə t o ɾ
կտորներ	k ə t o ɾ n e ɾ
կտուր	k ə t u ɾ
կտուց	k ə t u t͡sʰ
կտտալ	k ə t t ɑ l
կտտանք	k ə t t ɑ n kʰ
կտտացնել	k ə t t ɑ t͡sʰ n e l
կտրական	k ə t ɾ ɑ k ɑ n
կտրականաբար	k ə t ɾ ɑ k ɑ n ɑ b ɑ ɾ
կտրականապես	k ə t ɾ ɑ k ɑ n ɑ p e s
կտրականորեն	k ə t ɾ ɑ k ɑ n o ɾ e n
կտրել	k ə t ɾ e l
կտրիճ	k ə t ɾ i t͡ʃ
կտրոն	k ə t ɾ o n
կտրուկ	k ə t ɾ u k
կտցար	k ə t t͡sʰ ɑ ɾ
կտցել	k ə t t͡sʰ e l
կրախ	k ə ɾ ɑ χ
կրախ	k ɾ ɑ χ
կրակ	k ə ɾ ɑ k
կրակահերթ	k ə ɾ ɑ k ɑ h e ɾ tʰ
կրակել	k ə ɾ ɑ k e l
կրակմարիչ	k ə ɾ ɑ k m ɑ ɾ i t͡ʃʰ
կրակոց	k ə ɾ ɑ k o t͡sʰ
կրակվառիչ	k ə ɾ ɑ k v ɑ r i t͡ʃʰ
կրաշաղախ	k ə ɾ ɑ ʃ ɑ ʁ ɑ χ
կրավորական	k ə ɾ ɑ v o ɾ ɑ k ɑ n
կրաքար	k ə ɾ ɑ kʰ ɑ ɾ
կրեատիվ	k ɾ e ɑ t i v
կրել	k ə ɾ e l
կրեմ	k ə ɾ e m
կրեոլ	k ɾ e o l
կրեսլո	k ɾ e s l o
կրետ	k ə ɾ e t
կրթաթոշակ	k ə ɾ tʰ ɑ tʰ o ʃ ɑ k
կրթական	k ə ɾ tʰ ɑ k ɑ n
կրթել	k ə ɾ tʰ e l
կրթություն	k ə ɾ tʰ u tʰ j u n
կրթվել	k ə ɾ tʰ v e l
կրիա	k ə ɾ j ɑ
կրիկետ	k ɾ i k e t
կրիպտոն	k ɾ i p t o n
կրծել	k ə ɾ t͡s e l
կրծկալ	k ə ɾ t͡s k ɑ l
կրծող	k ə ɾ t͡s o ʁ
կրծոսկր	k ə ɾ t͡s o s k ə ɾ
կրծքազարդ	k ə ɾ t͡s kʰ ɑ z ɑ ɾ tʰ
կրծքանշան	k ə ɾ t͡s kʰ ɑ n ə ʃ ɑ n
կրծքապտուկ	k ə ɾ t͡s kʰ ɑ p ə t u k
կրծքավանդակ	k ə ɾ t͡s kʰ ɑ v ɑ n d ɑ k
կրկես	k ə ɾ k e s
կրկեսամարտիկ	k ə ɾ k e s ɑ m ɑ ɾ t i k
կրկին	k ə ɾ k i n
կրկնակ	k ə ɾ k n ɑ k
կրկնակզակ	k ə ɾ k n ɑ k ə z ɑ k
կրկնել	k ə ɾ k n e l
կրկներգ	k ə ɾ k n e ɾ kʰ
կրկնություն	k ə ɾ k n u tʰ j u n
կրճատում	k ə ɾ t͡ʃ ɑ t u m
կրոն	k ə ɾ o n
կրոնագետ	k ə ɾ o n ɑ ɡ e t
կրոնագիտություն	k ə ɾ o n ɑ ɡ i t u tʰ j u n
կրոնական	k ə ɾ o n ɑ k ɑ n
կրոնական	k ɾ o n ɑ k ɑ n
կրոնավոր	k ə ɾ o n ɑ v o ɾ
կրոնավոր	k ɾ o n ɑ v o ɾ
կրուասան	k ɾ u ɑ s ɑ n
կրունկ	k ə ɾ u n k
կրպակ	k ə ɾ p ɑ k
կրտսեր	k ə ɾ t s e ɾ
կցաղետապ	k ə t͡sʰ ɑ ʁ e t ɑ p
կցել	k ə t͡sʰ e l
կցորդ	k ə t͡sʰ o ɾ tʰ
կցորդիչ	k ə t͡sʰ o ɾ tʰ i t͡ʃʰ
կցորդում	k ə t͡sʰ o ɾ tʰ u m
կքել	k ə kʰ e l
հ	h ə
հա	h ɑ
հաբ	h ɑ b
հագագ	h ɑ ɡ ɑ ɡ
հագարացի	h ɑ ɡ ɑ ɾ ɑ t͡sʰ i
հագել	h ɑ ɡ e l
հագենալ	h ɑ ɡ e n ɑ l
հագեցնել	h ɑ ɡ e t͡sʰ n e l
հագնել	h ɑ kʰ n e l
հագնի	h ɑ kʰ n i
հագնվել	h ɑ kʰ n ə v e l
հագուստ	h ɑ kʰ u s t
հագչել	h ɑ kʰ t͡ʃʰ e l
հագցնել	h ɑ kʰ t͡sʰ ə n e l
հադրոն	h ɑ d ɾ o n
հազ	h ɑ z
հազալ	h ɑ z ɑ l
հազար	h ɑ z ɑ ɾ
հազարամյակ	h ɑ z ɑ ɾ ɑ m j ɑ k
հազարապետ	h ɑ z ɑ ɾ ɑ p e t
հազարավոր	h ɑ z ɑ ɾ ɑ v o ɾ
հազարերորդ	h ɑ z ɑ ɾ e ɾ o ɾ tʰ
հազել	h ɑ z e l
հազիվ	h ɑ z i v
հազվագյուտ	h ɑ z v ɑ ɡ j u t
հազվադեպ	h ɑ z v ɑ d e p
հաթ	h ɑ tʰ
հաթաթա	h ɑ tʰ ɑ tʰ ɑ
հաթյան	h ɑ tʰ j ɑ n
հալալ	h ɑ l ɑ l
հալած	h ɑ l ɑ t͡s
հալածանք	h ɑ l ɑ t͡s ɑ n kʰ
հալածել	h ɑ l ɑ t͡s e l
հալավ	h ɑ l ɑ v
հալել	h ɑ l e l
հալոգեն	h ɑ l o ɡ e n
հալոց	h ɑ l o t͡sʰ
հալումաշ	h ɑ l u m ɑ ʃ
հալվա	h ɑ l v ɑ
հալվե	h ɑ l v e
հախճապակի	h ɑ χ t͡ʃ ɑ p ɑ k i
հածանավ	h ɑ t͡s ɑ n ɑ v
հածել	h ɑ t͡s e l
հակ	h ɑ k
հակագրոհ	h ɑ k ɑ ɡ ə ɾ o h
հակազդել	h ɑ k ɑ z d e l
հակաթույն	h ɑ k ɑ tʰ u j n
հակածխախոտային	h ɑ k ɑ t͡s ə χ ɑ χ o t ɑ j i n
հակահարձակում	h ɑ k ɑ h ɑ ɾ t͡sʰ ɑ k u m
հակահարված	h ɑ k ɑ h ɑ ɾ v ɑ t͡s
հակահեղափոխական	h ɑ k ɑ h e ʁ ɑ pʰ o χ ɑ k ɑ n
հակահեղափոխություն	h ɑ k ɑ h e ʁ ɑ pʰ o χ u tʰ j u n
հակահերետիկոսական	h ɑ k ɑ h e ɾ e t i k o s ɑ k ɑ n
հակահերոս	h ɑ k ɑ h e ɾ o s
հակաճառություն	h ɑ k ɑ t͡ʃ ɑ r u tʰ j u n
հակաճիճվային	h ɑ k ɑ t͡ʃ i t͡ʃ v ɑ j i n
հակամակարդիչ	h ɑ k ɑ m ɑ k ɑ ɾ d i t͡ʃʰ
հակամասնիկ	h ɑ k ɑ m ɑ s n i k
հականեխիչ	h ɑ k ɑ n e χ i t͡ʃʰ
հականիշ	h ɑ k ɑ n i ʃ
հակապապ	h ɑ k ɑ p ɑ p
հակապատմական	h ɑ k ɑ p ɑ t m ɑ k ɑ n
հակառակ	h ɑ k ɑ r ɑ k
հակառեյտինգ	h ɑ k ɑ r e j t i n ɡ
հակառուսականություն	h ɑ k ɑ r u s ɑ k ɑ n u tʰ j u n
հակասական	h ɑ k ɑ s ɑ k ɑ n
հակասեմական	h ɑ k ɑ s e m ɑ k ɑ n
հակասեմականություն	h ɑ k ɑ s e m ɑ k ɑ n u tʰ j u n
հակասեմիտականություն	h ɑ k ɑ s e m i t ɑ k ɑ n u tʰ j u n
հակաօդային	h ɑ k ɑ o tʰ ɑ j i n
հակաօսմանյան	h ɑ k ɑ o s m ɑ n j ɑ n
հակել	h ɑ k e l
հակինթ	h ɑ k i n tʰ
հակիրճ	h ɑ k i ɾ t͡ʃ
հակոբիկ	h ɑ k o pʰ i k
հակվել	h ɑ k v e l
հաղագս	h ɑ ʁ ɑ ɡ ə s
հաղարջ	h ɑ ʁ ɑ ɾ d͡ʒ
հաղարջենի	h ɑ ʁ ɑ ɾ d͡ʒ e n i
հաղբ	h ɑ ʁ b
հաղթ	h ɑ χ tʰ
հաղթաթուղթ	h ɑ χ tʰ ɑ tʰ u χ tʰ
հաղթակամար	h ɑ χ tʰ ɑ k ɑ m ɑ ɾ
հաղթական	h ɑ χ tʰ ɑ k ɑ n
հաղթամարմին	h ɑ χ tʰ ɑ m ɑ ɾ m i n
հաղթանակ	h ɑ χ tʰ ɑ n ɑ k
հաղթել	h ɑ χ tʰ e l
հաղթող	h ɑ χ tʰ o ʁ
հաղթու	h ɑ χ tʰ u
հաղորդագրություն	h ɑ ʁ o ɾ tʰ ɑ ɡ ɾ u tʰ j u n
հաղորդակցություն	h ɑ ʁ o ɾ tʰ ɑ k t͡sʰ u tʰ j u n
հաղորդավար	h ɑ ʁ o ɾ tʰ ɑ v ɑ ɾ
հաղորդել	h ɑ ʁ o ɾ tʰ e l
հաղորդիչ	h ɑ ʁ o ɾ tʰ i t͡ʃʰ
հաղորդում	h ɑ ʁ o ɾ tʰ u m
հաճ	h ɑ t͡ʃ
հաճախ	h ɑ t͡ʃ ɑ χ
հաճախակի	h ɑ t͡ʃ ɑ χ ɑ k i
հաճախել	h ɑ t͡ʃ ɑ χ e l
հաճախելիություն	h ɑ t͡ʃ ɑ χ e l i u tʰ j u n
հաճախեցնել	h ɑ t͡ʃ ɑ χ e t͡sʰ n e l
հաճախորդ	h ɑ t͡ʃ ɑ χ o ɾ tʰ
հաճախորդամետ	h ɑ t͡ʃ ɑ χ o ɾ tʰ ɑ m e t
հաճախորդություն	h ɑ t͡ʃ ɑ χ o ɾ tʰ u tʰ j u n
հաճախորդուհի	h ɑ t͡ʃ ɑ χ o ɾ tʰ u h i
հաճախություն	h ɑ t͡ʃ ɑ χ u tʰ j u n
հաճախում	h ɑ t͡ʃ ɑ χ u m
հաճար	h ɑ t͡ʃ ɑ ɾ
հաճարենի	h ɑ t͡ʃ ɑ ɾ e n i
հաճարի	h ɑ t͡ʃ ɑ ɾ i
հաճել	h ɑ t͡ʃ e l
հաճելի	h ɑ t͡ʃ e l i
հաճիլ	h ɑ t͡ʃ i l
հաճիս	h ɑ t͡ʃ i s
հաճո	h ɑ t͡ʃ o
հաճոյախոսել	h ɑ t͡ʃ o j ɑ χ o s e l
հաճություն	h ɑ t͡ʃ u tʰ j u n
հաճույք	h ɑ t͡ʃ u j kʰ
համ	h ɑ m
համագործակցել	h ɑ m ɑ ɡ o ɾ t͡s ɑ k t͡sʰ e l
համագործակցության	h ɑ m ɑ ɡ o ɾ t͡s ɑ k t͡sʰ u tʰ j ɑ n
համագործակցություն	h ɑ m ɑ ɡ o ɾ t͡s ɑ k t͡sʰ u tʰ j u n
համագործել	h ɑ m ɑ ɡ o ɾ t͡s e l
համագործություն	h ɑ m ɑ ɡ o ɾ t͡s u tʰ j u n
համագումար	h ɑ m ɑ ɡ u m ɑ ɾ
համագույն	h ɑ m ɑ ɡ u j n
համադարման	h ɑ m ɑ d ɑ ɾ m ɑ n
համադրություն	h ɑ m ɑ d ə ɾ u tʰ j u n
համադրույթ	h ɑ m ɑ d ə ɾ u j tʰ
համազգային	h ɑ m ɑ z ɡ ɑ j i n
համազգեստ	h ɑ m ɑ z ɡ e s t
համաժամանակյա	h ɑ m ɑ ʒ ɑ m ɑ n ɑ k j ɑ
համաժողով	h ɑ m ɑ ʒ o ʁ o v
համալ	h ɑ m ɑ l
համալիր	h ɑ m ɑ l i ɾ
համալսարան	h ɑ m ɑ l s ɑ ɾ ɑ n
համալրել	h ɑ m ɑ l ɾ e l
համախոհ	h ɑ m ɑ χ o h
համախտանիշ	h ɑ m ɑ χ t ɑ n i ʃ
համակարգ	h ɑ m ɑ k ɑ ɾ kʰ
համակարգային	h ɑ m ɑ k ɑ ɾ kʰ ɑ j i n
համակարգել	h ɑ m ɑ k ɑ ɾ kʰ e l
համակարգիչ	h ɑ m ɑ k ɑ ɾ kʰ i t͡ʃʰ
համակարգող	h ɑ m ɑ k ɑ ɾ kʰ o ʁ
համակարգչային	h ɑ m ɑ k ɑ ɾ kʰ t͡ʃʰ ɑ j i n
համակրանք	h ɑ m ɑ k ɾ ɑ n kʰ
համակրել	h ɑ m ɑ k ɾ e l
համակրելի	h ɑ m ɑ k ɾ e l i
համահայկական	h ɑ m ɑ h ɑ j k ɑ k ɑ n
համահիմնադիր	h ɑ m ɑ h i m n ɑ d i ɾ
համաձայն	h ɑ m ɑ d͡z ɑ j n
համաձայնել	h ɑ m ɑ d͡z ɑ j n e l
համաձուլվածք	h ɑ m ɑ d͡z u l v ɑ t͡s kʰ
համաճարակ	h ɑ m ɑ t͡ʃ ɑ ɾ ɑ k
համամարդկային	h ɑ m ɑ m ɑ ɾ tʰ k ɑ j i n
համամիութենական	h ɑ m ɑ m i u tʰ e n ɑ k ɑ n
համայնավարություն	h ɑ m ɑ j n ɑ v ɑ ɾ u tʰ j u n
համայնք	h ɑ m ɑ j n kʰ
համայնքապետ	h ɑ m ɑ j n kʰ ɑ p e t
համանախագահ	h ɑ m ɑ n ɑ χ ɑ ɡ ɑ h
համաներում	h ɑ m ɑ n e ɾ u m
համանուն	h ɑ m ɑ n u n
համաշխարհային	h ɑ m ɑ ʃ χ ɑ ɾ ɑ j i n
համաշխարհաքաղաքացի	h ɑ m ɑ ʃ χ ɑ ɾ ɑ kʰ ɑ ʁ ɑ kʰ ɑ t͡sʰ i
համաչափ	h ɑ m ɑ t͡ʃʰ ɑ pʰ
համապատասխան	h ɑ m ɑ p ɑ t ɑ s χ ɑ n
համառ	h ɑ m ɑ r
համառել	h ɑ m ɑ r e l
համառոտ	h ɑ m ɑ r o t
համառոտաբար	h ɑ m ɑ r o t ɑ b ɑ ɾ
համասեռահակություն	h ɑ m ɑ s e r ɑ h ɑ k u tʰ j u n
համասեռամոլ	h ɑ m ɑ s e r ɑ m o l
համասեռամոլություն	h ɑ m ɑ s e r ɑ m o l u tʰ j u n
համաստեղություն	h ɑ m ɑ s t e ʁ u tʰ j u n
համավարակ	h ɑ m ɑ v ɑ ɾ ɑ k
համատարած	h ɑ m ɑ t ɑ ɾ ɑ t͡s
համատեղ	h ɑ m ɑ t e ʁ
համատեղելի	h ɑ m ɑ t e ʁ e l i
համատեքստ	h ɑ m ɑ t e kʰ s t
համատիրություն	h ɑ m ɑ t i ɾ u tʰ j u n
համար	h ɑ m ɑ ɾ
համարակար	h ɑ m ɑ ɾ ɑ k ɑ ɾ
համարել	h ɑ m ɑ ɾ e l
համարժեք	h ɑ m ɑ ɾ ʒ e kʰ
համարիչ	h ɑ m ɑ ɾ i t͡ʃʰ
համարձակվել	h ɑ m ɑ ɾ t͡sʰ ɑ k v e l
համարյա	h ɑ m ɑ ɾ j ɑ
համացանց	h ɑ m ɑ t͡sʰ ɑ n t͡sʰ
համացանցային	h ɑ m ɑ t͡sʰ ɑ n t͡sʰ ɑ j i n
համաքաղաքացի	h ɑ m ɑ kʰ ɑ ʁ ɑ kʰ ɑ t͡sʰ i
համբալ	h ɑ m b ɑ l
համբավ	h ɑ m b ɑ v
համբավավոր	h ɑ m b ɑ v ɑ v o ɾ
համբար	h ɑ m b ɑ ɾ
համբարձում	h ɑ m b ɑ ɾ t͡sʰ u m
համբերատար	h ɑ m pʰ e ɾ ɑ t ɑ ɾ
համբերել	h ɑ m pʰ e ɾ e l
համբերություն	h ɑ m pʰ e ɾ u tʰ j u n
համբյուր	h ɑ m pʰ j u ɾ
համբյուրել	h ɑ m pʰ j u ɾ e l
համբույր	h ɑ m pʰ u j ɾ
համբուրել	h ɑ m pʰ u ɾ e l
համբուրվել	h ɑ m pʰ u ɾ v e l
համել	h ɑ m e l
համեղ	h ɑ m e ʁ
համեմատ	h ɑ m e m ɑ t
համեմատել	h ɑ m e m ɑ t e l
համեմատություն	h ɑ m e m ɑ t u tʰ j u n
համեմունք	h ɑ m e m u n kʰ
համենալ	h ɑ m e n ɑ l
համեստ	h ɑ m e s t
համեստաբար	h ɑ m e s t ɑ b ɑ ɾ
համեստորեն	h ɑ m e s t o ɾ e n
համեստություն	h ɑ m e s t u tʰ j u n
