ং	ŋ
মেয়েমানুষ	m e e̯ e m a n u ʃ
মেলা	m e l a
মেলা	m æ l a
মেলানেশিয়া	m e l a n e ʃ i̯ a
মেলামেশা	m æ l a m e ʃ a
মেষ	m e ʃ
মেষশাবক	m e ʃː a b ɔ k
মেস	m e ʃ
মোটা	m o ʈ a
মোড়	m o ɽ
মোড়ল	m o ɽ o l
মোতি	m o t̪ i
মোবাইল	m o b a i̯ l
মোলাকাত	m o l a k a t̪
মোল্লা	m o lː a
মোল্লা	m u lː a
মৌ	m o u̯
মৌচাক	m o u̯ t ʃ a k
মৌত	m o u̯ t̪
মৌল	m o u̯ l
মৌলবী	m o u̯ l o b i
মৌসুম	m o u̯ ʃ u m
মৌসুমি	m o u̯ ʃ u m i
ম্যাডাম	m æ ɖ a m
য়	e̯ ɔ
য়	j ɔ
রবার	ɹ ɔ b a ɹ
ল	l ɔ
লওয়া	l ɔ o̯ a
লক্ষ	l ɔ k kʰ ɔ
লক্ষ্মণ	l ɔ kʰː ɔ n
লক্ষ্মী	l ɔ kʰː i
লক্ষ্য	l o kʰː o
লঙ্কা	l ɔ ŋ k a
লড়া	l ɔ ɽ a
লতা	l ɔ t̪ a
লতিফ	l o t̪ i f
লন্ঠন	l ɔ n ʈʰ ɔ n
লন্ডন	l ɔ n ɖ ɔ n
লবডঙ্কা	l ɔ b o ɖ ɔ ŋ k a
লবণ	l ɔ b o n
ললিতা	l o l i t̪ a
লস্যি	l ɔ sː i
লাউ	l a u̯
লাও	l a o
লাখ	l a kʰ
লাঞ্চ	l a n t ʃ
লাট	l a ʈ
লাঠি	l a ʈʰ i
লাথি	l a tʰ i
লাফ	l a f
লাফানো	l a f a n o
লাফানো	l a pʰ a n o
লাভ	l a bʱ
লাভা	l a bʱ a
লাল	l a l
লালন	l a l o n
লালা	l a l a
লালি	l æ l i
লাশ	l a ʃ
লিচু	l i t ʃ u
লিপস্টিক	l i p ʃ ʈ i k
লিফট	l i f ʈ
লেখক	l æ kʰ ɔ k
লেখা	l e kʰ a
লেখা	l æ kʰ a
লেবু	l e b u
লেমনেড	l e m ɔ n e ɖ
লোকসান	l o k ʃ a n
লোচন	l o t ʃ ɔ n
লোপ	l o p
শ	ʃ ɔ
শক্ত	ʃ ɔ k t̪ o
শখ	ʃ ɔ kʰ
শঙ্খচূড়	ʃ ɔ ŋ kʰ ɔ t ʃ u ɽ
শত	ʃ ɔ t̪ ɔ
শতক	ʃ ɔ t ɔ k
শতাব্দী	ʃ ɔ t a b d i
শনাক্ত	ʃ ɔ n a k t̪ o
শনি	ʃ o n i
শবনম	ʃ ɔ b n ɔ m
শব্দ	ʃ ɔ b d̪ o
শয়তান	ʃ ɔ e t̪ a n
শসা	ʃ ɔ ʃ a
শাক	ʃ a k
শাড়ি	ʃ a ɽ i
শাণ্ডিল্য	ʃ a n ɖ i lː ɔ
শান্ত	ʃ a n t̪ o
শান্তি	ʃ a n t̪ i
শাফা	ʃ a f a
শাবাশ	ʃ a b a ʃ
শাবাশ	ʃ a bː a ʃ
শামা	ʃ a m a
শামিয়ানা	ʃ a m i̯ a n a
শামুক	ʃ a m u k
শায়া	ʃ a e̯ a
শাল	ʃ a l
শালা	ʃ a l a
শালি	ʃ a l i
শালিক	ʃ a l i k
শালী	ʃ a l i
শাসন	ʃ a ʃ ɔ n
শাহ	ʃ a
শিং	ʃ i ŋ
শিউলি	ʃ i u̯ l i
শিক্ষক	ʃ i k kʰ ɔ k
শিক্ষিত	ʃ i kʰː i t̪ o
শিখ	ʃ i kʰ
শিথান	ʃ i t̪ʰ a n
শিয়াল	ʃ i a l
শিল	ʃ i l
শিলনোড়া	ʃ i l n o ɽ a
শিল্প	ʃ i l p o
শিল্পী	ʃ i l p i
শিশু	ʃ i ʃ u
শিশ্ন	ʃ i ʃ n o
শিষ্য	ʃ i ʃ ʃ o
শীত	ʃ i t̪
শীততাপ	ʃ i t̪ ɔ t̪ a p
শীতাতপ	ʃ i t̪ a t̪ ɔ p
শুধু	ʃ u d̪ʱ u
শুভ	ʃ u bʱ o
শুলফা	ʃ u l pʰ a
শূন্য	ʃ u nː o
শেখ	ʃ e kʰ
শেখা	ʃ e kʰ a
শেখানো	ʃ e kʰ a n o
শেয়াল	ʃ e a l
শেষ	ʃ e ʃ
শৈবাল	ʃ o i̯ b a l
শৈলুষ	ʃ o i̯ l u ʃ
শৈশব	ʃ o i̯ ʃ ɔ b
শোনা	ʃ o n a
শোয়া	ʃ o̯ a
শ্বেত	ʃː e t̪
শ্মশান	ʃ ɔ ʃ a n
শ্যাম	ʃ æ m
শ্যামদেশ	ʃ æ m d̪ e ʃ
শ্যাম্পু	ʃ æ m p u
ষ	ʃ ɔ
সংক্ষেপ	ʃ ɔ ŋ kʰ e p
সংখ্যা	ʃ o ŋ kʰ a
সংবাদ	ʃ ɔ ŋ b a d̪
সংবিধান	ʃ ɔ ŋ b i d̪ʱ a n
সংশয়	ʃ ɔ ŋ ʃ ɔ e̯
সংসদ	ʃ ɔ̃ ʃ ɔ d̪
সই	ʃ o i̯
সওদা	ʃ ɔ o̯ d̪ a
সওয়া	ʃ ɔ o̯ a
সকল	ʃ ɔ k o l
সকাল	ʃ ɔ k a l
সখা	ʃ ɔ kʰ a
সখী	ʃ o kʰ i
সঙ্কেত	ʃ ɔ ŋ k e t
সড়ক	ʃ ɔ ɽ o k
সত্ত্ব	ʃ ɔ t̪ː o
সত্ত্বেও	ʃ ɔ t̪ː e o̯
সত্য	ʃ ɔ t̪ː o
সত্যজিৎ	ʃ ɔ t̪ t̪ ɔ d͡ʒ i t̪
সত্যফল	ʃ o tː ɔ pʰ ɔ l
সত্যি	ʃ ɔ t̪ː i
সদাই	ʃ ɔ d̪ a i
সন	ʃ ɔ n
সনদ	ʃ ɔ n o d̪
সনাতন	ʃ ɔ n a t ɔ n
সনে	ʃ ɔ n e
সন্ত	ʃ ɔ n t̪ o
সন্তান	ʃ ɔ n t̪ a n
সন্দেশ	ʃ ɔ n d e ʃ
সন্ধ্যা	ʃ ɔ n d̪ʱ a
সপ্তাহ	ʃ ɔ p t̪ a
সফল	ʃ ɔ f ɔ l
সব	ʃ ɔ b
সবই	ʃ ɔ b o i̯
সবচেয়ে	ʃ ɔ b t ʃ e
সবচেয়ে	ʃ ɔ p t ʃ e
সবাই	ʃ ɔ b a i̯
সব্যসাচী	ʃ o bː o ʃ a t ʃ i
সভা	ʃ ɔ bʱ a
সমকামিতা	ʃ ɔ m ɔ k a m i t̪ a
সমকামী	ʃ ɔ m ɔ k a m i
সমন	ʃ ɔ m o n
সময়	ʃ ɔ m ɔ e̯
সময়কাল	ʃ ɔ m ɔ e̯ k a l
সমস্ত	ʃ ɔ m ɔ ʃ t̪ ɔ
সমস্যা	ʃ ɔ m o ʃː a
সমাধান	ʃ ɔ m a d̪ʱ a n
সমাধি	ʃ ɔ m a d̪ʱ i
সম্পত্তি	ʃ ɔ m p o t̪ː i
সম্পাদিকা	ʃ ɔ m p a d̪ i k a
সম্বন্ধে	ʃ ɔ m b ɔ n d̪ʱ e
সম্ভব	ʃ ɔ m bʱ ɔ b
সম্মতি	ʃ ɔ m m ɔ t̪ i
সম্মেলন	ʃ ɔ mː e l ɔ n
সরকার	ʃ ɔ ɹ k a ɹ
সলিল	ʃ o l i l
সাং	ʃ a ŋ
সাকিব	ʃ a k i b
সাক্ষী	ʃ a kʰː i
সাখী	ʃ a kʰ i
সাড়ে	ʃ a ɽ e
সাত	ʃ a t̪
সাথে	ʃ a t̪ʰ e
সাদা	ʃ a d̪ a
সাধ	ʃ a d̪ʱ
সাধা	ʃ a d̪ʱ a
সাধুভাষা	ʃ a d̪ʱ u bʱ a ʃ a
সানাই	ʃ a n a i̯
সাপ	ʃ a p
সাবধান	ʃ a b d̪ʱ a n
সাবান	ʃ a b a n
সামনে	ʃ a m n e
সামলানো	ʃ a m l a n o
সাম্যবাদ	ʃ a mː ɔ b a d̪
সায়া	ʃ a e̯ a
সাল	ʃ a l
সিডি	ʃ i ɖ i
সিদ্ধ	ʃ i d̪ʱː o
সিদ্ধান্ত	ʃ i d̪ʱː a n t̪ o
সিধা	ʃ i d̪ʱ a
সিন্দুক	ʃ i n d̪ u k
সিন্ধু	ʃ i n d̪ʱ u
সিন্ধুঘোটক	ʃ i n d̪ʱ u ɡʱ o ʈ ɔ k
সিলেট	ʃ i l e ʈ
সীতা	ʃ i t̪ a
সীমা	ʃ i m a
সুখ	ʃ u kʰ
সুজিত	ʃ u d͡ʒ i t̪
সুদ	ʃ u d̪
সুনামি	ʃ u n a m i
সুনিধি	ʃ u n i d̪ʱ i
সুবহানাল্লাহ	ʃ u bʱ a n a lː a
সুমন	ʃ u m o n
সুমন	ʃ u m ɔ n
সুস্বাদু	ʃ u ʃː a d̪ u
সূচী	ʃ u t ʃ i
সে	ʃ e
সেই	ʃ e i
সেখান	ʃ e kʰ a n
সেবা	ʃ e b a
সোনা	ʃ o n a
সোভিয়েত	ʃ o bʱ i̯ e t̪
সোয়াদ	ʃ o̯ a d̪
সোয়ামি	ʃ o̯ a m i
স্তন্যপায়ী	ʃ t ɔ n n o p a i
স্ফটিক	ʃ pʰ o ʈ i k
স্বদেশ	ʃ ɔ d̪ e ʃ
স্বপন	ʃ ɔ p o n
স্বপ্ন	ʃ ɔ p n o
স্বাধীনতা	ʃ a d̪ʱ i n ɔ t̪ a
স্বামিনী	ʃ a m i n i
স্বামী	ʃ a m i
সৎ	ʃ ɔ t̪
হ	h ɔ
হলদে	h o l d e
হাওয়া	h a o a
হিমবাহ	h i m b a h o
হে	h e
ৡ	l i
ৰ	ɹ ɔ
