अ	ə
घट्ट	ɡʱ ə ʈ ʈ ə
घट्टपणा	ɡʱ ə ʈ ʈ ə p ə ɳ a
घडण	ɡʱ ə ɖ ə ɳ
घडणे	ɡʱ ə ɖ ə ɳ e
घडणे	ɡʱ ə ɖ ə ɳ ə
घडवणे	ɡʱ ə ɖ ə ʋ ə ɳ e
घडवणे	ɡʱ ə ɖ ə ʋ ə ɳ ə
घड्याळ	ɡʱ ə ɖ j a ɭ̆
घड्याळे	ɡʱ ə ɖ j a ɭ̆ e
घड्याळे	ɡʱ ə ɖ j a ɭ̆ ə
घर	ɡʱ ə ɾ
घरं	ɡʱ ə ɾ ə
घरंदाज	ɡʱ ə ɾ ə n d̪ a d͡ʑ
घरकाम	ɡʱ ə ɾ k a m
घरकूल	ɡʱ ə ɾ k u l
घरगुती	ɡʱ ə ɾ ɡ u t̪ i
घरजावई	ɡʱ ə ɾ d͡z a ʋ ə i
घरटे	ɡʱ ə ɾ ʈ e
घरटे	ɡʱ ə ɾ ʈ ə
घरदार	ɡʱ ə ɾ d̪ a ɾ
घरपट्टी	ɡʱ ə ɾ p ə ʈ ʈ i
घराणे	ɡʱ ə ɾ a ɳ e
घराणे	ɡʱ ə ɾ a ɳ ə
घरे	ɡʱ ə ɾ e
घरे	ɡʱ ə ɾ ə
घरोघर	ɡʱ ə ɾ o ɡʱ ə ɾ
घरोबा	ɡʱ ə ɾ o b a
घर्षण	ɡʱ ə ɾ ʂ ə ɳ
घसरगुंडी	ɡʱ ə s ə ɾ ɡ u ɳ ɖ i
घसरणे	ɡʱ ə s ə ɾ ɳ e
घसरणे	ɡʱ ə s ə ɾ ɳ ə
घसा	ɡʱ ə s a
घाई	ɡʱ a i
घाण	ɡʱ a ɳ
घात	ɡʱ a t̪
घातक	ɡʱ a t̪ ə k
घातकी	ɡʱ a t̪ k i
घाबरणे	ɡʱ a b ə ɾ ɳ e
घाबरणे	ɡʱ a b ə ɾ ɳ ə
घाम	ɡʱ a m
घामट	ɡʱ a m ə ʈ
घामाघूम	ɡʱ a m a ɡʱ u m
घामावणे	ɡʱ a m a ʋ ɳ e
घामावणे	ɡʱ a m a ʋ ɳ ə
घामोळे	ɡʱ a m o ɭ̆ e
घामोळे	ɡʱ a m o ɭ̆ ə
घायाळ	ɡʱ a j a ɭ̆
घार	ɡʱ a ɾ
घालणे	ɡʱ a l ɳ e
घाव	ɡʱ a ʋ
घास	ɡʱ a s
घासणे	ɡʱ a s ɳ e
घासणे	ɡʱ a s ɳ ə
घासलेट	ɡʱ a s l e ʈ
घुंघरू	ɡʱ u ŋ ɡʱ ɾ u
घुबड	ɡʱ u b ə ɖ
घुमट	ɡʱ u m ə ʈ
घुमणे	ɡʱ u m ɳ e
घुमणे	ɡʱ u m ɳ ə
घुसळ	ɡʱ u s ə ɭ̆
घुसळण	ɡʱ u s ɭ̆ ə ɳ
घुसळणे	ɡʱ u s ə ɭ̆ ɳ e
घुसळणे	ɡʱ u s ə ɭ̆ ɳ ə
घुसळा	ɡʱ u s ɭ̆ a
घृणा	ɡʱ ɾ u ɳ a
घोडेस्वार	ɡʱ o ɖ e s ʋ a ɾ
घोणस	ɡʱ o ɳ ə s
घोणसकांडे	ɡʱ o ɳ ə s k a ɳ ɖ e
घोष	ɡʱ o ʂ
घोषणा	ɡʱ o ʂ ɳ a
ङ	ŋ ə
च	t͡ɕ ə
च	t͡s ə
चंदन	t͡ɕ ə n d̪ ə n
चंद्र	t͡ɕ ə n d̪ ɾ ə
चंद्रप्रकाश	t͡ɕ ə n d̪ ɾ ə p ɾ ə k a ɕ
चकली	t͡ɕ ə k l i
चक्की	t͡ɕ ə k k i
चक्र	t͡ɕ ə k ɾ ə
चक्रफूल	t͡ɕ ə k ɾ ə pʰ u l
चटई	t͡s ə ʈ ə i
चढणे	t͡s ə ɖʱ ɳ e
चढणे	t͡s ə ɖʱ ɳ ə
चपळ	t͡ɕ ə p ə ɭ̆
चपाती	t͡ɕ ə p a t̪ i
चमकणे	t͡s ə m ə k ɳ e
चमचा	t͡s ə m t͡s a
चमचा	t͡ɕ ə m t͡ɕ a
चमत्कार	t͡ɕ ə m ə t̪ k a ɾ
चमेली	t͡s ə m e l i
चरणे	t͡s ə ɾ ɳ e
चरणे	t͡s ə ɾ ɳ ə
चर्चा	t͡ɕ ə ɾ t͡ɕ a
चलाख	t͡ɕ ə l a kʰ
चव	t͡s ə ʋ
चवताळणे	t͡s ə ʋ t̪ a ɭ̆ ɳ e
चवताळणे	t͡s ə ʋ t̪ a ɭ̆ ɳ ə
चव्वीस	t͡s ə ʋ ʋ i s
चव्वेचाळीस	t͡s ə ʋ ʋ e t͡ɕ a ɭ̆ i s
चव्हाटा	t͡s ə ʋʱ a ʈ a
चश्मा	t͡ɕ ə ɕ m a
चष्मा	t͡ɕ ə ʂ m a
चहा	t͡ɕ ə ɦ a
चांगला	t͡s a ŋ ɡ l a
चांगले	t͡s a ŋ ɡ l e
चांद	t͡ɕ a n d̪
चांदणी	t͡s a n d̪ ə ɳ i
चांदी	t͡s a n d̪ i
चाक	t͡s a k
चाकर	t͡ɕ a k ə ɾ
चाकू	t͡s a k u
चाखणे	t͡ɕ a kʰ ɳ e
चाखणे	t͡ɕ a kʰ ɳ ə
चाटणे	t͡s a ʈ ɳ e
चाटणे	t͡s a ʈ ɳ ə
चाणाक्ष	t͡ɕ a ɳ a k ʂ ə
चापणे	t͡ɕ a p ɳ e
चापणे	t͡ɕ a p ɳ ə
चाफा	t͡s a pʰ a
चामट	t͡ɕ a m ə ʈ
चामडी	t͡s a m ɖ i
चामडे	t͡ɕ a m ɖ e
चार	t͡ɕ a ɾ
चाल	t͡s a l
चालक	t͡ɕ a l ə k
चालणे	t͡s a l ɳ e
चालणे	t͡s a l ɳ ə
चालवणे	t͡s a l ə ʋ ɳ e
चालवणे	t͡s a l ə ʋ ɳ ə
चालू	t͡s a l u
चाळ	t͡s a ɭ̆
चाळणी	t͡ɕ a ɭ̆ ɳ i
चाळणे	t͡s a ɭ̆ ɳ e
चाळणे	t͡s a ɭ̆ ɳ ə
चाळीस	t͡ɕ a ɭ̆ i s
चावणे	t͡s a ʋ ɳ e
चावणे	t͡s a ʋ ɳ ə
चावी	t͡s a ʋ i
चाव्या	t͡s a ʋ j a
चाहणे	t͡ɕ a ɦ ɳ e
चाहणे	t͡ɕ a ɦ ɳ ə
चिंगळ	t͡ɕ i ŋ ɡ ə ɭ̆
चिंच	t͡ɕ i n t͡s ə
चिंतणे	t͡ɕ i n t̪ ə ɳ e
चिंतणे	t͡ɕ i n t̪ ə ɳ ə
चिंता	t͡ɕ i n t̪ a
चिकट	t͡ɕ i k ə ʈ
चिकटणे	t͡ɕ i k ə ʈ ɳ e
चिकटणे	t͡ɕ i k ə ʈ ɳ ə
चिकटपट्टी	t͡ɕ i k ə ʈ p ə ʈ ʈ i
चिकटपणा	t͡ɕ i k ʈ ə p ɳ a
चिकटवणे	t͡ɕ i k ʈ ə ʋ ɳ e
चिकटवणे	t͡ɕ i k ʈ ə ʋ ɳ ə
चिकण	t͡ɕ i k ə ɳ
चिकणे	t͡ɕ i k ɳ e
चिकणे	t͡ɕ i k ɳ ə
चिखल	t͡ɕ i kʰ ə l
चिठ्ठी	t͡ɕ i ʈ ʈʰ i
चिठ्ठ्या	t͡ɕ i ʈ ʈʰ j a
चिडणे	t͡ɕ i ɖ ə ɳ e
चिडणे	t͡ɕ i ɖ ə ɳ ə
चिडवणे	t͡ɕ i ɖ ə ʋ ə ɳ e
चिडवणे	t͡ɕ i ɖ ə ʋ ə ɳ ə
चितळ	t͡ɕ i t̪ ə ɭ̆
चित्ता	t͡ɕ i t̪ t̪ a
चित्तूर	t͡ɕ i t̪ t̪ u ɾ
चित्र	t͡ɕ i t̪ ɾ ə
चित्रकला	t͡ɕ i t̪ ɾ ə k l a
चित्रकार	t͡ɕ i t̪ ɾ ə k a ɾ
चित्रपट	t͡ɕ i t̪ ɾ ə p ə ʈ
चित्रे	t͡ɕ i t̪ ɾ e
चित्रे	t͡ɕ i t̪ ɾ ə
चिन्ह	t͡ɕ i nʱ ə
चिमणी	t͡ɕ i m ɳ i
चिल्लर	t͡ɕ i l l ə ɾ
चिवडा	t͡ɕ i ʋ ɖ a
चीक	t͡ɕ i k
चीज	t͡ɕ i d͡ʑ
चीन	t͡ɕ i n
चीनी	t͡ɕ i n i
चुंबन	t͡ɕ u m b ə n
चुकणे	t͡s u k ɳ e
चुकणे	t͡s u k ɳ ə
चुकवणे	t͡s u k ə ʋ ɳ e
चुकवणे	t͡s u k ə ʋ ɳ ə
चुणचुणीत	t͡ɕ u ɳ t͡ɕ u ɳ i t̪
चुरणे	t͡ɕ u ɾ ɳ e
चूक	t͡s u k
चूल	t͡ɕ u l
चूळ	t͡s u ɭ̆
चेंडू	t͡ɕ e ɳ ɖ u
चेतना	t͡ɕ e t̪ n a
चेतवणे	t͡ɕ e t̪ ə ʋ ɳ e
चेतवणे	t͡ɕ e t̪ ə ʋ ɳ ə
चेन्नई	t͡ɕ e n n ə i
चेपणे	t͡ɕ e p ɳ e
चेपणे	t͡ɕ e p ɳ ə
चेष्टा	t͡ɕ e ʂ ʈ a
चेहरा	t͡ɕ e ɦ ɾ a
चैतन्य	t͡ɕ ə i t̪ ə n j ə
चैत्र	t͡ɕ ə i t̪ ɾ ə
चैन	t͡ɕ ə i n
चैनबाज	t͡ɕ ə i n b a d͡ʑ
चैनबाजी	t͡ɕ ə i n b a d͡ʑ i
चॉकलेट	t͡ɕ ɔ k l e ʈ
चोख	t͡s o kʰ
चोखणे	t͡s o kʰ ɳ e
चोखणे	t͡s o kʰ ɳ ə
चोपणे	t͡s o p ɳ e
चोपणे	t͡s o p ɳ ə
चोर	t͡s o ɾ
चोरणे	t͡s o ɾ ɳ e
चोरणे	t͡s o ɾ ɳ ə
चोळणे	t͡ɕ o ɭ̆ ɳ e
चोळणे	t͡ɕ o ɭ̆ ɳ ə
चोवीस	t͡s o ʋ i s
चौक	t͡s ə u k
चौकट	t͡s ə u k ə ʈ
चौकोन	t͡s ə u k o n
चौतीस	t͡s ə u t̪ i s
चौथे	t͡s ə u t̪ʰ e
चौथे	t͡s ə u t̪ʰ ə
चौदा	t͡s ə u d̪ a
चौधरी	t͡s ə u d̪ʱ ɾ i
चौमास	t͡ɕ ə u m a s
चौरंग	t͡s ə u ɾ ə ŋ ɡ ə
छ	t͡ɕʰ ə
छंद	t͡ɕʰ ə n d̪ ə
छत्तीस	t͡ɕʰ ə t̪ t̪ i s
छत्तीसगढ	t͡ɕʰ ə t̪ t̪ i s ɡ ə ɖʱ
छत्रपति	t͡ɕʰ ə t̪ ɾ ə p t̪ i
छत्री	t͡ɕʰ ə t̪ ɾ i
छळ	t͡ɕʰ ə ɭ̆
छळणे	t͡ɕʰ ə ɭ̆ ɳ e
छळणे	t͡ɕʰ ə ɭ̆ ɳ ə
छान	t͡ɕʰ a n
छायाचित्र	t͡ɕʰ a j a t͡ɕ i t̪ ɾ ə
छावा	t͡ɕʰ a ʋ a
छेदन	t͡ɕʰ e d̪ ə n
छोटे	t͡ɕʰ o ʈ e
छोटे	t͡ɕʰ o ʈ ə
ज	d͡ʑ ə
ज	d͡z ə
जंगली	d͡ʑ ə ŋ ɡ l i
जंत	d͡ʑ ə n t̪ ə
जखम	d͡ʑ ə kʰ ə m
जखमी	d͡ʑ ə kʰ m i
जगणे	d͡ʑ ə ɡ ɳ e
जगणे	d͡ʑ ə ɡ ɳ ə
जड	d͡z ə ɖ
जनावर	d͡z ə n a ʋ ə ɾ
जन्म	d͡ʑ ə n m ə
जन्मखूण	d͡ʑ ə n m ə kʰ u ɳ
जन्मभूमी	d͡ʑ ə n m ə bʱ u m i
जपणे	d͡z ə p ɳ e
जपणे	d͡z ə p ɳ ə
जपान	d͡ʑ ə p a n
जपानी	d͡ʑ ə p a n i
जप्त	d͡z ə p t̪ ə
जबडा	d͡z ə b ɖ a
जबाबदार	d͡z ə b a b d̪ a ɾ
जबाबदारी	d͡z ə b a b d̪ a ɾ i
जमणे	d͡z ə m ɳ e
जमणे	d͡z ə m ɳ ə
जमवणे	d͡z ə m ə ʋ ɳ e
जमवणे	d͡z ə m ə ʋ ɳ ə
जमा	d͡ʑ ə m a
जमाखर्च	d͡ʑ ə m a kʰ ə ɾ t͡ɕ ə
जमाखर्ची	d͡ʑ ə m a kʰ ə ɾ t͡ɕ i
जमाना	d͡z ə m a n a
जमीन	d͡z ə m i n
जय	d͡ʑ ə j
जयपूर	d͡ʑ ə j p u ɾ
जर्मनी	d͡ʑ ə ɾ m ə n i
जल	d͡ʑ ə l
जळणे	d͡z ə ɭ̆ ɳ e
जळणे	d͡z ə ɭ̆ ɳ ə
जळू	d͡z ə ɭ̆ u
जव	d͡z ə ʋ
जवळ	d͡ʑ ə ʋ ə ɭ̆
जवळीक	d͡ʑ ə ʋ ɭ̆ i k
जवस	d͡z ə ʋ ə s
जवानी	d͡ʑ ə ʋ a n i
जवाब	d͡ʑ ə ʋ a b
जहर	d͡z ə ɦ ə ɾ
जहागिरदार	d͡ʑ ə ɦ a ɡ i ɾ d̪ a ɾ
जहागीरदार	d͡ʑ ə ɦ a ɡ i ɾ d̪ a ɾ
जहाज	d͡z ə ɦ a d͡z
जा	d͡ʑ a
जांभळा	d͡z a m bʱ ɭ̆ a
जाऊ	d͡z a u
जागणे	d͡z a ɡ ɳ e
जागणे	d͡z a ɡ ɳ ə
जागरूक	d͡ʑ a ɡ ɾ u k
जागरूकता	d͡ʑ a ɡ ɾ u k t̪ a
जागा	d͡z a ɡ a
जागे	d͡z a ɡ e
जागे	d͡z a ɡ ə
जाच	d͡ʑ a t͡ɕ
जाड	d͡ʑ a ɖ
जाणणे	d͡z a ɳ ɳ e
जाणणे	d͡z a ɳ ɳ ə
जाणीव	d͡ʑ a ɳ i ʋ
जाणूनबुजून	d͡z a ɳ u n b u d͡z u n
जाणे	d͡z a ɳ e
जाणे	d͡z a ɳ ə
जादा	d͡ʑ a d̪ a
जादुई	d͡ʑ a d̪ u i
जादू	d͡ʑ a d̪ u
जादूगर	d͡ʑ a d̪ u ɡ ə ɾ
जादूगरी	d͡ʑ a d̪ u ɡ ə ɾ i
जानेवारी	d͡ʑ a n e ʋ a ɾ i
जाब	d͡z a b
जायफळ	d͡z a j pʰ ə ɭ̆
जायबंदी	d͡ʑ a j b ə n d̪ i
जारी	d͡ʑ a ɾ i
जाळणे	d͡z a ɭ̆ ɳ e
जाळणे	d͡z a ɭ̆ ɳ ə
जाळी	d͡ʑ a ɭ̆ i
जाळ्या	d͡z a ɭ̆ j a
जावई	d͡z a ʋ ə i
जास्त	d͡ʑ a s t̪ ə
जाहिरात	d͡ʑ a ɦ i ɾ a t̪
जाहीर	d͡ʑ a ɦ i ɾ
जिंकणे	d͡ʑ i ŋ k ɳ e
जिंकणे	d͡ʑ i ŋ k ɳ ə
जिज्ञासा	d͡ʑ i d͡ʑ n a s a
जितके	d͡ʑ i t̪ k e
जिद्द	d͡ʑ i d̪ d̪ ə
जिन्नस	d͡ʑ i n n ə s
जिरीं	d͡ʑ i ɾ ĩ
जिरे	d͡ʑ i ɾ e
जिवंत	d͡ʑ i ʋ ə n t̪ ə
जिवलग	d͡ʑ i ʋ l ə ɡ
जिव्हाळा	d͡ʑ i ʋʱ a ɭ̆ a
जीभ	d͡ʑ i bʱ
जीव	d͡ʑ i ʋ
जीवन	d͡ʑ i ʋ ə n
जीवलग	d͡ʑ i ʋ l ə ɡ
जीवशास्त्र	d͡ʑ i ʋ ɕ a s t̪ ɾ ə
जीवा	d͡ʑ i ʋ a
जीवाणू	d͡ʑ i ʋ a ɳ u
जुंपणे	d͡z u m p ə ɳ e
जुंपणे	d͡z u m p ə ɳ ə
जुई	d͡ʑ u i
जुगार	d͡z u ɡ a ɾ
जुने	d͡z u n e
जुने	d͡z u n ə
जुलै	d͡ʑ u l ə i
जुळणे	d͡z u ɭ̆ ɳ e
जुळणे	d͡z u ɭ̆ ɳ ə
जुळवणे	d͡z u ɭ̆ ə ʋ ɳ e
जुळवणे	d͡z u ɭ̆ ə ʋ ɳ ə
जुळे	d͡z u ɭ̆ e
जुळे	d͡z u ɭ̆ ə
जून	d͡ʑ u n
जेवढे	d͡ʑ e ʋ ɖʱ e
जेवण	d͡ʑ e ʋ ə ɳ
जेवणे	d͡ʑ e ʋ ɳ e
जेवणे	d͡ʑ e ʋ ɳ ə
जैन	d͡ʑ ə i n
जैविक	d͡ʑ ə i ʋ i k
जॉर्डन	d͡ʑ ɔ ɾ ɖ ə n
जोखीम	d͡z o kʰ i m
जोडणे	d͡ʑ o ɖ ɳ e
जोडा	d͡ʑ o ɖ a
जोर	d͡z o ɾ
जोरदार	d͡z o ɾ d̪ a ɾ
जोव	d͡z o ʋ
ज्ञ	d ɲ ə
ज्ञात	d͡ʑ n a t̪
ज्ञान	d͡ʑ n a n
ज्ञानी	d͡ʑ n a n i
ज्ञानेंद्रिय	d͡ʑ n a n e n d̪ ɾ i j
ज्यामिति	d͡ʑ j a m i t̪ i
ज्वर	d͡ʑ ʋ ə ɾ
ज्वरित	d͡ʑ ʋ ə ɾ i t̪
ज्वारी	d͡ʑ ʋ a ɾ i
झ	d͡ʑʱ ə
झ	d͡zʱ ə
झगडणे	d͡zʱ ə ɡ ə ɖ ɳ e
झगडणे	d͡zʱ ə ɡ ə ɖ ɳ ə
झटकणे	d͡zʱ ə ʈ ə k ɳ e
झटकणे	d͡zʱ ə ʈ ə k ɳ ə
झटका	d͡zʱ ə ʈ k a
झडणे	d͡ʑʱ ə ɖ ə ɳ e
झडणे	d͡ʑʱ ə ɖ ə ɳ ə
झडती	d͡ʑʱ ə ɖ ə t̪ i
झपाटणे	d͡zʱ ə p a ʈ ɳ e
झपाटणे	d͡zʱ ə p a ʈ ɳ ə
झवणे	d͡zʱ ə ʋ ɳ e
झवणे	d͡zʱ ə ʋ ɳ ə
झांज	d͡zʱ a n d͡z ə
झाकणे	d͡zʱ a k ɳ e
झाकणे	d͡zʱ a k ɳ ə
झाड	d͡zʱ a ɖ
झाडू	d͡zʱ a ɖ u
झाडे	d͡zʱ a ɖ e
झाडे	d͡zʱ a ɖ ə
झारखंड	d͡zʱ a ɾ kʰ ə ɳ ɖ ə
झाला	d͡ʑʱ a l a
झाले	d͡zʱ a l e
झाले	d͡zʱ a l ə
झाशी	d͡zʱ a ɕ i
झिजणे	d͡ʑʱ i d͡z ɳ e
झिजणे	d͡ʑʱ i d͡z ɳ ə
झुंज	d͡zʱ u n d͡z ə
झुंजणे	d͡zʱ u n d͡z ə ɳ e
झुंजणे	d͡zʱ u n d͡z ə ɳ ə
झुकणे	d͡zʱ u k ɳ e
झुकणे	d͡zʱ u k ɳ ə
झुमका	d͡ʑʱ u m k a
झुमका	d͡zʱ u m k a
झुरकणे	d͡ʑʱ u ɾ ə k ə ɳ e
झुरकणे	d͡ʑʱ u ɾ ə k ə ɳ ə
झुरका	d͡ʑʱ u ɾ ə k a
झुरणे	d͡zʱ u ɾ ɳ e
झुरणे	d͡zʱ u ɾ ɳ ə
झुरळ	d͡ʑʱ u ɾ ə ɭ̆
झुलणे	d͡zʱ u l ɳ e
झुलणे	d͡zʱ u l ɳ ə
झुळूक	d͡zʱ u ɭ̆ u k
झेंडा	d͡ʑʱ e ɳ ɖ a
झेंडू	d͡ʑʱ e ɳ ɖ u
झेंडे	d͡ʑʱ e ɳ ɖ e
झेंडे	d͡ʑʱ e ɳ ɖ ə
झेपणे	d͡ʑʱ e p ə ɳ e
झेपणे	d͡ʑʱ e p ə ɳ ə
झेलणे	d͡ʑʱ e l ɳ e
झेलणे	d͡ʑʱ e l ɳ ə
झोडणे	d͡zʱ o ɖ ɳ e
झोडणे	d͡zʱ o ɖ ɳ ə
झोप	d͡zʱ o p
झोपडी	d͡zʱ o p ɖ i
झोपणे	d͡zʱ o p ɳ e
झोपणे	d͡zʱ o p ɳ ə
झोपाळा	d͡ʑʱ o p a ɭ̆ a
ञ	j ə̃
ट	ʈ ə
टक	ʈ ə k
टक्कर	ʈ ə k k ə ɾ
टक्कल	ʈ ə k k ə l
टपाल	ʈ ə p a l
टरबुजे	ʈ ə ɾ b u d͡ʑ e
टरबूज	ʈ ə ɾ b u d͡z
टळणे	ʈ ə ɭ̆ ɳ e
टळणे	ʈ ə ɭ̆ ɳ ə
टांगणे	ʈ a ŋ ɡ ə ɳ e
टांगणे	ʈ a ŋ ɡ ə ɳ ə
टाकणे	ʈ a k ɳ e
टाकणे	ʈ a k ɳ ə
टापू	ʈ a p u
टाळणे	ʈ a ɭ̆ ɳ e
टाळणे	ʈ a ɭ̆ ɳ ə
टाळी	ʈ a ɭ̆ i
टाहो	ʈ a ɦ o
टिकणे	ʈ i k ɳ e
टिकणे	ʈ i k ɳ ə
टिकली	ʈ i k l i
टिकाऊ	ʈ i k a u
टिकाव	ʈ i k a ʋ
टिपणे	ʈ i p ɳ e
टीम	ʈ i m
टीवी	ʈ i ʋ i
टेंगूळ	ʈ e ŋ ɡ u ɭ̆
टेकडी	ʈ e k ɖ i
टेकणे	ʈ e k ɳ e
टेकणे	ʈ e k ɳ ə
टॉर्च	ʈ ɔ ɾ t͡ɕ ə
टोकियो	ʈ o k i j o
टोपली	ʈ o p l i
टोळी	ʈ o ɭ̆ i
ट्रेन	ʈ ɾ e n
ठ	ʈʰ ə
ठरणे	ʈʰ ə ɾ ɳ e
ठरणे	ʈʰ ə ɾ ɳ ə
ठरवणे	ʈʰ ə ɾ ə ʋ ɳ e
ठरवणे	ʈʰ ə ɾ ə ʋ ɳ ə
ठळक	ʈʰ ə ɭ̆ ə k
ठसा	ʈʰ ə s a
ठाऊक	ʈʰ a u k
ठाकरे	ʈʰ a k ɾ e
ठाकूर	ʈʰ a k u ɾ
ठाण	ʈʰ a ɳ
ठाणे	ʈʰ a ɳ e
ठाम	ʈʰ a m
ठिकाण	ʈʰ i k a ɳ
ठिकाणे	ʈʰ i k a ɳ e
ठिकाणे	ʈʰ i k a ɳ ə
ठिपकणे	ʈʰ i p ə k ɳ e
ठीक	ʈʰ i k
ठेंगणे	ʈʰ e ŋ ɡ ə ɳ e
ठेंगणे	ʈʰ e ŋ ɡ ə ɳ ə
ठेका	ʈʰ e k a
ठेकेदार	ʈʰ e k e d̪ a ɾ
ठोंब्या	ʈʰ o m b j a
ठोकणे	ʈʰ o k ɳ e
ठोकणे	ʈʰ o k ɳ ə
ड	ɖ ə
डबा	ɖ ə b a
डल्ला	ɖ ə l l a
डसणे	ɖ ə s ɳ e
डसणे	ɖ ə s ɳ ə
डहाळी	ɖ ə ɦ a ɭ̆ i
डांबर	ɖ a m b ə ɾ
डाखीण	ɖ a kʰ i ɳ
डाग	ɖ a ɡ
डाळ	ɖ a ɭ̆
डाळिंब	ɖ a ɭ̆ i m b ə
डिवचणे	ɖ i ʋ ə t͡s ɳ e
डिवचणे	ɖ i ʋ ə t͡s ɳ ə
डिसेंबर	ɖ i s e m b ə ɾ
डुंबणे	ɖ u m b ə ɳ e
डुंबणे	ɖ u m b ə ɳ ə
डोंगर	ɖ o ŋ ɡ ə ɾ
डोके	ɖ o k e
डोके	ɖ o k ə
डोळा	ɖ o ɭ̆ a
डोहाळा	ɖ o ɦ a ɭ̆ a
ढ	ɖʱ ə
ढग	ɖʱ ə ɡ
ढगाळ	ɖʱ ə ɡ a ɭ̆
ढवळणे	ɖʱ ə ʋ ə ɭ̆ ɳ e
ढवळणे	ɖʱ ə ʋ ə ɭ̆ ɳ ə
ढवळा	ɖʱ ə ʋ ɭ̆ a
ढवळाढवळ	ɖʱ ə ʋ ɭ̆ a ɖʱ ʋ ə ɭ̆
ढाल	ɖʱ a l
ढासळणे	ɖʱ a s ə ɭ̆ ɳ e
ढासळणे	ɖʱ a s ə ɭ̆ ɳ ə
ढिवर	ɖʱ i ʋ ə ɾ
ढिसळणे	ɖʱ i s ə ɭ̆ ɳ e
ढिसळणे	ɖʱ i s ə ɭ̆ ɳ ə
ढीग	ɖʱ i ɡ
ढेकर	ɖʱ e k ə ɾ
ढोर	ɖʱ o ɾ
ढोसणे	ɖʱ o s ɳ e
ढोसणे	ɖʱ o s ɳ ə
ण	ɳ ə
त	t̪ ə
तंतोतंत	t̪ ə n t̪ o t̪ ə n t̪ ə
तंत्र	t̪ ə n t̪ ɾ ə
तंत्रज्ञान	t̪ ə n t̪ ɾ ə d͡ʑ n a n
तंबाखू	t̪ ə m b a kʰ u
तंबू	t̪ ə m b u
तक्ता	t̪ ə k t̪ a
तक्ते	t̪ ə k t̪ e
तटस्थ	t̪ ə ʈ ə s t̪ʰ ə
तडजोड	t̪ ə ɖ d͡z o ɖ
तडफडणे	t̪ ə ɖ pʰ ə ɖ ɳ e
तडफडणे	t̪ ə ɖ pʰ ə ɖ ɳ ə
तत्व	t̪ ə t̪ ʋ ə
तथागत	t̪ ə t̪ʰ a ɡ ə t̪
तपकिरी	t̪ ə p k i ɾ i
तपशील	t̪ ə p ɕ i l
तपशीलवार	t̪ ə p ɕ i l ʋ a ɾ
तपास	t̪ ə p a s
तपासणी	t̪ ə p a s ɳ i
तपासणे	t̪ ə p a s ɳ e
तपासणे	t̪ ə p a s ɳ ə
तबला	t̪ ə b l a
तबेला	t̪ ə b e l a
तब्येत	t̪ ə b j e t̪
तमालपत्र	t̪ ə m a l p ə t̪ ɾ ə
तमिळ	t̪ ə m i ɭ̆
तयार	t̪ ə j a ɾ
तयारी	t̪ ə j a ɾ i
तर	t̪ ə ɾ
तरंग	t̪ ə ɾ ə ŋ ɡ ə
तरंगणे	t̪ ə ɾ ə ŋ ɡ ə ɳ e
तरंगणे	t̪ ə ɾ ə ŋ ɡ ə ɳ ə
तरतरीत	t̪ ə ɾ ə t̪ ɾ i t̪
तराजू	t̪ ə ɾ a d͡ʑ u
तरुण	t̪ ə ɾ u ɳ
तर्जनी	t̪ ə ɾ d͡ʑ ə n i
तऱ्हा	t̪ ə ɾʱ a
तलमुद	t̪ ə l m u d̪
तलवार	t̪ ə l ʋ a ɾ
तलाव	t̪ ə l a ʋ
तळणे	t̪ ə ɭ̆ ɳ e
तळणे	t̪ ə ɭ̆ ɳ ə
तळहात	t̪ ə ɭ̆ ɦ a t̪
तव	t̪ ə ʋ
तवा	t̪ ə ʋ a
तसे	t̪ ə s e
तसे	t̪ ə s ə
तहान	t̪ ə ɦ a n
तांत्रिक	t̪ a n t̪ ɾ i k
तांदूळ	t̪ a n d̪ u ɭ̆
तांबडा	t̪ a m b ɖ a
तांबे	t̪ a m b e
तांबे	t̪ a m b ə
तांबोळी	t̪ a m b o ɭ̆ i
ताक	t̪ a k
ताकद	t̪ a k ə d̪
ताकीद	t̪ a k i d̪
ताग	t̪ a ɡ
ताजे	t̪ a d͡z e
ताट	t̪ a ʈ
ताटली	t̪ a ʈ l i
ताठ	t̪ a ʈʰ
ताण	t̪ a ɳ
ताणणे	t̪ a ɳ ɳ e
ताणणे	t̪ a ɳ ɳ ə
ताप	t̪ a p
तापट	t̪ a p ə ʈ
तापणे	t̪ a p ɳ e
तापणे	t̪ a p ɳ ə
तापमान	t̪ a p m a n
तापमापक	t̪ a p m a p ə k
तापवणे	t̪ a p ə ʋ ɳ e
तापवणे	t̪ a p ə ʋ ɳ ə
ताफा	t̪ a pʰ a
ताबा	t̪ a b a
तार	t̪ a ɾ
तारण	t̪ a ɾ ə ɳ
तारतम्य	t̪ a ɾ ə t̪ ə m j ə
तारपा	t̪ a ɾ p a
तारा	t̪ a ɾ a
तारीख	t̪ a ɾ i kʰ
तारीफ	t̪ a ɾ i pʰ
तारुण्य	t̪ a ɾ u ɳ j ə
तारुण्यपीटिका	t̪ a ɾ u ɳ j ə p i ʈ i k a
तारे	t̪ a ɾ e
