Aaju	aː j ʊ
sajuppoq	s ə j ʊ p p ɔ q
sakavoq	s ə k ə v ɔ q
sakiatsiaariipput	s ə k ɪ ə t t͡s ɪ ɑː ʁ yː p p ʊ t
sakissat	s ə k ɪ s s ə t
sakkortussuseq	s ə k k ɔ t t ʉ s s ʉ s ɜ q
sakkortuvoq	s ə k k ɔ t t ʊʷ ɔ q
saluttoq	s ə l ʉ t t ɔ q
samisut	s ə m ɪ s ʉ t
sanaaq	s ə n ɑː q
sanasoq	s ə n ə s ɔ q
sanguvoq	s ə ŋ ʊʷ ɔ q
saniatigut	s ə n ɪ ə t͡s ɪ ɣ ʊ t
sanik	s ə n ɪ k
sanikoorfik	s ə n ɪ k ɔʶː f f ɪ k
sanimukaarpoq	s ə n y m ʊ k əʶː p p ɔ q
sapernarpoq	s ə p ɜ n n ə p p ɔ q
sapernassuseq	s ə p ɜ n n ə s s ʉ s ɜ q
saperpaa	s ə p ɜ p p əː
saqqummerpoq	s ɑ q q ʊ m m ɜ p p ɔ q
sarsuppoq	s ə s s ʊ p p ɔ q
savaaraq	s ə v ɑː ʁ ɑ q
savaasaaraq	s ə v əː s ɑː ʁ ɑ q
savaasaq	s ə v əː s ɑ q
savalimmiormioq	s ə v ə l y m m ɪ ɔ m m ɪ ɔ q
savalimmiormiutut	s ə v ə l y m m ɪ ɔ m m ɪ ʊ t ʉ t
savik	s ə v ɪ k
savimineq	s ə v y m ɪ n ɜ q
seernaaraq	s ɜʶː n n ɑː ʁ ɑ q
seernaasat	s ɜʶː n n əː s ə t
sekstanti	s ɜ k s t ə n t͡s ɪ
seqineq	s ɜ q ɪ n ɜ q
seqinnerfiusoq	s ɜ q ɪ n n ɜ f f ɪ ʊ s ɔ q
seqinnerpoq	s ɜ q ɪ n n ɜ p p ɔ q
sianeq	s ɪ ə n ɜ q
siggukitsoq	s ɪ ç ç ʊ k ɪ t t͡s ɔ q
sikkilerpoq	s ɪ k k ɪ l ɜ p p ɔ q
siku	s ɪ k ʊ
sikuijuitsoq	s ɪ k ʊ ɪ j ʊ ɪ t t͡s ɔ q
sikuiuitsoq	s ɪ k ʊ ɪ ʊ ɪ t t͡s ɔ q
sila	s ɪ l ə
silaannaq	s ɪ l əː n n ɑ q
silarsuaq	s ɪ l ə s s ʊ ɑ q
sinilluarna	s ɪ n ɪ ɬ ɬ ʊ ə n n ə
sininnartoq	s ɪ n ɪ n n ə t t ɔ q
sinippoq	s ɪ n y p p ɔ q
siornatigut	s ɪ ɔ n n ə t͡s ɪ ɣ ʊ t
sissarmiutaq	s ɪ s s ə m m ɪ ʊ t ɑ q
siulequt	s ɪ ʊ l ɜ q ʊ t
siulittaasoq	s ɪ ʊ l ɪ t t əː s ɔ q
siulittuutigaa	s ɪ ʊ l ɪ t t ʉː t͡s ɪ ɣ əː
siullermik	s ɪ ʊ ɬ ɬ ɜ m m ɪ k
siumut	s ɪ ʊ m ʊ t
sivikigaa	s ɪ v ɪ k ɪ ɣ əː
sivikippoq	s ɪ v ɪ k y p p ɔ q
sivisuumik	s ɪ v ɪ s ʊː m ɪ k
sivisuvoq	s ɪ v ɪ s ʊʷ ɔ q
sodavandi	s ɔ t ə v ə n t ɪ
sooq	s ɔː q
soorunami	s ɔː ʁ ʊ n ə m ɪ
soqutigaa	s ɔ q ʊ t͡s ɪ ɣ əː
soqutiginartoq	s ɔ q ʊ t͡s ɪ ɣ ɪ n ə t t ɔ q
soqutiginnippoq	s ɔ q ʊ t͡s ɪ ɣ ɪ n n y p p ɔ q
soqutiginnittoq	s ɔ q ʊ t͡s ɪ ɣ ɪ n n ɪ t t ɔ q
sorsunneq	s ɔ s s ʉ n n ɜ q
sorsuppaa	s ɔ s s ʊ p p əː
sorsuppoq	s ɔ s s ʊ p p ɔ q
spaniamiu	s p ə n ɪ ə m ɪ ʊ
spaniamiutut	s p ə n ɪ ə m ɪ ʊ t ʉ t
su	s ʊ
suiaassuseq	s ʊ ɪ əː s s ʉ s ɜ q
suiaqatinoortoq	s ʊ ɪ ɑ q ə t͡s ɪ n ɔʶː t t ɔ q
suiaqatinoortuuneq	s ʊ ɪ ɑ q ə t͡s ɪ n ɔʶː t t ʉː n ɜ q
sukkassuseq	s ʊ k k ə s s ʉ s ɜ q
sukkavoq	s ʊ k k ə v ɔ q
sukkulaaq	s ʊ k k ʊ l ɑː q
sukkulaat	s ʊ k k ʊ l əː t
sukuluit	s ʊ k ʊ l ʊ ɪ t
suleqat	s ʉ l ɜ q ə t
suleqatigiipput	s ʉ l ɜ q ə t͡s ɪ ɣ yː p p ʊ t
suli	s ʉ l ɪ
suliaraa	s ʉ l ɪ ɑ ʁ əː
suliassiissut	s ʉ l ɪ ə s s ɪː s s ʉ t
suliassiivoq	s ʉ l ɪ ə s s ɪː v ɔ q
suliassippaa	s ʉ l ɪ ə s s y p p əː
suliffeqarfissuaq	s ʉ l ɪ f f ɜ q ə f f ɪ s s ʊ ɑ q
suluppaagaq	s ʉ l ʊ p p əː ɣ ɑ q
suna	s ʉ n ə
sunaaffa	s ʉ n əː f f ə
sungaaqeq	s ʊ ŋ ɑː q ɜ q
sungaarpoq	s ʊ ŋ əʶː p p ɔ q
sungaq	s ʊ ŋ ɑ q
sungiusaasoq	s ʊ ŋ ɪ ʊ s əː s ɔ q
susalik	s ʉ s ə l ɪ k
susaq	s ʉ s ɑ q
susaqanngitsoq	s ʉ s ɑ q ə ŋ ŋ ɪ t t͡s ɔ q
susoq	s ʉ s ɔ q
suu	s ʊː
suussuseq	s ʉː s s ʉ s ɜ q
ta	t ə
taa	t əː
taaguut	t əː ɣ ʊː t
taamaalivoq	t əː m əː l ɪ v ɔ q
taamaallaat	t əː m əː ɬ ɬ əː t
taamaappoq	t əː m əː p p ɔ q
taamaattumik	t əː m əː t t ʊ m ɪ k
taamaattummi	t əː m əː t t ʊ m m ɪ
taaneq	t əː n ɜ q
taanna	t əː n n ə
taasaq	t əː s ɑ q
taasineq	t əː s ɪ n ɜ q
taasivoq	t əː s ɪ v ɔ q
taavaa	t əː v əː
tagiut	t ə ɣ ɪ ʊ t
takivoq	t ə k ɪ v ɔ q
takornariaq	t ə k ɔ n n ɑ ʁ ɪ ɑ q
takuaa	t ə k ʊ əː
takuneq	t ə k ʊ n ɜ q
takusaq	t ə k ʊ s ɑ q
takusarpaa	t ə k ʊ s ə p p əː
takussutissaq	t ə k ʊ s s ʉ t͡s ɪ s s ɑ q
talerpik	t ə l ɜ p p ɪ k
tallivaa	t ə ɬ ɬ ɪ v əː
tallivoq	t ə ɬ ɬ ɪ v ɔ q
tamakku	t ə m ə k k ʊ
tamaq	t ə m ɑ q
tamarmik	t ə m ə m m ɪ k
tarajoq	t ɑ ʁ ə j ɔ q
tarajorpaa	t ɑ ʁ ə j ɔ p p əː
taratsut	t ɑ ʁ ə t t͡s ʉ t
tarnut	t ə n n ʉ t
tarraleqisaaq	t ə χ χ ə l ɜ q ɪ s ɑː q
tarrarsuut	t ə χ χ ə s s ʉː t
taseq	t ə s ɜ q
tassaarpoq	t ə s s əʶː p p ɔ q
tassaavoq	t ə s s əː v ɔ q
tassami	t ə s s ə m ɪ
taxa	t ə x ə
teknikeri	t ɜ k n ɪ k ɜ ʁ ɪ
tiguaa	t͡s ɪ ɣ ʊ əː
tigumiarpaa	t͡s ɪ ɣ ʊ m ɪ ə p p əː
tii	t͡s ɪː
tiingavoq	t͡s ɪː ŋ ə v ɔ q
tiitorfik	t͡s ɪː t ɔ f f ɪ k
tikeqqammeq	t͡s ɪ k ɜ q q ə m m ɜ q
tikilluarit	t͡s ɪ k ɪ ɬ ɬ ʊ ɑ ʁ ɪ t
tikippoq	t͡s ɪ k y p p ɔ q
timmiakuluk	t͡s y m m ɪ ə k ʊ l ʊ k
timmiaq	t͡s y m m ɪ ɑ q
timmik	t͡s y m m ɪ k
timmisartoq	t͡s y m m ɪ s ə t t ɔ q
timmisartuusaarneq	t͡s y m m ɪ s ə t t ʉː s əʶː n n ɜ q
timmivoq	t͡s y m m ɪ v ɔ q
tingajuk	t͡s ɪ ŋ ə j ʊ k
tingi	t͡s ɪ ŋ ɪ
tingivoq	t͡s ɪ ŋ ɪ v ɔ q
tinupasoq	t͡s ɪ n ʊ p ə s ɔ q
tinuvoq	t͡s ɪ n ʊʷ ɔ q
tissappoq	t͡s ɪ s s ə p p ɔ q
tissassarpaa	t͡s ɪ s s ə s s ə p p əː
titartaaneq	t͡s ɪ t ə t t əː n ɜ q
tooq	t ɔː q
toornaarsuk	t ɔʶː n n əʶː s s ʊ k
toorneq	t ɔʶː n n ɜ q
toqqarpaa	t ɔ q q ə p p əː
toqu	t ɔ q ʊ
toqunartoq	t ɔ q ʊ n ə t t ɔ q
toquppaa	t ɔ q ʊ p p əː
toquvoq	t ɔ q ʊʷ ɔ q
torloraat	t ɔ ɬ ɬ ɔ ʁ əː t
torlorpaa	t ɔ ɬ ɬ ɔ p p əː
torluk	t ɔ ɬ ɬ ʊ k
transeksueli	t ʁ ə n s ɜ k s ʊ ɜ l ɪ
tukattoq	t ʊ k ə t t ɔ q
tullerunnaq	t ʊ ɬ ɬ ɜ ʁ ʊ n n ɑ q
tulluuppoq	t ʊ ɬ ɬ ʊː p p ɔ q
tuloruseq	t ʉ l ɔ ʁ ʊ s ɜ q
tuluk	t ʉ l ʊ k
tumaasaavoq	t ʊ m əː s əː v ɔ q
tungaannarsiut	t ʊ ŋ əː n n ə s s ɪ ʊ t
tungu	t ʊ ŋ ʊ
tungujorpoq	t ʊ ŋ ʊ j ɔ p p ɔ q
tunguusaq	t ʊ ŋ ʊː s ɑ q
tuniniarpaa	t ʉ n ɪ n ɪ ə p p əː
tunngasoq	t ʊ ŋ ŋ ə s ɔ q
tunngavoq	t ʊ ŋ ŋ ə v ɔ q
tunu	t ʉ n ʊ
tunumioq	t ʉ n ʊ m ɪ ɔ q
tunumiusut	t ʉ n ʊ m ɪ ʊ s ʉ t
tupilak	t ʊ p ɪ l ə k
tusarfik	t ʉ s ə f f ɪ k
tusarnaarpoq	t ʉ s ə n n əʶː p p ɔ q
tusarnaartitsineq	t ʉ s ə n n əʶː t t͡s ɪ t t͡s ɪ n ɜ q
tusarpaa	t ʉ s ə p p əː
tuugaaq	t ʊː ɣ ɑː q
tuullik	t ʊː ɬ ɬ ɪ k
uaguk	u ə ɣ ʊ k
uanga	u ə ŋ ə
uffarfik	u f f ə f f ɪ k
uffarpaa	u f f ə p p əː
uffarpoq	u f f ə p p ɔ q
uisorerpoq	u ɪ s ɔ ʁ ɜ p p ɔ q
ujarak	u j ɑ ʁ ə k
ukamarpoq	u k ə m ə p p ɔ q
ukiaq	u k ɪ ɑ q
ukioq	u k ɪ ɔ q
ukioqarpoq	u k ɪ ɔ q ə p p ɔ q
ukiortaaq	u k ɪ ɔ t t ɑː q
uku	u k ʊ
ullaakkorsiutit	u ɬ ɬ əː k k ɔ s s ɪ ʊ t͡s ɪ t
ulloq	u ɬ ɬ ɔ q
ulloriaq	u ɬ ɬ ɔ ʁ ɪ ɑ q
ullujuersaaq	u ɬ ɬ ʊ j ʊ ɜ s s ɑː q
ullumi	u ɬ ɬ ʊ m ɪ
ulorianartoq	u l ɔ ʁ ɪ ə n ə t t ɔ q
uluak	u l ʊ ə k
umiaq	u m ɪ ɑ q
umiarsuaaraq	u m ɪ ə s s ʊ ɑː ʁ ɑ q
umiarsualivik	u m ɪ ə s s ʊ ə l ɪ v ɪ k
umiarsuaq	u m ɪ ə s s ʊ ɑ q
umiartortoq	u m ɪ ə t t ɔ t t ɔ q
umik	u m ɪ k
ungaloq	u ŋ ə l ɔ q
uniaaluk	u n ɪ əː l ʊ k
uniorpaa	u n ɪ ɔ p p əː
universiteti	u n ɪ v ɜ s s ɪ t ɜ t͡s ɪ
unnukkorsiutit	u n n ʊ k k ɔ s s ɪ ʊ t͡s ɪ t
uppik	u p p ɪ k
uppippoq	u p p y p p ɔ q
urdutut	o ʁ t ʉ t ʉ t
usuk	u s ʊ k
uterpoq	u t ɜ p p ɔ q
utertippaa	u t ɜ t t͡s y p p əː
utimut	u t͡s y m ʊ t
utsuk	u t t͡s ʊ k
uugaq	uː ɣ ɑ q
uuma	uː m ə
uumasoq	uː m ə s ɔ q
uumassuseq	uː m ə s s ʉ s ɜ q
uumassusilik	uː m ə s s ʉ s ɪ l ɪ k
uumavoq	uː m ə v ɔ q
uuminaq	uː m ɪ n ɑ q
uummat	uː m m ə t
uunarpoq	uː n ə p p ɔ q
uunnappaa	uː n n ə p p əː
vaataparsi	v əː t ə p ə s s ɪ
vuggestue	v ʊ x x ɜ s t ʊ ɜ
