ঁ	ɔ̃
চৌধুরি	t ɕ o u̯ d̪ʱ u ɹ i
চ্যাটার্জী	t ɕ æ t a ɹ d ʑ i
চ্যাপটা	t ɕ ɛ p t a
ছ	s ɔ
ছ	t͡sʰ ɔ
ছ	t͡ʃʰ ɔ
ছক্কা	t ɕʰ ɔ kː a
ছটফট	t ɕʰ ɔ t f ɔ t
ছড়ানো	t ɕʰ ɔ ɹ a n o
ছড়ি	t ɕʰ o ɹ i
ছত্তিশগড়	t ɕʰ o t̪ː i ʃ ɡ ɔ ɹ
ছত্তীসগঢ়	t ɕʰ o t̪ː i ʃ ɡ ɔ ɹ
ছদ্মনাম	t ɕʰ ɔ d̪ː o n a m
ছবি	t ɕʰ o b i
ছয়	t ɕʰ ɔ e̯
ছা	t ɕʰ a
ছাই	t ɕʰ a i̯
ছাওয়াল	t ɕʰ a o̯ a l
ছাড়া	t ɕʰ a ɹ a
ছাড়ান	t ɕʰ a ɹ a n
ছাতা	t ɕʰ a t̪ a
ছাত্র	t͡ʃʰ a t̪ ɾ o
ছাদ	t ɕʰ a d̪
ছানা	t ɕʰ a n a
ছানি	t ɕʰ a n i
ছাপড়ি	t ɕʰ a p ɹ i
ছাপড়িকরণ	t ɕʰ a p ɹ i k ɹ o n
ছাপা	t ɕʰ a p a
ছাপান্ন	t ɕʰ a p a nː o
ছায়াছবি	t ɕʰ a e̯ a t ɕʰ b i
ছাল	t ɕʰ a l
ছি	t ɕʰ i
ছিটকানো	t ɕʰ i t k a n o
ছিটমহল	t ɕʰ i t m ɔ h o l
ছিপ	t ɕʰ i p
ছিপি	t͡ʃʰ i p i
ছিয়ানব্বই	t ɕʰ i̯ a n ɔ bː o i̯
ছিল	t ɕʰ i l o
ছিলেন	t ɕʰ i l e n
ছুঁচ	t ɕʰ u t ɕ
ছুঁচা	t ɕʰ u t ɕ a
ছুট	t ɕʰ u t
ছুটি	t ɕʰ u t i
ছুড়ান	t͡ʃʰ u r a n
ছুপা	t ɕʰ u p a
ছুরি	t ɕʰ u ɹ i
ছেঁচকি	t ɕʰ e t ɕ k i
ছেঁড়া	t͡ʃʰ ẽ ɽ a
ছেচল্লিশ	t ɕʰ e t ɕ ɔ lː i ʃ
ছেদ	t̪͡ʃʰ e d̪
ছেদন	t ɕʰʰ e d̪ ɔ n
ছেপ	t ɕʰ e p
ছেলে	t ɕʰ e l e
ছেলেধরা	t ɕʰ e l e d̪ʱ ɔ ɹ a
ছেলেমেয়ে	t ɕʰ e l e m e
ছোঁয়া	t ɕʰ o̯ a
ছোঁয়া	t ɕʰ õ a
ছোকরা	t ɕʰ o k ɹ a
ছোট	t ɕʰ o t o
ছোড়া	t ɕʰ o ɹ a
ছোলা	t ɕʰ o l a
ছ্যাঁচড়া	t ɕʰ ɛ t ɕ ɔ ɹ a
ছ্যাকা	t ɕʰ ɛ k a
জ	d ʑ ɔ
জংগ্লি	d ʑ o ŋ ɡ l i
জংগ্লী	d ʑ o ŋ ɡ l i
জংলি	d ʑ o ŋ l i
জংলী	d ʑ o ŋ l i
জউ	d ʑ o u̯
জওজ	d ʑ ɔ o̯ d ʑ
জওহর	d ʑ ɔ o̯ h o ɹ
জখম	d ʑ ɔ kʰ o m
জগ	d ʑ ɔ ɡ
জগন্নাথ	d ʑ ɔ ɡ ɔ nː a t̪ʰ
জগাতি	d ʑ ɔ ɡ a t̪ i
জগৎ	d ʑ ɔ ɡ o t̪
জঘন্য	d ʑ ɔ ɡʱ o nː o
জঙ	d͡ʒ ɔ ŋ
জঙলি	d ʑ o ŋ l i
জঙলী	d ʑ o ŋ l i
জঙ্গল	d ʑ ɔ n ɡ o l
জঙ্গলি	d ʑ ɔ ŋ ɡ o l i
জঙ্গলী	d ʑ ɔ ŋ ɡ o l i
জঙ্গি	d ʑ ɔ ŋ ɡ i
জঙ্ঘা	d ʑ ɔ ŋ ɡʱ a
জজ	d ʑ ɔ d ʑ
জটামাংসী	d ʑ ɔ t a m a ŋ ʃ i
জটিল	d ʑ o t i l
জঠর	d ʑ ɔ tʰ ɔ ɹ
জড়াতে	d ʑ ɔ ɹ a t̪ e
জড়ানো	d ʑ ɔ ɹ a n o
জড়িত	d ʑ o ɹ i t̪ o
জড়ো	d ʑ ɔ ɹ o
জন	d ʑ ɔ n
জনগণ	d ʑ ɔ n o ɡ o n
জনতা	d ʑ ɔ n o t̪ a
জনপ্রিয়	d ʑ ɔ n o p ɹ i̯ o
জনম	d ʑ ɔ n o m
জনসংখ্যা	d ʑ ɔ n o ʃ ɔ ŋ kʰ a
জনসন	d ʑ ɔ n s ɔ n
জন্তু	d ʑ ɔ n t̪ u
জন্ম	d ʑ ɔ n m o
জন্ম	d ʑ ɔ n o m
জন্মদিন	d ʑ ɔ n m o d̪ i n
জন্মভূমি	d ʑ ɔ n m ɔ bʱ u m i
জন্মস্থান	d ʑ ɔ n m ɔ s t̪ʰ a n
জন্য	d ʑ ɔ nː o
জন্যে	d ʑ ɔ nː e
জপ	d ʑ ɔ p
জপা	d ʑ ɔ p a
জবা	d͡ʒ ɔ b a
জবাই	d ʑ ɔ b a i̯
জবান	d ʑ ɔ b a n
জবান	z ɔ b a n
জবাব	d ʑ ɔ b a b
জব্দ	d ʑ ɔ b d̪ o
জমানা	d ʑ ɔ m a n a
জমানা	z ɔ m a n a
জমি	d ʑ o m i
জমিদার	d ʑ o m i d̪ a ɹ
জমিন	d ʑ o m i n
জমিন	z o m i n
জমিনদার	d ʑ o m i n d̪ a ɹ
জমিন্দার	d ʑ o m i n d̪ a ɹ
জম্বি	d ʑ ɔ m b i
জয়ত্রী	d ʑ ɔ e̯ o t̪ ɹ i
জয়ন্ত	d ʑ ɔ e̯ o n t̪ o
জয়পুর	d ʑ ɔ e̯ o p u ɹ
জরায়ু	d͡ʒ ɔ ɾ a i̯ u
জরায়ু	d͡ʒ ɔ ɾ a j u
জরায়ুজ	d ʑ ɔ ɾ a i̯ u d ʑ
জরুরত	d ʑ o ɹ u ɹ ɔ t̪
জরুরত	z o ɹ u ɹ ɔ t̪
জরুরি	d ʑ o ɹ u ɹ i
জরুরী	d ʑ o ɹ u ɹ i
জর্মন	d̪͡ʒ ɔ ɾ m ɔ n
জল	d ʑ ɔ l
জলদ	d ʑ ɔ l o d̪
জলদি	d ʑ o l d̪ i
জলপাই	d ʑ ɔ l p a i̯
জলসা	d ʑ ɔ l ʃ a
জলহস্তী	d ʑ ɔ l o h o s t̪ i
জলাশয়	d ʑ ɔ l a ʃ ɔ e̯
জল্লাদ	d ʑ ɔ lː a d̪
জশন	d ʑ ɔ ʃ n o
জশন	d ʑ ɔ ʃ o n
জশ্ন	d ʑ ɔ ʃ n o
জষ্টি	d ʑ o ʃ t i
জহর	d ʑ ɔ h o ɹ
জহর	d ʑ ɔ o̯ h o ɹ
জ়	z
জ়ু	z u
জা	d ʑ a
জাকাত	d ʑ a k a t̪
জাকারিয়া	d ʑ a k a ɹ i̯ a
জাকারিয়া	z a k a ɹ i̯ a
জাঙ্গিয়া	d ʑ a ŋ i̯ a
জাত	d ʑ a t̪
জাতি	d ʑ a t̪ i
জাতিভ্রংশ	d ʑ a t̪ i bʱ ɹ ɔ ŋ ʃ o
জাতিসংঘ	d ʑ a t̪ i ʃ ɔ n ɡʱ o
জাতীয়	d ʑ a t̪ i̯ o
জাতীয়তা	d ʑ a t̪ i̯ o t̪ a
জাতীয়তাবাদ	d ʑ a t̪ i̯ o t̪ a b a d̪
জাদু	d ʑ a d̪ u
জাদুকর	d ʑ a d̪ u k ɔ ɹ
জাদুকর	d ʑ a d̪ u ɡ ɔ ɹ
জাদুঘর	d ʑ a d̪ u ɡʱ ɔ ɹ
জানতে	d ʑ a n t̪ e
জানবাজ	d ʑ a n b a d ʑ
জানলা	d ʑ a n l a
জানা	d ʑ a n a
জানানো	d ʑ a n a n o
জানালা	d ʑ a n a l a
জানুয়ারি	d ʑ a n u̯ a ɹ i
জানোয়ার	d ʑ a n o̯ a ɹ
জান্নাত	d ʑ a nː a t̪
জাপান	d ʑ a p a n
জাফর	d ʑ a f o ɹ
জাফর	d ʑ a pʰ o ɹ
জাফর	z a f o ɹ
জাফরান	d ʑ a f ɹ a n
জাফরান	z a f ɹ a n
জাবর	d ʑ a b ɔ ɹ
জাভা	d͡ʒ a bʰ a
জাভেদ	d ʑ a bʱ e d̪
জামদানী	d ʑ a m d̪ a n i
জামা	d ʑ a m a
জামাই	d ʑ a m a i̯
জামাইকা	d ʑ a m a i̯ k a
জামাতা	d ʑ a m a t̪ a
জামাল	d ʑ a m a l
জামিন	d ʑ a m i n
জামিনদার	d ʑ a m i n d̪ a ɹ
জামিন্দার	d ʑ a m i n d̪ a ɹ
জামেয়া	d ʑ a m e a
জাম্বিয়া	d ʑ a m b i̯ a
জাম্বিয়া	z a m b i̯ a
জায়গা	d ʑ a e̯ ɡ a
জায়ন	z a e̯ ɔ n
জায়নবাদ	z a e̯ ɔ n b a d̪
জায়নবাদী	z a e̯ ɔ n b a d̪ i
জায়নামাজ	d ʑ a e̯ n a m a d ʑ
জায়ফল	d ʑ a e̯ ɔ f ɔ l
জারজ	d ʑ a ɹ ɔ d ʑ
জারি	d ʑ a ɹ i
জার্মানি	d͡ʒ a r m a n i
জাল	d ʑ a l
জালাল	d ʑ a l a l
জালেম	d ʑ a l e m
জালেম	z a l e m
জাহাঁপনা	d ʑ a h a p ɔ n a
জাহাঙ্গীর	d ʑ a h a ŋ ɡ i ɹ
জাহাজ	d ʑ a h a d ʑ
জাহান	d ʑ a h a n
জাহান্নাম	d ʑ a h a nː a m
জিঁদা	d ʑ i d̪ a
জিঁদা	d ʑ iː d̪ a
জিগানো	d ʑ i ɡ a n o
জ্বিন	d ʑ i n
জ্বীন	d ʑ i n
জ্যাঠা	d ʑ ɛ tʰ a
জ্যাম	d ʑ a m
জ্যাম	d ʑ æ m
জ্যামিতি	d ʑ a m i t̪ i
জ্যামিতি	d ʑ e m i t̪ i
জ্যামিতি	d ʑ ɛ m i t̪ i
জ্যেষ্ঠ	d ʑ e ʃ tʰ o
জ্যেষ্ঠা	d ʑ e ʃ tʰ a
জ্যৈষ্ঠ	d ʑ o i̯ ʃ tʰ o
জ্যোতি	d ʑ o t̪ i
জ্যোতিষী	d ʑ o t̪ i ʃ i
জ্যোৎস্না	d ʑ o sː n a
জ্যোৎস্না	d ʑ o t̪ s n a
ঝ	d͡ʒʱ ɔ
ঝ	z ɔ
ঝ	zʱ ɔ
ঝগড়া	d ʑʱ ɔ ɡ ɹ a
ঝঙ্কার	d͡ʒʱ ɔ ŋ k a ɾ
ঝটকা	d ʑʱ ɔ t k a
ঝড়	d ʑʱ ɔ ɹ
ঝনঝন	d ʑʱ ɔ n d ʑʱ ɔ n
ঝরনা	d ʑʱ ɔ ɾ n a
ঝরা	d ʑʱ ɔ ɹ a
ঝাঁকানো	d ʑʱ a k a n o
ঝাঁটা	d ʑʱ a t a
ঝাক্কাস	d ʑʱ a kː a ʃ
ঝাড়খণ্ড	d ʑʱ a ɹ kʰ ɔ n d
ঝাড়ু	d ʑʱ a ɹ u
ঝান্ডা	d ʑʱ a n d a
ঝাল	d ʑʱ a l
ঝালফ্রেজী	d ʑʱ a l f ɹ e d ʑ i
ঝি	d ʑʱ i
ঝিঙা	d ʑʱ i ŋ a
ঝিঙ্গা	d͡ʒʱ i ŋ ɡ a
ঝিনাইদহ	d ʑʱ i n a i̯ d̪ ɔ h o
ঝিনুক	d ʑʱ i n u k
ঝুট	d ʑʱ u t
ঝুড়ি	d ʑʱ u ɹ i
ঝুমকা	d ʑʱ u m k a
ঝুলা	d ʑʱ u l a
ঝুলানো	d͡ʒʱ u l a n o
ঝোপ	d ʑʱ o p
ঝোল	d ʑʱ o l
ঝোলা	d͡ʒʱ o l a
ঝোলানো	d͡ʒʱ o l a n o
ঞ	n ĩ j o
ঞ	n ĩ j ɔ
ঞ	ĩ j o
ঞ	ĩ j ɔ
ট	ʈ ɔ
টক	t ɔ k
টপকানো	t ɔ p k a n o
টমটম	t ɔ m t ɔ m
টমেটো	t ɔ m e t o
টম্যাটো	t ɔ m ɛ t o
টরন্টো	t ɔ ɹ o n t o
টাং	t a ŋ
টাংকি	t a ŋ k i
টাউট	t a u̯ t
টাক	ʈ a k
টাকলা	t a k l a
টাকা	t a k a
টাকাপয়সা	t a k a p ɔ e̯ ʃ a
টানা	ʈ a n a
টালি	t a l i
টাশকি	t a ʃ ɔ k i
টাহা	ʈ a h a
টিকট	ʈ̟ i k ɔ ʈ̟
টিকটিকি	t i k t i k i
টিকা	t i k a
টিকিট	t i k i t
টিকিট	t ɪ k ɪ t
টিয়া	t i̯ a
টীকা	t i k a
টুকরা	t u k ɹ a
টুকরি	t u k ɹ i
টুটা	t u t a
টুপি	t u p i
টেংরা	t ɛ ŋ ɹ a
টেবিল	t e b i l
টের	t e ɹ
টেলক	ʈ æ l ɔ k
টেলিফোন	ʈ e l i pʰ o n
টেলিভিশন	t e l i bʱ i ʃ o n
টোনি	t o n i
টোপর	t o p ɔ ɹ
ট্যাক্স	t æ k s
ট্যাক্সি	ʈ æ k ʃ i
ট্রাইব্যুনাল	t ɹ a i̯ bː u n a l
ট্রানজিস্টার	t ɹ a n d ʑ i s t a ɹ
ট্রানজিস্টার	t ɹ a n d ʑ i ʃ t a ɹ
ট্রানজিস্টার	t ɹ a n z i s t a ɹ
ট্রানজিস্টার	t ɹ a n z i ʃ t a ɹ
ট্রান্সনিস্ট্রিয়া	t ɹ a n s n i s t ɹ i̯ a
ট্রান্সনিস্ট্রিয়া	ʈ ɻ a n s n i s t ɹ i̯ a
ট্রাম্প	t ɹ a m p
ট্রেডমার্ক	ʈ̟ ɾ e ɖ̟ m ɑ ɾ k
ট্রেন	t eː n
ট্রেন	t ɹ e n
ঠ	ʈʰ ɔ
ঠগ	tʰ ɔ ɡ
ঠনঠন	tʰ ɔ n tʰ ɔ n
ঠাঁই	tʰ a i̯
ঠাকুর	tʰ a k u ɹ
ঠাকুরগাঁও	ʈʰ a k u ɾ ɡ ã o
ঠাকুরঘর	tʰ a k u ɹ ɡʱ ɔ ɹ
ঠান্ডা	tʰ a n d a
ঠিক	tʰ i k
ঠিকানা	tʰ i k a n a
ঠেং	tʰ æ ŋ
ঠেলা	tʰ ɛ l a
ঠোঁট	ʈʰ õ ʈ
ঠ্যাং	tʰ ɛ ŋ
ড	ɖ ɔ
ডগা	d ɔ ɡ a
ডঙ্কা	d ɔ ŋ k a
ডজন	d ɔ d ʑ ɔ n
ডবল	d ɔ b o l
ডমরু	d ɔ m ɹ u
ডলফিন	d ɔ l f i n
ডলার	d ɔ l a ɹ
ড়	ɽ
ড়	ɽ̟
ডাঁট	d a t
ডাঁশ	d a ʃ
ডাইনি	d a i̯ n i
ডাকনাম	d a k n a m
ডাকা	d a k a
ডাকানো	d a k a n o
ডাক্তার	d a k t̪ a ɹ
ডাক্তারখানা	ɖ̟ ɑ k t̪ ɑ ɾ kʰ ɑ n ɑ
ডাগর	d a ɡ ɔ ɹ
ডাঙা	ɖ a ŋ a
ডাঙ্গা	ɖ a ŋ ɡ a
ডাটাবেস	d a t a b e s
ডান	d a n
ডানহাতি	d a n h a t̪ i
ডানহাতি	d a nː a t̪ i
ডানা	ɖ a n a
ডান্ডা	d a n d a
ডাব	d a b
ডাবু	ɖ a b u
ডাবু	ɖ æ b u
ডাল	d a l
ডিকশনারি	d i k ʃ ɔ n a ɹ i
ডিভিডি	d i bʱ i d i
ডিম	d i m
ডিলডো	d i l ɔ d o
ডিল্ডো	d i l d o
ডিসেম্বর	d i s e m b ɔ ɹ
ডুওডেনাম	d u̯ o d e n a m
ডুবা	d u b a
ডুমুর	d u m u ɾ
ডুরিয়ান	ɖ̟ u ɾ i ɑ n
ডেক	d e k
ডেকচি	d e k t ɕ i
ডেকচি	d e ɡ t ɕ i
ডেটাবেজ	d e t a b e d ʑ
ডেবরা	d e b ɹ a
ডেবরা	d ɛ b ɹ a
ডেভিড	d e bʱ i d
ডেস্ক	d e k s
ডেস্ক	d e s k
ডেস্কটপ	d e s k t ɔ p
ডেস্কটপ	d e s t ɔ p
ডেস্কটপ	d e ʃ t ɔ p
ডোনাল্ড	d o n a l d
ডোবা	d o b a
ডোবানো	ɖ o b a n o
ডৌল	d o u̯ l
ড্রামাবাজ	d ɹ a m a b a d ʑ
ঢ	ɖʱ ɔ
ঢ়	ɽʱ
ঢ়	ɽ̟ʱ
ঢাকনা	dʱ a k n a
ঢাকা	dʱ a k a
ঢাল	dʱ a l
ঢালা	ɖʰ a l a
ঢালিউড	ɖʱ a l i u ɖ
ঢিট	dʱ i t
ঢিপি	dʱ i p i
ঢিবি	dʱ i b i
ঢিমা	dʱ i m a
ঢিল	dʱ i l
ঢেঁড়স	ɖʱ æ̃ ɽ o ʃ
ঢেঁড়স	ɖʱ æ̃ ɾ o ʃ
ঢেউ	ɖʱ e u
ঢোকা	dʱ o k a
ঢোকানো	ɖʰ o k a n o
ঢোল	dʱ o l
ণ	n ɔ
ণই	n o i̯
ত	t ɔ
তওবা	t̪ ɔ o̯ b a
তওবা	t̪ ɔ ʊ b a
তওবা	t̪ ɔː b a
তক	t̪ ɔ k
তকবীর	t̪ ɔ k b i ɹ
তক্তা	t̪ ɔ k t̪ a
তখন	t̪ ɔ kʰ ɔ n
তখনই	t̪ ɔ kʰ o n i
তছু	t̪ ɔ t ɕʰ u
তটিনী	t̪ o t i n i
তটিনী	t̪ ɔ t i n i
তড়িৎ	t̪ o ɹ i t̪
ততদিন	t̪ ɔ t̪ o d̪ i n
তত্ত্ব	t̪ ɔ t̪ː o
তথাগত	t̪ ɔ t̪ʰ a ɡ ɔ t̪ o
তথ্য	t̪ ɔ t̪ʰː o
তদন্ত	t̪ ɔ d̪ o n t̪ o
তদন্তকারী	t̪ ɔ d̪ o n t̪ ɔ k a ɹ i
তদানীং	t̪ ɔ d̪ a n i ŋ
তদ্ভব	t̪ ɔ d̪ bʱ ɔ b o
তনিমা	t̪ o n i m a
তনুকা	t̪ o n u k a
তন্ত্র	t̪ ɔ n t̪ ɹ o
তন্দুর	t̪ ɔ n d̪ u ɹ
তফাত	t̪ ɔ f a t̪
তফাত	t̪ ɔ pʰ a t̪
তবলা	t̪ ɔ b l a
তবিয়ত	t̪ o b i̯ ɔ t̪
তবু	t̪ o b u
তবুও	t̪ o b u̯ o
তবে	t̪ ɔ b e
তব্দা	t̪ ɔ b d̪ a
তয়	t̪ ɔ e̯
তরঙ্গ	t̪ ɔ ɹ o ŋ ɡ o
তরণী	t̪ ɔ ɹ o n i
তরফ	t̪ ɔ ɹ o f
তরফদার	t̪ ɔ ɹ o f d̪ a ɹ
তরবারি	t̪ ɔ ɹ b a ɹ i
তরমুজ	t̪ o ɹ m u d ʑ
তরমুজ	t̪ o ɹ m u z
তরাজূ	t̪ ɔ ɹ a d ʑ u
তরী	t̪ o ɹ i
তরু	t̪ o ɹ u
তরুণ	t̪ o ɾ u n
তরুণাস্থি	t̪ o ɹ u n a s t̪ʰ i
তরোয়াল	t̪ ɔ ɹ o̯ a l
তর্ক	t̪ ɔ ɹ k o
তর্কবিতর্ক	t̪ ɔ ɹ k o b i t̪ ɔ ɹ k o
তর্জমা	t̪ ɔ ɹ d ʑ o m a
তর্জমা	t̪ ɔ ɹ d ʑ ɔ m a
তলব	t̪ ɔ l o b
তলা	t̪ ɔ l a
তলোয়ার	t̪ ɔ l o̯ a ɹ
তল্লাশি	t ɔ l l a ʃ i
তশতরী	t̪ ɔ s t̪ o ɹ i
তশতরী	t̪ ɔ ʃ t̪ o ɹ i
তসবির	t̪ o s b i ɹ
তসবীহ	t̪ o s b i
তসর	t̪ ɔ ʃ ɔ ɹ
তসলিম	t̪ o s l i m
তা	t̪ ɑ
তাঁক	t̪ a k
তাঁত	t̪ a t̪
তাঁরা	t̪ ã r a
তাঁহার	t̪ a h a ɹ
তাং	t̪ a ŋ
তাই	t̪ a i̯
তাইওয়ান	t̪ a i̯ o̯ a n
তাইপে	t̪ a i p e
তাওয়া	t̪ a o̯ a
তাকানো	t̪ a k a n̪ o
তাকে	t̪ ä k e
তাগাদা	t̪ a ɡ a d̪ a
তাগিদ	t̪ a ɡ i d̪
তাজ	t̪ a d ʑ
তাজদার	t̪ a d ʑ d̪ a ɹ
তাজা	t̪ a d ʑ a
তাজ্জব	t̪ a d͡ʒː o b
তাড়াতাড়ি	t̪ a ɹ a t̪ a ɹ i
তাড়ানো	t̪ a ɹ a n o
তাণ্ডব	t̪ a n d ɔ b
তাদের	t̪ a d̪ e ɹ
তাপ	t̪ a p
তাপগতিবিজ্ঞান	t̪ a p ɡ ɔ t̪ i b i ɡː æ̃ n
তাপপ্রবাহ	t̪ a p ɔ p ɹ o b a h o
তাপমাত্রা	t̪ a p m a t̪ ɹ a
তাবাসসুম	t̪ a b a sː u m
তাবিজ	t̪ a b i d ʑ
তাবিজ	t̪ a b i z
তামড়ি	t̪ a m ɹ i
তামলি	t̪ a m o l i
তামা	t̪ a m a
তামাক	t̪ a m a k
তামাশা	t̪ a m a ʃ a
তামিলনাড়ু	t̪ a m i l n a ɹ u
তাম্র	t̪ a m ɹ o
তার	t̪ ä ɾ
তারা	t̪ a ɹ a
তারাহীন	t̪ a ɹ a h i n
তারিপ	t̪ ä ɾ i p
তারিফ	t̪ a ɾ i f
তাল	t̪ a l
তালব্য	t̪ a l ɔ bː o
তালা	t a l a
তালাশ	t̪ a l a ʃ
তালিকা	t̪ a l i k a
তালিব	t̪ a l i b o
তালুকদার	t̪ a l u k d̪ a ɹ
তাস	t̪ a ʃ
তাহা	t̪ a h a
তাহার	t̪ a h a ɹ
তিন	t̪ i n
তিনি	t̪ i n i
তিন্দু	t̪ i n d̪ u
তিন্দুক	t̪ i n d̪ u k
তিমি	t̪ i m i
তিমির	t̪ i m i ɹ
তিরুবনন্তপুরম	t̪ i ɹ u b ɔ n o n t̪ ɔ p u ɹ o m
তিল	t̪ i l
তিলক	t̪ i l ɔ k
তিষ্ণা	t̪ i ʃ n a
তিসি	t i ʃ i
তীব্র	t̪ i b ɹ o
তীব্রতা	t̪ i b ɹ ɔ t̪ a
তীর	t̪ i ɹ
তুঁই	t̪ ũ i
তুঁত	t̪ u t̪
তুঁতে	t̪ u t̪ e
তুই	t̪ u i̯
তুফান	t̪ u f a n
তুফান	t̪ u pʰ a n
তুমি	t̪ u m i
তুমিহীন	t̪ u m i h i n
তুমিহীনতা	t̪ u m i h i n ɔ t̪ a
তুরস্ক	t̪ u ɹ o ʃ k o
তুরিত	t̪ u ɾ i t̪
তুরুপ	t̪ u ɹ u p
তুর্কি	t̪ u ɹ k i
তুলনা	t̪ u l o n a
তুলনামূলক	t̪ u l n a m u l ɔ k
তুলসী	t̪ u l ʃ i
তুলা	t̪ u l a
তুলি	t̪ u l i
তুলো	t̪ u l o
তুষার	t̪ u ʃ a ɹ
তৃণ	t̪ ɹ i n o
তৃণমূল	t̪ ɾ i n ɔ m u l
তৃতীয়	t̪ ɹ i t̪ i̯ o
তৃষ্ণা	t̪ i ʃ n a
তৃষ্ণা	t̪ ɹ i ʃ n a
তৃষ্ণাহীন	t̪ ɹ i ʃ n a h i n
তেঁতুল	t̪ e t̪ u l
তেওড়া	t̪ æ o̯ ɹ a
তেজ	t̪ e d ʑ
তেজপাতা	t̪ e d ʑ p a t̪ a
তেড়া	t̪ ɛ ɹ a
তেরো	t̪ æ ɹ o
তেল	t̪ e l
তেলবাজ	t̪ e l b a d ʑ
তেলা	t̪ e l a
তেলাকুচা	t̪ ɛ l a k u t ɕ a
তেলাচোরা	t̪ e l a t ɕ o ɹ a
তেলাপোকা	t̪ e l a p o k a
তেলেঙ্গানা	t̪ e l e ŋ ɡ a n a
তৈরি	t̪ o i̯ ɹ i
তৈল	t̪ o i̯ l
তো	t̪ o
তোকমা	t̪ o k m a
তোমরা	t̪ o m ɹ ä
তোমাকে	t̪ o m a k e
তোমাদের	t̪ o m a d̪ e ɹ
তোমার	t̪ o m a ɹ
তোয়াক্কা	t̪ o̯ a kː a
তোয়ালে	t̪ o̯ a l e
তোর	t̪ o ɹ
তোরা	t̪ o ɹ a
তোলপাড়	t̪ o l p a ɹ
তোলা	t̪ o l a
তোশক	t̪ o ʃ o k
তোহমত	t̪ o h ɔ m ɔ t̪
তৌরাত	t̪ o u̯ ɹ a t̪
ত্বক	t̪ ɔ k
ত্যাগ	t̪ ɛ ɡ
ত্রয়োদশ	t̪ ɹ ɔ e̯ o d̪ o s h
ত্রিকোণমিতি	t̪ ɹ i k o n m i t̪ i
ত্রিচক্রযান	t̪ ɹ i t ɕ ɔ k ɹ ɔ d ʑ a n
ত্রিপত্র	t ɾ i p ɔ tː ɾ ɔ
ত্রিপদ	t̪ ɹ i p ɔ d̪
ত্রিপুরা	t̪ ɹ i p u ɹ a
ত্রিশ	t̪ ɾ i ʃ
তৎ	t̪ ɔ t̪
তৎসম	t̪ ɔ t̪ ʃ ɔ m o
থ	t̪ʰ ɔ
থলি	t̪ʰ ɔ l i
থাকব	t̪ʰ a k b o
থাকা	t̪ʰ a k a
থাকানো	t̪ʰ a k a n o
থাকি	t̪ʰ a k i
থাকে	t̪ʰ a k e
থানকুনি	t̪ʰ a n k u n i
থানা	t̪ʰ a n a
থামা	tʰ a m a
থার্মোমিটার	t̪ʰ a ɹ m o m i t a ɹ
থালা	t̪ʰ a l a
থিতানো	t̪ʰ i t̪ a n o
থুকা	t̪ʰ u k a
থুড়া	t̪ʰ u ɹ a
থুতু	t̪ʰ u t̪ u
থেকে	t̪ʰ e k e
থোকা	t̪ʰ o k a
থোড়া	t̪ʰ o ɹ a
দ	d̪ ɔ
দই	d o i
দক্ষ	d̪ ɔ kʰː o
দক্ষিণ	d̪ ɔ kʰː i n
দখল	d̪ ɔ kʰ o l
দগ্ধীভূত	d̪ ɔ ɡ d̪ʱ i bʱ u t̪ o
দড়ি	d o ɽ i
দণ্ড	d̪ ɔ n d o
দত্ত	d̪ ɔ t̪ː o
দন্ত	d̪ ɔ n t̪ o
দন্ত্য	d̪ ɔ n t̪ː o
দপ্তর	d̪ ɔ p t̪ ɔ ɹ
দফতর	d̪ ɔ f t̪ ɔ ɹ
দফা	d̪ ɔ f a
দম	d̪ ɔ m
দমা	d̪ ɔ m a
দয়া	d̪ ɔ e̯ a
দয়াল	d̪ ɔ e̯ a l
দয়ালু	d̪ ɔ e̯ a l u
দয়াহীন	d̪ ɔ e̯ a h i n
দরকার	d̪ ɔ ɹ k a ɹ
দরখাস্ত	d̪ ɔ ɹ kʰ a s t̪ o
দরগাহ	d̪ ɔ ɹ ɡ a
দরজা	d̪ ɔ ɹ d ʑ a
দরজা	d̪ ɔ ɹ o d ʑ a
দরদ	d̪ ɔ ɹ o d̪
দরবার	d̪ ɔ ɹ b a ɹ
দরবেশ	d̪ ɔ ɹ b e ʃ
দরশন	d̪ ɔ ɹ ʃ o n
দরাজ	d̪ ɔ ɹ a d ʑ
দরিদ্র	d̪ o ɹ i d̪ ɹ o
দরিয়া	d̪ o ɾ i̯ a
দরূদ	d̪ o ɾ u d̪
দরূদ	d̪ u ɾ u d̪
দর্জি	d̪ o ɹ d ʑ i
দর্পণ	d̪ ɔ ɹ p ɔ n
দর্শন	d̪ ɔ ɹ ʃ o n
দল	d̪ ɔ l
দলিত	d o l i t
দশ	d̪ ɔ ʃ
দশক	d̪ ɔ ʃ ɔ k
দশম	d̪ ɔ ʃ o m
দশমাংশ	d ɔ ʃ ɔ m a ŋ ʃ ɔ
দস্তরখান	d̪ ɔ s t̪ ɔ ɹ kʰ a n
দস্তাবেজ	d̪ ɔ s t̪ a b e d ʑ
দস্তুর	d̪ ɔ s t̪ u ɹ
দহ	d̪ ɔ h o
দহন	d̪ ɔ h o n
দা	d̪ a
