Ա	ɑ
հավաստի	h ɑ v ɑ s t i
հավաստիք	h ɑ v ɑ s t i kʰ
հավատ	h ɑ v ɑ d
հավատալ	h ɑ v ɑ d ɑ l
հավատարիմ	h ɑ v ɑ d ɑ ɾ i m
հավատարմաբար	h ɑ v ɑ d ɑ ɾ m ɑ pʰ ɑ ɾ
հավատարմագրել	h ɑ v ɑ d ɑ ɾ m ɑ kʰ ɾ e l
հավատարմագրվել	h ɑ v ɑ d ɑ ɾ m ɑ kʰ ə ɾ v e l
հավատարմորեն	h ɑ v ɑ d ɑ ɾ m o ɾ e n
հավատարմություն	h ɑ v ɑ d ɑ ɾ m u tʰ ʏ n
հավատուրաց	h ɑ v ɑ d u ɾ ɑ t͡sʰ
հավատք	h ɑ v ɑ t kʰ
հավաք	h ɑ v ɑ kʰ
հավաքածո	h ɑ v ɑ kʰ ɑ d͡z o
հավաքածու	h ɑ v ɑ kʰ ɑ d͡z u
հավաքական	h ɑ v ɑ kʰ ɑ ɡ ɑ n
հավաքարար	h ɑ v ɑ kʰ ɑ ɾ ɑ ɾ
հավաքարարուհի	h ɑ v ɑ kʰ ɑ ɾ ɑ ɾ u h i
հավաքել	h ɑ v ɑ kʰ e l
հավաքորդ	h ɑ v ɑ kʰ o ɾ tʰ
հավաքույթ	h ɑ v ɑ kʰ u j tʰ
հավելել	h ɑ v e l e l
հավելված	h ɑ v e l v ɑ d͡z
հավես	h ɑ v e s
հավետ	h ɑ v e d
հավերժ	h ɑ v e ɾ ʒ
հավերժություն	h ɑ v e ɾ ʒ u tʰ ʏ n
հավիտենական	h ɑ v i d e n ɑ ɡ ɑ n
հավիտյան	h ɑ v i d j ɑ n
հավկիթ	h ɑ f ɡ i tʰ
հավնոց	h ɑ v n o t͡sʰ
հավփալ	h ɑ f pʰ ɑ l
հավք	h ɑ f kʰ
հավքել	h ɑ f kʰ e l
հատ	h ɑ d
հատակ	h ɑ d ɑ ɡ
հատակաբաց	h ɑ d ɑ ɡ ɑ pʰ ɑ t͡sʰ
հատակել	h ɑ d ɑ ɡ e l
հատապտուղ	h ɑ d ɑ b ə d u ʁ
հատել	h ɑ d e l
հատիկ	h ɑ d i ɡ
հատկանիշ	h ɑ d ɡ ɑ n i ʃ
հատկապես	h ɑ d ɡ ɑ b e s
հատկացնել	h ɑ d ɡ ɑ t͡sʰ ə n e l
հատկություն	h ɑ d ɡ u tʰ ʏ n
հատնել	h ɑ d n e l
հատոր	h ɑ d o ɾ
հատու	h ɑ d u
հատուկ	h ɑ d u ɡ
հատուկենտ	h ɑ d u ɡ e n d
հատում	h ɑ d u m
հատուցել	h ɑ d u t͡sʰ e l
հատուցում	h ɑ d u t͡sʰ u m
հատված	h ɑ d v ɑ d͡z
հար	h ɑ ɾ
հարաբերական	h ɑ ɾ ɑ pʰ e ɾ ɑ ɡ ɑ n
հարաբերություն	h ɑ ɾ ɑ pʰ e ɾ u tʰ ʏ n
հարազատ	h ɑ ɾ ɑ z ɑ d
հարականջային	h ɑ ɾ ɑ ɡ ɑ n t͡ʃʰ ɑ j i n
հարակատար	h ɑ ɾ ɑ ɡ ɑ d ɑ ɾ
հարակարծություն	h ɑ ɾ ɑ ɡ ɑ ɾ d͡z u tʰ ʏ n
հարակիրի	h ɑ ɾ ɑ ɡ i ɾ i
հարամ	h ɑ ɾ ɑ m
հարամի	h ɑ ɾ ɑ m i
հարայ	h ɑ ɾ ɑ j
հարավ	h ɑ ɾ ɑ v
հարավային	h ɑ ɾ ɑ v ɑ j i n
հարատև	h ɑ ɾ ɑ d e v
հարացույց	h ɑ ɾ ɑ t͡sʰ u j t͡sʰ
հարբած	h ɑ ɾ pʰ ɑ d͡z
հարբել	h ɑ ɾ pʰ e l
հարբենալ	h ɑ ɾ pʰ e n ɑ l
հարբուխ	h ɑ ɾ pʰ u χ
հարգանք	h ɑ ɾ kʰ ɑ ŋ kʰ
հարգել	h ɑ ɾ kʰ e l
հարգելի	h ɑ ɾ kʰ e l i
հարդ	h ɑ ɾ tʰ
հարդարել	h ɑ ɾ tʰ ɑ ɾ e l
հարել	h ɑ ɾ e l
հարթ	h ɑ ɾ tʰ
հարթակ	h ɑ ɾ tʰ ɑ ɡ
հարթավայր	h ɑ ɾ tʰ ɑ v ɑ j ɾ
հարթաքանդակ	h ɑ ɾ tʰ ɑ kʰ ɑ n tʰ ɑ ɡ
հարթություն	h ɑ ɾ tʰ u tʰ ʏ n
հարթուկ	h ɑ ɾ tʰ u ɡ
հարթուկել	h ɑ ɾ tʰ u ɡ e l
հարիսա	h ɑ ɾ i s ɑ
հարիֆ	h ɑ ɾ i f
հարկ	h ɑ ɾ ɡ
հարկադրական	h ɑ ɾ ɡ ɑ tʰ ɾ ɑ ɡ ɑ n
հարկադրել	h ɑ ɾ ɡ ɑ tʰ ɾ e l
հարկահավաք	h ɑ ɾ ɡ ɑ h ɑ v ɑ kʰ
հարկային	h ɑ ɾ ɡ ɑ j i n
հարկանել	h ɑ ɾ ɡ ɑ n e l
հարկապարտ	h ɑ ɾ ɡ ɑ b ɑ ɾ d
հարկավ	h ɑ ɾ ɡ ɑ v
հարկավոր	h ɑ ɾ ɡ ɑ v o ɾ
հարկատու	h ɑ ɾ ɡ ɑ d u
հարկել	h ɑ ɾ ɡ e l
հարձակում	h ɑ ɾ t͡sʰ ɑ ɡ u m
հարձակվել	h ɑ ɾ t͡sʰ ɑ ɡ v e l
հարձակվող	h ɑ ɾ t͡sʰ ɑ ɡ v o ʁ
հարճ	h ɑ ɾ d͡ʒ
հարմար	h ɑ ɾ m ɑ ɾ
հարմարավետ	h ɑ ɾ m ɑ ɾ ɑ v e d
հարմարվել	h ɑ ɾ m ɑ ɾ v e l
հարյուր	h ɑ ɾ ʏ ɾ
հարյուրամյակ	h ɑ ɾ ʏ ɾ ɑ m j ɑ ɡ
հարյուրապետ	h ɑ ɾ ʏ ɾ ɑ b e d
հարյուրերորդ	h ɑ ɾ ʏ ɾ e ɾ o ɾ tʰ
հարնչել	h ɑ ɾ ə n t͡ʃʰ e l
հարություն	h ɑ ɾ u tʰ ʏ n
հարուստ	h ɑ ɾ u s t
հարս	h ɑ ɾ s
հարսանեկան	h ɑ ɾ s ɑ n e ɡ ɑ n
հարսանիթ	h ɑ ɾ s ɑ n i tʰ
հարսանիք	h ɑ ɾ s ɑ n i kʰ
հարսանյաց	h ɑ ɾ s ɑ n j ɑ t͡sʰ
հարսնազգեստ	h ɑ ɾ s n ɑ s kʰ e s t
հարսնանալ	h ɑ ɾ s n ɑ n ɑ l
հարսնանման	h ɑ ɾ s n ɑ n ə m ɑ n
հարսնաշոր	h ɑ ɾ s n ɑ ʃ o ɾ
հարսնապար	h ɑ ɾ s n ɑ b ɑ ɾ
հարսնարան	h ɑ ɾ s n ɑ ɾ ɑ n
հարսնացնել	h ɑ ɾ s n ɑ t͡sʰ ə n e l
հարսնացու	h ɑ ɾ s n ɑ t͡sʰ u
հարսնաքույր	h ɑ ɾ s n ɑ kʰ u j ɾ
հարսնյակ	h ɑ ɾ s n j ɑ ɡ
հարսնցու	h ɑ ɾ s ə n t͡sʰ u
հարստություն	h ɑ ɾ ə s t u tʰ ʏ n
հարված	h ɑ ɾ v ɑ d͡z
հարվածել	h ɑ ɾ v ɑ d͡z e l
հարց	h ɑ ɾ t͡sʰ
հարցազրույց	h ɑ ɾ t͡sʰ ɑ z ə ɾ u j t͡sʰ
հարցասեր	h ɑ ɾ t͡sʰ ɑ s e ɾ
հարցաքննություն	h ɑ ɾ t͡sʰ ɑ kʰ ə nː u tʰ ʏ n
հարցաքննում	h ɑ ɾ t͡sʰ ɑ kʰ ə nː u m
հարցմունք	h ɑ ɾ t͡sʰ m u ŋ kʰ
հարցնել	h ɑ ɾ t͡sʰ ə n e l
հարցուկ	h ɑ ɾ t͡sʰ u ɡ
հարցում	h ɑ ɾ t͡sʰ u m
հարևան	h ɑ ɾ e v ɑ n
հաց	h ɑ t͡sʰ
հացաբույս	h ɑ t͡sʰ ɑ pʰ u j s
հացագործ	h ɑ t͡sʰ ɑ kʰ o ɾ d͡z
հացադուլ	h ɑ t͡sʰ ɑ tʰ u l
հացահատիկ	h ɑ t͡sʰ ɑ h ɑ d i ɡ
հացենի	h ɑ t͡sʰ e n i
հացի	h ɑ t͡sʰ i
հացհամեմ	h ɑ t͡sʰ h ɑ m e m
հացուտ	h ɑ t͡sʰ u d
հափափել	h ɑ pʰ ɑ pʰ e l
հափշտակում	h ɑ pʰ ʃ t ɑ ɡ u m
հաքեր	h ɑ kʰ e ɾ
հաֆնիում	h ɑ f n j u m
հաֆնիում	h ɑ f nʲ i u m
հեգ	h e kʰ
հեգել	h e kʰ e l
հեգենա	h e kʰ e n ɑ
հեգնական	h e kʰ n ɑ ɡ ɑ n
հեգնանք	h e kʰ n ɑ ŋ kʰ
հեգնել	h e kʰ n e l
հեզ	h e z
հեթանոս	h e tʰ ɑ n o s
հեթանոսություն	h e tʰ ɑ n o s u tʰ ʏ n
հեթիթերեն	h e tʰ i tʰ e ɾ e n
հելիում	h e l i j u m
հելիում	h e l ʏ m
հելլեն	h e lː e n
հելլենացի	h e lː e n ɑ t͡sʰ i
հելնել	h e l n e l
հեծան	h e d͡z ɑ n
հեծանիվ	h e d͡z ɑ n i v
հեծանոց	h e d͡z ɑ n o t͡sʰ
հեծել	h e d͡z e l
հեծելազոր	h e d͡z e l ɑ z o ɾ
հեծելազորային	h e d͡z e l ɑ z o ɾ ɑ j i n
հեծեծել	h e d͡z e d͡z e l
հեծյալ	h e d͡z j ɑ l
հեծնել	h e d͡z n e l
հեկտար	h e ɡ d ɑ ɾ
հեղաշրջում	h e ʁ ɑ ʃ ə ɾ t͡ʃʰ u m
հեղափոխական	h e ʁ ɑ pʰ o χ ɑ ɡ ɑ n
հեղափոխել	h e ʁ ɑ pʰ o χ e l
հեղափոխություն	h e ʁ ɑ pʰ o χ u tʰ ʏ n
հեղել	h e ʁ e l
հեղեղ	h e ʁ e ʁ
հեղեղատ	h e ʁ e ʁ ɑ d
հեղեղել	h e ʁ e ʁ e l
հեղեղում	h e ʁ e ʁ u m
հեղինակ	h e ʁ i n ɑ ɡ
հեղինակություն	h e ʁ i n ɑ ɡ u tʰ ʏ n
հեղձամղձուկ	h e χ t͡sʰ ɑ m ə χ t͡sʰ u ɡ
հեղուկ	h e ʁ u ɡ
հեղույս	h e ʁ u j s
հեղուսել	h e ʁ u s e l
հեղված	h e ʁ v ɑ d͡z
հեղվել	h e ʁ v e l
հեղց	h e χ t͡sʰ
հեն	h e n
հենասյուն	h e n ɑ s ʏ n
հենել	h e n e l
հենվել	h e n v e l
հենց	h e n t͡sʰ
հեշթեգ	h e ʃ tʰ e kʰ
հեշտ	h e ʃ t
հեշտոց	h e ʃ t o t͡sʰ
հեշտոցային	h e ʃ tʰ o t͡sʰ ɑ j i n
հեշտություն	h e ʃ t u tʰ ʏ n
հեչ	h e t͡ʃʰ
հեռագիր	h e ɾ ɑ kʰ i ɾ
հեռադիտակ	h e ɾ ɑ tʰ i d ɑ ɡ
հեռախոս	h e ɾ ɑ χ o s
հեռախոսազանգ	h e ɾ ɑ χ o s ɑ z ɑ ŋ kʰ
հեռախոսահամար	h e ɾ ɑ χ o s ɑ h ɑ m ɑ ɾ
հեռակառավարման	h e ɾ ɑ ɡ ɑ ɾ ɑ v ɑ ɾ m ɑ n
հեռակառավարում	h e ɾ ɑ ɡ ɑ ɾ ɑ v ɑ ɾ u m
հեռահաղորդակցություն	h e ɾ ɑ h ɑ ʁ o ɾ tʰ ɑ kʰ t͡sʰ u tʰ ʏ n
հեռաձայն	h e ɾ ɑ t͡sʰ ɑ j n
հեռաձայնել	h e ɾ ɑ t͡sʰ ɑ j n e l
հեռանալ	h e ɾ ɑ n ɑ l
հեռանկար	h e ɾ ɑ n ə ɡ ɑ ɾ
հեռաստան	h e ɾ ɑ s t ɑ n
հեռավոր	h e ɾ ɑ v o ɾ
հեռավորություն	h e ɾ ɑ v o ɾ u tʰ ʏ n
հեռատես	h e ɾ ɑ d e s
հեռատեսիլ	h e ɾ ɑ d e s i l
հեռացնել	h e ɾ ɑ t͡sʰ ə n e l
հեռացում	h e ɾ ɑ t͡sʰ u m
հեռել	h e ɾ e l
հեռի	h e ɾ i
հեռու	h e ɾ u
հեռուստ	h e ɾ u s t
հեռուստադիտող	h e ɾ u s t ɑ tʰ i d o ʁ
հեռուստաընկերություն	h e ɾ u s t ɑ ə ŋ ɡ e ɾ u tʰ ʏ n
հեռուստատեսություն	h e ɾ u s t ɑ d e s u tʰ ʏ n
հեռուստացմփորիկ	h e ɾ u s t ɑ t͡sʰ ə m pʰ o ɾ i ɡ
հեռուստացույց	h e ɾ u s t ɑ t͡sʰ u j t͡sʰ
հեսան	h e s ɑ n
հեստ	h e s t
հեստապար	h e s t ɑ b ɑ ɾ
հեստապարուհի	h e s t ɑ b ɑ ɾ u h i
հետ	h e d
հետագա	h e d ɑ kʰ ɑ
հետադարձ	h e d ɑ tʰ ɑ ɾ t͡sʰ
հետազոտել	h e d ɑ z o d e l
հետազոտող	h e d ɑ z o d o ʁ
հետազոտություն	h e d ɑ z o d u tʰ ʏ n
հետախուզական	h e d ɑ χ u z ɑ ɡ ɑ n
հետախուզություն	h e d ɑ χ u z u tʰ ʏ n
հետախույզ	h e d ɑ χ u j z
հետաձգել	h e d ɑ t͡sʰ ə kʰ e l
հետամուտ	h e d ɑ m u d
հետանցք	h e d ɑ n t͡sʰ kʰ
հետաքրքիր	h e d ɑ kʰ ə ɾ kʰ i ɾ
հետաքրքրական	h e d ɑ kʰ ə ɾ kʰ ə ɾ ɑ ɡ ɑ n
հետաքրքրասեր	h e d ɑ kʰ ə ɾ kʰ ɾ ɑ s e ɾ
հետաքրքրել	h e d ɑ kʰ ə kʰ ə ɾ e l
հետաքրքրություն	h e d ɑ kʰ ə ɾ kʰ ɾ u tʰ ʏ n
հետաքրքրվել	h e d ɑ kʰ ə ɾ kʰ ə ɾ v e l
հետին	h e d i n
հետիոտն	h e d i j o d ə n
հետխորհրդային	h e d χ o ɾ ə ɾ tʰ ɑ j i n
հետմահու	h e d m ɑ h u
հետնաբեմ	h e d n ɑ pʰ e m
հետնորդ	h e d n o ɾ tʰ
հետո	h e d o
հետույք	h e d u j kʰ
հետք	h e t kʰ
հետև	h e d e v
հետևաբար	h e d e v ɑ pʰ ɑ ɾ
հետևակային	h e d e v ɑ ɡ ɑ j i n
հետևանք	h e d e v ɑ ŋ kʰ
հետևապես	h e d e v ɑ b e s
հետևել	h e d e v e l
հետևյալ	h e d e v j ɑ l
հետևորդ	h e d e v o ɾ tʰ
հետևություն	h e d e v u tʰ ʏ n
հեր	h e ɾ
հերերո	h e ɾ e ɾ o
հերթ	h e ɾ tʰ
հերթով	h e ɾ tʰ o v
հերիք	h e ɾ i kʰ
հերիքել	h e ɾ i kʰ e l
հերկ	h e ɾ ɡ
հերկել	h e ɾ ɡ e l
հերձադանակ	h e ɾ t͡sʰ ɑ tʰ ɑ n ɑ ɡ
հերձել	h e ɾ t͡sʰ e l
հերձում	h e ɾ t͡sʰ u m
հերյուն	h e ɾ ʏ n
հերոին	h e ɾ o j i n
հերոս	h e ɾ o s
հերոսաբար	h e ɾ o s ɑ pʰ ɑ ɾ
հերոսական	h e ɾ o s ɑ ɡ ɑ n
հերոսություն	h e ɾ o s u tʰ ʏ n
հերոսուհի	h e ɾ o s u h i
հերու	h e ɾ u
հերք	h e ɾ kʰ
հերքել	h e ɾ kʰ e l
հերքելի	h e ɾ kʰ e l i
հերքիչ	h e ɾ kʰ i t͡ʃʰ
հերքում	h e ɾ kʰ u m
հերքվել	h e ɾ kʰ v e l
հեց	h e t͡sʰ
հեքիաթ	h e kʰ i j ɑ tʰ
հեքիաթասաց	h e kʰ i j ɑ tʰ ɑ s ɑ t͡sʰ
հեքիմ	h e kʰ i m
հզոր	h ə z o ɾ
հըլը	h ə l ə
հի	h i
հիանալ	h i j ɑ n ɑ l
հիանալի	h i j ɑ n ɑ l i
հիասթափ	h i j ɑ s tʰ ɑ pʰ
հիասթափեցնել	h i j ɑ s tʰ ɑ pʰ e t͡sʰ ə n e l
հիասթափություն	h i j ɑ s tʰ ɑ pʰ u tʰ ʏ n
հիասթափում	h i j ɑ s tʰ ɑ pʰ u m
հիասթափված	h i j ɑ s tʰ ɑ pʰ v ɑ d͡z
հիասթափվել	h i j ɑ s tʰ ɑ pʰ v e l
հիասքանչ	h i j ɑ s kʰ ɑ n t͡ʃʰ
հիացմունք	h i j ɑ t͡sʰ m u ŋ kʰ
հիգիենա	h i kʰ i j e n ɑ
հիդրատ	h i tʰ ɾ ɑ d
հիդրոլիզ	h i tʰ ɾ o l i z
հիմ	h i m
հիմա	h i m ɑ
հիմամբ	h i m ɑ m pʰ
հիման	h i m ɑ n
հիմար	h i m ɑ ɾ
հիմարացնել	h i m ɑ ɾ ɑ t͡sʰ ə n e l
հիմարություն	h i m ɑ ɾ u tʰ ʏ n
հիմն	h i m ə n
հիմնադիր	h i m n ɑ tʰ i ɾ
հիմնադրական	h i m n ɑ tʰ ɾ ɑ ɡ ɑ n
հիմնադրամ	h i m n ɑ tʰ ɾ ɑ m
հիմնադրել	h i m n ɑ tʰ ɾ e l
հիմնադրություն	h i m n ɑ tʰ ɾ u tʰ ʏ n
հիմնադրուհի	h i m n ɑ tʰ ɾ u h i
հիմնադրում	h i m n ɑ tʰ ɾ u m
հիմնադրվել	h i m n ɑ tʰ ə ɾ v e l
հիմնախնդիր	h i m n ɑ χ ə n tʰ i ɾ
հիմնական	h i m n ɑ ɡ ɑ n
հիմնականորեն	h i m n ɑ ɡ ɑ n o ɾ e n
հիմնականում	h i m n ɑ ɡ ɑ n u m
հիմնահարց	h i m n ɑ h ɑ ɾ t͡sʰ
հիմնավոր	h i m n ɑ v o ɾ
հիմնավորել	h i m n ɑ v o ɾ e l
հիմունք	h i m u ŋ kʰ
հիմք	h i m kʰ
հին	h i n
հինավուրց	h i n ɑ v u ɾ t͡sʰ
հինգ	h i ŋ kʰ
հինգերորդ	h i ŋ kʰ e ɾ o ɾ tʰ
հինգշաբթի	h i ŋ kʰ ʃ ɑ pʰ tʰ i
հինդի	h i n tʰ i
հինդուիզմ	h i n tʰ u j i z m
հինդուստանի	h i n tʰ u s t ɑ n i
հինցնել	h i n t͡sʰ ə n e l
հիշատակ	h i ʃ ɑ d ɑ ɡ
հիշել	h i ʃ e l
հիշեցնել	h i ʃ e t͡sʰ ə n e l
հիշողություն	h i ʃ o ʁ u tʰ ʏ n
հիպատ	h i b ɑ d
հիպերբոլ	h i b e ɾ pʰ o l
հիպերմարկետ	h i b e ɾ m ɑ ɾ ɡ e d
հիպնոս	h i b n o s
հիսուն	h i s u n
հիսուն	h i sː u n
հիստերիա	h i s t e ɾ i j ɑ
հիվանդ	h i v ɑ n tʰ
հիվանդագին	h i v ɑ n tʰ ɑ kʰ i n
հիվանդախնամ	h i v ɑ n tʰ ɑ χ ə n ɑ m
հիվանդանալ	h i v ɑ n tʰ ɑ n ɑ l
հիվանդանոց	h i v ɑ n tʰ ɑ n o t͡sʰ
հիվանդություն	h i v ɑ n tʰ u tʰ ʏ n
հիրավի	h i ɾ ɑ v i
հիրել	h i ɾ e l
հիրիկ	h i ɾ i ɡ
հիցուն	h i t͡sʰ u n
հլու	h ə l u
հղանալ	h ə ʁ ɑ n ɑ l
հղացք	h ə ʁ ɑ t͡sʰ kʰ
հղել	h ə ʁ e l
հղենալ	h ə ʁ e n ɑ l
հղի	h ə ʁ i
հղիանալ	h ə ʁ i j ɑ n ɑ l
հղիացում	h ə ʁ i j ɑ t͡sʰ u m
հղիություն	h ə ʁ i j u tʰ ʏ n
հղություն	h ə ʁ u tʰ ʏ n
հղում	h ə ʁ u m
հղփանալ	h ə χ pʰ ɑ n ɑ l
հղփություն	h ə χ pʰ u tʰ ʏ n
հմայագիր	h ə m ɑ j ɑ kʰ i ɾ
հմայել	h ə m ɑ j e l
հմայք	h ə m ɑ j kʰ
հմուտ	h ə m u d
հմտություն	h ə m d u tʰ ʏ n
հյ	ç
հյութ	h ʏ tʰ
հյութեղ	h ʏ tʰ e ʁ
հյուլե	h ʏ l e
հյուծել	h ʏ d͡z e l
հյուն	h ʏ n
հյուպատոս	h ʏ b ɑ d o s
հյուպատոսություն	h ʏ b ɑ d o s u tʰ ʏ n
հյուս	h ʏ s
հյուսել	h ʏ s e l
հյուսիս	h ʏ s i s
հյուսիսային	h ʏ s i s ɑ j i n
հյուսկեն	h ʏ s k e n
հյուսն	h ʏ s ə n
հյուսվածք	h ʏ s v ɑ t͡sʰ kʰ
հյուսվածքաբանություն	h ʏ s v ɑ t͡sʰ kʰ ɑ pʰ ɑ n u tʰ ʏ n
հյուր	h u j ɾ
հյուր	h ʏ ɾ
հյուրախաղ	h ʏ ɾ ɑ χ ɑ ʁ
հյուրանոց	h ʏ ɾ ɑ n o t͡sʰ
հյուրասենյակ	h ʏ ɾ ɑ s e n j ɑ ɡ
հյուրասրահ	h ʏ ɾ ɑ s ə ɾ ɑ h
հյուրեր	h ʏ ɾ e ɾ
հյուրերդ	h ʏ ɾ e ɾ ə tʰ
հյուրերը	h ʏ ɾ e ɾ ə
հյուրերի	h ʏ ɾ e ɾ i
հյուրերիդ	h ʏ ɾ e ɾ i tʰ
հյուրերին	h ʏ ɾ e ɾ i n
հյուրերիս	h ʏ ɾ e ɾ i s
հյուրերն	h ʏ ɾ e ɾ ə n
հյուրերով	h ʏ ɾ e ɾ o v
հյուրերովդ	h ʏ ɾ e ɾ o v ə tʰ
հյուրերովս	h ʏ ɾ e ɾ o v ə s
հյուրերս	h ʏ ɾ e ɾ ə s
հյուրը	h ʏ ɾ ə
հյուրի	h ʏ ɾ i
հյուրիդ	h ʏ ɾ i tʰ
հյուրին	h ʏ ɾ i n
հյուրիս	h ʏ ɾ i s
հյուրն	h ʏ ɾ n
հյուրով	h ʏ ɾ o v
հյուրովդ	h ʏ ɾ o v ə tʰ
հյուրովս	h ʏ ɾ o v ə s
հյուրս	h ʏ ɾ ə s
հնագետ	h ə n ɑ kʰ e d
հնագիտություն	h ə n ɑ kʰ i d u tʰ ʏ n
հնագույն	h ə n ɑ kʰ u j n
հնազանդ	h ə n ɑ z ɑ n tʰ
հնազանդություն	h ə n ɑ z ɑ n tʰ u tʰ ʏ n
հնազանդվել	h ə n ɑ z ɑ n tʰ v e l
հնախոս	h ə n ɑ χ o s
հնամյա	h ə n ɑ m j ɑ
հնանալ	h ə n ɑ n ɑ l
հնավուն	h ə n ɑ v u n
հնար	h ə n ɑ ɾ
հնարամիտ	h ə n ɑ ɾ ɑ m i d
հնարամտություն	h ə n ɑ ɾ ɑ m ə d u tʰ ʏ n
հնարավոր	h ə n ɑ ɾ ɑ v o ɾ
հնարավորինս	h n ɑ ɾ ɑ v o ɾ i n ə s
հնարավորություն	h ə n ɑ ɾ ɑ v o ɾ u tʰ ʏ n
հնարել	h ə n ɑ ɾ e l
հնարք	h ə n ɑ ɾ kʰ
հնացած	h ə n ɑ t͡sʰ ɑ d͡z
հնացնել	h ə n ɑ t͡sʰ ə n e l
հնգամյա	h ə ŋ kʰ ɑ m j ɑ
հնգիլիոն	h ə ŋ kʰ i l j o n
հնդեվրոպաբան	h ə n tʰ e v ɾ o b ɑ pʰ ɑ n
հնդեվրոպաբանություն	h ə n tʰ e v ɾ o b ɑ pʰ ɑ n u tʰ ʏ n
հնդեվրոպական	h ə n tʰ e v ɾ o b ɑ ɡ ɑ n
հնդեվրոպացի	h ə n tʰ e v ɾ o b ɑ t͡sʰ i
հնդիկ	h ə n tʰ i ɡ
հնդկական	h ə n tʰ k ɑ ɡ ɑ n
հնդկահավ	h ə n tʰ k ɑ h ɑ v
հնդկացի	h ə n tʰ k ɑ t͡sʰ i
հնդկացորեն	h ə n tʰ k ɑ t͡sʰ o ɾ e n
հնդկերեն	h ə n tʰ k e ɾ e n
հնդկընկույզ	h ə n tʰ k ə ŋ ɡ u j z
հնէաբան	h ə n e ɑ pʰ ɑ n
հնձան	h ə n t͡sʰ ɑ n
հնձել	h ə n t͡sʰ e l
հնձիչ	h ə n t͡sʰ i t͡ʃʰ
հնոտի	h ə n o d i
հնոտիք	h ə n o d i kʰ
հնոց	h ə n o t͡sʰ
հնոցապան	h ə n o t͡sʰ ɑ b ɑ n
հնչել	h ə n t͡ʃʰ e l
հնչյուն	h ə n t͡ʃʰ ʏ n
հնչյունաբան	h ə n t͡ʃʰ ʏ n ɑ pʰ ɑ n
հնչյունաբանական	h ə n t͡ʃʰ ʏ n ɑ pʰ ɑ n ɑ ɡ ɑ n
հնչյունաբանություն	h ə n t͡ʃʰ ʏ n ɑ pʰ ɑ n u tʰ ʏ n
հնչյունական	h ə n t͡ʃʰ ʏ n ɑ ɡ ɑ n
հնչյունային	h ə n t͡ʃʰ ʏ n ɑ j i n
հնչույթ	h ə n t͡ʃʰ u j tʰ
հո	h o
հոբելյան	h o pʰ e l j ɑ n
հոբելյանական	h o pʰ e l j ɑ n ɑ ɡ ɑ n
հոբելյար	h o pʰ e l j ɑ ɾ
հոբոյ	h o pʰ o j
հոգ	h o kʰ
հոգալ	h o kʰ ɑ l
հոգատար	h o kʰ ɑ d ɑ ɾ
հոգեբան	h o kʰ e pʰ ɑ n
հոգեբանական	h o kʰ e pʰ ɑ n ɑ ɡ ɑ n
հոգեբանություն	h o kʰ e pʰ ɑ n u tʰ ʏ n
հոգեբուժություն	h o kʰ e pʰ u ʒ u tʰ ʏ n
հոգեբույժ	h o kʰ e b u ʒ
հոգեբույժ	h o kʰ e pʰ u j ʒ
հոգեղեն	h o kʰ e ʁ e n
հոգեվար	h o kʰ e v ɑ ɾ
հոգեվարք	h o kʰ e v ɑ ɾ kʰ
հոգի	h o kʰ i
հոգնա	h o kʰ n ɑ
հոգնած	h o kʰ n ɑ d͡z
հոգնածություն	h o kʰ n ɑ d͡z u tʰ ʏ n
հոգնակի	h o kʰ n ɑ ɡ i
հոգնել	h o kʰ n e l
հոգնեցնել	h o kʰ n e t͡sʰ ə n e l
հոգոց	h o kʰ o t͡sʰ
հոգս	h o kʰ s
հոգվոց	h o kʰ v o t͡sʰ
հոգևոր	h o kʰ e v o ɾ
հոդ	h o tʰ
հոդաբորբ	h o tʰ ɑ pʰ o ɾ pʰ
հոդված	h o t v ɑ t͡s
հոդված	h o tʰ v ɑ d͡z
հոժարել	h o ʒ ɑ ɾ e l
հոժարեցնել	h o ʒ ɑ ɾ e t͡sʰ ə n e l
հոժարություն	h o ʒ ɑ ɾ u tʰ ʏ n
հոժարում	h o ʒ ɑ ɾ u m
հոժարվել	h o ʒ ɑ ɾ v e l
հոլ	h o l
հոլաթևել	h o l ɑ tʰ e v e l
հոլանդական	h o l ɑ n tʰ ɑ ɡ ɑ n
հոլանդացի	h o l ɑ n tʰ ɑ t͡sʰ i
հոլանդերեն	h o l ɑ n tʰ e ɾ e n
հոլանել	h o l ɑ n e l
հոլանի	h o l ɑ n i
հոլմիում	h o l m i u m
հոլմիում	h o l m j u m
հոլով	h o l o v
հոլովակ	h o l o v ɑ ɡ
հոլովման	h o l o v m ɑ n
հոլովում	h o l o v u m
հոխորտալ	h o χ o ɾ d ɑ l
հոխորտան	h o χ o ɾ d ɑ n
հոխորտանք	h o χ o ɾ d ɑ ŋ kʰ
հոկեյ	h o ɡ e j
հոկտեմբեր	h o ɡ d e m pʰ e ɾ
հոկտեմբերյան	h o ɡ d e m pʰ e ɾ j ɑ n
հող	h o ʁ
հողագայլ	h o ʁ ɑ kʰ ɑ j l
հողաթափ	h o ʁ ɑ tʰ ɑ pʰ
հողակոշտ	h o ʁ ɑ ɡ o ʃ t
հողանցում	h o ʁ ɑ n t͡sʰ u m
