a	ɒ
karban	k ɒ r b ɒ n
karbantartás	k ɒ r b ɒ n t ɒ r t aː ʃ
karbantartási	k ɒ r b ɒ n t ɒ r t aː ʃ i
karbantartások	k ɒ r b ɒ n t ɒ r t aː ʃ o k
karbidlámpa	k ɒ r b i d l aː m p ɒ
karc	k ɒ r t͡s
karcol	k ɒ r t͡s o l
karcolok	k ɒ r t͡s o l o k
karcoló	k ɒ r t͡s o l oː
karcolók	k ɒ r t͡s o l oː k
karcsi	k ɒ r t͡ʃ i
karcsú	k ɒ r t͡ʃ uː
karcsúbb	k ɒ r t͡ʃ uː bː
kard	k ɒ r d
kardal	k ɒ r d ɒ l
karddal	k ɒ r d ɒ l
kardhal	k ɒ r t h ɒ l
kardigán	k ɒ r d i ɡ aː n
kardigánok	k ɒ r d i ɡ aː n o k
kardinális	k ɒ r d i n aː l i ʃ
kardinálisok	k ɒ r d i n aː l i ʃ o k
kardiológia	k ɒ r d i j o l oː ɡ i j ɒ
kardiológiai	k ɒ r d i j o l oː ɡ i j ɒ j i
kardiológiailag	k ɒ r d i j o l oː ɡ i j ɒ j i l ɒ ɡ
kardiológiák	k ɒ r d i j o l oː ɡ i j aː k
kardiológus	k ɒ r d i j o l oː ɡ u ʃ
kardiológusok	k ɒ r d i j o l oː ɡ u ʃ o k
kardnyúlvány	k ɒ r d ɲ uː l v aː ɲ
kardnyúlványok	k ɒ r d ɲ uː l v aː ɲ o k
kardok	k ɒ r d o k
kardon	k ɒ r d o n
kardos	k ɒ r d o ʃ
kardosabb	k ɒ r d o ʃ ɒ bː
kardoskodik	k ɒ r d o ʃ k o d i k
kardoskodás	k ɒ r d o ʃ k o d aː ʃ
kardoskodások	k ɒ r d o ʃ k o d aː ʃ o k
kardszárnyú	k ɒ r t s aː r ɲ uː
karelen	k ɒ r ɛ l ɛ n
karfa	k ɒ r f ɒ
karfiol	k ɒ r f i j o l
karfiolok	k ɒ r f i j o l o k
kari	k ɒ r i
karib	k ɒ r i b
karibok	k ɒ r i b o k
karika	k ɒ r i k ɒ
karikatúra	k ɒ r i k ɒ t uː r ɒ
karikatúrák	k ɒ r i k ɒ t uː r aː k
karikíroz	k ɒ r i k iː r o z
karikó	k ɒ r i k oː
karima	k ɒ r i m ɒ
kariogámia	k ɒ r i j o ɡ aː m i j ɒ
karitatív	k ɒ r i t ɒ t iː v
karitatívabb	k ɒ r i t ɒ t iː v ɒ bː
karizom	k ɒ r i z o m
karja	k ɒ r j ɒ
karjai	k ɒ r j ɒ j i
karjaid	k ɒ r j ɒ j i d
karjaik	k ɒ r j ɒ j i k
karjaim	k ɒ r j ɒ j i m
karjaink	k ɒ r j ɒ j i ŋ k
karjaitok	k ɒ r j ɒ j i t o k
karjuk	k ɒ r j u k
karját	k ɒ r j aː t
karkötő	k ɒ r k ø t øː
karkötők	k ɒ r k ø t øː k
karkötőt	k ɒ r k ø t øː t
karlyuk	k ɒ r j u k
karma	k ɒ r m ɒ
karmazsin	k ɒ r m ɒ ʒ i n
karmazsinvörös	k ɒ r m ɒ ʒ i ɱ v ø r ø ʃ
karmester	k ɒ r m ɛ ʃ t ɛ r
karmesterek	k ɒ r m ɛ ʃ t ɛ r ɛ k
karmok	k ɒ r m o k
karmol	k ɒ r m o l
karnagy	k ɒ r n ɒ ɟ
karnagyok	k ɒ r n ɒ ɟ o k
karnis	k ɒ r n i ʃ
karnisok	k ɒ r n i ʃ o k
karnyújtásnyira	k ɒ r ɲ uː j t aː ʃ ɲ i r ɒ
karnátaka	k ɒ r n aː t ɒ k ɒ
karok	k ɒ r o k
karokat	k ɒ r o k ɒ t
karokkal	k ɒ r o kː ɒ l
karom	k ɒ r o m
karon	k ɒ r o n
karos	k ɒ r o ʃ
karosszék	k ɒ r o sː eː k
karosszék	k ɒ r o ʃ s eː k
karosszékek	k ɒ r o sː eː k ɛ k
karosszékek	k ɒ r o ʃ s eː k ɛ k
karosszéria	k ɒ r o sː eː r i j ɒ
karosszéria	k ɒ r o ʃ s eː r i j ɒ
karra	k ɒ rː ɒ
karrier	k ɒ rː i j ɛ r
karrierek	k ɒ rː i j ɛ r ɛ k
karrierje	k ɒ rː i j ɛ r j ɛ
karrá	k ɒ rː aː
karszalag	k ɒ r s ɒ l ɒ ɡ
karszalagok	k ɒ r s ɒ l ɒ ɡ o k
karszt	k ɒ r s t
kart	k ɒ r t
kartográfia	k ɒ r t o ɡ r aː f i j ɒ
kartográfiák	k ɒ r t o ɡ r aː f i j aː k
kartográfus	k ɒ r t o ɡ r aː f u ʃ
karton	k ɒ r t o n
kartoték	k ɒ r t o t eː k
kartárs	k ɒ r t aː r ʃ
kartól	k ɒ r t oː l
kartúm	k ɒ r t uː m
karuk	k ɒ r u k
karvaly	k ɒ r v ɒ j
karvalybagoly	k ɒ r v ɒ j b ɒ ɡ o j
karvalyok	k ɒ r v ɒ j o k
karácsony	k ɒ r aː t͡ʃ o ɲ
karácsonyest	k ɒ r aː t͡ʃ o ɲ ɛ ʃ t
karácsonyeste	k ɒ r aː t͡ʃ o ɲ ɛ ʃ t ɛ
karácsonyestek	k ɒ r aː t͡ʃ o ɲ ɛ ʃ t ɛ k
karácsonyesték	k ɒ r aː t͡ʃ o ɲ ɛ ʃ t eː k
karácsonyfa	k ɒ r aː t͡ʃ o ɲ f ɒ
karácsonyfadísz	k ɒ r aː t͡ʃ o ɲ f ɒ d iː s
karácsonyfadíszek	k ɒ r aː t͡ʃ o ɲ f ɒ d iː s ɛ k
karácsonyfaégő	k ɒ r aː t͡ʃ o ɲ f ɒ j eː ɡ øː
karácsonyfaégők	k ɒ r aː t͡ʃ o ɲ f ɒ j eː ɡ øː k
karácsonyfák	k ɒ r aː t͡ʃ o ɲ f aː k
karácsonyi	k ɒ r aː t͡ʃ o ɲ i
karácsonykor	k ɒ r aː t͡ʃ o ɲ k o r
karácsonyok	k ɒ r aː t͡ʃ o ɲ o k
karácsonyt	k ɒ r aː t͡ʃ o ɲ t
karácsonyéj	k ɒ r aː t͡ʃ o ɲ eː j
karácsonyéjek	k ɒ r aː t͡ʃ o ɲ eː j ɛ k
karán	k ɒ r aː n
karát	k ɒ r aː t
karéj	k ɒ r eː j
karó	k ɒ r oː
karók	k ɒ r oː k
karóm	k ɒ r oː m
karóra	k ɒ r oː r ɒ
karórák	k ɒ r oː r aː k
karú	k ɒ r uː
kas	k ɒ ʃ
kasba	k ɒ ʒ b ɒ
kasban	k ɒ ʒ b ɒ n
kaskavál	k ɒ ʃ k ɒ v aː l
kasmír	k ɒ ʃ m iː r
kasmírok	k ɒ ʃ m iː r o k
kasok	k ɒ ʃ o k
kasra	k ɒ ʃ r ɒ
kasrut	k ɒ ʃ r u t
kassza	k ɒ sː ɒ
kasszafúró	k ɒ sː ɒ f uː r oː
kasszafúrók	k ɒ sː ɒ f uː r oː k
kasszasiker	k ɒ sː ɒ ʃ i k ɛ r
kasszasikerek	k ɒ sː ɒ ʃ i k ɛ r ɛ k
kasszák	k ɒ sː aː k
kast	k ɒ ʃ t
kastély	k ɒ ʃ t eː j
kastélyok	k ɒ ʃ t eː j o k
kasza	k ɒ s ɒ
kaszab	k ɒ s ɒ b
kaszabol	k ɒ s ɒ b o l
kaszba	k ɒ z b ɒ
kaszinó	k ɒ s i n oː
kaszinók	k ɒ s i n oː k
kaszt	k ɒ s t
kasztanyetta	k ɒ s t ɒ ɲ ɛ tː ɒ
kasztanyetták	k ɒ s t ɒ ɲ ɛ tː aː k
kasztrál	k ɒ s t r aː l
kaszák	k ɒ s aː k
kaszál	k ɒ s aː l
kaszás	k ɒ s aː ʃ
kaszások	k ɒ s aː ʃ o k
kata	k ɒ t ɒ
katalin	k ɒ t ɒ l i n
katalizátor	k ɒ t ɒ l i z aː t o r
katalizátorok	k ɒ t ɒ l i z aː t o r o k
katalán	k ɒ t ɒ l aː n
katalánok	k ɒ t ɒ l aː n o k
katalógus	k ɒ t ɒ l oː ɡ u ʃ
katalógusok	k ɒ t ɒ l oː ɡ u ʃ o k
katalónia	k ɒ t ɒ l oː n i j ɒ
katana	k ɒ t ɒ n ɒ
katar	k ɒ t ɒ r
katartikus	k ɒ t ɒ r t i k u ʃ
katarzis	k ɒ t ɒ r z i ʃ
katarzisok	k ɒ t ɒ r z i ʃ o k
katasztrofális	k ɒ t ɒ s t r o f aː l i ʃ
katasztrofálisabb	k ɒ t ɒ s t r o f aː l i ʃ ɒ bː
katasztrofálisan	k ɒ t ɒ s t r o f aː l i ʃ ɒ n
katasztrófa	k ɒ t ɒ s t r oː f ɒ
katasztrófák	k ɒ t ɒ s t r oː f aː k
katedrális	k ɒ t ɛ d r aː l i ʃ
katedrálisok	k ɒ t ɛ d r aː l i ʃ o k
kategorikus	k ɒ t ɛ ɡ o r i k u ʃ
kategorikusabb	k ɒ t ɛ ɡ o r i k u ʃ ɒ bː
kategorikusan	k ɒ t ɛ ɡ o r i k u ʃ ɒ n
kategorizál	k ɒ t ɛ ɡ o r i z aː l
kategória	k ɒ t ɛ ɡ oː r i j ɒ
kategóriába	k ɒ t ɛ ɡ oː r i j aː b ɒ
kategóriában	k ɒ t ɛ ɡ oː r i j aː b ɒ n
kategóriája	k ɒ t ɛ ɡ oː r i j aː j ɒ
kategóriájában	k ɒ t ɛ ɡ oː r i j aː j aː b ɒ n
kategóriájú	k ɒ t ɛ ɡ oː r i j aː j uː
kategóriák	k ɒ t ɛ ɡ oː r i j aː k
kategóriákat	k ɒ t ɛ ɡ oː r i j aː k ɒ t
kategóriákba	k ɒ t ɛ ɡ oː r i j aː ɡ b ɒ
kategóriákban	k ɒ t ɛ ɡ oː r i j aː ɡ b ɒ n
kategóriát	k ɒ t ɛ ɡ oː r i j aː t
kati	k ɒ t i
katica	k ɒ t i t͡s ɒ
katicabogarak	k ɒ t i t͡s ɒ b o ɡ ɒ r ɒ k
katicabogár	k ɒ t i t͡s ɒ b o ɡ aː r
katinka	k ɒ t i ŋ k ɒ
katlan	k ɒ t l ɒ n
katlanok	k ɒ t l ɒ n o k
katmandu	k ɒ t m ɒ n d u
katoforit	k ɒ t o f o r i t
katolicizmus	k ɒ t o l i t͡s i z m u ʃ
katolikus	k ɒ t o l i k u ʃ
katolikusok	k ɒ t o l i k u ʃ o k
katona	k ɒ t o n ɒ
katonai	k ɒ t o n ɒ j i
katonaorvos	k ɒ t o n ɒ o r v o ʃ
katonaorvosok	k ɒ t o n ɒ o r v o ʃ o k
katonaság	k ɒ t o n ɒ ʃ aː ɡ
katonatiszt	k ɒ t o n ɒ t i s t
katonatisztek	k ɒ t o n ɒ t i s t ɛ k
katonák	k ɒ t o n aː k
katonákat	k ɒ t o n aː k ɒ t
katonákkal	k ɒ t o n aː kː ɒ l
katonáknak	k ɒ t o n aː k n ɒ k
katonákon	k ɒ t o n aː k o n
katonákra	k ɒ t o n aː k r ɒ
katonán	k ɒ t o n aː n
katonának	k ɒ t o n aː n ɒ k
katonára	k ɒ t o n aː r ɒ
katonát	k ɒ t o n aː t
katonával	k ɒ t o n aː v ɒ l
kattan	k ɒ tː ɒ n
kattint	k ɒ tː i n t
kattints	k ɒ tː i n t͡ʃ
kattintva	k ɒ tː i n t v ɒ
kattintás	k ɒ tː i n t aː ʃ
kattog	k ɒ tː o ɡ
katéter	k ɒ t eː t ɛ r
kató	k ɒ t oː
katódsugár	k ɒ t oː t͡ʃː u ɡ aː r
katódsugárcső	k ɒ t oː t͡ʃː u ɡ aː r t͡ʃ øː
kaukázus	k ɒ u k aː z u ʃ
kaukázusi	k ɒ u k aː z u ʃ i
kavar	k ɒ v ɒ r
kavics	k ɒ v i t͡ʃ
kavicsok	k ɒ v i t͡ʃ o k
kavicsos	k ɒ v i t͡ʃ o ʃ
kavicsosabb	k ɒ v i t͡ʃ o ʃ ɒ bː
kavicszátony	k ɒ v i d͡ʒ z aː t o ɲ
kaviár	k ɒ v i j aː r
kaviárok	k ɒ v i j aː r o k
kazahsztán	k ɒ z ɒ x s t aː n
kazal	k ɒ z ɒ l
kazamata	k ɒ z ɒ m ɒ t ɒ
kazamaták	k ɒ z ɒ m ɒ t aː k
kazetta	k ɒ z ɛ tː ɒ
kazetták	k ɒ z ɛ tː aː k
kazla	k ɒ z l ɒ
kazán	k ɒ z aː n
kazánok	k ɒ z aː n o k
kdk	k ɛ l ɛ d d eː l k ɛ l ɛ t
kebel	k ɛ b ɛ l
kebelbarát	k ɛ b ɛ l b ɒ r aː t
kebelbarátok	k ɛ b ɛ l b ɒ r aː t o k
keble	k ɛ b l ɛ
keblek	k ɛ b l ɛ k
keblű	k ɛ b l yː
kecs	k ɛ t͡ʃ
kecses	k ɛ t͡ʃ ɛ ʃ
kecsesebb	k ɛ t͡ʃ ɛ ʃ ɛ bː
kecsesen	k ɛ t͡ʃ ɛ ʃ ɛ n
kecske	k ɛ t͡ʃ k ɛ
kecskemét	k ɛ t͡ʃ k ɛ m eː t
kecskeméti	k ɛ t͡ʃ k ɛ m eː t i
kecskeszakáll	k ɛ t͡ʃ k ɛ s ɒ k aː lː
kecskék	k ɛ t͡ʃ k eː k
ked	k ɛ d
kedd	k ɛ dː
keddek	k ɛ dː ɛ k
keddeken	k ɛ dː ɛ k ɛ n
kedden	k ɛ dː ɛ n
keddenként	k ɛ dː ɛ ŋ k eː n t
keddi	k ɛ dː i
kedv	k ɛ d v
kedve	k ɛ d v ɛ
kedved	k ɛ d v ɛ d
kedvek	k ɛ d v ɛ k
kedvel	k ɛ d v ɛ l
kedvelt	k ɛ d v ɛ l t
kedveltebb	k ɛ d v ɛ l t ɛ bː
kedvelő	k ɛ d v ɛ l øː
kedvem	k ɛ d v ɛ m
kedvenc	k ɛ d v ɛ n t͡s
kedvence	k ɛ d v ɛ n t͡s ɛ
kedvencebb	k ɛ d v ɛ n t͡s ɛ bː
kedvencek	k ɛ d v ɛ n t͡s ɛ k
kedvencekhez	k ɛ d v ɛ n t͡s ɛ k h ɛ z
kedvencem	k ɛ d v ɛ n t͡s ɛ m
kedves	k ɛ d v ɛ ʃ
kedvesebb	k ɛ d v ɛ ʃ ɛ bː
kedvesen	k ɛ d v ɛ ʃ ɛ n
kedveskedik	k ɛ d v ɛ ʃ k ɛ d i k
kedveskedő	k ɛ d v ɛ ʃ k ɛ d øː
kedveskedőbb	k ɛ d v ɛ ʃ k ɛ d øː bː
kedvesség	k ɛ d v ɛ ʃː eː ɡ
kedvességével	k ɛ d v ɛ ʃː eː ɡ eː v ɛ l
kedvet	k ɛ d v ɛ t
kedvetek	k ɛ d v ɛ t ɛ k
kedvetlen	k ɛ d v ɛ t l ɛ n
kedvetlenebb	k ɛ d v ɛ t l ɛ n ɛ bː
kedvez	k ɛ d v ɛ z
kedvezmény	k ɛ d v ɛ z m eː ɲ
kedvezmények	k ɛ d v ɛ z m eː ɲ ɛ k
kedvezményeket	k ɛ d v ɛ z m eː ɲ ɛ k ɛ t
kedvezményes	k ɛ d v ɛ z m eː ɲ ɛ ʃ
kedvezményezett	k ɛ d v ɛ z m eː ɲ ɛ z ɛ tː
kedvezményezettebb	k ɛ d v ɛ z m eː ɲ ɛ z ɛ tː ɛ bː
kedvezményt	k ɛ d v ɛ z m eː ɲ t
kedvező	k ɛ d v ɛ z øː
kedvezőbb	k ɛ d v ɛ z øː bː
kedvezően	k ɛ d v ɛ z øː ɛ n
kedvezőtlen	k ɛ d v ɛ z øː t l ɛ n
kedvezőtlenebb	k ɛ d v ɛ z øː t l ɛ n ɛ bː
kedvezőtlenség	k ɛ d v ɛ z øː t l ɛ n ʃ eː ɡ
kedvtelen	k ɛ t f t ɛ l ɛ n
kedvtelenebb	k ɛ t f t ɛ l ɛ n ɛ bː
kedvvel	k ɛ d v ɛ l
kedvét	k ɛ d v eː t
kedvéért	k ɛ d v eː j eː r t
kedvük	k ɛ d v y k
kedvünk	k ɛ d v y ŋ k
kedvű	k ɛ d v yː
kedély	k ɛ d eː j
kedélyek	k ɛ d eː j ɛ k
kedélyes	k ɛ d eː j ɛ ʃ
kedélyesebb	k ɛ d eː j ɛ ʃ ɛ bː
kefe	k ɛ f ɛ
kefehaj	k ɛ f ɛ ɦ ɒ j
kefekötő	k ɛ f ɛ k ø t øː
kefir	k ɛ f i r
kefir	k ɛ f iː r
kefék	k ɛ f eː k
kefél	k ɛ f eː l
kegy	k ɛ ɟ
kegyed	k ɛ ɟ ɛ d
kegyel	k ɛ ɟ ɛ l
kegyelem	k ɛ ɟ ɛ l ɛ m
kegyelemdöfés	k ɛ ɟ ɛ l ɛ m d ø f eː ʃ
kegyelme	k ɛ ɟ ɛ l m ɛ
kegyelmek	k ɛ ɟ ɛ l m ɛ k
kegyenc	k ɛ ɟ ɛ n t͡s
kegyencek	k ɛ ɟ ɛ n t͡s ɛ k
kegyes	k ɛ ɟ ɛ ʃ
kegyesebb	k ɛ ɟ ɛ ʃ ɛ bː
kegyetlen	k ɛ ɟ ɛ t l ɛ n
kegyetlenebb	k ɛ ɟ ɛ t l ɛ n ɛ bː
kegyetlenség	k ɛ ɟ ɛ t l ɛ n ʃ eː ɡ
kegyetlenségek	k ɛ ɟ ɛ t l ɛ n ʃ eː ɡ ɛ k
kegyetlenségű	k ɛ ɟ ɛ t l ɛ n ʃ eː ɡ yː
kegyetlenül	k ɛ ɟ ɛ t l ɛ n y l
kehely	k ɛ h ɛ j
keksz	k ɛ k s
keksze	k ɛ k s ɛ
kekszed	k ɛ k s ɛ d
kekszei	k ɛ k s ɛ j i
kekszeid	k ɛ k s ɛ j i d
kekszeik	k ɛ k s ɛ j i k
kekszeim	k ɛ k s ɛ j i m
kekszeink	k ɛ k s ɛ j i ŋ k
kekszeitek	k ɛ k s ɛ j i t ɛ k
kekszek	k ɛ k s ɛ k
kekszem	k ɛ k s ɛ m
kekszetek	k ɛ k s ɛ t ɛ k
kekszük	k ɛ k s y k
kekszünk	k ɛ k s y ŋ k
kel	k ɛ l
kelbimbó	k ɛ l b i m b oː
kelbimbók	k ɛ l b i m b oː k
kelek	k ɛ l ɛ k
kelemen	k ɛ l ɛ m ɛ n
kelenföld	k ɛ l ɛ ɱ f ø l d
kelep	k ɛ l ɛ p
kelepce	k ɛ l ɛ p t͡s ɛ
kelepel	k ɛ l ɛ p ɛ l
kelet	k ɛ l ɛ t
keletek	k ɛ l ɛ t ɛ k
keleti	k ɛ l ɛ t i
keletibb	k ɛ l ɛ t i bː
keletkezik	k ɛ l ɛ t k ɛ z i k
keletkutatás	k ɛ l ɛ t k u t ɒ t aː ʃ
keletre	k ɛ l ɛ t r ɛ
kelhet	k ɛ l ɦ ɛ t
kelj	k ɛ jː
keljek	k ɛ jː ɛ k
keljen	k ɛ jː ɛ n
keljenek	k ɛ jː ɛ n ɛ k
keljetek	k ɛ jː ɛ t ɛ k
keljél	k ɛ jː eː l
keljünk	k ɛ jː y ŋ k
kelkáposzta	k ɛ l k aː p o s t ɒ
kelkáposzták	k ɛ l k aː p o s t aː k
kell	k ɛ lː
kellek	k ɛ lː ɛ k
kellem	k ɛ lː ɛ m
kellemes	k ɛ lː ɛ m ɛ ʃ
kellemesebb	k ɛ lː ɛ m ɛ ʃ ɛ bː
kellemesen	k ɛ lː ɛ m ɛ ʃ ɛ n
kellemesség	k ɛ lː ɛ m ɛ ʃː eː ɡ
kellemességek	k ɛ lː ɛ m ɛ ʃː eː ɡ ɛ k
kellemetlen	k ɛ lː ɛ m ɛ t l ɛ n
kellemetlenebb	k ɛ lː ɛ m ɛ t l ɛ n ɛ bː
kellemetlenség	k ɛ lː ɛ m ɛ t l ɛ n ʃ eː ɡ
kellemetlenségek	k ɛ lː ɛ m ɛ t l ɛ n ʃ eː ɡ ɛ k
kellene	k ɛ lː ɛ n ɛ
kellened	k ɛ lː ɛ n ɛ d
kellenek	k ɛ lː ɛ n ɛ k
kellenem	k ɛ lː ɛ n ɛ m
kellenetek	k ɛ lː ɛ n ɛ t ɛ k
kelleni	k ɛ lː ɛ n i
kellenie	k ɛ lː ɛ n i j ɛ
kelleniük	k ɛ lː ɛ n i j y k
kellenék	k ɛ lː ɛ n eː k
kellenél	k ɛ lː ɛ n eː l
kellenének	k ɛ lː ɛ n eː n ɛ k
kellenénk	k ɛ lː ɛ n eː ŋ k
kellenétek	k ɛ lː ɛ n eː t ɛ k
kellenünk	k ɛ lː ɛ n y ŋ k
kellesd	k ɛ lː ɛ ʒ d
kelless	k ɛ lː ɛ ʃː
kellesse	k ɛ lː ɛ ʃː ɛ
kellessed	k ɛ lː ɛ ʃː ɛ d
kellessek	k ɛ lː ɛ ʃː ɛ k
kellessem	k ɛ lː ɛ ʃː ɛ m
kellessen	k ɛ lː ɛ ʃː ɛ n
kellessenek	k ɛ lː ɛ ʃː ɛ n ɛ k
kellessetek	k ɛ lː ɛ ʃː ɛ t ɛ k
kellessék	k ɛ lː ɛ ʃː eː k
kellessél	k ɛ lː ɛ ʃː eː l
kellessétek	k ɛ lː ɛ ʃː eː t ɛ k
kellessük	k ɛ lː ɛ ʃː y k
kellessünk	k ɛ lː ɛ ʃː y ŋ k
kellesz	k ɛ lː ɛ s
kellet	k ɛ lː ɛ t
kelleted	k ɛ lː ɛ t ɛ d
kelletek	k ɛ lː ɛ t ɛ k
kelletem	k ɛ lː ɛ t ɛ m
kelletett	k ɛ lː ɛ t ɛ tː
kelleti	k ɛ lː ɛ t i
kelletik	k ɛ lː ɛ t i k
kelletitek	k ɛ lː ɛ t i t ɛ k
kelletjük	k ɛ lː ɛ cː y k
kelletlen	k ɛ lː ɛ t l ɛ n
kelletlenkedik	k ɛ lː ɛ t l ɛ ŋ k ɛ d i k
kelletlenkedés	k ɛ lː ɛ t l ɛ ŋ k ɛ d eː ʃ
kelletlenkedések	k ɛ lː ɛ t l ɛ ŋ k ɛ d eː ʃ ɛ k
kelletlenség	k ɛ lː ɛ t l ɛ n ʃ eː ɡ
kelletlenségek	k ɛ lː ɛ t l ɛ n ʃ eː ɡ ɛ k
kelletlenül	k ɛ lː ɛ t l ɛ n y l
kelletne	k ɛ lː ɛ t n ɛ
kelletned	k ɛ lː ɛ t n ɛ d
kelletnek	k ɛ lː ɛ t n ɛ k
kelletnem	k ɛ lː ɛ t n ɛ m
kelletnetek	k ɛ lː ɛ t n ɛ t ɛ k
kelletni	k ɛ lː ɛ t n i
kelletnie	k ɛ lː ɛ t n i j ɛ
kelletniük	k ɛ lː ɛ t n i j y k
kelletné	k ɛ lː ɛ t n eː
kelletnéd	k ɛ lː ɛ t n eː d
kelletnék	k ɛ lː ɛ t n eː k
kelletnél	k ɛ lː ɛ t n eː l
kelletném	k ɛ lː ɛ t n eː m
kelletnének	k ɛ lː ɛ t n eː n ɛ k
kelletnénk	k ɛ lː ɛ t n eː ŋ k
kelletnétek	k ɛ lː ɛ t n eː t ɛ k
kelletnünk	k ɛ lː ɛ t n y ŋ k
kelletsz	k ɛ lː ɛ t͡sː
kellett	k ɛ lː ɛ tː
kellette	k ɛ lː ɛ tː ɛ
kelletted	k ɛ lː ɛ tː ɛ d
kellettek	k ɛ lː ɛ tː ɛ k
kellettem	k ɛ lː ɛ tː ɛ m
kellettetek	k ɛ lː ɛ tː ɛ t ɛ k
kellették	k ɛ lː ɛ tː eː k
kellettél	k ɛ lː ɛ tː eː l
kellettétek	k ɛ lː ɛ tː eː t ɛ k
kellettük	k ɛ lː ɛ tː y k
kellettünk	k ɛ lː ɛ tː y ŋ k
kelletve	k ɛ lː ɛ t v ɛ
kelletünk	k ɛ lː ɛ t y ŋ k
kellhet	k ɛ l ɦ ɛ t
kellj	k ɛ jː
kelljek	k ɛ jː ɛ k
kelljen	k ɛ jː ɛ n
kelljenek	k ɛ jː ɛ n ɛ k
kelljetek	k ɛ jː ɛ t ɛ k
kelljél	k ɛ jː eː l
kelljünk	k ɛ jː y ŋ k
kellve	k ɛ l v ɛ
kellék	k ɛ lː eː k
kellékek	k ɛ lː eː k ɛ k
kellünk	k ɛ lː y ŋ k
kellő	k ɛ lː øː
kellőbb	k ɛ lː øː bː
kellően	k ɛ lː øː ɛ n
kellőképp	k ɛ lː øː k eː pː
kellőképpen	k ɛ lː øː k eː pː ɛ n
kellős	k ɛ lː øː ʃ
kelme	k ɛ l m ɛ
kelmefestő	k ɛ l m ɛ f ɛ ʃ t øː
kelmefestők	k ɛ l m ɛ f ɛ ʃ t øː k
kelmék	k ɛ l m eː k
kelsz	k ɛ l s
kelt	k ɛ l t
kelta	k ɛ l t ɒ
kelte	k ɛ l t ɛ
kelted	k ɛ l t ɛ d
keltek	k ɛ l t ɛ k
keltem	k ɛ l t ɛ m
keltenek	k ɛ l t ɛ n ɛ k
keltesz	k ɛ l t ɛ s
keltetek	k ɛ l t ɛ t ɛ k
kelthet	k ɛ l t h ɛ t
kelti	k ɛ l t i
keltik	k ɛ l t i k
keltitek	k ɛ l t i t ɛ k
keltjük	k ɛ l c y k
kelts	k ɛ l t͡ʃ
keltsd	k ɛ l d͡ʒ d
keltünk	k ɛ l t y ŋ k
keltő	k ɛ l t øː
kelvin	k ɛ l v i n
kelvirág	k ɛ l v i r aː ɡ
kelvirágok	k ɛ l v i r aː ɡ o k
kelyhek	k ɛ j h ɛ k
kelő	k ɛ l øː
kelők	k ɛ l øː k
kemence	k ɛ m ɛ n t͡s ɛ
kemencék	k ɛ m ɛ n t͡s eː k
kemoterápia	k ɛ m o t ɛ r aː p i j ɒ
kemping	k ɛ m p i ŋ ɡ
kempingszék	k ɛ m p i ŋ k s eː k
kempingszékek	k ɛ m p i ŋ k s eː k ɛ k
kemény	k ɛ m eː ɲ
keményebb	k ɛ m eː ɲ ɛ bː
keményedik	k ɛ m eː ɲ ɛ d i k
keményedő	k ɛ m eː ɲ ɛ d øː
kemények	k ɛ m eː ɲ ɛ k
keményen	k ɛ m eː ɲ ɛ n
keményfa	k ɛ m eː ɲ f ɒ
keményfák	k ɛ m eː ɲ f aː k
keménykalap	k ɛ m eː ɲ k ɒ l ɒ p
keménykalapok	k ɛ m eː ɲ k ɒ l ɒ p o k
keményszik	k ɛ m eː ɲ s i k
keményszívű	k ɛ m eː ɲ s iː v yː
keménység	k ɛ m eː ɲ ʃ eː ɡ
keménytojás	k ɛ m eː ɲ t o j aː ʃ
keménytojások	k ɛ m eː ɲ t o j aː ʃ o k
keményítő	k ɛ m eː ɲ iː t øː
keményítők	k ɛ m eː ɲ iː t øː k
keményítőtartalom	k ɛ m eː ɲ iː t øː t ɒ r t ɒ l o m
ken	k ɛ n
kend	k ɛ n d
kender	k ɛ n d ɛ r
kenderek	k ɛ n d ɛ r ɛ k
kenderesi	k ɛ n d ɛ r ɛ ʃ i
kenderike	k ɛ n d ɛ r i k ɛ
kenderikék	k ɛ n d ɛ r i k eː k
kenderikét	k ɛ n d ɛ r i k eː t
kendő	k ɛ n d øː
kendők	k ɛ n d øː k
kendős	k ɛ n d øː ʃ
kendőz	k ɛ n d øː z
kened	k ɛ n ɛ d
kenek	k ɛ n ɛ k
kenem	k ɛ n ɛ m
kenguru	k ɛ ŋ ɡ u r u
kenguruk	k ɛ ŋ ɡ u r u k
kengyel	k ɛ ɲ ɟ ɛ l
kengyelek	k ɛ ɲ ɟ ɛ l ɛ k
kenhet	k ɛ n ɦ ɛ t
keni	k ɛ n i
kenj	k ɛ ɲː
kenne	k ɛ nː ɛ
kenotáfium	k ɛ n o t aː f i j u m
kensz	k ɛ n s
kent	k ɛ n t
kentaur	k ɛ n t ɒ u r
kentaurok	k ɛ n t ɒ u r o k
kente	k ɛ n t ɛ
kented	k ɛ n t ɛ d
kentem	k ɛ n t ɛ m
kentum	k ɛ n t u m
kenu	k ɛ n u
kenuk	k ɛ n u k
kenya	k ɛ ɲ ɒ
kenyere	k ɛ ɲ ɛ r ɛ
kenyerek	k ɛ ɲ ɛ r ɛ k
kenyeret	k ɛ ɲ ɛ r ɛ t
