က	k a̰
ဘကုန်း	b a̰ k ó ʊ ɴ
ဘက္ကဒီးအစ်	b ɛ ʔ k ə d í ʔ ɪ ʔ
ဘက်	b ɛ ʔ
ဘက်ထရီ	b ɛ ʔ tʰ a̰ ɹ ì
ဘကြီး	b a̰ d͡ʑ í
ဘဂ္ဂဒက်	b à ɡ ɡ ə d ɛ ʔ
ဘင်	b ɪ̀ ɴ
ဘင်နာ	b ɪ̀ ɴ n à
ဘင်း	b ɪ́ ɴ
ဘင်္ဂလားဒေ့ရှ်	b ɪ̀ ɴ l á d ḛ ʃ
ဘင်္ဂါလီ	b ɪ̀ ɴ ɡ à l ì
ဘဏ္ဍာ	b à n d à
ဘဏ္ဍာနှစ်	b à ɴ d à n̥ ɪ ʔ
ဘဏ္ဍာရေး	b à n d à j é
ဘဏ်	b à ɴ
ဘဏ်တိုက်	b à ɴ d a ɪ ʔ
ဘတ်	b a ʔ
ဘတ်	pʰ a ʔ
ဘတ်ဂျက်	b a ʔ d͡ʑ ɛ ʔ
ဘတ်စ်ကား	b a ʔ s ə k á
ဘတ်သီး	b a ʔ θ í
ဘထွေး	b a̰ tʰ w é
ဘဒ္ဒန္တ	b a ʔ d à ɴ t a̰
ဘန့်ပွေး	b a̰ ɴ b w é
ဘန်ကောက်	b à ɴ k a ʊ ʔ
ဘန်ပါ	b à ɴ b à
ဘန်း	b á ɴ
ဘမ်းပရုတ်ဆီ	b á ɴ p ə j o ʊ ʔ sʰ ì
ဘယက်	b ə j ɛ ʔ
ဘယာ	b ə j à
ဘယ်	b ɛ̀
ဘယ်တုန်းက	b ɛ̀ d ó ʊ ɴ ɡ a̰
ဘယ်တော့	b ɛ̀ d ɔ̰
ဘယ်တော့မှ	b ɛ̀ d ə m a̰
ဘယ်နှ	b ɛ̀ n̥ a̰
ဘယ်နှစ်	b ɛ̀ n̥ ə
ဘယ်မှ	b ɛ̀ m̥ a̰
ဘယ်ရီလီယမ်	b ɛ̀ ɹ ì l ì j à ɴ
ဘယ်လို	b ɛ̀ l ò
ဘယ်လောက်	b ɛ̀ l a ʊ ʔ
ဘယ်လ်ဂျီယမ်	b ɛ̀ l d͡ʑ ì j à ɴ
ဘယ်သူ	b ə θ ù
ဘယ်သူ့	b ə θ ṵ
ဘရင်ဂျီ	b ə j ɪ̀ ɴ d͡ʑ ì
ဘရဏီ	b a̰ j ə n ì
ဘရပ်ဆဲလ်	b ə ɹ a ʔ sʰ ɛ́ l
ဘရာစီယာ	b ə ɹ à s ì j à
ဘရာဇီး	b ə ɹ à z í
ဘရာတစ်လာဗာ	b ə ɹ à t ɪ ʔ l à b à
ဘရိတ်	b ə ɹ e ɪ ʔ
ဘရူနိုင်း	b ə ɹ ù n á ɪ ɴ
ဘလိဇ်	b ə l ì z
ဘလောက်	b a̰ l a ʊ ʔ
ဘလော့ဂ်	b ə l o ʊ ʔ
ဘလေး	b a̰ l é
ဘဝ	b ə w a̰
ဘဝရှင်	b ə w a̰ ʃ ɪ̀ ɴ
ဘဝဲ	b ə w ɛ́
ဘဟားမား	b a̰ h á m á
ဘာ	b à
ဘာကီးနားဖားဆို	b à k í n á pʰ á sʰ ò
ဘာရိန်း	b à ɹ é ɪ ɴ
ဘာလင်	b à l ɪ̀ ɴ
ဘာလိ	b à l ḭ
ဘာသန္တရ	b à ð à ɴ d ə ɹ a̰
ဘာသာ	b à ð à
ဘာသာခြား	b à ð à d͡ʑ á
ဘာသာစကား	b à θ à z ə ɡ á
ဘာသာပြန်	b à ð à p j à ɴ
ဘာသာဗေဒ	b à θ à b è d a̰
ဘား	b á
ဘား	pʰ á
ဘိက္ခု	b e ɪ ʔ kʰ ṵ
ဘိက္ခုနီ	b ì k kʰ ṵ n ì
ဘိန်း	b é ɪ ɴ
ဘိန်းစစ်ပွဲ	b é ɪ ɴ s ɪ ʔ p w ɛ́
ဘိန်းစား	b é ɪ ɴ z á
ဘိန်းမုန့်	b é ɪ ɴ m o̰ ʊ ɴ
ဘိဘိသန	b ḭ b ḭ θ ə n a̰
ဘိလပ်	b ḭ l a ʔ
ဘိလပ်မြေ	b ḭ l a ʔ m j è
ဘိလပ်ရည်	b ḭ l a ʔ j è
ဘိသိက်	b e ɪ ʔ θ e ɪ ʔ
ဘိုကလေး	b ò ɡ ə l é
ဘိုက်	b a ɪ ʔ
ဘိုင်စကယ်	b à ɪ ɴ s ə k ɛ̀
ဘိုင်စကုတ်	b à ɪ ɴ s ə k o ʊ ʔ
ဘိုရွန်	b ò ɹ ʊ̀ ɴ
ဘိုလီးဗီးယား	b ò l í b í j á
ဘိုး	b ó
ဘိုးဘိုး	pʰ ó pʰ ó
ဘီ	b ì
ဘီစကွတ်	b ì s ə k ʊ ʔ
ဘီဒီ	b ì d ì
ဘီနင်	b ì n ɪ̀ ɴ
ဘီယာ	b ì j à
ဘီရှကက်	b ì ʃ ə k ɛ ʔ
ဘီလာရုဇ်	b ì l à ɹ ù z
ဘီလီယံ	b ì l ì j à ɴ
ဘီလူး	b ə l ú
ဘီး	b é ɪ ɴ
ဘီး	b í
ဘီးကြယ်	b í t͡ɕ ɛ̀
ဘု	b ṵ
ဘုဉ်းပေး	b ó ʊ ɴ p é
ဘုတ်	b o ʊ ʔ
ဘုန်း	pʰ ó ʊ ɴ
ဘုန်းကြီး	pʰ ó ʊ ɴ d͡ʑ í
ဘုန်းကြီးကျောင်း	pʰ ó ʊ ɴ d͡ʑ í t͡ɕ á ʊ ɴ
ဘုန်းကြီးပျံ	pʰ ó ʊ ɴ d͡ʑ í b j à ɴ
ဘုန်းတော်ကြီးဘုရား	pʰ ó ʊ ɴ d ɔ̀ d͡ʑ í pʰ ə j á
ဘုန်းဘုန်း	pʰ ó ʊ ɴ pʰ ó ʊ ɴ
ဘုမ္မစိုး	b ò ʊ ɴ m ə z ó
ဘုရင်	b ə j ɪ̀ ɴ
ဘုရင်ခံ	b a̰ j ɪ̀ ɴ ɡ à ɴ
ဘုရင်မ	b a̰ j ɪ̀ ɴ m a̰
ဘုရင်မင်းမြတ်	b ə j ɪ̀ ɴ m ɪ́ ɴ m j a ʔ
ဘုရား	pʰ ə j á
ဘုရားကိုးဆူ	pʰ ə j á k ó sʰ ù
ဘုရားကျောင်း	pʰ ə j á d͡ʑ á ʊ ɴ
ဘုရားရှိခိုးကျောင်း	pʰ ə j á ʃ ḭ kʰ ó d͡ʑ á ʊ ɴ
ဘုရားလောင်း	pʰ ə j á l á ʊ ɴ
ဘုရားအလောင်း	pʰ ə j á ʔ ə l á ʊ ɴ
ဘုံကျောင်း	b ò ʊ ɴ d͡ʑ á ʊ ɴ
ဘုံပိုင်	b ò ʊ ɴ b à ɪ ɴ
ဘူ	b ù
ဘူဂေးရီးယား	b ù ɡ é ɹ í j á
ဘူတန်	b ù t à ɴ
ဘူတာ	b ù d à
ဘူတာရုံ	b ù d à j ò ʊ ɴ
ဘူမိဗေဒ	b ù m ḭ b è d a̰
ဘူမိရူပဗေဒ	b ù m ḭ j ù p a̰ b è d a̰
ဘူရွန်ဒီ	b ù ɹ ʊ̀ ɴ d ì
ဘူး	b ú
ဘူးဆို့	b ú z o̰
ဘူးသီး	b ú θ í
ဘူးသီးတောင်	b ú ð í d à ʊ ɴ
ဘေရွတ်	b è ɹ ʊ ʔ
ဘော	b ɔ́
ဘောက်ဆူး	b a ʊ ʔ sʰ ú
ဘောဂဗေဒ	b ɔ́ ɡ a̰ t a̰ b è d a̰
ဘောင်းဘီ	b á ʊ ɴ b ì
ဘောပင်	b ɔ́ p ɪ̀ ɴ
ဘောပြား	b ɔ́ p j á
ဘောပွဲ	b ɔ́ p w ɛ́
ဘောမ	b ɔ́ m a̰
ဘောလုံး	b ɔ́ l ó ʊ ɴ
ဘော့ဆွာနာ	b ɔ̰ sʰ w à n à
ဘော်ဒါ	b ɔ̀ d à
ဘော်ဒါကြေး	b ɔ̀ d à t͡ɕ é
ဘော်လီဘော	b ɔ̀ l ì b ɔ́
ဘေ့စ်ဘော	b ḛ s b ɔ́
ဘေး	b é
ဘေးဆိုး	b é z ó
ဘေးဆီးရန်ကာ	b é z í j à ɴ ɡ à
ဘေးဘယာ	b é b ə j à
ဘဲ	b ɛ́
ဘဲလေး	b ɛ́ l é
ဘဲလ်ဂရိတ်	b ɛ́ l ɡ ə ɹ e ɪ ʔ
ဘဲ့	b ɛ̰
ဘွား	b w á
ဘွားဘွား	pʰ w á pʰ w á
ဘွိုင်လာ	b w à ɪ ɴ l à
ဘွဲ့	b w ɛ̰
ဘွဲ့ချဉ်	b w ɛ̰ d͡ʑ ɪ̀ ɴ
မ	m a̰
မ	m ə
မကန်း	m ə ɡ á ɴ
မကရ	m ə k ə ɹ a̰
မကိုဋ်	m ə ɡ a ɪ ʔ
မကုဋ	m ə k ṵ t a̰
မကောင်းမှု	m ə k á ʊ ɴ m̥ ṵ
မက္ကဆီကို	m ɛ ʔ k ə sʰ ì k ò
မက်	m ɛ ʔ
မက်စီဒိုးနီးယား	m ɛ ʔ s ì d ó n í j á
မက်မန်း	m ɛ ʔ m á ɴ
မက်မွန်	m ɛ ʔ m ʊ̀ ɴ
မကြာမတင်	m ə t͡ɕ à m ə t ɪ̀ ɴ
မကွေး	m ə ɡ w é
မချစ်စု	m a̰ t͡ɕʰ ɪ ʔ s ṵ
မဂဓ	m ə ɡ ə d a̰
မဂ္ဂင်ရှစ်ပါး	m ɛ ʔ ɡ ɪ̀ ɴ ʃ ɪ ʔ b á
မဂ္ဂဇင်း	m ɛ ʔ ɡ a̰ z ɪ̀ ɴ
မင့်စ်	m ɪ̰ ɴ s
မင်	m̥ ɪ̀ ɴ
မင်း	m ɪ́ ɴ
မင်းကြီး	m ɪ́ ɴ d͡ʑ í
မင်းကွတ်	m ɪ́ ɴ ɡ ʊ ʔ
မင်းဆက်	m ɪ́ ɴ z ɛ ʔ
မင်းတရား	m ɪ́ ɴ t ə j á
မင်းတရားကြီး	m ɪ́ ɴ t ə j á d͡ʑ í
မင်းဘူး	m ɪ́ ɴ b ú
မင်းမဲ့စရိုက်	m ɪ́ ɴ m ɛ̰ z ə j a ɪ ʔ
မင်းမြောက်တန်ဆာ	m ɪ́ ɴ m j a ʊ ʔ d ə z à
မင်းရဲကျော်ထင်	m ɪ́ ɴ j ɛ́ t͡ɕ ɔ̀ tʰ ɪ̀ ɴ
မင်းသမီး	m ɪ́ ɴ ð ə m í
မင်းသား	m ɪ́ ɴ ð á
မင်္ဂလ	m ɪ̀ ɴ ɡ ə l a̰
မင်္ဂလဘုရား	m ɪ̀ ɴ ɡ ə l a̰ pʰ ə j á
မင်္ဂလသုတ်	m ɪ̀ ɴ ɡ ə l a̰ θ o ʊ ʔ
မင်္ဂလာ	m ɪ̀ ɴ ɡ ə l à
မင်္ဂလာဆောင်	m ɪ̀ ɴ ɡ ə l à sʰ à ʊ ɴ
မင်္ဂလာပါ	m ɪ̀ ɴ ɡ ə l à b à
မစင်	m a̰ s ɪ̀ ɴ
မစင်စွန့်	m ə s ɪ̀ ɴ s ʊ̰ ɴ
မဆလာ	m a̰ sʰ ə l à
မဇ္ဈဒေသ	m ɪ ʔ z a̰ d è θ a̰
မဉ္ဇူ	m j ɪ̀ ɴ z ù
မည်	m j ì
မည်စည်	m ɛ̀ z ɛ̀
မည်သည်	m ì ð ì
မည်သူ	m ì ð ù
မည်း	m ɛ́
မဏိ	m ə n ḭ
မဏိတော်	m ə n ḭ d ɔ̀
မဏိပူရ	m ə n ḭ p ù ɹ a̰
မဏိမေခလာ	m ə n ḭ m è kʰ ə l à
မဏိဩဂ	m ə n ḭ ʔ ɔ́ ɡ a̰
မဏ္ဍပ်	m á ɴ d a ʔ
မဏ္ဍိုင်	m à ɴ d à ɪ ɴ
မတကဘတ်	m ə t ə k a̰ b a ʔ
မတော်တဆ	m ə t ɔ̀ t ə sʰ a̰
မတော်တဆမှု	m ə t ɔ̀ t ə sʰ a̰ m̥ ṵ
မတ်	m a ʔ
မတ်ခွက်	m a ʔ kʰ w ɛ ʔ
မတ်စကတ်	m a ʔ s ə k a ʔ
မတ်စေ့	m a ʔ s ḭ
မတ်ပဲ	m a ʔ p ɛ́
မတ်မတ်	m a ʔ m a ʔ
မထော်မနန်း	m a̰ tʰ ɔ̀ m a̰ n á ɴ
မဒရစ်	m a̰ d ə ɹ ɪ ʔ
မဒါဂတ်စကား	m a̰ d à ɡ a ʔ s ə k á
မနက်	m ə n ɛ ʔ
မနက်ဖြန်	m ə n ɛ ʔ pʰ j à ɴ
မနီလာ	m a̰ n ì l à
မနုပ်တာနီ	m ə n o ʊ ʔ t à n ì
မနုဿ	m a̰ n o ʊ ʔ θ a̰
မနုဿဗေဒ	m ə n o ʊ ʔ θ a̰ b è d a̰
မနုဿီဟ	m ə n o ʊ ʔ θ ì h a̰
မနော	m ə n ɔ́
မနောကံ	m ə n ɔ́ ɡ à ɴ
မနေ့က	m ə n ḛ ɡ a̰
မန္တန်	m à ɴ d à ɴ
မန္တလေး	m à ɴ d ə l é
မန်ကျည်း	m ə d͡ʑ í
မန်နေဂျာ	m à ɴ n è d͡ʑ à
မန်း	m á ɴ
မနှစ်	m ə n̥ ɪ ʔ
မမ	m a̰ m a̰
မယား	m ə j á
မယ်	m ɛ̀
မယ်ဇယ်	m ɛ̀ z ɛ̀
မယ်ဇလီ	m ɛ̀ z ə l ì
မယ်တော်	m ɛ̀ d ɔ̀
မယ်သီတာ	m ɛ̀ θ ì d à
မယ်သီလ	m ɛ̀ ð ì l a̰
မရဏ	m ə ɹ ə n a̰
မရန်း	m ə j á ɴ
မရမန်	m ə ɹ ə m à ɴ
မရမာ	m ə ɹ ə m à
မရမာကြီး	m ə ɹ ə m à d͡ʑ í
မရီး	m ə j í
မရွေး	m ə j w é
မလိုင်	m a̰ l à ɪ ɴ
မလိုင်လုံး	m ə l à ɪ ɴ l ó ʊ ɴ
မလုပ်တာနီ	m ə l o ʊ ʔ t à n ì
မလေး	m ə l é
မလေးရှား	m ə l é ʃ á
မလ္လိကာ	m à ɴ l ḭ k à
မသာ	m ə θ à
မသိပါဘူး	m a̰ θ ḭ b à b ú
မသိဘူး	m a̰ θ ḭ b ú
မဟာ	m a̰ h à
မဟာကစ္စည်း	m ə h à k ɪ ʔ s í
မဟာကထာန	m ə h à k ə tʰ à n a̰
မဟာကဿပ	m ə h à k a ʔ θ ə p a̰
မဟာဂီတ	m ə h à ɡ ì t a̰
မဟာဇနပဒ	m ə h à z ə n a̰ p ə d a̰
မဟာဒုတ်	m ə h à d o ʊ ʔ
မဟာဒေဝီ	m ə h à d è w ì
မဟာပညာဗလ	m ə h à p j ɪ̀ ɴ ɲ à b ə l a̰
မဟာပိန္နဲ	m ə h à p è ɪ ɴ n ɛ́
မဟာဗျူဟာ	m ə h à b j ù h à
မဟာဘာရတ	m ə h à b à ɹ ə t a̰
မဟာဘုတ်	m ə h à b o ʊ ʔ
မဟာဘွဲ့	m ə h à b w ɛ̰
မဟာမင်းကြီး	m ə h à m ɪ́ ɴ d͡ʑ í
မဟာမိတ်	m ə h à m e ɪ ʔ
မဟာမောဂ္ဂလာန်	m ə h à m a ʊ ʔ ɡ ə l à ɴ
မဟာယာန	m ə h à j à n a̰
မဟာရဋ္ဌ	m ə h à j ə tʰ a̰
မဟာလတာ	m ə h à l ə t à
မဟာဝင်	m ə h à w ɪ̀ ɴ
မဟာဝိဇ္ဇာဘွဲ့	m ə h à w e ɪ ʔ z à b w ɛ̰
မဟာသာဝက	m ə h à θ à w ə k a̰
မဟာသိပ္ပံဘွဲ့	m ə h à θ e ɪ ʔ p à ɴ b w ɛ̰
မဟေ	m ə h è
မဟေသီ	m ə h è θ ì
မအလ	m a̰ ʔ a̰ l a̰
မအေလိုး	m ə ʔ è l ó
မာ	m à
မာကျောက်	m à t͡ɕ a ʊ ʔ
မာစကတ်	m à s ə k a ʔ
မာတာ	m à t à
မာတာပိတု	m à t à p ḭ t ṵ
မာတိကာ	m à t ḭ k à
မာနာမာ	m à n à m à
မာန်	m à n
မာန်အောင်	m à n ʔ à ʊ ɴ
မာယာ	m à j à
မာရ်	m à
မာရ်နတ်	m à n a ʔ
မာလကာ	m à l ə k à
မာလကာသီး	m à l ə k à θ í
မာလဝီ	m à l a̰ w ì
မာလာ	m à l à
မာလာဖူး	m à l à pʰ ú
မာလာရှမ်းကော	m à l à ʃ á ɴ k ɔ́
မာလာဟင်း	m à l à h ɪ́ ɴ
မာလိန်	m à l è ɪ ɴ
မာလီ	m à l ì
မာသ	m à θ a̰
မိ	m ḭ
မိကောင်းဖခင်	m ḭ ɡ á ʊ ɴ pʰ a̰ kʰ ɪ̀ ɴ
မိကျောင်း	m ḭ d͡ʑ á ʊ ɴ
မိခင်	m ḭ ɡ ɪ̀ ɴ
မိငယ်	m ḭ ŋ ɛ̀
မိစ္ဆာ	m e ɪ ʔ z à
မိညော်	m ḭ ɲ ɔ̀
မိတ္တူ	m e ɪ ʔ t ù
မိတ္ထီလာ	m e ɪ ʔ tʰ ì l à
မိတ်	m e ɪ ʔ
မိတ်ကပ်	m e ɪ ʔ k a ʔ
မိတ်ဆွေ	m e ɪ ʔ sʰ w è
မိထွေး	m ḭ d w é
မိနစ်	m ḭ n ɪ ʔ
မိန့်	m ḛ ɪ ɴ
မိန့်တော်မူ	m ḛ ɪ ɴ d ɔ̀ m ù
မိန်	m è ɪ ɴ
မိန်းကလေး	m é ɪ ɴ ɡ ə l é
မိန်းမ	m é ɪ ɴ m a̰
မိန်းမလျာ	m é ɪ ɴ m ə ʃ à
မိဖုရား	m ḭ b ə j á
မိဘ	m ḭ b a̰
မိဘပြည်သူများ	m ḭ b a̰ p j ì ð ù m j á
မိဘမဲ့	m ḭ b a̰ m ɛ̰
မိဘမဲ့ဂေဟာ	m ḭ b a̰ m ɛ̰ ɡ è h à
မိမိ	m ḭ m ḭ
မိသားစု	m ḭ ð á z ṵ
မိုက်	m a ɪ ʔ
မိုက်ကယ်	m a ɪ ʔ k ɛ̀
မိုဂါဒစ်ရှူး	m ò ɡ à d ɪ ʔ ʃ ú
မိုင်	m à ɪ ɴ
မိုင်လို	m à ɪ ɴ l ò
မိုင်း	m á ɪ ɴ
မိုဇမ်ဘစ်	m ò z à ɴ b ɪ ʔ
မိုတယ်	m ò t ɛ̀
မိုနာကို	m ò n à k ò
မိုနို	m ò n ò
မိုဘိုင်းလ်ဖုန်း	m ò b á ɪ ɴ pʰ ó ʊ ɴ
မိုး	m ó
မိုးကာအင်္ကျီ	m ó ɡ à ʔ ɪ̀ ɴ d͡ʑ ì
မိုးကုတ်	m ó ɡ o ʊ ʔ
မိုးကုပ်စက်ဝိုင်း	m ó ɡ o ʊ ʔ s ɛ ʔ w á ɪ ɴ
မိုးကြိုး	m ó d͡ʑ ó
မိုးခေါ်	m ó kʰ ɔ̀
မိုးထ	m ó tʰ a̰
မိုးရာသီ	m ó j à ð ì
မိုးလေဝသ	m ó l è w ə θ a̰
မိုးသီး	m ó ð í
မိုးသောက်	m ó θ a ʊ ʔ
မိုးသောက်ယံ	m ó θ a ʊ ʔ j à ɴ
မိဿ	m e ɪ ʔ θ a̰
မီတာ	m ì t à
မီဒီယာ	m ì d ì j à
မီနူး	m ì n ú
မီလီဂရမ်	m ì l ì ɡ ə ɹ à ɴ
မီလီမီတာ	m ì l ì m ì t à
မီလီလီတာ	m ì l ì l ì t à
မီး	m í
မီးခတ်	m í kʰ a ʔ
မီးခတ်	m í ɡ a ʔ
မီးခိုး	m í ɡ ó
မီးခိုးရောင်	m í ɡ ó j à ʊ ɴ
မီးခေါင်း	m í ɡ á ʊ ɴ
မီးခံသေတ္တာ	m í ɡ à ɴ θ ɪ ʔ t à
မီးခြစ်	m í d͡ʑ ɪ ʔ
မီးခွက်	m í ɡ w ɛ ʔ
မီးစက်	m í s ɛ ʔ
မီးတိုင်	m í d à ɪ ɴ
မီးတုတ်	m í d o ʊ ʔ
မီးတောင်	m í d à ʊ ɴ
မီးပဒေသာ	m í b ə d è θ à
မီးပန်း	m í b á ɴ
မီးပလွေ	m í p ə l w è
မီးပုံး	m í b ó ʊ ɴ
မီးပုံးပျံ	m í b ó ʊ ɴ b j à ɴ
မီးပူ	m í b ù
မီးပြတိုက်	m í b j a̰ d a ɪ ʔ
မီးပြောင်း	m í b j á ʊ ɴ
မီးပွား	m í b w á
မီးပွိုင့်	m í p w a̰ ɪ ɴ
မီးဖို	m í b ò
မီးဖို	m í pʰ ò
မီးဖိုချောင်	m í b ò d͡ʑ à ʊ ɴ
မီးဖွားခွင့်	m í pʰ w á kʰ w ɪ̰ ɴ
မီးယပ်	m í j a ʔ
မီးယပ်ပညာ	m í j a ʔ p j ɪ̀ ɴ ɲ à
မီးယပ်ရောဂါ	m í j a ʔ j ɔ́ ɡ à
မီးရထား	m í j ə tʰ á
မီးရထားတွဲ	m í j ə tʰ á d w ɛ́
မီးရှူးမီးပန်း	m í ʃ ú m í b á ɴ
မီးလင်းဖို	m í l ɪ́ ɴ b ò
မီးသင်္ဘော	m í θ ɪ̀ ɴ b ɔ́
မီးသတ်	m í θ a ʔ
မီးသတ်ကား	m í θ a ʔ k á
မီးသီး	m í θ í
မီးသုံးပါး	m í θ ó ʊ ɴ b á
မီးသွေး	m í ð w é
မီးအိမ်	m í ʔ è ɪ ɴ
မုခ်	m o ʊ ʔ
မုချ	m o ʊ ʔ t͡ɕʰ a̰
မုစလိန္ဒ	m ṵ s ə l è ɪ ɴ d a̰
မုဆိုး	m o ʊ ʔ sʰ ò
မုဆိုးဖို	m ṵ sʰ ó b ò
မုဆိုးမ	m ṵ sʰ ó m a̰
မုတ္ထမ	m o ʊ ʔ t ə m a̰
မုတ်ခွံ	m o ʊ ʔ kʰ ʊ̀ ɴ
မုတ်ဆိတ်	m o ʊ ʔ sʰ e ɪ ʔ
မုဒိမ်း	m ə d é ɪ ɴ
မုဒိမ်း	m ṵ d é ɪ ɴ
မုဒ္ဓဇ	m ù d d ə z a̰
မုဒြာ	m ṵ d ɹ à
မုနိ	m ṵ n ḭ
မုန့်	m o̰ ʊ ɴ
မုန့်ကျွဲသည်း	m o̰ ʊ ɴ t͡ɕ w ɛ́ ð ɛ́
မုန့်ကြာခွက်	m o̰ ʊ ɴ t͡ɕ à ɡ w ɛ ʔ
မုန့်ကွမ်းယာ	m o̰ ʊ ɴ k ʊ́ ɴ j à
မုန့်ခဲဘွယ်	m o̰ ʊ ɴ kʰ ɛ́ b w ɛ̀
မုန့်စကြာ	m o̰ ʊ ɴ s ɛ ʔ t͡ɕ à
မုန့်စလင်းထောင်	m o̰ ʊ ɴ s ə l ɪ́ ɴ d à ʊ ɴ
မုန့်ညက်	m o̰ ʊ ɴ ɲ ɛ ʔ
မုန့်တိုဇံ	m o̰ ʊ ɴ t ò z à ɴ
မုန့်တီ	m o̰ ʊ ɴ t ì
မုန့်ဖော်ခွက်	m o̰ ʊ ɴ pʰ ɔ̀ ɡ w ɛ ʔ
မုန့်လက်ကောက်	m o̰ ʊ ɴ l ɛ ʔ k a ʊ ʔ
မုန့်လက်ဆောင်း	m o̰ ʊ ɴ l ɛ ʔ sʰ á ʊ ɴ
မုန့်လင်မယား	m o̰ ʊ ɴ l ɪ̀ ɴ m ə j á
မုန့်လုံးရေပေါ်	m o̰ ʊ ɴ l ó ʊ ɴ j è b ɔ̀
မုန့်ဟင်းခါး	m o̰ ʊ ɴ h ɪ́ ɴ ɡ á
မုန့်အုပ်ကလေး	m o̰ ʊ ɴ ʔ o ʊ ʔ ɡ ə l é
မုန့်ဦးနှောက်	m o̰ ʊ ɴ ʔ ó ʊ ɴ ð í
မုန်ညင်း	m ò ʊ ɴ ɲ ɪ́ ɴ
မုန်ညင်းဆီ	m ò ʊ ɴ ɲ ɪ́ ɴ sʰ ì
မုန်ညင်းဖြူ	m ò ʊ ɴ ɲ ɪ́ ɴ pʰ j ù
မုန်ညှင်းဖြူ	m ò ʊ ɴ ɲ̊ ɪ́ ɴ b j ù
မုန်တိုင်း	m̥ ò ʊ ɴ d á ɪ ɴ
မုန်လာ	m ò ʊ ɴ l à
မုန်လာခဲ	m ò ʊ ɴ l à kʰ ɛ́
မုန်လာထုပ်	m ò ʊ ɴ l à d o ʊ ʔ
မုန်လာဥ	m ò ʊ ɴ l à ʔ ṵ
မုန်လာဥနီ	m ò ʊ ɴ l à ʔ ṵ n ì
မုန်လာဥဝါ	m ò ʊ ɴ l à ʔ ṵ w à
မုန်း	m ó ʊ ɴ
မုရား	m ə j á
မုသား	m ṵ ð á
မုံ	m ò ʊ ɴ
မုံရွာ	m ò ʊ ɴ j w à
မူကြို	m ù d͡ʑ ò
မူကြိုကျောင်း	m ù d͡ʑ ò d͡ʑ á ʊ ɴ
မူလ	m ù l a̰
မူလတန်း	m ù l a̰ t á ɴ
မူလတန်းကြိုကျောင်း	m ù l a̰ d á ɴ d͡ʑ ò d͡ʑ á ʊ ɴ
မူလဘာသာ	m ù l a̰ b à θ à
မူလီ	m ù l ì
မူး	m ú
မေ	m è
မေကြီး	m è d͡ʑ í
မေဃာလယ	m è ɡ à l ə j a̰
မေတ္တာ	m j ɪ ʔ t à
မေတ္တေယျ	m j ɪ ʔ t è j a̰
မေထုန်	m è tʰ ò ʊ ɴ
မေဓင်္ကရာ	m è d ɪ̀ ɴ k ə ɹ à
မေဓင်္ကရာဘုရား	m è d ɪ̀ ɴ k ə ɹ à pʰ ə j á
မေမေ	m è m è
မော	m ɔ́
မောက်ချ	m a ʊ ʔ t͡ɕʰ a̰
မောက်ချိုက်	m a ʊ ʔ t͡ɕʰ a ɪ ʔ
မောင်	m à ʊ ɴ
မောင်တော	m à ʊ ɴ t ɔ́
မောင်နှမ	m à ʊ ɴ n̥ ə m a̰
မောင်မခေါ်ပဲ	m à ʊ ɴ m ə kʰ ɔ̀ p ɛ́
မောင်မယ်	m à ʊ ɴ m ɛ̀
မောင်မယ်သစ်လွင်	m à ʊ ɴ m ɛ̀ θ ɪ ʔ l w ɪ̀ ɴ
မောင်း	m á ʊ ɴ
မောင်းမမိဿံ	m á ʊ ɴ m a̰ m e ɪ ʔ θ à ɴ
မောရစ်ရှ	m ɔ́ ɹ ɪ ʔ ʃ a̰
မော်စကို	m ɔ̀ s ə k ò
မော်ဇာ	m ɔ̀ z à
မော်တော်	m ɔ̀ t ɔ̀
မော်တော်ကား	m ɔ̀ t ɔ̀ k á
မော်တော်ဆိုင်ကယ်	m ɔ̀ t ɔ̀ sʰ à ɪ ɴ k ɛ̀
မော်တော်ပီကေ	m ɔ̀ t ɔ̀ p ì k è
မော်တော်ဘုတ်	m ɔ̀ t ɔ̀ b o ʊ ʔ
မော်တော်ယာဉ်	m ɔ̀ t ɔ̀ j ɪ̀ ɴ
မော်နီတာ	m ɔ̀ n ì t à
မော်ရိုကို	m ɔ̀ ɹ ò k ò
မော်ရီတေးနီးယား	m ɔ̀ ɹ ì t é n í j á
မော်လတာ	m ɔ̀ l ə t à
မော်လဒိုက်	m ɔ̀ l ə d a ɪ ʔ
မော်လမြိုင်	m ɔ̀ l ə m j à ɪ ɴ
မော်လီကျူး	m ɔ̀ l ì t͡ɕ ú
မော်လ်ဒိုဗာ	m ɔ̀ l d ò b à
မေ့	m ḛ
မေး	m é
မေးခိုင်ရောဂါ	m é kʰ à ɪ ɴ j ɔ́ ɡ à
မေးခွန်း	m é ɡ ʊ́ ɴ
မေးစေ့	m é z ḭ
မဲ	m ɛ́
မဲခေါင်မြစ်	m ɛ́ kʰ à ʊ ɴ m j ɪ ʔ
မဲဆန္ဒ	m ɛ́ sʰ à ɴ d a̰
မဲဆန္ဒနယ်	m ɛ́ sʰ à ɴ d a̰ n ɛ̀
မဲဆန္ဒရှင်	m ɛ́ sʰ à ɴ d a̰ ʃ ɪ̀ ɴ
