aba	a b a
intimida	i n t i m i d a
intoxicație	i n t o k s i k a t͡s i e
intranzitiv	i n t r a n z i t i v
introductiv	i n t r o d u k t i v
inuman	i n u m a n
inundație	i n u n d a t͡s i e
inutil	i n u t i l
invalid	i n v a l i d
invalida	i n v a l i d a
invalidare	i n v a l i d a r e
invalidări	i n v a l i d ə rʲ
invalizi	i n v a l i zʲ
invariabil	i n v a r i a b i l
invenție	i n v e n t͡s i e
invers	i n v e r s
investiție	i n v e s t i t͡s i e
invidios	i n v i d i o s
invincibil	i n v i n t͡ʃ i b i l
invita	i n v i t a
invitație	i n v i t a t͡s i e
invizibil	i n v i z i b i l
inși	i n ʃʲ
iobag	j o b a ɡ
iobăgie	j o b ə d ʒ i e
ionizație	i o n i z a t͡s i e
ipocrit	i p o k r i t
ipocrită	i p o k r i t ə
irascibil	i r a s t͡ʃ i b i l
ireversibil	i r e v e r s i b i l
iritabil	i r i t a b i l
iritat	i r i t a t
irlandez	i r l a n d e z
irlandeză	i r l a n d e z ə
ironia	i r o n i j a
ironizator	i r o n i z a t o r
islanda	i s l a n d a
isoscel	i s o s t͡ʃ e l
isprăvnicel	i s p r ə v n i t͡ʃ e l
israel	i s r a e l
isteț	i s t e t͡s
istoric	i s t o r i k
italian	i t a l i a n
iubirea	j u b i r e̯ a
iulie	j u l i j e
iunie	j u n i j e
iute	j u t e
izolat	i z o l a t
j	ʒ
jale	ʒ a l e
jalea	ʒ a l e̯ a
jalei	ʒ a l e j
jalnic	ʒ a l n i k
jamaican	ʒ a m a j k a n
jandarm	ʒ a n d a r m
japoneză	ʒ a p o n e z ə
jasp	ʒ a s p
javră	ʒ a v r ə
jegos	ʒ e ɡ o s
jerpeli	ʒ e r p e l i
jerpelitură	ʒ e r p e l i t u r ə
jidan	ʒ i d a n
jigni	ʒ i ɡ n i
jnepeni	ʒ n e p e nʲ
joi	ʒ o j
joint	d͡ʒ o j n t
joker	d͡ʒ o k ə r
juca	ʒ u k a
jucat	ʒ u k a t
jude	ʒ u d e
judeca	ʒ u d e k a
judecat	ʒ u d e k a t
judecată	ʒ u d e k a t ə
județ	ʒ u d e t͡s
județe	ʒ u d e t͡s e
jugar	ʒ u ɡ a r
jugular	ʒ u ɡ u l a r
june	ʒ u n e
jura	ʒ u r a
jurare	ʒ u r a r e
jurat	ʒ u r a t
jurisdicție	ʒ u r i s d i k t͡s i e
jurist	ʒ u r i s t
juristă	ʒ u r i s t ə
just	ʒ u s t
justiție	ʒ u s t i t͡s i e
juvenil	ʒ u v e n i l
juvenilă	ʒ u v e n i l ə
juzi	ʒ u zʲ
jăratic	ʒ ə r a t i k
k	k
kaki	k a k i
kaliu	k a l j u
kirghiz	k i r ɟ i z
kiribatian	k i r i b a t i a n
kosovar	k o s o v a r
kripton	k r i p t o n
kurd	k u r d
kuweit	k u v e j t
kârgâz	k ɨ r ɡ ɨ z
l	l
la	l a
labagiu	l a b a d͡ʒ i w
lacom	l a k o m
lagăr	l a ɡ ə r
lai	l a j
laie	l a j e
lalea	l a l e̯ a
lamă	l a m ə
lanț	l a n t͡s
lat	l a t
latin	l a t i n
lavandă	l a v a n d ə
laș	l a ʃ
le	l e
lebede	l e b e d e
legal	l e ɡ a l
lege	l e d͡ʒ e
legendar	l e d͡ʒ e n d a r
lei	l e j
lejer	l e ʒ e r
leming	l e m i ŋ ɡ
lemnos	l e m n o s
leneș	l e n e ʃ
leoaică	l e o̯ a j k ə
leoarcă	l e̯ o̯ a r k ə
leopard	l e o p a r d
lepidopterolog	l e p i d o p t e r o l o ɡ
lepidopterologă	l e p i d o p t e r o l o ɡ ə
lesbian	l e s b i a n
lesbiană	l e s b i a n ə
leton	l e t o n
letonă	l e t o n ə
leu	l e w
lexicograf	l e k s i k o ɡ r a f
lexicografă	l e k s i k o ɡ r a f ə
libelulă	l i b e l u l ə
liber	l i b e r
liberație	l i b e r a t͡s i e
lichid	l i c i d
lichiditate	l i k i d i t a t e
licurici	l i k u r i t͡ʃʲ
liftă	l i f t ə
liliachiu	l i l i a k i w
limbut	l i m b u t
limbă	l i m b ə
limite	l i m i t e
limnolog	l i m n o l o ɡ
limnologă	l i m n o l o ɡ ə
limpede	l i m p e d e
lin	l i n
lingou	l i n ɡ o w
lingouri	l i n ɡ o u rʲ
lingvist	l i n ɡ v i s t
lingvistic	l i ŋ ɡ v i s t i k
lingvistică	l i n ɡ v i s t i k ə
lingvistă	l i n ɡ v i s t ə
liniar	l i n i a r
liniat	l i n i a t
liniște	l i n i ʃ t e
linx	l i n k s
lipicios	l i p i t͡ʃʲ o s
lipit	l i p i t
literar	l i t e r a r
literatură	l i t e r a t u r ə
litiu	l i t j u
litograf	l i t o ɡ r a f
litografă	l i t o ɡ r a f ə
lituanian	l i t u a n i a n
lituaniană	l i t u a n i a n ə
livadă	l i v a d ə
lizibil	l i z i b i l
lobbyist	l o b i i s t
lobbyistă	l o b i i s t ə
loc	l o k
local	l o k a l
locație	l o k a t͡s i e
lopătar	l o p ə t a r
lor	l o r
lori	l o r i
lotus	l o t u s
luare	l u a r e
luați	l u a t͡sʲ
lubeniță	l u b e n i t s ə
luced	l u t͡ʃ e d
lucios	l u t͡ʃʲ o s
lucra	l u k r a
lucrare	l u k r a r e
lucrați	l u k r a t͡sʲ
lucrușor	l u k r u ʃ o r
lucrător	l u k r ə t o r
lugubru	l u ɡ u b r u
lui	l u j
lumea	l u m e̯ a
luminos	l u m i n o s
lunatic	l u n a t i k
lunecos	l u n e k o s
lung	l u ŋ ɡ
lungi	l u n d͡ʒ i
luni	l u nʲ
lupească	l u p e̯ a s k ə
lupesc	l u p e s k
lupești	l u p e ʃ tʲ
lutier	l u t i e r
lutos	l u t o s
lutră	l u t r ə
lânced	l ɨ n t͡ʃ e d
lângă	l ɨ ŋ ɡ ə
lânos	l ɨ n o s
lăbărțat	l ə b ə r t͡s a t
lăcrimos	l ə k r i m o s
lăcătuș	l ə k ə t u ʃ
lăptos	l ə p t o s
lăptucă	l ə p t u k ə
lăpturi	l ə p t u rʲ
lăsat	l ə s a t
lăuda	l ə u d a
lăudăros	l ə u d ə r o s
lăudător	l ə u d ə t o r
lăutar	l ə u t a r
m	m
mac	m a k
macrou	m a k r o w
macru	m a k r u
maestru	m a e s t r u
maghiar	m a ɟʲ a r
maghiari	m a ɡ j a rʲ
maghiară	m a ɡ j a r ə
magician	m a d͡ʒ i t͡ʃ i a n
magiciană	m a d͡ʒ i t͡ʃ i a n ə
magistru	m a d͡ʒ i s t r u
magneziu	m a ɡ n e z j u
mai	m a j
maică	m a j k ə
maimuță	m a j m u t͡s ə
maleabil	m a l e a b i l
malefic	m a l e f i k
maltez	m a l t e z
malteză	m a l t e z ə
mamifer	m a m i f e r
mamut	m a m u t
mamă	m a m ə
manciuria	m a n t͡ʃʲ u r i a
mandolină	m a n d o l i n ə
mandolă	m a n d o l ə
mangan	m a n ɡ a n
mangustă	m a n ɡ u s t ə
manual	m a n u a l
maoism	m a o i s m
mape	m a p e
mapă	m a p ə
maratonist	m a r a t o n i s t
maratonistă	m a r a t o n i s t ə
marca	m a r k a
mare	m a r e
marea	m a r e̯ a
marfă	m a r f ə
marin	m a r i n
marsilia	m a r s i l j a
martie	m a r t i j e
martir	m a r t i r
marț	m a r t͡s
marți	m a r t͡sʲ
masacru	m a s a k r u
masculi	m a s k u lʲ
masculin	m a s k u l i n
masturbare	m a s t u r b a r ɛ
masturbație	m a s t u r b a t͡s i e
masă	m a s ə
matematician	m a t e m a t i t͡ʃ i a n
matematiciană	m a t e m a t i t͡ʃ i a n ə
materialist	m a t e r i a l i s t
mator	m a t o r
matracucă	m a t r a k u k ə
matur	m a t u r
maur	m a u r
mazăre	m a z ə r e
mașini	m a ʃ i nʲ
mașină	m a ʃ i n ə
mașteră	m a ʃ t e r ə
measer	m e̯ a s e r
mecanic	m e k a n i k
medic	m e d i k
medicament	m e d i k a m e n t
medicamente	m e d i k a m e n t e
medici	m e d i t͡ʃʲ
medică	m e d i k ə
medie	m e d i e
mediocru	m e d i o k r u
mediu	m e d j u
meduză	m e d u z ə
mei	m e j
melc	m e l k
melci	m e l t͡ʃʲ
membrane	m e m b r a n e
membranos	m e m b r a n o s
membrană	m e m b r a n ə
menține	m e n t͡s i n e
menținere	m e n t͡s i n e r e
mențineri	m e n t͡s i n e rʲ
mercur	m e r k u r
meresân	m e r e s ɨ n
merge	m e r d͡ʒ e
merișoare	m e r i ʃ o̯ a r e
merișor	m e r i ʃ o r
merișori	m e r i ʃ o rʲ
meser	m e s e r
mestecară	m e s t e k a r ə
metal	m e t a l
metaliza	m e t a l i z a
metan	m e t a n
meteorolog	m e t e o r o l o ɡ
meteorologică	m e t e o r o l o d͡ʒ i k ə
meteorologă	m e t e o r o l o ɡ ə
metrolog	m e t r o l o ɡ
metrologă	m e t r o l o ɡ ə
meu	m e w
mia	m i j a
mia	m j a
miau	m j a w
micolog	m i k o l o ɡ
micologă	m i k o l o ɡ ə
microbiolog	m i k r o b i o l o ɡ
microbiologic	m i k r o b i o l o d͡ʒ i k
microbiologă	m i k r o b i o l o ɡ ə
micuț	m i k u t͡s
miercuri	m j e r k u rʲ
miere	m j e r e
mieros	m j e r o s
migrenă	m i ɡ r e n ə
miime	m i i m e
milan	m i l a n
milimetric	m i l i m e t r i k
mincinos	m i n t͡ʃ i n o s
mine	m i n e
miner	m i n e r
mineralog	m i n e r a l o ɡ
mineralogia	m i n e r a l o d͡ʒ i a
mineralogie	m i n e r a l o d͡ʒ i e
mineralogă	m i n e r a l o ɡ ə
mintal	m i n t a l
mintos	m i n t o s
minuscul	m i n u s k u l
minuțios	m i n u t͡s i o s
minți	m i n t͡s i
minți	m i n t͡sʲ
mințitor	m i n t͡s i t o r
mioară	m i o̯ a r ə
mioară	m j o̯ a r ə
miorlau	m j o r l a w
miorlăi	m j o r l ə i
mirositor	m i r o s i t o r
mistreț	m i s t r e t͡s
mititel	m i t i t e l
mitologic	m i t o l o d͡ʒ i k
mizer	m i z e r
mizerabil	m i z e r a b i l
mizerie	m i z e r i e
mișcător	m i ʃ k ə t o r
mișel	m i ʃ e l
miță	m i t͡s ə
mlădios	m l ə d i o s
mlădiță	m l ə d i t͡s ə
moale	m o̯ a l e
moartea	m o̯ a r t e̯ a
model	m o d e l
moderație	m o d e r a t͡s i e
modest	m o d e s t
modificate	m o d i f i k a t e
molicel	m o l i t͡ʃ e l
moluscă	m o l u s k ə
moluște	m o l u ʃ t e
monegasc	m o n e ɡ a s k
monegaști	m o n e ɡ a ʃ tʲ
mongol	m o ŋ ɡ o l
monoaxial	m o n o a k s i a l
monotrem	m o n o t r e m
monotremă	m o n o t r e m ə
montan	m o n t a n
monument	m o n u m e n t
moralitate	m o r a l i t a t e
morcovi	m o r k o vʲ
morsă	m o r s ə
mortar	m o r t a r
mortier	m o r t i e r
morți	m o r t͡sʲ
motan	m o t a n
motociclist	m o t o t͡ʃ i k l i s t
motocicliste	m o t o t͡ʃ i k l i s t e
motociclistă	m o t o t͡ʃ i k l i s t ə
motocicliști	m o t o t͡ʃ i k l i ʃ tʲ
motor	m o t o r
motorist	m o t o r i s t
motoristă	m o t o r i s t ə
mov	m o v
moșneag	m o ʃ n e̯ a ɡ
moșnegi	m o ʃ n e d͡ʒʲ
ms	m ɨ s ɨ
muced	m u t͡ʃ e d
mucos	m u k o s
muezin	m u e z i n
muflon	m u f l o n
muie	m u j e
muiere	m u j e r e
muist	m u i s t
mult	m u l t
multiplicație	m u l t i p l i k a t͡s i e
multipolar	m u l t i p o l a r
munci	m u n t͡ʃ i
muncă	m u ŋ k ə
munte	m u n t ɛ
muntean	m u n t e̯ a n
muntenească	m u n t e n e̯ a s k ə
muntenesc	m u n t e n e s k
muntenești	m u n t e n e ʃ tʲ
muntos	m u n t o s
mur	m u r
murdar	m u r d a r
murg	m u r ɡ
muribund	m u r i b u n d
muritor	m u r i t o r
mură	m u r ə
muschetar	m u s k e t a r
musculos	m u s k u l o s
mustăcios	m u s t ə t͡ʃʲ o s
mut	m u t
mutație	m u t a t͡s i e
muzeu	m u z e w
muzical	m u z i k a l
muzică	m u z i k ə
mușchios	m u ʃ k j o s
muștar	m u ʃ t a r
muțenie	m u t͡s e n i e
mâini	m ɨ j nʲ
mâncare	m ɨ n k a r e
mâncăcios	m ɨ n k ə t͡ʃʲ o s
mândrie	m ɨ n d r i e
mândru	m ɨ n d r u
mângâia	m ɨ ŋ ɡ ɨ j a
mânuță	m ɨ n u t͡s ə
mânz	m ɨ ŋ z
mânzare	m ɨ n z a r e
mânză	m ɨ n z ə
mână	m ɨ n ə
mârced	m ɨ r t͡ʃ e d
mârșav	m ɨ r ʃ a v
mâță	m ɨ t͡s ə
mă	m ə
măcelări	m ə t͡ʃ e l ə r i
măciucă	m ə t͡ʃʲ u k ə
măcăleandru	m ə k ə l e̯ a n d r u
măgar	m ə ɡ a r
măgărească	m ə ɡ ə r e̯ a s k ə
măgăresc	m ə ɡ ə r e s k
măgărești	m ə ɡ ə r e ʃ tʲ
măi	m ə j
măicuță	m ə j k u t͡s ə
măiestru	m ə j e s t r u
măior	m ə j o r
măr	m ə r
mărar	m ə r a r
măreț	m ə r e t͡s
mări	m ə r i
mări	m ə rʲ
mărime	m ə r i m e
mărinimos	m ə r i n i m o s
mărire	m ə r i r e
mărit	m ə r i t
mărunt	m ə r u n t
mărunțel	m ə r u n t͡s e l
mărunți	m ə r u n t͡s i
mărunți	m ə r u n t͡sʲ
mărunțiș	m ə r u n t͡s i ʃ
mărțișor	m ə r t͡s i ʃ o r
măsliniu	m ə s l i n i w
măsălar	m ə s ə l a r
mătanie	m ə t a n i e
mătușă	m ə t u ʃ ə
mătăhălos	m ə t ə h ə l o s
n	n
nadir	n a d i r
naiv	n a i v
nativ	n a t i v
natriu	n a t r j u
natural	n a t u r a l
nauruan	n a u r u a n
naviga	n a v i ɡ a
navigație	n a v i ɡ a t͡s i e
nașpa	n a ʃ p a
naște	n a ʃ t e
naștere	n a ʃ t e r e
nație	n a t͡s i e
național	n a t͡s i o n a l
ne	n e
neadaptat	n e a d a p t a t
neadecvat	n e a d e k v a t
neajutorat	n e a ʒ u t o r a t
neanticipat	n e a n t i t͡ʃ i p a t
neapărat	n e a p ə r a t
nearticulat	n e a r t i k u l a t
neașteptat	n e a ʃ t e p t a t
nebotezat	n e b o t e z a t
necesar	n e t͡ʃ e s a r
nechibzuit	n e k i b z u i t
necinstit	n e t͡ʃ i n s t i t
necomplicat	n e k o m p l i k a t
necomunicat	n e k o m u n i k a t
necomutabil	n e k o m u t a b i l
necongelat	n e k o n d͡ʒ e l a t
necontestat	n e k o n t e s t a t
necopt	n e k o p t
necrofor	n e k r o f o r
necuviincios	n e k u v i i n t͡ʃʲ o s
necuviincios	n e k u v iː n t͡ʃʲ o s
nedrept	n e d r e p t
neerlandez	n e e r l a n d e z
nefericire	n e f e r i t͡ʃ i r e
nefericit	n e f e r i t͡ʃ i t
nefertilizat	n e f e r t i l i z a t
neghiob	n e ɟ o b
neglijent	n e ɡ l i ʒ e n t
negricios	n e ɡ r i t͡ʃʲ o s
negriu	n e ɡ r i w
neguros	n e ɡ u r o s
negură	n e ɡ u r ə
negustorească	n e ɡ u s t o r e̯ a s k ə
negustoresc	n e ɡ u s t o r e s k
negustorești	n e ɡ u s t o r e ʃ tʲ
neios	n e j o s
nejudecat	n e ʒ u d e k a t
neliniar	n e l i n i a r
nelucrat	n e l u k r a t
nemascat	n e m a s k a t
nemeritat	n e m e r i t a t
nemernic	n e m e r n i k
nemilos	n e m i l o s
nemuritor	n e m u r i t o r
nemțească	n e m t͡s e̯ a s k ə
nemțesc	n e m t͡s e s k
nemțești	n e m t͡s e ʃ tʲ
nenorocit	n e n o r o t͡ʃ i t
nenumărabil	n e n u m ə r a b i l
nenumărat	n e n u m ə r a t
neobișnuit	n e o b i ʃ n u i t
neocolonialist	n e o k o l o n i j a l i s t
neomenesc	n e o m e n e s k
neon	n e o n
neplăcut	n e p l ə k u t
nepoată	n e p o̯ a t ə
nepopular	n e p o p u l a r
nepot	n e p o t
nepoți	n e p o t͡sʲ
neprevizibil	n e p r e v i z i b i l
neprețuit	n e p r e t͡s u i t
neprietenos	n e p r i e t e n o s
nepăsător	n e p ə s ə t o r
neras	n e r a s
nerecunoscut	n e r e k u n o s k u t
neregal	n e r e ɡ a l
neregulat	n e r e ɡ u l a t
nerezervat	n e r e z e r v a t
nerușinat	n e r u ʃ i n a t
nesocotit	n e s o k o t i t
nesomn	n e s o m n
nespălat	n e s p ə l a t
nestimat	n e s t i m a t
nesătul	n e s ə t u l
neted	n e t e d
netezi	n e t e z i
neuitabil	n e u j t a b i l
neurochirurg	n e u r o k i r u r ɡ
neurolog	n e u r o l o ɡ
neurologă	n e u r o l o ɡ ə
neutru	n e u t r u
nevastă	n e v a s t ə
nevăstuică	n e v ə s t u j k ə
nevăzător	n e v ə z ə t o r
neîmpiedicat	n e ɨ m p j e d i k a t
neîntemeiat	n e ɨ n t e m e j a t
neștiință	n e ʃ t i i n t͡s ə
neștiutor	n e ʃ t i u t o r
nicaraguan	n i k a r a ɡ u a n
nichel	n i k e l
niciun	n i t͡ʃʲ u n
nigerian	n i d͡ʒ e r i a n
ningău	n i ŋ ɡ ə w
nins	n i n s
niscai	n i s k a j
nisip	n i s i p
nisipos	n i s i p o s
nitrogen	n i t r o d͡ʒ e n
niuean	n j u e a n
nivel	n i v e l
niște	n i ʃ t e
no	n o
no	n ɔː
noaptea	n o̯ a p t e̯ a
noastre	n o̯ a s t r e
nobil	n o b i l
nocturn	n o k t u r n
nod	n o d
nodos	n o d o s
noi	n o j
noian	n o j a n
noiembrie	n o j e m b r i j e
noime	n o i m e
nominal	n o m i n a l
nominativ	n o m i n a t i v
nominative	n o m i n a t i v e
nonstop	n o n s t o p
nordic	n o r d i k
normal	n o r m a l
norocos	n o r o k o s
norvegian	n o r v e d͡ʒ i a n
noră	n o r ə
nostalgic	n o s t a l d͡ʒ i k
nostru	n o s t r u
notație	n o t a t͡s i e
nou	n o w
noua	n o w a
nouălea	n o w ə l e̯ a
nouăsprezece	n o w ə s p r e z e t͡ʃ e
nouăsprezecea	n o w ə s p r e z e t͡ʃ e̯ a
nouăsprezecelea	n o w ə s p r e z e t͡ʃ e l e̯ a
nouăzecea	n o w ə z e t͡ʃ e̯ a
nouăzeci	n o w ə z e t͡ʃʲ
nouăzecilea	n o w ə z e t͡ʃ i l e̯ a
nouășpe	n o w ə ʃ p e
nouășpea	n o w ə ʃ p e̯ a
nouășpelea	n o w ə ʃ p e l e̯ a
noștri	n o ʃ t r i
nu	n u
nuc	n u k
nuci	n u t͡ʃʲ
nucă	n u k ə
nudism	n u d i s m
nudist	n u d i s t
nuferi	n u f e rʲ
nufăr	n u f ə r
nuiele	n u j e l e
numerabilitate	n u m e r a b i l i t a t e
nurcă	n u r k ə
nutriționist	n u t r i t͡s i o n i s t
nutriționistă	n u t r i t͡s i o n i s t ə
nădejde	n ə d e ʒ d e
nădejdi	n ə d e ʒ dʲ
năframă	n ə f r a m ə
nălucă	n ə l u k ə
năpârcă	n ə p ɨ r k ə
năpăstuit	n ə p ə s t u i t
nărtos	n ə r t o s
născut	n ə s k u t
năsos	n ə s o s
năsut	n ə s u t
nătărău	n ə t ə r ə w
năzdrăvan	n ə z d r ə v a n
o	o
oacheș	o̯ a k e ʃ
oaie	o̯ a j e
oală	o̯ a l ə
oameni	o̯ a m e nʲ
oare	o̯ a r e
oarecare	o̯ a r e k a r e
oarfăn	o̯ a r f ə n
oară	o̯ a r ə
oaspeți	o̯ a s p e t͡sʲ
obiectiv	o b j e k t i v
oblic	o b l i k
obligatoriu	o b l i ɡ a t o r j u
obligație	o b l i ɡ a t͡s i e
obositor	o b o s i t o r
obraznic	o b r a z n i k
obrăjor	o b r ə ʒ o r
obscen	o b s t͡ʃ e n
obscur	o b s k u r
observant	o b s e r v a n t
obstinație	o b s t i n a t͡s i e
obstrucție	o b s t r u k t͡s i e
obținere	o b t͡s i n e r e
oca	o k a
oceanograf	o t͡ʃ e̯ a n o ɡ r a f
oceanografă	o t͡ʃ e̯ a n o ɡ r a f ə
ochean	o k e̯ a n
ocheane	o k e̯ a n e
ochi	o k i
ochi	o kʲ
octet	o k t e t
octombrie	o k t o m b r i j e
ocupa	o k u p a
ocupator	o k u p a t o r
ocupație	o k u p a t͡s i e
ofensator	o f e n s a t o r
oficială	o f i t͡ʃ i a l ə
oficii	o f i t͡ʃ iː
oficiu	o f i t͡ʃ j u
ofilit	o f i l i t
ofta	o f t a
oglinjoară	o ɡ l i n ʒ o̯ a r ə
oi	o j
oiță	o i t͡s ə
olandeză	o l a n d e z ə
olimpic	o l i m p i k
oliv	o l i v
olog	o l o ɡ
oltul	o l t u l
omeni	o m e n i
omenos	o m e n o s
omletă	o m l e t ə
omnipotent	o m n i p o t e n t
omnipotență	o m n i p o t e n t͡s ə
omniprezent	o m n i p r e z e n t
omniprezența	o m n i p r e z e n t͡s a
omniprezențe	o m n i p r e z e n t͡s e
omniprezenței	o m n i p r e z e n t͡s e j
omniscient	o m n i s t͡ʃ i e n t
omogen	o m o d͡ʒ e n
omor	o m o r
oncolog	o n k o l o ɡ
oncologă	o n k o l o ɡ ə
ondulat	o n d u l a t
onest	o n e s t
oniric	o n i r i k
onomatopeic	o n o m a t o p e i k
operație	o p e r a t͡s i e
operațional	o p e r a t͡s i o n a l
oposum	o p o s u m
opoziție	o p o z i t͡s i e
opt	o p t
opta	o p t a
optime	o p t i m e
optimist	o p t i m i s t
optsprezece	o p t s p r e z e t͡ʃ e
optsprezecea	o p t s p r e z e t͡ʃ e̯ a
optsprezecelea	o p t s p r e z e t͡ʃ e l e̯ a
optulea	o p t u l e̯ a
optzecea	o b z e t͡ʃ e̯ a
optzecea	o p t z e t͡ʃ e̯ a
optzeci	o b z e t͡ʃʲ
optzeci	o p t z e t͡ʃʲ
optzecilea	o b z e t͡ʃ i l e̯ a
optzecilea	o p t z e t͡ʃ i l e̯ a
optșpe	o p t ʃ p e
optșpea	o p t ʃ p e̯ a
optșpelea	o p t ʃ p e l e̯ a
opus	o p u s
opărit	o p ə r i t
ora	o r a
oranj	o r a n ʒ
oraș	o r a ʃ
orașe	o r a ʃ e
orație	o r a t͡s i e
orb	o r b
orbeț	o r b e t͡s
orchestral	o r c e s t r a l
ordin	o r d i n
orfan	o r f a n
organiza	o r ɡ a n i z a
organizare	o r ɡ a n i z a r e
organizat	o r ɡ a n i z a t
organizator	o r ɡ a n i z a t o r
organizatori	o r ɡ a n i z a t o rʲ
organizatoric	o r ɡ a n i z a t o r i k
organizări	o r ɡ a n i z ə rʲ
orgolios	o r ɡ o l i o s
ori	o rʲ
oricare	o rʲ k a r e
oricine	o rʲ t͡ʃ i n e
oricum	o rʲ k u m
oricând	o rʲ k ɨ n d
orientare	o r i e n t a r e
oriunde	o rʲ u n d e
ornat	o r n a t
ornitolog	o r n i t o l o ɡ
ornitologă	o r n i t o l o ɡ ə
ornitorinc	o r n i t o r i n k
ortodox	o r t o d o k s
ortoped	o r t o p e d
ortopedist	o r t o p e d i s t
ortopedistă	o r t o p e d i s t ə
ortopedă	o r t o p e d ə
orătanie	o r ə t a n i e
oscior	o s t͡ʃ j o r
osos	o s o s
ostenit	o s t e n i t
osu	o s u
otrăvitor	o t r ə v i t o r
ouă	o w ə
oxigen	o k s i d͡ʒ e n
ozon	o z o n
oțel	o t͡s e l
p	p
pachet	p a k e t
pachete	p a k e t e
pacient	p a t͡ʃ i e n t
pacientă	p a t͡ʃ i e n t ə
pahar	p a h a r
pahare	p a h a r e
paisprezece	p a j s p r e z e t͡ʃ e
paisprezecea	p a j s p r e z e t͡ʃ e̯ a
paisprezecelea	p a j s p r e z e t͡ʃ e l e̯ a
paișpe	p a j ʃ p e
paișpea	p a j ʃ p e̯ a
paișpelea	p a j ʃ p e l e̯ a
paleontolog	p a l e o n t o l o ɡ
paleontologă	p a l e o n t o l o ɡ ə
palid	p a l i d
palincă	p a l i n k ə
pansexual	p a n s e k s u a l
panteon	p a n t e o n
panteră	p a n t e r ə
pantof	p a n t o f
papagal	p a p a ɡ a l
papirus	p a p i r u s
paralitic	p a r a l i t i k
paraliza	p a r a l i z a
parazitar	p a r a z i t a r
parazitologie	p a r a z i t o l o d͡ʒ i e
parcurs	p a r k u r s
pardon	p a r d o n
paroh	p a r o h
participiu	p a r t i t͡ʃ i p j u
parțial	p a r t͡s i a l
pas	p a s
pastelist	p a s t e l i s t
pastor	p a s t o r
pat	p a t
patinaj	p a t i n a ʒ
patinare	p a t i n a r e
patolog	p a t o l o ɡ
patologist	p a t o l o d͡ʒ i s t
patologistă	p a t o l o d͡ʒ i s t ə
patologă	p a t o l o ɡ ə
patra	p a t r a
patronaj	p a t r o n a ʒ
patrulea	p a t r u l e̯ a
patruzecea	p a t r u z e t͡ʃ e̯ a
patruzeci	p a t r u z e t͡ʃʲ
patruzecilea	p a t r u z e t͡ʃ i l e̯ a
pauză	p a u z ə
pavaj	p a v a ʒ
pașnic	p a ʃ n i k
pe	p e
pederastic	p e d e r a s t i k
pedestru	p e d e s t r u
pediatru	p e d i a t r u
pediatră	p e d i a t r ə
peiorativ	p e j o r a t i v
pelican	p e l i k a n
penetrație	p e n e t r a t͡s i e
penibil	p e n i b i l
pentatlonist	p e n t a t l o n i s t
pentatlonistă	p e n t a t l o n i s t ə
perfid	p e r f i d
peria	p e r i a
periculos	p e r i k u l o s
perie	p e r i e
peristaltic	p e r i s t a l t i k
perlă	p e r l ə
permanente	p e r m a n e n t e
persan	p e r s a n
personaj	p e r s o n a ʒ
perturbator	p e r t u r b a t o r
peruchier	p e r u k i e r
perucă	p e r u k ə
peruvian	p e r u v i a n
peruș	p e r u ʃ
pervers	p e r v e r s
pescos	p e s k o s
pescărească	p e s k ə r e̯ a s k ə
pescăresc	p e s k ə r e s k
pescărești	p e s k ə r e ʃ tʲ
pescăruș	p e s k ə r u ʃ
peste	p e s t e
petiție	p e t i t͡s i e
peșchir	p e ʃ k i r
peștele	p e ʃ t e l e
peștii	p e ʃ t iː
picioare	p i t͡ʃ o̯ a r e
picior	p i t͡ʃ j o r
picta	p i k t a
pictat	p i k t a t
pictor	p i k t o r
pictoriță	p i k t o r i t͡s ə
pictură	p i k t u r ə
piemont	p j e m o n t
piept	p j e p t
pieptos	p j e p t o s
pierde	p j e r d e
piersică	p j e r s i k ə
piese	p j e s e
piesă	p j e s ə
pietros	p j e t r o s
pigment	p i ɡ m e n t
pijama	p i ʒ a m a
pilot	p i l o t
pilota	p i l o t a
pilotaseră	p i l o t a s e r ə
pilotați	p i l o t a t͡sʲ
piramidă	p i r a m i d ə
pisic	p i s i k
pisicuță	p i s i k u t͡s ə
pisică	p i s i k ə
pisoi	p i s o j
pitulice	p i t u l i t͡ʃ e
pix	p i k s
pizdos	p i z d o s
pizmaș	p i z m a ʃ
pițigoi	p i t͡s i ɡ o j
planetar	p l a n e t a r
plasmă	p l a s m ə
plasă	p l a s ə
pleca	p l e k a
plecare	p l e k a r e
pleoapă	p l e o̯ a p ə
pleoapă	p l e̯ o̯ a p ə
plesni	p l e s n i
pletoric	p l e t o r i k
pleșuv	p l e ʃ u v
plicticos	p l i k t i k o s
plictisitor	p l i k t i s i t o r
plin	p l i n
plointe	p l o i n t e
plumbos	p l u m b o s
plumburiu	p l u m b u r i w
plus	p l u s
pluti	p l u t i
plutitor	p l u t i t o r
plută	p l u t ə
plânge	p l ɨ n d ʒ e
plâns	p l ɨ n s
plăcintă	p l ə t͡ʃ i n t ə
plăcut	p l ə k u t
plănui	p l ə n u i
plăpând	p l ə p ɨ n d
plăși	p l ə ʃʲ
poarcă	p o̯ a r k ə
podolog	p o d o l o ɡ
podologă	p o d o l o ɡ ə
