@	a̠ t̚ t o̞
鼠蹊管	s o̞ k e̞ː k ã̠ ɴ
狙撃	s o̞ ɡ e̞ kʲ i
粗言	s o̞ ɡ ẽ̞ ɴ
そこ	s o̞ k o̞
底	s o̞ k o̞
祖語	s o̞ ɡ o̞
齟齬	s o̞ ɡ o̞
そこあげ	s o̞ k o̞ a̠ ɡ e̞
蘇合香	s o̞ ɡ o̞ː k o̞ː
そこかしこ	s o̞ k o̞ k a̠ ɕ i k o̞
底力	s o̞ k o̞ ʑ i k a̠ ɾ a̠
そこはかとない	s o̞ k o̞ h a̠ k a̠ t o̞ n a̠ i
底翳	s o̞ k o̞ ç i
底冷え	s o̞ k o̞ bʲ i e̞
底引網	s o̞ k o̞ bʲ i kʲ i a̠ mʲ i
そこみえ	s o̞ k o̞ mʲ i e̞
そこらへん	s o̞ k o̞ ɾ a̠ h ẽ̞ ɴ
素材	s o̞ z a̠ i
祖師	s o̞ ɕ i
素子	s o̞ ɕ i
阻止	s o̞ ɕ i
措辞	s o̞ ʑ i
組織	s o̞ ɕ i̥ kʲ i
組織化	s o̞ ɕ i kʲ i k a̠
組織者	s o̞ ɕ i kʲ i ɕ a̠
そしたら	s o̞ ɕ i̥ t a̠ ɾ a̠
そして	s o̞ ɕ i̥ t e̞
粗品	s o̞ ɕ i n a̠
ソシャゲ	s o̞ ɕ a̠ ɡ e̞
訴訟	s o̞ ɕ o̞ː
俎上	s o̞ ʑ o̞ː
訴状	s o̞ ʑ o̞ː
遡上	s o̞ ʑ o̞ː
祖神	s o̞ ɕ ĩ ɴ
塑性	s o̞ s e̞ː
蘇生	s o̞ s e̞ː
租税	s o̞ z e̞ː
祖先	s o̞ s ẽ̞ ɴ
そそ	s o̞ s o̞
注いだ	s o̞ s o̞ i d a̠
注いで	s o̞ s o̞ i d e̞
粗相	s o̞ s o̞ː
粗糙	s o̞ z o̞ː
そそかしい	s o̞ s o̞ k a̠ ɕ iː
そそっかしい	s o̞ s o̞ k̚ k a̠ ɕ i i
そぞろ	s o̞ z o̞ ɾ o̞
粗大	s o̞ d a̠ i
育ち	s o̞ d a̠ t͡ɕ i
そだちざかり	s o̞ d a̠ t͡ɕ i z a̠ k a̠ ɾʲ i
措置	s o̞ t͡ɕ i
そちのけ	s o̞ t͡ɕ i n o̞ k e̞
そちら	s o̞ t͡ɕ i ɾ a̠
粗ちん	s o̞ t͡ɕ ĩ ɴ
そっから	s o̞ k̚ k a̠ ɾ a̠
速記	s o̞ k̚ʲ kʲ i
即興	s o̞ k̚ʲ kʲ o̞ː
側近	s o̞ k̚ʲ kʲ ĩ ɴ
素っ気無い	s o̞ k̚ k e̞ n a̠ i
俗見	d͡z o̞ k̚ k ẽ̞ ɴ
即効	s o̞ k̚ k o̞ː
即行	s o̞ k̚ k o̞ː
速攻	s o̞ k̚ k o̞ː
続行	d͡z o̞ k̚ k o̞ː
測候所	s o̞ k̚ k o̞ː ʑ o̞
即効性	s o̞ k̚ k o̞ː s e̞ː
ソッコー	s o̞ k̚ k o̞ː
ぞっこん	d͡z o̞ k̚ k õ̞ ɴ
率先	s o̞ sː ẽ̞ ɴ
そっち	s o̞ t̚ t͡ɕ i
そっち系	s o̞ t̚ t͡ɕ i k e̞ː
そっちのけ	s o̞ t̚ t͡ɕ i n o̞ k e̞
そっと	s o̞ t̚ t o̞
卒倒	s o̞ t̚ t o̞ː
反っ歯	s o̞ p̚ p a̠
そっぽ	s o̞ p̚ p o̞
袖	s o̞ d e̞
ソテー	s o̞ t e̞ː
外	s o̞ t o̞
卒塔婆	s o̞ t o̞ː b a̠
外カメ	s o̞ t o̞ k a̠ m e̞
そとぎ	s o̞ t o̞ ɡʲ i
外税	s o̞ t o̞ z e̞ː
そとばこ	s o̞ t o̞ b a̠ k o̞
そとはね	s o̞ t o̞ h a̠ n e̞
ソドミー	s o̞ d o̞ mʲ iː
そとロケ	s o̞ t o̞ ɾ o̞ k e̞
ソナー	s o̞ n a̠ː
そない	s o̞ n a̠ i
備え	s o̞ n a̠ e̞
そなた	s o̞ n a̠ t a̠
ソナタ	s o̞ n a̠ t a̠
訴人	s o̞ ɲ̟ ĩ ɴ
そね	s o̞ n e̞
ソネット	s o̞ n e̞ t̚ t o̞
その	s o̞ n o̞
素囊	s o̞ n o̞ː
その方	s o̞ n o̞ k a̠ t a̠
その方達	s o̞ n o̞ k a̠ t a̠ t a̠ t͡ɕ i
その後	s o̞ n o̞ ɡ o̞
ソノシート	s o̞ n o̞ ɕ iː t o̞
園田	s o̞ n o̞ d a̠
その場限り	s o̞ n o̞ b a̠ k a̠ ɡʲ i ɾʲ i
そのばしのぎ	s o̞ n o̞ b a̠ ɕ i n o̞ ɡʲ i
その人	s o̞ n o̞ ç i̥ t o̞
蕎麦	s o̞ b a̠
蕎麦がき	s o̞ b a̠ ɡ a̠ kʲ i
ソビエト	s o̞ bʲ i e̞ t o̞
ソファー	s o̞ ɸ a̠ː
祖母	s o̞ b o̞
素封家	s o̞ h o̞ː k a̠
そぼろ	s o̞ b o̞ ɾ o̞
粗笨	s o̞ h õ̞ ɴ
杣	s o̞ m a̠
ソマリ	s o̞ m a̠ ɾʲ i
ソマリア	s o̞ m a̠ ɾʲ i a̠
そマ？	s o̞ m a̠
蘇民将来	s o̞ mʲ ĩ ɰ̃ ɕ o̞ː ɾ a̠ i
初めた	s o̞ m e̞ t a̠
そめもの	s o̞ m e̞ m o̞ n o̞
梳綿	s o̞ m ẽ̞ ɴ
粗面	s o̞ m ẽ̞ ɴ
其文字	s o̞ m o̞ ʑ i
そもそも	s o̞ m o̞ s o̞ m o̞
粗野	s o̞ j a̠
素養	s o̞ j o̞ː
蘇葉	s o̞ j o̞ː
微風	s o̞ j o̞ k a̠ z e̞
冬青	t o̞ː s e̞ː
そよそよ	s o̞ j o̞ s o̞ j o̞
空	s o̞ ɾ a̠
空鼾	s o̞ ɾ a̠ i bʲ i kʲ i
そらごと	s o̞ ɾ a̠ ɡ o̞ t o̞
空知	s o̞ ɾ a̠ t͡ɕ i
空似言葉	s o̞ ɾ a̠ ɲ̟ i k o̞ t o̞ b a̠
空耳	s o̞ ɾ a̠ mʲ i mʲ i
そらめ	s o̞ ɾ a̠ m e̞
空模様	s o̞ ɾ a̠ m o̞ j o̞ː
橇	s o̞ ɾʲ i
反り舌音	s o̞ ɾʲ i ʑ i t a̠ õ̞ ɴ
ソリトン	s o̞ ɾʲ i t õ̞ ɴ
反町	s o̞ ɾʲ i m a̠ t͡ɕ i
それ	s o̞ ɾ e̞
それきり	s o̞ ɾ e̞ kʲ i ɾʲ i
それぞれ	s o̞ ɾ e̞ z o̞ ɾ e̞
それっきり	s o̞ ɾ e̞ k̚ʲ kʲ i ɾʲ i
それっぽい	s o̞ ɾ e̞ p̚ p o̞ i
それでも	s o̞ ɾ e̞ d e̞ m o̞
それとも	s o̞ ɾ e̞ t o̞ m o̞
それなり	s o̞ ɾ e̞ n a̠ ɾʲ i
それほど	s o̞ ɾ e̞ h o̞ d o̞
其れ等	s o̞ ɾ e̞ ɾ a̠
それらしい	s o̞ ɾ e̞ ɾ a̠ ɕ iː
ソ連	s o̞ ɾ ẽ̞ ɴ
ソ連邦	s o̞ ɾ ẽ̞ m p o̞ː
ゾロ	d͡z o̞ ɾ o̞
揃い	s o̞ ɾ o̞ i
そろそろ	s o̞ ɾ o̞ s o̞ ɾ o̞
ぞろぞろ	d͡z o̞ ɾ o̞ z o̞ ɾ o̞
算盤	s o̞ ɾ o̞ b ã̠ ɴ
算盤高い	s o̞ ɾ o̞ b ã̠ n d a̠ k a̠ i
ぞろ目	d͡z o̞ ɾ o̞ m e̞
ソロモン	s o̞ ɾ o̞ m õ̞ ɴ
そろり	s o̞ ɾ o̞ ɾʲ i
損	s õ̞ ɴ
損益	s õ̞ ɰ̃ e̞ kʲ i
損壊	s õ̞ ŋ k a̠ i
村会	s õ̞ ŋ k a̠ i
損害	s õ̞ ŋ ɡ a̠ i
存外	d͡z õ̞ ŋ ɡ a̠ i
尊顔	s õ̞ ŋ ɡ ã̠ ɴ
尊貴	s õ̞ ŋʲ kʲ i
損気	s õ̞ ŋʲ kʲ i
村議会	s õ̞ ŋʲ ɡʲ i k a̠ i
蹲踞	s õ̞ ŋʲ kʲ o̞
損切り	s õ̞ ŋʲ ɡʲ i ɾʲ i
尊敬	s õ̞ ŋ k e̞ː
尊敬語	s õ̞ ŋ k e̞ː ɡ o̞
尊厳	s õ̞ ŋ ɡ ẽ̞ ɴ
尊厳死	s õ̞ ŋ ɡ ẽ̞ ɰ̃ ɕ i
孫呉	s õ̞ ŋ ɡ o̞
尊号	s õ̞ ŋ ɡ o̞ː
存在	s õ̞ n d͡z a̠ i
存在感	s õ̞ n d͡z a̠ i k ã̠ ɴ
孫子	m a̠ ɡ o̞ k o̞
尊師	s õ̞ ɰ̃ ɕ i
尊称	s õ̞ ɰ̃ ɕ o̞ː
損傷	s õ̞ ɰ̃ ɕ o̞ː
存心	d͡z õ̞ ɰ̃ ɕ ĩ ɴ
尊大	s õ̞ n d a̠ i
存置	s õ̞ ɲ̟ t͡ɕ i
尊重	s õ̞ ɲ̟ t͡ɕ o̞ː
村長	s õ̞ ɲ̟ t͡ɕ o̞ː
村道	s õ̞ n d o̞ː
そんな	s õ̞ nː a̠
そんなに	s õ̞ nː a̠ ɲ̟ i
尊王	s õ̞ nː o̞ː
存廃	s õ̞ m p a̠ i
ゾンビ	d͡z õ̞ m bʲ i
尊卑	s õ̞ m pʲ i
ソンベ	s õ̞ m b e̞
存亡	s õ̞ m b o̞ː
村民	s õ̞ mʲː ĩ ɴ
村名	s õ̞ mː e̞ː
存命	d͡z õ̞ mː e̞ː
た	t a̠
タ	t a̠
多	t a̠
田	t a̠
だ	d a̠
ダ	d a̠
ターキー	t a̠ː kʲ iː
ターゲット	t a̠ː ɡ e̞ t̚ t o̞
塌菜	t a̠ː t͡s a̠ i
ダート	d a̠ː t o̞
ターナー	t a̠ː n a̠ː
多牌	t a̠ː h a̠ i
ダービー	d a̠ː bʲ iː
ダーリン	d a̠ː ɾʲ ĩ ɴ
たい	t a̠ i
タイ	t a̠ i
他意	t a̠ i
体	t a̠ i
対	t a̠ i
敦	t a̠ i
胎	t a̠ i
隊	t a̠ i
鯛	t a̠ i
die	d a̠ i
だい	d a̠ i
台	d a̠ i
大	d a̠ i
弟鷹	d a̠ i
第	d a̠ i
題	d a̠ i
タイア	t a̠ i a̠
ダイア	d a̠ i a̠
ダイアモンド	d a̠ i a̠ m õ̞ n d o̞
対案	t a̠ i ã̠ ɴ
体位	t a̠ i i
大尉	t a̠ i i
胎衣	t a̠ iː
退位	t a̠ i i
第一	d a̠ i i t͡ɕ i
第一人者	d a̠ iː t͡ɕ i ɲ̟ ĩ ɰ̃ ɕ a̠
タイーホ	t a̠ iː h o̞
対位法	t a̠ iː h o̞ː
太陰	t a̠ i ĩ ɴ
退院	t a̠ i ĩ ɴ
大陰唇	d a̠ i ĩ ɰ̃ ɕ ĩ ɴ
退嬰的	t a̠ i e̞ː t e̞ kʲ i
体液	t a̠ i e̞ kʲ i
ダイエット	d a̠ i e̞ t̚ t o̞
大円	d a̠ i ẽ̞ ɴ
大円筋	d a̠ i ẽ̞ ŋʲ kʲ ĩ ɴ
対応	t a̠ i o̞ː
大王	d a̠ i o̞ː
大往生	d a̠ i o̞ː ʑ o̞ː
ダイオード	d a̠ i o̞ː d o̞
ダイオキシン	d a̠ i o̞ kʲ i̥ ɕ ĩ ɴ
体温	t a̠ i õ̞ ɴ
体温計	t a̠ i õ̞ ŋ k e̞ː
大化	t a̠ i k a̠
大廈	t a̠ i k a̠
大火	t a̠ i k a̠
大過	t a̠ i k a̠
対価	t a̠ i k a̠
耐火	t a̠ i k a̠
退化	t a̠ i k a̠
タイガ	t a̠ i ɡ a̠
代価	d a̠ i k a̠
大我	t a̠ i ɡ a̠
大河	t a̠ i ɡ a̠
タイガー	t a̠ i ɡ a̠ː
大会	t a̠ i k a̠ i
大海	t a̠ i k a̠ i
退会	t a̠ i k a̠ i
体外	t a̠ i ɡ a̠ i
大概	t a̠ i ɡ a̠ i
対外	t a̠ i ɡ a̠ i
退会届	t a̠ i k a̠ i t o̞ d o̞ k e̞
大火災	d a̠ i k a̠ s a̠ i
大学校	d a̠ i ɡ a̠ k̚ k o̞ː
体幹	t a̠ i k ã̠ ɴ
体感	t a̠ i k ã̠ ɴ
大観	t a̠ i k ã̠ ɴ
貸館	t a̠ i k ã̠ ɴ
退官	t a̠ i k ã̠ ɴ
退館	t a̠ i k ã̠ ɴ
代官	d a̠ i k ã̠ ɴ
大寒	d a̠ i k ã̠ ɴ
対岸	t a̠ i ɡ ã̠ ɴ
戴冠式	t a̠ i k ã̠ ɰ̃ ɕ i̥ kʲ i
大気	t a̠ i kʲ i
待機	t a̠ i kʲ i
隊旗	t a̠ i kʲ i
大儀	t a̠ i ɡʲ i
大気汚染	t a̠ i kʲ i o̞ s ẽ̞ ɴ
大企業	d a̠ i kʲ i ɡʲ o̞ː
大気圏	t a̠ i kʲ i̥ k ẽ̞ ɴ
対義語	t a̠ i ɡʲ i ɡ o̞
代議士	d a̠ i ɡʲ i ɕ i
大吉	d a̠ i kʲ i t͡ɕ i
大器晩成	t a̠ i kʲ i b ã̠ ɰ̃ s e̞ː
退去	t a̠ i kʲ o̞
大魚	t a̠ i ɡʲ o̞
胎教	t a̠ i kʲ o̞ː
大凶	d a̠ i kʲ o̞ː
大業	t a̠ i ɡʲ o̞ː
大胸筋	d a̠ i kʲ o̞ː kʲ ĩ ɴ
大嫌い	d a̠ i kʲ i ɾ a̠ i
大金	t a̠ i kʲ ĩ ɴ
代金	d a̠ i kʲ ĩ ɴ
餒饉	d a̠ i kʲ ĩ ɴ
体型	t a̠ i k e̞ː
体形	t a̠ i k e̞ː
体系	t a̠ i k e̞ː
台形	d a̠ i k e̞ː
滞麑	t a̠ i ɡ e̞ː
体系的	t a̠ i k e̞ː t e̞ kʲ i
体験	t a̠ i k ẽ̞ ɴ
大剣	t a̠ i k ẽ̞ ɴ
体言	t a̠ i ɡ ẽ̞ ɴ
太原	t a̠ i ɡ ẽ̞ ɴ
代原	d a̠ i ɡ ẽ̞ ɴ
代言	d a̠ i ɡ ẽ̞ ɴ
大元	d a̠ i ɡ ẽ̞ ɴ
大元帥	d a̠ i ɡ ẽ̞ ɴ
太玄経	t a̠ i ɡ ẽ̞ ŋʲ kʲ o̞ː
大言壮語	t a̠ i ɡ ẽ̞ ɰ̃ s o̞ː ɡ o̞
たいげんどめ	t a̠ i ɡ ẽ̞ n d o̞ m e̞
太古	t a̠ i k o̞
太鼓	t a̠ i k o̞
タイ語	t a̠ i ɡ o̞
醍醐	d a̠ i ɡ o̞
体高	t a̠ i k o̞ː
大公	t a̠ i k o̞ː
大綱	t a̠ i k o̞ː
太后	t a̠ i k o̞ː
太閤	t a̠ i k o̞ː
対向	t a̠ i k o̞ː
対抗	t a̠ i k o̞ː
代行	d a̠ i k o̞ː
太皇太后	t a̠ i k o̞ː t a̠ i ɡ o̞ː
対抗馬	t a̠ i k o̞ː b a̠
太古代	t a̠ i k o̞ d a̠ i
太鼓腹	t a̠ i k o̞ b a̠ ɾ a̠
太鼓判	t a̠ i k o̞ b ã̠ ɴ
醍醐味	d a̠ i ɡ o̞ mʲ i
太鼓持ち	t a̠ i k o̞ m o̞ t͡ɕ i
幇間	t a̠ i k o̞ m o̞ t͡ɕ i
タイゴン	t a̠ i ɡ õ̞ ɴ
だいこんおろし	d a̠ i k õ̞ ɰ̃ o̞ ɾ o̞ ɕ i
大根餅	d a̠ i k õ̞ mː o̞ t͡ɕ i
大佐	t a̠ i s a̠
大差	t a̠ i s a̠
体菜	t a̠ i s a̠ i
大罪	t a̠ i z a̠ i
滞在	t a̠ i z a̠ i
題材	d a̠ i z a̠ i
体細胞	t a̠ i s a̠ i b o̞ː
大鷺	d a̠ i s a̠ ɡʲ i
退散	t a̠ i s ã̠ ɴ
泰山	t a̠ i z ã̠ ɴ
第三	d a̠ i s ã̠ ɴ
第三紀	d a̠ i s ã̠ ŋʲ kʲ i
大三元	d a̠ i s ã̠ ŋ ɡ ẽ̞ ɴ
大惨事	d a̠ i s ã̠ ɲ̟ d͡ʑ i
第三者	d a̠ i s ã̠ ɰ̃ ɕ a̠
大使	t a̠ i ɕ i
大志	t a̠ i ɕ i
太子	t a̠ i ɕ i
だいし	d a̠ i ɕ i
台紙	d a̠ i ɕ i
対峙	t a̠ i ʑ i
胎児	t a̠ i ʑ i
退治	t a̠ i ʑ i
題詞	d a̠ i ɕ i
大事	d a̠ i ʑ i
大使館	t a̠ i ɕ i k ã̠ ɴ
大事件	d a̠ i ʑ i k ẽ̞ ɴ
大自然	d a̠ i ɕ i z ẽ̞ ɴ
大した	t a̠ i ɕ i̥ t a̠
大失敗	d a̠ i ɕ i p̚ p a̠ i
大辞典	d a̠ i ʑ i t ẽ̞ ɴ
太子党	t a̠ i ɕ i̥ t o̞ː
大事無い	d a̠ i ʑ i n a̠ i
大字報	d a̠ i ʑ i h o̞ː
代謝	t a̠ i ɕ a̠
大赦	t a̠ i ɕ a̠
退社	t a̠ i ɕ a̠
台車	d a̠ i ɕ a̠
退治屋	t a̠ i ʑ i j a̠
大暑	t a̠ i ɕ o̞
対処	t a̠ i ɕ o̞
退所	t a̠ i ɕ o̞
大勝	t a̠ i ɕ o̞ː
大将	t a̠ i ɕ o̞ː
大正	t a̠ i ɕ o̞ː
大笑	t a̠ i ɕ o̞ː
大賞	t a̠ i ɕ o̞ː
対照	t a̠ i ɕ o̞ː
対症	t a̠ i ɕ o̞ː
対称	t a̠ i ɕ o̞ː
対象	t a̠ i ɕ o̞ː
代償	d a̠ i ɕ o̞ː
代将	d a̠ i ɕ o̞ː
大小	d a̠ i ɕ o̞ː
退場	t a̠ i ʑ o̞ː
大乗	d a̠ i ʑ o̞ː
対象外	t a̠ i ɕ o̞ː ɡ a̠ i
太政官	d a̠ i ʑ o̞ː k ã̠ ɴ
大正琴	t a̠ i ɕ o̞ː ɡ o̞ t o̞
大嘗祭	d a̠ i ʑ o̞ː s a̠ i
対称性	t a̠ i ɕ o̞ː s e̞ː
太政大臣	d a̠ i ʑ o̞ː d a̠ i ʑ ĩ ɴ
対称的	t a̠ i ɕ o̞ː t e̞ kʲ i
太上天皇	d a̠ i ʑ o̞ː t ẽ̞ nː o̞ː
大小便	d a̠ i ɕ o̞ː b ẽ̞ ɴ
だいじょばない	d a̠ i ʑ o̞ b a̠ n a̠ i
大辞林	d a̠ i ʑ i ɾʲ ĩ ɴ
タイ人	t a̠ i ʑ ĩ ɴ
対人	t a̠ i ʑ ĩ ɴ
大臣	d a̠ i ʑ ĩ ɴ
大審院	d a̠ i ɕ ĩ ɰ̃ ĩ ɴ
体制	t a̠ i s e̞ː
体勢	t a̠ i s e̞ː
大成	t a̠ i s e̞ː
態勢	t a̠ i s e̞ː
耐性	t a̠ i s e̞ː
胎生	t a̠ i s e̞ː
退勢	t a̠ i s e̞ː
大西洋	t a̠ i s e̞ː j o̞ː
大西洋鱈	t a̠ i s e̞ː j o̞ː d a̠ ɾ a̠
体積	t a̠ i s e̞ kʲ i
堆積	t a̠ i s e̞ kʲ i
堆積岩	t a̠ i s e̞ kʲ i ɡ ã̠ ɴ
大戦	t a̠ i s ẽ̞ ɴ
対戦	t a̠ i s ẽ̞ ɴ
台船	d a̠ i s ẽ̞ ɴ
大膳	d a̠ i z ẽ̞ ɴ
対戦者	t a̠ i s ẽ̞ ɰ̃ ɕ a̠
対戦車	t a̠ i s ẽ̞ ɰ̃ ɕ a̠
大前提	d a̠ i z ẽ̞ n t e̞ː
大前庭腺	d a̠ i z ẽ̞ n t e̞ː s ẽ̞ ɴ
体操	t a̠ i s o̞ː
大層	t a̠ i s o̞ː
大棗	t a̠ i s o̞ː
大葬	t a̠ i s o̞ː
代走	d a̠ i s o̞ː
大喪儀	t a̠ i s o̞ː ɡʲ i
大草原	d a̠ i s o̞ː ɡ ẽ̞ ɴ
大それた	d a̠ i s o̞ ɾ e̞ t a̠
怠惰	t a̠ i d a̠
代替	d a̠ i t a̠ i
大体	d a̠ i t a̠ i
大腿	d a̠ i t a̠ i
大隊	d a̠ i t a̠ i
代代	d a̠ i d a̠ i
大大	d a̠ i d a̠ i
橙	d a̠ i d a̠ i
橙色	d a̠ i d a̠ i i ɾ o̞
大腿筋	d a̠ i t a̠ i kʲ ĩ ɴ
大々的	d a̠ i d a̠ i t e̞ kʲ i
タイタン	t a̠ i t ã̠ ɴ
大胆	d a̠ i t ã̠ ɴ
対談	t a̠ i d ã̠ ɴ
退団	t a̠ i d ã̠ ɴ
対談者	t a̠ i d ã̠ ɰ̃ ɕ a̠
台地	d a̠ i t͡ɕ i
大地	d a̠ i t͡ɕ i
体調	t a̠ i t͡ɕ o̞ː
体長	t a̠ i t͡ɕ o̞ː
退潮	t a̠ i t͡ɕ o̞ː
隊長	t a̠ i t͡ɕ o̞ː
大腸菌	d a̠ i t͡ɕ o̞ː kʲ ĩ ɴ
大智郎	d a̠ i t͡ɕ i ɾ o̞ː
大っ嫌い	d a̠ i k̚ʲ kʲ i ɾ a̠ i
たいてい	t a̠ i t e̞ː
大帝	t a̠ i t e̞ː
大敵	t a̠ i t e̞ kʲ i
帯電	t a̠ i d ẽ̞ ɴ
大臀筋	d a̠ i d ẽ̞ ŋʲ kʲ ĩ ɴ
大天使	d a̠ i t ẽ̞ ɰ̃ ɕ i
態度	t a̠ i d o̞
台頭	t a̠ i t o̞ː
対等	t a̠ i t o̞ː
帯刀	t a̠ i t o̞ː
胎動	t a̠ i d o̞ː
大同	d a̠ i d o̞ː
大東亜	d a̠ i t o̞ː a̠
代動詞	d a̠ i d o̞ː ɕ i
大統領	d a̠ i t o̞ː ɾʲ o̞ː
大統領令	d a̠ i t o̞ː ɾʲ o̞ː ɾ e̞ː
台所	d a̠ i d o̞ k o̞ ɾ o̞
体内	t a̠ i n a̠ i
体内時計	t a̠ i n a̠ i d o̞ k e̞ː
大納言	d a̠ i n a̠ ɡ õ̞ ɴ
台無し	d a̠ i n a̠ ɕ i
ダイナマイト	d a̠ i n a̠ m a̠ i t o̞
第二	d a̠ i ɲ̟ i
大日	d a̠ i ɲ̟ i t͡ɕ i
退任	t a̠ i ɲ̟ ĩ ɴ
大人気	o̞ t o̞ n a̠ ɡ e̞
滞納	t a̠ i n o̞ː
大脳	d a̠ i n o̞ː
大破	t a̠ i h a̠
台場	d a̠ i b a̠
ダイパー	d a̠ i p a̠ː
大敗	t a̠ i h a̠ i
退廃	t a̠ i h a̠ i
大発会	d a̠ i h a̠ k̚ k a̠ i
大半	t a̠ i h ã̠ ɴ
対バン	t a̠ i b ã̠ ɴ
胎盤	t a̠ i b ã̠ ɴ
堆肥	t a̠ i ç i
対比	t a̠ i ç i
待避	t a̠ i ç i
貸費	t a̠ i ç i
退避	t a̠ i ç i
大悲	d a̠ i ç i
体表	t a̠ i ç o̞ː
代表	d a̠ i ç o̞ː
大病	t a̠ i bʲ o̞ː
代表者	d a̠ i ç o̞ː ɕ a̠
代表団	d a̠ i ç o̞ː d ã̠ ɴ
代表的	d a̠ i ç o̞ː t e̞ kʲ i
大貧民	d a̠ i ç ĩ mʲː ĩ ɴ
太平	t a̠ i h e̞ː
滞米	t a̠ i b e̞ː
台北	t a̠ i p e̞ː
太平道	t a̠ i h e̞ː d o̞ː
太平洋	t a̠ i h e̞ː j o̞ː
大変	t a̠ i h ẽ̞ ɴ
対辺	t a̠ i h ẽ̞ ɴ
代返	d a̠ i h ẽ̞ ɴ
代弁	d a̠ i b ẽ̞ ɴ
大便	d a̠ i b ẽ̞ ɴ
代弁者	d a̠ i b ẽ̞ ɰ̃ ɕ a̠
大変動	d a̠ i h ẽ̞ n d o̞ː
逮捕	t a̠ i h o̞
代母	d a̠ i b o̞
たいほう	t a̠ i h o̞ː
大砲	t a̠ i h o̞ː
待望	t a̠ i b o̞ː
大冒険	d a̠ i b o̞ː k ẽ̞ ɴ
逮捕状	t a̠ i h o̞ ʑ o̞ː
大発作	d a̠ i h o̞ sː a̠
大麻	t a̠ i m a̠
大枚	t a̠ i m a̠ i
玳瑁	t a̠ i m a̠ i
炬火	k o̞ k a̠
タイマン	t a̠ i m ã̠ ɴ
大名	d a̠ i mʲ o̞ː
だいみょうおろし	d a̠ i mʲ o̞ː o̞ ɾ o̞ ɕ i
大明神	d a̠ i mʲ o̞ː ʑ ĩ ɴ
題名	d a̠ i m e̞ː
代名詞	d a̠ i m e̞ː ɕ i
体面	t a̠ i m ẽ̞ ɴ
対面	t a̠ i m ẽ̞ ɴ
体毛	t a̠ i m o̞ː
大問	d a̠ i m õ̞ ɴ
大門	d a̠ i m õ̞ ɴ
タイヤ	t a̠ i j a̠
ダイヤ	d a̠ i j a̠
ダイヤモンド	d a̠ i j a̠ m õ̞ n d o̞
貸与	t a̠ i j o̞
体養	t a̠ i j o̞ː
大妖	t a̠ i j o̞ː
大洋	t a̠ i j o̞ː
大要	t a̠ i j o̞ː
太陽	t a̠ i j o̞ː
態様	t a̠ i j o̞ː
耐用	t a̠ i j o̞ː
代用	d a̠ i j o̞ː
代用魚	d a̠ i j o̞ː ɡʲ o̞
太陽系	t a̠ i j o̞ː k e̞ː
太陽系儀	t a̠ i j o̞ː k e̞ː ɡʲ i
太陽圏	t a̠ i j o̞ː k ẽ̞ ɴ
太陽時	t a̠ i j o̞ː ʑ i
代用字	d a̠ i j o̞ː ʑ i
太陽年	t a̠ i j o̞ː n ẽ̞ ɴ
代用品	d a̠ i j o̞ː ç ĩ ɴ
太陽暦	t a̠ i j o̞ː ɾ e̞ kʲ i
第四紀	d a̠ i j õ̞ ŋʲ kʲ i
平良	ç i ɾ a̠ ɾ a̠
滞羅	t a̠ i ɾ a̠
タイラント	t a̠ i ɾ ã̠ n t o̞
代理	d a̠ i ɾʲ i
代理者	d a̠ i ɾʲ i ɕ a̠
代理店	d a̠ i ɾʲ i t ẽ̞ ɴ
代理人	d a̠ i ɾʲ i ɲ̟ ĩ ɴ
大漁	t a̠ i ɾʲ o̞ː
大量	t a̠ i ɾʲ o̞ː
大輪	t a̠ i ɾʲ ĩ ɴ
大連	d a̠ i ɾ ẽ̞ ɴ
第六感	d a̠ i ɾ o̞ k̚ k ã̠ ɴ
栲	t a̠ e̞
唾液	d a̠ e̞ kʲ i
唾液腺	d a̠ e̞ kʲ i s ẽ̞ ɴ
絶え間	t a̠ e̞ m a̠
絶え間ない	t a̠ e̞ m a̠ n a̠ i
楕円	d a̠ ẽ̞ ɴ
だぉ	d a̠ o̞
ダオ	d a̠ o̞
タオチオ	t a̠ o̞ t͡ɕ i o̞
たおやか	t a̠ o̞ j a̠ k a̠
手弱女	t a̠ o̞ j a̠ m e̞
多音字	t a̠ õ̞ ɲ̟ d͡ʑ i
多寡	t a̠ k a̠
高	t a̠ k a̠
鷹	t a̠ k a̠
他我	t a̠ ɡ a̠
箍	t a̠ ɡ a̠
だが	d a̠ ɡ a̠
高足蟹	t a̠ k a̠ a̠ ɕ i ɡ a̠ ɲ̟ i
他界	t a̠ k a̠ i
貴い	t a̠ k a̠ i
高い	t a̠ k a̠ i
高価い	t a̠ k a̠ i
互い	t a̠ ɡ a̠ i
打開	d a̠ k a̠ i
タガイタイ	t a̠ ɡ a̠ i t a̠ i
高市	t a̠ k a̠ i t͡ɕ i
高鼾	t a̠ k a̠ i bʲ i kʲ i
貴大	t a̠ k a̠ o̞
隆夫	t a̠ k a̠ o̞
隆男	t a̠ k a̠ o̞
隆雄	t a̠ k a̠ o̞
高夫	t a̠ k a̠ o̞
高岡	t a̠ k a̠ o̞ k a̠
たかが	t a̠ k a̠ ɡ a̠
高さ	t a̠ k a̠ s a̠
