aba	a b a
inmigración	i ŋ m i ħ ɾ a θ j o ŋ
inmigración	i ŋ m i ħ ɾ a s j o ŋ
inquilino	i ŋ k i l i n o
inquisitivo	i ŋ k i s i t i b o
insecto	i n s ɛ k t o
insensibilidade	i n s e n s i b i l i d a d e
inseparable	i n s e p a ɾ a b l e
insidioso	i n s i d j o s o
insignia	i n s i ŋ n j a
insignificante	i n s i ŋ n i f i k a n t e
insistas	i n s i s t a s
insistida	i n s i s t i d a
insistir	i n s i s t i ɾ
insistiu	i n s i s t i w
insolvente	i n s o l b e n t e
insolvente	i n s o l b ɛ n t e
inspector	i n s p e k t o ɾ
inspectora	i n s p e k t o ɾ a
inspectoras	i n s p e k t o ɾ a s
inspectores	i n s p e k t o ɾ e s
inspiración	i n s p i ɾ a θ j o ŋ
inspiración	i n s p i ɾ a θ j o ŋ
inspiración	i n s p i ɾ a s j o ŋ
instalación	i n s t a l a θ j o ŋ
instalación	i n s t a l a θ j o ŋ
instalación	i n s t a l a s j o ŋ
instancia	i n s t a n θ j a
instancia	i n s t a n θ j a
instancia	i n s t a n s j a
institución	i n s t i t u θ j o ŋ
institución	i n s t i t u θ j o ŋ
institución	i n s t i t u s j o ŋ
instrumento	i n s t ɾ u m e n t o
instrumento	i n s t ɾ u m ɛ n t o
instrumentos	i n s t ɾ u m e n t o s
instrumentos	i n s t ɾ u m ɛ n t o s
insua	i n s w a
Insua	i n s w a̝
insuficiente	i n s u f i θ j ɛ n t e
insuficiente	i n s u f i θ j ɛ n t e
insuficiente	i n s u f i s j ɛ n t e
insultar	i n s u l t a ɾ
insurrección	i n s u r ɛ k θ j o ŋ
insurrección	i n s u r ɛ k θ j o ŋ
insurrección	i n s u r ɛ k s j o ŋ
intanxíbel	i n t a n ʃ i b e l
integración	i n t e ɡ ɾ a θ j o ŋ
integración	i n t e ɡ ɾ a θ j o ŋ
integración	i n t e ħ ɾ a θ j o ŋ
integración	i n t e ħ ɾ a s j o ŋ
integras	i n t ɛ ɡ ɾ a s
integras	i n t ɛ ɡ ɾ a s
integras	i n t ɛ ħ ɾ a s
intelectual	i n t e l ɛ k t u a l
intención	i n t e n θ j o ŋ
intención	i n t e n θ j o ŋ
intención	i n t e n s j o ŋ
intencionalmente	i n t e n θ j o n a l m e n t e
intencionalmente	i n t e n θ j o n a l m e n t e
intencionalmente	i n t e n s j o n a l m e n t e
intencións	i n t e n θ j o ŋ s
interesante	i n t e ɾ e s a n t e
interesantes	i n t ɪ ɾ ɪ s a n t ɪ s
interesar	i n t e ɾ e s a ɾ
interferencia	i n t e ɾ f e ɾ ɛ n θ j a
interferencia	i n t e ɾ f e ɾ ɛ n θ j a
interferencia	i n t e ɾ f e ɾ ɛ n s j a
interferencia	i n t e ɾ f e ɾ e n θ j a
interferencia	i n t e ɾ f e ɾ e n θ j a
interferencia	i n t e ɾ f e ɾ e n s j a
interferi	i n t e ɾ f e ɾ i
interferir	i n t e ɾ f e ɾ i ɾ
interferis	i n t e ɾ f e ɾ i s
internacional	i n t e ɾ n a θ j o n a l
internacional	i n t e ɾ n a θ j o n a l
internacional	i n t e ɾ n a s j o n a l
interno	i n t ɛ ɾ n o
interpretación	i n t e ɾ p ɾ e t a θ j o ŋ
interpretación	i n t e ɾ p ɾ e t a θ j o ŋ
interpretación	i n t e ɾ p ɾ e t a s j o ŋ
intérprete	i n t ɛ ɾ p ɾ e t e
interprofesional	i n t e ɾ p ɾ o f e s j o n a l
intervención	i n t e ɾ b e n θ j o ŋ
intervención	i n t e ɾ b e n θ j o ŋ
intervención	i n t e ɾ b e n s j o ŋ
intervir	i n t e ɾ b i ɾ
íntimo	i n t i m o
intre	i n t ɾ e̝
intricar	i n t ɾ i k a ɾ
introducir	i n t ɾ o d u θ i ɾ
introducir	i n t ɾ o d u θ i ɾ
introducir	i n t ɾ o d u s i ɾ
intromisión	i n t ɾ o m i s j o ŋ
inundación	i n u n d a θ j o ŋ
inundación	i n u n d a θ j o ŋ
inundación	i n u n d a s j o ŋ
invadiu	i m b a d i w
invención	i m b e n θ j o ŋ
invención	i m b e n θ j o ŋ
invención	i m b e n s j o ŋ
inventar	i m b e n t a ɾ
invernada	i m b ɛ ɾ n a d a
invernía	i m b ɛ ɾ n i a̝
inverno	i m b ɛ ɾ n o
invernos	i m b ɛ ɾ n o s
investigación	i m b e s t i ɡ a θ j o ŋ
investigación	i m b e s t i ɡ a θ j o ŋ
investigación	i m b e s t i ħ a θ j o ŋ
investigación	i m b e s t i ħ a s j o ŋ
investigador	i m b e s t i ɡ a d o ɾ
investigador	i m b e s t i ɡ a d o ɾ
investigador	i m b e s t i ħ a d o ɾ
investigar	i m b e s t i ɡ a ɾ
investigar	i m b e s t i ɡ a ɾ
investigar	i m b e s t i ħ a ɾ
invitas	i m b i t a s
inxenuo	i n ʃ e n w o
inxustiza	i n ʃ u s t i θ a
inxustiza	i n ʃ u s t i θ a
inxustiza	i n ʃ u s t i s a
inxusto	i n ʃ u s t o
inzar	i n θ a ɾ
inzo	i n θ o̝
Iñobre	i ɲ ɔ b ɾ e
ionizar	i o n i θ a ɾ
ionizar	i o n i θ a ɾ
ionizar	i o n i s a ɾ
ira	i ɾ a
irado	i ɾ a d o
Irán	i ɾ a ŋ
irce	i ɾ θ e
irce	i ɾ θ e
irce	i ɾ s e
Irixoa	i ɾ i ʃ ɔ a
irlandés	i ɾ l ɐ n d ɛ s
irmá	i ɾ m aː
irmá	i ɾ m a ŋ
irmán	i ɾ m a ŋ
irmán	i ɾ m a ŋ
irmáns	i ɾ m a ŋ s
ironía	i ɾ o n i a
ironicamente	i ɾ ɔ n i k a m e n t e
irónico	i ɾ ɔ n i k o
irracional	i r a θ j o n a l
irracional	i r a θ j o n a l
irracional	i r a s j o n a l
irracionalidade	i r a θ j o n a l i d a d e
irracionalidade	i r a θ j o n a l i d a d e
irracionalidade	i r a s j o n a l i d a d e
irregular	i r e ɡ u l a ɾ
irregular	i r e ɡ u l a ɾ
irregular	i r e ħ u l a ɾ
irto	i ɾ t o̝
isca	i s k a̝
isca	i s k a̝
isqueiro	i s k e j ɾ o̝
israelí	i s r a ɛ l i
israelita	i s r a ɛ l i t a
israelitas	i s r a ɛ l i t a s
italiano	i t a l j ɐ n ʊ
janeiro	ʃ a n e j ɾ o
kafkiano	k a f k j a n o
labestro	l a β e s t ɾ o̝
lábil	l a b iː l
laboratorio	l a b o ɾ a t ɔ ɾ j o
labrada	l a b ɾ a d a
labrar	l a b ɾ a ɾ
labrego	l a b ɾ ɛ ɡ o
labrego	l a b ɾ ɛ ɡ o
labrego	l a b ɾ ɛ ħ o
lacazán	l a k a θ a ŋ
lacazán	l a k a θ a ŋ
lacazán	l a k a s a ŋ
laceira	l a θ ɛ j ɾ a̝
lacón	l a k o ŋ
ladaíña	l a ð a i ɲ a
ladeira	l a d e j ɾ a
lado	l a d o
ladral	l a ð ɾ a l
ladrar	l a ð ɾ a ɾ
ladrillo	l a d ɾ i ɟ o
ladrón	l a d ɾ o ŋ
lagar	l a ɡ a ɾ
lagar	l a ɡ a ɾ
lagar	l a ħ a ɾ
lagareta	l a ɣ a ɾ e t ɐ
lagartixa	l a ɡ a ɾ t i ʃ a
lagartixa	l a ɡ a ɾ t i ʃ a
lagartixa	l a ħ a ɾ t i ʃ a
lagarto	l a ɡ a ɾ t o
lagarto	l a ɡ a ɾ t o
lagarto	l a ħ a ɾ t o
lago	l a ɡ o
lago	l a ɡ o
lago	l a ħ o
lagoa	l a ɡ o a
lagoa	l a ɡ o a
lagoa	l a ħ o a
lagorza	l a ɡ o ɾ θ a
lagorza	l a ɡ o ɾ θ a
lagorza	l a ħ o ɾ θ a
lagorza	l a ħ o ɾ s a
lagos	l a ɡ o s
lagos	l a ɡ o s
lagos	l a ħ o s
lagosta	l a ɡ o s t a
lagosta	l a ɡ o s t a
lagosta	l a ħ o s t a
lágrima	l a ɡ ɾ i m a
lágrima	l a ɡ ɾ i m a
lágrima	l a ħ ɾ i m a
laiar	l a j a ɾ
laido	l a j d o
laído	l a i ð o̝
lais	l a j s
lama	l a m a
lamacento	l a m a θ ɛ n t o
lamacento	l a m a θ ɛ n t o
lamacento	l a m a s ɛ n t o
lamarckismo	l a m a ɾ k i s m o
lamazal	l a m a θ a l
lamazal	l a m a θ a l
lamazal	l a m a s a l
lambecricas	l a m b e k ɾ i k a̝ s
lambefoula	l a m b e f o w l a̝
lamber	l a m b e ɾ
lambetada	l a m b e t a ð a̝
lambonada	l a m b o n a ð a̝
lameiro	l a m e j ɾ o̝
lamela	l a m ɛ l a̝
lamela	l a m ɛ l a̝
lamentación	l a m e n t a θ j o ŋ
lamentación	l a m e n t a θ j o ŋ
lamentación	l a m e n t a s j o ŋ
lamentación	l a m ɛ n t a θ j o ŋ
lamentación	l a m ɛ n t a θ j o ŋ
lamentación	l a m ɛ n t a s j o ŋ
lamia	l a m j a̝
lamia	l a m j a̝
lamigueiro	l a m i ɡ e j ɾ ʊ
lámpada	l a m p a d a
lámpadas	l a m p a d a s
lampaza	l a m p a θ ɐ
lampaza	l a m p a s̻ ɐ
lampaza	l a m p a θ a̝
lampo	l a m p o
lamprea	l a m p ɾ e a̝
landeira	l a n d e j ɾ a̝
landra	l a n d ɾ a̝
langosta	l a ŋ ɡ o s t a
langosta	l a ŋ ɡ o s t a
langosta	l a ŋ ħ o s t a
langrán	l a ŋ ɡ ɾ a ŋ
lanza	l a n θ a
lanza	l a n θ a
lanza	l a n s a
lanzoa	l a n θ o a̝
laña	l a ɲ a̝
lañar	l a ɲ a ɾ
laño	l a ɲ o̝
lapacaldos	l a p a k a l d o̝ s
lapar	l a p a ɾ
lapela	l a p ɛ l a
lapis	l a p i s
lapo	l a p o̝
lar	l a ɾ
larada	l a ɾ a ð a̝
laranxa	l a ɾ a n ʃ a
laranxeira	l a ɾ a n ʃ e j ɾ a̝
larcha	l a r t͡ʃ a̝
lardo	l a ɾ d o
Laredo	l a ɾ e d o
laredo	l a ɾ e ð o̝
laredo	l a ɾ i ð o̝
larengo	l a ɾ e ŋ ɡ o̝
laretar	l a ɾ e t a ɾ
lareto	l a ɾ e t o̝
larfar	l a ɾ f a ɾ
largar	l a ɾ ɡ a ɾ
largar	l a ɾ ɡ a ɾ
largar	l a ɾ ħ a ɾ
largueza	l a ɾ ɡ e θ a
largueza	l a ɾ ɡ e θ a
largueza	l a ɾ ħ e θ a
largueza	l a ɾ ħ e s a
Lárnaca	l a ɾ n a k a
larpar	l a ɾ p a ɾ
larpeirada	l a ɾ p e j ɾ a ð a̝
lastra	l a s t ɾ a̝
lata	l a t a
latar	l a t a ɾ
látego	l a t e ɡ o
látego	l a t e ɡ o
látego	l a t e ħ o
latín	l a t i ŋ
latitude	l a t i t u d e
latricar	l a t ɾ i k a ɾ
lauto	l a w t o
lava	l a b a
lavacuncas	l a β a k u ŋ k a̝ s
lavacús	l a b a k u s
lavado	l a b a d o
lavadoiro	l a β a ð o j ɾ o̝
lavanco	l a b a ŋ k o
lavandeira	l a β a n d e j ɾ a̝
laverca	l a b ɛ ɾ k a
laverco	l a β ɛ ɾ k o
laxa	l a ʃ a̝
laxe	l a ʃ e̝
lazo	l a θ o
lear	l e a ɾ
lebrato	l ɛ b ɾ a t o
lebre	l ɛ b ɾ e
lebreiro	l ɛ b ɾ e j ɾ o
lección	l e k θ j o ŋ
lección	l e k θ j o ŋ
lección	l e k s j o ŋ
lecer	l e θ e ɾ
lecer	l e s e ɾ
Ledesma	l e d e s m a
ledicia	l e ð i θ j a̝
ledo	l e ð o̝
ledo	l ɛ ð o̝
legal	l e ɡ a l
legal	l e ɡ a l
legal	l e ħ a l
légoa	l ɛ ɣ w a̝
légoa	l ɛ ɣ ʊ̯ a̝
legón	l e ɡ o ŋ
legón	l e ɡ o ŋ
legón	l e ħ o ŋ
legua	l ɛ ɡ w a
legua	l ɛ ɡ w a
legua	l ɛ ħ w a
legume	l e ɣ u m e̝
lei	l e i
leiba	l ɛ j β a̝
leilán	l e j l a ŋ
leira	l e j ɾ a̝
leira	l e j ɾ a̝
leirón	l e j ɾ o ŋ
leirón	l e j ɾ o ŋ
leite	l e j t e
leito	l e j t o
leitón	l e j t o ŋ
leitoso	l e j t o s o
leituga	l e j t u ɡ a
leituga	l e j t u ɡ a
leituga	l e j t u ħ a
leiva	l e j b a
lella	l e ʎ a̝
lello	l e ʎ o̝
lembranza	l e m b ɾ a n θ a
lembranza	l e m b ɾ a n θ a
lembranza	l e m b ɾ a n s a
lembrar	l e m b ɾ a ɾ
leme	l ɛ m e̝
Lemos	l ɛ m o s
lene	l ɛ n e̝
lenlla	l e n ʎ a̝
lenllo	l e n ʎ o̝
lenta	l e n t a
lentella	l e n t e ʎ a̝
lento	l e n t o
lentura	l e n t u ɾ a
lenzo	l ɛ n θ o̝
lenzo	l ɛ n s o̝
lenzó	l ɛ n θ ɔ
leña	l e ɲ a
leo	l e ʊ
león	l e o ŋ
león	l j o ŋ
Leonor	l ɪ ʊ n o ɾ
ler	l e ɾ
lera	l ɛ ɾ a̝
lercha	l ɛ ɾ t͡ʃ a
lercho	l ɛ ɾ t͡ʃ o̝
leria	l ɛ ɾ j a
leriar	l ɛ ɾ i a ɾ
Lesende	l e s e n d e̝
lesma	l e s m a
lesma	l ɛ s m a
lesta	l ɛ s t a̝
leste	l ɛ s t e
leste	l e s t e
Lestrobe	l e s t ɾ ɔ β e̝
letreiro	l e t ɾ e j ɾ o
leva	l ɛ b a
levada	l e β a ð a̝
levar	l e b a ɾ
levedar	l e b e d a ɾ
lévedo	l e b e d o
levo	l ɛ b o
lexislativo	l e ʃ i s l a t i b o
liame	l i a m e̝
liaza	l i a θ a̝
liaza	l i a s a̝
libélula	l i b ɛ l u l a
liberación	l i b ɛ ɾ a θ j o ŋ
liberación	l i b ɛ ɾ a θ j o ŋ
liberación	l i b ɛ ɾ a s j o ŋ
liberalización	l i b ɛ ɾ a l i θ a θ j o ŋ
liberalización	l i b ɛ ɾ a l i θ a θ j o ŋ
liberalización	l i b ɛ ɾ a l i s a s j o ŋ
liberaçom	l i b ɛ ɾ a θ o ŋ
liberaçom	l i b ɛ ɾ a θ o ŋ
liberaçom	l i b ɛ ɾ a s o ŋ
liberdade	l i b e ɾ d a d e
libido	l i β i ð̞ ʊ
libracións	l i b ɾ a θ j o ŋ
libracións	l i b ɾ a θ j o ŋ
libracións	l i b ɾ a s j o ŋ
libraduras	l i b ɾ a d u ɾ a s
librar	l i b ɾ a ɾ
libraría	l i β ɾ a ɾ i a̝
libre	l i b ɾ e
libremente	l i b ɾ e m e n t e
libres	l i b ɾ e s
libretista	l i b ɾ e t i s t a
libretistas	l i b ɾ e t i s t a s
libriño	l i b ɾ i ɲ o
libro	l i b ɾ o
libros	l i b ɾ o s
licenza	l i θ ɛ n θ a
licenza	l i θ ɛ n θ a
licenza	l i s ɛ n s a
licenza	l i θ e n θ a
licenza	l i θ e n θ a
licenza	l i s e n s a
lidar	l i ð a ɾ
lideira	l i d e j ɾ a
ligamento	l i ɡ a m e n t o
ligamento	l i ɡ a m e n t o
ligamento	l i ħ a m e n t o
ligamento	l i ɡ a m ɛ n t o
ligamento	l i ɡ a m ɛ n t o
ligamento	l i ħ a m ɛ n t o
ligar	l i ɡ a ɾ
ligar	l i ɡ a ɾ
ligar	l i ħ a ɾ
lighó	l i ħ oː
lighó	l i ħ o ŋ
lignito	l i ɡ n i t o
internacional	i n t e ɾ n a θ j o n a l
internacional	i n t e ɾ n a θ j o n a l
internacional	i n t e ɾ n a s j o n a l
interno	i n t ɛ ɾ n o
interpretación	i n t e ɾ p ɾ e t a θ j o ŋ
interpretación	i n t e ɾ p ɾ e t a θ j o ŋ
interpretación	i n t e ɾ p ɾ e t a s j o ŋ
intérprete	i n t ɛ ɾ p ɾ e t e
interprofesional	i n t e ɾ p ɾ o f e s j o n a l
intervención	i n t e ɾ b e n θ j o ŋ
intervención	i n t e ɾ b e n θ j o ŋ
intervención	i n t e ɾ b e n s j o ŋ
intervir	i n t e ɾ b i ɾ
íntimo	i n t i m o
intre	i n t ɾ e̝
intricar	i n t ɾ i k a ɾ
introducir	i n t ɾ o d u θ i ɾ
introducir	i n t ɾ o d u θ i ɾ
introducir	i n t ɾ o d u s i ɾ
intromisión	i n t ɾ o m i s j o ŋ
inundación	i n u n d a θ j o ŋ
inundación	i n u n d a θ j o ŋ
inundación	i n u n d a s j o ŋ
invadiu	i m b a d i w
invención	i m b e n θ j o ŋ
invención	i m b e n θ j o ŋ
invención	i m b e n s j o ŋ
inventar	i m b e n t a ɾ
invernada	i m b ɛ ɾ n a d a
invernía	i m b ɛ ɾ n i a̝
inverno	i m b ɛ ɾ n o
invernos	i m b ɛ ɾ n o s
investigación	i m b e s t i ɡ a θ j o ŋ
investigación	i m b e s t i ɡ a θ j o ŋ
investigación	i m b e s t i ħ a θ j o ŋ
investigación	i m b e s t i ħ a s j o ŋ
investigador	i m b e s t i ɡ a d o ɾ
investigador	i m b e s t i ɡ a d o ɾ
investigador	i m b e s t i ħ a d o ɾ
investigar	i m b e s t i ɡ a ɾ
investigar	i m b e s t i ɡ a ɾ
investigar	i m b e s t i ħ a ɾ
invitas	i m b i t a s
inxenuo	i n ʃ e n w o
inxustiza	i n ʃ u s t i θ a
inxustiza	i n ʃ u s t i θ a
inxustiza	i n ʃ u s t i s a
inxusto	i n ʃ u s t o
inzar	i n θ a ɾ
inzo	i n θ o̝
Iñobre	i ɲ ɔ b ɾ e
ionizar	i o n i θ a ɾ
ionizar	i o n i θ a ɾ
ionizar	i o n i s a ɾ
ira	i ɾ a
irado	i ɾ a d o
Irán	i ɾ a ŋ
irce	i ɾ θ e
irce	i ɾ θ e
irce	i ɾ s e
Irixoa	i ɾ i ʃ ɔ a
irlandés	i ɾ l ɐ n d ɛ s
irmá	i ɾ m aː
irmá	i ɾ m a ŋ
irmán	i ɾ m a ŋ
irmán	i ɾ m a ŋ
irmáns	i ɾ m a ŋ s
ironía	i ɾ o n i a
ironicamente	i ɾ ɔ n i k a m e n t e
irónico	i ɾ ɔ n i k o
irracional	i r a θ j o n a l
irracional	i r a θ j o n a l
irracional	i r a s j o n a l
irracionalidade	i r a θ j o n a l i d a d e
irracionalidade	i r a θ j o n a l i d a d e
irracionalidade	i r a s j o n a l i d a d e
irregular	i r e ɡ u l a ɾ
irregular	i r e ɡ u l a ɾ
irregular	i r e ħ u l a ɾ
irto	i ɾ t o̝
isca	i s k a̝
isca	i s k a̝
isqueiro	i s k e j ɾ o̝
israelí	i s r a ɛ l i
israelita	i s r a ɛ l i t a
israelitas	i s r a ɛ l i t a s
italiano	i t a l j ɐ n ʊ
janeiro	ʃ a n e j ɾ o
kafkiano	k a f k j a n o
labestro	l a β e s t ɾ o̝
lábil	l a b iː l
laboratorio	l a b o ɾ a t ɔ ɾ j o
labrada	l a b ɾ a d a
labrar	l a b ɾ a ɾ
labrego	l a b ɾ ɛ ɡ o
labrego	l a b ɾ ɛ ɡ o
labrego	l a b ɾ ɛ ħ o
lacazán	l a k a θ a ŋ
lacazán	l a k a θ a ŋ
lacazán	l a k a s a ŋ
laceira	l a θ ɛ j ɾ a̝
lacón	l a k o ŋ
ladaíña	l a ð a i ɲ a
ladeira	l a d e j ɾ a
lado	l a d o
ladral	l a ð ɾ a l
ladrar	l a ð ɾ a ɾ
ladrillo	l a d ɾ i ɟ o
ladrón	l a d ɾ o ŋ
lagar	l a ɡ a ɾ
lagar	l a ɡ a ɾ
lagar	l a ħ a ɾ
lagareta	l a ɣ a ɾ e t ɐ
lagartixa	l a ɡ a ɾ t i ʃ a
lagartixa	l a ɡ a ɾ t i ʃ a
lagartixa	l a ħ a ɾ t i ʃ a
lagarto	l a ɡ a ɾ t o
lagarto	l a ɡ a ɾ t o
lagarto	l a ħ a ɾ t o
lago	l a ɡ o
lago	l a ɡ o
lago	l a ħ o
lagoa	l a ɡ o a
lagoa	l a ɡ o a
lagoa	l a ħ o a
lagorza	l a ɡ o ɾ θ a
lagorza	l a ɡ o ɾ θ a
lagorza	l a ħ o ɾ θ a
lagorza	l a ħ o ɾ s a
lagos	l a ɡ o s
lagos	l a ɡ o s
lagos	l a ħ o s
lagosta	l a ɡ o s t a
lagosta	l a ɡ o s t a
lagosta	l a ħ o s t a
lágrima	l a ɡ ɾ i m a
lágrima	l a ɡ ɾ i m a
lágrima	l a ħ ɾ i m a
laiar	l a j a ɾ
laido	l a j d o
laído	l a i ð o̝
lais	l a j s
lama	l a m a
lamacento	l a m a θ ɛ n t o
lamacento	l a m a θ ɛ n t o
lamacento	l a m a s ɛ n t o
lamarckismo	l a m a ɾ k i s m o
lamazal	l a m a θ a l
lamazal	l a m a θ a l
lamazal	l a m a s a l
lambecricas	l a m b e k ɾ i k a̝ s
lambefoula	l a m b e f o w l a̝
lamber	l a m b e ɾ
lambetada	l a m b e t a ð a̝
lambonada	l a m b o n a ð a̝
lameiro	l a m e j ɾ o̝
lamela	l a m ɛ l a̝
lamela	l a m ɛ l a̝
lamentación	l a m e n t a θ j o ŋ
lamentación	l a m e n t a θ j o ŋ
lamentación	l a m e n t a s j o ŋ
lamentación	l a m ɛ n t a θ j o ŋ
lamentación	l a m ɛ n t a θ j o ŋ
lamentación	l a m ɛ n t a s j o ŋ
lamia	l a m j a̝
lamia	l a m j a̝
lamigueiro	l a m i ɡ e j ɾ ʊ
lámpada	l a m p a d a
lámpadas	l a m p a d a s
lampaza	l a m p a θ ɐ
lampaza	l a m p a s̻ ɐ
lampaza	l a m p a θ a̝
lampo	l a m p o
lamprea	l a m p ɾ e a̝
landeira	l a n d e j ɾ a̝
landra	l a n d ɾ a̝
langosta	l a ŋ ɡ o s t a
langosta	l a ŋ ɡ o s t a
langosta	l a ŋ ħ o s t a
langrán	l a ŋ ɡ ɾ a ŋ
lanza	l a n θ a
lanza	l a n θ a
lanza	l a n s a
lanzoa	l a n θ o a̝
laña	l a ɲ a̝
lañar	l a ɲ a ɾ
laño	l a ɲ o̝
lapacaldos	l a p a k a l d o̝ s
lapar	l a p a ɾ
lapela	l a p ɛ l a
lapis	l a p i s
lapo	l a p o̝
lar	l a ɾ
larada	l a ɾ a ð a̝
laranxa	l a ɾ a n ʃ a
laranxeira	l a ɾ a n ʃ e j ɾ a̝
larcha	l a r t͡ʃ a̝
lardo	l a ɾ d o
Laredo	l a ɾ e d o
laredo	l a ɾ e ð o̝
laredo	l a ɾ i ð o̝
larengo	l a ɾ e ŋ ɡ o̝
laretar	l a ɾ e t a ɾ
lareto	l a ɾ e t o̝
larfar	l a ɾ f a ɾ
largar	l a ɾ ɡ a ɾ
largar	l a ɾ ɡ a ɾ
largar	l a ɾ ħ a ɾ
largueza	l a ɾ ɡ e θ a
largueza	l a ɾ ɡ e θ a
largueza	l a ɾ ħ e θ a
largueza	l a ɾ ħ e s a
Lárnaca	l a ɾ n a k a
larpar	l a ɾ p a ɾ
larpeirada	l a ɾ p e j ɾ a ð a̝
lastra	l a s t ɾ a̝
lata	l a t a
latar	l a t a ɾ
látego	l a t e ɡ o
látego	l a t e ɡ o
látego	l a t e ħ o
latín	l a t i ŋ
latitude	l a t i t u d e
latricar	l a t ɾ i k a ɾ
lauto	l a w t o
lava	l a b a
lavacuncas	l a β a k u ŋ k a̝ s
lavacús	l a b a k u s
lavado	l a b a d o
lavadoiro	l a β a ð o j ɾ o̝
lavanco	l a b a ŋ k o
lavandeira	l a β a n d e j ɾ a̝
laverca	l a b ɛ ɾ k a
laverco	l a β ɛ ɾ k o
laxa	l a ʃ a̝
laxe	l a ʃ e̝
lazo	l a θ o
lear	l e a ɾ
lebrato	l ɛ b ɾ a t o
lebre	l ɛ b ɾ e
lebreiro	l ɛ b ɾ e j ɾ o
lección	l e k θ j o ŋ
lección	l e k θ j o ŋ
lección	l e k s j o ŋ
lecer	l e θ e ɾ
lecer	l e s e ɾ
Ledesma	l e d e s m a
ledicia	l e ð i θ j a̝
ledo	l e ð o̝
ledo	l ɛ ð o̝
legal	l e ɡ a l
legal	l e ɡ a l
legal	l e ħ a l
légoa	l ɛ ɣ w a̝
légoa	l ɛ ɣ ʊ̯ a̝
legón	l e ɡ o ŋ
legón	l e ɡ o ŋ
legón	l e ħ o ŋ
legua	l ɛ ɡ w a
legua	l ɛ ɡ w a
legua	l ɛ ħ w a
legume	l e ɣ u m e̝
lei	l e i
leiba	l ɛ j β a̝
leilán	l e j l a ŋ
leira	l e j ɾ a̝
leira	l e j ɾ a̝
leirón	l e j ɾ o ŋ
leirón	l e j ɾ o ŋ
leite	l e j t e
leito	l e j t o
leitón	l e j t o ŋ
leitoso	l e j t o s o
leituga	l e j t u ɡ a
leituga	l e j t u ɡ a
leituga	l e j t u ħ a
leiva	l e j b a
lella	l e ʎ a̝
lello	l e ʎ o̝
lembranza	l e m b ɾ a n θ a
lembranza	l e m b ɾ a n θ a
lembranza	l e m b ɾ a n s a
lembrar	l e m b ɾ a ɾ
leme	l ɛ m e̝
Lemos	l ɛ m o s
lene	l ɛ n e̝
lenlla	l e n ʎ a̝
lenllo	l e n ʎ o̝
lenta	l e n t a
lentella	l e n t e ʎ a̝
lento	l e n t o
lentura	l e n t u ɾ a
lenzo	l ɛ n θ o̝
lenzo	l ɛ n s o̝
lenzó	l ɛ n θ ɔ
leña	l e ɲ a
leo	l e ʊ
león	l e o ŋ
león	l j o ŋ
Leonor	l ɪ ʊ n o ɾ
ler	l e ɾ
lera	l ɛ ɾ a̝
lercha	l ɛ ɾ t͡ʃ a
lercho	l ɛ ɾ t͡ʃ o̝
leria	l ɛ ɾ j a
leriar	l ɛ ɾ i a ɾ
Lesende	l e s e n d e̝
lesma	l e s m a
lesma	l ɛ s m a
lesta	l ɛ s t a̝
leste	l ɛ s t e
leste	l e s t e
Lestrobe	l e s t ɾ ɔ β e̝
letreiro	l e t ɾ e j ɾ o
leva	l ɛ b a
levada	l e β a ð a̝
levar	l e b a ɾ
levedar	l e b e d a ɾ
lévedo	l e b e d o
levo	l ɛ b o
lexislativo	l e ʃ i s l a t i b o
liame	l i a m e̝
liaza	l i a θ a̝
liaza	l i a s a̝
libélula	l i b ɛ l u l a
liberación	l i b ɛ ɾ a θ j o ŋ
liberación	l i b ɛ ɾ a θ j o ŋ
liberación	l i b ɛ ɾ a s j o ŋ
liberalización	l i b ɛ ɾ a l i θ a θ j o ŋ
liberalización	l i b ɛ ɾ a l i θ a θ j o ŋ
liberalización	l i b ɛ ɾ a l i s a s j o ŋ
liberaçom	l i b ɛ ɾ a θ o ŋ
liberaçom	l i b ɛ ɾ a θ o ŋ
liberaçom	l i b ɛ ɾ a s o ŋ
liberdade	l i b e ɾ d a d e
libido	l i β i ð̞ ʊ
libracións	l i b ɾ a θ j o ŋ
libracións	l i b ɾ a θ j o ŋ
libracións	l i b ɾ a s j o ŋ
libraduras	l i b ɾ a d u ɾ a s
librar	l i b ɾ a ɾ
libraría	l i β ɾ a ɾ i a̝
libre	l i b ɾ e
libremente	l i b ɾ e m e n t e
libres	l i b ɾ e s
libretista	l i b ɾ e t i s t a
libretistas	l i b ɾ e t i s t a s
libriño	l i b ɾ i ɲ o
libro	l i b ɾ o
libros	l i b ɾ o s
licenza	l i θ ɛ n θ a
licenza	l i θ ɛ n θ a
licenza	l i s ɛ n s a
licenza	l i θ e n θ a
licenza	l i θ e n θ a
licenza	l i s e n s a
lidar	l i ð a ɾ
lideira	l i d e j ɾ a
ligamento	l i ɡ a m e n t o
ligamento	l i ɡ a m e n t o
ligamento	l i ħ a m e n t o
ligamento	l i ɡ a m ɛ n t o
ligamento	l i ɡ a m ɛ n t o
ligamento	l i ħ a m ɛ n t o
ligar	l i ɡ a ɾ
ligar	l i ɡ a ɾ
ligar	l i ħ a ɾ
lighó	l i ħ oː
lighó	l i ħ o ŋ
