־י	i
תרועות	t ə ʁ u ɔ ɪ̯ s
תרועות	t ʁ u ə s
תרועות	t ʁ u ʔ o t
תרופה	t ʁ u f a
תרנגול	t a ʁ n e ɡ o l
תשבץ	t a ʃ b e t͡s
תשדיר	t a ʃ d i ʁ
תשואה	t e s u a
תשואה	t͡s u a
תשובה	t ʃ u v a
תשע	t e j ʃ a
תשע	t e ʃ a
תשעה	t i ʃ ʔ a
תשעה	t i ʃ ʕ ɔ
