A	ʔ aː ˧˧
nóng nảy	n a w ŋ͡m ˧˦ n a j ˧˩
nóng nực	n a w ŋ͡m ˧˦ n ɨ k̚ ˧˨ ʔ
nóng ruột	n a w ŋ͡m ˧˦ z u ə t̚ ˧˨ ʔ
nóng sốt	n a w ŋ͡m ˧˦ s o t̚ ˧˦
nóng tính	n a w ŋ͡m ˧˦ t ï ŋ ˧˦
nóng vội	n a w ŋ͡m ˧˦ v o j ˧˨ ʔ
nóp	n ɔ p̚ ˧˦
nô	n o ˧˧
nô dịch	n o ˧˧ z ï k̟̚ ˧˨ ʔ
nô lệ	n o ˧˧ l e ˧˨ ʔ
nô nức	n o ˧˧ n ɨ k̚ ˧˦
nô tài	n o ˧˧ t aː j ˨˩
nô tì	n o ˧˧ t i ˨˩
nô đùa	n o ˧˧ ʔ ɗ u ə ˨˩
nôi	n o j ˧˧
nôm	n o m ˧˧
nôm na	n o m ˧˧ n aː ˧˧
nôn	n o n ˧˧
nôn khan	n o n ˧˧ x aː n ˧˧
nôn nao	n o n ˧˧ n aː w ˧˧
nôn nóng	n o n ˧˧ n a w ŋ͡m ˧˦
nôn nả	n o n ˧˧ n aː ˧˩
nông	n ə w ŋ͡m ˧˧
nông choèn	n ə w ŋ͡m ˧˧ t͡ɕ w ɛ n ˨˩
nông cạn	n ə w ŋ͡m ˧˧ k aː n ˧˨ ʔ
nông cụ	n ə w ŋ͡m ˧˧ k u ˧˨ ʔ
nông dân	n ə w ŋ͡m ˧˧ z ə n ˧˧
nông gia	n ə w ŋ͡m ˧˧ z aː ˧˧
nông học	n ə w ŋ͡m ˧˧ h a w k͡p̚ ˧˨ ʔ
nông nghiệp	n ə w ŋ͡m ˧˧ ŋ i ə p̚ ˧˨ ʔ
nông nghiệp hữu cơ	n ə w ŋ͡m ˧˧ ŋ i ə p̚ ˧˨ ʔ h i w ˦ˀ˥ k əː ˧˧
nông nghiệp thông minh	n ə w ŋ͡m ˧˧ ŋ i ə p̚ ˧˨ ʔ tʰ ə w ŋ͡m ˧˧ m ï ŋ ˧˧
nông nhàn	n ə w ŋ͡m ˧˧ ɲ aː n ˨˩
nông nô	n ə w ŋ͡m ˧˧ n o ˧˧
nông nổi	n ə w ŋ͡m ˧˧ n o j ˧˩
nông nỗi	n ə w ŋ͡m ˧˧ n o j ˦ˀ˥
nông phu	n ə w ŋ͡m ˧˧ f u ˧˧
nông sản	n ə w ŋ͡m ˧˧ s aː n ˧˩
nông sợt	n ə w ŋ͡m ˧˧ s əː t̚ ˧˨ ʔ
nông thôn	n ə w ŋ͡m ˧˧ tʰ o n ˧˧
nông thôn mới	n ə w ŋ͡m ˧˧ tʰ o n ˧˧ m əː j ˧˦
nông trường	n ə w ŋ͡m ˧˧ t͡ɕ ɨ ə ŋ ˨˩
nông trại	n ə w ŋ͡m ˧˧ t͡ɕ aː j ˧˨ ʔ
nôốc	n o k̚ ˧˦
nõ	n ɔ ˦ˀ˥
nõn	n ɔ n ˦ˀ˥
nùi	n u j ˨˩
núc	n ʊ w k͡p̚ ˧˦
núc nác	n ʊ w k͡p̚ ˧˦ n aː k̚ ˧˦
núi	n u j ˧˦
núi Nhạn	n u j ˧˦ ɲ aː n ˧˨ ʔ
núi cao còn có núi cao hơn	n u j ˧˦ k aː w ˧˧ k ɔ n ˨˩ k ɔ ˧˦ n u j ˧˦ k aː w ˧˧ h əː n ˧˧
núi lửa	n u j ˧˦ l ɨ ə ˧˩
núi ngầm	n u j ˧˦ ŋ ə m ˨˩
núi non	n u j ˧˦ n ɔ n ˧˧
núi rừng	n u j ˧˦ z ɨ ŋ ˨˩
núi sông	n u j ˧˦ s ə w ŋ͡m ˧˧
núm	n u m ˧˦
núm vú	n u m ˧˦ v u ˧˦
núm vú giả	n u m ˧˦ v u ˧˦ z aː ˧˩
núng	n ʊ w ŋ͡m ˧˦
núng thế	n ʊ w ŋ͡m ˧˦ tʰ e ˧˦
núp	n u p̚ ˧˦
nút	n u t̚ ˧˦
nút bấm	n u t̚ ˧˦ ʔ ɓ ə m ˧˦
nút bần	n u t̚ ˧˦ ʔ ɓ ə n ˨˩
nút ruồi	n u t̚ ˧˦ z u ə j ˨˩
năm	n a m ˧˧
năm Thìn bão lụt	n a m ˧˧ tʰ i n ˨˩ ʔ ɓ aː w ˦ˀ˥ l u t̚ ˧˨ ʔ
năm châu bốn bể	n a m ˧˧ t͡ɕ ə w ˧˧ ʔ ɓ o n ˧˦ ʔ ɓ e ˧˩
năm học	n a m ˧˧ h a w k͡p̚ ˧˨ ʔ
năm mười	n a m ˧˧ m ɨ ə j ˨˩
năm mới	n a m ˧˧ m əː j ˧˦
năm ngoái	n a m ˧˧ ŋ w aː j ˧˦
năm nhuận	n a m ˧˧ ɲ w ə n ˧˨ ʔ
năm tháng	n a m ˧˧ tʰ aː ŋ ˧˦
năm thì mười hoạ	n a m ˧˧ tʰ i ˨˩ m ɨ ə j ˨˩ h w aː ˧˨ ʔ
năm tài chính	n a m ˧˧ t aː j ˨˩ t͡ɕ ï ŋ ˧˦
năm xưa	n a m ˧˧ s ɨ ə ˧˧
năm ánh sáng	n a m ˧˧ ʔ a j ŋ̟ ˧˦ s aː ŋ ˧˦
năn	n a n ˧˧
năn ngọt	n a n ˧˧ ŋ ɔ t̚ ˧˨ ʔ
năn nỉ	n a n ˧˧ n i ˧˩
năng	n a ŋ ˧˧
năng khiếu	n a ŋ ˧˧ x i ə w ˧˦
năng lượng	n a ŋ ˧˧ l ɨ ə ŋ ˧˨ ʔ
năng lực	n a ŋ ˧˧ l ɨ k̚ ˧˨ ʔ
năng nhặt chặt bị	n a ŋ ˧˧ ɲ a t̚ ˧˨ ʔ t͡ɕ a t̚ ˧˨ ʔ ʔ ɓ i ˧˨ ʔ
năng nổ	n a ŋ ˧˧ n o ˧˩
năng suất	n a ŋ ˧˧ s w ə t̚ ˧˦
năng động	n a ŋ ˧˧ ʔ ɗ ə w ŋ͡m ˧˨ ʔ
nĩa	n i ə ˦ˀ˥
nũng	n ʊ w ŋ͡m ˦ˀ˥
nơ	n əː ˧˧
nơ bướm	n əː ˧˧ ʔ ɓ ɨ ə m ˧˦
nơi	n əː j ˧˧
nơi chốn	n əː j ˧˧ t͡ɕ o n ˧˦
nơi nơi	n əː j ˧˧ n əː j ˧˧
nơi sinh	n əː j ˧˧ s ï ŋ ˧˧
nơm	n əː m ˧˧
nơm nớp	n əː m ˧˧ n əː p̚ ˧˦
nơtron	n əː ˧˧ t͡ɕ ə w ŋ͡m ˧˧
nưa	n ɨ ə ˧˧
nương	n ɨ ə ŋ ˧˧
nương long	n ɨ ə ŋ ˧˧ l a w ŋ͡m ˧˧
nương náu	n ɨ ə ŋ ˧˧ n a w ˧˦
nương thân	n ɨ ə ŋ ˧˧ tʰ ə n ˧˧
nương tử	n ɨ ə ŋ ˧˧ t ɨ ˧˩
nước	n ɨ ə k̚ ˧˦
nước Bắc	n ɨ ə k̚ ˧˦ ʔ ɓ a k̚ ˧˦
nước Mĩ	n ɨ ə k̚ ˧˦ m i ˦ˀ˥
nước Nam	n ɨ ə k̚ ˧˦ n aː m ˧˧
nước Tàu	n ɨ ə k̚ ˧˦ t a w ˨˩
nước biển	n ɨ ə k̚ ˧˦ ʔ ɓ i ə n ˧˩
nước bước	n ɨ ə k̚ ˧˦ ʔ ɓ ɨ ə k̚ ˧˦
nước bọt	n ɨ ə k̚ ˧˦ ʔ ɓ ɔ t̚ ˧˨ ʔ
nước chanh	n ɨ ə k̚ ˧˦ t͡ɕ a j ŋ̟ ˧˧
nước chè	n ɨ ə k̚ ˧˦ t͡ɕ ɛ ˨˩
nước chảy đá mòn	n ɨ ə k̚ ˧˦ t͡ɕ a j ˧˩ ʔ ɗ aː ˧˦ m ɔ n ˨˩
nước chấm	n ɨ ə k̚ ˧˦ t͡ɕ ə m ˧˦
nước có ga	n ɨ ə k̚ ˧˦ k ɔ ˧˦ ɣ aː ˧˧
nước cường toan	n ɨ ə k̚ ˧˦ k ɨ ə ŋ ˨˩ t w aː n ˧˧
nước cất	n ɨ ə k̚ ˧˦ k ə t̚ ˧˦
nước cống	n ɨ ə k̚ ˧˦ k ə w ŋ͡m ˧˦
nước cốt dừa	n ɨ ə k̚ ˧˦ k o t̚ ˧˦ z ɨ ə ˨˩
nước cứng	n ɨ ə k̚ ˧˦ k ɨ ŋ ˧˦
nước da	n ɨ ə k̚ ˧˦ z aː ˧˧
nước dãi	n ɨ ə k̚ ˧˦ z aː j ˦ˀ˥
nước dùng	n ɨ ə k̚ ˧˦ z ʊ w ŋ͡m ˨˩
nước dừa	n ɨ ə k̚ ˧˦ z ɨ ə ˨˩
nước giải	n ɨ ə k̚ ˧˦ z aː j ˧˩
nước giải khát	n ɨ ə k̚ ˧˦ z aː j ˧˩ x aː t̚ ˧˦
nước gạo	n ɨ ə k̚ ˧˦ ɣ aː w ˧˨ ʔ
nước hoa	n ɨ ə k̚ ˧˦ h w aː ˧˧
nước hàng	n ɨ ə k̚ ˧˦ h aː ŋ ˨˩
nước khoáng	n ɨ ə k̚ ˧˦ x w aː ŋ ˧˦
nước kiệu	n ɨ ə k̚ ˧˦ k i ə w ˧˨ ʔ
nước kết tinh	n ɨ ə k̚ ˧˦ k e t̚ ˧˦ t ï ŋ ˧˧
nước lã	n ɨ ə k̚ ˧˦ l aː ˦ˀ˥
nước lèo	n ɨ ə k̚ ˧˦ l ɛ w ˨˩
nước lên	n ɨ ə k̚ ˧˦ l e n ˧˧
nước lạnh	n ɨ ə k̚ ˧˦ l a j ŋ̟ ˧˨ ʔ
nước lọc	n ɨ ə k̚ ˧˦ l a w k͡p̚ ˧˨ ʔ
nước miếng	n ɨ ə k̚ ˧˦ m i ə ŋ ˧˦
nước muối	n ɨ ə k̚ ˧˦ m u ə j ˧˦
nước máy	n ɨ ə k̚ ˧˦ m a j ˧˦
nước mía	n ɨ ə k̚ ˧˦ m i ə ˧˦
nước mũi	n ɨ ə k̚ ˧˦ m u j ˦ˀ˥
nước mắm	n ɨ ə k̚ ˧˦ m a m ˧˦
nước mắt	n ɨ ə k̚ ˧˦ m a t̚ ˧˦
nước mắt cá sấu	n ɨ ə k̚ ˧˦ m a t̚ ˧˦ k aː ˧˦ s ə w ˧˦
nước mặn	n ɨ ə k̚ ˧˦ m a n ˧˨ ʔ
nước mẹ	n ɨ ə k̚ ˧˦ m ɛ ˧˨ ʔ
nước ngoài	n ɨ ə k̚ ˧˦ ŋ w aː j ˨˩
nước ngọt	n ɨ ə k̚ ˧˦ ŋ ɔ t̚ ˧˨ ʔ
nước ngọt có ga	n ɨ ə k̚ ˧˦ ŋ ɔ t̚ ˧˨ ʔ k ɔ ˧˦ ɣ aː ˧˧
nước nhà	n ɨ ə k̚ ˧˦ ɲ aː ˨˩
nước non	n ɨ ə k̚ ˧˦ n ɔ n ˧˧
nước nôi	n ɨ ə k̚ ˧˦ n o j ˧˧
nước nặng	n ɨ ə k̚ ˧˦ n a ŋ ˧˨ ʔ
nước phèn	n ɨ ə k̚ ˧˦ f ɛ n ˨˩
nước ròng	n ɨ ə k̚ ˧˦ z a w ŋ͡m ˨˩
nước rút	n ɨ ə k̚ ˧˦ z u t̚ ˧˦
nước rửa tay	n ɨ ə k̚ ˧˦ z ɨ ə ˧˩ t a j ˧˧
nước suối	n ɨ ə k̚ ˧˦ s u ə j ˧˦
nước sôi	n ɨ ə k̚ ˧˦ s o j ˧˧
nước sông không phạm nước giếng	n ɨ ə k̚ ˧˦ s ə w ŋ͡m ˧˧ x ə w ŋ͡m ˧˧ f aː m ˧˨ ʔ n ɨ ə k̚ ˧˦ z i ə ŋ ˧˦
nước sốt	n ɨ ə k̚ ˧˦ s o t̚ ˧˦
nước thơm	n ɨ ə k̚ ˧˦ tʰ əː m ˧˧
nước thải	n ɨ ə k̚ ˧˦ tʰ aː j ˧˩
nước tiểu	n ɨ ə k̚ ˧˦ t i ə w ˧˩
nước tro	n ɨ ə k̚ ˧˦ t͡ɕ ɔ ˧˧
nước trắng	n ɨ ə k̚ ˧˦ t͡ɕ a ŋ ˧˦
nước tăng lực	n ɨ ə k̚ ˧˦ t a ŋ ˧˧ l ɨ k̚ ˧˨ ʔ
nước tương	n ɨ ə k̚ ˧˦ t ɨ ə ŋ ˧˧
nước uống	n ɨ ə k̚ ˧˦ ʔ u ə ŋ ˧˦
nước xuýt	n ɨ ə k̚ ˧˦ s w i t̚ ˧˦
nước xáo	n ɨ ə k̚ ˧˦ s aː w ˧˦
nước xốt	n ɨ ə k̚ ˧˦ s o t̚ ˧˦
nước xốt cà chua	n ɨ ə k̚ ˧˦ s o t̚ ˧˦ k aː ˨˩ t͡ɕ u ə ˧˧
nước ép	n ɨ ə k̚ ˧˦ ʔ ɛ p̚ ˧˦
nước đá	n ɨ ə k̚ ˧˦ ʔ ɗ aː ˧˦
nước đái	n ɨ ə k̚ ˧˦ ʔ ɗ aː j ˧˦
nước đôi	n ɨ ə k̚ ˧˦ ʔ ɗ o j ˧˧
nước đường	n ɨ ə k̚ ˧˦ ʔ ɗ ɨ ə ŋ ˨˩
nước đại	n ɨ ə k̚ ˧˦ ʔ ɗ aː j ˧˨ ʔ
nước đến chân mới nhảy	n ɨ ə k̚ ˧˦ ʔ ɗ e n ˧˦ t͡ɕ ə n ˧˧ m əː j ˧˦ ɲ a j ˧˩
nước độc	n ɨ ə k̚ ˧˦ ʔ ɗ ə w k͡p̚ ˧˨ ʔ
nước đục	n ɨ ə k̚ ˧˦ ʔ ɗ ʊ w k͡p̚ ˧˨ ʔ
nước đục thả câu	n ɨ ə k̚ ˧˦ ʔ ɗ ʊ w k͡p̚ ˧˨ ʔ tʰ aː ˧˩ k ə w ˧˧
nước ối	n ɨ ə k̚ ˧˦ ʔ o j ˧˦
nướng	n ɨ ə ŋ ˧˦
nướng lu	n ɨ ə ŋ ˧˦ l u ˧˧
nướu	n i ə w ˧˦
nườm nượp	n ɨ ə m ˨˩ n ɨ ə p̚ ˧˨ ʔ
nường	n ɨ ə ŋ ˨˩
nạ	n aː ˧˨ ʔ
nạ dòng	n aː ˧˨ ʔ z a w ŋ͡m ˨˩
nạc	n aː k̚ ˧˨ ʔ
nạm	n aː m ˧˨ ʔ
nạn	n aː n ˧˨ ʔ
nạn nhân	n aː n ˧˨ ʔ ɲ ə n ˧˧
nạng	n aː ŋ ˧˨ ʔ
nạnh	n a j ŋ̟ ˧˨ ʔ
nạo	n aː w ˧˨ ʔ
nạo bạt	n aː w ˧˨ ʔ ʔ ɓ aː t̚ ˧˨ ʔ
nạo vét	n aː w ˧˨ ʔ v ɛ t̚ ˧˦
nạp	n aː p̚ ˧˨ ʔ
nạp điện	n aː p̚ ˧˨ ʔ ʔ ɗ i ə n ˧˨ ʔ
nạt	n aː t̚ ˧˨ ʔ
nạy	n a j ˧˨ ʔ
nải	n aː j ˧˩
nản	n aː n ˧˩
nản chí	n aː n ˧˩ t͡ɕ i ˧˦
nản lòng	n aː n ˧˩ l a w ŋ͡m ˨˩
nảy	n a j ˧˩
nảy nở	n a j ˧˩ n əː ˧˩
nảy sinh	n a j ˧˩ s ï ŋ ˧˧
nấc	n ə k̚ ˧˦
nấm	n ə m ˧˦
nấm báo mưa	n ə m ˧˦ ʔ ɓ aː w ˧˦ m ɨ ə ˧˧
nấm hương	n ə m ˧˦ h ɨ ə ŋ ˧˧
nấm kim châm	n ə m ˧˦ k i m ˧˧ t͡ɕ ə m ˧˧
nấm linh chi	n ə m ˧˦ l ï ŋ ˧˧ t͡ɕ i ˧˧
nấm lùn	n ə m ˧˦ l u n ˨˩
nấm mèo	n ə m ˧˦ m ɛ w ˨˩
nấm mối	n ə m ˧˦ m o j ˧˦
nấm rơm	n ə m ˧˦ z əː m ˧˧
nấm tràm	n ə m ˧˦ t͡ɕ aː m ˨˩
nấm tuyết	n ə m ˧˦ t w i ə t̚ ˧˦
nấm đầu khỉ	n ə m ˧˦ ʔ ɗ ə w ˨˩ x i ˧˩
nấn ná	n ə n ˧˦ n aː ˧˦
nấp	n ə p̚ ˧˦
nấu	n ə w ˧˦
nấu bếp	n ə w ˧˦ ʔ ɓ e p̚ ˧˦
nấu chảy	n ə w ˧˦ t͡ɕ a j ˧˩
nấu nướng	n ə w ˧˦ n ɨ ə ŋ ˧˦
nấu ăn	n ə w ˧˦ ʔ a n ˧˧
nấy	n ə j ˧˦
nầm	n ə m ˨˩
nầy	n ə j ˨˩
nẩu	n ə w ˧˩
nẩy	n ə j ˧˩
nẫn	n ə n ˦ˀ˥
nẫu	n ə w ˦ˀ˥
nậm	n ə m ˧˨ ʔ
nậu	n ə w ˧˨ ʔ
nậy	n ə j ˧˨ ʔ
nắc nẻ	n a k̚ ˧˦ n ɛ ˧˩
nắm	n a m ˧˦
nắm bắt	n a m ˧˦ ʔ ɓ a t̚ ˧˦
nắm giữ	n a m ˧˦ z ɨ ˦ˀ˥
nắm lấy	n a m ˧˦ l ə j ˧˦
nắm đấm	n a m ˧˦ ʔ ɗ ə m ˧˦
nắn	n a n ˧˦
nắn dòng	n a n ˧˦ z a w ŋ͡m ˨˩
nắn nót	n a n ˧˦ n ɔ t̚ ˧˦
nắng	n a ŋ ˧˦
nắng chói	n a ŋ ˧˦ t͡ɕ ɔ j ˧˦
nắng nỏ	n a ŋ ˧˦ n ɔ ˧˩
nắp	n a p̚ ˧˦
nắp bình xăng	n a p̚ ˧˦ ʔ ɓ ï ŋ ˨˩ s a ŋ ˧˧
nắp ấm	n a p̚ ˧˦ ʔ ə m ˧˦
nằm	n a m ˨˩
nằm gai nếm mật	n a m ˨˩ ɣ aː j ˧˧ n e m ˧˦ m ə t̚ ˧˨ ʔ
nằm lòng	n a m ˨˩ l a w ŋ͡m ˨˩
nằm mơ	n a m ˨˩ m əː ˧˧
nằm vùng	n a m ˨˩ v ʊ w ŋ͡m ˨˩
nằm xuống	n a m ˨˩ s u ə ŋ ˧˦
nằng nặc	n a ŋ ˨˩ n a k̚ ˧˨ ʔ
nẳm	n a m ˧˩
nặc	n a k̚ ˧˨ ʔ
nặc danh	n a k̚ ˧˨ ʔ z a j ŋ̟ ˧˧
nặn	n a n ˧˨ ʔ
nặng	n a ŋ ˧˨ ʔ
nặng lòng	n a ŋ ˧˨ ʔ l a w ŋ͡m ˨˩
nặng lời	n a ŋ ˧˨ ʔ l əː j ˨˩
nặng nhọc	n a ŋ ˧˨ ʔ ɲ a w k͡p̚ ˧˨ ʔ
nặng nề	n a ŋ ˧˨ ʔ n e ˨˩
nặng tai	n a ŋ ˧˨ ʔ t aː j ˧˧
nặng trịch	n a ŋ ˧˨ ʔ t͡ɕ ï k̟̚ ˧˨ ʔ
nặng vía	n a ŋ ˧˨ ʔ v i ə ˧˦
nẹp	n ɛ p̚ ˧˨ ʔ
nẻ	n ɛ ˧˩
nẻo	n ɛ w ˧˩
nẻo đường	n ɛ w ˧˩ ʔ ɗ ɨ ə ŋ ˨˩
nếm	n e m ˧˦
nếm mật nằm gai	n e m ˧˦ m ə t̚ ˧˨ ʔ n a m ˨˩ ɣ aː j ˧˧
nếm trải	n e m ˧˦ t͡ɕ aː j ˧˩
nến	n e n ˧˦
nếp	n e p̚ ˧˦
nếp sống	n e p̚ ˧˦ s ə w ŋ͡m ˧˦
nếp than	n e p̚ ˧˦ tʰ aː n ˧˧
nết	n e t̚ ˧˦
nết na	n e t̚ ˧˦ n aː ˧˧
nếu	n e w ˧˦
nề	n e ˨˩
nề hà	n e ˨˩ h aː ˨˩
nề nếp	n e ˨˩ n e p̚ ˧˦
nền	n e n ˨˩
nền nã	n e n ˨˩ n aː ˦ˀ˥
nền nếp	n e n ˨˩ n e p̚ ˧˦
nền tảng	n e n ˨˩ t aː ŋ ˧˩
nể	n e ˧˩
nể nang	n e ˧˩ n aː ŋ ˧˧
nệ	n e ˧˨ ʔ
nệm	n e m ˧˨ ʔ
nệm hơi	n e m ˧˨ ʔ h əː j ˧˧
nệm xe	n e m ˧˨ ʔ s ɛ ˧˧
nện	n e n ˧˨ ʔ
nỉ non	n i ˧˩ n ɔ n ˧˧
nị	n i ˧˨ ʔ
nịch	n ï k̟̚ ˧˨ ʔ
nịnh	n ï ŋ ˧˨ ʔ
nịnh bợ	n ï ŋ ˧˨ ʔ ʔ ɓ əː ˧˨ ʔ
nịnh thần	n ï ŋ ˧˨ ʔ tʰ ə n ˨˩
nịnh đầm	n ï ŋ ˧˨ ʔ ʔ ɗ ə m ˨˩
nịt	n i t̚ ˧˨ ʔ
nịt vú	n i t̚ ˧˨ ʔ v u ˧˦
nọ	n ɔ ˧˨ ʔ
nọc	n a w k͡p̚ ˧˨ ʔ
nọc nọc	n a w k͡p̚ ˧˨ ʔ n a w k͡p̚ ˧˨ ʔ
nọc độc	n a w k͡p̚ ˧˨ ʔ ʔ ɗ ə w k͡p̚ ˧˨ ʔ
nọng	n a w ŋ͡m ˧˨ ʔ
nỏ	n ɔ ˧˩
nốc	n ə w k͡p̚ ˧˦
nối	n o j ˧˦
nối chữ	n o j ˧˦ t͡ɕ ɨ ˦ˀ˥
nối dòng	n o j ˧˦ z a w ŋ͡m ˨˩
nối dõi	n o j ˧˦ z ɔ j ˦ˀ˥
nối gót	n o j ˧˦ ɣ ɔ t̚ ˧˦
nối liền	n o j ˧˦ l i ə n ˨˩
nối lại	n o j ˧˦ l aː j ˧˨ ʔ
nối nghiệp	n o j ˧˦ ŋ i ə p̚ ˧˨ ʔ
nối ngôi	n o j ˧˦ ŋ o j ˧˧
nối tiếp	n o j ˧˦ t i ə p̚ ˧˦
nối từ	n o j ˧˦ t ɨ ˨˩
nốt	n o t̚ ˧˦
nốt chu sa	n o t̚ ˧˦ t͡ɕ u ˧˧ s aː ˧˧
nốt ruồi	n o t̚ ˧˦ z u ə j ˨˩
nốt tròn	n o t̚ ˧˦ t͡ɕ ɔ n ˨˩
nốt trắng	n o t̚ ˧˦ t͡ɕ a ŋ ˧˦
nốt đen	n o t̚ ˧˦ ʔ ɗ ɛ n ˧˧
nồi	n o j ˨˩
nồi cơm điện	n o j ˨˩ k əː m ˧˧ ʔ ɗ i ə n ˧˨ ʔ
nồi niêu	n o j ˨˩ n i ə w ˧˧
nồi niêu xoong chảo	n o j ˨˩ n i ə w ˧˧ s ɔ ŋ ˧˧ t͡ɕ aː w ˧˩
nồi nấu chảy	n o j ˨˩ n ə w ˧˦ t͡ɕ a j ˧˩
nồi áp suất	n o j ˨˩ ʔ aː p̚ ˧˦ s w ə t̚ ˧˦
nồi đất	n o j ˨˩ ʔ ɗ ə t̚ ˧˦
nồng	n ə w ŋ͡m ˨˩
nồng hậu	n ə w ŋ͡m ˨˩ h ə w ˧˨ ʔ
nồng nhiệt	n ə w ŋ͡m ˨˩ ɲ i ə t̚ ˧˨ ʔ
nồng nàn	n ə w ŋ͡m ˨˩ n aː n ˨˩
nồng nặc	n ə w ŋ͡m ˨˩ n a k̚ ˧˨ ʔ
nồng độ	n ə w ŋ͡m ˨˩ ʔ ɗ o ˧˨ ʔ
nồng ấm	n ə w ŋ͡m ˨˩ ʔ ə m ˧˦
nổ	n o ˧˩
nổ não	n o ˧˩ n aː w ˦ˀ˥
nổi	n o j ˧˩
nổi bật	n o j ˧˩ ʔ ɓ ə t̚ ˧˨ ʔ
nổi cơn tam bành	n o j ˧˩ k əː n ˧˧ t aː m ˧˧ ʔ ɓ a j ŋ̟ ˨˩
nổi cộm	n o j ˧˩ k o m ˧˨ ʔ
nổi danh	n o j ˧˩ z a j ŋ̟ ˧˧
nổi dậy	n o j ˧˩ z ə j ˧˨ ʔ
nổi giận	n o j ˧˩ z ə n ˧˨ ʔ
nổi loạn	n o j ˧˩ l w aː n ˧˨ ʔ
nổi nênh	n o j ˧˩ n ə j ŋ̟ ˧˧
nổi tiếng	n o j ˧˩ t i ə ŋ ˧˦
nổi trội	n o j ˧˩ t͡ɕ o j ˧˨ ʔ
nổng	n ə w ŋ͡m ˧˩
nỗ lực	n o ˦ˀ˥ l ɨ k̚ ˧˨ ʔ
nỗi	n o j ˦ˀ˥
nỗi niềm	n o j ˦ˀ˥ n i ə m ˨˩
nộ	n o ˧˨ ʔ
nội	n o j ˧˨ ʔ
nội bào	n o j ˧˨ ʔ ʔ ɓ aː w ˨˩
nội bào tử	n o j ˧˨ ʔ ʔ ɓ aː w ˨˩ t ɨ ˧˩
nội bệnh lí	n o j ˧˨ ʔ ʔ ɓ ə j ŋ̟ ˧˨ ʔ l i ˧˦
nội bộ	n o j ˧˨ ʔ ʔ ɓ o ˧˨ ʔ
nội chiến	n o j ˧˨ ʔ t͡ɕ i ə n ˧˦
nội các	n o j ˧˨ ʔ k aː k̚ ˧˦
nội dung	n o j ˧˨ ʔ z ʊ w ŋ͡m ˧˧
nội gián	n o j ˧˨ ʔ z aː n ˧˦
nội khoa	n o j ˧˨ ʔ x w aː ˧˧
nội khí quản	n o j ˧˨ ʔ x i ˧˦ k w aː n ˧˩
nội lực	n o j ˧˨ ʔ l ɨ k̚ ˧˨ ʔ
nội quy	n o j ˧˨ ʔ k w i ˧˧
nội san	n o j ˧˨ ʔ s aː n ˧˧
nội sinh	n o j ˧˨ ʔ s ï ŋ ˧˧
nội soi	n o j ˧˨ ʔ s ɔ j ˧˧
nội thuỷ	n o j ˧˨ ʔ tʰ w i ˧˩
nội thành	n o j ˧˨ ʔ tʰ a j ŋ̟ ˨˩
nội thương	n o j ˧˨ ʔ tʰ ɨ ə ŋ ˧˧
nội thất	n o j ˧˨ ʔ tʰ ə t̚ ˧˦
nội thị	n o j ˧˨ ʔ tʰ i ˧˨ ʔ
nội tiếp	n o j ˧˨ ʔ t i ə p̚ ˧˦
nội tiết	n o j ˧˨ ʔ t i ə t̚ ˧˦
nội tiết tố	n o j ˧˨ ʔ t i ə t̚ ˧˦ t o ˧˦
nội tiểu bang	n o j ˧˨ ʔ t i ə w ˧˩ ʔ ɓ aː ŋ ˧˧
nội trú	n o j ˧˨ ʔ t͡ɕ u ˧˦
nội trợ	n o j ˧˨ ʔ t͡ɕ əː ˧˨ ʔ
nội tâm	n o j ˧˨ ʔ t ə m ˧˧
nội tâm mạc	n o j ˧˨ ʔ t ə m ˧˧ m aː k̚ ˧˨ ʔ
nội tại	n o j ˧˨ ʔ t aː j ˧˨ ʔ
nội tạng	n o j ˧˨ ʔ t aː ŋ ˧˨ ʔ
nội tỉnh	n o j ˧˨ ʔ t ï ŋ ˧˩
nội vụ	n o j ˧˨ ʔ v u ˧˨ ʔ
nội y	n o j ˧˨ ʔ ʔ i ˧˧
nội ô	n o j ˧˨ ʔ ʔ o ˧˧
nội đô	n o j ˧˨ ʔ ʔ ɗ o ˧˧
nội địa	n o j ˧˨ ʔ ʔ ɗ i ə ˧˨ ʔ
nội độc tố	n o j ˧˨ ʔ ʔ ɗ ə w k͡p̚ ˧˨ ʔ t o ˧˦
nội động từ	n o j ˧˨ ʔ ʔ ɗ ə w ŋ͡m ˧˨ ʔ t ɨ ˨˩
nội ứng	n o j ˧˨ ʔ ʔ ɨ ŋ ˧˦
nộm	n o m ˧˨ ʔ
nộp	n o p̚ ˧˨ ʔ
nộp mạng	n o p̚ ˧˨ ʔ m aː ŋ ˧˨ ʔ
nột	n o t̚ ˧˨ ʔ
nớ	n əː ˧˦
nới	n əː j ˧˦
nới giá	n əː j ˧˦ z aː ˧˦
nới lỏng	n əː j ˧˦ l a w ŋ͡m ˧˩
nới rộng	n əː j ˧˦ z ə w ŋ͡m ˧˨ ʔ
nở	n əː ˧˩
nở mặt	n əː ˧˩ m a t̚ ˧˨ ʔ
nở nang	n əː ˧˩ n aː ŋ ˧˧
nở rộ	n əː ˧˩ z o ˧˨ ʔ
nỡ	n əː ˦ˀ˥
nỡm	n əː m ˦ˀ˥
nợ	n əː ˧˨ ʔ
