a	eː
consultation	k ɑ n s ɫ̩ t e ɪ ʃ n̩
contaminate	k ə n t ɛ ə m ɪ n e ɪ t
contamination	k ə n t ɛ ə m ə n e ɪ ʃ ə n
contamination	k ə n ɾ̃ æ m ə n e ɪ ʃ ə n
contestant	k ə n tʰ ɛ s t ə n t
continuity	k ɑ n t ɪ n j u ə ɾ i
continuity	k ɑ n t ɪ n u ə ɾ i
continuity	k ɑ n t n̩ j u ə ɾ i
continuity	k ɑ n t n̩ u ə ɾ i
continuity	k ɑ n ʔ n̩ j u ə ɾ i
continuity	k ɑ n ʔ n̩ u ə ɾ i
contribute	k ə n t ɹ ɪ b j ə ɾ
contribute	k ə n t ɹ ɪ b ə ɾ
controversial	k ɑ n t͡ʃ ɹ ə v ɝ ʃ ɫ̩
convenience	k ə n v i n j ə n t s
conversation	kʰ ɑ ɱ v ɚ s e ɪ ʃ n̩
convert	kʰ ɒ ɱ v ə t
convert	kʰ ɑ ɱ v ɚ t
convert	kʰ ə̥ ɱ v ɜː t
convert	kʰ ə̥ ɱ v ɝ t
conviction	k ə n v ɪ k ʃ ə n
conviction	k ə n v ɪ k ʃ n̩
convince	kʰ ə n v ɪ n s
coolly	k uʷ ɫ l i
coolly	k ʉː l i
cord	kʰ ɔː d
cord	kʰ o̞ː d
cord	kʰ oː d
cord	kʰ o ɹ d
cord	kʰ ɔ ɾ d
cord	kʰ ɔ ɹ d
core	kʰ o̞ ɹ
cores	kʰ o̞ ɹ z
corpora	k ɔ ɹ p ɹ ə
corps	kʰ o̞ ɹ
corps	kʰ o̞ ɹ z
corpse	kʰ o̞ ɹ p s
corpsicle	k ɔ ɹ p s ɪ k l̩
corrode	k ə ɹ o ʊ̯ d
corrode	k ɚ ɹ o ʊ̯ d
corrode	k ɚ o ʊ̯ d
cortisol	k o ɹ ɾ ɪ s ɔ l
cortisol	k o ɹ ɾ ɪ s ɑ l
cosmetic	k ɑ z m ɛ ɾ ɪ k
cosmetics	k ɑ z m ɛ ɾ ɪ k s
Cotabato	k ɔ ʊ t æ b ɑ d ɔ ʊ
coterie	k o ʊ ɾ ə ɹ i
coterie	k o ʊ ɾ ə ɹ i
cottage	k ɑ ɾ ɪ d͡ʒ
cottage	k ɑ ɾ ə d͡ʒ
Cotten	k ɑ ʔ n̩
cotton	k ɑ ʔ n̩
cougar	kʰ u ɡ ɚ
could	kʰ ə d
could	kʰ ʊ d
coulda	kʰ ʊ d ə
countable	kʰ ã ʊ̯̃ n ɾ ə b ɫ̩
countable	kʰ ã ʊ̯̃ n ə b ɫ̩
counter	k a ʊ ɾ̃ ɚ
counter	kʰ a ʊ̯ ɾ̃ ɚ
counter	kʰ a ʊ̯ n ɚ
counterflood	k a ʊ n ɚ f l ʌ d
counterflooding	k a ʊ n ɚ f l ʌ d ɪ ŋ
counterflooding	k a ʊ n ɚ f l ʌ d ə ŋ
counterintuitive	kʰ a ʊ ɾ̃ ɚ ɪ n tʰ u ɪ ɾ ɪ v
country	kʰ ʌ n t̠ ɹ̠̊ ˔ʷ i
country	k ɐ n t̺ ɹ iˑ
county	kʰ a ʊ̯ n t i
county	kʰ a ʊ̯ ɾ̃ i
couple	k ʌ p ɫ̩
couples	k ʌ p ɫ̩ z
coupon	kʰ u p a n
coupon	k j̥ u p a n
court	kʰ ɔ ɹ t
cousins	kʰ ɐ z ɹ̩ n s
couyon	k u j ɑ̃
Coventry	kʰ ɑ v ə n t ʃ ɹ i
cow	kʰ æ ʊː
crabocado	k ɹ æ b ə k ɑ ɾ o ʊ
crag	kʰ ɹʷ æ ɡ
crag	kʰ ɹʷ e ɪ̯ ɡ
Craig	kʰ ɹʷ ɛ ɡ
Craig	kʰ ɹʷ e ɪ̯ ɡ
crank	kʰ ɹʷ e ɪ̯ ŋ k
crank	kʰ ɹʷ ɛ̃ ŋ k
crankle	kʰ ɹʷ e ɪ̯ ŋ k ə l
crankle	kʰ ɹʷ e ɪ̯ ŋ k l̩
crankle	kʰ ɹʷ ɛ̃ ŋ k ə l
crankle	kʰ ɹʷ ɛ̃ ŋ k l̩
crash	kʰ ɹʷ æ ʃ
crayon	k ɹ ɛ ɔ̯ n
crayon	k ɹ æ ɔ̯ n
craytur	k ɹ eː t̪ ɚ
creatine	k ɹ i ə ɾ i n
creation	kʰ ɹʷ ɪ i̯ e ɪ̯ ʃ ə n
creation	kʰ ɹʷ ɪ i̯ e ɪ̯ ʃ n̩
creator	kʰ ɹʷ ɪ i̯ e ɪ̯ tʰ ɚ
creator	kʰ ɹʷ ɪ i̯ e ɪ̯ tʰ ɹ̩
creator	kʰ ɹʷ ɪ i̯ e ɪ̯ ɾ ɚ
creator	kʰ ɹʷ ɪ i̯ e ɪ̯ ɾ ɹ̩
Creator	kʰ ɹʷ ɪ i̯ e ɪ̯ tʰ ɚ
Creator	kʰ ɹʷ ɪ i̯ e ɪ̯ tʰ ɹ̩
Creator	kʰ ɹʷ ɪ i̯ e ɪ̯ ɾ ɚ
Creator	kʰ ɹʷ ɪ i̯ e ɪ̯ ɾ ɹ̩
creature	kʰ ɹʷ ɪ i̯ t ʃ ɚ
creature	kʰ ɹʷ ɪ i̯ t ʃ ɹ̩
credence	k ɹ i ɾ ə n s
credited	k ɹ ɛ d ɪ ɾ ɪ d
credited	k ɹ ɛ ɾ ɪ ɾ ɪ d
creek	kʰ ɹʷ ɪ i̯ k
creek	kʰ ɹʷ ɪ k
creep	kʰ ɹ iː p
crim	kʰ ɹ̠̊ ɪ m
cringe	kʰ ɹʷ ɪ n d͡ʒ
cringeworthy	kʰ ɹʷ ɪ n d͡ʒ w ɜ ɹ ð ɪ i̯
criteria	k ɹ a ɪ̯ t ɪ ɹ i ə
critical	k ɹ ɪ ɾ ɪ k ə l
critically	k ɹ ɪ ɾ ɪ k l i
crocodile	kʰ ɹ ɑ k ə d a ɪ ɫ
crook	k ɹ̠̊ ˔ʷ ʊ k
croton	k ɹ o ʊ̯ ʔ n̩
crouch	kʰ ɹʷ a ʊ̯ t͡ʃ
crouch	kʰ ɹʷ æ ʊ̯ t͡ʃ
crowd	kʰ ɹʷ a ʊ̯ d
crowd	kʰ ɹʷ æ ʊ̯ d
crumble	k ɹ ʌ m b ɪ̈ l
crumble	k ɹ ʌ m b l̩
crutch	kʰ ɹʷ ʌ̹ t͡ʃ
crutch	kʰ ɹʷ ʌ̈ t͡ʃ
cryptography	k ɹ̥ ɪ p tʰ ɒ ɡ ɹ ə f iː
Cuba	k j uː b ə
Cuban	k j ʉː b ə n
Cuban	k j uː b ə n
Cuban	k j u b ə n
cucumber	kʰ j ʊ u̯ kʰ ʌ̈ m b ɚ
cucumber	kʰ j ʊ u̯ kʰ ʌ̈ m b ɹ̩
cucumber	k j ʉ k ʌ m b ɚ
cuesta	kʰ w ɛ s t ə
cult	kʰ ʌ l t
cultivation	kʰ ʌ l t ə v e ɪ ʃ n̩
culture	kʰ ʌ l t͡ʃ ɚ
culture	kʰ ʌ l t͡ʃ ɹ̩
culture	kʰ ʌ l t͡ʃ ə ɾ
curator	k j ʊ ə ɹ e ɪ ɾ ɚ
curl	kʰ ɝ ɫ
cursed	kʰ ɝ s ɪ̈ d
cursed	kʰ ɝ s t
cursed	kʰ ɝ s t
cursor	kʰ ɝ s ɚ
curtain	kʰ ɜ ɹ ʔ n̩
curve	kʰ ɚ v
cushioned	k ʊ ʃ n̩ d
cycle	s ʌ ɪ k ə l
cylinder	s ɪ l ɪ̈ n d ɚ
cymbal	s ɪ m b ɫ̩
cytokine	s a ɪ ɾ ə k a ɪ n
cytoplasm	s a ɪ ɾ o ʊ p l æ z ə m
'd	d
'd	d̚
dabble	d æ b l̩
dabble	d ɛ ə b l̩
Dachau	d ɑ kʰ a ʊ̯
dagger	d æ ɡ ɚ
dagger	d æ ɡ ɹ̩
dagger	d e ɪ̯ ɡ ɚ
dagger	d e ɪ̯ ɡ ɹ̩
dam	d æ m
dam	d e ə̯ m
dam	d ɛ ə̯ m
damn	d æ m
damn	d e ə̯ m
damn	d ɛ ə̯ m
damp	d e ə̯ m p
damp	d ɛ ə̯ m p
damp	d eː m p
damsel	d ɛ ə m z ɫ̩
dancing	d ɛ ə̯ n s ɪ ŋ
dancing	d e ə̯ n s ɪ ŋ
dancings	d ɛ ə̯ n s ɪ ŋ z
dancings	d e ə̯ n s ɪ ŋ z
dandle	d æ n d ə ɫ
dandruff	d ɛ ə n d ɹ ə f
dang	d æ ŋ
dang	d e ɪ̯ ŋ
dang	d ɛ̃ ŋ
dangleberry	d æ ŋ ɡ l̩ b e ɹ i
dangleberry	d e ɪ̯ ŋ ɡ l̩ b ɛ ɹ i
dangleberry	d e ɪ̯ ŋ ɡ l̩ b ɛ ɹ i
Daniel	d e ə̯ n j ə l
Daniel	d ɛ ə̯ n j ə l
dank	d e ɪ̯ ŋ k
dank	d ɛ̃ ŋ k
dart	d a ɹ t̚
dart	d a ɹ ɾ̥
darty	d ɑ ɹ ɾ i
dash	d æ ʃ
dashboard	d æ ʃ b o ɹ d
dashboard	d æ ʃ b ɔ ɹ d
data	d e ɪ ɾ ə
database	d e ɪ ɾ ə b e ɪ s
database	d æ ɾ ə b e ɪ s
daughter	d ɔ ɾ ɚ
daughter	d ɑ ɾ ɚ
dawg	ɔ ə
day	d e ɪ̯
day	d eː
daydream	d e ɪ d ɹ iː m
daydream	d e ɪ d͡ʒ ɹ iː m
daydreamer	d e ɪ d ɹ iː m ɚ
daydreamer	d e ɪ d͡ʒ ɹ iː m ɚ
dayouth	d a jː uː θ
dayouth	d æ jː uː θ
dayum	d æ̙ j ə m
dayum	d e ə j ə m
deal	d ɪ i̯ l
dean	d iː n
dean	d ĩː n
death	d ɛ θ
debt	d ɛ t
decision	d ɪ s ɪ ʒ n̩
decisional	d ɪ s ɪ ʒ ə n ə ɫ
decisionally	d ɪ s ɪ ʒ ə n ə l i
decisionally	d ɪ s ɪ ʒ n ə l i
decisions	d ɪ s ɪ ʒ n̩ z
declarative	d ɪ k l ɛ ɹ ə ɾ ɪ v
decompose	d iː k ə m p ɐ ʉ z
decorative	d ɛ k ə ɹ ə ɾ ɪ v
decorative	d ɛ k ɹ ə ɾ ɪ v
defend	d ɪ f ɛ n d
defend	d ɪ f ɪ̟ n d
defensible	d ɪ f ɛ n s ɪ b ɫ
definitive	d ɪ f ɪ n ə ɾ ɪ v
degraded	d ɪ ɡ ɹ e ɪ ɾ ɪ d
deity	d i ə ɾ i
deity	d e ɪ̯ ə ɾ i
delay	d ɪ l e ɪ̯
delta	d ɛ ɫ t ə
democratic	d ɛ m ə k ɹ æ ɾ ɪ k
democratic	d ɪ m ə k ɹ æ ɾ ɪ k
demonstrative	d ɪ m ɑ n s t ɹ ə ɾ ɪ v
demonstrative	d ə m ɑ n s t ɹ ə ɾ ɪ v
density	d ɛ n s ə ɾ i
dental	d ɛ n ɾ ə ɫ
dental	d ɛ ɾ̃ ə ɫ
dental	d ɛ n ə ɫ
dental	d ɛ n ɾ ɫ̩
dental	d ɛ ɾ̃ ɫ̩
dental	d ɛ n ɫ̩
depict	d ɪ p ɪ k t
deprecated	d ɛ p ɹ ɪ k e ɪ ɾ ɪ d
deprecated	d ɛ p ɹ ə k e ɪ ɾ ɪ d
depression	d ɪ pʰ ɹʷ ɛ ʃ ə n
depression	d ɪ pʰ ɹʷ ɛ ʃ n̩
deputy	d ɛ p j ə ɾ i
deputy	d ɛ p ə t i
deputy	d ɛ p ə ɾ i
derisive	d ɪ ɹ a ɪ s ɪ v
derisive	d ɪ ɹ ʌ ɪ s ɪ v
dermatophyte	d ɚ m æ ɾ o ʊ f a ɪ t
dermatophyte	d ɚ m æ ɾ o ʊ f ɐ ɪ t
dermatophyte	d ɚ m æ ɾ ə f a ɪ t
dermatophyte	d ɚ m æ ɾ ə f ɐ ɪ t
DeSantis	d ə s æ n t ɪ s
describe	d ɪ s k ɹ a ɪ̯ b
describe	d ɪ s k ɹ a ɪ̯ b
describe	d ɪ s k ɹ ɑ ɪ̯ b
describe	d ɪ s k ɹ a ɪ̯ b
describe	d ɪ s k ɹ ə j b
describe	d ɪ s k ɹ ɑ ɪ̯ b
describe	d ɪ s k ɹ ɑ j b
deserted	d ə z ɝ ɾ ə d
desirable	d ɪ z a ɪ ɹ ə b ə ɫ
desirable	d ɪ z a ɪ ɹ ə b ɫ̩
desktop	d ɛ s k t ɑ p
desktops	d ɛ s k t ɑ p s
destruction	d ɪ s t ɹ̝̊ʷ ʌ k ʃ ə n
destruction	d ɪ s t ɹ̝̊ʷ ʌ k ʃ n̩
destruction	d ɪ s t̠ ɹ̠̊ ˔ʷ ʌ k ʃ ə n
destruction	d ɪ s t̠ ɹ̠̊ ˔ʷ ʌ k ʃ n̩
detective	d ə tʰ ɛ k tʰ ɪ v
detonate	d ɛ ɾ ə n e ɪ t
detonate	d ɛ ʔ ə n e ɪ t
Detroit	d ɪ t͡ʃ ɹ ɔ ɪ t
deviate	d ɪ i v i æ ɪ t
deviate	d ɪ i v i ə t
devil	d ɛ v ə l
devil	d ɛ v l̩
dghaisa	d a ɪ̯ s ə
diabetes	d a ɪ ə b i ɾ i z
diabetes	d a ɪ ə b i ɾ ɪ s
diabetic	d a ɪ ə b ɛ ɾ ɪ k
diabolical	d a ɪ ə b ɑ l ɪ k ə ɫ
diacritic	d a ɪ ə k ɹ ɪ ɾ ɪ k
dial	d a ɪ ə ɫ
diam	t j ɑ m ˦˨
dichotomous	d a ɪ k ɑ ɾ ə m ə s
diddle	d ɪ d ɫ̩
didn't	d ɪ ɾ ɪ̃ ʔ
didn't	d ɪ n̩
didn't	d ɪ dⁿ n̩ ʔ
didn't	d ɪ dⁿ n̩
die	d ä ɪ̯
die	d ɑ j
die	d ɑ e̯
die	d a ɪ̯
die	d ə ɪ̯
differential	d ɪ f ə ɹ ə n ʃ ə ɫ
differentiator	d ɪ f ə ɹ ɛ n ʃ i e ɪ ɾ ɚ
diggety	d ɪ ɡ ə ɾ i
dimension	d ɪ m ɛ n ʃ n̩
dimension	d a ɪ m ɛ n ʃ n̩
dimensional	d a ɪ m ɛ n ʃ ə n ɫ̩
dimensional	d ɪ m ɛ n ʃ ə n ɫ̩
dimensionality	d ɪ m ɛ n ʃ ə n æ l ə ɾ ɪ
dimensionality	d a ɪ m ɛ n ʃ ə n æ l ə ɾ ɪ
dimensions	d ɪ m ɛ n ʃ n̩ z
dimensions	d a ɪ m ɛ n ʃ n̩ z
dimmer	d ɪ m ɚ
dimmer	d ɪ m ɹ̩
dimwit	d ɪ m w ɪ t
'dine	d iː n
'dine	d ĩː n
diner	d a ɪ̯ n ɚ
diner	d a ɪ̯ n ɹ̩
dingwad	d ɪ ŋ w ɑ d
diplomatically	d ɪ p l ə m æ ɾ ɪ k ə l i
diplomatically	d ɪ p l ə m æ ɾ ɪ k l i
dipper	d ɪ p ɚ
dipper	d ɪ p ɹ̩
direct	d a ɪ̯ ə ɹ ɛ k t
dirndl	d ɚ n d ɫ̩
dirty	d ɝ ɾ i
disaster	d ɪ z æ s tʰ ɚ
disaster	d ɪ z æ s tʰ ɹ̩
disaster	d ə z æ s tʰ ɚ
disaster	d ə z æ s tʰ ɹ̩
disavowal	d ɪ s ə v a ʊ ə ɫ
disavowal	d ɪ s ə v a ʊ ɫ
disburse	d ɪ s p ɝ s
discalceate	d ɪ s k æ ɫ s ɪ ə t
discalceate	d ɪ s k æ ɫ s ɪ e ɪ t
discipline	d̥ ɪ s ɪ̽ p l ɪ̈ n
discontinue	d ɪ s kʰ ə n tʰ ɪ n j ʊ u̯
discontinue	d ɪ s kʰ n̩ tʰ ɪ n j ʊ u̯
discontinuity	d ɪ s k ɑ n t ɪ n u ɪ ɾ i
disentangle	d ɪ s ɪ n t æ ŋ ɡ ə ɫ
disentitle	d ɪ s ɪ n t a ɪ t ə ɫ
Disibodenberg	d ɪ z ɪ b ə ʊ d n̩ b ɛ ɚ k
disintegration	d ɪ s ɪ n ə ɡ ɹ e ɪ ʃ ə n
dismantle	d ɪ s m æ̃ n ɾ ɫ̩
dismantle	d ɪ s m æ̃ n ɫ̩
disparity	d ɪ s p ɛ ɹ ɪ ɾ i
disparity	d ɪ s p ɛ ɹ ɾ i
dispel	d ɪ s p ɛ ɫ
dispensable	d ɪ s pʰ ɛ n s ə b ɫ̩
disputant	d ɪ s pʰ j ʊ u̯ tʰ ə n t
disputant	d ɪ s pʰ j ʊ u̯ tʰ n̩ t
disputant	d ɪ s pʰ j ʊ u̯ t̚ n̩ t
dispute	d ɪ s pʰ j ʊ u̯ t
dispute	d ɪ s pʰ j ʊ u̯ t
dispute	d ɪ s pʰ j ʊ u̯ t
dispute	d ɪ s pʰ j ʊ u̯ t
dispute	d ɪ s pʰ j ʊ̈ ʉ̯ t
dispute	d ɪ s pʰ j ʊ̈ ʉ̯ t
dispute	d ɪ s p j ʊ u̯ t
dispute	d ɪ s p j ʊ u̯ t
dispute	d ɪ s pʰ j ʊ̈ ʉ̯ t
disputed	d ɪ s p j u ɾ ɪ d
dissatisfaction	d ɪ s s æ ɾ ɪ s f æ k ʃ ə n
dissemble	d ɪ s ɛ m b ɫ̩
distinguishable	d ɪ s t ɪ ŋ ɡ w ɪ ʃ ə b l̩
distributed	d ɪ s t ɹ ɪ b j u ɾ ɪ d
distributed	d ɪ s t ɹ ɪ b j u ɾ ɪ d
disturbance	d ɪ s t ɝ b n̩ s
ditto	d ɪ ɾ o ʊ
dockage	d ɑ k ɪ d ʒ
dockize	d ɒ k ɑ ɪ̯ z
Dodgson	d ɑ d s ə n
Dodgson	d ɑ t͡ʃ s ə n
doer	d ʊ u̯ ɚ
doer	d ʊ u̯ ɹ̩
doesn't	d ʌ z n̩ t
dogfight	d ɔ ɡ f ʌ ɪ t
dogfight	d ɑ ɡ f ʌ ɪ t
dogmatic	d ɔ ɡ m æ ɾ ɪ k
dogmatic	d ɑ ɡ m æ ɾ ɪ k
dojo	d o ʊ̯ d͡ʒ o ʊ̯
Dole	d o ʊ̯ ɫ
doll	d ɒː ɫ
dolphin	d ɑ l̥ f ɪ n
dominated	d ɑ m ə n e ɪ ɾ ɪ d
don't	d õ ʊ̯̃ ʔ t̚
don't	d õ ʊ̯̃ t̚
don't	d o ʊ̯ n
don't	d õ ʔ
doona	d ʊ u n ə
doos	d ʊ u̯ s
dope	d o ʊ p
dotty	d ɑ ɾ i
double	d ʌ b ɫ̩
dough	d ö̞ʷ ʊ̯ʷ
dower	d a w ɚ
down	d ə u̯ n
downtown	d a ʊ̯ n tʰ a ʊ̯ n
downtown	d æ ʊ̯ n tʰ æ ʊ̯ n
drag	d ɹʷ æ ɡ
drag	d͡ʒ ɹʷ æ ɡ
drag	d ɹʷ a ɡ
drag	d͡ʒ ɹʷ a ɡ
drag	d ɹʷ æː ɡ
drag	d͡ʒ ɹʷ æː ɡ
drag	d ɹʷ ɛ ɡ
drag	d͡ʒ ɹʷ ɛ ɡ
drag	d ɹʷ e ɪ̯ ɡ
drag	d͡ʒ ɹʷ e ɪ̯ ɡ
dragging	d͡ɹ̝ æ ɡ ɪ ŋ
dragging	d̠͡ɹ̠ ˔ æ ɡ ɪ ŋ
dragging	d͡ɹ̝ e ɪ̯ ɡ i ŋ
dragging	d̠͡ɹ̠ ˔ e ɪ̯ ɡ i ŋ
dragging	d͡ɹ̝ e ɪ̯ ɡ i n
dragging	d̠͡ɹ̠ ˔ e ɪ̯ ɡ i n
dragon	d ɹ̝ʷ æ ɡ ə n
dragon	d ɹ̝ʷ æ ɡ n̩
dragon	d̠ ɹ̠ ˔ʷ æ ɡ ə n
dragon	d̠ ɹ̠ ˔ʷ æ ɡ n̩
dragon	d ɹ̝ e ɪ̯ ɡ ə n
dragon	d ɹ e ɪ̯ ɡ n̩
dragon	d̠ ɹ̠ ˔ʷ e ɪ̯ ɡ ə n
dragon	d̠ ɹ̠ ˔ʷ e ɪ̯ ɡ n̩
drank	d̠͡ɹ̠ ˔ʷ e ɪ̯ ŋ k
drank	d͡ɹ̝ʷ e ɪ̯ ŋ k
drank	d̠͡ɹ̠ ˔ʷ ɛ̃ ŋ k
drank	d͡ɹ̝ʷ ɛ̃ ŋ k
Drarry	d ɹ e ɹ i
draw	d͡ʒ ɹ ɔ
draw	d͡ʒ ɹ ɔ ɹ
drawback	d͡ʒ ɹ ɔ b æ k
drawback	d͡ʒ ɹ ɔ ɹ b æ k
dreamer	d ɹ i m ɚ
dreamer	d͡ʒ ɹ i m ɚ
dreaming	d ɹ iː m ɪ ŋ
dreaming	d͡ʒ ɹ iː m ɪ ŋ
dreams	d̠͡ɹ̠ ˔ʷ iː m z
dreams	d͡ʒ ɹʷ iː m z
dreg	d ɹ̝ʷ ɛ ɡ
dreg	d̠ ɹ̠ ˔ʷ ɛ ɡ
dreg	d ɹ̝ʷ e ɪ̯ ɡ
dreg	d̠ ɹ̠ ˔ʷ e ɪ̯ ɡ
dried	d ɹ a ɪ d
dried	d͡ʒ ɹ a ɪ d
drier	d ɹ a ɪ ɚ
drier	d͡ʒ ɹ a ɪ ɚ
drighten	d ʒ ɹ a ɪ t ɪ n
drighten	d ɹ a ɪ t ɪ n
drighten	d ʒ ɹ ə ɪ ʔ ɪ n
drill	d ɹ ɪ ɫ
drink	d͡ɹ̝ʷ ɪ ŋ k
drink	d̠͡ɹ̠ ˔ʷ ɪ ŋ k
drink	d͡ɹ̝ʷ i ŋ k
drink	d̠͡ɹ̠ ˔ʷ i ŋ k
drink	d͡ɹ̝ʷ ɪ̝ ŋ k
drink	d̠͡ɹ̠ ˔ʷ ɪ̝ ŋ k
drip	d̠ ɹ̠̈ ˔ ɪ p
drive	d͡ʒ ɹ a ɪ v
drive	d ɹ ɑ e̯ v
drizzle	d ɹ ɪ z l̩
droop	d ɹ ʊ u̯ p
drop	d ɹ ɑ p
drop	d͡ʒ ɹ ɑ p
dropped	d ɹ ɑ p t
dropped	d͡ʒ ɹ ɑ p t
drops	d ɹ ɑ p s
drops	d͡ʒ ɹ ɑ p s
drown	d̠͡ɹ̠ ˔ʷ a ʊ n
drug	d ɹ̝ʷ ʌ ɡ
drug	d̠ ɹ̠ ˔ʷ ʌ ɡ
drugs	d ɹ ʌ ɡ z
drugs	d͡ʒ ɹ ʌ ɡ z
drumlin	d ɹ ʌ m l ɪ n
drungry	d ɹ ʌ ŋ ɡ ɹ i
drungry	d͡ʒ ɹ ʌ ŋ ɡ ɹ i
dry	d ɹ̝ʷ a ɪ̯
dry	d̠ ɹ̠ ˔ʷ a ɪ̯
dry	d ɹ̝ʷ aː
dry	d̠ ɹ̠ ˔ʷ aː
dryer	d ɹ a ɪ ɚ
dryer	d͡ʒ ɹ a ɪ ɚ
drying	d ɹ a ɪ ɪ ŋ
drying	d͡ʒ ɹ a ɪ ɪ ŋ
dude	d ʉː w d
duh	d ə̰ː ˥˩
duh	d ə̰ː ˥˨
dump	d ɐ m̥ p
dwagon	d w æ ɡ n̩
dwagon	d w e ɪ̯ ɡ n̩
dyadic	d a ɪ æ ɾ ɪ k
dynamic	d a ɪ n ɛ ə m ɪ k
eagle	ɪ i̯ ɡ ə l
eagle	ɪ i̯ ɡ l̩
ear	ɪ ɚ
ear	ɪ ɹ̩
ear	i ɚ
ear	i ɹ̩
ear	i ɹ
easy	ɪ i̯ z ɪ i̯
eaten	iː t n̩
eaten	iː ʔ n̩
eating	i ɾ ɪ ŋ
eccentricity	ɛ k s ə n t ɹ ɪ s ə ɾ i
edible	ɛ d ə b ɫ̩
edit	ɛ ɾ ɪ ʔ
edit	ɛ ɾ ɪ t̚
editor	ɛ ɾ ɪ t ɚ
editor	ɛ ɾ ɪ ɾ ɚ
Edomite	i ɾ ɪ̈ m ʌ ɪ̯ t̚
EDSA	ʔ ɛː d s ɐ
educated	ɛ d͡ʒ ə k e ɪ ɾ ɪ d
e'en	ɪ i̯ n
efficiency	ɪ f ɪ ʃ n̩ s i
egg	ɛ ɡ
egg	e ɪ̯ ɡ
eh	ɛː
eighty	ʔ e ɪ̯ ɾ i
eighty	e ɪ̯ ɾ i
el	ɛ ɫ
El	ɛ ɫ
elasticity	ɪ l æ s t ɪ s ɪ ɾ i
elasticity	ɛ ɫ æ s t ɪ s ɪ ɾ i
elbow	ɛ ɫ b o ʊ̯
electricity	ɪ l ɛ k t ɹ ɪ s ɪ ɾ i
electricity	ɪ l ɛ k t͡ʃ ɹ ɪ s ɪ ɾ i
electricity	i l ɛ k t ɹ ɪ s ɪ ɾ i
electricity	ə l ɛ k t ɹ ɪ s ə ɾ i
eleven	ɪ l ɛ b m̩
eligibility	ɛ l ə d͡ʒ ə b ɪ l ə ɾ i
'em	ə m
'em	m̩
'em	ɪ m
'em	ɛ m
embank	ɪ m b e ɪ̯ ŋ k
embank	ɪ m b ɛ̃ ŋ k
embankment	ɪ m b e ɪ̯ ŋ k m ə n t
embankment	ɪ m b e ɪ̯ ŋ k m n̩ t
embankment	ɪ m b ɛ̃ ŋ k m ə n t
embankment	ɪ m b ɛ̃ ŋ k m n̩ t
embattle	ə m b æ ɾ ə l
embody	ɪ m b ɑ ɾ i
embolism	ɛ m b ɫ̩ ɪ z m̩
empathetic	ɛ m p ə θ ɛ ɾ ɪ k
emperor	ɛ m pʰ ə ɹ ɚ
emperor	ɛ m pʰ ɹ ɚ
emperor	ɪ̟ m pʰ ə ɹ ɚ
emperor	ɪ̟ m pʰ ɹ ɚ
emphasis	ɛ ɱ f ə s ɪ s
emphasis	e ɱ f ə s ɪ s
emphasis	ɛ ɱ f ə s ə s
emphasis	e ɱ f ə s ə s
empty	ɛ m p tʰ i
empty	ɛ m tʰ i
empty	ɪ m p tʰ i
empty	ɪ m tʰ i
en	ɑ̃
en	õ
enabled	ɛ n e ɪ b ə ɫ d
encephalic	ɛ n s ə f æ ɫ ɪ k̚
encephalic	ɪ n s ɛ f ə ɫ ɪ k̚
encephalon	ɛ n s ɛ f ə l n̩
encephalon	ɛ n s ɛ f ə l ɔ n
encephalon	ɪ n s ɛ f ə ɫ n̩
encephalon	ɪ n s ɛ f ə ɫ ɑ n
encircle	n̩̊ s ɹ̩ k ɫ̩
encouragement	ɪ n k ʌ ɹ ɪ d͡ʒ m ə n t
endophora	ɪ n d ɑ f ɚ ə
enrichment	ɪ n ɹ ɪ t͡ʃ m n̩ t
enscripturating	ɪ n s k ɹ ɪ p t͡ʃ ə ɹ e ɪ ɾ ɪ ŋ
ensign	ɛ n s n̩
enter	ɛ ɾ̃ ɚ
enter	ɪ ɾ̃ ɚ
entertain	ɛ̃ ɾ̃ ɚ tʰ e ɪ n
entropic	ɛ n t͡ʃʰ ɹ ɑː p ɪ k
epiglottal	ɛ p ɪ ɡ l ɑ ɾ ɫ̩
epiglottis	ɛ p ɪ ɡ l ɑ ɾ ɪ s
epigraphy	ʔ ɨ pʰ ɪ ɡ ɹ ə f ɪ j
epimutation	ɛ p ɪ m j u t e ɪ ʃ ə n
episodic	ɛ p ɪ s ɑ ɾ ɪ k
epitomic	e p iː t ɔ m ɪ k
epitomic	ɛ p ɪ t ɒ m ɪ k
epitomic	ɛ p ɪ t ɑ m ɪ k
epochal	ɛ p ə k ə l
epochal	iː p ɒ k ə l
ePortal	iː p ɔ ɹ ɾ l̩
equality	ɪ k w ɑ l ɪ ɾ i
equipment	ɪ kʰ w ɪ p m ə n t
equipment	ɪ kʰ w ɪ p m n̩ t
ergot	ɚ ɡ ɪ ʔ t̚
erotic	ɪ ɹ ɑ ɾ ɪ k
erotic	ə ɹ ɑ ɾ ɪ k
errable	ɛ ɹ ə b ɫ̩
errata	ɛ ɹ ɑ ɾ ə
erratic	ɪ ɹ æ ɾ ɪ k
erratic	ə ɹ æ ɾ ɪ k
erratum	ɛ ɹ ɑ ɾ ə m
eschel	ɛ ʃ ə l
eschel	ɛ ʃ l̩
