ա	ɑ
հինդուստանի	h i n tʰ u s t ɑ n i
հիշատակ	h i ʃ ɑ d ɑ ɡ
հիշել	h i ʃ ɛ l
հիշեցնել	h i ʃ ɛ t͡sʰ ə n ɛ l
հիշողություն	h i ʃ ɔ ʁ u tʰ ʏ n
հիպատ	h i b ɑ d
հիպերբոլ	h i b ɛ ɾ pʰ ɔ l
հիպերմարկետ	h i b ɛ ɾ m ɑ ɾ ɡ ɛ d
հիպնոս	h i b n ɔ s
հիպոկրատես	h i b ɔ ɡ ɾ ɑ d ɛ s
հիջազ	h i t͡ʃʰ ɑ z
հիսուն	h i s u n
հիսուն	h i sː u n
հիսուս	h i s u s
հիվանդ	h i v ɑ n tʰ
հիվանդագին	h i v ɑ n tʰ ɑ kʰ i n
հիվանդախնամ	h i v ɑ n tʰ ɑ χ ə n ɑ m
հիվանդանալ	h i v ɑ n tʰ ɑ n ɑ l
հիվանդանոց	h i v ɑ n tʰ ɑ n ɔ t͡sʰ
հիվանդություն	h i v ɑ n tʰ u tʰ ʏ n
հիտլեր	h i d l ɛ ɾ
հիրավի	h i ɾ ɑ v i
հիրել	h i ɾ ɛ l
հիրիկ	h i ɾ i ɡ
հիցուն	h i t͡sʰ u n
հլու	h ə l u
հհ	h ə h ə
հհկ	h ə h ə ɡ ə
հղանալ	h ə ʁ ɑ n ɑ l
հղացք	h ə ʁ ɑ t͡sʰ kʰ
հղել	h ə ʁ ɛ l
հղենալ	h ə ʁ ɛ n ɑ l
հղի	h ə ʁ i
հղիանալ	h ə ʁ i j ɑ n ɑ l
հղիացում	h ə ʁ i j ɑ t͡sʰ u m
հղիություն	h ə ʁ i j u tʰ ʏ n
հղություն	h ə ʁ u tʰ ʏ n
հղում	h ə ʁ u m
հղփանալ	h ə χ pʰ ɑ n ɑ l
հղփություն	h ə χ pʰ u tʰ ʏ n
հմայագիր	h ə m ɑ j ɑ kʰ i ɾ
հմայել	h ə m ɑ j ɛ l
հմայք	h ə m ɑ j kʰ
հմուտ	h ə m u d
հմտություն	h ə m d u tʰ ʏ n
հյութ	h ʏ tʰ
հյութեղ	h ʏ tʰ ɛ ʁ
հյուլե	h ʏ l ɛ
հյուծել	h ʏ d͡z ɛ l
հյուն	h ʏ n
հյունքյարպեյենտյան	h ʏ ŋ kʰ j ɑ ɾ b ɛ j ɛ n d j ɑ n
հյուպատոս	h ʏ b ɑ d ɔ s
հյուպատոսություն	h ʏ b ɑ d ɔ s u tʰ ʏ n
հյուս	h ʏ s
հյուսել	h ʏ s ɛ l
հյուսիս	h ʏ s i s
հյուսիսային	h ʏ s i s ɑ j i n
հյուսկեն	h ʏ s k ɛ n
հյուսն	h ʏ s ə n
հյուսվածք	h ʏ s v ɑ t͡sʰ kʰ
հյուսվածքաբանություն	h ʏ s v ɑ t͡sʰ kʰ ɑ pʰ ɑ n u tʰ ʏ n
հյուր	h ʏ ɾ
հյուրախաղ	h ʏ ɾ ɑ χ ɑ ʁ
հյուրանոց	h ʏ ɾ ɑ n ɔ t͡sʰ
հյուրասրահ	h ʏ ɾ ɑ s ə ɾ ɑ h
հյուրեր	h ʏ ɾ ɛ ɾ
հյուրերդ	h ʏ ɾ ɛ ɾ ə tʰ
հյուրերը	h ʏ ɾ ɛ ɾ ə
հյուրերի	h ʏ ɾ ɛ ɾ i
հյուրերիդ	h ʏ ɾ ɛ ɾ i tʰ
հյուրերին	h ʏ ɾ ɛ ɾ i n
հյուրերիս	h ʏ ɾ ɛ ɾ i s
հյուրերն	h ʏ ɾ ɛ ɾ ə n
հյուրերով	h ʏ ɾ ɛ ɾ ɔ v
հյուրերովդ	h ʏ ɾ ɛ ɾ ɔ v ə tʰ
հյուրերովս	h ʏ ɾ ɛ ɾ ɔ v ə s
հյուրերս	h ʏ ɾ ɛ ɾ ə s
հյուրը	h ʏ ɾ ə
հյուրի	h ʏ ɾ i
հյուրիդ	h ʏ ɾ i tʰ
հյուրին	h ʏ ɾ i n
հյուրիս	h ʏ ɾ i s
հյուրն	h ʏ ɾ n
հյուրով	h ʏ ɾ ɔ v
հյուրովդ	h ʏ ɾ ɔ v ə tʰ
հյուրովս	h ʏ ɾ ɔ v ə s
հյուրս	h ʏ ɾ ə s
հնագետ	h ə n ɑ kʰ ɛ d
հնագիտություն	h ə n ɑ kʰ i d u tʰ ʏ n
հնագույն	h ə n ɑ kʰ u j n
հնազանդ	h ə n ɑ z ɑ n tʰ
հնազանդություն	h ə n ɑ z ɑ n tʰ u tʰ ʏ n
հնազանդվել	h ə n ɑ z ɑ n tʰ v ɛ l
հնախոս	h ə n ɑ χ ɔ s
հնամյա	h ə n ɑ m j ɑ
հնանալ	h ə n ɑ n ɑ l
հնավուն	h ə n ɑ v u n
հնար	h ə n ɑ ɾ
հնարակերտ	h ə n ɑ ɾ ɑ ɡ ɛ ɾ d
հնարամիտ	h ə n ɑ ɾ ɑ m i d
հնարամտություն	h ə n ɑ ɾ ɑ m ə d u tʰ ʏ n
հնարավոր	h ə n ɑ ɾ ɑ v ɔ ɾ
հնարավորություն	h ə n ɑ ɾ ɑ v ɔ ɾ u tʰ ʏ n
հնարել	h ə n ɑ ɾ ɛ l
հնարք	h ə n ɑ ɾ kʰ
հնացած	h ə n ɑ t͡sʰ ɑ d͡z
հնացնել	h ə n ɑ t͡sʰ ə n ɛ l
հնգամյա	h ə ŋ kʰ ɑ m j ɑ
հնդեվրոպաբան	h ə n tʰ ɛ v ɾ ɔ b ɑ pʰ ɑ n
հնդեվրոպաբանություն	h ə n tʰ ɛ v ɾ ɔ b ɑ pʰ ɑ n u tʰ ʏ n
հնդեվրոպական	h ə n tʰ ɛ v ɾ ɔ b ɑ ɡ ɑ n
հնդեվրոպացի	h ə n tʰ ɛ v ɾ ɔ b ɑ t͡sʰ i
հնդիկ	h ə n tʰ i ɡ
հնդկական	h ə n tʰ k ɑ ɡ ɑ n
հնդկահավ	h ə n tʰ k ɑ h ɑ v
հնդկաչին	h ə n tʰ k ɑ t͡ʃʰ i n
հնդկաստան	h ə n tʰ k ɑ s t ɑ n
հնդկացի	h ə n tʰ k ɑ t͡sʰ i
հնդկացորեն	h ə n tʰ k ɑ t͡sʰ ɔ ɾ ɛ n
հնդկերեն	h ə n tʰ k ɛ ɾ ɛ n
հնդկընկույզ	h ə n tʰ k ə ŋ ɡ u j z
հնդստան	h ə n tʰ ə s t ɑ n
հնէաբան	h ə n ɛ ɑ pʰ ɑ n
հնձան	h ə n t͡sʰ ɑ n
հնոտի	h ə n ɔ d i
հնոտիք	h ə n ɔ d i kʰ
հնոց	h ə n ɔ t͡sʰ
հնոցապան	h ə n ɔ t͡sʰ ɑ b ɑ n
հնչել	h ə n t͡ʃʰ ɛ l
հնչյուն	h ə n t͡ʃʰ ʏ n
հնչյունաբան	h ə n t͡ʃʰ ʏ n ɑ pʰ ɑ n
հնչյունական	h ə n t͡ʃʰ ʏ n ɑ ɡ ɑ n
հնչյունային	h ə n t͡ʃʰ ʏ n ɑ j i n
հնչույթ	h ə n t͡ʃʰ u j tʰ
հո	h ɔ
հոբելյան	h ɔ pʰ ɛ l j ɑ n
հոբելյանական	h ɔ pʰ ɛ l j ɑ n ɑ ɡ ɑ n
հոբելյար	h ɔ pʰ ɛ l j ɑ ɾ
հոբոյ	h ɔ pʰ ɔ j
հոգ	h ɔ kʰ
հոգալ	h ɔ kʰ ɑ l
հոգատար	h ɔ kʰ ɑ d ɑ ɾ
հոգեբան	h ɔ kʰ ɛ pʰ ɑ n
հոգեբանական	h ɔ kʰ ɛ pʰ ɑ n ɑ ɡ ɑ n
հոգեբանություն	h ɔ kʰ ɛ pʰ ɑ n u tʰ ʏ n
հոգեղեն	h ɔ kʰ ɛ ʁ ɛ n
հոգի	h ɔ kʰ i
հոգնա	h ɔ kʰ n ɑ
հոգնած	h ɔ kʰ n ɑ d͡z
հոգնածություն	h ɔ kʰ n ɑ d͡z u tʰ ʏ n
հոգնակի	h ɔ kʰ n ɑ ɡ i
հոգնել	h ɔ kʰ n ɛ l
հոգնեցնել	h ɔ kʰ n ɛ t͡sʰ ə n ɛ l
հոգոց	h ɔ kʰ ɔ t͡sʰ
հոգս	h ɔ kʰ s
հոգվոց	h ɔ kʰ v ɔ t͡sʰ
հոդ	h ɔ tʰ
հոդաբորբ	h ɔ tʰ ɑ pʰ ɔ ɾ pʰ
հոդված	h ɔ tʰ v ɑ d͡z
հոժարել	h ɔ ʒ ɑ ɾ ɛ l
հոժարեցնել	h ɔ ʒ ɑ ɾ ɛ t͡sʰ ə n ɛ l
հոժարություն	h ɔ ʒ ɑ ɾ u tʰ ʏ n
հոժարում	h ɔ ʒ ɑ ɾ u m
հոժարվել	h ɔ ʒ ɑ ɾ v ɛ l
հոլ	h ɔ l
հոլաթեւել	h ɔ l ɑ tʰ ɛ v ɛ l
հոլանդական	h ɔ l ɑ n tʰ ɑ ɡ ɑ n
հոլանդացի	h ɔ l ɑ n tʰ ɑ t͡sʰ i
հոլանդերեն	h ɔ l ɑ n tʰ ɛ ɾ ɛ n
հոլանդիա	h ɔ l ɑ n tʰ j ɑ
հոլանել	h ɔ l ɑ n ɛ l
հոլանի	h ɔ l ɑ n i
հոլշտայն	h ɔ l ʃ t ɑ j n
հոլով	h ɔ l ɔ v
հոլովակ	h ɔ l ɔ v ɑ ɡ
հոլովման	h ɔ l ɔ v m ɑ n
հոլովում	h ɔ l ɔ v u m
հոլոքոստ	h ɔ l ɔ kʰ ɔ s t
հոխորտալ	h ɔ χ ɔ ɾ d ɑ l
հոխորտան	h ɔ χ ɔ ɾ d ɑ n
հոխորտանք	h ɔ χ ɔ ɾ d ɑ ŋ kʰ
հոկայդո	h ɔ ɡ ɑ j tʰ ɔ
հոկեյ	h ɔ ɡ ɛ j
հոկտեմբեր	h ɔ ɡ d ɛ m pʰ ɛ ɾ
հոկտեմբերյան	h ɔ ɡ d ɛ m pʰ ɛ ɾ j ɑ n
հոհան	h ɔ h ɑ n
հոհենցոլեր	h ɔ h ɛ n t͡sʰ ɔ l ɛ ɾ
հոհենցոլերն	h ɔ h ɛ n t͡sʰ ɔ l ɛ ɾ n
հող	h ɔ ʁ
հողագայլ	h ɔ ʁ ɑ kʰ ɑ j l
հողակոշտ	h ɔ ʁ ɑ ɡ ɔ ʃ t
հողանցում	h ɔ ʁ ɑ n t͡sʰ u m
հողդողդ	h ɔ χ tʰ ɔ χ tʰ
հողդողդել	h ɔ χ tʰ ɔ χ tʰ ɛ l
հողեղեն	h ɔ ʁ ɛ ʁ ɛ n
հողմ	h ɔ ʁ m
հոմանիշ	h ɔ m ɑ n i ʃ
հոմերոս	h ɔ m ɛ ɾ ɔ s
հոմոֆոբիա	h ɔ m ɔ f ɔ pʰ j ɑ
հոմս	h ɔ m s
հոյակապ	h ɔ j ɑ ɡ ɑ b
հոյակառույց	h ɔ j ɑ ɡ ɑ ɾ u j t͡sʰ
հոյակերտ	h ɔ j ɑ ɡ ɛ ɾ d
հոյաշեն	h ɔ j ɑ ʃ ɛ n
հոն	h ɔ n
հոնդուրաս	h ɔ n tʰ u ɾ ɑ s
հոնկոնգ	h ɔ ŋ ɡ ɔ ŋ kʰ
հոնոլուլու	h ɔ n ɔ l u l u
հոնորիոս	h ɔ n ɔ ɾ i ɔ s
հոնսյու	h ɔ n s ʏ
հոնք	h ɔ ŋ kʰ
հոշոտել	h ɔ ʃ ɔ d ɛ l
հոուգանգ	h ɔ u kʰ ɑ ŋ kʰ
հոպար	h ɔ b ɑ ɾ
հոպնակ	h ɔ b n ɑ ɡ
հոպոպ	h ɔ b ɔ b
հոռետես	h ɔ ɾ ɛ d ɛ s
հոռի	h ɔ ɾ i
հոռովել	h ɔ ɾ ɔ v ɛ l
հոս	h ɔ s
հոսանուտ	h ɔ s ɑ n u d
հոսանք	h ɔ s ɑ ŋ kʰ
հոսնական	h ɔ s n ɑ ɡ ɑ n
հոսք	h ɔ s kʰ
հով	h ɔ v
հովազ	h ɔ v ɑ z
հովանի	h ɔ v ɑ n i
հովանուտ	h ɔ v ɑ n u d
հովիկ	h ɔ v i ɡ
հովիտ	h ɔ v i d
հովհաննես	h ɔ v h ɑ nː ɛ s
հովհաննես	h ɔ v ɑ n ɛ s
հովհաննիսյան	h ɔ v h ɑ nː i s j ɑ n
հովհաննիսյան	h ɔ v ɑ n i s j ɑ n
հովհար	h ɔ v h ɑ ɾ
հովնան	h ɔ v n ɑ n
հովո	h ɔ v ɔ
հովսեփ	h ɔ f s ɛ pʰ
հոտ	h ɔ d
հոտաղ	h ɔ d ɑ ʁ
հոտել	h ɔ d ɛ l
հոտոտել	h ɔ d ɔ d ɛ l
հոր	h ɔ ɾ
հորա	h ɔ ɾ ɑ
հորան	h ɔ ɾ ɑ n
հորանջ	h ɔ ɾ ɑ n t͡ʃʰ
հորանջել	h ɔ ɾ ɑ n t͡ʃʰ ɛ l
հորացիոս	h ɔ ɾ ɑ t͡sʰ i ɔ s
հորաքույր	h ɔ ɾ ɑ kʰ u j ɾ
հորաքրոջ	h ɔ ɾ ɑ kʰ ə ɾ ɔ t͡ʃʰ
հորդ	h ɔ ɾ tʰ
հորդանան	h ɔ ɾ tʰ ɑ n ɑ n
հորդել	h ɔ ɾ tʰ ɛ l
հորդորակ	h ɔ ɾ tʰ ɔ ɾ ɑ ɡ
հորդորանք	h ɔ ɾ tʰ ɔ ɾ ɑ ŋ kʰ
հորդորել	h ɔ ɾ tʰ ɔ ɾ ɛ l
հորդորեցուցիչ	h ɔ ɾ tʰ ɔ ɾ ɛ t͡sʰ u t͡sʰ i t͡ʃʰ
հորդորիչ	h ɔ ɾ tʰ ɔ ɾ i t͡ʃʰ
հորեղբայր	h ɔ ɾ ɛ χ p ɑ j ɾ
հորեղբոր	h ɔ ɾ ɛ χ p ɔ ɾ
հորթ	h ɔ ɾ tʰ
հորթուկ	h ɔ ɾ tʰ u ɡ
հորիզոն	h ɔ ɾ i z ɔ n
հորիզոնական	h ɔ ɾ i z ɔ n ɑ ɡ ɑ n
հորողբեր	h ɔ ɾ ɔ χ p ɛ ɾ
հորովել	h ɔ ɾ ɔ v ɛ l
հորու	h ɔ ɾ u
հորջորջ	h ɔ ɾ t͡ʃʰ ɔ ɾ t͡ʃʰ
հորջորջանք	h ɔ ɾ t͡ʃʰ ɔ ɾ t͡ʃʰ ɑ ŋ kʰ
հորջորջել	h ɔ ɾ t͡ʃʰ ɔ ɾ t͡ʃʰ ɛ l
հորս	h ɔ ɾ s
հորսայս	h ɔ ɾ s ɑ j s
հորքուր	h ɔ ɾ kʰ u ɾ
հու	h u
հուանհե	h u ɑ n h ɛ
հուբեյ	h u pʰ ɛ j
հուգենոտ	h u kʰ ɛ n ɔ d
հուդա	h u tʰ ɑ
հուդայականություն	h u tʰ ɑ j ɑ ɡ ɑ n u tʰ ʏ n
հուդզոն	h u tʰ z ɔ n
հուդիթ	h u tʰ i tʰ
հուզել	h u z ɛ l
հուզիչ	h u z i t͡ʃʰ
հուզող	h u z ɔ ʁ
հուժկու	h u ʒ ɡ u
հուլիս	h u l i s
հուլիսյան	h u l i s j ɑ n
հուլունք	h u l u ŋ kʰ
հում	h u m
հումանիզմ	h u m ɑ n i z m
հումանիստ	h u m ɑ n i s t
հումանիտար	h u m ɑ n i d ɑ ɾ
հումոր	h u m ɔ ɾ
հումուս	h u m u s
հումք	h u m kʰ
հույզ	h u j z
հույլ	h u j l
հույլք	h u j l kʰ
հույն	h u j n
հույս	h u j s
հույր	h u j ɾ
հուն	h u n
հունական	h u n ɑ ɡ ɑ n
հունան	h u n ɑ n
հունաստան	h u n ɑ s t ɑ n
հունավոր	h u n ɑ v ɔ ɾ
հունարեն	h u n ɑ ɾ ɛ n
հունգարացի	h u ŋ kʰ ɑ ɾ ɑ t͡sʰ i
հունգարերեն	h u ŋ kʰ ɑ ɾ ɛ ɾ ɛ n
հունգարիա	h u ŋ kʰ ɑ ɾ j ɑ
հունդ	h u n tʰ
հուներեն	h u n ɛ ɾ ɛ n
հունիս	h u n i s
հունիսյան	h u n i s j ɑ n
հունձ	h u n t͡sʰ
հունվար	h u n v ɑ ɾ
հունվարյան	h u n v ɑ ɾ j ɑ n
հունքուբունք	h u ŋ kʰ u pʰ u ŋ kʰ
հուշ	h u ʃ
հուշանվեր	h u ʃ ɑ n ə v ɛ ɾ
հուշարձան	h u ʃ ɑ ɾ t͡sʰ ɑ n
հուշեր	h u ʃ ɛ ɾ
հուռ	h u ɾ
հուռթանալ	h u ɾ tʰ ɑ n ɑ l
հուռութ	h u ɾ u tʰ
հուռութք	h u ɾ u tʰ kʰ
հուսադրել	h u s ɑ tʰ ɾ ɛ l
հուսալի	h u s ɑ l i
հուսալքել	h u s ɑ l ə kʰ ɛ l
հուսալքություն	h u s ɑ l ə kʰ u tʰ ʏ n
հուսալքված	h u s ɑ l ə kʰ v ɑ d͡z
հուսակորույս	h u s ɑ ɡ ɔ ɾ u j s
հուսակտուր	h u s ɑ ɡ ə d u ɾ
հուսահատ	h u s ɑ h ɑ d
հուսահատեցնել	h u s ɑ h ɑ d ɛ t͡sʰ ə n ɛ l
հուսահատեցնող	h u s ɑ h ɑ d ɛ t͡sʰ n ɔ ʁ
հուսահատություն	h u s ɑ h ɑ d u tʰ ʏ n
հուսահատվել	h u s ɑ h ɑ d v ɛ l
հուսիկ	h u s i ɡ
հուր	h u ɾ
հուրոն	h u ɾ ɔ n
հպատակվել	h ə b ɑ d ɑ ɡ v ɛ l
հպարտ	h ə b ɑ ɾ d
հպարտանալ	h ə b ɑ ɾ d ɑ n ɑ l
հպարտություն	h ə b ɑ ɾ d u tʰ ʏ n
հռենոս	h ə ɾ ɛ n ɔ s
հռենոս	h ɾ ɛ n ɔ s
հռետոր	h ɾ ɛ d ɔ ɾ
հռետորաբան	h ə ɾ ɛ d ɔ ɾ ɑ pʰ ɑ n
հռետորաբանություն	h ə ɾ ɛ d ɔ ɾ ɑ pʰ ɑ n u tʰ ʏ n
հռետորաբանություն	h ɾ ɛ d ɔ ɾ ɑ pʰ ɑ n u tʰ ʏ n
հռիփսիմե	h ɾ i pʰ s i m ɛ
հռոդոս	h ɾ ɔ tʰ ɔ s
հռոմ	h ə ɾ ɔ m
հռոմ	h ɾ ɔ m
հռոմեական	h ə ɾ ɔ m j ɑ ɡ ɑ n
հռոմեական	h ɾ ɔ m j ɑ ɡ ɑ n
հռոմեացի	h ə ɾ ɔ m ɛ j ɑ t͡sʰ i
հռոմեացի	h ɾ ɔ m ɛ j ɑ t͡sʰ i
հռովմայեցի	h ə ɾ ɔ v m ɑ j ɛ t͡sʰ i
հռովմայեցի	h ɾ ɔ v m ɑ j ɛ t͡sʰ i
հռովմեական	h ə ɾ ɔ v m ɛ j ɑ ɡ ɑ n
հռովմեական	h ɾ ɔ v m ɛ j ɑ ɡ ɑ n
հռչակ	h ə ɾ t͡ʃʰ ɑ ɡ
հռչակավոր	h ə ɾ t͡ʃʰ ɑ ɡ ɑ v ɔ ɾ
հսկա	h ə s k ɑ
հսկայական	h ə s k ɑ j ɑ ɡ ɑ n
հսկել	h ə s k ɛ l
հստակ	h ə s t ɑ ɡ
հստակորեն	h ə s t ɑ ɡ ɔ ɾ ɛ n
հտհ	h ə d ə h ə
հրաբուխ	h ə ɾ ɑ pʰ u χ
հրադադար	h ə ɾ ɑ tʰ ɑ tʰ ɑ ɾ
հրազդան	h ə ɾ ɑ s tʰ ɑ n
հրաժարական	h ə ɾ ɑ ʒ ɑ ɾ ɑ ɡ ɑ n
հրաժեշտ	h ə ɾ ɑ ʒ ɛ ʃ t
հրաժեշտախնջույք	h ə ɾ ɑ ʒ ɛ ʃ t ɑ χ ə n t͡ʃʰ u j kʰ
հրաժեշտասեղան	h ə ɾ ɑ ʒ ɛ ʃ t ɑ s ɛ ʁ ɑ n
հրահան	h ə ɾ ɑ h ɑ n
հրահրել	h ə ɾ ɑ h ə ɾ ɛ l
հրաձգարան	h ə ɾ ɑ t͡sʰ ə kʰ ɑ ɾ ɑ n
հրաձգել	h ə ɾ ɑ t͡sʰ ə kʰ ɛ l
հրամայական	h ə ɾ ɑ m ɑ j ɑ ɡ ɑ n
հրամայել	h ə ɾ ɑ m ɑ j ɛ l
հրաման	h ə ɾ ɑ m ɑ n
հրամանատար	h ə ɾ ɑ m ɑ n ɑ d ɑ ɾ
հրայր	h ə ɾ ɑ j ɾ
հրանտ	h ə ɾ ɑ n d
հրաշակերտ	h ə ɾ ɑ ʃ ɑ ɡ ɛ ɾ d
հրաշք	h ə ɾ ɑ ʃ kʰ
հրաչ	h ə ɾ ɑ t͡ʃʰ
հրաչյա	h ə ɾ ɑ t͡ʃʰ j ɑ
հրապատ	h ə ɾ ɑ b ɑ d
հրապարակ	h ə ɾ ɑ b ɑ ɾ ɑ ɡ
հրապարակայնություն	h ə ɾ ɑ b ɑ ɾ ɑ ɡ ɑ j n u tʰ ʏ n
հրապարակավ	h ɾ ɑ b ɑ ɾ ɑ ɡ ɑ v
հրապարակել	h ə ɾ ɑ b ɑ ɾ ɑ ɡ ɛ l
հրապույր	h ə ɾ ɑ b u j ɾ
հրապուրել	h ə ɾ ɑ b u ɾ ɛ l
հրասախ	h ə ɾ ɑ s ɑ χ
հրասայլ	h ə ɾ ɑ s ɑ j l
հրավառել	h ə ɾ ɑ v ɑ ɾ ɛ l
հրավառություն	h ə ɾ ɑ v ɑ ɾ u tʰ ʏ n
հրավեր	h ə ɾ ɑ v ɛ ɾ
հրավերք	h ə ɾ ɑ v ɛ ɾ kʰ
հրավիրել	h ə ɾ ɑ v i ɾ ɛ l
հրատ	h ə ɾ ɑ d
հրատապ	h ə ɾ ɑ d ɑ b
հրատարակել	h ə ɾ ɑ d ɑ ɾ ɑ ɡ ɛ l
հրատարակիչ	h ə ɾ ɑ d ɑ ɾ ɑ ɡ i t͡ʃʰ
հրատարակում	h ə ɾ ɑ d ɑ ɾ ɑ ɡ u m
հրատարակչություն	h ə ɾ ɑ d ɑ ɾ ɑ kʰ t͡ʃʰ u tʰ ʏ n
հրացան	h ə ɾ ɑ t͡sʰ ɑ n
հրացանակիր	h ə ɾ ɑ t͡sʰ ɑ n ɑ ɡ i ɾ
հրդեհ	h ə ɾ tʰ ɛ h
հրդեհում	h ə ɾ tʰ ɛ h u m
հրեա	h ə ɾ j ɑ
հրեա	h ə ɾ ɛ ɑ
հրեական	h ə ɾ j ɑ ɡ ɑ n
հրեաստան	h ə ɾ j ɑ s t ɑ n
հրեաստան	h ə ɾ ɛ ɑ s t ɑ n
հրել	h ə ɾ ɛ l
հրեղեն	h ə ɾ ɛ ʁ ɛ n
հրեշ	h ə ɾ ɛ ʃ
հրեշտակ	h ə ɾ ɛ ʃ t ɑ ɡ
հրեշտակյան	h ə ɾ ɛ ʃ t ɑ ɡ j ɑ n
հրես	h ə ɾ ɛ s
հրետ	h ə ɾ ɛ d
հրետանի	h ə ɾ ɛ d ɑ n i
հրթիռ	h ə ɾ tʰ i ɾ
հրկիզել	h ə ɾ ɡ i z ɛ l
հրկիզում	h ə ɾ ɡ i z u m
հրճվանք	h ə ɾ d͡ʒ v ɑ ŋ kʰ
հրճվել	h ə ɾ d͡ʒ v ɛ l
հրշեջ	h ə ɾ ʃ ɛ t͡ʃʰ
հրողբեր	h ə ɾ ɔ χ p ɛ ɾ
հրովարտակ	h ə ɾ ɔ v ɑ ɾ d ɑ ɡ
հրուդեն	h ə ɾ u tʰ ɛ n
հրուշակ	h ə ɾ u ʃ ɑ ɡ
հրուշակագործ	h ə ɾ u ʃ ɑ ɡ ɑ kʰ ɔ ɾ d͡z
հրուշակեղեն	h ə ɾ u ʃ ɑ ɡ ɛ ʁ ɛ n
հրվանդան	h ə ɾ v ɑ n tʰ ɑ n
հօգուտ	h ɔ kʰ u d
հօպ	h ɔ b
ձ	t͡sʰ ə
ձա	t͡sʰ ɑ
ձագ	t͡sʰ ɑ kʰ
ձագար	t͡sʰ ɑ kʰ ɑ ɾ
ձախ	t͡sʰ ɑ χ
ձախլիկ	t͡sʰ ɑ χ l i ɡ
ձախող	t͡sʰ ɑ χ ɔ ʁ
ձախողակ	t͡sʰ ɑ χ ɔ ʁ ɑ ɡ
ձաղ	t͡sʰ ɑ ʁ
ձաղանք	t͡sʰ ɑ ʁ ɑ ŋ kʰ
ձաղել	t͡sʰ ɑ ʁ ɛ l
ձաղկ	t͡sʰ ɑ χ k
ձաղկել	t͡sʰ ɑ χ k ɛ l
ձաղտել	t͡sʰ ɑ χ t ɛ l
ձայն	t͡sʰ ɑ j n
ձայնապնակ	t͡sʰ ɑ j n ɑ b ə n ɑ ɡ
ձայնասփյուռ	t͡sʰ ɑ j n ɑ s pʰ ʏ ɾ
ձայնավոր	t͡sʰ ɑ j n ɑ v ɔ ɾ
ձայնդարձ	t͡sʰ ɑ j n tʰ ɑ ɾ t͡sʰ
ձայնեղ	t͡sʰ ɑ j n ɛ ʁ
ձայներիզ	t͡sʰ ɑ j n ɛ ɾ i z
ձայնորդ	t͡sʰ ɑ j n ɔ ɾ tʰ
ձանձրալի	t͡sʰ ɑ n t͡sʰ ɾ ɑ l i
ձանձրույթ	t͡sʰ ɑ n t͡sʰ ɾ u j tʰ
ձաուջիկաու	t͡sʰ ɑ u t͡ʃʰ i ɡ ɑ u
ձառ	t͡sʰ ɑ ɾ
ձավար	t͡sʰ ɑ v ɑ ɾ
ձավարապուր	t͡sʰ ɑ v ɑ ɾ ɑ b u ɾ
ձար	t͡sʰ ɑ ɾ
ձարխոտ	t͡sʰ ɑ ɾ χ ɔ d
ձգել	t͡sʰ ə kʰ ɛ l
ձգտել	t͡sʰ ə kʰ t ɛ l
ձգտում	t͡sʰ ə kʰ t u m
ձեզ	t͡sʰ ɛ z
ձեթ	t͡sʰ ɛ tʰ
ձելկվա	t͡sʰ ɛ l ɡ v ɑ
ձեղնահարկ	t͡sʰ ɛ ʁ n ɑ h ɑ ɾ ɡ
ձեղուն	t͡sʰ ɛ ʁ u n
ձեն	t͡sʰ ɛ n
ձեռ	t͡sʰ ɛ ɾ
ձեռագիր	t͡sʰ ɛ ɾ ɑ kʰ i ɾ
ձեռային	t͡sʰ ɛ ɾ ɑ j i n
ձեռնագնդակ	t͡sʰ ɛ ɾ n ɑ kʰ ə n tʰ ɑ ɡ
ձեռնածու	t͡sʰ ɛ ɾ n ɑ d͡z u
ձեռնաշարժություն	t͡sʰ ɛ ɾ n ɑ ʃ ɑ ɾ ʒ u tʰ ʏ n
ձեռնաշղթա	t͡sʰ ɛ ɾ n ɑ ʃ ə χ tʰ ɑ
ձեռնասայլ	t͡sʰ ɛ ɾ n ɑ s ɑ j l
ձեռնասայլակ	t͡sʰ ɛ ɾ n ɑ s ɑ j l ɑ ɡ
ձեռնարկ	t͡sʰ ɛ ɾ n ɑ ɾ ɡ
ձեռնարկություն	t͡sʰ ɛ ɾ n ɑ ɾ ɡ u tʰ ʏ n
ձեռներեց	t͡sʰ ɛ ɾ n ɛ ɾ ɛ t͡sʰ
ձեռնոց	t͡sʰ ɛ ɾ n ɔ t͡sʰ
ձեռնպահ	t͡sʰ ɛ ɾ ə n b ɑ h
ձեռնտու	t͡sʰ ɛ ɾ ə n d u
ձեռք	t͡sʰ ɛ ɾ kʰ
ձեռքի	t͡sʰ ɛ ɾ kʰ i
ձեռքսեղմում	t͡sʰ ɛ ɾ kʰ s ɛ ʁ m u m
ձեռքսեղմում	t͡sʰ ɛ ɾ kʰ s ɛ χ m u m
ձետ	t͡sʰ ɛ d
ձերբակալ	t͡sʰ ɛ ɾ pʰ ɑ ɡ ɑ l
ձերբակալել	t͡sʰ ɛ ɾ pʰ ɑ ɡ ɑ l ɛ l
ձերբակալություն	t͡sʰ ɛ ɾ pʰ ɑ ɡ ɑ l u tʰ ʏ n
