A	a
letxezkioken	l e t͡ʃ e s̻ k i o k e n
letxezkioken	l e t͡ʃ e s̺ k i o k e n
letxezkizueke	l e t͡ʃ e s̻ k i s̻ u e k e
letxezkizueke	l e t͡ʃ e s̻ k i s̻ u e k e
letxezkizueke	l e t͡ʃ e s̺ k i s̺ u e k e
letxezkizuke	l e t͡ʃ e s̻ k i s̻ u k e
letxezkizuke	l e t͡ʃ e s̻ k i s̻ u k e
letxezkizuke	l e t͡ʃ e s̺ k i s̺ u k e
letzake	l e t͡s̻ a k e
letzakek	l e t͡s̻ a k e k
letzaken	l e t͡s̻ a k e n
leudeke	l e u̯ d e k e
leudekek	l e u̯ d e k e k
leudeken	l e u̯ d e k e n
leukake	l e u̯ k a k e
leukakek	l e u̯ k a k e k
leukaken	l e u̯ k a k e n
leukakete	l e u̯ k a k e t e
leukaketek	l e u̯ k a k e t e k
leukaketen	l e u̯ k a k e t e n
leun	l e u̯ n
leutseke	l e u̯ t͡s̺ e k e
leutseke	l e u̯ t͡s̺ e k e
leutseke	l e u̯ t͡s̻ e k e
leutsekek	l e u̯ t͡s̺ e k e k
leutsekek	l e u̯ t͡s̺ e k e k
leutsekek	l e u̯ t͡s̻ e k e k
leutseken	l e u̯ t͡s̺ e k e n
leutseken	l e u̯ t͡s̺ e k e n
leutseken	l e u̯ t͡s̻ e k e n
leutsekete	l e u̯ t͡s̺ e k e t e
leutsekete	l e u̯ t͡s̺ e k e t e
leutsekete	l e u̯ t͡s̻ e k e t e
leutseketek	l e u̯ t͡s̺ e k e t e k
leutseketek	l e u̯ t͡s̺ e k e t e k
leutseketek	l e u̯ t͡s̻ e k e t e k
leutseketen	l e u̯ t͡s̺ e k e t e n
leutseketen	l e u̯ t͡s̺ e k e t e n
leutseketen	l e u̯ t͡s̻ e k e t e n
leutsoke	l e u̯ t͡s̺ o k e
leutsoke	l e u̯ t͡s̺ o k e
leutsoke	l e u̯ t͡s̻ o k e
leutsokek	l e u̯ t͡s̺ o k e k
leutsokek	l e u̯ t͡s̺ o k e k
leutsokek	l e u̯ t͡s̻ o k e k
leutsoken	l e u̯ t͡s̺ o k e n
leutsoken	l e u̯ t͡s̺ o k e n
leutsoken	l e u̯ t͡s̻ o k e n
leutsokete	l e u̯ t͡s̺ o k e t e
leutsokete	l e u̯ t͡s̺ o k e t e
leutsokete	l e u̯ t͡s̻ o k e t e
leutsoketek	l e u̯ t͡s̺ o k e t e k
leutsoketek	l e u̯ t͡s̺ o k e t e k
leutsoketek	l e u̯ t͡s̻ o k e t e k
leutsoketen	l e u̯ t͡s̺ o k e t e n
leutsoketen	l e u̯ t͡s̺ o k e t e n
leutsoketen	l e u̯ t͡s̻ o k e t e n
leutzake	l e u̯ t͡s̻ a k e
leutzakek	l e u̯ t͡s̻ a k e k
leutzaken	l e u̯ t͡s̻ a k e n
leuzkake	l e u̯ s̻ k a k e
leuzkake	l e u̯ s̻ k a k e
leuzkake	l e u̯ s̺ k a k e
leuzkakek	l e u̯ s̻ k a k e k
leuzkakek	l e u̯ s̻ k a k e k
leuzkakek	l e u̯ s̺ k a k e k
leuzkaken	l e u̯ s̻ k a k e n
leuzkaken	l e u̯ s̻ k a k e n
leuzkaken	l e u̯ s̺ k a k e n
leuzkakete	l e u̯ s̻ k a k e t e
leuzkakete	l e u̯ s̻ k a k e t e
leuzkakete	l e u̯ s̺ k a k e t e
leuzkaketek	l e u̯ s̻ k a k e t e k
leuzkaketek	l e u̯ s̻ k a k e t e k
leuzkaketek	l e u̯ s̺ k a k e t e k
leuzkaketen	l e u̯ s̻ k a k e t e n
leuzkaketen	l e u̯ s̻ k a k e t e n
leuzkaketen	l e u̯ s̺ k a k e t e n
Leza	l e s̻ a
Leza	l e s̻ a
Leza	l e s̺ a
Lezaeta	l e s̻ a e t a
Lezaeta	l e s̻ a e t a
Lezaeta	l e s̺ a e t a
lezaguke	l e s̻ a ɡ u k e
lezaguke	l e s̻ a ɡ u k e
lezaguke	l e s̺ a ɡ u k e
lezagukek	l e s̻ a ɡ u k e k
lezagukek	l e s̻ a ɡ u k e k
lezagukek	l e s̺ a ɡ u k e k
lezaguken	l e s̻ a ɡ u k e n
lezaguken	l e s̻ a ɡ u k e n
lezaguken	l e s̺ a ɡ u k e n
lezagukete	l e s̻ a ɡ u k e t e
lezagukete	l e s̻ a ɡ u k e t e
lezagukete	l e s̺ a ɡ u k e t e
lezaguketek	l e s̻ a ɡ u k e t e k
lezaguketek	l e s̻ a ɡ u k e t e k
lezaguketek	l e s̺ a ɡ u k e t e k
lezaguketen	l e s̻ a ɡ u k e t e n
lezaguketen	l e s̻ a ɡ u k e t e n
lezaguketen	l e s̺ a ɡ u k e t e n
lezaguzke	l e s̻ a ɡ u s̻ k e
lezaguzke	l e s̻ a ɡ u s̻ k e
lezaguzke	l e s̺ a ɡ u s̺ k e
lezaguzkek	l e s̻ a ɡ u s̻ k e k
lezaguzkek	l e s̻ a ɡ u s̻ k e k
lezaguzkek	l e s̺ a ɡ u s̺ k e k
lezaguzken	l e s̻ a ɡ u s̻ k e n
lezaguzken	l e s̻ a ɡ u s̻ k e n
lezaguzken	l e s̺ a ɡ u s̺ k e n
lezaguzkete	l e s̻ a ɡ u s̻ k e t e
lezaguzkete	l e s̻ a ɡ u s̻ k e t e
lezaguzkete	l e s̺ a ɡ u s̺ k e t e
lezaguzketek	l e s̻ a ɡ u s̻ k e t e k
lezaguzketek	l e s̻ a ɡ u s̻ k e t e k
lezaguzketek	l e s̺ a ɡ u s̺ k e t e k
lezaguzketen	l e s̻ a ɡ u s̻ k e t e n
lezaguzketen	l e s̻ a ɡ u s̻ k e t e n
lezaguzketen	l e s̺ a ɡ u s̺ k e t e n
lezake	l e s̻ a k e
lezake	l e s̻ a k e
lezake	l e s̺ a k e
lezakek	l e s̻ a k e k
lezakek	l e s̻ a k e k
lezakek	l e s̺ a k e k
lezaken	l e s̻ a k e n
lezaken	l e s̻ a k e n
lezaken	l e s̺ a k e n
lezakete	l e s̻ a k e t e
lezakete	l e s̻ a k e t e
lezakete	l e s̺ a k e t e
lezaketek	l e s̻ a k e t e k
lezaketek	l e s̻ a k e t e k
lezaketek	l e s̺ a k e t e k
lezaketen	l e s̻ a k e t e n
lezaketen	l e s̻ a k e t e n
lezaketen	l e s̺ a k e t e n
lezan	l e s̻ a n
lezan	l e s̻ a n
lezan	l e s̺ a n
Lezana	l e s̻ a n a
Lezana	l e s̻ a n a
Lezana	l e s̺ a n a
lezaten	l e s̻ a t e n
lezaten	l e s̻ a t e n
lezaten	l e s̺ a t e n
Lezeta	l e s̻ e t a
Lezeta	l e s̻ e t a
Lezeta	l e s̺ e t a
lezka	l e s̻ k a
lezka	l e s̻ k a
lezka	l e s̺ k a
Lezo	l e s̻ o
Lezo	l e s̻ o
Lezo	l e s̺ o
Libano	l i b a n o
libanoar	l i b a n o a r
Libe	l i b e
libreto	l i b r e t o
liburu	l i b u ɾ u
liburutegi	l i b u ɾ u t e ɡ i
Lide	l i d e
Lidia	l i d i a
Liechtenstein	l i t͡ʃ e s̺ t a i̯ n
lieke	l i e k e
Lierni	l i e r n i
liezaieketek	l i e s̻ a i̯ e k e t e k
liezaieketek	l i e s̻ a i̯ e k e t e k
liezaieketek	l i e s̺ a i̯ e k e t e k
liezaieketen	l i e s̻ a i̯ e k e t e n
liezaieketen	l i e s̻ a i̯ e k e t e n
liezaieketen	l i e s̺ a i̯ e k e t e n
liezazkieketek	l i e s̻ a s̻ k i e k e t e k
liezazkieketek	l i e s̻ a s̻ k i e k e t e k
liezazkieketek	l i e s̺ a s̺ k i e k e t e k
liezazkieketen	l i e s̻ a s̻ k i e k e t e n
liezazkieketen	l i e s̻ a s̻ k i e k e t e n
liezazkieketen	l i e s̺ a s̺ k i e k e t e n
lihardukake	l i h a r d u k a k e
lihardukake	l i a r d u k a k e
lihardukakek	l i h a r d u k a k e k
lihardukakek	l i a r d u k a k e k
lihardukaken	l i h a r d u k a k e n
lihardukaken	l i a r d u k a k e n
lihardukakete	l i h a r d u k a k e t e
lihardukakete	l i a r d u k a k e t e
lihardukaketek	l i h a r d u k a k e t e k
lihardukaketek	l i a r d u k a k e t e k
lihardukaketen	l i h a r d u k a k e t e n
lihardukaketen	l i a r d u k a k e t e n
liharduke	l i h a r d u k e
liharduke	l i a r d u k e
lihardukek	l i h a r d u k e k
lihardukek	l i a r d u k e k
liharduken	l i h a r d u k e n
liharduken	l i a r d u k e n
lihardukete	l i h a r d u k e t e
lihardukete	l i a r d u k e t e
liharduketek	l i h a r d u k e t e k
liharduketek	l i a r d u k e t e k
liharduketen	l i h a r d u k e t e n
liharduketen	l i a r d u k e t e n
lihoake	l i h o a k e
lihoake	l i x o a k e
lihoakek	l i h o a k e k
lihoakek	l i x o a k e k
lihoaken	l i h o a k e n
lihoaken	l i x o a k e n
lihoakiake	l i h o a k i a k e
lihoakiake	l i x o a k i a k e
lihoakidake	l i h o a k i d a k e
lihoakidake	l i x o a k i d a k e
lihoakidakek	l i h o a k i d a k e k
lihoakidakek	l i x o a k i d a k e k
lihoakidaken	l i h o a k i d a k e n
lihoakidaken	l i x o a k i d a k e n
lihoakieke	l i h o a k i e k e
lihoakieke	l i x o a k i e k e
lihoakiekek	l i h o a k i e k e k
lihoakiekek	l i x o a k i e k e k
lihoakieken	l i h o a k i e k e n
lihoakieken	l i x o a k i e k e n
lihoakiguke	l i h o a k i ɡ u k e
lihoakiguke	l i x o a k i ɡ u k e
lihoakigukek	l i h o a k i ɡ u k e k
lihoakigukek	l i x o a k i ɡ u k e k
lihoakiguken	l i h o a k i ɡ u k e n
lihoakiguken	l i x o a k i ɡ u k e n
lihoakinake	l i h o a k i n a k e
lihoakinake	l i x o a k i ɲ a k e
lihoakioke	l i h o a k i o k e
lihoakioke	l i x o a k i o k e
lihoakiokek	l i h o a k i o k e k
lihoakiokek	l i x o a k i o k e k
lihoakioken	l i h o a k i o k e n
lihoakioken	l i x o a k i o k e n
lihoakizueke	l i h o a k i s̻ u e k e
lihoakizueke	l i x o a k i s̻ u e k e
lihoakizueke	l i x o a k i s̻ u e k e
lihoakizueke	l i x o a k i s̺ u e k e
lihoakizuke	l i h o a k i s̻ u k e
lihoakizuke	l i x o a k i s̻ u k e
lihoakizuke	l i x o a k i s̻ u k e
lihoakizuke	l i x o a k i s̺ u k e
lihoazke	l i h o a s̻ k e
lihoazke	l i x o a s̻ k e
lihoazke	l i x o a s̻ k e
lihoazke	l i x o a s̺ k e
lihoazkek	l i h o a s̻ k e k
lihoazkek	l i x o a s̻ k e k
lihoazkek	l i x o a s̻ k e k
lihoazkek	l i x o a s̺ k e k
lihoazken	l i h o a s̻ k e n
lihoazken	l i x o a s̻ k e n
lihoazken	l i x o a s̻ k e n
lihoazken	l i x o a s̺ k e n
lihoazkiake	l i h o a s̻ k i a k e
lihoazkiake	l i x o a s̻ k i a k e
lihoazkiake	l i x o a s̻ k i a k e
lihoazkiake	l i x o a s̺ k i a k e
lihoazkidake	l i h o a s̻ k i d a k e
lihoazkidake	l i x o a s̻ k i d a k e
lihoazkidake	l i x o a s̻ k i d a k e
lihoazkidake	l i x o a s̺ k i d a k e
lihoazkidakek	l i h o a s̻ k i d a k e k
lihoazkidakek	l i x o a s̻ k i d a k e k
lihoazkidakek	l i x o a s̻ k i d a k e k
lihoazkidakek	l i x o a s̺ k i d a k e k
lihoazkidaken	l i h o a s̻ k i d a k e n
lihoazkidaken	l i x o a s̻ k i d a k e n
lihoazkidaken	l i x o a s̻ k i d a k e n
lihoazkidaken	l i x o a s̺ k i d a k e n
lihoazkieke	l i h o a s̻ k i e k e
lihoazkieke	l i x o a s̻ k i e k e
lihoazkieke	l i x o a s̻ k i e k e
lihoazkieke	l i x o a s̺ k i e k e
lihoazkiekek	l i h o a s̻ k i e k e k
lihoazkiekek	l i x o a s̻ k i e k e k
lihoazkiekek	l i x o a s̻ k i e k e k
lihoazkiekek	l i x o a s̺ k i e k e k
lihoazkieken	l i h o a s̻ k i e k e n
lihoazkieken	l i x o a s̻ k i e k e n
lihoazkieken	l i x o a s̻ k i e k e n
lihoazkieken	l i x o a s̺ k i e k e n
lihoazkiguke	l i h o a s̻ k i ɡ u k e
lihoazkiguke	l i x o a s̻ k i ɡ u k e
lihoazkiguke	l i x o a s̻ k i ɡ u k e
lihoazkiguke	l i x o a s̺ k i ɡ u k e
lihoazkigukek	l i h o a s̻ k i ɡ u k e k
lihoazkigukek	l i x o a s̻ k i ɡ u k e k
lihoazkigukek	l i x o a s̻ k i ɡ u k e k
lihoazkigukek	l i x o a s̺ k i ɡ u k e k
lihoazkiguken	l i h o a s̻ k i ɡ u k e n
lihoazkiguken	l i x o a s̻ k i ɡ u k e n
lihoazkiguken	l i x o a s̻ k i ɡ u k e n
lihoazkiguken	l i x o a s̺ k i ɡ u k e n
lihoazkinake	l i h o a s̻ k i n a k e
lihoazkinake	l i x o a s̻ k i ɲ a k e
lihoazkinake	l i x o a s̻ k i ɲ a k e
lihoazkinake	l i x o a s̺ k i ɲ a k e
lihoazkioke	l i h o a s̻ k i o k e
lihoazkioke	l i x o a s̻ k i o k e
lihoazkioke	l i x o a s̻ k i o k e
lihoazkioke	l i x o a s̺ k i o k e
lihoazkiokek	l i h o a s̻ k i o k e k
lihoazkiokek	l i x o a s̻ k i o k e k
lihoazkiokek	l i x o a s̻ k i o k e k
lihoazkiokek	l i x o a s̺ k i o k e k
lihoazkioken	l i h o a s̻ k i o k e n
lihoazkioken	l i x o a s̻ k i o k e n
lihoazkioken	l i x o a s̻ k i o k e n
lihoazkioken	l i x o a s̺ k i o k e n
lihoazkizueke	l i h o a s̻ k i s̻ u e k e
lihoazkizueke	l i x o a s̻ k i s̻ u e k e
lihoazkizueke	l i x o a s̻ k i s̻ u e k e
lihoazkizueke	l i x o a s̺ k i s̺ u e k e
lihoazkizuke	l i h o a s̻ k i s̻ u k e
lihoazkizuke	l i x o a s̻ k i s̻ u k e
lihoazkizuke	l i x o a s̻ k i s̻ u k e
lihoazkizuke	l i x o a s̺ k i s̺ u k e
likek	l i k e k
liken	l i k e n
liketek	l i k e t e k
liketen	l i k e t e n
Lilian	l i l i a n
liluragarri	l i l u ɾ a ɡ a r i
liluragarri	l i ʎ u ɾ a ɡ a r i
lima	l i m a
limoi	l i m o i̯
limoiondo	l i m o i̯ o n d o
linguistika	l i n ɡ w i s̺ t i k a
Lino	l i n o
Lionel	l i o n e l
lipschitzar	l i p ʃ i t͡s̻ a r
Lirain	l i ɾ a i̯ n
lirateke	l i ɾ a t e k e
lirauke	l i ɾ a u̯ k e
liraukek	l i ɾ a u̯ k e k
lirauken	l i ɾ a u̯ k e n
liraukete	l i ɾ a u̯ k e t e
lirauketek	l i ɾ a u̯ k e t e k
lirauketen	l i ɾ a u̯ k e t e n
liro	l i ɾ o
lirok	l i ɾ o k
liron	l i ɾ o n
lirote	l i ɾ o t e
lirotek	l i ɾ o t e k
liroten	l i ɾ o t e n
lirudike	l i ɾ u d i k e
lirudikek	l i ɾ u d i k e k
lirudiken	l i ɾ u d i k e n
lirudikete	l i ɾ u d i k e t e
lirudiketek	l i ɾ u d i k e t e k
lirudiketen	l i ɾ u d i k e t e n
Lisabe	l i s̺ a b e
liteke	l i t e k e
litekek	l i t e k e k
liteken	l i t e k e n
litera	l i t e ɾ a
litezen	l i t e s̻ e n
litezen	l i t e s̻ e n
litezen	l i t e s̺ e n
litezke	l i t e s̻ k e
litezke	l i t e s̻ k e
litezke	l i t e s̺ k e
litezkek	l i t e s̻ k e k
litezkek	l i t e s̻ k e k
litezkek	l i t e s̺ k e k
litezken	l i t e s̻ k e n
litezken	l i t e s̻ k e n
litezken	l i t e s̺ k e n
litio	l i t i o
litizkek	l i t i s̻ k e k
litizkek	l i t i s̻ k e k
litizkek	l i t i s̺ k e k
litizken	l i t i s̻ k e n
litizken	l i t i s̻ k e n
litizken	l i t i s̺ k e n
litizketek	l i t i s̻ k e t e k
litizketek	l i t i s̻ k e t e k
litizketek	l i t i s̺ k e t e k
litizketen	l i t i s̻ k e t e n
litizketen	l i t i s̻ k e t e n
litizketen	l i t i s̺ k e t e n
Lituania	l i t u a n i a
Lituania	l i t w a n i a
lituaniera	l i t u a n i e ɾ a
lituzke	l i t u s̻ k e
lituzke	l i t u s̻ k e
lituzke	l i t u s̺ k e
lituzkek	l i t u s̻ k e k
lituzkek	l i t u s̻ k e k
lituzkek	l i t u s̺ k e k
lituzken	l i t u s̻ k e n
lituzken	l i t u s̻ k e n
lituzken	l i t u s̺ k e n
lituzkete	l i t u s̻ k e t e
lituzkete	l i t u s̻ k e t e
lituzkete	l i t u s̺ k e t e
litzake	l i t͡s̻ a k e
litzakek	l i t͡s̻ a k e k
litzaken	l i t͡s̻ a k e n
litzakete	l i t͡s̻ a k e t e
litzaketek	l i t͡s̻ a k e t e k
litzaketen	l i t͡s̻ a k e t e n
litzan	l i t͡s̻ a n
litzateke	l i t͡s̻ a t e k e
litzaten	l i t͡s̻ a t e n
lizar	l i s̻ a r
lizar	l i s̻ a r
lizar	l i s̺ a r
Lizardi	l i s̻ a r d i
Lizardi	l i s̻ a r d i
Lizardi	l i s̺ a r d i
lizarki	l i s̻ a r k i
lizarki	l i s̻ a r k i
lizarki	l i s̺ a r k i
Lizarra	l i s̻ a r a
Lizarra	l i s̻ a r a
Lizarra	l i s̺ a r a
liztor	l i s̻ t o r
liztor	l i s̻ t o r
liztor	l i s̺ t o r
llabur	ʎ a b u r
llama	ʎ a m a
llollo	ʎ o ʎ o
llollobelar	ʎ o ʎ o b e l a r
lo	l o
lodi	l o d i
lodikor	l o d i k o r
logela	l o ɡ e l a
logika	l o ɡ i k a
logura	l o ɡ u ɾ a
lohi	l o h i
lohi	l o i̯
lokailu	l o k a i̯ l u
lokailu	l o k a ʎ u
Londres	l o n d r e s̺
lorail	l o ɾ a i̯ l
lorategi	l o ɾ a t e ɡ i
loratu	l o ɾ a t u
lore	l o ɾ e
loredenda	l o ɾ e d e n d a
lortu	l o r t u
lotazil	l o t a s̻ i l
lotazil	l o t a s̻ i l
lotazil	l o t a s̺ i l
lotsa	l o t͡s̺ a
lotsa	l o t͡s̺ a
lotsa	l o t͡s̻ a
lotsakor	l o t͡s̺ a k o r
lotsakor	l o t͡s̺ a k o r
lotsakor	l o t͡s̻ a k o r
lotsati	l o t͡s̺ a t i
lotsati	l o t͡s̺ a t i
lotsati	l o t͡s̻ a t i
lotu	l o t u
lu	l u
lubaki	l u b a k i
Luhuso	l u h u s̺ o
Luhuso	l u s̺ o
luke	l u k e
lukek	l u k e k
luken	l u k e n
lukete	l u k e t e
luki	l u k i
luma	l u m a
lur	l u r
Lurra	l u r a
lurreratu	l u r e ɾ a t u
lurrikara	l u r i k a ɾ a
Luxenburgo	l u k s̺ e m b u r ɡ o
luzatu	l u s̻ a t u
luzatu	l u s̻ a t u
luzatu	l u s̺ a t u
luze	l u s̻ e
luze	l u s̻ e
luze	l u s̺ e
luzetasun	l u s̻ e t a s̺ u n
m	e m e
M	e m e
madari	m a d a ɾ i
Madariaga	m a d a ɾ i a ɡ a
madarika	m a d a ɾ i k a
madarikatu	m a d a ɾ i k a t u
madarikatuko	m a d a ɾ i k a t u k o
madarikatze	m a d a ɾ i k a t͡s̻ e
madarikatzen	m a d a ɾ i k a t͡s̻ e n
madariondo	m a d a ɾ i o n d o
Madril	m a d r i l
mahai	m a h a i̯
mahai	m a i̯
mahasti	m a h a s̺ t i
mahasti	m a s̺ t i
mahats	m a h a t͡s̺
mahats	m a t͡s̺
mahats	m a t͡s̺
mahats	m a t͡s̻
mahuka	m a h u k a
mahuka	m a u̯ k a
maiatz	m a i̯ a t͡s̻
maila	m a i̯ l a
maila	m a ʎ a
Maiorga	m a i̯ o r ɡ a
mairu	m a i̯ ɾ u
mairuilar	m a i̯ ɾ u i̯ l a r
mairuilar	m a i̯ ɾ u i̯ ʎ a r
maitasun	m a i̯ t a s̺ u n
maitatu	m a i̯ t a t u
Maite	m a i̯ t e
maite	m a i̯ t e
maitemin	m a i̯ t e m i n
maiz	m a i̯ s̻
maiz	m a i̯ s̻
maiz	m a i̯ s̺
Makaronesia	m a k a ɾ o n e s̺ i a
Makea	m a k e a
maketo	m a k e t o
makila	m a k i l a
makila	m a k i ʎ a
makito	m a k i t o
makur	m a k u r
makurtu	m a k u r t u
malda	m a l d a
Mali	m a l i
Malin	m a l i n
malko	m a l k o
Malta	m a l t a
maltera	m a l t e ɾ a
mandarina	m a n d a ɾ i n a
mandarinondo	m a n d a ɾ i n o n d o
Manex	m a n e ʃ
Manez	m a n e s̻
Manez	m a n e s̻
Manez	m a n e s̺
mapa	m a p a
marasma	m a ɾ a s̺ m a
margotu	m a r ɡ o t u
margoztatu	m a r ɡ o s̻ t a t u
marikoi	m a ɾ i k o i̯
marka	m a r k a
Maroko	m a ɾ o k o
marra	m a r a
marrazo	m a r a s̻ o
marrazo	m a r a s̻ o
marrazo	m a r a s̺ o
marroi	m a r o i̯
marrubi	m a r u b i
marti	m a r t i
martitzen	m a r t i t͡s̻ e n
martopil	m a r t o p i l
martxo	m a r t͡ʃ o
marxista	m a r ʃ i s̺ t a
maskulinotasun	m a s̺ k u l i n o t a s̺ u n
masturba	m a s̺ t u r b a
masturbatu	m a s̺ t u r b a t u
masturbazio	m a s̺ t u r b a s̻ i o
masturbazio	m a s̺ t u r b a s̻ i o
masturbazio	m a s̺ t u r b a s̺ i o
masusta	m a s̺ u s̺ t a
masustondo	m a s̺ u s̺ t o n d o
matxinada	m a t͡ʃ i n a d a
matxinatu	m a t͡ʃ i n a t u
matxino	m a t͡ʃ i n o
mauka	m a u̯ k a
mauser	m a u̯ s̺ e r
Mayte	m a i̯ t e
mazedoniera	m a s̻ e d o n i e ɾ a
mazedoniera	m a s̻ e d o n i e ɾ a
mazedoniera	m a s̺ e d o n i e ɾ a
mea	m e a
meatze	m e a t͡s̻ e
mediku	m e d i k u
mehatxatu	m e h a t͡ʃ a t u
mehatxatu	m e a t͡ʃ a t u
mehatxu	m e h a t͡ʃ u
mehatxu	m e a t͡ʃ u
mehe	m e h e
mehe	m e
mekanizatu	m e k a n i s̻ a t u
mekanizatu	m e k a n i s̻ a t u
mekanizatu	m e k a n i s̺ a t u
mekanizazio	m e k a n i s̻ a s̻ i o
mekanizazio	m e k a n i s̻ a s̻ i o
mekanizazio	m e k a n i s̺ a s̺ i o
menda	m e n d a
mendate	m e n d a t e
mendebal	m e n d e b a l
mendi	m e n d i
Mendiola	m e n d i o l a
menditsu	m e n d i t͡s̺ u
menditsu	m e n d i t͡s̺ u
menditsu	m e n d i t͡s̻ u
Mendoza	m e n d o s̻ a
Mendoza	m e n d o s̻ a
Mendoza	m e n d o s̺ a
merkatu	m e r k a t u
merkatü	m e r k a t y
merke	m e r k e
merkhatü	m e r kʰ a t y
mertxika	m e r t͡ʃ i k a
mertxikondo	m e r t͡ʃ i k o n d o
mesede	m e s̺ e d e
mesedez	m e s̺ e d e s̻
mesedez	m e s̺ e d e s̻
mesedez	m e s̺ e d e s̺
meza	m e s̻ a
meza	m e s̻ a
meza	m e s̺ a
mezu	m e s̻ u
mezu	m e s̻ u
mezu	m e s̺ u
mezulari	m e s̻ u l a ɾ i
mezulari	m e s̻ u l a ɾ i
mezulari	m e s̺ u l a ɾ i
mezularitza	m e s̻ u l a ɾ i t͡s̻ a
mezularitza	m e s̻ u l a ɾ i t͡s̻ a
mezularitza	m e s̺ u l a ɾ i t͡s̻ a
Miarritze	m i a r i t͡s̻ e
mihi	m i h i
mihi	m i
mihura	m i h u ɾ a
mihura	m i u ɾ a
mika	m i k a
Mikel	m i k e l
mila	m i l a
mila	m i ʎ a
milesker	m i l e s̺ k e r
milesker	m i ʎ e s̺ k e r
militarismo	m i l i t a ɾ i s̺ m o
militariza	m i l i t a ɾ i s̻ a
militariza	m i l i t a ɾ i s̻ a
militariza	m i l i t a ɾ i s̺ a
militarizatu	m i l i t a ɾ i s̻ a t u
militarizatu	m i l i t a ɾ i s̻ a t u
militarizatu	m i l i t a ɾ i s̺ a t u
militarizazio	m i l i t a ɾ i s̻ a s̻ i o
militarizazio	m i l i t a ɾ i s̻ a s̻ i o
militarizazio	m i l i t a ɾ i s̺ a s̺ i o
min	m i n
mina	m i n a
mina	m i n a
mina	m i ɲ a
minatu	m i n a t u
minbizi	m i m b i s̻ i
minbizi	m i m b i s̻ i
minbizi	m i m b i s̺ i
minbizidun	m i m b i s̻ i d u n
minbizidun	m i m b i s̻ i d u n
minbizidun	m i m b i s̺ i d u n
mindu	m i n d u
mingrana	m i n ɡ r a n a
mintzatu	m i n t͡s̻ a t u
mirabe	m i ɾ a b e
Miren	m i ɾ e n
miretsi	m i ɾ e t͡s̺ i
miretsi	m i ɾ e t͡s̺ i
miretsi	m i ɾ e t͡s̻ i
misantropo	m i s̺ a n t r o p o
misantropok	m i s̺ a n t r o p o k
misantropotzat	m i s̺ a n t r o p o t͡s̻ a t
misil	m i s̺ i l
mitiko	m i t i k o
mito	m i t o
mizpira	m i s̻ p i ɾ a
mizpira	m i s̻ p i ɾ a
mizpira	m i s̺ p i ɾ a
mizpirondo	m i s̻ p i ɾ o n d o
mizpirondo	m i s̻ p i ɾ o n d o
mizpirondo	m i s̺ p i ɾ o n d o
modifika	m o d i f i k a
modifikatu	m o d i f i k a t u
modifikazio	m o d i f i k a s̻ i o
modifikazio	m o d i f i k a s̻ i o
modifikazio	m o d i f i k a s̺ i o
modu	m o d u
moduko	m o d u k o
Moldavia	m o l d a b i a
Moldavian	m o l d a b i a n
momentu	m o m e n t u
Monako	m o n a k o
monarka	m o n a r k a
monarkia	m o n a r k i a
monarkiko	m o n a r k i k o
monasterio	m o n a s̺ t e ɾ i o
Mongolia	m o n ɡ o l i a
mongoliar	m o n ɡ o l i a r
mongoliera	m o n ɡ o l i e ɾ a
monitore	m o n i t o ɾ e
Montenegro	m o n t e n e ɡ r o
moralitate	m o ɾ a l i t a t e
more	m o ɾ e
mosketari	m o s̺ k e t a ɾ i
mota	m o t a
motozikleta	m o t o s̻ i k l e t a
motozikleta	m o t o s̻ i k l e t a
motozikleta	m o t o s̺ i k l e t a
motz	m o t͡s̻
mozkor	m o s̻ k o r
mozkor	m o s̻ k o r
mozkor	m o s̺ k o r
mozorro	m o s̻ o r o
mozorro	m o s̻ o r o
mozorro	m o s̺ o r o
moztu	m o s̻ t u
moztu	m o s̻ t u
moztu	m o s̺ t u
muga	m u ɡ a
mugagabe	m u ɡ a ɡ a b e
mugimendu	m u ɡ i m e n d u
mugitu	m u ɡ i t u
mugurdi	m u ɡ u r d i
muino	m u i̯ n o
muino	m u i̯ ɲ o
multinazional	m u l t i n a s̻ i o n a l
multinazional	m u l t i ɲ a s̻ i o n a l
multinazional	m u l t i ɲ a s̻ i o n a l
multinazional	m u l t i ɲ a s̺ i o n a l
multzo	m u l t͡s̻ o
mundu	m u n d u
murtxikatu	m u r t͡ʃ i k a t u
musika	m u s̺ i k a
musikazale	m u s̺ i k a s̻ a l e
musikazale	m u s̺ i k a s̻ a l e
musikazale	m u s̺ i k a s̺ a l e
musker	m u s̺ k e r
muskertu	m u s̺ k e r t u
mutiko	m u t i k o
mutil	m u t i l
n	e n e
N	e n e
naba	n a b a
nabar	n a b a r
nabaritu	n a b a ɾ i t u
nabil	n a b i l
nabilek	n a b i l e k
nabilek	n a b i ʎ e k
nabilen	n a b i l e n
nabilen	n a b i ʎ e n
nabilke	n a b i l k e
nabilkek	n a b i l k e k
nabilken	n a b i l k e n
nabilkiake	n a b i l k i a k e
nabilkian	n a b i l k i a n
nabilkie	n a b i l k i e
nabilkiek	n a b i l k i e k
nabilkieke	n a b i l k i e k e
nabilkiekek	n a b i l k i e k e k
nabilkieken	n a b i l k i e k e n
